econ_fiscal_reference_year,econ_fiscal_country_iso2,econ_fiscal_gov_sector_esa2010,econ_fiscal_deficit_surplus_eur,econ_fiscal_deficit_surplus_pct_gdp,econ_fiscal_gross_debt_eur,econ_fiscal_gross_debt_pct_gdp,econ_fiscal_interest_expenditure_eur,econ_fiscal_primary_balance_pct_gdp,econ_fiscal_structural_balance_pct_gdp,econ_fiscal_excessive_deficit_procedure_status,econ_fiscal_sgp_corrective_arm_flag,econ_fiscal_sgp_preventive_arm_flag,econ_fiscal_debt_reduction_benchmark_flag,econ_fiscal_expenditure_benchmark_flag,econ_fiscal_one_off_measures_eur,econ_fiscal_revenue_total_eur,econ_fiscal_expenditure_total_eur,econ_fiscal_eurostat_table_code,econ_fiscal_data_extract_date
2011,CY,S1312,-28268927128.44,-3.133,1706304501269.83,189.107,75378826915.12,-3.473,-3.236,UNKNOWN,0,0,0,1,7585910.09,358057716251.98,386326643380.42,gov_10q_ggdebt,2024-02-03
2012,FR,S1314,-49114088295.0,-5.431,852827121462.01,94.305,23332308905.37,-3.566,-4.739,ON_WATCHLIST,0,1,0,1,1632714158.1,357838786579.41,406952874874.41,gov_10dd_edpt2,2025-02-24
2013,IT,S1311,25688416001.4,2.829,1530535620607.76,168.554,34831853765.31,2.508,4.274,OUT_EDP,0,1,0,1,1134203419.68,395115900067.09,369427484065.69,gov_10dd_sgpe,2025-08-24
2014,NL,S1313,-40261738377.23,-4.423,1214752082967.41,133.448,31698116407.48,-5.07,-5.106,IN_EDP,1,0,1,0,-1990162648.48,459205248524.02,499466986901.25,gov_10dd_ma,2024-12-19
2015,SI,S13,-106232925293.89,-11.641,1205795262606.96,132.131,38110816158.04,-11.068,-10.675,UNKNOWN,0,0,1,1,-854467278.11,391346559089.7,497579484383.59,gov_10dd_edpt1,2025-06-24
2016,BG,S1312,-44973505239.39,-4.918,1024742989756.08,112.059,39525615793.86,-4.95,-5.054,ON_WATCHLIST,0,1,1,0,-1493246104.39,443901826656.56,488875331895.95,gov_10q_ggdebt,2026-01-01
2017,EE,S1314,-78497465125.56,-8.558,1709149761817.73,186.336,41006919805.79,-6.153,-9.378,OUT_EDP,0,1,0,1,1251575059.52,459924195964.71,538421661090.27,gov_10dd_edpt2,2025-02-13
2018,HU,S1311,31806102754.22,3.459,1440745651935.38,156.685,43187267184.53,5.65,1.97,IN_EDP,1,0,1,0,-129771331.49,469482428399.69,437676325645.47,gov_10dd_sgpe,2024-06-08
2019,LU,S1313,-43272717467.83,-4.689,256553965793.47,27.8,7746066453.72,-2.36,-4.78,UNKNOWN,0,0,0,0,1170566898.0,386065999040.08,429338716507.91,gov_10dd_ma,2025-03-03
2020,RO,S13,-96587281570.32,-10.444,1668081958716.82,180.37,22249020477.79,-9.021,-10.044,ON_WATCHLIST,0,1,1,1,1458070005.45,420916142264.97,517503423835.29,gov_10dd_edpt1,2024-01-17
2021,AT,S1312,13778824586.22,1.485,1204658972965.35,129.831,10016685579.47,1.582,-0.182,OUT_EDP,0,1,0,1,946348463.26,419937014447.93,406158189861.71,gov_10q_ggdebt,2025-12-29
2022,CZ,S1314,-110990108455.76,-11.93,425855928286.17,45.774,18668281625.06,-12.044,-10.951,IN_EDP,1,0,0,0,710647060.82,420511009609.13,531501118064.89,gov_10dd_edpt2,2025-03-28
2023,DE,S1311,-3219391836.6,-0.345,882785236306.46,94.602,26261998988.27,1.856,-1.54,UNKNOWN,0,0,0,1,918591128.03,373163706785.21,376383098621.81,gov_10dd_sgpe,2025-12-30
2024,LV,S1313,9745587620.66,1.043,1528917312350.19,163.629,24244511237.46,3.33,1.119,ON_WATCHLIST,0,1,1,1,-1476347470.86,363444402698.6,353698815077.94,gov_10dd_ma,2025-07-10
2025,PL,S13,-27274779421.98,-2.909,1092275688663.64,116.497,27401372285.15,-2.576,-1.247,OUT_EDP,0,1,0,0,-459464385.92,446160167964.92,473434947386.9,gov_10dd_edpt1,2024-02-03
2026,ES,S1312,-96303016325.36,-10.248,772566703565.59,82.212,17251449399.49,-9.746,-8.684,IN_EDP,1,0,0,0,-1930686283.26,453297939021.02,549600955346.38,gov_10q_ggdebt,2025-07-07
2010,HR,S1314,-108668377675.74,-11.528,329163001393.07,34.919,2698362026.29,-10.128,-12.406,UNKNOWN,0,0,0,0,1109804166.84,449569150143.0,558237527818.74,gov_10dd_edpt2,2025-12-15
2011,FI,S1311,31788807763.41,3.366,966895403335.13,102.381,25827068666.74,3.363,2.285,ON_WATCHLIST,0,1,1,1,-1438645844.66,467925150904.91,436136343141.5,gov_10dd_sgpe,2024-01-27
2012,IE,S1313,-14832618755.14,-1.565,413152406884.31,43.592,16997884055.96,-0.417,-0.594,OUT_EDP,0,1,0,1,328037207.28,391659074116.24,406491692871.38,gov_10dd_ma,2025-01-04
2013,MT,S13,-39584699502.98,-4.166,1111326660866.31,116.959,29028110883.0,-4.26,-2.276,IN_EDP,1,0,0,1,1978804579.8,364064976777.68,403649676280.66,gov_10dd_edpt1,2025-07-15
2014,SK,S1312,-43952778074.21,-4.617,451608368867.77,47.439,11464775417.36,-3.824,-3.01,UNKNOWN,0,0,0,1,934896424.13,426711614967.8,470664393042.01,gov_10q_ggdebt,2024-08-14
2015,BE,S1314,-55320924275.47,-5.796,321722290295.59,33.707,13368003809.13,-4.938,-3.955,ON_WATCHLIST,0,1,0,1,-1047323424.96,414147342199.91,469468266475.38,gov_10dd_edpt2,2024-03-31
2016,DK,S1311,-78335382806.61,-8.178,1338473715543.62,139.733,13861227912.12,-7.015,-6.207,OUT_EDP,0,1,1,0,1875236253.35,484421625003.36,562757007809.97,gov_10dd_sgpe,2025-03-29
2017,GR,S1313,45538216943.98,4.746,575608435412.85,59.99,16972427933.29,5.758,6.548,IN_EDP,1,0,0,1,-993536706.29,394422480694.42,348884263750.44,gov_10dd_ma,2026-01-21
2018,LT,S13,-54375684829.29,-5.645,1214441668064.12,126.077,29096391345.54,-3.844,-7.371,UNKNOWN,0,0,1,1,-507688359.78,435306485060.5,489682169889.79,gov_10dd_edpt1,2024-08-12
2019,PT,S1312,-75367253369.78,-7.813,1245078987193.74,129.072,44460983729.84,-8.199,-6.34,ON_WATCHLIST,0,1,1,1,-746613206.23,407207174310.87,482574427680.65,gov_10q_ggdebt,2025-07-05
2020,SE,S1314,9126337454.33,0.943,1562297351620.35,161.428,21780125959.83,0.842,0.925,OUT_EDP,0,1,1,0,1937597956.11,481956557714.48,472830220260.15,gov_10dd_edpt2,2024-01-28
2021,CY,S1311,8444227994.02,0.871,1521900012055.7,156.98,58251140676.44,1.658,2.855,IN_EDP,1,0,1,1,-1095711234.83,427263809865.28,418819581871.26,gov_10dd_sgpe,2026-02-21
2022,FR,S1313,-104705331436.47,-10.769,910593167024.12,93.655,26508371821.54,-8.754,-11.276,UNKNOWN,0,0,1,1,-651234782.32,445117047322.52,549822378758.99,gov_10dd_ma,2025-11-14
2023,IT,S13,10901997079.03,1.118,1344504879480.53,137.879,54041724416.66,3.498,1.626,ON_WATCHLIST,0,1,0,1,1535946211.29,452432451889.21,441530454810.18,gov_10dd_edpt1,2025-02-12
2024,NL,S1312,30668805422.36,3.136,1529166588729.57,156.363,17502908581.1,1.888,1.813,OUT_EDP,0,1,1,1,-230018429.11,460835676917.97,430166871495.61,gov_10q_ggdebt,2025-10-01
2025,SI,S1314,-56742782654.79,-5.79,747485710091.38,76.273,12962117634.7,-4.693,-4.331,IN_EDP,1,0,1,1,963374727.04,491557188530.6,548299971185.39,gov_10dd_edpt2,2025-02-08
2026,BG,S1311,57434079157.13,5.85,934722457147.49,95.207,24228085288.2,6.745,6.176,UNKNOWN,0,0,1,1,-1059637516.99,485250789820.94,427816710663.81,gov_10dd_sgpe,2026-02-17
2010,EE,S1313,-66786549318.42,-6.78,519368851447.46,52.725,15224098665.95,-8.112,-5.675,ON_WATCHLIST,0,1,0,0,483151209.08,378540094620.94,445326643939.36,gov_10dd_ma,2026-01-18
2011,HU,S13,-1926495732.23,-0.195,880863005033.67,89.161,37042957198.49,1.628,-0.167,OUT_EDP,0,1,0,1,-1591287832.92,462425606257.24,464352101989.47,gov_10dd_edpt1,2024-07-30
2012,LU,S1312,-74660453717.4,-7.538,935533716619.39,94.455,21518347435.09,-8.601,-6.517,IN_EDP,1,0,1,1,-1215441122.74,476316987823.97,550977441541.37,gov_10q_ggdebt,2024-07-14
2013,RO,S1314,-99850523496.53,-10.061,1278406270068.41,128.813,21362243094.05,-9.711,-11.991,UNKNOWN,0,0,1,0,-1303369912.98,389511195398.39,489361718894.92,gov_10dd_edpt2,2024-08-18
2014,AT,S1311,-17680477743.07,-1.776,1825857759810.62,183.407,50727770716.5,-1.44,-0.565,ON_WATCHLIST,0,1,1,0,971885063.37,418331302203.73,436011779946.8,gov_10dd_sgpe,2024-04-28
2015,CZ,S1313,-98463500488.19,-9.874,1761752747746.54,176.67,72340569440.92,-7.51,-8.354,OUT_EDP,0,1,0,0,986464207.28,395154418912.5,493617919400.69,gov_10dd_ma,2024-10-11
2016,DE,S13,-105994529534.65,-10.591,207505483464.4,20.734,6330752976.5,-8.753,-9.328,IN_EDP,1,0,0,0,-707986874.12,408257789838.54,514252319373.19,gov_10dd_edpt1,2025-02-25
2017,LV,S1312,-92013149970.27,-9.183,1298765160932.93,129.618,17797865564.79,-7.059,-10.806,UNKNOWN,0,0,0,1,1686007890.14,447349255982.2,539362405952.47,gov_10q_ggdebt,2025-10-16
2018,PL,S1314,-4776030711.71,-0.475,1252094266183.36,124.527,42672196817.93,-1.36,-1.812,ON_WATCHLIST,0,1,1,1,646633457.56,401291422585.73,406067453297.44,gov_10dd_edpt2,2024-11-10
2019,ES,S1311,-56361105301.93,-5.591,1529169226715.36,151.693,19179949901.58,-5.971,-6.384,OUT_EDP,0,1,1,1,1106476990.34,453303782779.55,509664888081.48,gov_10dd_sgpe,2024-11-18
2020,HR,S1313,-25087660541.74,-2.485,453819121397.36,44.952,8603627707.35,-2.179,-3.49,IN_EDP,1,0,0,1,1239200104.78,396052621689.67,421140282231.41,gov_10dd_ma,2025-03-15
2021,FI,S13,36118588943.2,3.57,1356025376651.65,134.031,17827726688.91,2.417,5.163,UNKNOWN,0,0,1,1,-45836679.2,512943631129.97,476825042186.77,gov_10dd_edpt1,2025-01-24
2022,IE,S1312,16112190966.49,1.588,425887415502.71,41.975,10433894079.33,1.232,-0.004,ON_WATCHLIST,0,1,0,1,1162537908.82,489315409534.79,473203218568.3,gov_10q_ggdebt,2024-03-01
2023,MT,S1314,-37302098041.8,-3.664,794736266221.82,78.063,26462715444.01,-3.167,-1.999,OUT_EDP,0,1,1,0,55223791.07,460709105161.44,498011203203.24,gov_10dd_edpt2,2025-05-16
2024,SK,S1311,-25811901816.26,-2.53,1457484849670.72,142.858,20123032048.06,-1.808,-2.822,IN_EDP,1,0,1,0,1748348830.56,394220620291.31,420032522107.57,gov_10dd_sgpe,2024-07-02
2025,BE,S1313,20360772040.74,1.99,1314507813420.2,128.476,35031418145.75,4.199,2.405,UNKNOWN,0,0,1,1,-1229633865.34,515260931575.93,494900159535.19,gov_10dd_ma,2024-06-21
2026,DK,S13,49926955139.18,4.873,504392366407.09,49.23,22513341163.78,4.876,5.682,ON_WATCHLIST,0,1,0,1,1035239583.71,478308493599.7,428381538460.52,gov_10dd_edpt1,2025-02-28
2010,GR,S1312,-13883674555.93,-1.351,728990541801.83,70.937,13058413905.73,0.541,-1.87,OUT_EDP,0,1,0,1,1587823058.29,529889117342.58,543772791898.51,gov_10q_ggdebt,2024-04-27
2011,LT,S1314,-15315977427.72,-1.487,1558665926148.0,151.328,46811688358.74,-2.159,-1.258,IN_EDP,1,0,1,1,-925384114.56,423681054428.59,438997031856.31,gov_10dd_edpt2,2024-06-01
2012,PT,S1311,24680340617.08,2.392,296514894922.1,28.738,12694802988.3,2.945,1.586,UNKNOWN,0,0,0,0,-191153151.68,426201267361.69,401520926744.61,gov_10dd_sgpe,2025-01-29
2013,SE,S1313,-95105385801.05,-9.182,1217187356460.98,117.514,29027778162.28,-8.951,-8.611,ON_WATCHLIST,0,1,1,1,293606651.71,452893667147.8,547999052948.85,gov_10dd_ma,2024-03-14
2014,CY,S13,-81644005361.43,-7.87,580844709045.29,55.99,12382533992.39,-8.211,-7.399,OUT_EDP,0,1,0,1,733992348.14,436106052566.84,517750057928.27,gov_10dd_edpt1,2024-05-25
2015,FR,S1312,-102488017663.13,-9.851,472832750660.23,45.448,18389581393.5,-10.271,-9.906,IN_EDP,1,0,0,1,-1847059635.41,486541279154.62,589029296817.75,gov_10q_ggdebt,2024-05-20
2016,IT,S1314,47409038199.15,4.547,439078385010.5,42.112,8850969275.81,3.337,2.699,UNKNOWN,0,0,0,1,897483166.86,530427664375.09,483018626175.94,gov_10dd_edpt2,2024-09-19
2017,NL,S1311,54380517389.43,5.206,1492946805103.06,142.924,66396913666.56,7.694,3.337,ON_WATCHLIST,0,1,0,1,-1813919645.88,519130914116.06,464750396726.63,gov_10dd_sgpe,2024-04-09
2018,SI,S1313,-92418632233.62,-8.821,973334469236.5,92.901,27518287253.22,-6.359,-6.894,OUT_EDP,0,1,1,1,-872365338.88,432014805717.72,524433437951.34,gov_10dd_ma,2024-10-11
2019,BG,S13,-5100900353.38,-10.311,46429027249.06,93.852,1516202978.76,-11.556,-9.95,IN_EDP,1,0,1,1,-1545075731.33,24566962079.02,29667862432.4,gov_10dd_edpt1,2025-05-06
2020,EE,S1312,-1792958726.37,-3.406,32395384621.5,61.54,1182441891.83,-2.256,-4.21,UNKNOWN,0,0,0,0,-586176732.66,23193169612.81,24986128339.18,gov_10q_ggdebt,2025-10-11
2021,HU,S1314,-4919221197.32,-9.021,70443400231.77,129.181,1779002215.75,-8.837,-10.845,ON_WATCHLIST,0,1,0,0,992765975.16,26669914781.25,31589135978.57,gov_10dd_edpt2,2025-04-01
2022,LU,S1311,-213012102.45,-0.371,86165404991.05,150.073,1997788194.06,1.721,-1.856,OUT_EDP,0,1,0,1,902781088.71,26641543344.0,26854555446.45,gov_10dd_sgpe,2024-05-02
2023,RO,S1313,-5942922317.99,-10.029,88163125183.98,148.78,1483947922.44,-8.745,-8.827,IN_EDP,1,0,1,1,1228772346.99,23333850996.45,29276773314.44,gov_10dd_ma,2024-09-20
2024,AT,S13,-6006274595.44,-9.607,104177948203.11,166.632,4476423877.81,-7.737,-10.558,UNKNOWN,0,0,0,0,1141843030.62,32094671769.23,38100946364.67,gov_10dd_edpt1,2024-07-27
2025,CZ,S1312,3495880978.49,5.426,113118100839.6,175.572,2231127707.3,7.831,6.783,ON_WATCHLIST,0,1,0,1,-1954330899.26,27691542160.53,24195661182.04,gov_10q_ggdebt,2024-02-04
2026,DE,S1314,29644690.32,0.044,89187398306.32,132.376,2894641757.53,0.021,0.48,OUT_EDP,0,1,0,1,-937471043.86,32558344972.81,32528700282.49,gov_10dd_edpt2,2024-10-28
2010,LV,S1311,-7709171834.79,-10.968,24002599287.59,34.149,578747032.67,-9.714,-11.946,IN_EDP,1,0,0,1,-838070234.02,32857984548.89,40567156383.68,gov_10dd_sgpe,2024-05-12
2011,PL,S1313,4088632421.11,5.609,65453836867.31,89.793,2795510630.98,8.037,4.85,UNKNOWN,0,0,0,1,566413528.32,27968618111.17,23879985690.06,gov_10dd_ma,2024-05-08
2012,ES,S13,-8370023888.57,-11.144,71190267790.26,94.784,2215450254.27,-10.913,-11.163,ON_WATCHLIST,0,1,1,1,-442354376.24,30184538449.82,38554562338.39,gov_10dd_edpt1,2024-06-05
2013,HR,S1312,-5582231845.13,-7.241,49372801586.77,64.044,1632662550.85,-8.495,-7.728,OUT_EDP,0,1,0,1,1879906343.58,39260231252.32,44842463097.45,gov_10q_ggdebt,2024-12-10
2014,FI,S1314,-3645773664.73,-4.601,51593917595.72,65.112,2242134041.31,-5.355,-3.4,IN_EDP,1,0,1,1,-242391312.46,33038272369.52,36684046034.25,gov_10dd_edpt2,2024-08-08
2015,IE,S1311,-9187958937.74,-11.091,118970440804.8,143.612,5216588521.41,-12.569,-9.104,UNKNOWN,0,0,0,1,1275954157.06,32673223113.33,41861182051.07,gov_10dd_sgpe,2025-06-05
2016,MT,S1313,3379829201.2,3.98,139088463662.35,163.787,2743429281.89,5.73,5.432,ON_WATCHLIST,0,1,0,1,1847806200.49,33171631918.59,29791802717.39,gov_10dd_ma,2025-08-21
2017,SK,S13,-1001776735.48,-1.152,69270426384.11,79.658,2926370830.56,-1.583,-2.174,OUT_EDP,0,1,1,1,-782158193.68,34362283188.4,35364059923.88,gov_10dd_edpt1,2025-05-17
2018,BE,S1312,-2995155440.51,-3.308,50283842969.76,55.536,770575370.9,-1.2,-3.976,IN_EDP,1,0,0,0,-1373189444.31,41536826567.42,44531982007.93,gov_10q_ggdebt,2024-06-10
2019,DK,S1314,-2608135602.92,-2.843,73503921531.17,80.123,1475094826.95,-2.093,-2.27,UNKNOWN,0,0,0,1,-1676106018.01,46701589524.94,49309725127.86,gov_10dd_edpt2,2024-01-23
2020,GR,S1311,-1186983257.52,-1.244,174366313863.38,182.742,6705818738.49,-2.03,-2.668,ON_WATCHLIST,0,1,0,1,1998321752.64,41312685512.38,42499668769.9,gov_10dd_sgpe,2024-01-08
2021,LT,S1313,-574989270.18,-0.588,153896660463.18,157.379,5290286544.13,-1.601,-2.548,OUT_EDP,0,1,0,0,167756957.75,43621854702.23,44196843972.41,gov_10dd_ma,2024-11-03
2022,PT,S13,-11027486127.8,-11.038,59254505320.36,59.311,2363809341.38,-10.564,-11.858,IN_EDP,1,0,0,1,-969677560.31,39878956073.88,50906442201.68,gov_10dd_edpt1,2024-05-29
2023,SE,S1312,-2414197526.66,-2.342,138935933749.46,134.781,1689190593.84,-2.532,-2.924,UNKNOWN,0,0,1,0,-1383743508.95,47525893281.56,49940090808.22,gov_10q_ggdebt,2025-01-17
2024,CY,S1314,-2808553228.62,-2.659,154880250309.11,146.633,1995581469.79,-1.435,-0.736,ON_WATCHLIST,0,1,0,1,1349016411.53,54421319302.66,57229872531.28,gov_10dd_edpt2,2025-09-17
2025,FR,S1311,-5752726610.51,-5.335,186785156312.25,173.222,8127736296.85,-6.695,-5.302,OUT_EDP,0,1,0,1,1391509057.11,47336189317.51,53088915928.02,gov_10dd_sgpe,2025-08-30
2026,IT,S1313,893081579.54,0.809,193432197092.77,175.221,4517219199.15,0.148,2.105,IN_EDP,1,0,0,0,251575832.64,56266493256.82,55373411677.28,gov_10dd_ma,2026-01-31
2010,NL,S13,-4416703517.41,-3.939,180104849576.89,160.625,1481613725.93,-2.36,-2.965,UNKNOWN,0,0,1,0,292460820.45,47920577663.67,52337281181.08,gov_10dd_edpt1,2024-10-04
2011,SI,S1312,5117171781.22,4.458,83014576130.52,72.321,2515837160.13,4.679,5.406,ON_WATCHLIST,0,1,1,1,36506544.23,43770514741.4,38653342960.18,gov_10q_ggdebt,2025-02-21
2012,BG,S1314,6614662519.47,5.659,146239095683.49,125.111,5293971648.15,7.094,4.31,OUT_EDP,0,1,0,1,1037979111.17,54796055882.67,48181393363.2,gov_10dd_edpt2,2025-08-10
2013,EE,S1311,2491049897.01,2.085,150121300052.58,125.651,5937814617.01,2.258,2.701,IN_EDP,1,0,0,1,-1869461566.9,58995823838.32,56504773941.31,gov_10dd_sgpe,2024-06-20
2014,HU,S1313,-4777860530.62,-3.912,64825992138.05,53.078,1553175339.47,-4.693,-2.59,UNKNOWN,0,0,0,0,-1639638349.37,57330459299.22,62108319829.84,gov_10dd_ma,2024-08-12
2015,LU,S13,-1413508529.52,-1.134,44602800451.33,35.783,1248277395.58,0.113,-0.377,ON_WATCHLIST,0,1,0,1,1612922246.5,57585694412.98,58999202942.5,gov_10dd_edpt1,2024-03-27
2016,RO,S1312,6088130756.24,4.794,170875314485.79,134.553,6399412490.03,6.927,4.512,OUT_EDP,0,1,0,1,1570981136.55,53874868509.37,47786737753.13,gov_10q_ggdebt,2024-10-06
2017,AT,S1314,4667001167.22,3.589,153836789937.55,118.303,3439275250.31,4.369,5.394,IN_EDP,1,0,0,1,-1127297430.51,56277877209.42,51610876042.2,gov_10dd_edpt2,2025-03-26
2018,CZ,S1311,-5847465353.32,-4.4,150022039516.92,112.886,3406970364.68,-2.045,-5.746,UNKNOWN,0,0,0,1,758020318.22,53871833421.87,59719298775.19,gov_10dd_sgpe,2024-07-13
2019,DE,S1313,-6895460297.5,-5.082,94189111163.3,69.418,1230100467.69,-6.297,-3.531,ON_WATCHLIST,0,1,1,1,1801712215.28,60352791670.35,67248251967.85,gov_10dd_ma,2024-11-12
2020,LV,S13,-5184757416.16,-3.755,50952841057.6,36.902,764568641.76,-4.909,-2.204,OUT_EDP,0,1,0,0,-947469774.18,57423052136.27,62607809552.43,gov_10dd_edpt1,2025-07-10
2021,PL,S1312,2591489393.17,1.843,152483067158.79,108.442,4151779841.69,1.347,1.559,IN_EDP,1,0,1,1,-659300885.17,69093881178.33,66502391785.16,gov_10q_ggdebt,2024-02-03
2022,ES,S1314,7757506550.7,5.423,223408464054.58,156.177,5009311935.64,6.808,5.579,UNKNOWN,0,0,0,0,1816878740.02,61072477017.28,53314970466.58,gov_10dd_edpt2,2025-01-24
2023,HR,S1311,-14504882388.64,-9.966,116864291731.44,80.295,2265296200.5,-11.184,-8.357,ON_WATCHLIST,0,1,1,1,-1457949078.12,67386305754.73,81891188143.37,gov_10dd_sgpe,2024-08-01
2024,FI,S1313,2797823203.93,1.903,219449019909.58,149.263,3782953203.88,3.902,0.015,OUT_EDP,0,1,1,1,-1819506768.27,58433656904.34,55635833700.41,gov_10dd_ma,2025-11-15
2025,IE,S13,-16424764921.73,-10.915,84939283625.45,56.446,1348990190.22,-11.935,-10.349,IN_EDP,1,0,0,1,567613774.05,73395599045.41,89820363967.14,gov_10dd_edpt1,2025-04-24
2026,MT,S1312,-13332676857.9,-8.699,96576460992.04,63.012,2785202024.05,-6.986,-8.513,UNKNOWN,0,0,1,1,771405912.05,74349951151.18,87682628009.08,gov_10q_ggdebt,2024-04-16
2010,SK,S1314,2450346817.63,1.577,68331580215.02,43.977,1957562330.2,0.146,3.372,ON_WATCHLIST,0,1,0,1,-924859652.24,66560647915.74,64110301098.11,gov_10dd_edpt2,2024-12-24
2011,BE,S1311,1121497117.29,0.712,36116302531.43,22.929,861180264.23,2.196,1.416,OUT_EDP,0,1,0,0,1918354889.85,81596268081.51,80474770964.22,gov_10dd_sgpe,2025-01-02
2012,DK,S1313,-5175686275.83,-3.23,213106879432.61,132.994,4448730386.16,-1.305,-3.836,IN_EDP,1,0,1,1,-1270237015.11,65871901569.34,71047587845.17,gov_10dd_ma,2026-01-23
2013,GR,S13,-16340694652.88,-10.096,278329161577.71,171.964,12139143997.59,-9.681,-9.304,UNKNOWN,0,0,1,1,-1987388864.23,83363740347.23,99704435000.11,gov_10dd_edpt1,2025-04-11
2014,LT,S1312,-13989816795.32,-8.503,188160814768.89,114.364,6977618164.22,-8.563,-10.417,ON_WATCHLIST,0,1,0,0,917686622.44,74318208505.91,88308025301.23,gov_10q_ggdebt,2024-02-13
2015,PT,S1314,1733235765.18,1.032,139483491796.38,83.051,4679601351.19,0.714,2.908,OUT_EDP,0,1,1,1,1524619253.88,72153978164.68,70420742399.5,gov_10dd_edpt2,2024-11-30
2016,SE,S1311,-3839761407.31,-2.257,194471921342.18,114.31,2561680715.27,-1.624,-1.528,IN_EDP,1,0,0,1,1300705260.76,71128347270.54,74968108677.85,gov_10dd_sgpe,2024-02-05
2017,CY,S1313,-6606894121.89,-3.832,170286144269.96,98.766,3402590559.51,-5.17,-5.27,UNKNOWN,0,0,1,0,-1180098257.24,84067190400.16,90674084522.05,gov_10dd_ma,2024-09-28
2018,FR,S13,3688522920.68,2.117,209625535265.11,120.313,3275313595.17,2.266,4.087,ON_WATCHLIST,0,1,1,0,1901579698.49,72564253878.08,68875730957.4,gov_10dd_edpt1,2025-05-11
2019,IT,S1312,-21145137875.39,-11.914,241685340790.74,136.175,7983187328.04,-10.407,-11.392,OUT_EDP,0,1,1,1,437449835.94,68160384680.55,89305522555.94,gov_10q_ggdebt,2024-03-06
2020,NL,S1314,8777711711.04,4.867,321846423544.92,178.455,8946834273.08,5.027,5.868,IN_EDP,1,0,1,1,-195285632.01,81387415036.69,72609703325.65,gov_10dd_edpt2,2024-06-19
2021,SI,S1311,10744528382.62,5.891,255725611950.14,140.209,4165900169.47,5.256,6.365,UNKNOWN,0,0,0,1,1010729207.92,84793407364.93,74048878982.31,gov_10dd_sgpe,2025-02-18
2022,BG,S1313,11013217667.41,5.928,272354197639.57,146.598,4792653661.37,6.472,7.761,ON_WATCHLIST,0,1,0,1,-132657817.78,88712346203.03,77699128535.62,gov_10dd_ma,2025-06-16
2023,EE,S13,-15341876300.76,-8.192,326977484235.24,174.594,14282014089.89,-6.13,-9.434,OUT_EDP,0,1,0,0,1673361917.14,79077094535.57,94418970836.33,gov_10dd_edpt1,2025-05-17
2024,HU,S1312,-18658508618.33,-9.825,235940402262.84,124.239,5805294439.48,-7.52,-8.994,IN_EDP,1,0,1,0,-744933513.28,98147142286.98,116805650905.31,gov_10q_ggdebt,2025-11-25
2025,LU,S1314,-1744580454.74,-0.909,233752669400.64,121.795,4655941175.75,0.477,-2.381,UNKNOWN,0,0,0,0,9309445.19,89118229821.12,90862810275.86,gov_10dd_edpt2,2024-05-06
2026,RO,S1311,-17515806260.38,-9.002,192290552508.56,98.825,4946505397.48,-6.945,-9.858,ON_WATCHLIST,0,1,0,1,1581305591.58,97513249505.62,115029055766.0,gov_10dd_sgpe,2024-09-16
2010,AT,S1313,4570988086.31,2.311,250011884507.96,126.401,3628550480.41,1.108,3.93,OUT_EDP,0,1,1,1,-1641624150.8,79698304794.95,75127316708.64,gov_10dd_ma,2024-01-06
2011,CZ,S13,-13433063223.11,-6.695,50267144574.86,25.053,1637529479.39,-6.004,-6.292,IN_EDP,1,0,0,0,-861296070.27,82139434440.63,95572497663.74,gov_10dd_edpt1,2025-08-21
2012,DE,S1312,3126083432.37,1.54,252323651175.53,124.302,11107651018.09,0.576,1.876,UNKNOWN,0,0,0,1,150708746.36,94149708902.59,91023625470.22,gov_10q_ggdebt,2025-11-05
2013,LV,S1314,6795697141.01,3.326,201155495859.73,98.451,4916299245.44,2.08,3.911,ON_WATCHLIST,0,1,1,0,-322040925.53,86659447011.58,79863749870.57,gov_10dd_edpt2,2025-05-05
2014,PL,S1311,-4149005363.61,-2.003,361754739748.88,174.643,5444881867.66,-2.127,-2.278,OUT_EDP,0,1,0,1,-1672835129.34,87688167466.19,91837172829.8,gov_10dd_sgpe,2024-01-08
2015,ES,S1313,-19467989399.47,-9.3,211311418271.94,100.945,6662252295.59,-8.977,-7.904,IN_EDP,1,0,1,1,-1396529245.79,91742091678.12,111210081077.59,gov_10dd_ma,2025-09-28
2016,HR,S13,-23261785469.99,-10.941,95275306688.71,44.812,3201845146.52,-9.199,-10.225,UNKNOWN,0,0,0,1,-330849965.57,85867613546.69,109129399016.68,gov_10dd_edpt1,2024-02-06
2017,FI,S1312,-20693101724.0,-9.598,328045382987.82,152.156,9048534668.03,-7.364,-8.838,ON_WATCHLIST,0,1,0,1,95931749.75,91422440369.38,112115542093.38,gov_10q_ggdebt,2024-05-24
2018,IE,S1314,6166252168.5,2.843,383951679168.95,177.024,13989992491.53,3.785,1.422,OUT_EDP,0,1,1,1,-1084961041.28,97876321964.53,91710069796.03,gov_10dd_edpt2,2025-10-09
2019,MT,S1311,11662444999.05,5.313,394538780206.79,179.738,5924405183.55,4.932,6.372,IN_EDP,1,0,0,1,505407202.33,109012045165.03,97349600165.98,gov_10dd_sgpe,2024-05-04
