agri_livestock_reference_year,agri_livestock_country_iso2,agri_livestock_region_nuts_code,agri_livestock_species_code,agri_livestock_herd_count,agri_livestock_slaughtered_count,agri_livestock_meat_production_tonnes,agri_livestock_milk_production_tonnes,agri_livestock_egg_production_million,agri_livestock_feed_price_index,agri_livestock_veterinary_medicines_use_index,agri_livestock_antimicrobial_use_mg_pcu,agri_livestock_notifiable_disease_code,agri_livestock_outbreak_count,agri_livestock_animal_welfare_compliance_flag,agri_livestock_carbon_footprint_tco2e,agri_livestock_manure_management_type,agri_livestock_eurostat_table_code,agri_livestock_data_source,agri_livestock_data_extract_date
2016,LV,GR2,BOVINE,1904,845,253.26,11400.85,0.0,182.214,82.278,96.53,BSE,1,1,10447.28,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-02-16
2017,PL,GR686,PIGS,1463,1443,161.18,0.0,0.0,182.442,83.016,16.66,ASF,2,0,2377.97,OTHER,apro_mk_pobta,EFSA,2025-05-18
2018,ES,IE731,SHEEP,1485,1637,35.16,8437.61,0.0,183.019,84.456,133.18,BLUETONGUE,3,0,5770.07,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2024-11-18
2019,HR,ES267,GOATS,1755,1789,38.33,6323.57,0.0,184.477,83.912,33.47,FMD,4,1,855.79,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-24
2020,FI,BG301,POULTRY,1723,1650,2.73,0.0,7.077,75.586,84.757,174.01,NONE,0,0,37.66,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-09-26
2021,IE,NL817,EQUINE,2032,1214,76.4,0.0,0.0,75.967,85.347,180.22,BRUCELLOSIS,6,0,164.92,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-08-15
2022,MT,HU35,BOVINE,1775,2088,545.49,3716.82,0.0,74.895,85.657,102.96,AVIAN_INFLUENZA,7,1,4616.56,LAGOON,apro_mk_pobta,EFSA,2024-05-01
2023,SK,CY20,PIGS,1721,1044,85.94,0.0,0.0,75.89,85.157,56.47,TB,8,1,173.46,OTHER,apro_mk_pobta,FARM_REPORTING,2024-12-29
2024,BE,FI758,SHEEP,1295,804,20.67,6316.73,0.0,75.907,85.755,144.67,BSE,9,1,4205.62,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-06-27
2025,DK,BE89,GOATS,1155,1277,30.67,2128.49,0.0,77.809,85.601,186.55,ASF,10,1,1648.02,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-04-23
2026,GR,GR396,POULTRY,1163,2044,3.97,0.0,6.818,78.16,85.167,62.09,BLUETONGUE,11,1,79.72,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2024-11-03
2010,LT,GR246,EQUINE,1571,2289,164.96,0.0,0.0,78.393,86.98,181.23,FMD,12,1,3186.71,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-05-26
2011,PT,DE9,BOVINE,1984,1890,555.38,5203.32,0.0,78.185,87.611,59.48,NONE,0,1,17496.27,LAGOON,apro_mk_pobta,FARM_REPORTING,2026-02-21
2012,SE,CZ66,PIGS,1530,2195,186.03,0.0,0.0,79.535,88.25,192.16,BRUCELLOSIS,2,1,3034.83,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-03-10
2013,CY,BG911,SHEEP,1709,1553,35.1,1743.32,0.0,78.932,86.427,187.2,AVIAN_INFLUENZA,3,1,924.89,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2025-07-01
2014,FR,FI63,GOATS,1943,3325,53.6,972.29,0.0,79.641,87.474,178.01,TB,4,1,1682.5,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-03-30
2015,IT,HR8,POULTRY,1599,1030,2.04,0.0,1.659,80.148,89.01,48.56,BSE,5,1,15.31,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-03-03
2016,NL,PL965,EQUINE,1356,1831,110.18,0.0,0.0,79.635,89.128,128.33,ASF,6,1,776.54,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2024-09-18
2017,SI,HR7,BOVINE,1849,3022,764.79,10974.01,0.0,80.963,88.511,166.61,BLUETONGUE,7,1,24240.17,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-02-20
2018,BG,SI45,PIGS,1521,2547,183.4,0.0,0.0,80.956,89.375,180.28,FMD,8,1,877.42,OTHER,apro_mt_lscatl,EUROSTAT,2026-01-11
2019,EE,CY462,SHEEP,1665,2920,84.07,592.46,0.0,82.256,88.496,15.97,NONE,0,1,1773.86,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-05-20
2020,HU,CZ9,GOATS,1896,2607,42.01,1931.8,0.0,81.967,88.95,142.36,BRUCELLOSIS,10,1,1415.88,COMPOSTING,apro_mk_pobta,EFSA,2024-03-23
2021,LU,IT73,POULTRY,2026,2094,5.03,0.0,5.247,83.168,89.976,108.41,AVIAN_INFLUENZA,11,1,27.38,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2024-02-15
2022,RO,EE38,EQUINE,1861,2869,316.22,0.0,0.0,83.279,90.652,198.02,TB,12,1,4891.17,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-08-28
2023,AT,EE341,BOVINE,1797,2278,708.15,1947.56,0.0,83.25,91.433,121.72,BSE,1,1,10727.77,LAGOON,apro_mt_lscatl,EUROSTAT,2025-11-29
2024,CZ,DK84,PIGS,1791,1918,148.85,0.0,0.0,83.358,90.991,176.1,ASF,2,1,1061.37,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-09-26
2025,DE,GR29,SHEEP,1452,2044,55.09,6751.14,0.0,85.099,90.729,174.66,BLUETONGUE,3,1,5139.04,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2024-11-02
2026,LV,EE5,GOATS,1217,1807,46.32,4546.82,0.0,84.432,91.048,45.35,FMD,4,1,4981.85,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-06-10
2010,PL,DK86,POULTRY,1402,1550,3.41,0.0,11.732,85.632,91.437,7.02,NONE,0,1,79.87,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-24
2011,ES,CZ3,EQUINE,1378,1329,116.29,0.0,0.0,85.088,91.596,214.33,BRUCELLOSIS,6,1,739.87,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2024-11-26
2012,HR,NL34,BOVINE,1377,1870,443.62,283.37,0.0,86.292,93.747,14.25,AVIAN_INFLUENZA,7,0,6882.65,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-03-17
2013,FI,AT128,PIGS,1778,2767,271.73,0.0,0.0,85.753,93.954,124.28,TB,8,0,1650.42,OTHER,apro_mk_pobta,EFSA,2025-09-05
2014,IE,ES805,SHEEP,1226,1780,36.7,4562.51,0.0,87.246,94.613,29.21,BSE,9,0,3071.12,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-11-19
2015,MT,ES76,GOATS,1358,1495,41.66,6447.22,0.0,86.358,94.763,17.57,ASF,10,0,2598.21,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2026-02-16
2016,SK,SK98,POULTRY,1937,2518,3.51,0.0,15.721,87.967,95.694,46.49,BLUETONGUE,11,0,71.26,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-06-02
2017,BE,SK11,EQUINE,1784,1981,197.87,0.0,0.0,87.953,94.832,216.44,FMD,12,1,3021.84,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-07-04
2018,DK,LT537,BOVINE,1576,2489,605.15,196.17,0.0,88.072,94.203,189.2,NONE,0,0,5244.23,LAGOON,apro_mk_pobta,EFSA,2024-09-11
2019,GR,HU254,PIGS,1760,2358,213.25,0.0,0.0,88.899,95.597,92.77,BRUCELLOSIS,2,1,3067.55,OTHER,apro_mk_pobta,FARM_REPORTING,2024-10-21
2020,LT,PT659,SHEEP,2027,2211,64.56,3708.8,0.0,90.252,97.068,216.95,AVIAN_INFLUENZA,3,1,2366.69,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-02-11
2021,PT,BG5,GOATS,1781,1228,26.22,10452.6,0.0,88.998,96.978,202.16,TB,4,1,6551.52,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-12-20
2022,SE,BE36,POULTRY,1337,569,0.72,0.0,5.525,90.287,97.164,24.0,BSE,5,1,14.03,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-01-18
2023,CY,NL3,EQUINE,2004,1462,134.16,0.0,0.0,90.777,95.956,66.34,ASF,6,1,2214.07,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-03-28
2024,FR,GR9,BOVINE,2079,2298,654.61,4532.37,0.0,91.164,96.412,191.73,BLUETONGUE,7,1,11541.01,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-11-21
2025,IT,IE6,PIGS,1489,935,94.67,0.0,0.0,90.894,97.276,25.77,FMD,8,1,248.77,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-01-09
2026,NL,AT587,SHEEP,1512,759,20.3,5450.71,0.0,91.215,98.468,102.11,NONE,0,1,714.77,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-08-02
2010,SI,BE667,GOATS,1903,2166,51.64,1016.03,0.0,91.918,98.476,80.04,BRUCELLOSIS,10,1,1197.22,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2026-01-28
2011,BG,NL42,POULTRY,1358,839,1.89,0.0,4.965,92.824,99.52,10.64,AVIAN_INFLUENZA,11,1,27.25,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-11-06
2012,EE,ES7,EQUINE,1717,2958,266.81,0.0,0.0,92.338,99.936,36.55,TB,12,1,5459.55,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-04-17
2013,HU,IE478,BOVINE,1810,1501,309.73,7099.45,0.0,92.968,98.887,135.19,BSE,1,1,12759.35,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-10-07
2014,LU,PL8,PIGS,1262,2016,217.87,0.0,0.0,94.098,100.818,176.7,ASF,2,1,1044.5,OTHER,apro_mt_lscatl,EUROSTAT,2024-04-21
2015,RO,DK91,SHEEP,1247,1377,30.97,6675.82,0.0,94.471,99.559,6.77,BLUETONGUE,3,1,1463.58,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-04-09
2016,AT,IT41,GOATS,1313,1595,33.48,2610.38,0.0,95.311,101.525,134.17,FMD,4,0,1297.99,COMPOSTING,apro_mk_pobta,EFSA,2025-07-22
2017,CZ,RO33,POULTRY,1708,2581,4.09,0.0,18.385,95.622,100.185,71.77,NONE,0,1,40.38,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-12-30
2018,DE,CY333,EQUINE,1314,732,55.89,0.0,0.0,95.006,100.377,51.32,BRUCELLOSIS,6,1,1320.61,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-09-07
2019,LV,GR777,BOVINE,2071,1865,450.95,8080.44,0.0,95.354,102.034,34.02,AVIAN_INFLUENZA,7,0,14017.02,LAGOON,apro_mt_lscatl,EUROSTAT,2025-07-11
2020,PL,FR850,PIGS,1900,1641,151.09,0.0,0.0,96.842,100.778,204.46,TB,8,0,640.71,OTHER,agr_r_animal,ECDC_ZOONOSES,2026-02-12
2021,ES,SE980,SHEEP,1529,2485,55.98,6298.62,0.0,97.446,102.514,95.68,BSE,9,1,5194.14,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2024-10-08
2022,HR,CZ7,GOATS,1752,1797,49.62,6050.8,0.0,97.551,103.421,155.23,ASF,10,1,5709.47,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-12-04
2023,FI,HR1,POULTRY,1759,1126,1.83,0.0,17.791,97.801,103.466,64.63,BLUETONGUE,11,1,40.97,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-01-28
2024,IE,LV528,EQUINE,1384,852,71.0,0.0,0.0,97.219,103.162,150.17,FMD,12,1,1247.5,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2024-01-26
2025,MT,GR84,BOVINE,1795,1413,259.66,9856.05,0.0,98.481,103.909,188.21,NONE,0,1,6183.33,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-09-07
2026,SK,SE934,PIGS,1394,973,96.28,0.0,0.0,99.658,103.688,160.38,BRUCELLOSIS,2,1,1895.08,OTHER,apro_mk_pobta,EFSA,2025-10-23
2010,BE,PL1,SHEEP,1965,2024,46.89,8396.86,0.0,98.759,105.082,148.43,AVIAN_INFLUENZA,3,0,4623.93,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-12-05
2011,DK,ES27,GOATS,1261,770,13.93,5761.82,0.0,99.491,103.576,101.01,TB,4,1,2850.67,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-05-25
2012,GR,BG157,POULTRY,1377,1711,3.89,0.0,7.509,99.566,104.641,168.3,BSE,5,1,69.64,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-11-20
2013,LT,DK1,EQUINE,1404,919,96.73,0.0,0.0,101.455,105.436,169.92,ASF,6,1,1158.97,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-08-26
2014,PT,DE91,BOVINE,1269,1441,410.81,4899.24,0.0,101.888,105.881,46.5,BLUETONGUE,7,1,3133.84,LAGOON,apro_mk_pobta,EFSA,2025-07-24
2015,SE,LV486,PIGS,1720,1641,136.42,0.0,0.0,100.735,105.471,79.95,FMD,8,1,542.54,OTHER,apro_mk_pobta,FARM_REPORTING,2024-02-03
2016,CY,DK474,SHEEP,1811,934,26.3,9377.95,0.0,100.95,106.849,38.03,NONE,0,1,1684.24,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-06-25
2017,FR,ES71,GOATS,1640,1349,28.77,2664.51,0.0,102.557,107.903,56.6,BRUCELLOSIS,10,1,1888.68,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-07-22
2018,IT,AT419,POULTRY,1620,1775,4.08,0.0,2.675,103.011,107.883,199.62,AVIAN_INFLUENZA,11,0,54.91,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2024-03-18
2019,NL,IE911,EQUINE,1756,1117,102.12,0.0,0.0,102.504,108.159,156.34,TB,12,1,1161.75,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-08-28
2020,SI,RO4,BOVINE,1776,2236,414.79,3762.67,0.0,103.601,107.334,48.93,BSE,1,1,13456.42,LAGOON,apro_mk_pobta,FARM_REPORTING,2026-01-12
2021,BG,PT25,PIGS,1701,730,52.88,0.0,0.0,103.451,107.375,138.64,ASF,2,1,236.26,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-07-03
2022,EE,EE417,SHEEP,2061,2327,63.46,6738.15,0.0,104.306,107.43,150.12,BLUETONGUE,3,1,2631.04,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2025-06-05
2023,HU,BG156,GOATS,1312,1506,33.36,3169.66,0.0,105.377,109.025,185.24,FMD,4,1,1143.8,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-07-01
2024,LU,NL59,POULTRY,1870,1033,2.33,0.0,25.919,104.56,109.22,8.06,NONE,0,1,10.66,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2026-01-01
2025,RO,LU78,EQUINE,1890,2507,211.29,0.0,0.0,104.748,108.718,167.19,BRUCELLOSIS,6,1,1392.19,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-12-27
2026,AT,SK89,BOVINE,1401,2029,592.97,1259.56,0.0,106.235,110.945,38.9,AVIAN_INFLUENZA,7,1,15017.86,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2026-01-21
2010,CZ,SK9,PIGS,1466,962,115.16,0.0,0.0,106.258,111.254,55.87,TB,8,1,1927.38,OTHER,apro_mt_lscatl,EUROSTAT,2024-06-21
2011,DE,SE485,SHEEP,1330,850,24.85,2531.35,0.0,106.069,110.121,18.62,BSE,9,1,1654.86,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-01-09
2012,LV,LV21,GOATS,2017,2216,52.43,6701.48,0.0,107.186,110.504,188.74,ASF,10,1,5060.78,COMPOSTING,apro_mk_pobta,EFSA,2024-10-15
2013,PL,PL441,POULTRY,1740,2476,5.59,0.0,3.549,106.85,112.266,160.98,BLUETONGUE,11,1,83.76,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2024-04-15
2014,ES,CZ215,EQUINE,1863,1848,215.25,0.0,0.0,108.868,111.838,213.15,FMD,12,1,2811.87,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-12-23
2015,HR,LV85,BOVINE,1989,2757,772.03,593.91,0.0,107.995,111.932,6.8,NONE,0,1,16200.49,LAGOON,apro_mt_lscatl,EUROSTAT,2024-11-08
2016,FI,HR119,PIGS,1684,759,53.62,0.0,0.0,109.805,111.903,105.77,BRUCELLOSIS,2,1,1140.25,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-01-16
2017,IE,HU9,SHEEP,1652,2395,63.47,9728.48,0.0,110.304,112.273,139.42,AVIAN_INFLUENZA,3,1,1751.74,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-07-09
2018,MT,BG121,GOATS,1337,1977,54.44,1457.98,0.0,110.271,113.943,203.42,TB,4,1,1551.91,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-10-13
2019,SK,LU432,POULTRY,1546,2327,4.85,0.0,18.939,110.996,112.826,38.2,BSE,5,1,78.82,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-08-31
2020,BE,LT139,EQUINE,1332,1160,116.06,0.0,0.0,111.54,113.302,94.3,ASF,6,1,546.0,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-05-26
2021,DK,CZ6,BOVINE,1457,1157,238.52,5343.44,0.0,110.666,113.514,70.95,BLUETONGUE,7,0,3882.95,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-09-15
2022,GR,AT669,PIGS,2047,1313,114.71,0.0,0.0,111.165,115.409,136.42,FMD,8,1,281.7,OTHER,apro_mk_pobta,EFSA,2024-02-11
2023,LT,IE77,SHEEP,1831,1636,35.7,8242.9,0.0,112.168,113.6,73.31,NONE,0,0,5030.57,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-01-23
2024,PT,NL2,GOATS,1386,862,16.79,7707.96,0.0,112.202,115.522,62.86,BRUCELLOSIS,10,1,4062.98,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-10-30
2025,SE,LT745,POULTRY,1897,3052,5.38,0.0,5.865,112.558,115.07,85.53,AVIAN_INFLUENZA,11,1,117.41,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-09-06
2026,CY,FR43,EQUINE,1801,1873,220.53,0.0,0.0,114.111,115.08,91.51,TB,12,1,2322.81,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2025-08-16
2010,FR,SE7,BOVINE,1826,1028,208.11,4557.76,0.0,112.85,115.294,148.91,BSE,1,1,4650.2,LAGOON,apro_mk_pobta,EFSA,2025-05-06
2011,IT,PT5,PIGS,1846,1331,113.47,0.0,0.0,113.98,116.065,117.77,ASF,2,1,1088.08,OTHER,apro_mk_pobta,FARM_REPORTING,2024-01-06
2012,NL,IT187,SHEEP,1728,781,22.14,8586.9,0.0,115.431,117.641,74.7,BLUETONGUE,3,1,6673.77,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2026-02-18
2013,SI,PT810,GOATS,1625,918,15.62,7880.23,0.0,115.295,118.225,126.95,FMD,4,1,3823.29,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-12-26
2014,BG,SI558,POULTRY,1930,2215,5.22,0.0,9.182,116.282,117.508,30.69,NONE,0,1,124.9,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-11-04
2015,EE,BG907,EQUINE,1774,705,67.75,0.0,0.0,115.149,118.164,196.51,BRUCELLOSIS,6,1,998.11,SOLID_STORAGE,apro_mk_pobta,EFSA,2026-02-05
2016,HU,IT46,BOVINE,1617,2838,567.35,7910.51,0.0,116.469,117.418,116.92,AVIAN_INFLUENZA,7,0,13956.95,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-10-30
2017,LU,DK253,PIGS,1800,1070,109.25,0.0,0.0,116.732,117.46,91.79,TB,8,1,842.95,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-18
2018,RO,IE267,SHEEP,1945,1223,24.48,1099.86,0.0,116.706,120.107,12.59,BSE,9,1,1496.85,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2025-01-05
2019,AT,SI370,GOATS,1741,2913,70.82,2998.94,0.0,116.708,119.233,153.44,ASF,10,1,3486.12,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-01-02
2020,CZ,AT84,POULTRY,1933,1939,4.76,0.0,6.4,117.334,118.835,177.81,BLUETONGUE,11,1,98.91,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2025-09-27
2021,DE,ES909,EQUINE,1847,2513,168.92,0.0,0.0,117.62,121.184,28.13,FMD,12,1,4126.14,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2024-09-08
2022,LV,ES69,BOVINE,1489,2517,575.0,4593.34,0.0,118.081,120.904,132.73,NONE,0,1,12907.87,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-01-23
2023,PL,HU727,PIGS,1601,2705,244.59,0.0,0.0,118.608,120.982,163.31,BRUCELLOSIS,2,1,2119.3,OTHER,apro_mt_lscatl,EUROSTAT,2025-01-31
2024,ES,LT90,SHEEP,1527,1990,48.09,954.03,0.0,118.85,121.248,171.91,AVIAN_INFLUENZA,3,1,796.94,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-04-25
2025,HR,CY41,GOATS,2135,3796,77.9,10928.4,0.0,119.089,120.617,139.79,TB,4,0,3578.91,COMPOSTING,apro_mk_pobta,EFSA,2024-02-16
2026,FI,CZ88,POULTRY,1573,735,1.25,0.0,18.402,120.849,120.829,12.06,BSE,5,0,20.25,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2024-05-15
2010,IE,BG672,EQUINE,1521,2280,236.63,0.0,0.0,120.986,121.328,65.12,ASF,6,1,1970.09,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-10-15
2011,MT,SK208,BOVINE,1579,2279,616.58,1694.84,0.0,121.609,122.942,155.62,BLUETONGUE,7,1,12404.77,LAGOON,apro_mt_lscatl,EUROSTAT,2024-07-31
2012,SK,LV36,PIGS,2158,3373,317.54,0.0,0.0,121.72,123.638,159.86,FMD,8,0,3870.39,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-06-05
2013,BE,LV398,SHEEP,1457,1355,34.07,311.86,0.0,122.318,122.264,191.47,NONE,0,1,652.6,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2026-02-17
2014,DK,PL647,GOATS,2007,2810,77.05,108.78,0.0,122.567,124.69,195.48,BRUCELLOSIS,10,1,586.12,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-01-05
2015,GR,RO8,POULTRY,2104,1527,2.01,0.0,15.468,122.322,123.91,27.3,AVIAN_INFLUENZA,11,1,24.83,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-16
2016,LT,BE1,EQUINE,1706,937,76.07,0.0,0.0,123.398,123.858,197.59,TB,12,0,547.27,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-09-17
2017,PT,IT22,BOVINE,2181,957,268.23,11145.72,0.0,124.028,124.372,102.67,BSE,1,1,8856.81,LAGOON,agr_r_animal,ECDC_ZOONOSES,2024-01-31
2018,SE,HU59,PIGS,1869,1725,172.47,0.0,0.0,124.82,124.715,111.52,ASF,2,1,1759.76,OTHER,apro_mk_pobta,EFSA,2025-06-16
2019,CY,FI26,SHEEP,1573,2422,59.48,8833.07,0.0,123.864,125.065,31.34,BLUETONGUE,3,0,3571.18,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-12-23
2020,FR,RO677,GOATS,1629,1274,33.98,5792.16,0.0,124.029,124.633,120.97,FMD,4,1,2395.53,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2025-06-07
2021,IT,LV17,POULTRY,2157,2145,4.74,0.0,9.741,125.201,126.475,197.75,NONE,0,1,17.64,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-12-22
2022,NL,BE93,EQUINE,1642,2256,267.64,0.0,0.0,124.961,125.167,45.19,BRUCELLOSIS,6,1,5924.4,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-10-03
2023,SI,SI5,BOVINE,1520,2297,461.78,6883.44,0.0,126.762,126.099,126.63,AVIAN_INFLUENZA,7,1,10180.56,LAGOON,apro_mk_pobta,EFSA,2024-06-24
2024,BG,SI95,PIGS,1617,671,61.75,0.0,0.0,127.507,127.89,191.78,TB,8,1,639.09,OTHER,apro_mk_pobta,FARM_REPORTING,2025-05-28
2025,EE,IE45,SHEEP,1847,2109,43.71,1594.08,0.0,126.26,128.377,59.21,BSE,9,1,1992.05,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-05-15
2026,HU,LV30,GOATS,2200,2186,59.98,3299.28,0.0,126.964,128.792,12.18,ASF,10,1,3323.44,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-10-17
2010,LU,PL28,POULTRY,1949,3460,8.39,0.0,4.68,128.71,129.081,150.98,BLUETONGUE,11,0,173.9,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-01-28
2011,RO,BE86,EQUINE,2062,2206,198.92,0.0,0.0,128.493,129.395,214.86,FMD,12,1,4561.66,SOLID_STORAGE,apro_mk_pobta,EFSA,2026-02-15
2012,AT,LT76,BOVINE,1886,1037,320.0,3621.09,0.0,128.282,127.691,187.71,NONE,0,1,4267.7,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-09-09
2013,CZ,LU38,PIGS,1588,1445,126.33,0.0,0.0,129.496,128.869,111.96,BRUCELLOSIS,2,1,2247.59,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-10-22
2014,DE,GR341,SHEEP,1803,2180,49.6,2031.96,0.0,130.313,128.728,160.94,AVIAN_INFLUENZA,3,1,1168.5,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-08-17
2015,LV,PT6,GOATS,1516,1976,40.25,8588.26,0.0,129.391,129.415,67.4,TB,4,1,3948.76,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-12-19
2016,PL,HU62,POULTRY,2030,3350,7.47,0.0,21.032,130.574,129.911,39.79,BSE,5,1,169.58,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-09-13
2017,ES,LV4,EQUINE,2299,1582,105.34,0.0,0.0,131.728,130.821,94.67,ASF,6,1,751.78,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2024-10-21
2018,HR,LV5,BOVINE,1782,1877,534.26,10622.98,0.0,130.396,130.819,171.37,BLUETONGUE,7,0,17317.52,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-02-03
