health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2011,HR,AT442,37.92,19.88,21.11,18.55,LEVEL_0_NONE,0,0,39,67,999,14,74.19,72018,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-09-27
2012,DE,DE71,42.79,38.39,45.39,25.13,LEVEL_1_BASIC,0,0,14,0,37,21,189.47,44106,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-10-11
2013,LU,ES64,49.26,50.2,30.63,46.81,LEVEL_2_STRUCTURED,1,0,46,9,1220,49,168.18,69034,0,EHDS_PILOT_REPORT,EHEALTH_V2,2026-02-24
2014,SI,PT45,66.14,49.96,48.53,47.4,LEVEL_3_SEMANTIC,0,0,58,32,796,37,43.84,132581,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-06-19
2015,CY,AT74,35.22,52.41,31.46,31.73,LEVEL_4_FEDERATED,0,0,36,23,917,84,15.71,36550,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-01-09
2016,GR,HU50,57.35,42.78,49.26,51.67,LEVEL_0_NONE,1,0,17,36,722,106,44.5,65139,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-08-01
2017,MT,FI399,83.41,44.66,67.79,28.1,LEVEL_1_BASIC,0,0,17,8,1521,82,55.25,57888,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-12-02
2018,ES,LU53,74.72,70.17,70.55,58.43,LEVEL_2_STRUCTURED,0,0,8,43,2378,44,127.25,5807,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-07-26
2019,CZ,BE511,80.33,78.78,64.65,48.34,LEVEL_3_SEMANTIC,1,1,37,45,2106,56,19.17,16901,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-04-08
2020,HU,SI32,70.04,70.35,54.85,46.85,LEVEL_4_FEDERATED,1,1,50,25,1292,108,9.78,41696,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-04-04
2021,NL,EE4,67.05,75.91,79.85,41.09,LEVEL_0_NONE,1,1,93,12,1595,118,359.8,151542,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-02-25
2022,SE,SI635,56.57,77.57,73.79,52.96,LEVEL_1_BASIC,1,0,35,4,3153,67,145.26,138367,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-05-16
2023,DK,LV71,76.03,74.59,79.45,59.72,LEVEL_2_STRUCTURED,0,0,5,33,1349,56,220.95,84419,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-12-07
2024,IE,SK380,100.0,72.69,82.6,56.48,LEVEL_3_SEMANTIC,1,0,70,17,527,192,143.58,149186,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-08-01
2025,PL,HR299,65.53,70.81,80.54,67.38,LEVEL_4_FEDERATED,0,0,30,17,1952,205,169.0,84824,1,EHDS_PILOT_REPORT,EHEALTH_V2,2025-07-12
2006,AT,SE81,28.03,14.15,29.73,9.33,LEVEL_0_NONE,0,0,44,30,815,25,201.49,138392,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-11-17
2007,EE,DE354,27.77,26.87,24.77,20.58,LEVEL_1_BASIC,0,1,15,28,789,68,151.8,30267,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-12-06
2008,IT,PT693,27.53,37.03,8.34,14.92,LEVEL_2_STRUCTURED,0,0,2,2,930,111,73.64,79917,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-08-09
2009,PT,PL21,29.75,21.49,19.1,30.22,LEVEL_3_SEMANTIC,1,0,21,5,240,101,78.85,76485,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-03-22
2010,BE,EE782,49.02,26.4,36.18,35.57,LEVEL_4_FEDERATED,0,0,49,13,1438,100,47.34,13373,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-08-14
2011,FI,HU192,43.07,28.39,45.56,33.02,LEVEL_0_NONE,0,0,6,10,229,41,103.81,91209,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-10-05
2012,LV,DK83,47.71,36.09,32.2,37.84,LEVEL_1_BASIC,0,0,28,28,877,89,194.58,76845,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-03-01
2013,RO,PT680,60.15,35.03,47.96,29.52,LEVEL_2_STRUCTURED,0,0,23,43,1337,96,208.31,64714,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-12-11
2014,BG,EE643,64.72,31.93,49.34,37.13,LEVEL_3_SEMANTIC,0,0,30,26,998,17,129.4,123943,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-07-25
2015,FR,IE352,38.5,62.96,45.17,36.8,LEVEL_4_FEDERATED,0,1,43,25,1103,57,135.69,112348,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2026-01-17
2016,LT,SE147,51.83,44.31,47.19,30.68,LEVEL_0_NONE,1,0,17,21,496,15,138.53,82189,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-03-23
2017,SK,MT547,69.71,61.57,60.19,41.42,LEVEL_1_BASIC,1,1,4,31,896,66,116.51,26167,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-03
2018,HR,AT47,50.67,46.71,47.27,28.21,LEVEL_2_STRUCTURED,1,0,42,31,874,46,8.98,33529,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-29
2019,DE,AT948,81.05,51.71,82.1,55.86,LEVEL_3_SEMANTIC,0,0,37,15,3247,94,152.46,77532,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-12-18
2020,LU,CZ99,46.64,69.63,58.9,73.4,LEVEL_4_FEDERATED,1,0,98,61,2968,9,308.1,95134,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-01-15
2021,SI,DE60,70.09,59.68,79.34,62.9,LEVEL_0_NONE,1,1,67,28,3177,74,16.04,250959,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-10-09
2022,CY,CZ3,74.59,83.6,48.73,66.61,LEVEL_1_BASIC,1,0,96,16,1596,124,187.64,133917,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-05-30
2023,GR,LT362,84.69,80.87,61.07,48.78,LEVEL_2_STRUCTURED,1,1,2,36,2575,128,179.39,139858,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-05-05
2024,MT,DE18,62.96,55.0,97.76,91.11,LEVEL_3_SEMANTIC,1,1,77,48,308,277,113.36,8651,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-08-30
2025,ES,ES9,90.49,77.11,87.0,41.29,LEVEL_4_FEDERATED,1,1,65,55,141,219,157.92,75243,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-10-10
2006,CZ,ES509,28.57,21.07,19.58,20.51,LEVEL_0_NONE,0,1,30,46,873,95,75.65,50241,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-10-22
2007,HU,DK16,43.51,20.61,14.31,7.05,LEVEL_1_BASIC,0,0,44,43,751,109,107.51,123517,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-01-09
2008,NL,BG9,36.4,40.14,20.03,16.63,LEVEL_2_STRUCTURED,0,0,42,20,150,98,158.38,32152,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-07-15
2009,SE,CZ1,29.4,31.97,38.54,20.86,LEVEL_3_SEMANTIC,0,0,51,49,1290,30,184.95,111639,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-11-18
2010,DK,AT761,51.79,38.92,28.8,22.78,LEVEL_4_FEDERATED,0,0,41,67,1186,63,35.14,12543,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-11-09
2011,IE,SE710,23.07,27.51,24.59,20.79,LEVEL_0_NONE,0,0,49,62,802,30,71.84,90735,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-01-11
2012,PL,LT63,53.58,35.86,26.31,26.14,LEVEL_1_BASIC,0,0,56,32,74,36,90.02,66580,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-20
2013,AT,PT2,51.98,54.11,43.98,16.97,LEVEL_2_STRUCTURED,0,0,61,67,1458,31,46.46,55090,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-08-17
2014,EE,SE338,61.31,44.7,52.38,25.66,LEVEL_3_SEMANTIC,0,0,31,20,1205,67,65.61,141462,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-06-19
2015,IT,PL971,35.07,39.53,41.56,29.54,LEVEL_4_FEDERATED,0,0,61,58,349,83,136.69,51390,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-02-10
2016,PT,FI75,60.09,42.29,47.61,45.75,LEVEL_0_NONE,1,0,60,8,152,26,230.57,85919,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-09-25
2017,BE,LV9,39.14,58.46,53.02,44.87,LEVEL_1_BASIC,1,0,17,21,38,75,240.77,25861,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-06-20
2018,FI,CY963,76.81,55.62,64.49,29.18,LEVEL_2_STRUCTURED,1,0,44,55,3329,32,109.44,102257,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-01-06
2019,LV,MT83,62.94,70.76,60.73,65.79,LEVEL_3_SEMANTIC,1,0,38,7,1731,45,83.78,41347,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-09-13
2020,RO,MT4,60.33,51.77,72.18,49.22,LEVEL_4_FEDERATED,0,0,22,34,251,19,40.15,204060,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-01
2021,BG,FI43,53.49,78.98,65.69,72.59,LEVEL_0_NONE,1,1,33,49,2477,133,68.89,36024,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-06-06
2022,FR,BG5,81.4,68.42,74.51,59.87,LEVEL_1_BASIC,1,1,46,30,868,163,165.36,233394,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-07-30
2023,LT,IT719,81.34,60.42,67.55,77.07,LEVEL_2_STRUCTURED,1,1,35,44,165,32,69.03,266745,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-01-08
2024,SK,DK2,76.05,78.14,94.42,51.1,LEVEL_3_SEMANTIC,1,1,53,16,1245,179,134.62,59007,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-07-28
2025,HR,CY3,82.13,64.06,73.6,69.12,LEVEL_4_FEDERATED,1,1,76,28,3277,36,100.77,66177,1,EHDS_PILOT_REPORT,EHEALTH_V1,2025-03-07
2006,DE,PT32,16.76,16.84,10.12,17.56,LEVEL_0_NONE,0,0,21,37,603,82,58.77,142389,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-05-01
2007,LU,RO4,38.65,27.99,25.48,19.67,LEVEL_1_BASIC,0,0,20,34,487,1,108.98,22690,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2026-02-09
2008,SI,HU526,20.83,36.89,23.44,24.07,LEVEL_2_STRUCTURED,0,0,25,36,1132,103,121.99,78496,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-06-21
2009,CY,HR4,46.58,30.79,32.29,23.74,LEVEL_3_SEMANTIC,1,0,60,63,130,3,24.98,9064,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-04-24
2010,GR,SK2,30.49,32.41,21.76,23.59,LEVEL_4_FEDERATED,0,0,5,2,365,74,24.77,114946,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-07-29
2011,MT,CY46,41.36,24.06,42.92,20.2,LEVEL_0_NONE,0,0,28,61,362,11,94.7,44575,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2026-01-04
2012,ES,LV2,49.26,53.51,31.58,23.45,LEVEL_1_BASIC,0,0,30,13,415,26,82.79,91705,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-18
2013,CZ,RO54,52.84,38.51,53.99,32.04,LEVEL_2_STRUCTURED,1,0,52,56,452,2,187.53,45705,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-05-20
2014,HU,LT1,63.19,46.54,57.94,33.62,LEVEL_3_SEMANTIC,0,0,61,3,1322,15,122.21,126032,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-11-01
2015,NL,BG561,38.85,57.5,29.61,31.1,LEVEL_4_FEDERATED,0,0,50,62,587,11,133.62,76053,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-08-23
2016,SE,NL1,31.94,32.22,62.72,37.64,LEVEL_0_NONE,0,0,58,39,145,79,43.8,33573,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-04
2017,DK,PT616,59.51,60.22,43.34,23.49,LEVEL_1_BASIC,1,0,38,56,110,39,41.33,79969,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-07-19
2018,IE,HU149,48.61,41.21,69.03,51.45,LEVEL_2_STRUCTURED,0,0,30,13,2996,85,37.31,42159,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-06-11
2019,PL,EE3,48.97,74.64,63.13,33.72,LEVEL_3_SEMANTIC,1,0,60,5,2293,81,107.9,33779,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-06-19
2020,AT,LV739,65.13,59.53,74.5,54.99,LEVEL_4_FEDERATED,1,0,27,34,228,20,328.2,91055,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-31
2021,EE,DK73,70.92,57.44,74.06,61.67,LEVEL_0_NONE,1,0,4,4,3420,268,213.93,51266,1,EHDS_PILOT_REPORT,EHEALTH_V3,2024-01-31
2022,IT,IT166,65.83,83.09,43.39,70.41,LEVEL_1_BASIC,1,1,83,33,2528,13,216.64,90537,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-08-19
2023,PT,SK367,79.91,75.91,75.52,73.89,LEVEL_2_STRUCTURED,0,1,36,66,3168,63,120.32,118129,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-01-18
2024,BE,HR713,84.05,77.99,66.78,77.95,LEVEL_3_SEMANTIC,0,0,59,36,2461,261,139.3,246543,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-11-29
2025,FI,FI5,73.62,82.54,93.21,76.6,LEVEL_4_FEDERATED,0,1,101,45,494,13,238.03,153820,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-03-11
2006,LV,EE26,41.17,8.52,22.02,5.9,LEVEL_0_NONE,0,0,24,45,883,54,147.38,60275,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-28
2007,RO,ES16,35.62,27.27,35.18,25.33,LEVEL_1_BASIC,0,0,31,52,876,9,54.72,55719,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-04-22
2008,BG,SE33,28.43,25.88,27.27,20.55,LEVEL_2_STRUCTURED,0,0,58,48,296,57,136.24,85401,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-14
2009,FR,FR35,31.1,27.28,42.59,10.05,LEVEL_3_SEMANTIC,0,0,11,29,838,91,207.34,141306,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-09-23
2010,LT,PT1,51.76,28.56,19.96,32.37,LEVEL_4_FEDERATED,0,0,53,4,864,97,125.14,124259,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-05-11
2011,SK,IE6,58.94,21.16,37.44,43.04,LEVEL_0_NONE,0,1,58,34,628,34,113.44,132503,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-07-07
2012,HR,DK47,31.59,40.85,41.19,33.75,LEVEL_1_BASIC,0,0,42,17,785,14,76.78,77763,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-10-29
2013,DE,BG50,37.16,37.0,51.12,46.51,LEVEL_2_STRUCTURED,0,0,53,36,149,84,238.24,118507,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-03-23
2014,LU,PT487,43.26,24.91,46.94,42.41,LEVEL_3_SEMANTIC,0,0,35,30,689,64,57.75,23702,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-05-12
2015,SI,HR3,46.24,42.21,31.48,58.61,LEVEL_4_FEDERATED,1,0,2,1,427,91,4.64,108884,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-12-03
2016,CY,HU3,49.68,64.75,60.81,43.43,LEVEL_0_NONE,0,0,48,0,868,50,190.54,62121,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-12-22
2017,GR,PL8,59.52,43.9,62.21,45.76,LEVEL_1_BASIC,1,0,3,5,1021,57,62.03,81861,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-03-31
2018,MT,AT6,48.66,57.61,46.62,56.48,LEVEL_2_STRUCTURED,1,0,56,48,1106,86,202.79,90795,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-05-23
2019,ES,ES5,52.76,72.77,62.51,50.31,LEVEL_3_SEMANTIC,0,0,59,19,2433,40,64.51,90386,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-02-23
2020,CZ,LT9,79.24,64.49,48.95,57.04,LEVEL_4_FEDERATED,0,0,17,8,781,79,269.3,184709,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-02-23
2021,HU,BG3,60.23,53.77,65.11,44.9,LEVEL_0_NONE,1,1,22,1,2557,48,266.63,94095,1,EHDS_PILOT_REPORT,EHEALTH_V1,2025-06-02
2022,NL,GR5,94.24,73.07,66.64,72.74,LEVEL_1_BASIC,0,0,58,61,157,177,57.72,59515,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-01-12
2023,SE,LV8,100.0,69.26,68.32,48.71,LEVEL_2_STRUCTURED,0,1,44,47,776,250,154.88,103865,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-10-29
2024,DK,ES24,100.0,82.22,47.15,45.95,LEVEL_3_SEMANTIC,1,0,76,32,317,265,246.86,105949,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-04-13
2025,IE,LU5,77.82,100.0,86.29,61.62,LEVEL_4_FEDERATED,1,1,97,67,119,175,34.79,171723,1,EHDS_PILOT_REPORT,EHEALTH_V3,2024-10-01
2006,PL,NL5,16.55,24.05,34.14,6.15,LEVEL_0_NONE,0,0,15,2,16,27,188.76,61435,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-11-13
2007,AT,NL39,33.68,26.67,28.64,22.61,LEVEL_1_BASIC,0,0,15,15,411,32,21.88,118566,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-07-28
2008,EE,FI935,38.14,45.59,16.11,31.35,LEVEL_2_STRUCTURED,0,0,5,7,411,101,100.69,85454,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-06-25
2009,IT,IT257,27.71,17.46,12.51,28.32,LEVEL_3_SEMANTIC,0,0,49,56,793,40,55.65,98479,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-07-04
2010,PT,SI1,44.77,34.25,42.39,27.61,LEVEL_4_FEDERATED,0,0,9,40,1140,29,136.07,63009,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-06-22
2011,BE,LV36,20.58,46.06,21.3,16.54,LEVEL_0_NONE,1,0,39,19,720,42,79.56,21947,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-04-25
2012,FI,ES719,28.49,61.34,35.22,42.75,LEVEL_1_BASIC,0,0,37,47,251,14,241.82,71666,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-05-06
2013,LV,ES770,68.72,57.67,57.5,29.07,LEVEL_2_STRUCTURED,0,0,16,46,985,38,25.27,90402,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-05-28
2014,RO,LU9,69.94,26.82,48.31,37.14,LEVEL_3_SEMANTIC,1,0,14,10,555,94,100.21,49236,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-08-15
2015,BG,NL87,55.26,47.96,45.62,41.14,LEVEL_4_FEDERATED,1,0,54,39,1398,101,240.46,58165,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-12-01
2016,FR,AT167,64.72,69.69,48.29,40.29,LEVEL_0_NONE,0,0,26,53,1480,38,12.06,123116,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-07-02
2017,LT,CZ239,49.99,67.43,63.06,45.88,LEVEL_1_BASIC,1,0,3,4,1207,10,31.54,3515,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-03-18
2018,SK,GR85,65.65,76.85,47.22,57.5,LEVEL_2_STRUCTURED,0,1,27,33,2314,65,106.52,76638,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2026-02-22
2019,HR,NL493,65.75,68.98,62.49,49.35,LEVEL_3_SEMANTIC,0,0,44,42,2873,73,55.64,108885,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-09-05
2020,DE,LU439,94.78,67.17,48.35,59.0,LEVEL_4_FEDERATED,1,0,74,21,3108,57,298.74,203288,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-07-14
2021,LU,CY841,73.18,60.57,77.24,56.06,LEVEL_0_NONE,0,1,59,44,3436,192,285.77,123663,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-05-30
2022,SI,AT515,48.64,54.04,82.58,45.26,LEVEL_1_BASIC,1,0,20,37,2708,326,35.69,155506,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-07-01
2023,CY,LT7,53.16,60.32,75.72,56.31,LEVEL_2_STRUCTURED,1,0,22,25,2941,262,240.24,197057,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2026-01-22
2024,GR,CZ449,75.51,89.63,85.19,71.58,LEVEL_3_SEMANTIC,1,0,88,37,84,330,140.85,12675,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-11-11
2025,MT,AT45,78.32,67.19,77.09,43.92,LEVEL_4_FEDERATED,1,0,100,56,427,182,95.85,117151,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-01-31
2006,ES,FI32,29.37,8.28,19.34,10.78,LEVEL_0_NONE,0,0,63,50,936,18,88.46,47577,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2026-02-23
2007,CZ,FR538,30.6,41.44,17.17,19.39,LEVEL_1_BASIC,0,0,7,13,549,110,39.56,113808,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-01-06
2008,HU,DE44,22.77,16.01,25.77,13.49,LEVEL_2_STRUCTURED,1,0,49,53,631,60,166.43,110112,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2026-02-22
2009,NL,PT8,34.51,25.98,40.92,12.6,LEVEL_3_SEMANTIC,0,0,0,23,274,81,172.86,4105,0,EHDS_PILOT_REPORT,EHEALTH_V3,2026-02-21
2010,SE,SI26,22.98,19.58,40.46,29.89,LEVEL_4_FEDERATED,0,0,37,26,477,105,11.97,42849,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-05-07
2011,DK,LV53,45.78,23.69,29.91,36.78,LEVEL_0_NONE,0,0,46,21,515,51,42.53,125280,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-10
2012,IE,LU47,64.92,62.64,34.65,22.49,LEVEL_1_BASIC,0,1,52,60,1020,74,203.47,21992,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-08-29
2013,PL,GR3,46.7,43.65,35.48,24.44,LEVEL_2_STRUCTURED,0,0,51,27,1144,66,60.98,49406,1,EHDS_PILOT_REPORT,EHEALTH_V2,2025-12-09
2014,AT,IE25,44.89,28.67,38.31,31.21,LEVEL_3_SEMANTIC,0,0,60,20,855,43,67.5,123953,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-04-11
2015,EE,CY183,50.54,33.25,64.1,53.33,LEVEL_4_FEDERATED,0,0,17,0,1079,70,78.58,26502,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-08-17
2016,IT,PL73,40.11,54.6,35.61,53.08,LEVEL_0_NONE,1,0,61,0,892,86,159.16,47237,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-05-21
2017,PT,AT371,49.93,40.81,47.2,55.17,LEVEL_1_BASIC,0,0,0,29,818,1,1.66,124919,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-08-17
2018,BE,MT95,54.67,73.6,53.77,35.85,LEVEL_2_STRUCTURED,0,0,33,28,2460,91,72.14,37448,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2026-02-07
2019,FI,LU49,52.07,66.95,66.89,68.18,LEVEL_3_SEMANTIC,0,1,34,32,938,21,98.45,97754,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-08-24
2020,LV,LU40,62.93,72.74,69.81,39.98,LEVEL_4_FEDERATED,1,0,5,4,885,100,87.02,106847,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-08-10
2021,RO,SE34,87.48,63.24,52.68,76.33,LEVEL_0_NONE,0,1,38,3,1752,364,61.03,109247,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-08-16
2022,BG,SI27,72.02,84.34,63.84,55.73,LEVEL_1_BASIC,0,0,6,5,143,190,164.95,202652,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-02-20
2023,FR,SK6,95.41,76.76,52.27,78.44,LEVEL_2_STRUCTURED,1,0,97,41,560,65,77.82,70606,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-04-10
2024,LT,BG68,100.0,92.26,65.12,85.09,LEVEL_3_SEMANTIC,1,1,49,65,1588,49,229.7,243948,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-06-05
2025,SK,SI67,80.53,83.91,82.26,74.05,LEVEL_4_FEDERATED,1,0,85,34,2511,365,82.64,182484,1,EHDS_PILOT_REPORT,EHEALTH_V2,2024-07-08
2006,HR,SE18,9.02,34.45,10.73,7.93,LEVEL_0_NONE,0,0,5,7,590,47,110.02,107404,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-05-09
2007,DE,LV762,35.84,15.97,22.5,25.65,LEVEL_1_BASIC,1,1,5,45,190,10,154.61,54419,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-11-16
2008,LU,IE49,38.1,38.8,34.04,24.44,LEVEL_2_STRUCTURED,1,0,28,20,993,72,51.75,38474,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-06-29
2009,SI,PL72,20.23,42.2,20.35,25.48,LEVEL_3_SEMANTIC,0,0,54,49,909,106,23.03,100771,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-06-19
2010,CY,EE14,32.48,55.05,48.9,22.86,LEVEL_4_FEDERATED,0,0,61,48,127,75,79.01,54599,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-09-23
2011,GR,CZ804,55.07,51.6,31.01,25.15,LEVEL_0_NONE,1,0,63,40,1198,77,195.46,121326,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-02-02
