tech_adopt_survey_year,tech_adopt_community_digital_id,tech_adopt_households_with_internet_pct,tech_adopt_households_with_computer_pct,tech_adopt_smartphone_only_households_pct,tech_adopt_digital_literacy_score,tech_adopt_affordability_barrier_rate,tech_adopt_language_barrier_rate,tech_adopt_disability_access_barrier_rate,tech_adopt_public_wifi_access_points,tech_adopt_library_device_loan_count,tech_adopt_digital_navigator_program_flag,tech_adopt_training_sessions_completed,tech_adopt_telehealth_use_rate,tech_adopt_online_learning_use_rate,tech_adopt_remote_work_enablement_rate,tech_adopt_banking_online_adoption_rate,tech_adopt_cyber_safety_incident_rate,tech_adopt_privacy_concern_score,tech_adopt_equity_gap_index
2024,LGD269709553,73.3,49.17,17.97,60.3,47.18,30.66,20.84,1060,830,0,4096,1.45,71.69,31.92,43.98,34.32,27.6,0.264
2019,LGD860215474,31.84,5.22,17.57,92.1,55.76,30.72,4.75,911,2655,1,3129,5.46,0.25,26.7,87.73,3.67,48.2,0.341
2023,LGD664841132,89.1,11.64,34.27,17.8,33.83,6.86,6.39,551,3725,0,7751,10.44,81.23,43.94,54.17,20.89,93.3,0.495
2023,LGD594359586,16.45,8.5,78.89,75.4,2.76,34.66,12.43,489,3253,0,6640,26.43,63.14,25.87,75.26,27.4,36.0,0.14
2025,LGD164399349,19.65,9.68,37.78,65.7,29.41,18.67,14.15,442,2759,0,8552,14.08,43.63,35.88,33.38,20.97,99.0,0.712
2024,LGD895033827,25.25,10.33,44.33,64.3,43.75,34.44,19.07,325,4002,1,5378,37.9,9.26,51.05,43.44,10.49,89.1,0.542
2025,LGD941248261,24.89,22.39,79.45,29.0,35.21,2.06,9.69,808,4032,1,8608,53.05,88.85,63.65,33.59,17.79,12.7,0.215
2021,LGD606125188,85.23,44.63,70.55,71.3,24.01,17.37,1.67,343,2888,0,1234,60.02,40.72,15.09,20.82,16.81,24.1,0.406
2025,LGD535218827,59.46,13.71,50.55,65.5,58.1,14.41,1.85,688,3615,1,8976,71.11,18.69,3.33,27.08,22.02,37.9,0.251
2023,LGD545685653,68.44,51.74,77.98,68.3,59.81,3.4,13.65,499,148,0,2125,67.99,7.8,45.91,31.09,22.3,15.5,1.0
2021,LGD798315549,95.71,82.32,51.26,82.5,3.52,10.31,20.75,832,781,1,4093,32.18,15.53,35.71,81.72,28.97,47.9,0.642
2019,LGD376745366,85.74,5.75,57.67,40.6,59.84,21.51,1.16,418,1135,0,7261,53.99,80.47,36.59,74.45,19.78,40.6,0.384
2018,LGD529017790,51.68,36.18,33.37,21.3,58.02,1.62,13.33,266,81,0,4494,37.04,60.78,50.35,11.94,20.75,26.3,0.673
2025,LGD255289624,27.21,15.53,73.66,6.3,38.72,0.65,6.77,990,1828,0,2289,35.08,84.12,11.25,55.41,28.37,53.8,0.01
2018,LGD639425751,16.61,9.73,80.51,48.1,24.61,9.61,15.67,544,522,0,2674,18.66,52.97,49.79,26.11,22.58,92.9,0.874
2018,LGD037310249,77.79,22.68,25.36,98.6,25.83,21.9,7.06,1076,2384,0,5498,59.91,0.7,15.62,11.68,13.4,77.8,0.047
2019,LGD317408008,45.02,32.78,30.47,60.8,46.95,7.07,22.92,848,1908,0,2166,61.27,15.59,40.61,20.8,9.09,72.2,0.336
2025,LGD929225414,97.51,44.26,52.38,93.4,26.69,29.56,18.26,126,3247,1,8273,63.18,78.29,47.3,92.43,22.43,54.9,0.803
2019,LGD435526083,55.46,39.16,23.91,97.1,48.64,4.61,23.41,906,4199,0,2921,47.52,10.67,29.79,68.95,6.72,84.4,0.881
2024,LGD854472225,88.75,75.66,8.92,46.1,53.79,20.93,0.28,1025,4202,0,7822,51.73,87.01,3.87,23.69,3.77,52.8,0.929
2019,LGD831322087,94.59,20.38,4.77,22.4,8.08,14.39,15.8,1174,1143,1,8643,65.61,55.03,12.28,10.15,32.64,73.1,0.872
2020,LGD921196081,31.91,19.61,28.79,12.0,16.06,1.43,20.98,267,2216,1,4969,55.68,36.46,1.41,33.66,29.92,68.4,0.504
2020,LGD266695814,73.71,44.95,70.67,82.1,53.85,1.64,24.25,381,134,0,2783,58.03,68.96,46.91,97.71,4.63,55.1,0.82
2025,LGD173519222,21.23,8.03,47.02,75.3,2.17,32.51,22.74,704,3411,0,2336,48.62,37.02,60.89,94.17,33.75,22.7,0.146
2022,LGD575996399,84.79,29.28,39.45,26.4,33.51,11.51,2.95,277,1911,0,1179,31.26,75.23,11.84,12.83,23.15,85.3,0.552
2025,LGD279663727,38.26,26.82,6.93,16.6,40.96,7.06,16.21,1045,101,0,6203,54.31,22.38,41.1,58.25,16.64,38.4,0.66
2023,LGD208980174,52.83,52.19,68.0,58.5,6.15,16.7,23.91,3,2571,0,2618,36.22,56.96,50.09,97.07,18.18,18.3,0.907
2018,LGD005815098,88.55,14.39,81.58,0.4,51.13,19.03,23.04,985,4191,1,1876,66.8,9.46,32.74,84.15,14.89,28.5,0.055
2019,LGD891213639,57.34,7.58,41.69,58.1,19.04,10.59,24.32,358,420,0,3264,70.93,63.78,14.74,15.51,13.12,53.0,0.482
2022,LGD262212943,30.05,11.42,24.15,18.4,1.42,21.52,0.36,597,1833,0,1604,71.57,86.69,28.2,15.33,15.45,2.6,0.431
2018,LGD221199235,82.41,33.72,71.77,20.5,46.47,17.5,1.87,247,4505,0,2015,56.26,84.36,16.27,25.57,18.98,51.4,0.362
2022,LGD485802566,62.25,46.12,56.66,33.5,29.67,19.33,12.07,1126,2475,0,1629,39.14,9.21,8.28,58.86,13.58,80.9,0.199
2024,LGD122109617,41.53,13.37,51.2,87.7,15.98,32.34,0.71,655,2195,0,6321,17.73,12.61,36.0,49.03,0.34,76.3,0.751
2020,LGD480097249,68.08,66.15,51.9,83.8,58.23,19.7,17.11,322,4264,0,4775,16.37,17.82,46.42,66.56,19.34,60.5,0.964
2023,LGD873753663,44.43,33.54,75.18,2.9,14.84,3.96,8.18,686,1763,1,3187,5.54,32.05,8.43,36.63,17.72,66.2,0.977
2019,LGD428089619,93.13,73.2,75.98,10.5,21.8,6.33,16.26,617,1526,0,8424,49.36,66.36,0.2,20.33,24.02,98.4,0.73
2024,LGD814584693,68.06,39.41,79.31,11.8,58.07,26.6,23.75,675,340,0,5917,24.48,8.31,55.97,76.11,18.82,1.8,0.839
2018,LGD412094492,53.31,14.94,11.21,90.9,35.15,22.37,22.71,933,631,1,3240,31.41,34.69,28.02,93.42,15.19,15.2,0.703
2025,LGD657576490,62.48,54.76,81.1,65.0,43.04,19.89,2.69,363,2181,1,5138,49.93,54.7,6.61,80.8,3.65,19.7,0.626
2024,LGD277329803,44.12,30.4,73.95,4.3,45.22,7.1,0.08,775,4201,0,8392,51.44,49.31,51.04,30.26,3.06,59.2,0.198
2024,LGD459207187,55.09,7.56,14.27,14.4,6.66,18.99,14.6,258,3380,0,3220,11.33,0.64,46.84,28.63,19.97,15.9,0.873
2023,LGD333125511,42.84,23.65,3.1,98.2,11.19,9.13,7.02,310,1617,0,2328,23.93,44.1,64.01,25.77,5.9,12.3,0.103
2021,LGD708998801,34.03,15.94,44.38,77.5,59.52,20.05,6.99,113,1760,1,6708,27.91,72.28,44.66,27.51,25.46,72.4,0.608
2021,LGD546484821,25.84,9.02,24.71,96.2,14.12,0.73,6.28,184,2522,1,2181,54.49,1.03,5.25,82.15,21.12,35.7,0.796
2022,LGD514170519,81.36,54.01,81.98,39.5,10.4,8.45,3.36,824,4365,0,6020,6.71,17.34,31.0,51.71,34.74,60.1,0.355
2023,LGD682512242,19.77,11.66,79.71,93.9,30.12,22.84,4.35,971,3322,0,2376,35.15,45.1,46.2,83.53,0.01,75.1,0.642
2020,LGD463968463,26.83,13.08,76.44,82.0,2.24,25.75,22.03,209,1187,0,5804,53.89,19.69,43.19,35.4,0.7,93.3,0.56
2018,LGD098835478,78.71,13.85,16.64,26.3,41.55,25.82,4.54,203,4585,0,498,22.07,41.24,25.61,25.77,19.77,15.6,0.86
2022,LGD799414456,93.17,66.29,32.18,5.6,13.55,9.18,19.9,177,4998,0,921,29.48,84.58,51.65,84.24,12.61,98.0,0.48
2018,LGD869082929,79.51,63.08,2.61,84.2,12.01,7.36,2.24,854,4206,0,8578,51.4,51.79,56.36,70.83,21.66,86.5,0.376
2024,LGD205055046,78.72,43.27,82.32,62.5,7.44,22.49,1.6,1002,1678,1,8611,29.44,40.67,57.31,50.01,25.7,31.3,0.366
2018,LGD473754074,72.91,66.89,6.43,71.4,5.2,33.82,4.75,1091,2972,0,8863,34.56,6.44,57.59,88.63,8.75,18.7,0.118
2025,LGD038351894,83.22,57.35,18.5,51.0,8.32,20.86,13.12,462,2026,0,2109,44.22,31.97,55.8,34.52,2.02,66.2,0.35
2022,LGD301177864,49.01,10.04,75.8,88.2,46.39,32.31,6.36,405,3257,0,4279,3.38,52.07,53.82,48.12,17.06,83.1,0.558
2021,LGD231065521,24.95,11.62,10.35,66.5,6.3,18.52,4.88,290,1751,0,455,40.18,69.03,30.05,72.51,0.61,94.2,0.43
2020,LGD293036860,54.14,28.78,75.58,56.9,38.11,10.28,17.29,569,455,0,1972,53.5,55.63,33.89,85.02,13.48,18.2,0.915
2021,LGD776406390,80.93,70.89,16.85,34.2,42.24,33.0,0.62,611,4837,0,3142,26.0,33.75,17.55,51.8,2.07,59.9,0.689
2025,LGD352456930,85.35,29.77,59.98,24.5,17.07,15.57,6.44,710,2454,0,7032,65.61,56.3,14.16,69.85,32.67,12.3,0.036
2020,LGD595382978,36.47,6.79,29.85,60.2,9.96,12.15,7.86,350,3728,0,2264,56.16,56.68,1.2,42.74,1.24,5.4,0.99
2025,LGD022599054,34.55,29.61,45.95,99.1,28.98,24.05,15.94,163,3623,1,5539,72.69,50.27,34.97,41.3,29.96,19.0,0.596
2020,LGD507027788,37.33,7.16,26.22,78.5,41.7,2.21,5.15,1050,4134,0,2922,37.8,87.87,28.74,79.15,4.02,37.0,0.322
2019,LGD170548875,60.7,53.78,82.05,60.3,6.5,4.12,12.71,613,3960,1,3893,41.38,26.67,2.1,78.98,3.16,81.6,0.283
2021,LGD139808432,66.48,58.83,62.61,44.7,4.97,14.68,12.93,1097,1631,1,7282,37.09,15.89,3.47,69.22,25.67,14.6,0.717
2025,LGD634366418,72.09,52.55,52.11,56.1,46.3,10.74,11.24,764,4553,0,3580,3.13,20.21,3.32,94.17,15.54,39.3,0.034
2023,LGD328248046,93.65,88.93,18.06,7.4,28.09,15.09,20.85,305,2040,0,953,69.74,10.81,1.97,35.46,12.37,94.1,0.465
2019,LGD210405395,21.87,17.87,3.69,77.2,45.9,33.29,20.06,676,3591,0,7483,72.31,15.52,5.42,63.2,18.6,30.9,0.242
2024,LGD114957622,87.24,16.73,78.28,0.7,47.39,11.62,9.52,345,1729,0,3884,43.2,36.89,6.85,32.0,25.99,79.9,0.143
2023,LGD987195466,58.61,7.16,59.77,20.7,51.21,33.12,19.61,1186,4125,0,2410,3.25,31.09,6.08,51.17,30.08,84.6,0.994
2020,LGD610926696,91.95,10.25,36.08,26.5,45.63,2.67,21.68,69,1348,0,1032,12.66,78.22,49.16,41.26,34.39,78.3,0.786
2025,LGD724382562,68.67,41.32,44.0,70.3,10.02,34.26,14.06,444,3060,0,7653,52.97,50.58,5.94,51.35,9.36,80.7,0.106
2019,LGD345380273,59.51,35.85,35.56,11.0,40.39,29.05,18.22,995,3379,0,1787,52.72,25.75,50.7,27.56,0.46,6.2,0.231
2024,LGD916876432,72.73,16.38,28.22,75.3,36.12,4.39,20.21,747,25,0,5976,74.05,25.23,6.45,55.72,22.49,8.7,0.305
2020,LGD196235172,33.58,12.85,32.77,60.5,19.0,6.54,5.18,1063,3069,0,5501,49.54,4.32,16.23,79.13,21.31,65.2,0.942
2024,LGD678535156,37.32,18.54,6.42,63.9,59.78,7.66,7.06,21,1241,0,281,7.94,59.67,3.31,19.7,2.43,13.9,0.947
2021,LGD555545492,57.51,50.65,58.83,90.2,59.77,28.43,4.57,167,4913,1,3155,52.42,69.36,58.8,12.85,11.08,57.1,0.268
2021,LGD483727636,40.11,27.76,61.4,1.4,26.58,21.54,15.93,737,1710,0,615,17.2,36.88,57.75,65.15,30.29,9.4,0.957
2025,LGD126392794,59.1,35.26,14.58,51.7,2.31,2.3,7.7,525,3975,0,5548,47.55,86.04,14.26,54.57,11.63,96.6,0.269
2024,LGD257943746,84.77,81.43,15.17,33.5,36.63,0.87,22.78,667,192,0,7922,53.48,89.51,49.89,91.5,21.96,76.4,0.774
2025,LGD677062025,55.06,43.93,57.22,73.5,6.31,7.52,0.03,204,1113,1,377,45.81,63.4,18.42,38.44,16.19,53.9,0.207
2019,LGD080130778,42.64,20.65,8.36,41.4,1.7,34.28,21.79,773,3940,0,3033,24.32,47.6,7.99,21.38,28.21,47.0,0.243
2020,LGD367847077,56.71,20.01,35.97,66.1,33.1,14.84,5.84,1024,2912,0,5198,31.13,34.09,31.5,48.59,23.11,0.3,0.9
2022,LGD910695092,16.73,12.49,77.63,14.5,18.24,14.86,21.08,842,4799,0,7308,30.84,38.45,51.1,81.79,1.78,46.7,0.175
2019,LGD492748620,90.84,87.78,70.14,4.3,33.1,10.67,0.07,143,826,1,5838,36.35,57.39,31.27,16.12,7.78,93.1,0.658
2022,LGD601230869,91.42,7.12,80.12,98.0,9.06,28.83,24.81,402,4670,0,4091,48.71,24.42,16.03,49.68,8.16,19.8,0.56
2022,LGD465113689,83.98,60.52,21.27,37.0,5.11,22.99,7.19,1161,3113,1,6314,32.51,40.29,64.44,46.09,16.97,14.7,0.209
2024,LGD682524134,58.44,7.22,28.04,50.9,8.88,22.45,11.78,487,3318,1,3798,72.78,81.09,4.58,83.64,21.25,63.2,0.819
2019,LGD766498725,66.83,48.3,70.4,23.0,15.7,4.07,10.67,158,455,0,6290,25.94,28.23,6.1,55.34,32.64,17.1,0.415
2021,LGD335876683,96.59,70.01,27.12,54.5,53.28,5.09,20.46,955,4926,1,3158,60.15,45.09,5.92,54.26,20.19,87.7,0.613
2025,LGD857504078,49.8,46.53,23.1,70.4,44.23,34.48,23.76,875,863,0,7227,3.95,88.42,63.73,46.38,2.4,18.5,0.063
2021,LGD331461635,44.56,26.51,16.68,10.1,10.3,17.92,23.89,1084,2596,1,5264,61.2,73.64,16.97,13.25,22.35,80.1,0.25
2024,LGD842118830,93.09,28.16,20.59,54.2,17.47,7.75,0.84,74,1398,0,740,22.12,33.48,45.52,52.29,20.9,46.6,0.953
2023,LGD509998645,54.26,9.21,39.53,61.0,36.09,17.12,19.72,175,4955,0,7973,40.37,18.1,15.55,28.58,14.82,34.6,0.656
2025,LGD703116118,66.49,11.11,42.66,95.1,1.65,3.06,4.3,93,4514,0,5608,51.82,40.75,42.27,33.84,19.16,59.6,0.247
2019,LGD054233667,16.74,15.35,4.0,34.2,18.44,7.29,3.43,22,404,0,5518,71.06,72.29,4.49,53.96,6.25,93.4,0.003
2024,LGD794151733,57.25,21.71,17.82,12.9,18.97,9.3,17.3,315,499,0,1528,39.27,26.6,63.6,72.64,5.48,77.4,0.268
2020,LGD394844779,85.82,81.62,70.55,8.8,38.57,1.17,24.88,327,4842,1,8891,2.71,24.75,34.37,40.21,34.2,45.8,0.172
2018,LGD210481884,85.68,41.74,63.44,43.9,4.38,15.91,3.45,899,3832,0,7941,54.61,56.72,62.56,74.73,34.24,23.5,0.291
2018,LGD349001053,74.75,30.8,70.68,66.2,46.15,13.87,13.04,345,2697,0,7512,57.76,57.41,18.18,67.22,28.7,35.3,0.725
2023,LGD673425922,40.21,11.28,12.93,16.1,11.52,29.12,20.7,402,65,1,8103,15.75,11.3,1.98,36.66,10.1,64.2,0.012
2023,LGD223984788,56.52,30.43,42.18,27.6,14.54,9.18,11.2,43,2175,0,8722,59.46,23.71,15.58,82.49,34.82,91.0,0.146
2020,LGD336721745,45.25,28.96,42.87,77.3,53.8,26.16,19.12,1183,2050,0,3896,70.22,0.28,52.04,69.9,28.59,9.3,0.422
2021,LGD361575628,90.02,76.06,74.73,67.4,34.83,29.54,9.98,785,2735,0,6793,0.84,59.78,32.11,66.94,9.79,73.4,0.08
2021,LGD751742788,81.84,64.0,27.67,62.5,4.48,19.49,17.21,339,3569,0,4543,43.6,28.77,28.6,13.54,16.49,81.2,0.272
2022,LGD053530173,76.44,57.78,56.96,56.2,26.32,13.16,2.13,778,2584,0,8552,45.56,27.91,4.0,56.13,14.77,56.4,0.811
2025,LGD270359990,70.1,61.3,14.88,81.9,43.71,5.04,6.37,31,4935,0,3890,23.26,69.97,32.49,89.52,15.74,50.4,0.457
2020,LGD173048267,26.59,17.98,68.68,72.6,56.01,29.41,17.54,70,2232,1,1556,30.36,25.96,54.11,85.46,26.2,49.4,0.624
2025,LGD615535383,49.09,6.33,3.44,96.3,47.39,16.46,14.9,1178,3862,0,3224,55.16,88.49,53.1,69.39,2.89,52.8,0.625
2019,LGD602927950,84.44,51.49,18.2,52.2,21.92,31.47,1.26,789,4462,1,24,67.8,22.59,8.82,12.08,26.28,27.6,0.706
2019,LGD428237276,61.45,51.68,27.6,36.3,26.57,2.33,23.6,619,1139,0,3732,24.32,28.52,1.53,36.97,24.37,2.5,0.5
2019,LGD986408006,89.0,26.56,13.96,36.2,56.57,17.71,10.27,90,2391,0,6432,0.02,57.83,20.37,64.72,33.25,3.1,0.105
2023,LGD334564131,46.02,10.21,38.52,49.2,24.35,0.16,1.14,923,898,0,3461,58.41,71.34,0.72,55.37,33.27,98.0,0.833
2020,LGD328726997,75.62,41.0,66.75,61.6,16.64,11.07,9.61,581,4621,0,8284,49.6,82.67,40.36,44.01,26.31,72.9,0.633
2019,LGD477463361,50.72,35.48,63.1,51.3,8.14,33.78,12.59,941,3130,0,2448,21.96,46.77,19.69,84.25,3.02,43.0,0.182
2024,LGD243673289,80.19,36.06,46.45,77.3,7.21,9.28,2.86,630,3828,1,3889,59.97,2.91,12.37,49.64,32.44,33.2,0.279
2020,LGD429972108,42.55,27.25,15.22,71.9,28.59,29.4,16.14,306,3152,0,7147,7.24,66.66,24.66,51.1,34.85,30.7,0.894
2023,LGD156198060,27.42,7.47,63.58,16.8,28.96,21.17,12.82,754,4666,0,5279,47.35,6.95,5.71,91.28,30.58,55.1,0.017
2020,LGD583596803,74.49,31.17,57.32,2.2,44.84,10.55,4.65,112,3828,0,3082,20.69,9.04,30.02,68.91,12.27,1.3,0.122
2018,LGD595040516,83.85,12.15,33.04,19.1,35.48,28.9,24.57,184,963,0,7923,10.71,24.44,64.68,63.32,8.07,8.3,0.344
2019,LGD198153633,40.23,25.94,8.26,93.0,33.01,33.21,13.86,700,4045,0,4288,9.29,63.57,11.96,29.6,31.54,26.6,0.648
2021,LGD459027692,70.82,45.48,68.68,42.9,43.97,24.69,11.87,1158,230,0,4244,11.7,70.44,61.35,51.9,0.82,12.9,0.463
2025,LGD908874568,75.27,42.94,39.68,95.2,46.03,11.91,1.19,418,645,0,3422,27.98,25.5,64.08,94.15,15.22,15.7,0.227
2024,LGD452123003,43.93,11.08,76.97,79.0,52.02,29.44,23.45,693,4894,0,1301,72.14,32.14,6.06,74.13,11.73,65.5,0.963
2025,LGD719051648,64.81,24.94,5.46,4.9,31.64,29.23,15.3,207,1812,1,515,17.37,1.97,25.7,26.82,17.26,56.3,0.401
2019,LGD948475966,84.53,68.0,37.66,37.8,0.13,20.26,1.2,442,649,0,3951,33.2,65.82,41.43,74.21,17.66,81.6,0.271
2024,LGD045062136,69.81,8.9,42.31,21.0,40.05,34.45,19.75,1182,4643,0,557,24.61,69.2,6.92,91.28,9.73,0.4,0.104
2019,LGD640316039,31.39,25.07,81.7,68.2,10.06,8.61,9.26,430,3923,0,8723,19.86,8.63,41.31,25.78,27.75,31.0,0.305
2019,LGD258352465,36.11,18.69,20.51,61.8,33.09,19.88,16.22,171,3489,1,2925,71.58,83.96,9.24,25.89,4.53,51.5,0.08
2023,LGD801589178,24.28,10.38,78.88,97.8,12.56,1.14,23.65,996,464,0,7343,55.27,75.88,17.89,82.46,30.3,14.6,0.443
2024,LGD469152909,26.73,16.57,12.67,16.9,1.56,21.19,6.65,79,4161,0,4816,9.48,88.66,30.43,70.84,16.58,29.6,0.411
2021,LGD792380140,87.78,61.98,3.13,33.2,6.06,32.22,19.33,959,3827,0,2484,45.97,36.43,43.74,91.97,14.73,22.0,0.862
2024,LGD083568146,86.07,64.0,72.66,97.7,29.92,16.54,6.65,787,2253,0,3309,66.25,82.14,55.41,17.07,11.13,75.8,0.193
2024,LGD119259942,80.79,80.5,12.05,54.1,27.58,12.22,21.25,930,1824,0,8156,23.79,17.17,6.8,80.23,10.29,69.7,0.082
2024,LGD628338614,72.2,23.58,10.68,45.4,25.74,23.19,18.89,1145,1503,1,2253,52.44,15.23,40.33,56.35,14.79,12.5,0.154
2023,LGD887126745,72.56,49.57,43.31,16.4,34.08,19.64,14.71,794,423,0,3980,65.16,53.8,32.13,58.12,21.69,96.3,0.245
2022,LGD270802020,52.67,6.1,11.01,7.4,45.55,28.63,14.63,1159,2618,1,4092,51.3,75.54,8.21,31.02,23.47,44.2,0.417
2020,LGD822738852,45.29,10.56,84.72,32.9,29.03,5.13,13.44,678,3120,0,5329,72.06,38.0,13.96,89.84,31.8,56.5,0.469
2021,LGD040034787,72.56,51.05,13.07,92.3,44.07,29.1,19.68,614,3974,1,355,24.78,0.34,17.41,12.29,25.25,56.3,0.064
2019,LGD787835396,73.48,6.59,15.41,71.2,50.96,9.28,0.71,176,2574,0,8750,7.75,44.06,12.62,29.01,21.05,58.5,0.456
2022,LGD653824047,63.53,13.76,43.98,81.5,43.78,11.95,3.43,959,3499,0,8918,61.16,31.29,42.87,45.71,8.74,92.5,0.68
2025,LGD713147691,58.64,43.14,73.84,33.3,33.41,5.99,18.67,446,2541,0,4815,48.97,28.18,39.9,91.68,11.4,21.1,0.465
2022,LGD506310280,60.85,45.97,78.78,81.4,10.06,19.99,0.43,629,3683,1,8085,14.43,11.41,24.44,70.89,14.9,58.9,0.767
2019,LGD624054219,77.37,50.29,70.62,62.2,29.73,17.35,2.39,1157,4050,0,5075,4.5,85.36,34.65,52.72,25.59,41.5,0.03
2025,LGD209502951,43.09,19.68,36.91,18.5,32.44,32.73,18.96,609,402,0,2437,41.61,60.28,47.57,76.42,15.46,76.1,0.883
2018,LGD348542204,16.94,13.38,80.98,81.0,28.76,32.0,16.05,1017,4810,1,3133,65.94,12.86,0.68,14.08,33.7,77.9,0.594
2022,LGD635784283,74.31,17.95,19.55,86.0,0.51,34.75,17.48,512,1577,0,7264,10.04,60.88,37.66,68.26,5.51,10.4,0.33
2023,LGD537405327,24.36,14.89,37.87,60.4,39.67,22.07,0.36,513,690,0,6079,66.66,43.54,19.37,27.96,1.17,19.7,0.339
2022,LGD857205264,49.11,36.31,42.92,67.2,19.96,24.01,2.43,1187,4678,0,3684,56.27,78.64,43.75,82.53,15.28,36.1,0.693
2025,LGD105865516,75.09,26.77,4.59,41.6,20.25,30.64,22.58,150,4081,1,2042,64.96,49.86,8.29,16.82,8.67,96.9,0.444
2021,LGD301875807,64.8,41.35,81.65,92.6,31.32,24.19,11.84,726,250,1,4164,30.95,2.62,29.82,49.5,13.76,26.7,0.966
2018,LGD916497698,73.5,31.88,65.81,55.7,8.91,17.86,19.98,1153,4110,0,4786,14.5,42.25,8.15,19.14,17.9,63.2,0.646
2023,LGD873296496,36.48,27.27,35.63,83.8,32.31,19.18,1.34,575,580,1,2272,24.77,86.82,55.2,61.62,22.57,23.7,0.064
2022,LGD763648664,32.89,13.63,80.97,85.1,59.83,0.21,18.56,160,798,0,6867,52.95,52.54,20.39,63.67,26.91,53.5,0.847
2019,LGD698256098,64.77,7.99,6.44,46.4,14.09,20.22,23.39,340,1454,1,2383,9.06,86.13,0.41,20.34,34.61,93.0,0.196
2022,LGD847128140,52.61,9.42,31.46,40.0,6.56,34.78,17.4,461,1068,1,6473,0.95,43.16,58.65,83.08,20.24,96.2,0.454
2021,LGD485224794,53.69,51.53,58.2,11.9,16.95,24.6,16.86,352,4955,0,3051,13.31,20.47,19.48,53.32,23.31,3.6,0.788
2018,LGD394186253,57.94,40.17,67.84,3.5,37.85,31.0,21.2,1007,1681,1,3040,46.45,88.01,23.42,87.94,17.23,12.8,0.409
2024,LGD131351820,79.64,75.95,27.8,66.4,32.2,8.78,8.41,1108,1730,1,7023,0.55,53.91,49.41,68.12,26.41,62.4,0.188
2018,LGD841311402,34.31,27.41,68.89,68.6,53.8,24.29,3.51,619,4440,0,8385,68.96,12.56,21.25,45.59,20.38,55.4,0.513
2021,LGD643754245,95.4,34.04,32.66,9.2,32.05,19.76,16.34,471,4898,0,4592,25.98,24.91,10.93,82.7,18.37,36.6,0.11
2024,LGD807073777,38.34,10.7,80.86,24.6,16.56,8.61,7.65,847,1345,0,8822,45.22,19.11,20.64,64.14,14.43,71.7,0.357
2024,LGD924145682,54.72,47.17,34.8,62.6,39.87,16.36,0.1,919,4868,1,1578,12.9,4.49,8.45,88.2,22.87,37.6,0.484
2020,LGD077459194,73.08,12.47,80.07,21.7,8.17,7.18,15.11,196,1750,0,393,58.7,71.75,41.14,52.45,23.29,8.8,0.875
2021,LGD150467231,78.77,16.86,46.8,40.0,2.25,3.56,2.77,310,2458,0,1269,30.31,25.6,17.62,66.89,21.65,40.8,0.521
2020,LGD261646876,54.06,17.92,33.11,81.1,46.73,3.37,7.48,765,2530,0,8565,1.85,34.14,64.57,92.86,10.65,24.6,0.239
2024,LGD764522653,39.41,10.32,32.47,99.6,43.69,11.06,17.96,754,2572,0,5583,74.06,67.87,12.32,55.56,20.31,13.8,0.107
2019,LGD878059181,26.64,16.36,4.87,25.6,5.14,31.32,15.38,1023,370,0,7617,6.49,7.86,10.27,42.14,29.37,71.0,0.55
2024,LGD189904707,65.8,59.7,9.8,11.0,6.77,18.73,17.34,943,4962,0,4978,4.6,58.24,32.59,53.3,9.79,36.7,0.61
2024,LGD365577910,44.56,36.41,24.26,93.9,47.85,31.78,0.36,385,773,0,3879,62.09,43.56,46.8,30.87,12.12,74.5,0.54
2025,LGD980871984,68.31,60.69,27.73,14.3,42.84,5.09,6.52,185,507,0,2148,1.23,40.23,54.1,13.44,34.23,62.6,0.419
2021,LGD550736962,31.95,9.66,73.3,80.2,11.29,23.29,12.49,633,1330,0,2440,41.2,21.99,50.26,13.45,20.09,92.8,0.541
2024,LGD524240647,97.85,69.08,63.27,60.6,44.09,5.69,6.78,887,2011,0,6009,60.88,53.99,6.19,62.86,2.75,88.7,0.367
2022,LGD820160200,76.66,44.55,50.75,59.9,6.75,29.95,6.34,523,1804,0,2249,18.83,59.68,4.4,39.68,13.55,19.3,0.361
2022,LGD835484461,83.3,49.18,71.72,78.1,59.27,10.31,15.78,1181,40,0,689,5.38,43.1,62.35,36.91,3.93,96.0,0.868
2025,LGD315615436,97.41,36.86,16.99,46.8,26.43,33.99,16.65,1132,1610,1,8636,55.8,40.75,13.24,72.15,5.19,31.6,0.432
2021,LGD480387390,20.75,19.91,46.96,72.2,26.38,7.66,20.04,694,437,1,5017,12.27,43.6,5.69,62.3,31.87,85.8,0.13
2025,LGD125127169,25.02,24.63,81.05,23.8,9.43,11.84,16.73,7,3844,0,3684,60.37,25.63,35.54,97.45,9.42,25.8,0.06
2023,LGD164254329,16.0,8.93,63.55,86.6,45.93,28.6,16.22,519,2509,0,862,71.29,63.18,33.73,24.23,6.97,83.6,0.793
2020,LGD839181727,22.01,12.07,10.96,94.7,48.62,6.01,15.97,719,3166,1,8429,3.19,46.92,8.25,17.79,2.24,65.6,0.776
2022,LGD483174816,95.83,80.15,59.13,51.3,9.83,30.05,23.92,755,3015,1,3694,5.97,85.77,51.87,50.69,31.68,45.6,0.043
2021,LGD554190213,79.73,36.6,30.62,56.4,35.56,0.96,9.57,29,1119,1,1660,65.96,69.14,2.92,56.39,0.57,24.4,0.135
