soc_vuln_index_year,soc_vuln_community_geoid,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_social_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2024,GEO00000000502,49.37,5.35,42.15,8.76,24.85,20.4,9.33,18.803,42.48,3.42,4.64,70.8,53.68,1.61,0.2915,97.38,76.7,1855
2008,GEO00000000503,41.67,34.14,38.66,23.14,7.39,32.16,20.21,6.329,41.42,21.61,12.13,1177.11,40.93,63.26,0.8686,65.12,38.43,807
2014,GEO00000000504,12.52,17.11,28.59,26.7,27.89,29.14,10.65,2.317,10.48,27.87,7.76,1206.15,50.76,5.49,0.2525,75.75,71.37,324
2013,GEO00000000505,12.05,32.61,22.58,18.12,10.14,32.47,35.12,16.407,14.5,16.84,26.28,328.74,37.94,83.69,0.4788,13.31,10.65,1661
2010,GEO00000000506,36.06,3.91,2.89,15.28,2.11,41.81,6.37,1.374,47.95,2.16,1.81,1454.25,6.11,1.8,0.5504,50.14,6.06,740
2017,GEO00000000507,2.35,15.52,68.47,6.87,23.97,3.16,19.17,14.287,9.09,25.08,10.91,297.26,9.95,80.6,0.14,40.36,70.41,232
2020,GEO00000000508,24.6,12.38,74.78,8.54,31.75,36.26,35.88,12.288,46.77,6.04,24.68,1252.06,58.11,38.44,0.2907,45.86,80.05,1326
2015,GEO00000000509,38.28,4.22,19.63,51.91,37.02,37.72,34.06,4.944,4.43,17.3,1.18,1404.78,17.3,58.17,0.5001,45.71,49.78,856
2009,GEO00000000510,33.31,12.87,63.66,17.11,28.35,44.91,3.66,2.97,57.21,16.75,39.65,1343.92,16.74,93.34,0.0328,92.8,96.92,820
2007,GEO00000000511,40.94,26.66,69.38,33.01,2.81,18.13,35.27,7.76,15.1,16.24,35.13,1499.97,26.79,22.55,0.9287,11.95,28.14,217
2015,GEO00000000512,53.48,27.02,44.65,15.14,31.02,2.91,16.38,18.904,0.18,11.03,24.41,672.55,14.28,75.37,0.4005,33.3,39.66,138
2017,GEO00000000513,12.19,12.65,20.25,27.33,3.82,14.22,34.24,6.47,3.9,2.56,11.63,357.62,74.11,72.86,0.3996,58.88,85.72,146
2007,GEO00000000514,40.54,26.85,64.81,49.66,4.83,1.65,0.99,4.66,44.44,26.83,7.69,779.23,14.75,44.77,0.8465,90.22,87.64,294
2022,GEO00000000515,37.44,17.22,65.05,47.07,14.06,28.66,18.43,7.065,44.74,23.9,20.38,1456.45,76.9,83.69,0.4369,24.77,22.28,185
2013,GEO00000000516,10.07,20.58,33.85,53.41,24.91,26.42,33.08,19.172,22.7,21.16,2.12,948.3,8.54,17.72,0.6202,87.64,70.27,1934
2016,GEO00000000517,35.74,30.99,32.03,17.16,15.69,29.39,37.01,8.377,41.51,7.74,25.54,771.34,90.69,96.24,0.8839,69.55,10.09,838
2007,GEO00000000518,32.67,32.53,13.2,19.54,2.24,23.7,6.45,12.371,57.9,1.63,34.3,718.81,36.96,43.15,0.4891,1.92,83.83,23
2015,GEO00000000519,26.44,16.41,59.58,9.2,20.37,13.95,34.9,3.513,15.34,25.87,29.86,281.78,67.73,70.82,0.6986,55.57,49.4,769
2010,GEO00000000520,26.45,20.74,19.52,54.4,30.43,15.71,35.38,8.599,29.16,27.73,15.25,93.29,20.51,11.92,0.3497,18.76,10.85,186
2009,GEO00000000521,46.67,34.93,70.89,32.62,6.66,9.17,11.1,1.37,29.88,20.41,21.62,1344.61,80.99,54.8,0.8179,84.24,82.88,1436
2011,GEO00000000522,4.79,15.9,41.08,26.3,19.74,27.49,25.02,17.448,4.02,23.08,35.54,1046.55,24.3,38.41,0.5543,88.4,11.9,1300
2017,GEO00000000523,13.66,10.61,66.28,23.33,37.58,10.24,26.72,13.245,58.67,4.23,20.82,599.61,90.42,69.62,0.3511,33.17,35.36,198
2016,GEO00000000524,36.12,23.29,43.19,34.96,31.8,29.16,8.98,7.191,54.04,0.08,32.45,1395.27,50.9,7.02,0.8223,32.56,73.68,771
2008,GEO00000000525,3.56,23.21,40.67,34.32,29.22,31.1,7.57,0.476,50.59,21.25,19.54,403.82,46.2,68.19,0.9013,78.45,90.42,705
2014,GEO00000000526,42.17,26.91,55.9,4.83,15.15,6.07,25.79,9.95,28.53,2.75,14.13,701.85,27.66,42.27,0.1922,77.66,30.0,375
2010,GEO00000000527,20.3,7.34,29.71,5.48,29.27,15.87,4.67,13.311,5.23,17.73,9.58,270.72,50.47,2.72,0.1547,47.52,70.94,1567
2023,GEO00000000528,14.65,15.84,41.18,9.66,6.12,41.85,17.86,18.925,40.28,4.29,7.9,1486.49,14.36,52.5,0.2461,1.87,75.81,901
2008,GEO00000000529,19.61,34.73,9.57,27.21,15.13,1.6,13.32,14.685,54.77,24.41,28.11,1433.65,55.48,21.82,0.6951,36.11,72.97,1348
2025,GEO00000000530,37.57,26.29,64.2,18.55,14.85,0.92,24.76,11.144,1.44,9.39,27.07,219.33,13.88,20.39,0.617,87.61,46.25,1358
2007,GEO00000000531,27.85,33.2,72.0,1.49,1.63,34.5,8.22,5.155,17.8,24.55,7.38,121.06,17.94,45.32,0.1946,14.48,40.34,1489
2007,GEO00000000532,19.49,26.28,35.46,2.99,25.57,35.64,13.37,14.918,31.21,5.74,39.17,1439.32,81.89,89.4,0.7917,26.64,19.97,956
2019,GEO00000000533,42.15,23.59,69.13,54.93,5.55,7.76,26.35,7.895,34.8,20.78,5.19,902.43,60.27,12.6,0.9675,89.29,75.72,592
2020,GEO00000000534,37.74,23.58,49.03,3.05,3.12,30.58,8.27,2.954,39.47,0.47,5.68,1027.25,92.49,68.89,0.3319,80.95,24.85,699
2014,GEO00000000535,52.56,12.27,24.08,35.86,11.51,34.33,11.78,9.153,14.86,10.45,18.3,4.01,23.05,99.96,0.907,40.42,5.32,1218
2019,GEO00000000536,1.3,9.95,37.01,44.92,25.07,38.66,37.26,17.862,12.33,6.98,17.04,596.82,97.46,99.68,0.3113,78.46,47.19,1654
2010,GEO00000000537,36.84,6.96,14.96,35.17,37.65,17.9,24.07,17.218,27.65,4.03,5.94,215.07,75.83,68.95,0.8795,16.77,52.99,1417
2020,GEO00000000538,39.17,10.04,60.79,46.4,2.07,31.62,3.95,12.657,28.32,12.22,18.07,459.28,24.24,90.24,0.9806,60.9,25.47,104
2011,GEO00000000539,18.19,24.18,7.61,0.84,30.48,43.98,15.36,0.403,20.05,19.94,37.91,1473.21,33.3,12.19,0.0808,91.43,12.24,125
2024,GEO00000000540,20.63,15.05,20.87,53.96,21.1,29.5,35.86,8.437,46.97,6.31,7.51,358.65,69.84,76.95,0.5184,65.04,16.13,475
2019,GEO00000000541,7.92,27.42,4.59,4.13,38.2,1.08,16.46,10.257,6.32,2.45,15.02,1242.27,40.81,2.3,0.0473,9.64,27.56,903
2011,GEO00000000542,35.01,31.24,3.12,21.45,28.55,34.27,37.45,18.625,47.02,28.29,9.69,1195.7,50.27,79.33,0.8519,62.38,30.47,1301
2014,GEO00000000543,51.76,8.23,10.01,15.5,33.15,40.79,29.79,8.813,58.58,11.4,39.11,570.05,28.47,26.81,0.6601,46.3,80.45,1079
2017,GEO00000000544,23.11,5.73,44.57,4.21,5.5,18.84,13.0,16.02,6.12,22.81,29.9,1384.74,41.46,98.55,0.2659,1.97,72.93,154
2012,GEO00000000545,30.96,23.42,1.21,30.77,4.57,5.99,23.32,1.797,51.13,10.31,37.55,614.16,59.66,57.78,0.0929,76.79,23.97,1421
2009,GEO00000000546,33.95,2.49,37.45,30.09,3.71,18.76,11.87,16.552,31.95,25.94,31.21,895.89,52.87,98.7,0.2264,24.7,2.11,413
2022,GEO00000000547,46.49,23.34,72.5,24.97,0.89,14.61,0.78,15.88,12.2,23.83,18.21,1117.57,26.71,48.34,0.4051,71.25,96.37,1381
2015,GEO00000000548,38.45,15.74,2.76,6.59,31.24,25.13,4.48,14.141,33.16,13.92,27.29,1488.1,97.56,58.22,0.3873,99.4,36.83,1198
2015,GEO00000000549,8.41,3.39,23.19,51.56,4.83,41.32,2.23,5.805,4.83,17.19,16.72,705.8,83.33,20.74,0.2231,27.45,65.88,1573
2014,GEO00000000550,0.7,7.21,21.51,42.59,38.6,31.33,22.18,13.381,51.6,20.12,12.94,495.02,73.08,62.24,0.1968,22.04,36.12,1442
2013,GEO00000000551,51.01,32.96,67.0,34.87,30.8,30.69,1.35,9.166,55.24,2.82,0.54,1032.63,7.16,4.71,0.8647,96.78,19.59,162
2023,GEO00000000552,47.52,12.18,50.98,36.81,9.63,44.63,21.67,14.001,28.61,12.14,14.13,31.29,13.9,49.51,0.5585,42.83,55.3,1815
2012,GEO00000000553,50.62,31.01,51.32,29.17,23.58,35.94,3.46,4.332,56.71,25.04,15.75,436.89,98.8,3.57,0.4661,57.36,98.78,1716
2019,GEO00000000554,22.4,32.54,12.86,45.24,0.86,12.95,22.91,2.69,41.02,8.95,19.16,162.64,61.32,47.49,0.6844,41.06,90.48,1170
2025,GEO00000000555,46.03,24.67,59.11,14.25,20.6,27.54,10.05,15.125,5.49,27.57,35.01,502.57,74.99,21.31,0.1034,61.08,56.71,442
2016,GEO00000000556,30.12,18.48,2.75,35.33,21.7,4.96,2.02,7.654,2.18,13.96,32.44,726.39,59.45,44.02,0.3711,18.09,99.34,678
2015,GEO00000000557,41.06,18.33,33.39,36.08,27.52,23.22,4.95,2.875,38.22,28.66,34.14,1115.96,1.49,86.49,0.8166,91.81,60.88,409
2022,GEO00000000558,0.35,6.4,50.02,51.22,35.54,17.37,36.69,9.004,47.54,15.34,24.69,1026.21,85.68,92.83,0.5527,0.69,50.3,17
2014,GEO00000000559,33.12,5.39,54.96,40.35,17.83,19.05,17.28,4.508,59.12,6.44,34.59,1369.94,19.22,81.92,0.955,49.02,38.65,1715
2007,GEO00000000560,9.94,5.66,37.46,48.97,15.44,28.42,18.33,9.719,11.43,19.1,29.07,355.98,8.25,81.57,0.3303,54.08,1.89,930
2007,GEO00000000561,3.41,29.79,12.91,49.65,38.36,3.58,25.34,2.635,29.78,29.1,9.65,1377.3,27.1,39.58,0.3147,24.53,72.31,1962
2022,GEO00000000562,8.24,25.12,42.61,32.7,3.0,6.3,19.22,2.804,36.72,9.46,39.0,271.78,27.06,91.75,0.8292,56.15,46.67,1374
2015,GEO00000000563,26.4,18.17,18.86,43.72,2.38,25.73,14.66,12.65,34.33,14.44,25.01,1130.9,66.73,32.89,0.9453,24.93,60.86,1468
2015,GEO00000000564,13.01,9.97,31.94,10.82,3.77,6.56,7.1,15.543,53.0,26.99,39.51,211.66,87.61,77.13,0.6804,1.37,57.68,168
2023,GEO00000000565,16.11,7.92,37.81,15.65,16.12,40.35,31.75,3.544,8.21,29.52,0.96,632.01,17.61,89.06,0.9604,6.85,20.08,473
2017,GEO00000000566,5.53,5.75,55.08,8.83,6.59,27.16,15.99,14.371,36.57,8.68,4.05,72.41,65.47,18.23,0.6243,15.21,0.85,97
2011,GEO00000000567,35.65,14.53,13.91,24.76,31.27,1.41,4.09,3.43,18.99,11.28,37.79,1274.07,10.34,76.8,0.2858,86.57,29.8,1092
2022,GEO00000000568,30.37,1.17,46.13,25.46,18.82,30.25,22.03,14.871,50.01,10.6,11.13,792.47,76.04,14.7,0.9765,1.43,96.48,1321
2022,GEO00000000569,41.69,32.38,19.16,24.72,15.49,11.81,11.68,8.445,39.79,2.42,26.61,831.55,14.14,79.54,0.9953,45.91,90.51,1692
2007,GEO00000000570,22.94,10.47,36.13,9.61,26.81,44.88,21.85,18.646,49.89,6.66,5.54,748.06,35.23,36.3,0.5325,28.52,83.56,1261
2019,GEO00000000571,34.82,19.02,9.93,53.44,25.58,37.28,7.5,11.656,50.85,16.22,5.72,190.02,94.82,47.97,0.3431,60.07,90.8,664
2010,GEO00000000572,48.73,9.37,46.01,42.37,16.47,39.04,2.92,12.84,56.87,19.68,13.41,1230.93,38.4,43.69,0.7826,96.38,48.7,990
2014,GEO00000000573,12.67,29.19,12.02,15.69,30.21,41.45,0.3,3.472,21.1,8.77,14.49,526.32,91.43,84.55,0.4414,48.27,93.63,645
2015,GEO00000000574,8.73,5.23,39.32,35.89,12.38,36.77,28.57,7.586,3.69,20.24,27.55,1215.28,63.41,53.43,0.0435,26.55,89.49,1879
2011,GEO00000000575,22.96,22.63,34.81,54.7,39.31,14.07,18.71,19.052,39.13,25.0,28.89,131.16,75.52,12.74,0.8384,0.07,90.13,513
2020,GEO00000000576,22.89,7.83,66.27,39.49,20.48,25.45,31.7,17.721,16.24,5.56,16.95,500.22,97.7,92.62,0.7825,48.1,51.59,458
2020,GEO00000000577,13.8,15.22,67.34,0.58,17.81,31.91,21.94,6.024,45.96,28.04,10.08,1491.5,2.57,40.38,0.8203,55.01,73.72,407
2022,GEO00000000578,25.27,0.68,18.23,48.9,6.59,17.87,16.61,8.873,24.66,13.9,3.19,1058.94,68.34,10.79,0.1447,27.74,19.64,1977
2024,GEO00000000579,52.63,17.77,72.47,15.74,34.23,12.7,16.86,14.458,35.35,4.75,20.77,916.86,55.46,57.73,0.7531,71.19,80.88,1602
2008,GEO00000000580,54.69,29.98,65.39,3.11,17.26,42.26,37.19,19.296,54.11,27.87,32.24,1218.33,30.59,42.96,0.9566,18.71,70.04,1589
2013,GEO00000000581,31.35,26.23,72.3,16.23,6.84,2.08,32.24,19.504,52.35,27.73,28.21,1075.91,66.96,73.25,0.3173,51.67,50.03,221
2020,GEO00000000582,36.58,29.31,43.11,4.09,26.73,9.59,16.64,0.308,36.76,3.18,4.48,376.41,88.23,42.78,0.4705,46.67,82.35,820
2020,GEO00000000583,26.99,11.17,59.79,23.26,32.63,18.69,4.41,16.734,17.34,11.71,18.11,176.93,22.11,38.45,0.0369,87.68,69.7,888
2010,GEO00000000584,4.36,26.67,2.48,31.34,9.34,44.75,19.46,10.518,14.23,29.89,3.33,1260.84,63.66,25.51,0.5979,79.99,75.89,1160
2012,GEO00000000585,15.15,26.29,56.07,9.11,8.1,18.73,0.41,9.08,4.07,28.08,28.76,782.08,20.98,18.76,0.3716,35.77,63.6,631
2011,GEO00000000586,4.87,7.29,33.33,15.15,27.5,7.03,0.45,19.306,58.76,6.38,34.11,990.34,37.63,13.49,0.0778,9.07,20.45,1268
2013,GEO00000000587,18.78,9.42,70.19,45.18,32.2,7.81,7.69,16.275,36.73,28.17,24.7,912.97,68.39,7.43,0.2495,58.05,34.05,695
2020,GEO00000000588,5.43,21.39,28.9,35.41,33.2,12.21,26.35,5.589,3.68,4.34,21.38,3.64,4.12,23.41,0.1385,64.42,68.9,1623
2012,GEO00000000589,40.13,20.64,23.49,23.71,24.55,23.95,12.43,7.936,14.97,5.43,14.54,719.45,17.02,93.43,0.9784,47.05,42.89,1234
2008,GEO00000000590,10.17,26.51,38.93,21.45,23.66,42.83,8.76,14.376,32.78,24.61,29.64,350.54,49.79,22.61,0.2245,97.34,16.67,1167
2013,GEO00000000591,0.5,32.37,55.22,44.33,5.85,3.8,26.05,10.689,52.2,14.31,38.37,1083.74,76.14,51.44,0.1536,27.07,29.68,110
2012,GEO00000000592,29.1,31.65,17.96,28.82,4.99,43.15,13.11,3.361,31.37,9.45,7.18,720.47,28.07,36.22,0.2503,5.05,25.57,1439
2021,GEO00000000593,28.12,18.45,70.56,13.41,33.13,4.36,30.41,9.318,10.2,2.72,16.27,1139.73,50.91,81.07,0.8941,13.21,19.79,1527
2012,GEO00000000594,44.78,20.33,58.01,54.13,16.5,20.65,9.93,6.359,40.53,16.77,39.84,766.47,94.77,63.47,0.1988,19.56,73.01,1008
2014,GEO00000000595,32.09,24.84,42.28,35.29,23.63,8.74,14.56,4.187,38.53,9.64,30.98,1090.36,43.57,16.37,0.817,41.84,62.6,369
2016,GEO00000000596,11.41,10.55,71.33,19.69,31.14,37.28,16.63,12.219,40.55,5.82,20.15,563.05,12.38,94.62,0.1177,13.03,89.18,1614
2008,GEO00000000597,32.99,28.14,43.1,21.96,15.13,31.05,7.14,4.125,13.2,28.77,34.97,1173.72,51.4,71.88,0.627,77.29,15.7,1044
2011,GEO00000000598,5.06,14.62,52.9,33.4,21.92,13.12,1.04,18.478,33.35,11.51,1.15,656.21,65.05,27.69,0.3095,59.88,10.3,455
2014,GEO00000000599,48.51,17.21,3.18,54.04,22.26,2.24,31.67,12.699,0.66,16.95,29.63,1333.1,53.99,52.43,0.6424,13.53,98.35,1503
2025,GEO00000000600,23.56,13.18,33.76,12.44,3.33,20.54,25.44,18.036,1.71,12.06,29.32,927.27,62.11,46.95,0.8475,49.01,82.51,31
2017,GEO00000000601,30.27,30.92,39.0,30.55,10.53,19.19,15.45,18.772,55.25,27.6,17.92,0.03,56.3,66.07,0.6733,18.81,16.78,85
2016,GEO00000000602,21.73,9.31,42.63,43.73,8.28,44.07,20.15,6.418,43.77,2.36,35.64,1082.52,61.66,84.77,0.1207,25.34,74.99,128
2007,GEO00000000603,0.15,10.95,55.05,18.5,24.33,26.09,13.33,16.803,16.22,5.77,18.49,452.83,49.97,97.4,0.9332,55.74,1.17,1368
2009,GEO00000000604,12.33,7.87,17.16,49.98,18.32,41.99,38.83,2.779,36.04,11.51,20.31,1106.73,67.75,78.04,0.294,21.24,87.32,1665
2014,GEO00000000605,26.05,30.26,42.62,21.57,33.29,23.45,10.65,15.839,47.46,21.54,38.77,832.21,75.24,21.19,0.4547,75.48,63.13,1935
2014,GEO00000000606,0.24,1.75,1.54,21.12,30.88,8.71,30.19,6.707,33.32,22.62,29.85,1398.99,27.92,32.76,0.1684,26.88,22.08,142
2024,GEO00000000607,23.49,4.45,37.57,36.38,25.66,12.22,13.07,14.483,19.01,8.41,24.18,999.91,4.53,40.38,0.0857,82.18,79.58,357
2013,GEO00000000608,35.6,11.51,29.66,53.51,36.73,24.07,15.53,17.898,53.09,16.04,2.7,62.31,17.57,52.12,0.2489,3.08,71.36,1871
2025,GEO00000000609,23.67,33.68,22.0,28.37,18.68,2.0,1.57,12.217,49.58,3.37,35.65,1041.15,0.58,16.8,0.6291,13.52,46.54,837
2008,GEO00000000610,38.09,16.28,60.58,31.14,32.69,36.79,0.53,7.46,12.46,11.54,25.82,1171.79,50.86,31.6,0.2653,81.11,4.67,1703
2025,GEO00000000611,0.33,33.93,64.8,15.19,39.51,5.97,25.31,14.908,16.31,3.04,20.83,537.18,17.03,44.72,0.1063,59.56,18.6,605
2010,GEO00000000612,5.01,12.96,27.13,10.36,24.33,41.8,10.91,4.888,46.95,27.81,12.33,1419.24,55.5,36.45,0.4559,45.42,10.83,1749
2014,GEO00000000613,40.21,5.5,69.5,29.89,25.0,20.55,11.51,18.099,11.83,14.37,19.84,640.32,1.85,94.53,0.4219,52.86,9.39,865
2015,GEO00000000614,45.16,16.56,10.41,52.08,20.79,6.4,13.47,13.629,3.54,14.11,11.57,1231.65,40.14,15.34,0.7871,70.9,8.13,284
2010,GEO00000000615,51.9,15.14,49.78,35.46,38.62,11.52,35.26,14.228,51.47,3.2,25.87,64.14,55.18,69.0,0.2819,33.8,61.44,1111
2010,GEO00000000616,34.54,20.27,38.3,23.66,8.78,39.99,2.33,1.239,43.16,15.54,23.71,1440.22,8.16,18.68,0.3762,80.58,72.88,889
2022,GEO00000000617,52.07,6.46,69.06,32.62,11.97,3.58,17.77,8.556,0.83,10.45,35.87,636.36,20.1,17.99,0.6149,73.72,77.32,1160
2025,GEO00000000618,3.51,20.7,50.83,24.87,0.55,26.24,15.86,5.823,39.85,16.78,5.69,461.19,97.87,25.53,0.1754,82.22,20.58,180
2019,GEO00000000619,26.53,13.44,18.95,10.19,19.32,17.0,2.32,7.364,4.04,13.91,38.97,976.63,79.99,83.06,0.5081,6.55,54.25,1215
2022,GEO00000000620,33.77,17.5,46.25,35.85,29.84,12.51,4.78,0.665,22.53,15.49,32.47,697.37,49.87,32.69,0.8791,72.61,4.49,808
2016,GEO00000000621,23.65,6.81,19.95,49.9,31.0,35.81,37.34,3.451,56.03,7.11,13.17,1071.65,20.66,80.14,0.8951,91.52,84.06,1044
2017,GEO00000000622,37.12,18.49,41.53,29.4,9.98,29.18,22.25,10.508,26.47,0.94,3.4,1320.63,13.77,13.67,0.7201,81.0,28.57,110
2022,GEO00000000623,6.61,25.37,43.21,11.35,25.34,27.16,1.04,10.061,22.76,3.67,36.0,1414.9,53.97,46.65,0.7668,96.36,13.98,760
2010,GEO00000000624,32.02,14.32,17.8,24.35,12.32,26.85,2.75,11.303,55.94,27.26,8.98,757.79,23.61,65.56,0.5889,97.15,91.53,1586
2012,GEO00000000625,25.78,6.82,19.28,47.76,18.24,22.92,9.02,7.826,1.35,7.82,13.54,101.86,14.7,80.89,0.1675,80.96,97.25,863
2007,GEO00000000626,14.61,21.86,68.06,21.98,34.3,15.56,9.0,17.429,9.83,1.46,30.23,1101.01,75.05,58.47,0.4261,55.86,84.64,43
2010,GEO00000000627,10.96,20.72,43.94,28.22,17.92,3.42,6.67,19.519,10.56,14.85,20.04,1107.99,7.17,69.83,0.9578,81.95,36.45,1496
2023,GEO00000000628,13.12,7.35,68.43,6.76,16.18,35.49,32.6,4.381,11.7,7.9,13.21,1263.56,91.08,29.16,0.6269,93.42,64.8,1226
2021,GEO00000000629,38.12,7.62,34.71,11.35,25.82,26.44,25.36,6.008,13.31,11.59,32.5,337.02,63.67,70.63,0.2037,89.97,86.74,1043
2025,GEO00000000630,49.22,7.48,51.66,38.94,26.28,5.08,26.56,18.288,43.58,24.0,30.26,1187.39,51.64,90.19,0.5511,92.33,35.09,1419
2024,GEO00000000631,17.22,24.21,61.71,11.48,28.49,11.91,39.8,10.673,13.89,21.86,2.48,1214.91,56.45,9.0,0.5827,37.79,91.89,464
2023,GEO00000000632,30.77,4.08,19.3,1.86,21.9,33.91,28.67,16.383,59.5,2.07,37.24,401.06,73.62,39.92,0.2994,15.75,7.87,1907
2014,GEO00000000633,34.09,2.06,51.11,20.05,5.9,18.71,15.23,6.39,24.44,26.76,20.89,1363.81,79.18,81.45,0.6089,96.6,90.33,1630
2015,GEO00000000634,46.09,23.06,44.98,53.26,6.6,18.02,31.48,11.485,21.6,4.1,31.98,858.8,45.8,35.16,0.5007,10.19,51.56,1311
2016,GEO00000000635,16.88,14.26,5.88,5.47,12.0,11.02,22.48,18.571,50.42,21.75,33.87,1105.3,68.92,17.28,0.7786,87.91,51.71,487
2017,GEO00000000636,6.94,12.06,53.97,6.52,35.3,8.61,20.65,14.346,36.77,4.32,29.12,549.37,85.34,90.14,0.3258,49.98,45.14,1421
2017,GEO00000000637,0.82,21.94,66.84,43.34,31.75,43.84,24.2,17.415,10.25,4.11,25.3,632.08,64.55,94.34,0.5803,99.67,88.77,1900
2020,GEO00000000638,42.94,21.46,42.36,53.03,23.4,38.87,26.54,17.639,14.84,28.29,39.93,957.61,42.39,28.73,0.4301,18.0,31.26,510
2017,GEO00000000639,6.08,7.3,10.12,41.9,12.43,23.53,18.48,15.315,25.37,22.26,36.43,346.99,97.27,24.59,0.7784,2.47,50.61,1353
2023,GEO00000000640,32.82,4.16,36.84,31.71,27.01,36.61,4.38,0.567,9.81,12.84,30.61,127.83,24.22,75.81,0.2635,54.59,37.03,1605
2024,GEO00000000641,5.18,12.85,30.22,23.24,32.37,26.32,20.67,15.454,49.3,23.63,37.37,1263.95,1.67,34.4,0.0956,87.46,66.14,387
2017,GEO00000000642,36.5,25.3,3.32,49.43,35.27,11.62,26.95,10.106,3.96,20.83,30.78,152.61,28.48,95.11,0.808,6.75,25.2,1868
2025,GEO00000000643,12.85,10.48,12.04,0.41,35.16,20.7,16.11,11.574,13.27,20.11,27.46,85.32,77.99,93.85,0.3333,89.39,43.69,502
2015,GEO00000000644,25.08,14.25,1.66,19.31,3.19,39.82,38.11,17.233,49.04,8.64,14.69,284.19,22.63,34.0,0.5502,53.87,51.57,647
2009,GEO00000000645,53.66,1.28,30.15,44.12,17.3,6.76,23.85,1.131,40.89,4.94,28.65,869.25,9.46,60.9,0.5658,12.12,10.02,1865
2014,GEO00000000646,3.95,34.71,59.15,53.81,10.82,8.1,21.85,16.437,7.66,10.98,25.23,568.56,75.81,85.85,0.7603,9.13,34.29,1711
2024,GEO00000000647,24.42,14.85,43.02,17.74,14.58,33.43,26.59,5.483,28.54,7.39,30.7,437.03,0.41,32.91,0.6805,11.66,31.03,252
2012,GEO00000000648,27.77,27.98,40.56,40.19,11.96,18.19,1.46,4.86,42.29,23.93,25.26,663.85,89.88,36.77,0.8685,90.04,72.9,1280
2013,GEO00000000649,45.88,29.15,70.76,32.03,7.37,39.05,13.84,7.531,0.39,12.94,23.02,343.87,19.96,5.85,0.612,19.28,23.14,1987
2009,GEO00000000650,18.16,14.54,30.42,25.07,18.45,15.71,21.13,3.43,36.94,29.23,36.54,770.24,18.74,38.11,0.8475,89.88,78.66,900
2008,GEO00000000651,5.25,30.77,30.05,26.5,36.78,21.34,22.65,0.672,40.45,13.13,27.01,1121.41,40.03,8.9,0.5615,94.77,81.56,718
2012,GEO00000000652,20.88,1.45,67.47,6.72,23.56,23.67,28.11,11.566,27.16,0.18,25.19,430.23,88.48,22.98,0.6565,96.23,58.51,150
2020,GEO00000000653,2.9,14.17,52.79,44.78,10.49,22.67,10.41,8.149,52.19,14.11,0.44,950.05,17.86,75.83,0.6226,51.52,30.8,234
2012,GEO00000000654,35.35,22.45,56.33,16.69,32.24,32.8,22.47,6.473,43.76,9.09,16.15,35.61,18.06,63.39,0.8395,12.8,81.0,1717
2010,GEO00000000655,36.35,13.37,30.39,13.2,39.44,19.69,9.48,0.616,1.84,0.07,33.5,259.1,20.54,49.67,0.3522,68.16,8.86,1089
2019,GEO00000000656,19.63,23.24,59.17,5.27,8.41,30.2,5.0,14.198,8.51,10.62,22.71,1494.65,43.91,6.48,0.097,50.1,34.57,1272
2022,GEO00000000657,20.59,4.5,32.64,23.21,21.58,1.53,24.08,2.124,44.57,6.95,29.6,396.08,53.51,21.43,0.1273,84.75,99.18,593
2018,GEO00000000658,23.64,33.48,23.61,21.64,33.28,29.84,15.91,19.777,3.74,25.68,36.51,264.09,98.82,62.87,0.6528,98.51,70.5,161
2023,GEO00000000659,51.51,1.54,38.91,43.61,26.14,31.18,34.93,8.109,4.83,13.34,5.89,1035.32,45.09,94.34,0.1333,96.21,65.07,895
2025,GEO00000000660,53.37,33.01,73.23,23.23,32.88,9.58,22.52,5.607,27.33,1.98,13.17,623.89,20.54,99.26,0.3681,94.24,14.43,1184
2015,GEO00000000661,0.41,25.06,17.77,27.52,28.34,2.08,13.94,12.595,36.77,21.41,38.71,1129.77,14.27,72.15,0.5824,32.17,60.04,286
2021,GEO00000000662,30.13,33.37,16.34,47.76,37.82,36.66,14.01,16.035,50.64,4.53,16.3,344.07,46.91,91.66,0.003,32.95,38.27,1591
2009,GEO00000000663,14.36,16.03,37.43,5.41,4.23,27.65,18.9,2.663,33.41,3.18,29.13,440.96,24.99,27.35,0.5414,59.42,90.52,254
2017,GEO00000000664,12.44,25.04,1.49,17.99,13.66,23.54,7.11,2.341,18.74,14.49,20.85,1217.38,20.31,41.66,0.9949,5.41,17.74,1985
2007,GEO00000000665,51.95,21.19,9.56,17.32,27.04,6.67,1.51,12.446,38.73,0.51,16.99,538.37,63.37,27.63,0.2767,82.22,51.06,225
2012,GEO00000000666,25.81,22.14,66.45,8.8,25.15,8.65,32.0,2.762,6.44,25.43,36.95,397.48,2.38,7.15,0.9826,45.37,77.29,1337
