tax_income_tax_year,tax_income_agi_bracket_code,tax_income_return_count,tax_income_total_agi_usd,tax_income_taxable_income_usd,tax_income_total_tax_liability_usd,tax_income_effective_tax_rate_pct,tax_income_payroll_withholding_usd,tax_income_self_employment_tax_usd,tax_income_capital_gains_net_usd,tax_income_qualified_dividends_usd,tax_income_retirement_income_usd,tax_income_itemized_deduction_total,tax_income_standard_deduction_total,tax_income_earned_income_credit_total,tax_income_child_tax_credit_total,tax_income_audit_rate_pct,tax_income_underreporting_gap_estimate,tax_income_refund_amount_total,tax_income_processing_time_days_median
2008,AGI_0_25K,5156331,1132256450750.35,919868466407.47,229359185862.31,20.257,169043537206.86,20181799058.45,21439923241.78,15007555833.59,101301921715.18,34885809576.0,81487424989.53,9646840283.47,17591145187.65,2.61,250838211096.6,469536333868.96,28
2022,AGI_500K_1M,2698545,7376478614388.42,6040539435102.12,638466069471.24,8.655,346531701452.52,104777257749.21,385503833890.41,136778804151.15,591204461936.04,676882443498.79,712846943812.28,1732897903.25,9071901880.99,1.679,35669774314.36,266181425672.47,115
2013,AGI_200K_500K,4098690,8121167427306.87,5365135167809.32,853444699349.21,10.509,657842508385.42,94804417828.56,195051375050.97,40557580713.04,172708920113.34,573375039649.72,398354174860.94,4577056697.42,9428535361.88,3.281,133994821052.89,156519700126.43,120
2014,AGI_100K_200K,2803091,2088413491264.98,1001407559761.8,59570379699.1,2.852,54017759701.1,39887833020.22,63457729184.4,46675395075.58,151363863210.99,139624054920.26,67564880530.78,7153083526.17,17634611035.08,1.994,15500103110.68,96284606979.1,77
2020,AGI_50K_75K,6742162,6217624572785.23,3593266312585.53,780798325325.7,12.558,454664523353.29,5482127958.97,91900520250.96,106931388575.97,564783660411.4,420175133016.55,681038754017.9,10412984928.27,8917057125.26,1.398,260393039141.97,219974129347.31,58
2018,AGI_500K_1M,6114105,6578245835779.62,5987449805622.34,718515196286.72,10.923,467214477118.54,59225065726.81,8197360984.71,10696006940.0,433727762586.14,83267778018.78,757515317687.84,8662442166.92,10081977263.34,2.851,281653593368.61,427002753496.12,13
2013,AGI_0_25K,424755,7498128839989.7,6451518762761.9,691447106305.39,9.222,429915723287.29,53286279561.01,275067007926.46,51583851853.05,427625713515.88,542311158019.8,534076160682.04,8858241496.37,5051665889.97,0.379,68944359700.16,108216248576.33,24
2008,AGI_100K_200K,1000643,5540249513022.45,4801562447912.99,1147746586803.97,20.717,779835707399.14,37403429630.0,2743115889.35,41228898951.2,249501399794.28,52722384408.18,1240082241281.39,2341209768.3,21275179029.05,0.242,289139538534.47,425149371509.14,56
2005,AGI_25K_50K,5428617,2575636375497.29,1743423828108.73,470648525130.99,18.273,439497610693.66,22979483651.5,177636944761.88,37628159014.79,124181762175.46,136259090223.81,273148958918.98,7354522091.57,5668659644.8,2.355,146499219826.4,228791020715.72,102
2017,AGI_100K_200K,1775029,476119231181.98,235826365018.83,29338471849.9,6.162,27150412558.13,6510428758.21,22625038591.6,7033515211.56,12337922621.87,34735104580.82,38923516047.11,6459105425.72,31170171390.26,1.102,206771444385.86,309797134903.23,29
2010,AGI_50K_75K,3565942,71990668279.8,36950216541.88,1773429274.53,2.463,1134612576.04,670095902.51,4679401176.06,1330739398.76,3264414067.41,4799193704.72,8313193387.67,4218656067.45,19632090823.34,1.936,205515771826.36,230298983741.95,33
2023,AGI_25K_50K,4905950,6702798346506.83,3918028213375.24,608385639256.37,9.077,544345796099.53,14385141233.61,530149306947.04,118870305380.01,220572949064.55,608041008746.11,830732969757.08,1154998498.87,33242710811.58,0.079,52429037409.65,4449829099.41,22
2020,AGI_200K_500K,3591458,1967583175715.98,1704793351550.17,305176317190.83,15.51,184769346432.18,11085936529.23,9385733081.76,4630415807.63,196004826179.62,17062737536.42,171251142530.29,9878272691.49,3569488315.49,2.093,99154134833.64,329926055503.12,55
2017,AGI_25K_50K,5556020,2941475321633.32,2037055164907.47,292373718756.76,9.94,119422451789.62,54824456969.12,29778309459.86,10576878791.86,84333570823.34,340910898421.51,383088134192.38,10235089774.33,6681991682.36,3.261,161970775596.79,71732411319.72,85
2016,AGI_75K_100K,1967358,5072061796777.29,2463829301503.34,338960163078.31,6.683,199795472698.48,30546806734.16,43800895089.3,22188961382.58,452560736157.45,408398106326.39,127771845682.58,9946274263.16,100240117.2,0.772,107060848619.18,238049895766.65,99
2018,AGI_50K_75K,349683,760989622708.07,474839956684.31,140154706092.59,18.417,96852431797.49,3601517203.53,23488363323.37,18603714065.98,9361039296.83,44494975717.0,43513667888.19,3122958239.63,20996169947.92,0.58,129989370284.81,160747416164.19,92
2021,AGI_0_25K,6312946,1995914933599.38,1590606542282.53,98803060394.45,4.95,65536200030.72,957166686.04,133687203250.26,52253484593.38,123822014638.91,134508222340.82,258467864674.38,194072706.82,34581682953.12,2.188,209690387544.9,473763773211.84,91
2016,AGI_25K_50K,3143328,5220391116241.25,4440297652802.05,280670030137.53,5.376,173048410500.94,56374158940.48,237499421825.24,20639524992.29,459919234560.82,728750132187.37,902024357438.48,1999544072.62,29266053594.7,2.023,89557151322.64,78442567337.62,109
2009,AGI_25K_50K,5851540,4631019068576.4,2172427848239.26,346855993128.44,7.49,280243396607.4,89484025547.73,307998369964.84,29645963201.87,55731527001.99,225113640745.49,322302402399.51,9459855109.5,31994903245.04,2.612,76355054159.75,336194151708.61,111
2019,AGI_50K_75K,1719376,1410299865898.06,822599457056.87,64812026594.69,4.596,46386062664.63,4489646502.17,77784908624.12,32564202658.09,113319476469.59,15302274580.75,173794903977.66,8930610154.29,9930880072.53,2.802,214491633694.1,411354674053.25,99
2007,AGI_100K_200K,7651050,736823902836.89,612240243323.65,27810421020.97,3.774,18177391801.55,14393268793.62,2341312489.7,10302940187.06,14209711009.78,14988089270.98,30768130251.41,8967885602.57,12202195729.15,0.17,105998242314.49,350603820959.62,4
2012,AGI_50K_75K,3842519,1418619282379.09,1251895189208.82,247705895549.53,17.461,226290211189.47,24345335227.69,27123472392.36,24896459051.63,76114494628.22,174511434921.86,269485121930.51,3911559545.32,433659627.09,2.2,115139452898.61,35378347789.81,108
2012,AGI_25K_50K,6635284,4968941968335.46,3804467402189.45,312065387692.71,6.28,148934916423.96,32633920454.27,74205247710.42,107155143802.78,381174737312.05,583849783497.26,874449280772.87,7122009112.25,21999132739.37,1.091,210404132139.33,249728423507.77,92
2009,AGI_100K_200K,529992,5808082040730.28,3062225126132.71,665269815122.48,11.454,436400936172.55,43314300755.86,186843567742.93,33722651814.45,206346752009.33,391471136101.76,625523559712.61,5125270791.88,34295833283.41,1.135,140866225863.41,469717026868.3,8
2009,AGI_100K_200K,3466083,2278115545709.56,1445725354485.19,267373750687.73,11.737,202975390480.42,11832965257.39,78565485609.21,36116020919.52,124264315890.91,17160910172.57,384064490233.67,10103043315.01,32294334453.43,3.192,173459687506.79,351127496859.65,97
2014,AGI_25K_50K,2643567,810728785493.54,368903415809.54,60841990073.28,7.505,31661670022.85,11987932627.28,15700756638.02,8670319957.73,79011585797.59,48867978556.5,89909917665.48,4993332976.95,16107469959.58,1.273,245593850081.38,291274024610.87,31
2018,AGI_100K_200K,140848,3798583691629.91,2739413374908.37,374278921614.38,9.853,278843971298.14,16407994673.88,40500322121.79,60827862035.67,238724270179.8,190091139454.95,413676642909.47,11248214827.75,29494356398.52,2.657,101448284703.66,300928260304.57,120
2017,AGI_25K_50K,6697294,1420858097818.6,702019997193.43,76933808478.85,5.415,55637969764.77,21615390731.07,109088918553.05,8572950413.8,46423863875.68,71843309219.05,167185627223.18,4997865467.92,4538047442.2,1.024,194693211628.89,305015237298.13,50
2017,AGI_25K_50K,7972489,6681780140896.86,4844934649694.1,916414882308.38,13.715,839425900454.01,107426697755.47,263652095449.23,176880915219.42,439857192902.32,620950641235.55,588287392381.24,10297140296.97,21181061514.62,2.237,87551192800.21,5907263663.6,10
2016,AGI_100K_200K,4193210,8523711883552.93,7741840312010.09,1964172766129.6,23.044,1643801845509.52,44858890505.81,547420537344.21,178496773876.79,100518694088.04,827476942035.86,917302360247.34,2448132016.02,12657137364.92,2.432,168852527533.9,227368424704.63,48
2005,AGI_25K_50K,192684,2395389721638.36,2068587673048.06,318753910258.04,13.307,261734241147.11,29308632880.04,136267311489.05,1327590528.26,135832537353.38,148390100007.7,491322094061.67,1828538687.57,3909883796.34,3.082,166519816535.2,307678704583.9,99
2007,AGI_75K_100K,2892409,3119933040970.3,1865698368812.72,98092110494.41,3.144,65365081759.74,5764136363.74,133977699105.56,35888845771.03,87065619260.97,45088772465.84,500882854395.51,8358970722.2,31776844036.05,3.034,40382830041.96,34669303981.09,8
2025,AGI_50K_75K,695762,3707088686652.89,3148321678230.06,846121695588.32,22.824,301340554931.94,67447713673.22,199890902144.34,107315174939.7,157268981653.09,164087562464.98,315095095732.42,11235296905.63,21887880401.26,0.468,231886191733.62,485565546133.42,29
2006,AGI_0_25K,5838374,647729169226.04,540264180725.94,74644679696.99,11.524,67718654926.97,4593967824.06,29003296913.04,1402282079.38,40312019440.01,11507844260.76,90057186934.18,911231016.82,4449758196.87,3.224,105701097631.63,40040366845.14,23
2015,AGI_0_25K,5591198,3767364513958.3,2357250505866.9,331372187757.4,8.796,299133557739.1,74866447990.22,165153206394.63,96007354849.05,41375431271.69,420178982298.99,157378838365.67,3201219072.31,5060599158.29,0.338,3459790808.12,197244370633.08,101
2019,AGI_50K_75K,2829899,6981922808823.4,6356324374560.77,988549844818.58,14.159,551555412231.8,3706992777.65,287970572250.87,141626479224.98,201993820853.98,181675604472.55,499245506621.07,9421139023.73,31835356449.31,1.437,142693954461.05,435283170444.38,110
2008,AGI_100K_200K,5443504,6521768960833.43,3426607276457.65,908835749576.99,13.935,746924267617.11,88214344300.29,216097317377.34,53832842659.83,272368947053.91,147047132023.65,304970774624.66,836373309.24,26113301487.94,1.555,135216555730.21,144920262213.22,116
2013,AGI_25K_50K,693861,3681995941120.83,1796682808055.01,253988838439.08,6.898,207977637065.2,5292753658.39,287816139528.26,79429106791.42,102636617849.33,125719599983.9,365748073215.18,1738808114.02,24619162953.96,2.818,25175258785.52,414658090826.47,118
2005,AGI_0_25K,2663582,3154197445534.13,1483763082357.96,397118995733.22,12.59,186880025193.38,17198263115.74,196133938626.98,19874171857.14,199994588024.49,39414395627.31,365011123040.67,11326936992.23,26659012913.79,0.381,236416522572.43,353550822244.0,71
2013,AGI_100K_200K,2986545,2610537982514.66,2140250441419.17,220769017724.82,8.457,153481148848.74,31959227090.86,137522684547.15,63137870299.19,30777206596.77,168701680028.83,287661443317.32,11371957450.61,616567644.18,0.206,32014836626.61,71642506912.52,25
2023,AGI_25K_50K,5849809,7247964709184.39,6602871946110.02,1790663326571.77,24.706,1504681305242.36,56824789851.7,198306127343.93,102426813036.71,191808995818.35,46344888870.74,1134542358733.7,871562211.31,15162099762.74,0.574,74080368380.78,231437008710.36,13
2009,AGI_100K_200K,1230021,2278406111904.51,1785650358550.48,234233353950.53,10.281,211872717176.03,32900560704.64,107119952339.37,22962158072.35,112692551784.5,276888125199.62,227996498712.33,6623764645.44,10440445671.59,3.436,28394499540.54,204367653388.01,13
2007,AGI_50K_75K,5009087,7810568794333.94,4388356681486.64,736949573945.39,9.435,588246160388.39,59813901764.52,534052742151.5,169509161193.67,22148873562.74,386217108807.08,1157264655566.01,10745405856.7,6446831812.9,0.243,116816580731.84,78772510293.25,56
2019,AGI_50K_75K,6890683,1925579624068.19,1500048435006.73,151459209057.88,7.866,123801272714.07,32693534728.21,12032502830.4,18625998874.87,25471070621.35,144474255663.08,314747389721.87,10841748073.98,29890152244.54,1.628,199477351899.13,417421281160.19,109
2010,AGI_100K_200K,4741838,4624737112015.46,4098443824391.54,230236445122.42,4.978,170672171413.99,48757701554.57,290262144486.51,20256019559.53,391416413539.77,456454907660.67,989487040658.87,2099883774.06,8475803397.4,2.776,50440786193.28,88400155382.94,91
2014,AGI_25K_50K,4199588,2626612665820.36,1817707155923.99,404167164900.17,15.387,233728481929.03,18669453156.02,84001341107.21,28969346313.98,63340770257.19,317818898073.9,170613215663.65,9194250943.23,13956106196.69,2.246,127261695378.39,382291575172.9,45
2019,AGI_100K_200K,5256404,2548040478100.74,1175248009548.85,179605310502.35,7.049,72524634882.57,13782278556.97,198349444685.91,43719429454.83,104747754291.85,28080675472.24,162855697745.46,6199821682.31,11098117095.22,1.15,220385810425.82,254591100146.35,12
2008,AGI_50K_75K,2996695,4073993188496.84,2504132005473.37,728720073883.51,17.887,553043966303.19,31034054457.69,89256157649.97,112852398348.09,119366088578.96,212969018925.67,357896200044.45,2845493334.32,26775193502.4,1.325,252558950584.97,124820724579.95,35
2023,AGI_200K_500K,4040866,4071495611231.34,3246171938007.43,208785049779.23,5.128,132362412374.43,15600059676.1,132331049809.52,60062422015.74,304387616911.63,107603775888.3,846202101974.21,9333668298.5,24584513690.89,2.698,5119787399.17,252456405614.97,18
2009,AGI_25K_50K,3720153,5619029494960.05,3054744113257.4,736547189876.21,13.108,279533295862.0,3687984504.07,411511911007.94,94963295417.0,515030883882.45,280368329213.17,160659760614.65,8435104449.89,28357079542.22,1.56,174314221194.37,48275331528.25,50
2020,AGI_1M_PLUS,3290697,1964486517295.57,1576102167281.88,385509135375.44,19.624,330627028664.7,25173577274.8,117695777565.34,20474111707.68,144959360572.56,131841801959.9,356392579648.53,3599294955.48,31138524324.14,3.053,280800502493.08,392919414374.88,110
2013,AGI_200K_500K,5170076,8235128173832.56,5674318226631.82,875786720459.64,10.635,722670191541.28,130452925265.43,186547374567.85,214790966845.49,579663465375.01,692220765749.58,362144188622.01,8281420430.16,28917822461.27,0.373,5355720098.86,40871818609.59,81
2006,AGI_0_25K,7683678,954569509063.78,774921082382.62,172322890615.41,18.052,64871891709.27,5446546348.98,4858197893.22,16092580311.93,66472252676.61,56362386060.63,174204052417.96,8144365696.78,11381425591.8,2.406,237978459908.8,427777500422.13,112
2006,AGI_25K_50K,6834752,5672154132615.58,3104532253099.63,189245057221.2,3.336,152558629498.85,33367215500.46,96010559239.88,151559522270.57,156131042583.11,99715466311.08,169247637793.21,4150383802.29,11550875273.04,0.221,236370708885.13,469904892403.98,28
2005,AGI_75K_100K,3873424,5677772978055.15,4903867376318.62,197008812183.85,3.47,114949162245.26,69067917777.92,177664598319.77,75291315723.05,90764876602.55,401970725043.05,941042130062.95,5526164666.22,19720725120.53,1.211,97938421819.3,77112246795.03,58
2016,AGI_200K_500K,3449493,990222429058.02,721920941685.26,56042279064.56,5.66,24276090367.34,9220032311.05,28501142805.62,13255434505.03,87318290718.89,26529629492.18,135948611793.3,7407428435.49,21545510745.24,1.944,18063276146.49,478661107446.25,22
2007,AGI_100K_200K,3336595,7372812606680.56,4108800589465.92,972972733884.21,13.197,372958472990.12,116743680764.75,563943419302.71,81576125804.71,559296546820.4,397627690879.61,752124782997.96,1340813976.04,20015727179.98,2.361,192552676828.09,379763178978.21,19
2019,AGI_50K_75K,3891103,8026075535862.45,3923225625589.52,490126950299.54,6.107,301475310346.32,125160007559.24,313325494100.37,123394637373.0,697474596667.24,130602510289.59,378293096484.03,10003541151.59,1825919919.43,1.858,166129448203.19,175442326171.88,120
2005,AGI_25K_50K,3833429,3995827193116.42,1860160295575.11,171688207920.98,4.297,142534683331.41,56927000473.81,167305459897.16,101937972972.89,6740736795.03,68220857963.72,248664181826.64,962341987.65,14860766415.27,0.675,217069008758.79,83050899608.4,16
2013,AGI_75K_100K,1920744,5246103698512.08,4162696361875.09,843647412497.79,16.081,593172982859.85,59143428304.99,176627479023.98,80347541991.42,450948632428.85,622308001300.25,690910577025.91,5330825327.5,7099255959.37,3.273,47468767339.54,416157959717.69,107
2006,AGI_200K_500K,309944,5076071630995.03,2556370944047.13,290796430139.06,5.729,121551920966.52,81633000025.83,105272194955.82,27865958594.56,384914470834.02,110614136072.89,391988093596.8,6556634491.59,27851242740.98,3.177,235699248334.53,219285875264.53,65
2015,AGI_25K_50K,4706095,543211802418.95,370060824633.76,29687256727.49,5.465,21846122307.48,4752930505.66,17870453762.52,6104061587.47,17941550609.83,10534167937.3,71991476994.18,10171499325.32,22620281262.88,0.027,148889990351.22,360129684451.14,89
2018,AGI_1M_PLUS,6313287,8302234761000.64,5389433939824.87,959030193822.41,11.551,413970266162.12,125303392353.16,614916104433.19,111494887039.19,164448839939.88,387837040261.73,947178431981.12,9477254709.92,11512660719.92,0.821,174807416740.77,427514978350.33,82
2021,AGI_100K_200K,3361941,4414970835103.1,4036885398140.18,209065098386.98,4.735,123858922184.85,78793188366.5,168522348736.15,22719524485.15,101121720151.91,79468770437.04,506191461415.12,24540632.52,11790855268.92,3.308,106516999649.19,79941090436.2,57
2020,AGI_200K_500K,6048899,2229965246629.0,1980820961139.87,473746055881.01,21.245,244878344251.37,15558768488.46,25536705835.63,4761185502.21,176875590479.73,116782399074.47,475952200313.5,8435854617.82,1234325831.11,1.511,71889582424.3,231392177616.49,85
2017,AGI_25K_50K,3248850,947112629449.84,641330081798.25,85725338984.22,9.051,36327125209.31,3148589553.54,26822156272.87,13714042129.49,40488558345.39,114583204168.02,176175029659.52,5384949405.87,34348844862.66,2.983,128579843289.86,218560725950.67,65
2022,AGI_100K_200K,282981,4034708491193.23,2728878334024.98,278861839215.11,6.912,207366804950.47,75498294214.68,14400943758.66,70920411291.31,99523058011.74,396897003723.87,729075651959.23,2406827426.4,29088313284.77,3.129,257001394778.28,240148672506.86,75
2020,AGI_200K_500K,6482156,7577928263117.22,6798161521799.78,774401493766.95,10.219,357758380297.88,145942405703.19,538303839925.84,195243341549.52,578519284388.62,452081184505.94,1643514123577.75,4592569556.87,5391811942.89,2.326,224490149650.88,297842725739.47,80
2012,AGI_75K_100K,514510,5914838709466.0,5250989035898.22,384678442462.36,6.504,176491342712.76,90402898037.43,102041084284.65,135985022965.17,548298235265.13,220174298097.58,480325047889.78,4074553036.34,15463220249.2,1.795,233546757159.43,145130884042.89,57
2017,AGI_100K_200K,2762118,5296064937811.63,2876301968863.63,686450134896.79,12.962,240611200437.59,88640080162.03,9172698887.78,90735740492.64,390414058265.43,326670648084.58,406989005160.36,2566177328.34,19995083691.9,0.104,24105529805.27,422287630092.29,32
2018,AGI_0_25K,240987,5119070502730.77,3079711471172.85,581587725388.61,11.361,250331839435.29,53225918592.81,381174409779.36,65572195939.37,270145718318.15,423690940927.56,659355830806.76,3090545384.93,28026343326.96,3.196,187735143483.56,247328348386.99,93
2014,AGI_25K_50K,688343,193592298056.36,120736389664.65,15659595160.13,8.089,7739529542.51,2776385754.66,4212370721.19,3047667172.3,9719422049.41,6062711122.14,18686789457.74,7280455362.61,10655318848.31,2.303,247896862318.54,44714298964.01,29
2017,AGI_0_25K,7722784,1841612142209.79,1677630260806.94,286340281748.56,15.548,215499817916.12,20539475869.02,19424529642.69,34702935371.26,69402085252.71,138149725888.81,144636606995.69,6386122961.06,25862379802.72,0.974,170545764645.02,453602154971.76,73
2014,AGI_100K_200K,2136891,8376584097211.12,6707017660320.48,996704064903.56,11.899,817845647973.12,91904271769.2,301169296725.8,79230909796.05,817163977901.32,1193302652869.0,1486341717025.08,11317184180.49,2844574076.1,3.168,238535340775.89,177952183100.36,15
2006,AGI_0_25K,2103990,6088329956072.38,3655767260903.19,1050225703073.98,17.25,579783067496.25,15836410428.03,374884806736.68,34201656195.75,427630461545.38,3284079945.74,439973132311.19,10881785606.44,13608623769.26,1.659,32956978628.05,324523363084.17,115
2011,AGI_100K_200K,5075143,5219569012416.41,3547170385981.28,152527920667.98,2.922,105647588314.58,102978793457.03,115425502794.7,29351686374.18,277950882017.58,185852375271.05,858215785051.82,7815446290.13,34296430534.41,1.214,45707986434.06,479598846730.0,93
2006,AGI_75K_100K,5307214,5053290576223.64,2416261524188.38,160990333866.96,3.186,106758716138.09,35366985082.37,358588450145.28,117835519081.05,189801015769.8,237284274191.61,236764555676.73,2141895188.05,11469981722.16,2.174,189618385234.84,478224607953.74,38
2013,AGI_0_25K,6076608,4420304930220.15,3507466733139.6,754825664664.71,17.076,379993378133.16,48633700477.46,302808570928.89,108940807060.93,306447298044.12,318094305625.83,519067047324.03,8673073849.4,6158327350.5,1.065,251596970754.83,148036864771.57,76
2008,AGI_200K_500K,7694411,5930467302912.45,4447123486760.72,1213530021661.43,20.463,801166959871.88,85441458158.74,268273521284.02,23396483394.15,465495262509.2,95530613152.15,612102395954.43,4638112789.49,16331538724.31,3.024,50767510208.05,213915859380.64,38
2008,AGI_100K_200K,3808732,2786001964950.07,2149113267721.48,335610981393.78,12.046,267846258989.26,31270570471.39,52176987392.75,55318331982.78,150508440883.72,88999498352.45,601111330070.17,6890024067.96,22108603167.31,1.194,219519328329.56,342190310172.25,104
2019,AGI_0_25K,331166,2969101502591.17,2425546007377.47,273159517468.42,9.2,143450191199.78,7526537459.86,162512866164.37,76821166974.2,156809135971.4,108808575477.6,213252680497.15,3170333204.18,20118835952.87,0.767,279530397810.31,108739379376.02,74
2014,AGI_100K_200K,2296982,7973072602873.1,6000800177423.82,614037983417.72,7.701,258931773715.55,126870750687.45,593529339319.81,83891796846.77,731806322854.18,991300132609.06,1645463619054.57,153130055.14,22138652531.21,0.934,253739586598.03,401001957366.27,4
2024,AGI_200K_500K,4787910,3912061644529.08,2291339807092.85,470336851686.93,12.023,434405340293.67,21210297700.2,95839496057.97,51476016996.03,159469559580.34,153371762935.89,380213085413.37,1357069131.91,31747394237.86,0.943,75171235859.47,310303983815.07,54
2011,AGI_100K_200K,2151394,5831429063007.08,3376605310365.18,295176996010.29,5.062,135350732850.44,6007642759.23,232566724462.05,80573966125.92,268080013432.78,25147961844.6,769165011268.96,4526787040.17,25511632924.35,1.375,148612683907.03,360504116882.47,94
2023,AGI_50K_75K,1789956,6497554425728.53,4632438733490.03,1078657650955.15,16.601,984967509874.36,59696787076.95,176148191574.41,122775013792.47,630044992937.24,710833902952.54,739517523024.59,11115996946.54,1394375619.25,3.4,203227752406.52,468344801554.84,29
2021,AGI_0_25K,5802157,4340390839804.22,3953887167335.32,201907007008.66,4.652,140088491447.94,72657002812.81,26462444463.44,26369016691.15,247820437257.55,41659140588.68,909281350839.54,871173149.66,20966323332.01,1.639,42072653224.14,354715024118.58,81
2020,AGI_100K_200K,2779255,1735963087582.87,1104176598103.69,131150302482.96,7.555,121759027982.9,18393067568.89,52967974253.95,34334283504.02,58737715190.66,194082999201.64,246393361536.48,4662245655.16,21357578868.74,1.243,9119727225.6,325415479419.19,21
2015,AGI_0_25K,5288513,5851925869840.4,2678113472693.26,270807549696.68,4.628,158493317038.29,47470937330.61,244927606155.52,153152723907.58,364402573302.85,59208332295.28,672530032894.8,6538209017.39,5366375375.6,1.461,257622513560.09,383247169530.98,78
2022,AGI_0_25K,2099472,7285724681548.83,5620697644655.42,488659731331.65,6.707,194781389162.66,67477468917.18,524650207676.96,1452984220.53,6125225533.13,959029660996.28,1200456372103.11,6806613801.15,27073941658.74,1.549,226401865233.64,103900033087.83,86
2010,AGI_100K_200K,377541,3920114941059.79,3322866494417.86,579322966389.06,14.778,246943754794.24,9630933760.14,81187147840.94,88656369533.27,332428379873.06,403348738584.95,925100312578.87,8575660814.14,24817829724.27,0.308,251359914963.84,303436537078.86,48
2023,AGI_25K_50K,1674776,1849364356239.93,1054962690904.58,268047388559.68,14.494,114209405820.49,21008142552.01,68571596684.8,2900953477.8,14593228944.85,104693798051.55,86180651784.27,4081404671.0,14827659602.89,1.932,12718787841.62,263560497319.84,46
2017,AGI_25K_50K,516135,794159077493.27,360273097428.13,71694862457.78,9.028,59264672485.07,11220536378.01,57108533816.88,22365803887.41,49910035326.47,41186991271.72,40633078452.49,10566020573.55,9523956203.68,1.211,114967846478.83,151732273897.63,31
2022,AGI_200K_500K,536308,8567942906434.57,5257910669000.07,801362877537.32,9.353,416987257146.96,17639185261.15,130048996915.91,230429234187.12,513864622296.88,614802384425.2,1197362571320.0,6891090296.77,15335412307.47,1.259,71916725390.31,488884156851.88,38
2014,AGI_50K_75K,6835551,2907992911319.13,1631976949717.23,301418354436.29,10.365,229213246443.41,35532138961.05,9840705607.81,32134309598.86,188160980921.39,125246707439.94,443306663309.9,8104245734.0,1583996588.75,3.191,290111451812.1,317377695048.94,115
2011,AGI_0_25K,6862101,2696714099658.02,1284496045469.72,303616454371.09,11.259,178777403465.82,5469985654.95,162492768535.1,31436114942.4,46097299999.08,13340797221.97,94315106304.25,1199885834.64,1552895210.49,3.411,134660642643.1,369685064678.69,67
2017,AGI_75K_100K,3048685,3648689451864.43,1996559300755.48,527513914244.67,14.458,210171877509.13,59262084758.38,250880354292.59,21516499701.42,147107076848.7,72189148280.61,541027626467.44,1100669735.59,23559896084.25,0.136,57641173381.27,271043526774.22,96
2022,AGI_200K_500K,134810,3246560713764.91,2496120543423.07,668357481124.35,20.587,239630186620.88,32743417623.19,256084153580.49,90778008799.54,134156720485.41,426322475891.97,262019324221.73,10263593367.46,13057638840.89,0.489,42479000514.72,311355362969.93,27
2017,AGI_0_25K,5425071,905288438763.92,737726822696.58,118738613312.59,13.116,60945345279.24,1800721481.02,31804431541.03,22778804587.99,35060815414.43,116863839778.18,164107307239.0,4354078669.11,5883555427.75,0.136,141739405633.11,169908027276.09,76
2025,AGI_75K_100K,3205315,5659094692627.03,4735873611410.22,913911873881.99,16.149,490405743584.83,22194978673.79,67321803916.34,34770700111.61,98378569312.32,517460942535.35,920276058122.86,5628526058.01,710332711.03,0.498,177015640230.29,161320665358.93,88
2022,AGI_100K_200K,4576279,4283580812045.42,2219389204948.43,490589366657.44,11.453,220286838591.99,58371242819.73,33999165443.62,111377859301.99,174950985302.86,278639425339.53,508576041504.72,568367318.23,35959360.21,3.226,223326884635.78,192525184330.13,83
2024,AGI_0_25K,6991365,204318003962.03,172850186098.79,40060477798.71,19.607,32072174749.26,1075740457.39,5772937268.07,210343614.21,11008891400.23,9495691346.16,14755130041.08,5783309935.18,29705384052.37,3.183,61124488482.43,121646141826.05,70
2017,AGI_200K_500K,4518973,733574778590.22,443583516509.37,115697609486.73,15.772,61545048013.41,9451477597.56,45634999523.63,11708487119.98,11955883014.06,65071811307.04,80648990769.36,6892497378.22,1405465649.23,1.351,290560933768.58,51151095875.94,77
2022,AGI_200K_500K,1593230,2911236431784.07,1960138191126.81,150645001411.11,5.175,114742206599.83,4865140374.11,72589966873.69,81864994724.76,20464799677.2,269214805622.08,222414767746.85,6474896991.43,25822011809.74,1.461,126898496890.74,69111467231.84,38
2012,AGI_0_25K,7398886,8998732714457.5,4796645044173.34,1070292338617.83,11.894,1015257164359.63,83189117422.45,658036656342.02,230455888732.83,335744245688.66,109228609729.41,398211488014.63,469251126.56,11288857935.19,2.478,276690744338.97,150769876089.33,86
2023,AGI_500K_1M,7396439,3667480415767.7,3129613500157.7,213285546463.51,5.816,82135134450.56,39928581203.23,84348668933.31,77671614477.75,282562306546.08,57865019095.82,317558205618.24,2676814999.64,18235284904.8,0.816,255497623050.3,197628343042.86,19
2016,AGI_200K_500K,5102644,4598939517551.65,3922533221014.36,453429778055.27,9.859,385631687586.06,29825741622.0,26920445853.61,31315585784.56,267879854341.46,319983292107.99,1012746358463.45,1720007716.67,7361052325.78,3.008,288302182072.22,402451714751.27,105
2012,AGI_1M_PLUS,5735804,4417750938115.97,2451610331136.34,194124155485.56,4.394,121811436687.14,29756609555.31,183840477525.87,121441104268.74,275183203237.12,438779703905.6,634547340309.52,11034538776.46,32777879595.39,2.077,264047768579.3,171884624684.75,45
2025,AGI_100K_200K,2749412,5470906647639.14,3777314006363.32,955200795423.8,17.46,567158412910.19,95721069081.23,387612567131.45,5037703827.42,39747453969.1,7436907680.17,191829734263.46,11808900168.6,11893598052.07,2.667,3164802246.81,269062407386.98,6
