civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_inr,civic_ballot_campaign_spend_oppose_inr,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2017,BM2017-00548,INITIATIVE,ENV,ENV_MEASURE_XZ0X,141013,173705,PENDING,39469266,69551463,6,5,576,44.02,31.93,744852,438471,1,2018-11-15,0
2025,BM2025-00549,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_2T5W,152595,145109,FAILED,48469573,31311375,6,5,1758,47.61,40.28,384192,286219,1,2026-10-20,0
2023,BM2023-00550,STATE_POLICY,INFRA,INFRA_MEASURE_6G5I,160436,129910,FAILED,30724869,34605093,5,4,672,69.84,23.78,422904,692491,0,2025-06-02,0
2021,BM2021-00551,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_4U4F,218592,153021,FAILED,42376105,45540262,5,13,1581,36.59,63.38,101115,43219,1,2023-12-13,0
2024,BM2024-00552,INITIATIVE,HEALTH,HEALTH_MEASURE_GW1J,225845,222791,FAILED,7017467,10512931,11,5,125,61.61,32.92,323380,152992,1,2024-07-12,0
2026,BM2026-00553,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_20PZ,204695,201328,FAILED,64901506,31926963,1,2,1471,52.47,23.69,30838,32796,0,2026-10-01,1
2019,BM2019-00554,STATE_POLICY,ENV,ENV_MEASURE_E8EL,90460,90416,FAILED,16448927,3815082,7,7,1288,31.99,49.21,487546,603531,0,2020-10-10,0
2023,BM2023-00555,INITIATIVE,TAX,TAX_MEASURE_BJVS,102364,76328,FAILED,1359346,6693548,6,5,1577,44.15,34.23,187293,156554,1,2024-04-15,1
2016,BM2016-00556,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_RDMZ,215425,266785,QUALIFIED,43335284,85992375,5,4,1619,32.72,66.44,471331,694104,0,2018-10-24,0
2014,BM2014-00557,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_6ZGR,40594,31740,PENDING,35172187,5423453,6,4,1793,39.54,41.06,76751,27872,1,2015-02-12,0
2018,BM2018-00558,STATE_POLICY,ENV,ENV_MEASURE_B7UY,62583,67996,QUALIFIED,68161535,18509182,5,2,506,34.96,42.0,248870,323259,0,2018-09-05,0
2021,BM2021-00559,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_088Q,227738,183655,FAILED,65716911,44648484,8,3,673,57.52,34.36,350226,243922,1,2022-07-09,0
2026,BM2026-00560,REFERENDUM,INFRA,INFRA_MEASURE_G0O0,247066,201770,FAILED,12242121,34773801,7,5,1545,48.81,49.86,638352,552955,1,2026-09-17,0
2025,BM2025-00561,INITIATIVE,TAX,TAX_MEASURE_GSC2,117039,108509,PENDING,34876668,52833349,5,10,1548,49.06,26.57,314229,363437,0,2026-05-01,0
2015,BM2015-00562,INITIATIVE,ENV,ENV_MEASURE_LXV8,44109,49619,QUALIFIED,12960992,24183665,4,6,981,46.87,26.91,495878,153903,1,2016-10-27,0
2018,BM2018-00563,STATE_POLICY,TAX,TAX_MEASURE_Z82H,66813,50239,FAILED,22388280,51563961,4,11,1714,49.49,47.02,178107,227609,0,2018-05-19,0
2024,BM2024-00564,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_4LMU,62956,73415,QUALIFIED,65271554,39016924,7,7,142,42.47,41.93,390749,291560,1,2025-03-12,0
2024,BM2024-00565,INITIATIVE,HEALTH,HEALTH_MEASURE_ZJDC,226296,188889,PENDING,22839751,6677706,5,7,666,30.43,64.59,245250,385826,0,2024-09-15,0
2017,BM2017-00566,INITIATIVE,INFRA,INFRA_MEASURE_8QHS,85373,77924,PENDING,26751300,4844856,2,2,1037,31.45,34.31,295926,209796,1,2017-02-06,0
2022,BM2022-00567,INITIATIVE,HEALTH,HEALTH_MEASURE_OX5D,36308,30418,PENDING,59628719,74202633,6,4,534,57.28,34.36,123972,122596,1,2024-08-04,0
2017,BM2017-00568,INITIATIVE,HEALTH,HEALTH_MEASURE_8K4H,223227,177798,FAILED,21208130,54884305,7,2,1118,54.82,34.89,223475,447734,0,2018-08-21,0
2015,BM2015-00569,REFERENDUM,EDU,EDU_MEASURE_TN8B,89161,80420,FAILED,13560704,51306856,6,5,227,50.23,47.84,623398,311944,1,2015-08-20,0
2025,BM2025-00570,INITIATIVE,ENV,ENV_MEASURE_8W9U,5706,4176,FAILED,14441314,53998263,4,10,23,42.19,47.58,260877,209978,1,2026-10-14,0
2025,BM2025-00571,STATE_POLICY,TAX,TAX_MEASURE_84GD,97239,105313,QUALIFIED,12823908,6037599,4,2,1306,43.78,28.81,271550,814648,0,2026-05-19,0
2015,BM2015-00572,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_ZSCW,210216,234422,QUALIFIED,18919714,83454250,2,7,464,68.09,27.45,561430,460644,1,2017-08-07,1
2023,BM2023-00573,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_PM7T,249943,236694,FAILED,57458985,61965578,9,6,747,55.91,37.29,303665,234435,1,2025-02-14,0
2022,BM2022-00574,INITIATIVE,TAX,TAX_MEASURE_AECQ,186018,191966,QUALIFIED,21843035,30489992,10,10,1120,58.16,39.2,59769,56610,1,2022-06-27,0
2014,BM2014-00575,REFERENDUM,ENV,ENV_MEASURE_KTJY,16114,11689,FAILED,36609527,4978550,3,7,100,56.56,41.71,253630,211104,1,2016-09-02,0
2026,BM2026-00576,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_ZRZ1,98098,101911,QUALIFIED,16926318,53884322,8,6,1129,32.7,35.31,421697,387839,1,2026-05-08,0
2026,BM2026-00577,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_OCW0,40868,41005,QUALIFIED,71571809,62770265,2,8,860,55.01,35.15,184366,251291,0,2026-03-29,0
2015,BM2015-00578,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_DZAN,115149,103746,FAILED,10750603,14388748,5,8,805,42.17,36.86,58985,49691,1,2016-11-06,0
2017,BM2017-00579,REFERENDUM,EDU,EDU_MEASURE_SWY1,182807,155101,PENDING,9998330,71563570,7,6,746,44.89,51.31,577809,477329,1,2017-08-05,0
2021,BM2021-00580,INITIATIVE,TAX,TAX_MEASURE_PGYA,109492,119697,QUALIFIED,48632832,5906467,12,6,1633,49.47,21.22,143909,133730,1,2022-01-17,1
2017,BM2017-00581,STATE_POLICY,EDU,EDU_MEASURE_9EIB,136384,137991,QUALIFIED,12714698,71604978,3,7,903,53.46,35.88,218552,252940,0,2018-04-08,0
2014,BM2014-00582,INITIATIVE,EDU,EDU_MEASURE_ZGJF,195501,144099,FAILED,21372373,39290686,8,6,800,36.49,56.19,241744,197940,1,2016-12-26,0
2018,BM2018-00583,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_9LHE,155597,192883,PENDING,47749907,12208473,9,4,1492,43.33,56.2,343387,218162,1,2019-09-07,0
2016,BM2016-00584,STATE_POLICY,ENV,ENV_MEASURE_F8BV,94872,84983,FAILED,12036994,47299649,3,11,737,68.3,23.91,138304,143949,0,2016-09-25,0
2026,BM2026-00585,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_OE42,231017,208197,FAILED,69329178,82630469,7,5,728,56.49,42.07,465815,275007,1,2026-06-10,0
2025,BM2025-00586,STATE_POLICY,ENV,ENV_MEASURE_QYAH,173174,124695,PENDING,44211490,26858770,13,1,1525,47.53,41.81,156576,65024,1,2025-08-19,0
2020,BM2020-00587,REFERENDUM,HEALTH,HEALTH_MEASURE_N6CA,189064,211251,QUALIFIED,55672815,63310492,8,9,618,49.46,38.66,566468,607145,0,2020-06-01,1
2019,BM2019-00588,REFERENDUM,INFRA,INFRA_MEASURE_OUAY,74649,66923,PENDING,51033419,21425626,6,7,1367,53.13,35.9,623862,387821,1,2019-09-06,0
2025,BM2025-00589,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_2LAL,217151,251316,QUALIFIED,6807988,62104956,7,4,32,66.66,31.99,147880,135560,1,2025-10-06,1
2014,BM2014-00590,REFERENDUM,INFRA,INFRA_MEASURE_OF83,157037,132231,FAILED,45549114,80272074,5,6,166,55.48,40.36,305067,766374,0,2016-04-25,0
2019,BM2019-00591,INITIATIVE,ENV,ENV_MEASURE_AEDM,74185,70049,FAILED,73707990,20384560,3,3,1203,35.69,48.9,523506,317305,1,2021-04-05,0
2017,BM2017-00592,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_X8OU,42287,38130,FAILED,30139391,63185092,7,3,1279,34.58,62.0,525233,474799,1,2017-12-02,0
2017,BM2017-00593,STATE_POLICY,EDU,EDU_MEASURE_01E4,228084,258409,PENDING,58856355,65764923,3,6,25,44.54,26.63,148546,174459,0,2019-03-13,0
2020,BM2020-00594,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_FIFX,209062,236711,QUALIFIED,61890340,26344795,5,6,1153,46.84,45.47,411845,307122,1,2021-09-28,0
2022,BM2022-00595,REFERENDUM,HEALTH,HEALTH_MEASURE_ST9X,202875,167549,PENDING,58165000,39763741,10,4,1488,60.57,35.69,536358,626638,0,2024-04-13,0
2025,BM2025-00596,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_MJCZ,151579,132447,FAILED,15834480,40614260,6,6,723,44.56,30.99,403796,308775,1,2025-03-12,0
2021,BM2021-00597,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_9GM5,153501,124431,FAILED,1384594,40202905,6,8,1308,52.18,23.3,263726,436187,0,2021-04-18,0
2018,BM2018-00598,INITIATIVE,ENV,ENV_MEASURE_N1D6,111116,84265,FAILED,69584054,68391904,2,4,965,59.2,21.92,544921,443833,1,2020-10-25,0
2018,BM2018-00599,INITIATIVE,HEALTH,HEALTH_MEASURE_LY4Q,69393,61522,FAILED,70888203,71554252,12,5,500,47.43,48.21,499063,619651,0,2020-01-18,0
2022,BM2022-00600,INITIATIVE,INFRA,INFRA_MEASURE_BCQT,174907,136375,FAILED,4176728,80210645,7,5,1664,63.62,21.85,359178,298511,1,2024-10-27,1
2017,BM2017-00601,REFERENDUM,TAX,TAX_MEASURE_A6M6,247822,286729,QUALIFIED,74962339,89336295,11,10,550,36.95,60.38,219662,403180,0,2019-01-22,0
2014,BM2014-00602,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_1Q4P,249526,244526,FAILED,24690583,17293855,3,5,344,40.11,49.57,157825,189141,0,2014-11-21,0
2017,BM2017-00603,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_G9H8,99784,94966,FAILED,34851471,10496581,7,5,336,50.6,48.21,186384,204715,0,2018-12-08,0
2017,BM2017-00604,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_1XN5,81342,77540,FAILED,16080118,58808851,6,5,1586,39.76,48.55,34253,27650,1,2019-01-23,0
2025,BM2025-00605,REFERENDUM,HEALTH,HEALTH_MEASURE_0MOL,111660,116091,QUALIFIED,3708098,18419028,12,6,1163,31.23,48.02,98076,192598,0,2026-12-22,0
2026,BM2026-00606,STATE_POLICY,ENV,ENV_MEASURE_V4DG,140182,107874,FAILED,66171320,60661430,6,5,1492,53.34,46.12,103397,109297,0,2026-04-18,0
2014,BM2014-00607,STATE_POLICY,ENV,ENV_MEASURE_2IZ1,23210,25995,QUALIFIED,57290804,23646493,6,5,330,66.75,23.46,349225,360097,0,2015-01-23,0
2021,BM2021-00608,STATE_POLICY,INFRA,INFRA_MEASURE_8PJ1,129813,113110,FAILED,60905618,70405093,9,2,1507,49.36,36.03,245806,210456,1,2021-05-31,0
2020,BM2020-00609,REFERENDUM,EDU,EDU_MEASURE_9AU6,237023,271869,QUALIFIED,74513241,31646570,7,8,1157,51.43,25.09,41996,37619,1,2021-08-25,1
2016,BM2016-00610,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_U6B1,116153,125563,QUALIFIED,23146814,2715068,4,6,1375,44.84,49.04,65613,50340,1,2016-06-06,0
2024,BM2024-00611,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_7GEH,33450,34901,QUALIFIED,67846337,58342134,10,10,1668,68.11,27.68,441690,420855,1,2024-08-19,0
2024,BM2024-00612,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_S1C6,70445,64811,FAILED,20477743,23428816,6,3,974,46.86,21.37,146062,103503,1,2026-12-21,0
2022,BM2022-00613,INITIATIVE,HEALTH,HEALTH_MEASURE_QYCY,18878,16193,FAILED,34665218,27385428,9,8,926,33.45,60.94,292549,271824,1,2023-06-08,0
2019,BM2019-00614,INITIATIVE,EDU,EDU_MEASURE_Y7K6,102541,88857,PENDING,40284523,87290266,5,7,1469,44.47,46.55,478873,348104,1,2019-10-08,0
2014,BM2014-00615,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_I4VX,55939,65787,QUALIFIED,6567098,2669690,4,11,566,39.78,31.0,292527,367474,0,2014-04-01,0
2025,BM2025-00616,INITIATIVE,INFRA,INFRA_MEASURE_D6LO,136536,117134,PENDING,13407150,89841425,4,3,676,56.93,20.36,517204,630346,0,2026-01-24,0
2016,BM2016-00617,REFERENDUM,TAX,TAX_MEASURE_HY05,232744,227598,FAILED,898569,83466433,7,7,569,55.93,20.4,132470,96115,1,2017-06-27,0
2023,BM2023-00618,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_S08U,37858,30352,PENDING,21048687,16874957,2,6,655,35.55,27.08,149601,138638,1,2024-08-16,0
2026,BM2026-00619,STATE_POLICY,ENV,ENV_MEASURE_XT11,185659,132300,FAILED,23354669,22024423,5,8,1558,55.9,21.74,287267,405904,0,2026-03-17,0
2019,BM2019-00620,STATE_POLICY,INFRA,INFRA_MEASURE_ZB6U,37563,44239,QUALIFIED,4134992,67152532,8,3,677,54.06,30.68,209788,185002,1,2019-06-04,0
2014,BM2014-00621,REFERENDUM,INFRA,INFRA_MEASURE_IVW9,129489,135042,PENDING,69967496,62557812,5,4,1681,34.76,38.61,526437,350847,1,2015-05-21,1
2020,BM2020-00622,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_LYXJ,169282,157230,FAILED,65494342,70967818,7,4,115,55.7,39.77,380868,485487,0,2021-06-10,0
2026,BM2026-00623,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_D8QU,26280,30553,QUALIFIED,36491248,3727307,7,7,845,67.37,26.7,529821,308367,1,2026-12-02,0
2015,BM2015-00624,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_PN1M,238507,256586,QUALIFIED,43953258,36387005,12,7,867,58.15,39.19,566364,538603,1,2017-04-23,0
2016,BM2016-00625,INITIATIVE,HEALTH,HEALTH_MEASURE_139D,170289,163468,FAILED,35874177,38924385,4,3,1369,32.45,63.58,383045,537452,0,2018-06-27,0
2014,BM2014-00626,STATE_POLICY,EDU,EDU_MEASURE_70IU,84219,99686,QUALIFIED,24171784,5697039,7,3,459,66.5,30.42,204276,108346,1,2016-01-16,0
2020,BM2020-00627,INITIATIVE,ENV,ENV_MEASURE_S8W5,24384,28968,QUALIFIED,70425812,26481117,4,5,1261,41.21,27.28,345826,451463,0,2022-10-11,0
2019,BM2019-00628,REFERENDUM,INFRA,INFRA_MEASURE_3ZUP,60130,50167,FAILED,54062573,39994834,7,3,765,63.31,25.72,801259,272014,1,2019-11-22,0
2021,BM2021-00629,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_SIYL,132615,165637,PENDING,56570390,85143501,3,6,330,37.89,20.2,552805,462985,1,2022-06-05,0
2023,BM2023-00630,REFERENDUM,INFRA,INFRA_MEASURE_RL39,71526,76324,QUALIFIED,13489074,13912228,9,6,439,69.86,22.48,435598,291289,1,2023-06-28,0
2026,BM2026-00631,REFERENDUM,INFRA,INFRA_MEASURE_4YCP,137769,143736,QUALIFIED,27453101,46953691,6,10,219,51.86,34.92,518086,578795,0,2026-07-07,0
2020,BM2020-00632,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_4QN5,55538,51300,FAILED,35586042,651201,14,10,1596,44.17,38.25,155918,120943,1,2021-12-13,0
2023,BM2023-00633,INITIATIVE,HEALTH,HEALTH_MEASURE_XXAS,67432,55575,FAILED,28982575,54332383,6,3,1625,64.51,20.79,439447,527205,0,2024-04-22,0
2024,BM2024-00634,INITIATIVE,INFRA,INFRA_MEASURE_VFHZ,131196,148066,PENDING,42206531,45964582,7,7,298,37.29,28.12,478096,653394,0,2025-03-06,0
2024,BM2024-00635,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_A6OV,138980,140423,QUALIFIED,19277890,47046881,7,8,42,30.02,55.22,263404,281189,0,2026-11-27,0
2014,BM2014-00636,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_8L10,89240,64096,FAILED,47109219,41558038,6,5,1015,69.08,20.07,548066,534971,1,2015-02-11,0
2025,BM2025-00637,INITIATIVE,EDU,EDU_MEASURE_187Y,65229,79734,QUALIFIED,7517699,63556906,7,7,468,40.01,59.86,445225,649483,0,2026-02-23,0
2023,BM2023-00638,STATE_POLICY,HEALTH,HEALTH_MEASURE_HQLY,166085,137716,FAILED,73567899,30722676,10,4,527,56.91,30.38,143941,271256,0,2024-07-01,0
2016,BM2016-00639,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_KQJY,59180,59742,PENDING,35558181,70867665,5,5,353,36.46,33.78,29475,53014,0,2017-03-15,0
2023,BM2023-00640,INITIATIVE,TAX,TAX_MEASURE_8IRC,123171,114725,FAILED,74623280,30946421,13,4,460,35.33,46.4,620110,392658,1,2023-06-06,0
2019,BM2019-00641,STATE_POLICY,ENV,ENV_MEASURE_LBIM,216403,253235,PENDING,36935432,87159348,7,7,1463,51.13,23.04,271049,206423,1,2021-12-16,0
2018,BM2018-00642,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_Z9B9,231426,222069,FAILED,3137796,15174286,4,9,749,41.01,20.63,156494,254145,0,2019-09-20,0
2020,BM2020-00643,REFERENDUM,EDU,EDU_MEASURE_OQCP,72627,71818,FAILED,28288081,69245085,10,5,1539,54.99,40.44,553506,502672,1,2021-09-10,0
2023,BM2023-00644,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_72U2,122897,116528,FAILED,24554044,53947666,8,9,852,39.7,23.93,354394,767426,0,2023-02-27,0
2020,BM2020-00645,STATE_POLICY,EDU,EDU_MEASURE_1DU7,191578,149518,FAILED,12652257,62718404,4,7,713,58.23,35.33,567083,527282,1,2021-08-03,0
2018,BM2018-00646,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_FY1A,171257,145687,FAILED,68311818,16669435,11,3,118,44.65,50.99,171999,339129,0,2020-01-13,0
2014,BM2014-00647,STATE_POLICY,HEALTH,HEALTH_MEASURE_B0DF,104207,96844,FAILED,70717889,38837340,12,8,650,37.01,45.45,69656,65422,1,2015-07-16,0
2023,BM2023-00648,INITIATIVE,ENV,ENV_MEASURE_XXWN,206153,163467,FAILED,26111260,4280814,7,9,1621,36.12,51.27,683445,489204,1,2025-12-31,0
2020,BM2020-00649,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_PZIA,32633,36354,QUALIFIED,55063044,42549373,10,5,895,54.78,35.9,448483,344489,1,2022-08-27,0
2026,BM2026-00650,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_N3ML,55171,52215,PENDING,67511149,86710426,5,10,934,59.29,27.14,311343,177254,1,2026-01-26,0
2017,BM2017-00651,INITIATIVE,INFRA,INFRA_MEASURE_HLAR,197349,224029,QUALIFIED,74734750,25241382,9,2,159,58.94,38.66,354157,407772,0,2019-06-07,0
2022,BM2022-00652,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_IEO9,21154,16801,FAILED,62731259,86955593,7,5,1240,45.43,47.24,30731,36845,0,2024-02-16,0
2014,BM2014-00653,REFERENDUM,HEALTH,HEALTH_MEASURE_YOBG,32322,31152,FAILED,57310181,23140198,9,8,59,38.87,23.06,431762,489878,0,2015-06-01,0
2015,BM2015-00654,INITIATIVE,INFRA,INFRA_MEASURE_UZ94,248745,246737,PENDING,36752466,79278299,7,4,1631,69.91,23.54,296565,583071,0,2016-04-20,0
2023,BM2023-00655,STATE_POLICY,ENV,ENV_MEASURE_A8GC,236665,249321,QUALIFIED,16759279,2984980,8,7,1303,63.16,29.21,613362,376028,1,2025-10-04,1
2016,BM2016-00656,STATE_POLICY,HEALTH,HEALTH_MEASURE_8YOQ,190131,220299,QUALIFIED,22006651,40747120,8,4,1108,41.74,20.47,41927,54494,0,2018-12-29,0
2019,BM2019-00657,REFERENDUM,INFRA,INFRA_MEASURE_X6AZ,175861,146103,FAILED,55743630,78969097,5,5,1457,51.96,43.49,235022,224557,1,2021-10-05,0
2026,BM2026-00658,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_DBH4,27051,32917,QUALIFIED,36699445,69797147,14,5,1596,62.84,30.22,65122,58446,1,2026-09-20,0
2015,BM2015-00659,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_WQV6,148050,184083,QUALIFIED,47386106,70012619,6,3,1627,65.29,34.69,283362,287070,0,2016-05-20,0
2018,BM2018-00660,REFERENDUM,INFRA,INFRA_MEASURE_GCXY,229714,175711,FAILED,16932782,82393086,9,8,153,40.87,47.21,693833,465135,1,2020-05-13,0
2024,BM2024-00661,INITIATIVE,ENV,ENV_MEASURE_04CV,11871,9383,FAILED,54077559,70343902,5,9,510,40.44,45.43,820146,311149,1,2026-10-02,0
2015,BM2015-00662,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_VE4I,46424,45527,FAILED,60322335,43969006,6,10,1098,67.17,24.13,298453,308397,0,2016-12-28,0
2021,BM2021-00663,STATE_POLICY,EDU,EDU_MEASURE_F7BC,58774,53046,PENDING,64478144,83431801,6,8,1123,64.44,31.61,454101,241092,1,2023-09-06,0
2026,BM2026-00664,INITIATIVE,TAX,TAX_MEASURE_SXQK,80999,64330,FAILED,56296347,7064352,2,4,432,47.76,31.35,311368,145267,1,2026-08-22,0
2020,BM2020-00665,STATE_POLICY,EDU,EDU_MEASURE_LWL0,205873,180111,FAILED,23083962,51768389,5,7,547,58.08,22.14,52254,36892,1,2020-07-06,1
2018,BM2018-00666,STATE_POLICY,TAX,TAX_MEASURE_67CG,17300,20073,QUALIFIED,66141863,59114632,10,5,1162,50.57,28.36,618518,557145,1,2018-10-27,0
2015,BM2015-00667,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_X30A,134534,103570,FAILED,58789665,33897067,9,7,785,51.29,37.16,416408,312331,1,2015-08-03,0
2022,BM2022-00668,REFERENDUM,TAX,TAX_MEASURE_PUBK,98186,98103,FAILED,48260561,37247008,7,2,1359,67.34,25.13,554524,500824,1,2022-07-07,0
2024,BM2024-00669,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_PSL0,121991,118310,PENDING,35727466,27158155,9,7,180,51.65,43.05,222451,206838,1,2024-01-16,0
2026,BM2026-00670,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_O4PY,39707,40447,QUALIFIED,16991305,44593990,6,6,236,30.94,51.69,744947,393453,1,2026-11-08,0
2020,BM2020-00671,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_P3JF,82536,73667,FAILED,62214931,25024733,7,9,1160,37.81,23.1,62367,127822,0,2022-07-04,0
2014,BM2014-00672,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_GQQQ,245486,260584,QUALIFIED,35886723,27866922,6,8,80,35.16,55.6,110600,90152,1,2014-03-02,0
2023,BM2023-00673,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_R6JP,156759,123926,FAILED,31687848,34412302,7,8,1189,52.09,28.15,272364,280642,0,2025-08-31,0
2020,BM2020-00674,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_LQ1B,242000,211641,FAILED,39273284,59651094,4,5,1653,64.39,29.6,89531,50381,1,2021-01-07,0
2019,BM2019-00675,STATE_POLICY,EDU,EDU_MEASURE_FWSQ,229004,241702,PENDING,1907748,43036820,7,5,219,46.78,29.65,207825,158475,1,2020-04-04,0
2018,BM2018-00676,INITIATIVE,ENV,ENV_MEASURE_LOCV,247365,242664,FAILED,8030658,20979140,4,5,1093,31.69,60.81,206284,252485,0,2019-01-06,0
2019,BM2019-00677,INITIATIVE,INFRA,INFRA_MEASURE_YCXN,215598,187367,FAILED,39547008,23732670,3,9,1694,35.19,56.7,584280,493641,1,2019-01-26,0
2024,BM2024-00678,REFERENDUM,INFRA,INFRA_MEASURE_AM5C,11600,13925,PENDING,41772293,42805502,3,7,83,68.23,26.14,177043,195894,0,2026-05-05,0
2025,BM2025-00679,STATE_POLICY,EDU,EDU_MEASURE_M0OS,52849,45859,FAILED,10925665,8602496,6,4,1544,53.04,20.99,213575,147116,1,2026-07-12,0
2023,BM2023-00680,INITIATIVE,EDU,EDU_MEASURE_Y8OL,125395,134931,QUALIFIED,10863563,51968752,5,6,775,65.65,27.5,421978,615939,0,2024-05-28,0
2026,BM2026-00681,STATE_POLICY,ENV,ENV_MEASURE_4WFU,61405,72954,QUALIFIED,37213821,77999683,7,9,1399,68.6,25.43,92032,107671,0,2026-12-13,0
2022,BM2022-00682,INITIATIVE,EDU,EDU_MEASURE_519E,122359,145309,QUALIFIED,65282110,50458029,8,7,1440,52.28,40.47,324285,280439,1,2024-11-04,0
2023,BM2023-00683,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_9YJ4,66104,75539,QUALIFIED,33984780,31954103,2,5,798,68.86,29.99,193582,147150,1,2025-02-05,0
2015,BM2015-00684,REFERENDUM,EDU,EDU_MEASURE_UDWY,101638,78261,FAILED,39168230,60614784,4,11,1761,66.65,24.48,29109,35222,0,2016-12-01,1
2024,BM2024-00685,REFERENDUM,ENV,ENV_MEASURE_P7EA,22316,15662,FAILED,50501251,22051260,4,7,334,56.0,30.32,297526,234231,1,2026-01-19,0
2014,BM2014-00686,STATE_POLICY,INFRA,INFRA_MEASURE_5DGR,169928,153947,FAILED,53502451,25664086,5,3,1097,63.76,29.77,467785,320257,1,2014-11-23,0
2014,BM2014-00687,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_8QKK,77000,65869,FAILED,63084819,71104015,10,2,214,53.74,20.52,197391,146162,1,2016-06-20,0
2019,BM2019-00688,INITIATIVE,INFRA,INFRA_MEASURE_9U0V,62977,44761,FAILED,39344909,21865830,6,6,447,40.07,32.07,570207,411149,1,2020-05-01,0
2024,BM2024-00689,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_F6OY,27749,27936,PENDING,59205469,48253082,6,5,1266,57.46,29.41,355532,541803,0,2026-07-19,0
2024,BM2024-00690,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_D7UA,39170,32729,FAILED,45689626,17112971,12,4,91,59.44,23.99,583072,502858,1,2024-12-07,0
2019,BM2019-00691,STATE_POLICY,EDU,EDU_MEASURE_3R0B,203089,194014,FAILED,69169020,60922521,3,3,1198,57.99,34.71,598532,488723,1,2020-01-22,0
