edu_he_reference_year,edu_he_country_iso2,edu_he_institution_id,edu_he_institution_type_code,edu_he_students_total,edu_he_international_students_share_pct,edu_he_graduation_rate_pct,edu_he_staff_fte_total,edu_he_research_expenditure_eur,edu_he_publications_count,edu_he_citations_normalised_index,edu_he_horizon_participation_count,edu_he_patents_count,edu_he_spinouts_count,edu_he_open_access_share_pct,edu_he_microcredential_offers_count,edu_he_european_universities_alliance_flag,edu_he_data_source,edu_he_revision_round,edu_he_data_extract_date
2023,ES,HEI_ES_3059,UNIVERSITY_OF_APPLIED_SCIENCES,12986,29.9,58.66,656,289849698.55,1423,1.313,322,161,88,60.56,221,0,SCIMAGO_EXPORT,BENCHMARK,2025-05-20
2024,HR,HEI_HR_3066,RESEARCH_INSTITUTE,28826,30.5,59.09,2174,4364393436.49,15825,1.905,181,211,9,85.35,348,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-18
2025,FI,HEI_FI_3073,TECHNICAL_UNIVERSITY,74162,18.34,80.85,5632,2470843212.99,8823,1.629,555,13,15,63.46,243,0,INSTITUTIONAL_REPORT,FIRST,2024-06-25
2006,IE,HEI_IE_3080,PUBLIC_UNIVERSITY,76006,24.12,49.31,2266,632830174.28,13734,1.842,121,176,15,65.84,193,0,EUROSTAT_EDU,FLASH,2025-08-20
2007,MT,HEI_MT_3087,PRIVATE_UNIVERSITY,62541,7.6,60.39,2975,2612447410.68,12445,0.834,5,88,55,46.7,39,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-07
2008,SK,HEI_SK_3094,UNIVERSITY_OF_APPLIED_SCIENCES,32623,11.66,74.96,3729,2622671350.61,6409,1.29,50,4,20,39.66,123,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-22
2009,BE,HEI_BE_3101,RESEARCH_INSTITUTE,53373,38.39,73.52,3277,3168506464.57,18890,1.484,290,305,59,47.06,35,0,INSTITUTIONAL_REPORT,FIRST,2024-04-16
2010,DK,HEI_DK_3108,TECHNICAL_UNIVERSITY,66741,22.21,62.2,6133,1509617193.23,3524,0.653,136,292,84,16.38,32,0,EUROSTAT_EDU,FLASH,2025-06-26
2011,GR,HEI_GR_3115,PUBLIC_UNIVERSITY,18440,12.66,74.78,1077,1873718813.05,15424,0.736,314,26,35,56.33,166,0,SCIMAGO_EXPORT,BENCHMARK,2024-07-14
2012,LT,HEI_LT_3122,PRIVATE_UNIVERSITY,32398,1.88,59.84,2284,2138336385.89,14102,1.983,98,105,70,19.28,32,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-17
2013,PT,HEI_PT_3129,UNIVERSITY_OF_APPLIED_SCIENCES,41062,15.65,43.83,3489,1004196253.12,2942,1.221,200,170,48,63.11,93,0,INSTITUTIONAL_REPORT,FIRST,2024-04-28
2014,SE,HEI_SE_3136,RESEARCH_INSTITUTE,14926,18.47,45.54,1130,4701187162.1,34656,1.724,24,192,65,26.8,190,0,EUROSTAT_EDU,FLASH,2024-08-17
2015,CY,HEI_CY_3143,TECHNICAL_UNIVERSITY,87254,28.41,57.16,5013,4065506388.89,11387,0.738,158,155,114,27.15,197,0,SCIMAGO_EXPORT,BENCHMARK,2025-04-17
2016,FR,HEI_FR_3150,PUBLIC_UNIVERSITY,73842,20.8,61.42,3217,2700529137.69,15594,0.98,194,86,101,59.8,182,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-26
2017,IT,HEI_IT_3157,PRIVATE_UNIVERSITY,864,11.04,68.98,22,3140032584.07,14881,1.312,152,144,0,50.26,123,0,INSTITUTIONAL_REPORT,FIRST,2024-11-30
2018,NL,HEI_NL_3164,UNIVERSITY_OF_APPLIED_SCIENCES,17851,17.56,77.5,1277,1053857720.19,845,1.35,143,41,115,79.44,122,0,EUROSTAT_EDU,FLASH,2024-11-23
2019,SI,HEI_SI_3171,RESEARCH_INSTITUTE,45849,6.11,69.72,6665,426824283.19,13720,1.795,368,310,84,83.68,80,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-16
2020,BG,HEI_BG_3178,TECHNICAL_UNIVERSITY,71433,28.76,51.4,6985,5826378537.59,19675,1.531,92,348,22,21.29,102,0,NATIONAL_HE_REGISTRY,SECOND,2026-01-16
2021,EE,HEI_EE_3185,PUBLIC_UNIVERSITY,10850,17.82,84.86,600,2522819097.68,1535,1.44,344,29,42,25.77,262,0,INSTITUTIONAL_REPORT,FIRST,2025-01-23
2022,HU,HEI_HU_3192,PRIVATE_UNIVERSITY,28052,21.99,63.25,2907,2340088846.63,12999,1.916,228,25,38,43.7,52,0,EUROSTAT_EDU,FLASH,2024-02-07
2023,LU,HEI_LU_3199,UNIVERSITY_OF_APPLIED_SCIENCES,20681,19.5,70.69,713,2481376177.16,17267,1.959,334,105,74,34.16,28,1,SCIMAGO_EXPORT,BENCHMARK,2024-08-20
2024,RO,HEI_RO_3206,RESEARCH_INSTITUTE,31801,19.37,75.09,4107,1531492171.71,5718,2.029,63,80,115,59.66,422,0,NATIONAL_HE_REGISTRY,SECOND,2024-08-12
2025,AT,HEI_AT_3213,TECHNICAL_UNIVERSITY,37765,40.83,80.63,3090,1301018884.92,14141,0.809,21,79,5,51.77,192,1,INSTITUTIONAL_REPORT,FIRST,2024-01-26
2006,CZ,HEI_CZ_3220,PUBLIC_UNIVERSITY,47413,27.08,52.15,4997,2074315684.45,7319,1.236,228,93,58,60.58,156,0,EUROSTAT_EDU,FLASH,2024-02-22
2007,DE,HEI_DE_3227,PRIVATE_UNIVERSITY,63089,6.15,54.1,1784,2541715163.29,17916,1.908,125,70,35,63.56,33,0,SCIMAGO_EXPORT,BENCHMARK,2025-05-17
2008,LV,HEI_LV_3234,UNIVERSITY_OF_APPLIED_SCIENCES,1659,10.78,58.02,207,2734479836.17,2775,0.659,132,16,51,55.47,143,0,NATIONAL_HE_REGISTRY,SECOND,2025-05-16
2009,PL,HEI_PL_3241,RESEARCH_INSTITUTE,58694,14.92,48.49,4684,2325131092.49,5021,2.05,321,118,61,19.53,79,0,INSTITUTIONAL_REPORT,FIRST,2024-02-08
2010,ES,HEI_ES_3248,TECHNICAL_UNIVERSITY,13602,5.48,70.67,1157,368082609.29,15475,0.917,280,250,89,33.89,54,0,EUROSTAT_EDU,FLASH,2024-07-01
2011,HR,HEI_HR_3255,PUBLIC_UNIVERSITY,10106,28.46,54.88,550,2289132855.76,11164,1.511,342,57,82,29.18,141,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-23
2012,FI,HEI_FI_3262,PRIVATE_UNIVERSITY,45190,5.16,42.81,3349,2921107767.88,14256,1.671,128,4,58,20.87,163,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-26
2013,IE,HEI_IE_3269,UNIVERSITY_OF_APPLIED_SCIENCES,2701,9.46,70.87,118,1366565361.04,15843,1.718,33,154,66,63.96,155,0,INSTITUTIONAL_REPORT,FIRST,2024-03-28
2014,MT,HEI_MT_3276,RESEARCH_INSTITUTE,63435,27.92,77.3,4670,5453996284.48,21980,1.221,370,169,77,34.01,154,0,EUROSTAT_EDU,FLASH,2025-03-31
2015,SK,HEI_SK_3283,TECHNICAL_UNIVERSITY,12662,24.05,49.41,1114,1863101998.74,30130,0.782,581,166,111,36.66,30,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-17
2016,BE,HEI_BE_3290,PUBLIC_UNIVERSITY,41541,2.94,84.98,2981,2737244677.55,6842,0.8,376,150,88,47.92,15,0,NATIONAL_HE_REGISTRY,SECOND,2025-06-04
2017,DK,HEI_DK_3297,PRIVATE_UNIVERSITY,5585,10.56,52.65,440,2245578752.16,7303,1.141,388,123,103,49.17,182,0,INSTITUTIONAL_REPORT,FIRST,2025-06-13
2018,GR,HEI_GR_3304,UNIVERSITY_OF_APPLIED_SCIENCES,20380,29.06,69.81,2311,2335202309.1,5525,1.786,73,140,27,75.09,37,0,EUROSTAT_EDU,FLASH,2024-03-19
2019,LT,HEI_LT_3311,RESEARCH_INSTITUTE,37045,4.45,58.1,2994,3320772832.36,31934,0.71,335,238,94,64.51,100,1,SCIMAGO_EXPORT,BENCHMARK,2024-08-31
2020,PT,HEI_PT_3318,TECHNICAL_UNIVERSITY,72908,24.01,72.76,2878,1530693463.72,1305,0.967,501,144,70,61.53,90,0,NATIONAL_HE_REGISTRY,SECOND,2024-09-21
2021,SE,HEI_SE_3325,PUBLIC_UNIVERSITY,8760,30.46,59.15,755,1284082077.86,19666,1.797,126,32,39,28.87,525,1,INSTITUTIONAL_REPORT,FIRST,2024-06-02
2022,CY,HEI_CY_3332,PRIVATE_UNIVERSITY,55254,10.14,73.86,1588,3279197162.5,4647,1.681,256,28,43,27.61,204,0,EUROSTAT_EDU,FLASH,2025-07-12
2023,FR,HEI_FR_3339,UNIVERSITY_OF_APPLIED_SCIENCES,30325,4.26,64.38,3728,1433301655.25,590,0.905,191,180,47,35.6,170,1,SCIMAGO_EXPORT,BENCHMARK,2025-03-07
2024,IT,HEI_IT_3346,RESEARCH_INSTITUTE,23015,10.5,71.08,3542,2423962977.6,10952,1.989,82,317,89,85.43,384,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-11
2025,NL,HEI_NL_3353,TECHNICAL_UNIVERSITY,59907,29.51,55.72,4789,8176390360.38,1364,1.122,199,52,112,40.44,171,0,INSTITUTIONAL_REPORT,FIRST,2024-02-05
2006,SI,HEI_SI_3360,PUBLIC_UNIVERSITY,27030,16.47,67.37,1493,1633348915.62,10920,1.47,334,69,12,43.21,46,0,EUROSTAT_EDU,FLASH,2025-07-31
2007,BG,HEI_BG_3367,PRIVATE_UNIVERSITY,17099,17.79,49.6,587,1233809011.1,19464,1.334,193,167,50,51.39,38,0,SCIMAGO_EXPORT,BENCHMARK,2026-01-12
2008,EE,HEI_EE_3374,UNIVERSITY_OF_APPLIED_SCIENCES,40832,9.03,69.46,3219,1800047622.7,2751,1.39,243,164,40,49.59,8,0,NATIONAL_HE_REGISTRY,SECOND,2024-02-21
2009,HU,HEI_HU_3381,RESEARCH_INSTITUTE,14071,9.49,46.23,933,3918968553.34,7200,1.387,340,192,97,28.46,166,0,INSTITUTIONAL_REPORT,FIRST,2024-06-29
2010,LU,HEI_LU_3388,TECHNICAL_UNIVERSITY,88137,4.19,78.21,2457,2497626316.33,10613,0.857,252,98,112,50.24,118,0,EUROSTAT_EDU,FLASH,2024-03-22
2011,RO,HEI_RO_3395,PUBLIC_UNIVERSITY,94378,10.59,54.53,5771,2312558226.22,18093,0.84,164,82,49,20.24,168,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-05
2012,AT,HEI_AT_3402,PRIVATE_UNIVERSITY,56016,8.3,74.64,4012,1844296410.05,13751,1.807,24,56,76,21.83,196,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-22
2013,CZ,HEI_CZ_3409,UNIVERSITY_OF_APPLIED_SCIENCES,4002,18.29,58.06,480,2644017762.62,19698,1.487,102,103,56,23.62,97,0,INSTITUTIONAL_REPORT,FIRST,2025-07-28
2014,DE,HEI_DE_3416,RESEARCH_INSTITUTE,8057,19.46,64.49,1089,1253430986.31,6217,1.17,462,95,95,65.16,90,0,EUROSTAT_EDU,FLASH,2024-05-05
2015,LV,HEI_LV_3423,TECHNICAL_UNIVERSITY,53437,6.1,76.93,1864,3693639758.9,7407,1.221,583,227,43,62.02,105,0,SCIMAGO_EXPORT,BENCHMARK,2024-04-30
2016,PL,HEI_PL_3430,PUBLIC_UNIVERSITY,90042,7.06,69.22,4299,3168334170.83,7496,1.41,235,73,106,26.82,121,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-07
2017,ES,HEI_ES_3437,PRIVATE_UNIVERSITY,55174,28.28,62.4,2253,412738896.03,9936,1.321,290,41,82,35.24,123,0,INSTITUTIONAL_REPORT,FIRST,2024-08-14
2018,HR,HEI_HR_3444,UNIVERSITY_OF_APPLIED_SCIENCES,36520,21.31,45.79,1686,609508968.8,14079,1.07,86,150,39,22.03,62,0,EUROSTAT_EDU,FLASH,2024-02-16
2019,FI,HEI_FI_3451,RESEARCH_INSTITUTE,26878,23.29,43.74,2395,517058612.39,26473,1.781,364,311,98,79.5,133,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-02
2020,IE,HEI_IE_3458,TECHNICAL_UNIVERSITY,95409,11.9,69.08,3265,4878324549.77,12206,0.978,57,266,28,32.29,49,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-14
2021,MT,HEI_MT_3465,PUBLIC_UNIVERSITY,82760,2.02,78.28,4050,2419479438.45,9603,1.492,334,61,96,37.44,340,1,INSTITUTIONAL_REPORT,FIRST,2026-02-03
2022,SK,HEI_SK_3472,PRIVATE_UNIVERSITY,26329,23.42,52.62,1857,2841225591.68,12274,1.59,41,156,79,46.25,168,0,EUROSTAT_EDU,FLASH,2025-05-03
2023,BE,HEI_BE_3479,UNIVERSITY_OF_APPLIED_SCIENCES,36323,11.26,70.83,4441,1772163653.45,8363,2.008,419,130,39,60.09,510,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-27
2024,DK,HEI_DK_3486,RESEARCH_INSTITUTE,10419,27.88,61.66,444,578094251.53,2928,1.56,19,81,112,56.4,357,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-19
2025,GR,HEI_GR_3493,TECHNICAL_UNIVERSITY,27728,29.93,47.76,2985,3004741806.18,5916,1.925,183,169,116,72.28,348,0,INSTITUTIONAL_REPORT,FIRST,2025-09-08
2006,LT,HEI_LT_3500,PUBLIC_UNIVERSITY,40344,24.43,81.65,1398,1522410201.57,7160,1.73,276,9,48,26.2,32,0,EUROSTAT_EDU,FLASH,2024-05-16
2007,PT,HEI_PT_3507,PRIVATE_UNIVERSITY,1758,4.58,67.61,124,525281412.32,17798,1.968,108,51,9,28.13,162,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-24
2008,SE,HEI_SE_3514,UNIVERSITY_OF_APPLIED_SCIENCES,55610,21.94,50.24,2186,2098314303.64,15833,1.502,7,114,45,65.19,140,0,NATIONAL_HE_REGISTRY,SECOND,2024-10-26
2009,CY,HEI_CY_3521,RESEARCH_INSTITUTE,25719,12.52,54.48,4106,1724681993.8,15131,1.5,279,33,41,18.74,75,0,INSTITUTIONAL_REPORT,FIRST,2024-05-01
2010,FR,HEI_FR_3528,TECHNICAL_UNIVERSITY,26905,23.5,59.43,3131,4032671236.55,12054,0.69,313,45,61,21.87,88,0,EUROSTAT_EDU,FLASH,2025-01-19
2011,IT,HEI_IT_3535,PUBLIC_UNIVERSITY,85838,13.29,77.86,6257,2643130788.45,11799,1.519,187,14,68,26.45,187,0,SCIMAGO_EXPORT,BENCHMARK,2025-04-06
2012,NL,HEI_NL_3542,PRIVATE_UNIVERSITY,12754,27.07,44.15,1330,2139719461.97,1077,1.055,46,147,38,43.34,98,0,NATIONAL_HE_REGISTRY,SECOND,2024-02-21
2013,SI,HEI_SI_3549,UNIVERSITY_OF_APPLIED_SCIENCES,39916,9.16,59.39,1040,655830944.65,1915,0.742,214,97,43,35.07,192,0,INSTITUTIONAL_REPORT,FIRST,2025-02-13
2014,BG,HEI_BG_3556,RESEARCH_INSTITUTE,29712,27.6,56.88,1689,4239015832.93,28189,1.978,154,19,42,19.45,100,0,EUROSTAT_EDU,FLASH,2025-06-21
2015,EE,HEI_EE_3563,TECHNICAL_UNIVERSITY,94401,20.08,69.83,10382,4551776088.03,16732,0.997,505,115,61,53.83,60,0,SCIMAGO_EXPORT,BENCHMARK,2026-01-13
2016,HU,HEI_HU_3570,PUBLIC_UNIVERSITY,88479,2.17,68.31,4695,2654360022.72,3700,0.64,250,176,34,51.37,15,0,NATIONAL_HE_REGISTRY,SECOND,2025-04-06
2017,LU,HEI_LU_3577,PRIVATE_UNIVERSITY,62804,15.3,77.82,4545,1516634999.37,17748,1.315,381,17,30,20.41,133,0,INSTITUTIONAL_REPORT,FIRST,2025-06-16
2018,RO,HEI_RO_3584,UNIVERSITY_OF_APPLIED_SCIENCES,55650,21.9,48.17,6864,2656206500.83,3267,1.4,209,148,20,68.08,9,0,EUROSTAT_EDU,FLASH,2025-11-02
2019,AT,HEI_AT_3591,RESEARCH_INSTITUTE,26798,30.62,70.02,3466,1731262457.51,26656,1.23,187,44,18,37.26,186,0,SCIMAGO_EXPORT,BENCHMARK,2024-10-30
2020,CZ,HEI_CZ_3598,TECHNICAL_UNIVERSITY,92235,18.6,53.3,8642,364418659.28,14912,1.645,529,124,82,73.94,96,0,NATIONAL_HE_REGISTRY,SECOND,2024-07-10
2021,DE,HEI_DE_3605,PUBLIC_UNIVERSITY,29647,8.48,72.68,2669,2036942080.68,11923,1.764,310,57,26,52.66,145,0,INSTITUTIONAL_REPORT,FIRST,2026-02-23
2022,LV,HEI_LV_3612,PRIVATE_UNIVERSITY,19814,14.4,72.16,1123,3421643902.77,10341,1.412,159,35,90,66.45,328,0,EUROSTAT_EDU,FLASH,2024-09-27
2023,PL,HEI_PL_3619,UNIVERSITY_OF_APPLIED_SCIENCES,24512,20.19,50.25,1456,1331077100.32,19153,1.262,32,158,41,81.77,546,1,SCIMAGO_EXPORT,BENCHMARK,2024-06-03
2024,ES,HEI_ES_3626,RESEARCH_INSTITUTE,6562,21.04,46.69,497,2476747175.62,26189,1.377,146,253,104,60.02,99,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-12
2025,HR,HEI_HR_3633,TECHNICAL_UNIVERSITY,47124,4.66,67.67,4995,4005545907.3,18990,1.546,354,201,112,78.1,264,1,INSTITUTIONAL_REPORT,FIRST,2024-10-30
2006,FI,HEI_FI_3640,PUBLIC_UNIVERSITY,93170,6.28,63.35,11151,1013082371.61,16057,1.936,63,30,99,45.16,105,0,EUROSTAT_EDU,FLASH,2025-03-17
2007,IE,HEI_IE_3647,PRIVATE_UNIVERSITY,20869,11.69,61.26,1366,583750996.69,7968,1.113,178,150,75,58.45,195,0,SCIMAGO_EXPORT,BENCHMARK,2025-11-22
2008,MT,HEI_MT_3654,UNIVERSITY_OF_APPLIED_SCIENCES,24782,14.95,48.59,2096,2955698597.67,7857,1.438,149,99,60,50.54,142,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-22
2009,SK,HEI_SK_3661,RESEARCH_INSTITUTE,43391,14.48,62.01,3401,3325958241.09,11114,1.276,96,63,98,22.22,62,0,INSTITUTIONAL_REPORT,FIRST,2025-11-27
2010,BE,HEI_BE_3668,TECHNICAL_UNIVERSITY,21663,34.06,53.29,1164,1257955960.76,4763,1.25,145,298,2,48.37,41,0,EUROSTAT_EDU,FLASH,2024-12-04
2011,DK,HEI_DK_3675,PUBLIC_UNIVERSITY,22970,26.04,61.86,1727,2794666321.05,7256,2.019,119,18,0,46.63,117,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-01
2012,GR,HEI_GR_3682,PRIVATE_UNIVERSITY,54552,15.62,66.05,3556,436616048.81,11274,1.673,112,109,68,51.39,171,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-02
2013,LT,HEI_LT_3689,UNIVERSITY_OF_APPLIED_SCIENCES,5906,18.7,56.99,368,1453849464.37,17447,2.031,78,133,5,65.65,158,0,INSTITUTIONAL_REPORT,FIRST,2025-03-09
2014,PT,HEI_PT_3696,RESEARCH_INSTITUTE,38889,18.78,74.59,1510,1101705093.83,1471,1.004,380,33,23,40.03,144,0,EUROSTAT_EDU,FLASH,2025-02-12
2015,SE,HEI_SE_3703,TECHNICAL_UNIVERSITY,71013,16.14,86.05,1855,3118245581.47,29529,1.187,247,274,54,26.84,59,0,SCIMAGO_EXPORT,BENCHMARK,2025-06-09
2016,CY,HEI_CY_3710,PUBLIC_UNIVERSITY,26793,3.56,76.25,1768,976537701.16,18147,1.781,598,92,80,64.88,104,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-19
2017,FR,HEI_FR_3717,PRIVATE_UNIVERSITY,39006,3.8,56.71,2580,211809792.58,11239,1.061,234,122,61,42.12,179,0,INSTITUTIONAL_REPORT,FIRST,2024-02-10
2018,IT,HEI_IT_3724,UNIVERSITY_OF_APPLIED_SCIENCES,50506,12.32,76.09,3916,3060075984.23,16802,1.377,127,58,10,37.55,180,0,EUROSTAT_EDU,FLASH,2024-02-07
2019,NL,HEI_NL_3731,RESEARCH_INSTITUTE,4594,6.79,59.51,708,3967212635.1,16153,1.298,6,14,59,51.18,40,1,SCIMAGO_EXPORT,BENCHMARK,2024-02-11
2020,SI,HEI_SI_3738,TECHNICAL_UNIVERSITY,77631,14.73,59.07,8501,3284122051.51,2684,0.757,175,213,97,28.5,79,0,NATIONAL_HE_REGISTRY,SECOND,2024-06-22
2021,BG,HEI_BG_3745,PUBLIC_UNIVERSITY,41837,10.36,61.85,2975,1426969808.0,12432,1.705,441,110,18,61.26,43,1,INSTITUTIONAL_REPORT,FIRST,2024-01-23
2022,EE,HEI_EE_3752,PRIVATE_UNIVERSITY,9345,16.91,62.98,1108,2202503717.28,17881,1.519,342,174,34,59.8,359,0,EUROSTAT_EDU,FLASH,2026-02-11
2023,HU,HEI_HU_3759,UNIVERSITY_OF_APPLIED_SCIENCES,35379,7.6,46.71,1836,761396734.55,19272,1.752,182,56,92,35.58,445,0,SCIMAGO_EXPORT,BENCHMARK,2025-03-02
2024,LU,HEI_LU_3766,RESEARCH_INSTITUTE,21152,7.47,49.96,3124,4322824350.77,6876,0.803,341,251,85,32.05,392,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-03
2025,RO,HEI_RO_3773,TECHNICAL_UNIVERSITY,75533,9.73,59.74,4963,5759120222.43,10558,1.909,204,115,86,81.13,291,1,INSTITUTIONAL_REPORT,FIRST,2024-01-29
2006,AT,HEI_AT_3780,PUBLIC_UNIVERSITY,93560,32.18,49.24,7634,2366622075.2,2873,1.493,309,173,82,18.68,198,0,EUROSTAT_EDU,FLASH,2025-12-09
2007,CZ,HEI_CZ_3787,PRIVATE_UNIVERSITY,44498,25.83,74.15,4915,1202632395.61,5812,1.423,17,75,17,32.49,74,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-02
2008,DE,HEI_DE_3794,UNIVERSITY_OF_APPLIED_SCIENCES,10313,4.38,51.0,966,408592439.29,11100,1.569,128,137,93,28.44,115,0,NATIONAL_HE_REGISTRY,SECOND,2024-08-23
2009,LV,HEI_LV_3801,RESEARCH_INSTITUTE,18332,29.44,59.19,2385,905968217.71,23423,1.791,222,70,45,65.02,47,0,INSTITUTIONAL_REPORT,FIRST,2024-12-18
2010,PL,HEI_PL_3808,TECHNICAL_UNIVERSITY,49554,23.13,74.74,3885,4795038148.99,19283,1.302,263,92,68,27.82,168,0,EUROSTAT_EDU,FLASH,2024-03-24
2011,ES,HEI_ES_3815,PUBLIC_UNIVERSITY,18888,28.12,53.49,533,1974885399.99,20305,1.071,272,139,117,52.74,40,0,SCIMAGO_EXPORT,BENCHMARK,2025-07-29
2012,HR,HEI_HR_3822,PRIVATE_UNIVERSITY,48228,23.11,58.47,4497,3065246221.59,7857,1.429,220,35,47,37.9,82,0,NATIONAL_HE_REGISTRY,SECOND,2024-08-12
2013,FI,HEI_FI_3829,UNIVERSITY_OF_APPLIED_SCIENCES,9834,9.02,54.1,1061,53921605.45,4156,1.348,98,152,35,49.91,139,0,INSTITUTIONAL_REPORT,FIRST,2025-11-20
2014,IE,HEI_IE_3836,RESEARCH_INSTITUTE,1288,24.17,73.62,187,1341718309.49,27890,0.737,189,319,15,27.68,57,0,EUROSTAT_EDU,FLASH,2025-12-14
2015,MT,HEI_MT_3843,TECHNICAL_UNIVERSITY,12409,7.56,63.38,354,4979264752.67,15079,1.668,369,70,73,27.68,32,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-15
2016,SK,HEI_SK_3850,PUBLIC_UNIVERSITY,1327,20.74,67.54,161,2333730265.78,7422,0.959,509,119,44,36.66,10,0,NATIONAL_HE_REGISTRY,SECOND,2025-03-03
2017,BE,HEI_BE_3857,PRIVATE_UNIVERSITY,9995,19.29,46.48,668,1260966296.77,2316,1.014,113,13,13,30.97,196,0,INSTITUTIONAL_REPORT,FIRST,2025-01-19
2018,DK,HEI_DK_3864,UNIVERSITY_OF_APPLIED_SCIENCES,31692,11.83,44.17,1258,2512442143.8,6820,0.802,178,90,68,30.33,55,0,EUROSTAT_EDU,FLASH,2024-10-02
2019,GR,HEI_GR_3871,RESEARCH_INSTITUTE,52103,24.83,58.11,4164,1860552663.09,14415,1.985,520,243,45,63.8,165,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-22
2020,LT,HEI_LT_3878,TECHNICAL_UNIVERSITY,29855,25.59,48.74,2391,6469126307.55,10639,1.235,343,134,16,83.59,8,1,NATIONAL_HE_REGISTRY,SECOND,2025-04-07
2021,PT,HEI_PT_3885,PUBLIC_UNIVERSITY,52698,15.95,77.56,4089,652542649.8,1725,1.229,542,36,66,62.41,290,1,INSTITUTIONAL_REPORT,FIRST,2025-07-01
2022,SE,HEI_SE_3892,PRIVATE_UNIVERSITY,61003,34.49,75.99,6893,4155143007.92,13763,2.056,414,94,113,56.96,521,0,EUROSTAT_EDU,FLASH,2025-04-04
2023,CY,HEI_CY_3899,UNIVERSITY_OF_APPLIED_SCIENCES,8739,17.81,68.61,574,2287515752.86,12391,1.138,222,167,98,26.83,371,0,SCIMAGO_EXPORT,BENCHMARK,2026-01-07
2024,FR,HEI_FR_3906,RESEARCH_INSTITUTE,22611,15.74,68.35,2025,5950645235.96,28804,0.897,165,17,22,77.46,129,1,NATIONAL_HE_REGISTRY,SECOND,2024-07-03
2025,IT,HEI_IT_3913,TECHNICAL_UNIVERSITY,26080,19.46,49.23,3324,2685147494.09,24639,1.062,325,179,2,85.27,182,1,INSTITUTIONAL_REPORT,FIRST,2026-02-02
2006,NL,HEI_NL_3920,PUBLIC_UNIVERSITY,89248,29.28,51.24,8592,2459713564.52,20668,1.95,250,160,32,49.97,87,0,EUROSTAT_EDU,FLASH,2025-07-10
2007,SI,HEI_SI_3927,PRIVATE_UNIVERSITY,1863,4.36,66.19,53,401233261.91,6067,0.698,7,44,8,58.06,10,0,SCIMAGO_EXPORT,BENCHMARK,2026-01-20
2008,BG,HEI_BG_3934,UNIVERSITY_OF_APPLIED_SCIENCES,1737,15.0,63.09,70,537936351.68,13939,1.444,25,122,66,49.88,68,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-14
2009,EE,HEI_EE_3941,RESEARCH_INSTITUTE,34357,11.71,67.47,2526,2599310226.17,27431,1.788,85,317,100,40.61,36,0,INSTITUTIONAL_REPORT,FIRST,2024-06-23
2010,HU,HEI_HU_3948,TECHNICAL_UNIVERSITY,37145,14.04,55.9,3474,2924525838.53,29641,1.91,323,207,90,21.63,27,0,EUROSTAT_EDU,FLASH,2025-06-08
2011,LU,HEI_LU_3955,PUBLIC_UNIVERSITY,14726,27.43,51.45,498,567064364.95,4435,1.501,46,64,81,63.81,86,0,SCIMAGO_EXPORT,BENCHMARK,2025-11-18
2012,RO,HEI_RO_3962,PRIVATE_UNIVERSITY,2515,2.24,51.97,227,2175455775.68,10714,1.575,118,154,105,40.97,155,0,NATIONAL_HE_REGISTRY,SECOND,2026-02-15
2013,AT,HEI_AT_3969,UNIVERSITY_OF_APPLIED_SCIENCES,16395,13.15,67.97,1713,916086483.15,9014,1.881,181,113,25,32.16,57,0,INSTITUTIONAL_REPORT,FIRST,2025-12-31
2014,CZ,HEI_CZ_3976,RESEARCH_INSTITUTE,53963,28.94,74.51,6653,4906957918.74,15339,1.443,582,318,92,20.48,63,0,EUROSTAT_EDU,FLASH,2025-12-18
2015,DE,HEI_DE_3983,TECHNICAL_UNIVERSITY,94809,15.33,67.07,9261,4586189312.41,14969,1.293,380,195,12,35.75,127,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-15
