safe_crime_reference_year,safe_crime_country_iso2,safe_crime_region_nuts_code,safe_crime_offence_code,safe_crime_reported_cases_count,safe_crime_victim_age_group,safe_crime_victim_sex,safe_crime_suspect_age_group,safe_crime_suspect_sex,safe_crime_clearance_rate_pct,safe_crime_convictions_count,safe_crime_imprisonment_rate_per_100k,safe_crime_prison_population_count,safe_crime_alternative_sanctions_count,safe_crime_domestic_violence_flag,safe_crime_hate_crime_flag,safe_crime_eurostat_table_code,safe_crime_data_source,safe_crime_revision_round,safe_crime_data_extract_date
2017,ES,CY225,SEXUAL_VIOLENCE,2625,35_44,U,15_19,M,40.24,722,66.67,67991,766,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-27
2018,CZ,LT329,ROBBERY,645,UNKNOWN,F,20_24,F,41.91,192,110.22,34604,109,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-17
2019,HU,DK712,HUMAN_TRAFFICKING,357,25_34,M,25_34,U,30.42,52,226.83,111487,12,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-30
2020,NL,PL442,PROPERTY_DAMAGE,10787,65_PLUS,X,35_44,X,53.46,3378,77.67,65996,982,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-02-03
2021,SE,CZ38,DRUG_TRAFFICKING,4132,20_24,U,45_54,M,31.98,482,91.05,59702,366,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-07
2022,DK,GR9,HOMICIDE,56,55_64,F,55_64,F,85.03,39,229.71,21337,62,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-30
2023,IE,PL87,BURGLARY,10634,15_19,M,65_PLUS,U,10.35,591,48.4,66706,346,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-30
2024,PL,ES901,DOMESTIC_VIOLENCE,7128,45_54,X,UNKNOWN,X,44.44,1903,126.55,25951,3023,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-08
2025,AT,SE8,HATE_SPEECH,1915,0_14,U,0_14,M,27.23,292,115.9,41237,258,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-17
2006,EE,LV782,FRAUD,21448,35_44,F,15_19,F,49.6,8834,144.75,30894,10780,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-05-29
2007,IT,LV95,ASSAULT,13865,UNKNOWN,M,20_24,U,72.95,8020,60.67,49552,13910,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-12
2008,PT,AT35,THEFT,863,25_34,X,25_34,X,10.74,54,40.71,11535,54,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-05
2009,BE,IE537,VEHICLE_THEFT,13040,65_PLUS,U,35_44,M,21.88,1383,50.72,86283,632,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-12-09
2010,FI,CZ5,CYBER_ENABLED_FRAUD,5515,20_24,F,45_54,F,41.49,1120,72.72,101960,1081,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-03-09
2011,LV,FR24,SEXUAL_VIOLENCE,214,55_64,M,55_64,U,47.39,51,141.18,93775,54,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-10-17
2012,RO,LU10,ROBBERY,802,15_19,X,65_PLUS,X,52.35,279,49.0,112184,415,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-18
2013,BG,LT9,HUMAN_TRAFFICKING,336,45_54,U,UNKNOWN,M,57.68,120,140.8,71542,116,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-03-04
2014,FR,BE93,PROPERTY_DAMAGE,9355,0_14,F,0_14,F,45.83,1713,114.05,68066,1180,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-28
2015,LT,BE8,DRUG_TRAFFICKING,2666,35_44,M,15_19,U,44.5,463,142.33,53725,312,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-18
2016,SK,PL71,HOMICIDE,25,UNKNOWN,X,20_24,X,63.31,10,160.22,10237,2,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-04-19
2017,HR,CZ1,BURGLARY,5424,25_34,U,25_34,M,30.64,905,40.36,114952,551,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-04
2018,DE,ES946,DOMESTIC_VIOLENCE,12026,65_PLUS,F,35_44,F,52.28,2473,86.48,91317,2029,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-07-25
2019,LU,PT16,HATE_SPEECH,3188,20_24,M,45_54,U,52.21,1284,102.09,47925,1592,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-02-05
2020,SI,MT993,FRAUD,713,55_64,X,55_64,X,52.11,295,160.82,78390,119,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-25
2021,CY,IE749,ASSAULT,17161,15_19,U,65_PLUS,M,33.49,4225,34.71,80786,3248,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-02-11
2022,GR,HU719,THEFT,7631,45_54,F,UNKNOWN,F,16.22,1025,124.63,56165,956,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-06-23
2023,MT,EE69,VEHICLE_THEFT,138,0_14,M,0_14,U,27.98,27,61.71,43069,46,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-27
2024,ES,LV4,CYBER_ENABLED_FRAUD,13579,35_44,X,15_19,X,45.77,5218,109.2,79772,6768,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-21
2025,CZ,PL704,SEXUAL_VIOLENCE,1322,UNKNOWN,U,20_24,M,19.48,206,39.78,77110,79,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-12-03
2006,HU,ES28,ROBBERY,925,25_34,F,25_34,F,41.09,219,152.53,93752,65,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-06-29
2007,NL,EE236,HUMAN_TRAFFICKING,231,65_PLUS,M,35_44,U,25.17,20,228.63,4400,11,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-28
2008,SE,HR323,PROPERTY_DAMAGE,7373,20_24,X,45_54,X,39.16,1140,82.34,33599,1614,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-31
2009,DK,DK732,DRUG_TRAFFICKING,3908,55_64,U,55_64,M,16.23,228,158.05,79683,83,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-05
2010,IE,FR939,HOMICIDE,22,15_19,F,65_PLUS,F,74.69,13,172.87,43179,7,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-06
2011,PL,SK61,BURGLARY,4744,45_54,M,UNKNOWN,U,22.12,721,121.35,88075,328,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-07
2012,AT,DK3,DOMESTIC_VIOLENCE,5895,0_14,X,0_14,X,66.06,2675,103.06,34611,3039,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-10
2013,EE,IT2,HATE_SPEECH,17281,35_44,U,15_19,M,46.77,4074,119.5,16749,1660,1,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-22
2014,IT,LV3,FRAUD,11671,UNKNOWN,F,20_24,F,48.25,4489,104.87,25620,6329,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-18
2015,PT,CY58,ASSAULT,6319,25_34,M,25_34,U,53.13,2401,178.0,54152,1032,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-19
2016,BE,SE27,THEFT,611,65_PLUS,X,35_44,X,27.55,116,75.66,69068,188,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-08-17
2017,FI,MT528,VEHICLE_THEFT,4874,20_24,U,45_54,M,21.26,414,110.61,46550,570,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-10-27
2018,LV,BG873,CYBER_ENABLED_FRAUD,16695,55_64,F,55_64,F,48.6,3824,57.27,79748,5928,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-10-02
2019,RO,CY63,SEXUAL_VIOLENCE,1249,15_19,M,65_PLUS,U,41.7,215,175.61,96839,117,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-29
2020,BG,MT3,ROBBERY,1786,45_54,X,UNKNOWN,X,49.71,457,50.53,99474,286,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-13
2021,FR,SI467,HUMAN_TRAFFICKING,509,0_14,U,0_14,M,44.31,183,227.29,87257,61,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-04
2022,LT,EE78,PROPERTY_DAMAGE,8393,35_44,F,15_19,F,45.5,2194,97.75,131979,1166,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-19
2023,SK,HR6,DRUG_TRAFFICKING,9582,UNKNOWN,M,20_24,U,55.87,3057,65.5,78613,4763,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-01-13
2024,HR,SI490,HOMICIDE,10,25_34,X,25_34,X,63.08,4,107.8,48912,4,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-02-26
2025,DE,GR908,BURGLARY,22737,65_PLUS,U,35_44,M,20.28,1746,52.4,22230,953,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-14
2006,LU,IE347,DOMESTIC_VIOLENCE,15911,20_24,F,45_54,F,49.96,3987,68.06,33578,5259,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-12-23
2007,SI,ES64,HATE_SPEECH,6384,55_64,M,55_64,U,22.13,1169,89.53,71931,739,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-17
2008,CY,NL26,FRAUD,1855,15_19,X,65_PLUS,X,43.45,536,35.16,90231,717,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-08-07
2009,GR,FR91,ASSAULT,3706,45_54,U,UNKNOWN,M,74.61,1760,74.13,36795,2871,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-17
2010,MT,RO328,THEFT,4271,0_14,F,0_14,F,10.16,182,65.46,126971,148,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-02-06
2011,ES,CZ572,VEHICLE_THEFT,18289,35_44,M,15_19,U,15.93,2455,57.78,21613,3274,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-09-15
2012,CZ,IE104,CYBER_ENABLED_FRAUD,8756,UNKNOWN,X,20_24,X,53.36,2466,60.3,102115,584,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-25
2013,HU,MT5,SEXUAL_VIOLENCE,3820,25_34,U,25_34,M,49.1,1431,97.91,24770,1617,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-29
2014,NL,PT4,ROBBERY,2003,65_PLUS,F,35_44,F,35.29,284,43.55,47270,455,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-07
2015,SE,SE26,HUMAN_TRAFFICKING,284,20_24,M,45_54,U,46.31,64,171.21,116843,108,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-05
2016,DK,SE639,PROPERTY_DAMAGE,6810,55_64,X,55_64,X,41.75,1012,104.87,66484,1328,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-04
2017,IE,NL9,DRUG_TRAFFICKING,4257,15_19,U,65_PLUS,M,49.42,1137,136.17,4844,1964,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-11
2018,PL,HR269,HOMICIDE,84,45_54,F,UNKNOWN,F,88.71,49,191.17,5525,76,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-19
2019,AT,ES450,BURGLARY,11147,0_14,M,0_14,U,32.66,1391,144.44,88495,437,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-07
2020,EE,RO573,DOMESTIC_VIOLENCE,25200,35_44,X,15_19,X,60.93,7580,50.5,76025,4772,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-10
2021,IT,SI3,HATE_SPEECH,8423,UNKNOWN,U,20_24,M,19.48,1321,123.56,107297,2239,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-10-04
2022,PT,DE9,FRAUD,484,25_34,F,25_34,F,30.41,110,158.54,103673,117,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-26
2023,BE,CZ13,ASSAULT,17251,65_PLUS,M,35_44,U,31.07,2743,85.26,61892,4179,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-11-04
2024,FI,RO134,THEFT,1913,20_24,X,45_54,X,28.22,414,161.34,74854,144,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-08-26
2025,LV,DE6,VEHICLE_THEFT,21044,55_64,U,55_64,M,23.31,2113,52.97,107826,3581,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-09-23
2006,RO,BE549,CYBER_ENABLED_FRAUD,10473,15_19,F,65_PLUS,F,49.14,2778,32.94,12032,1759,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-11
2007,BG,HR46,SEXUAL_VIOLENCE,6991,45_54,M,UNKNOWN,U,22.28,650,94.51,32787,655,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-06-10
2008,FR,GR87,ROBBERY,3491,0_14,X,0_14,X,37.88,708,140.03,15828,1017,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-08
2009,LT,IT347,HUMAN_TRAFFICKING,263,35_44,U,15_19,M,20.46,22,121.68,56155,15,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-29
2010,SK,SI851,PROPERTY_DAMAGE,8091,UNKNOWN,F,20_24,F,34.62,2195,33.09,101634,2991,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-04
2011,HR,ES592,DRUG_TRAFFICKING,7368,25_34,M,25_34,U,45.25,2737,193.13,25612,1029,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-18
2012,DE,PL69,HOMICIDE,49,65_PLUS,X,35_44,X,86.41,34,43.67,27496,17,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-29
2013,LU,NL950,BURGLARY,7673,20_24,U,45_54,M,22.68,1390,61.91,106468,2310,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-08-18
2014,SI,EE101,DOMESTIC_VIOLENCE,6676,55_64,F,55_64,F,41.61,2148,109.17,55674,2801,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-08
2015,CY,LU20,HATE_SPEECH,7506,15_19,M,65_PLUS,U,25.56,1290,94.27,65369,977,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-12
2016,GR,BE850,FRAUD,16958,45_54,X,UNKNOWN,X,42.27,5451,97.61,77071,2584,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-07-03
2017,MT,SE76,ASSAULT,17472,0_14,U,0_14,M,56.95,6727,78.04,78593,4798,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-26
2018,ES,LT431,THEFT,24385,35_44,F,15_19,F,29.28,4725,166.35,12892,7419,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-08
2019,CZ,EE64,VEHICLE_THEFT,11599,UNKNOWN,M,20_24,U,13.51,653,48.45,32549,874,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-07-07
2020,HU,SI44,CYBER_ENABLED_FRAUD,6533,25_34,X,25_34,X,40.02,1160,91.5,49967,1451,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-12-11
2021,NL,DK198,SEXUAL_VIOLENCE,462,65_PLUS,U,35_44,M,29.16,81,43.7,70835,117,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-10
2022,SE,LU529,ROBBERY,4544,20_24,F,45_54,F,16.63,387,165.11,4143,663,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-11-30
2023,DK,MT196,HUMAN_TRAFFICKING,137,55_64,M,55_64,U,20.47,15,201.44,19310,4,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-21
2024,IE,GR30,PROPERTY_DAMAGE,7826,15_19,X,65_PLUS,X,49.13,2460,167.19,57537,2445,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-12
2025,PL,CZ17,DRUG_TRAFFICKING,619,45_54,U,UNKNOWN,M,24.29,96,128.94,3652,51,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-06
2006,AT,EE55,HOMICIDE,17,0_14,F,0_14,F,81.53,10,198.89,20637,2,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-12-18
2007,EE,AT236,BURGLARY,540,35_44,M,15_19,U,28.48,54,39.25,9505,40,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-06-21
2008,IT,CY16,DOMESTIC_VIOLENCE,10320,UNKNOWN,X,20_24,X,68.95,5999,97.87,9734,9612,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-25
2009,PT,LU4,HATE_SPEECH,8882,25_34,U,25_34,M,52.03,2970,129.13,81489,5191,1,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-10-05
2010,BE,EE91,FRAUD,18523,65_PLUS,F,35_44,F,27.46,2064,49.0,81326,833,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-04
2011,FI,DK1,ASSAULT,2161,20_24,M,45_54,U,62.03,1029,116.55,4856,576,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-07-15
2012,LV,SI45,THEFT,6877,55_64,X,55_64,X,10.81,620,170.93,92549,771,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-22
2013,RO,AT239,VEHICLE_THEFT,4874,15_19,U,65_PLUS,M,8.5,225,129.45,139438,174,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-08-16
2014,BG,DK28,CYBER_ENABLED_FRAUD,6634,45_54,F,UNKNOWN,F,44.67,1863,98.72,114371,908,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-02-10
2015,FR,BE857,SEXUAL_VIOLENCE,1638,0_14,M,0_14,U,22.96,290,129.9,118292,387,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-25
2016,LT,EE45,ROBBERY,2414,35_44,X,15_19,X,53.43,738,73.86,28706,594,0,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-06
2017,SK,FR854,HUMAN_TRAFFICKING,270,UNKNOWN,U,20_24,M,45.27,80,96.57,84302,48,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-30
2018,HR,BG530,PROPERTY_DAMAGE,18811,25_34,F,25_34,F,33.28,3040,37.13,39064,1311,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-03-16
2019,DE,LV7,DRUG_TRAFFICKING,5928,65_PLUS,M,35_44,U,20.14,790,130.4,119238,1107,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-04
2020,LU,PT213,HOMICIDE,100,20_24,X,45_54,X,86.35,35,213.07,92668,18,0,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-06
2021,SI,NL50,BURGLARY,7568,55_64,U,55_64,M,13.41,730,168.67,94109,698,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-09
2022,CY,LV333,DOMESTIC_VIOLENCE,14044,15_19,F,65_PLUS,F,73.12,7365,77.8,76504,2974,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-16
2023,GR,IT599,HATE_SPEECH,7506,45_54,M,UNKNOWN,U,29.45,1038,149.64,85582,1397,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-24
2024,MT,LU31,FRAUD,7239,0_14,X,0_14,X,19.3,853,102.74,45646,564,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-07-11
2025,ES,GR27,ASSAULT,7345,35_44,U,15_19,M,34.1,1688,167.89,89883,1961,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-20
2006,CZ,NL59,THEFT,18023,UNKNOWN,F,20_24,F,23.47,3388,131.62,106733,3087,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-07
2007,HU,BG3,VEHICLE_THEFT,15079,25_34,M,25_34,U,26.67,2623,169.36,66031,2641,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-18
2008,NL,ES18,CYBER_ENABLED_FRAUD,22995,65_PLUS,X,35_44,X,26.0,3205,71.77,50763,4760,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-12-21
2009,SE,BG28,SEXUAL_VIOLENCE,737,20_24,U,45_54,M,31.67,150,153.28,38357,191,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-25
2010,DK,SE4,ROBBERY,6359,55_64,F,55_64,F,31.94,1311,122.09,106681,1528,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-01-09
2011,IE,IE56,HUMAN_TRAFFICKING,40,15_19,M,65_PLUS,U,30.77,6,147.13,64334,7,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-13
2012,PL,LU484,PROPERTY_DAMAGE,16870,45_54,X,UNKNOWN,X,41.45,4649,114.43,78913,7945,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-04-11
2013,AT,BE41,DRUG_TRAFFICKING,394,0_14,U,0_14,M,52.74,81,66.47,3667,108,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-17
2014,EE,CY91,HOMICIDE,17,35_44,F,15_19,F,93.81,10,145.95,5927,10,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-12-13
2015,IT,PL969,BURGLARY,7123,UNKNOWN,M,20_24,U,34.4,1813,137.65,59377,529,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-24
2016,PT,LT58,DOMESTIC_VIOLENCE,6734,25_34,X,25_34,X,44.09,1212,45.62,56436,1922,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-27
2017,BE,ES7,HATE_SPEECH,7968,65_PLUS,U,35_44,M,26.46,1733,119.18,117678,2355,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-09
2018,FI,SI985,FRAUD,839,20_24,F,45_54,F,33.45,162,54.82,66036,94,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-07-07
2019,LV,FR7,ASSAULT,10641,55_64,M,55_64,U,70.82,6368,155.38,100841,2559,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-21
2020,RO,HR780,THEFT,12485,15_19,X,65_PLUS,X,31.52,2240,83.3,10252,915,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-27
2021,BG,PL8,VEHICLE_THEFT,19781,45_54,U,UNKNOWN,M,15.37,2218,70.09,128174,3310,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-07
2022,FR,LU5,CYBER_ENABLED_FRAUD,2562,0_14,F,0_14,F,39.0,777,101.39,80777,1285,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-21
2023,LT,AT625,SEXUAL_VIOLENCE,827,35_44,M,15_19,U,12.83,74,48.52,95677,51,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-28
2024,SK,DK472,ROBBERY,5774,UNKNOWN,X,20_24,X,32.73,1395,40.63,30740,1271,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-07-08
2025,HR,PT7,HUMAN_TRAFFICKING,371,25_34,U,25_34,M,34.71,72,193.37,33472,38,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-11-14
2006,DE,LT8,PROPERTY_DAMAGE,11874,65_PLUS,F,35_44,F,39.0,3644,125.5,75186,5634,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-19
2007,LU,RO8,DRUG_TRAFFICKING,573,20_24,M,45_54,U,13.56,47,69.84,12291,53,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-12-24
2008,SI,CY8,HOMICIDE,6,55_64,X,55_64,X,85.71,3,155.23,85144,2,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-11
2009,CY,FI6,BURGLARY,9347,15_19,U,65_PLUS,M,22.0,1320,161.85,39749,408,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-03-09
2010,GR,FI8,DOMESTIC_VIOLENCE,1427,45_54,F,UNKNOWN,F,36.89,414,70.03,37107,624,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-25
2011,MT,EE277,HATE_SPEECH,6356,0_14,M,0_14,U,24.23,951,42.64,114229,517,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-01
2012,ES,SK58,FRAUD,5527,35_44,X,15_19,X,37.7,1667,108.87,35527,2194,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-03
2013,CZ,DE8,ASSAULT,13257,UNKNOWN,U,20_24,M,73.52,6633,121.18,99285,10668,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-24
2014,HU,NL72,THEFT,3104,25_34,F,25_34,F,17.48,411,91.36,65683,85,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-04
2015,NL,LV518,VEHICLE_THEFT,10370,65_PLUS,M,35_44,U,19.03,1158,83.02,79307,409,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-08-03
2016,SE,GR92,CYBER_ENABLED_FRAUD,5584,20_24,X,45_54,X,55.17,1553,150.83,96706,1476,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-12-23
2017,DK,FI93,SEXUAL_VIOLENCE,159,55_64,U,55_64,M,15.36,12,35.15,54387,9,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-12-17
2018,IE,HU1,ROBBERY,1397,15_19,F,65_PLUS,F,19.5,211,88.49,118838,213,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-30
2019,PL,MT10,HUMAN_TRAFFICKING,280,45_54,M,UNKNOWN,U,50.68,63,198.14,69988,71,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-07-08
2020,AT,SI388,PROPERTY_DAMAGE,23642,0_14,X,0_14,X,57.16,9670,78.56,66173,10219,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-02
2021,EE,FI1,DRUG_TRAFFICKING,4033,35_44,U,15_19,M,35.95,1003,145.91,20347,1197,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-08
2022,IT,HR7,HOMICIDE,16,UNKNOWN,F,20_24,F,86.75,9,77.31,57209,15,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-09-09
2023,PT,GR82,BURGLARY,6574,25_34,M,25_34,U,16.26,737,68.71,67943,422,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-01-10
