gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_inr,gov_grants_award_max_inr,gov_grants_award_median_inr,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_inr,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2025,GOV0UWC2,1,GOVM8VJ8,GOVVPJAO,82.03,288101,320721,192747,30293,91772,194731,GOVW6MNQ,77.54,12.4,33.24,0,66.25,412721,GeM
2011,GOVWA57A,1,GOV39SVM,GOV3YX8O,40.87,40753,284205,148644,147206,64462,226959,GOVS9DWQ,96.14,38.65,61.99,0,30.37,187953,DBT
2013,GOV8OKHM,1,GOV23QHK,GOVFFS99,97.9,370446,428267,243063,391513,97540,167398,GOVAFIY7,48.07,90.51,17.79,0,74.27,270174,DBT
2010,GOVDZ8RR,1,GOV86137,GOVJGW38,32.02,337375,114555,360454,401475,205145,335972,GOV2LPBF,3.93,20.04,34.42,0,70.7,492908,DBT
2026,GOVR569S,0,GOV7C0WL,GOV18MJD,13.13,91641,163343,494042,408479,416224,452052,GOVBO31W,1.68,2.81,1.5,1,53.02,276639,GeM
2022,GOVRRHTW,1,GOVZ6QI5,GOV26PDC,87.95,224431,118478,193472,421674,392498,393852,GOV20QWR,31.12,8.2,18.07,0,20.42,190663,CAG
2012,GOV3U4HB,0,GOVQ9HDE,GOV5NMD6,56.49,344868,151188,383788,76947,305683,101623,GOVKWRA6,6.77,52.44,45.8,0,71.42,246576,GeM
2018,GOVCH2S1,1,GOVDLJC4,GOVO31DW,27.27,37436,374937,424991,81204,322640,437269,GOVH55P0,84.02,37.97,33.62,0,39.79,309636,CPGRAMS
2018,GOV3BTFE,1,GOVUPW8G,GOV670MO,66.71,409497,406323,393879,385348,58773,171084,GOVPXAS9,1.34,10.92,23.88,1,7.09,7219,DBT
2010,GOVYCL7B,1,GOVWN22O,GOVNK9KC,32.21,386409,117446,286492,49748,459718,199663,GOVZBIHC,95.54,23.58,66.07,0,32.8,490509,IFMIS
2022,GOVWMA8Y,0,GOV7U62S,GOV0OKIQ,25.45,428469,155311,122717,425305,230583,379063,GOVKCVEI,12.57,51.39,80.19,1,28.92,283279,CPGRAMS
2018,GOVC9F0A,1,GOVQLXT5,GOV4FVH2,81.57,284036,339790,451666,447614,446647,106973,GOV629N2,0.72,42.17,67.47,1,68.65,391030,IFMIS
2024,GOVAF4MY,1,GOVLI55X,GOVC4LB7,42.99,110823,84298,436000,254324,183332,472895,GOVI89MP,96.61,5.15,71.24,0,4.17,400747,DBT
2017,GOVYUTJV,0,GOVUK1W8,GOVJZAB2,37.07,387492,73467,336653,422320,391415,243563,GOV31O6Q,23.69,25.53,84.94,0,24.53,49921,eProcure
2026,GOVEAVWG,0,GOVQS80I,GOVZ6IQ3,52.19,83941,259462,363823,105384,281987,76532,GOVI7JEY,83.1,55.32,51.12,0,9.14,359357,DBT
2021,GOVR0HEX,0,GOVL27HU,GOVKLBSC,73.28,174889,26648,206392,296276,91235,55311,GOVWHM0V,46.46,0.65,45.81,1,19.59,299759,eProcure
2016,GOVYGN5M,1,GOVC4EXK,GOVX648M,95.27,179650,119906,440628,435313,323005,33169,GOV6PAA2,70.2,46.85,82.81,1,46.84,242913,GeM
2023,GOVBKRGP,1,GOVEKXFO,GOVHZ0XG,70.19,315136,395165,474043,85843,348283,117850,GOVZ8II6,52.57,81.32,63.69,1,99.05,454621,PFMS
2023,GOV836EF,1,GOVW533S,GOV1IGII,33.26,328101,11040,216232,370417,106463,70308,GOV3RH9G,70.29,84.2,50.52,1,93.04,443891,CPGRAMS
2025,GOVTI7TN,0,GOVLORNN,GOV3QVHL,62.05,108331,65931,382411,330614,378002,465092,GOV3DO9L,72.46,61.87,44.69,0,31.82,486770,PFMS
2024,GOVFHDYK,0,GOV3OULJ,GOVDH3HT,39.66,88987,15506,223883,469197,494814,493622,GOVGOLAK,11.51,38.29,2.84,0,21.32,318299,CAG
2017,GOVE79Z5,0,GOVGSAJ9,GOVZ580U,78.55,21121,10760,419062,241039,216775,254892,GOVUCD1Y,30.31,95.85,58.01,1,31.45,387375,DBT
2022,GOVYYEHZ,0,GOVM0NRH,GOVPBXVR,26.58,24647,311004,15307,499346,428367,253541,GOVMBGOJ,53.94,87.79,33.0,0,84.74,320661,CPGRAMS
2018,GOVSHIX3,0,GOVSNLNG,GOVPX4CP,23.39,364354,304874,371810,262557,192023,255869,GOVOJQ1A,35.21,40.34,93.21,1,55.24,362319,IFMIS
2012,GOVMD1EN,0,GOV9W7XP,GOVQJH04,83.07,61173,168211,322806,3997,322441,499020,GOVV0B3Q,88.58,31.93,7.31,1,21.67,1655,DBT
2015,GOVPY38K,0,GOVU4ZPF,GOVRT889,14.2,491046,117267,122254,210332,141375,195124,GOV32T24,10.56,52.75,93.22,0,36.94,451575,GeM
2016,GOVL5NZ4,0,GOV4CDUJ,GOVEQN8V,9.2,152096,303869,335099,221076,175214,144737,GOVUSW1Z,41.28,54.24,15.84,1,84.12,359190,IFMIS
2015,GOVVO6WG,0,GOVBH400,GOVUELXX,0.49,464995,78509,325223,110594,451893,59050,GOV6BRV7,73.55,32.5,53.87,1,52.71,354744,eProcure
2018,GOVSKAP1,0,GOVXA7D6,GOVG73V6,16.89,209601,232950,49851,164141,202138,42739,GOV1BKDA,85.12,63.99,58.95,0,17.54,316027,IFMIS
2017,GOVUKL1S,1,GOVYRSWI,GOV7O0AP,68.18,459767,56788,128186,308900,269102,44388,GOVMEB8Q,40.27,97.19,3.07,0,2.13,215254,IFMIS
2013,GOVQZML5,0,GOVTU1MW,GOVFMFRO,43.65,489592,99691,111571,190863,112857,112050,GOVP5K00,23.52,65.15,54.58,1,76.57,46853,GeM
2024,GOVR210M,1,GOVNQ1V5,GOVWBA19,41.4,346470,4866,281195,21868,263769,398319,GOVT7BCY,80.26,59.72,57.06,0,0.49,282173,CPGRAMS
2021,GOVKW1XD,0,GOV4C97D,GOVRQK5Q,69.02,441284,67231,355458,336070,138192,14015,GOVOUGCL,98.02,92.33,97.56,0,53.28,184608,CAG
2021,GOVCPASK,0,GOV8H45H,GOVFEIO9,70.87,240450,309641,109759,368211,5566,298225,GOVGHSLL,42.33,60.99,35.92,0,68.36,498860,DBT
2021,GOVY0F6U,0,GOVDARJ4,GOVAHA7V,34.47,112949,15615,166931,399541,219225,195878,GOVQ1BTA,37.19,63.47,21.92,1,72.75,365463,PFMS
2020,GOVJ4JYO,0,GOV6QL9M,GOVWTUY6,38.08,388498,183144,204340,240575,478781,41453,GOVMO812,5.32,32.93,99.72,1,53.66,222158,CAG
2026,GOVTGBSY,1,GOVR9N0F,GOVO9N4H,93.2,203358,228128,213569,461832,72457,407030,GOVP9EEM,92.05,27.84,68.95,0,66.82,469419,DBT
2011,GOVSICA4,0,GOV4R6CW,GOV0JDDK,9.76,60164,415319,89048,408765,168939,41290,GOVHKGP9,21.22,7.33,21.72,1,37.52,283539,CPGRAMS
2019,GOVZEZRS,0,GOVIEBBW,GOVXGDXJ,22.13,271683,375337,8486,286123,25303,44266,GOVIWKHK,15.88,0.91,64.83,1,12.62,451349,CPGRAMS
2019,GOVA9J2M,1,GOVLTBST,GOVEMFTB,14.86,1683,423693,133375,233222,469957,86068,GOV3PR5W,77.3,32.05,50.91,0,18.75,325929,CPGRAMS
2024,GOVN0N98,1,GOVYDX2X,GOVGPSZY,90.13,338741,364219,416859,81295,349605,270573,GOV1SGLX,50.12,14.9,1.72,1,82.14,313181,CPGRAMS
2021,GOVPBZE9,0,GOV4QBEU,GOVYTRPL,91.08,56914,112316,249503,163746,34092,206824,GOV0ROT8,39.35,22.45,93.09,1,65.84,115265,PFMS
2018,GOVRDJ5W,0,GOV8R375,GOVW7W1N,46.56,51577,418850,277646,137140,397203,8092,GOVOJYAB,44.75,76.28,34.61,0,13.02,360088,PFMS
2021,GOVXL1LO,0,GOV1LVJU,GOVLCINR,83.92,276862,33296,317508,94151,111920,1620,GOVDWB24,71.89,10.78,60.6,1,95.28,398340,DBT
2017,GOVIA61K,1,GOVOGAE9,GOVRWVZE,1.54,257613,190017,482259,100903,232058,296874,GOVPW675,7.83,32.46,44.62,0,77.7,336992,PFMS
2026,GOVH00FM,0,GOVX4OYQ,GOV5GIWC,84.04,178788,371278,235650,123319,358211,41054,GOVS7430,83.25,99.51,6.44,1,52.79,207859,DBT
2025,GOVRKQRE,1,GOV2QVZL,GOV4VYFA,10.39,84245,74696,394410,246673,497988,76543,GOV2L5FG,8.49,43.5,28.08,1,9.3,150520,GeM
2026,GOVYULOD,1,GOVYG4F5,GOVQZ419,96.75,293727,318246,282751,149979,73010,189087,GOV4BV8N,65.39,76.61,81.19,1,58.19,2583,eProcure
2021,GOVCHER2,1,GOVWE8TJ,GOVHEYLZ,2.56,27274,307645,158203,388778,285460,387952,GOVVI4U5,51.24,52.7,48.87,0,13.43,229009,PFMS
2026,GOV1QRNV,0,GOVGRD8G,GOVXGH84,25.68,193118,369117,134013,58461,141730,176587,GOVVCO8V,68.41,79.46,10.51,0,74.32,400273,eProcure
2010,GOV91X96,1,GOVRIIE2,GOV4LMDO,88.52,262254,321147,416704,427903,450071,161023,GOV1ZLTT,22.05,17.08,19.3,0,70.49,43655,PFMS
2024,GOV3K8QM,1,GOVQRLCT,GOVLE02L,86.22,161638,463886,426412,132797,2217,46318,GOVEQPK6,70.93,84.9,39.11,1,97.51,486603,GeM
2016,GOVI3B53,0,GOVQ2ZOP,GOVX1730,11.77,25199,380692,169390,459144,441271,435192,GOVA9Z1H,13.43,20.38,5.71,0,14.09,283213,CPGRAMS
2013,GOVDQE6N,0,GOVB76E8,GOV19XEF,70.18,403725,90949,9756,192182,457971,127842,GOV21KMT,66.25,82.99,83.38,1,91.24,223062,CPGRAMS
2015,GOVUI7NP,1,GOV6PWC3,GOVTU3U4,69.17,236565,54096,87734,162639,65773,475246,GOV69OQV,1.53,89.01,31.64,1,54.77,347375,IFMIS
2017,GOVK7KOI,0,GOVGAY2W,GOVP6PGF,13.02,311254,25966,399614,228188,258665,138417,GOV5G0SP,80.37,29.99,83.1,1,62.35,154461,CPGRAMS
2015,GOVGFPVI,1,GOVW7P5W,GOV9GOFJ,43.79,140555,132480,467309,278971,291621,10688,GOVFZU7Q,77.69,30.86,88.07,0,80.96,107914,eProcure
2019,GOV76KGP,1,GOV4WDDY,GOVVGW8P,3.76,14628,91048,110085,364821,304094,291444,GOVALY1N,35.97,19.38,8.96,0,40.48,495951,PFMS
2015,GOV0C888,0,GOVAT60G,GOVVA2M5,52.03,198073,469413,154630,1649,453264,336725,GOVV7GHW,49.78,80.97,5.19,0,43.98,307961,IFMIS
2021,GOVIL89F,0,GOVP72SD,GOVIMK0V,97.69,176980,300426,372624,404663,215039,234901,GOVTD6O5,95.63,69.42,2.88,0,72.92,11473,IFMIS
2011,GOVCJD6C,1,GOVGZ704,GOVTZQH8,76.18,461795,491192,327426,224066,25133,120774,GOVJKD22,11.32,86.94,54.86,1,58.28,74667,PFMS
2021,GOVZKV9B,1,GOVOMM20,GOVEKNRH,50.0,395192,243194,97552,424006,484278,277727,GOVSQ2YF,7.22,23.97,67.95,0,10.51,453982,eProcure
2024,GOV97Q4W,1,GOVESK84,GOVW5P7F,18.06,432227,452329,9481,191367,401483,314139,GOVKHSX7,43.89,48.68,17.29,0,19.83,120955,DBT
2021,GOV24S4R,1,GOVH4A96,GOV99PXT,96.19,470756,370073,122334,198458,281671,431146,GOV0C2JK,79.16,1.3,86.71,1,61.41,30598,CAG
2018,GOVEVPOJ,0,GOVV5DEL,GOVGN3KA,35.33,142529,223385,166609,250838,355542,492716,GOVKDZEC,69.67,29.6,37.65,1,93.12,237239,CAG
2014,GOVWQMJ3,1,GOVON2D9,GOVVONTC,80.8,363188,236191,137921,235747,62098,117263,GOV39ZTD,96.77,95.82,72.27,0,64.99,415826,CPGRAMS
2024,GOV4FWT9,1,GOVTZ7YY,GOVZQ18O,60.47,182359,277578,27901,351520,243687,330073,GOV5XNTE,25.13,9.19,27.13,0,91.45,221140,CPGRAMS
2026,GOV9ES9F,0,GOVRBMKA,GOV5NO14,76.46,213028,321028,328776,137830,406164,24699,GOVPF36S,20.57,63.21,26.33,0,39.36,134806,IFMIS
2021,GOVS8B2D,1,GOVUGZXU,GOVGWHA1,58.8,124856,317278,69909,429668,160593,362210,GOV86EVX,7.98,52.21,96.72,1,17.81,205323,CPGRAMS
2015,GOV3WT2D,0,GOV244KV,GOV8B6Z3,21.71,51634,460483,441303,135973,308440,141768,GOVTPIJG,50.14,12.85,69.29,1,60.64,289278,GeM
2016,GOVFG6X3,1,GOV76DUQ,GOVOZNXD,64.58,235756,136612,334020,168024,208511,421990,GOV5SYYT,18.27,96.08,73.13,1,52.63,382604,IFMIS
2025,GOVBZ6JD,0,GOV559YM,GOVUMDAO,85.39,429520,162563,491876,26812,395647,89956,GOVGIN5V,45.34,45.44,0.12,1,64.97,296602,CAG
2021,GOVO8K10,1,GOV8J8RT,GOVN1ZNG,9.32,11575,146498,327098,215351,269032,480076,GOVSIBYW,25.86,50.24,43.02,0,10.75,271571,GeM
2018,GOVKWJZN,1,GOVFPSO1,GOV2DNZY,99.79,420520,41062,420052,101808,212048,199864,GOVEZGKV,13.41,74.04,88.37,1,97.82,385352,PFMS
2013,GOVO5CHQ,1,GOVKXSQ4,GOVBHU68,15.69,115768,288244,161011,199545,125667,490841,GOVGY1GV,98.15,27.53,48.59,1,41.5,179438,GeM
2026,GOVYMVVP,0,GOV4BG3M,GOVEJM2A,9.89,359707,1608,280451,240958,107676,327683,GOVIBLLT,15.47,45.02,1.18,0,99.1,4465,GeM
2017,GOV2YCR7,1,GOVZH7RG,GOV0M7LS,6.42,42236,296490,453052,363380,189762,125526,GOVE5I82,26.0,15.75,84.81,0,22.13,23891,CAG
2012,GOVKIB5T,0,GOVYZ2VF,GOV1LQVP,84.6,432447,488607,295914,240192,151336,364293,GOVLHILM,27.93,52.83,49.53,0,90.03,134662,GeM
2016,GOVCPQ33,1,GOV3PYZD,GOVUYBVD,13.78,479094,479274,399445,429223,223973,190655,GOVBIVML,87.15,47.28,68.8,0,78.59,553,GeM
2013,GOVUYPYY,0,GOV5I6CY,GOV7RKWL,31.18,89091,10204,111229,258636,138993,290659,GOVC5YI7,50.06,17.14,77.03,1,91.7,364691,CAG
2017,GOVTWWB8,0,GOVR2UIU,GOVMHCWI,65.61,16649,282407,247828,302081,196836,229298,GOVRBS2N,64.48,12.64,89.37,0,97.25,165236,GeM
2015,GOVD062F,0,GOV5JRUB,GOVW7OK9,53.09,64434,183099,39501,295296,33886,314209,GOVYBQ0M,83.47,8.67,85.84,0,3.84,195897,IFMIS
2020,GOVYAJUL,0,GOVSE943,GOVIBECN,64.52,444545,108124,151264,427347,108153,459519,GOV64GI5,60.88,25.42,96.83,1,99.33,32663,PFMS
2011,GOVG0J28,0,GOVCECPV,GOVPQ8ES,89.22,293689,432649,33142,123125,245059,256846,GOVG7HV4,70.13,73.9,74.68,0,45.37,152633,GeM
2021,GOVQYS44,0,GOV68Q3X,GOV0R8UA,53.07,270423,136781,104544,456784,91270,149349,GOV4BNYQ,52.4,12.63,19.12,0,27.21,400466,DBT
2023,GOVT31OD,0,GOV0UTA9,GOVDI5J1,98.33,302242,166000,222741,349932,195972,47651,GOVQ971X,4.73,98.58,57.03,0,72.11,5634,CAG
2015,GOV9CG0B,1,GOVYEWNB,GOVZ9ODU,99.86,402339,196380,447220,137401,248940,230917,GOV43ODR,71.08,87.07,69.34,0,16.21,194763,eProcure
2013,GOVLDFU3,1,GOVIM3QQ,GOVQRLHX,48.85,263270,115980,137072,497713,425932,27680,GOV679XA,62.69,59.7,83.01,0,26.27,233165,DBT
2024,GOVSEHJG,0,GOVTVZCW,GOVOKEQZ,17.61,146411,471324,168406,462385,323271,394287,GOV19KCR,86.15,10.2,10.97,1,64.46,381301,CAG
2016,GOVNAHE6,1,GOVRL10B,GOV2YVCJ,94.44,39979,358452,428703,239484,173281,6698,GOVQKL0M,46.06,41.29,67.5,0,7.6,87748,IFMIS
2012,GOV8PDDH,1,GOVOI18Q,GOVJB7D3,15.2,345966,193445,221955,108719,168930,499059,GOVFZ0AP,23.04,81.83,7.63,1,3.17,210118,IFMIS
2011,GOVO7LYY,0,GOVF58AY,GOVNYLDR,84.7,145411,320312,458680,62393,21045,448726,GOVZWSVJ,35.61,43.45,51.13,0,51.62,85694,CPGRAMS
2014,GOVB6LRZ,0,GOVM084P,GOVPO4ND,32.12,394041,376611,497178,102976,142038,413133,GOV07RVX,0.35,10.11,50.83,1,93.82,267897,DBT
2019,GOV3X39T,0,GOV6QRI1,GOVNI11W,81.92,78102,419702,321271,277253,315064,409903,GOV6UAWU,13.41,17.81,75.91,1,9.01,274225,eProcure
2023,GOVBR3L7,1,GOVM21YY,GOV3V0IV,13.52,53831,237617,135160,146859,155317,35712,GOV30P7N,35.04,23.11,90.57,0,49.53,277259,GeM
2019,GOVWCNPL,0,GOVF5BWU,GOVD3WHW,70.39,197804,407522,48224,199751,319989,9385,GOV274CR,4.56,0.07,12.31,0,78.72,202065,PFMS
2023,GOVJHFR4,0,GOVRALHC,GOVBF09M,64.34,395979,331085,109477,347546,349260,37309,GOVC8Z76,3.82,31.8,20.59,0,61.93,393637,PFMS
2026,GOVWZ5GY,1,GOVJUSEJ,GOV91PUF,52.02,324002,108739,40027,422569,5125,99797,GOV7JNSR,70.08,16.66,85.83,1,15.93,164348,IFMIS
2019,GOVOZZ5M,1,GOVTMFQG,GOVW2TE5,50.33,340644,37323,493187,55190,428074,25883,GOVHT8YY,72.23,75.09,11.56,1,76.81,469938,IFMIS
2017,GOVMOTXC,0,GOVJ3JF1,GOVB0YDR,31.04,386750,424735,179999,472861,112436,312243,GOVXN4IY,39.88,67.79,91.37,1,10.52,65193,eProcure
2010,GOVJAG0W,1,GOVSI9FU,GOV53DZL,16.72,85504,350345,330090,346311,30830,27590,GOVHU3OV,68.37,73.05,69.17,0,63.96,367392,CAG
2019,GOVUD8GK,0,GOVGVV15,GOV395BW,73.92,292815,320667,227317,114871,97368,425518,GOVTYSIE,36.54,10.3,49.24,1,91.44,132848,PFMS
2020,GOVS8M73,1,GOVZYQ8X,GOVBE3XO,99.72,482132,435026,117406,190034,204438,36403,GOVYJ5KM,83.57,46.75,63.33,1,88.32,411787,DBT
2015,GOVN9GQU,0,GOVHKQ7T,GOVWOY8E,29.94,421367,125293,224944,388275,54356,246970,GOVE4WXL,29.97,77.91,9.15,0,2.36,416069,DBT
2025,GOVG5U1W,1,GOVQSSVW,GOVPEZSZ,85.68,253444,59931,75858,217291,27123,331166,GOVKMMI6,1.86,59.69,55.73,1,74.03,183563,PFMS
2020,GOV0P0DP,1,GOV0WQW1,GOV5ZN0G,87.42,251914,426547,436194,17211,421847,155894,GOV8E1BK,74.53,26.67,19.34,0,64.21,227203,IFMIS
2017,GOVF6SRF,1,GOVE8X5E,GOVCZORU,71.11,50945,76066,272592,499177,496710,228237,GOVQKXI7,59.4,0.68,61.67,0,95.74,375947,GeM
2021,GOV1TG8M,1,GOVOHEJC,GOVK7V7T,25.6,367720,226869,233081,268051,476303,342233,GOVE1HP0,23.96,12.14,31.78,0,4.55,374101,IFMIS
2018,GOV18EUC,0,GOVILXG3,GOV07YG2,34.98,348528,25312,184233,352666,265381,36555,GOV5BGEI,25.0,75.98,26.66,0,82.93,303568,IFMIS
2013,GOV6TTFV,1,GOV33LI1,GOVQ267P,98.07,460140,397393,399364,2978,447931,8952,GOVMCEHK,88.98,86.77,21.73,0,28.57,124599,eProcure
2023,GOVSNAU3,1,GOVXIM46,GOVAL73Z,27.69,221822,336771,462885,398877,13552,68248,GOVA74Q7,84.07,31.51,60.48,0,61.13,174004,CAG
2021,GOV0K9H9,1,GOV57U2T,GOV9JBZQ,2.85,111284,46911,404838,35875,424919,200049,GOVSTQEI,22.72,94.15,12.54,0,61.13,82631,eProcure
2012,GOVGDRZB,0,GOV79X8Q,GOV4D2I1,3.02,31670,409157,209412,58198,324003,434043,GOVHP0BX,64.45,73.53,57.7,1,34.59,21225,CAG
2013,GOVT43ZB,1,GOVEFV0A,GOV3C5MV,87.89,129294,401850,413375,348290,494103,43750,GOVZQIGC,95.48,73.91,22.76,1,33.47,142318,CAG
2020,GOVEVVSU,0,GOV6LRX0,GOVA2VI1,43.28,238259,484424,231834,332859,240211,186114,GOVYQYLT,71.41,1.76,68.21,0,96.74,432444,CAG
2010,GOV0OSGP,0,GOVU0EHD,GOV9G1RG,12.79,98404,195783,3390,210002,413571,38171,GOVU3QF7,62.7,75.27,57.76,0,85.91,411854,DBT
2018,GOV1KV7D,1,GOV6FPXL,GOVNSYF4,32.93,241664,215575,184499,101751,73496,256904,GOV7SR6O,29.07,17.96,78.54,1,3.96,6695,PFMS
2020,GOV2CX61,1,GOVVI466,GOVPJR5I,69.03,332762,280234,279307,19904,213574,78503,GOVM0W10,97.9,2.06,69.51,1,48.69,260406,CPGRAMS
2019,GOVBCIW3,1,GOV5Z9RQ,GOVWQOOG,66.9,183355,461039,362777,236926,204036,248086,GOVXIZ8V,40.17,68.4,60.76,0,92.62,275996,IFMIS
2010,GOVXISM2,1,GOV92P37,GOV177I9,24.8,156489,5211,410873,237218,104862,296168,GOVQ7Z3R,47.92,67.87,62.8,1,68.86,336207,CPGRAMS
2010,GOVA0Y46,1,GOVWXQAI,GOVOPB4T,9.95,494378,425629,172030,158245,299440,146687,GOVW9PUL,37.4,35.92,39.45,0,20.14,482778,DBT
2012,GOVK3RGP,1,GOVSI5GY,GOV1OVE2,64.51,329735,147310,461890,489370,284435,156188,GOVP2J86,91.37,34.22,98.43,1,78.99,122335,CPGRAMS
2012,GOV0GDP9,0,GOVA7L1G,GOVFLDW3,15.93,339718,301867,488688,484506,63008,189963,GOV6HZBX,40.74,50.68,34.28,0,76.21,417662,IFMIS
2022,GOVJBIF5,0,GOVMUKJI,GOVB0CN6,63.2,377787,4593,464014,368151,482579,470768,GOVWZCJZ,17.64,13.75,90.11,1,82.26,497617,CPGRAMS
2013,GOVUT7NQ,0,GOVRV21I,GOV5R18E,76.55,170636,334667,338502,111630,469584,395062,GOVQE2XA,74.6,41.4,65.48,0,40.54,196263,GeM
2010,GOV42PM9,0,GOV1ZZYR,GOV35AN3,24.9,126649,267156,279262,330451,269427,93502,GOV5FAKY,56.63,41.79,15.83,1,1.2,411056,PFMS
2026,GOV528WK,1,GOVO4VJS,GOV6776B,21.47,316379,107010,121640,7842,415986,162571,GOVNFQBK,99.72,19.17,30.39,1,79.91,291857,GeM
2016,GOVEHZCS,1,GOVTL5EM,GOVI9W9T,84.39,347432,344903,297005,379094,422372,323337,GOVVWRW7,21.84,42.04,88.03,1,24.35,165323,DBT
2020,GOVPV2LQ,1,GOV8M3U7,GOVH66WX,61.63,207825,376922,49778,106549,402502,253921,GOVKDT04,64.36,2.15,87.67,0,28.23,422902,CAG
2024,GOV60B2U,1,GOVG4BU4,GOVKOKOC,81.14,452550,435872,68279,52594,109494,469715,GOVG92AA,16.45,22.78,6.09,1,11.1,498045,DBT
2025,GOVQL4IQ,1,GOV63CM6,GOV0J19L,0.29,465505,358607,265427,411128,267333,246985,GOVH6MT4,74.15,48.38,86.63,0,98.73,240264,GeM
2024,GOVG5BIE,0,GOVLL3CJ,GOVOKPMS,6.33,291529,124221,429973,390273,305358,60659,GOVAM3DN,13.73,28.65,45.64,0,65.73,1383,CAG
2021,GOV3D33P,0,GOVCNOTK,GOVXDVWM,85.62,73773,468835,138618,462779,107125,99871,GOV1UW3V,70.21,17.38,13.66,1,42.69,156772,CPGRAMS
2017,GOVTA6HL,0,GOVUJET8,GOV4EYPS,45.11,182871,351144,491821,51007,163113,340536,GOVSA2LY,61.71,87.74,97.0,0,78.68,88160,DBT
2023,GOVN9MK1,0,GOVYEKGQ,GOVSQ6AG,41.56,162965,295388,240418,179100,293859,488672,GOVLW3D1,86.41,68.96,5.01,1,51.29,126369,CPGRAMS
2024,GOV4TB1S,0,GOV0KLRY,GOVY7VBQ,23.44,494431,233761,336879,192706,162816,262787,GOVL3TAR,46.49,83.96,99.07,0,78.23,162881,CAG
2018,GOVVMY9D,0,GOVPOU2P,GOV8LVYT,97.36,289114,90607,359449,402976,231866,283658,GOV60901,42.15,90.49,98.27,1,57.93,349572,CAG
2023,GOV7WVH1,1,GOVSN2FF,GOVM3LHH,39.67,215601,14000,430213,297216,173846,110399,GOV7PLIM,81.44,98.1,36.12,0,37.0,461417,GeM
2013,GOVMN6HX,0,GOV90KEJ,GOVXH2WV,97.13,444372,321211,218018,27768,435330,348526,GOVZIX41,33.34,84.31,63.36,0,46.14,292031,PFMS
2016,GOV6U7FW,1,GOVV4LSE,GOVZ7350,95.59,100562,84960,421189,249228,466269,16515,GOVYPAZ6,41.72,6.48,56.96,1,54.82,309971,GeM
2014,GOV6SKN1,1,GOV14JTT,GOVWYETP,46.45,317580,398375,364118,119241,222993,102813,GOVN2F60,23.38,83.14,91.29,0,13.09,481423,CAG
2010,GOVGQ9S8,1,GOVJICHD,GOVWTXO8,41.0,455237,133961,36629,163598,24612,320167,GOVSVSGD,39.4,11.8,66.43,1,74.08,187876,CAG
2019,GOVV5JBN,1,GOVYUAYD,GOV1GP8K,83.34,178934,425532,267667,83040,97729,409277,GOVXSIVJ,96.2,39.02,98.08,1,9.44,81764,IFMIS
2010,GOV8FYS2,0,GOV4ZI33,GOVWHUHT,2.07,44454,376245,145041,486745,158608,374155,GOVTEPBF,96.44,9.85,80.62,1,95.49,36901,DBT
2014,GOV98E22,0,GOVIH23W,GOVPV48Y,67.43,471181,278385,52202,79944,474335,253594,GOVDQL88,72.76,37.06,37.33,0,39.06,229377,DBT
2013,GOVQ21TG,0,GOVEW6O5,GOVVSYQE,12.43,398107,217672,54358,48878,320301,348063,GOVI3EJQ,24.0,46.94,38.41,0,14.86,35657,CAG
2016,GOVBD5IF,0,GOVL9HRA,GOVTPCCS,86.46,331697,142537,498224,138968,397214,78202,GOVT8DCH,58.24,21.79,6.82,1,60.02,137436,CAG
2022,GOVG6C29,0,GOVWCTZ6,GOVHE04R,49.34,357614,477920,188579,110265,303325,457117,GOVCB9AP,63.53,6.26,71.66,0,35.96,202187,DBT
2016,GOVY41SK,1,GOVSPNH1,GOVE784C,36.76,55045,390284,409591,61619,388813,139068,GOV7GZ5Q,44.62,90.69,97.53,1,78.2,54431,DBT
2025,GOVCB0EO,1,GOVMAOA7,GOVR1OJO,70.36,261741,499524,278080,382536,265716,446001,GOVMWPMI,37.05,93.67,47.43,0,39.73,17956,CPGRAMS
2013,GOVAD43U,1,GOV40K2P,GOVOB84S,80.25,418599,84045,284139,143031,414873,189095,GOVCVNLE,6.1,38.4,38.91,1,31.59,151804,eProcure
2018,GOV8STGM,1,GOVUN7HJ,GOVG10JO,58.32,287712,377820,458435,334607,239341,181587,GOV0L3MS,44.87,82.11,68.36,1,23.79,91240,IFMIS
2023,GOV4W5KU,1,GOV3IKGG,GOV7263Y,69.97,102175,258307,394942,105754,318673,178722,GOVWVREN,3.06,40.67,66.36,0,83.22,260056,CPGRAMS
2020,GOVQFIHN,0,GOVZW2IF,GOV3MB93,24.76,205956,322291,312656,114305,336876,375197,GOV0UO3F,18.63,16.32,99.38,1,76.84,400968,DBT
2016,GOVPY3AC,1,GOVYEJGR,GOVZ0GEJ,38.07,395217,265047,200131,29165,218142,47608,GOV78FM9,17.78,18.69,33.4,0,57.41,367426,DBT
