tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_inr,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2021,588276215349,IND,21402141,25646283,18.5,348823,1,0,0,0,NA,0.835,0.881,0.77,0,1,0.46,0.54,0
2024,684101221656,COM,6370922,9503681,3.32,21067,1,1,0,0,NA,0.67,0.996,3.71,0,0,0.36,0.64,0
2019,794769041666,RES,10018336,13293433,22.71,241395,0,1,0,0,NA,0.754,1.061,0.53,0,1,0.28,0.72,0
2025,938487060391,RES,5140856,5991025,4.03,17879,1,0,0,0,NA,0.858,0.863,2.78,0,0,0.41,0.59,0
2023,108433837810,RES,12001849,12873026,1.34,14474,0,1,0,0,NA,0.932,0.9,5.51,0,0,0.63,0.37,0
2019,728956477899,RES,2502436,4051968,5.69,14552,0,0,0,0,NA,0.618,1.022,5.7,0,0,0.67,0.33,1
2025,596684607703,RES,21554728,24328261,4.16,90833,0,1,0,0,NA,0.886,1.013,1.7,0,0,0.59,0.41,1
2019,245434394058,COM,10840178,17004234,4.17,49136,1,0,0,0,NA,0.637,1.087,7.83,0,0,0.35,0.65,0
2025,929230657263,IND,4252562,7413088,19.3,88722,0,0,0,0,NA,0.574,1.081,1.2,0,0,0.44,0.56,0
2023,708134766835,AGR,6788884,7648867,16.5,130387,0,0,0,0,NA,0.888,1.164,6.86,0,0,0.32,0.68,0
2021,440676077771,RES,20209832,29985637,1.63,36730,1,0,1,0,NA,0.674,1.115,7.23,0,0,0.27,0.73,0
2025,125937806352,RES,1802506,2051971,10.33,17950,0,0,0,1,INCREASED,0.878,0.964,1.49,0,0,0.34,0.66,0
2020,583311192223,IND,14901273,16439320,12.88,169665,1,0,0,0,NA,0.906,0.884,5.6,0,0,0.48,0.52,0
2022,864245521632,COM,18383124,23013330,10.56,193738,0,1,0,0,NA,0.799,0.998,7.87,0,0,0.45,0.55,0
2021,871552605255,AGR,15313724,22191259,4.94,66194,1,0,0,1,REDUCED,0.69,0.875,1.83,0,1,0.41,0.59,0
2025,976304852444,MIX,1666073,2744531,19.14,36831,1,1,0,0,NA,0.607,1.155,0.8,0,0,0.44,0.56,1
2018,274180492239,RES,17946764,28948588,10.04,197664,0,0,0,0,NA,0.62,1.097,1.94,0,0,0.45,0.55,1
2025,834251638945,RES,20794341,25957805,2.17,51983,0,0,0,0,NA,0.801,1.152,7.3,0,0,0.72,0.28,1
2024,807351044653,COM,13512034,18097890,22.68,265082,1,0,0,0,NA,0.747,0.865,2.71,0,0,0.49,0.51,0
2024,799866640158,RES,6701315,8188503,11.63,67415,1,0,0,0,NA,0.818,0.865,6.96,0,0,0.43,0.57,0
2021,439263030975,RES,16450068,28420809,10.36,170082,0,0,0,0,NA,0.579,0.998,3.19,0,0,0.26,0.74,1
2022,594855836871,RES,19532160,29855059,15.89,340782,0,0,0,0,NA,0.654,1.098,7.67,0,0,0.73,0.27,0
2024,761827796364,COM,4786488,7653048,6.74,33713,0,1,0,0,NA,0.625,1.045,3.54,0,0,0.32,0.68,0
2023,162166629987,RES,12455563,13542993,11.35,122851,0,0,0,0,NA,0.92,0.869,6.39,0,0,0.33,0.67,0
2022,645371756145,RES,17403860,26802538,13.63,237215,1,0,0,0,NA,0.649,1.0,6.26,0,0,0.69,0.31,0
2023,710949833577,AGR,10694662,18764154,9.0,97888,1,1,0,0,NA,0.57,1.017,0.25,0,0,0.46,0.54,1
2021,546440084739,COM,9150733,15480969,19.3,200981,1,0,0,0,NA,0.591,1.138,1.85,0,1,0.4,0.6,0
2021,902774640577,AGR,7300007,9603869,2.05,16057,0,0,0,0,NA,0.76,1.073,0.0,0,0,0.39,0.61,1
2020,849968890322,RES,4156506,7436543,11.96,51501,1,0,1,0,NA,0.559,1.036,7.79,0,1,0.38,0.62,0
2019,912020040775,RES,1021923,1550950,9.5,10592,1,0,1,0,NA,0.659,1.091,8.21,0,0,0.4,0.6,1
2022,825395660802,IND,14062069,17953962,24.97,370091,1,1,0,0,NA,0.783,1.054,2.7,0,1,0.4,0.6,0
2018,711101977362,RES,14553669,24792983,21.18,318419,0,0,0,0,NA,0.587,1.033,2.44,0,0,0.5,0.5,0
2019,966796425068,AGR,19298465,25796766,21.56,498458,1,0,0,0,NA,0.748,1.198,2.79,0,0,0.39,0.61,0
2018,391658381828,AGR,8187379,9461892,10.81,77885,0,0,0,0,NA,0.865,0.88,0.18,0,1,0.39,0.61,0
2022,977280099043,RES,15658018,18244974,4.65,83877,0,0,0,0,NA,0.858,1.152,3.04,0,0,0.39,0.61,0
2022,342863999486,AGR,10824820,17179386,21.02,230041,0,0,0,0,NA,0.63,1.011,4.01,0,1,0.43,0.57,0
2021,273960531935,RES,6013876,9623389,15.16,94726,1,0,0,0,NA,0.625,1.039,0.76,0,1,0.59,0.41,0
2021,885450121006,RES,20867835,23384456,14.41,329874,0,0,0,0,NA,0.892,1.097,1.04,0,0,0.72,0.28,0
2025,875507940134,RES,10233179,12158331,24.49,254370,0,0,0,0,NA,0.842,1.015,2.96,0,0,0.71,0.29,0
2018,321524241416,MIX,2208393,3138884,6.52,14442,1,0,0,0,NA,0.704,1.003,3.59,0,1,0.52,0.48,1
2024,430110260151,COM,16200755,18507135,19.94,365685,0,1,0,0,NA,0.875,1.132,7.43,0,0,0.4,0.6,1
2023,227508343824,COM,2588355,4499917,1.2,3230,0,0,0,0,NA,0.575,1.04,7.6,0,0,0.53,0.47,0
2019,275113767958,RES,283071,452326,2.61,881,0,1,0,0,NA,0.626,1.193,7.35,0,0,0.47,0.53,1
2022,424987772951,RES,8812352,11052831,22.54,231802,1,1,0,0,NA,0.797,1.167,5.73,0,0,0.6,0.4,0
2025,244568085483,RES,13969203,17719481,13.94,203494,0,0,0,0,NA,0.788,1.045,8.61,0,0,0.45,0.55,0
2021,229559566914,COM,11502344,14295430,12.63,166194,0,0,0,0,NA,0.805,1.144,3.85,0,0,0.56,0.44,1
2024,401294129745,COM,12799951,15363372,17.66,241644,1,0,0,0,NA,0.833,1.069,6.4,0,1,0.59,0.41,0
2025,820918800370,RES,19601244,28078755,24.87,488945,1,0,0,0,NA,0.698,1.003,6.25,0,0,0.65,0.35,0
2018,888236029744,RES,5380199,8249788,14.07,71157,0,0,0,0,NA,0.652,0.94,0.66,0,0,0.58,0.42,1
2021,351409751263,IND,8614604,10777321,7.31,73174,1,0,1,0,NA,0.799,1.162,6.92,0,0,0.66,0.34,0
2024,932695680242,RES,21581288,23046609,12.36,268078,1,0,0,0,NA,0.936,1.005,4.65,0,1,0.61,0.39,0
2022,105459291527,IND,17366124,24027758,5.02,89270,0,0,0,0,NA,0.723,1.024,6.63,0,1,0.67,0.33,0
2021,369189136540,RES,13293330,23083712,9.41,112831,1,0,0,0,NA,0.576,0.902,5.61,0,0,0.46,0.54,0
2025,627318003147,AGR,7284179,8483681,7.89,49081,0,1,0,0,NA,0.859,0.854,5.58,0,0,0.64,0.36,0
2025,905797635344,RES,3424145,4781707,15.79,52283,0,0,0,0,NA,0.716,0.967,8.3,0,0,0.7,0.3,0
2025,898903959242,COM,10275880,16225579,15.68,154681,0,0,0,0,NA,0.633,0.96,4.86,0,0,0.29,0.71,0
2023,798697932319,RES,1089379,1866288,19.83,22683,0,0,0,1,INCREASED,0.584,1.05,2.14,0,0,0.55,0.45,0
2022,481165559994,MIX,9938676,11027490,17.67,189666,0,0,0,0,NA,0.901,1.08,0.2,0,1,0.3,0.7,0
2022,903851487155,AGR,13037877,14044340,21.7,250669,0,0,0,0,NA,0.928,0.886,3.26,0,0,0.52,0.48,0
2022,120321429772,RES,22413910,26477675,1.56,37728,0,0,0,0,NA,0.847,1.079,3.0,0,1,0.29,0.71,0
2023,136548242236,IND,16833551,24806919,11.88,203582,0,0,0,0,NA,0.679,1.018,7.92,0,1,0.58,0.42,0
2019,718741547633,RES,10411124,12686565,3.33,32173,0,0,0,0,NA,0.821,0.928,1.06,0,1,0.42,0.58,0
2021,272768957178,COM,9596204,13898061,5.6,59220,1,1,0,0,NA,0.69,1.102,0.67,0,1,0.31,0.69,0
2018,995901169863,AGR,10623142,17061213,15.72,196888,1,0,0,0,NA,0.623,1.179,1.44,0,0,0.63,0.37,1
2018,576539282886,RES,8967346,10241422,21.06,190930,1,0,0,0,NA,0.876,1.011,3.74,0,0,0.43,0.57,0
2024,228877025795,RES,21925685,25850090,8.22,200955,0,0,0,0,NA,0.848,1.115,3.38,0,0,0.46,0.54,0
2025,958790752985,RES,310299,345678,1.87,696,1,0,0,0,NA,0.898,1.2,7.01,0,1,0.45,0.55,0
2020,378458024468,RES,24591798,27282935,7.89,230313,1,1,0,0,NA,0.901,1.187,8.49,0,0,0.45,0.55,0
2023,352950885288,IND,7877560,9169409,5.82,45893,1,0,0,0,NA,0.859,1.001,0.64,0,0,0.43,0.57,0
2025,218819716377,RES,16024285,19512207,11.81,161238,0,1,0,0,NA,0.821,0.852,2.12,0,0,0.72,0.28,0
2018,908143298256,RES,8341440,14650766,1.69,13942,1,0,1,0,NA,0.569,0.989,5.49,0,1,0.57,0.43,1
2022,787559275808,RES,7164927,11798141,6.03,45278,1,0,0,0,NA,0.607,1.048,6.13,0,1,0.39,0.61,1
2021,812108575224,RES,5344464,8163093,9.56,59421,0,0,0,0,NA,0.655,1.163,0.74,0,0,0.64,0.36,0
2020,465228066211,IND,16602246,28594983,17.23,327821,1,1,0,0,NA,0.581,1.146,8.44,0,0,0.27,0.73,0
2021,664126501238,RES,16827294,26587035,2.36,45471,0,0,0,0,NA,0.633,1.145,1.93,0,0,0.43,0.57,0
2018,724665709417,COM,16620920,27015069,2.77,40837,0,0,0,0,NA,0.615,0.887,6.61,0,0,0.43,0.57,0
2022,986722187406,RES,22585599,23872478,2.83,70245,0,0,1,1,INCREASED,0.946,1.099,1.02,0,0,0.45,0.55,0
2021,599636991375,RES,9155762,10525147,7.97,79539,0,0,0,0,NA,0.87,1.09,7.3,0,0,0.52,0.48,0
2019,344123452525,AGR,3512991,6131971,1.4,5410,0,0,0,0,NA,0.573,1.1,3.98,0,0,0.33,0.67,0
2025,207700449074,RES,9543690,16666772,24.98,223144,0,0,0,0,NA,0.573,0.936,7.38,0,1,0.66,0.34,0
2025,318378972957,RES,19613713,23299756,8.23,183858,0,0,0,0,NA,0.842,1.139,1.08,0,0,0.56,0.44,0
2023,122870969094,RES,5718517,8843639,8.07,43703,0,1,0,0,NA,0.647,0.947,8.9,0,1,0.72,0.28,0
2024,229331176123,COM,18042521,19781294,14.45,238032,1,0,0,0,NA,0.912,0.913,7.16,0,0,0.57,0.43,0
2021,560293072679,RES,10273661,10997695,12.89,158118,0,0,0,0,NA,0.934,1.194,8.02,0,0,0.37,0.63,0
2023,104786506947,AGR,16510755,19785631,18.06,341719,0,0,0,0,NA,0.834,1.146,2.64,0,0,0.32,0.68,1
2018,186352278580,AGR,12721041,18841133,11.91,152871,1,0,0,0,NA,0.675,1.009,0.57,0,0,0.47,0.53,1
2020,144973423177,COM,3595373,4060964,4.24,15427,0,0,0,0,NA,0.885,1.012,3.39,0,0,0.33,0.67,1
2021,574361865772,RES,8935168,13279919,14.15,113031,0,0,0,1,REDUCED,0.673,0.894,2.17,0,0,0.73,0.27,0
2025,122045283076,RES,21366862,28060881,22.61,555087,1,0,0,0,NA,0.761,1.149,1.49,0,0,0.7,0.3,1
2019,557052512708,RES,4646100,8087437,1.1,5346,1,0,0,0,NA,0.574,1.046,8.64,0,0,0.31,0.69,0
2022,651058346223,RES,17366372,23140448,2.73,47884,1,0,0,0,NA,0.75,1.01,5.71,0,0,0.71,0.29,0
2021,302225919459,AGR,10622095,16050736,24.13,267845,1,0,0,1,UPHELD,0.662,1.045,4.02,0,0,0.57,0.43,0
2018,930126345593,RES,20713069,24101717,17.22,340628,0,0,0,0,NA,0.859,0.955,8.54,0,0,0.34,0.66,0
2019,980987769255,IND,6568046,8245992,17.05,115009,1,0,0,0,NA,0.797,1.027,4.13,0,0,0.55,0.45,0
2020,931864128002,RES,2576791,3471291,1.18,2822,1,0,0,0,NA,0.742,0.928,6.92,0,0,0.36,0.64,1
2018,913631220978,RES,16842089,20778885,9.13,176680,0,0,0,1,REDUCED,0.811,1.149,5.1,0,0,0.3,0.7,0
2024,172342395395,RES,3009320,4466094,14.11,38513,0,0,0,0,NA,0.674,0.907,0.8,0,0,0.37,0.63,0
2025,393181666734,RES,13873987,23437588,5.12,75936,0,0,0,0,NA,0.592,1.069,7.94,0,1,0.43,0.57,0
2024,332733957625,IND,4464769,6417293,3.51,16721,0,0,0,0,NA,0.696,1.067,1.75,1,1,0.66,0.34,0
2023,275233310569,MIX,11694269,14788852,18.5,205743,0,0,0,0,NA,0.791,0.951,2.02,0,0,0.35,0.65,1
2023,624763024014,COM,6309986,10334774,5.39,40405,0,0,0,0,NA,0.611,1.188,3.84,0,0,0.71,0.29,0
2025,851901927448,RES,9197179,12243946,22.35,223029,0,0,0,0,NA,0.751,1.085,4.41,0,0,0.27,0.73,0
2021,877142121196,IND,12946628,15027339,13.3,182005,1,0,0,0,NA,0.862,1.057,3.38,0,0,0.37,0.63,1
2020,299192869034,RES,18667948,20251587,3.78,78468,1,0,0,1,REDUCED,0.922,1.112,2.56,0,0,0.71,0.29,1
2020,436193600765,RES,3670946,5359261,14.5,59616,0,0,0,0,NA,0.685,1.12,6.36,0,1,0.59,0.41,0
2022,818306660394,RES,9169356,11970084,9.76,76158,0,0,0,0,NA,0.766,0.851,3.5,0,0,0.65,0.35,0
2020,795027755721,AGR,1190804,1729597,20.81,25574,0,0,0,0,NA,0.688,1.032,0.61,0,0,0.69,0.31,0
2021,884066332138,RES,23565128,29779081,21.83,585418,0,0,0,0,NA,0.791,1.138,6.6,0,0,0.33,0.67,1
2019,186108864052,RES,15421119,26697164,5.09,68917,1,1,0,0,NA,0.578,0.878,8.08,0,0,0.7,0.3,0
2020,202957040586,RES,14238004,24887948,10.04,148096,0,0,0,0,NA,0.572,1.036,2.32,0,0,0.67,0.33,0
2023,783003746318,COM,22605689,28993255,3.78,97925,1,0,0,0,NA,0.78,1.146,2.52,0,0,0.59,0.41,0
2022,753029114294,RES,10680358,15498028,14.08,166771,0,0,0,0,NA,0.689,1.109,1.81,0,1,0.75,0.25,1
2021,844225797522,RES,3513929,4888766,18.97,67126,0,0,0,1,UPHELD,0.719,1.007,7.85,0,0,0.73,0.27,0
2025,952362092518,MIX,11073154,14877943,23.7,244851,1,0,0,0,NA,0.744,0.933,0.47,0,0,0.42,0.58,1
2024,980030917487,COM,11361103,15651202,21.35,211512,0,0,0,1,REDUCED,0.726,0.872,2.13,0,0,0.67,0.33,1
2021,552127242736,RES,9511791,15622163,10.65,115179,0,0,0,0,NA,0.609,1.137,5.33,0,1,0.33,0.67,0
2019,840784458209,COM,5360287,5817159,19.1,121936,0,0,1,0,NA,0.921,1.191,4.38,0,0,0.45,0.55,1
2020,447911963781,IND,9633744,15489051,20.75,210295,1,0,0,0,NA,0.622,1.052,6.42,0,0,0.63,0.37,0
2018,867640186824,COM,12152541,17584597,14.79,210111,0,0,1,0,NA,0.691,1.169,0.73,0,0,0.55,0.45,0
2018,758521817264,RES,2345647,3227563,11.74,28171,0,1,1,0,NA,0.727,1.023,2.26,0,0,0.5,0.5,0
2019,594822182932,RES,8001747,9642096,17.27,127826,1,0,0,0,NA,0.83,0.925,1.27,0,0,0.31,0.69,0
2018,418380725033,RES,7295169,12323906,5.43,34225,0,0,0,1,REDUCED,0.592,0.864,1.18,0,0,0.47,0.53,0
2024,855865392003,RES,18387160,28340837,8.12,163936,1,0,0,0,NA,0.649,1.098,6.86,0,0,0.26,0.74,1
2021,776456679320,COM,6989273,7870550,1.78,12739,1,0,0,0,NA,0.888,1.024,8.59,0,0,0.45,0.55,0
2022,638438413472,RES,18979765,23362571,24.19,532580,0,0,0,0,NA,0.812,1.16,0.21,0,1,0.4,0.6,0
2022,618870088917,AGR,6993543,12489036,9.2,59065,1,0,0,0,NA,0.56,0.918,2.95,0,0,0.62,0.38,1
2021,243513608892,MIX,9050695,10746397,7.32,76653,1,0,0,0,NA,0.842,1.157,7.64,0,0,0.7,0.3,0
2024,592483746901,RES,6315825,9105661,19.41,138159,1,0,0,1,INCREASED,0.694,1.127,4.28,0,0,0.72,0.28,0
2018,261649479405,RES,10800589,12486930,1.31,16724,1,0,0,0,NA,0.865,1.182,1.5,0,0,0.52,0.48,0
2020,267254066099,RES,16251692,27444625,4.55,84224,1,1,0,0,NA,0.592,1.139,0.21,1,0,0.61,0.39,0
2022,477089412321,COM,18868490,26858954,3.68,68811,0,0,0,0,NA,0.703,0.991,1.87,0,0,0.41,0.59,0
2023,921992996869,RES,3445747,4647909,16.16,62699,0,0,0,0,NA,0.741,1.126,3.17,0,0,0.49,0.51,0
2022,600625668288,RES,13437282,14763626,13.92,201075,1,0,0,0,NA,0.91,1.075,0.04,0,0,0.57,0.43,0
2018,664528347604,IND,24036302,25851262,24.67,695560,0,0,0,0,NA,0.93,1.173,4.17,0,1,0.28,0.72,0
2019,568515167499,RES,3921975,5438324,2.32,10200,0,0,0,0,NA,0.721,1.121,7.94,0,0,0.31,0.69,1
2018,371315755390,RES,12092016,15844416,22.71,277356,1,0,0,0,NA,0.763,1.01,1.06,0,0,0.45,0.55,0
2019,259532238864,MIX,8603676,12005698,9.35,94603,1,0,0,0,NA,0.717,1.176,1.51,0,0,0.52,0.48,0
2024,958140708840,COM,14385267,22116983,11.54,171650,0,0,0,0,NA,0.65,1.034,1.32,0,0,0.31,0.69,0
2020,473661891163,IND,19656899,28466539,8.41,155561,1,0,0,0,NA,0.691,0.941,8.75,0,0,0.4,0.6,1
2019,564111954148,COM,22638706,25606656,22.04,429602,0,0,0,1,INCREASED,0.884,0.861,7.94,0,0,0.55,0.45,1
2018,389476026132,COM,20594116,22977647,14.82,299406,0,0,0,0,NA,0.896,0.981,1.14,0,0,0.45,0.55,0
2023,568462929467,RES,8368751,9519673,6.04,59545,0,0,0,0,NA,0.879,1.178,4.1,0,0,0.74,0.26,0
2023,944104862538,RES,2488198,4518060,4.91,13952,0,0,0,0,NA,0.551,1.142,5.68,0,0,0.33,0.67,0
2024,746727233148,MIX,3521225,5089960,21.75,79037,1,0,0,0,NA,0.692,1.032,8.77,0,0,0.44,0.56,0
2024,779259469274,AGR,18200829,22150722,16.84,266657,0,0,0,0,NA,0.822,0.87,1.3,0,0,0.43,0.57,0
2025,874093700238,RES,25475235,27043933,12.71,347751,0,0,0,0,NA,0.942,1.074,7.19,0,0,0.42,0.58,1
2020,923489268098,IND,8723125,15488168,14.39,144857,0,0,0,0,NA,0.563,1.154,7.26,0,0,0.67,0.33,0
2019,785614196334,RES,4217925,7475905,21.63,83570,0,0,0,0,NA,0.564,0.916,6.21,0,0,0.33,0.67,0
2019,748842826605,IND,17578767,28610618,7.26,126728,1,0,0,0,NA,0.614,0.993,3.77,1,0,0.49,0.51,0
2024,962661992740,IND,6959528,7507343,8.21,67651,0,0,0,0,NA,0.927,1.184,8.95,0,0,0.4,0.6,1
2024,325717550910,COM,2317223,3243136,7.42,17211,0,0,0,0,NA,0.715,1.001,8.15,0,0,0.36,0.64,0
2019,691473937054,IND,9601195,13947055,11.51,124434,1,1,0,0,NA,0.688,1.126,3.44,0,0,0.31,0.69,0
2023,367094146954,IND,11195169,15451735,24.16,247214,1,0,0,0,NA,0.725,0.914,4.78,0,0,0.49,0.51,0
2019,302948810811,RES,2504323,4200597,24.91,64129,1,0,0,0,NA,0.596,1.028,0.45,0,0,0.63,0.37,0
2021,232328966372,RES,24072815,27113866,13.53,309420,0,0,0,0,NA,0.888,0.95,0.37,0,0,0.3,0.7,0
2022,583436168180,RES,7744181,10414349,20.89,150128,0,0,0,0,NA,0.744,0.928,7.04,0,0,0.28,0.72,1
2025,714824197493,IND,5529049,7417796,13.32,83663,1,0,0,1,INCREASED,0.745,1.136,3.2,0,0,0.58,0.42,0
2019,429806510250,RES,14137501,16229780,3.83,64976,1,0,0,0,NA,0.871,1.2,5.98,0,0,0.25,0.75,0
2019,318650692730,MIX,2656212,4268666,4.18,11458,1,0,0,0,NA,0.622,1.032,5.16,0,0,0.4,0.6,1
2023,584309590406,RES,16935346,25803100,11.0,182936,0,0,0,0,NA,0.656,0.982,7.84,0,0,0.26,0.74,0
2021,407036437637,RES,6020605,9002994,10.36,71168,1,0,0,0,NA,0.669,1.141,5.2,0,0,0.68,0.32,0
2024,284469592697,AGR,1539623,2342043,3.1,4973,0,0,0,0,NA,0.657,1.042,4.42,0,0,0.32,0.68,0
2019,242005245710,RES,12271230,17833837,6.66,83851,0,0,0,0,NA,0.688,1.026,5.8,0,1,0.44,0.56,0
2024,542038870401,RES,23419538,27411660,13.06,277108,0,0,0,0,NA,0.854,0.906,0.85,0,0,0.5,0.5,0
2021,473447957639,RES,10107434,11393715,7.59,77176,1,1,0,0,NA,0.887,1.006,1.4,0,0,0.68,0.32,0
2018,346240474445,RES,8491039,14408985,2.38,22997,0,0,0,0,NA,0.589,1.138,6.18,0,0,0.29,0.71,0
2025,379404517741,AGR,11656752,20596941,8.17,94855,1,0,0,0,NA,0.566,0.996,5.17,0,0,0.58,0.42,0
2018,504825874307,RES,15750883,24793597,2.16,31028,0,0,0,0,NA,0.635,0.912,3.62,0,0,0.62,0.38,0
2021,307061745291,RES,3388574,3733803,13.17,38871,1,0,0,0,NA,0.908,0.871,0.74,0,0,0.74,0.26,0
2022,494022045142,RES,16909662,26232682,16.43,309776,0,0,0,0,NA,0.645,1.115,1.15,0,0,0.34,0.66,0
2022,290475949825,RES,23511030,26830076,3.37,84145,1,0,0,1,INCREASED,0.876,1.062,1.38,0,0,0.6,0.4,0
2023,657220720771,RES,9253602,15744762,18.37,162679,0,0,0,0,NA,0.588,0.957,0.88,0,0,0.72,0.28,0
2025,890148584429,RES,10347240,16574793,20.31,207210,0,0,0,0,NA,0.624,0.986,7.43,0,0,0.59,0.41,0
2023,558364451733,RES,18892935,26320616,7.64,139434,1,0,0,0,NA,0.718,0.966,7.63,0,0,0.29,0.71,0
2019,899709990175,IND,6665515,8328543,8.85,56335,1,0,0,0,NA,0.8,0.955,2.53,0,0,0.36,0.64,0
2019,931669507184,RES,3616601,4893840,23.34,72763,0,0,1,0,NA,0.739,0.862,1.43,0,0,0.52,0.48,1
2024,531662869673,IND,379124,598755,21.14,8071,1,0,0,0,NA,0.633,1.007,3.86,0,0,0.34,0.66,1
2023,238290584733,RES,16037788,26394617,15.76,290922,0,0,0,0,NA,0.608,1.151,8.99,0,0,0.62,0.38,0
2021,429224141033,MIX,4795467,7102174,4.55,26009,0,0,0,1,INCREASED,0.675,1.192,0.55,0,0,0.45,0.55,0
2022,269899795606,MIX,21079045,25659981,9.78,182858,0,0,0,0,NA,0.821,0.887,8.19,0,0,0.73,0.27,0
2025,132094692390,AGR,8567440,14953625,2.29,17873,0,0,0,0,NA,0.573,0.911,4.38,0,1,0.58,0.42,1
2019,210602317921,RES,16076580,16966799,10.22,163974,1,0,0,0,NA,0.948,0.998,4.19,0,0,0.57,0.43,1
2024,715516363927,RES,2934182,4685993,2.19,5764,0,1,0,0,NA,0.626,0.897,0.98,0,1,0.67,0.33,0
2019,817764018462,RES,15740273,19334035,21.26,357394,1,0,0,0,NA,0.814,1.068,2.95,0,0,0.48,0.52,0
2021,675296517874,RES,19706661,24061925,11.58,249654,0,0,0,0,NA,0.819,1.094,1.56,0,0,0.49,0.51,0
2025,409550464053,RES,17712465,22336242,20.02,388291,1,0,0,1,REDUCED,0.793,1.095,7.67,0,1,0.49,0.51,0
2019,277578600522,RES,16980815,23590573,4.83,96452,1,0,0,0,NA,0.72,1.176,5.57,0,0,0.67,0.33,0
2024,455332986589,IND,20663938,29824906,12.67,236940,0,0,0,0,NA,0.693,0.905,7.13,0,0,0.39,0.61,1
2018,359254245228,COM,4239258,7459270,15.91,75810,1,0,0,0,NA,0.568,1.124,7.25,0,1,0.71,0.29,0
2019,905796801260,IND,9058625,12708810,21.59,208679,1,0,0,1,UPHELD,0.713,1.067,5.56,0,0,0.37,0.63,1
2019,849491925753,AGR,1728601,2594204,3.15,6055,1,0,0,0,NA,0.666,1.112,6.09,0,0,0.53,0.47,1
2019,194589602355,IND,10071335,14032008,5.68,54116,1,0,0,0,NA,0.718,0.946,6.66,0,0,0.42,0.58,1
2018,672032817037,COM,16813106,20533075,16.83,259196,1,0,0,0,NA,0.819,0.916,6.21,0,0,0.64,0.36,0
2024,506574010303,COM,7027210,10193315,14.06,105916,1,0,0,0,NA,0.689,1.072,4.12,0,0,0.74,0.26,0
2023,652802047915,COM,18379560,24127010,17.6,306336,0,0,0,0,NA,0.762,0.947,4.66,0,0,0.51,0.49,1
2020,539701444826,RES,5653152,6075750,8.39,54639,0,0,1,0,NA,0.93,1.152,8.95,0,1,0.51,0.49,0
2024,279981916267,RES,14526780,23950710,15.32,267060,0,0,0,0,NA,0.607,1.2,8.97,0,0,0.51,0.49,1
2018,457376809804,COM,7612306,8550223,3.15,27504,0,0,0,0,NA,0.89,1.147,5.44,0,1,0.46,0.54,0
2019,966803401617,MIX,5678274,8617615,10.15,63744,0,0,0,0,NA,0.659,1.106,1.53,0,0,0.61,0.39,0
2023,739261083450,RES,15046279,20361327,16.26,285265,1,0,0,1,UPHELD,0.739,1.166,1.01,0,0,0.63,0.37,0
2024,151338528926,IND,10388913,16680989,3.89,46798,1,0,0,0,NA,0.623,1.158,3.17,0,0,0.56,0.44,0
2022,629118764647,RES,945079,1489156,9.2,9686,0,1,0,0,NA,0.635,1.114,7.12,0,0,0.28,0.72,0
2020,279476698751,COM,11120950,18597475,1.63,18943,0,0,0,0,NA,0.598,1.045,2.83,0,0,0.39,0.61,1
2019,731121830704,RES,14775397,21265002,13.87,240388,0,0,1,0,NA,0.695,1.173,2.39,0,0,0.53,0.47,0
2022,374372576697,RES,9980816,16454372,19.18,180712,1,0,0,0,NA,0.607,0.944,5.96,0,1,0.3,0.7,1
2025,908328149849,AGR,21230170,28453264,13.29,288921,1,1,0,0,NA,0.746,1.024,3.58,0,0,0.55,0.45,0
2025,250210176267,RES,3769650,4212582,15.82,55938,0,0,0,0,NA,0.895,0.938,4.98,0,0,0.31,0.69,0
2023,826234121690,RES,6733787,7497720,11.0,73405,0,0,0,0,NA,0.898,0.991,6.91,0,0,0.7,0.3,0
2018,173740665329,RES,22704160,24841980,5.79,146706,1,0,1,0,NA,0.914,1.116,7.04,0,0,0.74,0.26,0
2019,491172405148,COM,6123478,8284544,19.58,120018,0,0,0,0,NA,0.739,1.001,4.89,0,0,0.39,0.61,1
2021,671669930370,RES,5468309,9636897,9.64,46494,1,1,0,0,NA,0.567,0.882,8.12,0,0,0.53,0.47,1
2025,538522679548,RES,20325812,26960017,7.55,137500,0,0,0,0,NA,0.754,0.896,7.69,0,1,0.6,0.4,0
2023,369873458865,MIX,5674303,7784886,12.62,65451,0,0,0,1,PENDING,0.729,0.914,0.93,0,0,0.46,0.54,0
2020,320485509774,COM,27240827,28819349,10.91,287093,0,0,0,0,NA,0.945,0.966,6.09,0,0,0.43,0.57,0
2022,991599411534,MIX,13963642,18938271,4.81,62128,0,0,0,0,NA,0.737,0.925,6.11,0,0,0.66,0.34,0
2020,446415427783,COM,18910052,22490086,15.75,307364,1,0,0,0,NA,0.841,1.032,2.21,0,0,0.55,0.45,0
