biz_demog_reference_year,biz_demog_country_iso2,biz_demog_region_nuts_code,biz_demog_nace_section,biz_demog_enterprise_size_class,biz_demog_enterprises_active_count,biz_demog_births_count,biz_demog_deaths_count,biz_demog_survival_rate_1y_pct,biz_demog_survival_rate_3y_pct,biz_demog_employment_total,biz_demog_turnover_total_eur,biz_demog_value_added_total_eur,biz_demog_high_growth_enterprise_count,biz_demog_scaleup_count,biz_demog_business_register_source,biz_demog_missing_data_flag,biz_demog_data_revision_round,biz_demog_eurostat_table_code,biz_demog_data_extract_date
2010,LV,AT75,A,LARGE,1487,227,160,87.48,75.15,2503,788333943.51,382501549.36,14,2,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-04-21
2011,RO,SI7,F,MEDIUM,1431,99,77,80.52,65.43,25371,5208178900.81,1028203840.97,5,1,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-10-04
2012,BG,FI5,K,SMALL,1554,177,183,68.34,51.3,17834,4099259584.73,1259065238.37,7,2,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-10-12
2013,FR,BE625,P,MICRO,1507,100,77,73.8,49.33,19707,4961535702.13,2148616722.43,25,4,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-03-04
2014,LT,LT578,U,LARGE,1310,54,74,61.45,32.47,15849,2869527738.23,623131995.79,22,12,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-09-19
2015,SK,EE2,E,MEDIUM,1744,146,71,87.75,73.2,18857,3570206964.41,1444418619.74,12,7,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-02-16
2016,HR,CY684,J,SMALL,1749,243,169,69.05,60.49,3464,260073649.68,121935990.4,14,2,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-09-27
2017,DE,RO29,O,MICRO,1786,148,160,57.2,31.32,25766,5794238681.73,2593882904.1,14,7,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-03-10
2018,LU,EE19,T,LARGE,1286,77,32,82.42,58.86,11915,2614169790.86,1176981613.45,14,6,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-11-30
2019,SI,BG752,D,MEDIUM,1333,72,76,81.13,57.23,20166,3578078389.16,1237627682.07,13,7,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-01-01
2020,CY,BG81,I,SMALL,1613,238,48,60.14,48.34,5515,1319333872.65,321407476.24,19,8,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-05-03
2021,GR,MT9,N,MICRO,1457,182,108,68.2,39.84,25994,5356169207.7,1535162300.43,4,1,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-07-29
2022,MT,PT898,S,LARGE,1478,140,141,92.35,79.95,8143,534216253.45,166929918.08,16,3,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-07-12
2023,ES,MT3,C,MEDIUM,1585,189,108,78.57,57.62,7106,1010055412.97,188106808.88,17,3,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-11-10
2024,CZ,IT63,H,SMALL,1423,135,50,68.02,52.93,17446,5053360340.66,1201045334.93,11,5,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-06-08
2025,HU,RO916,M,MICRO,1449,121,66,75.66,56.09,13967,881795371.14,199134889.0,6,1,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-01-01
2026,NL,LT238,R,LARGE,1344,96,57,61.59,28.43,24001,3604763511.89,807067524.01,18,9,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-02-27
2010,SE,RO8,B,MEDIUM,1737,116,40,65.56,38.32,10418,1849288500.72,514622605.58,33,6,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-11-20
2011,DK,CY217,G,SMALL,1313,62,59,69.84,41.78,17062,4815259053.19,2073906845.91,20,8,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-02-12
2012,IE,EE3,L,MICRO,1260,179,27,65.82,47.02,13473,2982511402.17,1393023740.02,7,3,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-12-24
2013,PL,LU768,Q,LARGE,1364,205,159,66.82,32.38,14950,4655084395.11,2125456471.3,14,2,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-01-12
2014,AT,SI502,A,MEDIUM,1457,44,58,70.92,39.21,8022,798583096.43,236212935.13,15,6,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-05-22
2015,EE,IE439,F,SMALL,1516,171,120,55.19,29.02,4065,396568124.25,182285872.0,3,0,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-09-20
2016,IT,BG2,K,MICRO,1484,72,148,80.47,53.05,3172,1010711832.25,312775898.63,14,8,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-05-13
2017,PT,BE7,P,LARGE,1272,180,46,68.2,36.83,5837,1738810403.19,337006102.63,23,4,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-05-23
2018,BE,PL753,U,MEDIUM,1600,144,153,80.19,52.24,5474,849092119.33,239938941.15,14,6,VAT_REGISTER,1,SECOND,bd_9bd_sz_cl_r2e,2024-06-08
2019,FI,DK752,E,SMALL,1467,193,166,94.4,79.85,3404,851175214.01,401702014.36,10,4,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-05-18
2020,LV,LU7,J,MICRO,1513,146,91,81.5,65.45,14975,4682585266.84,943019468.47,24,8,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-11-17
2021,RO,BG86,O,LARGE,1823,123,106,69.71,53.22,2777,332289783.3,109145630.33,10,3,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-05-07
2022,BG,BE10,T,MEDIUM,1413,149,196,89.08,74.45,20999,2988543310.93,561890883.71,25,13,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-04-18
2023,FR,GR21,D,SMALL,1689,143,197,70.37,55.48,9122,1509300713.48,361788575.49,31,12,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-07-11
2024,LT,PL398,I,MICRO,1543,215,42,56.12,43.95,13762,1040488587.65,474540715.97,8,2,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-10-07
2025,SK,LV1,N,LARGE,1667,265,138,89.24,57.7,20282,6283201783.46,2122616846.29,31,10,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-02-06
2026,HR,LT16,S,MEDIUM,1761,72,127,56.22,21.49,21724,5789992019.71,1416819654.44,34,8,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-02-10
2010,DE,BG581,C,SMALL,1795,229,162,67.02,46.92,6384,1300275999.73,243446032.55,26,8,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-03-19
2011,LU,EE874,H,MICRO,1306,50,73,74.05,52.85,15016,3785853073.97,871823496.74,23,5,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-08-06
2012,SI,RO74,M,LARGE,1530,165,186,69.08,57.01,26884,6570611284.44,3116325475.28,27,6,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-08-09
2013,CY,SE967,R,MEDIUM,1305,69,96,65.52,48.14,3855,286587953.54,63318000.02,6,2,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-09-08
2014,GR,SI75,B,SMALL,1292,164,121,70.49,53.07,11390,2032526254.34,919852011.97,8,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-04-09
2015,MT,SE67,G,MICRO,1548,138,32,71.9,60.11,7469,1281563667.58,311111519.58,15,4,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-10-29
2016,ES,LV48,L,LARGE,1620,220,66,78.81,45.45,9570,2479536516.54,1112009164.21,14,4,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2026-01-22
2017,CZ,LU2,Q,MEDIUM,1840,91,172,92.81,84.03,29469,1436474583.52,616293613.9,9,3,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-07-17
2018,HU,RO920,A,SMALL,1886,285,228,74.21,41.59,10649,828542079.45,338947232.93,16,8,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-05-01
2019,NL,GR587,F,MICRO,1346,129,141,73.31,40.71,22640,6735093691.43,2233028598.63,26,14,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-04-07
2020,SE,FR66,K,LARGE,1853,287,72,78.35,67.77,18111,2506531225.64,570175074.33,20,11,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-07-19
2021,DK,HU68,P,MEDIUM,1838,110,95,56.22,26.91,10519,3306170228.84,1240305263.47,13,7,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2026-01-15
2022,IE,DK841,U,SMALL,1320,87,77,62.83,44.63,7313,1760450904.07,628828172.32,13,7,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-05-18
2023,PL,FI24,E,MICRO,1498,179,89,70.9,43.1,25766,2852099458.81,532944639.83,23,9,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-05-08
2024,AT,LU553,J,LARGE,1403,213,173,58.12,27.5,5055,1257127334.89,330867575.73,6,1,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-11-29
2025,EE,LV358,O,MEDIUM,1509,217,185,58.59,32.2,4376,892717442.3,318093275.04,14,4,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2026-02-15
2026,IT,IT39,T,SMALL,1723,219,69,79.12,50.34,9709,1021347844.99,417521177.07,15,4,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2026-01-17
2010,PT,CZ68,D,MICRO,1766,229,74,66.14,39.03,5771,1467264524.18,405351739.67,5,2,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-03-27
2011,BE,SE701,I,LARGE,1319,198,155,75.67,55.73,6946,1647448593.39,408323628.7,25,7,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-11-12
2012,FI,PT463,N,MEDIUM,1661,72,76,68.86,54.05,13972,3887441879.97,808659631.68,21,6,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-03-23
2013,LV,FI441,S,SMALL,1713,136,104,87.24,71.84,4623,715503614.89,293984585.65,3,1,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-03-23
2014,RO,LU32,C,MICRO,1779,63,107,87.06,66.73,9956,549173129.2,247953267.06,21,6,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-04-13
2015,BG,BG199,H,LARGE,1714,255,144,90.01,61.23,24308,5759664083.38,2907124716.07,25,11,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-10-22
2016,FR,LU3,M,MEDIUM,1710,52,211,80.07,69.63,26543,1342109661.45,630028603.08,24,7,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-01-02
2017,LT,NL865,R,SMALL,1464,151,144,91.03,75.14,3888,1091817021.71,212214871.99,14,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-03-25
2018,SK,ES78,B,MICRO,1515,127,203,60.8,51.67,15983,4583868740.35,2066634244.27,23,11,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-03-05
2019,HR,FR21,G,LARGE,1677,238,157,86.65,60.67,10564,1296582293.12,369625788.9,8,4,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-04-08
2020,DE,BG1,L,MEDIUM,1933,150,193,55.37,25.44,17035,5086035330.94,1074021541.4,12,6,MIXED_SOURCE,1,SECOND,bd_9bd_sz_cl_r2d,2024-11-15
2021,LU,BG21,Q,SMALL,1353,175,91,61.45,36.91,21269,4589097245.9,1966182726.5,12,2,SOCIAL_SECURITY_REGISTER,1,BENCHMARK,bd_9bd_sz_cl_r2b,2024-08-12
2022,SI,SK15,A,MICRO,1748,123,152,84.4,58.39,10980,1201259763.79,542145167.0,11,2,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-03-10
2023,CY,GR63,F,LARGE,1878,203,176,60.38,37.21,11407,981237406.41,329224445.86,34,17,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-05-18
2024,GR,LV554,K,MEDIUM,1550,56,113,60.36,34.91,5805,1389535708.8,697876156.86,29,15,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-04-14
2025,MT,IE231,P,SMALL,1801,238,75,75.72,42.0,3988,857131134.04,338994387.86,15,6,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-05-31
2026,ES,ES3,U,MICRO,1555,172,65,93.36,67.18,11323,641089359.29,194487957.79,26,6,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-07-11
2010,CZ,EE88,E,LARGE,1706,75,156,84.03,51.6,29239,5892453739.86,1833542662.39,14,4,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-03-07
2011,HU,LT969,J,MEDIUM,1713,170,117,75.1,47.0,4094,1104728286.36,373271293.65,23,9,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-03-28
2012,NL,DE5,O,SMALL,1722,108,167,81.46,49.75,10833,2613505446.62,1142322197.39,9,2,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-08-27
2013,SE,ES632,T,MICRO,1704,141,61,73.31,64.15,3766,748870739.06,267673737.27,19,6,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-07-26
2014,DK,EE46,D,LARGE,1516,183,205,57.63,38.52,14192,2923503685.36,809811088.57,10,1,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-03-13
2015,IE,HR18,I,MEDIUM,1586,111,201,88.73,65.9,7356,632784609.93,306366607.01,25,5,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-08-08
2016,PL,DK20,N,SMALL,1629,194,130,59.74,29.65,20556,3710628522.41,787003653.25,16,5,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2024-01-01
2017,AT,LT47,S,MICRO,1774,247,106,75.44,54.56,17209,4124784529.94,1290925359.39,30,9,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-11-30
2018,EE,RO3,C,LARGE,1485,97,42,77.37,54.89,23304,6452498928.73,2660252426.82,14,6,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-12-31
2019,IT,SI44,H,MEDIUM,1466,233,141,65.63,46.76,4144,977670654.15,249008104.04,3,1,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-01-12
2020,PT,MT54,M,SMALL,1499,162,200,72.95,56.58,12421,1870365989.77,883037482.72,26,11,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-10-24
2021,BE,LV128,R,MICRO,1473,123,139,73.39,62.75,10667,1250857177.64,367560687.52,21,12,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-11-21
2022,FI,MT48,B,LARGE,1660,87,35,85.21,69.64,22134,4075422190.94,971277111.63,28,10,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-05-26
2023,LV,CZ76,G,MEDIUM,1806,55,251,75.0,51.98,22859,1407522339.32,687802133.68,35,19,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-06-22
2024,RO,BE6,L,SMALL,1951,284,195,56.07,42.2,21301,1521756537.4,621871641.13,28,6,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-04-26
2025,BG,SE13,Q,MICRO,1756,202,45,84.23,69.15,18353,5205325002.59,1212506555.47,28,4,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-02-28
2026,FR,PL4,A,LARGE,1404,97,88,55.79,44.42,18472,5294298242.7,1212851421.18,6,2,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-12-29
2010,LT,PL34,F,MEDIUM,1980,236,156,73.92,55.91,32124,9723209122.98,4425535926.26,15,3,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-11-11
2011,SK,SI309,K,SMALL,1421,127,42,75.62,43.9,20939,5411655539.16,1283591583.48,2,1,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-10-03
2012,HR,EE29,P,MICRO,1436,56,192,92.58,65.9,6613,1223561994.44,251958668.79,9,2,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-09-19
2013,DE,SI305,U,LARGE,1636,129,176,78.2,69.98,18024,4122775986.57,1030453606.22,11,3,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-09-17
2014,LU,PL1,E,MEDIUM,1564,59,60,88.57,67.56,17586,4613446040.38,1432229437.35,20,5,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-01-31
2015,SI,NL122,J,SMALL,1843,278,130,75.9,46.71,11366,1156285023.6,235575938.39,19,6,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-12-28
2016,CY,SK6,O,MICRO,1562,153,105,74.14,47.24,16941,2976998304.45,1526386964.45,19,7,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2026-01-20
2017,GR,FR5,T,LARGE,1421,136,109,67.17,54.73,22814,5318996188.76,1993671875.11,22,6,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-02-26
2018,MT,GR846,D,MEDIUM,1677,238,111,63.98,34.8,7872,958774613.06,208639561.47,3,0,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-10-29
2019,ES,IT817,I,SMALL,1683,204,35,79.59,57.27,16775,5016721204.99,1462110360.89,24,4,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2024-07-16
2020,CZ,IE40,N,MICRO,1791,188,154,90.25,69.9,5518,639871366.62,170422559.03,33,8,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-12-05
2021,HU,LV27,S,LARGE,1437,165,80,66.72,37.3,25200,1247912889.29,432412961.28,24,8,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-04-12
2022,NL,CZ857,C,MEDIUM,1836,57,227,63.62,50.64,25231,7672907777.69,2587928849.75,7,2,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-03-28
2023,SE,SI1,H,SMALL,1566,222,199,56.77,39.05,20685,1687875033.13,442853897.6,4,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-08-27
2024,DK,IE9,M,MICRO,1671,184,210,76.39,68.0,4035,1033771839.5,195156150.6,12,5,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-03-25
2025,IE,NL11,R,LARGE,1987,72,115,59.34,43.86,13720,3180871599.26,1333514122.94,11,4,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-05-14
2026,PL,SK71,B,MEDIUM,1537,97,192,86.44,74.08,14681,1168854171.74,459943191.3,23,4,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-04-02
2010,AT,NL109,G,SMALL,1975,169,218,89.29,75.82,24166,5725728870.46,2296544803.98,6,1,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2026-01-27
2011,EE,PL597,L,MICRO,1955,228,236,57.95,48.85,31513,3584557799.01,874548551.21,25,9,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-07-16
2012,IT,HR5,Q,LARGE,1509,215,79,57.57,46.67,21707,4040133245.08,949191741.32,13,2,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-06-18
2013,PT,HU30,A,MEDIUM,1854,261,73,89.31,72.64,30399,5807498881.83,1445179825.25,35,18,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-04-18
2014,BE,NL738,F,SMALL,1654,121,77,69.79,58.38,20275,3699809910.39,1566692126.7,14,7,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-03-21
2015,FI,SE823,K,MICRO,1933,84,92,69.1,59.46,11961,2804225002.01,1418963547.23,24,13,SOCIAL_SECURITY_REGISTER,1,FLASH,bd_9bd_sz_cl_r2b,2025-05-13
2016,LV,CZ42,P,LARGE,1803,203,132,77.97,54.2,20693,4398493637.45,1046068650.02,7,2,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-02-27
2017,RO,IT12,U,MEDIUM,1742,114,154,58.74,35.29,11452,1108131649.53,541849706.69,15,6,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-01-10
2018,BG,BG140,E,SMALL,2034,172,74,72.36,60.0,29709,5156218588.94,1845350061.79,33,9,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-08-19
2019,FR,CY3,J,MICRO,2035,321,102,83.4,49.98,34744,11086582110.63,4367119878.06,33,18,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-08-17
2020,LT,GR112,O,LARGE,1963,263,45,69.57,35.36,9491,2147093831.54,997906219.17,10,2,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-03-26
2021,SK,MT252,T,MEDIUM,1668,148,51,82.6,48.91,27625,7823451387.72,3642200118.76,14,4,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-02-22
2022,HR,IT108,D,SMALL,1606,124,132,88.1,68.62,23505,2105910647.17,652266343.92,21,12,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2024-10-01
2023,DE,IT56,I,MICRO,1938,306,70,74.32,46.89,30047,1971351745.68,394534670.79,8,4,VAT_REGISTER,1,FLASH,bd_9bd_sz_cl_r2e,2025-08-24
2024,LU,LU894,N,LARGE,1841,82,94,94.15,68.84,26914,7340598032.0,3756769230.72,8,1,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-03-23
2025,SI,LT78,S,MEDIUM,1451,168,197,86.86,57.77,21590,2182383645.14,618856937.84,8,4,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-02-01
2026,CY,HR536,C,SMALL,1915,65,251,64.64,52.45,31461,7094476650.87,2113228328.7,15,5,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-05-16
2010,GR,SI29,H,MICRO,1613,166,138,67.31,52.88,26305,5966640799.22,2494105162.35,31,16,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-03-16
2011,MT,SK9,M,LARGE,1870,74,251,74.15,55.52,15176,2125706056.34,825770426.72,30,7,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2026-02-06
2012,ES,SI2,R,MEDIUM,1692,180,34,75.39,42.82,29815,4243772372.61,893974730.51,12,7,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-12-22
2013,CZ,SE8,B,SMALL,2012,100,105,93.81,68.89,36135,2456882568.85,813068475.38,19,5,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-11-18
2014,HU,LV39,G,MICRO,1565,208,49,69.87,44.76,16748,756797083.77,269418042.68,19,3,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-10-17
2015,NL,PT402,L,LARGE,1668,196,144,75.64,40.8,7841,388959647.89,127256694.35,24,10,EU_BUSINESS_REGISTER_NETWORK,1,FIRST,bd_9bd_sz_cl_r2f,2025-03-18
2016,SE,BE293,Q,MEDIUM,1708,266,102,76.67,52.2,15249,1844627288.31,603210209.06,15,8,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-05-21
2017,DK,SK61,A,SMALL,1834,251,176,79.41,66.87,21161,2046011787.81,1023483907.45,19,7,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-08-20
2018,IE,LU4,F,MICRO,1887,82,226,88.13,59.29,11879,1313113096.58,417316539.92,37,22,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-04-06
2019,PL,AT292,K,LARGE,1667,185,46,56.84,47.38,28130,6014783246.78,2339224517.64,33,10,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-11-15
2020,AT,LU609,P,MEDIUM,1694,78,183,58.89,44.29,5191,1120789329.63,477709254.26,9,2,EU_BUSINESS_REGISTER_NETWORK,1,SECOND,bd_9bd_sz_cl_r2f,2025-04-28
2021,EE,FI538,U,SMALL,1908,179,163,88.34,76.31,18495,3206265015.96,1407707844.93,18,9,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-09-13
2022,IT,IE472,E,MICRO,1823,72,207,56.71,29.9,29583,7093536526.0,3391518847.46,22,10,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-08-22
2023,PT,DE6,J,LARGE,1598,179,79,74.98,49.49,4726,1368740951.63,557411063.13,17,10,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-04-26
2024,BE,ES71,O,MEDIUM,1664,210,223,94.11,83.04,8228,2002078129.18,1040294908.19,16,6,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-05-30
2025,FI,IE1,T,SMALL,1964,82,138,89.6,59.79,23045,6004262835.0,1240206677.5,17,4,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2026-02-21
2026,LV,HR79,D,MICRO,1832,125,228,72.21,56.01,24415,5447845196.6,2654866957.11,31,6,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-08-30
