edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_inr,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_nic,edu_credential_occupation_alignment_nco,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2024-Q3,TP26406,Apprenticeship,NSQF_4,566,95026.88,899,55.19,58.47,13372.21,27,924748,Y,Y,N,52.11,44,N,Y,56.4
2018-Q4,TP45522,SkillBadge,NSQF_4,148,190904.91,919,68.68,31.45,81156.04,76,300854,Y,N,Y,40.87,9,Y,Y,70.47
2023-Q2,TP63270,Apprenticeship,NSQF_7,1421,59986.99,497,50.92,23.03,71712.29,07,621480,N,Y,N,52.56,110,Y,Y,47.35
2022-Q2,TP54659,LicensePrep,NSQF_3,1138,91986.04,1952,82.19,70.96,51153.26,22,283251,Y,Y,N,8.49,36,N,N,30.99
2025-Q2,TP79240,LicensePrep,NSQF_5,771,238548.47,1781,83.11,32.88,81445.73,46,273764,Y,Y,Y,91.14,64,N,Y,99.05
2017-Q4,TP26260,Apprenticeship,NSQF_2,868,41315.75,990,69.62,45.1,136396.58,69,727500,Y,Y,N,44.97,37,Y,Y,10.01
2019-Q4,TP78896,LicensePrep,NSQF_4,1532,203444.6,1807,71.59,51.53,7685.61,28,774814,Y,N,N,91.64,25,N,Y,9.22
2017-Q1,TP54550,SkillBadge,NSQF_3,294,7587.03,833,82.48,67.54,18218.9,85,393697,Y,Y,Y,4.7,101,N,N,15.59
2019-Q3,TP46969,Apprenticeship,NSQF_1,1767,79915.69,2475,90.0,45.14,61853.41,07,090516,N,Y,N,45.39,112,Y,Y,53.4
2016-Q4,TP58800,Diploma,NSQF_7,1517,95678.99,611,52.95,90.18,7363.39,62,236865,Y,N,Y,70.28,61,Y,N,11.2
2024-Q4,TP61741,LicensePrep,NSQF_2,739,24130.93,749,49.44,91.35,30001.16,54,369978,N,N,Y,11.33,68,Y,Y,58.22
2017-Q1,TP31177,SkillBadge,NSQF_2,1397,155257.56,135,67.16,15.9,53655.08,39,239844,Y,Y,N,38.14,45,Y,Y,37.64
2025-Q1,TP71374,Certificate,NSQF_4,1485,243929.66,46,8.33,57.97,42194.62,15,541589,N,Y,N,74.96,48,N,N,94.69
2021-Q3,TP83221,MicroCredential,NSQF_2,153,205026.14,1888,90.16,62.03,139348.5,66,378919,Y,N,Y,2.89,1,N,Y,47.4
2021-Q2,TP46920,SkillBadge,NSQF_4,279,120975.81,922,90.13,12.37,54271.57,45,981217,Y,Y,Y,74.6,59,N,Y,47.92
2018-Q4,TP39018,MicroCredential,NSQF_4,68,63365.01,1389,66.91,27.2,39503.67,45,848974,N,Y,N,45.9,15,Y,Y,14.56
2019-Q4,TP27127,SkillBadge,NSQF_3,610,203709.4,604,72.77,68.14,78131.02,90,108116,N,N,N,10.85,21,Y,Y,48.76
2022-Q3,TP53298,LicensePrep,NSQF_4,357,217664.94,1987,73.51,69.29,12154.33,25,009340,N,Y,Y,43.34,40,Y,Y,28.21
2024-Q2,TP41354,Diploma,NSQF_1,83,569.88,67,41.88,79.88,7061.68,67,518503,N,Y,Y,53.17,5,Y,N,74.89
2021-Q2,TP65557,Diploma,NSQF_7,1518,244488.38,291,95.41,85.13,82591.79,29,001153,Y,N,Y,90.61,39,N,Y,52.16
2019-Q4,TP48185,Apprenticeship,NSQF_4,1467,33667.72,2490,85.95,23.83,25021.67,60,227040,Y,Y,N,89.52,103,Y,N,42.08
2018-Q2,TP31969,MicroCredential,NSQF_2,517,245395.09,1806,78.08,87.88,7115.09,23,575746,N,N,N,70.56,12,N,N,81.74
2018-Q2,TP26406,Diploma,NSQF_7,1791,99524.6,1283,80.74,23.79,11455.09,14,370266,Y,Y,Y,51.67,101,N,N,99.14
2019-Q3,TP86575,SkillBadge,NSQF_4,671,229318.18,555,52.66,56.79,75319.18,25,809398,N,Y,Y,84.87,31,N,N,64.42
2018-Q1,TP87855,Certificate,NSQF_4,1436,237399.98,2250,91.87,21.84,72671.81,93,273448,N,N,N,96.2,17,N,Y,39.07
2016-Q1,TP50091,Apprenticeship,NSQF_6,1697,39064.93,2050,73.21,71.26,130163.89,29,106976,N,N,Y,52.97,7,Y,N,21.01
2020-Q3,TP43944,SkillBadge,NSQF_2,1114,89584.64,1569,90.22,13.33,81481.93,13,116983,Y,Y,Y,50.19,60,N,N,31.37
2016-Q3,TP48072,Diploma,NSQF_2,215,104537.52,462,37.93,40.68,122194.58,33,956014,N,N,Y,3.33,95,Y,Y,65.28
2019-Q4,TP61435,Apprenticeship,NSQF_7,1798,138353.22,1102,85.63,23.57,56781.53,20,620428,Y,N,Y,96.6,84,Y,Y,96.58
2016-Q1,TP33601,SkillBadge,NSQF_1,1191,141995.82,1609,89.99,7.43,110929.8,60,071274,N,Y,N,16.14,2,N,N,15.28
2016-Q2,TP13117,Apprenticeship,NSQF_5,1435,2580.36,255,49.13,87.85,135714.04,10,397779,N,N,Y,22.77,54,Y,Y,4.81
2023-Q3,TP89178,Apprenticeship,NSQF_5,1558,92763.47,505,76.98,82.86,26033.74,24,915134,Y,N,Y,70.3,64,N,Y,65.68
2022-Q4,TP22079,Diploma,NSQF_3,240,198296.81,1791,95.37,21.42,46526.6,34,118057,N,Y,Y,81.1,85,Y,Y,91.44
2019-Q4,TP74802,LicensePrep,NSQF_3,1507,49977.98,583,44.07,92.55,54738.56,63,950235,Y,N,Y,12.64,8,N,N,1.55
2018-Q1,TP40055,Apprenticeship,NSQF_6,1373,195714.25,968,87.92,62.37,44709.95,10,914501,Y,N,Y,87.94,115,N,Y,66.22
2025-Q3,TP89589,Diploma,NSQF_3,848,103345.4,336,84.42,65.25,130437.55,47,378477,Y,Y,N,4.8,8,N,N,16.37
2019-Q2,TP52940,MicroCredential,NSQF_5,1629,84160.64,821,76.66,71.63,113560.43,11,725117,N,Y,Y,61.48,36,N,N,8.6
2020-Q3,TP78992,MicroCredential,NSQF_1,802,185071.61,1626,85.4,18.64,21627.54,74,897426,N,Y,N,12.43,104,N,Y,45.6
2017-Q4,TP35231,SkillBadge,NSQF_6,736,70925.09,2162,74.73,41.91,133954.7,98,392228,Y,N,Y,69.95,18,Y,Y,68.27
2021-Q3,TP70141,SkillBadge,NSQF_5,1399,207053.3,654,85.71,93.64,40277.12,74,306317,N,Y,N,66.5,110,N,Y,76.11
2021-Q2,TP59085,LicensePrep,NSQF_4,224,112001.28,1518,66.23,27.03,113507.59,73,411225,N,N,Y,67.3,35,N,Y,6.48
2025-Q2,TP76732,Certificate,NSQF_4,1068,229101.22,1101,67.59,35.28,70912.11,63,941407,Y,Y,N,67.61,120,Y,N,70.93
2022-Q2,TP59656,Apprenticeship,NSQF_4,853,7279.53,1567,93.27,1.4,137811.22,51,903449,N,N,N,64.88,48,N,N,94.8
2023-Q4,TP29502,SkillBadge,NSQF_4,786,187823.56,1429,83.32,4.1,37135.41,82,915552,Y,N,Y,25.78,93,N,N,66.46
2018-Q4,TP22512,LicensePrep,NSQF_3,1238,210699.77,687,89.11,20.54,17208.81,63,304787,N,Y,N,27.97,91,N,Y,7.56
2024-Q2,TP17797,Certificate,NSQF_3,1306,171685.83,2216,74.89,82.07,39344.63,96,682814,N,Y,N,14.45,46,Y,Y,96.44
2017-Q3,TP71248,SkillBadge,NSQF_3,1504,205609.34,854,63.31,10.13,76496.12,66,836170,N,N,Y,85.21,76,Y,Y,61.82
2019-Q4,TP71493,SkillBadge,NSQF_7,928,231470.17,26,3.16,93.59,100070.62,92,465103,N,Y,N,80.27,101,Y,N,21.63
2024-Q2,TP23530,Diploma,NSQF_5,1543,142595.15,1599,98.4,48.03,134192.79,60,122965,N,Y,N,42.73,76,N,Y,43.07
2023-Q4,TP14614,Apprenticeship,NSQF_5,1242,13213.75,2294,83.03,24.03,8832.29,03,980409,Y,N,Y,85.0,71,Y,Y,63.39
2023-Q3,TP97068,Certificate,NSQF_1,1578,143739.3,816,86.9,35.7,120178.22,81,790253,N,Y,N,87.5,92,Y,Y,21.02
2021-Q4,TP77938,Apprenticeship,NSQF_3,1071,52793.43,680,70.76,36.91,54888.41,50,567484,N,Y,Y,35.92,28,N,N,65.25
2022-Q1,TP28276,MicroCredential,NSQF_6,1219,11510.96,2041,91.69,37.73,118145.42,34,880938,N,Y,N,87.32,16,Y,N,33.4
2023-Q4,TP10832,MicroCredential,NSQF_6,1488,242944.29,2114,92.56,59.23,87369.51,22,114191,N,N,Y,75.28,79,Y,N,46.33
2017-Q3,TP31614,LicensePrep,NSQF_2,982,167465.63,870,99.54,90.42,114772.64,37,086386,N,N,Y,97.02,47,Y,N,50.67
2022-Q1,TP25972,SkillBadge,NSQF_5,427,184895.8,2206,81.64,35.41,37178.44,37,426207,Y,N,N,67.88,10,Y,Y,74.63
2022-Q1,TP22802,Apprenticeship,NSQF_2,208,190920.89,1735,83.53,74.26,11749.71,44,277035,Y,Y,Y,0.92,19,Y,Y,27.8
2021-Q1,TP36455,Apprenticeship,NSQF_5,675,37330.19,1445,88.6,28.88,79412.26,19,803051,Y,N,Y,40.5,34,Y,N,69.39
2018-Q3,TP23689,Apprenticeship,NSQF_2,231,166453.45,1829,81.54,77.62,134960.08,63,792641,Y,N,Y,95.34,87,Y,Y,21.2
2018-Q2,TP38698,Certificate,NSQF_3,425,215934.71,105,21.78,60.01,129210.1,66,770649,Y,N,Y,64.42,51,Y,Y,28.44
2018-Q4,TP14849,LicensePrep,NSQF_1,23,161935.46,499,65.31,16.49,10814.54,96,705540,N,Y,Y,3.61,108,Y,Y,96.93
2018-Q1,TP14423,MicroCredential,NSQF_3,1406,168353.58,1457,73.47,5.27,99144.26,58,523233,Y,N,N,59.72,35,N,N,25.59
2018-Q3,TP45354,SkillBadge,NSQF_3,266,95114.79,1818,73.93,20.54,54784.0,76,937302,Y,N,N,87.52,16,N,N,53.27
2023-Q4,TP50455,LicensePrep,NSQF_7,87,137501.13,1043,68.26,38.06,66178.57,21,340314,Y,N,Y,58.2,109,Y,Y,72.48
2025-Q2,TP48198,SkillBadge,NSQF_7,475,37926.03,1065,74.22,19.59,106626.14,54,697410,Y,N,Y,87.9,99,N,Y,14.93
2020-Q3,TP50616,Diploma,NSQF_4,527,208681.3,866,74.33,80.75,70567.46,46,739228,Y,Y,N,69.35,8,N,Y,32.81
2021-Q3,TP42539,Certificate,NSQF_2,1539,59971.19,2007,83.45,75.8,50710.79,35,480198,N,N,N,32.03,107,N,Y,65.4
2019-Q1,TP31967,Apprenticeship,NSQF_5,1680,45639.88,760,59.24,45.1,23883.67,63,701260,Y,N,Y,72.67,38,Y,N,68.48
2022-Q1,TP10863,SkillBadge,NSQF_6,83,157311.96,36,5.99,54.98,52651.61,97,927248,Y,Y,N,47.62,86,Y,Y,73.41
2019-Q1,TP22510,MicroCredential,NSQF_2,12,119254.24,2132,85.31,73.23,36691.76,82,238180,Y,N,Y,41.99,77,N,N,77.78
2025-Q1,TP67585,Diploma,NSQF_3,242,71011.72,2154,77.15,59.4,58245.73,59,405416,Y,Y,Y,24.62,84,Y,Y,42.52
2017-Q2,TP70941,SkillBadge,NSQF_4,78,182814.77,2412,86.67,61.14,94559.85,23,512845,Y,Y,N,88.76,9,N,Y,37.92
2024-Q3,TP52177,Apprenticeship,NSQF_1,1160,107938.59,310,44.73,51.82,114679.42,38,902048,Y,N,Y,78.82,22,N,N,97.31
2021-Q2,TP87384,MicroCredential,NSQF_3,450,63968.5,41,10.35,38.51,105560.42,94,042926,Y,N,N,83.52,8,N,N,33.35
2025-Q1,TP52121,Certificate,NSQF_6,1363,45785.94,2379,83.01,66.66,83171.34,31,502132,N,Y,Y,85.04,76,Y,N,73.48
2021-Q4,TP26771,Apprenticeship,NSQF_1,85,215399.67,1217,97.67,80.52,58696.16,24,376412,Y,N,Y,11.17,105,N,N,4.32
2024-Q2,TP87727,MicroCredential,NSQF_4,30,122264.93,1687,90.85,28.99,14732.3,63,411159,N,N,Y,75.61,23,Y,N,99.75
2017-Q4,TP84865,LicensePrep,NSQF_1,796,209932.67,1322,68.89,89.8,99878.76,54,837164,N,Y,Y,68.94,52,Y,Y,15.14
2019-Q2,TP81110,Diploma,NSQF_1,540,38717.44,1291,79.11,9.0,112460.98,76,068609,N,N,N,45.71,52,Y,Y,76.07
2020-Q1,TP28176,Diploma,NSQF_5,271,233477.9,1537,86.15,34.33,68472.96,28,354704,Y,Y,Y,62.25,108,Y,Y,32.19
2024-Q4,TP65124,LicensePrep,NSQF_1,1359,33987.31,114,28.43,7.48,11147.96,34,317026,Y,N,Y,27.17,68,Y,Y,50.73
2024-Q2,TP53965,SkillBadge,NSQF_5,487,118024.84,353,30.67,63.11,49816.54,93,945413,Y,Y,Y,41.55,96,N,N,93.48
2019-Q3,TP74936,LicensePrep,NSQF_6,649,144201.25,1901,94.44,40.12,69497.74,20,164705,N,N,Y,58.39,104,N,Y,76.21
2021-Q4,TP93687,LicensePrep,NSQF_4,268,35938.03,4,3.1,84.19,69962.51,02,113804,Y,N,N,13.7,44,Y,Y,75.87
2023-Q3,TP38259,Apprenticeship,NSQF_7,352,171597.36,16,2.14,1.42,19279.59,14,790665,N,Y,Y,8.55,58,N,N,55.47
2025-Q1,TP16396,SkillBadge,NSQF_7,1033,235618.77,2188,85.2,17.62,8080.9,15,326229,Y,N,N,43.08,97,N,N,61.84
2017-Q4,TP35505,Diploma,NSQF_7,1069,175942.29,2443,75.45,63.7,35051.41,68,783885,N,N,Y,91.13,57,Y,N,49.87
2016-Q2,TP32353,LicensePrep,NSQF_6,1476,151659.31,1018,69.68,74.96,126799.47,28,509975,N,Y,N,53.59,45,N,N,8.77
2023-Q1,TP47994,Diploma,NSQF_2,1303,235142.79,2221,96.11,17.53,28332.19,91,600399,Y,Y,Y,3.12,76,Y,N,23.14
2016-Q3,TP36646,SkillBadge,NSQF_3,1744,77892.82,195,61.9,87.13,15418.84,45,309136,N,Y,N,7.95,111,N,N,90.24
2022-Q2,TP25670,Diploma,NSQF_5,940,235842.54,1828,93.46,50.78,54269.3,10,700728,Y,N,N,26.48,81,Y,N,77.53
2020-Q3,TP89755,Apprenticeship,NSQF_5,918,27722.97,1368,91.08,25.21,72653.67,03,093683,N,N,Y,39.04,6,Y,Y,56.42
2023-Q2,TP68581,Diploma,NSQF_4,1206,31445.28,480,48.24,63.19,100732.1,94,392934,Y,Y,Y,96.47,48,Y,N,72.17
2023-Q3,TP57667,LicensePrep,NSQF_2,1345,168945.02,682,54.3,39.0,76781.88,32,152960,N,N,N,63.26,67,Y,N,72.63
2023-Q3,TP33109,SkillBadge,NSQF_2,36,124459.76,861,68.28,73.63,136383.09,65,611360,Y,N,Y,57.98,94,N,Y,43.32
2021-Q1,TP23164,SkillBadge,NSQF_6,675,190408.87,1704,75.17,87.42,125370.61,50,822216,Y,Y,N,22.39,97,Y,N,88.62
2023-Q1,TP17073,LicensePrep,NSQF_2,1373,4929.67,413,72.58,71.31,55674.6,16,562049,Y,Y,Y,44.07,52,Y,N,80.34
2019-Q4,TP13487,Certificate,NSQF_3,533,54447.78,1908,71.86,88.63,37071.72,80,777216,N,N,Y,50.09,11,Y,Y,24.96
2020-Q2,TP43389,Apprenticeship,NSQF_4,1180,25704.44,710,64.9,88.35,35889.46,82,285043,Y,N,Y,68.27,43,Y,Y,58.8
2020-Q2,TP35500,LicensePrep,NSQF_7,1567,162541.98,72,76.6,79.82,42203.83,46,872489,N,Y,N,77.37,2,N,Y,53.34
2016-Q3,TP75752,LicensePrep,NSQF_3,1617,201262.07,1019,88.0,64.24,119435.47,81,454353,N,N,Y,13.09,15,N,Y,33.63
2017-Q2,TP71330,Apprenticeship,NSQF_3,799,90432.8,55,19.43,78.95,60958.34,22,349643,N,Y,N,12.87,109,N,N,88.43
2016-Q2,TP48361,SkillBadge,NSQF_2,1068,154075.92,1065,63.32,21.19,37045.35,04,131833,N,N,Y,92.88,57,N,Y,90.23
2025-Q1,TP55284,LicensePrep,NSQF_6,1176,174932.74,194,26.83,73.03,33922.69,89,318060,Y,Y,N,0.77,111,N,Y,29.39
2020-Q1,TP35345,Apprenticeship,NSQF_1,889,73311.24,325,80.85,22.77,138463.07,87,357200,N,Y,N,94.32,47,Y,Y,77.03
2025-Q3,TP78658,Certificate,NSQF_4,919,137441.51,1538,85.54,93.56,30382.89,31,873043,N,N,N,62.24,52,N,Y,57.92
2020-Q1,TP70083,Apprenticeship,NSQF_4,1324,19373.16,767,88.47,25.41,118446.14,40,087942,N,N,N,6.04,67,N,N,42.53
2019-Q3,TP69349,Diploma,NSQF_1,288,133289.62,225,23.86,77.43,32005.27,06,371899,Y,N,N,91.56,84,Y,Y,50.28
2021-Q4,TP28262,MicroCredential,NSQF_5,1500,61641.14,715,63.27,83.16,129226.99,03,478269,Y,Y,Y,27.71,75,Y,N,39.02
2022-Q4,TP12219,Apprenticeship,NSQF_6,20,30607.79,2142,94.36,54.41,67275.83,03,249902,N,Y,N,27.45,82,Y,N,42.51
2024-Q3,TP36305,SkillBadge,NSQF_6,412,5699.12,886,96.51,12.7,102340.73,19,834092,N,N,Y,15.4,93,Y,Y,58.62
2016-Q4,TP35013,Certificate,NSQF_5,1036,223974.13,1403,80.22,38.65,24445.3,90,535831,N,Y,Y,57.82,82,Y,N,82.93
2020-Q1,TP33873,MicroCredential,NSQF_7,530,25174.38,951,91.8,27.45,45569.19,47,932981,N,Y,Y,11.6,117,N,N,39.29
2024-Q4,TP42933,MicroCredential,NSQF_5,1258,36451.43,641,69.0,63.08,19952.61,64,094180,Y,Y,Y,62.61,40,N,Y,26.75
2024-Q1,TP66987,Apprenticeship,NSQF_3,677,165955.54,2362,76.74,52.81,19048.81,79,624829,Y,N,Y,13.32,49,Y,Y,19.99
2020-Q1,TP35276,Certificate,NSQF_2,790,168257.52,668,63.56,39.34,71362.81,95,707023,N,N,N,28.69,20,N,Y,83.78
2025-Q4,TP66185,Apprenticeship,NSQF_1,455,211975.15,868,65.51,58.81,49492.52,42,540890,N,N,Y,42.02,100,Y,Y,76.47
2016-Q1,TP48844,Apprenticeship,NSQF_6,87,220664.97,1794,70.11,30.02,10350.46,09,121484,Y,N,N,50.64,11,N,Y,89.98
2021-Q4,TP34975,MicroCredential,NSQF_2,68,114306.32,2154,74.95,54.65,128802.32,53,667967,Y,Y,N,77.74,72,Y,Y,62.43
2017-Q2,TP64335,MicroCredential,NSQF_2,1458,66680.01,2387,83.67,40.53,130729.48,16,750452,N,N,N,37.53,97,Y,N,3.88
2021-Q2,TP71275,Certificate,NSQF_1,552,231316.75,792,55.5,0.5,50159.9,16,812595,N,Y,N,7.19,23,Y,N,13.77
2024-Q3,TP20127,LicensePrep,NSQF_7,1308,226278.83,1187,73.77,42.64,31295.43,04,368925,Y,N,N,82.9,64,N,Y,97.84
2023-Q4,TP68399,SkillBadge,NSQF_7,828,62275.66,1700,96.48,57.34,22017.47,24,698409,N,N,Y,21.28,12,N,Y,78.42
2022-Q3,TP79593,Apprenticeship,NSQF_4,1112,77807.35,102,60.0,3.82,51572.42,19,597131,Y,N,N,97.81,84,Y,N,73.88
2018-Q1,TP14062,MicroCredential,NSQF_1,844,86628.05,387,33.59,19.14,114618.3,20,263482,Y,Y,Y,78.77,12,N,N,69.08
2024-Q4,TP56404,Diploma,NSQF_6,582,152469.91,834,57.05,18.22,133325.3,44,866070,N,Y,Y,15.44,69,N,N,29.32
2017-Q3,TP29823,Certificate,NSQF_3,649,116443.33,1618,72.04,75.84,136293.16,68,655324,Y,Y,N,90.36,25,N,N,11.63
2025-Q1,TP97455,Diploma,NSQF_3,829,80918.59,1445,82.71,38.44,36167.45,46,461975,Y,Y,Y,50.62,28,Y,Y,51.44
2018-Q4,TP33365,Certificate,NSQF_2,592,38958.75,1835,99.24,16.95,35823.09,35,775574,Y,N,N,79.19,112,Y,Y,32.17
2018-Q1,TP82566,Diploma,NSQF_7,1362,127590.26,2387,90.62,10.61,110233.44,99,160112,Y,Y,N,68.79,55,Y,N,38.3
2020-Q1,TP88787,LicensePrep,NSQF_7,1313,174310.92,15,2.58,83.27,76629.29,47,992204,Y,N,Y,24.25,55,Y,Y,84.27
2022-Q1,TP26368,Certificate,NSQF_4,642,78868.4,1703,86.27,5.27,49189.24,57,968073,N,N,Y,66.87,92,N,Y,49.95
2024-Q1,TP60481,Diploma,NSQF_7,1055,99111.13,146,20.51,37.17,84168.68,94,032655,N,Y,N,92.99,79,Y,N,94.08
2021-Q3,TP83969,Diploma,NSQF_1,14,153524.93,552,44.48,27.08,111786.74,33,254559,N,N,N,94.37,4,N,Y,3.06
2021-Q4,TP97042,Diploma,NSQF_2,601,99353.96,2067,92.28,50.53,16024.25,39,921511,N,N,Y,27.17,16,Y,Y,65.21
2017-Q4,TP31336,MicroCredential,NSQF_6,1445,146537.96,2220,76.16,63.33,119542.14,60,382938,Y,Y,Y,5.3,78,N,N,20.74
2017-Q3,TP68243,LicensePrep,NSQF_6,634,230192.25,1408,64.47,30.01,51751.87,29,578584,N,Y,Y,20.67,2,Y,Y,63.59
2024-Q2,TP49230,MicroCredential,NSQF_5,794,183837.74,1431,76.77,73.09,108734.13,69,725391,N,Y,Y,28.31,92,Y,N,49.42
2017-Q3,TP59626,MicroCredential,NSQF_6,749,53961.36,2101,86.82,2.57,37116.67,30,448950,Y,Y,Y,25.86,111,Y,N,48.1
2024-Q2,TP41290,Certificate,NSQF_2,392,30407.66,1908,82.03,39.24,79839.05,70,118149,Y,N,N,3.09,105,Y,N,13.6
2018-Q2,TP42853,Diploma,NSQF_5,1485,22567.85,1024,83.18,17.91,135600.65,94,699180,Y,N,Y,45.16,71,N,Y,67.4
2023-Q3,TP23182,LicensePrep,NSQF_5,1652,32560.85,2289,74.76,0.88,10927.94,52,958406,N,Y,N,76.99,15,N,N,5.6
2021-Q3,TP13171,SkillBadge,NSQF_1,572,37032.05,1046,89.33,28.92,46383.01,98,621769,N,Y,N,96.35,100,N,N,85.67
2019-Q2,TP89233,LicensePrep,NSQF_2,343,129276.5,504,87.35,43.32,14897.3,42,488576,Y,N,Y,89.04,74,Y,Y,31.18
2021-Q3,TP88051,SkillBadge,NSQF_6,1576,81387.98,2151,94.59,58.4,76929.49,81,477185,Y,N,Y,58.77,72,Y,Y,39.66
2016-Q1,TP38046,LicensePrep,NSQF_7,764,134694.08,1103,93.87,15.77,112014.85,22,428211,Y,Y,Y,15.85,96,N,N,57.12
2018-Q4,TP62471,SkillBadge,NSQF_4,1774,192301.81,482,40.5,24.07,133457.1,17,392052,N,N,N,52.38,39,N,Y,9.33
2020-Q4,TP50735,LicensePrep,NSQF_2,1528,16045.58,1900,96.25,74.84,94152.56,36,605405,Y,Y,N,20.37,112,N,N,30.82
2016-Q2,TP36660,Certificate,NSQF_3,1578,65690.94,2368,81.23,33.2,105845.17,72,317931,Y,Y,N,45.59,10,Y,N,93.43
2019-Q3,TP59088,Certificate,NSQF_4,258,155880.62,1431,83.39,85.37,123153.16,74,488525,N,Y,N,62.25,13,Y,N,16.0
2018-Q3,TP52084,SkillBadge,NSQF_7,1328,212063.6,1552,72.97,59.62,92297.14,86,443179,N,N,N,53.26,32,Y,N,55.47
2018-Q3,TP38917,SkillBadge,NSQF_2,1638,108443.3,1655,75.4,94.35,86471.91,40,374134,N,N,Y,4.21,65,N,Y,94.59
2022-Q4,TP63780,LicensePrep,NSQF_4,173,67724.7,482,49.9,32.81,133918.31,62,716549,Y,Y,Y,83.25,85,Y,N,83.18
2022-Q4,TP59233,Apprenticeship,NSQF_5,410,74023.97,1973,81.5,94.03,54405.88,78,240419,N,Y,Y,59.17,116,N,Y,90.02
2018-Q3,TP72262,SkillBadge,NSQF_2,489,39012.63,602,80.16,18.21,8676.57,87,863699,N,N,N,45.96,114,Y,Y,77.72
2017-Q3,TP29419,MicroCredential,NSQF_4,325,5908.9,1641,67.64,12.43,18948.48,41,159877,N,N,Y,10.44,96,Y,Y,76.62
2020-Q2,TP44289,Apprenticeship,NSQF_7,840,231794.48,1960,71.95,24.85,85345.02,87,674191,N,N,Y,15.88,22,Y,Y,91.02
2017-Q2,TP14751,SkillBadge,NSQF_1,1055,238297.24,964,86.15,82.78,125086.37,03,027458,Y,Y,Y,51.94,20,N,N,90.75
2022-Q4,TP21260,Diploma,NSQF_3,1553,204233.52,226,30.5,19.02,119147.7,83,339092,N,Y,N,98.13,17,N,N,80.67
2022-Q2,TP48099,Certificate,NSQF_1,1037,44869.65,1612,75.82,57.83,134028.05,85,286886,N,N,Y,31.55,102,Y,Y,70.18
2018-Q4,TP17612,Diploma,NSQF_6,184,233513.18,292,46.79,22.31,139634.7,72,355713,Y,Y,N,99.36,116,Y,Y,96.35
2016-Q1,TP71412,SkillBadge,NSQF_3,449,193340.9,2429,75.65,12.61,108971.46,22,449641,N,Y,N,31.58,0,N,N,33.18
2023-Q3,TP85696,SkillBadge,NSQF_6,1607,153300.58,2114,94.33,39.88,81126.57,79,349092,N,Y,Y,29.96,112,N,N,0.82
2023-Q2,TP58154,Certificate,NSQF_5,1210,91919.89,6,10.17,38.86,88680.73,38,990723,N,N,N,35.5,84,Y,Y,90.18
2022-Q3,TP92504,Diploma,NSQF_1,749,93301.46,1575,74.4,74.0,79968.64,34,878187,N,N,N,73.44,94,N,Y,51.95
2025-Q4,TP85316,Certificate,NSQF_1,469,93638.21,756,80.94,1.44,57044.72,33,150754,N,Y,N,29.86,110,N,N,61.19
2018-Q1,TP29110,LicensePrep,NSQF_7,1332,82974.73,2308,87.59,53.01,36775.71,99,475651,N,N,Y,22.83,102,N,N,26.68
2020-Q4,TP79755,SkillBadge,NSQF_7,1369,26016.9,2089,78.42,85.47,23839.11,51,712281,Y,N,Y,8.84,49,N,Y,19.44
2021-Q3,TP14419,Apprenticeship,NSQF_5,707,183850.76,336,45.71,39.42,17431.07,30,334083,Y,N,N,4.6,98,N,Y,69.21
2017-Q4,TP60201,LicensePrep,NSQF_5,196,15099.41,2030,90.83,88.64,121025.09,42,930476,N,Y,Y,45.02,117,N,Y,38.23
2019-Q3,TP86828,LicensePrep,NSQF_7,73,29682.53,1764,89.91,20.88,79963.08,43,288859,Y,N,Y,97.93,6,Y,N,59.18
2025-Q4,TP95345,Diploma,NSQF_3,1730,11544.97,1821,70.99,64.81,96684.32,14,665378,N,Y,Y,39.96,80,Y,N,44.99
2020-Q1,TP87774,SkillBadge,NSQF_1,628,81151.09,42,47.19,51.33,65717.59,19,704925,N,N,N,68.11,16,Y,Y,90.28
2025-Q2,TP44949,MicroCredential,NSQF_1,512,110438.48,2002,78.42,6.51,6696.82,06,253760,Y,Y,Y,40.01,93,N,Y,81.86
2016-Q3,TP47252,MicroCredential,NSQF_2,736,219839.47,2456,92.3,78.95,139311.06,82,790659,Y,N,N,71.13,120,N,N,72.36
2022-Q4,TP82914,Certificate,NSQF_2,648,137180.63,408,54.18,25.03,68084.73,57,325015,Y,N,N,64.15,66,Y,N,15.24
2020-Q1,TP11437,Certificate,NSQF_6,1187,225492.89,2052,81.14,33.59,93439.64,07,756580,Y,Y,N,47.75,89,N,Y,44.04
2023-Q4,TP89335,SkillBadge,NSQF_5,1014,75898.51,2261,93.58,38.97,94371.16,22,271340,N,N,Y,20.01,106,N,N,97.41
2021-Q4,TP70043,MicroCredential,NSQF_6,1399,1283.3,1282,96.1,11.03,43013.72,31,118599,Y,Y,N,43.6,104,N,Y,74.18
