qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_km_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2025,SA5324,17.79,398,0.1,80,14.08,48,183235,94,117,609,32.68,73,425,176314,4.91,34.65,99.5,0.634
2023,SA6450,6.38,306,0.9,20,8.5,5,226955,100,12,304,10.3,26,115,236468,40.29,16.62,26.2,0.155
2025,SA4141,15.25,7,25.5,30,1.59,41,152919,114,65,808,61.26,32,619,211492,49.5,63.85,78.8,0.48
2017,SA1344,4.67,210,190.2,76,11.68,1,152484,241,22,566,67.33,22,3,68625,26.01,84.89,29.7,0.452
2018,SA5454,7.36,210,235.9,71,1.95,34,159635,80,44,76,4.17,57,197,161537,17.81,19.66,30.9,0.829
2026,SA8743,2.91,154,251.2,12,22.12,2,128013,119,119,313,13.57,74,218,168939,47.03,57.62,56.0,0.905
2025,SA8555,2.25,3,878.6,111,12.47,25,195785,198,72,687,13.85,48,406,238362,11.07,12.45,11.2,0.651
2018,SA5866,7.7,65,506.6,67,24.01,6,103807,218,81,582,67.96,40,381,209339,20.31,70.01,46.0,0.109
2021,SA3567,20.85,92,409.0,52,6.85,58,119931,54,35,189,58.96,60,608,115509,50.55,30.46,59.7,0.434
2016,SA8037,0.62,305,456.8,75,13.81,17,221850,58,8,288,21.27,39,5,6787,32.73,82.22,57.2,0.307
2023,SA6833,14.44,191,648.1,88,10.56,34,135041,219,70,617,14.04,51,16,238421,15.97,56.39,97.8,0.671
2017,SA2616,18.35,226,445.7,12,4.97,17,211698,16,55,47,69.83,24,282,2061,39.67,49.83,8.5,0.822
2016,SA4476,15.15,59,424.1,51,3.24,15,87700,171,61,660,59.98,10,631,182203,14.88,48.42,39.4,0.316
2020,SA9096,12.7,291,465.3,30,17.02,49,177236,204,37,334,52.46,23,529,225116,6.27,99.3,3.4,0.365
2023,SA4485,20.11,178,131.7,54,5.1,28,195947,82,108,437,5.4,65,113,134996,34.01,60.16,97.0,0.12
2020,SA1785,19.8,401,271.6,33,11.96,7,103154,138,45,479,0.77,16,46,104477,27.36,87.49,74.0,0.161
2026,SA4005,7.5,329,808.5,6,10.27,33,157480,238,53,781,0.93,62,44,89927,12.66,69.14,47.6,0.746
2022,SA5637,1.13,368,337.3,38,20.29,11,16923,107,18,283,12.45,69,146,152127,14.11,38.75,19.6,0.604
2016,SA1521,7.5,415,330.1,69,5.53,40,21226,33,42,381,51.58,53,560,103178,4.48,66.48,46.0,0.569
2026,SA4145,20.17,420,690.4,57,9.73,4,126149,151,79,187,10.14,37,499,186063,8.11,44.97,28.2,0.928
2021,SA6776,13.15,378,512.3,93,5.98,24,118443,204,67,649,57.48,4,299,176399,36.36,77.26,48.3,0.906
2026,SA6749,7.92,385,383.6,44,18.65,26,6736,215,20,0,33.72,42,133,115787,27.04,37.58,90.9,0.564
2016,SA6466,19.99,273,403.8,44,21.34,58,3205,42,93,179,74.95,61,16,143180,49.21,30.99,97.3,0.828
2019,SA3095,13.97,261,408.5,62,24.7,27,244508,95,27,602,25.01,67,40,41321,13.9,5.52,76.8,0.41
2024,SA5417,12.74,33,385.0,109,5.59,35,179943,7,32,800,19.44,63,572,241746,40.91,71.72,4.6,0.134
2016,SA9989,15.02,366,123.1,62,24.09,38,76968,139,16,657,17.57,38,73,234350,28.95,61.41,20.0,0.145
2024,SA1206,17.41,123,70.2,16,23.13,33,34912,81,24,360,17.66,36,364,213953,19.23,35.66,15.7,0.66
2026,SA1749,24.56,393,821.2,67,0.85,27,91031,98,40,316,34.43,10,263,197087,24.25,17.08,97.2,0.351
2018,SA9593,7.07,286,293.2,26,6.53,9,162060,249,44,686,28.98,63,354,46334,18.2,70.03,62.6,0.6
2023,SA5752,7.42,153,489.6,72,12.06,7,202687,196,9,635,48.87,26,511,45572,38.12,20.78,67.9,0.161
2016,SA8394,1.88,54,409.1,42,24.28,33,202867,202,83,106,23.88,74,100,46294,38.91,34.55,23.2,0.178
2016,SA7661,3.8,426,328.2,79,10.98,59,105142,111,34,279,12.87,50,188,71847,38.1,0.32,71.0,0.555
2022,SA1023,5.13,255,437.2,111,21.94,14,18867,36,117,768,20.17,17,122,92966,28.74,57.11,46.2,0.87
2022,SA4992,12.51,121,36.9,44,21.33,5,209645,31,74,272,71.76,3,461,49261,45.76,87.12,75.1,0.472
2024,SA8735,17.54,425,279.6,21,14.22,2,178108,23,77,307,4.49,30,52,240060,41.93,24.09,61.5,0.24
2019,SA7947,16.23,146,463.0,10,22.29,44,34915,172,47,107,54.74,27,264,18746,52.22,10.55,99.3,0.126
2017,SA8602,12.91,304,858.4,8,8.97,7,229704,143,15,779,20.98,10,337,249740,16.83,65.58,49.4,0.743
2018,SA8832,17.5,4,296.9,4,21.39,48,30745,70,29,97,56.49,13,273,247096,13.9,43.49,2.0,0.992
2022,SA3810,24.27,266,120.9,102,8.85,34,215800,24,29,513,17.21,36,239,154987,38.8,26.7,31.3,0.668
2026,SA3917,21.99,226,429.3,34,14.12,45,78948,22,96,333,62.32,0,139,71564,5.32,80.6,19.1,0.458
2023,SA8444,23.32,300,311.5,104,15.37,29,237193,74,0,408,50.22,73,13,128130,8.23,89.46,15.5,0.764
2022,SA7297,16.89,423,268.8,93,7.53,6,116508,237,97,217,57.09,56,648,210709,14.98,77.02,48.1,0.182
2019,SA4909,6.9,208,351.4,80,7.29,42,141959,181,13,542,1.16,17,509,95662,26.14,35.46,90.1,0.123
2019,SA1303,24.62,399,566.6,28,6.9,29,31178,14,43,406,37.82,70,525,88008,42.44,70.12,32.7,0.14
2017,SA3987,8.7,200,550.9,84,23.2,41,201529,129,13,532,24.95,33,372,54342,45.11,4.02,70.9,0.154
2022,SA8540,16.7,280,15.7,72,2.5,45,17326,119,31,892,23.6,18,302,140453,50.63,10.57,89.9,0.891
2023,SA2909,13.34,252,755.1,37,15.16,50,96070,175,25,569,23.2,53,625,17069,3.97,61.41,73.6,0.181
2021,SA4077,3.19,392,366.3,102,10.44,23,1294,225,62,817,52.35,0,254,213728,42.07,24.01,68.0,0.467
2022,SA5784,23.49,320,437.4,25,17.42,2,103036,9,65,799,58.33,25,359,73958,28.0,14.78,47.5,0.693
2019,SA4851,24.06,199,690.3,40,14.75,39,232736,162,36,614,36.92,71,544,187316,17.11,68.17,71.8,0.984
2020,SA1431,6.59,27,226.3,46,11.11,10,177969,64,15,635,70.13,12,335,41717,25.0,3.24,48.7,0.227
2026,SA4065,17.18,321,799.8,96,14.33,53,43042,99,63,217,6.34,52,43,140461,13.01,66.78,76.7,0.582
2020,SA7865,1.14,307,193.0,18,10.12,37,58911,89,27,587,27.1,40,141,49255,22.84,85.76,66.1,0.104
2019,SA2252,17.08,341,403.5,61,4.32,42,18146,220,77,836,23.93,69,640,132894,51.52,21.72,81.3,0.002
2023,SA5099,8.33,203,24.5,61,9.57,25,93574,184,55,578,25.53,62,552,14282,42.7,50.79,95.0,0.818
2019,SA4107,10.61,415,836.8,64,9.49,15,178421,159,23,13,71.92,0,646,6609,29.81,66.77,37.4,0.662
2017,SA9794,4.92,445,846.4,108,8.25,41,43116,69,61,42,40.0,74,306,184048,27.07,29.26,92.8,0.534
2018,SA7647,9.82,335,492.2,1,23.37,15,108790,220,94,745,74.92,23,240,127671,28.99,74.03,59.6,0.293
2020,SA4968,23.51,444,361.4,60,1.45,30,148731,247,7,565,10.07,45,117,31836,6.96,29.48,7.1,0.297
2024,SA6273,4.91,356,304.1,55,4.55,49,42761,35,105,721,43.18,16,313,214610,3.64,31.2,56.7,0.918
2016,SA8025,12.72,95,220.5,103,23.08,20,138826,220,95,5,55.91,79,14,168458,13.81,44.63,76.6,0.887
2023,SA6874,24.67,272,201.9,37,13.98,59,165924,226,85,251,54.5,10,201,20813,52.59,79.5,81.5,0.365
2022,SA8950,23.41,81,132.5,10,16.07,55,83966,146,117,297,46.04,40,232,246419,15.06,55.37,24.5,0.589
2025,SA5773,4.58,57,247.2,113,16.61,53,174858,157,63,894,2.11,39,625,243805,53.21,86.84,80.6,0.183
2026,SA9838,11.49,183,572.7,24,4.3,55,172880,237,100,334,2.39,33,171,148330,50.83,88.56,63.8,0.768
2025,SA5506,0.62,293,159.4,91,19.37,44,235183,71,76,45,26.65,2,333,19167,38.23,50.84,53.4,0.416
2020,SA7250,4.32,286,354.0,56,20.6,21,189719,23,55,724,4.1,76,123,78789,28.05,9.0,79.6,0.04
2020,SA9055,5.22,145,812.3,1,4.95,28,111702,249,47,765,79.09,5,592,52242,46.87,17.68,3.7,0.444
2018,SA9032,10.03,188,612.9,21,17.7,4,60637,66,59,806,49.41,0,149,246892,39.51,68.03,42.1,0.026
2025,SA2821,11.49,253,478.0,24,22.05,33,208038,70,115,725,19.76,37,478,157804,24.88,5.17,17.6,0.532
2020,SA6794,24.61,49,501.7,110,5.34,36,72360,224,60,562,36.19,57,444,229792,25.78,14.19,74.1,0.533
2017,SA9489,6.18,269,225.5,105,5.65,29,135710,151,114,899,69.98,69,535,133337,8.87,94.87,13.5,0.835
2019,SA1314,23.0,438,881.9,64,9.72,57,180323,122,43,460,58.67,51,161,11454,17.44,35.63,73.2,0.55
2016,SA4239,9.02,415,288.4,88,23.83,15,39117,237,33,880,21.94,38,204,168092,37.17,72.85,62.9,0.892
2026,SA7439,17.09,112,633.7,0,19.23,55,54359,152,67,215,39.47,27,106,177964,51.56,13.11,1.3,0.522
2022,SA5611,4.72,381,386.3,70,22.8,13,66781,229,22,454,6.91,15,392,65510,15.32,61.48,54.0,0.039
2022,SA9178,12.1,5,163.7,33,7.28,11,195987,40,57,365,79.58,53,412,49967,53.17,10.48,79.4,0.44
2022,SA5484,19.73,44,864.2,63,15.12,51,173919,134,50,220,60.57,38,555,135146,8.15,86.95,6.6,0.987
2018,SA9392,4.43,322,408.1,96,11.75,35,1777,40,28,358,70.56,65,522,17338,5.65,15.72,50.9,0.418
2019,SA7447,14.1,299,584.2,93,5.38,43,6558,61,14,66,25.16,46,380,28662,19.23,84.12,94.6,0.548
2024,SA1697,17.89,247,590.9,75,5.28,14,36431,97,72,474,55.17,39,367,217622,34.59,69.42,22.4,0.261
2024,SA8842,7.0,240,318.8,117,22.5,38,192393,0,67,217,69.75,78,347,224854,31.17,15.07,98.4,0.97
2018,SA9878,16.83,3,215.5,87,21.02,30,38281,96,35,809,52.34,47,529,137816,21.44,35.31,45.1,0.254
2025,SA1964,8.09,100,631.6,82,2.97,17,44174,96,102,434,2.51,68,484,199487,7.91,25.12,43.5,0.562
2016,SA2546,0.24,393,412.6,74,5.49,19,37380,238,23,415,68.59,43,205,145298,27.67,99.89,60.8,0.118
2019,SA6236,10.64,28,770.6,58,6.43,47,236798,139,49,139,67.23,47,530,160111,22.41,7.04,71.3,0.151
2018,SA8528,10.56,34,493.3,98,21.56,20,91304,181,64,29,37.46,45,590,245474,16.74,90.99,59.7,0.716
2021,SA5845,21.17,296,361.8,52,3.82,51,85521,20,41,832,46.4,38,316,155579,52.39,7.24,46.1,0.482
2025,SA2748,14.25,154,859.5,24,1.76,58,161233,105,6,688,55.88,40,201,29106,39.81,93.07,30.5,0.98
2020,SA9474,10.88,218,192.3,116,4.8,58,216995,73,33,563,41.5,5,58,1080,12.38,23.04,68.8,0.234
2016,SA8868,15.32,108,426.7,84,12.79,10,232036,157,59,145,56.75,76,457,191150,39.59,72.8,86.6,0.501
2023,SA5825,20.96,274,648.7,99,7.67,15,93702,250,62,76,8.94,30,138,217488,1.04,29.9,22.6,0.42
2021,SA8188,11.21,143,830.0,83,1.04,13,183961,85,104,483,26.12,30,359,210243,23.85,22.31,49.2,0.417
2016,SA7093,14.64,187,325.4,119,19.8,31,151509,54,114,152,1.17,28,337,38947,9.29,15.01,97.2,0.516
2018,SA3857,13.41,45,597.1,87,13.88,58,230613,157,35,281,40.13,6,154,144719,47.38,36.28,48.2,0.352
2016,SA2532,22.54,229,143.6,63,2.57,23,76603,88,8,14,52.4,42,556,83787,44.92,18.96,11.4,0.077
2025,SA6080,21.36,128,85.8,101,21.16,59,53769,108,21,284,47.71,52,138,211609,45.89,14.43,45.7,0.863
2017,SA1389,16.19,405,87.5,72,2.46,16,12511,159,100,194,74.23,1,450,97320,9.98,6.9,12.3,0.602
2016,SA2352,15.38,348,622.0,100,12.44,27,14936,153,120,456,37.21,0,311,129847,30.99,41.78,36.1,0.958
2016,SA3974,18.04,242,797.4,99,1.37,28,146156,17,74,266,66.66,54,607,246146,16.52,46.32,62.9,0.729
2017,SA6238,15.43,119,897.5,68,15.25,9,127830,218,93,182,6.46,69,373,54714,39.46,14.0,63.7,0.664
2024,SA8265,10.0,20,400.2,46,11.1,15,112218,6,48,727,79.95,30,124,176558,36.84,51.81,58.5,0.799
2020,SA8885,1.47,28,112.9,9,11.43,60,193650,83,80,582,13.23,60,299,133341,20.38,81.75,75.9,0.01
2020,SA2455,2.13,358,238.4,29,4.56,32,155929,41,73,297,73.81,60,302,91049,48.81,81.61,95.8,0.846
2017,SA3914,16.06,265,419.2,92,17.67,0,210549,81,3,724,71.19,19,318,143826,32.07,70.5,75.5,0.094
2024,SA9343,21.79,325,839.1,117,7.25,31,111056,80,68,272,50.26,19,513,138578,8.05,77.78,99.9,0.155
2021,SA6386,11.47,446,369.9,29,1.7,50,238228,150,60,669,59.83,59,273,227133,49.39,17.97,61.0,0.799
2017,SA1919,2.15,64,772.6,27,18.39,19,161788,227,42,719,32.8,62,170,49905,15.9,66.89,20.6,0.069
2016,SA4371,19.62,290,2.1,42,2.32,30,147355,138,31,321,21.13,50,204,89488,5.27,15.38,65.5,0.294
2021,SA1843,4.63,126,890.5,74,22.61,48,218677,47,34,835,4.21,55,203,21060,29.38,67.93,36.8,0.726
2026,SA9725,10.16,302,17.4,54,14.3,49,227135,117,108,610,69.41,7,362,97178,44.08,17.91,98.7,0.869
2020,SA6263,17.83,447,488.5,14,17.41,31,223570,78,37,895,23.14,76,595,114480,5.9,34.13,61.2,0.148
2018,SA9969,5.15,424,391.1,119,1.62,48,78106,5,23,597,78.62,61,69,124377,1.28,1.14,21.0,0.799
2022,SA1086,18.71,206,611.4,53,6.25,4,198856,70,23,872,71.93,9,468,127982,32.19,71.18,77.8,0.432
2023,SA3295,3.02,51,19.7,21,18.89,3,190003,110,6,0,72.57,61,349,6769,17.91,55.66,17.3,0.682
2024,SA2453,5.22,386,297.5,40,9.37,18,209172,147,91,814,66.61,1,500,145578,21.88,97.14,32.4,0.26
2018,SA1013,12.73,408,622.3,56,9.61,24,34670,86,20,244,51.33,51,208,46965,25.53,51.82,78.0,0.833
2023,SA7476,8.43,17,399.9,107,14.26,25,26991,205,100,330,4.03,57,500,9950,13.04,16.65,42.1,0.171
2018,SA2443,23.89,276,57.4,35,23.78,11,19173,69,109,421,39.19,49,116,38127,54.66,93.72,71.7,0.442
2025,SA5641,20.45,53,860.8,3,24.78,17,210244,223,28,395,38.2,52,418,14570,23.82,82.94,11.1,0.481
2022,SA6528,22.53,46,232.5,54,19.42,11,1286,176,13,653,43.02,13,332,84579,34.82,40.09,99.2,0.917
2019,SA5057,5.14,450,233.9,31,3.38,29,98963,185,28,407,19.45,26,532,154512,46.41,29.75,39.2,0.074
2024,SA9402,3.59,135,158.4,27,0.02,35,230016,78,76,734,35.23,54,307,234828,36.98,15.66,74.8,0.524
2019,SA6097,9.56,306,835.6,3,6.87,0,114080,123,49,238,77.22,49,92,191223,24.34,44.84,61.2,0.766
2019,SA2507,10.68,353,498.6,98,10.4,31,138450,21,84,580,1.97,55,158,99172,1.09,35.26,63.7,0.371
2017,SA2974,16.09,123,768.4,75,0.96,60,198214,143,11,829,33.3,59,606,122862,35.89,44.89,33.5,0.928
2018,SA7013,1.93,112,740.1,17,17.61,54,73521,127,83,755,3.2,35,368,236146,16.71,18.41,20.0,0.178
2024,SA1669,3.88,323,450.2,58,17.82,36,67170,228,55,188,71.18,41,623,135520,45.89,41.43,63.4,0.664
2016,SA3800,24.93,47,616.1,27,18.7,45,101456,127,30,236,54.96,30,288,233845,17.09,97.86,14.4,0.91
2026,SA4297,16.67,376,81.8,111,8.64,19,96003,100,52,358,57.88,80,517,195558,19.53,37.97,58.2,0.622
2018,SA5703,12.79,88,894.0,24,17.68,50,93893,29,119,480,4.84,53,370,130125,26.86,86.18,3.5,0.434
2022,SA5286,12.91,421,155.9,30,8.33,30,201797,35,7,92,55.92,9,23,6590,41.91,26.69,38.5,0.141
2022,SA5823,5.78,368,253.2,49,1.87,35,77395,197,71,334,69.13,65,155,152291,16.35,41.55,84.1,0.64
2024,SA1782,23.75,97,860.0,52,16.31,0,220528,122,110,122,55.53,77,166,234461,40.85,72.95,4.4,0.736
2019,SA1724,19.14,68,712.9,1,11.62,57,247007,68,90,862,74.9,35,276,126260,23.72,10.42,40.4,0.775
2024,SA7300,11.86,184,709.9,49,21.04,21,114929,178,48,179,34.74,61,315,75471,51.13,59.78,51.9,0.269
2022,SA9578,21.12,288,321.1,37,12.54,3,105647,201,88,100,41.74,64,80,111469,43.65,42.62,99.4,0.124
2020,SA9219,11.1,415,714.8,45,7.55,28,21640,81,61,364,3.2,15,355,247235,8.45,93.47,63.7,0.941
2026,SA8807,7.56,442,810.5,111,17.45,14,9316,214,43,575,22.78,5,148,215096,30.29,77.39,70.3,0.349
2017,SA6368,15.33,296,84.5,78,21.09,40,49962,21,90,485,49.95,51,430,31633,13.15,65.0,59.2,0.358
2016,SA6259,0.39,57,849.0,17,6.8,49,217046,230,80,126,39.43,64,566,112933,4.12,67.87,89.8,0.504
2021,SA5715,24.79,380,338.3,31,16.16,53,72477,8,18,335,36.46,44,278,223563,9.46,93.97,77.3,0.034
2025,SA1610,1.71,195,591.0,35,20.4,13,249806,124,112,868,73.36,18,459,57514,34.78,21.44,81.5,0.562
2019,SA7284,2.38,233,483.9,108,21.15,48,109816,213,64,47,77.15,35,598,157648,37.77,70.78,89.1,0.399
2016,SA2171,13.69,399,491.2,0,22.08,0,74410,248,68,74,68.84,54,632,36034,35.85,87.14,38.5,0.044
2016,SA9346,12.77,194,278.7,12,16.39,28,144205,29,100,252,10.77,8,175,214367,1.69,69.99,24.5,0.857
2018,SA3042,9.03,285,611.1,1,20.4,12,100440,111,42,586,76.05,48,164,72920,24.77,54.83,9.2,0.19
2018,SA2962,13.87,187,821.2,95,23.66,9,208255,171,29,744,32.29,44,629,198459,10.09,63.95,9.8,0.757
2019,SA5297,0.31,257,789.6,37,2.73,39,180895,223,76,114,37.67,33,318,53709,3.7,44.03,64.9,0.244
2017,SA2744,3.52,222,568.8,53,9.11,1,191171,43,37,187,63.05,14,318,170937,21.52,28.72,16.8,0.217
2023,SA2317,22.17,245,66.0,73,0.32,22,66605,241,53,104,28.61,67,84,50999,35.12,91.23,70.0,0.165
2024,SA5629,16.85,372,69.4,40,15.59,30,13300,54,74,632,27.11,12,98,165346,47.74,77.02,20.9,0.216
2018,SA1235,20.3,444,399.6,93,19.44,7,196036,104,33,871,26.8,52,328,136458,34.96,26.95,65.2,0.457
2025,SA3098,6.33,277,772.1,77,11.71,57,33249,103,62,144,78.49,38,287,95380,51.03,69.9,95.9,0.651
2024,SA9390,19.03,422,169.5,93,20.58,40,237864,4,84,773,35.71,79,343,203629,13.62,25.02,88.3,0.331
2020,SA4784,20.82,297,445.7,46,23.71,12,206257,84,73,471,31.59,25,272,122388,26.6,58.92,78.9,0.216
2017,SA8914,24.19,258,337.7,32,1.7,36,71843,34,18,44,57.08,17,349,62238,34.71,31.0,0.2,0.648
2025,SA8348,17.78,237,280.4,95,10.34,51,54091,70,78,513,58.45,24,139,176016,53.93,15.02,0.7,0.108
2021,SA9499,18.93,273,806.1,63,18.57,34,146045,16,109,474,50.78,50,111,228176,46.09,77.93,12.0,0.218
2016,SA6861,9.7,367,58.4,61,16.89,30,241688,184,64,426,48.45,54,303,202560,15.71,6.6,38.1,0.148
2016,SA9584,21.85,1,93.0,7,18.65,36,41742,33,20,520,32.99,25,490,151445,2.63,70.22,32.7,0.658
2016,SA7932,13.17,174,810.5,13,21.34,2,83118,213,15,838,42.31,22,537,116965,8.13,24.57,70.8,0.657
2016,SA3415,23.5,114,468.1,78,6.79,51,99948,246,97,177,74.23,76,37,12679,34.21,49.09,87.0,0.717
2017,SA2259,24.56,376,774.6,43,23.62,0,4376,79,120,889,54.16,2,375,13356,50.76,44.93,56.0,0.325
2019,SA5380,18.51,334,594.9,111,2.81,11,10200,52,97,509,0.91,23,60,169088,5.82,93.74,67.2,0.111
2016,SA8624,12.13,230,864.9,47,18.46,40,87387,51,1,356,22.37,47,605,181874,47.37,94.29,37.8,0.823
2019,SA1007,22.22,289,376.8,107,13.98,40,108698,146,56,217,59.89,36,401,98091,0.68,22.77,45.2,0.628
2021,SA9534,19.75,343,885.7,36,20.28,58,121471,186,84,822,44.48,38,183,226979,9.1,70.65,25.7,0.169
2018,SA9164,15.15,235,389.2,19,6.12,46,191750,41,61,228,37.64,76,557,154355,37.4,9.49,54.2,0.852
2019,SA3334,19.68,397,697.8,4,14.7,52,25764,95,56,2,47.6,10,297,23222,6.14,32.97,54.2,0.701
2019,SA7109,23.16,210,624.4,9,18.8,51,127046,118,118,436,73.16,60,597,115465,32.08,39.08,4.5,0.362
2024,SA9356,8.45,238,118.4,69,4.67,45,201614,116,111,341,72.24,58,69,180421,52.32,0.06,45.7,1.0
2024,SA3418,23.37,229,724.8,82,21.45,53,169425,185,60,875,23.76,54,354,95982,42.92,65.64,80.5,0.453
2016,SA8546,6.01,154,212.6,78,1.0,38,166101,83,26,34,52.5,51,68,100545,54.6,27.01,98.5,0.936
2026,SA1675,17.45,403,400.8,104,8.84,38,145531,177,73,752,3.11,63,492,83749,34.69,31.72,6.6,0.892
2018,SA7878,7.85,284,97.9,73,20.28,23,124678,176,62,612,41.93,47,101,58008,19.86,6.75,16.6,0.128
2020,SA2850,0.68,179,817.2,76,9.52,8,86327,5,35,637,5.25,58,570,3551,25.78,68.6,97.6,0.775
2017,SA6984,7.1,153,244.0,74,13.86,37,133747,223,92,613,57.11,52,471,47031,48.1,15.49,89.8,0.628
2017,SA4407,18.43,200,674.2,22,20.44,37,203706,97,25,180,15.95,42,81,140691,9.97,28.67,46.3,0.875
2017,SA5427,16.37,415,621.6,27,16.57,31,19652,98,69,594,45.58,5,141,45430,53.74,28.51,5.0,0.496
2017,SA7940,14.98,230,546.3,73,21.11,56,81525,232,58,274,73.33,22,210,219486,24.15,86.14,83.6,0.604
2019,SA8765,13.2,440,583.3,102,16.28,46,37156,236,4,817,58.82,68,421,37293,1.27,82.43,99.8,0.955
2023,SA1224,10.46,158,272.7,94,16.84,14,126451,185,95,281,1.31,10,534,166817,29.68,63.78,64.1,0.357
2025,SA3025,1.2,102,810.1,56,0.08,6,64636,56,45,789,17.61,53,13,84866,33.68,34.14,46.4,0.854
2026,SA4803,7.43,412,374.7,18,12.98,14,243780,30,42,606,58.97,20,192,175336,28.32,58.15,69.4,0.732
2017,SA9571,1.35,187,600.7,21,22.28,47,138945,172,71,224,57.31,9,245,96221,9.91,77.54,74.9,0.947
2019,SA4362,8.2,271,111.3,15,7.13,12,209415,53,89,375,18.19,65,582,38685,11.98,52.54,19.1,0.687
2023,SA2950,1.87,74,815.2,8,7.82,53,123886,60,63,864,24.23,64,548,37858,50.67,41.21,10.6,0.214
2024,SA7982,1.06,286,754.9,47,10.66,16,175292,184,56,453,8.32,32,229,214691,34.48,78.82,26.9,0.267
2025,SA4371,18.21,310,116.0,50,20.55,21,209458,214,6,724,53.98,72,303,112510,17.25,52.25,95.6,0.051
2016,SA9556,19.76,144,831.3,75,3.36,0,53305,53,95,714,17.1,70,89,85440,7.26,13.2,20.3,0.115
2021,SA7225,4.59,88,308.7,113,11.48,27,165068,18,2,115,30.36,42,509,93291,0.47,1.75,42.2,0.314
2022,SA4893,12.19,219,57.0,83,20.98,27,82715,179,15,84,34.93,44,420,133329,44.65,92.85,56.0,0.138
2022,SA9922,8.59,315,422.2,16,17.97,39,41295,75,62,757,39.62,50,259,111312,53.82,39.93,43.5,0.055
2024,SA9742,17.97,142,511.1,27,15.58,27,244639,208,24,550,38.66,78,369,89394,47.31,15.61,38.0,0.225
2016,SA7813,18.79,399,723.1,112,14.3,7,146980,180,54,215,76.2,58,571,96600,50.07,49.32,88.9,0.732
2017,SA9860,20.35,278,325.4,20,1.95,19,196066,184,68,729,43.39,79,193,132107,11.08,11.47,23.5,0.645
2023,SA5216,3.24,299,231.3,89,10.91,12,238741,59,84,574,16.69,64,28,166784,2.16,46.47,12.6,0.348
2016,SA7195,24.41,114,187.7,61,21.96,5,28982,78,56,522,43.93,61,538,220949,9.88,92.17,9.6,0.888
2020,SA2373,21.02,403,246.0,42,6.61,9,84572,2,42,179,65.46,40,429,118671,16.19,91.45,81.3,0.413
2026,SA5811,8.37,436,571.8,118,22.98,51,40739,76,57,499,5.6,1,481,202196,13.64,93.74,57.6,0.423
2017,SA5073,17.34,422,479.1,74,2.75,18,1587,196,70,2,74.89,50,452,21151,24.6,25.86,44.6,0.204
2016,SA7714,0.26,46,380.1,85,22.68,55,210905,30,118,698,41.43,75,170,34266,35.9,26.06,34.9,0.467
2016,SA2671,15.14,254,219.5,98,11.37,16,111940,205,77,749,59.01,30,531,80332,26.25,55.52,29.1,0.51
2016,SA8311,18.59,389,311.7,114,20.64,6,191821,157,21,141,48.4,66,388,93892,33.85,40.09,88.5,0.042
2020,SA9788,13.9,23,649.6,109,11.62,48,61695,135,74,496,23.43,5,551,66384,21.44,36.17,85.5,0.855
2017,SA7371,20.61,399,768.6,54,1.46,44,218547,198,46,544,44.2,23,546,14527,5.2,34.64,18.8,0.975
2025,SA2071,17.32,169,36.7,40,9.85,42,93610,90,30,492,10.42,50,538,65032,46.71,0.89,50.0,0.358
2024,SA5782,13.69,245,884.5,50,21.14,37,44346,75,46,622,4.65,77,583,106360,47.13,47.24,16.6,0.373
2023,SA3104,8.81,11,39.8,50,19.67,27,149276,82,114,618,7.44,12,500,106424,32.99,58.13,10.6,0.929
2016,SA8001,12.61,182,528.5,84,7.29,30,190199,227,60,48,26.9,30,301,29621,42.25,4.89,32.7,0.219
2017,SA6596,4.61,161,359.8,2,11.84,32,187697,135,17,797,4.43,80,489,242184,33.77,36.27,76.9,0.692
2024,SA2326,21.14,146,152.8,44,18.34,32,228859,63,25,630,67.1,62,207,186069,15.74,35.61,71.4,0.405
2026,SA5551,9.16,249,590.6,112,13.37,33,157651,215,108,706,53.59,28,474,68479,27.77,23.0,33.4,0.49
2020,SA8448,22.39,64,257.8,87,11.67,46,39185,24,99,384,63.97,40,277,37093,9.12,43.67,13.9,0.119
2024,SA4723,14.15,63,43.6,4,14.82,28,136480,86,99,12,25.15,74,411,229336,38.48,55.78,3.0,0.049
2016,SA3208,19.28,351,456.5,21,8.02,24,159212,173,43,842,6.52,27,418,246723,28.59,50.63,95.0,0.918
2016,SA3126,21.95,314,491.7,66,5.39,16,91072,99,103,827,43.94,57,632,223733,40.75,65.61,63.9,0.892
2018,SA1987,8.84,249,127.9,83,13.11,30,220119,115,74,41,66.04,37,336,95340,17.59,82.98,74.7,0.771
2026,SA9245,23.34,364,112.2,41,2.24,17,171622,182,49,636,49.66,33,216,90151,26.42,26.51,26.7,0.937
2021,SA6114,22.7,104,677.7,108,12.58,25,135556,12,62,294,27.82,16,231,135610,5.54,51.53,0.1,0.416
