demo_household_survey_year,demo_household_household_id_sample,demo_household_country_iso2,demo_household_region_nuts_code,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_household_size,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly_eur,demo_household_sampling_stratum
2024,EUHH2024000461,CY,EE65,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,5,0,0,40.32,0.76,3,DSL,LV,SOME,51,617.14,COASTAL_TOURISM
2025,EUHH2025000462,DK,FR78,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,4,0,0,30.03,2.46,4,MOBILE,RO,NONE,20,1093.06,URBAN_HIGH_INCOME
2026,EUHH2026000463,FI,IT66,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,3,0,0,48.81,2.09,4,NONE,LT,SEVERE,54,1044.05,URBAN_MIXED
2019,EUHH2019000464,DE,HR149,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,28.08,2.62,2,CABLE,NL,SOME,68,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000465,HU,ES876,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,32.57,2.45,3,FIBER,GA,NONE,56,995.41,RURAL_AGRI
2021,EUHH2021000466,IT,PL870,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,44.03,2.6,3,DSL,SV,SEVERE,55,723.6,INTERMEDIATE_TOWNS
2022,EUHH2022000467,LT,SI513,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,3,0,0,57.37,1.72,0,MOBILE,MT,SOME,59,477.15,COASTAL_TOURISM
2023,EUHH2023000468,MT,PL122,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,4,0,0,39.09,1.02,1,NONE,FI,NONE,60,352.5,URBAN_HIGH_INCOME
2024,EUHH2024000469,PL,BG1,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,1,0,0,23.14,2.3,0,CABLE,SK,SEVERE,22,651.01,URBAN_MIXED
2025,EUHH2025000470,RO,SK50,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,4,0,0,58.03,1.59,3,FIBER,EL,SOME,31,967.16,RURAL_LOW_DENSITY
2026,EUHH2026000471,SI,SI90,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,4,0,0,28.93,2.45,0,DSL,SL,NONE,46,233.12,RURAL_AGRI
2019,EUHH2019000472,SE,SE8,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,69.67,2.67,1,MOBILE,HU,SEVERE,8,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000473,BE,DK496,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,19.16,2.0,4,NONE,CY,SOME,56,1020.66,COASTAL_TOURISM
2021,EUHH2021000474,HR,PT757,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,15.88,1.98,4,CABLE,CS,NONE,1,1474.7,URBAN_HIGH_INCOME
2022,EUHH2022000475,CZ,MT4,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,3,0,0,66.26,1.89,2,FIBER,EN,SEVERE,42,1165.83,URBAN_MIXED
2023,EUHH2023000476,EE,FI1,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,30.89,2.26,0,DSL,PT,SOME,65,783.93,RURAL_LOW_DENSITY
2024,EUHH2024000477,FR,FI55,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,1,0,0,49.44,1.57,4,MOBILE,DE,NONE,8,1248.8,RURAL_AGRI
2025,EUHH2025000478,GR,EE367,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,5,0,0,52.21,1.52,1,NONE,BG,SEVERE,10,518.69,INTERMEDIATE_TOWNS
2026,EUHH2026000479,IE,PL105,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,2,0,0,24.93,1.97,4,CABLE,FR,SOME,62,465.42,COASTAL_TOURISM
2019,EUHH2019000480,LV,IT99,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,34.52,2.0,2,FIBER,HR,NONE,69,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000481,LU,NL21,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,30.81,0.87,3,DSL,ES,SEVERE,20,439.72,URBAN_MIXED
2021,EUHH2021000482,NL,BE985,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,46.03,2.42,3,MOBILE,DA,SOME,30,384.15,RURAL_LOW_DENSITY
2022,EUHH2022000483,PT,FI555,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,3,0,0,56.19,2.19,0,NONE,IT,NONE,78,375.92,RURAL_AGRI
2023,EUHH2023000484,SK,IT779,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,3,0,0,46.02,2.31,3,CABLE,ET,SEVERE,58,267.75,INTERMEDIATE_TOWNS
2024,EUHH2024000485,ES,HU488,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,0,0,0,29.66,1.83,3,FIBER,PL,SOME,7,0.0,COASTAL_TOURISM
2025,EUHH2025000486,AT,LT288,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,0,0,0,21.03,2.46,2,DSL,LV,NONE,50,0.0,URBAN_HIGH_INCOME
2026,EUHH2026000487,BG,GR21,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,3,0,0,9.1,2.5,0,MOBILE,RO,SEVERE,65,697.64,URBAN_MIXED
2019,EUHH2019000488,CY,FR75,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,12.23,1.19,2,NONE,LT,SOME,78,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000489,DK,LT15,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,57.14,0.95,0,CABLE,NL,NONE,60,1214.96,RURAL_AGRI
2021,EUHH2021000490,FI,IE47,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,61.32,1.81,0,FIBER,GA,SEVERE,19,258.71,INTERMEDIATE_TOWNS
2022,EUHH2022000491,DE,BG5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,1,1,0,41.09,2.03,0,DSL,SV,SOME,40,52.42,COASTAL_TOURISM
2023,EUHH2023000492,HU,AT1,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,2,0,0,61.42,1.99,3,MOBILE,MT,NONE,30,443.05,URBAN_HIGH_INCOME
2024,EUHH2024000493,IT,HU16,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,3,0,0,21.69,0.79,3,NONE,FI,SEVERE,44,546.32,URBAN_MIXED
2025,EUHH2025000494,LT,SI445,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,2,1,0,69.1,2.71,1,CABLE,SK,SOME,43,546.27,RURAL_LOW_DENSITY
2026,EUHH2026000495,MT,NL727,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,0,0,0,69.2,1.26,4,FIBER,EL,NONE,11,0.0,RURAL_AGRI
2019,EUHH2019000496,PL,AT378,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,47.63,1.49,0,DSL,SL,SEVERE,25,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000497,RO,ES4,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,17.99,1.73,2,MOBILE,HU,SOME,65,599.42,COASTAL_TOURISM
2021,EUHH2021000498,SI,RO6,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,0,0,0,8.54,2.66,2,NONE,CY,NONE,26,0.0,URBAN_HIGH_INCOME
2022,EUHH2022000499,SE,ES747,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,2,1,0,57.23,2.46,0,CABLE,CS,SEVERE,8,1473.93,URBAN_MIXED
2023,EUHH2023000500,BE,HU833,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,0,0,0,20.02,1.17,0,FIBER,EN,SOME,50,0.0,RURAL_LOW_DENSITY
2024,EUHH2024000501,HR,HU68,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,5,0,0,32.76,2.38,3,DSL,PT,NONE,62,760.91,RURAL_AGRI
2025,EUHH2025000502,CZ,FR197,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,0,0,0,18.52,0.74,2,MOBILE,DE,SEVERE,19,0.0,INTERMEDIATE_TOWNS
2026,EUHH2026000503,EE,LU95,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,2,0,0,22.91,2.66,2,NONE,BG,SOME,74,97.24,COASTAL_TOURISM
2019,EUHH2019000504,FR,IT573,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,25.56,1.36,0,CABLE,FR,NONE,73,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000505,GR,PL480,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,0,0,0,48.46,1.03,2,FIBER,HR,SEVERE,9,0.0,URBAN_MIXED
2021,EUHH2021000506,IE,NL768,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,38.85,0.69,3,DSL,ES,SOME,26,897.86,RURAL_LOW_DENSITY
2022,EUHH2022000507,LV,SK668,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,3,0,0,46.4,1.49,0,MOBILE,DA,NONE,26,217.17,RURAL_AGRI
2023,EUHH2023000508,LU,MT1,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,3,1,0,7.25,1.96,4,NONE,IT,SEVERE,13,1298.44,INTERMEDIATE_TOWNS
2024,EUHH2024000509,NL,SI5,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,3,0,0,69.56,2.31,1,CABLE,ET,SOME,66,397.92,COASTAL_TOURISM
2025,EUHH2025000510,PT,DE634,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,3,0,0,52.64,1.83,4,FIBER,PL,NONE,20,970.67,URBAN_HIGH_INCOME
2026,EUHH2026000511,SK,LU78,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,2,1,0,44.37,2.79,1,DSL,LV,SEVERE,30,849.82,URBAN_MIXED
2019,EUHH2019000512,ES,IT644,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,66.24,2.05,3,MOBILE,RO,SOME,16,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000513,AT,LU647,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,42.86,1.08,4,NONE,LT,NONE,54,541.96,RURAL_AGRI
2021,EUHH2021000514,BG,AT584,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,56.05,0.84,4,CABLE,NL,SEVERE,21,1062.43,INTERMEDIATE_TOWNS
2022,EUHH2022000515,CY,RO2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,3,0,0,14.1,2.29,1,FIBER,GA,SOME,0,1325.7,COASTAL_TOURISM
2023,EUHH2023000516,DK,SK11,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,3,1,0,20.53,1.77,4,DSL,SV,NONE,27,1367.13,URBAN_HIGH_INCOME
2024,EUHH2024000517,FI,BG7,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,5,0,0,22.44,0.86,3,MOBILE,MT,SEVERE,73,133.92,URBAN_MIXED
2025,EUHH2025000518,DE,IE74,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,3,0,0,49.33,1.86,0,NONE,FI,SOME,62,930.25,RURAL_LOW_DENSITY
2026,EUHH2026000519,HU,MT380,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,0,1,0,14.14,2.69,1,CABLE,SK,NONE,30,0.0,RURAL_AGRI
2019,EUHH2019000520,IT,CZ196,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,66.49,2.15,4,FIBER,EL,SEVERE,15,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000521,LT,DE48,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,52.56,1.4,0,DSL,SL,SOME,47,370.86,COASTAL_TOURISM
2021,EUHH2021000522,MT,IT760,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,15.89,2.26,3,MOBILE,HU,NONE,17,1077.54,URBAN_HIGH_INCOME
2022,EUHH2022000523,PL,MT225,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,2,0,0,46.19,2.3,0,NONE,CY,SEVERE,73,380.53,URBAN_MIXED
2023,EUHH2023000524,RO,LT867,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,2,0,0,48.23,0.8,3,CABLE,CS,SOME,70,248.69,RURAL_LOW_DENSITY
2024,EUHH2024000525,SI,IE234,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,5,0,0,16.26,1.78,1,FIBER,EN,NONE,37,428.15,RURAL_AGRI
2025,EUHH2025000526,SE,MT581,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,4,1,0,64.63,1.48,3,DSL,PT,SEVERE,16,896.84,INTERMEDIATE_TOWNS
2026,EUHH2026000527,BE,SI275,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,0,1,0,33.04,2.01,3,MOBILE,DE,SOME,29,0.0,COASTAL_TOURISM
2019,EUHH2019000528,HR,CZ515,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,68.11,0.96,1,NONE,BG,NONE,17,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000529,CZ,HR654,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,15.32,1.55,3,CABLE,FR,SEVERE,71,1087.56,URBAN_MIXED
2021,EUHH2021000530,EE,PL238,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,38.31,0.77,2,FIBER,HR,SOME,32,156.04,RURAL_LOW_DENSITY
2022,EUHH2022000531,FR,SI810,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,2,0,0,65.7,2.31,4,DSL,ES,NONE,35,715.22,RURAL_AGRI
2023,EUHH2023000532,GR,SK403,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,1,0,21.78,1.22,0,MOBILE,DA,SEVERE,56,636.39,INTERMEDIATE_TOWNS
2024,EUHH2024000533,IE,LV885,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,1,0,0,10.07,1.36,4,NONE,IT,SOME,38,1001.59,COASTAL_TOURISM
2025,EUHH2025000534,LV,RO963,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,0,0,0,25.91,2.26,1,CABLE,ET,NONE,22,0.0,URBAN_HIGH_INCOME
2026,EUHH2026000535,LU,MT2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,4,0,0,13.33,1.26,2,FIBER,PL,SEVERE,68,1132.19,URBAN_MIXED
2019,EUHH2019000536,NL,SE6,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,52.25,0.86,4,DSL,LV,SOME,47,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000537,PT,ES791,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,64.74,2.26,4,MOBILE,RO,NONE,57,724.23,RURAL_AGRI
2021,EUHH2021000538,SK,SI195,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,22.15,0.9,4,NONE,LT,SEVERE,15,1115.83,INTERMEDIATE_TOWNS
2022,EUHH2022000539,ES,PT678,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,0,0,64.26,1.53,2,CABLE,NL,SOME,0,155.3,COASTAL_TOURISM
2023,EUHH2023000540,AT,EE73,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,3,0,0,17.17,1.26,3,FIBER,GA,NONE,56,1483.32,URBAN_HIGH_INCOME
2024,EUHH2024000541,BG,IE83,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,2,0,0,23.54,2.64,1,DSL,SV,SEVERE,36,776.99,URBAN_MIXED
2025,EUHH2025000542,CY,BG2,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,4,0,0,32.93,1.37,4,MOBILE,MT,SOME,30,8.71,RURAL_LOW_DENSITY
2026,EUHH2026000543,DK,DK525,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,6,0,0,13.68,0.71,4,NONE,FI,NONE,6,763.07,RURAL_AGRI
2019,EUHH2019000544,FI,FI2,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,52.1,2.01,0,CABLE,SK,SEVERE,76,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000545,DE,DK415,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,38.44,1.0,0,FIBER,EL,SOME,74,1240.78,COASTAL_TOURISM
2021,EUHH2021000546,HU,FI5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,16.5,0.85,4,DSL,SL,NONE,35,1150.96,URBAN_HIGH_INCOME
2022,EUHH2022000547,IT,BG695,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,1,0,0,49.12,1.68,0,MOBILE,HU,SEVERE,27,74.46,URBAN_MIXED
2023,EUHH2023000548,LT,IT487,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,1,0,0,55.61,0.89,4,NONE,CY,SOME,1,251.29,RURAL_LOW_DENSITY
2024,EUHH2024000549,MT,IT9,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,0,1,0,56.69,2.61,1,CABLE,CS,NONE,61,0.0,RURAL_AGRI
2025,EUHH2025000550,PL,LU3,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,4,0,0,56.87,2.46,3,FIBER,EN,SEVERE,73,1463.69,INTERMEDIATE_TOWNS
2026,EUHH2026000551,RO,SK993,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,4,0,0,63.52,1.14,4,DSL,PT,SOME,32,1392.55,COASTAL_TOURISM
2019,EUHH2019000552,SI,FI51,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,33.03,0.67,1,MOBILE,DE,NONE,21,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000553,SE,PT73,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,8.2,0.61,3,NONE,BG,SEVERE,60,962.76,URBAN_MIXED
2021,EUHH2021000554,BE,SE553,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,0,0,0,20.14,2.3,0,CABLE,FR,SOME,62,0.0,RURAL_LOW_DENSITY
2022,EUHH2022000555,HR,BG46,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,0,0,0,8.2,1.44,2,FIBER,HR,NONE,18,0.0,RURAL_AGRI
2023,EUHH2023000556,CZ,FR6,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,2,0,0,37.91,2.56,4,DSL,ES,SEVERE,74,553.77,INTERMEDIATE_TOWNS
2024,EUHH2024000557,EE,ES513,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,4,1,0,48.85,1.79,0,MOBILE,DA,SOME,45,126.4,COASTAL_TOURISM
2025,EUHH2025000558,FR,IE84,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,1,1,0,60.91,1.52,3,NONE,IT,NONE,5,32.3,URBAN_HIGH_INCOME
2026,EUHH2026000559,GR,SI590,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,4,0,0,51.71,2.73,2,CABLE,ET,SEVERE,73,420.99,URBAN_MIXED
2019,EUHH2019000560,IE,PT860,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,11.68,1.57,2,FIBER,PL,SOME,74,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000561,LV,HR374,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,0,0,0,20.26,1.25,4,DSL,LV,NONE,62,0.0,RURAL_AGRI
2021,EUHH2021000562,LU,EE15,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,1,0,0,35.63,2.13,4,MOBILE,RO,SEVERE,2,1132.26,INTERMEDIATE_TOWNS
2022,EUHH2022000563,NL,EE531,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,1,0,0,42.43,1.71,4,NONE,LT,SOME,26,403.61,COASTAL_TOURISM
2023,EUHH2023000564,PT,IT574,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,1,0,0,69.08,2.65,3,CABLE,NL,NONE,69,1381.64,URBAN_HIGH_INCOME
2024,EUHH2024000565,SK,NL843,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,3,0,0,9.84,1.29,1,FIBER,GA,SEVERE,72,1034.83,URBAN_MIXED
2025,EUHH2025000566,ES,ES8,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,2,0,0,65.0,1.91,2,DSL,SV,SOME,62,122.58,RURAL_LOW_DENSITY
2026,EUHH2026000567,AT,GR969,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,4,0,0,48.65,2.04,0,MOBILE,MT,NONE,5,701.59,RURAL_AGRI
2019,EUHH2019000568,BG,BG493,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,44.01,0.78,0,NONE,FI,SEVERE,29,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000569,CY,HR93,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,17.26,1.48,1,CABLE,SK,SOME,44,936.11,COASTAL_TOURISM
2021,EUHH2021000570,DK,PL936,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,0,0,0,45.66,1.63,1,FIBER,EL,NONE,34,0.0,URBAN_HIGH_INCOME
2022,EUHH2022000571,FI,PT7,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,0,0,0,53.96,0.79,2,DSL,SL,SEVERE,68,0.0,URBAN_MIXED
2023,EUHH2023000572,DE,AT3,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,0,0,46.97,1.55,1,MOBILE,HU,SOME,14,1475.14,RURAL_LOW_DENSITY
2024,EUHH2024000573,HU,IT53,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,5,0,0,19.38,1.63,3,NONE,CY,NONE,14,96.45,RURAL_AGRI
2025,EUHH2025000574,IT,SE616,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,2,1,0,63.6,0.85,4,CABLE,CS,SEVERE,64,931.01,INTERMEDIATE_TOWNS
2026,EUHH2026000575,LT,DK62,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,2,0,0,43.83,2.57,4,FIBER,EN,SOME,18,1087.81,COASTAL_TOURISM
2019,EUHH2019000576,MT,NL967,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,26.14,1.88,0,DSL,PT,NONE,60,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000577,PL,PT151,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,20.13,2.04,3,MOBILE,DE,SEVERE,39,823.08,URBAN_MIXED
2021,EUHH2021000578,RO,FR4,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,19.5,1.08,3,NONE,BG,SOME,33,34.79,RURAL_LOW_DENSITY
2022,EUHH2022000579,SI,NL83,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,0,0,50.5,1.85,0,CABLE,FR,NONE,14,1238.66,RURAL_AGRI
2023,EUHH2023000580,SE,IT361,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,0,0,0,21.12,0.96,2,FIBER,HR,SEVERE,34,0.0,INTERMEDIATE_TOWNS
2024,EUHH2024000581,BE,LU961,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,1,1,0,27.58,1.18,4,DSL,ES,SOME,40,120.44,COASTAL_TOURISM
2025,EUHH2025000582,HR,GR15,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,4,0,0,47.66,0.87,4,MOBILE,DA,NONE,62,750.88,URBAN_HIGH_INCOME
2026,EUHH2026000583,CZ,SI6,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,5,0,0,26.17,2.78,4,NONE,IT,SEVERE,14,519.53,URBAN_MIXED
2019,EUHH2019000584,EE,NL50,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,20.5,1.87,0,CABLE,ET,SOME,27,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000585,FR,HU244,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,28.87,2.17,4,FIBER,PL,NONE,76,307.38,RURAL_AGRI
2021,EUHH2021000586,GR,LU678,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,45.11,0.71,0,DSL,LV,SEVERE,77,1317.65,INTERMEDIATE_TOWNS
2022,EUHH2022000587,IE,LT24,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,0,0,0,32.07,1.32,4,MOBILE,RO,SOME,69,0.0,COASTAL_TOURISM
2023,EUHH2023000588,LV,BG127,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,0,0,0,50.6,1.01,1,NONE,LT,NONE,10,0.0,URBAN_HIGH_INCOME
2024,EUHH2024000589,LU,FR84,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,3,0,0,67.36,0.97,3,CABLE,NL,SEVERE,36,25.81,URBAN_MIXED
2025,EUHH2025000590,NL,GR4,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,6,0,0,51.0,1.58,0,FIBER,GA,SOME,43,845.89,RURAL_LOW_DENSITY
2026,EUHH2026000591,PT,FI409,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,4,0,0,47.61,1.55,0,DSL,SV,NONE,66,172.99,RURAL_AGRI
2019,EUHH2019000592,SK,PT597,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,34.08,0.73,0,MOBILE,MT,SEVERE,56,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000593,ES,DK584,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,29.43,0.82,2,NONE,FI,SOME,77,243.33,COASTAL_TOURISM
2021,EUHH2021000594,AT,CZ30,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,6.66,1.44,1,CABLE,SK,NONE,63,433.96,URBAN_HIGH_INCOME
2022,EUHH2022000595,BG,DE7,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,2,0,0,28.23,1.77,4,FIBER,EL,SEVERE,24,127.64,URBAN_MIXED
2023,EUHH2023000596,CY,LV439,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,2,0,0,52.5,1.45,2,DSL,SL,SOME,32,1326.58,RURAL_LOW_DENSITY
