tax_sales_collection_month,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_tax_rate_pct,tax_sales_gross_taxable_sales_usd,tax_sales_tax_collected_usd,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_usd,tax_sales_interest_assessed_usd,tax_sales_exempt_sales_usd,tax_sales_ecommerce_sales_share_pct,tax_sales_marketplace_facilitator_flag,tax_sales_audit_assessment_total_usd,tax_sales_compliance_gap_estimate,tax_sales_seasonality_index,tax_sales_holiday_sales_event_flag,tax_sales_refunds_issued_usd,tax_sales_data_certification_level
2050-01,JUR0000457,GROCERY,0.903,39722605071.03,261061633.88,101496,QUARTERLY,5.27,1741674926.97,426940353.64,12680026412.6,47.39,1,5440303223.72,0.0432,1.1075,0,4471547123.41,CERTIFIED
2050-02,JUR0000458,ALCOHOL,8.203,55996781859.31,3547138926.26,259897,MONTHLY,5.54,1906173167.9,79433294.01,8840851366.9,32.76,0,4001170775.69,0.1832,1.4601,0,1216031737.4,CERTIFIED
2050-03,JUR0000459,AUTO,8.607,221219915928.77,14714201197.78,358285,MIXED,1.49,441800565.83,453187980.36,61791195046.41,74.92,0,8266881872.07,0.5072,1.4334,0,3518178091.99,AUDITED
2050-04,JUR0000460,GROCERY,7.638,148720299372.65,9143570544.23,121084,MONTHLY,11.37,1566584209.99,283243244.03,3554580831.56,64.45,1,3040512027.77,0.8487,1.1416,0,3978542749.73,CERTIFIED
2050-05,JUR0000461,SERVICES,3.319,125435153541.64,3589955828.44,290005,MONTHLY,2.64,561895726.4,533834109.07,14104379190.91,4.89,1,8545838209.01,0.8016,0.8858,0,321471877.45,PROVISIONAL
2050-06,JUR0000462,AUTO,1.735,45569796063.98,728850417.01,170922,MIXED,15.92,403057822.81,579564255.82,15615646250.13,9.44,0,1114123697.76,0.2291,0.9907,0,6419511217.53,PROVISIONAL
2050-07,JUR0000463,GENERAL,6.803,151128151967.96,7972030911.82,438754,MONTHLY,15.08,695018988.79,722764363.57,37340138604.47,52.89,0,11118334865.72,0.5989,0.8124,0,200194623.98,PROVISIONAL
2050-08,JUR0000464,AUTO,0.992,136470221427.25,958094378.21,356554,QUARTERLY,5.92,1028749452.43,283263892.71,22043858819.71,4.62,1,2962628972.01,0.1718,0.7089,0,7545919074.24,AUDITED
2050-09,JUR0000465,GROCERY,2.426,173330204305.05,3546279174.44,89518,QUARTERLY,2.19,957396842.2,695770632.42,16644246785.2,34.07,0,3802085472.56,0.7912,1.3966,0,7848217280.72,PROVISIONAL
2050-10,JUR0000466,DIGITAL_GOODS,1.117,193026071598.93,1611171100.9,180974,MONTHLY,9.14,1751240904.71,273425895.05,23948021381.1,77.48,1,5012770224.12,0.3219,1.1468,0,3154662156.83,CERTIFIED
2050-11,JUR0000467,RESTAURANT,11.306,55663756641.04,4853133651.01,444966,MONTHLY,17.27,235487423.16,279641405.57,12138426636.46,34.76,0,3024219823.23,0.7367,0.7636,0,6587609836.6,CERTIFIED
2050-12,JUR0000468,DIGITAL_GOODS,3.558,233979473663.32,5828018611.84,169076,MONTHLY,5.89,2169915344.62,592080864.43,74156125116.9,15.15,0,11669655268.19,0.6548,1.0287,0,760956202.23,UNCERTIFIED
2051-01,JUR0000469,LODGING,8.394,236226816152.47,17804022177.5,294512,QUARTERLY,14.35,39166047.95,36629759.6,47374391842.55,49.59,0,3989551536.96,0.7544,1.4907,0,3667003821.12,CERTIFIED
2051-02,JUR0000470,TOBACCO,4.096,55554697545.63,2085848028.15,186810,MIXED,4.89,289214256.14,113688493.57,10122960596.37,41.06,0,7245831980.1,0.2254,1.409,0,7876509249.14,CERTIFIED
2051-03,JUR0000471,ALCOHOL,4.099,225274972039.71,6576909866.43,357451,MONTHLY,14.3,1385198728.94,71224826.01,24984134632.63,61.85,0,10780922842.82,0.5338,0.8485,0,2127515142.41,CERTIFIED
2051-04,JUR0000472,SERVICES,7.213,36539264311.12,2137095502.16,433495,MONTHLY,2.01,455350390.28,521607485.04,3971969134.68,3.87,0,11808386142.88,0.1531,0.6425,0,2300800250.7,CERTIFIED
2051-05,JUR0000473,FUEL,3.208,225133033062.92,6183645885.04,291262,ANNUAL,3.95,1483009763.3,486138401.67,48435119273.13,13.07,0,2939689044.18,0.7161,1.1752,1,438993899.87,CERTIFIED
2051-06,JUR0000474,RESTAURANT,5.567,122487433498.34,5076287656.5,115411,QUARTERLY,17.33,1651310305.93,229048935.6,29977724871.42,63.34,1,4467150223.69,0.6596,1.0215,0,3205969170.05,PROVISIONAL
2051-07,JUR0000475,RESTAURANT,7.795,52168414716.32,3812990992.94,126782,QUARTERLY,4.29,635036618.2,584561170.45,15383883494.35,81.05,0,4164228403.92,0.7122,0.7864,1,1199432441.18,CERTIFIED
2051-08,JUR0000476,TOBACCO,5.61,140397378852.6,5619373488.0,404604,QUARTERLY,12.41,1878448591.87,330796936.2,11286497960.4,45.84,0,9823897221.84,0.9152,1.0318,0,5680484019.15,PROVISIONAL
2051-09,JUR0000477,GROCERY,8.785,130989160674.85,9550195738.96,76010,MONTHLY,4.64,1864627170.6,227406918.35,31692938305.3,21.18,1,3942729706.86,0.8087,0.8092,0,736184957.69,UNCERTIFIED
2051-10,JUR0000478,LODGING,1.312,191660457746.84,2402095823.5,96579,MONTHLY,10.82,739490529.02,366061823.26,45845944795.46,44.51,1,11906504080.4,0.4199,0.7632,0,341301149.73,AUDITED
2051-11,JUR0000479,GENERAL,0.76,233815781604.1,1498430983.47,296277,QUARTERLY,3.87,2447709680.12,707681599.0,25379719912.48,4.08,0,6760454834.61,0.2011,0.9379,0,6784291319.86,UNCERTIFIED
2051-12,JUR0000480,AUTO,2.36,114133139037.36,2165437300.39,238772,MONTHLY,11.78,778773760.16,818362632.49,19924173339.77,68.2,1,10244544528.79,0.3091,1.217,0,7266317900.54,CERTIFIED
2052-01,JUR0000481,ALCOHOL,3.998,163542218023.73,5928419904.11,388090,MONTHLY,4.89,1256863316.55,152866428.31,27622111808.39,34.46,0,3122435610.77,0.6604,0.8978,1,1936839269.01,PROVISIONAL
2052-02,JUR0000482,TOBACCO,0.931,106723099979.06,730556961.67,383215,ANNUAL,3.53,1374384923.52,828391340.59,16612580374.66,44.37,1,11197793285.86,0.4388,0.7096,1,8290581674.0,PROVISIONAL
2052-03,JUR0000483,LODGING,1.453,198419161451.49,2783846139.7,407907,QUARTERLY,7.98,1761566879.41,41513679.56,67905145538.28,72.42,0,5903104289.2,0.6073,1.0698,1,2484049103.08,CERTIFIED
2052-04,JUR0000484,TOBACCO,2.167,40286775140.95,831387302.23,65825,MONTHLY,4.84,904888914.73,568089675.86,11248497751.25,31.81,0,11031505375.45,0.6545,0.8626,0,8074343011.37,PROVISIONAL
2052-05,JUR0000485,DIGITAL_GOODS,2.823,144758873709.55,3524424254.47,125763,MONTHLY,3.46,374138296.33,177346017.22,2737996608.46,79.77,1,10046939439.13,0.0454,0.7511,0,319702064.43,AUDITED
2052-06,JUR0000486,TOBACCO,3.775,139329378461.37,4013797731.12,97305,MONTHLY,2.87,2126476937.55,488430757.42,6125366615.71,76.38,1,3157368000.79,0.2585,0.8079,1,1519929502.23,AUDITED
2052-07,JUR0000487,GENERAL,11.708,171432785315.77,14859644397.33,95046,MONTHLY,6.89,211620199.41,240556799.0,8036203294.46,45.26,0,891499073.85,0.1452,0.8421,1,3204948072.56,CERTIFIED
2052-08,JUR0000488,AUTO,5.456,49680838629.77,2452582595.78,53446,MIXED,2.06,1812219165.41,322017737.54,4708287072.28,60.15,1,5833335707.95,0.0192,1.3205,0,3903619493.21,PROVISIONAL
2052-09,JUR0000489,GROCERY,11.741,201396148297.33,21425005702.93,245438,MONTHLY,1.32,1771390702.52,170713993.18,59713048289.27,71.77,1,8116734019.82,0.7417,1.3404,0,5915167924.53,UNCERTIFIED
2052-10,JUR0000490,TOBACCO,1.728,226819538157.81,3607491228.12,265185,MONTHLY,10.24,82299424.16,365964649.76,56718332848.96,84.56,0,5744777998.53,0.6569,1.1265,0,3468979082.55,UNCERTIFIED
2052-11,JUR0000491,TOBACCO,2.93,122461725073.74,3068107283.7,260976,QUARTERLY,0.76,1320700853.1,621743726.37,23959679563.51,50.46,1,162420553.6,0.7887,1.1305,1,6222596577.97,PROVISIONAL
2052-12,JUR0000492,DIGITAL_GOODS,2.132,62115707122.87,1273927797.58,101003,ANNUAL,13.43,894072879.65,665224586.68,19441563801.45,74.9,0,9576896459.76,0.6005,1.3543,0,2936899304.85,PROVISIONAL
2053-01,JUR0000493,SERVICES,8.934,136116021488.79,10945784293.85,366845,MONTHLY,16.96,139285642.72,681576418.83,40977183362.83,75.27,0,9055634829.02,0.6087,1.2016,0,3460419284.95,PROVISIONAL
2053-02,JUR0000494,GENERAL,8.554,189348430874.53,12201458978.49,262711,MONTHLY,16.2,960140997.3,147520331.12,43526258678.9,71.33,1,1470755753.0,0.5109,1.4086,0,898332280.95,CERTIFIED
2053-03,JUR0000495,DIGITAL_GOODS,0.427,228021844937.7,748583133.1,78184,QUARTERLY,7.92,914956792.59,233708717.77,10184976107.96,51.71,0,7619102337.82,0.4817,1.2819,0,4200260777.19,UNCERTIFIED
2053-04,JUR0000496,SERVICES,1.255,103667319662.54,1215654018.32,259986,MONTHLY,1.62,1824092128.28,395386798.2,919108582.41,57.62,0,2507336580.92,0.9049,0.7266,1,3441507464.27,CERTIFIED
2053-05,JUR0000497,FUEL,1.134,181708465854.43,1831627467.79,283151,MONTHLY,14.88,205841938.25,153431475.12,39780229944.43,63.06,0,11194578773.31,0.8632,0.6716,0,1683482141.99,PROVISIONAL
2053-06,JUR0000498,TOBACCO,10.315,105351215756.82,7964263226.26,300851,ANNUAL,10.96,2081878483.13,553649225.72,23510906208.53,83.61,0,9048705684.1,0.8211,0.6518,0,7691612002.35,AUDITED
2053-07,JUR0000499,DIGITAL_GOODS,1.756,35382839194.39,528926867.78,241093,MONTHLY,4.08,2134714945.53,290789408.56,390990614.61,76.06,0,690483457.0,0.5503,1.2743,0,7858975902.74,CERTIFIED
2053-08,JUR0000500,DIGITAL_GOODS,4.294,81541030521.91,3251330019.79,224845,MONTHLY,6.85,2102773589.04,198800475.35,26134919369.66,54.99,0,6990105862.7,0.753,1.3389,0,8666824064.46,PROVISIONAL
2053-09,JUR0000501,SERVICES,8.806,207383909209.27,17158999122.93,138367,QUARTERLY,15.11,2030870417.21,374442985.4,47521551433.77,69.87,0,5029298244.27,0.7977,1.4255,0,6407288233.35,CERTIFIED
2053-10,JUR0000502,DIGITAL_GOODS,4.939,63176337442.13,2411094290.57,46761,QUARTERLY,11.3,518538859.39,264189786.39,11830511440.19,7.66,1,195625006.2,0.2433,0.9736,1,443134691.43,UNCERTIFIED
2053-11,JUR0000503,RESTAURANT,4.197,121424270860.43,3863578402.4,55704,MONTHLY,9.88,2269968210.77,69373903.6,39969495556.72,34.74,0,4392583660.31,0.7021,1.1051,0,2050838627.64,UNCERTIFIED
2053-12,JUR0000504,FUEL,10.684,160656812317.95,13568470322.15,142784,MONTHLY,9.14,1089154560.15,71914010.11,12084185369.57,46.34,1,3316604308.9,0.4522,0.8082,1,7706971566.09,CERTIFIED
2054-01,JUR0000505,RESTAURANT,10.904,82174994388.84,8708272857.4,91906,MONTHLY,9.56,1064467753.78,96467305.73,16975335144.54,27.66,0,46280733.48,0.6756,0.808,0,655864770.42,AUDITED
2054-02,JUR0000506,ALCOHOL,6.823,212301637209.01,12926067460.44,111923,MONTHLY,7.61,2208207112.67,573610363.0,13909767576.08,60.74,0,3807183831.39,0.6914,1.4083,0,7300366511.82,AUDITED
2054-03,JUR0000507,ALCOHOL,10.691,239777686387.93,20939048344.49,114447,MONTHLY,17.71,854108626.58,394206038.81,58835683033.47,61.15,1,4844398092.5,0.6428,1.1395,0,4792968844.51,CERTIFIED
2054-04,JUR0000508,GROCERY,3.8,829516697.05,28339051.31,429980,MONTHLY,9.63,2158815541.39,26482818.71,275885717.1,81.69,0,2387327728.07,0.4918,0.8646,0,7983155932.83,PROVISIONAL
2054-05,JUR0000509,SERVICES,2.952,29123392275.04,647435300.8,358428,QUARTERLY,10.67,981665200.8,222950614.83,6620031504.32,29.24,1,3070810444.05,0.6952,1.2995,0,2112738835.66,CERTIFIED
2054-06,JUR0000510,RESTAURANT,4.9,87313354193.06,4152698837.84,375244,QUARTERLY,5.75,873739484.53,619687543.64,27052396830.65,43.11,0,4515503134.15,0.4931,1.2425,0,5894489933.3,CERTIFIED
2054-07,JUR0000511,SERVICES,2.041,88301172135.75,1282162353.29,370278,QUARTERLY,8.98,2337238085.17,534439791.92,27680701306.92,58.37,1,3961107896.96,0.5676,1.4307,0,1319081281.63,UNCERTIFIED
2054-08,JUR0000512,DIGITAL_GOODS,6.779,211963637912.12,10674000389.03,326777,QUARTERLY,2.65,607156730.11,711396448.47,24351589276.06,34.24,0,10251496506.66,0.6426,0.9143,0,7915567907.18,CERTIFIED
2054-09,JUR0000513,AUTO,2.126,71543768539.04,1273984287.86,446948,QUARTERLY,11.73,680872571.28,256546392.33,12453266391.82,47.39,1,572046372.98,0.4228,1.0804,0,5257057464.32,CERTIFIED
2054-10,JUR0000514,DIGITAL_GOODS,1.031,131916697955.42,965743744.67,102089,MIXED,15.81,1332754827.41,168497948.09,2573081266.03,59.22,0,7877446045.68,0.2233,1.4553,0,657761680.25,PROVISIONAL
2054-11,JUR0000515,SERVICES,3.686,13631624534.59,373409568.02,427110,QUARTERLY,3.51,1635705368.16,523603180.36,1141597247.21,59.91,0,6535641282.77,0.944,0.6894,1,7202923680.18,CERTIFIED
2054-12,JUR0000516,GROCERY,7.809,87303903348.83,6227195139.88,301494,MONTHLY,1.98,477549613.54,815010955.68,24322624869.73,41.0,0,5834307531.63,0.8882,0.8078,0,8621275275.12,CERTIFIED
2055-01,JUR0000517,GROCERY,2.298,153615250592.91,3189773084.62,51137,QUARTERLY,14.26,2223735465.36,408094140.24,17040046959.92,28.32,0,6106144381.08,0.234,1.4223,0,5520213151.78,PROVISIONAL
2055-02,JUR0000518,ALCOHOL,1.744,229448340682.4,3657809809.9,168275,MONTHLY,4.24,2431787584.39,59428541.51,49273959993.41,57.91,0,5351994296.91,0.4662,0.8666,0,858408049.77,PROVISIONAL
2055-03,JUR0000519,GROCERY,5.926,20012059234.34,946682211.49,115514,QUARTERLY,2.23,1521708568.56,407414268.6,2308136852.87,4.81,0,578138459.05,0.1495,0.8787,0,7764451408.12,PROVISIONAL
2055-04,JUR0000520,AUTO,0.346,151830317541.14,485305291.6,354040,MONTHLY,13.08,1173948772.6,95013838.89,18882837867.18,45.31,0,11983095091.45,0.2567,0.9956,0,3005269077.74,CERTIFIED
2055-05,JUR0000521,ALCOHOL,4.201,247634364882.02,7751497392.6,188557,MONTHLY,6.11,304738248.44,214132696.06,67663812495.26,55.74,1,9358563643.01,0.4399,1.0415,1,3988637176.06,CERTIFIED
2055-06,JUR0000522,GENERAL,5.317,211990507504.84,10344291157.56,48268,QUARTERLY,9.33,2251625174.2,47749418.19,41491573176.12,21.33,1,9010183843.57,0.3977,1.1542,0,7836167594.12,CERTIFIED
2055-07,JUR0000523,GROCERY,0.687,102152913685.29,659911851.64,177629,MIXED,6.32,1078681183.62,704209009.63,33819334092.66,70.33,0,9016366925.19,0.008,1.4926,0,8074977603.9,UNCERTIFIED
2055-08,JUR0000524,TOBACCO,8.441,126130212720.69,8624956393.21,325199,MIXED,7.98,2214105470.16,410312192.21,24279758385.53,76.05,1,8369268656.22,0.8777,1.1564,0,2209153382.11,CERTIFIED
2055-09,JUR0000525,GENERAL,5.397,93540853664.23,4125404798.87,12398,MONTHLY,0.17,293677955.21,542061221.82,14396242618.73,78.73,0,10469525379.07,0.1124,1.2631,0,6554842687.54,CERTIFIED
2055-10,JUR0000526,GROCERY,4.561,241791098412.63,8314731604.89,375710,MONTHLY,11.64,1626935730.32,197432706.91,63214134361.34,12.36,1,9512424949.72,0.6275,0.9548,0,6311383811.02,CERTIFIED
2055-11,JUR0000527,GROCERY,4.612,168372929967.02,5888431573.72,271879,ANNUAL,12.27,2429320052.74,572062931.63,17786020787.55,40.59,1,4845834737.02,0.5264,1.3075,0,4678286577.63,UNCERTIFIED
2055-12,JUR0000528,GROCERY,8.694,239502755267.35,17527033374.92,302195,MONTHLY,16.55,654287939.03,510355023.22,29153231458.97,36.3,0,2278028596.91,0.0483,0.7864,0,7116110643.38,AUDITED
2056-01,JUR0000529,GENERAL,0.29,196193943538.33,440397608.16,86719,MONTHLY,11.42,1761645019.17,27009564.31,66082787485.23,67.51,1,11270264869.75,0.7941,0.6124,0,680132414.55,PROVISIONAL
2056-02,JUR0000530,AUTO,1.653,102661932524.41,1424208559.4,354718,MONTHLY,15.49,2010486511.99,180593138.22,35748372743.42,48.3,1,2532545162.19,0.4915,0.7923,0,8551345000.98,CERTIFIED
2056-03,JUR0000531,TOBACCO,1.855,217640635699.55,3697148452.26,173288,QUARTERLY,10.96,33361456.56,570812645.57,46698777200.95,66.56,0,9666562991.89,0.6206,0.817,1,8011777587.9,PROVISIONAL
2056-04,JUR0000532,RESTAURANT,7.824,156777814577.24,8996978025.35,129351,MONTHLY,10.25,1258797952.82,719213947.77,48049625735.9,3.84,1,10580377979.3,0.2753,1.2699,0,2063301527.7,CERTIFIED
2056-05,JUR0000533,LODGING,5.301,4336182239.76,217222847.52,265033,MONTHLY,0.93,277422980.08,24409378.47,41678350.52,10.39,1,7928960422.38,0.003,1.2429,0,4080502640.29,PROVISIONAL
2056-06,JUR0000534,GROCERY,5.966,197108304585.75,10674070882.17,180909,MONTHLY,6.44,1176007671.63,278814514.97,45518225415.52,4.94,0,9461084710.61,0.2641,0.6566,0,610697667.42,PROVISIONAL
2056-07,JUR0000535,FUEL,11.909,233113404411.08,20626049226.15,234377,MONTHLY,2.45,1019021954.32,503946024.58,65942164708.72,0.55,1,9258679760.86,0.1595,1.0365,0,1609029933.85,PROVISIONAL
2056-08,JUR0000536,GENERAL,8.598,81873608440.85,6067558804.89,257551,MONTHLY,8.99,751604345.14,270062344.42,10327238926.23,61.06,0,7459908410.01,0.9182,0.879,0,2578062746.28,CERTIFIED
2056-09,JUR0000537,GROCERY,10.082,30383078358.42,2489633127.66,417602,MONTHLY,17.82,580589804.91,72853572.62,8771076977.11,32.14,0,365104388.41,0.0236,0.7736,0,8216840721.32,UNCERTIFIED
2056-10,JUR0000538,FUEL,9.516,227931166408.26,18579139226.59,181186,MIXED,13.89,380229274.89,453181811.21,28050720205.6,12.75,1,4816353644.95,0.6264,1.3092,1,831653474.45,PROVISIONAL
2056-11,JUR0000539,RESTAURANT,8.933,94783791526.07,6684786335.79,343555,MONTHLY,11.87,2348041829.93,798752772.16,13534077116.06,7.64,0,8540381183.78,0.9527,1.3645,0,1212120847.36,CERTIFIED
2056-12,JUR0000540,ALCOHOL,6.69,130461400514.96,7416960978.27,31295,QUARTERLY,9.27,1515289302.58,516931236.23,45264327520.7,84.81,0,6780439908.72,0.9059,1.4566,0,5063907002.86,CERTIFIED
2057-01,JUR0000541,SERVICES,3.893,130874051085.62,4601728781.95,349884,MONTHLY,1.89,2188810152.25,631744376.87,18588485693.1,9.95,0,4210555336.72,0.2759,0.7535,1,4547245041.98,CERTIFIED
2057-02,JUR0000542,SERVICES,9.374,2844077310.11,190103232.98,277455,MONTHLY,7.23,816990202.14,840511938.87,922245560.93,6.67,1,6349217725.03,0.4135,1.1343,1,8371192267.95,CERTIFIED
2057-03,JUR0000543,AUTO,10.071,241004637674.44,23489827683.5,10239,MONTHLY,11.12,706954578.73,818033034.11,31207970490.38,12.0,0,5983728984.66,0.9,1.0102,1,8169829663.73,CERTIFIED
2057-04,JUR0000544,FUEL,7.795,186286893950.86,12416237791.12,63066,QUARTERLY,14.1,1896228130.88,4796697.97,55784701738.24,68.66,1,9201324860.66,0.3568,1.3853,0,6840465465.25,AUDITED
2057-05,JUR0000545,RESTAURANT,10.72,193604887252.13,17643167453.68,383827,MONTHLY,9.52,2160273723.38,54173347.08,2510079046.63,57.44,0,849466898.27,0.2005,1.2263,0,5067452879.68,PROVISIONAL
2057-06,JUR0000546,ALCOHOL,4.773,201606391586.11,7665684185.81,162586,QUARTERLY,4.79,354437777.75,145754817.33,47590700777.7,46.68,0,1047127748.45,0.5869,0.7848,0,7318549340.29,AUDITED
2057-07,JUR0000547,DIGITAL_GOODS,9.342,156890905247.35,13173172316.16,323273,QUARTERLY,5.65,2334310866.27,315111929.81,51266264866.83,18.71,1,3377623272.13,0.3998,0.8519,0,5628065876.79,PROVISIONAL
2057-08,JUR0000548,GENERAL,2.826,89187536870.44,2023331733.7,204420,QUARTERLY,4.69,1509916184.45,53319300.28,18198376162.86,45.43,0,8943209974.23,0.3969,1.3931,0,8671571730.7,CERTIFIED
2057-09,JUR0000549,FUEL,9.253,221607676085.06,20008417171.43,76100,MONTHLY,12.89,416145614.1,536760155.21,48001224475.11,29.11,0,3430152647.98,0.9607,0.6757,0,7135187144.72,UNCERTIFIED
2057-10,JUR0000550,SERVICES,2.683,236944714096.65,5318037012.47,239339,MONTHLY,12.03,2433054541.85,628045770.74,7486053321.84,2.89,0,11368659964.48,0.0564,1.4704,0,2502778330.35,PROVISIONAL
2057-11,JUR0000551,LODGING,5.428,196699706128.2,8114917039.89,69672,QUARTERLY,4.89,285314445.73,841250190.53,39706065548.15,0.09,1,330351368.65,0.4912,0.6997,0,8821259355.92,PROVISIONAL
2057-12,JUR0000552,GROCERY,7.5,145639350160.23,9609701492.76,310331,MONTHLY,0.61,1906576245.86,141268822.08,9929380338.53,16.08,0,2644757762.31,0.979,1.2406,0,1287163269.24,CERTIFIED
2058-01,JUR0000553,AUTO,11.526,60931625730.45,4990645901.75,292918,MONTHLY,9.4,1531824489.52,531685405.77,17841727761.35,80.79,1,9052216862.51,0.6469,0.9525,1,6689731831.37,CERTIFIED
2058-02,JUR0000554,GENERAL,2.049,52368437541.69,886858564.64,15686,QUARTERLY,7.45,990426546.86,449965553.73,9643123758.68,28.41,1,5693178260.57,0.9112,0.6525,1,4511184545.29,UNCERTIFIED
2058-03,JUR0000555,SERVICES,9.067,169790610006.27,12077202607.29,357929,QUARTERLY,15.89,1324253704.22,436151395.52,46317446857.21,60.56,1,2068394143.34,0.4172,0.8228,0,321361201.4,CERTIFIED
2058-04,JUR0000556,SERVICES,0.19,110458047674.8,160383987.92,388537,MIXED,10.64,339326231.59,520821994.42,27237231184.23,47.11,1,6664511775.21,0.2191,1.1358,1,5688118953.61,PROVISIONAL
2058-05,JUR0000557,GENERAL,0.142,242120054379.36,262391578.7,140252,MONTHLY,12.22,1456206815.84,424639828.97,19952056353.91,11.66,1,728777754.19,0.6652,0.8893,0,7094353582.43,CERTIFIED
2058-06,JUR0000558,SERVICES,0.351,246473267719.8,751967832.53,288947,MONTHLY,13.76,1190495949.06,401714374.43,71899525219.44,43.92,1,1212738466.39,0.8515,1.2719,0,8103622023.57,CERTIFIED
2058-07,JUR0000559,TOBACCO,2.681,225934042600.67,5304781740.92,384009,ANNUAL,1.56,1319342000.06,47625144.62,23995119553.48,81.77,0,3761202935.13,0.261,1.1655,0,1448197665.78,UNCERTIFIED
2058-08,JUR0000560,SERVICES,4.289,2271767286.76,78334163.78,93188,MONTHLY,12.72,1295522574.51,410948857.16,741112288.63,59.78,0,3770478517.67,0.5778,1.0975,0,6919523820.21,CERTIFIED
2058-09,JUR0000561,TOBACCO,1.75,168815615260.06,2181243314.34,343147,MONTHLY,8.96,2104787028.39,655092000.46,33775001655.32,79.39,1,3510052910.93,0.6167,0.6014,0,1780187411.96,CERTIFIED
2058-10,JUR0000562,GROCERY,8.503,124258788934.69,8257827979.25,449535,MONTHLY,7.23,2226953299.74,735855616.14,1800082286.73,62.4,0,7975765246.67,0.0849,1.4651,0,7965240119.42,AUDITED
2058-11,JUR0000563,DIGITAL_GOODS,10.108,234286058893.33,19839025259.02,215957,MONTHLY,17.63,2310531023.93,412677680.55,20225783376.25,29.02,0,10541262602.35,0.6014,1.1552,0,2793523291.48,PROVISIONAL
2058-12,JUR0000564,ALCOHOL,1.488,22376469240.44,308121715.77,178717,QUARTERLY,3.48,815209393.15,367963481.08,3893869218.9,52.81,1,3478017380.58,0.8976,0.6982,0,3369731732.99,CERTIFIED
2059-01,JUR0000565,GROCERY,7.709,108654359032.35,7297583887.71,76665,MONTHLY,12.92,40008183.87,448106264.84,24564171411.83,46.28,0,8125759798.42,0.2467,1.4916,0,2114940004.04,CERTIFIED
2059-02,JUR0000566,ALCOHOL,9.44,219616181917.5,17693751938.96,315661,QUARTERLY,10.88,2124314109.63,560077134.39,43053804916.29,66.25,0,4595625176.38,0.0344,1.1498,0,3938814379.13,AUDITED
2059-03,JUR0000567,AUTO,7.883,156496966038.29,9767725901.79,261263,QUARTERLY,0.14,1513615848.74,703083738.04,826173341.25,51.68,1,10723705284.98,0.5233,0.7617,1,7951857232.53,CERTIFIED
2059-04,JUR0000568,ALCOHOL,5.712,84169293948.98,3902113716.13,282712,MONTHLY,10.93,1666448909.58,476902403.9,2461447105.56,75.02,1,10264006584.21,0.2561,1.323,0,6127390858.84,CERTIFIED
2059-05,JUR0000569,AUTO,8.946,200586902347.27,16394093421.38,250514,QUARTERLY,9.47,1623079072.33,203807725.85,47823477263.91,37.87,0,699325831.01,0.7758,1.4443,0,8244855048.89,UNCERTIFIED
2059-06,JUR0000570,ALCOHOL,2.304,223713549750.51,4934537511.0,340117,MONTHLY,1.57,2431295948.09,355100433.57,48835604241.86,58.49,0,1784328035.71,0.6447,1.3983,0,4509666959.67,UNCERTIFIED
2059-07,JUR0000571,RESTAURANT,5.416,204242028040.0,8573991564.11,101260,MIXED,10.69,63270047.75,385595149.19,52553629107.84,3.87,0,1953892771.88,0.4429,1.4693,0,6658175980.69,CERTIFIED
2059-08,JUR0000572,GROCERY,6.892,115356220646.71,6254078914.48,312978,MONTHLY,0.61,1994083336.69,726154569.42,5662734192.54,4.51,1,24629250.71,0.8692,1.0904,0,5734588668.44,AUDITED
2059-09,JUR0000573,RESTAURANT,3.949,119659181905.57,4498575179.66,8477,QUARTERLY,14.94,1573625204.84,97146243.88,7640912188.62,67.87,0,237920543.42,0.6212,1.1234,0,6675187584.86,CERTIFIED
2059-10,JUR0000574,FUEL,2.622,184683541813.02,3896170928.44,277790,MONTHLY,2.14,2002677140.36,432017510.25,30865654150.19,71.41,1,9123684631.61,0.1633,1.0586,1,5650160576.12,PROVISIONAL
2059-11,JUR0000575,SERVICES,7.682,13731900469.3,820210548.05,266801,QUARTERLY,13.12,360637006.38,793804096.72,3322628727.45,16.18,0,4132858882.25,0.9344,1.184,0,4018030635.28,CERTIFIED
2059-12,JUR0000576,DIGITAL_GOODS,2.609,149637225412.82,3112367742.46,262646,MONTHLY,16.93,206075738.83,172271953.68,29869303536.4,71.22,1,6537340309.89,0.4232,1.3113,0,1686873222.43,UNCERTIFIED
2060-01,JUR0000577,ALCOHOL,3.452,248339378661.19,7500724888.85,12590,QUARTERLY,8.54,1444482788.29,169733889.72,75991724004.29,61.15,1,11579363175.39,0.5265,1.0006,0,8558764278.56,UNCERTIFIED
2060-02,JUR0000578,DIGITAL_GOODS,8.938,66615580482.84,5642570893.93,249861,QUARTERLY,2.79,1638525886.31,427283134.81,16773749027.34,54.28,1,8302247271.3,0.2176,1.1476,0,6198858869.63,UNCERTIFIED
2060-03,JUR0000579,AUTO,3.471,81671698169.18,2507547126.24,168497,MIXED,16.66,2339923358.46,636021022.96,25398943577.07,59.77,1,2470035695.29,0.3845,1.0727,0,996258972.17,CERTIFIED
