trans_urban_reference_year,trans_urban_city_id,trans_urban_country_iso2,trans_urban_population_city,trans_urban_modal_share_public_transport_pct,trans_urban_modal_share_car_pct,trans_urban_modal_share_walk_pct,trans_urban_modal_share_bike_pct,trans_urban_pt_service_km_per_capita,trans_urban_pt_fare_affordability_index,trans_urban_bike_lane_km,trans_urban_shared_mobility_trips_per_capita,trans_urban_vision_zero_policy_flag,trans_urban_zero_emission_bus_share_pct,trans_urban_air_quality_low_emission_zone_flag,trans_urban_urban_logistics_plan_flag,trans_urban_congestion_charge_flag,trans_urban_data_source,trans_urban_data_quality_flag,trans_urban_data_extract_date
2019,CZ_CITY_534,CZ,1183960,41.95,36.2,14.8,7.05,41.087,0.5207,1795.15,106.29,0,42.24,1,0,0,MODEL_ESTIMATE,1,2024-06-12
2020,HU_CITY_535,HU,3098133,34.5,25.82,25.79,13.89,75.101,1.1652,3315.92,106.12,0,75.74,1,1,1,NATIONAL_URBAN_STAT,1,2025-09-23
2021,NL_CITY_536,NL,2423940,37.93,37.59,24.17,0.31,47.393,0.5182,1363.26,204.71,0,105.36,0,0,1,CITY_MOBILITY_SURVEY,1,2024-05-31
2022,SE_CITY_537,SE,5801178,37.35,28.75,17.24,16.66,65.379,0.9763,1427.59,92.79,0,68.79,1,0,1,URBAN_AUDIT,1,2024-07-02
2023,DK_CITY_538,DK,1230452,39.75,30.06,20.53,9.66,42.555,1.2895,353.11,92.87,0,77.53,1,1,0,MODEL_ESTIMATE,1,2024-06-20
2024,IE_CITY_539,IE,8931002,27.54,47.98,24.15,0.33,28.457,0.8617,509.48,69.28,0,64.3,0,0,0,NATIONAL_URBAN_STAT,1,2025-01-13
2025,PL_CITY_540,PL,5845572,36.5,25.59,37.51,0.4,43.443,1.1996,369.01,205.05,1,54.6,1,0,0,CITY_MOBILITY_SURVEY,1,2026-01-30
2006,AT_CITY_541,AT,8098223,39.23,47.35,8.48,4.94,78.611,1.057,229.52,49.12,0,29.93,0,0,0,URBAN_AUDIT,1,2025-12-28
2007,EE_CITY_542,EE,4750606,28.44,29.53,32.77,9.26,50.09,0.6366,427.83,105.33,0,48.54,0,0,0,MODEL_ESTIMATE,1,2024-01-11
2008,IT_CITY_543,IT,8766429,26.48,27.77,17.99,27.76,74.578,0.7359,1897.29,115.68,0,49.12,1,0,0,NATIONAL_URBAN_STAT,1,2025-01-11
2009,PT_CITY_544,PT,759810,49.96,38.66,10.51,0.87,78.511,0.8913,1783.25,47.09,0,52.0,0,1,0,CITY_MOBILITY_SURVEY,1,2025-10-23
2010,BE_CITY_545,BE,7699552,20.1,42.62,31.09,6.19,10.138,1.4788,299.39,63.03,1,56.99,0,0,0,URBAN_AUDIT,1,2024-01-12
2011,FI_CITY_546,FI,10902124,39.45,13.97,31.91,14.67,75.407,0.8117,1318.65,99.99,0,22.28,0,0,0,MODEL_ESTIMATE,1,2024-01-09
2012,LV_CITY_547,LV,4333932,13.25,34.57,33.92,18.26,6.477,1.5516,2973.94,3.53,0,48.12,0,0,0,NATIONAL_URBAN_STAT,1,2024-01-15
2013,RO_CITY_548,RO,5022086,13.73,25.57,29.44,11.71,38.92,1.2385,1637.84,138.6,0,1.95,1,0,0,CITY_MOBILITY_SURVEY,0,2024-02-22
2014,BG_CITY_549,BG,7221235,29.27,16.37,34.49,12.68,71.112,0.8997,2395.03,44.19,1,17.38,1,1,0,URBAN_AUDIT,1,2025-01-11
2015,FR_CITY_550,FR,5806560,15.28,37.97,32.44,14.05,72.392,1.5881,1356.57,118.22,1,31.28,1,1,1,MODEL_ESTIMATE,1,2025-04-20
2016,LT_CITY_551,LT,5311163,39.43,12.03,34.02,14.52,6.864,0.8248,3345.85,31.85,0,25.89,1,1,0,NATIONAL_URBAN_STAT,1,2024-08-12
2017,SK_CITY_552,SK,7757463,47.31,39.46,12.75,0.48,65.282,1.6244,87.91,33.89,0,5.17,0,0,1,CITY_MOBILITY_SURVEY,0,2025-05-06
2018,HR_CITY_553,HR,1790436,32.06,15.15,18.85,33.94,47.047,0.3729,89.24,86.72,1,25.2,0,1,1,URBAN_AUDIT,1,2025-04-01
2019,DE_CITY_554,DE,310885,28.18,38.04,22.47,11.31,65.192,0.9209,2278.51,16.47,1,42.56,0,0,0,MODEL_ESTIMATE,1,2025-12-28
2020,LU_CITY_555,LU,3348580,40.94,38.48,7.43,13.15,66.603,1.1058,2472.99,111.05,0,90.34,1,0,0,NATIONAL_URBAN_STAT,1,2024-10-29
2021,SI_CITY_556,SI,1138699,37.27,44.33,18.06,0.34,35.337,0.5926,1208.11,88.7,0,28.44,1,1,1,CITY_MOBILITY_SURVEY,1,2025-02-04
2022,CY_CITY_557,CY,5365936,41.93,30.95,26.67,0.45,55.449,0.6454,348.21,253.63,0,54.38,0,0,0,URBAN_AUDIT,1,2024-05-08
2023,GR_CITY_558,GR,6731274,45.01,17.49,13.83,10.73,46.321,0.748,17.23,157.51,1,25.77,1,0,1,MODEL_ESTIMATE,1,2025-11-28
2024,MT_CITY_559,MT,6296718,13.79,23.54,36.61,16.4,81.94,0.4478,2829.21,105.27,1,21.59,1,0,0,NATIONAL_URBAN_STAT,1,2025-06-09
2025,ES_CITY_560,ES,5612012,37.57,34.56,25.23,2.64,40.274,0.6775,722.61,177.76,1,22.38,1,1,0,CITY_MOBILITY_SURVEY,1,2024-12-14
2006,CZ_CITY_561,CZ,3181293,39.62,41.33,6.65,2.86,55.487,1.3427,2369.39,0.44,0,5.79,0,0,0,URBAN_AUDIT,1,2024-01-11
2007,HU_CITY_562,HU,12106577,38.08,30.97,16.1,14.85,4.938,0.402,2751.0,91.83,0,23.83,0,0,0,MODEL_ESTIMATE,1,2024-09-28
2008,NL_CITY_563,NL,3782310,26.0,47.73,25.92,0.35,29.646,0.4772,7.35,89.01,0,33.55,1,0,0,NATIONAL_URBAN_STAT,1,2024-09-28
2009,SE_CITY_564,SE,3097851,19.25,42.79,21.81,16.15,79.975,0.6403,1633.85,95.28,1,8.31,0,0,1,CITY_MOBILITY_SURVEY,1,2025-04-07
2010,DK_CITY_565,DK,2072773,16.16,54.61,20.01,9.22,57.586,0.7395,311.28,100.16,0,41.68,0,1,0,URBAN_AUDIT,1,2025-01-25
2011,IE_CITY_566,IE,176317,35.62,36.42,24.37,3.59,65.964,1.0622,1746.81,90.14,1,10.27,1,0,0,MODEL_ESTIMATE,1,2024-05-28
2012,PL_CITY_567,PL,820969,23.01,57.22,17.51,2.26,44.863,0.3994,774.66,77.71,0,42.16,0,0,1,NATIONAL_URBAN_STAT,1,2024-12-18
2013,AT_CITY_568,AT,8319893,58.19,13.33,10.21,18.27,49.578,0.8532,3300.81,131.48,1,46.51,0,0,0,CITY_MOBILITY_SURVEY,1,2025-08-11
2014,EE_CITY_569,EE,4879836,22.6,38.42,19.01,19.97,59.247,0.8162,2363.07,132.44,0,44.99,0,1,0,URBAN_AUDIT,1,2024-07-12
2015,IT_CITY_570,IT,6725133,19.82,43.88,19.02,17.28,31.671,1.0909,921.29,14.96,0,51.3,0,0,0,MODEL_ESTIMATE,1,2025-05-02
2016,PT_CITY_571,PT,7896545,51.2,21.86,16.76,10.18,59.008,1.533,974.03,45.41,0,50.63,0,1,0,NATIONAL_URBAN_STAT,1,2024-11-23
2017,BE_CITY_572,BE,7506635,47.51,23.25,27.88,1.36,64.518,0.3558,1040.9,55.89,1,17.36,0,0,1,CITY_MOBILITY_SURVEY,1,2024-08-14
2018,FI_CITY_573,FI,5977888,20.62,16.95,47.72,1.46,53.039,0.9441,1908.3,26.27,0,19.64,0,0,1,URBAN_AUDIT,1,2024-09-05
2019,LV_CITY_574,LV,4599936,29.88,42.16,17.72,10.24,67.063,0.5295,1701.45,271.59,0,19.12,0,1,0,MODEL_ESTIMATE,1,2025-02-01
2020,RO_CITY_575,RO,1078745,39.85,15.41,29.51,15.23,77.322,0.6836,3101.72,59.52,1,110.59,0,0,1,NATIONAL_URBAN_STAT,1,2024-05-31
2021,BG_CITY_576,BG,7564995,17.7,55.86,23.51,2.93,16.547,1.6298,717.23,28.29,0,66.65,1,0,0,CITY_MOBILITY_SURVEY,1,2024-06-21
2022,FR_CITY_577,FR,2281801,27.12,48.51,23.94,0.43,44.92,1.3807,1684.25,112.85,1,17.24,1,1,0,URBAN_AUDIT,1,2025-07-06
2023,LT_CITY_578,LT,4838667,11.26,24.88,33.1,4.05,12.394,1.3746,937.2,267.65,1,78.2,1,0,1,MODEL_ESTIMATE,1,2025-09-29
2024,SK_CITY_579,SK,738647,42.64,37.95,4.27,15.14,13.847,1.0636,2395.69,165.79,0,27.28,1,0,0,NATIONAL_URBAN_STAT,1,2025-09-29
2025,HR_CITY_580,HR,8953062,34.55,43.15,20.06,2.24,84.356,1.3281,1360.24,2.86,0,80.5,0,1,0,CITY_MOBILITY_SURVEY,1,2024-12-09
2006,DE_CITY_581,DE,7535319,33.1,42.29,21.3,3.31,4.177,1.5886,1729.47,33.8,0,55.1,1,1,1,URBAN_AUDIT,1,2026-02-24
2007,LU_CITY_582,LU,1265958,20.71,41.29,37.61,0.39,53.627,0.888,1931.41,37.87,0,3.39,1,1,0,MODEL_ESTIMATE,1,2024-12-11
2008,SI_CITY_583,SI,6528386,45.41,43.14,8.22,3.23,69.543,1.0845,161.92,92.52,0,32.02,0,0,0,NATIONAL_URBAN_STAT,1,2026-01-07
2009,CY_CITY_584,CY,5185387,38.98,28.74,31.91,0.37,18.406,1.1213,286.42,107.49,0,51.11,1,1,0,CITY_MOBILITY_SURVEY,1,2024-02-12
2010,GR_CITY_585,GR,9296875,61.85,18.19,11.43,5.01,74.336,0.7151,34.12,93.77,1,20.96,1,1,0,URBAN_AUDIT,1,2025-07-16
2011,MT_CITY_586,MT,4851665,36.45,16.61,19.72,4.99,10.267,1.1437,875.19,39.83,1,5.61,0,0,0,MODEL_ESTIMATE,1,2024-08-21
2012,ES_CITY_587,ES,1927234,45.78,23.7,13.59,16.93,64.706,1.2807,1653.25,49.81,0,27.49,1,1,0,NATIONAL_URBAN_STAT,1,2024-05-10
2013,CZ_CITY_588,CZ,5186602,30.42,10.98,37.76,20.84,68.76,0.7465,697.6,138.35,1,42.11,0,0,1,CITY_MOBILITY_SURVEY,1,2025-10-13
2014,HU_CITY_589,HU,5371620,32.44,41.04,17.91,8.61,37.375,1.5089,1089.99,57.38,0,21.58,1,1,0,URBAN_AUDIT,1,2026-02-06
2015,NL_CITY_590,NL,3158707,39.51,25.05,24.31,10.74,27.492,1.2212,1752.09,135.1,1,33.26,0,0,0,MODEL_ESTIMATE,1,2024-02-15
2016,SE_CITY_591,SE,3161398,17.35,33.48,44.06,1.83,81.143,1.5808,1180.26,1.71,1,55.88,0,0,0,NATIONAL_URBAN_STAT,1,2026-02-01
2017,DK_CITY_592,DK,4921229,26.11,40.82,31.23,1.84,71.412,0.4403,288.94,107.4,0,52.14,0,1,0,CITY_MOBILITY_SURVEY,0,2024-04-07
2018,IE_CITY_593,IE,196530,18.92,22.64,30.68,7.48,58.51,1.3377,2352.94,84.6,0,26.71,0,1,0,URBAN_AUDIT,1,2024-07-26
2019,PL_CITY_594,PL,5386097,42.05,13.06,10.22,22.56,23.179,0.5179,599.29,212.23,0,44.46,0,0,0,MODEL_ESTIMATE,1,2025-04-02
2020,AT_CITY_595,AT,1814181,25.51,19.79,18.55,16.59,70.804,0.664,2425.21,10.69,0,4.51,1,0,0,NATIONAL_URBAN_STAT,1,2025-07-23
2021,EE_CITY_596,EE,4294485,31.79,30.57,27.48,10.16,58.467,0.4284,168.28,143.23,0,8.74,0,0,1,CITY_MOBILITY_SURVEY,1,2025-05-06
2022,IT_CITY_597,IT,5053973,15.54,57.57,15.59,11.3,49.437,0.8011,655.09,75.52,1,21.36,1,1,0,URBAN_AUDIT,1,2025-08-03
2023,PT_CITY_598,PT,7605396,33.43,49.75,16.35,0.47,25.905,0.3798,2070.45,187.36,1,76.92,0,0,0,MODEL_ESTIMATE,1,2024-01-14
2024,BE_CITY_599,BE,7717533,19.04,38.11,35.05,7.8,3.312,0.5255,1223.85,32.57,1,82.46,0,1,0,NATIONAL_URBAN_STAT,1,2024-10-15
2025,FI_CITY_600,FI,7026848,30.65,35.32,22.52,11.51,9.353,0.6979,382.84,97.97,1,19.03,1,0,1,CITY_MOBILITY_SURVEY,1,2025-07-26
2006,LV_CITY_001,LV,4440882,50.36,27.65,19.77,2.22,4.998,1.1665,1847.45,142.29,0,40.24,1,0,1,URBAN_AUDIT,1,2024-11-17
2007,RO_CITY_002,RO,11287740,38.05,19.24,10.85,2.92,43.335,0.8016,985.95,25.92,1,16.56,0,1,1,MODEL_ESTIMATE,1,2025-06-22
2008,BG_CITY_003,BG,2828587,8.44,49.2,29.7,12.66,18.556,1.2265,542.27,33.87,1,45.4,1,0,0,NATIONAL_URBAN_STAT,1,2025-03-22
2009,FR_CITY_004,FR,5062456,7.21,47.13,28.06,17.6,29.317,1.4035,3075.34,35.39,0,39.54,0,0,0,CITY_MOBILITY_SURVEY,1,2025-06-24
2010,LT_CITY_005,LT,434071,19.09,35.24,32.15,13.52,50.607,1.6021,2276.39,117.81,0,37.27,0,0,1,URBAN_AUDIT,1,2024-09-18
2011,SK_CITY_006,SK,11791889,30.42,39.21,21.52,8.85,24.738,1.0585,1389.65,64.44,0,18.77,0,0,0,MODEL_ESTIMATE,1,2024-12-19
2012,HR_CITY_007,HR,912511,33.84,17.49,17.4,5.34,17.303,0.4451,653.07,102.81,0,3.94,1,0,0,NATIONAL_URBAN_STAT,1,2025-05-27
2013,DE_CITY_008,DE,6596241,8.7,15.27,18.99,57.04,69.515,1.0971,1961.93,123.26,1,20.88,1,1,0,CITY_MOBILITY_SURVEY,1,2025-04-13
2014,LU_CITY_009,LU,11441688,39.55,23.01,29.21,8.23,64.679,0.7272,1542.38,0.56,0,36.0,0,0,0,URBAN_AUDIT,1,2026-02-02
2015,SI_CITY_010,SI,8479990,36.73,21.64,16.54,25.09,72.321,1.01,2042.06,103.3,0,46.91,0,1,0,MODEL_ESTIMATE,1,2025-11-22
2016,CY_CITY_011,CY,10349691,46.84,23.4,15.66,14.1,13.689,1.0401,2716.88,12.19,1,5.69,1,0,0,NATIONAL_URBAN_STAT,1,2026-01-17
2017,GR_CITY_012,GR,2517340,22.15,24.52,20.91,22.69,83.839,1.5166,736.56,105.4,1,45.09,0,1,0,CITY_MOBILITY_SURVEY,1,2024-12-08
2018,MT_CITY_013,MT,4687213,9.8,21.47,8.04,60.69,74.104,1.2489,2910.1,132.78,1,2.9,0,1,0,URBAN_AUDIT,1,2025-12-13
2019,ES_CITY_014,ES,6090652,30.13,32.94,16.9,18.38,71.542,0.8987,1380.28,139.58,0,46.26,1,0,0,MODEL_ESTIMATE,1,2024-05-11
2020,CZ_CITY_015,CZ,383259,40.75,20.31,26.82,12.12,24.003,0.599,403.32,117.58,1,9.85,0,1,0,NATIONAL_URBAN_STAT,1,2024-03-26
2021,HU_CITY_016,HU,5259693,49.27,12.99,37.3,0.44,25.264,1.4297,2355.51,125.38,0,85.32,0,0,0,CITY_MOBILITY_SURVEY,1,2025-07-02
2022,NL_CITY_017,NL,5591142,29.2,44.66,21.18,4.96,23.958,1.5716,1001.07,246.34,0,107.49,1,0,0,URBAN_AUDIT,1,2025-01-12
2023,SE_CITY_018,SE,11811219,26.17,41.69,18.98,13.16,33.474,0.5701,2415.17,193.09,1,51.8,1,0,0,MODEL_ESTIMATE,1,2025-06-07
2024,DK_CITY_019,DK,217764,9.23,39.27,42.99,8.51,42.972,0.7516,2158.77,32.32,0,22.77,0,0,0,NATIONAL_URBAN_STAT,1,2025-05-17
2025,IE_CITY_020,IE,11492729,21.23,41.16,32.07,5.54,50.767,0.9655,1418.38,204.84,0,81.96,0,0,0,CITY_MOBILITY_SURVEY,1,2025-04-06
2006,PL_CITY_021,PL,10435924,22.82,46.41,21.56,9.21,74.642,0.8456,175.27,136.05,0,13.68,0,0,1,URBAN_AUDIT,1,2024-08-29
2007,AT_CITY_022,AT,660280,23.72,26.8,31.06,2.73,27.455,0.7632,1684.56,99.09,0,24.44,0,1,0,MODEL_ESTIMATE,1,2025-07-16
2008,EE_CITY_023,EE,2999245,26.17,42.72,23.77,7.34,31.539,1.1737,989.96,35.69,1,14.93,0,1,1,NATIONAL_URBAN_STAT,1,2024-06-03
2009,IT_CITY_024,IT,10057131,8.18,51.96,22.18,10.7,27.264,0.6275,237.56,7.81,1,0.46,1,0,0,CITY_MOBILITY_SURVEY,0,2024-04-14
2010,PT_CITY_025,PT,621620,47.48,14.51,17.03,20.98,39.508,1.3726,1790.03,106.88,1,7.12,0,0,1,URBAN_AUDIT,1,2024-03-29
2011,BE_CITY_026,BE,1577727,10.28,50.93,11.39,17.95,43.391,0.9745,2894.07,6.18,0,0.79,0,0,0,MODEL_ESTIMATE,1,2024-09-24
2012,FI_CITY_027,FI,10615266,35.19,40.71,6.22,8.2,38.305,1.1718,1732.22,96.55,0,2.33,1,0,0,NATIONAL_URBAN_STAT,1,2024-06-01
2013,LV_CITY_028,LV,1561563,41.22,35.37,17.54,5.87,44.848,1.5636,731.96,105.35,0,46.92,0,0,0,CITY_MOBILITY_SURVEY,1,2024-07-03
2014,RO_CITY_029,RO,2561491,19.16,46.43,32.73,1.68,24.971,1.364,194.07,36.85,1,42.18,0,1,0,URBAN_AUDIT,1,2025-01-05
2015,BG_CITY_030,BG,3513297,14.88,50.27,34.38,0.47,13.994,1.0056,1647.92,124.49,0,19.99,0,0,1,MODEL_ESTIMATE,1,2024-06-03
2016,FR_CITY_031,FR,3773891,19.54,32.5,33.04,14.92,15.601,0.4577,2469.76,20.21,0,23.17,1,1,1,NATIONAL_URBAN_STAT,1,2025-08-29
2017,LT_CITY_032,LT,6303344,52.53,28.84,18.19,0.44,44.669,1.3057,917.4,96.28,1,38.92,1,1,0,CITY_MOBILITY_SURVEY,1,2024-12-06
2018,SK_CITY_033,SK,821080,10.13,51.06,37.82,0.99,69.654,1.5719,482.97,61.35,0,43.83,0,0,0,URBAN_AUDIT,1,2024-11-10
2019,HR_CITY_034,HR,13205077,20.42,26.86,36.6,16.12,53.094,0.6048,1553.48,222.61,0,26.48,1,0,1,MODEL_ESTIMATE,1,2025-02-19
2020,DE_CITY_035,DE,11071105,42.14,40.06,17.35,0.45,54.669,1.4245,1774.41,168.4,0,46.99,0,0,0,NATIONAL_URBAN_STAT,1,2024-12-22
2021,LU_CITY_036,LU,5339911,15.18,45.14,21.82,17.86,70.517,0.4424,3242.49,200.49,0,52.81,0,0,0,CITY_MOBILITY_SURVEY,1,2024-11-05
2022,SI_CITY_037,SI,1670500,35.97,33.41,24.46,6.16,22.304,1.0926,164.22,142.06,0,110.05,0,0,0,URBAN_AUDIT,1,2025-01-15
2023,CY_CITY_038,CY,11648775,20.08,46.86,26.61,6.45,48.229,0.6671,2163.91,36.26,0,45.76,1,0,1,MODEL_ESTIMATE,0,2026-01-19
2024,GR_CITY_039,GR,656460,29.66,38.7,31.27,0.37,41.624,1.1954,1700.08,208.58,0,57.13,1,0,0,NATIONAL_URBAN_STAT,1,2025-03-13
2025,MT_CITY_040,MT,1358281,15.96,25.48,17.35,41.21,60.73,1.5942,1801.7,6.15,0,83.02,1,0,0,CITY_MOBILITY_SURVEY,1,2024-03-15
2006,ES_CITY_041,ES,10274819,49.06,24.1,6.62,20.22,6.647,0.6927,1931.09,118.71,1,17.84,0,1,0,URBAN_AUDIT,1,2026-02-02
2007,CZ_CITY_042,CZ,8685629,58.29,19.02,13.02,9.67,37.942,0.933,75.6,8.47,0,20.35,0,0,0,MODEL_ESTIMATE,1,2025-03-12
2008,HU_CITY_043,HU,4024144,27.94,32.98,38.66,0.42,35.419,1.1193,1014.67,98.48,1,52.48,0,1,1,NATIONAL_URBAN_STAT,1,2025-03-05
2009,NL_CITY_044,NL,4205095,37.64,55.68,6.18,0.5,47.804,0.9568,1656.03,53.9,0,54.88,1,0,0,CITY_MOBILITY_SURVEY,1,2024-01-28
2010,SE_CITY_045,SE,8125151,10.82,66.96,10.7,11.52,76.083,1.4932,1018.74,29.08,1,7.05,1,1,1,URBAN_AUDIT,1,2024-08-16
2011,DK_CITY_046,DK,507705,9.34,19.72,43.36,27.58,81.605,0.6832,3058.18,72.66,0,20.73,0,0,0,MODEL_ESTIMATE,1,2025-08-09
2012,IE_CITY_047,IE,3707411,35.84,51.4,8.24,4.52,36.284,0.6932,558.61,78.29,0,32.49,1,0,0,NATIONAL_URBAN_STAT,1,2024-08-26
2013,PL_CITY_048,PL,465801,49.66,24.16,22.6,3.58,59.594,0.8766,569.94,80.94,1,45.17,1,1,0,CITY_MOBILITY_SURVEY,1,2025-10-30
2014,AT_CITY_049,AT,9469952,19.5,36.36,17.46,10.54,35.85,0.3509,1322.86,111.3,0,5.96,1,1,0,URBAN_AUDIT,1,2025-08-12
2015,EE_CITY_050,EE,6377473,33.7,34.25,21.21,10.84,5.975,1.6055,1057.14,108.47,0,55.85,1,1,1,MODEL_ESTIMATE,0,2025-04-02
2016,IT_CITY_051,IT,8782997,8.67,21.17,9.41,18.86,45.009,0.5342,1400.17,50.04,0,34.38,1,0,0,NATIONAL_URBAN_STAT,1,2024-08-13
2017,PT_CITY_052,PT,5542617,40.62,43.0,5.35,11.03,6.879,0.8883,1720.4,5.33,0,50.27,0,1,1,CITY_MOBILITY_SURVEY,1,2025-10-30
2018,BE_CITY_053,BE,4583059,27.74,50.0,20.96,1.3,51.34,1.4631,840.22,143.07,1,44.53,0,1,0,URBAN_AUDIT,1,2025-09-21
2019,FI_CITY_054,FI,8474016,8.48,21.19,33.38,4.16,70.671,0.765,2316.72,181.27,0,42.4,0,0,1,MODEL_ESTIMATE,1,2025-09-25
2020,LV_CITY_055,LV,3919550,33.98,25.24,29.29,11.49,74.143,0.6126,2223.08,149.05,0,18.87,0,1,0,NATIONAL_URBAN_STAT,1,2024-12-17
2021,RO_CITY_056,RO,10548158,12.12,52.02,16.44,19.42,74.887,0.5852,1857.23,12.59,1,102.38,0,1,0,CITY_MOBILITY_SURVEY,1,2024-03-28
2022,BG_CITY_057,BG,6375647,23.29,53.31,23.01,0.39,56.582,0.7235,1658.6,219.8,1,68.94,1,1,0,URBAN_AUDIT,1,2025-03-21
2023,FR_CITY_058,FR,3171850,27.29,37.1,21.16,14.45,41.614,1.2639,1005.86,178.72,0,29.44,1,0,0,MODEL_ESTIMATE,1,2025-01-13
2024,LT_CITY_059,LT,2728243,19.7,48.32,24.68,7.3,61.826,1.1162,569.97,27.96,1,29.38,0,1,0,NATIONAL_URBAN_STAT,1,2024-03-20
2025,SK_CITY_060,SK,6124080,40.95,17.48,23.02,1.14,44.629,0.9253,409.45,142.31,1,106.65,1,0,0,CITY_MOBILITY_SURVEY,1,2025-04-20
2006,HR_CITY_061,HR,5581230,38.37,38.01,23.23,0.39,35.775,0.7324,1152.68,103.44,0,27.54,1,0,0,URBAN_AUDIT,1,2025-03-21
2007,DE_CITY_062,DE,6694590,30.21,58.21,7.38,4.2,63.192,0.5719,1722.69,15.15,1,3.71,0,0,0,MODEL_ESTIMATE,1,2025-09-01
2008,LU_CITY_063,LU,2051401,27.99,20.39,33.69,17.93,34.855,1.3758,557.21,37.89,1,32.97,0,1,1,NATIONAL_URBAN_STAT,1,2024-09-10
2009,SI_CITY_064,SI,7241829,35.17,31.36,19.98,13.49,2.934,1.5123,2482.9,13.77,1,42.97,0,0,0,CITY_MOBILITY_SURVEY,1,2025-04-04
2010,CY_CITY_065,CY,12257013,27.96,24.51,31.88,15.65,74.785,0.7412,1363.5,9.08,1,24.43,0,1,0,URBAN_AUDIT,1,2025-09-23
2011,GR_CITY_066,GR,5082242,26.05,29.09,30.89,13.97,20.321,1.4219,950.47,92.47,1,2.63,0,0,1,MODEL_ESTIMATE,1,2025-07-07
2012,MT_CITY_067,MT,8022060,38.76,21.67,9.57,30.0,27.243,0.8634,2078.17,50.1,0,51.18,1,0,1,NATIONAL_URBAN_STAT,1,2025-12-11
2013,ES_CITY_068,ES,8756362,27.0,18.78,25.95,17.81,30.144,0.9195,2519.97,21.77,0,10.36,0,1,0,CITY_MOBILITY_SURVEY,0,2025-02-24
2014,CZ_CITY_069,CZ,10412136,43.83,31.19,9.63,15.35,7.582,0.5544,2638.99,121.37,0,8.05,0,0,0,URBAN_AUDIT,0,2025-07-19
2015,HU_CITY_070,HU,6845306,33.48,31.44,22.64,12.44,65.98,0.6849,2566.72,132.98,1,8.85,0,0,0,MODEL_ESTIMATE,1,2025-06-06
2016,NL_CITY_071,NL,12302214,32.07,41.15,17.22,9.56,10.501,0.8978,1356.01,24.5,0,20.9,1,1,0,NATIONAL_URBAN_STAT,1,2024-12-27
2017,SE_CITY_072,SE,8865581,13.21,59.85,13.91,13.03,9.805,0.7494,2854.85,27.27,0,22.07,0,0,1,CITY_MOBILITY_SURVEY,1,2024-09-01
2018,DK_CITY_073,DK,6675246,16.65,17.31,47.64,5.23,54.705,0.6476,269.1,145.45,0,0.51,1,0,0,URBAN_AUDIT,1,2024-11-26
2019,IE_CITY_074,IE,4516686,34.49,23.91,41.14,0.46,40.473,0.5983,2135.8,30.3,0,1.58,0,0,0,MODEL_ESTIMATE,1,2025-03-08
2020,PL_CITY_075,PL,2178162,44.73,43.27,5.04,6.96,52.364,0.6834,1105.92,194.03,1,91.69,1,0,0,NATIONAL_URBAN_STAT,1,2024-03-10
2021,AT_CITY_076,AT,4500725,43.99,30.83,17.48,7.7,25.715,1.3891,543.78,168.0,1,102.86,1,0,0,CITY_MOBILITY_SURVEY,1,2024-02-18
2022,EE_CITY_077,EE,2622684,28.79,32.44,32.14,6.63,26.716,1.3434,1255.02,82.38,1,41.7,0,0,0,URBAN_AUDIT,1,2024-06-20
2023,IT_CITY_078,IT,1017001,25.35,42.0,18.51,14.14,52.536,1.5398,107.95,51.23,1,15.21,0,0,0,MODEL_ESTIMATE,1,2024-05-17
2024,PT_CITY_079,PT,2225591,43.33,41.72,14.59,0.36,55.824,1.4264,2277.07,107.04,1,52.93,1,0,1,NATIONAL_URBAN_STAT,1,2025-05-07
2025,BE_CITY_080,BE,1042409,37.4,43.01,13.21,6.38,2.709,0.8731,1364.89,175.73,0,15.77,1,0,0,CITY_MOBILITY_SURVEY,1,2024-03-28
2006,FI_CITY_081,FI,3743012,37.82,25.28,32.05,4.85,45.774,0.7943,273.36,38.41,1,24.36,0,0,1,URBAN_AUDIT,1,2025-07-22
2007,LV_CITY_082,LV,4863085,10.03,34.09,15.83,15.49,84.761,1.6348,1097.88,103.22,1,28.37,1,1,0,MODEL_ESTIMATE,1,2024-09-30
2008,RO_CITY_083,RO,6553694,26.01,26.64,15.83,21.19,32.911,0.8987,312.3,35.4,0,54.86,1,0,0,NATIONAL_URBAN_STAT,1,2026-02-04
2009,BG_CITY_084,BG,963439,32.59,41.6,25.48,0.33,82.171,0.5318,1766.38,26.0,0,23.95,0,0,0,CITY_MOBILITY_SURVEY,1,2025-01-07
2010,FR_CITY_085,FR,10604912,27.7,23.03,19.78,10.66,74.899,0.4628,498.69,142.62,1,32.56,1,0,0,URBAN_AUDIT,1,2024-12-20
2011,LT_CITY_086,LT,594894,38.89,32.06,28.73,0.32,18.906,0.3629,1251.47,74.01,1,40.8,0,0,0,MODEL_ESTIMATE,1,2024-01-28
2012,SK_CITY_087,SK,1767197,21.93,27.98,35.62,7.92,83.479,0.7942,1469.27,17.35,0,55.26,0,1,0,NATIONAL_URBAN_STAT,0,2026-02-12
2013,HR_CITY_088,HR,3357199,27.95,49.83,17.03,5.19,10.964,1.0821,1988.09,25.33,1,50.95,1,0,0,CITY_MOBILITY_SURVEY,1,2025-10-02
