agri_crops_harvest_year,agri_crops_country_iso2,agri_crops_region_nuts_code,agri_crops_crop_code,agri_crops_area_harvested_ha,agri_crops_production_tonnes,agri_crops_yield_t_per_ha,agri_crops_irrigated_area_ha,agri_crops_input_fertiliser_kg_per_ha,agri_crops_input_pesticide_kg_per_ha,agri_crops_seed_type_code,agri_crops_gmo_flag,agri_crops_extreme_weather_event_code,agri_crops_soil_moisture_index,agri_crops_market_price_eur_per_t,agri_crops_storage_capacity_tonnes,agri_crops_supply_chain_disruption_flag,agri_crops_eurostat_table_code,agri_crops_methodology_version,agri_crops_data_extract_date
2015,BE,SE7,MAIZE,478.7,3461.48,7.231,227.22,102.03,4.58,CERTIFIED,0,NONE,0.0928,172.61,3932.06,0,apro_cpshr,CROPS_2022A,2024-07-13
2016,FI,GR90,TOMATO,271.69,14656.86,53.947,167.98,154.41,1.328,ORGANIC,0,HAIL,0.749,111.18,29662.4,0,apro_cpnh1,CROPS_2025D,2024-05-24
2017,LV,RO34,RYE,1192.96,3137.48,2.63,424.58,107.75,2.216,CONVENTIONAL,0,FLOOD,0.1072,464.23,5222.16,0,apro_cpsh1,CROPS_2024C,2025-12-23
2018,RO,DK81,SUNFLOWER,226.73,225.6,0.995,47.59,109.13,1.406,HYBRID,0,WILDFIRE,0.3573,287.52,304.91,1,prc_hicp_midx,CROPS_2023B,2024-02-20
2019,BG,IT321,GRAPES,388.62,1496.96,3.852,178.89,118.64,5.15,DROUGHT_TOLERANT,0,FROST,0.6235,346.55,1875.52,0,aei_pr_gnb,CROPS_2022A,2024-05-15
2020,FR,CZ722,BARLEY,450.47,1564.93,3.474,101.31,45.27,6.361,CERTIFIED,0,DROUGHT,0.6691,235.86,2744.32,0,apro_cpshr,CROPS_2025D,2025-06-22
2021,LT,RO644,POTATO,246.78,7974.7,32.315,94.26,32.8,3.892,ORGANIC,0,STORM,0.3337,814.87,5065.95,0,apro_cpnh1,CROPS_2024C,2025-10-24
2022,SK,SI7,OATS,951.55,3428.43,3.603,90.08,73.52,0.775,CONVENTIONAL,0,HEATWAVE,0.3613,673.82,2236.23,0,apro_cpsh1,CROPS_2023B,2025-05-04
2023,HR,DE1,RAPESEED,192.75,703.15,3.648,54.29,80.91,3.577,HYBRID,0,NONE,0.7652,851.05,1357.19,0,prc_hicp_midx,CROPS_2022A,2025-09-12
2024,DE,ES909,OLIVES,825.75,2131.26,2.581,399.17,51.02,7.339,DROUGHT_TOLERANT,0,HAIL,0.425,841.23,822.13,0,aei_pr_gnb,CROPS_2025D,2024-04-13
2025,LU,BG3,WHEAT,286.15,1229.01,4.295,44.51,215.27,2.943,CERTIFIED,0,FLOOD,0.3082,500.14,1336.54,0,apro_cpshr,CROPS_2024C,2024-08-24
2026,SI,HR288,SUGAR_BEET,124.95,6674.95,53.421,60.35,124.7,0.659,ORGANIC,0,WILDFIRE,0.8831,356.89,2437.09,0,apro_cpnh1,CROPS_2023B,2026-01-31
2010,CY,AT57,SOY,243.51,790.92,3.248,130.26,222.57,2.001,CONVENTIONAL,0,FROST,0.0843,423.66,1104.54,0,apro_cpsh1,CROPS_2022A,2025-12-20
2011,GR,FI363,MAIZE,1170.47,11242.36,9.605,747.84,211.03,3.756,HYBRID,0,DROUGHT,0.1099,430.44,4779.32,1,prc_hicp_midx,CROPS_2025D,2025-04-14
2012,MT,LT494,TOMATO,272.82,17903.27,65.623,117.84,145.14,6.867,DROUGHT_TOLERANT,0,STORM,0.4362,979.57,25194.04,0,aei_pr_gnb,CROPS_2024C,2024-11-30
2013,ES,CZ327,RYE,230.04,368.06,1.6,30.25,178.22,0.446,CERTIFIED,0,HEATWAVE,0.5268,314.13,589.12,0,apro_cpshr,CROPS_2023B,2025-12-24
2014,CZ,GR396,SUNFLOWER,290.24,967.08,3.332,95.9,122.35,7.392,ORGANIC,0,NONE,0.0791,382.71,1346.23,0,apro_cpnh1,CROPS_2022A,2025-10-10
2015,HU,EE95,GRAPES,391.75,3587.65,9.158,214.49,57.58,0.357,CONVENTIONAL,0,HAIL,0.8088,166.28,6902.83,0,apro_cpsh1,CROPS_2025D,2024-02-25
2016,NL,RO8,BARLEY,205.02,562.98,2.746,50.57,28.9,3.327,HYBRID,0,FLOOD,0.1961,157.61,1372.32,0,prc_hicp_midx,CROPS_2024C,2024-03-17
2017,SE,MT4,POTATO,752.5,14425.43,19.17,349.34,129.46,4.166,DROUGHT_TOLERANT,0,WILDFIRE,0.7592,339.06,4749.07,0,aei_pr_gnb,CROPS_2023B,2025-05-05
2018,DK,BE42,OATS,197.44,264.96,1.342,60.74,55.7,3.03,CERTIFIED,0,FROST,0.6644,628.15,101.75,0,apro_cpshr,CROPS_2022A,2024-05-24
2019,IE,BG7,RAPESEED,300.43,574.42,1.912,49.77,53.1,5.596,ORGANIC,0,DROUGHT,0.5801,174.57,305.03,0,apro_cpnh1,CROPS_2025D,2026-01-27
2020,PL,CZ717,OLIVES,514.18,1673.66,3.255,48.54,195.06,4.372,CONVENTIONAL,0,STORM,0.0658,842.81,2094.47,0,apro_cpsh1,CROPS_2024C,2024-06-17
2021,AT,PL993,WHEAT,157.61,879.78,5.582,93.88,142.06,1.328,HYBRID,0,HEATWAVE,0.343,174.66,298.89,0,prc_hicp_midx,CROPS_2023B,2025-09-23
2022,EE,LT919,SUGAR_BEET,508.21,41830.77,82.31,291.99,202.7,7.431,DROUGHT_TOLERANT,0,NONE,0.3954,896.45,41637.65,0,aei_pr_gnb,CROPS_2022A,2024-01-07
2023,IT,CZ9,SOY,398.47,853.12,2.141,75.53,206.74,3.472,CERTIFIED,0,HAIL,0.9349,832.97,848.11,0,apro_cpshr,CROPS_2025D,2024-10-29
2024,PT,IE291,MAIZE,334.96,3469.85,10.359,84.29,32.74,3.119,ORGANIC,0,FLOOD,0.0611,521.48,2906.57,0,apro_cpnh1,CROPS_2024C,2025-06-17
2025,BE,LV30,TOMATO,479.25,28926.09,60.357,176.98,57.99,1.313,CONVENTIONAL,0,WILDFIRE,0.2661,562.76,19449.43,0,apro_cpsh1,CROPS_2023B,2025-08-29
2026,FI,GR837,RYE,310.14,1470.99,4.743,119.8,225.24,6.818,HYBRID,0,FROST,0.876,665.16,3465.29,0,prc_hicp_midx,CROPS_2022A,2024-09-23
2010,LV,FR9,SUNFLOWER,388.39,699.49,1.801,243.69,145.69,4.84,DROUGHT_TOLERANT,0,DROUGHT,0.2637,182.61,1514.99,0,aei_pr_gnb,CROPS_2025D,2025-08-06
2011,RO,NL1,GRAPES,406.68,2056.58,5.057,198.02,83.83,4.98,CERTIFIED,0,STORM,0.2631,521.75,1757.04,0,apro_cpshr,CROPS_2024C,2024-05-02
2012,BG,BG9,BARLEY,739.88,4460.74,6.029,408.77,207.71,1.443,ORGANIC,0,HEATWAVE,0.0843,933.49,3649.18,0,apro_cpnh1,CROPS_2023B,2024-02-20
2013,FR,IT346,POTATO,217.83,9080.03,41.684,27.56,204.55,1.265,CONVENTIONAL,0,NONE,0.9128,252.74,7654.65,1,apro_cpsh1,CROPS_2022A,2024-12-28
2014,LT,CY4,OATS,443.45,1139.22,2.569,239.28,190.41,2.088,HYBRID,0,HAIL,0.6404,667.21,651.37,0,prc_hicp_midx,CROPS_2025D,2025-10-08
2015,SK,ES805,RAPESEED,684.86,2307.98,3.37,416.65,191.06,6.597,DROUGHT_TOLERANT,0,FLOOD,0.1801,770.54,3877.09,0,aei_pr_gnb,CROPS_2024C,2025-01-21
2016,HR,LU25,OLIVES,311.53,523.37,1.68,92.49,82.5,4.39,CERTIFIED,0,WILDFIRE,0.628,889.53,1022.61,0,apro_cpshr,CROPS_2023B,2025-02-12
2017,DE,IT8,WHEAT,260.47,951.24,3.652,19.18,46.42,4.86,ORGANIC,0,FROST,0.8654,320.36,1313.18,1,apro_cpnh1,CROPS_2022A,2024-10-18
2018,LU,AT6,SUGAR_BEET,700.92,30116.43,42.967,263.86,130.9,1.55,CONVENTIONAL,0,DROUGHT,0.8444,374.82,11553.48,0,apro_cpsh1,CROPS_2025D,2025-12-17
2019,SI,CZ5,SOY,256.86,794.21,3.092,97.64,172.97,6.359,HYBRID,0,STORM,0.1711,838.26,1189.69,0,prc_hicp_midx,CROPS_2024C,2024-09-26
2020,CY,SE264,MAIZE,902.45,4838.94,5.362,413.16,73.13,4.669,DROUGHT_TOLERANT,1,HEATWAVE,0.9493,308.01,11015.38,0,aei_pr_gnb,CROPS_2023B,2025-09-09
2021,GR,RO62,TOMATO,556.94,22370.61,40.167,257.33,36.96,5.179,CERTIFIED,0,NONE,0.3445,849.5,36433.97,0,apro_cpshr,CROPS_2022A,2025-07-23
2022,MT,ES16,RYE,215.71,782.6,3.628,52.87,196.21,3.631,ORGANIC,0,HAIL,0.491,361.6,1070.62,0,apro_cpnh1,CROPS_2025D,2025-11-15
2023,ES,NL82,SUNFLOWER,351.5,806.69,2.295,191.45,174.76,4.45,CONVENTIONAL,0,FLOOD,0.5648,713.03,289.88,1,apro_cpsh1,CROPS_2024C,2025-04-11
2024,CZ,IE6,GRAPES,639.62,2283.44,3.57,329.81,97.76,0.324,HYBRID,0,WILDFIRE,0.8161,303.6,2759.26,0,prc_hicp_midx,CROPS_2023B,2024-05-05
2025,HU,IE2,BARLEY,1367.46,4403.22,3.22,309.4,85.73,5.868,DROUGHT_TOLERANT,0,FROST,0.5479,846.72,5814.6,0,aei_pr_gnb,CROPS_2022A,2024-07-19
2026,NL,MT52,POTATO,350.63,10670.02,30.431,212.11,90.16,1.41,CERTIFIED,0,DROUGHT,0.3465,859.95,5757.98,0,apro_cpshr,CROPS_2025D,2026-01-29
2010,SE,DE2,OATS,327.65,623.19,1.902,48.14,205.76,1.036,ORGANIC,0,STORM,0.1526,163.11,983.55,0,apro_cpnh1,CROPS_2024C,2025-12-28
2011,DK,AT3,RAPESEED,364.05,791.81,2.175,168.66,186.69,0.738,CONVENTIONAL,0,HEATWAVE,0.254,814.83,1837.82,0,apro_cpsh1,CROPS_2023B,2025-03-25
2012,IE,IE402,OLIVES,126.67,564.95,4.46,7.61,218.58,3.334,HYBRID,0,NONE,0.2534,344.52,705.88,0,prc_hicp_midx,CROPS_2022A,2025-07-20
2013,PL,MT938,WHEAT,179.83,798.98,4.443,97.21,175.36,3.513,DROUGHT_TOLERANT,0,HAIL,0.4288,221.37,1591.15,0,aei_pr_gnb,CROPS_2025D,2025-12-19
2014,AT,GR827,SUGAR_BEET,332.06,12864.34,38.741,115.09,207.5,0.388,CERTIFIED,0,FLOOD,0.0619,911.99,7589.54,0,apro_cpshr,CROPS_2024C,2024-03-02
2015,EE,GR996,SOY,478.17,615.4,1.287,29.96,93.27,5.716,ORGANIC,0,WILDFIRE,0.2267,630.36,864.94,0,apro_cpnh1,CROPS_2023B,2025-09-25
2016,IT,GR777,MAIZE,758.49,5320.05,7.014,304.96,121.17,3.084,CONVENTIONAL,0,FROST,0.9368,98.0,5278.27,0,apro_cpsh1,CROPS_2022A,2024-02-10
2017,PT,LT16,TOMATO,300.35,15443.1,51.417,41.09,57.84,0.787,HYBRID,0,DROUGHT,0.1957,932.79,27777.88,0,prc_hicp_midx,CROPS_2025D,2024-01-05
2018,BE,GR1,RYE,686.18,2633.56,3.838,419.01,176.91,3.926,DROUGHT_TOLERANT,0,STORM,0.8023,187.52,3988.29,0,aei_pr_gnb,CROPS_2024C,2025-01-30
2019,FI,SK847,SUNFLOWER,634.3,916.56,1.445,223.13,104.96,4.731,CERTIFIED,0,HEATWAVE,0.0905,915.34,892.42,0,apro_cpshr,CROPS_2023B,2024-12-30
2020,LV,HR9,GRAPES,401.06,3848.17,9.595,230.71,201.63,7.271,ORGANIC,0,NONE,0.6275,120.76,3795.08,0,apro_cpnh1,CROPS_2022A,2026-02-04
2021,RO,SK5,BARLEY,153.37,472.23,3.079,70.71,83.69,1.539,CONVENTIONAL,0,HAIL,0.6176,592.23,269.78,0,apro_cpsh1,CROPS_2025D,2025-03-31
2022,BG,SK638,POTATO,513.2,9571.18,18.65,189.39,63.41,5.518,HYBRID,0,FLOOD,0.7623,449.99,16575.88,0,prc_hicp_midx,CROPS_2024C,2024-11-14
2023,FR,LU968,OATS,741.88,1028.25,1.386,99.13,178.99,3.068,DROUGHT_TOLERANT,0,WILDFIRE,0.4845,804.53,1245.54,0,aei_pr_gnb,CROPS_2023B,2025-06-13
2024,LT,RO65,RAPESEED,302.21,750.99,2.485,156.83,73.74,6.514,CERTIFIED,0,FROST,0.5804,576.84,910.99,0,apro_cpshr,CROPS_2022A,2024-10-04
2025,SK,DK1,OLIVES,414.98,1100.53,2.652,133.49,80.1,4.996,ORGANIC,0,DROUGHT,0.3291,455.12,962.11,0,apro_cpnh1,CROPS_2025D,2025-11-16
2026,HR,IE55,WHEAT,427.89,2853.6,6.669,75.3,164.0,6.777,CONVENTIONAL,0,STORM,0.3309,600.76,7058.68,0,apro_cpsh1,CROPS_2024C,2025-01-27
2010,DE,IT83,SUGAR_BEET,720.99,46307.02,64.227,434.82,114.34,2.353,HYBRID,0,HEATWAVE,0.1897,97.39,28044.45,0,prc_hicp_midx,CROPS_2023B,2025-12-12
2011,LU,LU4,SOY,808.08,2131.72,2.638,238.78,100.5,3.666,DROUGHT_TOLERANT,0,NONE,0.511,327.92,1711.21,0,aei_pr_gnb,CROPS_2022A,2025-11-12
2012,SI,HU96,MAIZE,592.3,2839.49,4.794,292.84,146.77,4.535,CERTIFIED,0,HAIL,0.6926,435.68,6081.46,0,apro_cpshr,CROPS_2025D,2026-01-10
2013,CY,ES933,TOMATO,497.72,34564.66,69.446,179.41,179.65,5.831,ORGANIC,0,FLOOD,0.7054,199.86,68845.35,1,apro_cpnh1,CROPS_2024C,2024-05-23
2014,GR,EE830,RYE,893.02,2314.71,2.592,417.77,42.59,3.253,CONVENTIONAL,0,WILDFIRE,0.5234,747.05,4303.4,0,apro_cpsh1,CROPS_2023B,2026-02-01
2015,MT,PL5,SUNFLOWER,608.86,938.25,1.541,291.86,155.57,0.659,HYBRID,0,FROST,0.4415,899.21,1508.14,0,prc_hicp_midx,CROPS_2022A,2025-11-25
2016,ES,HR85,GRAPES,496.2,3772.61,7.603,176.65,78.32,2.939,DROUGHT_TOLERANT,0,DROUGHT,0.6201,643.88,4802.52,0,aei_pr_gnb,CROPS_2025D,2024-09-03
2017,CZ,NL59,BARLEY,1331.59,7974.89,5.989,281.97,165.4,5.191,CERTIFIED,0,STORM,0.5723,801.14,10545.32,0,apro_cpshr,CROPS_2024C,2024-04-20
2018,HU,BE894,POTATO,375.08,14838.91,39.562,35.06,186.8,3.36,ORGANIC,0,HEATWAVE,0.6043,911.21,28837.85,0,apro_cpnh1,CROPS_2023B,2025-04-13
2019,NL,RO6,OATS,324.13,1146.12,3.536,193.08,72.99,2.739,CONVENTIONAL,0,NONE,0.0754,167.4,2776.78,0,apro_cpsh1,CROPS_2022A,2025-08-22
2020,SE,FI708,RAPESEED,357.26,940.31,2.632,83.3,153.74,1.537,HYBRID,0,HAIL,0.2658,213.69,1919.21,0,prc_hicp_midx,CROPS_2025D,2025-08-15
2021,DK,IE303,OLIVES,139.91,248.9,1.779,56.62,227.85,2.999,DROUGHT_TOLERANT,0,FLOOD,0.0966,342.11,556.8,0,aei_pr_gnb,CROPS_2024C,2024-07-05
2022,IE,ES75,WHEAT,464.82,2518.39,5.418,147.02,208.34,1.876,CERTIFIED,0,WILDFIRE,0.4535,643.1,5956.34,0,apro_cpshr,CROPS_2023B,2024-07-30
2023,PL,LU44,SUGAR_BEET,359.47,24041.35,66.88,69.58,68.93,3.292,ORGANIC,0,FROST,0.4719,731.77,10725.71,0,apro_cpnh1,CROPS_2022A,2025-05-16
2024,AT,PL319,SOY,1118.0,2026.93,1.813,618.78,115.38,5.391,CONVENTIONAL,0,DROUGHT,0.8298,740.9,2318.13,1,apro_cpsh1,CROPS_2025D,2026-02-02
2025,EE,AT657,MAIZE,64.3,322.98,5.023,32.59,27.22,5.626,HYBRID,1,STORM,0.0536,740.21,703.04,0,prc_hicp_midx,CROPS_2024C,2025-05-08
2026,IT,BG121,TOMATO,136.82,9742.4,71.206,20.74,63.19,6.257,DROUGHT_TOLERANT,0,HEATWAVE,0.5373,468.1,20979.39,0,aei_pr_gnb,CROPS_2023B,2025-03-01
2010,PT,PL216,RYE,213.02,827.37,3.884,67.86,41.38,4.229,CERTIFIED,0,NONE,0.445,966.76,971.71,0,apro_cpshr,CROPS_2022A,2024-08-04
2011,BE,RO5,SUNFLOWER,491.56,487.14,0.991,37.18,81.25,7.214,ORGANIC,0,HAIL,0.5367,100.16,909.06,0,apro_cpnh1,CROPS_2025D,2024-06-23
2012,FI,LV158,GRAPES,374.97,2574.54,6.866,242.85,32.01,2.234,CONVENTIONAL,0,FLOOD,0.6668,239.29,5273.92,0,apro_cpsh1,CROPS_2024C,2025-08-19
2013,LV,BG169,BARLEY,1523.18,6053.12,3.974,397.06,193.85,7.069,HYBRID,0,WILDFIRE,0.4449,641.25,6571.17,0,prc_hicp_midx,CROPS_2023B,2025-10-10
2014,RO,FR717,POTATO,243.87,5997.98,24.595,61.1,166.14,3.184,DROUGHT_TOLERANT,0,FROST,0.7205,251.0,14380.01,0,aei_pr_gnb,CROPS_2022A,2025-12-26
2015,BG,RO2,OATS,300.13,659.69,2.198,59.03,90.33,3.57,CERTIFIED,0,DROUGHT,0.8719,584.52,377.77,0,apro_cpshr,CROPS_2025D,2025-02-20
2016,FR,GR35,RAPESEED,593.25,1721.02,2.901,66.37,205.46,0.87,ORGANIC,0,STORM,0.3675,472.73,670.92,0,apro_cpnh1,CROPS_2024C,2025-03-22
2017,LT,PL63,OLIVES,438.83,719.68,1.64,250.67,151.49,1.069,CONVENTIONAL,0,HEATWAVE,0.3037,285.49,1210.88,0,apro_cpsh1,CROPS_2023B,2025-01-13
2018,SK,IT187,WHEAT,170.51,1185.04,6.95,16.39,39.87,5.135,HYBRID,0,NONE,0.4057,546.29,1792.93,0,prc_hicp_midx,CROPS_2022A,2024-02-06
2019,HR,GR450,SUGAR_BEET,741.05,40464.29,54.604,94.47,123.45,2.418,DROUGHT_TOLERANT,0,HAIL,0.2166,387.56,69125.81,0,aei_pr_gnb,CROPS_2025D,2025-04-20
2020,DE,HU566,SOY,468.44,993.56,2.121,255.07,234.17,4.089,CERTIFIED,1,FLOOD,0.6953,791.51,615.61,0,apro_cpshr,CROPS_2024C,2025-01-29
2021,LU,IE712,MAIZE,476.26,1127.31,2.367,215.89,196.7,5.093,ORGANIC,1,WILDFIRE,0.3481,161.14,1774.71,0,apro_cpnh1,CROPS_2023B,2025-04-23
2022,SI,DE198,TOMATO,418.42,14904.54,35.621,30.54,66.75,1.579,CONVENTIONAL,0,FROST,0.6918,526.01,18899.62,0,apro_cpsh1,CROPS_2022A,2025-11-09
2023,CY,NL92,RYE,278.27,1391.63,5.001,100.27,144.39,3.928,HYBRID,0,DROUGHT,0.8823,779.36,628.89,0,prc_hicp_midx,CROPS_2025D,2025-06-21
2024,GR,LV24,SUNFLOWER,582.96,1366.46,2.344,194.07,126.24,3.068,DROUGHT_TOLERANT,0,STORM,0.6198,116.47,1402.95,0,aei_pr_gnb,CROPS_2024C,2025-03-05
2025,MT,GR686,GRAPES,514.29,1949.67,3.791,192.76,27.94,2.921,CERTIFIED,0,HEATWAVE,0.4956,480.52,3996.92,0,apro_cpshr,CROPS_2023B,2024-03-07
2026,ES,ES99,BARLEY,404.21,2732.06,6.759,253.72,32.74,3.558,ORGANIC,0,NONE,0.4756,289.6,5026.89,0,apro_cpnh1,CROPS_2022A,2024-11-23
2010,CZ,HU727,POTATO,737.42,13193.92,17.892,363.99,146.75,1.195,CONVENTIONAL,0,HAIL,0.2728,359.79,15248.14,0,apro_cpsh1,CROPS_2025D,2024-10-29
2011,HU,AT30,OATS,914.88,2601.0,2.843,300.06,226.82,3.528,HYBRID,0,FLOOD,0.8751,418.85,5827.32,0,prc_hicp_midx,CROPS_2024C,2025-08-20
2012,NL,AT31,RAPESEED,361.46,605.81,1.676,215.77,106.62,1.97,DROUGHT_TOLERANT,0,WILDFIRE,0.4845,934.28,1312.19,0,aei_pr_gnb,CROPS_2023B,2024-03-15
2013,SE,BG71,OLIVES,600.0,1115.4,1.859,160.7,130.39,5.801,CERTIFIED,0,FROST,0.4572,772.61,1533.23,1,apro_cpshr,CROPS_2022A,2024-05-09
2014,DK,LU32,WHEAT,115.06,560.57,4.872,18.75,166.78,1.259,ORGANIC,0,DROUGHT,0.2551,200.0,696.3,0,apro_cpnh1,CROPS_2025D,2025-06-12
2015,IE,HU70,SUGAR_BEET,284.93,13962.14,49.002,152.18,74.72,7.181,CONVENTIONAL,0,STORM,0.5312,251.4,19192.21,0,apro_cpsh1,CROPS_2024C,2025-01-21
2016,PL,IE39,SOY,265.46,356.78,1.344,77.65,67.13,5.849,HYBRID,0,HEATWAVE,0.0569,262.53,321.14,0,prc_hicp_midx,CROPS_2023B,2024-02-24
2017,AT,DE9,MAIZE,205.28,1592.77,7.759,133.05,66.11,3.212,DROUGHT_TOLERANT,0,NONE,0.3758,184.71,2237.69,0,aei_pr_gnb,CROPS_2022A,2024-05-28
2018,EE,LV470,TOMATO,376.31,23435.08,62.276,118.37,111.4,4.526,CERTIFIED,0,HAIL,0.2439,801.56,22399.95,0,apro_cpshr,CROPS_2025D,2024-04-17
2019,IT,IT22,RYE,1951.16,4702.3,2.41,454.66,108.76,4.95,ORGANIC,0,FLOOD,0.9116,678.17,4325.68,0,apro_cpnh1,CROPS_2024C,2024-09-12
2020,PT,NL798,SUNFLOWER,5674.18,5078.39,0.895,1794.4,128.02,1.928,CONVENTIONAL,0,WILDFIRE,0.3348,369.53,8868.27,0,apro_cpsh1,CROPS_2023B,2024-09-24
2021,BE,MT7,GRAPES,920.36,10468.17,11.374,447.18,180.41,1.927,HYBRID,0,FROST,0.1262,965.21,7980.1,1,prc_hicp_midx,CROPS_2022A,2025-12-11
2022,FI,BE228,BARLEY,504.63,2390.94,4.738,188.64,64.41,0.272,DROUGHT_TOLERANT,0,DROUGHT,0.7445,179.64,5265.38,0,aei_pr_gnb,CROPS_2025D,2025-06-18
2023,LV,DE53,POTATO,91.34,2158.0,23.626,24.91,37.24,2.964,CERTIFIED,0,STORM,0.3696,487.38,4585.45,0,apro_cpshr,CROPS_2024C,2024-08-22
2024,RO,HU947,OATS,1009.14,3706.57,3.673,302.66,202.56,1.403,ORGANIC,0,HEATWAVE,0.1926,150.19,7096.1,1,apro_cpnh1,CROPS_2023B,2025-01-09
2025,BG,LT5,RAPESEED,507.6,1791.83,3.53,169.06,211.74,7.456,CONVENTIONAL,0,NONE,0.9011,634.5,760.3,0,apro_cpsh1,CROPS_2022A,2024-11-26
2026,FR,EE38,OLIVES,2782.16,2734.86,0.983,717.61,102.53,4.906,HYBRID,0,HAIL,0.1937,925.41,923.14,1,prc_hicp_midx,CROPS_2025D,2024-07-03
2010,LT,SE5,WHEAT,519.01,2380.7,4.587,251.62,67.75,4.508,DROUGHT_TOLERANT,0,FLOOD,0.095,262.36,2187.72,0,aei_pr_gnb,CROPS_2024C,2025-12-08
2011,SK,BE86,SUGAR_BEET,211.34,6308.29,29.849,46.65,162.11,4.473,CERTIFIED,0,WILDFIRE,0.2805,436.91,13169.68,0,apro_cpshr,CROPS_2023B,2025-07-20
2012,HR,FI957,SOY,1260.93,2989.67,2.371,499.28,49.67,2.902,ORGANIC,0,FROST,0.3489,514.12,5671.48,0,apro_cpnh1,CROPS_2022A,2024-02-14
2013,DE,MT41,MAIZE,301.17,2672.88,8.875,127.92,44.0,5.29,CONVENTIONAL,0,DROUGHT,0.4477,344.08,3850.06,0,apro_cpsh1,CROPS_2025D,2024-11-06
2014,LU,SE24,TOMATO,103.01,5100.13,49.511,61.39,163.26,1.144,HYBRID,0,STORM,0.8667,432.94,8777.0,0,prc_hicp_midx,CROPS_2024C,2025-01-16
2015,SI,IT838,RYE,455.07,1387.51,3.049,277.17,197.78,0.577,DROUGHT_TOLERANT,0,HEATWAVE,0.6781,335.78,1661.78,0,aei_pr_gnb,CROPS_2023B,2024-08-20
2016,CY,IT82,SUNFLOWER,987.68,1872.64,1.896,138.91,233.34,3.871,CERTIFIED,0,NONE,0.7508,880.25,3837.02,0,apro_cpshr,CROPS_2022A,2026-02-14
2017,GR,LU737,GRAPES,240.88,932.21,3.87,13.98,171.8,5.937,ORGANIC,0,HAIL,0.8625,598.66,1505.67,0,apro_cpnh1,CROPS_2025D,2025-05-16
2018,MT,SK98,BARLEY,482.12,1628.12,3.377,28.92,137.4,4.131,CONVENTIONAL,0,FLOOD,0.6843,737.75,3766.73,0,apro_cpsh1,CROPS_2024C,2025-06-11
2019,ES,BE2,POTATO,456.18,12244.78,26.842,61.05,137.49,0.601,HYBRID,0,WILDFIRE,0.5429,339.09,17076.51,0,prc_hicp_midx,CROPS_2023B,2025-10-09
2020,CZ,PT539,OATS,512.97,746.37,1.455,266.6,178.81,0.712,DROUGHT_TOLERANT,0,FROST,0.9188,130.93,447.63,1,aei_pr_gnb,CROPS_2022A,2024-08-13
2021,HU,RO268,RAPESEED,148.9,346.94,2.33,42.19,93.29,0.893,CERTIFIED,0,DROUGHT,0.2433,190.63,158.45,0,apro_cpshr,CROPS_2025D,2024-02-20
2022,NL,SI689,OLIVES,194.92,591.58,3.035,73.32,152.62,3.711,ORGANIC,0,STORM,0.4851,225.44,1030.77,0,apro_cpnh1,CROPS_2024C,2025-05-10
2023,SE,IT2,WHEAT,1076.2,6617.55,6.149,329.97,78.03,1.1,CONVENTIONAL,0,HEATWAVE,0.6229,379.12,10135.73,0,apro_cpsh1,CROPS_2023B,2025-01-11
2024,DK,AT860,SUGAR_BEET,593.6,34375.38,57.91,223.17,142.15,2.615,HYBRID,0,NONE,0.4117,289.32,18181.09,1,prc_hicp_midx,CROPS_2022A,2024-12-30
2025,IE,AT803,SOY,530.27,691.47,1.304,332.32,27.93,1.127,DROUGHT_TOLERANT,0,HAIL,0.1074,869.84,1061.14,0,aei_pr_gnb,CROPS_2025D,2025-12-13
2026,PL,FR3,MAIZE,509.63,2257.66,4.43,203.02,140.21,2.278,CERTIFIED,0,FLOOD,0.7733,649.96,5010.86,0,apro_cpshr,CROPS_2024C,2024-07-11
2010,AT,BE667,TOMATO,253.94,11629.18,45.795,108.14,179.53,0.61,ORGANIC,0,WILDFIRE,0.1922,249.09,8712.01,0,apro_cpnh1,CROPS_2023B,2025-09-07
2011,EE,DK85,RYE,370.14,1842.56,4.978,73.9,213.29,7.384,CONVENTIONAL,0,FROST,0.3698,254.81,2817.65,0,apro_cpsh1,CROPS_2022A,2024-02-27
2012,IT,BE443,SUNFLOWER,1211.7,2196.81,1.813,88.81,81.26,7.252,HYBRID,0,DROUGHT,0.909,842.3,2235.64,0,prc_hicp_midx,CROPS_2025D,2026-01-04
2013,PT,RO116,GRAPES,270.63,938.82,3.469,109.0,150.59,1.756,DROUGHT_TOLERANT,0,STORM,0.6912,831.0,303.54,0,aei_pr_gnb,CROPS_2024C,2024-04-10
2014,BE,RO145,BARLEY,737.29,4069.1,5.519,159.73,25.2,4.351,CERTIFIED,0,HEATWAVE,0.3124,814.55,2961.1,1,apro_cpshr,CROPS_2023B,2024-12-31
2015,FI,LT8,POTATO,193.43,5638.29,29.149,107.17,166.43,5.872,ORGANIC,0,NONE,0.0911,336.55,7090.6,0,apro_cpnh1,CROPS_2022A,2025-01-23
2016,LV,GR669,OATS,145.0,257.95,1.779,71.39,218.81,7.42,CONVENTIONAL,0,HAIL,0.9178,847.99,280.11,0,apro_cpsh1,CROPS_2025D,2025-01-22
2017,RO,BG428,RAPESEED,124.49,247.36,1.987,14.84,211.45,1.614,HYBRID,0,FLOOD,0.0859,103.56,289.15,1,prc_hicp_midx,CROPS_2024C,2025-05-23
