house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_usd,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_usd,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2017-05-07,JUR0000493,ALTERATION,81991753.02,148,316005,168.1,69,MASONRY,IECC_2021,0,0,0,RM,0,171603,78.72,110,LIC00000493,0
2017-05-08,JUR0000494,ADDITION,4048847.59,310,174361,436.9,3,MIXED,IECC_2018,0,1,0,I1,1,100039,84.66,223,LIC00000494,0
2017-05-09,JUR0000495,ADDITION,50455375.78,35,1449709,96.0,36,CONCRETE,IECC_2009,0,0,1,RM,1,200005,69.5,103,LIC00000495,0
2017-05-10,JUR0000496,ALTERATION,29934925.06,311,867611,354.9,42,STEEL,LOCAL,0,1,0,OVERLAY,0,65340,93.25,217,LIC00000496,0
2017-05-11,JUR0000497,MEP,17199950.6,100,2076735,229.9,76,MODULAR,IECC_2012,0,0,0,R1,0,224479,76.62,59,LIC00000497,0
2017-05-12,JUR0000498,DEMOLITION,62807333.53,389,1790146,135.4,21,MIXED,IECC_2021,0,0,1,RM,0,20243,56.99,133,LIC00000498,0
2017-05-13,JUR0000499,NEW_RES,6979508.69,42,1056922,66.8,38,MASONRY,IECC_2018,0,0,0,R1,0,87895,74.74,25,LIC00000499,0
2017-05-14,JUR0000500,DEMOLITION,24173346.99,277,127148,70.2,29,WOOD,IECC_2015,0,0,0,R2,1,50074,94.61,142,LIC00000500,0
2017-05-15,JUR0000501,DEMOLITION,60299185.12,256,2051770,164.6,19,MIXED,IECC_2018,1,0,0,I1,0,120816,72.65,72,LIC00000501,0
2017-05-16,JUR0000502,NEW_RES,55593107.57,350,99055,10.8,39,MASONRY,IECC_2021,0,0,0,C1,0,35800,71.86,101,LIC00000502,0
2017-05-17,JUR0000503,ADDITION,21380547.77,269,736834,109.3,9,MODULAR,LOCAL,1,0,0,PUD,0,90890,79.78,67,LIC00000503,0
2017-05-18,JUR0000504,ADDITION,67277197.52,348,1120821,288.1,38,CONCRETE,IECC_2015,0,0,0,R1,0,128726,83.36,112,LIC00000504,0
2017-05-19,JUR0000505,NEW_RES,39474850.41,332,744818,206.3,70,STEEL,LOCAL,1,0,0,R1,0,177587,76.78,124,LIC00000505,1
2017-05-20,JUR0000506,MEP,66709791.59,357,2101205,277.7,34,MIXED,IECC_2018,0,0,0,R3,1,180096,57.2,123,LIC00000506,1
2017-05-21,JUR0000507,ADDITION,3270483.74,181,137086,247.7,12,STEEL,IECC_2018,0,0,0,C1,0,121070,82.56,225,LIC00000507,0
2017-05-22,JUR0000508,ADDITION,24678203.9,164,1955325,86.1,84,CONCRETE,IECC_2018,1,0,0,C2,0,21448,80.55,84,LIC00000508,0
2017-05-23,JUR0000509,ALTERATION,50191463.72,184,815290,12.3,41,CONCRETE,IECC_2018,1,0,0,RM,0,166168,96.11,98,LIC00000509,0
2017-05-24,JUR0000510,DEMOLITION,54904697.41,170,101924,88.4,32,MASONRY,LOCAL,0,0,0,RM,0,160358,67.64,133,LIC00000510,0
2017-05-25,JUR0000511,NEW_RES,57627245.41,298,803568,292.0,34,MASONRY,IECC_2012,1,1,0,R2,0,168098,76.38,118,LIC00000511,0
2017-05-26,JUR0000512,ALTERATION,77898057.09,270,1063199,292.0,78,MODULAR,IECC_2012,1,0,0,I1,1,69703,83.86,53,LIC00000512,0
2017-05-27,JUR0000513,ALTERATION,28162830.02,207,1324141,430.9,23,CONCRETE,IECC_2012,0,1,1,R2,0,24750,98.22,138,LIC00000513,0
2017-05-28,JUR0000514,NEW_RES,15060366.87,335,1698189,212.8,57,STEEL,LOCAL,0,0,0,C1,0,98744,66.31,213,LIC00000514,0
2017-05-29,JUR0000515,NEW_RES,10171738.52,80,1278241,427.7,17,MASONRY,IECC_2009,1,0,0,MU,0,18485,61.84,29,LIC00000515,0
2017-05-30,JUR0000516,MEP,30747871.08,228,168766,381.1,72,MIXED,IECC_2015,1,0,0,C1,0,45560,62.23,44,LIC00000516,0
2017-05-31,JUR0000517,NEW_RES,27713310.49,49,384287,56.3,48,MASONRY,IECC_2012,0,1,0,MU,0,152507,77.81,219,LIC00000517,0
2017-06-01,JUR0000518,MEP,33985442.13,108,654671,98.4,74,WOOD,IECC_2009,1,0,0,R3,1,116547,62.02,174,LIC00000518,0
2017-06-02,JUR0000519,MEP,23656063.87,442,46367,45.0,16,CONCRETE,IECC_2009,0,1,0,MU,0,88905,65.47,149,LIC00000519,0
2017-06-03,JUR0000520,ADDITION,61953195.54,219,1084436,188.4,74,WOOD,IECC_2018,0,0,0,C2,0,226587,86.86,131,LIC00000520,0
2017-06-04,JUR0000521,MEP,57938508.83,124,1029309,416.9,64,MIXED,LOCAL,0,0,1,RM,0,14442,82.41,193,LIC00000521,0
2017-06-05,JUR0000522,MEP,60457303.19,210,809329,247.0,73,MASONRY,IECC_2015,0,0,1,RM,1,81134,77.25,156,LIC00000522,0
2017-06-06,JUR0000523,MEP,68782791.11,374,1634743,410.0,86,CONCRETE,IECC_2012,0,1,0,RM,0,123517,64.27,134,LIC00000523,0
2017-06-07,JUR0000524,ADDITION,23459124.38,367,1874755,288.1,52,MASONRY,IECC_2009,1,0,1,R1,0,205718,80.19,80,LIC00000524,0
2017-06-08,JUR0000525,MEP,70882876.58,90,312264,88.2,63,STEEL,IECC_2021,0,0,0,PUD,1,248402,81.41,10,LIC00000525,0
2017-06-09,JUR0000526,MEP,36508674.63,107,1639048,312.5,54,MODULAR,LOCAL,0,0,0,I1,0,195062,90.33,229,LIC00000526,0
2017-06-10,JUR0000527,NEW_RES,5784967.52,133,1535844,335.6,74,MIXED,IECC_2021,0,1,0,R1,0,98083,62.39,184,LIC00000527,0
2017-06-11,JUR0000528,NEW_COMM,55677125.55,26,449515,430.7,21,MIXED,IECC_2012,0,0,0,MU,0,59252,78.17,225,LIC00000528,0
2017-06-12,JUR0000529,ADDITION,31886093.19,279,1428065,424.0,3,CONCRETE,IECC_2012,1,0,0,I1,0,203319,68.76,145,LIC00000529,0
2017-06-13,JUR0000530,ALTERATION,77862579.79,189,476168,267.7,36,MIXED,IECC_2021,0,0,0,RM,0,33379,75.13,129,LIC00000530,0
2017-06-14,JUR0000531,NEW_COMM,20552254.9,408,2081084,278.7,28,MODULAR,IECC_2018,0,0,0,R1,0,242128,71.38,126,LIC00000531,0
2017-06-15,JUR0000532,ADDITION,58148719.46,318,1624892,236.2,41,MIXED,LOCAL,0,0,0,R2,0,4491,87.34,41,LIC00000532,0
2017-06-16,JUR0000533,DEMOLITION,47697315.49,436,1177454,260.6,65,MASONRY,IECC_2021,0,0,1,PUD,0,246201,75.78,180,LIC00000533,0
2017-06-17,JUR0000534,NEW_COMM,78095365.56,358,1190792,258.4,60,MASONRY,IECC_2018,0,0,0,OVERLAY,0,166830,89.24,61,LIC00000534,0
2017-06-18,JUR0000535,NEW_RES,46308400.88,42,878092,161.8,31,STEEL,IECC_2009,0,0,0,I1,0,1794,66.34,17,LIC00000535,0
2017-06-19,JUR0000536,DEMOLITION,58359293.5,431,1189818,310.5,25,MODULAR,IECC_2012,0,0,0,C1,0,225118,66.54,33,LIC00000536,1
2017-06-20,JUR0000537,MEP,24738750.21,126,257089,404.8,38,MODULAR,LOCAL,1,0,0,R1,0,244642,62.4,13,LIC00000537,0
2017-06-21,JUR0000538,NEW_COMM,11443102.77,425,1823685,277.4,59,MODULAR,IECC_2012,0,0,1,RM,0,133731,67.46,233,LIC00000538,0
2017-06-22,JUR0000539,DEMOLITION,73272830.16,95,999148,59.6,4,WOOD,IECC_2018,0,0,0,MU,1,219958,79.44,167,LIC00000539,0
2017-06-23,JUR0000540,NEW_RES,42147506.28,171,2061746,321.6,78,MODULAR,IECC_2015,1,0,0,R3,0,166136,85.12,67,LIC00000540,0
2017-06-24,JUR0000541,ALTERATION,52975019.36,313,702243,294.3,83,MIXED,LOCAL,1,1,0,OVERLAY,0,25721,75.48,148,LIC00000541,0
2017-06-25,JUR0000542,ALTERATION,5142819.52,93,457311,295.8,20,MODULAR,IECC_2009,0,0,0,C1,0,92223,89.15,185,LIC00000542,0
2017-06-26,JUR0000543,ADDITION,77492996.28,195,576105,262.6,46,WOOD,IECC_2018,1,0,0,R1,0,31312,80.41,174,LIC00000543,0
2017-06-27,JUR0000544,ALTERATION,54740464.6,335,904401,235.0,70,MASONRY,IECC_2015,0,0,0,R1,0,181404,65.78,216,LIC00000544,0
2017-06-28,JUR0000545,ADDITION,72404036.22,361,1194294,27.8,38,MIXED,IECC_2009,1,0,0,C1,0,5152,70.99,220,LIC00000545,0
2017-06-29,JUR0000546,NEW_COMM,47135957.88,138,40145,282.4,14,MASONRY,IECC_2015,1,0,1,I1,0,67923,81.02,231,LIC00000546,0
2017-06-30,JUR0000547,DEMOLITION,53313463.37,163,401438,272.6,62,STEEL,IECC_2012,0,1,0,C1,0,194241,79.33,158,LIC00000547,0
2017-07-01,JUR0000548,ALTERATION,1887276.53,254,812691,325.4,44,MODULAR,IECC_2021,0,0,1,R2,0,126409,73.0,216,LIC00000548,0
2017-07-02,JUR0000549,ALTERATION,5133774.77,51,1398349,445.8,10,STEEL,IECC_2021,1,0,0,RM,0,127354,83.68,16,LIC00000549,0
2017-07-03,JUR0000550,DEMOLITION,43029438.15,212,2181089,424.4,54,MASONRY,IECC_2018,0,0,0,C1,0,147961,68.49,218,LIC00000550,0
2017-07-04,JUR0000551,MEP,42552965.26,131,1178070,360.5,77,MODULAR,IECC_2009,1,0,0,R2,0,201092,56.58,202,LIC00000551,0
2017-07-05,JUR0000552,MEP,33831639.68,439,922314,72.3,32,MASONRY,IECC_2009,0,1,1,R1,0,246766,81.12,227,LIC00000552,0
2017-07-06,JUR0000553,MEP,67565617.11,10,1878737,296.8,82,STEEL,IECC_2015,0,0,0,RM,0,140053,78.06,103,LIC00000553,0
2017-07-07,JUR0000554,ADDITION,43439451.61,116,466701,304.2,27,CONCRETE,IECC_2012,0,0,0,R1,0,70642,95.87,141,LIC00000554,0
2017-07-08,JUR0000555,DEMOLITION,28146161.33,447,1079306,242.7,36,CONCRETE,IECC_2015,0,0,0,R1,0,56688,78.45,231,LIC00000555,0
2017-07-09,JUR0000556,MEP,16435113.47,251,128689,181.2,27,STEEL,IECC_2018,0,0,0,R3,0,190002,92.23,39,LIC00000556,0
2017-07-10,JUR0000557,NEW_COMM,77228741.92,74,2109924,115.3,88,MASONRY,IECC_2015,0,0,0,R2,1,140085,91.9,230,LIC00000557,0
2017-07-11,JUR0000558,ADDITION,53662127.31,25,2109974,396.9,8,MASONRY,IECC_2009,0,0,0,MU,0,9114,99.28,172,LIC00000558,0
2017-07-12,JUR0000559,NEW_COMM,83505055.27,312,821829,112.6,80,STEEL,IECC_2012,1,0,0,I1,0,45975,57.64,5,LIC00000559,0
2017-07-13,JUR0000560,DEMOLITION,84939464.06,389,1950396,41.9,20,MIXED,IECC_2015,0,0,1,PUD,0,34515,96.36,29,LIC00000560,0
2017-07-14,JUR0000561,ALTERATION,64490709.68,12,2113141,61.6,13,CONCRETE,IECC_2015,0,0,0,RM,0,238188,62.96,178,LIC00000561,0
2017-07-15,JUR0000562,DEMOLITION,53835089.12,7,1611916,40.8,51,WOOD,IECC_2009,0,0,0,OVERLAY,1,84415,86.91,185,LIC00000562,0
2017-07-16,JUR0000563,NEW_COMM,72186921.98,421,1103927,293.0,5,WOOD,IECC_2012,1,0,0,C1,0,146830,90.03,15,LIC00000563,0
2017-07-17,JUR0000564,ADDITION,23146171.92,29,793727,188.2,70,MIXED,IECC_2018,0,0,0,R1,0,154566,62.02,203,LIC00000564,0
2017-07-18,JUR0000565,ADDITION,46222298.23,24,685776,198.6,15,CONCRETE,IECC_2021,1,0,0,I1,0,92389,55.05,236,LIC00000565,0
2017-07-19,JUR0000566,NEW_RES,16179614.25,24,1175340,316.9,13,MIXED,IECC_2012,0,0,1,C1,1,223866,57.12,118,LIC00000566,0
2017-07-20,JUR0000567,NEW_RES,2329873.93,132,154910,336.8,41,STEEL,LOCAL,0,0,0,R2,0,147697,56.83,119,LIC00000567,0
2017-07-21,JUR0000568,NEW_COMM,23988733.13,230,1451058,198.1,4,MODULAR,LOCAL,0,0,0,RM,0,76300,96.02,47,LIC00000568,0
2017-07-22,JUR0000569,ALTERATION,26701762.66,323,1104745,351.1,82,MASONRY,IECC_2012,1,0,1,PUD,0,172636,55.08,190,LIC00000569,0
2017-07-23,JUR0000570,ADDITION,80559217.65,425,292780,449.1,8,MODULAR,IECC_2021,1,0,1,R1,0,245306,87.75,152,LIC00000570,0
2017-07-24,JUR0000571,NEW_RES,25009141.73,432,878688,366.6,17,MODULAR,IECC_2009,0,1,0,R2,1,86599,91.14,46,LIC00000571,0
2017-07-25,JUR0000572,MEP,35704673.92,390,1913191,19.3,53,STEEL,IECC_2021,0,0,0,MU,0,180090,60.94,29,LIC00000572,0
2017-07-26,JUR0000573,MEP,15757942.39,265,1842311,410.0,14,MASONRY,IECC_2021,0,0,1,MU,0,144850,83.68,80,LIC00000573,0
2017-07-27,JUR0000574,NEW_COMM,26921375.99,289,820382,260.0,42,MASONRY,IECC_2012,0,0,0,R2,0,54934,95.29,228,LIC00000574,0
2017-07-28,JUR0000575,ALTERATION,17452448.68,93,1479312,362.2,54,MODULAR,IECC_2012,0,0,0,C2,0,208063,62.74,177,LIC00000575,0
2017-07-29,JUR0000576,NEW_RES,47635594.74,14,1318035,150.5,23,MODULAR,LOCAL,0,0,0,RM,1,148854,74.01,24,LIC00000576,0
2017-07-30,JUR0000577,ADDITION,12877353.94,421,1214989,332.3,8,CONCRETE,LOCAL,0,0,1,C2,0,198569,88.18,52,LIC00000577,0
2017-07-31,JUR0000578,NEW_COMM,48694912.2,427,1996559,273.5,41,MASONRY,IECC_2018,0,0,0,OVERLAY,0,208071,88.52,82,LIC00000578,0
2017-08-01,JUR0000579,NEW_RES,26625244.42,176,1109925,422.0,1,MIXED,IECC_2015,1,0,0,MU,0,23888,60.43,138,LIC00000579,0
2017-08-02,JUR0000580,ADDITION,21406010.26,216,1701838,13.9,73,MIXED,IECC_2021,1,0,1,R1,0,186757,79.88,231,LIC00000580,0
2017-08-03,JUR0000581,NEW_COMM,36214075.12,284,509171,255.0,80,STEEL,IECC_2015,0,0,0,R3,0,169738,96.93,145,LIC00000581,0
2017-08-04,JUR0000582,NEW_COMM,52706251.49,15,273487,358.7,36,MIXED,IECC_2015,1,0,0,R3,0,170286,93.2,34,LIC00000582,0
2017-08-05,JUR0000583,ADDITION,54050363.48,13,512475,320.3,82,MIXED,IECC_2009,1,0,0,PUD,0,174523,71.56,110,LIC00000583,0
2017-08-06,JUR0000584,DEMOLITION,17494461.84,414,1076278,289.7,19,MASONRY,LOCAL,0,0,0,I1,0,209429,79.95,40,LIC00000584,0
2017-08-07,JUR0000585,NEW_COMM,8808409.3,174,1106407,270.6,33,STEEL,IECC_2021,0,0,0,OVERLAY,0,142417,89.27,197,LIC00000585,0
2017-08-08,JUR0000586,NEW_RES,24462240.55,274,582578,120.4,50,CONCRETE,LOCAL,0,0,0,R1,0,61625,85.36,179,LIC00000586,0
2017-08-09,JUR0000587,MEP,53607378.32,173,1211739,178.4,41,MASONRY,IECC_2009,1,0,0,OVERLAY,0,139361,98.87,209,LIC00000587,0
2017-08-10,JUR0000588,MEP,2444145.36,312,1971314,301.5,67,CONCRETE,IECC_2018,0,0,0,PUD,0,46350,70.36,173,LIC00000588,0
2017-08-11,JUR0000589,MEP,26254201.35,439,1191063,227.3,47,MASONRY,LOCAL,0,0,0,C2,0,130221,96.9,141,LIC00000589,0
2017-08-12,JUR0000590,NEW_RES,35236622.31,97,1354147,92.6,71,CONCRETE,LOCAL,1,0,1,C1,0,135730,60.61,159,LIC00000590,0
2017-08-13,JUR0000591,DEMOLITION,4293713.32,178,588606,200.1,33,MODULAR,IECC_2015,0,0,0,R1,0,201839,78.44,12,LIC00000591,0
2017-08-14,JUR0000592,NEW_RES,60535047.61,128,612688,330.5,67,CONCRETE,IECC_2018,1,0,0,R3,0,63898,78.58,170,LIC00000592,1
2017-08-15,JUR0000593,MEP,32038115.11,382,1210348,301.2,32,WOOD,IECC_2015,0,0,0,R3,0,115116,91.96,141,LIC00000593,0
2017-08-16,JUR0000594,ALTERATION,24358160.82,48,1843285,93.1,88,CONCRETE,IECC_2021,0,0,0,R3,0,220391,93.96,42,LIC00000594,0
2017-08-17,JUR0000595,DEMOLITION,72100961.77,55,2198521,418.1,11,WOOD,IECC_2012,1,1,0,I1,0,1937,82.3,60,LIC00000595,0
2017-08-18,JUR0000596,DEMOLITION,62469676.86,449,1275899,113.5,45,WOOD,LOCAL,1,0,0,C2,0,212131,73.43,181,LIC00000596,0
2017-08-19,JUR0000597,ALTERATION,17863039.87,225,1421374,434.2,74,MIXED,LOCAL,0,0,0,C1,0,75052,78.98,153,LIC00000597,0
2017-08-20,JUR0000598,NEW_RES,48285610.55,370,1447729,248.8,70,MODULAR,IECC_2012,0,0,0,R3,0,95122,78.19,232,LIC00000598,0
2017-08-21,JUR0000599,DEMOLITION,41090893.37,370,1602965,231.7,17,MASONRY,LOCAL,0,1,0,R3,0,72193,65.14,107,LIC00000599,0
2017-08-22,JUR0000600,ADDITION,16613748.96,227,1218187,65.2,52,MIXED,IECC_2012,0,0,1,R1,0,168458,76.85,225,LIC00000600,0
2017-08-23,JUR0000601,ALTERATION,69987385.04,307,2144300,384.8,73,MODULAR,IECC_2009,0,0,0,C2,1,216125,71.78,160,LIC00000601,1
2017-08-24,JUR0000602,NEW_RES,8742860.56,376,1644032,103.0,86,CONCRETE,IECC_2012,0,0,1,OVERLAY,0,3448,67.32,58,LIC00000602,0
2017-08-25,JUR0000603,MEP,47638279.23,262,422413,27.6,66,CONCRETE,LOCAL,0,1,0,R3,1,33826,68.82,169,LIC00000603,0
2017-08-26,JUR0000604,MEP,57987956.97,277,2179148,111.5,28,MODULAR,IECC_2021,0,0,1,R1,0,26046,91.67,72,LIC00000604,0
2017-08-27,JUR0000605,ALTERATION,63685901.04,50,2008787,246.1,69,MIXED,IECC_2015,0,1,0,OVERLAY,0,6935,67.69,29,LIC00000605,0
2017-08-28,JUR0000606,MEP,31543629.71,203,1297550,195.5,19,MIXED,IECC_2012,0,0,0,MU,1,93712,73.28,223,LIC00000606,0
2017-08-29,JUR0000607,NEW_RES,50714632.23,19,484387,227.6,64,STEEL,IECC_2018,0,0,0,C2,0,129536,61.05,102,LIC00000607,0
2017-08-30,JUR0000608,NEW_RES,82906695.52,79,360424,180.6,66,CONCRETE,IECC_2018,1,0,0,C2,1,64188,75.18,72,LIC00000608,0
2017-08-31,JUR0000609,MEP,13805295.81,138,1456425,64.7,84,MIXED,IECC_2012,0,0,0,MU,1,246866,60.45,24,LIC00000609,0
2017-09-01,JUR0000610,NEW_RES,56326600.32,172,1493666,140.5,30,STEEL,IECC_2018,0,0,0,I1,0,40507,64.89,78,LIC00000610,1
2017-09-02,JUR0000611,ALTERATION,51604284.17,106,1604764,213.9,29,STEEL,IECC_2015,0,0,0,RM,1,241013,86.02,182,LIC00000611,0
2017-09-03,JUR0000612,ADDITION,19305659.44,71,1525324,74.8,54,MIXED,IECC_2009,0,0,1,R1,1,215779,62.42,125,LIC00000612,0
2017-09-04,JUR0000613,ADDITION,12021883.74,227,2108735,10.1,11,WOOD,IECC_2015,1,0,0,R3,0,185625,56.13,135,LIC00000613,0
2017-09-05,JUR0000614,NEW_RES,40823950.34,29,51298,280.0,77,MIXED,IECC_2015,1,0,0,R2,0,84961,96.77,214,LIC00000614,0
2017-09-06,JUR0000615,DEMOLITION,60706816.16,78,132718,401.9,68,WOOD,IECC_2012,0,0,0,R1,0,33065,87.04,223,LIC00000615,0
2017-09-07,JUR0000616,NEW_COMM,35456235.63,178,524519,252.6,19,CONCRETE,IECC_2009,0,0,0,MU,0,85925,95.88,98,LIC00000616,0
2017-09-08,JUR0000617,ADDITION,49997773.36,287,1133587,15.2,74,CONCRETE,IECC_2009,0,0,1,I1,0,2962,55.87,32,LIC00000617,0
2017-09-09,JUR0000618,NEW_RES,18796545.92,302,1863027,339.6,49,MIXED,IECC_2009,0,0,0,MU,0,231106,90.62,233,LIC00000618,0
2017-09-10,JUR0000619,NEW_COMM,70443586.85,22,1480982,427.2,60,MASONRY,IECC_2009,0,0,0,PUD,0,217381,90.46,75,LIC00000619,0
2017-09-11,JUR0000620,NEW_COMM,73569632.07,77,787207,204.3,73,CONCRETE,IECC_2021,0,0,0,C1,0,29490,87.76,150,LIC00000620,0
2017-09-12,JUR0000621,DEMOLITION,52769549.5,369,2036123,146.2,46,MODULAR,IECC_2015,0,0,0,OVERLAY,1,66114,81.17,61,LIC00000621,0
2017-09-13,JUR0000622,NEW_RES,16743679.18,87,2175871,258.0,41,MIXED,IECC_2015,0,0,0,R2,0,135078,88.47,154,LIC00000622,0
2017-09-14,JUR0000623,NEW_COMM,29432405.59,209,63643,408.7,18,CONCRETE,LOCAL,1,0,0,PUD,0,206159,57.31,53,LIC00000623,0
2017-09-15,JUR0000624,MEP,4300347.95,105,465289,374.7,27,WOOD,IECC_2018,1,0,0,C2,1,131793,93.51,51,LIC00000624,0
2017-09-16,JUR0000625,DEMOLITION,59825994.35,436,146449,142.9,57,MASONRY,IECC_2018,0,0,0,C2,0,27741,58.15,176,LIC00000625,0
2017-09-17,JUR0000626,ADDITION,71817127.82,216,292331,341.7,75,CONCRETE,LOCAL,1,0,0,PUD,0,29649,80.26,119,LIC00000626,1
2017-09-18,JUR0000627,ALTERATION,66215418.18,179,822976,336.1,20,CONCRETE,IECC_2012,1,0,0,R3,0,41897,92.65,75,LIC00000627,0
2017-09-19,JUR0000628,MEP,13300312.08,175,658283,256.2,60,MASONRY,IECC_2021,0,0,0,C2,0,41224,81.3,110,LIC00000628,0
2017-09-20,JUR0000629,ADDITION,15512462.39,292,1170714,418.3,16,CONCRETE,IECC_2012,1,0,1,I1,0,1378,72.56,159,LIC00000629,0
2017-09-21,JUR0000630,MEP,68283600.76,403,466326,144.6,9,WOOD,IECC_2012,0,0,1,I1,0,96262,94.15,104,LIC00000630,0
2017-09-22,JUR0000631,NEW_COMM,72088781.47,149,1717931,335.3,62,MASONRY,IECC_2018,0,0,1,MU,0,130627,69.73,143,LIC00000631,0
2017-09-23,JUR0000632,DEMOLITION,76095129.01,281,1392567,370.1,8,STEEL,IECC_2018,0,0,0,R3,0,90514,97.87,236,LIC00000632,0
2017-09-24,JUR0000633,ADDITION,7095840.35,213,932322,114.2,10,MODULAR,IECC_2012,0,0,0,OVERLAY,0,92988,86.03,213,LIC00000633,0
2017-09-25,JUR0000634,DEMOLITION,77075140.16,121,96979,38.0,7,MIXED,IECC_2015,0,0,0,MU,0,102009,78.24,226,LIC00000634,0
2017-09-26,JUR0000635,NEW_RES,47248130.25,331,1180752,117.9,4,MIXED,LOCAL,0,0,0,R3,0,140186,59.71,201,LIC00000635,0
2017-09-27,JUR0000636,ALTERATION,65203187.61,402,30965,294.3,40,MASONRY,IECC_2021,0,1,1,R3,0,72039,65.74,12,LIC00000636,0
2017-09-28,JUR0000637,NEW_RES,7964027.92,356,1587016,134.0,8,WOOD,LOCAL,0,0,0,R1,0,63261,93.68,130,LIC00000637,0
2017-09-29,JUR0000638,NEW_RES,25916591.86,26,1179425,415.4,77,STEEL,IECC_2009,0,0,0,R1,0,44931,91.65,196,LIC00000638,0
2017-09-30,JUR0000639,DEMOLITION,29670769.17,351,11906,437.5,45,MODULAR,IECC_2018,0,0,0,R2,0,228900,90.83,203,LIC00000639,0
2017-10-01,JUR0000640,NEW_COMM,21987147.1,37,1974293,243.9,79,STEEL,IECC_2018,1,0,0,MU,0,230666,89.66,18,LIC00000640,0
2017-10-02,JUR0000641,ALTERATION,67797167.99,346,319819,175.4,5,MODULAR,LOCAL,0,0,0,R2,1,168941,62.29,33,LIC00000641,0
2017-10-03,JUR0000642,MEP,36865006.5,215,592970,412.2,33,MIXED,IECC_2009,0,0,0,R2,0,203703,65.22,176,LIC00000642,0
2017-10-04,JUR0000643,NEW_RES,79645157.97,74,1504684,357.5,81,CONCRETE,IECC_2012,0,1,0,I1,0,62709,77.54,121,LIC00000643,0
2017-10-05,JUR0000644,NEW_RES,8522250.83,101,1915223,270.2,11,CONCRETE,IECC_2015,0,1,1,PUD,0,29020,61.37,191,LIC00000644,0
2017-10-06,JUR0000645,ADDITION,53817500.02,346,2159527,404.8,27,MIXED,IECC_2018,0,0,0,MU,0,47389,72.6,216,LIC00000645,0
2017-10-07,JUR0000646,NEW_COMM,69812454.63,440,514397,220.9,56,MODULAR,IECC_2018,0,0,0,PUD,0,33521,83.05,159,LIC00000646,0
2017-10-08,JUR0000647,NEW_COMM,30024506.48,5,1386311,279.5,22,MODULAR,IECC_2021,0,0,0,C2,0,241407,85.36,90,LIC00000647,0
2017-10-09,JUR0000648,NEW_RES,193309.76,357,213256,343.4,81,STEEL,LOCAL,0,0,1,C1,0,205499,72.47,203,LIC00000648,0
2017-10-10,JUR0000649,DEMOLITION,41186833.39,321,660001,103.2,76,CONCRETE,LOCAL,0,0,0,PUD,0,53542,71.64,120,LIC00000649,0
2017-10-11,JUR0000650,NEW_COMM,44660800.34,146,527724,327.4,79,WOOD,IECC_2018,1,0,0,MU,0,80491,84.38,132,LIC00000650,0
2017-10-12,JUR0000651,DEMOLITION,63329756.16,28,476996,285.6,62,STEEL,IECC_2018,0,1,0,C1,0,59809,67.65,229,LIC00000651,0
2017-10-13,JUR0000652,NEW_RES,20909933.86,67,225236,188.2,55,STEEL,IECC_2009,0,0,0,C1,0,25970,90.2,40,LIC00000652,0
2017-10-14,JUR0000653,ALTERATION,77404759.4,115,1307127,364.7,89,MODULAR,IECC_2021,0,0,0,RM,0,100934,89.86,139,LIC00000653,0
2017-10-15,JUR0000654,MEP,38041458.6,321,1591414,355.6,25,WOOD,IECC_2015,0,0,0,C2,1,132236,88.72,148,LIC00000654,0
2017-10-16,JUR0000655,NEW_RES,82224373.72,404,1566727,271.0,23,MODULAR,IECC_2018,1,0,0,C1,0,101178,85.78,157,LIC00000655,0
2017-10-17,JUR0000656,NEW_RES,70797115.84,173,1725370,262.9,70,MODULAR,IECC_2018,1,0,1,R3,1,184837,75.88,187,LIC00000656,0
2017-10-18,JUR0000657,ADDITION,63239671.55,214,1210606,385.0,22,STEEL,IECC_2021,1,0,0,C1,1,4265,70.44,239,LIC00000657,0
2017-10-19,JUR0000658,DEMOLITION,64471501.69,36,1850339,177.4,66,MASONRY,IECC_2012,1,0,0,R1,1,112992,55.17,169,LIC00000658,0
2017-10-20,JUR0000659,ALTERATION,67274253.43,210,905480,187.0,52,STEEL,IECC_2021,0,0,0,MU,0,156221,72.32,132,LIC00000659,0
2017-10-21,JUR0000660,NEW_COMM,71476294.36,141,816667,318.6,11,STEEL,IECC_2012,0,0,0,PUD,0,223245,56.48,153,LIC00000660,0
2017-10-22,JUR0000661,ALTERATION,19126587.35,170,1644493,167.4,25,STEEL,IECC_2018,0,0,0,I1,0,139618,69.5,142,LIC00000661,0
2017-10-23,JUR0000662,NEW_RES,25188591.22,240,173352,358.6,32,STEEL,IECC_2015,0,0,0,R3,1,109868,79.11,53,LIC00000662,0
2017-10-24,JUR0000663,ALTERATION,41051320.97,349,17348,145.8,75,CONCRETE,IECC_2015,1,0,0,I1,0,18175,82.0,192,LIC00000663,0
