safe_incident_incident_datetime_local,safe_incident_incident_type_code,safe_incident_ipc_ncrb_offense_code,safe_incident_call_priority_level,safe_incident_reporting_agency_ori,safe_incident_location_block_id,safe_incident_premise_type,safe_incident_weapon_involved_flag,safe_incident_injury_severity_code,safe_incident_victim_count,safe_incident_suspect_count,safe_incident_clearance_status_code,safe_incident_bias_motivation_flag,safe_incident_gang_related_flag,safe_incident_domestic_related_flag,safe_incident_property_loss_value_inr,safe_incident_body_worn_camera_flag,safe_incident_response_time_seconds,safe_incident_geocoding_accuracy_level,safe_incident_case_update_timestamp
2022-04-05 01:22:11,Assault,IPC-392,P3,IN-ORI-1785,BLK-dd82fc36f29c99,Shop,N,Minor,0,3,ClearedByArrest,Y,Y,Y,6793773,Y,4668,Unknown,2024-05-02 10:40:18
2021-06-27 16:08:39,Arson,IT-66C,P1,IN-ORI-2520,BLK-70eef0e2c22878,ATM,Y,Minor,5,5,Unfounded,N,Y,Y,3414756,N,7043,Parcel,2020-11-19 23:27:07
2022-08-13 23:33:53,DomesticViolence,IPC-363,P1,IN-ORI-8305,BLK-36035883523a5f,Residence,Y,Minor,2,1,Open,N,Y,N,2618477,N,7133,Parcel,2019-11-17 03:29:25
2020-06-25 17:00:49,Kidnapping,IPC-392,P4,IN-ORI-3757,BLK-080244d5a8479f,Office,Y,Minor,3,4,ClearedByArrest,Y,N,N,7198324,Y,772,Neighborhood,2024-03-04 19:19:56
2024-06-24 00:39:51,DomesticViolence,IPC-436,P2,IN-ORI-5233,BLK-f1862a9da79cca,School,Y,Minor,2,4,UnderInvestigation,N,N,Y,2073180,N,4562,Rooftop,2025-11-22 10:15:07
2020-03-06 06:25:17,Arson,IPC-363,P4,IN-ORI-1214,BLK-6c087f3ce20879,Warehouse,N,None,1,3,Open,Y,Y,Y,2863706,N,2659,StreetSegment,2023-03-11 22:20:30
2020-01-20 12:32:37,Fraud,NDPS-21,P4,IN-ORI-6873,BLK-6c6d1c9329a156,Office,Y,None,3,3,Open,Y,Y,Y,1355973,N,6597,Unknown,2021-07-13 14:26:27
2025-08-13 11:20:30,Narcotics,IPC-392,P2,IN-ORI-2277,BLK-1d9fc18f5124b8,Shop,Y,Fatal,6,2,Unfounded,Y,Y,N,7393980,Y,6444,Parcel,2020-05-30 01:39:32
2020-07-15 00:28:28,Narcotics,NDPS-20,P2,IN-ORI-3382,BLK-2760f8cb37eb23,Hospital,N,Minor,0,2,UnderInvestigation,Y,Y,N,8277809,N,3690,Rooftop,2025-04-28 16:53:32
2021-11-17 06:35:35,Assault,NDPS-20,P2,IN-ORI-1307,BLK-fc798673e4f392,Residence,Y,Minor,0,3,UnderInvestigation,N,Y,Y,8359294,Y,6299,Parcel,2021-01-02 15:03:35
2018-07-17 14:27:36,Assault,IPC-498A,P3,IN-ORI-5320,BLK-f7e2839f52b0fe,Shop,N,None,4,1,ExceptionallyCleared,N,N,N,503833,N,2551,Neighborhood,2023-09-13 08:53:55
2018-06-18 06:04:33,Burglary,IPC-392,P1,IN-ORI-4561,BLK-59ae74d3d1169d,School,Y,None,3,5,Unfounded,N,Y,N,392537,Y,3332,StreetSegment,2025-11-23 13:48:35
2025-11-03 07:28:50,Kidnapping,NDPS-21,P3,IN-ORI-5517,BLK-02777c94048355,Office,N,Moderate,1,3,ExceptionallyCleared,N,Y,Y,6382227,N,2451,Parcel,2021-04-12 05:18:53
2023-02-08 01:09:05,Robbery,NDPS-20,P2,IN-ORI-7240,BLK-9e1f2abb096099,Street,N,None,6,1,UnderInvestigation,N,N,N,7960291,N,3532,Ward,2022-06-14 16:50:19
2022-08-10 01:40:59,Fraud,IPC-498A,P4,IN-ORI-3674,BLK-196d4b8e23a5cc,ATM,Y,Moderate,1,3,Open,N,Y,N,4008335,Y,4096,Neighborhood,2019-10-31 23:15:31
2019-02-21 14:38:11,CyberCrime,IPC-380,P3,IN-ORI-3918,BLK-8d7cfc785234f3,Transit,Y,Fatal,6,3,UnderInvestigation,Y,Y,N,3841305,Y,5064,Neighborhood,2019-04-03 18:12:33
2020-09-18 01:21:07,Homicide,IPC-363,P2,IN-ORI-9195,BLK-3525931c3ad06e,Warehouse,N,None,3,0,Open,N,Y,Y,7050410,N,2314,Rooftop,2025-06-14 11:51:15
2024-04-12 16:23:32,Kidnapping,IPC-498A,P1,IN-ORI-8357,BLK-c39deb433da840,Residence,N,None,0,2,UnderInvestigation,Y,N,N,3433374,N,7165,Unknown,2024-01-25 02:29:38
2022-02-04 16:36:11,Theft,IPC-420,P4,IN-ORI-8034,BLK-50edc1ac7f6517,ATM,Y,None,7,2,Unfounded,N,Y,Y,5513340,Y,655,Ward,2019-06-10 13:54:32
2018-04-06 13:00:30,Vandalism,IPC-498A,P4,IN-ORI-4986,BLK-9f2557376b9995,Warehouse,N,None,1,3,Unfounded,Y,Y,Y,6898020,N,3007,Ward,2023-04-29 01:54:12
2020-03-09 19:25:03,Kidnapping,IPC-392,P2,IN-ORI-8511,BLK-9bd1a60817e1aa,Market,N,None,6,4,ExceptionallyCleared,Y,N,Y,6982920,Y,3015,Parcel,2020-03-12 05:00:43
2020-07-17 06:26:06,Kidnapping,IPC-380,P2,IN-ORI-6036,BLK-e39f5abcaed179,School,N,Minor,1,0,UnderInvestigation,N,N,N,187407,Y,3525,Ward,2023-04-16 17:54:40
2025-12-29 18:45:17,Homicide,NDPS-21,P1,IN-ORI-1011,BLK-76ee729838fb4b,Street,N,None,4,5,Open,Y,N,N,32098,N,2518,Parcel,2023-09-06 20:49:06
2023-01-16 19:47:05,Kidnapping,IPC-436,P3,IN-ORI-7734,BLK-92b1213b4b8104,Hospital,Y,None,5,3,Open,Y,N,N,6267610,N,483,Parcel,2020-05-11 13:29:32
2025-07-15 18:26:45,Assault,IPC-302,P3,IN-ORI-7884,BLK-de2ab7f6199f76,School,N,Severe,2,3,Open,Y,N,Y,8227252,N,6793,Rooftop,2021-10-27 22:09:38
2024-05-18 12:56:01,Fraud,IT-66C,P4,IN-ORI-2569,BLK-b442645699c941,ATM,Y,None,3,4,ExceptionallyCleared,N,N,N,6018184,Y,6906,Parcel,2022-03-27 20:29:18
2018-07-13 17:26:12,Burglary,NDPS-20,P3,IN-ORI-6727,BLK-b96d72d2fd1fb7,Apartment,Y,None,0,5,ClearedByArrest,N,N,N,4333674,N,3771,Neighborhood,2020-04-03 22:06:02
2019-01-25 23:40:39,Fraud,IPC-392,P4,IN-ORI-5735,BLK-972bac3ee47efc,Warehouse,Y,Fatal,5,1,ExceptionallyCleared,N,N,Y,1758213,Y,759,StreetSegment,2020-02-17 09:32:51
2018-06-12 19:29:45,DomesticViolence,IPC-420,P2,IN-ORI-8745,BLK-2f67a1efdd7bfb,Hospital,Y,None,5,2,Open,N,Y,Y,5166543,Y,3525,Rooftop,2020-05-13 21:15:40
2024-06-03 16:59:59,Kidnapping,IPC-302,P2,IN-ORI-3179,BLK-03ac1d31765cda,Street,Y,Minor,2,2,Open,Y,Y,N,132296,N,6653,Ward,2024-07-10 22:41:08
2025-10-31 18:40:45,Robbery,NDPS-21,P3,IN-ORI-2550,BLK-690393fee3d773,School,N,Moderate,4,3,Unfounded,N,N,N,5021484,Y,664,Ward,2021-10-31 02:57:37
2025-05-13 01:24:23,Homicide,IPC-363,P3,IN-ORI-9283,BLK-d0af50807ab47b,Transit,Y,None,5,2,Unfounded,N,Y,N,5676100,N,6736,Rooftop,2023-12-01 09:41:14
2021-05-22 16:04:27,Vandalism,IPC-436,P2,IN-ORI-4331,BLK-28059739c6d846,Market,Y,Minor,4,1,Unfounded,Y,Y,Y,426257,N,6958,Ward,2022-07-28 17:21:33
2018-07-14 15:23:50,Arson,IPC-363,P3,IN-ORI-6303,BLK-492da236eecb80,Hospital,Y,None,5,0,UnderInvestigation,N,N,N,2621890,Y,5890,StreetSegment,2025-05-04 18:31:22
2023-08-31 16:19:10,Arson,IPC-436,P2,IN-ORI-5629,BLK-8ddda541ca7f59,Shop,Y,None,2,0,Open,N,Y,Y,5836505,N,1755,Parcel,2019-06-06 11:27:16
2021-07-08 21:29:31,Kidnapping,IPC-436,P3,IN-ORI-5667,BLK-16f9aff953d14f,Transit,N,Minor,7,1,ExceptionallyCleared,N,Y,N,4914618,N,2691,StreetSegment,2019-12-21 23:28:35
2021-03-20 10:07:03,DomesticViolence,IPC-354,P4,IN-ORI-2864,BLK-08e90f7edebb53,Hospital,N,Minor,4,2,UnderInvestigation,Y,Y,N,6500633,N,4159,StreetSegment,2023-05-08 17:09:29
2018-07-16 03:40:38,DomesticViolence,IT-66C,P1,IN-ORI-9975,BLK-4cd76a2b593a6c,Office,N,None,5,4,ClearedByArrest,Y,Y,N,4391042,N,1820,Neighborhood,2023-02-11 05:54:42
2019-10-14 06:33:49,Burglary,IPC-436,P3,IN-ORI-5250,BLK-e75fdf2acf2951,School,N,Minor,2,5,ClearedByArrest,N,N,N,4397960,Y,7038,Ward,2022-02-01 01:54:29
2018-05-14 09:44:18,CyberCrime,NDPS-20,P3,IN-ORI-9991,BLK-274a0f35af4a6a,Transit,N,None,3,3,Open,Y,N,N,4592502,N,1043,Ward,2023-08-09 23:04:26
2024-02-23 00:13:42,Burglary,IPC-436,P1,IN-ORI-6660,BLK-47ec7ca70c5231,Park,N,Minor,4,5,ExceptionallyCleared,Y,Y,N,1505113,N,5876,Unknown,2023-02-15 14:54:45
2024-02-01 11:04:17,Kidnapping,IPC-498A,P2,IN-ORI-5915,BLK-dc0b8d2181eaaf,Street,Y,Minor,5,2,ExceptionallyCleared,Y,Y,N,3128964,N,6943,Parcel,2019-03-19 20:41:45
2025-05-05 08:58:50,CyberCrime,IT-66C,P3,IN-ORI-3536,BLK-6134e97fe1bca6,Office,N,None,3,1,Unfounded,N,Y,N,824216,Y,286,Unknown,2023-10-18 23:46:06
2023-03-12 23:35:39,Vandalism,IPC-436,P1,IN-ORI-9772,BLK-b8c1a679587663,School,N,None,0,0,Open,Y,N,N,6144550,Y,4481,Rooftop,2022-02-20 10:29:44
2024-05-17 17:46:06,Arson,IPC-498A,P2,IN-ORI-3892,BLK-8d289196baf665,Warehouse,Y,Minor,5,5,ClearedByArrest,N,N,N,880465,N,5023,Ward,2021-01-21 10:19:42
2019-11-29 09:25:35,CyberCrime,IPC-379,P2,IN-ORI-3290,BLK-d602ad616db1e1,Street,N,None,5,5,Open,N,Y,N,4744901,N,479,Unknown,2019-03-18 12:48:18
2024-03-07 20:44:19,Narcotics,IPC-420,P4,IN-ORI-5633,BLK-04959d5e76fc1d,Market,N,Minor,6,3,ExceptionallyCleared,N,Y,N,2900908,Y,7106,Neighborhood,2023-02-13 02:21:14
2021-09-01 20:16:47,Assault,IPC-420,P4,IN-ORI-2564,BLK-4ffc83f85ad23d,Street,N,None,6,0,UnderInvestigation,N,Y,N,2136829,N,38,Unknown,2022-11-01 00:44:38
2018-10-28 16:01:00,Homicide,IPC-498A,P3,IN-ORI-4818,BLK-4cc585045c47c8,Hospital,N,None,7,4,UnderInvestigation,N,Y,Y,1531987,Y,5752,Unknown,2020-09-14 13:12:49
2018-07-24 00:42:36,Assault,IPC-498A,P4,IN-ORI-8464,BLK-7d95ec8d2b4ecc,Market,Y,None,0,5,ClearedByArrest,Y,Y,N,8425176,Y,1045,StreetSegment,2021-03-04 06:29:41
2023-02-28 20:14:10,Fraud,IPC-379,P2,IN-ORI-3598,BLK-c152ab34778c80,Market,Y,None,3,0,Open,Y,N,Y,2660287,Y,326,Parcel,2020-04-24 03:47:59
2024-08-23 00:44:16,Theft,IPC-380,P2,IN-ORI-2938,BLK-0e6fc8d7f02f6b,Hospital,N,None,0,5,UnderInvestigation,N,N,N,2280480,Y,2984,Parcel,2019-03-05 20:11:32
2023-05-19 02:52:34,Narcotics,IPC-302,P2,IN-ORI-8774,BLK-87333591990683,Market,N,None,0,3,Open,Y,Y,Y,6424763,N,4733,Rooftop,2022-04-07 15:34:08
2020-03-28 12:18:14,Theft,IPC-420,P3,IN-ORI-3155,BLK-1a25191614f836,Apartment,Y,Minor,6,1,Unfounded,N,Y,N,3301733,N,1623,Rooftop,2025-09-13 15:41:21
2019-01-12 13:25:17,Burglary,IPC-498A,P2,IN-ORI-9010,BLK-aa2a685f4305b6,Residence,N,Minor,5,1,ExceptionallyCleared,N,Y,N,3095624,N,4364,StreetSegment,2022-10-11 13:58:11
2021-01-31 15:47:24,Burglary,IPC-302,P2,IN-ORI-4181,BLK-bf8001beedddf3,Park,N,Fatal,1,3,UnderInvestigation,N,N,Y,852826,N,6253,Ward,2024-02-07 06:34:52
2024-06-05 13:10:56,Fraud,IPC-420,P2,IN-ORI-5110,BLK-b9cc376af7af6a,Residence,N,Moderate,0,4,ExceptionallyCleared,Y,N,Y,3856780,Y,761,Rooftop,2025-06-29 22:22:06
2020-02-16 21:49:27,Assault,NDPS-20,P3,IN-ORI-8759,BLK-cd7592046245b5,School,N,None,3,4,Unfounded,N,N,Y,1127569,N,861,Rooftop,2022-10-21 19:30:14
2018-06-08 02:31:09,Theft,IPC-363,P2,IN-ORI-9721,BLK-ae3e2ed7fd7a38,Park,N,None,6,0,ClearedByArrest,Y,Y,N,727451,Y,6048,Rooftop,2023-05-11 20:02:13
2020-07-28 13:17:18,CyberCrime,IPC-354,P2,IN-ORI-6064,BLK-7120d554f8503f,Market,N,None,6,5,UnderInvestigation,N,N,N,6158329,N,2196,StreetSegment,2020-07-27 16:34:43
2021-05-04 08:26:13,Arson,IPC-392,P4,IN-ORI-5639,BLK-d08d446bb7e600,Shop,Y,None,5,1,Unfounded,N,N,Y,5382713,N,5382,Neighborhood,2019-06-28 06:07:54
2022-12-16 16:30:02,Vandalism,IPC-354,P3,IN-ORI-5666,BLK-0042aa5d1828a8,Apartment,N,Minor,1,5,Unfounded,Y,Y,N,2204348,Y,2551,Rooftop,2024-06-19 21:20:45
2022-01-11 04:43:51,Narcotics,IPC-379,P3,IN-ORI-5929,BLK-88864f8b6288d8,Warehouse,Y,None,7,1,ClearedByArrest,N,N,Y,1233356,N,2245,Neighborhood,2024-06-13 03:13:45
2018-09-02 05:56:54,Narcotics,IPC-354,P2,IN-ORI-5881,BLK-c27434c4e93c79,Street,Y,Moderate,1,3,ClearedByArrest,Y,Y,Y,6624552,N,5599,Ward,2024-01-17 00:43:24
2025-09-26 11:37:27,Narcotics,IPC-363,P1,IN-ORI-1182,BLK-be02c5251511c3,Park,Y,None,4,3,ClearedByArrest,N,Y,Y,4471524,Y,2514,StreetSegment,2025-08-31 19:52:38
2022-01-06 22:51:41,Arson,IPC-498A,P3,IN-ORI-6780,BLK-523c06896a2ece,Hospital,N,None,1,4,ClearedByArrest,Y,Y,Y,5636594,Y,2202,Rooftop,2022-05-21 09:16:33
2018-03-26 01:57:53,Vandalism,IPC-379,P2,IN-ORI-6316,BLK-518675b24eeb87,Office,Y,None,1,0,Unfounded,N,Y,Y,4730752,N,6163,Rooftop,2023-08-01 23:34:39
2025-09-29 08:59:00,Theft,IPC-302,P2,IN-ORI-8041,BLK-5a741640787549,Shop,Y,None,4,3,Unfounded,Y,Y,N,2164593,N,6485,Ward,2022-04-30 20:50:48
2020-05-19 14:55:45,Kidnapping,IPC-420,P4,IN-ORI-6078,BLK-798720c81bed6c,Transit,Y,None,2,4,Unfounded,Y,N,N,7742663,N,3275,Rooftop,2021-04-03 21:11:44
2018-04-18 10:57:39,Homicide,IPC-392,P1,IN-ORI-1382,BLK-204684e2437a17,Warehouse,N,Minor,5,2,ClearedByArrest,N,N,Y,710236,Y,4404,Ward,2021-01-28 15:42:23
2019-07-13 15:19:23,Homicide,NDPS-20,P2,IN-ORI-8444,BLK-6d76ffe206dd57,Warehouse,Y,Minor,2,5,Open,Y,N,N,4641663,Y,466,Ward,2024-11-28 23:01:27
2023-05-18 16:06:47,DomesticViolence,IPC-498A,P3,IN-ORI-1957,BLK-41b09782a527d6,School,Y,Minor,4,5,UnderInvestigation,N,N,Y,2530940,N,5587,Rooftop,2024-11-27 04:31:43
2019-06-19 12:40:00,Narcotics,IPC-354,P3,IN-ORI-4049,BLK-61a53cc702380d,Market,Y,Minor,0,3,ClearedByArrest,N,Y,Y,6972139,Y,896,StreetSegment,2023-07-20 05:31:40
2018-09-14 07:21:41,CyberCrime,IT-66C,P2,IN-ORI-1582,BLK-7daf5b2d54f4a1,Shop,Y,Severe,1,0,UnderInvestigation,Y,N,N,7423569,N,5285,Unknown,2021-07-04 11:01:18
2020-10-27 19:44:45,CyberCrime,IPC-436,P3,IN-ORI-4822,BLK-d95bac2b9c4146,ATM,N,None,2,1,ClearedByArrest,N,Y,N,5421033,Y,3290,Parcel,2020-11-24 20:23:57
2019-07-19 01:24:56,Robbery,IPC-363,P4,IN-ORI-2017,BLK-74775eea4031f0,Street,Y,None,7,1,ClearedByArrest,Y,Y,Y,4151445,Y,4535,Parcel,2023-10-12 14:43:23
2023-07-05 04:36:08,DomesticViolence,IPC-392,P4,IN-ORI-8258,BLK-2f391d9257a03c,Street,N,Moderate,3,3,UnderInvestigation,N,Y,Y,6485722,N,276,Neighborhood,2023-09-05 21:23:07
2018-05-11 15:10:25,Narcotics,IPC-379,P2,IN-ORI-1259,BLK-29c8228fd12382,Market,Y,None,6,0,Unfounded,N,N,Y,4930809,N,4179,Unknown,2020-11-10 00:26:19
2019-11-27 21:54:41,Fraud,IPC-379,P2,IN-ORI-7064,BLK-791e468d292508,Warehouse,Y,None,6,0,ExceptionallyCleared,Y,N,N,1858734,Y,83,StreetSegment,2023-05-13 09:32:03
2021-09-02 04:40:47,Homicide,IT-66C,P2,IN-ORI-6899,BLK-7ddbb25921e33f,Hospital,N,Minor,4,4,ClearedByArrest,N,N,N,1722213,N,4164,Neighborhood,2022-09-16 17:28:43
2025-10-05 11:19:31,Narcotics,NDPS-21,P2,IN-ORI-9084,BLK-c7ee8a87a038af,Residence,Y,Fatal,2,4,ExceptionallyCleared,Y,N,Y,4660490,N,6298,StreetSegment,2024-10-17 23:11:37
2019-10-11 22:59:17,Homicide,IPC-363,P2,IN-ORI-4754,BLK-c77719005db480,Apartment,Y,None,3,2,ClearedByArrest,N,Y,N,8480051,Y,1932,Ward,2021-05-04 09:49:49
2025-10-05 22:18:24,Homicide,IPC-380,P4,IN-ORI-7715,BLK-5986929f38645a,Hospital,Y,Severe,0,3,UnderInvestigation,N,Y,N,1387336,Y,1359,Parcel,2021-01-06 17:19:34
2025-10-21 00:36:32,Arson,IPC-354,P3,IN-ORI-7147,BLK-784aa01b07477e,ATM,N,None,5,4,Unfounded,N,N,N,1591598,N,1783,Neighborhood,2020-10-02 23:31:41
2025-08-06 19:49:55,Homicide,IPC-354,P2,IN-ORI-6314,BLK-b1b4847d63e5fd,Warehouse,Y,None,7,5,Open,N,Y,N,4839374,Y,811,Neighborhood,2020-07-09 03:38:56
2018-11-11 23:16:39,Robbery,IPC-498A,P4,IN-ORI-8554,BLK-a52c7017fc957b,School,N,Minor,1,2,Unfounded,N,Y,Y,2014046,Y,4182,StreetSegment,2020-01-12 05:19:43
2020-06-16 15:35:34,Homicide,NDPS-21,P3,IN-ORI-8940,BLK-9c38589597e833,Apartment,N,None,4,3,Open,Y,N,Y,5034241,N,6162,Ward,2019-09-21 07:26:16
2023-03-08 22:40:10,Homicide,IPC-436,P2,IN-ORI-2062,BLK-941501b4762d56,Residence,N,None,4,3,Unfounded,N,N,N,5349675,N,4794,Ward,2023-08-01 10:02:24
2020-10-18 22:29:28,Theft,NDPS-21,P3,IN-ORI-9143,BLK-184ca75b398149,Market,Y,None,3,5,UnderInvestigation,N,N,Y,4726288,Y,421,Rooftop,2021-05-15 22:30:32
2021-12-28 22:12:27,Burglary,IT-66C,P3,IN-ORI-7247,BLK-481cbca0772891,Shop,N,Minor,1,3,Unfounded,N,Y,N,1585545,Y,3451,Neighborhood,2020-08-18 23:29:52
2022-06-22 14:22:50,Narcotics,IPC-380,P1,IN-ORI-2485,BLK-a6c59ccc79ce68,School,N,Minor,4,2,Unfounded,N,Y,N,2106380,Y,1177,Unknown,2022-10-11 00:40:06
2024-11-22 14:49:58,Fraud,IPC-436,P2,IN-ORI-7073,BLK-37103d62720dfc,Apartment,Y,None,1,2,ExceptionallyCleared,Y,Y,N,6094349,Y,2531,StreetSegment,2019-03-08 06:27:23
2021-02-14 11:46:54,Narcotics,NDPS-20,P2,IN-ORI-1603,BLK-e7dc3ac0937412,ATM,N,None,3,1,Unfounded,Y,N,N,2704234,Y,6448,Parcel,2023-08-18 01:55:04
2019-09-26 01:56:51,Arson,IPC-380,P2,IN-ORI-3936,BLK-6bb6762eb7c80c,Residence,N,Fatal,5,3,ExceptionallyCleared,N,N,Y,8293371,N,5467,StreetSegment,2022-02-14 00:50:51
2019-04-01 08:28:42,Theft,IPC-354,P2,IN-ORI-8979,BLK-10954fda803794,Office,Y,None,0,0,ExceptionallyCleared,Y,N,Y,8015461,N,6685,Ward,2024-10-27 04:13:03
2018-08-25 14:27:15,DomesticViolence,IPC-420,P2,IN-ORI-6789,BLK-8a2c3e21d99d90,Warehouse,N,None,1,0,UnderInvestigation,Y,N,N,92907,Y,621,Ward,2021-04-04 03:46:04
2018-11-10 00:25:00,Homicide,IPC-379,P3,IN-ORI-2089,BLK-fdb027b1d9a9d2,Hospital,Y,None,7,2,Open,Y,Y,N,6661121,Y,515,Rooftop,2020-04-03 15:49:39
2020-08-06 09:07:08,Robbery,IPC-436,P2,IN-ORI-2932,BLK-453453e1261ed1,School,Y,Moderate,0,4,UnderInvestigation,Y,N,N,4422728,Y,2769,Unknown,2023-06-24 19:51:29
2018-05-14 12:45:44,Assault,NDPS-21,P4,IN-ORI-5622,BLK-6b6c57ea6786e7,Residence,N,Severe,5,4,Open,N,Y,Y,7762316,Y,5111,Neighborhood,2020-02-25 08:06:55
2019-09-17 21:48:12,Narcotics,IPC-436,P3,IN-ORI-9781,BLK-8663097038e10a,Market,Y,Minor,0,4,ClearedByArrest,Y,N,Y,7985121,N,2084,Ward,2023-04-13 16:15:54
2024-06-06 09:05:01,Narcotics,IPC-498A,P1,IN-ORI-3409,BLK-bc5a872341a10a,Office,Y,Moderate,4,4,UnderInvestigation,Y,Y,N,3151664,N,1432,Ward,2022-09-10 01:40:04
2024-02-11 23:57:58,Assault,IPC-379,P1,IN-ORI-5392,BLK-f05e60b4d89f21,Warehouse,Y,None,4,5,Unfounded,N,N,Y,1677534,Y,1660,Unknown,2025-10-01 23:53:27
2020-05-10 20:15:40,DomesticViolence,IPC-363,P3,IN-ORI-5745,BLK-5c82ba6ee82834,Office,Y,Minor,6,3,ClearedByArrest,Y,N,Y,6540816,Y,6738,Neighborhood,2021-05-31 14:02:51
2020-01-01 18:29:58,Vandalism,IT-66C,P2,IN-ORI-9037,BLK-0ad2cec7f2e112,Transit,N,None,5,4,Unfounded,N,Y,N,5523093,Y,4033,Unknown,2020-02-16 20:04:07
2024-08-15 11:25:22,Robbery,IPC-354,P2,IN-ORI-5558,BLK-ebf21bbf0e01e8,Market,N,None,6,2,Unfounded,N,N,Y,1020517,N,4467,Parcel,2023-07-03 19:03:15
2019-06-09 15:13:36,DomesticViolence,IPC-436,P1,IN-ORI-3101,BLK-ed50c3113529f4,Residence,Y,None,2,4,ExceptionallyCleared,N,N,N,6896623,N,7011,Ward,2022-03-24 09:28:22
2022-09-28 23:20:34,CyberCrime,NDPS-21,P3,IN-ORI-2301,BLK-b6602384cfb988,Hospital,Y,Minor,2,4,ExceptionallyCleared,Y,N,Y,6869952,Y,6725,Unknown,2025-07-06 01:21:58
2018-02-16 20:17:07,DomesticViolence,IPC-498A,P2,IN-ORI-4579,BLK-3ac7c381845e55,Residence,N,Moderate,1,4,UnderInvestigation,N,N,N,7671131,N,956,Unknown,2024-07-26 06:14:46
2025-11-03 15:58:52,Arson,IPC-392,P4,IN-ORI-9701,BLK-0620790ce07e56,Office,Y,Moderate,2,1,Open,Y,Y,N,173879,N,3525,StreetSegment,2021-12-09 13:12:53
2020-02-18 02:11:46,Vandalism,IPC-363,P3,IN-ORI-7907,BLK-519c5d48c2b06d,Apartment,N,Moderate,3,3,ExceptionallyCleared,Y,Y,N,7060526,N,678,StreetSegment,2021-05-31 06:46:05
2020-05-11 18:58:05,Narcotics,NDPS-21,P2,IN-ORI-5255,BLK-0985360fff414b,Transit,N,None,5,3,Unfounded,Y,Y,Y,5565516,N,5382,Ward,2020-12-16 17:53:20
2022-04-15 11:53:26,DomesticViolence,IPC-363,P2,IN-ORI-3752,BLK-a34071d8ac4780,Warehouse,N,Moderate,0,1,Open,Y,N,N,7836658,Y,3695,Unknown,2025-04-05 21:12:58
2019-10-28 13:32:29,Robbery,IPC-380,P4,IN-ORI-6765,BLK-adee30dcfd2f58,Market,N,None,2,0,UnderInvestigation,N,N,N,8096039,N,3544,Ward,2022-06-16 01:40:43
2025-10-14 04:53:54,Narcotics,IPC-498A,P4,IN-ORI-4833,BLK-ad11b3c898aeed,Office,Y,None,2,2,Unfounded,Y,Y,Y,6378838,Y,3143,Parcel,2020-12-26 06:18:54
2021-07-28 16:04:47,Robbery,IPC-302,P3,IN-ORI-2128,BLK-f86cc58eee82e4,Warehouse,N,Moderate,4,5,Open,Y,N,Y,1461140,Y,2287,Neighborhood,2024-12-12 10:26:22
2025-03-02 01:49:40,Arson,IPC-392,P4,IN-ORI-2666,BLK-5010e8fa923dd4,Warehouse,Y,None,0,5,UnderInvestigation,Y,Y,N,6276273,N,2388,Neighborhood,2022-03-01 12:13:57
2019-04-16 04:03:48,Robbery,IT-66C,P3,IN-ORI-1613,BLK-d23a111cc204db,Shop,Y,Minor,3,1,ClearedByArrest,Y,Y,N,5860612,N,192,Parcel,2022-03-27 02:02:45
2021-07-28 16:14:53,Vandalism,IPC-354,P2,IN-ORI-7001,BLK-8df8106e36dec4,Warehouse,N,Severe,3,0,ExceptionallyCleared,Y,Y,N,5002969,N,4093,StreetSegment,2024-09-05 03:58:09
2024-04-21 05:49:38,DomesticViolence,IPC-302,P3,IN-ORI-6601,BLK-ff40469697d6e0,Warehouse,Y,Minor,0,3,ExceptionallyCleared,N,Y,N,7103149,Y,278,Ward,2019-12-23 06:16:35
2025-03-19 01:45:53,CyberCrime,IPC-379,P4,IN-ORI-3124,BLK-1ae0368fc5c1bb,ATM,N,None,3,3,ExceptionallyCleared,Y,N,N,1757936,Y,819,Neighborhood,2020-07-25 12:27:18
2019-02-18 15:49:20,Homicide,IPC-379,P1,IN-ORI-8082,BLK-df5b7737b062c3,Apartment,Y,None,0,2,Open,Y,N,Y,5646837,N,1580,StreetSegment,2024-05-12 08:32:39
2024-11-09 16:01:18,Homicide,IPC-379,P4,IN-ORI-4928,BLK-0afcd910c5bbfc,Shop,N,Severe,3,3,Unfounded,Y,N,N,8230071,N,4993,StreetSegment,2022-12-05 09:30:16
2018-09-02 00:58:41,Kidnapping,IPC-436,P2,IN-ORI-3285,BLK-9f85a8b6c74ad1,Park,Y,None,2,1,UnderInvestigation,N,N,N,1439472,Y,6563,Neighborhood,2020-03-05 17:48:41
2019-01-04 05:28:34,DomesticViolence,IPC-363,P1,IN-ORI-8780,BLK-4c18b58a71061b,Park,Y,None,7,5,ClearedByArrest,Y,N,N,3699223,Y,5454,StreetSegment,2023-08-25 21:54:35
2018-02-08 17:44:14,Homicide,NDPS-20,P3,IN-ORI-9665,BLK-a4ac05adb66fe3,Apartment,N,None,6,5,ClearedByArrest,N,N,N,4200519,N,3574,Parcel,2020-11-10 04:47:24
2019-09-21 04:00:24,DomesticViolence,IPC-380,P2,IN-ORI-1680,BLK-e783859498b820,Warehouse,Y,Minor,3,5,Open,N,N,N,3475374,Y,6344,StreetSegment,2019-09-27 19:07:21
