biz_sme_reference_year,biz_sme_country_iso2,biz_sme_region_nuts_code,biz_sme_sector_nace_section,biz_sme_sme_definition_code,biz_sme_micro_enterprises_count,biz_sme_small_enterprises_count,biz_sme_medium_enterprises_count,biz_sme_employment_sme_total,biz_sme_value_added_sme_eur,biz_sme_access_to_finance_index,biz_sme_venture_capital_investment_eur,biz_sme_interest_rate_on_loans_pct,biz_sme_digital_intensity_score,biz_sme_exporting_sme_share_pct,biz_sme_innovation_active_share_pct,biz_sme_sustainability_reporting_csrd_flag,biz_sme_late_payment_days_avg,biz_sme_eurostat_table_code,biz_sme_data_extract_date
2024,FR,LU2,J,BANKING_SME,2380,255,161,11275,961252029.6,40.48,32153882.78,2.045,37.1,31.59,11.18,0,12.01,isoc_sme,2024-01-15
2025,HU,AT292,U,MIXED,1712,238,54,6647,928534438.42,59.73,203778547.56,4.393,17.04,56.17,40.85,1,50.38,sbs_sc_sca_r2,2025-06-16
2026,LV,FI53,K,EU_SME_2003_361_EC,2333,277,70,11040,301829620.39,40.97,1481647.57,5.064,87.55,38.77,44.07,0,35.97,tin00145,2025-01-23
2010,MT,FR78,A,NATIONAL_SME,2366,505,64,16408,923251283.89,46.81,135963278.22,3.203,18.2,5.47,53.21,0,5.88,bd_9bd_sz_cl_r2,2024-05-03
2011,PT,HU3,L,BANKING_SME,2315,185,122,11033,483048728.7,71.81,16712351.2,2.987,75.42,8.52,37.93,0,44.28,sbs_na_sca_r2,2024-01-31
2012,SI,BE362,B,MIXED,2314,465,176,18371,1224837772.78,40.56,57937388.5,5.836,55.79,34.44,32.45,0,4.0,isoc_sme,2025-05-31
2013,AT,SI833,M,EU_SME_2003_361_EC,1657,171,91,9109,710155288.77,66.25,121408826.39,6.563,37.64,41.3,53.7,0,63.51,sbs_sc_sca_r2,2025-02-14
2014,HR,FI948,C,NATIONAL_SME,2177,260,82,14282,697825639.94,80.6,200413892.34,0.763,34.24,30.31,18.08,0,50.01,tin00145,2024-06-21
2015,DK,CZ527,N,BANKING_SME,1680,296,36,9438,362125055.44,81.99,20229676.39,5.002,48.39,32.0,57.06,0,45.34,bd_9bd_sz_cl_r2,2025-05-10
2016,FR,HU82,D,MIXED,1951,415,142,10811,589907096.77,34.75,40258723.77,4.846,12.89,53.78,12.18,1,64.92,sbs_na_sca_r2,2026-01-21
2017,HU,DK96,O,EU_SME_2003_361_EC,1958,391,127,11207,580898910.1,67.19,77233331.21,1.883,90.06,26.87,41.35,0,64.33,isoc_sme,2024-06-24
2018,LV,LU553,E,NATIONAL_SME,1929,372,68,14959,1759766744.32,55.23,218840694.92,0.812,54.43,30.11,40.4,0,13.85,sbs_sc_sca_r2,2025-12-02
2019,MT,HR79,P,BANKING_SME,1933,368,56,14133,1445193278.26,60.26,15362732.22,8.428,17.93,29.8,18.53,0,7.27,tin00145,2024-02-27
2020,PT,PL532,F,MIXED,1616,166,93,8766,863032426.72,52.64,109567790.8,9.053,16.29,12.27,48.46,0,34.78,bd_9bd_sz_cl_r2,2025-12-10
2021,SI,LV9,Q,EU_SME_2003_361_EC,1976,236,145,14636,597779889.01,72.05,249320261.14,8.338,44.41,12.52,25.89,0,53.46,sbs_na_sca_r2,2024-02-20
2022,AT,IE881,G,NATIONAL_SME,1603,153,121,10496,651382665.49,83.88,385746531.27,2.008,82.84,27.65,26.94,0,18.17,isoc_sme,2025-09-02
2023,HR,LV220,R,BANKING_SME,2220,374,111,12773,729318445.14,82.78,270780878.43,3.411,91.18,26.79,46.16,0,51.19,sbs_sc_sca_r2,2024-08-13
2024,DK,SE3,H,MIXED,2178,362,100,11991,543203237.38,72.3,231081401.29,1.308,60.6,7.41,17.43,1,29.58,tin00145,2025-06-05
2025,FR,NL708,S,EU_SME_2003_361_EC,1748,264,130,18264,1181646627.3,67.5,141511736.95,4.385,49.82,57.62,44.95,0,34.92,bd_9bd_sz_cl_r2,2024-02-06
2026,HU,BE3,I,NATIONAL_SME,1835,322,143,13272,1134882111.58,55.87,168385217.82,9.373,41.53,26.03,10.99,1,26.81,sbs_na_sca_r2,2025-07-10
2010,LV,BE81,T,BANKING_SME,1817,165,135,16811,665254163.55,57.34,216996959.25,0.359,70.48,59.53,42.28,0,32.52,isoc_sme,2024-09-11
2011,MT,CY2,J,MIXED,2425,220,147,20585,2383923163.69,36.17,32332552.57,4.381,31.23,25.18,24.1,1,8.48,sbs_sc_sca_r2,2025-01-04
2012,PT,LU32,U,EU_SME_2003_361_EC,2127,350,148,11969,527842270.22,38.56,22081802.07,9.444,74.22,35.34,17.11,1,16.86,tin00145,2024-11-18
2013,SI,EE618,K,NATIONAL_SME,2314,276,165,12494,1601068780.62,41.84,46410509.01,1.85,93.01,23.86,50.18,0,11.55,bd_9bd_sz_cl_r2,2024-10-19
2014,AT,PL50,A,BANKING_SME,2073,441,47,8188,234356192.7,55.88,128857415.56,0.319,67.44,32.77,16.66,0,5.64,sbs_na_sca_r2,2025-12-26
2015,HR,BE282,L,MIXED,1748,241,91,8400,462431550.38,73.0,335970943.13,5.737,38.82,27.87,12.65,1,44.69,isoc_sme,2024-04-28
2016,DK,PT666,B,EU_SME_2003_361_EC,2104,336,124,17805,2475079308.81,85.63,195641364.02,6.965,39.34,39.14,48.22,0,67.61,sbs_sc_sca_r2,2026-01-02
2017,FR,CY182,M,NATIONAL_SME,1605,290,71,12374,1577572716.75,48.98,148426855.1,1.304,75.68,29.7,7.85,0,48.05,tin00145,2025-03-25
2018,HU,LU511,C,BANKING_SME,2053,382,87,15279,1023874790.44,51.31,192003908.1,6.836,77.12,40.61,42.31,0,5.99,bd_9bd_sz_cl_r2,2024-06-23
2019,LV,FI609,N,MIXED,2093,170,160,13078,1723906771.02,33.59,111312647.19,4.474,40.26,56.84,52.05,0,64.38,sbs_na_sca_r2,2025-06-26
2020,MT,CZ92,D,EU_SME_2003_361_EC,1791,276,135,9929,1251672287.79,41.66,39845421.61,3.701,74.3,30.61,39.36,1,4.96,isoc_sme,2025-10-16
2021,PT,RO845,O,NATIONAL_SME,2169,205,156,17888,1609261125.0,79.21,7524698.57,5.23,55.88,37.84,13.5,0,8.78,sbs_sc_sca_r2,2025-10-07
2022,SI,SI49,E,BANKING_SME,2371,500,65,12505,717375065.05,73.62,7581107.74,3.139,37.21,29.73,46.86,0,55.26,tin00145,2025-01-21
2023,AT,BG21,P,MIXED,1750,381,117,13743,1817200779.1,49.67,101837825.22,6.129,61.63,6.29,51.88,1,8.97,bd_9bd_sz_cl_r2,2024-07-16
2024,HR,BG796,F,EU_SME_2003_361_EC,2233,454,116,11236,1511474772.63,66.63,112624007.9,5.525,32.21,4.04,44.04,0,46.08,sbs_na_sca_r2,2026-01-27
2025,DK,LU69,Q,NATIONAL_SME,1949,268,117,13407,1677369683.33,82.01,346526097.2,8.59,85.73,41.01,35.13,0,7.19,isoc_sme,2025-06-11
2026,FR,IE72,G,BANKING_SME,2249,328,51,11049,458881345.0,69.27,264700636.53,7.459,38.79,20.47,20.61,0,62.1,sbs_sc_sca_r2,2025-12-17
2010,HU,LT5,R,MIXED,1863,223,59,12178,866504468.11,79.3,117341821.95,6.241,72.62,57.75,54.9,0,27.85,tin00145,2024-05-21
2011,LV,HR60,H,EU_SME_2003_361_EC,2187,414,67,8572,1055049502.03,56.06,228511591.6,8.535,19.72,15.6,35.02,0,40.01,bd_9bd_sz_cl_r2,2026-02-22
2012,MT,BG3,S,NATIONAL_SME,2377,396,52,15212,976251770.5,33.33,138038151.14,6.689,32.58,40.3,18.66,1,37.42,sbs_na_sca_r2,2026-01-10
2013,PT,EE40,I,BANKING_SME,2193,269,129,9756,1290958793.23,35.62,10615234.3,3.465,37.72,25.91,37.32,1,67.74,isoc_sme,2025-07-28
2014,SI,ES764,T,MIXED,1600,138,35,8126,872417322.5,77.33,227831881.6,7.786,86.65,27.0,19.53,0,48.15,sbs_sc_sca_r2,2024-10-16
2015,AT,GR45,J,EU_SME_2003_361_EC,1954,322,152,18700,2501684063.62,35.69,28811630.06,0.628,70.01,56.23,37.79,0,6.87,tin00145,2024-11-06
2016,HR,LT808,U,NATIONAL_SME,1823,312,119,17397,1603690454.24,77.53,125666583.68,8.807,64.42,31.06,17.09,0,22.94,bd_9bd_sz_cl_r2,2026-01-06
2017,DK,LT969,K,BANKING_SME,1997,243,114,11682,295403514.12,53.79,130906540.39,0.42,16.63,42.63,19.52,0,39.33,sbs_na_sca_r2,2026-01-14
2018,FR,FR861,A,MIXED,1688,206,57,7351,614030864.12,61.26,80532184.79,4.401,57.28,13.69,21.37,0,67.57,isoc_sme,2024-09-12
2019,HU,PT691,L,EU_SME_2003_361_EC,1813,169,103,10671,656936762.96,60.11,128266741.06,5.281,25.11,44.16,32.4,1,14.29,sbs_sc_sca_r2,2024-10-15
2020,LV,LU1,B,NATIONAL_SME,1725,354,70,8017,752114006.79,87.21,265528230.18,8.412,18.99,35.55,10.75,1,33.99,tin00145,2026-01-06
2021,MT,FR99,M,BANKING_SME,2146,343,74,12770,942471828.31,72.34,59800895.47,2.355,10.21,16.94,16.27,0,56.47,bd_9bd_sz_cl_r2,2025-04-07
2022,PT,CY16,C,MIXED,2370,519,53,19127,889196320.11,49.66,163776105.2,7.257,85.28,14.0,36.25,1,60.03,sbs_na_sca_r2,2025-08-26
2023,SI,DK41,N,EU_SME_2003_361_EC,1869,227,75,10402,1419067347.88,68.89,230713.33,7.628,52.56,37.12,22.38,0,42.68,isoc_sme,2025-05-21
2024,AT,PL55,D,NATIONAL_SME,1739,276,52,8409,690638719.48,58.71,117693143.03,4.084,28.55,48.46,53.03,0,15.75,sbs_sc_sca_r2,2024-03-14
2025,HR,SI386,O,BANKING_SME,2452,226,113,15172,1722414973.46,67.28,161653481.21,1.517,22.27,16.81,28.94,0,25.15,tin00145,2024-11-13
2026,DK,PL700,E,MIXED,1629,276,76,10100,726607394.57,55.07,106671573.47,2.689,64.07,57.95,10.45,1,49.21,bd_9bd_sz_cl_r2,2024-06-06
2010,FR,PL2,P,EU_SME_2003_361_EC,1842,291,106,11596,1125114035.72,68.78,90016155.19,4.71,56.62,17.25,49.5,1,30.23,sbs_na_sca_r2,2025-10-12
2011,HU,RO3,F,NATIONAL_SME,1776,307,89,13900,846126623.68,33.41,114092614.58,0.886,79.41,11.95,32.75,0,13.65,isoc_sme,2025-03-21
2012,LV,AT3,Q,BANKING_SME,2388,486,114,12924,675446208.84,53.84,19582553.57,7.118,40.79,14.99,7.73,1,62.31,sbs_sc_sca_r2,2025-03-14
2013,MT,MT29,G,MIXED,1782,356,104,13716,444555170.59,84.95,72137511.53,8.963,15.67,47.35,24.98,0,27.58,tin00145,2025-11-01
2014,PT,MT277,R,EU_SME_2003_361_EC,2251,478,154,24909,2408699196.63,56.16,102634082.9,3.119,35.35,39.14,54.0,1,34.02,bd_9bd_sz_cl_r2,2024-07-25
2015,SI,SK36,H,NATIONAL_SME,1722,376,71,8930,453646547.3,69.42,149015741.9,2.217,70.4,41.06,26.84,0,29.12,sbs_na_sca_r2,2025-09-23
2016,AT,LU19,S,BANKING_SME,2305,260,155,10687,882468876.24,77.17,217261095.63,5.955,13.05,34.53,20.1,1,2.41,isoc_sme,2025-05-30
2017,HR,RO93,I,MIXED,2227,466,58,11254,531537231.11,48.29,115221238.55,1.13,78.53,25.84,51.42,0,44.19,sbs_sc_sca_r2,2025-12-09
2018,DK,MT25,T,EU_SME_2003_361_EC,2415,419,103,12652,754306474.83,79.59,249885394.33,8.689,10.89,17.12,10.45,1,47.49,tin00145,2024-04-11
2019,FR,RO366,J,NATIONAL_SME,1853,382,109,9544,966625558.86,85.86,391892589.47,7.103,94.8,33.71,47.01,0,31.85,bd_9bd_sz_cl_r2,2025-04-20
2020,HU,RO1,U,BANKING_SME,1699,271,95,15997,2068783720.34,36.72,63352409.92,6.084,70.33,33.85,21.3,1,13.83,sbs_na_sca_r2,2025-07-16
2021,LV,CZ45,K,MIXED,2344,372,91,16798,658176804.59,57.83,160688047.5,3.846,56.91,29.51,39.25,1,29.46,isoc_sme,2025-03-16
2022,MT,SE13,A,EU_SME_2003_361_EC,2005,353,87,11942,1399924761.8,66.83,157503246.66,4.006,71.1,16.71,36.02,1,9.16,sbs_sc_sca_r2,2024-03-31
2023,PT,SE77,L,NATIONAL_SME,1937,403,107,13241,1778225016.21,43.13,38378868.09,9.472,81.68,36.91,24.88,0,14.04,tin00145,2024-11-14
2024,SI,SE346,B,BANKING_SME,1649,188,42,10116,432714529.01,31.21,102671752.4,8.197,31.83,17.57,16.85,0,14.57,bd_9bd_sz_cl_r2,2025-04-08
2025,AT,IE80,M,MIXED,1991,306,141,13121,701549110.04,36.76,82835389.9,1.534,90.81,10.64,15.0,1,48.17,sbs_na_sca_r2,2024-07-26
2026,HR,NL99,C,EU_SME_2003_361_EC,2089,255,158,15638,1840156980.24,60.84,82076749.68,6.901,23.35,29.12,17.67,0,38.68,isoc_sme,2026-02-15
2010,DK,CZ86,N,NATIONAL_SME,1780,239,139,12250,1462163188.99,50.41,4093021.36,8.074,92.88,6.22,14.21,0,16.84,sbs_sc_sca_r2,2024-07-03
2011,FR,PT98,D,BANKING_SME,2153,352,59,11357,662292001.05,76.73,39877534.61,3.921,18.42,23.78,11.91,0,17.8,tin00145,2025-05-19
2012,HU,RO6,O,MIXED,2521,341,68,12035,557090938.15,75.43,74421121.98,9.087,63.77,28.87,17.69,0,5.12,bd_9bd_sz_cl_r2,2026-02-20
2013,LV,BE35,E,EU_SME_2003_361_EC,1720,147,106,8644,768058827.0,42.57,70108096.97,1.124,20.99,41.85,57.13,1,41.14,sbs_na_sca_r2,2025-05-04
2014,MT,CZ34,P,NATIONAL_SME,2441,207,181,11355,587954087.78,30.17,14413046.72,4.982,58.94,15.03,15.96,0,51.09,isoc_sme,2024-04-15
2015,PT,BE625,F,BANKING_SME,2154,217,145,18888,2480971064.95,83.54,119163454.07,3.521,53.41,53.16,52.36,0,45.89,sbs_sc_sca_r2,2024-07-12
2016,SI,NL122,Q,MIXED,2227,446,142,15748,2106597994.19,73.06,144096656.47,1.563,89.9,32.56,28.05,0,11.63,tin00145,2024-05-10
2017,AT,RO71,G,EU_SME_2003_361_EC,1974,345,108,15785,430169743.12,69.26,248079253.92,0.459,22.42,23.35,11.23,0,21.76,bd_9bd_sz_cl_r2,2025-11-26
2018,HR,HR16,R,NATIONAL_SME,1915,232,130,10804,764072064.56,59.74,149636123.31,1.795,19.12,25.3,55.35,0,28.61,sbs_na_sca_r2,2025-05-20
2019,DK,FI737,H,BANKING_SME,2363,411,119,16067,1817592380.75,33.18,81927337.33,2.761,89.22,12.73,40.21,0,60.51,isoc_sme,2024-02-12
2020,FR,ES264,S,MIXED,1854,296,109,13778,1017617796.88,35.72,67662580.7,8.971,79.38,32.89,39.74,1,41.46,sbs_sc_sca_r2,2025-08-24
2021,HU,SK82,I,EU_SME_2003_361_EC,2314,492,170,24417,1520801880.6,81.2,124573758.24,3.977,49.65,7.54,21.77,1,33.78,tin00145,2024-01-20
2022,LV,BG41,T,NATIONAL_SME,2262,429,108,16157,1863094513.07,64.49,94366939.94,9.423,43.2,34.18,41.24,1,23.15,bd_9bd_sz_cl_r2,2024-11-23
2023,MT,PL746,J,BANKING_SME,1709,176,78,12353,630555798.94,58.89,204128816.83,3.962,34.92,33.5,41.34,0,44.74,sbs_na_sca_r2,2025-05-29
2024,PT,NL900,U,MIXED,1806,280,123,14482,1362577535.3,79.51,299104700.45,2.075,30.73,13.28,41.35,0,67.25,isoc_sme,2024-11-12
2025,SI,CY41,K,EU_SME_2003_361_EC,2506,342,124,19617,2169801980.84,45.12,119380683.2,6.418,51.9,37.28,6.63,0,39.4,sbs_sc_sca_r2,2024-01-26
2026,AT,BG81,A,NATIONAL_SME,2127,174,142,15610,1966690977.42,37.99,9499367.39,4.35,25.61,20.29,25.69,1,41.92,tin00145,2024-11-09
2010,HR,CZ857,L,BANKING_SME,1867,352,126,14761,1662340056.12,56.35,60647531.21,4.468,82.3,8.29,12.81,0,58.5,bd_9bd_sz_cl_r2,2024-02-22
2011,DK,DK36,B,MIXED,1906,379,101,12517,1145305605.27,34.25,133012212.92,1.73,84.34,34.04,25.29,1,49.55,sbs_na_sca_r2,2025-08-26
2012,FR,SI4,M,EU_SME_2003_361_EC,1827,225,67,6376,591234209.6,30.85,45042787.49,3.597,70.04,21.21,30.48,1,3.08,isoc_sme,2025-06-30
2013,HU,GR144,C,NATIONAL_SME,1923,394,41,8143,481185196.16,37.2,97670592.88,9.284,79.67,47.93,9.24,0,50.37,sbs_sc_sca_r2,2024-06-14
2014,LV,PT4,N,BANKING_SME,2244,384,121,14680,691361017.48,83.48,225657130.29,1.305,83.87,22.44,45.28,0,4.13,tin00145,2025-12-25
2015,MT,PT82,D,MIXED,1858,389,97,18570,2154750049.11,86.84,199370817.81,0.346,40.16,16.59,35.65,0,49.98,bd_9bd_sz_cl_r2,2026-01-11
2016,PT,HR578,O,EU_SME_2003_361_EC,2020,283,153,17742,822843617.96,59.1,109363285.39,4.075,94.89,40.42,42.33,0,59.26,sbs_na_sca_r2,2025-05-28
2017,SI,LU59,E,NATIONAL_SME,2149,425,109,14184,1304477329.82,60.47,24849105.86,9.14,69.0,50.79,10.55,0,56.08,isoc_sme,2024-02-28
2018,AT,LV475,P,BANKING_SME,1855,206,133,12237,351718130.78,58.96,136847102.17,3.466,94.62,22.81,47.87,0,62.19,sbs_sc_sca_r2,2024-05-04
2019,HR,ES17,F,MIXED,1878,368,130,18070,550904026.68,83.95,246998671.13,0.769,55.53,10.12,37.52,1,34.16,tin00145,2025-07-06
2020,DK,RO8,Q,EU_SME_2003_361_EC,2362,255,62,12114,714585753.62,40.91,19152873.18,8.642,33.23,47.49,14.64,0,25.7,bd_9bd_sz_cl_r2,2024-06-22
2021,FR,HR5,G,NATIONAL_SME,2085,236,59,11767,502610475.98,50.3,44647694.02,1.434,84.25,51.84,16.81,1,48.08,sbs_na_sca_r2,2024-08-26
2022,HU,NL186,R,BANKING_SME,2051,434,160,15170,966142575.35,45.14,108584392.41,2.79,50.19,5.59,52.85,0,61.2,isoc_sme,2026-01-22
2023,LV,LU622,H,MIXED,2281,472,172,22284,2376383721.66,44.23,121280868.49,3.811,61.29,20.62,54.05,0,45.71,sbs_sc_sca_r2,2024-09-20
2024,MT,FR28,S,EU_SME_2003_361_EC,2487,311,73,11731,1095621069.29,66.63,142748332.44,1.492,42.44,19.0,13.45,0,42.13,tin00145,2026-01-12
2025,PT,BG5,I,NATIONAL_SME,1851,401,81,9891,885884107.28,43.34,47297488.93,7.766,62.26,10.12,38.33,1,21.61,bd_9bd_sz_cl_r2,2025-12-21
2026,SI,FI327,T,BANKING_SME,2320,360,56,11218,380392528.35,84.15,54217452.42,0.451,85.64,16.9,46.44,0,48.87,sbs_na_sca_r2,2026-02-04
2010,AT,CZ17,J,MIXED,1804,366,87,10040,514096102.25,43.55,58165230.11,2.374,52.19,10.41,18.7,0,55.87,isoc_sme,2026-02-04
2011,HR,PL195,U,EU_SME_2003_361_EC,1824,387,122,11742,1462207789.99,73.71,186757676.27,5.691,77.25,27.24,36.81,0,65.92,sbs_sc_sca_r2,2024-07-01
2012,DK,IT747,K,NATIONAL_SME,2603,273,93,15283,578760374.04,38.33,85952074.21,2.101,27.5,26.84,56.2,0,9.44,tin00145,2025-12-04
2013,FR,CY97,A,BANKING_SME,2603,416,174,15650,1553645202.69,31.61,21506840.02,3.134,51.06,25.63,26.33,0,61.37,bd_9bd_sz_cl_r2,2024-07-20
2014,HU,BE7,L,MIXED,2361,505,122,22389,2307558009.76,84.31,409241921.62,7.193,17.65,61.17,18.97,0,3.71,sbs_na_sca_r2,2025-08-13
2015,LV,CY3,B,EU_SME_2003_361_EC,2371,515,118,16215,1069427704.26,66.52,56587761.56,7.054,23.19,41.53,44.08,0,51.82,isoc_sme,2025-06-08
2016,MT,BG14,M,NATIONAL_SME,2426,422,150,17964,991918918.23,42.12,175023160.94,8.635,91.62,58.5,30.39,0,65.3,sbs_sc_sca_r2,2025-02-21
2017,PT,MT46,C,BANKING_SME,2492,403,97,17254,1735781844.86,36.38,7105586.07,5.975,80.51,59.06,33.91,1,55.0,tin00145,2024-02-23
2018,SI,BG374,N,MIXED,2037,318,101,12987,1702055126.02,77.03,40943335.22,4.29,74.08,15.5,24.95,0,48.12,bd_9bd_sz_cl_r2,2025-03-03
2019,AT,PT9,D,EU_SME_2003_361_EC,2317,485,127,21792,1702724615.88,30.36,69379260.27,7.663,24.93,23.2,47.67,1,55.0,sbs_na_sca_r2,2025-09-27
2020,HR,HU34,O,NATIONAL_SME,1838,394,100,19458,1459865280.25,48.11,174506100.7,0.746,81.37,43.64,28.07,0,57.55,isoc_sme,2025-10-07
2021,DK,DE1,E,BANKING_SME,2437,371,142,19507,1264905972.95,69.93,290061262.3,3.167,82.61,38.91,48.21,0,63.72,sbs_sc_sca_r2,2024-02-04
2022,FR,LT181,P,MIXED,1831,327,82,11285,1230743222.17,30.99,68256291.03,1.193,51.58,51.49,36.66,0,17.46,tin00145,2024-01-08
2023,HU,PT37,F,EU_SME_2003_361_EC,2462,397,192,19856,734793222.28,64.65,118803235.36,5.821,57.12,42.95,44.71,0,66.78,bd_9bd_sz_cl_r2,2026-01-01
2024,LV,PT752,Q,NATIONAL_SME,2154,295,146,17171,1171568496.76,78.99,229844979.69,2.687,93.23,59.02,29.08,0,40.34,sbs_na_sca_r2,2024-05-10
2025,MT,PL398,G,BANKING_SME,2099,290,138,17214,1922792014.88,52.81,42925568.05,5.002,92.85,56.7,39.72,1,51.97,isoc_sme,2025-02-25
2026,PT,HR536,R,MIXED,2261,349,145,13903,611037463.29,38.33,82422347.81,6.018,39.34,10.15,31.19,0,64.74,sbs_sc_sca_r2,2024-12-28
2010,SI,PT74,H,EU_SME_2003_361_EC,2251,331,164,21329,2239616700.25,78.87,263176297.86,2.587,62.69,6.94,24.37,0,16.9,tin00145,2025-07-07
2011,AT,BG9,S,NATIONAL_SME,1944,169,155,8874,666926910.1,40.29,98858163.21,9.071,27.31,20.53,44.21,1,66.33,bd_9bd_sz_cl_r2,2025-02-20
2012,HR,SK401,I,BANKING_SME,2289,391,83,16369,704173040.98,71.84,28945252.48,1.94,83.86,56.57,44.82,0,39.27,sbs_na_sca_r2,2025-01-12
2013,DK,EE74,T,MIXED,1762,252,55,11285,470119283.24,69.8,41015371.83,0.339,11.22,53.7,40.09,0,55.64,isoc_sme,2025-10-19
2014,FR,DK984,J,EU_SME_2003_361_EC,2197,278,65,15294,1859028969.55,80.32,11185483.69,7.446,28.24,48.56,26.19,0,14.66,sbs_sc_sca_r2,2024-05-09
2015,HU,LU23,U,NATIONAL_SME,2584,546,163,16977,1815647745.08,79.94,370196580.73,3.563,54.81,21.15,8.79,1,36.95,tin00145,2024-02-19
2016,LV,EE30,K,BANKING_SME,1863,264,97,10240,1222825701.02,63.95,240902753.88,3.459,73.49,38.41,13.67,1,7.12,bd_9bd_sz_cl_r2,2025-07-28
2017,MT,PT113,A,MIXED,2538,384,137,18787,1553301715.51,33.6,82588807.09,7.937,32.45,56.09,7.62,1,43.21,sbs_na_sca_r2,2025-06-24
2018,PT,NL381,L,EU_SME_2003_361_EC,1785,367,55,13032,496362662.27,45.95,147221870.39,7.395,73.93,24.18,25.93,0,64.14,isoc_sme,2024-11-25
2019,SI,SI75,B,NATIONAL_SME,1801,245,39,10279,575692839.85,47.19,115995362.7,2.218,68.13,50.15,49.42,1,27.91,sbs_sc_sca_r2,2025-03-31
2020,AT,BE293,M,BANKING_SME,2006,304,87,14875,781971020.07,71.38,72360578.08,6.935,31.35,22.4,33.73,0,7.22,tin00145,2024-04-27
2021,HR,IE127,C,MIXED,1956,386,59,10967,1487221405.13,50.13,83985433.33,2.41,66.62,15.31,12.1,0,49.22,bd_9bd_sz_cl_r2,2025-01-09
2022,DK,HR870,N,EU_SME_2003_361_EC,2337,330,59,12572,1628470151.5,50.96,61920113.02,7.596,78.32,58.44,30.14,1,40.67,sbs_na_sca_r2,2025-02-13
2023,FR,DE466,D,NATIONAL_SME,1950,229,121,14466,915433887.27,70.09,211172986.11,2.798,58.27,29.51,28.94,0,43.25,isoc_sme,2025-10-25
2024,HU,FI46,O,BANKING_SME,2264,200,91,9737,1170109764.4,86.94,55880498.56,2.289,27.95,35.19,57.86,0,22.38,sbs_sc_sca_r2,2024-09-02
2025,LV,DE435,E,MIXED,2005,253,129,13335,901496494.57,65.67,33714108.04,1.114,41.02,46.12,17.83,0,20.77,tin00145,2025-05-23
2026,MT,IE59,P,EU_SME_2003_361_EC,2222,426,123,15487,1286211782.8,52.96,11874570.21,2.088,47.45,52.89,27.25,0,38.52,bd_9bd_sz_cl_r2,2024-03-04
2010,PT,FR49,F,NATIONAL_SME,2653,366,139,16917,1467248522.46,55.43,86927975.72,3.634,14.93,28.47,13.05,1,50.99,sbs_na_sca_r2,2025-01-25
2011,SI,HR434,Q,BANKING_SME,2149,183,100,13391,424907186.34,53.15,135552414.83,7.815,89.03,49.35,45.29,1,27.93,isoc_sme,2024-05-05
2012,AT,AT861,G,MIXED,2174,301,53,10895,1393899106.18,39.38,46555412.71,3.523,73.78,14.94,57.82,0,17.56,sbs_sc_sca_r2,2025-02-06
2013,HR,HU68,R,EU_SME_2003_361_EC,2146,445,137,13079,1639738976.72,80.1,32650181.1,3.8,79.11,10.85,50.71,0,22.91,tin00145,2025-03-08
2014,DK,DE6,H,NATIONAL_SME,2327,380,127,16605,814390783.49,74.28,111331097.02,4.916,40.42,38.16,33.41,1,2.82,bd_9bd_sz_cl_r2,2025-12-30
2015,FR,LV93,S,BANKING_SME,1831,334,46,7872,424233406.64,37.0,124779179.57,8.386,43.23,20.15,35.83,0,39.6,sbs_na_sca_r2,2025-01-21
2016,HU,LV682,I,MIXED,2676,523,127,16678,1252503574.35,32.61,69848817.96,2.834,60.39,9.03,29.51,0,63.33,isoc_sme,2024-06-02
2017,LV,BE61,T,EU_SME_2003_361_EC,2051,413,50,10318,1347025097.77,42.81,66159592.71,6.159,51.01,55.95,7.18,0,3.36,sbs_sc_sca_r2,2025-04-25
2018,MT,CZ9,J,NATIONAL_SME,2671,282,54,14306,1261335034.15,38.79,29987740.33,7.581,33.56,14.09,21.83,0,50.57,tin00145,2024-04-03
2019,PT,HR3,U,BANKING_SME,2574,526,124,14697,897730774.35,60.99,258634601.56,5.443,48.47,10.06,21.83,0,30.6,bd_9bd_sz_cl_r2,2025-03-29
2020,SI,NL971,K,MIXED,2001,162,111,12332,974163715.11,85.56,211333278.84,7.615,83.64,6.36,14.98,1,62.74,sbs_na_sca_r2,2025-02-24
2021,AT,FI522,A,EU_SME_2003_361_EC,2565,541,174,21477,2322888689.75,49.63,28130492.8,8.547,66.9,8.36,25.11,0,65.71,isoc_sme,2025-09-19
2022,HR,BE41,L,NATIONAL_SME,2424,296,80,13318,970852897.52,45.34,158318870.36,4.612,64.11,43.71,56.97,0,5.64,sbs_sc_sca_r2,2024-09-14
2023,DK,AT996,B,BANKING_SME,1899,359,133,10764,1261827279.62,31.74,50630846.64,7.807,61.78,38.75,13.08,0,4.8,tin00145,2024-05-10
2024,FR,SE701,M,MIXED,1822,199,80,7677,894645961.18,78.91,157767719.1,1.74,61.89,42.34,42.0,0,67.16,bd_9bd_sz_cl_r2,2024-02-09
2025,HU,HR67,C,EU_SME_2003_361_EC,2457,234,110,13109,895321857.36,52.79,51329988.81,3.272,93.69,24.82,38.06,0,33.36,sbs_na_sca_r2,2025-05-17
2026,LV,HR8,N,NATIONAL_SME,2626,532,95,19398,1850490673.99,45.81,122959758.91,2.825,15.36,27.19,24.47,0,53.25,isoc_sme,2025-12-15
