tax_sales_collection_month,tax_sales_state_ut_code,tax_sales_gstin_hash,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_gst_rate_pct,tax_sales_gross_taxable_sales_inr,tax_sales_gst_collected_inr,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_e_invoice_share_pct,tax_sales_e_waybill_count,tax_sales_itc_claimed_inr,tax_sales_reverse_charge_liability_inr,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_inr,tax_sales_interest_assessed_inr,tax_sales_compliance_gap_estimate,tax_sales_refunds_issued_inr,tax_sales_data_certification_level
2023-01,KL,7c07575de843772241f692737bc49e9f73178460dea552170e3e78e338a4b16d,GST-HP-15,GOODS,28,154234804,35868486,10578,QUARTERLY,19.86,18861,12995288,1966481,8.66,776840,662138,4.78,3666289,L2
2022-11,TS,e1e8ebc35261eae23af4017ffca650f241f2207d972e90d302a8d451f722188d,GST-UK-08,SERVICES,5,40015069,1417090,3662,QUARTERLY,28.33,178754,262561,72125,7.46,16280,11228,9.51,55633,L3
2026-08,MN,43878d8de12e80ab105f923ec7775715142dd4b8471ab5917f4bff3d49f11eb8,GST-KL-24,GOODS,5,1390969,62770,42450,QUARTERLY,44.89,12009,32453,2097,9.63,1680,1204,11.11,6669,L1
2020-02,MH,487305846dfb9009bb37581c15c0c010afa88d623f53620a2bbc5c83776d5653,GST-LD-25,GOODS,18,3431819,538130,30076,MONTHLY,83.92,169291,82114,4792,2.11,3851,6871,8.24,122694,L1
2022-10,LA,ff6fe02fd656ad7994175f8548778b26cf4f7cb47b4d8b9d5c9d574b58ba2f1b,GST-CH-57,SERVICES,28,163923190,40717872,39564,MONTHLY,37.59,32597,11085015,716636,1.05,828810,299408,12.55,7652314,L2
2025-09,DH,064e21789a24ea5532dc37d792aada112b54c776ccdb8083118279072e89c269,GST-PB-68,SERVICES,5,122122758,4622537,396,QUARTERLY,72.57,127498,3915477,368890,4.05,56344,60051,0.95,477621,L2
2021-04,MP,333cc6c43204e6cc1f89a297e9df4e5f320312138d5d613888a8c0329f817832,GST-TN-26,SERVICES,3,144517881,4050070,33553,MONTHLY,88.37,199812,3273291,2774,6.32,33985,71953,10.79,382652,L2
2022-09,AP,d3d8ed2e7b4c8b9b46b710502ad7c4bc4b712e7d2ad9952a9194270bec75a5e3,GST-LA-04,GOODS,18,165795465,22961603,14528,MONTHLY,18.43,55366,13119008,1527693,9.06,78186,25760,12.87,284228,L2
2025-01,PB,6b478b690caa6be12e2a4e2df370e79e3abbf14b000e0dcdc6ca104f9743ec2e,GST-KL-30,SERVICES,18,44013949,6566530,28822,MONTHLY,64.27,52766,5508667,322320,9.49,1480,57244,11.39,497693,L2
2024-05,LD,fa3421ba58eceda869cd13da90af8f82f51ae843e42140baa81c1bc0c5c03100,GST-CH-48,MIXED,12,152805980,13013768,38471,MONTHLY,17.62,24917,6174954,43237,6.82,87312,13705,6.13,2109599,L1
2022-07,LA,067938e4139d9a00b6b968df7669dbcd4383e78e9841453274362282b1adda82,GST-MZ-02,MIXED,5,117009207,5476227,21430,MONTHLY,79.95,197950,2674074,185961,9.28,118049,68380,4.72,1234041,L1
2023-12,NL,235a1d713d45195bb270854a2bd50c35dabe2b33fea88d4edd7117d79766ce59,GST-DL-40,SERVICES,12,179579014,15522282,39405,MONTHLY,36.14,35781,7146278,1011555,6.87,218925,3956,2.63,2594419,L3
2023-10,OD,847c0f920f753ff8d3efeec911c741f8227b5ddd55102ed46b33704980bae0c7,GST-AS-27,SERVICES,12,124897122,13262808,38148,MONTHLY,62.02,155361,2321932,654707,2.93,304159,136283,6.16,109859,L2
2026-12,DH,e880deb38333e9c8b5a20c23aae316ae7ddc86fd5611e31eb938975c92f3e376,GST-UK-03,SERVICES,5,20819456,1020324,11980,MONTHLY,92.63,189795,397460,75569,8.98,29695,4009,4.52,83097,L2
2024-12,GJ,23dfda94cc64520809df2f8762d723a702d19f8a6ffe9da35b38bff12700ba03,GST-CH-46,MIXED,12,37567484,3994090,19453,MONTHLY,24.92,144698,2069062,307299,7.16,18229,15717,9.68,777418,L2
2024-05,JH,d128fd4a1654a9b2b0742461da9b3d4430a0abb7c0b41fc02fd300074272d5e5,GST-TN-73,GOODS,3,141659394,3790697,42614,MONTHLY,63.54,126139,1931720,250793,6.81,39433,56228,2.97,788354,L2
2025-11,GA,a3842584202d5bee547ea6a688fe9a4f52e50c94b2612be00f908f9382badbcd,GST-KA-52,GOODS,18,4053702,731067,37761,MONTHLY,54.37,19946,369628,42430,9.71,4528,2492,0.08,17087,L3
2022-12,SK,647e196a18928debb9a182ab23add90e8b327869251f751113ca33b3c3793766,GST-GA-50,GOODS,18,51093241,9646721,25025,MONTHLY,66.12,82683,3852326,83571,0.46,169487,11099,11.56,637395,L3
2023-03,JK,6e4685750ccb511d6d3a9328feb9bfdbea3d9dce84e6189dad094f42cca0d41f,GST-UP-15,MIXED,28,230318425,46949016,9190,QUARTERLY,10.19,129364,30573644,2874729,2.78,1079231,363714,11.34,3793571,L1
2024-03,KL,1bc65a2200a0f75df5f628e90b129b109d4dd258572437bd2a2930a3ebf3e25b,GST-CG-11,MIXED,18,161442787,24425885,911,MONTHLY,10.22,188903,19919223,1244701,8.23,156875,219002,3.66,5447602,L1
2022-07,DL,5c392ee25af2bc778f2038655e790a657d4abbd61cb728bfb1be4ee561e31e87,GST-DH-87,GOODS,12,207481301,19793788,40951,MONTHLY,84.55,61914,14060221,600362,2.63,474541,138725,9.66,2850006,L1
2023-02,OD,85b073f4c60af49e01edfeb4d0a8cabd13847e3fad30c4b8e5d6fff98898b81f,GST-OD-56,MIXED,12,201974239,16430601,43228,QUARTERLY,28.68,106591,6176544,1035272,2.31,19255,169935,11.95,767309,L1
2021-01,JH,2860c2ada4ba5468eef3b56b0f8d393a7b3ca36f2656b78b43c5b9ba7e2a92e3,GST-MH-51,SERVICES,12,200548101,19174292,38514,MONTHLY,68.07,1040,6716348,680564,11.41,373055,139869,5.35,2773087,L3
2024-12,LD,a8bac47e5c638375e4eb7a669a116d11d7eedfadefac80a5a3052b5054659a68,GST-HP-47,MIXED,18,159513177,26696829,27500,MONTHLY,69.31,80548,20531534,1501029,11.18,678829,157517,7.98,4848674,L2
2024-07,TN,c260f8d8dae37471de0c84c99594e5e176084b33bf94851aa17db0180e208629,GST-AP-51,MIXED,3,137305200,4080324,38114,MONTHLY,18.67,119048,1232302,231503,5.63,112356,41265,4.2,368616,L2
2025-01,PB,12b385e958c6f16335601a3efdfd95c8f8920d9a209a3005c68b64313e0f8874,GST-JK-70,GOODS,28,98926432,27115656,10026,MONTHLY,40.25,25195,6296911,1651720,1.24,289233,17028,4.35,6380173,L2
2020-12,GA,366d313b7cdd26de2334bb69b2c051d76334830195979fa2c8a048aed35a3bda,GST-SK-24,GOODS,18,169137234,20035085,20458,MONTHLY,11.64,176354,6733217,557233,9.42,64561,8476,6.06,4148906,L3
2026-07,PB,8ffae1c3c7479cb48adf428cb288d2377d3c8d6c1a575a8a1b2e8c7bf1348a1f,GST-UK-92,GOODS,18,96737341,14069516,17601,QUARTERLY,10.86,16911,7408065,207548,9.4,211452,245731,8.57,2194810,L3
2020-03,HP,52d5ad4ec3211285fda6034ce3bc1cb75e81e47630f97b4e0d5aaa5d8b0fa9f3,GST-PY-94,SERVICES,18,160629361,29764686,35118,MONTHLY,88.57,152256,4624908,1733258,4.31,415702,395501,11.16,2823058,L2
2025-03,ML,7f426fef05d9d67afa9529fa4a079691166c1ab91fa4eb4aa96d4dc3497a8a8a,GST-HR-22,SERVICES,28,139755956,34096972,45464,MONTHLY,64.93,133956,9796953,1083747,9.08,639659,234408,4.8,95016,L1
2024-10,LA,7eae6def57bb1861791b0264b4b3ebdd124025724768191c39018f9ed406b024,GST-AS-89,SERVICES,18,78825127,14785575,25507,QUARTERLY,32.69,171712,4865182,1151719,1.07,257445,103990,6.68,264896,L2
2022-06,PY,251c5a22ecace276a337fe7e4147986b8f0d299a079eb04cb088ca2e5be749e5,GST-NL-57,SERVICES,12,223097515,21087516,21626,QUARTERLY,55.9,11050,11402433,1682279,5.46,125749,150354,14.44,4245505,L1
2026-12,MN,633900056f1bd025f22dc8a4b39181e5a437bf368358dcedc9f29f9c9b282ac7,GST-ML-66,SERVICES,18,234683406,34214092,13495,MONTHLY,61.93,189669,22595545,2586199,0.59,46740,591965,13.79,7657565,L2
2023-03,KL,b7bdbee6bbe340684e9594e0bf955ab638dd20c6d2850f8d47a72d81d72982b5,GST-AS-33,GOODS,28,164177162,38258169,11670,MONTHLY,1.91,16408,32045506,1439298,10.58,1113721,743701,1.66,1184959,L1
2020-03,HR,61012785e78858192099913786806173da20ede45f6744114bb53f1f4389602f,GST-NL-15,MIXED,28,24720366,6860913,23496,MONTHLY,34.41,193767,1987516,518888,4.19,84842,41188,11.18,154252,L2
2023-12,HR,83fd1832592c79c217779ff2116470eb664ff9f6535d9e4fdd0ec92b9429bd51,GST-PB-69,SERVICES,28,183573720,39374042,7240,MONTHLY,57.21,192299,25117032,118990,2.03,679010,549968,9.3,6770092,L3
2023-12,OD,22aa13adad2907a2729d9ed20f2e586901431790b6e968aafe2f2eaab5f0918a,GST-CG-82,SERVICES,18,196245827,29139914,20043,MONTHLY,35.3,35733,9030867,1506309,1.74,32137,144945,9.36,4063703,L2
2025-01,LD,19bf323b1bab0cb7468957b42a95f4dd9427a281a1f6a5836fefd2ad1eda1bc4,GST-UK-08,GOODS,18,149338556,25919591,41861,MONTHLY,29.28,118625,14735109,2027544,1.29,135186,382050,9.49,2387626,L1
2022-07,DH,0701baeb3b2018febcfe9d012bf8fd3b3e40c7958a07fafff3d6fba1f5f3c204,GST-MP-74,GOODS,18,13441769,1892716,8132,MONTHLY,46.76,142431,622329,1824,1.3,27954,35993,6.55,146523,L3
2020-01,KA,0b31b02271597b68bdc80f5c372849cb573f31b3ac549d20a2a9f7573d98a177,GST-RJ-03,GOODS,5,214404661,8716720,11457,MONTHLY,73.24,178851,4139824,530705,5.69,118408,6415,12.33,532459,L2
2022-11,CH,d8b2f50fc04eca54e8d8213066c52abdaaf2ec28f9db033304bae69a7dfe1185,GST-TN-29,GOODS,12,93447961,11238788,804,MONTHLY,73.87,39971,5446294,533864,2.07,83442,14371,9.78,561113,L2
2024-07,MZ,d95314386e71744a4ed3b6acba1b5813f0ffae68e8970bc3c47e5f6054cc1d8e,GST-MP-05,SERVICES,5,18480856,730843,17163,QUARTERLY,59.29,33887,599257,3986,9.15,17598,11640,10.77,41598,L2
2023-07,TS,71e8cec8354ab2a465bfeaeac07ef773757260c7a67eec2055aa2673d24e5812,GST-UP-28,SERVICES,5,94519721,4106312,32740,QUARTERLY,76.87,120547,1360656,69455,6.11,111712,37163,12.43,339896,L2
2025-04,JH,22bd49a301cc9988f86e663334b0786f4f2fb279fe7b9fe6ff537aeab22d7d47,GST-TS-43,GOODS,5,126878862,4295332,49326,QUARTERLY,14.26,190029,3124584,46590,10.46,37461,47694,6.48,548905,L1
2021-04,CH,dd9927a7016b185cc33bb48a4320cf90b20d5ec3a9331e06cd05daafa98ab223,GST-AS-11,GOODS,12,156063329,19294767,37066,QUARTERLY,15.83,114979,12750801,1147845,9.89,399860,150361,1.76,4719735,L2
2023-04,MZ,b45a616d3ebc1ff92490927210ce4911cea01f7173afb1f23a22f07750970380,GST-CG-04,SERVICES,5,242965520,11112782,15075,MONTHLY,76.06,141391,5923653,695532,8.85,53428,12039,1.55,79811,L2
2026-09,AN,46f7bce57d9815076bfe780eaf6d410417727df3a19fb62f634dbc54d355ffb3,GST-AR-03,MIXED,18,209055412,38951712,15519,QUARTERLY,27.34,172038,25177796,3033008,2.05,121695,313596,9.65,7430642,L3
2022-04,HP,00987fbe94889b5006e2ca10baf4e296150e793b4c3575c4e461140e3ca22d41,GST-DL-91,GOODS,28,53596781,14629560,20200,QUARTERLY,19.97,63111,5852987,905210,5.54,78548,43508,7.47,384437,L3
2023-11,LD,2031a39f4551d04a93ab8dc07b1124363c40b8b20145b6bd1d1c36079e8e3fa0,GST-MP-09,SERVICES,18,69211616,11902118,49847,MONTHLY,11.51,79818,7031541,744915,11.01,52880,77257,12.11,1637261,L2
2026-07,ML,6c6d2e133b5b0a89537c513b76bd5843d13afdd911a44b980fb5382eefdfccf5,GST-PB-70,GOODS,12,245696305,20757829,17355,MONTHLY,43.8,181120,5236143,729124,9.17,304327,71613,0.68,983567,L3
2021-01,TS,d7df82d86ae906c7ef24911c8f60a8d482b121bb8cd028fcddde1bb9a8952cb1,GST-PB-41,SERVICES,28,158748689,37543909,11020,QUARTERLY,54.34,44007,26360623,462714,6.53,235854,642765,0.83,119579,L2
2024-08,PB,996f6d7a65a60ad08735342ad28dbb4a2684c13e5781835a4238786f8d91f368,GST-NL-10,SERVICES,12,208665450,16429488,44785,MONTHLY,28.31,20927,6325301,556361,6.58,126233,82230,11.52,518532,L3
2022-11,SK,a8fbcb5c22d06d9727932ed9ebcb62c16a5086a63402d4255d28a8ee7f205777,GST-MN-11,SERVICES,18,144688862,22778670,30473,MONTHLY,35.75,11009,19134370,192274,4.14,152404,266249,14.91,1279726,L1
2020-04,JH,a056532cf601a7b483d593086a7d0204cad805d9998902210b68e126ee1e57ce,GST-MP-12,SERVICES,18,82106321,15263617,23172,QUARTERLY,96.66,178955,6932382,1034284,10.16,294122,300821,12.71,1124323,L1
2025-03,JK,91cef624c4a078b86ade40e143f19d7d80953e1aadce3a04909bf7210fceacdd,GST-JH-20,SERVICES,18,152573300,22095292,40813,MONTHLY,25.77,146636,17704454,786302,10.8,611196,437517,6.29,1022225,L3
2021-09,HR,b6c93200030f526fe259b7fa1db13ca1670b68f8636efa5e171d5bfd6d738c14,GST-HP-16,MIXED,18,201121307,28570193,20208,MONTHLY,41.14,132204,9481847,1814860,8.2,237844,374095,13.14,2148798,L2
2026-03,MH,c605b61ae8974886781046eb4d0c7c2d5d3fe8ed41d359e8e7e2d90632ab23a7,GST-TS-28,GOODS,5,4925908,188257,36020,QUARTERLY,36.58,65735,66702,14351,11.99,1380,1161,0.55,14012,L3
2022-12,ML,3e6da3e5c3277ff51363752aeb9aabb6b6957f306ada7075d5456524fd33f319,GST-UK-50,GOODS,18,24994456,3959772,15638,MONTHLY,56.94,101717,2817971,111922,9.39,14711,39957,10.99,899185,L2
2021-02,NL,bb5c22b29a75c50d00ed0dfa2721f9df554c81ababacc9d05d1e8d730a9d57d7,GST-HP-20,GOODS,3,128070783,3887648,19855,MONTHLY,82.53,99214,2982634,64517,9.87,114877,39433,2.6,744793,L2
2021-06,HP,3c15a928be6a7ab04ad1f63cfab7c195e0449ddfdf06202006b2889a14eb542c,GST-CG-86,MIXED,18,246898876,39352714,38783,MONTHLY,91.19,176091,19355537,771873,6.04,972709,689963,4.26,1834806,L2
2025-06,DH,a3bd837292369a452d8d3e1095db51ff8fec718174befcd7bdfeebec8fea9f1a,GST-WB-57,GOODS,0,234031678,0,42856,MONTHLY,40.55,194635,0,0,5.64,0,0,5.23,0,L2
2022-11,TN,9f99362a0790a83c2d14a108f4226f1dbb0653a68be67b0189196c88056f163e,GST-AS-56,GOODS,12,96123109,9196409,37468,QUARTERLY,41.77,2726,3629090,177507,4.4,6027,162386,2.67,943510,L2
2021-05,PY,88499b4235c58cab85076b9b811d343535f5ccb67eb2a7c0f75edc741d356c07,GST-PB-95,GOODS,18,61788417,8876393,37240,QUARTERLY,57.41,121971,6333787,237772,5.87,140949,2826,7.55,1026166,L1
2021-02,MP,f84d75ba5498523bb9c9dfe5748c9bd761d35850bcfd5a378e1f6e3b8ad9a3a5,GST-NL-11,GOODS,18,90840190,12178714,16440,MONTHLY,88.56,111268,5912889,594701,7.18,70960,237141,6.39,1013394,L2
2024-12,ML,763e3e953164c945721320af98318bfb325d2016d52567e962169e0a1f8f0f42,GST-UK-45,SERVICES,12,196391520,16230990,12828,MONTHLY,8.01,126295,10597378,578983,6.49,6813,221700,7.97,2663844,L2
2021-01,RJ,a5d6ac0c91c988cb7876c0041dac8a3fced9e54df4839d10fec78feefb7dfc6a,GST-AN-97,SERVICES,28,175202080,48283717,28883,MONTHLY,97.26,101587,20033194,822909,2.44,568201,898580,5.53,303675,L3
2026-02,SK,0b618dfa945fff231366d473fdeb6b72e55d1906f9672e837d9739d65864a49f,GST-LA-58,GOODS,12,180343751,20359323,36913,MONTHLY,76.81,193124,3524075,786049,5.28,403930,322174,1.39,1915277,L3
2020-09,GJ,28ac7eb6800834af3b647beb34f50286c361d864f8ee990521c71ca26c58a264,GST-JH-55,GOODS,3,164710908,3471550,40329,QUARTERLY,45.77,31035,2164733,123510,5.97,81787,48895,12.09,667043,L2
2021-12,DH,5eaae4a1a568e2f42045c69ad300d58f83edee60bde6accd75b8698ab51baa0d,GST-AR-64,MIXED,5,246488654,10662400,16559,QUARTERLY,61.2,43104,3820483,558516,6.49,82666,15531,12.11,2649485,L2
2023-09,PY,c2f06f46007e2e8a7c5569a1d30f62955f8ba19338ddca606c8db95e0fa98db0,GST-RJ-84,SERVICES,18,221329349,35857382,12488,MONTHLY,96.3,51906,17615305,1158868,0.67,520625,103578,10.85,1213061,L2
2021-03,OD,fe68b095fe10cb4af27cfc4f93200861033195250df0569c24bd5436e61913b1,GST-MH-74,MIXED,28,79588531,22195037,13200,MONTHLY,20.05,139128,17501304,1435910,8.75,484621,93030,9.87,1855056,L3
2025-07,MH,bce878debc748464b29257d13ba260cd9d59968cc3b900d4b75e04ae168395af,GST-ML-56,GOODS,18,195351660,24838092,17798,MONTHLY,94.18,36824,7585443,468914,11.62,737392,243775,7.16,2404427,L1
2026-12,MN,ceb5f55adce8659f536182cb29283ad9ff7cc12dd9cb7790982b5103dec2988f,GST-DH-33,SERVICES,18,213079670,26666226,18999,MONTHLY,18.68,56522,10530819,1078292,2.26,737227,412682,11.12,3645876,L3
2024-10,AS,8d4c650d351e0d01f9ccb7803520b1369c4edb6716d2d235ccdccfaf2301887f,GST-MP-44,GOODS,18,229687182,31132699,46557,MONTHLY,96.25,49280,8077985,1995978,10.41,292961,146659,13.03,3771263,L1
2025-07,AS,34848d4fadeef20732e847db978fd5137740790709165f94a86af9a7bc1afd70,GST-PB-06,GOODS,18,69172798,9282353,19999,MONTHLY,1.43,51545,1630474,199335,2.46,114902,182025,11.36,1924357,L1
2025-01,MH,176c876e7e4606631ca02249b683930ceb39047245ed2a5ac6e7402f6bee8856,GST-CG-53,GOODS,28,91693298,18199658,1806,MONTHLY,70.87,140767,7984327,344421,0.64,506587,241966,3.83,2909973,L3
2021-06,HR,cf3a7a0ffda0054c4f7886a638b87fa8124a3e7cd5e56ccd7b281b6894e8b14d,GST-AN-07,GOODS,12,114688920,13775430,739,MONTHLY,3.06,35591,3018124,631605,8.94,232800,203744,3.04,2810160,L1
2020-06,KA,c605c154d79f7f9e47719b587ea2ce637b0d4dbb07ccd86d5ea630b3a6afd698,GST-NL-81,MIXED,18,127775849,24088851,10728,MONTHLY,46.19,193010,8666109,1038689,10.33,7988,434258,8.49,4312269,L1
2024-05,KL,e8745ad71f8febf1bf13ed0cb59494e2f8a56c5ffb3603275fd42e49cbc4497b,GST-KL-95,GOODS,18,120637325,19804308,13191,MONTHLY,0.69,20504,14742396,1508704,10.13,425696,203413,5.92,4680944,L1
2026-11,GJ,3fdcbdae68e3272883f8af017f9155cff2adf7d666f35274c77ff820a1a29503,GST-ML-68,GOODS,12,230657800,26374693,3473,MONTHLY,4.27,129976,4750309,1698591,1.06,366615,76588,5.2,4859828,L2
2025-09,MN,6422f0e0049b1e3844f101e5a4fb7d9a1e091b07660454baa0c8d411187d7314,GST-HP-88,SERVICES,12,175612961,18119661,34205,QUARTERLY,79.1,4574,10748801,445266,0.08,413309,155009,14.04,451414,L2
2024-08,AR,16c295643523caa2ea73d885f57ac0a3a70f7e669392376dd3c58a35263b0bd0,GST-RJ-46,MIXED,12,101935306,11007058,46905,MONTHLY,92.0,110401,4645980,125051,10.65,301800,116713,11.07,1897695,L2
2020-12,WB,149cc80f1570e3ea6dcf8f392a0ddb7fbf78b0f145d92df091f7d4af03db8836,GST-HP-77,MIXED,28,62068560,17209911,18699,MONTHLY,71.24,5226,7288464,345501,3.09,191362,334234,7.52,141783,L3
2025-04,TR,99c62b9555b45465860da44950db7e4cac2ae2f972e9aac8524c2e54fe0e2c79,GST-MP-93,GOODS,5,25044342,1257675,14991,MONTHLY,84.07,98490,629576,40703,2.59,17535,1803,5.16,55564,L1
2024-05,GJ,531544a7c3b34334a7974dc433eaf96d1f8ce28f3ce722bc4f648096efd78746,GST-BR-98,MIXED,5,84291047,3289200,31653,MONTHLY,15.55,43522,1287302,23732,10.15,43364,21629,3.95,769840,L3
2026-07,GA,c199bc6d7703e1607c7bede929b192243bdf8de055126783253789275f1fe940,GST-KA-01,GOODS,18,228985656,39939135,26157,QUARTERLY,59.85,27988,8269753,853408,3.51,462578,595574,14.95,9540387,L1
2024-03,AS,89090ebfc6b9e79bfacf088a425b3e3684259ef64cf4c5f982b44f3b93b719de,GST-MH-33,SERVICES,12,243915342,19213307,32764,MONTHLY,49.77,57155,14793093,1233107,5.91,278409,271083,4.46,519694,L1
2020-11,GJ,e5f5bff48e539918429bd022796843e42858a5a18224f1fa976ad0cbe45194e8,GST-AN-96,SERVICES,18,207329807,26074912,43531,MONTHLY,85.66,150057,7423861,1204688,11.1,486292,435692,12.69,2587948,L1
2024-08,SK,2e79129637d327fecc8066e615a50ebaf6d959d73f831b3fc7523c893e1e6334,GST-TS-61,MIXED,18,163371424,22563519,48945,MONTHLY,55.58,58424,14193897,69783,8.32,5601,432102,1.98,5575931,L3
2022-08,AS,00ca3ff8d5f650d319a456cdbe70f6d1c231c5ec6f804e777e35455894d32f1c,GST-CG-24,GOODS,18,13160780,2007144,13118,MONTHLY,91.59,182359,1358736,1451,5.23,52203,22640,11.48,36958,L2
2022-08,AP,a6b2b875f259dc5e3f42ec579523d879ede1e36f3d0bda590a8e1125d387ce1b,GST-SK-67,SERVICES,12,137634266,12271329,21379,MONTHLY,90.93,173070,3617609,377630,6.03,320524,209749,7.38,2796435,L2
2024-03,RJ,8772899eef31d1fb11ffe43a04bd654ead4e83b39827331545d8e7ee7d7e1b9c,GST-ML-82,SERVICES,18,13463630,2419312,4389,MONTHLY,34.35,74643,632345,8146,3.95,13396,46578,6.79,594453,L2
2026-12,LA,8ecf1c6ac68b08b5b364d84ad0c1b3b335fab94cf84e24f88af42725f9f796db,GST-MN-86,GOODS,0,14043749,0,29615,MONTHLY,74.57,90059,0,0,10.28,0,0,12.14,0,L2
2025-01,MZ,d4b8150ab523f14f6e1905a1142b7ab6366ca4fa9ced03b4f352cc69cc6826a5,GST-BR-85,MIXED,18,76882580,11283774,15317,MONTHLY,88.47,23260,1895501,207620,6.64,239730,132653,0.82,2307500,L1
2020-10,JH,df43d260d07dc0c39b968e06eb8e18a6d2f6e88b4f1677f8cbbf9b70f0ab06f5,GST-SK-94,MIXED,18,249443558,43444531,35895,MONTHLY,36.56,669,19783654,1679036,9.83,1241052,394540,0.13,6204409,L3
2021-12,CH,9bd16c32f2f9f87384139be871d2a2dc1f90c82957f0d9d405ca4e198115ff7a,GST-GJ-12,SERVICES,18,125022667,20978595,24909,MONTHLY,77.46,139657,4168001,932672,11.97,93502,323621,1.58,4783451,L2
2022-03,DH,60cd081455a221e0e84b9df2521c203dceae4575f9efc099ab4bbecd4367ab6f,GST-KA-57,MIXED,18,191437015,32788701,33822,MONTHLY,0.05,164555,14680694,1793653,5.66,807583,130847,0.69,827829,L2
2024-09,DH,336075a1d4d0e0f11ddbf1e1c4f45a772ec0e7a5ed5ee6c2c851c3c7b9ef4e89,GST-CH-78,SERVICES,18,199560005,27999679,24070,MONTHLY,42.69,149191,7948075,949214,0.26,798143,480720,13.96,793567,L2
2024-10,MH,413c3eebadf733978a0a5d24ef4800221d3e7c33b9d0b49a0d383697cb7112e4,GST-AS-45,SERVICES,18,230774348,32212137,26566,MONTHLY,63.71,127596,25539858,1545786,10.68,792064,288025,1.78,5568185,L3
2023-04,AR,604399400aa059e151ee8e0a4ff4e1cc7f7696e577c2f909f7cec46623c9df3b,GST-AN-74,SERVICES,5,84187163,3241268,31605,QUARTERLY,36.46,28370,1199774,159865,2.89,53482,23686,11.81,7119,L2
2023-08,PY,c5f9d7e9b67becd42ad4a359cf09d7fb4d864c93698ad4a95fdfed8b393d9a31,GST-MN-40,SERVICES,12,224238863,25999001,39723,QUARTERLY,88.36,131049,18415188,688347,3.08,718927,372595,11.34,4157558,L2
2025-06,JK,55f4aa7ca7b4381c4a2cd14583c16ebc75b3daf62cc611f01270ae2678e790b1,GST-KA-28,GOODS,12,31804878,3063752,6581,QUARTERLY,65.23,48272,1261580,71712,4.05,1170,20294,0.02,472988,L3
2020-05,OD,2f611739e24bd7e743de37479ead0cbfdeefe08d080abef40c93ec9e4f4c51f9,GST-OD-46,GOODS,18,141476180,17803797,32765,MONTHLY,53.63,178581,9281772,950322,11.62,460652,316974,4.19,2723752,L3
2024-10,AN,c0ff22b77bb75aed2dc2a9e6a83bc639018cd895b9cd96622d188762327644aa,GST-JH-05,GOODS,5,186545361,7934145,22519,MONTHLY,86.55,68002,4948711,143375,7.74,164944,138954,12.11,342122,L1
2025-10,LD,267e385e8c105a710ab63487e280984d91d4dbcaa96c7b05271dde44e69d4ae5,GST-DH-80,SERVICES,18,190799172,25217673,33461,MONTHLY,74.98,9293,15645427,124518,8.87,294682,16332,9.77,5769392,L3
2021-01,AS,926db02267e09369e16c6d142d4b1b9044968fe0b91dfa2359688ab80933ce94,GST-AR-59,GOODS,12,184353330,19485232,32622,QUARTERLY,24.35,64698,14516767,83582,1.64,503077,71503,11.63,3575788,L3
2021-02,MZ,af2d120ab1aaf44b5dc210d327a8da80659579335cd636a90d0450c58766f1e1,GST-TR-55,GOODS,5,210250177,9040551,14331,QUARTERLY,80.19,83559,3366708,242374,4.52,200014,133104,12.45,635119,L3
2024-04,DL,d239a8590c6845fe3bd04fdf4e6722131b3f9123b0c05bc69e565325ac82fa18,GST-CH-63,GOODS,12,217616640,19809150,22418,MONTHLY,51.36,55139,9730574,1547987,2.9,473168,213882,0.47,2964065,L2
2021-07,UK,73fa6a1b444dfb9d1dbbcc35a716710c7e7d85fc47eb2eecda0c516befff3cb8,GST-HR-37,MIXED,5,162514305,8290791,39667,QUARTERLY,20.53,24014,6090475,327819,0.22,70911,13576,10.08,823323,L1
2023-09,BR,37a582f1b4a6b3851d5c5465658cac95412355a18c92d6770c6421c45bcd42fa,GST-WB-98,MIXED,12,1998995,198173,31244,MONTHLY,97.66,117256,74263,4982,7.87,3420,1625,0.51,37728,L2
2026-02,AS,1d1d9552f79718f7fb2b543c4f56ef35756f6eef06f2b733bad618d907c13822,GST-MZ-39,GOODS,18,29353254,4559010,28205,MONTHLY,40.01,57674,1354224,243959,0.13,49080,3244,13.93,564171,L2
2020-10,KL,a59a32b3ad491758ad62d2b9d76cbdb3f78a20fee02bdf6f6192593830b1e29d,GST-PY-23,SERVICES,12,146860911,16489745,41717,QUARTERLY,3.57,170246,5682324,187096,10.43,324315,85544,6.41,1193932,L1
2026-05,MZ,6c4f112883186dcb4758307c54155faafc652a9db4bfc488f3735235ff9d2559,GST-MH-82,SERVICES,28,176358385,44692481,42241,QUARTERLY,92.11,92691,16978627,3106573,7.89,992123,157368,4.79,9122751,L3
2021-04,CG,c8fd2146269364829eb101a6a7f7ef1247a140db7bfcc1b7fa0f2fd9373709e5,GST-KL-65,GOODS,18,35781889,4289440,3073,QUARTERLY,12.7,117333,1117006,341312,6.39,83224,70874,2.6,426679,L2
