house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_usd,house_rent_effective_rent_usd,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_usd,house_rent_application_fee_usd,house_rent_security_deposit_usd,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2051-05,BLDG0000000497,3,1827.51,1525.41,6,14.85,12,4.49,0.38,1,41,137,1582,8.91,1,50_AMI,2651,0,29.68
2051-06,BLDG0000000498,0,4195.58,4029.75,7,19.81,12,3.53,0.269,0,229,132,5585,2.5,0,120_AMI,5167,0,54.13
2051-07,BLDG0000000499,1,1462.46,1263.16,12,19.32,12,3.76,0.382,1,485,127,2452,8.42,1,120_AMI,1009,1,64.46
2051-08,BLDG0000000500,0,2217.85,1919.38,8,5.27,12,4.05,0.316,1,716,105,3094,6.67,0,80_AMI,4650,0,55.13
2051-09,BLDG0000000501,2,1885.71,1651.22,10,2.39,18,3.33,0.23,0,631,106,1868,6.11,0,50_AMI,1548,0,63.65
2051-10,BLDG0000000502,2,4200.77,3958.68,9,11.93,12,3.05,0.364,0,545,26,3423,4.14,0,50_AMI,5104,0,22.2
2051-11,BLDG0000000503,3,3884.07,3537.66,12,16.9,12,4.26,0.205,0,364,2,3264,7.81,0,100_AMI,3983,0,45.14
2051-12,BLDG0000000504,1,4428.25,4225.85,8,18.4,12,2.02,0.193,0,671,103,1335,3.73,0,100_AMI,7881,0,48.9
2052-01,BLDG0000000505,2,4822.8,4665.31,8,8.71,12,3.96,0.508,1,615,32,4771,2.27,0,50_AMI,35,1,77.47
2052-02,BLDG0000000506,3,4247.9,4147.22,1,12.93,24,3.95,0.432,0,757,94,1967,6.42,0,100_AMI,4293,0,28.86
2052-03,BLDG0000000507,2,790.03,634.84,12,5.66,12,3.64,0.366,1,652,6,1230,4.99,0,MARKET,5871,0,11.77
2052-04,BLDG0000000508,0,4116.55,3818.65,1,11.75,6,3.53,0.486,1,531,7,2188,8.9,0,MARKET,1499,0,68.77
2052-05,BLDG0000000509,3,1668.62,1329.55,4,0.27,15,2.72,0.49,1,588,76,1926,8.81,0,50_AMI,2174,1,52.57
2052-06,BLDG0000000510,1,3972.17,3846.14,6,1.68,12,2.96,0.184,1,260,120,5714,7.23,0,30_AMI,2651,0,29.88
2052-07,BLDG0000000511,1,4527.69,4300.0,9,21.46,6,2.26,0.231,1,643,56,3848,0.66,0,120_AMI,334,0,56.63
2052-08,BLDG0000000512,0,4179.25,4160.8,0,1.28,9,2.19,0.362,0,747,10,4271,1.03,0,MARKET,4400,0,76.77
2052-09,BLDG0000000513,1,3084.39,2961.29,10,18.14,12,4.2,0.19,1,655,60,2743,6.07,1,60_AMI,5786,0,42.49
2052-10,BLDG0000000514,1,2092.49,1972.79,10,0.82,12,2.3,0.44,1,434,117,1420,0.29,0,30_AMI,713,0,38.56
2052-11,BLDG0000000515,3,4204.43,3895.1,9,9.0,15,3.14,0.228,1,177,51,5313,7.24,0,80_AMI,998,0,72.92
2052-12,BLDG0000000516,2,5177.92,4847.27,1,16.9,12,3.37,0.225,0,288,133,4995,3.27,0,MARKET,5983,0,20.35
2053-01,BLDG0000000517,0,3692.2,3406.75,10,17.98,12,4.18,0.436,1,765,42,4726,4.38,0,80_AMI,4705,1,73.27
2053-02,BLDG0000000518,1,918.31,683.12,5,21.58,24,3.63,0.22,1,139,134,2569,8.85,0,100_AMI,2194,1,45.14
2053-03,BLDG0000000519,2,3023.18,3003.13,1,15.86,12,2.48,0.242,1,513,69,4900,2.09,0,MARKET,1671,1,21.83
2053-04,BLDG0000000520,3,4786.59,4676.47,4,11.34,12,3.15,0.278,0,224,75,105,2.25,0,100_AMI,231,1,83.86
2053-05,BLDG0000000521,1,1857.85,1695.99,3,15.56,12,4.05,0.426,1,517,143,669,8.28,1,100_AMI,1216,0,21.78
2053-06,BLDG0000000522,3,3207.23,3076.76,9,19.49,12,3.2,0.439,0,737,107,3765,0.5,0,60_AMI,1055,1,31.77
2053-07,BLDG0000000523,4,4953.72,4769.66,2,14.96,12,2.51,0.482,1,218,2,4358,6.64,1,60_AMI,5929,0,43.55
2053-08,BLDG0000000524,3,4841.21,4562.03,7,18.63,12,4.2,0.231,1,492,75,2239,2.98,1,60_AMI,2138,0,10.18
2053-09,BLDG0000000525,1,3204.71,2868.39,5,2.41,12,2.96,0.535,0,413,111,967,8.56,0,100_AMI,7571,1,17.66
2053-10,BLDG0000000526,2,3036.65,2817.89,7,9.01,12,3.43,0.42,1,12,140,3596,7.5,1,120_AMI,5012,0,82.07
2053-11,BLDG0000000527,1,1145.32,969.25,2,8.12,12,3.6,0.251,1,409,13,2151,3.88,0,80_AMI,2775,0,93.34
2053-12,BLDG0000000528,4,3359.75,3039.94,11,21.06,15,2.62,0.461,1,686,37,179,0.62,0,30_AMI,1471,0,66.73
2054-01,BLDG0000000529,2,4191.93,3911.23,12,6.86,12,2.52,0.331,1,664,9,2990,1.75,0,50_AMI,6749,0,84.53
2054-02,BLDG0000000530,2,5178.96,4941.93,7,4.04,12,2.84,0.316,0,531,59,2168,0.42,1,30_AMI,3243,0,56.62
2054-03,BLDG0000000531,2,1643.04,1568.83,9,9.78,12,4.03,0.465,1,105,18,4156,7.99,0,100_AMI,6353,0,30.19
2054-04,BLDG0000000532,1,828.46,797.77,12,1.51,12,2.82,0.295,0,767,44,5001,2.03,0,80_AMI,5346,0,93.37
2054-05,BLDG0000000533,0,4656.8,4329.09,0,2.68,15,2.4,0.467,0,729,114,4926,0.57,0,50_AMI,5951,1,85.15
2054-06,BLDG0000000534,1,1147.6,911.78,4,15.66,12,4.31,0.517,1,748,15,554,2.81,0,120_AMI,2247,0,35.21
2054-07,BLDG0000000535,0,3078.02,2957.78,5,13.73,12,2.24,0.333,1,378,26,3421,2.84,0,60_AMI,4183,0,19.07
2054-08,BLDG0000000536,2,2857.63,2777.89,0,12.65,12,4.16,0.301,0,737,142,686,7.32,0,100_AMI,5532,0,87.88
2054-09,BLDG0000000537,3,4102.19,3879.33,6,15.03,15,4.05,0.541,0,383,67,1786,3.44,0,50_AMI,7190,0,39.64
2054-10,BLDG0000000538,1,4116.29,4083.22,0,19.76,15,3.59,0.251,1,712,108,5722,1.84,0,80_AMI,7454,0,40.13
2054-11,BLDG0000000539,2,3505.89,3232.41,5,18.97,12,2.84,0.504,0,754,100,3761,1.54,0,30_AMI,2358,0,24.94
2054-12,BLDG0000000540,1,4632.76,4524.0,3,12.08,12,3.45,0.252,0,482,45,1296,2.89,1,80_AMI,5979,1,29.98
2055-01,BLDG0000000541,3,4128.04,3960.37,12,5.42,12,3.88,0.333,0,407,106,1749,3.94,0,MARKET,1631,0,61.04
2055-02,BLDG0000000542,3,3931.07,3664.44,4,13.63,12,4.14,0.407,1,734,106,762,0.45,0,50_AMI,1118,1,44.17
2055-03,BLDG0000000543,2,1665.65,1635.48,6,15.97,12,3.91,0.449,1,419,71,929,8.46,0,80_AMI,3508,0,36.94
2055-04,BLDG0000000544,2,1502.16,1163.89,5,18.11,12,3.98,0.517,1,655,144,5803,4.04,0,80_AMI,7005,0,63.79
2055-05,BLDG0000000545,1,3289.83,3259.53,6,7.72,9,3.77,0.288,1,28,21,79,8.05,1,100_AMI,5577,0,19.55
2055-06,BLDG0000000546,3,4939.34,4836.02,2,12.15,6,2.63,0.522,1,433,20,2041,4.65,0,60_AMI,7913,0,16.52
2055-07,BLDG0000000547,2,4881.68,4593.21,8,7.8,24,3.6,0.48,0,696,98,279,3.18,1,30_AMI,2706,0,37.18
2055-08,BLDG0000000548,1,838.8,736.68,4,18.19,18,3.02,0.444,1,216,94,4732,7.71,0,MARKET,6619,0,25.59
2055-09,BLDG0000000549,2,4350.47,4229.35,9,6.61,24,4.28,0.412,0,523,96,475,2.25,1,50_AMI,2615,0,73.22
2055-10,BLDG0000000550,2,2381.2,2301.79,9,2.69,18,3.55,0.358,0,10,56,625,7.86,0,50_AMI,6977,1,86.13
2055-11,BLDG0000000551,1,3276.63,3068.29,1,5.74,24,4.47,0.366,1,650,69,1778,2.22,1,120_AMI,7440,0,29.78
2055-12,BLDG0000000552,3,1356.83,1253.42,9,17.27,12,3.08,0.507,1,155,114,4568,7.22,0,80_AMI,1949,0,42.94
2056-01,BLDG0000000553,0,4679.18,4407.08,4,10.73,12,3.45,0.491,0,443,24,2736,4.34,1,MARKET,6082,0,51.76
2056-02,BLDG0000000554,3,5172.23,4959.64,11,16.08,24,3.19,0.308,0,633,62,2840,7.97,0,100_AMI,6937,0,66.32
2056-03,BLDG0000000555,4,4531.7,4336.18,4,16.03,12,3.83,0.377,1,183,124,3257,6.93,0,100_AMI,2159,1,58.64
2056-04,BLDG0000000556,1,4523.68,4316.38,6,17.22,12,2.68,0.379,0,365,108,5494,7.3,1,60_AMI,1088,1,64.2
2056-05,BLDG0000000557,1,2312.98,2227.09,9,17.77,12,2.25,0.396,0,337,29,5433,5.99,0,100_AMI,4721,1,61.32
2056-06,BLDG0000000558,3,3558.21,3533.08,2,6.84,6,2.93,0.191,0,223,147,5705,2.72,1,60_AMI,1806,0,32.33
2056-07,BLDG0000000559,2,4440.3,4317.38,5,18.46,18,3.99,0.313,0,751,14,4774,7.86,0,60_AMI,309,0,27.18
2056-08,BLDG0000000560,2,2643.69,2370.03,3,16.31,12,3.7,0.25,0,635,88,4736,5.78,0,120_AMI,1143,0,67.76
2056-09,BLDG0000000561,2,2435.32,2226.46,7,15.13,18,4.05,0.281,0,453,72,618,4.95,1,60_AMI,3956,0,17.67
2056-10,BLDG0000000562,1,4685.43,4438.68,8,12.87,15,4.0,0.345,1,362,33,4152,8.24,0,80_AMI,2349,1,65.14
2056-11,BLDG0000000563,3,3449.43,3220.04,6,5.87,12,3.17,0.549,0,257,103,5414,3.79,0,30_AMI,5423,0,33.12
2056-12,BLDG0000000564,2,859.9,674.61,2,17.67,6,3.47,0.36,0,196,126,1948,0.89,0,30_AMI,5297,1,27.46
2057-01,BLDG0000000565,1,4696.09,4383.78,2,14.24,12,2.14,0.409,0,157,11,717,3.07,0,60_AMI,482,1,12.96
2057-02,BLDG0000000566,2,5180.59,5105.79,0,17.34,12,2.13,0.209,0,571,137,4340,7.67,0,MARKET,2817,0,81.63
2057-03,BLDG0000000567,3,2596.79,2306.28,4,21.56,18,4.1,0.33,0,183,135,2832,0.95,0,MARKET,1466,1,23.17
2057-04,BLDG0000000568,1,4910.42,4862.89,12,5.16,12,3.9,0.315,1,259,88,3831,4.81,1,120_AMI,979,0,12.44
2057-05,BLDG0000000569,0,4582.75,4237.42,8,11.6,12,3.38,0.504,0,753,18,5908,2.72,0,30_AMI,2101,1,89.43
2057-06,BLDG0000000570,2,2469.12,2359.41,5,2.37,12,4.3,0.428,0,144,68,1734,7.73,0,MARKET,4875,1,18.22
2057-07,BLDG0000000571,2,1578.64,1464.23,12,14.02,15,2.11,0.507,1,6,38,1591,4.99,0,100_AMI,2470,1,12.52
2057-08,BLDG0000000572,2,2075.81,1762.19,5,18.44,9,3.01,0.37,0,791,147,763,7.65,0,MARKET,7460,1,47.2
2057-09,BLDG0000000573,2,4792.45,4562.64,11,4.26,6,3.5,0.539,0,102,125,2514,1.11,0,100_AMI,4253,1,26.33
2057-10,BLDG0000000574,3,2537.87,2281.84,10,17.58,18,3.2,0.381,1,60,29,297,6.49,0,100_AMI,715,0,41.78
2057-11,BLDG0000000575,1,4210.31,3927.73,10,15.07,12,2.87,0.545,0,439,80,5763,0.49,0,120_AMI,2400,0,90.15
2057-12,BLDG0000000576,2,2248.73,2004.77,11,2.38,12,4.04,0.547,0,348,30,4383,7.1,1,MARKET,1419,0,11.04
2058-01,BLDG0000000577,2,3888.84,3743.99,1,2.72,12,3.7,0.232,0,527,105,5982,7.2,0,60_AMI,3123,0,84.24
2058-02,BLDG0000000578,2,910.44,583.95,0,3.78,12,3.17,0.242,0,413,68,5540,4.45,0,100_AMI,1234,0,60.23
2058-03,BLDG0000000579,2,1202.26,877.46,7,3.35,15,2.29,0.282,0,785,90,5223,2.44,0,80_AMI,5481,0,82.38
2058-04,BLDG0000000580,2,3104.57,3031.05,8,14.41,18,4.28,0.245,1,293,129,4498,8.02,0,60_AMI,2496,0,77.74
2058-05,BLDG0000000581,2,4190.48,4025.15,0,16.03,12,2.57,0.188,0,37,91,3207,8.58,0,100_AMI,1289,1,78.39
2058-06,BLDG0000000582,2,3055.26,3043.07,2,2.42,15,2.17,0.201,0,225,38,1511,2.36,0,100_AMI,7285,1,22.04
2058-07,BLDG0000000583,1,3079.74,2810.53,8,19.07,12,4.31,0.544,1,241,101,4624,2.63,0,30_AMI,7964,0,31.1
2058-08,BLDG0000000584,2,1295.72,1237.85,2,17.72,12,3.93,0.316,1,130,39,5057,2.13,1,50_AMI,7426,1,48.28
2058-09,BLDG0000000585,1,780.23,504.07,12,7.83,12,3.5,0.281,0,382,34,2440,8.23,0,50_AMI,1962,1,24.14
2058-10,BLDG0000000586,3,1126.58,1100.12,4,15.23,6,3.91,0.506,0,182,95,2334,4.58,0,MARKET,3413,1,76.46
2058-11,BLDG0000000587,4,1762.53,1711.44,8,9.48,15,2.92,0.234,0,495,27,2036,5.04,0,50_AMI,2492,0,67.38
2058-12,BLDG0000000588,3,2526.33,2468.72,10,5.05,6,4.49,0.279,0,307,93,2851,4.68,0,120_AMI,4652,0,20.97
2059-01,BLDG0000000589,2,3517.89,3338.02,5,6.2,12,3.06,0.353,1,31,27,2817,5.57,0,60_AMI,2639,0,55.62
2059-02,BLDG0000000590,2,4382.44,4184.15,11,17.76,12,3.75,0.356,0,616,62,5615,8.31,0,MARKET,5257,0,58.26
2059-03,BLDG0000000591,2,4268.2,4187.06,9,16.41,6,3.53,0.418,1,681,9,4425,2.21,1,60_AMI,1119,0,73.66
2059-04,BLDG0000000592,4,4291.57,4107.13,0,17.35,18,2.79,0.201,1,572,78,1952,2.23,1,100_AMI,5533,0,18.25
2059-05,BLDG0000000593,2,3431.28,3419.23,1,2.49,15,3.37,0.483,0,132,36,3881,6.42,0,100_AMI,5246,0,38.63
2059-06,BLDG0000000594,2,3590.96,3543.63,4,12.61,9,2.61,0.208,0,680,42,4007,4.59,1,30_AMI,291,1,22.07
2059-07,BLDG0000000595,0,3831.05,3636.11,12,14.61,12,3.51,0.302,0,107,1,4966,3.37,0,120_AMI,5610,0,24.59
2059-08,BLDG0000000596,3,2496.03,2426.84,5,19.57,12,4.23,0.211,0,460,39,4137,7.63,0,MARKET,4238,1,88.24
2059-09,BLDG0000000597,3,2154.83,1864.44,1,8.63,12,3.8,0.264,1,758,140,5638,1.77,1,120_AMI,1301,0,12.97
2059-10,BLDG0000000598,3,4912.94,4845.16,9,7.22,24,2.23,0.282,0,473,45,4670,7.08,1,120_AMI,7418,0,87.49
2059-11,BLDG0000000599,3,862.93,520.5,2,17.13,12,2.96,0.437,1,736,10,2719,0.61,0,30_AMI,1588,1,89.76
2059-12,BLDG0000000600,2,4602.31,4599.42,9,13.75,12,2.81,0.54,0,456,52,247,7.37,0,MARKET,93,0,43.57
2060-01,BLDG0000000601,2,904.22,652.22,4,3.9,12,2.63,0.196,0,493,50,3475,3.06,0,80_AMI,3398,0,80.26
2060-02,BLDG0000000602,2,3413.01,3103.37,0,16.11,18,3.03,0.378,1,461,9,5193,5.89,1,60_AMI,7116,0,30.59
2060-03,BLDG0000000603,1,996.0,683.47,0,20.54,18,3.02,0.39,0,533,67,5332,2.68,0,MARKET,5880,1,35.07
2060-04,BLDG0000000604,1,5067.85,5013.02,10,6.64,12,2.87,0.296,1,405,126,5945,6.5,0,60_AMI,1783,0,42.66
2060-05,BLDG0000000605,1,4618.05,4496.87,4,18.25,9,3.64,0.224,0,619,1,3086,1.88,0,50_AMI,4094,1,87.55
2060-06,BLDG0000000606,2,1754.43,1575.07,5,9.51,9,3.35,0.211,1,479,109,1629,6.86,0,60_AMI,5126,0,30.63
2060-07,BLDG0000000607,3,5118.95,4996.28,12,3.75,12,3.46,0.412,0,92,55,1266,2.07,0,30_AMI,851,0,37.69
2060-08,BLDG0000000608,3,3764.42,3532.62,6,0.89,12,2.32,0.37,1,597,4,1191,2.52,0,60_AMI,7079,0,91.48
2060-09,BLDG0000000609,3,1844.79,1679.53,5,15.21,6,3.23,0.308,0,474,146,245,6.9,0,100_AMI,1267,1,23.6
2060-10,BLDG0000000610,1,1430.28,1237.46,3,4.53,18,2.25,0.319,1,713,75,4893,4.39,0,100_AMI,774,0,45.48
2060-11,BLDG0000000611,1,2066.19,2047.71,0,7.39,12,2.25,0.51,0,142,125,2639,7.46,0,MARKET,1300,0,38.84
2060-12,BLDG0000000612,1,1093.51,953.34,6,14.04,15,2.78,0.513,0,380,40,3709,2.57,0,MARKET,5433,0,32.44
2061-01,BLDG0000000613,3,1756.46,1547.01,1,21.8,12,3.24,0.273,0,641,133,1786,3.59,1,MARKET,7754,0,66.67
2061-02,BLDG0000000614,0,4990.17,4795.04,3,18.89,9,3.6,0.21,1,358,115,4194,1.49,0,30_AMI,1828,0,20.61
2061-03,BLDG0000000615,0,1846.93,1533.57,12,17.78,12,2.69,0.197,1,289,72,2700,7.11,1,80_AMI,5605,0,52.16
2061-04,BLDG0000000616,3,2495.86,2310.92,4,2.6,12,3.24,0.539,0,464,28,3577,7.76,0,80_AMI,6408,0,15.33
2061-05,BLDG0000000617,1,3041.38,2733.23,1,9.49,12,2.67,0.527,0,173,63,3984,8.69,0,100_AMI,3361,0,39.26
2061-06,BLDG0000000618,2,3866.87,3667.33,10,20.6,12,4.43,0.36,1,25,71,980,1.3,0,120_AMI,2774,0,48.77
2061-07,BLDG0000000619,1,4414.89,4349.57,11,19.94,15,3.86,0.309,0,444,10,2009,1.97,0,120_AMI,6420,0,65.92
2061-08,BLDG0000000620,2,1912.64,1839.78,9,6.87,6,3.97,0.526,0,609,17,5277,6.92,0,80_AMI,7674,0,21.96
2061-09,BLDG0000000621,1,3860.86,3630.39,11,16.34,9,2.39,0.33,0,66,21,132,3.25,0,80_AMI,2726,0,39.67
2061-10,BLDG0000000622,2,1819.62,1504.54,11,0.89,24,2.07,0.357,0,414,26,2743,5.78,0,50_AMI,3371,0,33.37
2061-11,BLDG0000000623,2,3851.72,3646.02,0,20.22,15,2.04,0.231,1,260,113,3803,7.03,1,120_AMI,5875,1,15.57
2061-12,BLDG0000000624,2,3010.49,2978.42,2,1.23,12,2.89,0.458,1,61,149,2769,8.01,0,60_AMI,2173,0,56.96
2062-01,BLDG0000000625,2,2334.57,2312.22,6,5.81,24,2.83,0.213,1,645,40,3113,0.55,0,30_AMI,4935,0,21.1
2062-02,BLDG0000000626,2,1914.89,1740.09,0,4.25,12,2.81,0.267,1,778,119,2824,6.53,1,50_AMI,898,1,24.0
2062-03,BLDG0000000627,1,2468.92,2238.84,1,0.02,12,3.64,0.535,0,615,75,5481,2.53,0,60_AMI,3703,1,49.25
2062-04,BLDG0000000628,0,1490.55,1176.54,9,18.33,18,4.33,0.495,0,793,20,572,2.97,1,30_AMI,3446,1,87.66
2062-05,BLDG0000000629,2,4885.38,4618.67,5,8.91,12,4.24,0.472,1,221,122,3748,0.82,0,30_AMI,4606,0,88.68
2062-06,BLDG0000000630,1,1620.51,1432.91,7,17.94,12,2.77,0.368,0,247,130,4975,7.97,0,MARKET,4529,0,85.56
2062-07,BLDG0000000631,0,5058.4,4903.66,5,14.76,12,4.23,0.478,0,393,22,2396,7.56,0,100_AMI,5290,0,49.93
2062-08,BLDG0000000632,2,4385.95,4196.78,9,17.35,12,2.34,0.527,1,209,132,3018,7.7,0,120_AMI,1243,0,37.32
2062-09,BLDG0000000633,2,3052.93,2710.88,5,13.84,18,2.47,0.435,0,357,150,4007,7.69,0,80_AMI,4297,0,32.9
2062-10,BLDG0000000634,0,4495.31,4296.24,0,4.83,12,3.8,0.499,0,40,68,1536,6.69,0,50_AMI,1492,1,87.23
2062-11,BLDG0000000635,1,5118.54,5098.01,10,3.25,9,4.23,0.445,0,626,17,721,4.93,0,30_AMI,3735,1,81.07
2062-12,BLDG0000000636,3,1205.12,1134.21,2,17.63,12,3.14,0.296,0,609,17,1216,7.39,0,60_AMI,2238,1,25.53
2063-01,BLDG0000000637,3,1520.17,1419.28,11,12.18,12,3.16,0.189,0,716,90,1381,4.83,1,80_AMI,7865,0,54.37
2063-02,BLDG0000000638,0,1097.36,893.73,4,0.8,12,4.24,0.34,0,591,34,4934,0.02,0,60_AMI,6968,0,72.75
2063-03,BLDG0000000639,2,2579.62,2528.2,4,4.5,9,3.22,0.402,0,441,26,1542,8.96,0,MARKET,7589,0,77.33
2063-04,BLDG0000000640,1,4541.38,4306.67,12,3.43,12,3.48,0.388,1,166,65,1575,0.66,0,30_AMI,7901,0,24.99
2063-05,BLDG0000000641,2,774.83,447.67,2,5.32,15,4.2,0.4,0,417,85,1901,0.65,0,80_AMI,5554,0,13.41
2063-06,BLDG0000000642,1,3855.26,3768.56,12,17.85,12,2.37,0.464,0,3,131,5219,5.4,0,120_AMI,5831,0,30.24
2063-07,BLDG0000000643,2,5099.42,5066.74,5,7.05,15,2.14,0.343,1,141,5,5897,5.24,0,100_AMI,3175,0,53.67
2063-08,BLDG0000000644,3,1872.6,1596.73,11,8.67,12,3.01,0.277,0,94,126,5240,5.94,0,MARKET,7170,0,69.02
2063-09,BLDG0000000645,0,1816.22,1729.86,11,14.4,12,3.78,0.27,0,490,86,2046,0.4,0,120_AMI,3249,0,34.27
2063-10,BLDG0000000646,4,2207.69,2059.57,8,17.67,18,2.15,0.288,0,355,49,5790,0.07,0,120_AMI,7500,1,19.67
2063-11,BLDG0000000647,3,1934.15,1598.59,6,7.29,6,2.44,0.44,0,233,56,2580,7.05,1,60_AMI,2748,0,50.97
2063-12,BLDG0000000648,0,3892.91,3623.16,8,9.32,12,3.33,0.37,0,277,147,1636,6.22,0,120_AMI,4280,0,75.33
2064-01,BLDG0000000649,2,3027.68,2740.72,8,19.5,12,2.77,0.218,1,184,83,1313,3.37,1,120_AMI,1999,1,31.42
2064-02,BLDG0000000650,1,4826.48,4768.9,4,17.0,12,2.15,0.267,1,268,16,2600,6.98,0,80_AMI,3164,0,78.88
2064-03,BLDG0000000651,1,2114.82,1816.58,2,6.8,18,3.41,0.339,0,751,122,2090,2.29,0,MARKET,1545,1,50.89
2064-04,BLDG0000000652,3,1685.43,1553.03,10,4.78,12,4.18,0.274,1,581,87,597,1.73,0,30_AMI,7775,0,83.27
2064-05,BLDG0000000653,3,3676.66,3663.71,0,16.65,18,3.84,0.195,0,612,90,2418,5.23,0,120_AMI,4429,0,77.76
2064-06,BLDG0000000654,2,5074.99,4843.95,9,12.96,12,2.61,0.509,1,98,83,4093,4.5,0,50_AMI,1658,1,26.13
2064-07,BLDG0000000655,0,1243.05,990.05,3,13.35,12,3.33,0.234,0,371,46,5867,5.62,0,MARKET,5029,1,38.37
2064-08,BLDG0000000656,0,1977.39,1940.79,0,20.86,12,3.27,0.463,1,290,24,5447,0.76,0,80_AMI,2573,1,54.45
2064-09,BLDG0000000657,1,3583.28,3459.68,11,21.88,9,2.92,0.33,1,337,10,2486,4.42,0,120_AMI,1937,0,52.37
2064-10,BLDG0000000658,1,2549.04,2295.57,1,12.68,12,3.57,0.272,0,229,118,2530,6.71,0,80_AMI,5971,0,17.86
2064-11,BLDG0000000659,3,2088.22,1848.52,0,0.75,9,4.33,0.346,0,677,14,5868,2.98,1,100_AMI,2666,1,84.67
2064-12,BLDG0000000660,1,3239.26,2990.36,1,2.33,12,4.27,0.458,0,489,113,3315,5.97,0,60_AMI,2956,1,64.58
2065-01,BLDG0000000661,1,2713.36,2534.07,10,17.41,12,3.03,0.466,0,492,36,1800,8.5,0,80_AMI,7320,0,34.79
2065-02,BLDG0000000662,0,2485.86,2209.05,11,12.05,15,3.99,0.423,0,615,2,1494,4.87,0,80_AMI,5615,0,29.75
2065-03,BLDG0000000663,3,3020.24,2883.96,8,21.45,6,2.98,0.293,0,196,41,3908,3.85,1,MARKET,3263,0,77.67
2065-04,BLDG0000000664,2,3347.34,3216.71,5,16.8,12,4.09,0.311,0,501,19,761,7.95,1,60_AMI,7889,0,36.75
2065-05,BLDG0000000665,4,2863.18,2825.31,6,11.53,12,3.68,0.492,0,552,10,4445,8.48,0,MARKET,6675,1,12.85
2065-06,BLDG0000000666,2,2395.82,2058.54,7,18.17,12,3.33,0.221,0,112,85,3005,0.1,1,120_AMI,5803,0,62.13
2065-07,BLDG0000000667,1,3232.34,3167.45,6,20.78,15,3.99,0.486,0,212,105,4163,1.48,0,MARKET,4069,1,46.39
2065-08,BLDG0000000668,2,1685.95,1515.38,0,3.62,12,2.78,0.54,0,610,146,3194,6.08,0,30_AMI,983,0,49.11
2065-09,BLDG0000000669,3,1442.96,1101.91,9,5.69,12,2.93,0.317,0,799,49,4011,6.01,0,80_AMI,2695,0,79.08
2065-10,BLDG0000000670,2,3970.42,3686.49,9,8.11,12,4.15,0.547,0,83,130,5165,6.04,0,30_AMI,6918,0,61.41
2065-11,BLDG0000000671,0,3363.6,3233.92,2,16.55,24,4.05,0.202,1,525,90,3821,0.59,0,30_AMI,444,0,29.73
2065-12,BLDG0000000672,1,5069.9,4921.62,9,9.07,12,4.47,0.548,0,169,9,3938,7.78,1,120_AMI,241,0,14.23
2066-01,BLDG0000000673,0,3842.45,3776.68,9,15.52,12,2.74,0.418,0,16,96,1415,0.76,0,30_AMI,2755,1,37.51
2066-02,BLDG0000000674,2,1726.04,1440.76,12,1.58,18,2.25,0.389,0,784,90,1001,7.09,0,MARKET,4011,0,37.15
2066-03,BLDG0000000675,2,3008.81,2718.4,11,11.55,6,3.51,0.283,0,256,82,4301,5.56,1,30_AMI,7026,0,27.61
2066-04,BLDG0000000676,1,1941.95,1937.0,7,11.92,12,4.02,0.447,0,461,145,3448,6.63,0,50_AMI,3263,0,75.95
2066-05,BLDG0000000677,3,3238.95,3113.14,3,5.6,12,3.45,0.414,0,495,41,992,2.88,0,120_AMI,5822,0,33.66
2066-06,BLDG0000000678,2,1020.39,743.22,7,9.63,15,4.03,0.264,0,517,6,4223,7.54,0,120_AMI,792,0,48.81
2066-07,BLDG0000000679,1,4884.74,4580.9,6,3.31,18,2.16,0.328,1,368,69,1851,8.77,0,30_AMI,5978,0,67.51
2066-08,BLDG0000000680,2,2609.71,2292.82,12,12.04,12,3.95,0.221,1,448,77,4226,2.28,1,100_AMI,118,1,63.6
2066-09,BLDG0000000681,3,2777.57,2635.29,6,14.28,12,2.48,0.25,0,241,10,1791,4.39,1,80_AMI,7435,0,69.65
2066-10,BLDG0000000682,1,2539.74,2529.07,11,21.59,12,3.98,0.542,1,702,40,1805,6.3,0,MARKET,573,1,33.66
2066-11,BLDG0000000683,2,1492.43,1273.13,11,3.8,9,2.97,0.451,1,743,142,3745,3.07,0,MARKET,1966,1,46.54
2066-12,BLDG0000000684,2,3929.4,3588.69,7,19.55,12,2.83,0.259,0,790,12,4208,5.45,0,120_AMI,6719,0,44.7
2067-01,BLDG0000000685,2,926.83,633.28,5,18.25,15,3.78,0.35,0,208,49,824,6.26,0,60_AMI,2108,0,52.41
2067-02,BLDG0000000686,1,3077.46,3030.0,3,19.57,12,2.28,0.419,1,613,14,2417,0.62,1,100_AMI,399,0,45.82
2067-03,BLDG0000000687,3,4735.6,4392.7,0,6.52,12,4.11,0.322,1,252,65,2081,6.11,0,120_AMI,1710,0,70.79
2067-04,BLDG0000000688,2,4882.12,4576.78,5,1.75,12,3.42,0.471,1,422,0,2184,0.05,0,60_AMI,1250,1,60.88
