labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_nic,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2021-05,CompanySite,Teacher_0314,NCO_759411,SCL1956,SQL,Accounting,HR,N,9,Y,571691.01,820888.529083913,Contract,Flexible,82,88,1425,0.6986,emb_v2
2021-11,JobPortal,Project_Manager_0315,NCO_557465,SCL2719,Security,Kubernetes,GCP,Y,8,Hybrid,165512.34,1909934.63,Internship,Day,57,80,1866,0.0751,emb_v1
2024-05,GovExchange,Software_Engineer_0316,NCO_867065,SCL3519,Sales,DevOps,Accounting,N,12,Hybrid,489228.99,2348027.07,Full_time,Rotational,40,28,4655,0.2553,emb_v3
2022-12,Social,Project_Manager_0317,NCO_081894,SCL4763,Security,UIUX,HR,Y,9,N,162725.03,973643.52,Internship,Flexible,50,17,1336,0.0299,emb_v2
2020-01,CompanySite,Product_Manager_0318,NCO_644791,SCL2325,DataEntry,AWS,QA,N,12,Y,409945.63,850576.24,Contract,Rotational,85,3,1673,0.9672,emb_v3
2024-11,CompanySite,Designer_0319,NCO_440747,SCL2710,Sales,Java,PowerBI,N,8,N,483406.96,2058199.66,Apprenticeship,Day,34,53,1906,0.78,emb_v1
2023-04,RecruiterFeed,Sales_Associate_0320,NCO_212010,SCL1123,GCP,PowerBI,Tableau,Y,2,Y,142145.89,1386990.95,Full_time,Night,42,81,1625,0.1109,emb_v3
2025-09,GovExchange,Product_Manager_0321,NCO_276976,SCL6497,Python,Kubernetes,Excel,N,10,Hybrid,145162.53,1575775.44,Full_time,Rotational,57,79,4880,0.5733,emb_v3
2021-07,RecruiterFeed,Customer_Support_0322,NCO_445069,SCL8376,Prompting,Accounting,SAP,N,7,N,501302.49,1984688.52,Part_time,Flexible,96,33,97,0.9831,emb_v1
2025-02,Social,Pharmacist_0323,NCO_905836,SCL5784,React,React,Prompting,Y,3,Hybrid,513655.24,897968.13,Part_time,Flexible,84,73,1603,0.1532,emb_v1
2025-06,Social,Research_Assistant_0324,NCO_337458,SCL4093,CustomerSupport,Accounting,CustomerSupport,N,8,N,120295.34,1782794.34,Internship,Weekend,46,86,3107,0.8179,emb_v3
2022-03,CompanySite,Security_Guard_0325,NCO_520860,SCL6763,Nursing,HR,HR,N,11,Hybrid,518353.15,2153969.76,Part_time,Night,78,74,3829,0.0583,emb_v2
2019-06,CompanySite,Driver_0326,NCO_464346,SCL5568,Kubernetes,ETL,DevOps,Y,12,Hybrid,358544.62,1976420.57,Internship,Night,84,83,4725,0.4718,emb_v2
2022-01,Social,Operations_Lead_0327,NCO_822757,SCL4560,Marketing,Docker,AWS,Y,4,Y,189624.6,1268068.1,Internship,Night,11,72,4220,0.8573,emb_v1
2019-01,JobPortal,Accountant_0328,NCO_170402,SCL8102,Nursing,Security,React,Y,12,N,176466.55,1191308.89,Internship,Rotational,62,88,47,0.27,emb_v1
2020-01,JobPortal,Designer_0329,NCO_389775,SCL7142,NodeJS,Excel,React,Y,0,N,557564.57,1491151.62,Internship,Night,00,85,3689,0.5856,emb_v1
2019-08,CompanySite,Clerk_0330,NCO_127436,SCL5112,React,SQL,Azure,Y,1,Hybrid,556782.58,1578169.77,Part_time,Weekend,21,30,2328,0.4338,emb_v2
2023-12,JobPortal,HR_Generalist_0331,NCO_291159,SCL6439,SAP,SQL,ML,N,4,N,448256.03,2181696.53,Contract,Weekend,25,85,2231,0.3816,emb_v1
2020-07,Social,Nurse_0332,NCO_646041,SCL3948,PowerBI,NodeJS,React,N,1,Y,360699.0,815462.32,Part_time,Day,43,40,4651,0.1172,emb_v1
2020-09,GovExchange,Security_Guard_0333,NCO_357637,SCL5631,ETL,Tableau,AWS,N,3,Y,484295.19,629388.9704803012,Internship,Night,41,56,2176,0.0188,emb_v1
2020-10,Social,Data_Analyst_0334,NCO_205989,SCL6235,Kubernetes,Accounting,HR,N,3,Hybrid,463614.56,2364887.71,Internship,Night,06,29,3022,0.6744,emb_v2
2021-09,GovExchange,HR_Generalist_0335,NCO_995191,SCL5012,React,Excel,NodeJS,N,8,N,566468.0,815529.1204700259,Part_time,Flexible,02,4,4048,0.8494,emb_v1
2024-10,Social,Operations_Lead_0336,NCO_480707,SCL4619,Excel,Accounting,Kubernetes,N,2,Hybrid,219241.53,1325663.33,Contract,Weekend,59,16,2300,0.5401,emb_v1
2020-07,GovExchange,Designer_0337,NCO_662643,SCL2570,AWS,Python,Docker,Y,11,N,147621.86,1127840.11,Apprenticeship,Weekend,21,60,4713,0.7757,emb_v2
2020-06,JobPortal,Mechanic_0338,NCO_266222,SCL3849,CustomerSupport,Excel,Kubernetes,Y,11,N,304154.01,854901.28,Internship,Weekend,48,45,1118,0.6705,emb_v2
2025-10,RecruiterFeed,Chef_0339,NCO_292498,SCL7364,Marketing,Sales,NodeJS,N,2,Y,231468.72,382799.31,Internship,Rotational,30,51,3594,0.2107,emb_v2
2023-06,JobPortal,Teacher_0340,NCO_594037,SCL8920,NodeJS,SAP,HR,N,5,N,354287.97,1298965.81,Contract,Day,80,31,4854,0.6547,emb_v3
2025-08,GovExchange,Pharmacist_0341,NCO_174377,SCL9492,Nursing,GCP,HR,Y,10,Hybrid,391280.27,605937.15,Contract,Night,78,23,4931,0.3369,emb_v1
2023-04,GovExchange,Pharmacist_0342,NCO_919228,SCL6393,Security,NodeJS,Kubernetes,Y,4,Hybrid,220000.08,1656066.25,Contract,Day,27,58,3442,0.01,emb_v3
2024-11,RecruiterFeed,HR_Generalist_0343,NCO_078361,SCL9835,Security,QA,DevOps,N,0,Hybrid,527511.83,2321339.8,Full_time,Day,70,46,1713,0.8564,emb_v2
2019-12,Social,Electrician_0344,NCO_450178,SCL4280,Azure,ETL,React,N,5,N,501741.63,1674772.01,Full_time,Flexible,77,13,979,0.3311,emb_v3
2021-11,GovExchange,Clerk_0345,NCO_863608,SCL6465,Prompting,ETL,QA,N,1,Hybrid,463924.92,2043137.98,Part_time,Weekend,02,27,584,0.0177,emb_v2
2019-04,RecruiterFeed,Project_Manager_0346,NCO_948368,SCL1353,Java,SAP,Python,N,1,N,142212.63,382752.35,Internship,Weekend,57,83,2341,0.1146,emb_v3
2019-08,Social,HR_Generalist_0347,NCO_527535,SCL2907,Tableau,Prompting,SQL,N,4,N,123860.49,690541.61,Full_time,Flexible,74,16,2932,0.2514,emb_v2
2023-02,CompanySite,Accountant_0348,NCO_242051,SCL6245,QA,Nursing,Nursing,Y,7,Hybrid,555453.26,2369984.4,Contract,Night,76,90,324,0.7637,emb_v1
2019-03,RecruiterFeed,Electrician_0349,NCO_959976,SCL8220,QA,Azure,UIUX,Y,8,Y,318466.5,1998611.63,Part_time,Night,24,86,1448,0.2477,emb_v3
2022-06,JobPortal,Designer_0350,NCO_058628,SCL9153,ML,Prompting,Tableau,Y,0,Y,235081.21,1861870.39,Apprenticeship,Weekend,99,22,2502,0.7439,emb_v3
2019-08,CompanySite,Customer_Support_0351,NCO_633480,SCL7286,AWS,ETL,QA,Y,10,Hybrid,382277.58,2089990.25,Contract,Flexible,78,62,3338,0.8362,emb_v2
2019-04,Social,Chef_0352,NCO_267316,SCL2150,SAP,CustomerSupport,Docker,Y,1,Hybrid,232607.25,813955.78,Internship,Rotational,72,55,578,0.4258,emb_v3
2019-02,JobPortal,Project_Manager_0353,NCO_393562,SCL3612,Accounting,SQL,Java,Y,1,Y,386828.35,1716080.69,Full_time,Night,06,66,2553,0.7782,emb_v3
2023-05,RecruiterFeed,Customer_Support_0354,NCO_191317,SCL8836,Nursing,Security,React,N,3,N,166223.96,461366.7,Part_time,Weekend,23,45,512,0.3437,emb_v1
2020-01,CompanySite,Sales_Associate_0355,NCO_393560,SCL2756,SQL,DevOps,ETL,N,2,Hybrid,224711.38,1101298.62,Internship,Flexible,40,41,2862,0.1828,emb_v3
2021-08,RecruiterFeed,Driver_0356,NCO_413967,SCL2608,GCP,Nursing,Docker,N,7,Y,157422.2,786100.47,Contract,Rotational,12,89,578,0.5083,emb_v1
2019-07,GovExchange,Designer_0357,NCO_466258,SCL2858,Prompting,QA,Azure,N,6,Y,490794.71,788603.29,Part_time,Day,95,73,4971,0.3317,emb_v3
2022-09,GovExchange,Teacher_0358,NCO_597415,SCL2148,UIUX,Marketing,Docker,N,2,N,460845.9,582954.8859448506,Contract,Night,22,57,4339,0.1449,emb_v3
2025-06,CompanySite,Data_Analyst_0359,NCO_526948,SCL7892,CustomerSupport,Prompting,ETL,N,11,Y,493635.25,2339703.71,Part_time,Weekend,80,80,1223,0.273,emb_v1
2023-04,Social,Designer_0360,NCO_435476,SCL6601,Nursing,Python,SAP,Y,9,Hybrid,231770.05,2186914.16,Part_time,Rotational,47,23,1373,0.6476,emb_v3
2025-09,GovExchange,Clerk_0361,NCO_030511,SCL3183,UIUX,React,Excel,Y,1,Y,435568.14,1553309.74,Internship,Rotational,67,36,4109,0.9737,emb_v2
2020-12,CompanySite,Mechanic_0362,NCO_352560,SCL7918,DataEntry,GCP,DevOps,Y,10,Hybrid,494374.6,2387453.92,Contract,Night,72,66,223,0.7315,emb_v1
2020-04,RecruiterFeed,Research_Assistant_0363,NCO_724078,SCL6115,Docker,Kubernetes,Prompting,N,5,Hybrid,346888.46,1414611.75,Part_time,Night,34,51,3427,0.3648,emb_v3
2025-08,Social,Accountant_0364,NCO_983599,SCL9860,PowerBI,Kubernetes,Accounting,N,5,Hybrid,400827.45,1012334.36,Internship,Rotational,37,77,299,0.477,emb_v1
2024-02,RecruiterFeed,Chef_0365,NCO_484758,SCL1318,Accounting,ETL,QA,N,1,Y,279946.38,1088893.39,Internship,Night,06,5,680,0.614,emb_v3
2020-08,RecruiterFeed,Software_Engineer_0366,NCO_139888,SCL2664,Prompting,UIUX,Azure,Y,2,Hybrid,134037.44,713831.55,Full_time,Night,79,18,4292,0.914,emb_v3
2025-03,CompanySite,Project_Manager_0367,NCO_924551,SCL1498,GCP,AWS,DevOps,Y,7,Y,503216.79,563430.8994584049,Internship,Weekend,63,28,159,0.5409,emb_v1
2019-03,JobPortal,Teacher_0368,NCO_924282,SCL5369,AWS,Excel,DevOps,Y,0,Hybrid,465814.77,2117400.5,Part_time,Night,54,26,1149,0.5628,emb_v2
2025-10,Social,Electrician_0369,NCO_153274,SCL5401,CustomerSupport,HR,Kubernetes,Y,7,Y,554448.37,2277491.33,Full_time,Flexible,83,63,4276,0.9438,emb_v2
2023-02,GovExchange,Product_Manager_0370,NCO_944625,SCL5376,Excel,ETL,NodeJS,Y,10,Hybrid,485462.99,1365694.38,Internship,Day,17,13,1331,0.07,emb_v1
2019-06,Social,Product_Manager_0371,NCO_846960,SCL7478,CustomerSupport,AWS,CustomerSupport,Y,11,Y,511557.64,1483860.29,Internship,Night,57,42,722,0.5225,emb_v2
2023-06,JobPortal,Security_Guard_0372,NCO_249803,SCL8077,CustomerSupport,React,SAP,N,12,N,565251.87,1043236.39,Apprenticeship,Weekend,31,4,3839,0.3211,emb_v1
2022-03,GovExchange,Customer_Support_0373,NCO_665960,SCL6728,AWS,Azure,UIUX,N,0,Hybrid,559255.71,772714.3580602314,Part_time,Flexible,36,64,3233,0.3267,emb_v1
2024-03,CompanySite,Nurse_0374,NCO_190304,SCL2429,DataEntry,ML,CustomerSupport,N,9,N,363799.65,2283484.3,Internship,Night,43,72,2389,0.4539,emb_v2
2021-12,Social,Pharmacist_0375,NCO_952461,SCL4760,Nursing,Marketing,Nursing,N,7,Y,303917.37,1998022.15,Internship,Flexible,60,43,3085,0.0774,emb_v1
2024-12,RecruiterFeed,Accountant_0376,NCO_213030,SCL3234,Accounting,QA,Marketing,Y,8,Hybrid,566527.57,1747440.27,Contract,Day,25,33,4267,0.4637,emb_v2
2024-12,RecruiterFeed,Pharmacist_0377,NCO_339733,SCL1724,Security,ML,Java,Y,10,Y,437035.33,1763293.91,Part_time,Flexible,17,12,4506,0.572,emb_v2
2025-11,JobPortal,Security_Guard_0378,NCO_466329,SCL8783,Prompting,Nursing,DataEntry,N,0,Y,186557.37,1322114.86,Apprenticeship,Weekend,91,35,764,0.4404,emb_v1
2025-08,GovExchange,Data_Analyst_0379,NCO_931717,SCL8214,PowerBI,Tableau,AWS,Y,8,N,162817.1,1401882.16,Internship,Day,14,42,2172,0.8703,emb_v3
2019-12,JobPortal,Driver_0380,NCO_888386,SCL2348,UIUX,AWS,ETL,N,7,N,194085.96,2017176.57,Full_time,Night,32,83,2947,0.5833,emb_v3
2023-08,CompanySite,Project_Manager_0381,NCO_733963,SCL1189,Excel,Docker,QA,Y,4,Hybrid,468478.22,651391.6544612634,Internship,Flexible,39,37,1086,0.2214,emb_v2
2023-01,JobPortal,Product_Manager_0382,NCO_286571,SCL3755,Azure,UIUX,HR,Y,2,N,514661.96,681963.4992276191,Contract,Rotational,80,30,3076,0.7976,emb_v2
2022-03,RecruiterFeed,Customer_Support_0383,NCO_306360,SCL3752,Prompting,Accounting,Marketing,N,11,Hybrid,538730.85,746926.5509488108,Contract,Day,65,79,2146,0.2268,emb_v2
2023-07,GovExchange,Chef_0384,NCO_821722,SCL7498,React,UIUX,Python,N,1,Y,122695.13,1629408.51,Full_time,Night,32,49,4231,0.4407,emb_v2
2019-03,GovExchange,Project_Manager_0385,NCO_563210,SCL4472,Azure,SQL,Security,N,6,N,372477.35,2187529.76,Contract,Weekend,27,52,3287,0.6314,emb_v1
2024-10,GovExchange,Sales_Associate_0386,NCO_177175,SCL8139,DevOps,PowerBI,DevOps,Y,5,Hybrid,190740.43,507697.33,Full_time,Flexible,47,37,602,0.6898,emb_v3
2020-09,CompanySite,Chef_0387,NCO_201813,SCL9100,CustomerSupport,Docker,Python,Y,3,Hybrid,569221.06,1183634.75,Contract,Day,82,84,4301,0.3722,emb_v1
2020-10,GovExchange,Data_Analyst_0388,NCO_965980,SCL7812,React,SAP,NodeJS,Y,6,N,189199.27,567429.14,Contract,Rotational,22,44,152,0.8935,emb_v1
2022-02,GovExchange,Designer_0389,NCO_110945,SCL9410,UIUX,ETL,ETL,Y,9,N,243010.71,792458.67,Full_time,Night,09,62,1028,0.5174,emb_v3
2024-06,CompanySite,Sales_Associate_0390,NCO_821562,SCL1259,AWS,ETL,Security,Y,2,Hybrid,578889.73,763984.619515416,Full_time,Day,48,46,854,0.466,emb_v2
2021-03,CompanySite,Nurse_0391,NCO_875695,SCL3953,Excel,Nursing,React,Y,7,Y,441716.46,803974.34,Internship,Flexible,18,15,3778,0.4333,emb_v3
2021-05,GovExchange,Accountant_0392,NCO_832023,SCL2458,SAP,ETL,Prompting,N,10,Hybrid,402444.05,522364.34416381945,Apprenticeship,Weekend,61,21,2313,0.2509,emb_v3
2021-09,Social,Product_Manager_0393,NCO_217088,SCL7655,GCP,Sales,QA,N,1,N,304750.12,908186.65,Full_time,Night,28,24,4055,0.2254,emb_v3
2025-03,JobPortal,Electrician_0394,NCO_739843,SCL5842,SQL,Prompting,Excel,Y,3,Y,432080.41,1871165.23,Apprenticeship,Day,33,29,3470,0.6693,emb_v2
2025-01,RecruiterFeed,Security_Guard_0395,NCO_297056,SCL7547,Sales,QA,Prompting,N,11,Hybrid,129473.33,377533.86,Contract,Day,82,23,4922,0.0196,emb_v2
2024-09,RecruiterFeed,Research_Assistant_0396,NCO_870607,SCL7106,SAP,QA,SQL,Y,11,N,509687.42,542985.1667717013,Full_time,Weekend,85,10,670,0.0444,emb_v3
2020-04,JobPortal,Electrician_0397,NCO_329492,SCL4024,React,Kubernetes,Sales,N,0,Y,251729.04,459342.85,Internship,Weekend,63,66,1865,0.3773,emb_v3
2024-10,RecruiterFeed,Customer_Support_0398,NCO_274418,SCL8749,DevOps,Tableau,ETL,N,11,Y,347739.38,1527618.96,Contract,Night,83,49,4268,0.2339,emb_v2
2021-06,RecruiterFeed,Driver_0399,NCO_454882,SCL8723,UIUX,Prompting,Excel,N,10,Hybrid,543678.59,691602.7882598767,Part_time,Night,33,51,4891,0.5811,emb_v2
2025-11,CompanySite,Operations_Lead_0400,NCO_838036,SCL1927,React,CustomerSupport,UIUX,N,3,N,551509.27,1284937.38,Contract,Night,87,7,4754,0.0887,emb_v3
2022-12,CompanySite,Chef_0401,NCO_188299,SCL9150,CustomerSupport,DevOps,UIUX,Y,6,Y,567197.05,1613363.01,Apprenticeship,Night,52,86,2046,0.1923,emb_v2
2021-10,RecruiterFeed,Pharmacist_0402,NCO_844800,SCL9097,ML,DevOps,PowerBI,N,10,Hybrid,308384.46,1423333.39,Apprenticeship,Weekend,46,51,631,0.9596,emb_v1
2024-12,Social,Software_Engineer_0403,NCO_102947,SCL6233,Security,HR,PowerBI,Y,11,Hybrid,123439.52,1525348.93,Internship,Flexible,67,26,20,0.8327,emb_v3
2020-05,Social,Designer_0404,NCO_598066,SCL1305,DevOps,Sales,CustomerSupport,N,3,N,506929.9,1675929.04,Contract,Rotational,44,65,4209,0.2289,emb_v1
2022-10,Social,Project_Manager_0405,NCO_453717,SCL4683,UIUX,Accounting,HR,N,4,Hybrid,540995.13,1627420.95,Contract,Weekend,51,35,1955,0.7817,emb_v2
2024-02,RecruiterFeed,Research_Assistant_0406,NCO_349734,SCL5599,Tableau,Nursing,ETL,Y,4,N,166417.42,2305368.71,Apprenticeship,Weekend,07,7,1714,0.356,emb_v2
2021-12,GovExchange,Software_Engineer_0407,NCO_191820,SCL8122,UIUX,Kubernetes,Accounting,Y,2,Y,572167.93,2372385.43,Part_time,Flexible,85,31,39,0.1925,emb_v1
2025-05,RecruiterFeed,Research_Assistant_0408,NCO_389530,SCL6700,Accounting,Sales,QA,N,0,N,281199.87,682571.9,Apprenticeship,Day,52,79,2033,0.176,emb_v1
2019-11,GovExchange,Chef_0409,NCO_981147,SCL5648,SAP,Kubernetes,CustomerSupport,N,11,Y,483413.44,1047033.7,Part_time,Rotational,97,3,3132,0.8436,emb_v3
2023-03,RecruiterFeed,Electrician_0410,NCO_470034,SCL1244,Marketing,QA,UIUX,N,5,Y,161676.43,2232159.2,Internship,Rotational,55,33,3716,0.1011,emb_v1
2023-05,GovExchange,Research_Assistant_0411,NCO_419380,SCL8271,CustomerSupport,GCP,Tableau,Y,3,Y,539217.47,742011.9621270007,Internship,Night,76,63,3758,0.2889,emb_v2
2019-11,Social,Mechanic_0412,NCO_427298,SCL1074,QA,Marketing,Azure,Y,2,Hybrid,356078.26,2324826.09,Part_time,Flexible,63,18,4774,0.8658,emb_v1
2020-09,JobPortal,Electrician_0413,NCO_754911,SCL1736,Azure,Accounting,Java,N,12,Hybrid,578470.46,892636.38,Internship,Rotational,75,45,610,0.3395,emb_v2
2024-03,JobPortal,Clerk_0414,NCO_232628,SCL6956,Java,Sales,AWS,N,4,Y,309868.1,1496209.32,Apprenticeship,Rotational,66,15,235,0.237,emb_v2
2019-05,GovExchange,Customer_Support_0415,NCO_993215,SCL3463,Sales,Security,Kubernetes,N,2,Y,572957.52,2321523.79,Apprenticeship,Weekend,54,9,2927,0.5893,emb_v3
2022-08,Social,Teacher_0416,NCO_181733,SCL2757,React,DataEntry,UIUX,N,2,N,568633.7,1806072.38,Part_time,Day,93,4,4621,0.0792,emb_v1
2025-03,Social,Sales_Associate_0417,NCO_901197,SCL5741,NodeJS,Python,Security,Y,2,N,251259.29,1610930.96,Internship,Day,30,5,3534,0.3098,emb_v1
2024-12,CompanySite,Accountant_0418,NCO_392712,SCL6963,Java,Marketing,PowerBI,Y,7,N,317101.14,452072.8,Full_time,Day,28,27,1811,0.9148,emb_v3
2024-01,Social,Operations_Lead_0419,NCO_340842,SCL4296,PowerBI,NodeJS,AWS,N,11,Y,216058.04,2279950.94,Contract,Day,08,83,4326,0.398,emb_v3
2020-04,JobPortal,Project_Manager_0420,NCO_797673,SCL9945,AWS,CustomerSupport,ML,Y,1,Y,275911.41,508335.85,Full_time,Weekend,10,31,1616,0.6057,emb_v2
2019-07,Social,Security_Guard_0421,NCO_133091,SCL6241,Sales,HR,Sales,Y,5,Hybrid,440776.79,1697512.6,Contract,Weekend,22,70,1160,0.5651,emb_v1
2024-04,RecruiterFeed,HR_Generalist_0422,NCO_468751,SCL7878,Sales,Prompting,Nursing,N,0,N,388902.74,1406335.63,Full_time,Rotational,41,9,4464,0.9439,emb_v3
2025-07,CompanySite,Product_Manager_0423,NCO_336584,SCL4843,DataEntry,Python,SAP,N,5,N,260386.27,2147105.45,Internship,Day,53,3,1939,0.4609,emb_v2
2019-12,JobPortal,Accountant_0424,NCO_338815,SCL2267,Sales,Java,Prompting,Y,9,Y,394540.94,2343636.98,Internship,Weekend,60,77,389,0.9073,emb_v2
2025-01,GovExchange,HR_Generalist_0425,NCO_742451,SCL4725,Python,Excel,GCP,N,9,N,457031.87,897067.06,Contract,Day,30,63,3525,0.4922,emb_v2
2019-08,Social,Project_Manager_0426,NCO_581980,SCL1394,GCP,QA,SQL,N,4,Y,396185.78,2067210.15,Contract,Rotational,26,18,3593,0.3861,emb_v2
2020-07,GovExchange,Customer_Support_0427,NCO_177819,SCL5766,ML,ETL,Java,N,8,N,258078.8,2362126.55,Internship,Day,67,15,2650,0.3069,emb_v2
2025-11,JobPortal,Nurse_0428,NCO_277772,SCL9400,PowerBI,React,Excel,N,11,Hybrid,180872.11,998352.63,Apprenticeship,Day,46,83,2986,0.3789,emb_v2
2025-08,JobPortal,Driver_0429,NCO_039465,SCL5181,Python,Nursing,CustomerSupport,Y,1,Y,122063.93,1863687.78,Apprenticeship,Night,38,63,2074,0.6822,emb_v2
2022-09,Social,Operations_Lead_0430,NCO_228470,SCL3996,GCP,Tableau,React,Y,6,Hybrid,230970.6,1829978.35,Contract,Night,56,54,2869,0.974,emb_v3
2022-11,Social,Nurse_0431,NCO_714036,SCL5664,UIUX,SQL,AWS,Y,7,N,543270.53,1245989.37,Apprenticeship,Night,79,55,2602,0.3907,emb_v2
2019-09,CompanySite,Chef_0432,NCO_919380,SCL2314,PowerBI,QA,Sales,Y,4,Y,417175.44,2053504.73,Part_time,Flexible,00,83,2468,0.1613,emb_v3
2025-08,JobPortal,Customer_Support_0433,NCO_573033,SCL8722,Prompting,NodeJS,SAP,N,2,Hybrid,363115.36,983780.2,Apprenticeship,Flexible,38,17,2081,0.7211,emb_v3
2023-04,CompanySite,Accountant_0434,NCO_782399,SCL7115,SAP,Excel,Nursing,N,10,Y,512196.19,1015040.13,Apprenticeship,Day,59,24,2427,0.3428,emb_v2
2023-03,GovExchange,Mechanic_0435,NCO_388279,SCL6821,Accounting,Java,QA,N,6,Hybrid,181378.56,581138.0,Full_time,Rotational,54,56,1793,0.6078,emb_v1
2025-10,RecruiterFeed,Operations_Lead_0436,NCO_283570,SCL5656,Tableau,CustomerSupport,SQL,Y,6,Hybrid,436938.15,1718175.35,Apprenticeship,Weekend,48,5,2929,0.4456,emb_v3
2024-12,JobPortal,Nurse_0437,NCO_231924,SCL9953,ETL,React,React,Y,2,Y,349976.33,1417497.78,Full_time,Day,38,87,3018,0.9029,emb_v1
2020-10,JobPortal,Product_Manager_0438,NCO_955870,SCL4618,Docker,Excel,SAP,Y,5,N,137408.26,1038877.2,Full_time,Rotational,26,31,3157,0.7022,emb_v3
2023-07,JobPortal,Chef_0439,NCO_446102,SCL2174,Prompting,UIUX,Excel,Y,5,Y,334890.91,1056785.75,Internship,Night,57,26,1152,0.2469,emb_v1
2025-10,JobPortal,Research_Assistant_0440,NCO_273021,SCL1321,GCP,SAP,Nursing,N,11,Y,263769.52,2132135.69,Part_time,Flexible,19,53,784,0.2497,emb_v3
2020-11,RecruiterFeed,Designer_0441,NCO_163853,SCL5268,Prompting,DevOps,DataEntry,Y,10,N,341214.7,496898.96,Contract,Day,13,64,2743,0.2281,emb_v2
2021-01,CompanySite,Nurse_0442,NCO_033369,SCL5108,React,React,Tableau,Y,0,N,583652.75,1955217.94,Part_time,Rotational,53,69,695,0.6893,emb_v3
2021-02,CompanySite,Driver_0443,NCO_194490,SCL9754,CustomerSupport,PowerBI,DataEntry,N,1,N,138663.34,1242400.45,Apprenticeship,Day,36,9,3684,0.1472,emb_v3
2025-08,RecruiterFeed,Mechanic_0444,NCO_288201,SCL8950,NodeJS,DataEntry,Prompting,Y,10,Hybrid,147414.08,864344.42,Contract,Flexible,14,75,168,0.8751,emb_v2
2024-07,CompanySite,Designer_0445,NCO_184950,SCL5879,React,NodeJS,ML,N,0,Hybrid,322606.29,1048169.98,Contract,Weekend,41,24,2177,0.8862,emb_v2
2022-11,CompanySite,Designer_0446,NCO_316626,SCL1564,Marketing,GCP,Sales,N,1,N,356064.54,565502.5794603458,Contract,Weekend,77,30,4946,0.5493,emb_v3
2022-08,GovExchange,Customer_Support_0447,NCO_620787,SCL1142,DevOps,SQL,QA,N,8,Hybrid,525819.39,1765024.58,Part_time,Night,21,44,3163,0.7962,emb_v2
2022-04,CompanySite,Chef_0448,NCO_127378,SCL3625,Prompting,React,NodeJS,N,12,Y,534871.18,667740.96,Part_time,Weekend,33,25,1503,0.6975,emb_v1
2025-06,Social,Nurse_0449,NCO_230218,SCL2752,NodeJS,SQL,SAP,N,9,Y,554559.45,2262028.0,Internship,Day,48,63,4698,0.0704,emb_v2
2020-05,Social,Operations_Lead_0450,NCO_965538,SCL3719,Security,DevOps,Marketing,Y,11,N,165427.7,2074078.36,Internship,Night,44,8,4477,0.3962,emb_v1
2020-01,Social,Data_Analyst_0451,NCO_374530,SCL9687,Prompting,Security,Sales,N,2,N,157267.8,1186485.55,Part_time,Rotational,82,78,2668,0.9352,emb_v1
2024-05,Social,Security_Guard_0452,NCO_182696,SCL3189,ETL,DevOps,Java,N,6,N,495203.79,574116.1969668164,Contract,Rotational,78,45,1868,0.8184,emb_v3
2020-07,CompanySite,Teacher_0453,NCO_259267,SCL4521,Kubernetes,UIUX,SQL,N,0,Y,478322.26,2176378.0,Internship,Rotational,29,61,656,0.4753,emb_v3
2021-05,Social,Sales_Associate_0454,NCO_593029,SCL1751,ML,Nursing,PowerBI,Y,2,Y,446594.35,1465096.97,Full_time,Weekend,15,53,4691,0.2333,emb_v2
2024-05,CompanySite,Product_Manager_0455,NCO_919504,SCL6897,UIUX,PowerBI,ML,Y,4,Hybrid,570748.48,1406948.65,Internship,Weekend,35,38,4634,0.4448,emb_v1
2019-01,JobPortal,Pharmacist_0456,NCO_716073,SCL4702,Tableau,Accounting,Python,N,2,Y,437095.16,493116.9614975747,Part_time,Day,87,10,3347,0.2637,emb_v1
2025-09,CompanySite,Driver_0457,NCO_371917,SCL8365,Prompting,NodeJS,AWS,Y,1,N,502272.67,1111512.41,Apprenticeship,Flexible,76,88,2157,0.4135,emb_v3
2025-11,Social,Pharmacist_0458,NCO_563697,SCL8519,Python,CustomerSupport,CustomerSupport,Y,6,N,228431.95,1507252.12,Apprenticeship,Flexible,43,68,2943,0.1452,emb_v2
2025-10,GovExchange,Electrician_0459,NCO_808661,SCL8488,SQL,PowerBI,AWS,N,11,Hybrid,218437.27,1278581.79,Internship,Flexible,37,9,2133,0.4556,emb_v2
2020-02,Social,Customer_Support_0460,NCO_527185,SCL1381,ML,CustomerSupport,Azure,N,2,Y,448509.31,1270253.48,Part_time,Rotational,77,29,790,0.4586,emb_v1
2023-05,GovExchange,Data_Analyst_0461,NCO_446317,SCL4659,Docker,Accounting,Accounting,Y,7,N,378834.63,1591955.99,Full_time,Flexible,44,54,1506,0.9682,emb_v3
