edu_vet_reference_year,edu_vet_country_iso2,edu_vet_region_nuts_code,edu_vet_programme_code,edu_vet_field_of_education_code,edu_vet_participants_count,edu_vet_apprenticeships_count,edu_vet_employer_partners_count,edu_vet_completion_rate_pct,edu_vet_job_placement_rate_pct,edu_vet_wage_premium_pct,edu_vet_dual_system_flag,edu_vet_microcredentials_flag,edu_vet_recognition_framework_code,edu_vet_funding_amount_eur,edu_vet_esf_plus_support_flag,edu_vet_quality_assurance_flag,edu_vet_data_source,edu_vet_last_update_date,edu_vet_data_extract_date
2025,RO,HR87,VET_RO_3951,10_SERVICES,85420,71014,5720,71.37,48.64,18.14,0,0,NONE,2464958595.93,0,1,ESF_PLUS_MONITORING,2020-08-07,2025-06-14
2006,BG,IT144,VET_BG_3960,01_EDUCATION,9353,4947,2442,72.06,76.97,17.56,0,0,EQF_LINKED,223571129.75,0,1,CEDEFOP_EXPORT,2020-09-05,2024-08-28
2007,FR,GR4,VET_FR_3969,02_ARTS,75691,27252,6757,66.81,67.5,16.37,0,1,NQF_ONLY,1351917402.73,0,1,NATIONAL_VET_AGENCY,2020-10-04,2025-05-04
2008,LT,HU85,VET_LT_3978,03_HUMANITIES,78020,55509,1483,88.58,69.75,2.78,0,0,SECTORAL,671638081.36,0,1,PROVIDER_ADMIN_DATA,2020-11-02,2024-04-07
2009,SK,AT355,VET_SK_3987,04_BUSINESS,49831,18476,4424,58.75,78.52,0.62,1,0,NONE,95843007.92,0,1,ESF_PLUS_MONITORING,2020-12-01,2026-02-02
2010,HR,DK157,VET_HR_3996,05_SCIENCE,31206,11234,745,61.46,74.01,6.22,0,0,EQF_LINKED,1820557288.26,0,1,CEDEFOP_EXPORT,2020-12-30,2025-01-31
2011,DE,DK887,VET_DE_4005,06_ICT,113153,58387,5402,77.35,95.07,23.53,1,0,NQF_ONLY,1652494981.91,0,0,NATIONAL_VET_AGENCY,2021-01-28,2025-04-28
2012,LU,IE6,VET_LU_4014,07_ENGINEERING,93538,31268,1480,76.78,80.65,11.26,0,0,SECTORAL,1327891885.98,0,1,PROVIDER_ADMIN_DATA,2021-02-26,2026-02-19
2013,SI,IT963,VET_SI_4023,08_AGRI,94217,36159,9055,63.32,81.76,1.02,1,0,NONE,363545165.74,0,0,ESF_PLUS_MONITORING,2021-03-27,2024-08-15
2014,CY,BG867,VET_CY_4032,09_HEALTH,49345,24159,8554,83.73,56.88,22.76,0,0,EQF_LINKED,612075533.35,0,1,CEDEFOP_EXPORT,2021-04-25,2025-02-17
2015,GR,LT70,VET_GR_4041,10_SERVICES,67124,39308,9352,59.99,82.11,9.3,1,0,NQF_ONLY,1725433954.88,0,1,NATIONAL_VET_AGENCY,2021-05-24,2024-09-20
2016,MT,FI828,VET_MT_4050,01_EDUCATION,42023,25106,621,54.66,71.78,4.96,0,1,SECTORAL,1646685147.2,0,1,PROVIDER_ADMIN_DATA,2021-06-22,2024-09-04
2017,ES,DK868,VET_ES_4059,02_ARTS,39690,17448,4048,79.08,68.72,17.75,0,0,NONE,1715626282.74,0,1,ESF_PLUS_MONITORING,2021-07-21,2025-01-24
2018,CZ,PL602,VET_CZ_4068,03_HUMANITIES,3041,1212,5179,91.19,59.85,11.69,1,0,EQF_LINKED,516564007.63,0,1,CEDEFOP_EXPORT,2021-08-19,2025-07-21
2019,HU,MT673,VET_HU_4077,04_BUSINESS,2192,1200,5186,81.36,73.61,15.02,0,0,NQF_ONLY,1211340213.55,0,1,NATIONAL_VET_AGENCY,2021-09-17,2026-02-03
2020,NL,HR38,VET_NL_4086,05_SCIENCE,85188,23175,9005,73.37,57.2,16.41,1,0,SECTORAL,734747716.5,0,0,PROVIDER_ADMIN_DATA,2021-10-16,2025-07-06
2021,SE,SI17,VET_SE_4095,06_ICT,36371,27929,6774,83.77,88.81,21.96,0,0,NONE,2769823162.53,1,1,ESF_PLUS_MONITORING,2021-11-14,2025-04-03
2022,DK,RO98,VET_DK_4104,07_ENGINEERING,46044,26523,1173,88.79,94.81,16.03,1,0,EQF_LINKED,2982574277.24,1,1,CEDEFOP_EXPORT,2021-12-13,2026-02-25
2023,IE,FI32,VET_IE_4113,08_AGRI,37438,22561,4302,71.27,56.46,13.52,0,0,NQF_ONLY,1339199417.0,0,1,NATIONAL_VET_AGENCY,2022-01-11,2025-08-05
2024,PL,AT5,VET_PL_4122,09_HEALTH,52249,36880,6188,82.45,49.99,24.14,0,1,SECTORAL,891263552.63,0,1,PROVIDER_ADMIN_DATA,2022-02-09,2025-01-17
2025,AT,IE728,VET_AT_4131,10_SERVICES,133300,103932,8825,61.42,65.63,9.07,1,0,NONE,521420262.31,0,1,ESF_PLUS_MONITORING,2022-03-10,2024-09-02
2006,EE,CZ4,VET_EE_4140,01_EDUCATION,48676,24842,9210,86.42,74.79,6.87,0,0,EQF_LINKED,392868214.69,0,1,CEDEFOP_EXPORT,2022-04-08,2024-09-16
2007,IT,BE1,VET_IT_4149,02_ARTS,11301,7401,4568,73.42,59.93,5.04,0,0,NQF_ONLY,1260218084.39,0,1,NATIONAL_VET_AGENCY,2022-05-07,2024-04-14
2008,PT,IE874,VET_PT_4158,03_HUMANITIES,94522,60867,5516,93.23,90.8,15.07,0,0,SECTORAL,611181618.23,0,1,PROVIDER_ADMIN_DATA,2022-06-05,2025-06-04
2009,BE,GR49,VET_BE_4167,04_BUSINESS,16889,11871,4325,92.02,56.37,14.61,0,0,NONE,1717609970.19,0,1,ESF_PLUS_MONITORING,2022-07-04,2024-11-21
2010,FI,HR925,VET_FI_4176,05_SCIENCE,4039,1608,1747,57.99,67.72,5.07,0,0,EQF_LINKED,768914611.19,0,1,CEDEFOP_EXPORT,2022-08-02,2025-03-05
2011,LV,CZ857,VET_LV_4185,06_ICT,19395,10079,2485,89.89,84.15,15.91,0,0,NQF_ONLY,1571304466.34,0,0,NATIONAL_VET_AGENCY,2022-08-31,2026-02-10
2012,RO,DK54,VET_RO_4194,07_ENGINEERING,32871,24455,66,65.25,70.08,2.21,0,0,SECTORAL,1992873098.75,0,1,PROVIDER_ADMIN_DATA,2022-09-29,2024-05-14
2013,BG,HU152,VET_BG_4203,08_AGRI,58258,30486,7021,87.24,89.83,2.3,0,0,NONE,2216728924.14,0,1,ESF_PLUS_MONITORING,2022-10-28,2025-02-07
2014,FR,LV62,VET_FR_4212,09_HEALTH,14132,8798,1786,74.57,64.65,24.21,0,1,EQF_LINKED,925130848.95,0,0,CEDEFOP_EXPORT,2022-11-26,2025-08-01
2015,LT,BG89,VET_LT_4221,10_SERVICES,69082,23404,5470,70.36,72.91,17.33,0,0,NQF_ONLY,2046570460.8,0,0,NATIONAL_VET_AGENCY,2022-12-25,2024-09-01
2016,SK,HU2,VET_SK_4230,01_EDUCATION,65153,13221,2796,72.02,71.26,11.8,0,0,SECTORAL,18583517.95,0,1,PROVIDER_ADMIN_DATA,2023-01-23,2025-05-02
2017,HR,DK777,VET_HR_4239,02_ARTS,33846,19992,2378,90.85,79.63,2.94,0,0,NONE,1625560821.77,0,1,ESF_PLUS_MONITORING,2023-02-21,2025-03-31
2018,DE,MT771,VET_DE_4248,03_HUMANITIES,57789,30778,9081,64.58,60.52,3.87,1,0,EQF_LINKED,1644642524.98,0,0,CEDEFOP_EXPORT,2023-03-22,2024-04-11
2019,LU,DK1,VET_LU_4257,04_BUSINESS,42,17,205,77.12,82.98,13.23,0,0,NQF_ONLY,1132347161.23,0,1,NATIONAL_VET_AGENCY,2023-04-20,2026-02-11
2020,SI,LU28,VET_SI_4266,05_SCIENCE,96934,43369,2766,65.98,61.66,2.76,0,0,SECTORAL,2036591547.18,0,1,PROVIDER_ADMIN_DATA,2023-05-19,2025-02-18
2021,CY,DE528,VET_CY_4275,06_ICT,19392,14656,3349,85.82,52.47,18.91,0,1,NONE,1522116778.98,1,1,ESF_PLUS_MONITORING,2023-06-17,2024-05-27
2022,GR,HR438,VET_GR_4284,07_ENGINEERING,13259,8245,5675,68.82,79.91,11.48,0,1,EQF_LINKED,1281460730.04,1,0,CEDEFOP_EXPORT,2023-07-16,2024-04-06
2023,MT,SI53,VET_MT_4293,08_AGRI,49511,18077,6077,94.04,80.09,2.29,0,0,NQF_ONLY,1238255890.79,1,0,NATIONAL_VET_AGENCY,2023-08-14,2025-05-04
2024,ES,SK393,VET_ES_4302,09_HEALTH,25831,10984,2964,84.34,83.46,4.75,0,0,SECTORAL,1760036259.39,1,1,PROVIDER_ADMIN_DATA,2023-09-12,2025-03-22
2025,CZ,LT356,VET_CZ_4311,10_SERVICES,28714,24236,3600,61.82,70.88,16.61,1,0,NONE,3266422600.49,1,1,ESF_PLUS_MONITORING,2023-10-11,2024-07-28
2006,HU,EE96,VET_HU_4320,01_EDUCATION,98802,20556,479,55.54,80.92,14.09,0,0,EQF_LINKED,2075055066.55,0,1,CEDEFOP_EXPORT,2023-11-09,2026-02-25
2007,NL,DE833,VET_NL_4329,02_ARTS,10285,2699,2063,77.59,64.33,13.61,0,0,NQF_ONLY,220170428.59,0,1,NATIONAL_VET_AGENCY,2023-12-08,2024-03-08
2008,SE,RO95,VET_SE_4338,03_HUMANITIES,65676,46248,2051,63.59,78.25,18.88,0,0,SECTORAL,624403675.4,0,1,PROVIDER_ADMIN_DATA,2024-01-06,2025-11-22
2009,DK,LV149,VET_DK_4347,04_BUSINESS,67522,47900,7041,83.7,67.3,15.87,0,0,NONE,2187218762.0,0,1,ESF_PLUS_MONITORING,2024-02-04,2026-02-05
2010,IE,SI8,VET_IE_4356,05_SCIENCE,5373,2435,4985,79.32,64.53,1.89,0,0,EQF_LINKED,1428184146.28,0,1,CEDEFOP_EXPORT,2024-03-04,2025-12-17
2011,PL,FR714,VET_PL_4365,06_ICT,19718,8775,611,65.57,44.01,20.7,0,0,NQF_ONLY,1628467885.03,0,0,NATIONAL_VET_AGENCY,2024-04-02,2025-01-29
2012,AT,SK367,VET_AT_4374,07_ENGINEERING,95461,37777,4134,64.23,46.93,16.76,1,0,SECTORAL,1287248967.64,0,1,PROVIDER_ADMIN_DATA,2024-05-01,2025-06-25
2013,EE,BG5,VET_EE_4383,08_AGRI,19217,10846,4911,71.79,63.8,0.56,0,0,NONE,328867257.15,0,0,ESF_PLUS_MONITORING,2024-05-30,2025-07-09
2014,IT,LU87,VET_IT_4392,09_HEALTH,81773,28105,843,75.71,52.8,4.26,0,0,EQF_LINKED,21606504.43,0,1,CEDEFOP_EXPORT,2024-06-28,2025-07-13
2015,PT,MT374,VET_PT_4401,10_SERVICES,98951,59400,1030,60.42,55.36,4.84,0,0,NQF_ONLY,993198031.42,0,1,NATIONAL_VET_AGENCY,2024-07-27,2025-07-10
2016,BE,LV1,VET_BE_4410,01_EDUCATION,89235,53638,732,54.52,65.74,3.84,0,0,SECTORAL,1656575197.62,0,0,PROVIDER_ADMIN_DATA,2024-08-25,2025-01-11
2017,FI,MT725,VET_FI_4419,02_ARTS,15014,5990,2204,63.25,66.16,10.62,0,0,NONE,179562378.77,0,1,ESF_PLUS_MONITORING,2024-09-23,2025-07-03
2018,LV,LT2,VET_LV_4428,03_HUMANITIES,68437,10224,2935,77.18,94.6,10.99,0,0,EQF_LINKED,774239132.68,0,1,CEDEFOP_EXPORT,2024-10-22,2025-10-20
2019,RO,ES63,VET_RO_4437,04_BUSINESS,49810,13465,7069,81.27,82.42,15.1,0,0,NQF_ONLY,828962753.72,0,1,NATIONAL_VET_AGENCY,2024-11-20,2025-07-04
2020,BG,ES34,VET_BG_4446,05_SCIENCE,10018,4269,1602,60.67,69.19,11.4,0,0,SECTORAL,481311146.66,0,1,PROVIDER_ADMIN_DATA,2024-12-19,2024-05-09
2021,FR,FR43,VET_FR_4455,06_ICT,29450,16278,878,79.93,92.48,2.96,0,0,NONE,2575826526.19,1,1,ESF_PLUS_MONITORING,2025-01-17,2026-02-08
2022,LT,EE472,VET_LT_4464,07_ENGINEERING,23173,9446,2608,91.7,76.61,24.15,0,0,EQF_LINKED,376516936.21,0,0,CEDEFOP_EXPORT,2025-02-15,2024-01-04
2023,SK,ES85,VET_SK_4473,08_AGRI,101935,37113,5938,65.33,82.39,8.26,0,1,NQF_ONLY,1298243757.61,1,1,NATIONAL_VET_AGENCY,2025-03-16,2024-04-18
2024,HR,NL54,VET_HR_4482,09_HEALTH,52643,25834,5689,79.21,87.33,12.36,0,1,SECTORAL,1422100282.89,0,1,PROVIDER_ADMIN_DATA,2025-04-14,2026-02-17
2025,DE,FR6,VET_DE_4491,10_SERVICES,35160,10227,5723,92.33,95.58,13.21,1,1,NONE,729433761.84,1,1,ESF_PLUS_MONITORING,2025-05-13,2025-04-24
2006,LU,GR39,VET_LU_4500,01_EDUCATION,11448,6751,6052,78.52,96.76,1.41,0,0,EQF_LINKED,342054806.89,0,1,CEDEFOP_EXPORT,2025-06-11,2025-03-29
2007,SI,PL43,VET_SI_4509,02_ARTS,43211,28133,6092,81.64,95.63,16.73,1,0,NQF_ONLY,1019703547.78,0,1,NATIONAL_VET_AGENCY,2025-07-10,2024-11-28
2008,CY,LU3,VET_CY_4518,03_HUMANITIES,70731,34768,7137,63.98,47.88,14.38,0,1,SECTORAL,652767781.45,0,1,PROVIDER_ADMIN_DATA,2025-08-08,2025-10-11
2009,GR,CY21,VET_GR_4527,04_BUSINESS,31999,19500,1687,58.4,55.46,11.05,0,0,NONE,2222563826.93,0,0,ESF_PLUS_MONITORING,2025-09-06,2025-06-11
2010,MT,IT910,VET_MT_4536,05_SCIENCE,86723,45949,725,68.6,53.03,5.96,0,0,EQF_LINKED,845366485.27,0,0,CEDEFOP_EXPORT,2025-10-05,2024-07-11
2011,ES,GR87,VET_ES_4545,06_ICT,85386,48992,4468,67.15,48.83,24.12,0,0,NQF_ONLY,1586107664.93,0,0,NATIONAL_VET_AGENCY,2025-11-03,2025-08-29
2012,CZ,FR444,VET_CZ_4554,07_ENGINEERING,96719,58204,7795,95.64,62.0,2.37,1,1,SECTORAL,1275657963.32,0,1,PROVIDER_ADMIN_DATA,2025-12-02,2024-07-23
2013,HU,BG985,VET_HU_4563,08_AGRI,17901,10310,7482,77.62,85.24,8.99,0,0,NONE,1431373545.08,0,0,ESF_PLUS_MONITORING,2025-12-31,2024-07-25
2014,NL,DE651,VET_NL_4572,09_HEALTH,2508,1676,4556,89.36,59.09,14.15,1,0,EQF_LINKED,1510066370.81,0,0,CEDEFOP_EXPORT,2026-01-29,2024-03-17
2015,SE,HR288,VET_SE_4581,10_SERVICES,46129,18631,4856,93.91,82.93,7.02,0,0,NQF_ONLY,352159287.45,0,1,NATIONAL_VET_AGENCY,2010-01-02,2025-10-05
2016,DK,IE84,VET_DK_4590,01_EDUCATION,8594,3974,2536,74.89,57.06,7.5,1,0,SECTORAL,122624798.54,0,1,PROVIDER_ADMIN_DATA,2010-01-31,2024-06-23
2017,IE,LU2,VET_IE_4599,02_ARTS,81929,14085,8470,89.09,88.89,19.47,0,0,NONE,659090064.23,0,1,ESF_PLUS_MONITORING,2010-03-01,2024-01-22
2018,PL,BE8,VET_PL_4608,03_HUMANITIES,96100,19622,1640,92.9,88.33,1.73,0,0,EQF_LINKED,1639761090.97,0,1,CEDEFOP_EXPORT,2010-03-30,2024-03-24
2019,AT,IE647,VET_AT_4617,04_BUSINESS,74424,44234,8470,94.43,72.45,4.02,0,0,NQF_ONLY,1450355562.67,0,1,NATIONAL_VET_AGENCY,2010-04-28,2024-10-15
2020,EE,PL22,VET_EE_4626,05_SCIENCE,29156,16662,9179,78.53,75.73,16.06,0,1,SECTORAL,1499823696.25,0,1,PROVIDER_ADMIN_DATA,2010-05-27,2025-04-02
2021,IT,IT8,VET_IT_4635,06_ICT,12248,8310,6010,62.51,69.3,11.07,0,0,NONE,2277941068.86,1,1,ESF_PLUS_MONITORING,2010-06-25,2025-04-01
2022,PT,HR47,VET_PT_4644,07_ENGINEERING,100936,36644,7887,62.45,81.16,17.27,0,0,EQF_LINKED,2014830692.82,1,0,CEDEFOP_EXPORT,2010-07-24,2024-08-18
2023,BE,FI2,VET_BE_4653,08_AGRI,36430,16006,2292,61.84,80.25,13.82,0,0,NQF_ONLY,1576785953.83,0,0,NATIONAL_VET_AGENCY,2010-08-22,2024-01-20
2024,FI,LT380,VET_FI_4662,09_HEALTH,89901,54314,4990,74.77,69.23,0.56,0,1,SECTORAL,572160262.29,1,1,PROVIDER_ADMIN_DATA,2010-09-20,2025-08-02
2025,LV,LU4,VET_LV_4671,10_SERVICES,61525,16843,3631,75.19,65.26,9.47,0,0,NONE,279432511.53,1,1,ESF_PLUS_MONITORING,2010-10-19,2024-05-05
2006,RO,PL945,VET_RO_4680,01_EDUCATION,22373,6158,3042,74.19,62.29,19.69,0,0,EQF_LINKED,16339713.31,0,1,CEDEFOP_EXPORT,2010-11-17,2024-10-15
2007,BG,FR913,VET_BG_4689,02_ARTS,82697,50956,3023,58.7,55.6,0.16,0,0,NQF_ONLY,44456006.77,0,0,NATIONAL_VET_AGENCY,2010-12-16,2025-10-05
2008,FR,SI38,VET_FR_4698,03_HUMANITIES,66211,34853,7449,76.38,75.0,7.17,0,0,SECTORAL,2131320758.9,0,1,PROVIDER_ADMIN_DATA,2011-01-14,2025-02-17
2009,LT,SI34,VET_LT_4707,04_BUSINESS,36335,25838,8585,87.33,55.61,12.37,0,0,NONE,1677602748.23,0,1,ESF_PLUS_MONITORING,2011-02-12,2026-01-23
2010,SK,FR746,VET_SK_4716,05_SCIENCE,61054,17000,3835,93.31,58.01,17.9,1,0,EQF_LINKED,865549772.86,0,1,CEDEFOP_EXPORT,2011-03-13,2024-06-18
2011,HR,BG49,VET_HR_4725,06_ICT,60838,22782,4450,58.4,48.49,3.24,0,0,NQF_ONLY,1185208899.26,0,1,NATIONAL_VET_AGENCY,2011-04-11,2025-12-15
2012,DE,FR4,VET_DE_4734,07_ENGINEERING,41013,29369,561,82.65,51.26,3.4,1,0,SECTORAL,240726250.73,0,1,PROVIDER_ADMIN_DATA,2011-05-10,2025-10-08
2013,LU,DK82,VET_LU_4743,08_AGRI,86985,24536,4970,76.09,85.87,10.78,0,0,NONE,1060072002.6,0,1,ESF_PLUS_MONITORING,2011-06-08,2025-12-20
2014,SI,IT9,VET_SI_4752,09_HEALTH,73776,30992,655,56.04,73.74,12.31,0,0,EQF_LINKED,1883403820.03,0,1,CEDEFOP_EXPORT,2011-07-07,2025-09-10
2015,CY,FR967,VET_CY_4761,10_SERVICES,90507,55594,5615,83.15,55.03,7.87,0,0,NQF_ONLY,474915522.11,0,1,NATIONAL_VET_AGENCY,2011-08-05,2024-11-01
2016,GR,IE281,VET_GR_4770,01_EDUCATION,96151,28130,6838,75.38,60.7,18.63,0,0,SECTORAL,704404556.84,0,1,PROVIDER_ADMIN_DATA,2011-09-03,2025-07-12
2017,MT,CY845,VET_MT_4779,02_ARTS,71417,10897,8903,62.2,50.74,1.97,0,0,NONE,604955959.92,0,1,ESF_PLUS_MONITORING,2011-10-02,2024-09-14
2018,ES,ES666,VET_ES_4788,03_HUMANITIES,38555,19994,6758,92.9,77.63,5.15,1,0,EQF_LINKED,1133692455.69,0,1,CEDEFOP_EXPORT,2011-10-31,2025-09-11
2019,CZ,LV5,VET_CZ_4797,04_BUSINESS,64650,22677,1673,85.09,81.54,10.77,1,0,NQF_ONLY,594916657.74,0,1,NATIONAL_VET_AGENCY,2011-11-29,2025-06-13
2020,HU,EE75,VET_HU_4806,05_SCIENCE,67259,21813,6687,68.07,53.46,6.99,0,1,SECTORAL,1317551547.35,0,1,PROVIDER_ADMIN_DATA,2011-12-28,2024-06-15
2021,NL,DK66,VET_NL_4815,06_ICT,1542,675,558,69.06,61.17,7.35,1,0,NONE,1222548964.66,1,0,ESF_PLUS_MONITORING,2012-01-26,2025-03-18
2022,SE,PT8,VET_SE_4824,07_ENGINEERING,72290,38369,4166,78.34,95.63,24.57,0,0,EQF_LINKED,1996545656.3,0,1,CEDEFOP_EXPORT,2012-02-24,2024-11-04
2023,DK,SE642,VET_DK_4833,08_AGRI,64709,40400,3763,91.18,94.22,19.64,0,0,NQF_ONLY,969832643.81,0,1,NATIONAL_VET_AGENCY,2012-03-24,2024-08-01
2024,IE,CZ653,VET_IE_4842,09_HEALTH,101952,54394,7554,80.48,89.12,11.65,0,0,SECTORAL,2172294476.13,0,1,PROVIDER_ADMIN_DATA,2012-04-22,2025-05-21
2025,PL,HR99,VET_PL_4851,10_SERVICES,34397,9713,4864,67.91,77.81,18.41,0,0,NONE,2236153530.13,0,1,ESF_PLUS_MONITORING,2012-05-21,2024-05-21
2006,AT,GR935,VET_AT_4860,01_EDUCATION,33337,17573,6626,79.34,83.9,0.5,1,0,EQF_LINKED,1376289909.7,0,1,CEDEFOP_EXPORT,2012-06-19,2024-01-04
2007,EE,CZ90,VET_EE_4869,02_ARTS,8319,4028,327,77.01,97.58,16.25,0,0,NQF_ONLY,104385771.62,0,1,NATIONAL_VET_AGENCY,2012-07-18,2024-03-07
2008,IT,RO325,VET_IT_4878,03_HUMANITIES,43775,10454,4181,83.31,66.13,5.8,0,0,SECTORAL,1252275686.0,0,1,PROVIDER_ADMIN_DATA,2012-08-16,2024-10-28
2009,PT,RO431,VET_PT_4887,04_BUSINESS,71145,40168,7232,79.92,79.33,2.98,0,0,NONE,2018229550.92,0,1,ESF_PLUS_MONITORING,2012-09-14,2024-08-26
2010,BE,SE136,VET_BE_4896,05_SCIENCE,75669,53386,3103,67.49,82.12,2.53,0,0,EQF_LINKED,1515284137.79,0,1,CEDEFOP_EXPORT,2012-10-13,2024-03-18
2011,FI,CY261,VET_FI_4905,06_ICT,38579,22557,7825,66.06,81.81,6.75,0,0,NQF_ONLY,508798767.3,0,1,NATIONAL_VET_AGENCY,2012-11-11,2025-03-21
2012,LV,PT82,VET_LV_4914,07_ENGINEERING,67826,33708,4163,67.14,72.55,11.78,0,0,SECTORAL,362912354.37,0,0,PROVIDER_ADMIN_DATA,2012-12-10,2024-06-03
2013,RO,IT64,VET_RO_4923,08_AGRI,30229,12566,5714,88.31,92.93,4.14,0,0,NONE,1460700900.69,0,0,ESF_PLUS_MONITORING,2013-01-08,2024-09-02
2014,BG,AT789,VET_BG_4932,09_HEALTH,90036,31242,4268,95.94,81.85,21.34,0,0,EQF_LINKED,887982482.59,0,1,CEDEFOP_EXPORT,2013-02-06,2024-06-09
2015,FR,GR74,VET_FR_4941,10_SERVICES,13847,11829,3244,62.79,65.61,19.21,0,1,NQF_ONLY,1060416754.31,0,1,NATIONAL_VET_AGENCY,2013-03-07,2024-02-26
2016,LT,IE120,VET_LT_4950,01_EDUCATION,31115,14913,2453,80.0,86.07,13.65,0,0,SECTORAL,805843912.24,0,1,PROVIDER_ADMIN_DATA,2013-04-05,2026-01-21
2017,SK,ES32,VET_SK_4959,02_ARTS,68680,36032,4909,79.76,88.95,10.53,1,0,NONE,2126818331.99,0,1,ESF_PLUS_MONITORING,2013-05-04,2024-09-15
2018,HR,NL58,VET_HR_4968,03_HUMANITIES,25043,9038,5306,85.54,85.02,0.04,0,0,EQF_LINKED,483897416.67,0,0,CEDEFOP_EXPORT,2013-06-02,2024-02-11
2019,DE,HR567,VET_DE_4977,04_BUSINESS,57673,16897,232,65.29,80.57,11.2,1,0,NQF_ONLY,751696429.07,0,1,NATIONAL_VET_AGENCY,2013-07-01,2025-08-31
2020,LU,FR395,VET_LU_4986,05_SCIENCE,14168,8808,6123,78.7,53.21,7.31,0,0,SECTORAL,893937966.35,0,1,PROVIDER_ADMIN_DATA,2013-07-30,2024-12-22
2021,SI,FR423,VET_SI_4995,06_ICT,76753,21104,4126,73.19,48.65,5.67,1,1,NONE,242890481.45,1,1,ESF_PLUS_MONITORING,2013-08-28,2025-08-14
2022,CY,IE251,VET_CY_0004,07_ENGINEERING,62349,41185,3085,82.94,60.32,5.28,0,0,EQF_LINKED,2829470979.57,0,1,CEDEFOP_EXPORT,2013-09-26,2025-05-07
2023,GR,IT33,VET_GR_0013,08_AGRI,17395,3557,47,78.28,61.01,0.33,0,1,NQF_ONLY,3744844854.59,0,0,NATIONAL_VET_AGENCY,2013-10-25,2024-03-03
2024,MT,HU35,VET_MT_0022,09_HEALTH,85561,19633,2451,68.29,70.26,24.34,0,0,SECTORAL,1535100557.45,1,1,PROVIDER_ADMIN_DATA,2013-11-23,2024-07-01
2025,ES,LU1,VET_ES_0031,10_SERVICES,29657,19024,7245,89.7,89.32,7.31,0,1,NONE,2426371087.63,0,0,ESF_PLUS_MONITORING,2013-12-22,2025-10-21
2006,CZ,BG252,VET_CZ_0040,01_EDUCATION,8760,4125,3891,77.24,87.29,17.37,0,0,EQF_LINKED,1843484479.24,0,1,CEDEFOP_EXPORT,2014-01-20,2025-09-22
2007,HU,LU72,VET_HU_0049,02_ARTS,53804,34290,1806,83.23,97.73,17.16,0,0,NQF_ONLY,812860389.65,0,1,NATIONAL_VET_AGENCY,2014-02-18,2025-04-13
2008,NL,DE892,VET_NL_0058,03_HUMANITIES,120334,33599,5905,77.98,61.05,4.01,0,0,SECTORAL,226798796.74,0,1,PROVIDER_ADMIN_DATA,2014-03-19,2025-09-16
2009,SE,DE818,VET_SE_0067,04_BUSINESS,443,260,4307,87.26,49.88,10.6,0,0,NONE,1322497333.34,0,0,ESF_PLUS_MONITORING,2014-04-17,2024-06-21
2010,DK,BE663,VET_DK_0076,05_SCIENCE,43496,18258,7736,70.68,78.29,4.36,0,0,EQF_LINKED,98737310.65,0,1,CEDEFOP_EXPORT,2014-05-16,2025-04-18
2011,IE,CZ67,VET_IE_0085,06_ICT,48444,30894,7386,96.38,79.36,18.12,0,0,NQF_ONLY,817278830.89,0,0,NATIONAL_VET_AGENCY,2014-06-14,2025-02-13
2012,PL,GR553,VET_PL_0094,07_ENGINEERING,44332,19641,922,80.53,93.41,7.24,0,0,SECTORAL,872556806.96,0,0,PROVIDER_ADMIN_DATA,2014-07-13,2026-01-13
2013,AT,IT55,VET_AT_0103,08_AGRI,133545,88108,7620,96.39,59.83,13.39,1,0,NONE,469763534.12,0,1,ESF_PLUS_MONITORING,2014-08-11,2025-05-14
2014,EE,ES494,VET_EE_0112,09_HEALTH,21942,9591,3802,58.69,79.7,10.35,0,0,EQF_LINKED,742915940.54,0,1,CEDEFOP_EXPORT,2014-09-09,2024-04-20
2015,IT,EE399,VET_IT_0121,10_SERVICES,51252,15053,5941,94.93,52.69,14.24,0,0,NQF_ONLY,1212540087.71,0,1,NATIONAL_VET_AGENCY,2014-10-08,2024-12-30
2016,PT,PT975,VET_PT_0130,01_EDUCATION,68796,38819,7048,89.39,90.38,12.53,0,0,SECTORAL,1909110456.58,0,1,PROVIDER_ADMIN_DATA,2014-11-06,2024-01-30
2017,BE,ES716,VET_BE_0139,02_ARTS,30368,14830,1208,77.64,59.7,0.69,0,0,NONE,1704839877.99,0,1,ESF_PLUS_MONITORING,2014-12-05,2025-02-07
2018,FI,IT1,VET_FI_0148,03_HUMANITIES,5084,1755,2325,60.38,50.98,18.77,0,1,EQF_LINKED,1141357228.32,0,1,CEDEFOP_EXPORT,2015-01-03,2025-02-22
2019,LV,SE37,VET_LV_0157,04_BUSINESS,21024,4555,3452,78.46,57.53,18.92,0,0,NQF_ONLY,1660531983.42,0,1,NATIONAL_VET_AGENCY,2015-02-01,2025-09-18
2020,RO,LU18,VET_RO_0166,05_SCIENCE,34491,9723,3714,59.27,64.33,17.26,0,0,SECTORAL,1231872567.37,0,1,PROVIDER_ADMIN_DATA,2015-03-02,2024-11-17
2021,BG,DE749,VET_BG_0175,06_ICT,37674,16332,6484,80.11,56.21,2.11,0,1,NONE,2224979149.47,0,1,ESF_PLUS_MONITORING,2015-03-31,2025-08-06
