labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_naics,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2042-03,COMPANY_SITE,Role_315_Analyst,OCCXW200315,SKC00315,Tableau,Accounting,NLP,0,4,0,71946,151222,CONTRACT,WEEKEND,811,25,42,0.3995,emb_v1
2042-04,ATS_FEED,Role_316_Engineer,OCCXW200316,SKC00316,JavaScript,Kubernetes,Azure,1,0,1,47512,99751,CONTRACT,NIGHT,611,18,39,0.5395,emb_v1
2042-05,JOB_BOARD,Role_317_Manager,OCCXW200317,SKC00317,React,Docker,Azure,0,4,0,115282,181327,INTERN,NIGHT,921,59,48,0.1455,emb_v2
2042-06,ATS_FEED,Role_318_Technician,OCCXW200318,SKC00318,Spark,SAP,Statistics,1,3,0,100724,182297,FULL_TIME,NIGHT,518,55,43,0.4095,emb_v1
2042-07,COMPANY_SITE,Role_319_Specialist,OCCXW200319,SKC00319,NLP,ProjectMgmt,Azure,0,3,1,159766,178575,FULL_TIME,DAY,623,19,34,0.6934,emb_v3
2042-08,STAFFING_FIRM,Role_320_Analyst,OCCXW200320,SKC00320,Tableau,NLP,ProjectMgmt,0,4,0,151873,174703,INTERN,DAY,522,11,42,0.2079,emb_v2
2042-09,ATS_FEED,Role_321_Engineer,OCCXW200321,SKC00321,Java,Salesforce,Excel,0,4,1,151243,211768,PART_TIME,FLEX,517,37,43,0.3871,emb_v2
2042-10,STAFFING_FIRM,Role_322_Manager,OCCXW200322,SKC00322,JavaScript,Salesforce,NodeJS,1,3,0,141315,221318,TEMP,WEEKEND,517,85,34,0.8935,emb_v1
2042-11,ATS_FEED,Role_323_Technician,OCCXW200323,SKC00323,Accounting,Airflow,Airflow,1,1,1,149252,213687,TEMP,DAY,531,14,24,0.6242,emb_v1
2042-12,STAFFING_FIRM,Role_324_Specialist,OCCXW200324,SKC00324,Accounting,ComputerVision,Spark,1,1,0,132333,187421,FULL_TIME,SHIFT,561,89,28,0.453,emb_v3
2043-01,STAFFING_FIRM,Role_325_Analyst,OCCXW200325,SKC00325,Cybersecurity,Excel,Statistics,1,6,0,39691,79762,CONTRACT,WEEKEND,711,16,33,0.1707,emb_v1
2043-02,COMPANY_SITE,Role_326_Engineer,OCCXW200326,SKC00326,Communication,Tableau,Java,1,3,0,59124,112638,TEMP,NIGHT,518,43,34,0.8937,emb_v3
2043-03,JOB_BOARD,Role_327_Manager,OCCXW200327,SKC00327,Python,Communication,PowerBI,0,1,1,49919,83374,INTERN,SHIFT,522,65,31,0.8673,emb_v3
2043-04,STAFFING_FIRM,Role_328_Technician,OCCXW200328,SKC00328,NLP,Kubernetes,Excel,1,4,0,46997,100789,TEMP,FLEX,236,63,31,0.3397,emb_v1
2043-05,JOB_BOARD,Role_329_Specialist,OCCXW200329,SKC00329,SAP,NodeJS,PowerBI,0,6,1,117742,169938,CONTRACT,FLEX,511,66,34,0.2878,emb_v4
2043-06,COMPANY_SITE,Role_330_Analyst,OCCXW200330,SKC00330,Docker,Cybersecurity,NLP,1,3,0,103521,115403,CONTRACT,SHIFT,531,79,35,0.883,emb_v1
2043-07,AGGREGATOR,Role_331_Engineer,OCCXW200331,SKC00331,Communication,Kubernetes,Airflow,0,3,1,135627,143761,FULL_TIME,FLEX,423,68,41,0.6809,emb_v3
2043-08,JOB_BOARD,Role_332_Manager,OCCXW200332,SKC00332,JavaScript,ComputerVision,SAP,0,8,0,116297,201554,PART_TIME,DAY,921,15,44,0.6925,emb_v4
2043-09,STAFFING_FIRM,Role_333_Technician,OCCXW200333,SKC00333,Accounting,AWS,Spark,1,0,1,127525,160845,FULL_TIME,NIGHT,623,8,37,0.0685,emb_v1
2043-10,STAFFING_FIRM,Role_334_Specialist,OCCXW200334,SKC00334,SAP,JavaScript,JavaScript,0,1,0,151456,170016,PART_TIME,FLEX,236,12,35,0.8028,emb_v2
2043-11,ATS_FEED,Role_335_Analyst,OCCXW200335,SKC00335,Azure,Accounting,Python,1,6,1,88858,106021,INTERN,DAY,445,46,41,0.4355,emb_v4
2043-12,JOB_BOARD,Role_336_Engineer,OCCXW200336,SKC00336,ProjectMgmt,Airflow,SAP,0,4,0,95789,173989,CONTRACT,FLEX,519,55,43,0.9186,emb_v1
2044-01,JOB_BOARD,Role_337_Manager,OCCXW200337,SKC00337,SupplyChain,Accounting,Statistics,0,3,1,75397,141035,CONTRACT,DAY,611,52,35,0.9427,emb_v1
2044-02,JOB_BOARD,Role_338_Technician,OCCXW200338,SKC00338,Airflow,ProjectMgmt,Python,1,7,0,89095,125838,CONTRACT,DAY,621,38,26,0.6652,emb_v4
2044-03,STAFFING_FIRM,Role_339_Specialist,OCCXW200339,SKC00339,ProjectMgmt,Cybersecurity,Salesforce,1,3,1,125150,214280,TEMP,WEEKEND,621,21,34,0.1949,emb_v2
2044-04,AGGREGATOR,Role_340_Analyst,OCCXW200340,SKC00340,ProjectMgmt,JavaScript,SQL,1,8,0,145108,191469,TEMP,NIGHT,332,10,25,0.5969,emb_v3
2044-05,AGGREGATOR,Role_341_Engineer,OCCXW200341,SKC00341,SQL,Statistics,NodeJS,1,2,0,46760,102850,TEMP,DAY,236,63,32,0.4237,emb_v3
2044-06,ATS_FEED,Role_342_Manager,OCCXW200342,SKC00342,SupplyChain,Airflow,Statistics,0,10,1,143287,157317,TEMP,SHIFT,522,55,33,0.6589,emb_v1
2044-07,COMPANY_SITE,Role_343_Technician,OCCXW200343,SKC00343,CustomerSupport,SQL,Docker,0,7,1,54965,119671,FULL_TIME,WEEKEND,523,11,37,0.5536,emb_v1
2044-08,COMPANY_SITE,Role_344_Specialist,OCCXW200344,SKC00344,AWS,CustomerSupport,Accounting,0,7,1,154975,196756,PART_TIME,WEEKEND,722,4,36,0.4201,emb_v4
2044-09,COMPANY_SITE,Role_345_Analyst,OCCXW200345,SKC00345,Airflow,ProjectMgmt,NLP,0,5,1,56909,79798,PART_TIME,DAY,519,27,31,0.7591,emb_v3
2044-10,STAFFING_FIRM,Role_346_Engineer,OCCXW200346,SKC00346,Spark,NLP,Java,1,5,1,140600,223400,CONTRACT,SHIFT,511,90,25,0.8465,emb_v1
2044-11,AGGREGATOR,Role_347_Manager,OCCXW200347,SKC00347,Airflow,PowerBI,Healthcare,1,9,0,75750,135627,PART_TIME,FLEX,711,3,36,0.4207,emb_v1
2044-12,STAFFING_FIRM,Role_348_Technician,OCCXW200348,SKC00348,ProjectMgmt,GCP,Excel,0,3,0,144860,170047,TEMP,DAY,622,66,50,0.1642,emb_v3
2045-01,ATS_FEED,Role_349_Specialist,OCCXW200349,SKC00349,NLP,NLP,Spark,1,9,1,157631,173546,FULL_TIME,SHIFT,611,84,42,0.4587,emb_v4
2045-02,JOB_BOARD,Role_350_Analyst,OCCXW200350,SKC00350,Java,CustomerSupport,Communication,0,7,1,149777,223146,PART_TIME,WEEKEND,332,83,32,0.297,emb_v3
2045-03,STAFFING_FIRM,Role_351_Engineer,OCCXW200351,SKC00351,Cybersecurity,Communication,Airflow,0,9,1,146482,194045,CONTRACT,FLEX,811,30,35,0.0987,emb_v2
2045-04,AGGREGATOR,Role_352_Manager,OCCXW200352,SKC00352,ComputerVision,GCP,SupplyChain,0,8,0,91904,131797,TEMP,WEEKEND,811,55,35,0.7683,emb_v4
2045-05,STAFFING_FIRM,Role_353_Technician,OCCXW200353,SKC00353,ProjectMgmt,Healthcare,Linux,1,10,0,54357,76910,CONTRACT,SHIFT,921,64,41,0.1088,emb_v3
2045-06,JOB_BOARD,Role_354_Specialist,OCCXW200354,SKC00354,Cybersecurity,NodeJS,ProjectMgmt,0,8,1,124546,137064,CONTRACT,DAY,445,89,46,0.431,emb_v3
2045-07,COMPANY_SITE,Role_355_Analyst,OCCXW200355,SKC00355,RetailOps,Statistics,JavaScript,0,3,1,57555,89422,TEMP,NIGHT,611,71,41,0.0536,emb_v3
2045-08,COMPANY_SITE,Role_356_Engineer,OCCXW200356,SKC00356,CustomerSupport,Java,Docker,1,7,1,112375,132929,FULL_TIME,FLEX,541,67,27,0.5221,emb_v3
2045-09,COMPANY_SITE,Role_357_Manager,OCCXW200357,SKC00357,ProjectMgmt,Salesforce,Tableau,0,0,0,111547,182986,PART_TIME,DAY,531,19,33,0.9644,emb_v2
2045-10,AGGREGATOR,Role_358_Technician,OCCXW200358,SKC00358,RetailOps,SupplyChain,ProjectMgmt,1,5,0,72898,154445,CONTRACT,SHIFT,524,8,26,0.3785,emb_v2
2045-11,STAFFING_FIRM,Role_359_Specialist,OCCXW200359,SKC00359,ProjectMgmt,Cybersecurity,Tableau,1,9,1,99889,132482,INTERN,DAY,622,57,29,0.4502,emb_v2
2045-12,ATS_FEED,Role_360_Analyst,OCCXW200360,SKC00360,Kubernetes,PowerBI,PowerBI,1,2,0,155036,220891,CONTRACT,FLEX,621,74,46,0.1887,emb_v1
2046-01,COMPANY_SITE,Role_361_Engineer,OCCXW200361,SKC00361,Airflow,ProjectMgmt,Azure,1,5,1,125728,164349,INTERN,SHIFT,561,52,42,0.7951,emb_v1
2046-02,COMPANY_SITE,Role_362_Manager,OCCXW200362,SKC00362,RetailOps,Kubernetes,NodeJS,0,8,0,90500,109454,FULL_TIME,SHIFT,711,48,30,0.8389,emb_v3
2046-03,JOB_BOARD,Role_363_Technician,OCCXW200363,SKC00363,Java,Tableau,Docker,0,5,1,69847,132940,TEMP,FLEX,711,5,44,0.6446,emb_v3
2046-04,ATS_FEED,Role_364_Specialist,OCCXW200364,SKC00364,Linux,AWS,Healthcare,0,5,1,52907,116435,TEMP,DAY,722,79,33,0.7549,emb_v4
2046-05,ATS_FEED,Role_365_Analyst,OCCXW200365,SKC00365,Spark,Statistics,Python,0,8,1,152843,182573,CONTRACT,WEEKEND,517,3,21,0.6255,emb_v4
2046-06,ATS_FEED,Role_366_Engineer,OCCXW200366,SKC00366,SQL,Java,RetailOps,0,1,1,133068,154906,TEMP,SHIFT,621,66,30,0.3762,emb_v1
2046-07,AGGREGATOR,Role_367_Manager,OCCXW200367,SKC00367,Kubernetes,AWS,CustomerSupport,1,5,0,113267,175128,PART_TIME,NIGHT,561,23,42,0.985,emb_v1
2046-08,COMPANY_SITE,Role_368_Technician,OCCXW200368,SKC00368,Python,Healthcare,ComputerVision,1,7,0,42073,80197,CONTRACT,NIGHT,445,26,35,0.8619,emb_v2
2046-09,AGGREGATOR,Role_369_Specialist,OCCXW200369,SKC00369,ComputerVision,CustomerSupport,JavaScript,0,1,1,116045,178804,TEMP,NIGHT,711,24,35,0.955,emb_v3
2046-10,ATS_FEED,Role_370_Analyst,OCCXW200370,SKC00370,Airflow,Statistics,Tableau,0,8,0,65410,135495,FULL_TIME,DAY,236,22,35,0.3973,emb_v1
2046-11,JOB_BOARD,Role_371_Engineer,OCCXW200371,SKC00371,Tableau,NLP,SQL,1,10,0,71578,153231,FULL_TIME,WEEKEND,524,51,35,0.9378,emb_v1
2046-12,AGGREGATOR,Role_372_Manager,OCCXW200372,SKC00372,NodeJS,Airflow,SupplyChain,0,10,0,61728,109033,FULL_TIME,NIGHT,236,73,34,0.8464,emb_v3
2047-01,AGGREGATOR,Role_373_Technician,OCCXW200373,SKC00373,Kubernetes,SupplyChain,Salesforce,0,9,1,78621,86323,FULL_TIME,DAY,511,61,37,0.9619,emb_v4
2047-02,STAFFING_FIRM,Role_374_Specialist,OCCXW200374,SKC00374,ProjectMgmt,GCP,Azure,1,0,0,132696,217658,TEMP,WEEKEND,423,18,25,0.6953,emb_v3
2047-03,AGGREGATOR,Role_375_Analyst,OCCXW200375,SKC00375,ProjectMgmt,Excel,NLP,1,2,0,126535,151560,FULL_TIME,SHIFT,623,12,37,0.7089,emb_v1
2047-04,COMPANY_SITE,Role_376_Engineer,OCCXW200376,SKC00376,JavaScript,Spark,Python,0,10,1,133196,211752,CONTRACT,SHIFT,236,40,35,0.2567,emb_v2
2047-05,JOB_BOARD,Role_377_Manager,OCCXW200377,SKC00377,Accounting,NodeJS,Python,1,10,0,58982,95251,PART_TIME,WEEKEND,423,21,43,0.8126,emb_v1
2047-06,AGGREGATOR,Role_378_Technician,OCCXW200378,SKC00378,JavaScript,Healthcare,Airflow,0,4,1,39910,82492,FULL_TIME,NIGHT,611,64,44,0.6712,emb_v3
2047-07,AGGREGATOR,Role_379_Specialist,OCCXW200379,SKC00379,React,RetailOps,SAP,0,1,0,80338,112928,CONTRACT,FLEX,332,8,37,0.0248,emb_v1
2047-08,COMPANY_SITE,Role_380_Analyst,OCCXW200380,SKC00380,Excel,SAP,SQL,1,6,0,95575,127516,CONTRACT,DAY,519,46,48,0.4322,emb_v4
2047-09,AGGREGATOR,Role_381_Engineer,OCCXW200381,SKC00381,Tableau,NodeJS,NLP,0,2,1,86055,126353,CONTRACT,NIGHT,722,89,31,0.085,emb_v3
2047-10,AGGREGATOR,Role_382_Manager,OCCXW200382,SKC00382,Statistics,RetailOps,NLP,0,9,0,146561,184536,PART_TIME,FLEX,921,37,38,0.251,emb_v4
2047-11,ATS_FEED,Role_383_Technician,OCCXW200383,SKC00383,Cybersecurity,Azure,Java,1,6,0,127741,199319,PART_TIME,WEEKEND,517,34,34,0.7153,emb_v3
2047-12,ATS_FEED,Role_384_Specialist,OCCXW200384,SKC00384,GCP,SupplyChain,Python,1,9,0,100442,124682,INTERN,NIGHT,531,52,38,0.3817,emb_v2
2048-01,ATS_FEED,Role_385_Analyst,OCCXW200385,SKC00385,Azure,Tableau,Healthcare,1,7,1,149760,167903,TEMP,NIGHT,541,24,45,0.9698,emb_v3
2048-02,AGGREGATOR,Role_386_Engineer,OCCXW200386,SKC00386,SupplyChain,Healthcare,Airflow,0,8,1,127538,169829,INTERN,WEEKEND,511,87,33,0.607,emb_v3
2048-03,STAFFING_FIRM,Role_387_Manager,OCCXW200387,SKC00387,Java,CustomerSupport,GCP,0,3,1,78979,151489,CONTRACT,DAY,517,86,36,0.1286,emb_v4
2048-04,AGGREGATOR,Role_388_Technician,OCCXW200388,SKC00388,Python,Kubernetes,CustomerSupport,0,6,0,150161,171309,FULL_TIME,DAY,518,81,39,0.0792,emb_v3
2048-05,COMPANY_SITE,Role_389_Specialist,OCCXW200389,SKC00389,Airflow,SupplyChain,Statistics,0,4,0,67262,114251,PART_TIME,SHIFT,511,36,29,0.3397,emb_v4
2048-06,AGGREGATOR,Role_390_Analyst,OCCXW200390,SKC00390,Airflow,NodeJS,NLP,0,6,1,137150,160552,CONTRACT,DAY,541,48,44,0.6826,emb_v2
2048-07,JOB_BOARD,Role_391_Engineer,OCCXW200391,SKC00391,NLP,AWS,Statistics,1,5,1,154893,185831,PART_TIME,SHIFT,236,20,39,0.0147,emb_v4
2048-08,AGGREGATOR,Role_392_Manager,OCCXW200392,SKC00392,NodeJS,CustomerSupport,Accounting,0,8,0,63392,122730,TEMP,NIGHT,522,20,33,0.077,emb_v1
2048-09,COMPANY_SITE,Role_393_Technician,OCCXW200393,SKC00393,Spark,RetailOps,Docker,0,3,0,101356,127821,TEMP,NIGHT,722,70,37,0.1029,emb_v4
2048-10,JOB_BOARD,Role_394_Specialist,OCCXW200394,SKC00394,ProjectMgmt,Python,Communication,0,9,0,39832,119421,PART_TIME,DAY,561,77,41,0.5779,emb_v4
2048-11,AGGREGATOR,Role_395_Analyst,OCCXW200395,SKC00395,Linux,Tableau,Cybersecurity,1,1,1,80910,170581,PART_TIME,WEEKEND,561,43,37,0.7824,emb_v1
2048-12,JOB_BOARD,Role_396_Engineer,OCCXW200396,SKC00396,Excel,Docker,Tableau,1,2,1,134575,194566,FULL_TIME,DAY,517,41,36,0.802,emb_v2
2049-01,AGGREGATOR,Role_397_Manager,OCCXW200397,SKC00397,NLP,NodeJS,PowerBI,0,4,0,120110,198000,PART_TIME,DAY,445,64,35,0.3886,emb_v4
2049-02,ATS_FEED,Role_398_Technician,OCCXW200398,SKC00398,AWS,ProjectMgmt,Python,0,9,1,37546,80479,FULL_TIME,DAY,236,77,44,0.5555,emb_v2
2049-03,STAFFING_FIRM,Role_399_Specialist,OCCXW200399,SKC00399,SAP,RetailOps,Kubernetes,0,6,0,103807,188931,TEMP,SHIFT,611,60,39,0.8313,emb_v4
2049-04,JOB_BOARD,Role_400_Analyst,OCCXW200400,SKC00400,Cybersecurity,NodeJS,Kubernetes,0,6,0,143355,157859,PART_TIME,FLEX,524,90,38,0.6091,emb_v3
2049-05,ATS_FEED,Role_401_Engineer,OCCXW200401,SKC00401,Accounting,Java,AWS,0,7,0,88296,118564,FULL_TIME,NIGHT,531,18,37,0.93,emb_v3
2049-06,STAFFING_FIRM,Role_402_Manager,OCCXW200402,SKC00402,NodeJS,Java,Python,0,9,1,139327,210793,PART_TIME,WEEKEND,517,22,33,0.5049,emb_v1
2049-07,ATS_FEED,Role_403_Technician,OCCXW200403,SKC00403,ProjectMgmt,Spark,Kubernetes,1,3,0,104882,136047,CONTRACT,NIGHT,511,18,46,0.3262,emb_v1
2049-08,ATS_FEED,Role_404_Specialist,OCCXW200404,SKC00404,Statistics,Accounting,CustomerSupport,0,9,0,146253,205516,CONTRACT,NIGHT,621,21,23,0.4344,emb_v1
2049-09,COMPANY_SITE,Role_405_Analyst,OCCXW200405,SKC00405,Kubernetes,ProjectMgmt,NodeJS,0,6,1,151567,168411,CONTRACT,FLEX,236,7,35,0.0123,emb_v4
2049-10,AGGREGATOR,Role_406_Engineer,OCCXW200406,SKC00406,Java,Accounting,CustomerSupport,0,0,0,119960,138740,INTERN,DAY,519,85,38,0.0722,emb_v3
2049-11,JOB_BOARD,Role_407_Manager,OCCXW200407,SKC00407,Excel,Linux,SupplyChain,0,5,1,38535,105978,PART_TIME,NIGHT,921,19,49,0.7893,emb_v3
2049-12,COMPANY_SITE,Role_408_Technician,OCCXW200408,SKC00408,Salesforce,SupplyChain,Statistics,0,8,1,69462,78724,TEMP,WEEKEND,524,47,34,0.183,emb_v2
2050-01,AGGREGATOR,Role_409_Specialist,OCCXW200409,SKC00409,Spark,Kubernetes,Accounting,0,4,1,141502,176759,PART_TIME,DAY,611,84,30,0.5081,emb_v3
2050-02,STAFFING_FIRM,Role_410_Analyst,OCCXW200410,SKC00410,Spark,SupplyChain,React,0,8,0,91264,122374,PART_TIME,SHIFT,722,7,31,0.6028,emb_v2
2050-03,ATS_FEED,Role_411_Engineer,OCCXW200411,SKC00411,ComputerVision,Healthcare,NodeJS,0,10,0,108970,198652,PART_TIME,DAY,523,12,43,0.2761,emb_v2
2050-04,STAFFING_FIRM,Role_412_Manager,OCCXW200412,SKC00412,ComputerVision,Spark,Statistics,1,1,1,137256,159236,INTERN,WEEKEND,517,80,26,0.4244,emb_v3
2050-05,STAFFING_FIRM,Role_413_Technician,OCCXW200413,SKC00413,Salesforce,Kubernetes,Excel,0,3,1,103903,148286,PART_TIME,DAY,445,55,39,0.3098,emb_v4
2050-06,STAFFING_FIRM,Role_414_Specialist,OCCXW200414,SKC00414,Airflow,PowerBI,Tableau,1,5,1,37644,56579,PART_TIME,DAY,518,61,30,0.0192,emb_v4
2050-07,AGGREGATOR,Role_415_Analyst,OCCXW200415,SKC00415,NodeJS,Healthcare,PowerBI,0,8,0,147176,210613,PART_TIME,SHIFT,531,3,30,0.1545,emb_v1
2050-08,COMPANY_SITE,Role_416_Engineer,OCCXW200416,SKC00416,Azure,Java,SupplyChain,1,7,1,76132,135174,FULL_TIME,DAY,611,23,40,0.2133,emb_v1
2050-09,JOB_BOARD,Role_417_Manager,OCCXW200417,SKC00417,JavaScript,RetailOps,SQL,1,2,1,82867,138053,CONTRACT,WEEKEND,722,5,29,0.1044,emb_v2
2050-10,ATS_FEED,Role_418_Technician,OCCXW200418,SKC00418,React,Tableau,SupplyChain,0,3,1,41906,102177,CONTRACT,DAY,523,45,39,0.1363,emb_v4
2050-11,STAFFING_FIRM,Role_419_Specialist,OCCXW200419,SKC00419,Docker,NLP,React,0,0,1,153680,193496,INTERN,FLEX,517,25,40,0.5477,emb_v3
2050-12,ATS_FEED,Role_420_Analyst,OCCXW200420,SKC00420,AWS,Cybersecurity,ProjectMgmt,0,5,0,75487,106964,TEMP,SHIFT,622,87,33,0.305,emb_v3
2051-01,JOB_BOARD,Role_421_Engineer,OCCXW200421,SKC00421,RetailOps,NodeJS,NLP,0,9,1,38342,83088,FULL_TIME,FLEX,517,25,31,0.4521,emb_v2
2051-02,STAFFING_FIRM,Role_422_Manager,OCCXW200422,SKC00422,SupplyChain,Accounting,Docker,1,2,0,79259,134382,INTERN,WEEKEND,236,56,37,0.956,emb_v3
2051-03,ATS_FEED,Role_423_Technician,OCCXW200423,SKC00423,JavaScript,Accounting,Excel,1,3,0,77007,166681,FULL_TIME,DAY,423,82,24,0.9806,emb_v3
2051-04,ATS_FEED,Role_424_Specialist,OCCXW200424,SKC00424,Azure,Healthcare,ComputerVision,1,5,0,98094,146649,INTERN,SHIFT,445,24,42,0.1637,emb_v4
2051-05,ATS_FEED,Role_425_Analyst,OCCXW200425,SKC00425,Python,Salesforce,Airflow,0,2,1,100130,187453,FULL_TIME,DAY,511,61,30,0.9364,emb_v2
2051-06,STAFFING_FIRM,Role_426_Engineer,OCCXW200426,SKC00426,React,Docker,PowerBI,1,5,0,119811,157419,TEMP,NIGHT,611,77,39,0.2642,emb_v2
2051-07,STAFFING_FIRM,Role_427_Manager,OCCXW200427,SKC00427,Accounting,NodeJS,Java,1,6,0,66634,87316,FULL_TIME,SHIFT,236,28,39,0.7032,emb_v4
2051-08,STAFFING_FIRM,Role_428_Technician,OCCXW200428,SKC00428,AWS,NLP,Azure,0,2,1,58958,93039,PART_TIME,SHIFT,611,90,39,0.9468,emb_v2
2051-09,JOB_BOARD,Role_429_Specialist,OCCXW200429,SKC00429,SQL,NLP,NLP,1,7,1,54073,115260,INTERN,FLEX,921,75,31,0.3231,emb_v2
2051-10,STAFFING_FIRM,Role_430_Analyst,OCCXW200430,SKC00430,RetailOps,Cybersecurity,Salesforce,0,5,1,113903,187917,PART_TIME,NIGHT,621,74,25,0.0017,emb_v1
2051-11,ATS_FEED,Role_431_Engineer,OCCXW200431,SKC00431,Statistics,GCP,PowerBI,0,7,0,44098,64960,FULL_TIME,DAY,236,20,30,0.3906,emb_v3
2051-12,COMPANY_SITE,Role_432_Manager,OCCXW200432,SKC00432,Statistics,Salesforce,SAP,1,7,1,90288,118151,CONTRACT,DAY,236,55,38,0.0565,emb_v1
2052-01,ATS_FEED,Role_433_Technician,OCCXW200433,SKC00433,Excel,RetailOps,ProjectMgmt,0,6,0,106979,177041,INTERN,NIGHT,522,39,42,0.4279,emb_v3
2052-02,ATS_FEED,Role_434_Specialist,OCCXW200434,SKC00434,Docker,SQL,Docker,1,7,0,54604,124560,PART_TIME,FLEX,517,49,34,0.2548,emb_v2
2052-03,COMPANY_SITE,Role_435_Analyst,OCCXW200435,SKC00435,CustomerSupport,ComputerVision,SupplyChain,0,1,0,68840,114818,INTERN,SHIFT,611,84,56,0.1826,emb_v3
2052-04,JOB_BOARD,Role_436_Engineer,OCCXW200436,SKC00436,Java,CustomerSupport,AWS,1,4,0,72930,121172,FULL_TIME,FLEX,423,88,43,0.5793,emb_v1
2052-05,AGGREGATOR,Role_437_Manager,OCCXW200437,SKC00437,PowerBI,Cybersecurity,Tableau,0,2,0,135112,141678,TEMP,NIGHT,524,55,32,0.9638,emb_v2
2052-06,AGGREGATOR,Role_438_Technician,OCCXW200438,SKC00438,Accounting,CustomerSupport,Salesforce,0,6,1,102799,134369,TEMP,NIGHT,523,30,42,0.0509,emb_v1
2052-07,COMPANY_SITE,Role_439_Specialist,OCCXW200439,SKC00439,SQL,ComputerVision,Salesforce,0,2,0,138308,220516,INTERN,SHIFT,423,56,32,0.6681,emb_v2
2052-08,COMPANY_SITE,Role_440_Analyst,OCCXW200440,SKC00440,Java,Communication,RetailOps,1,2,0,130350,159458,PART_TIME,NIGHT,236,74,27,0.5308,emb_v2
2052-09,JOB_BOARD,Role_441_Engineer,OCCXW200441,SKC00441,Java,Salesforce,Excel,1,4,1,92300,163912,FULL_TIME,WEEKEND,541,28,34,0.7849,emb_v2
2052-10,JOB_BOARD,Role_442_Manager,OCCXW200442,SKC00442,NodeJS,SQL,JavaScript,0,3,0,112583,159314,TEMP,SHIFT,519,82,32,0.1425,emb_v2
2052-11,STAFFING_FIRM,Role_443_Technician,OCCXW200443,SKC00443,Docker,Airflow,Healthcare,0,3,0,61610,124521,PART_TIME,NIGHT,561,26,34,0.2644,emb_v4
2052-12,ATS_FEED,Role_444_Specialist,OCCXW200444,SKC00444,Statistics,SQL,RetailOps,0,7,0,145325,222307,TEMP,DAY,423,80,43,0.2674,emb_v3
2053-01,AGGREGATOR,Role_445_Analyst,OCCXW200445,SKC00445,NLP,Statistics,Statistics,1,3,1,36252,80443,FULL_TIME,WEEKEND,523,86,39,0.1025,emb_v1
2053-02,COMPANY_SITE,Role_446_Engineer,OCCXW200446,SKC00446,GCP,Tableau,SAP,0,1,0,75701,142950,TEMP,SHIFT,541,66,26,0.943,emb_v3
2053-03,STAFFING_FIRM,Role_447_Manager,OCCXW200447,SKC00447,Airflow,AWS,GCP,0,6,0,81489,98447,INTERN,NIGHT,623,4,41,0.2016,emb_v1
2053-04,STAFFING_FIRM,Role_448_Technician,OCCXW200448,SKC00448,Excel,React,NLP,0,4,1,67814,131718,TEMP,FLEX,811,6,27,0.5889,emb_v2
2053-05,ATS_FEED,Role_449_Specialist,OCCXW200449,SKC00449,Accounting,Healthcare,GCP,1,5,1,40351,111215,CONTRACT,SHIFT,523,73,43,0.4656,emb_v3
2053-06,ATS_FEED,Role_450_Analyst,OCCXW200450,SKC00450,Healthcare,SupplyChain,Docker,1,0,0,104819,186611,PART_TIME,SHIFT,511,32,39,0.5316,emb_v3
2053-07,COMPANY_SITE,Role_451_Engineer,OCCXW200451,SKC00451,Accounting,Kubernetes,PowerBI,0,0,0,117414,132326,TEMP,SHIFT,711,49,35,0.0066,emb_v1
2053-08,STAFFING_FIRM,Role_452_Manager,OCCXW200452,SKC00452,RetailOps,Excel,Java,1,2,0,47898,106283,PART_TIME,DAY,722,55,48,0.9722,emb_v2
2053-09,COMPANY_SITE,Role_453_Technician,OCCXW200453,SKC00453,Kubernetes,AWS,ComputerVision,0,2,1,94970,164442,PART_TIME,FLEX,921,11,31,0.9352,emb_v3
2053-10,COMPANY_SITE,Role_454_Specialist,OCCXW200454,SKC00454,Excel,Spark,Python,0,0,0,87441,103897,CONTRACT,FLEX,511,76,47,0.7947,emb_v3
2053-11,ATS_FEED,Role_455_Analyst,OCCXW200455,SKC00455,Spark,Docker,Airflow,1,9,0,39328,58215,PART_TIME,WEEKEND,811,88,33,0.3304,emb_v1
2053-12,ATS_FEED,Role_456_Engineer,OCCXW200456,SKC00456,Kubernetes,NLP,SQL,0,0,0,50542,95563,TEMP,FLEX,611,10,35,0.6363,emb_v4
2054-01,AGGREGATOR,Role_457_Manager,OCCXW200457,SKC00457,AWS,Cybersecurity,Kubernetes,1,10,1,104900,129077,FULL_TIME,WEEKEND,445,85,41,0.6995,emb_v1
2054-02,STAFFING_FIRM,Role_458_Technician,OCCXW200458,SKC00458,Python,NLP,PowerBI,0,10,1,138536,151353,TEMP,DAY,722,48,38,0.0326,emb_v3
