labor_unemp_claims_week_ending,labor_unemp_local_area_unemployment_code,labor_unemp_labor_force_level,labor_unemp_employed_level,labor_unemp_unemployed_level,labor_unemp_unemployment_rate_pct,labor_unemp_insured_unemployment_rate_pct,labor_unemp_initial_claims_count,labor_unemp_continued_claims_count,labor_unemp_benefit_exhaustions_count,labor_unemp_new_hires_rate_pct,labor_unemp_job_openings_rate_pct,labor_unemp_quit_rate_pct,labor_unemp_layoff_rate_pct,labor_unemp_workshare_participants,labor_unemp_seasonal_adjustment_method,labor_unemp_pandemic_program_flag,labor_unemp_revisions_cycle_id,labor_unemp_data_source_agency,labor_unemp_publication_date
2019-03-03,LAUIN100358,4374925,3672313,702612,16.06,2.07,17055,68347,39593,3.8,0.26,3.24,0.27,12191,NONE,Y,RC2024_11,ESIC,2025-07-17
2023-09-17,LAUIN100359,2554378,2390898,163480,6.4,4.61,114028,89742,36987,1.57,9.25,2.64,6.83,2380,TRAMO_SEATS,Y,RC2025_12,LabourBureau,2025-03-24
2024-11-10,LAUIN100360,415860,396523,19337,4.65,2.4,117961,106504,15130,0.78,4.49,1.91,1.1,3228,NONE,N,RC2020_01,EPFO,2025-02-01
2021-09-19,LAUIN100361,4564523,3815485,749038,16.41,5.35,82107,120427,38007,5.22,4.32,2.54,3.92,6065,MOVING_AVG,Y,RC2021_02,EPFO,2019-03-11
2021-02-21,LAUIN100362,1731213,1697282,33931,1.96,3.47,14625,99705,12993,0.56,2.38,1.23,5.78,13493,NONE,Y,RC2022_03,CMIE,2021-02-22
2023-11-26,LAUIN100363,732556,699958,32598,4.45,4.68,58364,145658,4731,7.98,1.53,5.79,2.1,12389,MOVING_AVG,N,RC2023_04,LabourBureau,2024-02-03
2022-02-20,LAUIN100364,5733205,5491838,241367,4.21,1.94,79037,339352,1570,6.17,1.28,2.59,6.11,5225,X13,Y,RC2024_05,LabourBureau,2024-12-17
2018-09-30,LAUIN100365,2381557,2238902,142655,5.99,5.42,40843,221176,23945,4.6,6.59,0.15,3.52,9291,NONE,Y,RC2025_06,LabourBureau,2021-03-06
2024-10-20,LAUIN100366,1181270,1019909,161361,13.66,5.27,51246,238707,43745,1.47,3.85,3.37,6.99,7456,NONE,Y,RC2020_07,CMIE,2023-12-15
2019-01-13,LAUIN100367,2858441,2817852,40589,1.42,2.15,76030,125860,5145,7.24,6.27,3.21,0.15,3508,X13,N,RC2021_08,EPFO,2025-12-17
2018-02-04,LAUIN100368,4541819,4369230,172589,3.8,4.49,89270,29618,8081,7.08,8.28,1.07,6.94,4148,MOVING_AVG,Y,RC2022_09,MOSPI,2023-09-28
2019-02-03,LAUIN100369,3460907,2878783,582124,16.82,2.85,29383,10311,28370,7.16,5.8,0.16,3.28,14133,NONE,N,RC2023_10,MOSPI,2025-07-28
2022-05-01,LAUIN100370,1507943,1416864,91079,6.04,8.71,62521,177068,24139,6.77,9.45,5.33,2.52,9217,X13,N,RC2024_11,ESIC,2025-01-31
2022-04-03,LAUIN100371,3025754,2784299,241455,7.98,7.88,83639,95277,13668,2.47,7.22,1.18,1.76,4788,X13,Y,RC2025_12,EPFO,2025-07-19
2019-06-23,LAUIN100372,5685298,4967245,718053,12.63,4.22,111115,251292,46479,3.64,3.85,1.01,5.69,10510,NONE,Y,RC2020_01,State_Lab_Department,2024-05-16
2022-12-04,LAUIN100373,529608,505194,24414,4.61,2.37,10751,6083,27390,6.05,6.04,5.05,1.99,10593,TRAMO_SEATS,Y,RC2021_02,MOSPI,2024-01-28
2021-01-10,LAUIN100374,3133842,3030112,103730,3.31,4.1,9375,116876,24243,7.73,2.1,3.31,3.61,12241,TRAMO_SEATS,N,RC2022_03,CMIE,2020-11-05
2022-11-20,LAUIN100375,5761446,5002088,759358,13.18,3.55,100801,264274,3103,0.54,0.4,2.73,5.25,11994,X13,N,RC2023_04,MOSPI,2022-07-24
2018-05-20,LAUIN100376,2248171,2214899,33272,1.48,9.98,4679,169969,8584,1.8,8.86,0.07,0.46,3966,TRAMO_SEATS,N,RC2024_05,ESIC,2021-01-11
2024-04-28,LAUIN100377,3636546,2999424,637122,17.52,8.89,104732,190348,904,3.53,1.31,2.02,1.39,8375,MOVING_AVG,Y,RC2025_06,CMIE,2022-04-14
2018-11-25,LAUIN100378,27935,25840,2095,7.5,7.13,56930,327652,4345,5.6,7.61,2.01,6.17,14040,NONE,N,RC2020_07,LabourBureau,2023-05-29
2022-02-27,LAUIN100379,4007592,3439717,567875,14.17,9.6,11419,80497,43127,4.48,3.19,5.83,6.79,10340,MOVING_AVG,Y,RC2021_08,EPFO,2023-07-24
2020-12-06,LAUIN100380,5387530,4585327,802203,14.89,7.1,72502,184306,13727,4.73,7.81,3.31,1.08,19917,TRAMO_SEATS,N,RC2022_09,ESIC,2022-10-31
2021-07-18,LAUIN100381,2145437,1878116,267321,12.46,6.57,14217,24794,20903,0.98,8.31,3.23,1.15,3102,MOVING_AVG,N,RC2023_10,MOSPI,2020-09-06
2022-05-22,LAUIN100382,2986889,2445665,541224,18.12,3.47,6268,50666,6753,6.2,9.59,2.11,2.65,1126,NONE,Y,RC2024_11,EPFO,2023-12-25
2021-05-09,LAUIN100383,409539,395984,13555,3.31,6.24,92142,218325,13180,5.76,9.09,4.77,0.47,2183,TRAMO_SEATS,N,RC2025_12,CMIE,2024-09-18
2022-10-09,LAUIN100384,29093,28069,1024,3.52,2.53,21946,259097,16489,6.44,3.04,3.14,2.38,10696,MOVING_AVG,Y,RC2020_01,ESIC,2025-02-21
2019-10-13,LAUIN100385,145862,120103,25759,17.66,7.33,97107,36475,22639,7.44,5.01,1.06,3.87,11801,X13,N,RC2021_02,EPFO,2024-09-10
2018-07-08,LAUIN100386,398415,384351,14064,3.53,4.69,32912,214268,20482,4.84,2.33,2.54,4.27,2744,X13,Y,RC2022_03,CMIE,2025-03-14
2020-08-23,LAUIN100387,5262888,4242415,1020473,19.39,0.2,75745,39735,7555,1.96,8.28,5.81,1.38,1071,TRAMO_SEATS,Y,RC2023_04,CMIE,2022-05-05
2024-12-01,LAUIN100388,1061186,992103,69083,6.51,4.15,58152,137442,38608,3.26,5.14,1.72,6.93,11004,NONE,N,RC2024_05,LabourBureau,2021-09-24
2018-03-25,LAUIN100389,3170707,3009953,160754,5.07,7.32,92161,108273,39515,5.71,2.69,0.42,4.08,1725,TRAMO_SEATS,Y,RC2025_06,State_Lab_Department,2024-08-05
2024-06-16,LAUIN100390,3928526,3376176,552350,14.06,4.67,118021,41761,42850,2.68,5.87,1.77,3.45,19,TRAMO_SEATS,Y,RC2020_07,LabourBureau,2021-02-22
2020-01-05,LAUIN100391,673171,590035,83136,12.35,2.13,42158,147214,4810,2.3,4.52,0.34,6.83,6523,NONE,Y,RC2021_08,State_Lab_Department,2023-10-08
2021-01-17,LAUIN100392,4952099,4499973,452126,9.13,1.09,78290,235225,5308,6.99,7.68,2.84,5.62,16911,TRAMO_SEATS,N,RC2022_09,EPFO,2023-06-27
2021-06-27,LAUIN100393,1251587,1234441,17146,1.37,1.93,3943,346071,41846,3.93,4.24,5.26,5.32,13410,X13,Y,RC2023_10,CMIE,2023-01-30
2021-07-18,LAUIN100394,2282198,2189769,92429,4.05,3.58,103556,252590,23314,6.0,2.24,0.56,4.29,10761,NONE,N,RC2024_11,EPFO,2024-03-14
2018-10-07,LAUIN100395,2960480,2850351,110129,3.72,6.44,28402,336680,22109,5.82,3.33,3.63,4.22,17796,MOVING_AVG,N,RC2025_12,CMIE,2024-04-17
2020-11-29,LAUIN100396,727811,718350,9461,1.3,2.24,80673,198586,35835,6.61,9.47,1.29,2.69,3255,NONE,Y,RC2020_01,LabourBureau,2023-03-03
2022-08-28,LAUIN100397,4393562,3583829,809733,18.43,7.54,50597,52648,39645,6.64,3.73,3.3,4.13,5638,MOVING_AVG,Y,RC2021_02,MOSPI,2022-12-24
2023-02-19,LAUIN100398,5450517,5176356,274161,5.03,5.0,87053,344777,49113,4.94,2.14,1.36,5.19,3696,NONE,N,RC2022_03,State_Lab_Department,2023-09-22
2019-10-27,LAUIN100399,194910,160197,34713,17.81,8.11,72951,189678,17123,7.66,8.18,5.07,0.1,7884,TRAMO_SEATS,N,RC2023_04,MOSPI,2021-04-16
2020-04-12,LAUIN100400,1194430,1084304,110126,9.22,9.54,16139,70367,4523,2.96,3.7,0.14,3.36,9977,X13,Y,RC2024_05,EPFO,2020-08-24
2018-07-29,LAUIN100401,2395101,2112240,282861,11.81,1.19,3442,177145,36009,5.65,3.76,2.22,1.73,6518,NONE,Y,RC2025_06,EPFO,2022-01-20
2020-06-07,LAUIN100402,2160882,1883857,277025,12.82,9.86,95264,48724,11864,5.26,1.24,2.95,6.46,1996,TRAMO_SEATS,Y,RC2020_07,CMIE,2025-01-30
2021-03-21,LAUIN100403,835663,769730,65933,7.89,6.23,108750,218700,28737,3.19,3.84,4.58,3.46,1561,TRAMO_SEATS,Y,RC2021_08,State_Lab_Department,2023-10-20
2019-12-01,LAUIN100404,3493669,2850485,643184,18.41,8.57,39690,42964,22672,5.98,3.64,4.25,0.55,227,NONE,N,RC2022_09,EPFO,2024-04-21
2019-03-31,LAUIN100405,4547359,4443225,104134,2.29,6.7,71119,63183,30416,4.78,8.99,3.12,1.92,7517,NONE,N,RC2023_10,EPFO,2024-02-09
2022-05-08,LAUIN100406,5931665,5130298,801367,13.51,2.26,73277,25429,21288,4.92,8.15,2.01,0.74,11936,MOVING_AVG,N,RC2024_11,MOSPI,2020-09-11
2022-10-23,LAUIN100407,1664592,1653939,10653,0.64,2.96,112216,132532,15455,6.23,1.13,2.72,2.04,13889,X13,N,RC2025_12,CMIE,2023-09-28
2020-04-05,LAUIN100408,5813296,5752838,60458,1.04,4.44,85091,12442,32466,4.92,3.69,1.04,1.41,10103,X13,N,RC2020_01,EPFO,2022-11-01
2024-04-14,LAUIN100409,5409513,5365155,44358,0.82,3.47,30319,39912,42826,0.54,6.32,0.14,3.96,6607,MOVING_AVG,N,RC2021_02,ESIC,2022-03-16
2020-08-02,LAUIN100410,2920838,2873229,47609,1.63,3.61,66880,138364,21486,3.69,0.09,2.54,1.63,4135,X13,N,RC2022_03,EPFO,2019-09-23
2020-12-20,LAUIN100411,2303412,2216804,86608,3.76,3.51,77894,144238,15942,1.81,6.52,1.14,6.06,5308,MOVING_AVG,N,RC2023_04,State_Lab_Department,2022-04-19
2019-03-24,LAUIN100412,4158737,3964524,194213,4.67,7.76,49321,313124,23411,0.33,3.35,3.72,0.4,9506,MOVING_AVG,N,RC2024_05,State_Lab_Department,2020-01-17
2022-05-08,LAUIN100413,2811069,2382100,428969,15.26,5.14,116485,175070,28566,5.06,7.8,3.91,2.61,610,X13,N,RC2025_06,LabourBureau,2025-06-15
2018-03-11,LAUIN100414,5573084,5090455,482629,8.66,3.7,83891,26314,1904,0.13,0.61,0.8,1.86,11924,NONE,N,RC2020_07,ESIC,2020-06-19
2019-03-17,LAUIN100415,536299,501601,34698,6.47,2.06,110325,27877,27386,0.02,5.57,2.03,3.68,4195,MOVING_AVG,N,RC2021_08,LabourBureau,2023-12-29
2019-08-25,LAUIN100416,3010417,2416462,593955,19.73,2.33,12266,18533,24629,4.41,2.78,4.05,5.68,18951,TRAMO_SEATS,N,RC2022_09,MOSPI,2024-05-12
2024-02-18,LAUIN100417,4445534,3677791,767743,17.27,1.34,73298,61241,43135,5.17,5.09,5.31,4.27,5917,NONE,N,RC2023_10,EPFO,2019-10-01
2022-04-24,LAUIN100418,5911448,4944336,967112,16.36,2.24,107283,17238,27306,7.19,7.78,0.17,5.14,6023,X13,N,RC2024_11,LabourBureau,2020-01-25
2019-04-28,LAUIN100419,2276879,2249557,27322,1.2,2.21,63556,218758,29019,7.22,2.34,4.75,1.57,11053,TRAMO_SEATS,N,RC2025_12,ESIC,2024-07-27
2021-07-25,LAUIN100420,2194660,1899040,295620,13.47,5.5,21878,102195,12943,1.33,4.23,4.66,5.41,14132,TRAMO_SEATS,Y,RC2020_01,MOSPI,2020-05-24
2018-06-24,LAUIN100421,1654275,1466019,188256,11.38,7.66,32084,218446,48652,3.93,8.43,1.5,2.45,10212,NONE,Y,RC2021_02,MOSPI,2022-09-30
2018-10-21,LAUIN100422,236694,225475,11219,4.74,4.18,21380,33520,31032,3.94,5.76,4.61,5.85,2628,X13,N,RC2022_03,State_Lab_Department,2020-05-24
2019-02-10,LAUIN100423,5209351,5071304,138047,2.65,7.88,50330,196134,34881,4.65,5.67,1.22,1.95,13530,MOVING_AVG,Y,RC2023_04,ESIC,2024-07-17
2023-02-05,LAUIN100424,547082,462613,84469,15.44,8.87,88222,84925,39515,1.46,3.91,3.5,6.17,7156,MOVING_AVG,Y,RC2024_05,LabourBureau,2024-03-12
2018-03-25,LAUIN100425,2646632,2241433,405199,15.31,1.07,78946,61439,31616,0.37,4.65,5.33,4.54,9597,TRAMO_SEATS,Y,RC2025_06,State_Lab_Department,2024-06-06
2018-08-12,LAUIN100426,1207192,994485,212707,17.62,4.52,36482,6490,49129,0.07,9.47,3.13,2.03,1438,TRAMO_SEATS,Y,RC2020_07,ESIC,2024-02-29
2020-02-16,LAUIN100427,3648217,2956880,691337,18.95,7.47,80861,56432,28514,6.12,3.64,3.66,3.88,6334,MOVING_AVG,N,RC2021_08,MOSPI,2023-12-17
2023-01-15,LAUIN100428,2286735,1896161,390574,17.08,8.73,104289,318691,46955,7.59,9.02,2.9,6.52,5536,NONE,Y,RC2022_09,ESIC,2022-07-10
2024-02-18,LAUIN100429,1087599,883783,203816,18.74,8.7,70910,313702,40929,6.31,1.06,3.73,5.21,17743,TRAMO_SEATS,Y,RC2023_10,MOSPI,2021-05-12
2020-07-26,LAUIN100430,357573,298109,59464,16.63,9.29,49426,96235,10443,1.49,8.92,1.78,1.16,12179,MOVING_AVG,N,RC2024_11,EPFO,2022-04-15
2021-08-29,LAUIN100431,4863783,4730029,133754,2.75,6.47,101598,87105,7427,1.33,4.88,4.94,2.56,11293,X13,Y,RC2025_12,LabourBureau,2020-01-27
2023-04-23,LAUIN100432,5831982,5018421,813561,13.95,9.87,17319,235489,586,4.14,2.73,2.32,4.19,14553,MOVING_AVG,Y,RC2020_01,LabourBureau,2024-11-06
2024-01-28,LAUIN100433,3487087,3295995,191092,5.48,2.0,7162,162554,49317,1.49,1.16,5.19,1.49,16199,TRAMO_SEATS,Y,RC2021_02,CMIE,2020-06-22
2019-01-13,LAUIN100434,4594637,3764846,829791,18.06,5.38,86284,211107,29465,1.75,7.22,2.05,3.89,4636,MOVING_AVG,N,RC2022_03,EPFO,2025-04-08
2021-09-05,LAUIN100435,1405256,1285810,119446,8.5,7.5,18338,333714,27304,3.02,0.38,4.0,2.17,12343,TRAMO_SEATS,Y,RC2023_04,MOSPI,2020-02-05
2021-06-27,LAUIN100436,4648214,3742278,905936,19.49,5.51,118987,182345,9455,1.25,2.36,0.76,6.56,9775,X13,N,RC2024_05,ESIC,2019-09-06
2020-08-30,LAUIN100437,1629712,1435125,194587,11.94,4.38,26877,188941,29754,2.35,8.61,2.2,1.7,1431,NONE,N,RC2025_06,State_Lab_Department,2025-10-17
2019-04-07,LAUIN100438,4049319,3873579,175740,4.34,7.85,105790,20958,40716,3.89,1.79,2.99,5.71,104,MOVING_AVG,N,RC2020_07,ESIC,2021-11-16
2022-04-24,LAUIN100439,2622352,2368771,253581,9.67,4.77,89620,126127,12421,6.05,7.08,4.46,0.55,4410,NONE,N,RC2021_08,CMIE,2022-03-03
2022-08-21,LAUIN100440,2008851,1975906,32945,1.64,7.44,47154,255645,42390,7.2,9.4,3.37,0.56,1315,MOVING_AVG,Y,RC2022_09,EPFO,2023-05-07
2021-11-28,LAUIN100441,228996,184846,44150,19.28,2.61,49201,149744,21970,2.19,6.79,3.15,3.76,9137,MOVING_AVG,N,RC2023_10,EPFO,2021-05-27
2020-11-22,LAUIN100442,4544236,4184787,359449,7.91,0.68,7315,37853,49229,0.74,5.55,0.44,5.9,17529,TRAMO_SEATS,Y,RC2024_11,MOSPI,2020-02-06
2019-03-24,LAUIN100443,2839921,2327316,512605,18.05,4.7,76687,12652,25098,3.6,7.92,4.45,4.03,8297,TRAMO_SEATS,Y,RC2025_12,State_Lab_Department,2023-02-03
2024-07-21,LAUIN100444,3702581,3090175,612406,16.54,4.54,34939,34656,12111,7.83,3.47,3.12,2.9,19896,MOVING_AVG,N,RC2020_01,EPFO,2022-02-13
2021-12-19,LAUIN100445,964019,798305,165714,17.19,2.88,1468,148981,50,0.72,9.74,2.01,2.61,6158,X13,Y,RC2021_02,MOSPI,2021-03-29
2020-10-11,LAUIN100446,879706,797542,82164,9.34,5.71,84657,129705,30060,1.07,2.48,4.26,3.68,6559,TRAMO_SEATS,Y,RC2022_03,CMIE,2023-02-03
2022-04-03,LAUIN100447,3653715,3407455,246260,6.74,1.47,60478,87047,31120,2.09,1.87,4.3,3.6,12584,TRAMO_SEATS,N,RC2023_04,MOSPI,2019-08-06
2021-12-19,LAUIN100448,4932034,4766811,165223,3.35,9.25,51870,51210,37323,2.25,8.0,0.96,4.33,7732,NONE,Y,RC2024_05,ESIC,2020-09-03
2019-05-19,LAUIN100449,3597497,2966137,631360,17.55,2.27,99429,341511,19839,2.05,6.01,1.81,2.77,19152,MOVING_AVG,Y,RC2025_06,State_Lab_Department,2025-08-08
2018-04-08,LAUIN100450,275709,252771,22938,8.32,8.21,40673,269533,10872,6.08,8.47,2.38,5.54,850,MOVING_AVG,Y,RC2020_07,MOSPI,2021-05-06
2021-03-21,LAUIN100451,765231,759798,5433,0.71,0.35,67504,106266,26204,4.7,8.69,2.29,2.71,13870,X13,N,RC2021_08,ESIC,2020-12-12
2021-07-04,LAUIN100452,326072,313258,12814,3.93,9.27,52307,259450,48720,0.7,2.54,1.45,6.79,12585,X13,Y,RC2022_09,CMIE,2019-01-20
2021-01-17,LAUIN100453,3722321,3079849,642472,17.26,2.21,75681,73977,49447,7.03,9.1,5.57,5.83,10167,TRAMO_SEATS,Y,RC2023_10,CMIE,2022-08-17
2018-01-14,LAUIN100454,5319888,4583616,736272,13.84,2.9,59477,187544,10503,2.79,6.28,5.84,5.01,6720,MOVING_AVG,Y,RC2024_11,CMIE,2022-01-27
2023-08-27,LAUIN100455,3801226,3091157,710069,18.68,3.98,91434,206655,16894,1.83,6.56,5.57,6.48,223,MOVING_AVG,N,RC2025_12,LabourBureau,2024-07-02
2020-11-08,LAUIN100456,151636,121461,30175,19.9,7.52,19996,135044,33879,5.64,5.5,1.67,5.87,15099,MOVING_AVG,Y,RC2020_01,EPFO,2025-11-30
2021-01-10,LAUIN100457,2156895,1901951,254944,11.82,9.48,31565,153372,48598,2.66,5.55,3.68,5.26,4393,TRAMO_SEATS,Y,RC2021_02,ESIC,2024-04-25
2021-08-15,LAUIN100458,3309590,2928657,380933,11.51,7.58,34289,289385,28727,0.81,5.33,3.81,6.31,13619,X13,N,RC2022_03,CMIE,2021-05-20
2021-02-28,LAUIN100459,5142504,4532604,609900,11.86,4.11,112528,129888,35608,1.11,2.67,5.25,1.05,12893,MOVING_AVG,N,RC2023_04,LabourBureau,2025-07-19
2019-12-29,LAUIN100460,4524791,3891321,633470,14.0,0.13,64950,286440,15250,1.3,2.06,2.17,2.77,16526,MOVING_AVG,N,RC2024_05,EPFO,2022-12-20
2019-09-22,LAUIN100461,114739,113558,1181,1.03,2.69,86333,285636,20784,7.8,3.04,2.74,0.77,5413,X13,N,RC2025_06,CMIE,2024-11-22
2020-02-23,LAUIN100462,646986,604738,42248,6.53,2.14,55503,100356,7597,3.48,1.9,2.43,0.27,10555,TRAMO_SEATS,N,RC2020_07,CMIE,2023-04-05
2019-08-11,LAUIN100463,2689283,2539490,149793,5.57,1.32,53332,207625,21932,7.39,2.36,4.76,0.79,14063,X13,N,RC2021_08,CMIE,2022-03-10
2019-02-24,LAUIN100464,4276394,3806419,469975,10.99,1.97,378,4813,9339,0.47,9.99,0.05,3.26,12653,NONE,Y,RC2022_09,MOSPI,2020-12-02
2022-01-16,LAUIN100465,2567788,2084788,483000,18.81,9.38,61626,140994,12201,2.39,8.23,3.21,4.69,14382,NONE,Y,RC2023_10,LabourBureau,2024-06-24
2021-08-22,LAUIN100466,732777,683828,48949,6.68,7.46,54490,332605,38827,4.4,8.49,4.33,4.97,17152,TRAMO_SEATS,N,RC2024_11,LabourBureau,2020-05-08
2024-03-10,LAUIN100467,2514029,2257347,256682,10.21,8.37,31294,223388,19572,2.25,7.61,3.26,2.96,4402,TRAMO_SEATS,Y,RC2025_12,ESIC,2019-01-17
2024-11-24,LAUIN100468,1790872,1494304,296568,16.56,4.22,22881,218305,39669,0.85,0.37,4.79,1.88,13255,NONE,Y,RC2020_01,MOSPI,2025-03-25
2021-01-24,LAUIN100469,4247425,4137842,109583,2.58,8.42,106434,240530,22011,2.97,0.85,2.53,3.89,5715,X13,N,RC2021_02,State_Lab_Department,2023-11-29
2020-11-15,LAUIN100470,1387957,1175045,212912,15.34,3.33,46414,226482,44213,5.65,7.41,3.28,0.26,5828,MOVING_AVG,Y,RC2022_03,LabourBureau,2023-12-21
2023-11-12,LAUIN100471,4950582,4458990,491592,9.93,1.38,17728,21594,42544,3.02,5.55,4.83,0.06,16417,MOVING_AVG,Y,RC2023_04,MOSPI,2023-06-17
2019-12-22,LAUIN100472,3309976,2789979,519997,15.71,2.46,18139,263627,13330,5.93,0.43,5.67,2.89,11326,NONE,N,RC2024_05,CMIE,2023-01-30
2018-03-04,LAUIN100473,189671,171065,18606,9.81,0.43,66004,157152,26143,2.88,9.96,0.46,5.31,5881,X13,Y,RC2025_06,MOSPI,2020-04-05
2021-04-04,LAUIN100474,961111,855870,105241,10.95,9.16,28986,23572,22814,2.83,3.38,4.59,1.0,19279,NONE,Y,RC2020_07,State_Lab_Department,2019-12-04
2019-11-17,LAUIN100475,5782606,4641120,1141486,19.74,2.04,47190,282114,17732,0.94,6.53,0.54,3.38,2509,TRAMO_SEATS,Y,RC2021_08,EPFO,2019-04-11
2023-01-15,LAUIN100476,923550,742904,180646,19.56,2.19,51014,162858,22733,5.8,5.62,2.16,3.24,19002,X13,Y,RC2022_09,EPFO,2024-02-28
2019-03-17,LAUIN100477,225649,197579,28070,12.44,2.34,100943,109257,13324,0.5,4.11,0.05,4.3,12568,X13,Y,RC2023_10,LabourBureau,2022-02-18
2019-06-30,LAUIN100478,1114567,950726,163841,14.7,7.61,109326,84167,15768,6.98,9.26,5.03,4.06,5090,MOVING_AVG,N,RC2024_11,MOSPI,2023-12-22
2023-06-11,LAUIN100479,3870348,3421388,448960,11.6,1.62,81403,212678,44277,2.19,7.51,2.3,3.62,16378,MOVING_AVG,Y,RC2025_12,CMIE,2019-12-11
2018-07-01,LAUIN100480,915291,829986,85305,9.32,1.38,11854,96903,3456,5.05,9.95,2.36,6.32,7236,MOVING_AVG,N,RC2020_01,CMIE,2020-09-23
2020-05-31,LAUIN100481,3214470,3054711,159759,4.97,9.8,12517,1356,41579,7.71,8.61,4.58,6.52,12664,TRAMO_SEATS,N,RC2021_02,EPFO,2025-11-22
2020-05-03,LAUIN100482,3303276,2765833,537443,16.27,6.73,104261,209796,40418,1.45,6.68,4.01,5.18,570,X13,N,RC2022_03,CMIE,2024-08-11
2022-11-27,LAUIN100483,5278259,4606337,671922,12.73,4.63,88483,261660,12064,2.64,7.67,4.2,6.63,1481,MOVING_AVG,N,RC2023_04,MOSPI,2022-05-27
2021-05-09,LAUIN100484,1034471,935680,98791,9.55,8.51,84129,11327,11444,0.4,7.04,3.43,5.09,5300,MOVING_AVG,Y,RC2024_05,CMIE,2022-12-18
2023-01-01,LAUIN100485,3125433,2519099,606334,19.4,4.26,116205,122540,29623,0.07,3.96,2.79,6.44,18521,MOVING_AVG,Y,RC2025_06,MOSPI,2023-12-21
2024-11-24,LAUIN100486,5596760,4587105,1009655,18.04,2.15,116086,56632,13746,3.15,8.92,0.07,1.08,9119,NONE,Y,RC2020_07,EPFO,2019-06-09
2018-03-11,LAUIN100487,4957107,4194704,762403,15.38,7.02,40261,186245,35115,2.13,6.29,5.77,3.19,13116,MOVING_AVG,Y,RC2021_08,CMIE,2025-12-29
2020-05-03,LAUIN100488,867006,693605,173401,20.0,2.31,74187,100451,45028,1.95,7.86,2.49,1.39,10003,NONE,Y,RC2022_09,CMIE,2023-05-15
2020-02-16,LAUIN100489,4189877,4113203,76674,1.83,0.97,10191,318410,44202,4.34,8.24,1.47,4.43,1931,TRAMO_SEATS,N,RC2023_10,LabourBureau,2020-07-14
2019-11-17,LAUIN100490,629658,528284,101374,16.1,6.0,105773,112424,18041,0.5,6.21,1.04,5.91,7503,X13,N,RC2024_11,EPFO,2023-03-16
2021-08-08,LAUIN100491,4886551,4490252,396299,8.11,3.3,7067,42962,47648,5.72,3.51,2.22,2.96,10845,MOVING_AVG,N,RC2025_12,CMIE,2025-08-15
2018-06-24,LAUIN100492,2923469,2691054,232415,7.95,9.41,38110,339298,13862,2.98,7.81,0.73,1.41,17807,NONE,N,RC2020_01,EPFO,2024-04-26
2020-07-19,LAUIN100493,5569180,5305758,263422,4.73,3.97,37152,317555,33376,4.31,7.65,2.06,6.75,16528,TRAMO_SEATS,N,RC2021_02,ESIC,2025-08-14
2023-02-05,LAUIN100494,2590482,2267190,323292,12.48,3.17,50339,222067,8818,0.47,7.12,5.25,2.88,2505,X13,N,RC2022_03,MOSPI,2023-06-04
2018-04-08,LAUIN100495,447670,359435,88235,19.71,2.7,66434,266065,16386,6.13,6.96,3.23,4.2,15829,X13,N,RC2023_04,MOSPI,2021-08-04
2020-09-06,LAUIN100496,1868619,1591130,277489,14.85,5.48,114101,45076,43964,0.52,1.1,1.1,1.0,15107,NONE,N,RC2024_05,ESIC,2024-10-19
2021-06-20,LAUIN100497,2598157,2292874,305283,11.75,8.6,31108,165350,23340,5.25,9.77,1.59,5.34,16896,NONE,Y,RC2025_06,CMIE,2024-06-12
2018-04-01,LAUIN100498,4757874,4232129,525745,11.05,6.78,1623,168343,46520,6.74,4.77,4.41,5.03,3006,X13,Y,RC2020_07,EPFO,2024-07-27
2018-02-11,LAUIN100499,1729042,1448419,280623,16.23,3.01,15480,57299,168,4.64,4.6,1.17,4.66,4069,TRAMO_SEATS,N,RC2021_08,ESIC,2025-09-08
2022-02-20,LAUIN100500,4835510,4599054,236456,4.89,1.89,15823,67696,7898,0.41,1.2,5.98,6.27,16190,TRAMO_SEATS,Y,RC2022_09,ESIC,2019-02-14
2023-04-09,LAUIN100501,5641079,4740763,900316,15.96,0.37,95237,250473,32164,7.22,7.7,3.22,6.57,7850,MOVING_AVG,N,RC2023_10,LabourBureau,2024-06-02
2018-07-01,LAUIN100502,1128868,923302,205566,18.21,9.65,82153,112558,23742,0.36,0.84,0.9,4.65,13131,TRAMO_SEATS,Y,RC2024_11,MOSPI,2024-08-23
2024-02-04,LAUIN100503,1504462,1235465,268997,17.88,1.53,42664,202652,10384,3.55,8.03,2.72,6.11,14040,MOVING_AVG,N,RC2025_12,ESIC,2024-01-23
2021-11-14,LAUIN100504,2544287,2521898,22389,0.88,4.33,88864,256076,48006,2.71,4.91,0.87,0.32,2584,MOVING_AVG,Y,RC2020_01,State_Lab_Department,2019-07-21
2022-10-23,LAUIN100505,4215772,3881462,334310,7.93,7.0,94925,345869,8091,4.45,9.63,5.22,6.81,15255,TRAMO_SEATS,N,RC2021_02,CMIE,2019-05-12
2023-11-12,LAUIN100506,5211257,4369639,841618,16.15,1.38,115217,165439,48024,4.14,4.47,2.09,3.07,16451,X13,N,RC2022_03,EPFO,2021-11-12
2023-12-10,LAUIN100507,2946730,2455216,491514,16.68,1.25,10259,186332,47299,4.34,4.13,0.0,0.29,258,NONE,N,RC2023_04,ESIC,2022-01-29
