edu_finance_fiscal_year,edu_finance_lea_id,edu_finance_revenue_local,edu_finance_revenue_state,edu_finance_revenue_federal,edu_finance_expenditure_instruction,edu_finance_expenditure_support_services,edu_finance_expenditure_capital,edu_finance_expenditure_debt_service,edu_finance_teacher_salary_average,edu_finance_administrator_salary_average,edu_finance_benefits_cost_total,edu_finance_facility_condition_index,edu_finance_technology_spend_per_student,edu_finance_transport_spend_per_student,edu_finance_special_ed_spend_share_pct,edu_finance_ell_program_spend_share_pct,edu_finance_fund_balance_end_year,edu_finance_pension_liability_estimate,edu_finance_audit_finding_count
2020,LEA100349,1382493280,1948970913,908449985,2556285528,918918314,475883739,413626442,98619,110546,191624130,0.24,1379,662,8.35,10.32,518588400,2946348231,13
2013,LEA100350,1912617716,5109935192,151707432,1866890573,328788956,1749883627,78509997,55617,120341,120566194,0.414,924,1354,7.91,7.39,438661454,2010422868,6
2025,LEA100351,1990352705,5421242057,841974996,5324089287,2966117264,630816795,163939575,62315,76536,1328664064,0.443,1893,483,11.82,5.23,12023905,559863750,10
2013,LEA100352,2374144855,1787531243,356657238,4232813164,283466821,23099220,519759788,63808,70020,707386531,0.719,799,309,9.82,11.94,645239561,3171794810,4
2020,LEA100353,326537657,1220002829,1119577688,4208014804,467884030,732676954,747443732,61765,148297,2360628785,0.451,861,1666,16.3,9.76,392823900,2186471058,0
2011,LEA100354,872071265,5196938655,349894313,3167489152,3025526273,1480383946,714171221,98248,92449,1906248529,0.405,1641,296,18.01,11.96,166898023,905978798,12
2015,LEA100355,83799532,2409619416,1263137697,4214387143,3198430931,23719549,793640736,73839,116634,581652953,0.873,522,1791,16.16,3.77,1068875166,1511080345,1
2025,LEA100356,1661496817,5459617003,1295520373,1467578678,3019433171,1729762135,561445979,86445,86651,83968481,0.441,2094,1417,16.35,15.46,758514370,867900760,6
2018,LEA100357,1778771194,5217591468,1358714675,1835241645,3109703753,178660178,822963390,49943,83657,1985241151,0.502,225,2123,23.59,9.39,369939789,1469612940,11
2023,LEA100358,2073137163,5702994048,211720925,6114880978,1195901270,1727670759,630124438,54127,88545,2096760108,0.41,1060,2185,21.1,13.38,740341775,1567792766,1
2024,LEA100359,2766318601,1006229876,1351043668,4861076876,744260313,1416200890,618617300,40392,65260,2296251178,0.405,1575,2025,8.6,10.7,834606336,2044997984,11
2013,LEA100360,934374980,5627393120,344001661,369193779,1313987480,1480688894,230743538,92753,110944,1840654279,0.487,2197,44,14.36,10.69,781227215,1756901690,11
2025,LEA100361,3039689986,466463520,1262971471,2169140013,1921396302,511930277,848633346,85370,161212,2061052356,0.299,233,1018,8.91,15.29,669628586,808622891,2
2019,LEA100362,2497033195,2144831313,1068874101,1509480586,2775129555,1207495721,152406620,55323,168860,1604857108,0.563,1373,802,20.0,1.23,217189147,355423888,12
2021,LEA100363,2750575640,5760535539,1136533397,3879859118,2582179198,263572563,409718572,47745,144839,5641689,0.305,1516,1902,8.53,14.51,1195323180,2177817509,4
2016,LEA100364,812442615,5288719945,988494329,1505740366,503746276,1716856953,285170252,80218,72222,837886525,0.824,1486,1254,25.51,12.74,336190393,378968150,3
2009,LEA100365,2031659530,165804014,1220651643,3422665381,3081355875,970662319,15292657,55517,160706,1897821795,0.287,207,2520,7.56,13.34,892993623,2630463743,6
2015,LEA100366,2497065722,2365028919,1487179072,5151507116,2119717200,32998811,129643053,99491,68206,328058969,0.453,2109,1830,17.29,1.75,510344669,428469322,12
2025,LEA100367,3021771859,4835439821,1183917164,5071104840,49699951,1354115682,86008892,96343,109058,2283153476,0.363,1222,92,17.55,13.44,1066908808,2010703193,3
2023,LEA100368,2833630160,839825491,1055931952,10848790,354198978,203111572,469669616,73435,179940,2068342787,0.348,2170,736,22.66,0.52,870953986,2368546632,1
2025,LEA100369,2656546271,4500351444,630686571,196899775,585876016,1312318953,402553532,56378,91343,868558051,0.566,250,1488,9.27,16.01,806841067,2431456556,8
2016,LEA100370,1968094117,652106050,382978822,2583259471,1296092376,1698602359,587336801,97089,120473,2239469274,0.64,1999,1235,23.6,6.28,717376365,1447654783,4
2008,LEA100371,1004112177,3527263246,1211205643,3724158127,1369824571,224656738,391899972,57683,127695,1101999003,0.844,1216,138,15.75,14.21,1081449514,177295392,0
2024,LEA100372,2156553005,3322567476,333959407,459630359,2454069338,713562233,463079885,63709,149375,506516436,0.462,1894,1507,13.83,12.51,825708160,154993342,8
2011,LEA100373,2671027807,939084227,1016861439,2419905946,66346783,66242510,287808773,93217,92303,978020211,0.345,1824,2280,20.6,1.62,5691769,533101134,10
2013,LEA100374,794083588,739668423,1068330048,2694697639,2813750435,182623816,195730259,47533,157374,856420208,0.703,1003,2273,26.45,16.33,503564884,2793270458,9
2020,LEA100375,1750290634,2287565897,838502142,3953736844,974076888,1070461858,523333706,42310,87065,1466489570,0.991,958,2353,14.52,16.64,494544821,1249125722,2
2015,LEA100376,2365675516,1678712934,946843340,1305300184,1038604965,1739412202,285857653,51711,119162,22939666,0.542,272,2282,17.24,1.73,317456371,2279845656,0
2010,LEA100377,120567406,4847319631,499011782,5789548757,1722798549,238161344,612182957,65118,113461,1878022505,0.476,206,403,25.06,9.65,712929191,1143606749,11
2009,LEA100378,2811628120,2226261829,1001151887,423109745,2260783825,798674943,217364277,43368,79512,781032189,0.289,1261,1879,14.62,15.91,1006823070,2748641983,8
2018,LEA100379,2781558078,5698216727,1488265718,3272799697,96814040,1087924983,891930856,73210,145277,847662787,0.956,2198,316,18.49,0.5,315341474,1486124363,9
2024,LEA100380,2489664816,2003674623,146446029,4658175710,1682263807,667247595,899244199,42449,163866,29663988,0.256,814,2755,14.98,12.19,729548496,2426527198,4
2015,LEA100381,2618780852,2748857838,39282017,3291970517,706161481,52828906,279114056,96675,175052,2289880450,0.809,1535,1605,13.71,10.73,755706740,707905342,4
2009,LEA100382,1946147977,4147213307,242739835,4975197423,1717609599,484499615,451449797,48893,152032,1058674911,0.715,1071,2612,7.47,11.59,197365616,1824942706,6
2010,LEA100383,1606474095,4920132461,1166590087,869355666,1291741546,458883205,30736780,77904,155664,314125842,0.772,845,1522,9.04,1.06,970724203,174688361,11
2020,LEA100384,2283062924,2081981471,702204667,3824106486,1388934616,45845433,372278369,84621,137065,177057294,0.251,53,1478,26.5,15.76,863411422,3320048930,5
2011,LEA100385,1754289986,2379851762,853525128,4490418125,1197778069,558791778,619410147,91855,177191,699808470,0.815,226,1027,18.03,16.39,531036983,3153351335,5
2016,LEA100386,2666591262,402954953,626489904,3203990220,251894916,971634971,793595328,44326,159258,1700563719,0.492,1596,127,9.19,2.42,78940731,3343586045,9
2013,LEA100387,2147474215,4042703051,213885091,2995107413,1851764169,249704558,814718830,78231,112185,933826413,0.805,435,537,19.94,5.73,685382152,265419689,5
2022,LEA100388,700894399,5510603522,423991410,2196187377,1721933961,1687973958,712236785,45350,67715,207672032,0.23,1665,758,18.63,16.41,845319443,1270813829,3
2024,LEA100389,452311508,2920140893,327868689,3012844493,14593866,1568700859,691469232,79007,125531,2256492089,0.316,1843,1285,11.78,12.35,837537936,90348212,8
2016,LEA100390,1635236594,4378120272,736465433,5496290347,2897225447,424231290,379904340,71021,160326,952909117,0.348,1809,1110,14.69,12.63,932307294,734121290,2
2016,LEA100391,1261482945,2077765753,1454106454,4776102155,1754867482,852004781,6423533,57524,108237,1715203242,0.767,1444,184,26.82,3.19,665537902,63582554,1
2013,LEA100392,409307110,4563522248,603752980,3206615505,411072666,665243871,537432811,83691,112922,669988841,0.889,1508,366,10.5,3.14,150556510,1703927357,7
2017,LEA100393,2614637154,3623435935,605306163,2468389114,1437127976,1514496784,136828429,59563,158344,1808227378,0.986,1494,2692,27.36,12.03,159159145,2589724754,4
2016,LEA100394,217944085,685353551,839532471,1697412532,1500890390,1703146702,228378760,98202,55875,1739104726,0.911,1176,25,14.16,4.99,597163316,301630200,7
2020,LEA100395,244159871,1886573204,1427905491,4535346960,2845844625,71169597,496818250,98899,98766,822905686,0.642,1892,2742,22.89,1.3,846818642,2125916159,9
2014,LEA100396,2225936645,4666458601,1195188460,2963368784,2109341841,1547536657,331798975,47730,117858,2265014919,0.4,292,1024,17.05,15.08,566128360,1159902355,3
2018,LEA100397,1334959136,5604054566,1293933543,3683339298,2004871914,961770966,194059451,64720,100368,2342839433,0.341,1485,525,19.5,6.24,1136944940,545501316,13
2019,LEA100398,197155642,5540772552,1387467696,1304873367,503139078,594939167,136185310,41361,72734,14986583,0.599,966,1981,20.7,11.47,243575162,2969151367,2
2009,LEA100399,3081522686,639922840,13495785,4685250056,822974528,617204637,561718148,66957,115646,833875657,0.759,1016,1918,20.52,3.23,1177317829,534121098,9
2019,LEA100400,2974490456,3478456865,1098064470,5461959837,2185824617,575944011,538400658,96322,104505,1634501496,0.505,1132,510,23.2,5.81,754621102,2933074742,2
2013,LEA100401,478738178,1167638106,1443858412,2711343900,761100842,354069443,689104627,96144,73834,276528803,0.207,780,592,14.28,8.41,294108442,3108413554,3
2021,LEA100402,586077933,5341420327,494252476,5799743941,1310802618,367913275,195369188,45792,87932,779839973,0.806,1860,87,11.54,11.09,525959682,1783847183,5
2020,LEA100403,760628840,2944228969,1071052598,2170451763,171472341,426471566,127067197,53026,176272,1716188834,0.322,1327,841,23.13,14.56,120825192,2715236689,8
2017,LEA100404,1979173011,4124534428,1006308208,4055128596,849186884,750329841,266242586,47217,137519,1304296150,0.86,664,1306,20.82,12.48,534195058,748959383,3
2015,LEA100405,2504786459,3489497448,29025022,3783613594,2916301678,1207817895,500530738,101708,69443,2036770018,0.383,586,419,26.14,0.6,1125671520,1256372915,12
2015,LEA100406,1048878221,1167938982,910236354,938963834,1237265009,1065705883,474684147,66392,66539,1799280317,0.479,407,1686,22.43,13.22,609896519,1328878652,5
2012,LEA100407,1951521537,3596397112,1032961516,2917399894,1042017494,1196326530,846456284,45438,91196,1988791697,0.432,2123,570,18.56,6.23,163418947,2680304305,2
2023,LEA100408,2907424571,957264336,925782916,371618229,2101906953,1487079593,428548486,61735,165723,835420680,0.779,888,2779,10.28,17.17,1108103752,123365415,6
2015,LEA100409,2873183498,8275643,1273801176,797233839,889996355,1319907695,57579190,54207,78491,542620968,0.961,1190,2684,20.41,6.51,733988909,1630407496,10
2018,LEA100410,2688777897,3644056174,442523103,435928492,1490895528,1667766203,365597463,90467,167978,2075883800,0.537,1616,840,23.21,8.34,288955332,743266015,8
2009,LEA100411,2194719487,3201045834,649263221,51886019,2753309732,1136809769,318816923,74693,183466,1779940023,0.316,299,2194,17.18,9.97,424757635,2995898689,11
2011,LEA100412,569557029,5173609375,271432541,4114456926,2823003564,1382644458,306962747,68804,108857,676454792,0.377,1570,565,13.49,1.72,-46595826,891524135,4
2024,LEA100413,1986328636,691473541,330555158,231291337,1952885871,1356963712,782482593,81718,161199,231623217,0.387,1439,190,23.65,7.46,830383096,1740905520,2
2014,LEA100414,1827334556,3852629548,784848455,211958524,764745029,1208385793,129519744,54404,108842,1041258862,0.291,165,598,15.36,11.93,985872811,10060428,1
2012,LEA100415,1214116785,4405034946,422702688,2961195987,2099697778,936159108,874058953,73113,61727,941244438,0.748,844,1226,27.71,16.02,761437175,2321164940,0
2016,LEA100416,784915206,1079533840,413652212,1397058030,2371166342,1554271953,457030721,80052,124213,1553202128,0.96,1517,2716,7.29,11.37,500521377,1811854148,7
2020,LEA100417,3015527683,5598385795,952192304,3752924709,1483992178,1015793433,318666091,82687,168493,1930630731,0.238,1129,1999,27.03,6.66,442632963,2451902368,11
2015,LEA100418,770919063,2752987158,131734374,2966131426,1764593387,282444784,886287424,89487,61243,905328015,0.486,1045,393,22.7,5.24,476341199,2185524926,2
2012,LEA100419,2528582917,409322515,529713547,723674586,636759239,632484011,148829101,46752,184393,459614143,0.432,1263,2140,7.42,6.1,801763368,2786011182,7
2017,LEA100420,1451953809,2766672558,3277320,2894219408,1232456428,129810903,813509583,98693,110000,470836289,0.613,604,537,7.93,14.84,98765795,2735825085,8
2018,LEA100421,1841799109,1307400826,1047904226,3764056786,2249391333,881724510,278869309,42877,91487,2307848675,0.53,1692,1377,25.33,16.46,515285897,1372220474,9
2015,LEA100422,2989080688,3221860743,738331596,4444288196,2746601598,735351136,23719537,40275,137200,2113224627,0.748,1772,1684,27.28,3.06,312861047,864891687,12
2009,LEA100423,1321178984,4178215863,585510421,2890266062,802642452,59943424,112884615,44642,72570,1560267971,0.423,1429,2510,11.54,8.47,395406883,588878096,13
2011,LEA100424,2107145876,3829644457,485423400,379605132,1553088949,550204616,163167607,66655,164125,2193970200,0.737,1268,1433,10.63,0.26,1038388228,3436143681,10
2023,LEA100425,2188968047,5388448613,241684485,3091950751,712909854,1248357268,453080442,98710,129086,1064385060,0.25,517,2483,20.54,11.75,156710835,70594871,12
2017,LEA100426,2984366050,937082849,239183025,4536316574,1819139451,711898349,58819910,72659,130073,48861017,0.72,214,71,17.37,14.84,1045732653,282805094,9
2011,LEA100427,462190560,866876974,629358260,2958538541,2862847824,1120465805,882074560,42421,171432,963059878,0.303,2048,398,25.7,15.15,636304103,1338745944,13
2020,LEA100428,1998555090,1010206925,1221794683,2766130606,2483937108,1546285246,144568183,78783,154101,1035061127,0.78,162,1132,22.74,12.95,754571937,2337657552,2
2010,LEA100429,2449854986,1241401677,880025007,5164854817,2755737736,1794361151,265678360,91870,150489,1400371549,0.267,1863,1068,17.86,9.8,179405925,839425569,3
2022,LEA100430,2252856507,4560591331,1385957453,1298414468,916158958,463785689,14963626,40156,160084,1168016479,0.52,1641,2002,9.57,0.4,117065365,3110929211,3
2023,LEA100431,2805969663,868480968,327153490,1833844642,2882632994,1295043025,771637760,92433,101011,1400105972,0.404,151,690,13.18,1.95,487505766,2744904693,1
2017,LEA100432,2367072231,1159034467,1344459149,4131831624,3167834288,1064123783,430514640,38818,126005,1360005837,0.366,1977,2046,18.04,15.23,25525136,3150008040,8
2019,LEA100433,1096415719,4681029514,384700142,4410661461,1806161785,618914634,779376368,85186,123810,714777761,0.37,162,1605,26.7,2.49,50373999,479928282,11
2009,LEA100434,319663405,4006390048,137273509,1907137838,2756027766,765671321,840779360,58083,106261,78401686,0.534,2094,2359,11.2,12.25,835074107,2979440066,9
2013,LEA100435,515701766,5675467555,584385104,2906701955,1458664862,1127474375,837688123,62803,158195,1517029077,0.45,241,1261,27.63,5.0,529680333,3172188849,7
2010,LEA100436,143349347,5424234445,1266994902,1252229775,1052120411,853869451,857304387,38367,153306,1057320816,0.226,1463,2045,12.51,2.04,418062576,2327238212,13
2011,LEA100437,748226821,45382270,623812935,1717538224,683145188,653853717,822552993,70857,126505,1451535273,0.677,1342,97,19.29,13.95,1002349796,216893403,1
2012,LEA100438,780502027,3830928740,981267070,5448864859,2187568993,1153666682,27858171,49324,157918,489943332,0.541,1655,166,13.37,7.46,1031900475,2880291769,13
2019,LEA100439,983644284,5711760385,1226848488,4021353627,2219630073,1427678965,655820900,58912,70910,1025374936,0.951,2169,329,7.64,3.11,303287532,1329357308,12
2019,LEA100440,2987752259,1494135405,617921453,3753679146,658986924,253184108,595144673,71271,126438,737433103,0.598,586,411,13.02,6.1,1043017368,3145583860,6
2019,LEA100441,1787064015,2316943656,458856540,909526416,1651077881,798506734,75203879,38524,136968,1691039381,0.214,1486,1557,14.02,9.53,26554652,2995107270,11
2012,LEA100442,483956229,4690409586,400709239,2273027041,3106203999,1400626175,267371980,39145,175922,2080784465,0.251,1854,1985,10.07,15.89,258153215,690752790,8
2013,LEA100443,783316438,5711017771,121163389,5722309175,668062557,17195378,276127364,64849,131914,1925217926,0.686,1009,128,15.33,4.85,619519289,291493373,5
2023,LEA100444,1840418784,2053713155,390779512,104614518,1008711494,324776562,538273046,100642,166115,1938855323,0.21,475,741,7.82,1.13,561964964,1766396495,8
2017,LEA100445,2678899523,1903677579,1339507377,1942840642,1146207094,1060104846,876754427,69686,115973,2206496192,0.383,346,33,9.69,6.62,46931529,2235331427,7
2019,LEA100446,942884628,2400772315,228817935,5711406432,365986117,311402463,554715211,76764,122789,431084973,0.352,1561,2343,7.19,9.64,890721382,21063837,12
2015,LEA100447,413785642,1453749515,309913430,152818397,2502046447,1660699006,716282903,67494,129969,2395186529,0.887,1660,1490,7.82,10.68,730603554,2624459582,6
2021,LEA100448,55715186,3404141106,898902798,4506980496,1516763726,1103872712,526705231,97573,173570,2183958808,0.254,1360,1398,19.63,12.93,1162133584,2307125562,1
2013,LEA100449,1444264193,1314792311,863556054,4223444448,845141308,781097020,784550733,83757,113947,2334002251,0.277,720,2500,9.98,16.73,790877515,2956110883,1
2018,LEA100450,1013381505,3582294502,375581492,5577205007,1794467288,1467902802,371896596,97746,75552,1040090071,0.32,2118,2440,15.22,7.26,1078098833,1090125431,3
2009,LEA100451,2966757589,704056908,1183887335,5233347386,2980320147,1031031737,674015262,51995,136427,687151308,0.678,394,255,15.05,10.0,6734388,2059062934,5
2023,LEA100452,1480503463,4682795507,415766813,1899620452,2486285645,1099656256,645006799,80667,144198,1540028276,0.383,2180,2662,20.85,0.5,725087316,1859014887,12
2025,LEA100453,830027814,4275175538,329066954,6009178874,3022642709,735070716,426815418,77679,96552,472557757,0.484,1409,715,9.04,14.27,636484803,2782301130,13
2012,LEA100454,628017646,2130572213,1083274375,959531796,599287637,518219070,216029690,78126,182461,2019896275,0.803,1306,632,23.98,17.07,811897757,1020211644,13
2023,LEA100455,2616412185,2208763974,879570199,5226314206,1893956542,1063468175,123367174,100166,92211,874785941,0.549,781,1154,15.34,7.53,1099661,604828199,1
2025,LEA100456,1974753348,2296010636,326055709,5868350420,363860943,1366580880,177117101,94092,74900,132761023,0.425,1059,1898,8.49,16.38,804885668,1382848286,8
2018,LEA100457,668037615,2872956559,1002414887,4350471033,1005316299,426443021,603307067,72001,115591,1336740115,0.506,2168,2497,10.96,15.26,696294860,3059139298,4
2021,LEA100458,2772758810,5458453417,1021318419,5487367734,1387857999,53037588,555614087,98899,171759,209261102,0.279,1580,2600,7.01,6.25,639051753,2433791616,4
2009,LEA100459,2373161193,4645891348,275123973,1787022794,1835652347,961406997,781974909,69189,113674,2187862652,0.915,651,361,10.0,7.95,1064368454,2178795136,4
2020,LEA100460,2166025717,2344493173,1341137302,2625227418,2412113628,253069985,66391625,62269,79267,1023604941,0.989,1413,1101,19.59,1.65,1179371549,374507138,10
2020,LEA100461,1808348693,3708239001,124038199,2316745882,3190484406,1715548384,33503847,101460,140122,1217523665,0.684,1100,144,19.87,0.46,679089306,1312710669,2
2024,LEA100462,140487115,3960988182,1060979584,4686296234,2167018090,751239355,729461420,76728,64672,619831195,0.2,1745,1126,16.91,15.28,341983226,2180964724,6
2014,LEA100463,3097966966,3369008097,468434150,2911713635,772104427,813088622,249522542,93197,80944,1119726264,0.468,1558,327,16.02,17.82,134984802,1575975729,5
2022,LEA100464,2753715177,3884952274,985153263,893136488,1216500091,1694050087,703995498,93359,60292,1733233753,0.232,670,1848,15.29,6.06,242424735,2873369708,3
2018,LEA100465,2576061360,5620065526,420885891,1829049280,1488205792,281675085,90084498,91481,91018,1290263833,0.539,1762,1378,17.88,7.27,1064691276,2538459564,4
2013,LEA100466,114849544,1871416760,1215740467,855256684,521749091,662825963,28689441,72624,109276,775171864,0.94,1734,1353,16.55,13.61,1144222093,3111929026,1
2022,LEA100467,1449341238,1525560792,460574445,750045055,1718835455,1134570523,235472229,54058,76000,1360321167,0.52,1042,1747,17.0,17.8,118678041,3003624631,5
2019,LEA100468,372786166,5166557908,787354977,5035154904,224278415,170633388,283506207,94866,80141,2106380603,0.488,184,1170,21.69,11.2,1070262190,1709035525,10
2017,LEA100469,3062056505,5260066273,965021729,1591731715,1397511446,832271486,668291122,77102,140632,34666878,0.577,1641,826,14.04,7.18,390717863,2259502357,8
2013,LEA100470,1821239172,3243360807,101665512,4815782703,148015832,507819290,105773031,60231,78553,1115198576,0.436,1802,1082,22.14,4.21,736738330,149566041,5
2012,LEA100471,2509768778,783976540,149397628,695066080,1844217025,670452683,863363720,60630,170191,2080870,0.765,158,302,19.95,9.75,791570512,1671939405,7
2013,LEA100472,2437744503,3475036773,492205087,3219025002,1242187619,1317090615,135271322,69641,145817,2389645559,0.571,915,753,27.59,5.02,190631328,705584644,4
2012,LEA100473,1747232881,4325548252,1008234202,2157271262,2015426862,1538773030,382740053,87002,139127,546544748,0.218,1120,2465,15.16,6.89,698241964,1195795041,1
2018,LEA100474,1421703602,1078705103,688156220,4099678085,288815315,1699546086,220720163,95841,136538,1617960363,0.884,446,2183,19.41,4.75,1139137863,1234888031,7
2015,LEA100475,1924897839,3399995513,891782049,2650861096,1506599654,1250610087,558638898,74873,107879,893842768,0.476,801,1855,27.9,10.87,92507216,405768254,3
2021,LEA100476,1660397263,3040001752,312353714,4715727002,3039601159,8484461,667761677,38744,175381,226412670,0.319,2103,516,21.26,4.12,805674429,1276185536,2
2020,LEA100477,2416835342,5447430914,665923835,1468753377,1365529,1356961138,393128760,72418,124260,2062226406,0.687,2095,2001,24.88,4.53,1075900851,1860295783,6
2023,LEA100478,1602885669,4385003196,416590538,4013977263,2783906976,1009660705,575368395,94832,126220,887517050,0.92,803,1538,16.38,3.79,1059409683,438260341,10
2019,LEA100479,76773418,1847078922,897654335,3405420792,2725780478,81363749,608421272,40814,123916,899241420,0.804,1251,519,8.97,1.87,550392040,757217722,13
2025,LEA100480,170346183,3698225237,1020025176,4182842005,186081208,281415006,12141799,91030,112714,1357708996,0.967,1330,47,25.07,0.41,112374989,1582026420,10
2014,LEA100481,1613742084,5557353097,346226536,4865249157,2378736910,670074026,438667541,77973,178800,2049439554,0.702,1412,343,9.98,3.11,110463980,2738167041,8
2015,LEA100482,742098002,4954487483,924851088,5018030171,2819104272,1265996811,529952477,67038,103235,106149272,0.605,1142,2530,23.3,8.62,313765212,703767529,10
2024,LEA100483,22877197,509111021,178991636,4254037227,2301401563,336354824,227756736,43782,172160,534804573,0.508,835,2162,10.3,8.09,1045371618,3137595407,2
2025,LEA100484,2286465474,987720873,401442164,484346824,2175290777,53838709,828191836,90234,115050,1096994288,0.574,625,2562,23.32,10.51,1183031297,608908746,8
2017,LEA100485,275696686,2135166635,377163540,4632179136,2948469250,1237789221,622331937,100243,106951,921548588,0.886,1447,1228,10.15,4.96,360668182,1252487876,1
2010,LEA100486,608855218,4619896589,966815125,5502568721,1663092399,1098971881,380179384,71819,156160,700232197,0.738,1358,1319,14.64,2.96,168652676,1498078796,3
2020,LEA100487,3133225173,2525846778,502973784,3639395899,1744200585,1142175342,201568990,66379,73741,1623304978,0.563,602,1724,24.63,8.84,251643586,3154545560,2
2009,LEA100488,3149346760,130964853,977699963,3685165643,3106392505,1346215503,525827030,97170,57983,472667184,0.586,1080,498,13.17,1.35,794286991,2522942713,6
2009,LEA100489,1727749534,690438668,660677571,4033878543,1146695498,326809686,453295443,68400,69886,1041163024,0.824,955,2592,15.38,13.92,605811734,2764067606,11
2010,LEA100490,2831746636,2853165319,581052298,1441604938,1357290668,760610056,312804846,77626,56012,955625561,0.841,2130,2210,13.0,12.1,1134283180,574267584,11
2017,LEA100491,848523122,1223058950,1027512897,3084716233,2640358250,1704008724,232798398,54258,71896,939532287,0.864,866,2152,11.01,9.36,69911297,2983192121,10
2017,LEA100492,1658059969,3611647894,860284884,2898233382,1815471186,484112643,569935861,93585,61072,926014149,0.611,971,2420,23.07,13.4,119934726,1127723614,11
2020,LEA100493,2393885109,5597689467,1455980885,1343861049,2860206503,7871260,803799836,88335,136627,1045535690,0.373,2078,2115,26.1,12.53,423218161,2356923373,8
2018,LEA100494,1191983962,515312698,1025509334,3284480221,360826374,1027027619,213526722,41201,70824,1011187926,0.368,1257,1053,12.34,7.09,907782406,299325416,6
2025,LEA100495,566847019,4121570627,1418550605,185476430,2092232923,1071744504,460064151,77160,133577,983546341,0.962,698,2698,27.48,8.98,445127870,315838332,8
2019,LEA100496,1676952533,3181300949,1378229250,2201854195,2714111492,944850408,655697709,58157,156909,2176065649,0.325,1590,369,22.13,2.2,869999360,1293416203,11
2016,LEA100497,2668122178,1982686712,1478357796,5229842865,855887449,406852818,360870536,69650,120937,2383331615,0.708,316,461,19.1,16.0,511678661,1059729660,7
2010,LEA100498,1321538556,4292667537,743881140,2340855304,3042640437,1449599787,27371833,93935,107005,1592805760,0.337,1702,2459,27.65,1.93,374973838,169346265,8
2020,LEA100499,1123824668,1407232272,1109417632,362584919,667858200,311807004,438604279,62857,142405,915343054,0.337,1386,2554,22.19,8.43,694488338,1952015811,3
2019,LEA100500,274157801,539594694,1474438983,5700469812,660733134,1253641360,519612148,87785,171430,1052872362,0.659,1359,1940,16.87,5.87,882033408,1008430122,3
2011,LEA100501,3087082560,1429369378,1029221175,3816254962,820705467,1629518709,71904247,69239,168083,1135242749,0.208,2152,798,15.23,7.48,689637872,2584939485,0
2014,LEA100502,1561170978,4281135225,537376542,1224789191,1623412658,761857977,474243894,63438,170521,1972006867,0.681,1633,971,9.23,12.84,697614774,1737135337,11
2018,LEA100503,627491601,838263350,614499358,377198581,1600803016,1263486303,877882910,92054,79115,147077433,0.962,1485,1158,19.88,7.2,123158131,353170522,6
2022,LEA100504,1725681831,2223043483,18458326,6081661623,2142989109,535454390,721979156,45476,85380,216773659,0.353,1258,129,7.27,7.68,34882205,1497982578,10
2008,LEA100505,566735759,231618638,1283175439,2993416029,2357022452,1016551164,458952870,94009,56216,2059699414,0.751,408,1332,20.69,6.82,835572520,678280021,13
2022,LEA100506,3040299559,1051065876,1385414647,3237081793,3183084012,889405689,72151302,101733,106519,190745586,0.898,2023,2262,10.22,11.77,538241406,215351315,7
2024,LEA100507,488017884,481927220,126646851,5191037250,579128134,958363877,79703652,46462,103311,2250188070,0.779,238,1776,9.55,8.63,910715833,2373436866,13
2013,LEA100508,1321654106,4000260686,683356568,1971273104,2149186921,1051177658,30064395,60140,95650,1566858738,0.703,337,2712,21.71,10.92,971226775,1875006952,2
2014,LEA100509,428656049,1588534440,747351467,2314835332,2120469583,879999143,575721691,64471,131340,1558930841,0.42,1361,2766,18.92,13.19,-39823966,2401574473,8
2014,LEA100510,1770330065,5324093982,439559334,2557999075,1568237346,1708588566,744954784,84403,119841,2088495729,0.317,2004,986,12.67,6.46,617494111,569672212,0
2021,LEA100511,2409416596,4967742621,1245381628,193092989,2970478778,1075180459,341753740,92930,94259,1902366126,0.844,1578,223,17.11,5.85,518703551,2014464038,2
2011,LEA100512,1913700655,4586717020,1148408218,2328454529,979577164,196999147,115360127,84993,168831,2057341113,0.377,993,1611,25.08,14.5,847401417,1074211582,1
2009,LEA100513,217933706,4926087717,1348657529,786151264,175111709,213356675,487224562,94854,109573,738671827,0.328,961,1014,23.03,3.98,1181423928,1264163035,13
2013,LEA100514,2484058386,4886208608,656215836,2986330972,573887733,66946341,268312828,57439,116587,1463389315,0.712,820,726,9.14,12.32,208423229,1146669844,5
2022,LEA100515,753917369,5499093079,1125625185,2462950351,116854728,106994239,565126287,60232,88234,1995226566,0.824,344,1489,23.68,16.89,238903843,38566642,3
2021,LEA100516,38271807,4479394920,908470,5717361509,202432191,1556942772,290799683,59419,56741,23941657,0.289,735,2381,17.01,11.08,577319218,3080424289,6
2014,LEA100517,799371830,3792925387,1315240584,312704677,425383793,1026518296,722496414,86906,76574,1185900413,0.759,1978,1529,19.76,4.63,120857403,2830100334,7
2014,LEA100518,256629098,5077155363,1409293759,661482317,835629927,1708810369,252313117,94569,165589,280718571,0.971,612,1382,27.38,17.65,350374069,343798428,1
2009,LEA100519,1772791548,2877490566,1419433772,1956850734,2076027610,1172453329,78455175,74470,183984,1608802337,0.94,789,605,13.26,6.25,171702848,1831932235,3
2008,LEA100520,2898052929,2482761187,268891350,3285683761,2431274722,12065895,592513582,88780,116344,2143491929,0.223,853,785,11.6,10.4,1016160567,3217853343,8
