food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_inr,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2016,NBH_000486,0.05,1.824,0,1318,234,RURAL_LOW_ACCESS,57.69,8798.41,3.547,1.467,15.79,59,29.87,46.01,0.0,0,84.02,44.58
2015,NBH_000487,0.735,2.345,0,990,282,LOW_INCOME_LOW_ACCESS,52.1,1613.54,5.451,2.676,44.65,38,25.2,81.39,10.86,1,50.7,40.55
2026,NBH_000488,1.7,0.861,1,694,156,URBAN_LOW_ACCESS,78.26,900.48,0.0,1.037,32.04,87,47.54,47.68,9.71,1,42.04,45.95
2013,NBH_000489,3.305,2.063,0,139,18,LOW_ACCESS,71.36,4516.89,0.0,2.354,43.89,67,27.47,45.98,16.0,0,89.76,48.12
2016,NBH_000490,2.023,1.53,0,717,644,LOW_INCOME_LOW_ACCESS,83.62,2247.37,2.406,1.676,0.62,36,51.1,54.91,18.77,1,76.36,53.74
2023,NBH_000491,1.72,1.154,0,894,436,ADEQUATE_ACCESS,55.42,10327.24,0.572,1.603,26.72,10,66.29,61.39,15.97,1,53.76,43.48
2021,NBH_000492,1.765,1.868,0,459,247,LOW_INCOME_LOW_ACCESS,73.67,7075.37,5.629,0.0,62.3,67,11.92,84.09,11.01,1,55.23,47.15
2015,NBH_000493,1.301,1.36,1,337,268,URBAN_LOW_ACCESS,56.67,3747.03,1.364,0.575,91.49,16,54.63,20.58,18.52,0,56.93,63.38
2025,NBH_000494,2.483,2.33,0,508,527,LOW_INCOME_LOW_ACCESS,79.32,1981.28,3.96,0.0,67.48,2,93.96,70.08,15.58,0,81.81,82.57
2016,NBH_000495,2.249,3.354,0,270,401,LOW_INCOME_LOW_ACCESS,49.87,3016.91,1.719,1.264,35.28,16,70.0,53.03,14.93,0,85.7,75.52
2023,NBH_000496,0.05,1.443,1,1273,176,LOW_INCOME_LOW_ACCESS,54.95,7314.73,3.388,3.476,65.05,90,59.97,38.04,11.25,1,79.84,21.1
2019,NBH_000497,0.338,2.831,0,1440,546,ADEQUATE_ACCESS,65.72,5260.44,0.67,0.823,0.0,55,58.34,47.12,19.9,1,47.98,51.12
2023,NBH_000498,1.792,2.074,0,464,566,RURAL_LOW_ACCESS,80.31,11705.14,7.122,2.912,45.99,42,15.09,41.62,26.66,0,53.91,62.13
2024,NBH_000499,3.109,1.445,0,1216,249,URBAN_LOW_ACCESS,45.92,4808.97,1.318,0.0,33.66,10,46.3,56.68,18.67,0,57.49,32.75
2012,NBH_000500,0.05,0.019,1,1664,509,ADEQUATE_ACCESS,72.63,7145.8,3.239,2.165,79.34,12,72.11,38.84,12.6,1,53.9,63.02
2020,NBH_000501,2.454,0.956,0,1552,220,URBAN_LOW_ACCESS,52.12,6085.69,2.221,1.363,52.04,79,57.49,47.15,14.65,0,67.41,20.55
2022,NBH_000502,0.826,1.401,1,1258,105,LOW_ACCESS,48.67,11392.18,5.423,0.926,52.14,55,18.38,36.04,10.33,0,72.02,39.2
2018,NBH_000503,2.055,1.588,0,865,31,URBAN_LOW_ACCESS,86.47,8992.43,4.51,3.613,35.12,52,70.69,49.38,39.61,0,49.33,49.11
2023,NBH_000504,0.424,0.107,0,183,466,URBAN_LOW_ACCESS,55.12,4070.35,2.863,0.528,61.62,32,54.18,61.46,19.16,1,62.49,73.82
2025,NBH_000505,0.948,1.875,0,1266,224,RURAL_LOW_ACCESS,66.88,5352.65,5.796,2.767,70.16,22,42.04,56.33,17.81,1,65.51,65.74
2016,NBH_000506,1.661,2.105,0,1439,399,LOW_ACCESS,54.53,11728.4,3.773,1.445,59.69,83,75.58,47.19,18.76,1,52.16,30.74
2024,NBH_000507,1.388,2.344,1,1279,416,RURAL_LOW_ACCESS,53.15,904.52,6.209,0.94,73.72,4,61.31,47.42,14.05,0,61.75,20.25
2022,NBH_000508,2.119,1.417,0,1089,515,URBAN_LOW_ACCESS,66.12,5311.47,4.505,0.546,14.58,49,60.12,25.89,30.81,0,63.07,67.42
2025,NBH_000509,0.05,3.099,0,248,17,LOW_ACCESS,60.36,1134.82,2.748,0.77,73.88,14,54.49,30.25,20.55,1,49.06,61.12
2020,NBH_000510,2.103,1.385,1,1653,210,RURAL_LOW_ACCESS,88.01,4244.7,2.086,1.611,73.37,31,44.65,64.41,24.45,1,51.59,40.02
2017,NBH_000511,0.704,1.15,0,1773,299,LOW_ACCESS,85.49,7082.56,0.574,2.266,22.16,55,77.85,63.73,21.2,0,51.72,68.4
2026,NBH_000512,1.479,0.767,1,1492,424,LOW_INCOME_LOW_ACCESS,74.71,5876.02,1.963,3.807,51.48,69,26.22,53.41,0.0,1,47.91,88.73
2017,NBH_000513,2.26,1.948,0,7,649,RURAL_LOW_ACCESS,48.15,11310.99,3.791,0.0,73.56,90,28.57,54.81,12.97,1,72.64,76.25
2016,NBH_000514,1.27,2.222,0,742,461,RURAL_LOW_ACCESS,57.45,2701.29,1.279,2.845,56.37,23,53.67,38.52,6.01,0,73.35,69.14
2020,NBH_000515,2.867,2.1,0,1718,173,RURAL_LOW_ACCESS,65.41,1337.79,7.739,2.491,51.39,24,44.63,50.31,19.97,0,45.56,26.13
2019,NBH_000516,1.8,0.651,1,656,456,LOW_ACCESS,62.48,7295.97,3.727,2.386,66.78,87,45.9,45.16,21.32,0,63.62,42.03
2013,NBH_000517,2.079,0.638,0,1277,242,URBAN_LOW_ACCESS,61.08,8957.71,1.61,1.665,70.96,25,53.73,40.88,34.34,1,42.88,43.79
2019,NBH_000518,1.648,3.167,0,1383,570,LOW_INCOME_LOW_ACCESS,34.78,9346.52,3.073,1.279,47.94,56,21.99,27.39,26.68,1,62.99,47.5
2019,NBH_000519,0.767,0.753,1,254,332,RURAL_LOW_ACCESS,71.88,8940.34,2.118,1.479,12.1,29,63.77,57.3,1.84,1,54.65,45.44
2019,NBH_000520,0.877,1.861,0,371,550,LOW_INCOME_LOW_ACCESS,61.96,10526.05,5.282,3.216,37.59,79,30.05,55.06,12.79,0,41.05,32.84
2017,NBH_000521,0.783,0.682,0,249,96,URBAN_LOW_ACCESS,73.38,9463.05,3.94,3.383,29.16,2,66.84,58.03,18.22,0,31.79,74.6
2013,NBH_000522,3.701,1.248,0,597,580,LOW_INCOME_LOW_ACCESS,75.21,7563.12,2.86,1.687,43.77,32,67.36,58.89,34.86,0,85.41,76.73
2014,NBH_000523,2.632,2.521,0,1716,240,URBAN_LOW_ACCESS,66.47,6375.55,3.379,0.658,72.22,82,54.72,32.87,9.79,1,75.6,68.9
2021,NBH_000524,2.124,1.979,0,1527,206,LOW_INCOME_LOW_ACCESS,59.75,5316.55,3.776,1.229,78.15,88,75.72,58.26,6.8,1,48.4,45.07
2021,NBH_000525,0.05,0.622,0,383,54,LOW_INCOME_LOW_ACCESS,47.51,4320.03,5.086,0.594,45.05,54,61.58,22.02,15.77,1,71.24,59.91
2019,NBH_000526,0.05,1.55,1,293,351,RURAL_LOW_ACCESS,80.12,9296.5,7.429,0.735,57.8,89,71.85,56.06,21.97,0,51.47,45.8
2016,NBH_000527,1.187,1.581,0,487,250,ADEQUATE_ACCESS,49.0,8864.23,4.629,1.924,55.0,21,54.35,20.27,30.41,0,71.89,47.16
2017,NBH_000528,2.549,0.893,1,1282,63,ADEQUATE_ACCESS,54.77,2377.88,4.04,1.846,52.19,13,26.36,50.12,12.25,0,47.98,11.58
2012,NBH_000529,1.441,1.883,0,673,116,URBAN_LOW_ACCESS,68.94,7386.37,5.05,0.0,70.0,39,60.81,59.22,20.26,1,31.63,31.51
2025,NBH_000530,4.021,0.072,0,1005,230,LOW_ACCESS,77.25,7296.59,3.54,1.124,29.51,51,80.43,55.35,9.12,1,58.9,3.52
2016,NBH_000531,1.001,1.985,0,656,401,LOW_INCOME_LOW_ACCESS,53.48,7966.66,6.358,1.277,57.05,40,38.95,16.99,5.04,0,88.7,56.78
2023,NBH_000532,1.659,0.055,0,1348,196,LOW_INCOME_LOW_ACCESS,71.44,3235.29,2.617,2.795,59.83,86,76.78,63.37,25.94,1,61.11,7.54
2016,NBH_000533,1.293,3.007,0,145,570,ADEQUATE_ACCESS,62.68,4198.69,3.564,0.972,54.97,41,77.41,49.98,5.15,1,64.69,68.32
2011,NBH_000534,2.065,2.117,1,1731,6,URBAN_LOW_ACCESS,84.39,924.89,2.182,3.887,38.09,79,40.68,68.95,1.34,1,54.73,47.42
2025,NBH_000535,1.067,1.564,0,103,181,LOW_INCOME_LOW_ACCESS,57.56,3733.95,0.0,2.644,21.64,46,48.76,53.41,33.83,0,61.76,73.59
2023,NBH_000536,1.893,1.265,1,1507,449,RURAL_LOW_ACCESS,49.04,6986.53,3.695,3.064,41.82,67,47.23,59.8,24.94,0,41.08,69.12
2012,NBH_000537,0.05,0.438,0,1741,259,RURAL_LOW_ACCESS,67.39,11132.33,6.128,0.232,30.41,76,64.39,36.36,30.81,0,48.43,56.03
2017,NBH_000538,0.979,0.984,0,718,37,ADEQUATE_ACCESS,56.11,2289.57,4.449,1.0,31.14,49,70.36,7.77,27.94,1,70.41,74.33
2014,NBH_000539,2.179,2.876,1,873,45,ADEQUATE_ACCESS,61.15,5501.39,8.109,0.453,90.42,29,55.96,71.77,25.43,1,52.43,85.4
2017,NBH_000540,0.05,1.414,0,211,586,LOW_ACCESS,44.0,9049.42,6.179,2.736,16.72,19,43.4,66.78,20.98,0,48.35,39.57
2024,NBH_000541,1.462,2.449,1,763,393,RURAL_LOW_ACCESS,88.32,5839.25,4.415,0.963,93.95,87,80.87,29.69,13.18,1,57.23,44.45
2021,NBH_000542,1.913,0.823,0,1766,21,URBAN_LOW_ACCESS,78.56,9889.08,1.038,2.348,35.33,80,22.46,49.93,12.98,1,80.79,50.83
2017,NBH_000543,0.05,3.505,0,1629,50,RURAL_LOW_ACCESS,65.3,11197.68,3.573,1.712,64.69,57,14.37,47.58,21.71,1,50.5,32.97
2026,NBH_000544,2.8,1.553,1,1139,239,ADEQUATE_ACCESS,57.12,10121.38,3.345,3.968,70.05,61,43.48,26.57,25.57,0,30.7,31.73
2020,NBH_000545,0.05,2.047,0,1487,605,URBAN_LOW_ACCESS,57.79,1254.59,6.201,1.807,47.09,50,46.63,39.71,31.71,0,46.56,61.81
2026,NBH_000546,2.553,2.36,0,788,352,URBAN_LOW_ACCESS,68.85,6020.91,4.749,0.0,65.13,82,74.73,62.8,24.09,0,25.1,71.12
2021,NBH_000547,0.79,2.129,0,1353,591,LOW_INCOME_LOW_ACCESS,81.14,4673.73,8.082,0.899,25.48,35,53.33,48.01,18.45,0,53.13,73.32
2025,NBH_000548,3.116,1.633,1,53,275,ADEQUATE_ACCESS,74.22,10397.02,4.031,0.0,59.45,32,60.68,49.01,15.34,0,95.98,74.91
2021,NBH_000549,1.714,2.53,0,1075,389,ADEQUATE_ACCESS,72.93,6797.28,3.124,2.222,50.66,25,22.69,43.19,22.06,1,36.59,62.71
2011,NBH_000550,1.137,0.033,0,980,222,LOW_INCOME_LOW_ACCESS,55.77,7545.86,5.263,2.149,50.54,33,47.42,33.35,20.58,0,68.06,33.25
2025,NBH_000551,3.021,3.465,0,599,489,RURAL_LOW_ACCESS,55.57,8378.38,0.817,1.808,42.72,20,41.01,31.72,34.78,0,51.02,53.33
2014,NBH_000552,5.405,0.0,1,119,646,ADEQUATE_ACCESS,77.78,5012.5,4.932,0.988,50.98,4,61.62,49.72,0.0,0,59.52,70.62
2020,NBH_000553,3.174,1.503,0,1468,400,ADEQUATE_ACCESS,83.73,11372.46,5.571,2.267,53.17,54,49.23,55.69,16.42,0,79.68,56.58
2024,NBH_000554,0.818,1.672,0,537,42,URBAN_LOW_ACCESS,62.49,936.91,3.18,2.355,87.53,69,82.93,52.39,32.87,0,71.52,37.98
2021,NBH_000555,0.12,1.563,1,613,88,ADEQUATE_ACCESS,55.74,5555.31,0.0,0.267,47.1,4,100.0,44.96,19.61,1,48.33,55.37
2014,NBH_000556,1.757,2.875,1,1745,301,ADEQUATE_ACCESS,58.87,2372.95,0.037,2.671,36.32,41,37.45,60.85,25.9,0,56.13,20.49
2019,NBH_000557,1.119,2.158,1,1151,11,RURAL_LOW_ACCESS,87.12,7330.26,5.375,0.754,49.34,44,23.59,36.99,27.06,0,22.12,36.19
2014,NBH_000558,3.178,1.571,0,864,136,LOW_INCOME_LOW_ACCESS,63.29,8460.97,4.459,1.692,36.24,72,37.56,50.73,11.55,0,43.49,58.01
2024,NBH_000559,3.282,2.347,1,757,22,URBAN_LOW_ACCESS,63.99,6809.86,1.777,3.725,56.15,16,73.11,41.29,16.23,0,81.99,42.88
2014,NBH_000560,2.122,0.0,1,512,91,ADEQUATE_ACCESS,74.03,6382.62,1.712,2.105,49.84,84,72.05,54.54,29.06,0,73.07,40.95
2013,NBH_000561,0.33,1.545,0,468,14,LOW_ACCESS,55.44,7589.63,4.046,0.768,20.62,18,40.01,64.62,24.26,1,46.73,74.56
2013,NBH_000562,2.779,1.936,1,45,132,RURAL_LOW_ACCESS,62.34,4821.89,1.815,0.0,58.0,64,17.01,58.88,19.19,1,62.47,49.03
2026,NBH_000563,3.678,1.725,0,1450,340,LOW_INCOME_LOW_ACCESS,27.95,11631.48,4.923,3.617,68.13,16,58.29,47.24,20.26,1,38.3,28.36
2021,NBH_000564,2.028,1.868,0,879,345,LOW_ACCESS,83.78,9162.85,7.025,0.893,71.88,69,58.94,48.35,17.17,0,72.16,33.92
2014,NBH_000565,0.771,2.336,1,90,56,ADEQUATE_ACCESS,81.67,3005.86,4.381,1.871,55.08,53,77.02,66.6,22.94,1,66.89,17.36
2012,NBH_000566,3.501,0.699,0,702,303,LOW_INCOME_LOW_ACCESS,62.92,6471.3,4.783,0.39,43.03,10,50.8,49.01,13.08,0,75.58,37.15
2016,NBH_000567,0.976,2.544,0,454,627,LOW_INCOME_LOW_ACCESS,30.94,6532.15,4.45,1.379,67.44,73,47.06,44.5,36.51,1,47.18,45.87
2019,NBH_000568,0.05,0.588,0,1466,613,URBAN_LOW_ACCESS,75.82,4029.91,4.555,2.581,72.65,46,83.77,41.49,24.28,0,56.92,42.72
2021,NBH_000569,4.362,1.534,1,1174,460,ADEQUATE_ACCESS,39.74,9282.57,4.169,0.0,85.16,13,50.85,30.84,10.77,1,71.82,36.51
2011,NBH_000570,0.795,1.168,1,1554,277,URBAN_LOW_ACCESS,75.21,3674.83,0.805,2.984,29.68,68,42.33,62.1,13.05,0,62.61,79.7
2012,NBH_000571,2.452,0.915,0,730,401,ADEQUATE_ACCESS,45.65,5767.59,4.049,1.431,68.07,5,75.18,17.74,19.82,0,53.09,74.38
2025,NBH_000572,2.244,2.642,1,32,187,ADEQUATE_ACCESS,68.8,6644.88,1.747,0.993,52.33,81,86.69,30.35,13.17,0,67.12,35.64
2021,NBH_000573,3.57,0.682,0,17,289,ADEQUATE_ACCESS,44.23,1670.21,2.965,1.411,44.33,73,58.93,74.94,16.48,1,61.68,71.3
2022,NBH_000574,0.815,1.604,1,128,505,ADEQUATE_ACCESS,61.27,5055.15,0.565,0.62,42.29,34,93.1,56.89,26.69,0,43.38,49.96
2022,NBH_000575,2.187,1.597,0,487,622,LOW_INCOME_LOW_ACCESS,71.65,7478.36,5.292,2.215,51.19,80,58.81,14.5,24.87,0,13.45,81.21
2026,NBH_000576,1.488,1.2,1,603,236,LOW_ACCESS,70.11,3049.18,6.054,1.693,43.34,22,20.5,79.09,29.65,1,64.13,29.55
2021,NBH_000577,1.448,1.32,1,10,201,ADEQUATE_ACCESS,81.6,6672.1,2.42,5.764,75.55,38,84.6,55.69,11.27,1,52.74,93.19
2020,NBH_000578,1.471,0.845,1,1177,492,LOW_INCOME_LOW_ACCESS,57.01,10200.14,4.623,2.298,59.27,10,37.99,42.9,14.13,0,80.47,50.14
2011,NBH_000579,0.338,1.905,0,70,505,LOW_ACCESS,59.04,8248.17,1.319,0.075,48.85,23,54.03,57.46,20.9,1,42.95,47.67
2014,NBH_000580,2.365,2.358,1,1055,39,RURAL_LOW_ACCESS,71.36,6687.04,0.85,2.192,55.76,64,60.31,56.12,25.82,1,64.21,50.41
2014,NBH_000581,0.754,1.458,1,1557,212,LOW_INCOME_LOW_ACCESS,76.94,5891.29,2.785,1.726,57.83,67,45.31,65.53,34.92,1,87.04,4.84
2019,NBH_000582,1.034,1.902,0,346,629,URBAN_LOW_ACCESS,63.45,5223.08,4.573,0.945,58.29,61,44.09,33.3,7.49,0,48.47,70.97
2012,NBH_000583,1.25,3.176,1,507,412,LOW_INCOME_LOW_ACCESS,48.4,8133.19,7.602,2.252,55.86,4,31.4,51.51,25.43,0,61.65,58.76
2013,NBH_000584,1.134,2.066,0,705,137,LOW_ACCESS,11.36,2727.67,1.393,2.312,25.55,41,86.97,47.45,22.96,0,60.36,57.4
2018,NBH_000585,2.996,1.198,1,557,596,URBAN_LOW_ACCESS,60.24,11405.32,0.191,2.492,42.9,24,68.85,42.21,28.35,0,66.43,74.34
2025,NBH_000586,2.28,3.094,0,564,151,URBAN_LOW_ACCESS,83.34,3505.82,0.503,2.1,61.38,60,68.59,67.09,12.17,1,71.81,28.55
2026,NBH_000587,0.798,1.034,0,760,225,LOW_ACCESS,67.85,5403.97,3.921,1.872,67.6,3,39.04,44.12,33.12,0,47.62,36.64
2018,NBH_000588,0.834,1.68,0,116,89,LOW_ACCESS,58.13,3018.88,5.728,2.208,58.11,74,70.83,60.02,19.57,1,71.36,55.29
2016,NBH_000589,1.233,1.627,0,186,437,LOW_ACCESS,82.51,5573.04,2.546,2.669,49.25,87,38.69,31.68,33.49,0,70.77,76.46
2016,NBH_000590,1.49,2.792,1,1310,460,LOW_INCOME_LOW_ACCESS,52.6,1705.54,6.507,1.301,79.28,79,41.7,71.28,12.62,0,58.44,37.08
2017,NBH_000591,2.497,0.79,0,1607,45,LOW_INCOME_LOW_ACCESS,56.15,3988.0,6.416,1.014,59.59,69,68.23,47.98,7.44,1,58.16,54.06
2013,NBH_000592,3.702,1.443,1,1768,572,RURAL_LOW_ACCESS,62.52,1733.8,3.46,0.326,60.91,52,35.97,46.43,37.33,0,71.54,64.42
2019,NBH_000593,3.325,1.21,0,1720,191,URBAN_LOW_ACCESS,67.51,11748.4,1.823,5.047,25.32,79,37.52,27.17,25.59,1,76.94,91.18
2015,NBH_000594,2.568,0.838,0,86,146,RURAL_LOW_ACCESS,68.01,8587.93,1.44,2.447,41.24,59,54.3,37.8,21.18,0,67.03,58.28
2021,NBH_000595,0.05,2.03,0,1146,189,LOW_INCOME_LOW_ACCESS,65.49,3505.87,4.509,0.301,58.97,56,52.42,31.63,23.63,0,57.44,42.73
2020,NBH_000596,1.333,1.208,0,1100,288,LOW_ACCESS,68.05,9778.31,3.784,3.007,66.62,19,42.6,51.4,4.75,1,75.43,71.0
2022,NBH_000597,1.398,2.212,0,926,32,LOW_INCOME_LOW_ACCESS,74.01,5507.32,2.657,3.142,32.17,54,64.66,26.58,27.44,0,61.3,19.04
2018,NBH_000598,3.893,1.359,1,781,537,URBAN_LOW_ACCESS,66.11,11395.32,5.089,2.691,85.68,74,68.53,55.09,24.89,1,51.3,60.81
2013,NBH_000599,1.933,1.633,0,1233,22,LOW_ACCESS,85.21,10354.29,0.653,3.117,62.72,78,50.94,33.55,0.0,0,44.48,56.08
2020,NBH_000600,0.629,2.652,0,1383,122,ADEQUATE_ACCESS,66.8,2174.18,4.741,0.411,80.64,49,60.9,50.85,26.47,1,47.48,31.39
2020,NBH_000601,1.037,0.384,0,363,276,LOW_INCOME_LOW_ACCESS,52.02,10995.85,4.269,2.469,54.34,56,73.54,55.86,15.92,0,65.58,49.7
2024,NBH_000602,2.347,1.249,1,745,170,URBAN_LOW_ACCESS,69.94,7575.09,3.959,2.139,53.59,37,59.21,43.24,19.05,1,72.37,40.73
2019,NBH_000603,2.674,0.131,0,588,67,LOW_INCOME_LOW_ACCESS,53.25,11442.12,0.0,0.28,78.85,7,31.77,38.92,15.28,0,56.76,61.66
2012,NBH_000604,0.458,1.515,1,1559,495,LOW_ACCESS,70.18,5503.53,8.937,2.089,56.19,40,56.45,74.18,3.48,0,39.0,38.03
2024,NBH_000605,0.05,2.485,0,356,103,URBAN_LOW_ACCESS,47.05,3515.92,3.459,3.68,42.43,7,40.51,33.7,14.2,0,60.87,79.1
2018,NBH_000606,2.313,3.029,0,561,76,URBAN_LOW_ACCESS,34.28,2761.68,2.749,2.172,61.43,35,35.18,44.45,22.08,1,44.56,40.6
2017,NBH_000607,1.982,2.17,1,1327,298,LOW_INCOME_LOW_ACCESS,78.88,5821.43,1.924,2.931,43.74,42,100.0,36.45,3.69,0,49.54,48.92
2016,NBH_000608,3.365,2.597,0,1578,411,LOW_INCOME_LOW_ACCESS,76.0,7448.95,0.789,2.333,58.6,49,43.4,41.58,22.26,0,41.04,41.11
2012,NBH_000609,2.886,1.544,1,999,452,URBAN_LOW_ACCESS,66.65,967.01,1.918,2.808,49.84,17,78.67,33.34,10.9,1,72.97,44.75
2019,NBH_000610,1.373,1.246,1,1100,538,URBAN_LOW_ACCESS,22.72,2079.86,4.362,1.373,70.06,28,15.68,45.19,15.47,1,76.16,74.28
2018,NBH_000611,0.05,1.37,1,780,232,ADEQUATE_ACCESS,80.71,4715.68,4.076,2.15,31.13,26,49.17,54.87,35.08,0,70.44,34.7
2016,NBH_000612,1.806,1.1,1,1792,186,URBAN_LOW_ACCESS,69.01,11979.38,0.653,1.306,29.61,66,42.02,50.99,29.6,0,68.38,31.47
2026,NBH_000613,3.922,4.319,1,1715,309,LOW_INCOME_LOW_ACCESS,59.62,6868.68,5.574,1.283,65.32,11,43.61,46.47,9.25,1,58.98,79.35
2019,NBH_000614,2.752,1.174,0,1093,602,RURAL_LOW_ACCESS,79.4,4498.85,1.852,2.111,34.47,1,48.6,89.98,36.29,0,48.38,89.1
2024,NBH_000615,0.369,0.818,0,566,542,URBAN_LOW_ACCESS,86.47,7739.03,7.147,0.0,62.35,34,43.42,74.22,10.82,0,59.97,50.05
2023,NBH_000616,1.705,0.007,1,1172,183,LOW_INCOME_LOW_ACCESS,68.18,11995.97,5.632,1.94,0.8,77,57.75,64.11,30.91,0,79.08,35.03
2025,NBH_000617,1.277,2.149,0,153,251,LOW_ACCESS,67.7,3743.23,3.055,0.953,61.02,47,40.17,63.13,12.36,1,49.14,30.1
2022,NBH_000618,1.393,2.401,0,1479,125,LOW_INCOME_LOW_ACCESS,53.17,3122.0,3.16,2.398,44.17,4,51.86,46.99,19.56,0,39.72,56.48
2016,NBH_000619,2.063,1.686,1,188,92,RURAL_LOW_ACCESS,54.75,3584.57,1.375,1.044,30.47,74,63.84,41.86,9.2,1,89.0,49.58
2023,NBH_000620,1.02,2.237,1,1668,395,LOW_ACCESS,69.33,5525.39,1.29,2.372,24.82,62,50.19,52.47,22.69,1,59.96,32.17
2020,NBH_000621,2.661,0.731,1,1695,188,ADEQUATE_ACCESS,66.91,4915.35,1.315,2.327,38.23,31,78.7,43.89,9.04,0,23.05,65.77
2013,NBH_000622,2.312,2.527,0,452,115,RURAL_LOW_ACCESS,60.09,6746.48,5.651,2.944,43.53,77,90.08,63.93,12.02,0,47.02,16.67
2017,NBH_000623,3.214,0.973,0,33,300,ADEQUATE_ACCESS,46.04,11562.13,1.256,2.182,60.09,62,63.86,64.48,12.85,1,62.33,43.51
2017,NBH_000624,2.871,0.992,1,865,549,RURAL_LOW_ACCESS,54.39,5261.84,2.894,3.72,74.95,57,57.92,53.52,11.87,0,50.52,47.52
2014,NBH_000625,0.63,1.97,0,273,428,RURAL_LOW_ACCESS,62.68,4175.12,2.13,3.385,65.11,78,100.0,27.64,11.46,0,78.2,49.34
2026,NBH_000626,0.958,1.006,0,924,135,RURAL_LOW_ACCESS,68.45,4098.5,3.152,1.567,62.28,20,45.85,58.12,15.23,0,62.44,29.76
2026,NBH_000627,2.493,0.981,0,69,353,ADEQUATE_ACCESS,47.19,1314.29,7.032,2.292,67.43,81,66.17,69.61,10.1,1,53.16,77.59
2013,NBH_000628,2.324,1.368,0,338,399,ADEQUATE_ACCESS,59.96,10303.41,1.06,0.477,31.31,12,47.72,57.23,16.32,0,52.54,48.3
2020,NBH_000629,4.136,1.24,0,1744,215,LOW_ACCESS,40.49,3283.18,1.507,1.849,56.79,6,16.61,70.19,15.94,0,70.41,44.56
2026,NBH_000630,1.97,1.008,1,1425,431,RURAL_LOW_ACCESS,55.44,3898.15,2.598,2.081,58.46,54,53.44,53.25,5.52,1,22.83,48.29
2013,NBH_000631,0.957,2.426,1,931,565,LOW_INCOME_LOW_ACCESS,84.18,5110.61,5.279,1.962,39.31,64,61.64,33.46,22.6,1,72.99,36.76
2023,NBH_000632,3.335,2.926,0,1608,32,LOW_ACCESS,46.48,11248.43,1.066,2.319,67.7,37,91.65,47.51,25.67,0,53.88,63.99
2011,NBH_000633,1.445,1.061,0,194,466,ADEQUATE_ACCESS,34.34,4026.26,3.358,2.505,70.58,27,48.06,70.07,11.59,1,55.92,63.99
2023,NBH_000634,2.742,1.032,0,1343,100,LOW_INCOME_LOW_ACCESS,63.68,1497.07,3.025,0.7,61.78,19,45.0,58.06,10.11,0,53.79,58.48
2015,NBH_000635,1.946,3.52,0,1182,247,RURAL_LOW_ACCESS,50.39,7630.73,3.876,2.314,52.0,81,83.11,13.87,29.41,0,62.76,42.82
2015,NBH_000636,2.914,2.431,0,521,280,ADEQUATE_ACCESS,58.1,2221.67,6.954,1.026,42.09,77,90.79,66.05,21.37,0,59.95,80.31
2021,NBH_000637,1.958,2.655,0,1784,356,ADEQUATE_ACCESS,76.77,6402.83,1.804,1.095,43.79,89,34.59,51.17,8.77,0,54.07,55.93
2011,NBH_000638,1.566,3.804,1,983,327,ADEQUATE_ACCESS,73.89,7455.6,0.791,1.889,50.38,44,53.29,35.17,5.1,0,65.56,68.39
2026,NBH_000639,0.05,0.897,0,208,102,URBAN_LOW_ACCESS,56.43,6945.77,1.039,1.057,52.45,87,63.87,33.27,23.38,0,61.97,58.02
2011,NBH_000640,2.469,1.689,1,281,106,LOW_ACCESS,54.22,10887.14,3.012,2.476,43.67,36,65.87,56.85,16.91,0,74.53,54.0
2025,NBH_000641,0.16,2.019,0,790,319,LOW_ACCESS,37.78,2916.41,6.032,0.266,51.17,36,62.56,70.12,12.97,0,53.27,59.22
2018,NBH_000642,0.836,0.858,0,1079,266,RURAL_LOW_ACCESS,57.4,3233.77,5.48,1.592,55.3,60,100.0,42.98,16.22,1,62.17,69.41
2015,NBH_000643,3.54,1.909,1,1542,466,LOW_INCOME_LOW_ACCESS,64.59,5847.26,2.933,2.652,52.89,44,20.1,53.53,16.05,1,72.35,43.77
2017,NBH_000644,1.199,0.87,0,436,24,RURAL_LOW_ACCESS,64.09,3806.94,5.258,0.0,58.5,85,38.29,9.2,8.57,1,67.38,23.6
2013,NBH_000645,2.393,1.181,1,1425,431,LOW_ACCESS,68.66,9236.45,4.185,0.639,81.02,8,75.72,67.82,11.47,0,100.0,30.45
2015,NBH_000646,2.685,1.072,1,719,301,RURAL_LOW_ACCESS,100.0,9166.14,0.0,0.0,48.2,8,79.4,66.03,34.92,1,70.36,93.92
2016,NBH_000647,2.142,3.213,0,1046,391,LOW_ACCESS,41.45,4071.06,3.699,1.863,29.07,18,37.06,27.64,30.09,0,79.98,50.74
