qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_ncoial_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2026,REG673,6.51,3.58,7.28,7.67,9.23,1.19,1.4,4.36,3.41,7.72,58.83,9.6,53.46,28.56,4.07,0.81,0.35,96.53
2018,REG705,6.53,6.76,6.38,3.79,4.98,9.25,3.71,1.91,0.54,2.6,13.11,65.1,23.66,33.23,0.96,4.36,9.55,43.89
2018,REG384,5.7,3.18,9.41,5.18,7.72,1.22,2.27,4.53,7.69,8.16,97.78,95.07,42.28,53.19,0.25,4.89,0.37,1.32
2019,REG136,3.25,1.04,0.7,2.1,8.35,6.63,3.41,0.61,1.88,4.5,15.32,76.26,78.86,13.69,7.27,5.12,9.62,78.76
2025,REG528,1.79,8.94,5.59,5.74,5.75,2.76,8.12,8.62,2.88,4.42,17.92,23.85,33.6,90.2,6.26,5.88,9.47,79.13
2021,REG405,1.24,2.48,3.04,8.34,7.7,1.45,5.34,1.09,1.73,2.42,90.53,36.57,91.58,75.07,7.49,8.03,0.96,81.46
2019,REG584,9.84,8.48,9.97,9.37,3.6,9.42,3.3,6.59,8.19,3.82,20.39,89.49,10.33,36.5,5.41,8.05,8.69,51.16
2018,REG935,4.67,5.59,0.18,9.51,5.67,7.28,2.48,6.57,4.6,1.12,83.02,83.93,6.37,39.06,2.81,5.16,4.89,65.64
2019,REG890,3.14,6.03,2.51,3.59,1.66,7.51,6.31,7.24,4.45,7.36,46.57,53.27,12.73,3.64,7.45,8.91,3.61,84.68
2023,REG431,7.32,5.82,0.34,2.42,6.29,2.08,5.9,7.07,3.47,6.91,64.29,98.73,61.47,27.54,2.47,6.6,1.03,22.64
2020,REG581,5.11,7.86,5.11,2.86,8.38,4.85,6.9,9.86,8.14,8.51,12.07,54.06,99.7,32.37,0.42,0.34,9.79,43.42
2020,REG516,1.67,7.56,1.9,9.25,3.69,1.69,8.25,4.57,3.88,3.29,33.05,66.34,54.06,46.76,4.47,1.42,8.28,92.68
2024,REG218,7.95,6.84,9.26,0.24,9.8,3.46,7.48,2.79,4.15,8.76,44.82,88.48,54.9,26.41,4.86,0.89,4.78,78.77
2021,REG713,2.33,4.22,7.58,7.51,8.87,1.45,1.56,6.69,1.8,4.14,53.94,25.69,69.16,85.8,0.12,2.89,7.12,27.56
2023,REG642,7.56,3.44,7.88,8.16,9.91,4.32,4.76,7.83,8.68,5.05,2.17,45.8,22.52,9.67,3.39,3.92,9.82,45.52
2017,REG418,7.04,8.7,2.44,8.08,3.05,2.47,4.73,0.67,8.62,8.74,67.74,30.29,16.67,69.88,1.03,4.11,0.89,42.65
2022,REG390,5.36,8.82,5.92,5.92,6.6,6.03,6.12,4.5,0.91,3.69,76.83,3.8,69.06,98.09,4.36,2.12,0.23,85.48
2018,REG194,4.85,3.82,9.6,4.63,8.35,9.32,1.84,3.46,9.23,5.56,32.27,52.05,73.12,61.83,9.34,9.63,7.11,66.37
2019,REG903,7.84,4.99,8.75,9.33,3.69,9.05,6.6,4.28,0.51,7.42,89.32,58.23,40.29,45.15,7.08,1.98,2.04,34.7
2020,REG175,6.89,9.69,5.98,2.55,6.6,9.09,3.59,2.65,9.67,7.67,4.98,56.12,23.44,28.68,0.88,2.31,5.05,7.86
2023,REG802,7.75,3.81,1.3,9.94,5.63,4.23,1.99,2.03,7.96,5.2,98.4,95.31,20.68,99.94,9.87,7.99,3.91,22.41
2017,REG155,8.21,9.46,7.73,7.59,4.15,6.41,6.71,2.57,7.39,1.46,29.35,58.97,53.96,70.46,5.83,0.5,9.78,76.35
2022,REG172,9.86,0.65,0.02,0.59,3.5,8.08,5.05,2.96,0.55,3.96,3.62,17.27,87.87,76.16,9.96,8.94,8.56,17.47
2023,REG669,6.01,9.18,7.81,7.75,3.25,1.24,3.69,2.08,7.28,4.59,23.23,65.8,6.91,91.78,5.78,4.61,2.49,54.79
2026,REG707,8.89,1.94,3.48,6.56,7.25,1.15,9.36,0.27,0.67,7.62,77.15,66.61,52.17,28.86,8.4,6.99,9.68,45.43
2024,REG557,3.47,1.31,2.3,6.54,4.16,9.01,4.64,1.54,1.39,6.93,63.39,70.79,33.88,91.5,1.14,0.33,7.42,67.71
2024,REG800,0.44,1.14,1.95,6.39,6.63,6.77,8.03,0.25,6.43,2.52,57.1,73.79,72.0,28.79,3.55,9.17,8.49,25.7
2022,REG338,1.02,8.57,5.81,9.03,9.27,5.18,6.78,8.95,6.8,2.44,25.85,41.89,3.77,37.1,1.44,8.27,7.82,17.51
2024,REG751,9.29,4.76,1.38,0.24,2.32,3.2,2.07,3.66,8.79,0.48,80.12,42.58,90.64,66.71,1.65,9.59,1.55,33.63
2019,REG689,2.12,6.31,9.78,6.89,6.63,6.22,5.55,9.49,5.44,6.63,73.88,52.77,88.77,2.28,3.95,6.17,0.19,93.69
2021,REG492,2.19,3.32,6.77,3.41,8.57,2.48,8.18,4.65,4.53,1.68,98.34,34.48,20.46,3.24,4.94,0.32,4.55,90.26
2025,REG207,5.44,9.58,0.29,3.78,7.07,1.34,5.0,0.16,1.8,9.38,59.93,75.92,10.22,23.46,1.92,2.75,2.58,56.35
2017,REG702,3.27,5.14,7.45,6.4,0.97,3.97,1.99,1.51,2.2,9.21,71.25,90.81,50.65,0.11,0.34,1.45,7.81,20.17
2026,REG757,8.61,2.29,5.02,3.39,8.97,7.05,4.54,8.63,7.27,8.09,97.76,20.32,20.25,55.65,5.33,8.69,1.56,42.5
2021,REG506,4.64,0.67,1.48,1.54,5.96,4.29,1.78,7.37,8.03,2.1,72.28,6.36,85.59,96.27,1.56,7.86,0.97,96.13
2019,REG800,5.35,7.64,2.49,3.99,0.7,6.15,7.99,8.52,5.36,7.66,14.99,74.34,0.45,19.48,6.35,3.21,4.11,82.61
2017,REG900,3.99,4.66,8.48,4.86,8.75,2.47,5.34,3.69,5.91,5.76,57.13,52.78,45.44,91.04,2.68,4.34,2.11,33.23
2020,REG578,8.28,3.25,10.0,0.36,3.91,2.13,9.73,6.72,4.17,9.73,6.15,21.95,42.26,12.43,9.97,5.73,1.62,24.85
2022,REG576,7.26,3.04,2.98,6.26,0.46,7.12,5.48,4.34,3.93,2.21,24.03,49.98,19.83,56.77,6.5,4.58,1.07,93.76
2023,REG189,3.68,0.32,4.36,4.65,7.07,7.35,4.25,9.77,1.12,9.02,76.99,53.32,76.26,75.42,1.67,5.32,4.71,49.41
2020,REG789,3.85,5.19,6.84,4.23,6.47,6.18,8.13,4.15,8.73,0.26,90.08,95.13,41.25,94.93,8.64,0.57,6.51,91.77
2023,REG405,7.07,1.5,0.78,5.44,3.65,1.68,7.98,3.75,0.86,2.62,67.69,64.79,26.25,34.12,0.5,9.53,3.27,92.94
2022,REG753,0.98,4.44,3.41,6.9,1.87,9.35,7.81,3.92,1.88,7.68,11.86,8.74,67.99,20.03,6.43,3.55,0.96,62.45
2020,REG625,2.24,9.51,5.98,6.75,1.41,4.31,9.65,7.58,8.83,3.96,6.65,35.15,37.6,30.11,5.27,1.92,9.38,90.75
2021,REG718,2.18,1.47,9.04,1.39,8.66,5.2,0.31,9.58,5.53,3.18,26.82,31.72,21.49,24.55,3.79,5.21,7.26,30.31
2025,REG526,4.51,2.87,2.65,5.02,2.11,3.46,0.39,7.9,0.44,8.72,4.74,84.82,64.42,50.59,1.45,2.57,6.9,51.22
2021,REG903,1.33,4.75,5.9,1.22,9.74,8.3,3.17,5.63,5.59,1.07,43.82,20.78,33.32,94.39,5.51,0.67,6.72,99.86
2021,REG609,8.24,8.44,7.08,9.1,0.32,0.64,1.35,0.43,1.2,8.17,89.65,33.6,95.72,41.84,1.72,6.81,4.2,1.94
2025,REG552,6.13,9.83,8.34,3.63,0.42,2.22,3.52,9.6,8.89,0.22,98.72,25.71,77.54,11.66,2.2,5.05,7.04,34.54
2021,REG811,6.42,7.52,5.05,9.29,9.45,7.58,3.22,0.41,5.49,0.09,80.94,58.8,61.89,6.04,5.86,1.8,4.03,31.92
2021,REG978,8.05,7.34,3.29,7.23,5.78,5.44,6.49,6.3,7.99,9.86,72.63,44.18,46.17,2.93,1.6,2.28,9.9,76.31
2026,REG350,4.98,2.14,2.98,6.05,5.99,8.72,1.65,4.97,5.99,9.3,51.64,34.07,29.21,21.61,9.62,6.03,3.04,74.51
2024,REG497,0.55,4.98,0.2,4.06,9.66,7.63,7.34,7.85,8.5,0.43,87.95,77.46,68.39,40.57,3.01,1.92,3.42,87.83
2017,REG359,2.19,2.99,9.03,0.06,8.02,9.24,2.5,8.22,1.61,0.16,60.46,64.62,15.01,51.25,3.85,0.76,5.08,58.51
2026,REG416,7.4,0.73,5.51,3.03,4.36,8.93,6.7,1.49,8.86,3.73,34.13,50.15,20.53,91.42,4.68,3.94,1.71,80.27
2023,REG683,1.61,7.52,2.04,0.39,4.84,6.7,1.24,6.06,8.44,2.09,42.78,49.88,83.12,77.14,7.69,6.79,6.18,50.89
2017,REG758,8.54,5.71,9.86,1.43,4.41,2.0,3.65,7.9,8.25,0.32,95.34,87.19,90.5,37.68,4.97,1.69,3.97,12.61
2018,REG760,5.81,1.36,8.79,0.8,9.27,1.06,7.18,6.45,7.83,5.65,34.99,27.44,94.55,44.13,8.42,7.23,6.56,97.06
2019,REG270,8.5,0.46,9.96,2.62,7.03,9.54,7.63,2.3,3.62,4.14,58.63,60.29,78.79,85.97,0.9,2.73,3.44,1.34
2021,REG899,5.25,1.0,4.14,5.97,8.04,7.66,4.05,3.9,0.37,0.83,87.24,80.59,2.11,88.27,6.14,8.02,5.03,15.06
2017,REG206,4.5,7.54,8.13,7.41,4.77,6.64,2.96,9.88,1.68,7.24,15.49,28.09,74.88,72.91,1.25,6.79,2.04,97.3
2026,REG420,2.08,2.3,2.47,5.57,2.06,4.13,1.73,6.67,5.69,6.29,96.74,39.93,21.55,99.88,0.58,8.1,1.62,66.48
2018,REG236,8.39,7.31,1.72,6.65,2.17,1.69,0.84,1.14,7.04,9.92,67.58,70.85,78.27,88.9,2.68,6.05,2.17,52.56
2022,REG269,7.47,4.68,2.81,4.99,3.38,2.96,4.47,6.14,5.79,1.08,21.83,0.7,43.82,77.01,4.14,9.99,7.5,37.49
2020,REG674,6.41,9.19,0.87,5.58,9.08,6.51,9.88,9.96,7.92,2.79,85.36,70.35,10.63,38.77,8.75,7.08,4.27,61.3
2025,REG926,5.98,2.28,6.69,2.66,6.19,6.45,3.62,7.41,2.93,0.15,35.07,86.23,57.69,84.94,1.29,1.93,1.65,78.51
2024,REG860,3.36,7.81,4.35,6.16,8.55,4.25,7.52,5.66,9.08,4.55,29.87,26.94,19.08,35.65,4.34,1.36,7.36,93.79
2018,REG920,9.27,6.13,8.36,6.96,1.02,8.92,2.0,3.67,8.4,9.79,31.06,38.32,48.56,49.8,7.5,8.17,9.91,80.42
2018,REG835,0.1,6.15,1.5,4.4,0.84,3.36,6.92,8.12,5.61,4.36,34.25,90.69,19.76,68.41,1.41,9.0,2.85,37.13
2024,REG421,1.68,4.34,5.67,7.96,6.08,5.2,0.36,2.98,6.92,2.71,59.43,60.39,30.51,57.16,1.14,7.27,0.23,3.53
2023,REG609,5.8,1.63,6.02,3.7,2.7,8.11,4.77,2.93,9.44,1.65,14.2,9.73,12.44,25.28,6.99,6.72,7.63,57.56
2026,REG726,4.32,8.75,3.44,8.92,2.76,1.57,2.55,4.99,9.26,1.77,57.99,21.77,67.76,46.5,7.34,8.56,3.35,93.82
2017,REG258,9.37,2.31,8.97,3.34,7.51,9.68,9.12,4.64,3.45,6.13,70.58,54.02,84.85,5.83,6.0,5.25,0.39,1.27
2022,REG996,9.2,3.87,4.94,3.35,1.16,1.78,9.9,3.5,1.16,4.45,13.73,61.49,2.41,56.05,6.87,0.81,1.48,77.46
2025,REG893,0.92,8.62,7.37,1.87,3.47,5.68,0.22,4.9,3.41,9.26,22.59,39.85,16.23,12.83,2.8,8.16,3.78,18.65
2018,REG167,5.48,4.95,2.11,3.63,2.88,7.12,3.68,4.7,9.89,8.95,65.81,48.26,35.22,94.32,9.13,1.65,2.52,39.05
2024,REG620,5.42,0.39,0.68,4.69,9.18,7.42,5.43,0.28,0.68,6.3,19.17,57.59,45.36,18.46,4.66,8.87,2.25,95.69
2017,REG607,7.23,7.74,3.1,0.16,6.26,3.22,5.21,0.65,3.91,6.31,8.32,47.31,43.7,31.21,9.86,9.74,4.9,18.84
2024,REG971,8.48,3.45,3.41,8.09,6.28,4.05,5.19,5.95,1.61,4.77,52.31,99.54,25.26,24.79,7.61,3.35,0.56,95.79
2024,REG200,9.19,8.13,6.11,8.82,1.96,1.87,4.44,9.97,0.09,1.42,71.89,25.83,55.44,71.42,8.41,5.57,1.01,69.39
2022,REG701,6.94,0.57,0.04,9.07,5.68,1.79,7.05,7.07,9.15,7.67,83.87,83.54,29.37,52.19,0.35,0.43,8.81,5.11
2017,REG535,9.29,2.05,4.43,6.48,5.62,3.64,7.88,4.09,3.86,0.22,86.46,99.94,74.33,97.1,4.96,5.82,8.85,52.4
2019,REG545,7.38,1.39,3.43,8.44,2.78,9.35,8.15,9.68,1.05,2.95,79.12,67.34,76.39,87.24,2.72,9.72,7.59,94.78
2020,REG401,9.53,0.86,2.41,3.18,1.54,0.77,1.62,5.28,5.97,2.15,50.38,0.62,60.2,0.13,6.43,4.83,1.09,8.84
2025,REG979,5.52,8.07,8.57,5.69,8.87,8.62,6.98,3.63,8.27,3.92,40.33,67.81,92.79,50.0,1.77,1.42,3.02,45.77
2019,REG932,6.26,4.95,4.73,0.6,6.9,8.04,8.89,0.2,8.75,8.76,66.31,27.85,89.25,34.75,5.81,4.41,8.86,25.81
2019,REG943,4.08,8.55,3.18,2.89,7.96,3.88,6.65,8.76,2.26,4.64,48.7,56.83,91.85,98.06,8.01,0.3,1.17,11.77
2026,REG314,0.43,5.12,7.52,3.02,4.69,0.97,0.69,5.34,0.12,7.03,14.19,89.43,85.03,22.66,2.35,0.37,9.84,5.53
2025,REG319,8.49,1.6,7.71,1.69,3.05,2.56,0.47,1.23,6.75,0.86,97.56,26.09,10.96,37.24,2.76,0.78,6.57,77.77
2024,REG167,5.72,6.46,9.83,6.6,2.99,6.7,2.77,1.4,7.41,4.84,95.19,6.22,47.94,25.1,5.05,0.43,0.4,53.61
2018,REG273,5.02,1.69,5.09,2.36,0.17,5.45,3.6,2.39,1.72,4.54,86.96,75.81,0.46,73.12,0.73,5.48,7.8,45.33
2019,REG386,9.39,0.29,1.06,8.7,8.86,3.73,5.4,1.64,8.84,4.69,56.41,11.81,61.48,69.58,2.95,8.96,2.04,89.74
2017,REG173,8.31,6.99,4.28,3.32,7.34,2.98,0.62,2.47,7.55,7.93,27.66,32.79,54.93,26.2,6.06,2.82,1.21,15.48
2023,REG303,1.68,9.74,6.58,1.79,4.24,2.69,6.85,8.67,4.01,4.29,39.85,44.92,3.59,59.26,9.52,7.85,8.61,22.91
2026,REG458,8.95,4.07,5.29,8.76,9.9,0.71,6.32,4.68,5.39,2.02,89.44,28.68,13.94,70.89,9.8,2.4,4.69,6.48
2024,REG280,8.06,8.82,2.34,5.47,7.85,0.18,2.12,0.37,1.27,1.78,2.96,43.79,41.25,29.17,3.18,5.37,8.05,97.51
2019,REG235,7.86,1.33,7.38,8.7,2.66,3.68,5.91,8.68,9.08,5.34,65.81,87.29,23.13,82.52,2.62,5.81,9.35,51.15
2024,REG728,5.49,9.16,7.91,9.41,2.48,9.52,4.75,6.31,2.94,9.94,43.78,18.75,57.39,25.56,4.36,2.08,3.87,9.25
2018,REG553,2.49,9.48,5.93,0.27,9.14,6.44,3.37,3.66,0.31,9.74,86.05,6.54,68.16,44.92,8.08,6.23,4.13,43.64
2019,REG803,6.55,5.58,8.84,7.79,1.19,8.72,2.02,9.5,8.07,9.09,67.66,65.16,24.91,62.61,4.2,1.53,3.6,66.21
2019,REG658,8.09,2.77,9.64,3.78,5.68,5.64,6.5,2.44,9.22,2.66,66.48,76.58,88.15,45.69,7.12,0.85,7.78,75.57
2017,REG407,3.13,3.8,0.91,6.38,9.13,6.66,5.81,9.91,5.42,3.46,70.47,52.14,97.21,89.8,9.47,0.01,3.34,62.72
2019,REG325,6.56,7.15,6.23,4.58,6.97,7.8,6.96,8.12,9.47,1.03,90.64,27.35,56.38,94.24,6.2,0.84,4.99,89.43
2026,REG666,8.48,7.94,9.06,2.63,4.97,3.35,5.34,0.19,2.42,9.74,60.31,17.33,50.83,69.8,6.04,5.02,6.74,16.69
2021,REG233,9.06,4.44,1.32,0.49,4.77,4.38,2.57,5.91,2.5,2.16,62.22,94.49,20.28,18.28,5.19,1.19,2.94,99.08
2023,REG392,0.39,7.95,4.29,8.65,7.28,0.61,2.4,9.52,1.47,0.68,15.43,72.03,3.96,43.28,0.91,6.87,2.53,68.47
2022,REG968,5.97,4.59,6.64,8.12,7.87,3.71,9.36,0.16,4.51,9.08,69.6,70.4,15.65,58.21,9.67,2.12,3.27,38.86
2022,REG707,2.35,5.06,4.0,6.44,2.42,5.53,7.4,6.93,8.34,9.56,85.4,93.82,1.75,62.89,2.68,8.09,8.19,4.78
2020,REG625,8.51,5.87,4.26,0.77,7.3,0.75,5.98,9.18,4.19,7.7,79.98,1.03,91.49,18.88,2.83,8.71,6.87,37.19
2025,REG502,2.43,2.35,0.47,7.04,8.01,2.6,7.91,7.09,5.41,5.53,70.51,99.82,31.91,7.27,7.0,0.29,8.95,97.27
2017,REG567,3.43,2.26,1.1,0.06,4.3,6.47,3.76,4.38,6.85,4.09,77.34,64.23,67.14,61.93,1.2,6.84,5.92,57.43
2026,REG194,4.36,1.06,5.13,1.5,8.06,2.5,9.96,1.78,3.78,1.46,41.92,48.41,74.34,0.14,2.31,2.7,6.01,27.72
2022,REG929,4.88,8.1,8.76,9.77,8.41,8.78,9.71,8.27,2.05,7.92,70.95,55.59,17.45,4.8,2.17,8.77,2.7,44.7
2023,REG345,7.67,7.95,8.79,3.33,1.53,8.89,6.1,5.96,5.7,0.35,24.88,67.25,3.3,60.67,0.5,0.08,8.92,91.09
2022,REG824,8.67,4.7,3.21,9.12,3.36,7.75,7.49,0.5,1.78,5.73,86.76,59.4,74.27,73.44,4.94,5.61,0.71,92.77
2020,REG223,1.54,2.44,0.05,2.64,3.17,6.83,4.77,8.43,0.87,7.07,87.49,42.13,28.87,44.56,7.89,9.19,0.66,52.85
2023,REG787,0.17,1.81,0.63,2.9,2.05,4.87,6.55,8.42,3.04,0.5,0.38,84.46,87.81,10.1,0.1,8.0,6.41,55.61
2026,REG639,8.91,5.85,2.61,3.89,6.2,4.25,7.77,3.69,5.05,1.89,69.78,86.52,36.66,95.47,0.38,2.2,4.12,42.45
2024,REG788,7.01,3.24,1.59,4.3,6.97,8.04,0.89,5.88,0.54,8.25,66.68,69.66,76.17,49.56,2.99,7.86,7.77,13.49
2018,REG353,6.1,3.03,6.26,7.98,3.94,3.31,3.31,3.58,7.84,4.31,71.36,73.98,53.29,45.53,3.78,6.55,5.14,29.17
2026,REG213,6.58,5.45,0.15,9.93,7.57,2.43,7.61,7.68,6.01,6.25,16.13,37.21,58.81,7.76,9.78,1.02,4.04,91.35
2021,REG155,6.57,1.03,6.45,5.11,3.78,2.62,6.38,1.67,8.11,1.72,77.16,81.74,93.97,46.33,0.64,6.78,2.83,9.27
2024,REG130,7.92,1.34,3.69,9.46,7.72,4.28,5.81,4.7,3.84,1.33,16.73,28.82,36.52,25.17,5.77,5.98,0.46,64.97
2022,REG156,7.89,9.19,3.15,3.63,7.95,9.54,9.39,0.56,8.71,5.86,42.11,84.55,80.04,50.93,4.11,4.72,3.18,68.05
2017,REG299,2.51,8.26,3.61,1.32,0.4,4.79,5.68,0.06,6.53,5.19,99.74,10.45,70.5,21.7,2.06,0.19,0.07,18.66
2023,REG628,0.0,7.17,5.04,3.96,1.04,3.34,4.71,9.98,5.11,0.2,20.77,35.45,45.59,67.43,5.91,5.09,8.38,19.62
2025,REG903,8.38,4.62,5.53,8.37,9.46,5.52,8.12,5.45,0.33,9.56,81.78,75.34,44.18,94.25,4.9,7.21,1.01,21.89
2021,REG369,5.81,8.06,2.41,7.74,8.9,8.18,6.22,8.1,8.78,5.55,81.02,42.11,52.25,5.26,8.83,1.4,2.76,31.75
2019,REG358,9.22,9.7,8.65,3.46,0.55,1.83,7.72,2.86,8.93,8.35,23.69,69.35,44.23,21.49,5.9,8.37,9.27,5.87
2018,REG964,1.21,6.57,2.6,5.56,5.53,3.62,7.13,0.33,4.17,4.34,12.45,1.53,53.42,29.47,9.32,7.06,0.88,65.54
2020,REG717,3.33,3.88,0.26,5.49,6.56,3.34,1.31,7.04,1.29,8.17,54.6,23.74,89.87,14.18,6.01,6.18,0.37,60.97
2020,REG830,3.9,7.88,9.85,7.59,7.8,8.72,1.03,5.61,6.72,9.15,83.34,38.92,31.2,29.62,2.5,3.09,7.34,11.55
2023,REG239,6.24,5.96,5.93,3.11,1.5,7.92,2.42,0.8,1.59,1.14,71.48,74.52,33.79,76.48,8.38,4.77,8.27,50.4
2026,REG880,4.41,0.59,2.2,3.04,4.41,4.75,9.76,4.75,3.72,3.61,88.59,38.49,78.51,24.92,4.29,5.74,5.64,57.96
2026,REG453,1.83,5.81,2.98,3.01,1.29,9.1,0.65,0.38,7.25,7.05,35.05,74.06,48.77,72.83,5.46,7.32,7.73,28.36
2017,REG353,0.04,3.35,1.25,7.55,9.69,0.84,3.97,9.02,7.28,8.7,92.3,41.26,69.37,70.93,6.31,3.26,8.32,76.89
2026,REG660,4.21,0.11,8.43,2.84,4.71,4.11,6.78,3.9,1.8,8.69,18.35,2.84,19.62,45.51,4.23,7.96,1.95,77.56
2021,REG133,4.74,8.65,4.13,9.63,6.31,7.57,5.1,4.3,0.85,1.2,57.17,61.36,98.48,85.77,8.44,2.87,4.12,10.21
2025,REG801,9.49,1.85,7.14,6.17,9.19,8.63,6.48,4.36,1.64,8.03,82.45,36.21,22.62,93.17,4.69,7.36,6.22,69.96
2026,REG950,5.5,7.53,9.38,8.3,4.42,5.96,2.39,0.02,1.45,0.72,74.99,18.76,11.14,28.5,9.34,2.75,6.57,83.36
2025,REG895,9.44,3.62,4.88,2.38,0.65,9.78,8.67,3.15,7.9,8.3,24.51,93.38,32.05,56.8,7.98,5.9,2.59,93.27
2025,REG102,5.25,0.45,6.55,0.42,0.57,4.93,6.88,4.21,9.14,9.27,44.87,60.22,97.91,82.17,1.34,0.71,5.69,84.26
2024,REG942,8.35,1.3,4.71,7.89,1.6,3.73,4.59,0.75,0.23,5.08,90.7,10.26,12.95,5.76,3.62,3.94,9.83,82.29
2023,REG568,9.15,9.59,8.72,2.27,2.54,7.94,4.46,2.98,2.94,5.77,89.5,61.89,62.03,74.69,7.6,9.09,1.62,98.46
2017,REG364,2.82,5.1,2.64,2.33,9.67,1.04,9.9,6.22,9.59,8.97,64.84,58.98,99.26,51.52,1.79,9.93,3.24,8.74
2020,REG178,4.46,4.77,0.17,0.72,4.3,0.08,2.03,6.8,6.29,5.67,82.51,36.14,65.99,64.45,6.59,6.74,8.02,60.83
2019,REG960,9.28,7.48,5.92,6.91,2.53,4.88,5.36,0.64,8.66,4.57,89.89,39.0,40.89,24.42,6.44,5.48,9.13,42.92
2023,REG353,7.08,3.2,8.81,3.81,6.37,6.16,4.21,1.83,5.92,3.76,37.91,49.29,67.72,72.96,4.27,1.2,7.92,66.94
2018,REG246,3.12,5.93,8.58,3.19,1.46,0.67,5.63,6.06,8.71,4.74,86.72,51.45,59.02,53.76,3.0,8.44,8.84,84.84
2026,REG786,2.78,6.18,2.49,7.38,7.77,3.1,0.24,1.29,4.91,3.82,34.56,57.93,16.15,45.67,2.03,9.81,0.49,1.58
2017,REG258,8.91,3.24,7.72,2.73,8.69,0.82,2.53,7.27,3.95,5.51,27.7,36.13,60.65,79.24,8.92,3.59,6.3,49.8
2024,REG452,6.22,6.2,4.36,2.94,4.21,8.37,3.43,8.61,1.66,5.54,10.91,44.25,97.05,62.63,0.18,8.23,5.01,67.15
2023,REG942,1.88,4.06,2.15,1.79,5.57,2.04,2.01,6.27,4.02,2.03,38.36,57.94,59.88,89.81,9.3,2.03,4.9,44.56
2025,REG598,1.93,2.26,1.58,7.32,2.27,4.2,2.6,9.82,6.48,2.86,11.6,43.87,18.12,16.72,2.95,9.66,4.0,21.04
2020,REG774,8.58,2.5,2.58,8.96,5.32,1.05,3.46,7.05,4.06,4.23,49.87,22.25,42.41,21.53,3.51,5.32,6.94,63.39
2020,REG655,5.96,5.11,6.15,3.76,8.99,5.91,9.37,4.05,3.95,9.65,72.91,51.87,71.85,39.67,7.59,2.1,9.51,46.09
2017,REG736,2.78,1.83,8.53,6.03,6.78,4.92,7.47,3.7,4.41,0.83,31.97,10.56,48.16,93.87,8.11,4.37,3.01,32.94
2025,REG278,4.92,8.41,0.95,4.05,1.9,6.37,5.71,5.77,5.33,7.34,15.41,18.58,70.89,13.18,7.27,1.64,9.92,4.51
2021,REG167,2.32,3.24,9.12,3.07,3.77,1.82,0.77,1.08,5.94,0.47,22.57,39.35,10.85,74.83,9.71,8.95,9.54,54.49
2020,REG153,6.67,0.6,4.76,7.89,8.55,2.95,2.22,6.89,1.39,9.94,33.22,74.94,72.56,31.02,3.86,8.42,2.28,6.0
2024,REG822,6.84,2.37,5.67,3.94,8.68,4.87,1.4,8.33,0.83,8.28,4.15,0.36,75.55,56.01,2.15,9.66,6.37,23.86
2021,REG782,4.59,0.39,3.82,0.63,4.51,9.8,2.93,5.16,1.3,1.54,35.55,48.97,70.14,45.67,0.24,2.71,0.25,91.79
2026,REG620,6.32,3.58,0.62,8.36,7.0,3.96,6.77,2.75,5.28,8.81,10.77,84.69,78.85,94.91,5.14,2.75,3.53,63.98
2017,REG262,7.26,5.74,0.63,4.97,5.24,7.01,0.11,4.28,8.87,0.25,67.24,22.32,38.75,88.41,3.63,5.45,0.9,32.47
2026,REG778,1.26,3.03,7.7,9.34,0.81,4.7,4.96,0.09,8.54,1.07,83.75,2.1,98.3,52.49,2.99,6.06,2.84,10.77
2020,REG894,8.41,2.47,4.11,5.49,8.7,0.11,8.82,7.41,3.87,9.92,5.88,73.78,71.99,94.69,8.24,5.76,2.32,50.98
2025,REG831,7.53,9.59,3.01,9.11,1.82,0.41,7.92,4.79,0.77,0.71,1.36,30.63,73.54,66.53,10.0,5.94,1.1,97.85
2017,REG564,2.47,2.22,9.56,4.19,4.87,8.37,9.64,0.04,9.9,0.75,83.68,95.03,56.11,55.17,6.69,3.53,1.66,6.64
2026,REG275,6.94,3.32,8.07,3.5,0.3,3.37,8.5,8.76,9.35,4.99,95.66,49.92,15.39,50.2,8.69,7.86,4.34,21.25
2023,REG156,9.31,1.77,8.27,1.47,9.2,6.93,1.09,2.02,9.27,5.08,45.35,5.83,8.4,69.16,7.77,8.67,5.03,32.86
2025,REG426,0.35,9.39,6.43,0.06,9.6,9.53,9.46,8.89,1.85,9.77,76.19,64.08,94.27,38.11,9.31,6.06,5.79,64.6
2018,REG273,1.42,7.48,3.41,2.79,4.72,7.83,4.09,5.45,2.38,3.18,94.14,91.9,88.76,38.85,0.29,9.19,4.01,80.36
2017,REG251,8.93,1.17,8.3,8.67,2.9,6.25,0.55,3.13,3.73,0.95,43.33,64.79,64.92,47.0,1.23,0.79,8.22,55.96
