energy_eff_reference_year,energy_eff_country_iso2,energy_eff_region_nuts_code,energy_eff_building_type_code,energy_eff_epc_label_distribution,energy_eff_renovation_rate_pct,energy_eff_deep_renovation_share_pct,energy_eff_energy_use_kwh_m2,energy_eff_heat_pump_installations_count,energy_eff_district_heating_share_pct,energy_eff_smart_controls_penetration_pct,energy_eff_public_buildings_renovated_count,energy_eff_epbd_minimum_standards_flag,energy_eff_energy_savings_obligation_twh,energy_eff_rebound_effect_index,energy_eff_financing_scheme_code,energy_eff_investment_eur,energy_eff_just_transition_fund_support_eur,energy_eff_data_source,energy_eff_data_extract_date
2005,SK,DE153,INDUSTRIAL_LIGHT,A:1.49;B:26.45;C:15.78;D:3.50;E:29.90;F:6.42;G:16.47,3.75,21.34,231.16,202391,7.07,56.44,16048,0,17.566,0.0784,PUBLIC_GRANT,5760091486.71,32372626.8,SURVEY_ESTIMATE,2024-05-20
2006,HR,DK86,PUBLIC_HOSPITALS,A:9.76;B:12.82;C:24.94;D:21.03;E:14.19;F:12.25;G:5.01,4.5,31.25,344.87,266065,4.93,20.57,13791,0,9.928,0.4845,GREEN_MORTGAGE,3531979643.94,476418336.65,BUILDING_STOCK_OBSERVATORY,2026-01-18
2007,DE,HU29,RESIDENTIAL_SFH,A:2.91;B:6.92;C:14.73;D:14.27;E:11.37;F:43.53;G:6.28,1.49,26.79,177.89,65233,47.93,25.48,18371,0,13.049,0.7756,ESCO_CONTRACT,12348873504.71,423067722.02,NATIONAL_EPC_REGISTRY,2025-06-27
2008,LU,CZ849,COMMERCIAL_OFFICE,A:34.86;B:26.33;C:1.22;D:2.25;E:11.99;F:6.95;G:16.40,2.96,44.0,248.87,146951,51.94,63.05,17113,0,0.886,0.7044,SOCIAL_HOUSING_FUND,6547461572.63,23161641.16,EPBD_REPORTING,2025-10-15
2009,SI,AT748,RESIDENTIAL_MFH,A:6.12;B:31.77;C:14.03;D:3.94;E:6.19;F:31.20;G:6.75,1.33,27.74,394.91,320176,0.37,83.39,3676,0,12.526,0.5252,ON_BILL_FINANCING,376237126.83,336637914.99,SURVEY_ESTIMATE,2025-04-07
2010,CY,PT71,COMMERCIAL_RETAIL,A:1.53;B:15.85;C:24.10;D:1.07;E:17.55;F:13.33;G:26.57,3.86,5.51,396.83,129696,11.65,15.63,15396,0,4.02,0.4775,EIB_LOAN,3410528654.8,246380534.33,BUILDING_STOCK_OBSERVATORY,2025-04-01
2011,GR,LT720,PUBLIC_SCHOOLS,A:6.76;B:1.10;C:6.52;D:13.11;E:0.97;F:53.58;G:17.96,0.24,23.47,206.77,185028,16.48,9.64,35734,0,5.104,0.7846,TAX_REBATE,406578801.03,259568847.73,NATIONAL_EPC_REGISTRY,2024-07-23
2012,MT,MT640,INDUSTRIAL_LIGHT,A:10.42;B:51.33;C:12.18;D:0.71;E:11.69;F:10.81;G:2.85,5.28,39.78,390.83,45900,34.67,79.35,12964,0,13.444,0.2002,PUBLIC_GRANT,16926818306.26,60064388.48,EPBD_REPORTING,2026-01-13
2013,ES,PT6,PUBLIC_HOSPITALS,A:33.66;B:33.96;C:1.16;D:8.35;E:16.24;F:0.67;G:5.97,2.31,2.33,39.36,173812,13.5,28.01,26492,0,8.476,0.4703,GREEN_MORTGAGE,19550669915.44,252657184.64,SURVEY_ESTIMATE,2024-11-01
2014,CZ,FI232,RESIDENTIAL_SFH,A:14.60;B:2.01;C:2.64;D:6.23;E:35.17;F:22.30;G:17.05,3.23,43.72,381.55,72696,37.94,56.69,6925,0,3.41,0.7347,ESCO_CONTRACT,16486386587.31,350479775.57,BUILDING_STOCK_OBSERVATORY,2025-10-31
2015,HU,SE2,COMMERCIAL_OFFICE,A:32.93;B:6.92;C:11.04;D:4.51;E:12.69;F:25.05;G:6.86,4.24,32.47,224.31,43292,38.77,10.87,2583,0,17.329,0.7057,SOCIAL_HOUSING_FUND,5984519828.39,79603608.85,NATIONAL_EPC_REGISTRY,2025-07-06
2016,NL,LT57,RESIDENTIAL_MFH,A:11.80;B:27.34;C:30.36;D:18.34;E:0.72;F:4.95;G:6.50,3.37,19.7,181.59,338237,3.72,11.12,3177,0,13.179,0.3181,ON_BILL_FINANCING,19641677614.34,329407458.21,EPBD_REPORTING,2024-10-08
2017,SE,SI290,COMMERCIAL_RETAIL,A:29.10;B:20.72;C:16.21;D:12.42;E:8.38;F:7.13;G:6.04,1.31,16.09,54.82,82167,41.46,42.2,16106,0,4.863,0.5246,EIB_LOAN,10501349420.46,508981522.32,SURVEY_ESTIMATE,2025-05-10
2018,DK,EE51,PUBLIC_SCHOOLS,A:7.17;B:9.29;C:7.87;D:6.10;E:3.22;F:23.89;G:42.47,3.55,44.99,308.35,204931,15.64,84.54,37429,0,6.561,0.5966,TAX_REBATE,4219649814.03,323179434.01,BUILDING_STOCK_OBSERVATORY,2024-08-09
2019,IE,IT63,INDUSTRIAL_LIGHT,A:14.70;B:22.66;C:31.76;D:4.80;E:10.07;F:9.23;G:6.77,1.23,18.42,216.75,278247,22.06,38.65,5912,0,15.445,0.3531,PUBLIC_GRANT,5036889796.59,71983336.61,NATIONAL_EPC_REGISTRY,2024-09-22
2020,PL,BG406,PUBLIC_HOSPITALS,A:31.92;B:3.70;C:9.96;D:12.50;E:16.56;F:18.20;G:7.17,4.42,16.44,226.0,194849,30.16,32.36,20606,1,1.941,0.0811,GREEN_MORTGAGE,26934336563.64,251376457.87,EPBD_REPORTING,2025-02-04
2021,AT,SE98,RESIDENTIAL_SFH,A:11.00;B:17.50;C:25.47;D:12.50;E:10.01;F:4.86;G:18.66,1.97,17.41,49.23,285748,8.27,24.01,9255,1,0.12,0.6631,ESCO_CONTRACT,17103349865.87,442199860.33,SURVEY_ESTIMATE,2024-10-06
2022,EE,HR46,COMMERCIAL_OFFICE,A:30.68;B:14.99;C:7.08;D:15.67;E:7.67;F:9.09;G:14.81,3.69,31.93,418.19,440771,48.72,67.29,830,1,16.226,0.4436,SOCIAL_HOUSING_FUND,10077596763.53,1853986035.02,BUILDING_STOCK_OBSERVATORY,2025-10-24
2023,IT,BG230,RESIDENTIAL_MFH,A:27.86;B:1.20;C:11.96;D:23.07;E:0.83;F:31.79;G:3.30,1.23,25.04,293.75,588571,50.78,59.54,357,1,9.968,0.1951,ON_BILL_FINANCING,3939781038.38,435117262.64,NATIONAL_EPC_REGISTRY,2024-06-23
2024,PT,BG2,COMMERCIAL_RETAIL,A:55.08;B:1.11;C:2.48;D:4.16;E:0.71;F:33.36;G:3.10,2.28,27.17,319.1,596620,12.82,62.2,14540,1,14.861,0.3602,EIB_LOAN,19412800403.61,920701115.78,EPBD_REPORTING,2024-05-22
2025,BE,NL207,PUBLIC_SCHOOLS,A:0.57;B:1.90;C:69.83;D:16.95;E:6.68;F:3.29;G:0.78,2.56,43.72,176.66,343149,39.38,76.4,437,0,6.089,0.7547,TAX_REBATE,9442923526.91,1104593316.35,SURVEY_ESTIMATE,2025-03-15
2004,FI,HR56,INDUSTRIAL_LIGHT,A:7.43;B:0.31;C:22.96;D:12.73;E:4.21;F:13.44;G:38.92,3.37,23.51,284.28,256539,25.55,8.69,16450,0,12.861,0.8077,PUBLIC_GRANT,5232126647.01,60767957.92,BUILDING_STOCK_OBSERVATORY,2025-07-05
2005,LV,HR12,PUBLIC_HOSPITALS,A:14.43;B:0.59;C:4.99;D:35.82;E:12.30;F:22.03;G:9.84,4.49,21.0,65.88,49994,15.35,13.54,38700,0,14.135,0.4925,GREEN_MORTGAGE,13054281382.21,61808798.76,NATIONAL_EPC_REGISTRY,2024-08-19
2006,RO,DE892,RESIDENTIAL_SFH,A:31.59;B:22.31;C:2.95;D:1.95;E:4.33;F:30.79;G:6.08,2.6,3.18,280.67,191462,49.48,44.74,7516,0,8.923,0.3469,ESCO_CONTRACT,13689495240.43,5774263.46,EPBD_REPORTING,2026-02-12
2007,BG,LT73,COMMERCIAL_OFFICE,A:5.59;B:7.38;C:27.56;D:27.13;E:29.45;F:2.58;G:0.32,1.44,39.09,210.09,307702,32.78,76.01,596,0,11.965,0.4382,SOCIAL_HOUSING_FUND,7629039409.28,114591034.96,SURVEY_ESTIMATE,2024-07-16
2008,FR,PL6,RESIDENTIAL_MFH,A:18.90;B:0.85;C:4.05;D:26.00;E:19.52;F:2.24;G:28.44,4.87,12.22,222.59,7336,18.08,89.02,16037,0,9.8,0.6927,ON_BILL_FINANCING,3361631794.33,277156662.86,BUILDING_STOCK_OBSERVATORY,2024-03-14
2009,LT,SI48,COMMERCIAL_RETAIL,A:5.03;B:2.75;C:25.83;D:1.34;E:36.29;F:0.64;G:28.12,0.38,14.2,181.84,162743,4.24,87.11,2406,0,7.347,0.8361,EIB_LOAN,4262812171.71,142225621.47,NATIONAL_EPC_REGISTRY,2025-11-26
2010,SK,SE712,PUBLIC_SCHOOLS,A:2.79;B:27.80;C:18.00;D:7.52;E:10.39;F:31.36;G:2.14,2.36,13.51,170.45,133079,15.65,34.55,21954,0,8.617,0.7683,TAX_REBATE,9632410731.95,547917593.38,EPBD_REPORTING,2024-01-02
2011,HR,HR8,INDUSTRIAL_LIGHT,A:28.46;B:20.01;C:11.90;D:1.05;E:22.46;F:5.32;G:10.79,5.23,10.63,354.08,55570,21.81,65.54,18374,0,4.465,0.7033,PUBLIC_GRANT,16982933492.13,245851503.08,SURVEY_ESTIMATE,2025-03-24
2012,DE,LV987,PUBLIC_HOSPITALS,A:15.36;B:16.66;C:5.00;D:6.91;E:18.16;F:25.80;G:12.12,3.28,11.72,292.51,162626,30.57,44.34,15497,0,9.706,0.6224,GREEN_MORTGAGE,4712776276.54,222281093.08,BUILDING_STOCK_OBSERVATORY,2024-04-20
2013,LU,PT796,RESIDENTIAL_SFH,A:32.65;B:8.31;C:7.66;D:25.38;E:3.50;F:1.96;G:20.55,0.59,2.59,218.51,14212,47.46,30.12,6282,0,15.589,0.0915,ESCO_CONTRACT,15138560079.85,183149290.45,NATIONAL_EPC_REGISTRY,2024-05-30
2014,SI,BG949,COMMERCIAL_OFFICE,A:16.11;B:51.28;C:22.90;D:3.90;E:0.32;F:1.00;G:4.49,0.21,38.65,418.25,190423,43.33,67.76,18056,0,17.127,0.209,SOCIAL_HOUSING_FUND,10676918771.55,263711984.66,EPBD_REPORTING,2025-06-15
2015,CY,CY9,RESIDENTIAL_MFH,A:2.66;B:0.66;C:10.06;D:30.66;E:15.26;F:7.00;G:33.71,4.42,44.82,336.91,338485,23.82,9.6,18422,0,16.665,0.642,ON_BILL_FINANCING,18414372141.0,215270610.67,SURVEY_ESTIMATE,2024-06-09
2016,GR,FI356,COMMERCIAL_RETAIL,A:4.41;B:6.58;C:9.92;D:40.22;E:1.03;F:14.51;G:23.33,2.75,27.85,127.59,78884,46.34,47.4,5364,0,10.515,0.3323,EIB_LOAN,11154543834.35,227252679.8,BUILDING_STOCK_OBSERVATORY,2026-02-05
2017,MT,BE1,PUBLIC_SCHOOLS,A:19.39;B:2.87;C:9.82;D:9.92;E:31.46;F:3.73;G:22.80,2.88,9.16,274.41,63771,18.35,66.82,39839,0,4.679,0.2725,TAX_REBATE,15880627972.96,158634683.69,NATIONAL_EPC_REGISTRY,2025-03-31
2018,ES,PT28,INDUSTRIAL_LIGHT,A:9.97;B:7.58;C:26.96;D:7.58;E:27.11;F:18.46;G:2.35,3.39,18.41,394.64,103705,27.54,44.46,6947,0,13.159,0.1288,PUBLIC_GRANT,15066074178.37,130141687.18,EPBD_REPORTING,2025-05-30
2019,CZ,NL3,PUBLIC_HOSPITALS,A:38.67;B:0.85;C:3.66;D:14.52;E:13.62;F:6.44;G:22.24,2.44,7.27,242.81,134763,18.87,24.77,26626,0,14.278,0.6505,GREEN_MORTGAGE,15947018601.29,236700661.72,SURVEY_ESTIMATE,2025-05-11
2020,HU,NL71,RESIDENTIAL_SFH,A:15.47;B:7.60;C:2.05;D:14.06;E:9.15;F:28.58;G:23.09,1.2,29.76,173.45,493823,34.26,36.47,6536,1,13.406,0.3177,ESCO_CONTRACT,313565661.12,345299497.59,BUILDING_STOCK_OBSERVATORY,2024-10-31
2021,NL,HR915,COMMERCIAL_OFFICE,A:15.33;B:28.11;C:0.51;D:0.53;E:44.74;F:4.12;G:6.65,5.27,27.43,54.27,197339,34.11,16.34,1448,1,13.275,0.5827,SOCIAL_HOUSING_FUND,385726671.48,309027480.73,NATIONAL_EPC_REGISTRY,2024-12-31
2022,SE,HU34,RESIDENTIAL_MFH,A:15.34;B:7.97;C:5.06;D:15.62;E:26.20;F:23.68;G:6.14,1.01,12.77,291.95,617732,1.19,53.15,12877,1,5.829,0.5326,ON_BILL_FINANCING,16378561524.19,499159817.33,EPBD_REPORTING,2024-01-04
2023,DK,LT598,COMMERCIAL_RETAIL,A:14.18;B:3.92;C:20.99;D:4.30;E:14.11;F:29.17;G:13.33,0.71,28.73,232.27,45746,47.01,42.01,3523,1,1.803,0.5359,EIB_LOAN,18566282379.3,1513196451.22,SURVEY_ESTIMATE,2025-06-10
2024,IE,EE788,PUBLIC_SCHOOLS,A:30.41;B:1.29;C:20.49;D:11.82;E:1.15;F:32.09;G:2.76,2.47,37.67,257.87,642924,30.25,33.25,21286,1,9.644,0.3707,TAX_REBATE,27223345662.06,1028224427.7,BUILDING_STOCK_OBSERVATORY,2024-01-30
2025,PL,GR48,INDUSTRIAL_LIGHT,A:0.25;B:7.89;C:7.44;D:56.33;E:4.78;F:11.61;G:11.69,0.59,20.57,388.82,680772,46.4,66.2,3426,0,13.379,0.1489,PUBLIC_GRANT,1110974678.72,827832611.5,NATIONAL_EPC_REGISTRY,2024-01-07
2004,AT,RO9,PUBLIC_HOSPITALS,A:23.05;B:20.17;C:8.27;D:15.67;E:2.62;F:11.50;G:18.71,4.79,17.95,92.81,148512,21.83,54.27,40883,0,2.922,0.0552,GREEN_MORTGAGE,3296754955.82,67904298.78,EPBD_REPORTING,2024-10-21
2005,EE,LV9,RESIDENTIAL_SFH,A:17.61;B:24.05;C:29.20;D:1.84;E:1.12;F:13.02;G:13.16,0.37,17.37,385.14,90041,4.36,55.58,12387,0,11.777,0.5848,ESCO_CONTRACT,833796241.77,259401577.29,SURVEY_ESTIMATE,2024-07-02
2006,IT,MT7,COMMERCIAL_OFFICE,A:8.60;B:5.99;C:9.46;D:16.54;E:16.19;F:30.73;G:12.50,0.88,10.29,155.91,65584,12.06,80.27,19050,0,15.172,0.2613,SOCIAL_HOUSING_FUND,17483195193.95,363058222.67,BUILDING_STOCK_OBSERVATORY,2025-12-27
2007,PT,SI2,RESIDENTIAL_MFH,A:12.99;B:22.32;C:16.41;D:13.12;E:8.07;F:21.83;G:5.27,4.98,16.83,367.19,310342,9.93,86.05,8905,0,3.264,0.156,ON_BILL_FINANCING,13236564740.27,992379.27,NATIONAL_EPC_REGISTRY,2024-01-31
2008,BE,HU35,COMMERCIAL_RETAIL,A:7.42;B:10.53;C:11.22;D:33.05;E:4.16;F:21.83;G:11.79,1.7,17.45,266.38,332098,39.92,51.59,7759,0,16.451,0.1708,EIB_LOAN,3965168993.99,139463300.3,EPBD_REPORTING,2025-01-01
2009,FI,GR172,PUBLIC_SCHOOLS,A:12.03;B:13.07;C:7.72;D:12.15;E:5.40;F:22.45;G:27.18,0.64,12.29,87.09,119081,39.86,33.12,41137,1,12.34,0.4249,TAX_REBATE,2469583328.01,23796139.03,SURVEY_ESTIMATE,2025-12-27
2010,LV,EE655,INDUSTRIAL_LIGHT,A:40.39;B:2.92;C:19.52;D:25.59;E:5.18;F:0.98;G:5.42,1.62,21.57,376.64,130519,54.35,79.39,11371,0,15.325,0.5937,PUBLIC_GRANT,6287671850.88,107824939.78,BUILDING_STOCK_OBSERVATORY,2025-07-10
2011,RO,LU9,PUBLIC_HOSPITALS,A:16.26;B:12.30;C:1.33;D:33.48;E:24.94;F:11.22;G:0.47,5.08,15.82,306.66,198121,49.27,30.22,35250,0,14.5,0.4701,GREEN_MORTGAGE,5397405275.74,291800928.82,NATIONAL_EPC_REGISTRY,2025-07-30
2012,BG,PL735,RESIDENTIAL_SFH,A:26.20;B:11.19;C:0.56;D:46.78;E:4.49;F:7.11;G:3.66,5.09,19.0,211.28,131515,9.87,6.25,12612,0,11.671,0.2417,ESCO_CONTRACT,10383513819.14,236464614.1,EPBD_REPORTING,2024-10-07
2013,FR,CZ359,COMMERCIAL_OFFICE,A:12.42;B:5.82;C:26.83;D:16.51;E:21.25;F:4.13;G:13.05,4.37,4.68,410.79,165869,1.61,25.94,8673,1,6.741,0.5527,SOCIAL_HOUSING_FUND,8874041289.03,34392947.48,SURVEY_ESTIMATE,2025-05-10
2014,LT,DK4,RESIDENTIAL_MFH,A:5.54;B:0.38;C:11.61;D:10.66;E:46.38;F:24.81;G:0.61,4.23,26.99,416.48,196929,27.79,23.33,6886,0,1.729,0.8347,ON_BILL_FINANCING,21420173751.84,354070908.57,BUILDING_STOCK_OBSERVATORY,2024-04-18
2015,SK,IT1,COMMERCIAL_RETAIL,A:3.28;B:17.87;C:5.66;D:6.44;E:2.13;F:25.31;G:39.31,1.41,27.79,415.4,213462,42.72,30.57,410,0,15.004,0.218,EIB_LOAN,389787970.06,91349289.67,NATIONAL_EPC_REGISTRY,2025-05-19
2016,HR,FR7,PUBLIC_SCHOOLS,A:20.37;B:55.42;C:0.46;D:0.17;E:2.94;F:1.73;G:18.91,5.44,29.73,163.22,161886,31.33,46.0,41967,0,9.481,0.2576,TAX_REBATE,461648860.22,21788754.39,EPBD_REPORTING,2026-02-04
2017,DE,LU846,INDUSTRIAL_LIGHT,A:30.40;B:24.04;C:14.90;D:10.63;E:5.13;F:10.34;G:4.57,4.82,40.36,418.08,304605,5.2,86.99,6723,0,6.1,0.3339,PUBLIC_GRANT,16475531936.25,325612633.95,SURVEY_ESTIMATE,2024-05-05
2018,LU,ES457,PUBLIC_HOSPITALS,A:18.84;B:29.61;C:3.36;D:2.20;E:16.15;F:6.74;G:23.10,2.63,3.36,89.51,185968,34.09,66.4,16894,0,17.373,0.3126,GREEN_MORTGAGE,6296086659.34,195618270.61,BUILDING_STOCK_OBSERVATORY,2025-08-15
2019,SI,IE98,RESIDENTIAL_SFH,A:28.61;B:17.25;C:18.83;D:14.96;E:0.33;F:13.01;G:7.01,3.22,19.09,144.05,325675,22.82,25.06,7016,0,9.217,0.549,ESCO_CONTRACT,55025452.54,253832977.77,NATIONAL_EPC_REGISTRY,2025-06-26
2020,CY,MT673,COMMERCIAL_OFFICE,A:3.16;B:27.96;C:14.79;D:5.35;E:32.97;F:9.55;G:6.21,0.71,16.6,106.81,213559,40.18,66.69,14097,1,16.389,0.1691,SOCIAL_HOUSING_FUND,20229013310.18,190471203.87,EPBD_REPORTING,2024-01-26
2021,GR,IT31,RESIDENTIAL_MFH,A:7.40;B:3.42;C:5.41;D:28.63;E:18.88;F:24.74;G:11.51,0.81,16.21,134.93,609181,16.39,29.88,12763,1,8.105,0.3488,ON_BILL_FINANCING,19549226023.58,770050089.66,SURVEY_ESTIMATE,2024-08-21
2022,MT,LT75,COMMERCIAL_RETAIL,A:32.71;B:5.70;C:10.75;D:17.55;E:13.44;F:3.61;G:16.24,1.27,42.2,276.67,590312,25.24,65.96,1718,1,3.4,0.1713,EIB_LOAN,12830067962.06,1860295932.67,BUILDING_STOCK_OBSERVATORY,2024-06-24
2023,ES,NL565,PUBLIC_SCHOOLS,A:21.80;B:15.03;C:10.09;D:23.67;E:13.05;F:15.96;G:0.40,4.72,19.24,72.07,661589,17.0,48.91,4700,1,14.973,0.677,TAX_REBATE,7328812303.14,319128224.87,NATIONAL_EPC_REGISTRY,2024-12-03
2024,CZ,PL38,INDUSTRIAL_LIGHT,A:2.54;B:28.50;C:7.70;D:6.71;E:5.67;F:3.05;G:45.82,2.37,19.13,123.84,320224,37.71,89.23,18162,0,7.51,0.2515,PUBLIC_GRANT,26760594690.86,711878545.0,EPBD_REPORTING,2024-08-13
2025,HU,IE849,PUBLIC_HOSPITALS,A:9.80;B:16.86;C:6.52;D:7.71;E:4.09;F:33.83;G:21.19,3.14,41.71,247.72,759914,22.76,40.95,29175,0,16.814,0.5445,GREEN_MORTGAGE,18361275969.47,867405635.03,SURVEY_ESTIMATE,2025-02-26
2004,NL,LV39,RESIDENTIAL_SFH,A:9.55;B:11.41;C:0.73;D:30.18;E:19.55;F:3.68;G:24.89,2.09,5.64,64.83,163248,35.92,29.55,11642,0,6.133,0.4388,ESCO_CONTRACT,18157033619.14,96478734.09,BUILDING_STOCK_OBSERVATORY,2025-08-18
2005,SE,AT123,COMMERCIAL_OFFICE,A:2.27;B:54.89;C:9.41;D:8.95;E:10.43;F:8.61;G:5.44,4.4,25.73,167.49,163320,5.05,63.31,393,0,2.349,0.6521,SOCIAL_HOUSING_FUND,19535004523.11,436817703.08,NATIONAL_EPC_REGISTRY,2026-01-09
2006,DK,HU58,RESIDENTIAL_MFH,A:8.03;B:51.72;C:8.87;D:2.56;E:11.75;F:11.19;G:5.88,4.65,5.07,71.24,262852,32.73,44.21,11687,1,9.18,0.3665,ON_BILL_FINANCING,14540135269.13,146819279.77,EPBD_REPORTING,2026-01-09
2007,IE,RO577,COMMERCIAL_RETAIL,A:7.22;B:17.46;C:3.12;D:11.02;E:30.32;F:25.85;G:5.01,5.09,44.06,153.1,199516,12.95,11.59,857,0,2.447,0.191,EIB_LOAN,2337465700.34,264549542.84,SURVEY_ESTIMATE,2025-05-23
2008,PL,PL3,PUBLIC_SCHOOLS,A:2.59;B:2.95;C:41.91;D:41.31;E:2.61;F:6.55;G:2.09,5.27,37.12,179.32,14776,42.88,45.0,18287,1,6.438,0.0936,TAX_REBATE,1756393652.78,97955198.77,BUILDING_STOCK_OBSERVATORY,2024-04-10
2009,AT,SE8,INDUSTRIAL_LIGHT,A:43.69;B:3.54;C:2.96;D:17.36;E:2.74;F:9.99;G:19.71,4.64,41.33,299.2,273300,40.24,25.45,13738,0,9.54,0.3795,PUBLIC_GRANT,1761851957.6,197129921.61,NATIONAL_EPC_REGISTRY,2024-11-20
2010,EE,RO46,PUBLIC_HOSPITALS,A:21.57;B:4.45;C:23.89;D:18.44;E:13.97;F:6.46;G:11.21,2.25,23.6,134.17,15395,22.92,16.55,26882,0,17.475,0.6149,GREEN_MORTGAGE,7747074095.9,234732712.83,EPBD_REPORTING,2025-12-30
2011,IT,ES99,RESIDENTIAL_SFH,A:3.38;B:13.78;C:33.17;D:20.20;E:4.47;F:4.90;G:20.10,3.4,5.37,289.41,71706,9.62,44.89,13978,0,6.535,0.6376,ESCO_CONTRACT,5310064782.23,269294216.14,SURVEY_ESTIMATE,2025-12-30
2012,PT,BG40,COMMERCIAL_OFFICE,A:22.88;B:23.80;C:9.83;D:2.05;E:11.39;F:9.10;G:20.94,3.13,14.33,365.05,261263,34.81,30.43,10042,0,4.461,0.552,SOCIAL_HOUSING_FUND,9863560512.53,366466023.6,BUILDING_STOCK_OBSERVATORY,2025-12-17
2013,BE,NL820,RESIDENTIAL_MFH,A:21.19;B:25.43;C:19.83;D:14.99;E:7.73;F:8.93;G:1.89,3.22,44.77,172.31,315719,40.4,25.74,2058,0,13.08,0.0728,ON_BILL_FINANCING,6226222942.5,244994951.96,NATIONAL_EPC_REGISTRY,2024-10-14
2014,FI,SE3,COMMERCIAL_RETAIL,A:1.91;B:5.92;C:23.17;D:48.38;E:8.09;F:5.21;G:7.31,2.71,6.13,74.79,33542,24.81,80.82,9041,0,1.62,0.0549,EIB_LOAN,10702740916.62,217801681.12,EPBD_REPORTING,2025-12-15
2015,LV,HU2,PUBLIC_SCHOOLS,A:9.94;B:5.12;C:1.97;D:48.79;E:4.82;F:5.38;G:23.98,2.11,18.15,251.88,14814,52.32,43.18,298,1,15.347,0.53,TAX_REBATE,18252545615.63,70230188.53,SURVEY_ESTIMATE,2024-02-14
2016,RO,FI572,INDUSTRIAL_LIGHT,A:4.30;B:44.67;C:27.64;D:5.33;E:3.66;F:3.58;G:10.82,1.87,12.85,321.3,266615,7.08,72.7,13904,0,15.624,0.4895,PUBLIC_GRANT,4911905784.78,271667634.12,BUILDING_STOCK_OBSERVATORY,2024-07-17
2017,BG,DK6,PUBLIC_HOSPITALS,A:21.08;B:9.73;C:2.77;D:14.72;E:16.68;F:11.60;G:23.43,2.92,16.7,216.86,104114,12.83,76.51,7916,0,12.074,0.2515,GREEN_MORTGAGE,12615041074.47,273733238.5,NATIONAL_EPC_REGISTRY,2024-05-24
2018,FR,ES10,RESIDENTIAL_SFH,A:3.44;B:6.56;C:13.17;D:2.14;E:28.17;F:38.57;G:7.94,1.47,3.58,418.95,295493,1.52,49.19,15985,1,10.515,0.693,ESCO_CONTRACT,2721914215.79,348875520.9,EPBD_REPORTING,2025-03-21
2019,LT,IT7,COMMERCIAL_OFFICE,A:45.72;B:3.41;C:20.12;D:2.83;E:1.32;F:7.44;G:19.16,4.65,6.46,79.96,134788,1.35,46.08,11956,0,4.395,0.8476,SOCIAL_HOUSING_FUND,7509026358.13,391181402.14,SURVEY_ESTIMATE,2025-08-09
2020,SK,NL477,RESIDENTIAL_MFH,A:3.95;B:8.98;C:23.60;D:4.33;E:2.17;F:27.91;G:29.05,3.41,18.63,51.24,294949,18.55,69.78,5098,1,1.643,0.629,ON_BILL_FINANCING,8973190866.75,3268598.41,BUILDING_STOCK_OBSERVATORY,2024-01-10
2021,HR,CY28,COMMERCIAL_RETAIL,A:7.37;B:53.26;C:1.79;D:14.70;E:6.98;F:4.29;G:11.61,2.55,40.9,354.23,518418,38.62,67.63,8456,0,11.742,0.3107,EIB_LOAN,123419079.58,136244958.58,NATIONAL_EPC_REGISTRY,2025-06-26
2022,DE,MT99,PUBLIC_SCHOOLS,A:7.59;B:17.37;C:18.40;D:11.08;E:11.88;F:13.94;G:19.73,4.5,4.54,362.85,247247,4.99,42.76,4640,0,2.46,0.4501,TAX_REBATE,10937672151.27,451999403.41,EPBD_REPORTING,2025-02-15
2023,LU,SI27,INDUSTRIAL_LIGHT,A:26.98;B:16.20;C:5.97;D:8.87;E:9.15;F:14.41;G:18.43,0.23,17.07,118.5,68990,12.62,36.26,17752,1,6.031,0.1751,PUBLIC_GRANT,4725493166.81,124948186.6,SURVEY_ESTIMATE,2024-11-11
2024,SI,LT856,PUBLIC_HOSPITALS,A:29.76;B:12.95;C:4.85;D:22.36;E:2.13;F:24.97;G:2.98,5.25,9.78,51.13,427638,6.67,17.02,24263,0,12.049,0.1508,GREEN_MORTGAGE,8217127309.26,818039184.47,BUILDING_STOCK_OBSERVATORY,2024-12-13
2025,CY,ES787,RESIDENTIAL_SFH,A:8.69;B:44.55;C:4.76;D:17.43;E:5.66;F:14.24;G:4.66,4.41,41.52,94.61,617484,43.03,58.58,17985,1,9.278,0.5406,ESCO_CONTRACT,20398351095.56,278181723.44,NATIONAL_EPC_REGISTRY,2025-08-14
2004,GR,MT5,COMMERCIAL_OFFICE,A:5.16;B:16.99;C:12.55;D:29.19;E:27.84;F:4.03;G:4.23,2.99,18.33,388.04,351675,42.37,62.54,15597,0,0.381,0.8478,SOCIAL_HOUSING_FUND,6271630941.46,113859200.87,EPBD_REPORTING,2024-03-20
2005,MT,PT57,RESIDENTIAL_MFH,A:12.64;B:16.39;C:1.46;D:10.98;E:10.31;F:8.30;G:39.92,0.94,28.49,159.25,155738,16.66,23.14,4941,0,11.802,0.8497,ON_BILL_FINANCING,9898956305.18,42419167.34,SURVEY_ESTIMATE,2024-06-30
2006,ES,CY21,COMMERCIAL_RETAIL,A:24.22;B:9.57;C:37.77;D:13.05;E:5.13;F:4.29;G:5.97,0.41,24.6,349.5,343166,20.19,30.52,2189,0,15.985,0.4793,EIB_LOAN,2329756800.24,463693340.39,BUILDING_STOCK_OBSERVATORY,2024-03-24
