house_change_analysis_period_start,house_change_analysis_period_end,house_change_ward_lgd_code,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2024-07-21,2026-07-16,LGD-W-7303123,-13.66,-28.73,25.63,11.71,6.46,33.57,30.13,0.668,42.02,-7.63,-1.48,5.287,30.04,211,N,51.48,EarlySignals
2021-10-12,2022-01-30,LGD-W-8549851,32.79,19.69,-17.03,11.56,8.57,58.5,37.88,19.585,31.18,-7.18,-1.307,3.623,12.44,64,Y,22.61,EarlySignals
2018-09-09,2019-03-08,LGD-W-7140324,53.07,54.47,-13.07,26.24,7.22,58.36,37.57,8.858,48.54,-9.17,-2.692,0.387,-17.52,23,N,52.75,LateStage
2020-03-15,2020-07-12,LGD-W-6808567,-21.61,49.28,31.19,1.99,50.98,39.6,32.29,19.686,9.8,2.83,6.761,-1.61,-17.55,132,N,13.93,AtRisk
2024-07-28,2024-11-16,LGD-W-6383443,36.83,36.41,-4.1,3.27,12.61,59.47,9.13,10.229,-4.07,6.8,4.103,6.395,26.74,195,N,17.67,AtRisk
2018-03-13,2019-11-26,LGD-W-9356313,40.61,52.34,17.82,7.04,68.05,38.26,29.41,1.356,20.42,24.51,10.921,-2.135,-11.71,71,N,4.87,EarlySignals
2023-09-02,2024-06-26,LGD-W-5364561,18.33,35.21,12.91,10.6,31.73,30.72,37.83,16.448,19.01,21.34,-5.861,1.319,26.35,74,N,32.96,Stabilizing
2021-05-27,2022-08-06,LGD-W-9286862,-22.15,-5.65,6.53,16.09,2.97,38.57,35.41,14.405,1.34,-8.45,-2.812,1.674,-7.28,178,Y,32.03,LateStage
2024-04-15,2026-02-21,LGD-W-7903947,-8.28,29.76,-13.12,20.52,78.88,25.03,16.16,6.272,54.67,22.83,-2.126,-0.415,27.08,44,Y,47.73,Accelerating
2024-08-02,2026-03-23,LGD-W-2728228,4.24,-23.29,10.25,19.62,16.2,42.28,27.1,20.348,54.08,-8.9,1.656,4.973,-33.01,108,Y,2.84,LateStage
2023-04-21,2024-04-16,LGD-W-9806020,2.81,66.15,26.23,20.33,24.78,8.69,2.08,1.525,53.99,-3.96,3.707,3.148,13.38,52,Y,2.93,LateStage
2023-09-04,2024-01-02,LGD-W-1720751,15.13,-11.11,-17.05,10.67,19.79,14.13,30.15,2.04,47.41,23.97,6.425,3.845,4.23,197,Y,1.9,AtRisk
2023-05-07,2024-09-10,LGD-W-6741950,-17.24,78.7,-7.14,-10.37,64.85,30.01,13.93,9.852,54.77,5.94,-5.574,4.469,-30.41,32,N,14.94,AtRisk
2021-10-21,2022-12-30,LGD-W-4384207,20.61,-1.52,32.4,22.82,74.79,58.32,21.05,1.842,5.39,-10.89,4.047,6.308,-30.55,76,N,69.55,AtRisk
2020-06-18,2021-11-20,LGD-W-4530202,-6.65,-23.55,-8.59,11.22,21.57,25.01,2.49,20.793,0.79,4.73,5.254,2.256,-26.69,44,N,17.46,Accelerating
2024-01-13,2025-08-27,LGD-W-4567414,34.48,42.23,-4.08,27.85,33.17,3.34,35.61,8.855,6.05,-1.13,1.672,6.84,10.02,36,Y,21.65,LateStage
2019-06-23,2021-06-18,LGD-W-6238692,-7.07,81.68,39.03,19.5,5.14,53.68,44.33,9.605,46.42,29.57,2.978,1.138,2.39,151,Y,85.49,Emerging
2018-10-17,2020-08-28,LGD-W-2997104,4.99,54.92,17.83,-2.95,4.79,11.35,4.21,18.131,39.89,20.67,9.741,6.225,10.61,62,Y,28.72,LateStage
2023-08-15,2025-02-03,LGD-W-5118395,36.89,80.63,44.29,10.92,44.75,52.11,3.38,6.523,23.97,-6.91,-2.07,6.904,-32.87,68,Y,28.27,Accelerating
2018-01-30,2019-02-11,LGD-W-1641578,21.15,53.51,35.48,5.79,26.75,33.32,22.73,6.988,24.87,1.86,-1.261,0.015,10.53,129,Y,0.14,Accelerating
2019-02-13,2020-08-23,LGD-W-6884205,9.9,53.07,25.1,6.9,84.74,58.79,26.99,18.227,60.75,6.81,6.346,-0.998,-25.97,210,N,90.21,LateStage
2019-06-15,2020-07-10,LGD-W-9166542,-11.47,65.65,20.86,11.65,38.55,40.62,21.32,3.84,10.12,17.71,2.358,4.204,-26.43,163,Y,91.38,AtRisk
2024-07-01,2026-01-21,LGD-W-1645987,14.13,48.59,31.43,16.56,13.8,8.72,9.91,9.388,43.48,-8.24,8.086,-0.343,-14.76,176,N,22.55,AtRisk
2022-02-25,2023-01-20,LGD-W-9190635,45.78,74.13,37.73,-7.74,34.25,8.75,7.6,8.265,12.7,-3.06,10.181,2.392,-9.47,147,N,65.21,Emerging
2024-05-26,2025-07-18,LGD-W-4576759,-22.72,52.73,39.31,26.58,23.64,6.72,24.16,5.939,33.52,32.56,1.68,3.344,-17.85,163,Y,51.55,EarlySignals
2024-04-14,2024-09-17,LGD-W-2713717,25.38,9.63,5.49,6.36,5.82,51.52,28.57,16.726,53.0,6.07,5.094,5.829,-17.79,86,N,96.25,Accelerating
2018-08-01,2019-05-02,LGD-W-3930120,15.68,-29.01,-4.64,3.07,69.46,36.92,38.53,10.21,48.27,-11.07,11.953,0.61,34.36,66,N,0.31,AtRisk
2018-05-20,2019-12-22,LGD-W-4039510,1.89,-26.49,37.18,11.12,75.36,24.62,20.61,2.087,27.22,10.32,1.238,4.222,-28.31,57,N,83.8,LateStage
2019-07-24,2020-03-05,LGD-W-1689167,36.96,14.34,0.3,9.16,26.41,55.72,39.64,1.607,56.88,33.85,9.344,-1.676,-27.7,137,N,31.11,EarlySignals
2023-12-09,2025-11-27,LGD-W-3327314,23.38,-2.19,-8.01,24.74,4.56,57.27,2.68,15.024,40.4,24.78,-3.303,3.034,-22.53,163,N,55.97,Stabilizing
2023-03-10,2024-04-11,LGD-W-9298999,9.1,-19.13,12.09,14.78,71.71,13.65,36.17,8.588,31.12,12.57,3.268,1.408,29.04,46,N,44.56,EarlySignals
2023-04-26,2024-04-05,LGD-W-3378351,23.54,25.14,36.02,-0.81,59.63,31.44,24.64,7.559,42.99,3.43,11.299,4.046,-23.68,13,N,79.21,AtRisk
2022-06-06,2023-03-09,LGD-W-7158714,7.81,84.84,11.24,0.72,44.53,58.42,20.36,16.734,14.59,9.38,2.309,1.701,-31.26,92,N,99.19,Emerging
2023-04-02,2024-05-20,LGD-W-8352354,18.4,16.83,29.47,-8.54,52.48,52.19,36.7,1.524,37.13,-12.62,-1.155,0.764,30.39,192,N,1.8,EarlySignals
2021-08-07,2022-10-16,LGD-W-2429857,19.57,49.67,24.05,-11.77,56.98,16.08,15.86,20.722,31.76,-2.93,7.264,5.963,-6.76,23,N,23.34,LateStage
2020-02-22,2020-07-07,LGD-W-1527683,44.46,43.21,14.22,16.4,59.23,38.01,21.7,8.543,-1.42,-3.02,2.492,0.176,-32.99,219,N,11.51,Accelerating
2019-07-17,2020-07-24,LGD-W-1937412,24.17,7.28,4.79,-3.0,25.79,24.84,17.78,16.241,58.46,-8.27,-5.171,3.349,-9.58,67,Y,22.35,LateStage
2023-10-09,2025-01-25,LGD-W-3965426,-15.38,36.72,27.14,8.63,80.52,32.86,26.19,3.579,61.15,8.55,0.981,-0.697,30.26,17,N,19.61,AtRisk
2022-05-28,2023-10-28,LGD-W-4962944,5.64,5.46,16.21,17.27,58.41,31.71,29.22,10.88,49.06,3.63,-2.089,2.06,12.7,75,Y,15.67,Stabilizing
2022-12-08,2024-07-02,LGD-W-9165696,29.33,31.55,12.25,-4.82,82.62,21.48,39.43,10.977,61.25,-10.84,10.82,6.061,-6.08,22,Y,51.44,AtRisk
2023-10-23,2024-03-28,LGD-W-3798307,35.86,24.13,23.2,13.42,11.26,53.18,31.75,16.273,39.87,22.8,6.318,5.553,30.94,52,Y,77.5,LateStage
2022-11-30,2024-04-23,LGD-W-9323402,-15.09,47.54,-5.73,19.18,43.71,34.96,27.47,12.11,32.22,-6.7,-1.395,-0.492,12.2,174,N,64.26,LateStage
2024-04-20,2025-03-31,LGD-W-2959124,15.66,11.48,17.14,19.94,62.33,1.09,41.95,19.87,28.88,-1.04,-0.191,-0.586,-21.26,128,N,62.35,LateStage
2018-08-27,2020-07-18,LGD-W-4251715,54.41,59.03,19.73,12.59,86.99,50.22,39.49,14.234,62.58,15.26,-0.536,2.517,10.25,14,Y,7.67,AtRisk
2020-10-14,2021-09-17,LGD-W-7008782,54.46,-0.16,4.52,8.94,73.26,31.3,16.15,0.145,6.4,-0.67,8.527,-2.873,-17.37,96,N,36.5,EarlySignals
2024-04-29,2025-08-22,LGD-W-1773036,18.14,32.63,-4.08,-10.27,20.89,10.84,11.27,3.013,46.1,12.91,7.041,4.125,-28.9,35,Y,88.67,Stabilizing
2022-01-16,2023-11-01,LGD-W-3386028,1.69,-10.6,-13.85,4.18,80.19,51.87,13.65,9.447,55.69,14.81,7.059,0.657,2.97,122,Y,45.63,Stabilizing
2020-10-29,2022-04-09,LGD-W-3970071,54.25,80.27,5.22,-3.07,78.09,45.07,39.4,1.47,51.54,4.06,3.291,2.709,4.45,120,Y,5.16,Emerging
2020-03-01,2020-08-12,LGD-W-5665054,24.15,37.7,17.6,-7.0,26.15,59.54,39.8,7.419,-4.24,-8.4,2.45,-1.197,19.17,151,N,21.68,Accelerating
2018-02-15,2019-10-19,LGD-W-6886530,51.52,34.18,5.14,7.27,66.73,11.23,8.37,5.53,-0.92,11.19,2.036,1.485,-13.47,206,Y,10.76,AtRisk
2024-01-12,2025-01-19,LGD-W-4089206,-5.62,48.95,43.03,19.28,9.33,51.45,0.94,17.919,-1.07,18.58,1.65,5.77,-6.29,81,N,75.22,EarlySignals
2019-02-28,2020-07-22,LGD-W-8309660,-20.21,33.36,5.91,5.03,62.14,32.84,5.24,6.897,50.72,34.84,0.274,-1.59,-30.65,44,Y,22.67,Emerging
2024-10-05,2026-08-11,LGD-W-6451475,13.98,-16.03,43.2,-9.07,54.89,45.32,11.61,9.713,18.31,18.72,11.813,-2.484,27.6,16,N,11.46,LateStage
2021-07-13,2022-10-15,LGD-W-7991631,40.28,3.9,16.79,8.21,59.6,13.99,14.25,12.455,1.8,-14.99,1.351,-2.921,-26.38,179,N,45.89,Emerging
2023-04-23,2024-09-23,LGD-W-5013282,-20.78,58.31,-2.73,21.66,44.23,14.04,33.58,5.755,51.2,-5.88,7.77,-0.957,3.23,211,N,62.64,Emerging
2018-08-25,2020-04-15,LGD-W-4922283,20.03,56.42,-16.9,21.96,3.41,48.59,11.38,2.738,63.8,-9.41,9.479,3.534,27.62,80,Y,2.78,AtRisk
2018-07-31,2018-12-19,LGD-W-6228199,-16.85,1.52,-12.33,17.27,16.52,28.83,16.4,18.327,46.32,18.16,-0.128,3.251,12.02,169,Y,78.24,LateStage
2023-02-10,2024-12-28,LGD-W-2585160,-15.35,-19.57,16.82,16.43,58.61,21.0,4.48,1.061,63.44,-5.02,-4.246,-1.297,23.84,219,N,86.01,Emerging
2022-12-24,2023-05-10,LGD-W-4710043,-14.7,38.03,16.74,20.2,52.73,48.08,41.93,12.074,6.89,21.17,0.941,-1.856,20.21,194,Y,87.21,Stabilizing
2022-10-04,2023-09-27,LGD-W-8755245,24.37,63.87,22.61,16.61,71.96,25.49,7.77,13.886,53.33,31.6,7.533,2.545,-18.12,160,Y,18.83,EarlySignals
2021-04-18,2022-01-25,LGD-W-9113363,-5.62,17.63,-8.92,11.04,55.64,11.73,21.67,4.484,59.1,14.87,0.8,0.738,33.53,28,Y,17.56,Emerging
2018-09-09,2020-04-24,LGD-W-8540058,54.82,52.33,39.12,19.23,1.36,47.01,44.04,21.772,29.62,-4.59,6.113,-2.066,8.96,139,Y,92.89,EarlySignals
2024-02-06,2025-07-23,LGD-W-1045918,46.39,-9.24,-11.21,25.86,14.02,21.92,11.29,6.478,-0.96,-14.47,-1.274,3.773,-1.3,2,N,26.06,EarlySignals
2019-08-12,2021-04-11,LGD-W-1222122,-7.79,22.49,19.33,-11.48,30.26,21.34,44.72,12.472,2.81,21.09,-0.658,-1.823,-13.75,163,Y,20.63,LateStage
2023-12-29,2024-06-18,LGD-W-8580160,-14.81,70.5,2.54,25.52,45.14,34.33,25.4,20.395,53.49,-11.77,-4.461,-1.425,-10.13,53,N,19.13,Stabilizing
2018-07-19,2019-05-20,LGD-W-3818084,-3.32,16.59,-5.11,6.98,66.84,50.47,9.74,15.251,63.47,-1.88,5.28,2.518,-10.71,9,N,28.71,LateStage
2020-04-04,2021-10-09,LGD-W-4309391,10.33,-1.15,22.0,13.15,25.04,53.06,23.69,15.831,14.97,27.2,-3.042,4.922,25.14,59,N,84.85,Emerging
2021-04-25,2021-11-07,LGD-W-8610139,12.13,-20.5,2.39,-3.68,79.34,58.38,6.45,20.8,20.74,16.14,7.757,1.235,27.95,197,Y,55.61,Accelerating
2022-06-26,2022-11-20,LGD-W-4237992,4.26,-9.81,41.51,3.44,60.69,46.22,39.09,10.401,61.45,-3.34,-5.825,5.529,-24.93,105,Y,63.87,Emerging
2022-03-17,2023-02-04,LGD-W-6633398,5.64,40.07,10.43,-3.31,5.59,47.44,5.9,12.798,25.34,-14.59,5.115,5.611,-17.7,174,Y,82.09,LateStage
2020-02-03,2020-10-05,LGD-W-1363434,-8.89,81.98,21.49,27.87,12.52,4.62,35.44,13.943,22.33,-1.47,3.781,6.534,-6.31,69,Y,73.26,Accelerating
2021-09-13,2023-01-11,LGD-W-2912422,51.09,24.99,34.62,-3.11,22.56,43.08,29.37,15.865,11.17,9.91,2.528,4.331,-31.32,59,Y,32.04,Emerging
2022-01-31,2022-10-08,LGD-W-2815465,21.54,4.69,33.11,-5.54,63.46,35.69,9.17,18.586,22.65,11.29,8.803,-2.449,-33.25,94,N,85.19,Accelerating
2020-11-26,2021-12-25,LGD-W-3325037,2.85,60.86,7.23,20.55,52.85,29.15,5.02,8.499,33.36,12.62,-5.325,-2.894,23.48,77,N,23.55,LateStage
2018-02-17,2018-12-27,LGD-W-4421911,11.89,-22.01,-4.04,-0.42,71.38,43.43,41.12,8.311,37.74,4.38,-1.684,0.914,4.79,25,N,98.52,Accelerating
2020-03-17,2022-02-03,LGD-W-6456164,-13.23,80.73,34.65,17.33,85.84,9.89,2.06,8.9,41.76,-14.71,-3.839,-1.12,-5.67,79,Y,83.16,LateStage
2018-08-29,2020-05-17,LGD-W-2473420,6.45,10.2,19.88,15.69,62.91,20.23,4.94,4.587,-0.06,-10.75,5.467,-0.079,-3.92,114,N,13.99,Emerging
2020-03-28,2022-02-11,LGD-W-7876768,-18.45,57.89,2.96,14.1,55.3,54.19,13.3,11.173,21.41,13.49,1.376,0.336,-10.58,164,Y,6.04,Emerging
2022-02-11,2023-03-22,LGD-W-1490178,-8.12,75.95,17.02,-9.35,90.66,4.73,3.89,0.197,4.43,-8.96,0.997,1.089,-7.02,149,N,72.1,Emerging
2022-03-17,2022-07-23,LGD-W-9659309,3.64,37.82,-8.31,16.57,58.67,41.14,5.26,3.606,27.73,-13.86,2.318,2.519,9.1,42,Y,90.77,AtRisk
2024-03-31,2025-05-07,LGD-W-4981154,48.48,-22.13,22.68,4.86,20.66,21.73,42.51,15.394,8.5,31.39,10.06,4.962,6.88,18,Y,86.48,Emerging
2019-04-30,2020-03-18,LGD-W-2027090,9.16,16.44,32.19,-0.2,10.59,7.56,12.31,6.065,4.63,-7.66,-4.589,3.374,11.86,184,N,90.59,AtRisk
2019-02-13,2021-02-07,LGD-W-2009262,-17.45,36.43,16.88,27.47,82.34,32.43,8.84,6.649,1.57,1.2,10.505,1.019,33.63,36,Y,57.84,AtRisk
2018-04-07,2020-01-30,LGD-W-5362097,-5.89,-18.23,-12.98,-5.88,63.8,4.18,0.69,3.788,28.36,7.58,-4.246,-0.335,-27.35,215,N,42.44,LateStage
2023-09-11,2025-04-22,LGD-W-3189015,30.25,-15.0,26.89,9.74,86.14,38.88,0.26,4.811,17.38,28.34,-4.409,6.283,5.31,108,Y,26.25,AtRisk
2018-10-14,2020-06-12,LGD-W-9010674,-13.6,8.5,10.94,23.02,60.77,21.61,44.37,7.878,38.03,3.48,-3.09,1.716,14.12,188,N,23.24,Accelerating
2024-11-11,2026-08-31,LGD-W-1177884,18.28,35.99,14.65,25.85,76.96,54.2,2.16,0.932,17.38,-1.17,9.948,6.024,1.6,18,N,39.47,EarlySignals
2022-10-09,2024-01-07,LGD-W-6217888,13.34,25.56,38.92,-2.17,51.14,51.46,19.48,17.619,10.9,1.34,8.883,-1.468,-13.14,129,N,39.53,AtRisk
2023-05-20,2024-11-15,LGD-W-2893155,-4.56,16.25,10.41,-8.87,8.41,28.92,5.59,14.95,-3.16,21.18,8.429,4.763,-15.51,113,Y,49.33,Accelerating
2020-04-09,2021-04-03,LGD-W-5775360,46.28,4.36,4.56,18.81,62.08,27.71,32.26,17.434,45.32,25.92,10.607,5.863,27.63,44,Y,32.95,AtRisk
2022-05-01,2023-02-08,LGD-W-4858831,18.49,38.36,39.61,0.02,23.97,17.86,4.77,2.656,9.03,18.0,2.63,0.596,-4.83,38,N,54.86,Stabilizing
2021-12-20,2022-07-29,LGD-W-1705856,29.72,-6.84,10.2,-2.81,76.59,8.91,23.87,11.433,29.86,15.36,3.381,4.378,-24.51,156,N,15.11,Accelerating
2019-05-21,2019-12-02,LGD-W-6407143,51.8,-0.73,26.52,15.05,61.47,55.59,26.28,1.821,43.45,2.05,-0.033,3.879,-12.0,140,Y,90.79,Emerging
2024-07-22,2026-06-10,LGD-W-2038730,36.02,80.56,-11.45,-0.32,7.15,11.74,12.39,13.997,9.79,-7.35,7.891,3.615,-0.27,169,Y,99.79,EarlySignals
2022-08-03,2023-08-16,LGD-W-4226476,-2.41,-15.95,1.29,15.49,86.85,40.92,8.84,4.683,-1.52,11.89,9.532,-0.39,-11.37,171,Y,65.28,Emerging
2019-01-17,2021-01-05,LGD-W-7250505,9.54,5.63,17.72,19.75,29.61,47.83,13.3,9.357,45.98,14.26,4.333,3.6,-18.98,90,Y,53.28,EarlySignals
2022-06-27,2024-06-05,LGD-W-5973272,-15.96,-18.72,27.36,0.61,57.81,8.75,9.3,6.427,39.24,-6.15,6.479,-0.978,18.63,163,Y,69.33,Stabilizing
2024-04-18,2026-03-27,LGD-W-9007107,-4.95,68.8,14.58,16.9,26.73,26.33,40.68,2.869,53.73,18.81,3.825,5.884,21.99,4,N,4.02,Stabilizing
2019-07-11,2021-03-01,LGD-W-8835257,11.74,9.52,-7.79,-6.58,90.98,5.23,4.25,16.407,13.06,3.94,5.259,-0.195,4.1,119,N,42.8,EarlySignals
2019-03-24,2021-01-10,LGD-W-3985337,7.54,35.25,7.71,-9.06,92.36,55.54,22.74,1.607,38.09,-8.13,4.081,-2.293,-1.9,84,N,66.89,Stabilizing
2022-02-02,2022-08-14,LGD-W-1720626,36.66,21.68,7.37,11.35,2.58,54.69,8.26,10.301,50.67,2.68,5.194,3.012,-31.18,6,Y,10.69,AtRisk
2023-01-30,2024-06-05,LGD-W-1216635,40.82,-12.05,11.22,-11.47,40.89,28.65,5.4,12.087,11.91,4.47,2.704,-0.888,15.58,13,N,55.59,Accelerating
2021-03-20,2021-11-10,LGD-W-7688236,-18.94,81.19,21.17,25.63,29.15,14.19,16.55,4.263,27.09,16.9,9.232,-2.37,34.04,200,Y,41.04,EarlySignals
2019-03-05,2019-10-26,LGD-W-5826151,45.08,45.91,-15.41,9.61,74.5,9.74,5.06,8.596,14.16,8.7,6.1,1.336,-31.93,199,N,72.42,Accelerating
2019-09-02,2020-05-20,LGD-W-2129281,-16.04,69.31,29.27,15.5,29.23,33.07,1.83,18.125,47.54,34.77,9.526,-2.751,-30.14,95,Y,49.79,Accelerating
2022-03-27,2023-02-27,LGD-W-9702133,2.96,11.85,0.51,23.6,38.53,50.72,28.54,15.059,45.64,15.82,5.319,3.978,27.41,70,N,70.53,EarlySignals
2024-12-09,2025-10-04,LGD-W-5857144,-10.08,21.63,19.53,15.02,62.18,2.1,28.97,3.466,29.32,14.12,4.812,0.377,18.09,112,N,11.84,EarlySignals
2023-01-24,2024-06-28,LGD-W-6799139,44.91,76.35,-7.49,4.47,8.46,41.82,4.02,6.021,21.93,-5.31,9.009,5.454,6.64,167,N,32.71,Accelerating
2019-09-06,2021-06-16,LGD-W-7084007,51.07,23.43,29.16,3.98,78.47,20.67,5.83,8.748,36.86,3.38,10.872,2.04,-14.3,180,N,45.51,Emerging
2021-08-16,2022-07-14,LGD-W-9397300,9.59,-5.94,39.98,15.03,86.95,8.89,24.04,13.629,13.69,19.28,-4.704,0.267,2.22,63,N,13.73,LateStage
2019-07-30,2020-12-02,LGD-W-7671293,3.41,25.85,16.67,24.8,10.2,12.35,24.55,5.312,24.97,6.01,9.802,2.492,23.98,74,Y,12.1,EarlySignals
2019-10-13,2020-07-26,LGD-W-8645151,1.94,10.82,22.46,16.4,35.27,46.25,30.77,20.055,62.44,-13.53,0.162,-2.603,-8.59,93,Y,81.96,Stabilizing
2021-02-05,2021-08-16,LGD-W-9675183,23.3,35.6,20.23,-4.61,23.93,35.73,1.75,21.209,63.5,17.0,5.416,3.877,0.06,58,N,58.15,LateStage
2021-04-03,2022-11-24,LGD-W-4764436,-13.36,25.65,-8.7,22.97,30.02,11.1,2.07,15.41,20.96,14.25,-4.112,3.187,3.01,96,Y,80.21,AtRisk
2023-08-27,2024-02-12,LGD-W-4285472,51.45,75.03,9.35,11.17,68.24,8.58,32.3,9.455,23.75,29.01,11.54,-2.935,3.73,57,N,66.62,EarlySignals
2020-01-31,2022-01-11,LGD-W-4764672,39.51,-11.61,-2.18,-2.24,5.31,30.03,23.79,11.908,24.72,18.61,11.562,3.864,19.18,51,Y,35.76,Accelerating
2018-09-30,2020-08-22,LGD-W-5147112,38.48,12.34,9.71,24.96,47.93,52.43,1.18,7.335,19.38,-4.31,4.448,3.658,-9.38,165,N,35.22,Accelerating
2019-07-07,2020-01-02,LGD-W-4714879,-2.36,-27.59,15.23,5.67,44.77,29.73,23.37,12.271,30.31,32.5,4.373,-1.785,-11.84,155,N,70.78,EarlySignals
2018-05-19,2020-01-13,LGD-W-6977451,19.05,42.33,15.22,15.13,17.42,59.45,21.05,11.699,20.96,31.55,-4.812,-1.538,23.21,159,Y,56.0,EarlySignals
2021-09-14,2022-05-05,LGD-W-8140071,-6.11,5.38,15.63,-9.3,16.94,27.63,36.38,5.844,25.11,-3.49,1.802,6.714,-6.6,86,N,35.83,Emerging
2023-12-25,2025-03-14,LGD-W-4031465,17.51,19.92,-11.22,20.23,85.73,29.03,37.99,13.046,34.47,19.41,-1.669,3.967,-8.76,102,Y,75.08,Accelerating
2018-05-05,2018-08-09,LGD-W-1310465,-10.35,41.86,13.89,4.13,8.48,47.29,34.99,17.908,-0.07,-2.94,0.18,-1.613,-22.57,78,N,97.23,Emerging
2024-03-19,2025-11-29,LGD-W-6784515,47.28,75.88,11.32,21.84,65.57,41.27,22.47,19.07,18.59,10.29,11.327,4.772,-34.89,96,N,80.06,Accelerating
2020-12-13,2022-06-30,LGD-W-2648302,13.04,67.06,16.87,22.28,94.04,44.83,12.06,11.562,13.83,1.1,-0.703,2.972,30.41,34,N,27.89,EarlySignals
2021-06-07,2022-05-29,LGD-W-4628963,50.96,-25.87,0.46,22.59,79.62,46.29,34.5,17.328,44.87,-14.56,-2.41,-2.878,-31.63,74,N,34.5,Accelerating
2021-05-27,2022-10-13,LGD-W-3879062,3.93,-27.96,8.25,15.98,25.02,6.33,34.04,11.705,39.46,-2.03,7.06,5.665,33.48,213,Y,17.91,EarlySignals
2018-05-25,2018-09-19,LGD-W-3163932,-15.64,34.71,-1.84,14.04,18.61,4.89,3.55,8.933,32.04,-14.23,7.615,-0.98,26.37,171,Y,6.31,Accelerating
2018-12-14,2019-04-24,LGD-W-9488957,39.76,42.12,9.36,-11.03,17.05,32.04,43.82,19.681,56.87,15.31,-1.526,-2.171,13.97,215,Y,3.49,Stabilizing
2020-10-27,2022-10-09,LGD-W-5353962,24.87,70.64,-6.38,4.17,17.58,15.61,5.56,18.22,12.04,21.43,-1.476,-2.106,13.75,110,N,71.68,Emerging
2022-01-17,2022-06-07,LGD-W-1511002,-8.06,76.36,4.91,2.14,37.08,24.37,39.99,2.577,52.49,-1.15,8.593,4.229,7.31,27,Y,95.93,Emerging
2022-10-13,2023-03-17,LGD-W-8831211,-5.64,58.8,22.82,23.76,86.69,39.98,27.57,10.668,50.55,28.47,10.857,4.941,-0.73,87,N,60.33,Stabilizing
2018-08-08,2019-05-25,LGD-W-8055117,51.24,70.72,33.18,15.1,21.11,30.02,31.69,3.952,6.83,15.09,-4.569,6.032,-0.43,85,Y,74.87,EarlySignals
2018-08-30,2020-08-26,LGD-W-6382580,36.66,61.67,3.28,-3.24,47.11,5.11,1.15,7.704,3.63,7.59,2.542,-2.018,-11.06,69,Y,33.8,LateStage
2019-06-02,2020-01-15,LGD-W-3681554,2.9,-10.57,9.08,12.1,92.0,34.88,22.96,8.362,28.38,6.02,-2.511,-0.581,-1.58,212,N,90.1,EarlySignals
2024-05-13,2025-06-28,LGD-W-2600028,7.38,69.72,34.73,26.47,64.67,27.39,17.65,9.238,27.98,25.65,8.477,5.459,-1.5,171,Y,52.16,LateStage
2018-02-27,2020-01-26,LGD-W-8308096,-23.33,-15.72,-13.62,-6.73,95.3,10.41,38.05,4.541,8.46,5.29,11.685,0.347,-27.78,203,N,44.72,Emerging
2019-10-31,2021-05-31,LGD-W-7387955,6.08,74.07,3.18,11.74,46.42,46.4,38.53,5.396,48.03,23.65,1.563,0.308,-9.05,77,Y,57.97,Emerging
2019-10-26,2021-01-30,LGD-W-5205185,41.4,32.72,-12.24,-8.38,54.92,39.55,31.04,4.474,23.41,16.33,6.151,4.389,5.09,211,Y,60.89,Emerging
2023-02-08,2023-07-18,LGD-W-6333957,6.28,57.53,20.85,-6.09,6.38,16.47,23.05,6.465,11.08,-4.07,4.291,3.967,16.24,146,N,41.25,Stabilizing
2023-11-02,2025-10-07,LGD-W-2297149,19.04,12.45,38.21,16.44,69.74,59.16,0.77,5.332,63.6,14.92,5.822,6.281,-21.07,219,Y,60.76,EarlySignals
2022-11-15,2024-05-06,LGD-W-5234673,37.3,55.4,-13.95,18.38,64.71,24.44,33.82,6.211,12.77,9.45,-3.59,2.683,-25.52,114,Y,94.99,Stabilizing
2020-02-15,2020-08-09,LGD-W-5744193,-24.09,53.52,20.43,14.67,53.93,24.1,44.52,18.489,-3.45,1.04,1.556,2.249,7.61,84,Y,69.54,EarlySignals
2018-02-26,2020-01-13,LGD-W-5529935,25.04,66.36,7.09,-0.31,10.0,59.95,7.14,14.314,-2.44,23.26,9.128,-0.526,-1.67,148,N,33.81,Stabilizing
2022-09-12,2024-01-23,LGD-W-5131003,-8.12,64.44,-16.91,11.88,68.61,33.27,42.39,15.626,56.43,14.1,1.633,2.894,20.72,170,N,70.37,EarlySignals
2021-02-26,2022-02-05,LGD-W-3326614,34.8,73.87,-3.2,23.03,12.23,49.25,3.45,7.299,54.82,9.56,-5.036,4.883,33.92,197,N,14.42,LateStage
2018-09-22,2020-04-30,LGD-W-7317822,21.15,-1.19,40.78,-9.09,45.73,2.83,34.65,9.188,58.82,18.96,2.313,-0.757,-9.81,211,N,74.23,AtRisk
2022-06-26,2023-06-27,LGD-W-2870058,6.14,25.11,33.93,22.9,20.23,48.26,29.71,11.226,0.18,4.69,5.196,6.523,4.22,38,Y,89.17,AtRisk
