food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_usd,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2019,NBH0000000513,8.621,10.6462,1,1507,1797,LOW_INCOME_LOW_ACCESS,14.23,272.95,20.9445,15.8509,58.57,264,7.57,30.58,36.9,0,60.95,71.36
2013,NBH0000000514,14.885,9.1725,1,471,1710,NO_DESERT,41.33,30.84,27.8337,7.8422,17.08,418,49.55,16.05,26.34,1,85.98,85.48
2021,NBH0000000515,15.434,10.4529,1,1494,617,NO_DESERT,54.22,23.13,20.4867,19.2795,74.61,459,2.24,2.61,9.31,0,51.0,6.45
2009,NBH0000000516,17.438,5.994,1,2681,1226,NO_DESERT,23.68,287.46,0.0602,10.7451,35.01,274,56.06,57.47,30.37,0,32.22,98.86
2017,NBH0000000517,14.306,2.3076,0,236,925,LOW_ACCESS,9.46,281.71,0.5411,13.4561,0.9,111,69.6,55.25,36.6,1,54.28,85.35
2017,NBH0000000518,24.207,9.2158,0,3760,222,NO_DESERT,9.01,321.54,21.1255,13.4037,19.42,473,94.85,91.56,2.19,0,16.63,37.16
2008,NBH0000000519,16.134,9.4257,1,566,1670,LOW_ACCESS,19.32,112.5,10.3702,6.3929,18.28,102,99.83,93.17,15.47,0,32.05,89.59
2019,NBH0000000520,11.554,6.5181,1,4069,1215,URBAN_LOW_ACCESS,26.93,138.67,0.2444,21.0688,22.54,404,54.36,42.5,40.58,1,27.74,12.38
2020,NBH0000000521,7.282,0.3046,1,2635,1465,NO_DESERT,25.26,219.75,13.4442,12.3169,88.19,295,21.7,13.57,44.52,0,34.91,61.93
2018,NBH0000000522,24.288,7.9539,1,2775,919,RURAL_LOW_ACCESS,60.07,22.45,18.3227,12.9128,83.99,204,82.42,37.41,43.36,1,13.68,85.16
2008,NBH0000000523,0.001,2.1202,0,591,520,NO_DESERT,7.03,309.06,23.6207,15.5077,57.64,319,20.73,35.88,16.8,1,17.65,76.03
2009,NBH0000000524,23.786,5.3031,0,2168,551,LOW_ACCESS,39.59,183.35,25.0017,16.4751,74.68,336,58.74,84.14,18.63,0,96.54,21.79
2025,NBH0000000525,24.98,11.8858,0,2530,753,NO_DESERT,10.7,285.82,12.3141,1.3512,66.28,430,15.05,75.63,1.69,1,0.82,87.28
2010,NBH0000000526,12.693,6.0798,0,1113,1158,NO_DESERT,68.48,294.68,28.7576,8.1513,58.66,185,35.87,65.97,17.41,1,7.31,99.2
2018,NBH0000000527,8.262,1.0625,0,2861,758,LOW_INCOME_LOW_ACCESS,50.91,39.51,26.8133,9.7295,45.07,320,65.03,49.63,17.17,0,20.75,86.28
2011,NBH0000000528,24.693,10.8803,1,307,880,NO_DESERT,7.65,158.37,21.4601,3.8875,41.58,37,52.48,9.14,25.02,0,88.32,74.83
2011,NBH0000000529,2.969,3.0004,0,2237,1110,LOW_INCOME_LOW_ACCESS,91.93,138.92,7.1066,23.0949,26.82,157,45.31,44.53,44.4,1,25.49,78.7
2011,NBH0000000530,1.395,5.6505,1,1918,971,RURAL_LOW_ACCESS,56.92,295.15,20.2346,24.0445,51.07,178,89.44,42.99,43.16,1,43.51,62.64
2014,NBH0000000531,15.724,8.5094,1,2802,1350,NO_DESERT,84.5,167.95,15.4048,10.4814,79.53,270,23.6,82.72,35.74,0,74.67,44.86
2011,NBH0000000532,13.211,8.9768,0,998,194,LOW_INCOME_LOW_ACCESS,6.28,225.85,3.9178,0.0985,22.01,220,98.42,85.55,12.8,1,38.67,48.26
2024,NBH0000000533,17.811,11.8025,1,3078,1095,LOW_INCOME_LOW_ACCESS,86.17,317.51,10.6166,3.264,20.35,232,59.04,46.59,11.48,0,63.1,13.57
2014,NBH0000000534,21.865,3.4478,1,2742,530,RURAL_LOW_ACCESS,8.43,216.8,21.264,13.8189,69.48,76,74.34,78.08,36.96,1,16.9,23.19
2010,NBH0000000535,10.873,6.9702,0,1675,562,NO_DESERT,90.45,165.63,19.1392,8.1805,87.19,486,58.75,98.21,24.59,0,89.68,46.95
2014,NBH0000000536,16.438,2.5967,0,4106,1757,LOW_INCOME_LOW_ACCESS,92.95,206.44,18.2301,20.9294,7.88,11,16.93,67.05,17.77,1,54.76,99.42
2009,NBH0000000537,19.789,6.6286,1,2805,1315,NO_DESERT,92.77,84.59,1.1525,12.1755,19.55,219,2.9,25.0,13.96,1,32.69,89.32
2021,NBH0000000538,9.023,6.0829,0,892,1402,NO_DESERT,47.87,55.26,4.9779,6.8629,50.54,434,99.64,44.5,17.27,0,94.95,20.12
2018,NBH0000000539,8.861,8.1803,0,72,116,RURAL_LOW_ACCESS,83.62,209.05,24.0105,7.165,71.85,365,15.8,91.14,4.94,1,35.26,59.25
2011,NBH0000000540,6.757,7.3582,0,2110,1654,URBAN_LOW_ACCESS,98.31,33.98,21.4734,1.1022,85.03,19,12.68,33.76,8.96,1,38.35,37.58
2025,NBH0000000541,12.473,11.9355,1,1685,1792,LOW_INCOME_LOW_ACCESS,35.02,268.91,25.5752,19.7701,42.49,294,17.78,55.94,41.81,1,74.73,14.87
2010,NBH0000000542,24.271,10.3049,1,3536,581,LOW_ACCESS,77.07,255.73,18.4038,9.3211,71.51,335,27.35,39.91,2.51,1,65.52,49.99
2020,NBH0000000543,7.3,11.9154,0,2137,1056,URBAN_LOW_ACCESS,7.32,208.11,18.8409,18.3552,72.06,312,66.86,89.51,39.76,0,0.14,13.14
2023,NBH0000000544,24.816,0.4971,0,2334,882,LOW_INCOME_LOW_ACCESS,64.46,135.99,15.124,23.1298,1.12,113,86.85,97.62,11.37,0,10.88,51.79
2017,NBH0000000545,8.371,7.2159,0,2753,89,LOW_ACCESS,87.78,199.61,23.3823,18.9876,26.65,455,63.54,66.77,24.21,0,85.37,61.84
2023,NBH0000000546,18.09,5.9043,0,1697,749,NO_DESERT,47.29,318.09,9.9742,17.2027,95.14,461,98.37,26.26,17.54,1,67.92,94.07
2023,NBH0000000547,5.712,8.5064,0,3943,432,NO_DESERT,0.88,260.8,21.0616,11.3792,43.92,63,98.07,11.22,2.78,0,91.7,24.88
2016,NBH0000000548,7.859,3.3373,0,1720,242,LOW_INCOME_LOW_ACCESS,78.58,188.47,2.9405,3.9597,49.98,314,6.8,15.04,0.08,0,71.17,94.44
2013,NBH0000000549,15.079,3.5864,0,2647,505,LOW_ACCESS,44.25,250.43,29.7908,8.4473,43.66,304,71.45,75.75,31.12,1,58.55,98.8
2019,NBH0000000550,17.714,6.5818,0,2090,242,LOW_ACCESS,68.46,346.54,22.8583,8.0095,48.53,162,24.92,61.21,9.64,0,81.31,10.39
2013,NBH0000000551,24.977,4.0616,1,2076,441,URBAN_LOW_ACCESS,58.84,32.38,27.9676,3.985,41.37,144,76.36,21.38,14.01,0,68.09,93.35
2017,NBH0000000552,15.588,2.8767,0,3200,90,NO_DESERT,27.59,19.94,10.7417,17.2569,66.6,151,81.82,39.31,39.22,0,26.35,73.98
2016,NBH0000000553,12.163,1.7924,1,3242,353,URBAN_LOW_ACCESS,18.92,140.68,11.7014,12.4655,35.5,219,12.26,4.89,43.7,1,44.39,71.5
2008,NBH0000000554,6.802,10.941,0,1643,1021,LOW_INCOME_LOW_ACCESS,55.65,143.99,2.1319,19.815,74.25,318,99.2,51.03,9.62,1,44.83,40.42
2020,NBH0000000555,24.632,0.8885,0,1462,703,NO_DESERT,50.15,16.21,7.8546,23.7092,67.86,347,0.37,66.34,29.44,0,88.97,95.08
2017,NBH0000000556,1.984,8.0363,0,1161,647,LOW_ACCESS,16.61,142.16,24.2313,21.3681,11.17,229,89.08,66.04,20.6,1,88.51,75.71
2023,NBH0000000557,6.588,7.6804,1,3590,940,NO_DESERT,84.12,231.01,16.6864,1.5868,90.96,354,48.72,80.83,34.93,0,68.14,74.5
2024,NBH0000000558,4.075,7.3805,1,1107,1782,URBAN_LOW_ACCESS,17.7,69.31,1.4042,12.4026,50.88,292,29.52,18.63,6.49,0,53.56,51.19
2014,NBH0000000559,21.736,0.4451,1,2289,926,NO_DESERT,50.57,148.93,0.7061,13.0175,11.35,369,43.98,79.35,39.25,1,4.22,72.5
2010,NBH0000000560,20.156,6.7395,0,1432,864,LOW_ACCESS,12.29,51.41,7.3408,16.4841,32.56,177,81.75,1.51,8.63,0,10.98,32.55
2015,NBH0000000561,16.669,11.8172,0,3841,1097,NO_DESERT,92.27,292.35,26.7406,8.8212,33.59,280,66.71,99.97,32.57,0,16.22,66.54
2014,NBH0000000562,18.351,2.307,1,1174,89,NO_DESERT,26.35,18.03,21.1224,18.2044,77.52,296,65.91,63.77,40.28,0,73.73,86.29
2017,NBH0000000563,12.448,9.4487,0,174,68,NO_DESERT,58.81,294.56,16.0004,13.4532,59.38,372,77.4,89.84,32.04,1,97.07,39.68
2020,NBH0000000564,6.284,11.3495,1,2635,4,LOW_ACCESS,46.02,78.27,29.7107,7.693,33.46,132,7.99,72.83,23.3,0,17.61,61.97
2009,NBH0000000565,1.096,11.8014,0,1070,1525,LOW_ACCESS,58.44,209.49,13.6115,3.6346,82.68,473,13.27,91.28,5.46,0,99.53,31.78
2018,NBH0000000566,1.219,11.2185,1,2318,1269,NO_DESERT,10.14,23.09,8.1846,21.2807,12.6,55,61.96,54.0,13.16,0,72.6,34.76
2020,NBH0000000567,12.426,0.8586,1,1973,834,URBAN_LOW_ACCESS,21.33,21.26,4.3124,3.4209,80.88,28,31.79,30.35,31.84,0,70.1,1.01
2013,NBH0000000568,15.879,10.5952,0,240,167,NO_DESERT,29.99,119.59,16.5446,12.4074,58.97,349,36.93,33.98,7.46,0,32.32,23.12
2008,NBH0000000569,23.153,1.4599,0,4353,742,LOW_ACCESS,82.08,263.69,2.5021,4.8235,39.79,142,22.37,86.87,4.01,1,85.13,27.82
2023,NBH0000000570,4.498,0.7793,1,4018,1181,NO_DESERT,17.47,215.1,15.7926,17.9018,39.64,138,30.91,49.56,28.96,0,88.02,49.38
2022,NBH0000000571,9.671,9.3146,1,3771,1180,URBAN_LOW_ACCESS,4.12,53.68,23.8733,0.3518,65.32,30,26.38,1.75,21.92,0,45.15,79.43
2008,NBH0000000572,3.88,8.0155,1,813,799,NO_DESERT,11.4,282.95,16.9935,12.0059,43.64,427,30.3,86.0,29.22,0,62.82,62.33
2016,NBH0000000573,8.926,5.7239,1,4217,387,LOW_INCOME_LOW_ACCESS,44.37,228.1,16.42,17.6241,42.35,0,68.22,10.27,40.1,0,36.21,81.61
2017,NBH0000000574,6.893,8.0442,1,3771,1095,RURAL_LOW_ACCESS,45.71,226.29,23.7164,22.6027,25.53,262,17.84,49.26,11.92,1,14.98,55.31
2010,NBH0000000575,12.041,1.9173,1,213,274,RURAL_LOW_ACCESS,58.28,209.71,15.3631,4.3849,14.27,140,55.17,84.34,26.98,1,39.47,18.62
2008,NBH0000000576,14.717,2.8054,0,2406,85,NO_DESERT,51.48,23.91,18.5642,4.5849,56.88,485,37.17,13.79,10.0,1,66.11,98.88
2022,NBH0000000577,19.569,1.2595,0,160,1144,NO_DESERT,97.89,229.97,29.0119,3.8117,53.49,498,8.89,1.91,9.09,1,94.7,31.96
2017,NBH0000000578,2.484,5.8618,1,1716,1074,LOW_INCOME_LOW_ACCESS,44.52,334.5,29.5149,7.6778,68.35,349,28.88,55.64,15.48,0,78.0,27.23
2025,NBH0000000579,8.854,2.3523,1,3643,1066,NO_DESERT,37.32,309.23,1.575,4.8642,38.07,28,64.28,11.95,9.6,0,68.2,18.23
2010,NBH0000000580,1.743,7.0079,0,1097,353,LOW_ACCESS,46.49,228.51,15.9567,10.8711,78.86,398,12.96,73.79,36.77,0,99.59,31.21
2010,NBH0000000581,9.143,2.699,1,3998,1612,NO_DESERT,41.01,68.7,21.3607,20.953,95.57,316,45.42,70.04,36.87,0,53.69,28.09
2009,NBH0000000582,9.063,3.4987,0,1198,1200,NO_DESERT,79.17,72.57,23.0547,3.2845,50.61,392,35.16,53.2,40.08,1,36.14,53.47
2019,NBH0000000583,18.08,3.8444,0,1143,693,URBAN_LOW_ACCESS,44.85,144.95,10.0165,5.5838,80.4,34,76.73,68.4,33.11,0,15.67,39.54
2017,NBH0000000584,8.876,11.8461,1,4200,426,RURAL_LOW_ACCESS,97.11,254.01,5.2679,3.2206,11.01,297,15.83,33.77,23.73,0,81.15,27.8
2012,NBH0000000585,3.018,10.0671,1,1744,40,URBAN_LOW_ACCESS,24.24,93.76,20.6948,8.2593,49.53,343,86.3,53.65,16.07,1,73.79,69.64
2025,NBH0000000586,20.173,0.4057,1,2630,1300,NO_DESERT,30.07,182.81,26.5533,11.0714,68.39,489,39.01,49.72,19.84,0,82.86,67.45
2009,NBH0000000587,22.716,0.0691,0,2327,824,RURAL_LOW_ACCESS,70.03,278.2,13.4529,3.5508,18.1,328,22.41,2.04,33.32,1,41.7,97.13
2008,NBH0000000588,1.196,1.0104,0,2577,183,NO_DESERT,86.81,247.94,3.1322,10.3106,15.31,239,94.94,88.86,39.72,1,7.11,75.53
2023,NBH0000000589,8.181,0.294,1,759,129,LOW_ACCESS,49.21,69.58,4.2336,11.2044,61.63,111,2.07,43.32,42.36,1,85.23,9.83
2008,NBH0000000590,18.893,3.7393,1,3093,1196,LOW_INCOME_LOW_ACCESS,71.51,296.8,26.0885,12.7294,18.77,12,65.17,86.54,16.37,0,56.74,10.91
2011,NBH0000000591,3.798,4.9769,1,1689,395,LOW_INCOME_LOW_ACCESS,1.64,168.25,19.6173,9.2064,93.16,293,98.41,45.65,41.41,0,41.55,71.82
2008,NBH0000000592,16.51,7.025,1,2983,911,URBAN_LOW_ACCESS,1.45,166.52,21.5458,2.5398,25.49,297,78.75,85.31,3.73,0,15.02,52.25
2016,NBH0000000593,18.942,2.728,1,2068,1595,LOW_INCOME_LOW_ACCESS,47.29,260.58,18.9573,8.3283,91.37,22,72.44,39.93,29.61,0,83.87,78.82
2020,NBH0000000594,24.798,8.4396,1,1020,992,LOW_INCOME_LOW_ACCESS,97.35,338.71,25.8967,16.8214,39.0,171,6.81,68.12,41.07,1,55.16,29.03
2018,NBH0000000595,15.108,8.5273,1,2214,731,NO_DESERT,30.61,216.33,15.9652,0.1611,84.04,416,11.43,91.24,39.44,1,98.88,39.42
2008,NBH0000000596,23.962,7.5417,0,3839,108,RURAL_LOW_ACCESS,8.31,305.62,9.3791,18.1458,71.08,377,29.25,63.59,2.1,0,32.55,70.49
2019,NBH0000000597,0.67,2.9322,1,1888,831,URBAN_LOW_ACCESS,70.64,348.97,15.9821,12.3065,89.08,373,22.91,51.07,16.91,0,0.97,94.18
2010,NBH0000000598,14.033,5.5068,1,4227,1357,LOW_INCOME_LOW_ACCESS,6.73,313.52,1.5462,10.2203,19.92,453,4.75,55.04,32.62,1,47.15,46.9
2018,NBH0000000599,7.625,4.1874,0,4432,679,URBAN_LOW_ACCESS,89.61,334.53,4.9757,19.7775,51.89,467,29.64,65.88,19.8,1,51.92,18.7
2018,NBH0000000600,24.42,11.6451,1,3862,115,NO_DESERT,35.31,279.12,8.6199,3.7639,15.71,253,80.73,29.88,34.49,0,90.88,13.07
2017,NBH0000000601,3.555,10.9335,1,4085,973,NO_DESERT,23.13,335.43,20.5167,19.1268,15.92,86,85.18,68.55,44.23,1,30.02,27.66
2025,NBH0000000602,19.231,4.9969,1,4185,1736,LOW_ACCESS,40.51,304.57,26.6251,22.5963,59.26,412,32.17,73.26,8.93,1,54.81,80.84
2012,NBH0000000603,16.849,5.6032,0,3046,1317,LOW_ACCESS,4.96,87.19,13.2224,9.9069,79.31,360,57.22,69.02,34.86,0,61.01,40.46
2015,NBH0000000604,24.874,5.1266,1,1330,1011,LOW_ACCESS,16.02,32.35,2.1836,2.8316,36.18,356,96.9,63.61,42.78,0,88.65,18.15
2011,NBH0000000605,22.465,7.0624,0,2537,467,NO_DESERT,56.7,140.46,9.363,20.3823,87.62,117,25.95,64.98,6.49,1,49.81,84.15
2010,NBH0000000606,21.836,6.3859,0,729,1717,URBAN_LOW_ACCESS,32.42,51.75,10.3572,4.9421,25.4,7,3.6,46.6,44.79,1,86.39,97.16
2010,NBH0000000607,12.381,7.4408,1,1796,688,NO_DESERT,56.88,212.68,19.6821,3.5977,10.35,181,74.05,22.73,38.54,1,52.95,8.21
2014,NBH0000000608,2.543,9.2004,0,1532,992,LOW_ACCESS,47.84,81.06,29.7716,23.6671,93.05,280,34.32,53.41,41.89,1,0.12,69.24
2014,NBH0000000609,19.569,0.7582,1,2088,1175,NO_DESERT,65.75,124.11,7.5642,0.8978,50.85,413,55.52,0.12,22.12,1,89.09,97.91
2021,NBH0000000610,6.156,1.7819,0,3324,78,LOW_INCOME_LOW_ACCESS,24.23,29.03,13.3035,24.8091,39.4,120,56.26,65.98,32.49,0,59.73,34.91
2020,NBH0000000611,23.109,5.6236,1,3608,1452,URBAN_LOW_ACCESS,74.6,102.49,15.4706,6.6725,93.57,5,32.56,9.9,17.99,0,66.27,81.84
2017,NBH0000000612,24.576,6.1508,1,2366,552,RURAL_LOW_ACCESS,13.87,268.68,19.0373,2.7558,96.45,335,31.39,12.67,39.4,0,21.77,66.16
2008,NBH0000000613,11.951,0.0327,1,1128,421,RURAL_LOW_ACCESS,27.42,133.1,22.2494,21.8737,96.83,122,73.9,21.75,40.13,1,0.3,54.16
2013,NBH0000000614,5.832,3.0688,0,182,800,URBAN_LOW_ACCESS,38.62,42.54,18.0185,8.1814,41.35,302,70.52,28.45,41.88,0,67.94,38.03
2023,NBH0000000615,3.574,1.4488,0,3479,1795,URBAN_LOW_ACCESS,44.74,304.08,9.506,20.0637,90.93,8,58.17,49.27,30.61,0,72.77,40.15
2014,NBH0000000616,1.386,9.988,1,2459,1679,NO_DESERT,52.44,105.46,15.1329,2.2798,2.39,66,87.31,19.21,6.96,1,49.83,72.79
2025,NBH0000000617,9.009,6.2832,1,580,32,NO_DESERT,36.01,80.48,9.7672,19.1682,8.58,300,82.31,32.79,16.91,1,27.79,42.55
2013,NBH0000000618,18.854,7.8576,1,551,1134,NO_DESERT,49.65,209.65,15.781,8.7152,55.9,82,31.06,6.5,30.73,0,73.41,25.58
2014,NBH0000000619,11.593,1.6991,0,4204,277,NO_DESERT,87.76,207.82,24.2372,23.0379,66.88,485,8.98,44.52,2.16,0,4.57,1.23
2016,NBH0000000620,17.0,8.1649,0,4181,113,URBAN_LOW_ACCESS,60.3,153.58,9.0781,10.3853,27.82,63,74.83,2.55,23.56,1,92.65,34.07
2021,NBH0000000621,3.974,5.1979,1,1045,817,LOW_ACCESS,17.55,223.6,0.081,7.2553,25.51,433,73.6,86.58,14.2,0,4.38,4.7
2016,NBH0000000622,9.89,2.3793,0,3477,1391,URBAN_LOW_ACCESS,52.61,171.5,1.1747,9.0718,2.16,104,26.81,11.82,23.18,0,4.71,58.04
2017,NBH0000000623,21.161,4.7686,0,4203,25,RURAL_LOW_ACCESS,11.53,31.46,17.8644,15.3468,78.66,485,84.71,86.21,42.35,0,27.52,73.86
2011,NBH0000000624,7.974,4.0016,0,4075,671,LOW_INCOME_LOW_ACCESS,63.19,273.67,7.2916,22.5409,86.49,436,30.67,46.72,4.14,1,87.13,79.07
2018,NBH0000000625,1.085,9.8477,0,3473,669,RURAL_LOW_ACCESS,68.22,211.65,20.3642,13.7923,11.23,123,14.43,2.63,14.31,0,33.56,85.36
2013,NBH0000000626,3.444,1.4337,1,161,1602,NO_DESERT,34.63,59.75,10.6892,19.102,79.55,59,3.72,16.61,9.52,1,33.8,78.03
2010,NBH0000000627,4.299,10.5775,1,4236,525,LOW_INCOME_LOW_ACCESS,43.61,42.65,23.2292,9.9408,28.42,383,86.24,64.96,12.5,0,73.75,10.3
2024,NBH0000000628,10.279,5.7695,0,3372,684,NO_DESERT,9.28,339.46,17.0872,11.9898,13.32,430,68.16,32.7,21.67,0,22.27,19.81
2014,NBH0000000629,11.074,7.8056,0,997,1385,NO_DESERT,78.39,209.42,22.0612,4.5537,28.15,27,22.01,40.82,7.3,0,26.59,74.03
2021,NBH0000000630,13.274,7.827,1,68,1116,LOW_ACCESS,25.89,265.86,2.9379,20.4256,97.29,413,58.85,89.84,15.55,1,42.18,84.32
2024,NBH0000000631,23.707,4.3903,0,2114,1522,LOW_ACCESS,78.0,122.3,6.3607,14.4204,46.17,11,99.79,57.88,17.19,0,63.64,11.31
2015,NBH0000000632,9.881,5.2977,1,202,1319,NO_DESERT,49.44,52.7,3.101,21.1352,39.17,323,28.13,29.4,43.72,0,20.06,29.47
2018,NBH0000000633,4.498,3.0437,1,1062,21,NO_DESERT,37.3,173.07,1.3705,10.6581,28.8,389,34.67,97.85,21.2,0,73.62,44.65
2014,NBH0000000634,24.744,4.7438,1,2896,1256,NO_DESERT,15.76,152.78,1.7397,2.4538,76.77,152,31.32,57.45,9.81,0,62.25,75.09
2013,NBH0000000635,9.023,2.9079,0,349,1068,NO_DESERT,86.31,31.86,19.5198,7.3519,33.65,207,23.83,65.13,5.58,1,39.02,59.27
2022,NBH0000000636,9.563,7.9678,0,4449,1255,NO_DESERT,82.88,105.3,29.5238,15.1908,63.47,233,68.48,33.24,4.59,0,18.77,19.17
2011,NBH0000000637,3.959,4.166,1,3402,1395,LOW_INCOME_LOW_ACCESS,32.83,291.0,13.3216,0.4803,24.03,215,5.92,1.63,10.67,1,62.19,35.3
2021,NBH0000000638,11.097,11.2481,0,1703,1507,NO_DESERT,67.96,302.52,20.3084,18.4006,96.22,78,94.42,35.85,2.45,1,91.14,65.06
2008,NBH0000000639,8.466,9.0138,0,3641,413,RURAL_LOW_ACCESS,7.16,146.09,6.8821,17.2118,23.86,181,95.35,75.96,17.75,0,13.36,24.03
2014,NBH0000000640,15.072,1.1723,1,347,749,NO_DESERT,49.84,84.32,23.1034,2.9141,59.25,57,0.24,42.07,30.9,1,72.43,9.75
2013,NBH0000000641,0.395,4.6864,0,999,391,RURAL_LOW_ACCESS,28.51,233.68,3.5163,21.707,69.17,171,9.8,42.66,36.77,0,20.51,75.68
2018,NBH0000000642,20.581,4.4159,1,2567,1216,NO_DESERT,23.47,327.23,5.2855,7.3653,34.54,497,74.63,70.37,35.62,0,40.91,45.97
2022,NBH0000000643,0.388,7.4822,0,1528,52,LOW_ACCESS,76.65,280.74,15.8603,4.4293,69.01,13,11.17,3.82,6.15,1,89.3,54.51
2008,NBH0000000644,13.319,11.2525,1,2991,807,URBAN_LOW_ACCESS,45.78,163.34,19.0404,5.5808,84.8,246,46.98,8.12,6.59,1,50.13,6.16
2022,NBH0000000645,23.042,3.8298,0,803,1358,NO_DESERT,77.3,305.34,11.2313,5.2395,96.87,423,44.47,12.34,14.76,0,28.14,96.03
2010,NBH0000000646,6.306,1.9352,1,73,511,NO_DESERT,53.19,176.03,21.9434,14.3259,38.23,256,17.13,82.25,29.83,0,0.83,19.8
2012,NBH0000000647,17.183,0.5934,1,1100,1545,LOW_ACCESS,6.33,88.0,21.0182,3.2013,92.49,44,38.0,95.2,19.85,0,74.85,2.57
2011,NBH0000000648,14.256,8.7605,0,1538,1034,NO_DESERT,71.64,133.38,11.9388,14.4144,81.72,17,27.68,98.72,36.86,0,7.93,47.95
2015,NBH0000000649,21.814,11.0548,1,3504,1659,LOW_ACCESS,99.65,309.56,0.9214,14.6397,86.87,487,54.51,30.56,33.0,0,85.91,97.39
2022,NBH0000000650,5.889,2.0579,1,4176,562,NO_DESERT,75.64,246.72,12.4016,4.9452,25.24,144,51.42,57.11,38.95,0,77.75,95.12
2025,NBH0000000651,19.88,8.1298,1,2761,1467,URBAN_LOW_ACCESS,52.87,218.91,23.8391,6.1303,61.15,452,29.87,73.13,30.64,0,43.14,75.68
2022,NBH0000000652,13.597,3.4556,1,2325,1013,LOW_ACCESS,66.93,331.22,8.4872,11.7533,95.95,380,43.57,28.75,9.73,0,93.49,56.26
2016,NBH0000000653,20.332,8.0714,1,2339,500,NO_DESERT,76.91,39.1,5.3899,10.7948,34.02,38,61.14,95.7,22.43,0,19.86,38.38
2009,NBH0000000654,13.731,0.3991,0,2768,322,LOW_ACCESS,49.79,139.91,18.1676,22.1005,98.56,395,84.29,75.74,30.15,1,39.18,97.66
2020,NBH0000000655,14.982,8.7314,1,1848,1237,URBAN_LOW_ACCESS,40.39,333.29,1.5775,15.8871,97.09,49,30.88,51.94,13.27,0,17.46,31.66
2020,NBH0000000656,0.993,3.2558,0,3383,1135,NO_DESERT,30.04,96.07,22.7477,2.1862,76.2,242,61.79,79.86,26.78,0,19.92,73.49
2020,NBH0000000657,2.358,8.2671,1,4021,507,LOW_INCOME_LOW_ACCESS,54.57,34.84,11.5388,17.2567,87.77,231,68.9,89.62,29.94,1,0.77,30.52
2011,NBH0000000658,7.686,3.7912,0,279,958,RURAL_LOW_ACCESS,39.2,229.07,22.1738,16.8105,16.92,201,83.19,60.34,25.54,1,51.43,85.5
2013,NBH0000000659,15.133,11.5462,0,1343,1544,LOW_INCOME_LOW_ACCESS,96.33,37.92,27.8232,15.6267,51.21,246,19.32,37.12,33.68,0,58.72,69.17
2020,NBH0000000660,4.325,4.4223,0,4284,1502,LOW_ACCESS,39.75,50.42,4.7081,14.854,78.2,121,15.16,95.64,11.1,0,46.28,80.47
2021,NBH0000000661,1.849,10.9289,1,2689,942,LOW_ACCESS,69.24,59.71,22.942,12.842,98.6,488,56.13,83.22,34.36,1,28.33,16.75
2021,NBH0000000662,7.782,5.255,1,1988,332,NO_DESERT,86.72,92.46,28.2147,18.1124,8.47,216,74.13,60.71,1.58,0,26.97,46.33
2014,NBH0000000663,21.796,4.9209,0,3034,1694,NO_DESERT,86.79,76.08,21.5522,18.0004,89.6,312,97.86,7.82,3.06,0,89.57,75.58
2011,NBH0000000664,22.547,2.7453,1,1272,1266,NO_DESERT,73.44,235.87,24.4698,24.2221,54.37,44,77.63,85.54,10.72,0,17.21,78.48
2011,NBH0000000665,4.547,11.907,0,2643,198,LOW_INCOME_LOW_ACCESS,47.95,158.53,4.7685,2.586,9.59,477,80.09,69.33,8.56,0,84.01,16.17
2020,NBH0000000666,0.09,9.4096,1,3092,1467,RURAL_LOW_ACCESS,13.79,31.38,29.3285,9.2257,20.48,479,51.5,55.49,41.55,1,13.73,82.4
2025,NBH0000000667,5.351,5.5341,0,2461,117,NO_DESERT,47.77,200.06,29.5639,8.4949,50.64,183,36.0,62.49,41.22,1,0.26,2.23
2010,NBH0000000668,6.92,2.6333,1,4315,1094,RURAL_LOW_ACCESS,58.92,201.19,22.2692,13.1104,10.01,218,14.9,85.6,11.91,0,28.63,41.53
2013,NBH0000000669,4.071,2.6313,1,3084,884,LOW_ACCESS,5.88,51.87,15.7351,12.3229,76.02,204,37.91,38.25,13.71,0,15.94,96.08
2020,NBH0000000670,22.735,1.7357,1,2612,104,NO_DESERT,5.84,226.35,19.8816,8.0544,51.91,195,51.86,19.73,19.27,1,58.78,33.85
2010,NBH0000000671,4.779,3.0856,0,421,901,NO_DESERT,14.96,86.18,0.5937,11.0949,78.55,117,22.52,33.65,40.22,1,92.89,7.33
2019,NBH0000000672,4.593,0.9898,1,3416,1108,LOW_ACCESS,3.15,242.53,18.9461,15.9484,98.28,265,61.5,31.37,6.63,0,86.59,36.36
2019,NBH0000000673,5.809,7.0587,0,2791,98,NO_DESERT,79.36,269.17,7.0841,5.7509,6.33,23,23.17,90.36,37.64,0,51.55,38.65
