tech_platforms_reference_year,tech_platforms_platform_id_hash,tech_platforms_platform_type_code,tech_platforms_vlop_vlose_flag,tech_platforms_member_state_digital_coordinator_iso2,tech_platforms_dsa_risk_assessment_submitted_flag,tech_platforms_content_moderation_actions_count,tech_platforms_notice_and_action_processing_time_hours_median,tech_platforms_illegal_content_removal_rate_pct,tech_platforms_ad_transparency_repository_flag,tech_platforms_recommender_system_optout_flag,tech_platforms_dark_pattern_finding_flag,tech_platforms_dma_gatekeeper_flag,tech_platforms_interoperability_obligation_flag,tech_platforms_data_portability_support_flag,tech_platforms_user_complaints_count,tech_platforms_sanctions_amount_eur,tech_platforms_audit_report_published_flag,tech_platforms_source_regulator_dataset,tech_platforms_data_extract_date
2022,25a8bb903ffd3fc34a4d5425,MESSAGING,0,BG,1,3280,37.11,70.82,1,1,0,0,1,0,794,39813721.51,1,COMMISSION_ENFORCEMENT,2024-07-28
2023,e3d1c46933ed3335e2d4fe65,APP_STORE,0,EE,1,2666,58.04,81.62,0,0,1,1,0,1,693,513386326.63,0,REGULATOR_AUDIT_PORTAL,2024-01-17
2024,0186c7c899a3e49cd0ea8cdf,SEARCH_ENGINE,0,HU,1,2013,48.35,57.79,1,1,1,0,0,0,697,319779663.67,0,PLATFORM_SELF_REPORT,2025-08-12
2025,d4e3a1ab7e5d93cb9a026ce3,ONLINE_MARKETPLACE,0,LU,0,2563,9.49,51.55,0,1,0,1,0,1,819,472296925.67,1,DSA_TRANSPARENCY_DB,2024-01-09
2026,0452a24fbabc83c1e2d1decc,VIDEO_SHARING,1,RO,0,1954,6.34,86.35,1,1,0,0,0,1,628,12659634.63,1,NATIONAL_DSC_REPORTING,2024-08-15
2021,6d522f6b01b604d409ae2fe5,SOCIAL_NETWORK,1,AT,1,2106,45.12,64.91,1,0,0,1,1,1,731,103072735.92,0,COMMISSION_ENFORCEMENT,2024-05-09
2022,457cfd94cfc7078c9bf80b8a,AD_TECH,0,CZ,1,2664,31.82,94.74,1,0,0,1,0,0,557,28415992.84,1,REGULATOR_AUDIT_PORTAL,2024-03-07
2023,7bf028dfa14e28f018b97c2d,CLOUD_PLATFORM,0,DE,1,3900,28.73,50.52,1,0,0,0,0,1,719,161213946.39,1,PLATFORM_SELF_REPORT,2025-02-18
2024,6a77d69c8efc05f24f94e493,MESSAGING,0,LV,1,3393,20.05,70.32,0,1,0,0,0,1,692,153188346.05,1,DSA_TRANSPARENCY_DB,2025-05-20
2025,634c156fb3864815002eed8a,APP_STORE,0,PL,1,4025,94.23,85.4,0,0,0,1,0,0,762,147578564.01,1,NATIONAL_DSC_REPORTING,2026-02-04
2026,3ae06df0fe6714cc596017ec,SEARCH_ENGINE,1,ES,1,2002,39.44,97.0,0,1,1,1,0,1,778,287207283.08,0,COMMISSION_ENFORCEMENT,2024-01-15
2021,b70d405118b8fb5fe000abc8,ONLINE_MARKETPLACE,0,HR,0,1956,74.99,39.42,1,1,0,0,0,0,669,333026286.02,0,REGULATOR_AUDIT_PORTAL,2025-08-18
2022,2b8c86530e4573a976469661,VIDEO_SHARING,1,FI,1,2851,4.52,53.36,1,1,0,0,0,1,750,45366390.87,1,PLATFORM_SELF_REPORT,2024-07-16
2023,9e392729a3f8028785c6c92f,SOCIAL_NETWORK,1,IE,0,4027,31.23,76.95,1,1,1,0,0,0,820,157273724.15,0,DSA_TRANSPARENCY_DB,2025-06-26
2024,0535c1999df2c28d3b573170,AD_TECH,0,MT,1,2883,29.74,83.34,1,1,0,1,0,1,519,73780607.58,0,NATIONAL_DSC_REPORTING,2026-02-17
2025,daf34f27fe64fe8bb1af1e64,CLOUD_PLATFORM,0,SK,1,2450,83.6,78.35,0,0,0,0,1,0,682,156305951.23,0,COMMISSION_ENFORCEMENT,2025-05-31
2026,332bae0d664599cee3a5fd72,MESSAGING,0,BE,0,3290,23.88,67.25,1,1,1,0,0,0,485,412551482.76,1,REGULATOR_AUDIT_PORTAL,2025-04-21
2021,75955f28c18254671bb58502,APP_STORE,0,DK,1,2249,80.68,53.13,1,0,0,1,0,1,534,298160875.4,1,PLATFORM_SELF_REPORT,2024-03-21
2022,3a4c0b23a124b482471274fc,SEARCH_ENGINE,1,GR,1,3029,65.29,40.93,1,0,0,0,0,0,495,200089479.49,1,DSA_TRANSPARENCY_DB,2024-07-09
2023,6c1f04a650c5a28c1e835415,ONLINE_MARKETPLACE,1,LT,1,2050,34.93,36.71,1,1,0,1,0,0,606,465355354.64,1,NATIONAL_DSC_REPORTING,2025-09-24
2024,1fd9d452db0eb4ff9c15c69b,VIDEO_SHARING,0,PT,1,2723,74.4,65.5,1,1,0,0,0,1,621,66236065.78,1,COMMISSION_ENFORCEMENT,2026-01-08
2025,8d5bdf0d5759e2bf4d8e3aa2,SOCIAL_NETWORK,1,SE,1,2171,23.62,80.8,0,0,0,0,0,0,596,53439877.46,0,REGULATOR_AUDIT_PORTAL,2024-12-20
2026,2cc82f4828f7c094a0d541c2,AD_TECH,0,CY,1,2777,86.06,88.43,1,1,0,0,0,1,647,149108318.98,0,PLATFORM_SELF_REPORT,2024-05-29
2021,ffe4d136f82b4f6419577a54,CLOUD_PLATFORM,0,FR,1,4001,85.72,71.67,1,1,0,0,0,1,810,50023287.87,1,DSA_TRANSPARENCY_DB,2024-03-10
2022,6c7ad578afeef41c8d54c8d1,MESSAGING,0,IT,1,4166,93.76,56.63,0,1,1,1,1,0,811,63276840.08,0,NATIONAL_DSC_REPORTING,2026-02-18
2023,3d79dfb8a60cda92f695d55c,APP_STORE,0,NL,1,3414,41.3,63.33,1,1,0,0,0,1,499,3011034.23,0,COMMISSION_ENFORCEMENT,2024-11-22
2024,540c4d847323cab141d8cb94,SEARCH_ENGINE,1,SI,0,3246,25.08,60.79,1,1,0,0,0,1,497,26268042.18,0,REGULATOR_AUDIT_PORTAL,2024-09-23
2025,aeeceb7c52bcfedbdeda9da6,ONLINE_MARKETPLACE,1,BG,0,2236,48.03,79.87,1,1,1,0,1,1,741,516001061.62,1,PLATFORM_SELF_REPORT,2025-11-04
2026,86c60938843476480c90d5fe,VIDEO_SHARING,1,EE,1,3747,28.27,96.81,1,1,0,0,0,1,689,127753214.25,0,DSA_TRANSPARENCY_DB,2024-03-14
2021,12b0b075bc33506c923a663a,SOCIAL_NETWORK,1,HU,1,3949,86.38,46.73,1,1,0,1,0,0,683,318463733.0,1,NATIONAL_DSC_REPORTING,2026-02-22
2022,74fca6944a7d8c16adfbcbdb,AD_TECH,0,LU,1,3620,28.8,68.31,1,0,0,0,1,0,826,143850051.94,1,COMMISSION_ENFORCEMENT,2024-06-06
2023,88b8b2d8de4aba79e81f20c4,CLOUD_PLATFORM,0,RO,0,3932,62.49,91.32,0,1,0,0,0,0,792,23590903.66,1,REGULATOR_AUDIT_PORTAL,2024-04-16
2024,b7b4c20d6e54c739ef36f757,MESSAGING,0,AT,1,3525,47.51,43.56,1,1,0,0,0,0,598,82192232.39,1,PLATFORM_SELF_REPORT,2024-08-28
2025,e3692d3293639e3fae4aeb32,APP_STORE,0,CZ,1,2743,92.16,40.68,0,0,0,0,1,0,533,5822408.96,1,DSA_TRANSPARENCY_DB,2025-08-05
2026,21cee6e0290e310798eef36f,SEARCH_ENGINE,1,DE,1,3574,79.23,54.38,1,1,0,1,0,1,681,515007280.51,0,NATIONAL_DSC_REPORTING,2025-05-10
2021,ca0085d4811da9401eab59b2,ONLINE_MARKETPLACE,1,LV,1,2356,36.56,92.53,1,1,0,1,0,1,657,144427207.47,1,COMMISSION_ENFORCEMENT,2024-10-08
2022,6e61fcd1286b195ca67a2fd7,VIDEO_SHARING,1,PL,1,1922,29.53,68.17,1,0,0,0,1,0,682,127541149.88,1,REGULATOR_AUDIT_PORTAL,2024-11-10
2023,f72c3505a1127146920897c1,SOCIAL_NETWORK,1,ES,1,4373,55.6,59.6,0,1,0,0,0,1,789,188069682.91,1,PLATFORM_SELF_REPORT,2024-11-17
2024,88e3d05e733e743bd67e71d1,AD_TECH,0,HR,1,3697,51.91,94.98,1,0,0,0,0,1,765,43098576.37,0,DSA_TRANSPARENCY_DB,2024-03-08
2025,45b7c032121a113f47e0c1fb,CLOUD_PLATFORM,0,FI,1,3437,27.57,64.92,1,0,0,0,0,1,518,39387964.67,0,NATIONAL_DSC_REPORTING,2024-01-07
2026,6f75dfeae110b736da9a77d8,MESSAGING,0,IE,1,3385,17.51,75.25,0,1,0,1,0,1,872,142534507.55,1,COMMISSION_ENFORCEMENT,2025-06-10
2021,d176abee5155d47f3c32e4cd,APP_STORE,0,MT,1,3600,1.66,73.18,1,0,1,1,0,1,820,154077241.54,1,REGULATOR_AUDIT_PORTAL,2024-06-14
2022,2880b79b7a9065ea91b83cab,SEARCH_ENGINE,1,SK,1,2570,91.85,78.73,1,1,0,1,0,0,737,148584392.87,1,PLATFORM_SELF_REPORT,2025-12-05
2023,ead82226c86361a3b73f5cc1,ONLINE_MARKETPLACE,1,BE,1,3468,15.11,75.43,1,1,0,1,0,1,775,139788613.44,1,DSA_TRANSPARENCY_DB,2025-03-27
2024,adcf823b3af20b923ae15b60,VIDEO_SHARING,0,DK,1,4074,85.29,81.88,1,0,0,0,0,1,651,54479918.99,1,NATIONAL_DSC_REPORTING,2025-05-14
2025,330d597162d55174aabb026e,SOCIAL_NETWORK,1,GR,1,3520,86.5,44.84,1,1,0,0,0,1,513,212011373.78,0,COMMISSION_ENFORCEMENT,2025-11-29
2026,e69e794c270d4160ab10e5ae,AD_TECH,0,LT,1,3898,79.85,66.13,1,1,0,1,0,1,768,37486096.77,1,REGULATOR_AUDIT_PORTAL,2026-01-17
2021,b71c17fe2460d2fefe018256,CLOUD_PLATFORM,0,PT,1,1956,71.62,66.64,1,1,0,0,0,1,650,82953369.28,1,PLATFORM_SELF_REPORT,2025-07-17
2022,e974ea4508ae442ea9bf396a,MESSAGING,0,SE,1,4020,89.5,36.87,1,0,0,0,0,0,579,528125783.47,1,DSA_TRANSPARENCY_DB,2025-02-01
2023,24ead7eeb06b07a35f2dd64f,APP_STORE,0,CY,0,2307,94.31,59.04,0,0,0,1,0,1,776,520304846.99,1,NATIONAL_DSC_REPORTING,2025-03-06
2024,bdcbe2137baccd2c9e39370b,SEARCH_ENGINE,0,FR,1,2043,24.8,50.6,1,0,0,1,0,1,739,382786132.0,0,COMMISSION_ENFORCEMENT,2025-03-09
2025,0a71da776e00cf7323755d25,ONLINE_MARKETPLACE,1,IT,1,2949,33.6,80.3,0,0,0,0,0,0,794,30562014.03,0,REGULATOR_AUDIT_PORTAL,2024-08-02
2026,2ca240feecef5868746d9e3e,VIDEO_SHARING,0,NL,0,2334,82.48,86.66,1,1,0,1,0,1,843,19646230.11,0,PLATFORM_SELF_REPORT,2025-07-15
2021,94a14960540bb4b976f06940,SOCIAL_NETWORK,1,SI,1,2769,28.48,61.62,1,1,0,0,0,1,573,17386262.49,1,DSA_TRANSPARENCY_DB,2024-09-16
2022,cb77e3596f23989f58d8d7c5,AD_TECH,0,BG,1,2252,66.52,68.17,1,0,0,0,0,1,715,59728527.81,0,NATIONAL_DSC_REPORTING,2025-08-01
2023,885b3e07dd7c65e80aecf3d7,CLOUD_PLATFORM,0,EE,1,2599,61.83,86.59,0,1,1,0,0,1,700,135979000.09,1,COMMISSION_ENFORCEMENT,2024-06-22
2024,4af512cbd008c90c4b4aee5a,MESSAGING,0,HU,0,3926,52.77,86.29,1,1,0,0,1,0,709,107357144.89,1,REGULATOR_AUDIT_PORTAL,2025-03-31
2025,e975aab21fb0d7a64be18abd,APP_STORE,0,LU,1,2193,12.52,42.23,1,1,0,1,0,1,797,300977108.74,0,PLATFORM_SELF_REPORT,2024-09-21
2026,7d5eff193008d791dd27b51b,SEARCH_ENGINE,0,RO,1,2322,63.72,71.88,1,0,0,0,0,1,615,39538447.3,1,DSA_TRANSPARENCY_DB,2024-06-15
2021,141b66bdc9cae7d70fcf3e0b,ONLINE_MARKETPLACE,0,AT,1,2585,3.98,51.41,0,0,0,0,0,1,691,109739538.23,0,NATIONAL_DSC_REPORTING,2025-06-16
2022,1ffc6e1b8e7b5f1e3c94d8b4,VIDEO_SHARING,0,CZ,1,2701,70.88,65.23,1,1,0,0,0,1,788,104496599.8,1,COMMISSION_ENFORCEMENT,2024-03-09
2023,ffb5beceac4ef980874ea4d1,SOCIAL_NETWORK,1,DE,0,4346,5.57,83.54,1,1,1,0,0,1,738,209894987.32,1,REGULATOR_AUDIT_PORTAL,2024-06-27
2024,56221934b7c4817586b352ce,AD_TECH,0,LV,1,3526,78.46,50.47,0,0,0,1,0,1,626,130273524.4,1,PLATFORM_SELF_REPORT,2025-02-10
2025,a7a69b26c7ddb72553d9e75d,CLOUD_PLATFORM,0,PL,1,2248,36.78,77.74,0,1,0,0,0,1,871,46204602.74,1,DSA_TRANSPARENCY_DB,2024-01-30
2026,7a4fe4724bc4c41b27653f1e,MESSAGING,0,ES,1,2099,63.25,83.51,1,1,0,0,0,1,755,47186816.98,0,NATIONAL_DSC_REPORTING,2024-04-16
2021,9238a2fdd32736e9ea03a312,APP_STORE,0,HR,1,2895,83.63,47.02,1,0,0,1,1,0,580,377803455.48,1,COMMISSION_ENFORCEMENT,2026-01-07
2022,bb335fbb5ae31817bdf76126,SEARCH_ENGINE,0,FI,0,2931,53.39,35.97,1,1,0,0,0,1,583,195103407.88,1,REGULATOR_AUDIT_PORTAL,2026-02-25
2023,f97fbf78d1bab8f0054c3a40,ONLINE_MARKETPLACE,1,IE,0,4028,43.03,87.21,0,0,1,0,0,1,744,303172826.12,1,PLATFORM_SELF_REPORT,2025-06-30
2024,b846ad4bc45731876e3f56b0,VIDEO_SHARING,1,MT,1,2425,75.58,42.56,0,1,0,0,0,1,902,414050034.15,1,DSA_TRANSPARENCY_DB,2024-02-03
2025,18ef817114bb420171cd868a,SOCIAL_NETWORK,0,SK,1,3071,16.05,83.56,1,1,0,0,0,0,691,30757541.6,1,NATIONAL_DSC_REPORTING,2025-07-02
2026,3af555b10338ca3b93e98162,AD_TECH,1,BE,1,3702,65.24,41.0,0,1,0,1,0,1,830,455998117.17,0,COMMISSION_ENFORCEMENT,2025-04-12
2021,f2beb2e9731e0f4d84816b3a,CLOUD_PLATFORM,0,DK,0,2478,46.18,91.62,0,1,0,0,0,1,817,18234829.58,1,REGULATOR_AUDIT_PORTAL,2025-07-29
2022,83fc1d1c870b513e9f966f22,MESSAGING,1,GR,0,2465,25.48,76.83,1,1,1,0,1,1,557,265588647.41,0,PLATFORM_SELF_REPORT,2024-11-15
2023,b018c6960d9cd4a881b3b664,APP_STORE,0,LT,1,3535,62.42,54.84,0,1,0,0,1,1,751,166375294.9,1,DSA_TRANSPARENCY_DB,2024-05-23
2024,dafbd6fef711b55a39c1b0f3,SEARCH_ENGINE,1,PT,1,3305,64.31,84.06,1,1,1,1,0,0,601,88844165.41,0,NATIONAL_DSC_REPORTING,2025-09-02
2025,f357b1f17bc5e8b0e06cf167,ONLINE_MARKETPLACE,1,SE,0,4211,28.59,70.18,1,1,0,0,0,1,573,123778939.8,1,COMMISSION_ENFORCEMENT,2025-05-01
2026,5fd2f4b5b1e370a3fe0b903c,VIDEO_SHARING,1,CY,1,4169,40.36,76.64,1,0,0,0,0,1,644,152618176.35,1,REGULATOR_AUDIT_PORTAL,2025-10-28
2021,2c25ce93a82730ada662a0cf,SOCIAL_NETWORK,0,FR,1,3834,53.07,70.31,0,1,0,0,0,0,728,107542754.04,1,PLATFORM_SELF_REPORT,2024-02-26
2022,0517006204ecb3bebcf4dccc,AD_TECH,0,IT,1,2670,41.62,44.65,1,1,1,0,0,1,645,166608298.01,0,DSA_TRANSPARENCY_DB,2024-12-05
2023,fc1bec0c515bd6d8f9922ae3,CLOUD_PLATFORM,0,NL,1,3442,31.18,55.03,1,0,0,0,0,0,712,209119081.94,0,NATIONAL_DSC_REPORTING,2026-02-19
2024,63b2cb4f51b859e21a715f89,MESSAGING,0,SI,1,3842,79.74,66.4,0,1,0,0,0,1,572,70396951.06,1,COMMISSION_ENFORCEMENT,2024-02-17
2025,da1c0ed013f41d85a63ce62b,APP_STORE,0,BG,0,4220,56.1,80.11,1,1,0,0,0,1,821,60253328.62,1,REGULATOR_AUDIT_PORTAL,2026-02-08
2026,2a73cee76b7bb3de35d9a3e1,SEARCH_ENGINE,1,EE,1,2125,74.37,76.69,1,1,0,0,0,1,683,18029458.83,0,PLATFORM_SELF_REPORT,2024-12-26
2021,2a75bc6e038dd8eb1f1251db,ONLINE_MARKETPLACE,1,HU,1,4104,52.87,59.16,1,1,0,0,0,1,871,530834825.32,0,DSA_TRANSPARENCY_DB,2024-06-03
2022,32d4102665b8da14957e47c8,VIDEO_SHARING,1,LU,1,2674,78.6,95.14,0,0,0,0,0,1,591,133631314.1,1,NATIONAL_DSC_REPORTING,2025-02-09
2023,cca510e3f808f24b2a5024a9,SOCIAL_NETWORK,1,RO,1,3055,2.94,62.01,1,1,0,0,0,1,662,68074495.72,1,COMMISSION_ENFORCEMENT,2024-01-21
2024,db30310d86ce38d2547d4419,AD_TECH,0,AT,0,2708,12.95,57.04,1,0,0,0,0,0,711,524903301.22,1,REGULATOR_AUDIT_PORTAL,2025-05-16
2025,1b2419ac6fc83e1757f1086d,CLOUD_PLATFORM,1,CZ,1,3138,9.88,49.44,1,0,0,0,0,1,753,252955787.89,0,PLATFORM_SELF_REPORT,2024-12-07
2026,09f22179a70464e8ab617d36,MESSAGING,0,DE,1,2167,27.01,92.83,1,0,1,0,0,1,790,210084200.7,0,DSA_TRANSPARENCY_DB,2024-07-15
2021,e765efdf982308a90fe22113,APP_STORE,0,LV,1,2302,11.96,80.02,1,0,1,1,0,1,697,25186645.79,1,NATIONAL_DSC_REPORTING,2025-06-17
2022,394b4d19626d00fe7b727663,SEARCH_ENGINE,0,PL,0,3386,47.36,61.57,1,1,0,0,1,0,656,113944095.23,0,COMMISSION_ENFORCEMENT,2024-10-10
2023,120ffd9b55113eff16a86086,ONLINE_MARKETPLACE,1,ES,1,4311,18.37,64.52,1,1,0,1,0,1,607,45936430.08,1,REGULATOR_AUDIT_PORTAL,2025-01-01
2024,2bb752fdd04cc27254205625,VIDEO_SHARING,1,HR,1,3737,88.4,76.42,1,1,0,0,0,0,894,128204138.8,1,PLATFORM_SELF_REPORT,2025-02-23
2025,9b01761e78132a436c49d6c2,SOCIAL_NETWORK,1,FI,1,4393,55.04,41.22,1,1,0,0,0,0,835,15520510.88,1,DSA_TRANSPARENCY_DB,2024-10-28
2026,95bcca08b2a2b979d20fc6da,AD_TECH,0,IE,1,2116,4.58,42.29,1,1,0,1,0,1,564,8683454.1,0,NATIONAL_DSC_REPORTING,2024-12-24
2021,b935d4dd9f10c66f83eee636,CLOUD_PLATFORM,0,MT,1,4404,26.47,74.97,1,0,0,0,1,1,867,128910514.5,1,COMMISSION_ENFORCEMENT,2025-04-25
2022,145b9561d94d1a87adae2102,MESSAGING,0,SK,1,4004,93.72,82.84,0,0,0,0,1,0,751,45986992.12,0,REGULATOR_AUDIT_PORTAL,2024-06-04
2023,1ed6d8b5a5c80175e85a94e8,APP_STORE,0,BE,1,2925,83.53,72.1,1,1,0,0,0,1,852,43868100.7,1,PLATFORM_SELF_REPORT,2025-04-03
2024,8690e40e6670b21227194889,SEARCH_ENGINE,0,DK,1,3247,38.71,55.32,1,1,0,0,0,1,658,380101479.8,1,DSA_TRANSPARENCY_DB,2025-08-03
2025,d0c2663b8d794492e9f7a7c1,ONLINE_MARKETPLACE,1,GR,1,2122,21.84,95.74,1,1,0,0,0,1,612,77823317.25,1,NATIONAL_DSC_REPORTING,2024-06-02
2026,112ed9e9192e03866ceba6b6,VIDEO_SHARING,1,LT,1,4184,10.09,73.04,1,1,0,0,0,1,780,46069437.74,1,COMMISSION_ENFORCEMENT,2025-07-04
2021,97c36bed39f01204197078c9,SOCIAL_NETWORK,0,PT,1,3529,18.81,67.61,1,1,0,0,0,0,575,37261771.52,1,REGULATOR_AUDIT_PORTAL,2025-06-15
2022,ac0aa01abe77ee2bb4c0c7e5,AD_TECH,1,SE,1,3154,48.21,94.28,1,1,0,0,0,0,561,6526791.6,0,PLATFORM_SELF_REPORT,2024-04-22
2023,30b8fdcf50f2c515f5e72874,CLOUD_PLATFORM,0,CY,1,3175,66.5,65.5,1,0,0,0,0,1,678,135324107.43,0,DSA_TRANSPARENCY_DB,2024-09-06
2024,4315249830106181ce2d4c40,MESSAGING,0,FR,1,3419,76.04,81.73,1,1,0,0,0,1,882,126237206.33,1,NATIONAL_DSC_REPORTING,2025-03-04
2025,46b66cdb9c86b2dcf5f6dcce,APP_STORE,0,IT,0,4034,10.22,51.07,1,1,0,1,0,0,826,80461822.1,1,COMMISSION_ENFORCEMENT,2025-02-20
2026,340227f0b9d02348d8298f6e,SEARCH_ENGINE,1,NL,0,3026,93.16,85.82,1,1,0,0,0,1,623,123963500.04,1,REGULATOR_AUDIT_PORTAL,2025-11-07
2021,baf37c57671e5925006601e5,ONLINE_MARKETPLACE,0,SI,1,2429,26.44,45.39,0,1,1,0,1,1,933,170483007.77,1,PLATFORM_SELF_REPORT,2025-09-06
2022,32334daa87645c83d7459180,VIDEO_SHARING,0,BG,1,2515,35.02,80.48,1,0,0,0,0,1,865,139021193.15,1,DSA_TRANSPARENCY_DB,2024-11-22
2023,3ebbe28b4cd49dc2f647f716,SOCIAL_NETWORK,1,EE,1,3041,76.21,53.64,1,0,1,0,0,1,695,157913623.61,1,NATIONAL_DSC_REPORTING,2024-02-29
2024,2f54c8330b910147ae968804,AD_TECH,0,HU,1,4465,39.47,67.38,1,1,1,0,0,1,644,321800827.31,1,COMMISSION_ENFORCEMENT,2024-10-24
2025,85a441b6067f20b02432438d,CLOUD_PLATFORM,0,LU,1,4111,44.03,41.59,1,1,0,0,0,1,831,79638497.49,1,REGULATOR_AUDIT_PORTAL,2025-06-03
2026,bdbe096d5c92fb8b3f62b6e8,MESSAGING,0,RO,1,4350,77.57,47.96,0,1,0,1,0,1,614,526876077.89,0,PLATFORM_SELF_REPORT,2025-06-17
2021,0fb5ef02c1e95996bcd567d9,APP_STORE,0,AT,1,3979,80.99,97.48,0,0,0,0,0,1,855,5706562.23,0,DSA_TRANSPARENCY_DB,2025-12-22
2022,8af421b80a9f2fe69de66843,SEARCH_ENGINE,1,CZ,1,3662,18.76,56.87,0,0,0,1,0,1,829,160061295.63,1,NATIONAL_DSC_REPORTING,2024-06-18
2023,a9f7bc7e0ebef8efd2ccd0f1,ONLINE_MARKETPLACE,1,DE,0,4355,52.48,38.11,1,1,0,0,0,0,713,290279980.6,0,COMMISSION_ENFORCEMENT,2026-02-23
2024,83922a35533a05a91e340d00,VIDEO_SHARING,1,LV,0,3019,49.46,61.39,1,0,0,0,0,0,614,4312463.12,1,REGULATOR_AUDIT_PORTAL,2026-02-07
2025,38ca74b4279fcc92bbfa53c1,SOCIAL_NETWORK,0,PL,0,2345,64.27,68.78,0,0,0,0,0,0,837,46496420.58,1,PLATFORM_SELF_REPORT,2025-12-25
2026,6d156bc33b0592bb3fdab27e,AD_TECH,0,ES,1,3138,71.52,56.14,1,1,0,1,0,1,631,39698441.82,1,DSA_TRANSPARENCY_DB,2024-09-03
2021,60b5d66efdac46dcfd3d976e,CLOUD_PLATFORM,0,HR,1,2626,63.83,50.37,1,1,0,1,0,0,630,38902482.68,0,NATIONAL_DSC_REPORTING,2025-06-04
2022,a0909ac229b1a98aba1ae970,MESSAGING,0,FI,1,3409,46.27,68.73,1,1,0,0,0,1,760,55514527.24,1,COMMISSION_ENFORCEMENT,2025-07-04
2023,6c6052d1871a9a67c3087b1d,APP_STORE,0,IE,0,4146,95.01,65.9,1,0,1,0,0,0,572,144567914.23,0,REGULATOR_AUDIT_PORTAL,2024-03-08
2024,091e0eebb49dc1ebae08f42d,SEARCH_ENGINE,1,MT,1,3136,8.51,94.44,1,0,1,1,0,0,678,438524502.93,1,PLATFORM_SELF_REPORT,2025-05-02
2025,a3ec16660c6cd3a59c1e8091,ONLINE_MARKETPLACE,0,SK,1,4538,85.8,52.43,1,1,0,0,0,1,877,105151033.49,1,DSA_TRANSPARENCY_DB,2024-09-03
2026,d38d2bee47cc52fdd1b7aaa3,VIDEO_SHARING,0,BE,1,2359,56.59,48.58,1,1,1,0,0,1,949,306340752.13,0,NATIONAL_DSC_REPORTING,2025-12-11
2021,30a71837ab3a21e2c34d34cf,SOCIAL_NETWORK,1,DK,1,3998,5.16,50.2,1,1,0,0,0,1,726,517884493.46,1,COMMISSION_ENFORCEMENT,2025-07-08
2022,133c0c456052c0a5282be144,AD_TECH,0,GR,1,3747,27.87,41.73,0,1,1,0,0,1,580,201240068.17,1,REGULATOR_AUDIT_PORTAL,2024-04-30
2023,b811c1d320549a203f7b9390,CLOUD_PLATFORM,0,LT,1,4551,55.2,96.45,1,1,0,1,0,1,948,39845345.34,1,PLATFORM_SELF_REPORT,2025-06-30
2024,c7edcbc1528dc4b14fd6991f,MESSAGING,0,PT,1,3504,30.06,82.17,0,1,0,0,0,1,911,197673.76,0,DSA_TRANSPARENCY_DB,2024-05-20
2025,42d021a19c1312043a162161,APP_STORE,0,SE,1,2965,81.27,91.43,1,1,0,0,0,1,897,7955592.27,0,NATIONAL_DSC_REPORTING,2025-09-11
2026,2f624ed49a27b50679ca846d,SEARCH_ENGINE,1,CY,1,4161,23.51,36.49,0,0,0,0,0,0,651,203227001.58,0,COMMISSION_ENFORCEMENT,2025-11-21
2021,ec6a40c20cc61906f3e3b1ae,ONLINE_MARKETPLACE,1,FR,1,3795,46.98,41.19,0,1,0,1,0,0,617,373290458.73,1,REGULATOR_AUDIT_PORTAL,2024-02-06
2022,664d7083b373001cf8866d91,VIDEO_SHARING,1,IT,1,2869,38.03,48.1,1,1,0,0,0,1,940,76908351.28,0,PLATFORM_SELF_REPORT,2025-11-05
2023,59dd2913ce9075d85409590d,SOCIAL_NETWORK,1,NL,1,2806,37.03,65.39,0,1,0,1,1,0,944,24075494.73,1,DSA_TRANSPARENCY_DB,2025-05-08
2024,ec25222d658f260d43bc0c22,AD_TECH,0,SI,1,4236,20.57,85.91,1,1,0,0,0,1,823,121138197.11,1,NATIONAL_DSC_REPORTING,2025-04-15
2025,0aadfb985570b0f65809cbd2,CLOUD_PLATFORM,0,BG,0,3210,93.62,90.09,1,1,0,0,0,0,964,3809351.24,1,COMMISSION_ENFORCEMENT,2024-07-26
2026,91aa5d025e49819d668a1ece,MESSAGING,0,EE,0,4414,22.39,35.56,1,1,0,0,0,1,837,229984598.61,1,REGULATOR_AUDIT_PORTAL,2025-06-05
2021,dc93b60c14e86db07226acde,APP_STORE,0,HU,0,2804,64.52,38.68,0,1,0,0,1,0,705,2733375.36,0,PLATFORM_SELF_REPORT,2024-07-16
2022,98237b36e3838a80b94def7d,SEARCH_ENGINE,1,LU,1,3493,68.1,53.34,1,1,0,1,0,0,814,260809944.93,1,DSA_TRANSPARENCY_DB,2024-02-16
2023,836bfdca8471accf64b35a52,ONLINE_MARKETPLACE,0,RO,1,3852,15.08,91.69,0,0,0,1,1,1,615,79039307.34,0,NATIONAL_DSC_REPORTING,2024-03-28
2024,8a1c480f123337067fc9c6f5,VIDEO_SHARING,1,AT,0,3346,45.88,43.64,0,1,0,0,0,1,930,375409016.87,0,COMMISSION_ENFORCEMENT,2025-03-25
2025,f1aa17ef8101ccd91a3bb9c8,SOCIAL_NETWORK,1,CZ,1,3590,91.75,63.75,1,1,0,0,0,1,697,64468480.06,1,REGULATOR_AUDIT_PORTAL,2024-10-04
2026,c953e35aa26f36d33cdf897d,AD_TECH,0,DE,1,4453,10.98,75.66,1,0,0,1,0,1,712,141427835.32,1,PLATFORM_SELF_REPORT,2024-10-24
