health_mental_survey_year,health_mental_behavioral_health_region,health_mental_serious_mental_illness_rate,health_mental_major_depressive_episode_rate,health_mental_anxiety_disorder_rate,health_mental_suicidal_ideation_rate,health_mental_suicide_mortality_rate,health_mental_opioid_overdose_rate,health_mental_alcohol_use_disorder_rate,health_mental_stimulant_use_disorder_rate,health_mental_treatment_gap_pct,health_mental_provider_shortage_area_flag,health_mental_telehealth_visit_share_pct,health_mental_crisis_line_call_volume,health_mental_involuntary_hold_rate,health_mental_naloxone_distribution_rate,health_mental_medication_assisted_treatment_rate,health_mental_recovery_support_participation,health_mental_homelessness_comorbidity_rate,health_mental_justice_involved_rate
2025,BHR000405,2.15,10.59,15.7,2.32,10.87,71.42,5.25,7.25,63.45,1,13.68,224214,13.14,125.96,48.87,MODERATE,33.09,10.75
2017,BHR000406,4.76,15.03,21.11,5.07,6.38,33.93,8.7,6.74,14.23,1,57.94,154168,3.6,84.93,21.96,HIGH,27.73,25.6
2023,BHR000407,8.44,7.83,8.98,6.03,11.63,65.17,9.08,6.46,16.56,0,7.45,209081,10.89,23.36,5.82,MODERATE,21.23,21.02
2012,BHR000408,8.47,9.54,11.11,1.52,12.68,7.47,3.47,7.26,18.97,1,11.73,222998,3.77,26.68,32.77,LOW,13.34,14.53
2013,BHR000409,2.95,5.87,14.78,1.16,13.82,25.65,11.38,6.69,27.98,0,49.78,53953,8.89,85.58,11.45,LOW,5.63,21.44
2012,BHR000410,5.38,12.33,15.77,7.79,26.86,23.21,8.57,0.74,49.73,1,22.19,40006,15.71,141.07,55.62,MODERATE,4.29,16.47
2016,BHR000411,3.95,5.39,12.09,3.41,22.3,28.83,11.49,5.21,43.92,0,10.45,123058,17.83,175.35,3.82,HIGH,32.12,3.43
2021,BHR000412,2.84,10.09,8.9,7.49,26.81,8.75,5.26,4.17,57.94,0,9.43,247400,1.39,99.61,17.45,HIGH,6.5,7.32
2013,BHR000413,3.79,13.46,18.85,4.62,21.3,60.5,3.98,6.04,43.11,0,56.9,113696,9.52,224.96,73.73,HIGH,14.42,27.92
2018,BHR000414,7.49,6.4,13.09,3.01,26.17,21.91,4.81,8.32,62.23,0,13.98,20857,9.85,209.98,11.91,MODERATE,27.49,5.72
2023,BHR000415,5.51,15.77,18.57,7.28,9.21,17.59,9.27,1.4,59.53,0,32.05,165324,14.94,106.5,26.52,LOW,19.64,11.37
2021,BHR000416,4.57,10.97,15.85,5.89,27.71,50.91,4.42,7.26,40.1,1,18.28,75140,7.2,71.54,62.09,UNKNOWN,2.39,2.5
2012,BHR000417,6.13,15.86,10.19,2.53,18.76,72.14,7.03,3.06,11.0,0,14.25,121554,11.11,140.67,77.69,LOW,10.74,0.84
2011,BHR000418,5.71,8.52,10.99,7.54,20.82,59.83,8.22,2.63,48.31,0,48.37,220909,15.84,152.93,29.56,MODERATE,1.4,16.76
2022,BHR000419,5.61,13.16,9.61,4.99,21.85,69.53,5.91,2.74,23.28,1,22.06,113910,15.56,183.99,36.32,MODERATE,16.58,7.65
2019,BHR000420,7.03,10.83,19.68,4.71,12.1,61.63,2.55,0.72,37.54,0,50.06,193639,12.66,64.54,16.73,LOW,16.64,26.42
2022,BHR000421,5.14,12.36,8.35,7.49,23.78,32.02,8.47,7.64,21.77,1,12.59,29260,13.5,176.83,70.02,HIGH,12.26,21.09
2019,BHR000422,3.56,5.02,8.1,6.03,10.95,70.71,5.5,4.66,19.42,0,25.8,230073,16.04,181.11,75.82,HIGH,22.31,16.76
2020,BHR000423,5.36,5.94,18.02,4.81,12.39,59.0,5.73,2.25,54.24,0,23.57,3439,17.32,237.55,68.0,MODERATE,5.39,27.28
2025,BHR000424,4.53,17.29,14.96,2.05,15.11,8.8,10.6,5.84,61.34,1,2.77,166747,16.99,100.97,13.04,LOW,3.85,22.37
2019,BHR000425,7.14,8.75,14.09,7.1,17.0,49.61,4.05,7.3,51.58,1,41.54,244407,7.09,205.25,41.67,HIGH,31.95,10.37
2013,BHR000426,5.46,5.79,14.58,3.77,23.53,72.58,11.35,3.27,36.32,1,47.47,155138,10.45,150.74,36.05,UNKNOWN,23.57,9.32
2018,BHR000427,9.09,10.3,10.59,5.27,6.54,46.79,2.77,6.63,11.03,1,14.79,193264,1.57,122.75,27.53,HIGH,9.81,28.64
2016,BHR000428,9.2,7.74,10.69,6.4,21.48,55.79,9.03,4.34,10.35,1,9.73,75660,15.03,248.37,43.21,MODERATE,5.69,13.39
2017,BHR000429,5.38,8.47,8.03,2.76,20.8,29.89,8.04,1.73,16.9,0,46.8,159685,16.25,149.46,10.51,LOW,30.11,22.34
2024,BHR000430,5.62,12.86,16.69,2.55,29.72,68.65,5.4,4.27,15.21,0,41.82,174156,16.79,175.04,57.84,MODERATE,2.3,21.83
2015,BHR000431,4.85,6.11,14.0,6.62,21.66,35.91,8.17,1.73,47.36,0,33.55,222596,3.87,103.91,70.12,HIGH,34.36,6.5
2020,BHR000432,4.67,17.83,21.9,1.03,22.0,47.11,7.05,5.67,27.55,0,1.06,73834,2.51,242.73,14.84,LOW,10.37,12.24
2016,BHR000433,5.03,11.63,7.19,3.97,14.66,47.12,2.72,2.01,20.25,0,52.18,201027,16.7,152.42,79.54,HIGH,16.12,29.94
2017,BHR000434,5.4,13.07,21.93,1.95,9.58,47.58,10.45,2.75,57.69,1,39.66,49189,3.58,64.05,3.86,MODERATE,30.2,29.64
2023,BHR000435,2.02,7.65,15.11,2.19,13.41,4.85,6.61,0.63,49.5,1,6.92,95280,17.26,244.33,61.82,MODERATE,17.76,25.86
2017,BHR000436,8.93,16.25,7.53,2.52,12.75,57.85,3.62,5.92,24.81,1,39.64,194950,12.06,118.68,78.38,MODERATE,5.0,14.65
2018,BHR000437,4.67,10.51,10.53,5.18,27.18,29.86,10.59,7.42,42.69,0,13.76,92706,13.1,120.0,75.72,UNKNOWN,4.47,27.18
2022,BHR000438,4.81,11.22,17.52,6.95,28.63,57.86,10.24,8.44,61.88,1,14.22,123080,3.35,131.08,52.14,MODERATE,26.22,9.82
2011,BHR000439,3.55,12.61,13.19,2.53,11.34,31.84,4.84,1.57,15.4,1,53.93,40299,0.96,91.7,44.72,MODERATE,13.9,11.63
2022,BHR000440,4.31,7.67,16.31,6.51,30.52,34.83,2.72,1.24,49.07,1,0.16,96125,15.3,44.33,16.26,MODERATE,5.93,6.08
2024,BHR000441,5.21,13.02,18.62,5.0,12.11,43.87,6.93,5.94,34.08,1,50.53,54115,17.21,247.16,80.69,LOW,27.7,21.37
2011,BHR000442,7.61,10.34,11.5,5.52,28.4,10.31,8.15,7.31,13.4,1,50.67,239973,13.96,126.52,65.68,UNKNOWN,5.91,5.41
2021,BHR000443,5.56,9.22,15.71,4.43,10.02,57.17,7.33,3.76,33.77,1,59.39,51079,8.97,55.82,73.89,LOW,33.75,9.3
2014,BHR000444,6.16,6.7,15.62,4.01,28.69,43.39,6.53,0.91,11.69,0,14.5,79134,3.42,0.67,81.94,MODERATE,25.36,15.97
2022,BHR000445,2.14,10.27,17.68,7.41,21.5,74.63,3.73,1.95,56.92,0,11.74,16561,8.33,238.56,7.24,LOW,1.53,10.87
2024,BHR000446,8.26,12.3,16.61,5.86,31.68,4.33,5.65,7.77,50.61,0,51.0,175322,8.15,162.3,46.92,LOW,31.04,23.33
2018,BHR000447,6.16,10.02,20.22,1.65,13.92,72.44,9.99,8.03,15.08,1,24.36,146716,6.0,202.85,82.2,HIGH,5.45,9.79
2016,BHR000448,2.74,16.22,8.06,2.08,11.65,34.47,11.36,6.78,13.46,0,63.26,641,16.18,179.08,52.08,LOW,23.66,17.6
2021,BHR000449,2.76,6.36,15.54,3.05,23.02,33.65,2.41,1.62,10.48,1,0.13,42503,12.96,236.68,12.26,MODERATE,22.1,7.8
2013,BHR000450,4.11,14.99,16.03,7.06,31.79,8.13,4.85,1.56,61.51,1,3.82,244948,16.57,222.8,33.92,LOW,30.52,25.8
2015,BHR000451,7.43,5.72,18.3,7.51,29.47,71.32,5.27,2.89,27.01,0,47.07,134627,12.09,134.23,33.61,HIGH,3.46,5.64
2021,BHR000452,7.57,9.08,6.12,7.77,6.84,24.85,2.82,6.83,39.66,0,19.35,214309,16.06,29.81,74.46,LOW,25.55,16.36
2025,BHR000453,8.52,13.09,18.85,4.45,26.46,29.49,10.99,3.01,44.11,1,32.15,22843,8.87,166.55,40.47,MODERATE,21.99,1.88
2018,BHR000454,6.91,17.75,14.6,2.65,16.95,55.65,5.88,1.38,11.95,0,44.51,60868,3.77,87.28,51.41,UNKNOWN,23.98,29.15
2025,BHR000455,7.78,12.2,18.28,6.65,11.18,19.65,11.46,2.63,28.54,1,49.15,54983,17.51,87.45,18.5,MODERATE,4.2,16.64
2021,BHR000456,6.78,11.16,16.97,6.53,21.82,21.0,4.07,4.3,18.35,1,19.32,109107,5.77,110.42,39.84,HIGH,31.77,5.2
2022,BHR000457,4.37,13.5,8.31,3.56,9.57,67.58,8.42,1.0,36.91,0,17.88,182201,17.34,93.92,30.47,LOW,21.45,21.2
2019,BHR000458,2.45,5.66,10.62,4.44,18.48,53.23,4.39,8.22,16.06,0,21.38,114701,13.5,239.61,80.24,LOW,5.42,2.42
2022,BHR000459,6.74,9.15,15.48,6.33,8.57,25.79,4.58,8.83,13.64,0,54.25,116996,6.01,87.38,41.4,MODERATE,8.22,22.55
2020,BHR000460,5.19,5.4,7.0,1.82,28.56,17.68,4.14,6.02,54.39,0,33.62,84084,10.08,76.39,74.51,MODERATE,4.07,10.45
2015,BHR000461,3.52,9.6,18.86,1.41,18.49,13.58,11.31,3.29,47.06,1,13.56,94730,2.53,198.06,27.3,MODERATE,29.11,15.74
2012,BHR000462,2.79,5.44,14.67,5.93,17.0,56.72,8.98,7.49,39.68,0,27.25,201782,6.33,59.38,78.89,LOW,19.87,13.58
2024,BHR000463,3.27,6.06,21.53,6.73,9.71,20.09,7.15,0.93,18.88,0,46.85,173198,10.21,217.17,50.94,LOW,22.92,29.0
2024,BHR000464,3.35,14.45,15.36,2.93,17.21,66.9,7.88,5.94,42.5,0,2.88,218674,15.37,175.84,61.68,MODERATE,4.54,23.06
2012,BHR000465,4.93,12.66,12.74,3.1,14.15,35.2,5.38,4.33,47.49,0,53.15,41328,2.89,126.97,64.51,MODERATE,16.79,0.82
2023,BHR000466,8.41,8.4,7.13,6.78,21.98,61.81,6.08,3.47,47.97,1,0.26,40143,2.96,195.09,7.86,MODERATE,34.29,22.79
2021,BHR000467,8.46,10.01,9.76,1.09,21.15,33.22,8.38,6.01,27.08,1,55.44,144967,9.76,46.18,25.16,MODERATE,30.35,29.0
2020,BHR000468,5.74,10.83,14.78,5.55,17.34,36.54,5.84,3.78,46.16,1,53.28,153366,1.48,138.39,61.74,MODERATE,21.23,22.63
2024,BHR000469,7.15,10.36,21.83,3.21,13.93,56.91,7.4,6.91,56.32,1,1.75,205409,7.2,247.99,54.94,UNKNOWN,16.07,2.66
2011,BHR000470,7.39,11.94,6.74,2.27,14.8,9.53,4.19,3.57,57.96,1,17.79,46562,4.46,179.94,59.46,LOW,22.44,0.99
2023,BHR000471,2.05,5.52,7.81,3.76,15.66,23.58,7.48,5.57,58.36,0,43.81,7667,16.0,108.65,67.09,LOW,30.71,6.11
2024,BHR000472,5.65,11.68,8.99,2.64,19.15,44.56,9.6,1.87,62.95,1,44.59,22071,13.93,11.94,68.42,LOW,5.81,19.09
2014,BHR000473,6.72,16.32,15.73,6.04,13.45,70.1,10.85,4.09,60.09,0,51.73,197533,12.08,94.22,25.07,HIGH,26.34,9.01
2019,BHR000474,5.42,5.62,11.7,1.92,16.85,4.49,10.48,1.71,41.41,0,2.3,146909,8.93,180.68,6.3,MODERATE,11.46,15.18
2024,BHR000475,9.2,14.56,21.95,3.34,18.99,39.17,3.63,3.42,64.77,0,31.04,227729,3.5,100.6,59.65,LOW,6.25,18.52
2014,BHR000476,6.31,10.14,18.8,3.0,15.07,43.35,3.83,7.68,10.09,1,55.28,15371,14.35,15.18,23.29,LOW,22.27,17.17
2012,BHR000477,3.78,6.11,20.17,3.53,14.73,66.68,3.39,3.83,10.66,1,39.25,184241,13.03,39.61,56.6,MODERATE,0.88,26.93
2012,BHR000478,7.34,13.88,6.66,1.8,28.85,65.0,8.15,8.07,21.79,0,15.81,217656,8.22,191.03,73.07,MODERATE,31.85,6.8
2012,BHR000479,2.14,11.38,8.71,4.34,23.19,22.51,4.33,8.05,53.16,0,56.64,187137,10.14,110.25,34.82,LOW,29.55,9.55
2024,BHR000480,4.79,5.14,6.54,5.15,10.13,6.08,4.23,6.08,30.81,1,61.94,249503,14.96,141.11,25.67,HIGH,30.39,23.76
2013,BHR000481,6.21,5.72,7.87,3.98,31.48,28.09,5.17,3.99,50.13,1,36.29,139625,6.53,227.47,55.8,HIGH,34.7,2.09
2017,BHR000482,8.79,8.45,17.47,4.82,15.29,72.94,8.47,0.79,21.42,0,62.47,62993,17.47,218.59,47.92,MODERATE,13.8,6.86
2013,BHR000483,3.3,15.72,21.92,4.64,26.64,13.4,6.5,1.61,18.61,1,43.64,141020,17.06,118.09,11.7,UNKNOWN,23.99,19.73
2012,BHR000484,5.56,11.01,7.61,4.4,6.8,45.0,4.43,2.61,27.86,0,25.27,111357,3.41,71.05,50.18,HIGH,12.61,25.22
2017,BHR000485,6.59,12.11,14.06,4.66,15.65,21.4,5.77,0.65,22.76,0,1.52,202909,8.42,170.41,38.96,LOW,5.6,6.4
2015,BHR000486,2.06,15.74,11.13,6.02,27.06,6.28,5.83,3.38,38.54,0,3.48,72008,16.03,134.25,84.59,MODERATE,5.59,10.47
2013,BHR000487,2.09,14.16,10.2,3.42,9.96,11.2,2.77,1.15,25.66,0,21.85,142036,2.03,196.41,20.1,LOW,19.0,19.63
2021,BHR000488,3.52,10.78,9.32,6.18,25.31,65.63,11.04,2.52,53.3,0,60.32,22416,16.77,123.38,28.78,MODERATE,5.61,22.34
2018,BHR000489,7.03,12.66,11.71,5.47,25.95,49.71,3.28,4.35,41.02,0,46.35,49970,5.82,60.11,36.84,LOW,11.3,2.55
2017,BHR000490,2.29,12.7,8.83,7.29,8.95,2.37,6.34,7.53,39.05,1,32.26,203466,14.39,169.41,38.14,HIGH,28.12,5.04
2017,BHR000491,4.34,6.73,18.21,6.92,16.34,73.7,6.52,7.31,58.7,1,15.08,205662,16.02,149.0,41.98,LOW,17.2,15.8
2020,BHR000492,8.71,16.38,9.76,2.84,26.64,60.4,6.51,4.33,58.35,1,5.79,248641,5.12,199.68,13.2,LOW,32.26,9.24
2023,BHR000493,8.37,13.23,13.7,5.24,31.3,38.53,11.8,2.16,57.06,1,17.81,167575,5.78,166.69,48.19,MODERATE,29.28,27.38
2011,BHR000494,4.14,10.86,19.73,5.31,14.0,61.88,5.2,8.52,50.7,0,38.39,152165,15.44,182.14,40.79,HIGH,21.73,3.06
2023,BHR000495,8.29,14.28,15.7,3.67,15.66,24.24,10.98,3.44,31.38,1,6.19,181179,10.88,90.62,11.6,MODERATE,1.4,19.42
2023,BHR000496,5.16,14.61,15.04,3.19,19.41,32.43,11.67,3.74,56.61,0,45.03,191706,10.28,213.87,70.97,MODERATE,9.87,17.25
2023,BHR000497,8.93,15.89,17.8,7.2,30.51,64.91,8.88,4.21,35.67,1,38.81,28825,13.88,166.99,21.61,MODERATE,1.88,3.92
2013,BHR000498,8.29,12.79,8.53,5.34,10.64,2.94,6.92,7.48,51.05,1,65.0,60013,4.98,247.19,38.76,MODERATE,23.16,8.92
2023,BHR000499,8.46,8.12,21.71,6.23,8.84,42.58,6.04,6.49,26.0,1,22.86,135172,12.03,47.77,36.81,LOW,25.01,4.23
2018,BHR000500,2.91,15.56,17.38,6.33,6.09,62.32,8.14,5.24,12.42,0,59.8,184287,17.15,89.73,76.64,MODERATE,28.44,12.06
2016,BHR000501,6.56,15.2,8.34,1.98,15.56,42.53,3.59,8.84,31.71,1,52.6,5939,8.65,2.47,9.43,HIGH,6.34,24.23
2012,BHR000502,2.95,10.13,16.08,1.42,24.19,22.85,6.15,1.87,51.21,1,60.42,9781,5.16,230.56,11.23,UNKNOWN,31.82,24.58
2022,BHR000503,5.91,16.76,20.89,2.36,25.51,71.12,11.17,3.19,51.68,0,10.98,183007,14.91,189.19,0.09,MODERATE,14.22,28.58
2015,BHR000504,9.23,9.67,6.82,6.27,18.48,9.79,2.62,8.78,14.22,1,2.02,235886,5.28,63.4,24.03,LOW,18.18,16.48
2012,BHR000505,4.25,12.66,12.94,5.45,7.64,52.82,4.55,0.7,37.21,0,22.23,76861,7.66,33.53,57.77,HIGH,29.39,18.0
2014,BHR000506,8.92,16.47,12.11,2.14,13.4,53.09,9.39,7.78,15.27,0,8.61,97599,8.0,206.43,31.52,MODERATE,16.07,7.86
2015,BHR000507,4.62,16.38,16.84,6.67,13.45,19.82,7.38,4.18,19.89,1,18.11,203380,4.31,237.64,22.26,MODERATE,8.78,14.36
2019,BHR000508,8.46,14.49,8.24,7.79,22.26,44.4,6.16,3.29,53.86,0,49.16,10888,10.21,166.61,47.92,MODERATE,17.33,13.96
2015,BHR000509,5.06,15.69,7.09,7.2,26.31,12.92,9.88,7.74,10.83,0,63.59,46205,12.85,34.14,15.55,UNKNOWN,6.35,24.34
2024,BHR000510,7.07,17.02,18.78,5.21,17.05,5.25,8.3,1.64,26.33,0,19.92,45744,0.89,70.03,57.11,UNKNOWN,28.06,1.77
2013,BHR000511,2.27,10.03,6.83,3.28,24.13,42.36,10.63,8.53,24.24,0,55.23,220453,16.51,155.08,74.53,LOW,1.41,22.01
2024,BHR000512,6.97,11.01,7.98,5.06,22.2,24.4,9.29,1.15,38.12,1,52.95,84139,8.22,142.95,42.13,LOW,14.33,13.39
2011,BHR000513,8.62,14.01,7.68,4.47,27.37,59.7,5.02,6.69,27.43,0,12.6,173923,5.2,6.33,72.16,MODERATE,28.62,9.4
2025,BHR000514,5.69,8.2,9.72,5.13,24.07,29.11,4.34,7.59,27.05,1,45.45,37852,6.8,105.1,63.84,LOW,20.26,1.99
2024,BHR000515,5.86,5.15,16.78,7.63,10.66,69.49,9.48,2.34,57.05,0,31.71,10185,8.51,4.37,72.08,MODERATE,0.67,3.99
2017,BHR000516,3.5,16.21,20.83,6.41,6.05,7.15,6.75,8.05,57.05,1,30.03,35326,4.85,42.34,73.57,LOW,31.22,9.94
2019,BHR000517,9.22,7.36,20.61,7.43,22.66,36.31,10.57,4.82,20.51,0,22.83,122850,6.67,120.42,39.31,HIGH,15.55,24.82
2020,BHR000518,8.85,5.98,19.05,4.98,23.61,62.46,3.57,1.02,47.51,0,35.7,183603,14.9,37.24,40.6,MODERATE,11.72,13.59
2017,BHR000519,4.32,11.52,13.2,3.64,9.43,73.26,9.66,8.21,34.49,1,45.56,247707,11.6,61.87,4.29,LOW,32.89,26.44
2011,BHR000520,7.3,10.77,17.16,2.94,14.79,40.82,6.3,2.4,29.45,0,43.26,98847,14.03,248.43,34.26,LOW,22.64,10.81
2012,BHR000521,5.29,13.75,19.04,7.78,30.48,58.22,6.78,6.5,32.34,1,12.3,94432,14.9,121.99,76.35,HIGH,2.18,3.89
2024,BHR000522,2.6,10.54,11.37,6.25,25.87,10.17,7.01,8.83,19.54,1,62.0,44301,7.44,244.66,6.79,MODERATE,19.91,15.03
2013,BHR000523,3.86,7.0,21.42,6.34,14.79,21.73,8.04,4.28,31.22,1,21.37,71949,15.41,83.79,26.79,MODERATE,30.48,27.38
2022,BHR000524,8.35,9.26,6.67,6.28,19.11,7.29,10.45,5.05,42.33,1,49.71,27213,10.5,184.11,62.44,LOW,16.14,9.12
2022,BHR000525,3.19,17.79,11.33,7.63,12.49,19.47,11.65,6.48,18.89,1,23.96,16164,4.95,176.76,70.7,UNKNOWN,31.63,27.0
2022,BHR000526,4.03,12.78,10.38,1.23,29.95,29.92,10.59,6.18,57.18,1,10.65,238475,2.43,59.62,9.83,LOW,13.08,1.73
2020,BHR000527,6.9,9.41,21.98,6.83,27.41,58.52,8.49,3.63,51.87,0,10.12,163522,7.69,29.92,78.49,LOW,0.67,5.26
2013,BHR000528,7.15,14.7,11.23,4.66,30.08,17.73,7.99,8.85,47.04,0,57.63,211556,9.75,222.82,65.63,LOW,10.72,17.01
2019,BHR000529,4.82,10.38,14.86,7.25,30.89,63.47,11.92,7.34,33.09,0,2.73,80238,5.58,128.8,43.86,UNKNOWN,34.0,11.58
2014,BHR000530,6.71,6.02,14.12,6.46,8.34,68.0,4.55,6.58,11.28,0,60.06,232547,11.38,5.13,42.6,LOW,29.76,17.38
2015,BHR000531,3.35,12.39,11.76,3.42,21.0,20.4,5.0,8.0,64.11,0,62.43,208220,7.16,200.71,41.93,MODERATE,11.88,27.33
2017,BHR000532,8.19,6.4,16.84,6.49,21.5,42.82,5.58,8.32,51.02,0,37.31,136741,14.05,235.58,55.98,LOW,22.21,26.69
2023,BHR000533,5.77,15.88,16.17,6.63,9.53,73.35,3.52,5.39,36.39,1,48.43,226170,2.95,5.75,58.83,HIGH,15.75,11.66
2012,BHR000534,5.76,8.55,7.19,2.6,31.41,17.67,7.09,3.36,23.22,0,12.81,46463,10.83,222.42,81.91,MODERATE,8.71,0.59
2016,BHR000535,3.58,15.2,16.5,2.13,27.26,23.39,9.62,7.01,24.61,0,50.15,10149,15.43,26.65,23.84,UNKNOWN,26.43,2.81
2017,BHR000536,2.86,16.14,20.4,2.02,6.87,70.25,9.68,3.25,22.93,0,58.87,26182,2.71,74.3,12.25,MODERATE,33.94,16.09
2023,BHR000537,4.25,14.47,21.68,1.53,17.37,16.0,10.57,6.82,46.4,1,54.5,120218,14.74,202.5,37.25,MODERATE,24.97,4.95
2014,BHR000538,6.69,6.68,12.38,4.31,29.45,63.58,2.59,6.05,61.99,1,24.79,44229,15.83,79.9,74.82,MODERATE,26.12,2.16
2020,BHR000539,7.44,7.05,14.43,4.74,20.05,24.37,3.39,4.31,58.68,1,6.84,226499,6.4,227.15,9.62,HIGH,10.93,12.15
2016,BHR000540,2.67,14.72,17.77,7.41,19.51,2.38,2.18,3.04,53.43,0,26.24,219656,3.25,136.14,28.44,MODERATE,8.46,12.23
2019,BHR000541,7.76,9.31,12.15,5.91,28.0,46.38,2.07,1.96,30.98,1,41.52,6450,3.86,22.94,61.55,LOW,32.99,6.71
2025,BHR000542,6.29,6.42,18.31,7.97,8.49,4.23,5.22,2.24,21.44,1,7.4,221411,12.7,146.75,21.31,LOW,8.83,5.75
2024,BHR000543,5.27,9.41,11.3,5.01,12.11,38.82,5.41,7.12,47.4,1,20.54,81912,13.28,48.77,17.33,UNKNOWN,28.84,29.27
2011,BHR000544,7.24,11.02,12.57,3.79,23.76,23.91,10.94,6.93,52.44,1,14.75,2704,8.74,163.28,33.0,MODERATE,15.5,20.57
2013,BHR000545,4.16,15.43,17.99,2.84,16.42,56.16,10.73,4.41,61.43,0,5.63,235226,13.92,105.48,48.2,MODERATE,16.7,9.28
2025,BHR000546,7.3,12.28,6.76,6.36,31.27,19.18,7.97,7.12,61.76,0,31.41,116346,15.12,171.99,6.62,MODERATE,5.13,6.6
2015,BHR000547,3.88,16.54,16.48,1.16,16.36,22.55,10.58,8.39,50.19,0,12.96,79808,4.76,32.32,75.04,LOW,34.41,19.51
2013,BHR000548,6.74,5.65,17.28,7.37,9.17,8.72,8.7,2.41,44.74,0,8.64,119948,14.34,245.97,45.13,MODERATE,33.66,22.94
2020,BHR000549,2.31,8.37,10.51,7.25,7.65,29.02,8.3,4.08,36.71,0,32.67,187825,12.69,210.41,25.56,LOW,7.74,4.28
2015,BHR000550,6.26,5.88,11.23,3.22,9.37,65.81,8.89,4.69,12.27,0,41.77,158971,14.25,169.98,43.86,MODERATE,25.14,14.91
2018,BHR000551,6.29,11.93,7.09,3.71,30.75,11.95,5.1,3.44,12.51,0,43.93,119166,0.82,188.2,65.23,UNKNOWN,28.49,18.48
2016,BHR000552,5.89,13.4,7.49,5.36,13.8,31.19,6.1,5.62,25.48,0,64.9,217321,9.53,173.0,50.87,HIGH,6.32,26.93
2018,BHR000553,9.41,11.33,12.32,2.31,8.87,61.41,3.61,5.43,29.01,0,18.01,96542,3.4,206.8,32.58,HIGH,16.8,21.46
2024,BHR000554,9.12,8.06,16.53,6.63,10.22,52.79,3.69,8.43,63.69,1,44.38,249781,17.85,195.04,64.47,LOW,28.63,23.87
2017,BHR000555,7.11,12.87,8.68,4.31,8.26,10.53,3.12,5.0,32.41,0,45.86,42364,16.09,90.65,51.77,LOW,5.15,19.39
2019,BHR000556,2.78,11.15,14.62,2.02,31.14,6.56,6.09,1.71,35.16,1,8.09,24601,13.9,158.66,17.91,UNKNOWN,27.39,22.37
2015,BHR000557,3.58,9.58,6.9,7.63,14.86,54.02,5.38,6.36,23.3,0,41.81,36228,15.63,161.21,65.07,HIGH,26.04,5.62
2016,BHR000558,2.96,9.86,12.32,4.43,9.59,18.69,11.71,1.38,36.97,1,41.82,244298,9.01,114.59,3.35,MODERATE,25.9,10.09
2021,BHR000559,8.84,7.75,21.4,6.48,23.0,23.41,9.05,4.63,44.65,0,19.32,202027,1.91,62.01,55.29,MODERATE,0.96,14.08
2025,BHR000560,8.93,8.23,13.89,1.95,30.49,54.8,8.81,1.25,60.43,0,55.46,25425,15.67,247.34,21.91,LOW,15.89,23.2
2015,BHR000561,6.79,15.81,16.13,6.48,24.59,23.51,2.09,0.72,12.01,1,63.7,47318,12.08,59.15,48.34,HIGH,22.7,18.43
2020,BHR000562,5.7,13.55,20.65,3.48,14.88,58.32,3.65,6.87,17.65,1,17.42,187081,4.08,124.17,71.98,HIGH,11.5,21.91
2013,BHR000563,5.98,16.99,11.73,1.7,10.31,32.04,8.7,3.86,18.0,1,29.2,83541,2.41,140.57,51.87,LOW,27.48,13.75
2021,BHR000564,5.19,16.08,20.88,6.93,25.32,5.43,2.9,1.44,15.65,0,18.26,99466,3.03,16.02,15.99,HIGH,28.22,16.26
2017,BHR000565,8.2,15.92,16.92,1.22,14.69,68.03,9.34,1.22,37.08,0,55.39,41059,3.12,167.01,17.43,MODERATE,15.46,10.87
2013,BHR000566,2.1,12.86,15.97,6.62,29.23,34.08,10.68,1.79,42.14,1,17.88,174104,4.25,29.57,82.93,UNKNOWN,3.95,26.29
2012,BHR000567,3.52,11.86,10.97,5.25,7.11,71.34,9.97,4.89,29.71,1,61.98,174481,11.17,128.83,45.88,HIGH,4.89,23.92
2019,BHR000568,4.64,5.19,14.37,3.28,11.76,62.0,6.25,8.65,34.51,1,22.07,139728,7.31,72.27,20.79,MODERATE,3.67,10.34
2020,BHR000569,6.7,15.96,7.13,1.07,17.54,55.79,2.63,6.32,56.74,1,6.78,63585,6.0,134.21,76.32,HIGH,10.56,28.85
2022,BHR000570,3.94,16.4,8.08,5.89,7.71,33.89,5.03,4.72,29.37,0,51.95,113737,10.95,204.28,57.22,MODERATE,10.26,13.22
2017,BHR000571,3.84,11.01,18.92,2.7,15.23,59.2,8.85,5.73,33.55,0,19.1,192032,13.8,186.99,72.66,MODERATE,4.73,28.09
2014,BHR000572,6.19,8.28,12.27,5.76,18.61,17.23,9.26,1.0,51.89,1,47.61,181935,15.66,45.82,44.3,LOW,8.36,14.68
2024,BHR000573,7.44,16.0,13.73,6.21,9.06,70.13,3.36,3.13,45.12,1,54.96,41502,16.84,221.5,80.66,HIGH,4.3,8.63
2013,BHR000574,8.87,15.58,10.81,2.09,24.75,40.11,5.69,7.57,22.83,0,63.35,182712,5.39,117.07,83.26,MODERATE,2.17,20.89
2013,BHR000575,8.03,9.52,16.98,3.66,31.56,71.56,7.46,8.29,41.01,0,7.52,204508,11.74,96.37,8.04,LOW,31.36,28.6
2014,BHR000576,5.17,6.52,6.79,7.15,16.47,63.2,7.6,2.64,63.97,0,34.45,234904,17.92,11.76,67.95,MODERATE,23.17,5.61
