civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_social_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2023,AREA000000491,55.19,71.25,30.99,10.72,25.34,1.14,MONTHLY,65.79,2.55,38.14,23.39,55.89,11.63,90.05,95.48,0.1764,84.99,26.57
2021,AREA000000492,60.16,20.35,4.98,18.37,20.67,5.03,SEVERAL_WEEK,56.95,55.26,14.13,35.38,19.89,98.62,48.05,57.32,11.1085,77.85,57.62
2019,AREA000000493,14.63,23.44,35.55,31.49,8.86,6.14,WEEKLY,73.56,78.83,7.82,0.59,4.83,11.95,51.41,91.35,8.6245,68.99,37.41
2009,AREA000000494,12.6,71.07,37.06,8.87,47.34,15.32,MONTHLY,86.02,64.45,2.95,37.76,32.43,30.87,18.92,86.5,19.188,52.06,64.19
2009,AREA000000495,13.9,68.23,38.5,8.48,53.13,15.58,SEVERAL_WEEK,88.32,46.56,7.28,49.18,15.23,2.66,67.61,35.47,10.3838,55.04,35.48
2005,AREA000000496,46.46,16.92,31.4,12.98,36.4,8.96,SEVERAL_WEEK,35.59,16.77,33.63,34.47,99.72,3.9,17.94,28.98,6.353,52.2,60.06
2016,AREA000000497,63.45,47.07,6.57,1.57,25.34,2.7,SEVERAL_WEEK,98.49,3.55,16.2,18.59,21.99,95.16,12.64,8.98,17.1732,60.89,50.84
2014,AREA000000498,24.27,34.08,10.34,33.77,28.36,11.02,MONTHLY,77.82,19.25,39.87,51.98,64.93,53.78,12.92,9.85,1.1345,45.11,69.89
2011,AREA000000499,37.56,5.85,27.51,23.84,4.99,5.59,SEVERAL_WEEK,52.57,12.39,16.43,7.3,79.62,14.58,87.13,70.76,8.9719,75.61,49.44
2007,AREA000000500,9.62,18.21,9.17,9.68,10.02,2.76,SEVERAL_WEEK,96.78,56.85,14.6,32.72,16.17,77.69,96.95,69.94,5.519,97.62,63.39
2013,AREA000000501,64.32,62.39,32.38,21.52,45.41,9.86,DAILY,11.71,49.25,21.79,54.0,88.58,92.59,26.34,85.44,17.9726,43.23,16.95
2022,AREA000000502,41.58,69.18,41.43,32.88,28.09,14.86,DAILY,98.23,78.11,36.84,11.17,25.66,26.56,48.22,52.16,16.0769,92.86,36.94
2006,AREA000000503,42.97,42.33,0.38,24.66,15.51,20.02,MONTHLY,85.08,0.49,36.21,16.72,14.93,87.15,13.77,49.7,11.4843,96.99,51.14
2014,AREA000000504,4.44,61.33,26.48,21.18,49.15,0.34,SEVERAL_WEEK,14.66,13.92,1.48,32.62,60.05,64.48,32.91,21.57,6.4726,48.14,7.69
2024,AREA000000505,46.27,11.39,19.68,12.73,11.62,13.33,RARELY,53.32,56.23,8.66,41.46,59.9,68.21,36.75,7.9,23.0825,39.26,29.08
2009,AREA000000506,35.83,7.52,41.71,19.02,2.54,10.21,RARELY,53.34,56.0,21.07,52.98,95.17,74.59,45.02,9.31,11.3134,78.04,26.65
2016,AREA000000507,12.9,46.5,22.75,28.5,31.87,3.8,SEVERAL_WEEK,56.61,68.24,2.8,11.06,28.47,22.25,9.87,99.24,2.9771,40.68,44.94
2021,AREA000000508,13.97,52.13,18.62,31.06,34.95,4.97,SEVERAL_WEEK,24.39,35.42,32.93,13.98,19.42,16.05,51.03,75.7,0.741,81.26,3.21
2019,AREA000000509,31.96,4.15,6.94,8.77,2.82,24.15,WEEKLY,64.38,60.54,26.09,38.91,61.49,24.52,18.77,53.76,3.439,38.78,49.97
2025,AREA000000510,4.57,58.45,5.07,16.61,15.74,13.15,RARELY,49.41,41.12,19.79,11.1,97.34,27.22,10.62,39.04,0.9553,89.2,29.05
2010,AREA000000511,46.23,19.57,41.0,8.27,31.04,15.13,DAILY,76.96,17.3,15.75,24.65,70.36,83.72,47.71,92.17,21.4518,43.05,65.3
2017,AREA000000512,45.32,35.76,34.08,0.01,19.35,22.51,WEEKLY,62.24,32.33,18.35,49.08,68.97,90.5,99.82,87.01,12.8718,41.82,4.58
2009,AREA000000513,2.96,3.42,29.08,33.22,28.72,12.01,DAILY,80.68,68.74,19.33,18.95,44.1,72.05,26.81,54.65,5.5594,55.84,30.97
2015,AREA000000514,3.77,75.11,15.89,10.16,47.53,15.41,SEVERAL_WEEK,85.18,46.79,24.1,43.14,32.0,10.47,0.02,22.98,22.3725,91.24,33.45
2010,AREA000000515,54.39,76.82,28.92,27.03,23.85,17.6,SEVERAL_WEEK,28.53,54.86,14.89,29.35,11.31,79.7,39.11,16.66,8.0368,88.14,13.17
2025,AREA000000516,61.66,27.07,44.68,28.53,35.05,0.38,DAILY,66.58,34.4,0.42,12.78,82.87,45.13,95.69,41.64,5.5696,88.17,52.54
2011,AREA000000517,22.37,60.28,28.65,33.66,29.75,23.55,DAILY,57.96,55.86,29.07,46.91,34.36,11.55,85.37,42.99,10.1828,48.83,15.29
2021,AREA000000518,18.39,35.76,29.92,9.06,32.7,1.39,DAILY,21.75,36.88,32.77,42.72,5.5,83.65,13.71,94.72,14.28,76.45,59.81
2018,AREA000000519,5.54,34.63,32.25,2.54,38.15,24.15,MONTHLY,12.47,51.96,16.22,29.35,69.73,37.53,90.03,71.41,14.0995,46.52,63.13
2013,AREA000000520,36.41,8.44,32.04,27.73,47.34,21.55,WEEKLY,72.75,30.44,16.27,14.81,10.29,22.88,84.59,16.86,3.6719,87.33,23.89
2015,AREA000000521,60.13,56.87,42.15,20.29,49.62,2.51,WEEKLY,18.83,11.19,37.11,37.55,1.95,26.69,41.77,17.59,8.4124,88.28,11.77
2016,AREA000000522,12.04,24.66,0.48,20.01,3.16,22.48,WEEKLY,41.24,83.61,13.47,1.84,68.38,72.05,35.62,99.82,12.3777,82.24,41.1
2021,AREA000000523,25.68,69.71,11.78,9.88,39.18,9.04,SEVERAL_WEEK,66.39,62.39,23.41,11.87,53.51,4.5,62.46,70.34,20.8911,65.8,46.59
2005,AREA000000524,15.55,58.33,8.4,15.62,10.79,7.73,WEEKLY,77.19,50.05,24.98,23.42,52.49,85.35,15.31,4.9,23.9361,56.13,3.35
2023,AREA000000525,3.27,69.65,10.94,0.27,41.01,3.92,SEVERAL_WEEK,72.09,55.03,3.21,2.89,78.12,5.44,60.08,75.69,1.3224,43.44,5.79
2011,AREA000000526,5.83,16.55,10.73,34.62,54.04,17.27,RARELY,18.12,0.11,22.76,12.59,99.64,81.36,36.62,64.42,4.2136,46.87,9.98
2007,AREA000000527,47.45,34.14,25.42,1.78,48.72,10.14,DAILY,17.59,47.08,36.36,1.73,39.54,92.64,39.84,78.04,15.9694,53.6,5.33
2023,AREA000000528,10.48,61.32,4.21,5.26,53.64,12.14,MONTHLY,19.83,19.2,13.9,54.21,20.61,80.61,94.02,28.47,5.7224,39.06,23.28
2009,AREA000000529,32.81,24.93,39.06,22.97,27.24,5.77,DAILY,75.11,47.88,8.39,3.03,2.82,52.28,24.2,58.96,5.1749,66.45,19.16
2020,AREA000000530,54.24,32.68,34.14,31.72,1.67,14.24,DAILY,29.28,25.22,8.86,24.76,14.12,34.61,48.11,12.21,0.2491,35.44,3.31
2015,AREA000000531,17.65,63.45,6.98,4.83,5.62,22.9,SEVERAL_WEEK,77.22,68.43,35.89,49.16,98.05,66.83,3.13,46.52,24.0631,95.61,32.46
2011,AREA000000532,18.45,6.33,11.82,25.58,44.14,7.82,DAILY,76.59,30.54,27.63,35.07,12.89,3.46,10.65,53.68,22.1678,75.43,44.0
2022,AREA000000533,59.04,51.08,40.01,22.71,20.65,22.57,WEEKLY,84.68,17.94,6.43,13.29,9.77,50.34,49.12,33.57,8.1276,30.32,11.82
2022,AREA000000534,34.26,71.95,34.31,32.45,53.69,10.83,DAILY,35.45,23.77,22.8,48.82,59.03,27.44,48.12,66.49,0.0764,49.59,17.18
2012,AREA000000535,45.79,65.87,43.06,0.67,11.63,0.54,WEEKLY,44.51,16.75,14.76,35.63,55.1,80.43,10.85,61.46,4.9439,94.08,66.31
2012,AREA000000536,4.98,20.47,7.26,22.59,7.18,1.77,SEVERAL_WEEK,98.94,34.55,34.98,13.71,30.98,46.35,29.63,82.06,9.9623,68.14,49.34
2011,AREA000000537,43.09,48.28,34.51,12.19,21.56,8.63,DAILY,30.37,17.5,4.85,41.92,90.32,12.68,62.5,16.93,10.7167,99.51,23.97
2009,AREA000000538,8.16,9.21,7.07,2.14,36.05,18.98,SEVERAL_WEEK,40.85,83.75,29.68,25.97,99.01,7.63,29.7,47.33,6.1558,34.51,30.78
2020,AREA000000539,31.6,39.64,0.47,33.76,1.3,12.24,SEVERAL_WEEK,79.12,12.25,28.15,50.51,14.72,12.83,12.83,66.48,4.3622,63.15,9.83
2025,AREA000000540,25.78,27.26,28.27,5.41,4.85,11.09,DAILY,84.96,17.7,12.15,18.22,1.68,51.13,97.5,33.25,24.5352,66.65,57.81
2015,AREA000000541,21.92,69.88,6.57,12.79,36.08,2.6,DAILY,93.01,45.96,14.23,34.13,19.45,90.63,16.24,51.48,18.435,95.33,64.42
2021,AREA000000542,30.97,20.57,0.7,18.39,5.41,1.05,DAILY,48.78,0.79,9.69,33.28,18.37,5.04,34.35,67.5,11.5995,95.46,6.95
2024,AREA000000543,25.43,20.96,12.32,18.39,6.79,15.35,WEEKLY,46.08,11.74,34.1,6.24,43.72,63.17,17.12,44.61,3.8814,43.76,0.38
2023,AREA000000544,59.46,42.64,13.16,8.12,5.52,11.76,DAILY,6.29,23.77,31.86,6.97,10.66,10.77,39.14,73.11,7.4267,33.2,42.87
2024,AREA000000545,4.66,45.35,37.01,0.08,54.57,15.45,RARELY,69.71,45.31,25.21,42.89,54.83,53.97,64.84,96.24,8.3459,40.93,28.88
2008,AREA000000546,39.78,15.33,1.62,3.62,47.12,10.52,MONTHLY,38.45,57.22,3.72,30.77,61.68,44.53,4.97,16.85,16.8821,50.3,0.57
2025,AREA000000547,38.15,70.46,4.69,24.02,13.1,19.28,SEVERAL_WEEK,8.48,40.63,39.51,30.1,41.03,46.86,63.15,57.17,7.1458,44.09,4.04
2018,AREA000000548,5.5,67.65,24.41,20.0,32.66,17.12,DAILY,44.9,8.19,38.54,51.87,55.44,15.14,1.43,0.84,17.9701,88.4,38.13
2011,AREA000000549,59.5,64.81,29.25,4.29,20.19,15.49,SEVERAL_WEEK,7.95,57.25,1.73,0.47,36.14,21.77,27.83,17.49,19.9114,82.3,36.73
2018,AREA000000550,13.23,40.4,8.31,32.37,38.37,2.22,WEEKLY,55.01,30.35,32.21,26.51,51.53,24.93,36.2,44.87,21.1665,86.02,52.23
2021,AREA000000551,10.07,68.83,28.8,22.88,2.1,22.26,SEVERAL_WEEK,76.39,39.67,22.39,31.41,10.66,36.15,3.13,24.06,16.8574,69.65,68.42
2015,AREA000000552,60.32,4.87,5.15,16.43,7.12,8.49,SEVERAL_WEEK,26.71,69.84,24.77,52.56,5.1,64.98,36.96,19.58,23.1719,83.86,0.26
2007,AREA000000553,18.15,70.14,26.78,0.17,32.18,2.37,WEEKLY,55.18,48.48,23.67,21.15,23.04,52.85,38.22,83.92,15.756,42.17,57.81
2016,AREA000000554,26.53,36.25,9.51,7.02,51.0,6.2,SEVERAL_WEEK,67.76,65.45,25.67,19.44,61.47,80.01,45.93,8.55,6.0447,33.43,12.16
2007,AREA000000555,55.21,60.61,14.66,25.46,18.32,6.28,WEEKLY,18.22,83.62,0.12,14.75,53.24,41.18,52.03,29.13,10.3863,70.31,1.56
2009,AREA000000556,6.49,21.47,33.06,34.24,17.98,24.63,SEVERAL_WEEK,75.19,33.89,36.85,26.1,61.5,20.1,82.29,90.26,3.6905,38.54,37.15
2015,AREA000000557,7.71,70.48,12.94,0.71,16.55,17.19,SEVERAL_WEEK,49.26,64.92,26.85,44.11,1.37,84.83,91.9,98.98,17.0363,89.24,57.57
2024,AREA000000558,16.19,49.44,21.64,5.39,14.28,2.69,SEVERAL_WEEK,57.44,41.35,24.98,13.6,8.36,79.06,96.96,80.98,17.2299,89.16,14.12
2016,AREA000000559,55.72,6.92,41.7,21.88,52.65,22.25,DAILY,49.12,63.13,33.05,47.53,25.92,22.87,25.64,64.76,9.5419,71.31,4.74
2013,AREA000000560,55.71,16.03,26.81,23.87,25.43,10.08,SEVERAL_WEEK,71.17,23.31,0.34,54.05,9.39,7.65,54.53,82.59,9.3283,69.08,46.22
2010,AREA000000561,51.19,59.56,38.86,1.57,22.37,8.89,SEVERAL_WEEK,44.63,77.15,8.75,23.02,13.71,80.76,11.24,71.94,11.6541,97.24,31.26
2021,AREA000000562,35.2,20.0,20.27,25.64,49.59,15.8,WEEKLY,36.72,38.46,35.78,4.84,37.02,14.95,73.98,85.13,5.1732,94.07,38.07
2018,AREA000000563,4.26,4.21,34.54,2.34,52.37,16.67,MONTHLY,46.06,36.31,20.65,11.4,16.94,72.06,63.4,4.05,21.1504,31.88,36.99
2008,AREA000000564,2.32,53.88,11.15,18.4,13.73,1.3,SEVERAL_WEEK,62.86,2.63,31.13,11.36,18.1,69.16,29.88,90.37,19.9375,70.11,41.07
2013,AREA000000565,59.71,39.6,11.42,19.57,5.81,17.99,SEVERAL_WEEK,77.17,19.71,26.57,20.32,10.18,95.93,2.57,52.86,14.7722,35.46,22.0
2008,AREA000000566,30.67,11.67,23.61,17.8,45.41,4.87,DAILY,19.39,53.51,15.78,29.84,23.59,34.06,89.73,93.45,22.7241,89.63,52.74
2011,AREA000000567,51.12,64.79,11.22,31.77,0.0,12.25,MONTHLY,62.82,79.34,34.5,9.78,85.23,75.61,4.32,71.72,22.7067,74.85,53.22
2013,AREA000000568,15.52,15.62,14.24,26.34,24.03,10.08,WEEKLY,38.59,74.41,0.22,22.58,47.17,95.55,75.7,75.08,2.349,98.95,37.5
2020,AREA000000569,36.7,51.39,14.44,31.28,2.3,24.14,SEVERAL_WEEK,74.02,21.85,15.09,27.11,44.29,26.26,35.7,46.43,0.0304,67.21,12.73
2006,AREA000000570,4.32,73.62,5.41,17.76,12.28,6.08,DAILY,54.55,30.2,29.37,29.22,98.88,71.33,63.99,2.63,5.1245,37.86,51.13
2005,AREA000000571,26.34,40.61,15.83,23.25,28.41,3.97,DAILY,90.99,70.26,4.2,51.93,42.29,57.3,31.25,15.57,21.688,99.69,48.19
2023,AREA000000572,5.12,19.83,26.66,28.02,44.5,4.61,WEEKLY,76.39,38.02,18.58,7.02,54.35,30.91,22.27,5.61,14.9413,55.45,59.42
2022,AREA000000573,62.75,62.94,30.76,12.11,12.53,8.84,DAILY,80.57,3.31,18.63,21.91,52.59,30.44,14.15,49.86,21.4175,41.22,26.65
2016,AREA000000574,54.08,36.25,30.57,12.15,39.66,15.2,DAILY,13.84,14.24,25.7,35.28,82.84,75.35,60.08,91.97,17.7073,75.71,25.6
2023,AREA000000575,1.85,78.57,12.16,28.7,37.38,12.91,SEVERAL_WEEK,56.62,10.97,7.6,50.85,95.94,7.47,10.43,99.47,18.2774,53.61,30.42
2012,AREA000000576,56.62,72.41,39.13,3.41,44.37,2.76,WEEKLY,43.52,81.97,32.7,11.67,89.94,82.84,74.24,13.04,9.6538,65.64,38.53
2010,AREA000000577,51.6,65.64,37.19,12.67,3.5,13.72,MONTHLY,1.25,27.74,2.22,6.79,8.15,82.34,31.9,81.83,21.0571,88.65,47.11
2012,AREA000000578,23.28,51.4,40.72,10.46,12.68,24.88,WEEKLY,11.79,31.23,1.76,37.46,33.07,13.39,22.58,4.69,6.4337,84.03,15.78
2007,AREA000000579,54.17,78.4,34.92,22.5,7.1,0.48,SEVERAL_WEEK,76.95,23.19,5.27,36.46,4.91,44.44,87.91,68.25,15.8625,63.82,3.04
2023,AREA000000580,46.92,19.27,32.59,20.15,28.15,1.56,RARELY,76.64,60.06,10.63,41.02,50.67,72.07,24.16,65.24,10.3005,89.18,58.03
2024,AREA000000581,40.37,51.49,1.37,2.54,23.18,23.25,RARELY,14.34,3.36,0.57,0.21,72.33,48.44,69.07,93.84,6.7625,36.26,11.78
2007,AREA000000582,25.77,55.39,9.42,31.0,3.44,10.62,MONTHLY,41.88,32.11,1.74,38.68,51.47,87.1,27.82,92.67,4.9556,55.5,11.76
2011,AREA000000583,27.43,39.22,42.36,31.6,7.41,22.18,WEEKLY,8.61,2.75,35.44,53.92,46.96,53.59,71.81,32.5,19.8147,92.17,44.62
2013,AREA000000584,2.82,72.4,2.22,16.1,23.17,8.42,DAILY,20.21,85.02,39.95,0.58,87.18,82.72,89.4,67.01,10.3839,57.91,25.43
2019,AREA000000585,18.79,64.87,43.71,10.2,11.17,15.36,SEVERAL_WEEK,31.53,38.52,26.4,39.46,42.71,19.2,44.41,21.1,19.1087,55.77,10.57
2019,AREA000000586,21.95,20.94,10.78,7.53,49.1,20.4,SEVERAL_WEEK,35.82,22.16,28.44,47.3,66.99,56.43,5.41,79.34,22.2164,30.23,32.8
2011,AREA000000587,34.23,19.7,38.04,19.87,46.96,14.73,SEVERAL_WEEK,19.46,38.43,24.99,1.58,56.96,37.61,54.18,76.72,6.6371,73.74,51.83
2018,AREA000000588,19.68,56.07,20.65,31.45,48.64,18.35,WEEKLY,58.12,61.41,7.48,5.66,96.56,67.96,7.91,10.57,24.6575,96.69,10.99
2020,AREA000000589,8.02,62.52,44.15,2.29,40.08,19.08,SEVERAL_WEEK,65.48,23.09,21.89,19.01,97.27,68.77,5.38,33.95,5.9046,35.56,17.34
2017,AREA000000590,62.83,9.86,17.73,19.08,53.18,15.54,WEEKLY,31.05,71.78,0.22,16.29,62.55,5.52,11.12,42.36,12.6856,68.6,19.82
2019,AREA000000591,51.24,26.57,23.48,15.37,1.4,14.64,SEVERAL_WEEK,81.03,23.59,23.74,17.33,48.16,90.01,95.48,37.44,22.1471,94.73,39.02
2022,AREA000000592,18.77,32.48,33.0,30.35,8.97,23.67,SEVERAL_WEEK,6.57,73.7,7.91,1.39,29.52,99.02,6.78,91.07,1.0263,85.75,69.83
2020,AREA000000593,14.4,70.64,12.43,0.65,46.12,14.59,DAILY,30.39,81.31,11.47,49.2,50.26,13.94,75.16,28.47,10.742,51.69,36.86
2022,AREA000000594,4.53,32.53,17.19,32.56,24.66,12.8,DAILY,83.79,63.84,24.47,49.83,96.21,81.85,43.29,17.53,11.4672,45.81,22.73
2007,AREA000000595,13.66,66.26,14.91,10.28,16.06,0.34,MONTHLY,47.06,49.38,22.52,49.2,81.04,41.58,12.94,59.37,16.0166,66.96,31.59
2022,AREA000000596,36.24,29.55,42.75,33.86,21.68,21.56,RARELY,21.04,76.45,3.34,8.25,52.38,6.21,65.57,36.9,6.5532,34.63,23.29
2010,AREA000000597,1.42,12.23,26.75,1.67,48.73,23.4,RARELY,34.1,13.08,15.84,35.51,14.74,47.3,70.77,42.08,10.4377,53.38,21.65
2011,AREA000000598,8.31,58.86,5.17,12.01,23.42,20.99,RARELY,46.57,3.93,36.5,8.2,66.12,9.31,58.45,11.57,17.6397,74.37,46.34
2009,AREA000000599,31.22,18.06,43.78,30.23,37.28,5.75,SEVERAL_WEEK,75.28,85.36,39.0,10.84,77.81,89.79,13.86,76.6,9.3534,42.21,61.62
2007,AREA000000600,30.36,56.87,1.49,24.4,17.7,2.66,WEEKLY,35.3,0.84,12.25,52.42,81.3,37.64,18.33,44.54,12.3089,90.64,69.15
2013,AREA000000601,45.23,45.21,40.55,27.11,43.71,17.85,SEVERAL_WEEK,9.96,52.71,4.84,38.4,79.85,64.33,85.25,88.89,5.5845,39.91,9.3
2016,AREA000000602,2.21,51.26,3.72,20.47,27.79,12.51,RARELY,73.31,49.05,28.98,43.22,30.59,71.19,53.52,8.47,13.8397,87.71,43.07
2024,AREA000000603,45.17,44.97,42.51,14.68,10.99,3.42,SEVERAL_WEEK,15.9,44.65,38.45,8.9,73.74,70.63,49.96,15.33,10.3008,40.66,26.24
2017,AREA000000604,62.95,11.6,14.54,13.09,28.27,24.09,WEEKLY,73.13,84.19,6.92,35.88,72.51,34.8,55.54,3.35,0.8526,76.85,36.56
2007,AREA000000605,7.59,23.5,3.09,10.49,17.66,6.85,DAILY,67.19,66.88,15.73,53.95,40.54,86.67,19.01,23.2,16.6856,32.39,43.86
2008,AREA000000606,5.51,41.23,2.59,27.71,47.03,10.44,WEEKLY,79.22,47.61,10.57,14.57,10.12,69.41,37.52,19.91,6.1139,61.11,7.72
2005,AREA000000607,33.13,43.33,44.98,33.16,22.44,14.68,SEVERAL_WEEK,89.36,40.7,7.85,42.29,53.52,8.68,79.41,15.25,1.5921,42.25,62.01
2025,AREA000000608,41.52,79.69,41.59,2.51,7.04,2.71,DAILY,0.08,72.16,14.93,13.71,2.84,21.7,67.67,11.04,19.7476,70.98,5.76
2020,AREA000000609,52.87,49.53,5.4,33.25,2.52,21.09,DAILY,93.59,81.73,11.89,28.84,39.23,39.34,59.76,12.35,10.1643,60.0,55.59
2009,AREA000000610,37.88,6.75,31.77,7.71,9.76,3.96,WEEKLY,70.31,35.33,35.4,3.17,90.37,78.86,64.03,1.94,8.549,66.64,51.18
2014,AREA000000611,24.5,65.02,34.22,13.42,5.8,20.16,DAILY,66.46,84.31,21.42,4.1,95.01,69.82,75.96,78.03,7.5871,59.34,54.8
2011,AREA000000612,15.57,26.68,7.01,27.08,32.83,22.8,WEEKLY,8.15,65.7,17.19,32.55,23.38,43.84,27.21,82.49,12.2095,37.02,27.63
2023,AREA000000613,14.98,21.59,40.54,23.27,4.9,17.73,DAILY,66.96,34.77,35.35,9.78,24.93,7.63,71.7,30.27,15.341,95.34,69.89
2020,AREA000000614,10.06,29.94,37.89,34.2,46.79,1.44,SEVERAL_WEEK,94.12,88.78,21.13,28.04,80.75,80.45,77.21,22.03,20.0108,69.71,18.43
2006,AREA000000615,54.34,27.24,42.87,30.91,44.09,3.08,DAILY,39.18,33.3,1.32,10.33,75.76,78.1,32.1,94.45,11.6379,89.11,43.71
2019,AREA000000616,6.33,62.37,42.72,16.57,46.3,4.86,SEVERAL_WEEK,86.83,65.11,12.19,35.72,17.8,56.02,62.04,59.55,19.7625,30.13,61.09
2022,AREA000000617,47.7,36.74,22.74,4.69,44.83,16.98,SEVERAL_WEEK,56.07,24.95,31.08,2.15,42.65,36.07,56.92,75.9,14.3276,47.79,13.98
2011,AREA000000618,25.4,14.64,4.45,13.16,42.49,17.61,WEEKLY,8.71,83.97,24.69,22.15,86.94,29.85,40.22,21.82,9.2247,83.07,68.32
2018,AREA000000619,43.44,12.69,19.4,4.7,20.5,11.83,DAILY,84.36,41.43,1.98,41.96,1.57,38.12,1.99,20.98,7.1584,80.98,34.45
2025,AREA000000620,17.09,55.15,30.58,24.02,24.79,10.34,SEVERAL_WEEK,83.25,16.0,4.88,33.15,86.21,55.94,38.41,1.51,1.9474,41.66,49.09
2023,AREA000000621,58.42,64.63,37.84,24.89,34.52,12.68,WEEKLY,41.72,67.83,5.31,29.49,88.53,72.62,23.4,39.11,23.3381,73.13,68.85
2011,AREA000000622,18.13,65.53,0.64,11.87,3.25,19.02,DAILY,62.34,37.39,39.05,9.02,91.72,84.21,15.72,63.33,14.3297,55.52,27.66
2020,AREA000000623,47.85,54.55,31.02,5.23,53.44,7.2,DAILY,56.7,35.04,18.28,5.25,79.0,16.85,30.13,22.52,12.0066,82.44,0.26
2022,AREA000000624,36.84,25.76,27.19,1.66,11.96,5.66,MONTHLY,15.98,49.8,32.97,3.59,99.25,20.1,94.84,62.57,24.8797,45.36,4.94
2024,AREA000000625,4.6,30.68,10.47,0.03,51.96,5.95,DAILY,64.37,44.47,32.04,29.07,74.23,87.94,22.5,60.44,24.1176,75.92,14.84
2015,AREA000000626,60.37,23.97,16.16,16.57,48.68,14.87,DAILY,84.44,61.63,21.78,27.32,68.91,38.05,62.47,40.7,4.5529,47.02,63.18
2010,AREA000000627,5.3,3.42,20.27,9.95,54.28,13.97,SEVERAL_WEEK,55.66,11.3,33.38,30.49,10.81,32.62,77.09,2.02,15.1068,84.98,1.36
2022,AREA000000628,30.62,15.17,37.72,33.13,39.99,21.21,SEVERAL_WEEK,64.72,58.43,21.77,13.24,47.24,37.44,15.71,48.86,9.1168,53.28,30.19
2013,AREA000000629,48.79,40.7,24.33,1.27,22.88,15.33,WEEKLY,80.07,39.88,39.14,7.5,47.17,90.37,6.93,79.87,10.6211,61.19,9.98
2015,AREA000000630,18.0,28.71,31.35,5.08,20.73,16.0,DAILY,73.19,45.63,23.14,45.93,69.09,60.39,78.48,35.23,8.5424,36.72,25.49
2005,AREA000000631,23.8,33.44,33.83,9.6,40.51,11.24,RARELY,32.94,36.66,1.24,29.8,17.9,41.09,87.05,55.03,1.8471,78.14,15.36
2024,AREA000000632,36.72,5.23,34.9,22.46,36.85,7.57,DAILY,45.11,48.78,17.42,47.82,8.27,89.65,86.92,5.81,11.3429,84.98,60.18
2006,AREA000000633,4.8,17.57,0.85,0.99,22.71,18.06,MONTHLY,19.29,65.48,34.5,12.98,35.83,89.78,44.27,46.02,17.1573,37.97,56.19
2023,AREA000000634,7.32,61.95,20.86,28.14,45.7,23.42,WEEKLY,6.88,71.11,35.66,2.83,13.01,80.46,7.61,62.02,22.4748,71.86,63.45
2025,AREA000000635,25.72,26.64,8.7,16.9,20.07,1.39,WEEKLY,85.67,3.16,2.18,18.23,72.57,48.78,44.58,65.22,13.2003,87.85,33.43
2024,AREA000000636,39.84,76.75,30.84,34.65,4.32,12.24,DAILY,86.48,68.35,32.08,37.93,41.19,30.49,45.52,73.74,5.6566,60.46,32.37
2008,AREA000000637,26.83,73.41,43.78,1.64,23.64,24.99,RARELY,91.86,26.47,7.3,15.1,14.53,7.06,61.6,80.7,4.7329,54.27,49.88
2023,AREA000000638,63.26,4.02,11.52,28.01,43.54,9.34,SEVERAL_WEEK,35.16,39.66,30.28,29.44,15.81,1.24,26.73,6.29,15.3332,96.2,10.87
2024,AREA000000639,16.2,64.77,31.82,9.88,21.56,6.72,DAILY,73.64,67.27,37.88,29.96,25.51,69.37,14.63,64.58,14.0753,64.6,15.33
2015,AREA000000640,37.63,8.92,6.31,10.39,13.93,2.9,DAILY,12.18,59.42,27.6,37.79,61.04,4.19,62.78,81.7,10.4529,32.89,3.22
2008,AREA000000641,36.42,67.61,1.44,25.31,0.76,4.44,DAILY,91.95,61.83,12.48,20.49,73.82,65.84,12.97,48.36,2.3602,62.21,26.19
2017,AREA000000642,32.91,68.62,19.08,25.22,32.67,21.96,DAILY,84.61,88.1,19.99,27.54,58.15,95.16,77.32,37.47,16.0649,84.31,55.81
2013,AREA000000643,28.68,31.32,39.15,8.12,13.57,12.91,MONTHLY,85.18,40.67,5.37,34.61,16.18,62.08,13.66,88.31,4.6429,75.71,65.84
2007,AREA000000644,57.44,68.68,43.53,15.38,11.78,18.59,RARELY,71.63,6.33,35.98,20.15,31.9,80.26,28.72,64.75,24.3886,64.17,49.23
2013,AREA000000645,36.53,40.69,11.46,32.42,29.98,24.48,WEEKLY,3.72,57.52,28.34,45.27,99.96,41.05,66.68,46.81,0.5513,73.65,2.68
2015,AREA000000646,58.31,69.47,28.34,34.92,43.18,3.66,MONTHLY,96.59,57.22,28.99,2.52,88.74,60.75,10.31,99.59,2.4156,36.26,35.41
2009,AREA000000647,64.13,11.53,14.59,26.71,49.88,1.9,SEVERAL_WEEK,75.09,40.12,13.5,51.54,90.48,81.5,24.96,78.11,2.787,67.0,5.71
