agri_cap_reference_year,agri_cap_country_iso2,agri_cap_region_nuts_code,agri_cap_farm_id_hash,agri_cap_farm_size_ha,agri_cap_farm_type_code,agri_cap_pillar_code,agri_cap_intervention_code,agri_cap_payment_amount_eur,agri_cap_payment_type_code,agri_cap_eco_scheme_flag,agri_cap_greening_requirement_flag,agri_cap_conditionality_noncompliance_flag,agri_cap_organic_farming_flag,agri_cap_natura2000_constraint_flag,agri_cap_young_farmer_support_flag,agri_cap_aecs_participation_flag,agri_cap_monitoring_satellite_flag,agri_cap_eu_funds_source,agri_cap_data_extract_date
2025,LU,BE97,3487a7272a81082526cdde96,8.78,HORTICULTURE,MIXED,CRISS,3364.54,CO_FINANCED,0,1,0,1,0,0,0,1,NATIONAL_TOPUP,2024-08-17
2026,RO,FI4,67ff9ad6743e45ccf68b04ba,32.57,ARABLE,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,17957.53,ANNUAL,0,0,0,0,0,0,1,1,RRF_COFIN,2024-06-08
2014,AT,LV645,51797ababad003c2847df1b1,10.1,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,AECM,2383.38,TOP_UP,0,0,0,0,0,0,0,1,EAFRD,2024-04-15
2015,CZ,EE927,3a3f65d2f670e08944775456,40.88,VINEYARD,MIXED,BISS,4067.9,RESULT_BASED,0,1,0,0,0,0,0,1,EAGF,2025-05-31
2016,DE,CY12,6f54ae731b641093499bab5a,8.96,DAIRY,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,1442.09,LUMP_SUM,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-11-28
2017,LV,IE402,8de89703aa225252d508d4d1,5.04,ORCHARD,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,1305.33,CO_FINANCED,1,1,0,0,0,0,0,1,RRF_COFIN,2025-11-08
2018,PL,SE67,bc5da569492120f7ed38a1e9,14.17,OLIVE,MIXED,YOUNG_FARMERS,2980.05,ANNUAL,0,1,1,1,1,1,0,0,EAFRD,2024-11-28
2019,ES,LT8,66d1f241e4f8613d56c7e76f,22.65,MIXED,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,11915.8,TOP_UP,0,0,0,0,0,0,0,1,EAGF,2024-03-27
2020,HR,LU736,7c2632cd9bc28473ae097675,20.08,OTHER,PILLAR1_DIRECT_PAYMENTS,CRISS,5508.76,RESULT_BASED,1,0,0,0,0,0,1,1,NATIONAL_TOPUP,2024-02-10
2021,FI,BE70,f6d8827a88669e84eb701055,29.09,SHEEP_GOAT,MIXED,RISK_MANAGEMENT,12917.05,LUMP_SUM,0,0,0,0,0,0,0,1,RRF_COFIN,2024-08-02
2022,IE,MT490,7041e3da4183eac67b2a3ff3,45.16,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,AECM,15618.22,CO_FINANCED,1,0,1,0,0,1,1,1,EAFRD,2025-05-16
2023,MT,FI3,bbbd833068b3575dc9cd17b2,35.31,ARABLE,PILLAR1_DIRECT_PAYMENTS,BISS,11172.64,ANNUAL,0,1,0,0,0,0,0,0,EAGF,2025-01-21
2024,SK,ES673,7ef8e657e246af620b61e29e,23.87,PIGS_POULTRY,MIXED,INVESTMENT_AID,10125.93,TOP_UP,0,0,0,1,0,0,1,0,NATIONAL_TOPUP,2025-03-30
2025,BE,AT914,17e01cc690025ddb02c47268,14.14,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,5590.59,RESULT_BASED,1,0,0,0,0,0,1,1,RRF_COFIN,2024-01-03
2026,DK,IT206,5e59dff25a78a747a0ba3eb5,34.74,DAIRY,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,8890.49,LUMP_SUM,1,1,0,1,1,1,0,1,EAFRD,2025-05-16
2014,GR,LT773,01ce84d1d3960ab6804f4d27,43.43,ORCHARD,MIXED,LESS_FAVOURED_AREA,20102.19,CO_FINANCED,0,1,0,1,0,0,0,1,EAGF,2025-06-20
2015,LT,SK5,ddd4a78e52ed36ad9b3eb4d1,23.39,OLIVE,PILLAR2_RURAL_DEVELOPMENT,CRISS,6390.86,ANNUAL,0,1,0,0,0,0,0,0,NATIONAL_TOPUP,2025-11-29
2016,PT,HU54,12ac87414abe5ecab112c2d2,103.36,MIXED,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,36590.08,TOP_UP,0,0,0,0,0,0,0,1,RRF_COFIN,2025-10-24
2017,SE,DK935,0bf90d1f8e42aba66670b11e,13.46,OTHER,MIXED,AECM,4329.15,RESULT_BASED,1,0,0,0,0,0,1,1,EAFRD,2024-11-03
2018,CY,CY144,14a1d3fc7bbfefa62cfde466,34.34,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,BISS,13503.04,LUMP_SUM,0,0,0,0,1,0,0,1,EAGF,2024-02-27
2019,FR,LV808,e51f23813969048d3fd4c37b,20.05,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,5572.16,CO_FINANCED,1,0,0,0,1,0,0,1,NATIONAL_TOPUP,2025-08-12
2020,IT,ES12,e2a089b71bdea94d05e03183,25.04,ARABLE,MIXED,ECO_SCHEME,4913.05,ANNUAL,1,0,0,0,0,0,0,1,RRF_COFIN,2025-05-27
2021,NL,IE220,62a7e98d6afd10e20e6cfc2e,17.04,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,7453.36,TOP_UP,0,1,0,0,1,1,0,0,EAFRD,2025-12-03
2022,SI,BG441,1ead2302b63be09f0c4f608c,17.97,VINEYARD,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,3192.75,RESULT_BASED,0,0,0,0,0,0,0,1,EAGF,2025-01-18
2023,BG,HR942,59f5f8086a6d623adf877e5d,87.49,DAIRY,MIXED,CRISS,29831.88,LUMP_SUM,0,1,0,0,0,0,1,1,NATIONAL_TOPUP,2025-11-26
2024,EE,CZ919,fa5c7e8f34eb2b0dde302696,20.76,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,4014.43,CO_FINANCED,0,0,0,1,0,0,0,0,RRF_COFIN,2025-11-22
2025,HU,HU125,4419923bf222c5144243584b,62.06,OLIVE,PILLAR1_DIRECT_PAYMENTS,AECM,13783.94,ANNUAL,0,1,0,0,0,0,1,1,EAFRD,2025-04-17
2026,LU,ES933,3f4a0fbb15ef1c6694e2d38a,54.27,MIXED,MIXED,BISS,13663.78,TOP_UP,0,1,0,0,0,0,0,0,EAGF,2024-05-05
2014,RO,EE67,5184edfa027d2518671d88bd,23.77,OTHER,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,4957.78,RESULT_BASED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2024-08-06
2015,AT,LU336,9250a3046d28c4b32010f1a1,25.62,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,11100.51,LUMP_SUM,0,1,1,0,0,0,0,1,RRF_COFIN,2026-01-06
2016,CZ,AT7,a6662fa4dcd961a6624f990e,21.32,HORTICULTURE,MIXED,YOUNG_FARMERS,8515.33,CO_FINANCED,0,1,0,0,0,1,0,1,EAFRD,2025-11-13
2017,DE,SE8,8919f90c24a71f06d005e618,32.25,ARABLE,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,8178.12,ANNUAL,0,1,0,0,0,0,0,1,EAGF,2024-09-08
2018,LV,SE547,eb44f2e3991dfc74e76c985c,47.58,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,CRISS,27587.15,TOP_UP,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-04-10
2019,PL,GR598,864d0587c2d9258e7577b805,14.03,VINEYARD,MIXED,RISK_MANAGEMENT,2258.39,RESULT_BASED,0,1,0,0,1,0,0,1,RRF_COFIN,2025-07-06
2020,ES,BG86,3b498b82e4babb00b15dc250,17.7,DAIRY,PILLAR2_RURAL_DEVELOPMENT,AECM,2795.34,LUMP_SUM,1,0,0,1,0,0,0,1,EAFRD,2024-01-19
2021,HR,FI460,2d6928f9249c34916cf8d50b,35.26,ORCHARD,PILLAR1_DIRECT_PAYMENTS,BISS,5371.02,CO_FINANCED,1,1,0,0,0,0,0,1,EAGF,2025-08-07
2022,FI,CZ134,f1ff83b67a090b7085e9b00e,34.03,OLIVE,MIXED,INVESTMENT_AID,7079.98,ANNUAL,0,0,0,1,1,0,1,1,NATIONAL_TOPUP,2024-12-26
2023,IE,SK36,269a508c5c7bc1a36622720d,28.27,MIXED,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,13502.78,TOP_UP,0,1,0,0,1,0,0,1,RRF_COFIN,2025-05-02
2024,MT,ES75,8341d7bf8cc4d62d79ab29fd,57.59,OTHER,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,19831.02,RESULT_BASED,0,1,0,0,0,1,0,1,EAFRD,2025-09-24
2025,SK,AT424,a0dc7b3e472c520c27e1d606,18.17,SHEEP_GOAT,MIXED,LESS_FAVOURED_AREA,4473.92,LUMP_SUM,0,1,0,0,1,0,1,1,EAGF,2025-07-02
2026,BE,IT26,179d274e595e5e8a2bdf6689,25.74,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,CRISS,8873.62,CO_FINANCED,1,1,0,0,0,1,0,1,NATIONAL_TOPUP,2025-01-18
2014,DK,DE435,5966cad7032fa8bfadf3c776,18.31,ARABLE,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,4537.44,ANNUAL,0,1,0,0,0,0,0,0,RRF_COFIN,2025-05-24
2015,GR,AT54,ce798504ece791c9b12783d9,76.36,PIGS_POULTRY,MIXED,AECM,16066.66,TOP_UP,1,1,0,0,0,0,0,1,EAFRD,2024-12-08
2016,LT,IT331,dcf3289a61ce44014bd61874,25.25,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,BISS,7081.62,RESULT_BASED,0,0,0,0,0,0,0,1,EAGF,2024-05-24
2017,PT,ES56,236cac73e2fb11061204e9ae,19.9,DAIRY,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,6146.12,LUMP_SUM,0,0,0,0,0,1,1,1,NATIONAL_TOPUP,2025-04-21
2018,SE,FI243,1b1acdbee91e431e44eb100e,19.37,ORCHARD,MIXED,ECO_SCHEME,3864.78,CO_FINANCED,1,0,0,1,1,0,0,0,RRF_COFIN,2025-07-09
2019,CY,PT35,ba0ab924178e179d37481af6,6.27,OLIVE,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,1403.92,ANNUAL,0,0,0,1,0,1,0,0,EAFRD,2024-09-06
2020,FR,BG18,8ae6e027c13a16fed6bd020f,20.32,MIXED,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,3918.96,TOP_UP,0,1,1,0,0,0,1,1,EAGF,2025-09-29
2021,IT,CZ115,823255371951bc9c3c42e842,21.95,OTHER,MIXED,CRISS,3611.56,RESULT_BASED,1,1,0,0,0,0,1,0,NATIONAL_TOPUP,2024-08-01
2022,NL,FR717,3be195366604dda14af7522b,14.59,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,3340.3,LUMP_SUM,0,0,0,0,1,0,0,1,RRF_COFIN,2025-01-07
2023,SI,MT530,777bda39e8db9c7c3277a897,38.62,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,AECM,12089.99,CO_FINANCED,0,0,0,0,0,0,0,0,EAFRD,2024-09-20
2024,BG,NL70,eaa60487c7ab282aceb26244,47.41,ARABLE,MIXED,BISS,7328.69,ANNUAL,0,1,0,0,0,0,1,1,EAGF,2024-11-03
2025,EE,IE3,66da8acd96ad5334380bd275,13.6,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,2363.75,TOP_UP,0,0,0,0,0,0,1,1,NATIONAL_TOPUP,2025-07-22
2026,HU,DK8,0c46d025dcf8013e52e66c0f,13.41,VINEYARD,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,1566.1,RESULT_BASED,1,1,0,0,0,0,1,1,RRF_COFIN,2024-05-17
2014,LU,PT769,42564480a6e6049a06b6a99a,37.68,DAIRY,MIXED,YOUNG_FARMERS,15484.85,LUMP_SUM,1,1,0,0,1,1,0,1,EAFRD,2024-01-29
2015,RO,PT45,1b8d744f38559035509624e7,38.73,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,21438.26,CO_FINANCED,0,1,0,0,0,0,0,1,EAGF,2024-10-11
2016,AT,AT10,c2b58e592f81de4f88a38469,9.38,OLIVE,PILLAR1_DIRECT_PAYMENTS,CRISS,4704.29,ANNUAL,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-12-31
2017,CZ,ES21,a71a4b9ca362b499e8c2e3be,8.1,MIXED,MIXED,RISK_MANAGEMENT,2736.3,TOP_UP,0,0,0,0,0,0,0,1,RRF_COFIN,2024-10-15
2018,DE,CZ722,bb8e77c8c203876ab6140e66,20.82,OTHER,PILLAR2_RURAL_DEVELOPMENT,AECM,5636.18,RESULT_BASED,0,1,0,0,0,0,1,1,EAFRD,2025-09-06
2019,LV,IT985,4409fb49ac902e82366169ce,36.41,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,BISS,7619.72,LUMP_SUM,0,0,0,0,0,0,0,1,EAGF,2024-08-31
2020,PL,NL92,945a5fe89ee4e9e933fc4455,10.72,HORTICULTURE,MIXED,INVESTMENT_AID,2450.38,CO_FINANCED,0,0,0,0,1,0,0,1,NATIONAL_TOPUP,2024-01-12
2021,ES,CZ882,c716b714e8a863d247bc995b,13.7,ARABLE,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,7864.28,ANNUAL,1,1,0,0,0,0,1,1,RRF_COFIN,2026-01-15
2022,HR,SK275,5cb0c48ea537d6794fc22a41,20.43,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,4450.15,TOP_UP,0,1,0,0,0,1,0,1,EAFRD,2025-02-04
2023,FI,MT648,cd6910ea2cd654fd0a7c9dbc,99.4,VINEYARD,MIXED,LESS_FAVOURED_AREA,24583.34,RESULT_BASED,0,0,0,0,0,1,1,1,EAGF,2025-11-12
2024,IE,BE465,c0fe5fc0588b586d18e38de2,22.99,DAIRY,PILLAR2_RURAL_DEVELOPMENT,CRISS,6609.71,LUMP_SUM,0,1,0,0,1,0,0,0,NATIONAL_TOPUP,2024-04-17
2025,MT,RO20,986f4892d6c5ca2868b1dad4,47.16,ORCHARD,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,20250.32,CO_FINANCED,0,1,0,0,0,0,0,1,RRF_COFIN,2024-06-15
2026,SK,FI6,4e8258541070fdcd81d0bc1f,12.24,OLIVE,MIXED,AECM,2269.55,ANNUAL,0,1,0,0,0,0,1,1,EAFRD,2024-10-03
2014,BE,CY76,4ffcb2a79e340c55781096f8,24.54,MIXED,PILLAR2_RURAL_DEVELOPMENT,BISS,7530.89,TOP_UP,0,0,0,0,0,0,0,1,EAGF,2025-10-09
2015,DK,PT50,ee93f47b0ceec8169828f6ab,21.71,OTHER,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,5831.64,RESULT_BASED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-02-09
2016,GR,LT494,f5229f9a79be194aff1aa1da,26.88,SHEEP_GOAT,MIXED,ECO_SCHEME,7760.44,LUMP_SUM,1,1,0,0,0,1,0,0,RRF_COFIN,2024-08-02
2017,LT,AT237,e2fc444901ae8db2a7185a72,20.37,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,9511.1,CO_FINANCED,0,1,0,1,0,1,0,1,EAFRD,2025-11-12
2018,PT,HU70,ba04d98d5e2f246f0d748e9b,24.16,ARABLE,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,8009.08,ANNUAL,0,0,1,0,1,0,1,0,EAGF,2025-07-22
2019,SE,HR2,22877f80d8ac243864f0884d,47.13,PIGS_POULTRY,MIXED,CRISS,10092.78,TOP_UP,0,0,1,0,0,0,0,0,NATIONAL_TOPUP,2024-04-02
2020,CY,LU376,a9cc620a9da8725f2cb74daf,42.99,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,6650.86,RESULT_BASED,0,1,0,0,0,0,0,1,RRF_COFIN,2025-04-23
2021,FR,SI8,609299315cabe8077f113843,11.22,DAIRY,PILLAR1_DIRECT_PAYMENTS,AECM,2824.36,LUMP_SUM,0,1,0,0,0,0,1,1,EAFRD,2024-01-30
2022,IT,LT532,726873d8d982025dce23f85e,16.28,ORCHARD,MIXED,BISS,6972.3,CO_FINANCED,0,1,0,0,1,0,0,1,EAGF,2024-02-23
2023,NL,ES55,0dd28178df5578c596338d93,38.37,OLIVE,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,14569.23,ANNUAL,0,1,0,0,0,1,0,1,NATIONAL_TOPUP,2025-05-01
2024,SI,BG709,f5785567df1137026b47efe7,48.6,MIXED,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,16615.07,TOP_UP,1,0,0,0,0,0,0,1,RRF_COFIN,2024-01-02
2025,BG,IE52,ae76937fcf13718d609b28fb,26.35,OTHER,MIXED,YOUNG_FARMERS,13844.58,RESULT_BASED,0,0,0,0,0,1,1,1,EAFRD,2024-09-21
2026,EE,CY44,182ccad8da13240bed8af647,55.61,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,21570.97,LUMP_SUM,0,1,0,0,0,0,1,1,EAGF,2025-08-16
2014,HU,PL993,68822cdde5859d610fedbe1a,9.37,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,CRISS,1996.56,CO_FINANCED,0,1,0,1,0,0,0,0,NATIONAL_TOPUP,2024-03-04
2015,LU,LV7,357e7a9688169b96d839879e,13.79,ARABLE,MIXED,RISK_MANAGEMENT,2437.51,ANNUAL,0,0,1,0,0,0,0,1,RRF_COFIN,2024-10-05
2016,RO,HU947,2fe73ce3cb2909919653b2c4,15.6,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,AECM,4931.37,TOP_UP,0,1,0,0,0,0,1,1,EAFRD,2025-09-09
2017,AT,PT26,754f84f6a9ea83f8b829b125,33.58,VINEYARD,PILLAR1_DIRECT_PAYMENTS,BISS,4937.17,RESULT_BASED,0,1,0,0,0,0,0,1,EAGF,2024-07-12
2018,CZ,CY60,15a6bf3e128d2a00708c0db7,42.52,DAIRY,MIXED,INVESTMENT_AID,7343.25,LUMP_SUM,1,1,0,0,0,0,1,1,NATIONAL_TOPUP,2024-02-12
2019,DE,CZ82,764df3d137be22c84c6cdf3b,16.04,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,4544.65,CO_FINANCED,1,1,0,0,0,1,1,1,RRF_COFIN,2025-09-27
2020,LV,NL66,2468e78764bcf089e2d41784,22.29,OLIVE,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,12768.0,ANNUAL,1,1,0,0,0,1,0,1,EAFRD,2024-10-10
2021,PL,PL945,d40bb90f63f1cd4b8b868e85,18.56,MIXED,MIXED,LESS_FAVOURED_AREA,5748.74,TOP_UP,0,1,0,0,1,0,1,1,EAGF,2025-12-26
2022,ES,CY62,56f5df7d6cd169c80a471218,37.11,OTHER,PILLAR2_RURAL_DEVELOPMENT,CRISS,20723.26,RESULT_BASED,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-06-15
2023,HR,DE7,e219a74dad1b63779811d98b,26.06,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,8844.72,LUMP_SUM,0,0,0,0,0,1,0,1,RRF_COFIN,2025-05-13
2024,FI,SK427,63dcad0dd03c2f673a506f5e,9.25,HORTICULTURE,MIXED,AECM,3102.44,CO_FINANCED,0,1,0,1,0,1,0,1,EAFRD,2025-11-07
2025,IE,IT346,0a35f04ffbfd3e8b544f7222,21.2,ARABLE,PILLAR2_RURAL_DEVELOPMENT,BISS,5519.87,ANNUAL,0,1,0,0,0,0,0,1,EAGF,2025-08-17
2026,MT,SE955,de6bb04a5917dc88433f433c,18.01,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,8063.5,TOP_UP,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-09-26
2014,SK,IT82,5589435fc9289ce149d131cf,28.73,VINEYARD,MIXED,ECO_SCHEME,5119.86,RESULT_BASED,1,1,0,0,0,0,0,1,RRF_COFIN,2025-03-28
2015,BE,HU621,86d02a2a0573a940c7b69a91,31.83,DAIRY,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,15611.62,LUMP_SUM,0,1,0,1,0,1,0,1,EAFRD,2024-06-03
2016,DK,SK43,93a08f282c8fcdb6d59a3ede,29.29,ORCHARD,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,11184.99,CO_FINANCED,0,1,0,0,0,0,1,0,EAGF,2025-06-29
2017,GR,RO12,fae6aaacac09b1e96d64e902,45.76,OLIVE,MIXED,CRISS,8732.82,ANNUAL,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-06-16
2018,LT,CZ90,30d152227bc8a58779fd31db,30.06,MIXED,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,9290.5,TOP_UP,0,0,1,0,0,0,0,1,RRF_COFIN,2024-02-24
2019,PT,BE9,cde937af75e7ba389c13504f,18.02,OTHER,PILLAR1_DIRECT_PAYMENTS,AECM,4304.17,RESULT_BASED,1,0,0,0,0,0,0,0,EAFRD,2026-02-12
2020,SE,HR894,fd4f254375e86bfe8797218b,39.11,SHEEP_GOAT,MIXED,BISS,17201.62,LUMP_SUM,0,0,0,0,0,0,0,1,EAGF,2024-07-21
2021,CY,RO61,49c298f08c20e6fd5e8a1f25,47.45,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,9528.89,CO_FINANCED,0,0,0,0,1,0,0,1,NATIONAL_TOPUP,2024-08-09
2022,FR,SK44,99b213a34e446b71e7eadea2,34.27,ARABLE,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,13264.72,ANNUAL,0,1,0,0,0,0,0,1,RRF_COFIN,2025-05-11
2023,IT,ES16,78cf67d87cfd44a91222215f,22.02,PIGS_POULTRY,MIXED,YOUNG_FARMERS,8607.99,TOP_UP,1,1,0,0,0,1,1,1,EAFRD,2026-02-13
2024,NL,HR362,1d0543007930ea26260582d0,62.59,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,15866.89,RESULT_BASED,0,0,0,0,0,0,1,1,EAGF,2024-06-22
2025,SI,AT803,82c35d74874f4da16a662579,15.51,DAIRY,PILLAR1_DIRECT_PAYMENTS,CRISS,1748.12,LUMP_SUM,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-12-16
2026,BG,IT720,bfd398ac3925c7bba95f767f,54.59,ORCHARD,MIXED,RISK_MANAGEMENT,19257.47,CO_FINANCED,0,1,0,1,0,0,0,0,RRF_COFIN,2026-02-06
2014,EE,SK499,2b07f350d563fc6329fce106,13.94,OLIVE,PILLAR2_RURAL_DEVELOPMENT,AECM,2517.87,ANNUAL,1,0,0,0,0,0,1,1,EAFRD,2024-12-17
2015,HU,FR950,730652f940fb6e2ef3d6dcf1,56.58,MIXED,PILLAR1_DIRECT_PAYMENTS,BISS,11833.96,TOP_UP,0,1,0,0,0,0,0,1,EAGF,2024-11-08
2016,LU,SI9,41d4a0e16a563cc87286e38d,12.33,OTHER,MIXED,INVESTMENT_AID,4457.44,RESULT_BASED,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-11-29
2017,RO,GR91,4e645079257f163773bb68b7,49.82,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,7017.8,LUMP_SUM,1,0,0,0,0,0,0,0,RRF_COFIN,2024-06-11
2018,AT,LT1,9b0b94f36bca1be5e0ffc77f,38.75,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,4494.42,CO_FINANCED,1,0,0,0,0,1,0,1,EAFRD,2024-12-06
2019,CZ,GR8,3c9b7536330d32fb58dc93c8,57.96,ARABLE,MIXED,LESS_FAVOURED_AREA,28325.75,ANNUAL,0,0,0,0,0,0,1,1,EAGF,2024-07-17
2020,DE,LV35,af03d4d5c0922662de6de3c2,25.0,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,CRISS,5411.87,TOP_UP,0,0,0,0,0,0,0,0,NATIONAL_TOPUP,2024-05-11
2021,LV,GR827,82a770fa770b172f88ca3b8f,15.15,VINEYARD,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,2577.52,RESULT_BASED,0,1,0,0,0,0,0,1,RRF_COFIN,2024-06-11
2022,PL,FI8,0bfd5f6048595757a8b583cf,20.32,DAIRY,MIXED,AECM,8808.81,LUMP_SUM,0,0,0,0,0,0,1,1,EAFRD,2024-12-28
2023,ES,BG428,d102e60fad1fb97a681fd35c,20.8,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,BISS,3601.09,CO_FINANCED,0,1,0,1,0,0,1,1,EAGF,2024-08-25
2024,HR,PL183,5217aa97243752420f88f333,47.46,OLIVE,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,18684.27,ANNUAL,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2024-05-27
2025,FI,EE462,e8757b8c606a908f5e295114,14.9,MIXED,MIXED,ECO_SCHEME,5281.65,TOP_UP,0,0,0,1,0,0,0,0,RRF_COFIN,2024-01-10
2026,IE,IT643,b4e6db13ac70444791b40baa,37.44,OTHER,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,6162.85,RESULT_BASED,0,0,0,1,0,1,0,1,EAFRD,2025-12-18
2014,MT,PT17,0dd63fa5182047c90fb48a57,44.78,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,19912.79,LUMP_SUM,0,1,0,0,0,0,0,1,EAGF,2024-06-24
2015,SK,FR4,fe6976057102b648e6a8ac74,26.78,HORTICULTURE,MIXED,CRISS,7124.78,CO_FINANCED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2024-08-26
2016,BE,SE98,0c8f1d1ccb2c8f39eb158cb3,20.45,ARABLE,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,4381.4,ANNUAL,0,1,0,0,0,0,0,0,RRF_COFIN,2025-08-03
2017,DK,CY882,359b10a2da20f6677936e4d4,15.48,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,AECM,3912.11,TOP_UP,1,1,0,0,1,0,1,1,EAFRD,2024-01-14
2018,GR,CZ184,6c2ea103eb5389a07d77450d,63.45,VINEYARD,MIXED,BISS,7671.64,RESULT_BASED,0,1,0,0,0,0,0,1,EAGF,2024-02-27
2019,LT,LU968,b2660b91cd8ea8737a545aa0,10.02,DAIRY,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,2025.11,LUMP_SUM,0,1,0,0,0,0,0,0,NATIONAL_TOPUP,2024-06-25
2020,PT,BG673,209043b063847f2b26f1a1d5,26.48,ORCHARD,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,12751.39,CO_FINANCED,1,1,0,1,0,0,1,1,RRF_COFIN,2025-09-09
2021,SE,FR647,cf968045fd6a3ec8ef4ad6cb,46.25,OLIVE,MIXED,YOUNG_FARMERS,12641.54,ANNUAL,0,1,0,0,0,1,0,0,EAFRD,2025-12-11
