soc_vuln_index_year,soc_vuln_community_lgd_code,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_ncoial_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2019,478514,6.6,9.03,26.28,1.33,0.77,2.82,58.7,7.46,39.58,7.82,15.4,7.64,0.124,0.65,0.775,66.7,44.9,647
2019,180060,7.15,7.88,23.57,12.71,5.57,5.2,31.08,15.68,29.05,36.53,31.13,7.44,0.996,0.947,0.433,32.4,31.7,997
2019,280435,54.79,16.9,45.46,1.25,7.91,4.27,30.37,13.65,29.52,43.27,27.28,6.56,0.792,0.098,0.164,13.1,37.6,959
2021,460532,14.25,2.77,48.79,19.13,3.76,3.15,28.3,1.73,21.31,18.26,17.97,0.62,0.562,0.359,0.687,10.9,70.2,335
2024,754755,53.59,4.67,36.6,10.42,9.46,7.85,63.19,10.35,1.05,32.65,17.58,1.76,0.626,0.527,0.942,69.5,79.3,881
2018,928377,52.41,1.58,49.39,11.44,5.29,6.43,49.27,12.98,1.96,41.06,2.6,2.52,0.22,0.538,0.348,93.6,91.0,273
2023,107773,47.22,17.02,30.51,7.25,8.75,3.37,55.01,13.12,33.73,22.26,16.22,9.45,0.718,0.772,0.693,14.4,24.7,496
2020,173489,26.9,5.15,12.32,7.17,10.4,7.1,21.77,10.93,10.53,35.33,12.58,3.48,0.865,0.643,0.234,12.0,48.3,362
2016,987765,35.35,1.98,54.79,14.78,3.61,3.01,60.04,7.12,8.59,21.41,20.2,6.42,0.008,0.205,0.052,27.2,80.3,751
2021,965409,12.95,16.32,49.76,9.3,4.05,1.18,35.22,15.91,5.1,42.74,23.64,2.86,0.146,0.786,0.506,37.8,98.6,185
2023,988700,22.14,17.3,45.71,2.52,8.98,1.4,61.83,8.09,16.06,8.46,13.22,7.35,0.979,0.744,0.704,81.9,53.5,89
2020,137866,22.7,14.04,49.93,11.42,5.17,3.98,14.07,6.83,37.77,2.1,10.26,8.26,0.964,0.246,0.023,72.5,48.2,485
2018,665585,15.74,11.89,5.12,2.33,9.62,1.85,60.16,8.63,5.38,35.62,23.34,6.04,0.752,0.173,0.962,41.9,87.9,878
2019,795840,28.23,5.45,54.74,13.73,5.07,2.36,7.64,15.38,25.27,16.25,6.53,8.59,0.048,0.04,0.728,51.3,80.9,159
2016,618881,24.12,5.78,26.79,8.1,0.76,3.76,31.14,8.6,8.97,44.3,31.99,5.79,0.773,0.649,0.542,95.5,55.2,987
2021,973773,40.26,7.8,6.47,1.04,3.26,0.55,10.43,12.61,9.18,36.8,16.52,4.67,0.131,0.877,0.961,60.3,14.8,746
2022,354743,52.52,10.56,37.34,7.66,0.73,4.39,51.7,13.37,25.54,34.44,18.24,8.08,0.689,0.642,0.404,36.7,90.9,630
2021,677522,30.24,8.82,10.01,18.79,4.99,3.18,16.43,12.56,36.15,21.27,21.38,0.39,0.054,0.131,0.415,51.6,34.1,796
2023,586481,11.36,15.15,19.35,12.56,11.18,2.82,25.92,12.86,25.55,28.96,26.15,8.89,0.13,0.923,0.158,87.3,26.1,446
2019,436076,13.12,9.3,21.26,12.3,5.69,1.39,17.74,6.88,36.61,16.22,5.93,7.16,0.804,0.817,0.633,18.9,58.5,281
2025,486808,46.15,12.83,49.45,16.59,6.62,7.52,58.48,0.78,39.96,41.76,19.91,8.45,0.544,0.765,0.572,44.0,16.0,852
2020,677588,3.63,6.87,39.02,12.7,11.82,0.52,52.91,13.88,36.54,4.61,15.55,2.77,0.221,0.882,0.341,45.3,97.6,200
2024,125996,8.55,7.29,53.13,11.0,1.4,6.22,37.51,10.75,11.45,22.41,28.87,6.19,0.388,0.388,0.297,10.7,79.3,147
2018,144674,34.69,14.76,6.17,17.91,5.06,6.11,50.23,16.34,3.07,7.37,10.25,5.8,0.583,0.167,0.76,86.3,24.1,337
2018,773489,47.12,11.05,47.07,1.65,1.17,6.09,16.12,12.56,27.75,26.93,2.44,9.07,0.124,0.661,0.224,49.9,77.4,730
2020,373253,40.09,8.99,13.66,15.64,1.72,2.9,38.82,1.41,25.04,4.34,7.04,0.27,0.197,0.918,0.221,21.5,97.9,446
2019,180967,11.48,2.2,20.9,18.12,4.8,6.37,29.71,12.93,3.73,6.87,9.28,6.83,0.677,0.22,0.241,50.0,4.9,116
2019,666798,51.33,16.65,47.76,1.57,8.88,4.71,26.45,5.26,25.92,33.24,31.33,2.0,0.862,0.518,0.693,7.4,12.1,970
2024,251757,31.88,10.81,7.7,17.94,1.34,1.48,33.15,17.59,7.52,18.48,15.44,7.44,0.387,0.858,0.405,22.2,23.4,169
2022,925891,33.78,10.98,54.56,1.66,0.86,4.59,12.68,9.47,24.92,22.11,22.74,4.32,0.88,0.16,0.807,3.5,98.0,529
2021,453034,41.65,7.25,37.22,5.12,7.09,3.33,10.6,8.78,11.99,22.97,19.86,2.5,0.332,0.354,0.814,6.1,39.6,478
2025,219832,32.19,13.24,28.81,18.34,6.73,5.08,45.1,8.38,35.86,42.47,20.25,4.21,0.886,0.814,0.884,48.0,71.9,261
2019,828077,46.8,8.31,53.81,2.82,8.58,5.23,22.94,4.32,8.79,20.28,16.18,3.01,0.366,0.643,0.092,79.3,48.0,170
2022,601603,17.34,5.16,35.64,2.89,0.86,4.75,4.35,7.76,17.56,6.76,31.77,7.29,0.441,0.122,0.509,27.3,46.6,56
2017,979203,8.11,11.85,16.89,15.98,6.55,5.32,39.39,7.93,2.37,28.4,33.54,5.89,0.117,0.55,0.506,73.2,84.6,782
2020,174319,15.19,11.47,37.54,19.59,7.21,1.62,25.96,16.32,29.63,17.14,27.62,1.94,0.524,0.362,0.127,28.4,23.8,645
2016,684197,30.56,3.58,9.06,19.48,10.48,5.1,14.24,0.96,36.29,12.5,16.01,0.38,0.959,0.977,0.218,73.9,11.5,577
2016,937106,40.32,10.45,50.13,1.54,3.19,5.76,58.67,11.89,37.04,23.29,30.86,7.55,0.319,0.372,0.438,82.1,69.7,379
2023,726285,52.45,16.5,37.36,14.49,7.39,6.92,45.29,6.64,8.44,18.83,27.15,6.59,0.689,0.672,0.685,5.0,73.2,693
2023,473370,12.34,7.85,37.33,1.06,7.42,7.22,62.89,7.84,25.5,30.43,8.4,8.32,0.928,0.473,0.808,77.1,57.9,992
2018,373823,28.2,9.94,27.64,14.42,1.29,7.88,63.48,16.95,30.3,16.41,36.58,3.33,0.677,0.145,0.262,80.6,65.7,457
2025,917829,48.15,4.16,45.62,18.2,10.13,4.15,4.25,7.45,16.33,42.58,10.92,6.99,0.538,0.354,0.362,89.3,25.7,429
2023,121049,43.71,13.19,43.36,5.53,9.45,5.96,58.2,16.57,17.59,4.87,2.32,6.56,0.984,0.915,0.78,19.4,51.1,729
2022,289461,37.24,4.53,33.97,8.66,9.77,7.27,36.75,15.14,13.03,18.52,22.52,4.68,0.187,0.172,0.898,84.5,89.4,988
2020,434172,10.49,11.6,29.61,4.82,0.67,7.74,22.55,8.26,24.63,17.72,17.18,4.28,0.029,0.309,0.81,23.8,15.5,761
2016,958280,32.12,15.56,26.31,4.56,1.29,4.3,63.53,16.87,1.04,12.39,8.07,1.33,0.562,0.48,0.917,58.9,11.3,978
2017,954632,16.55,8.93,47.94,18.37,0.84,3.26,64.75,9.6,31.42,7.55,4.04,0.28,0.279,0.184,0.68,16.2,55.6,764
2024,602005,25.38,5.95,51.54,4.01,9.19,2.15,35.95,15.8,37.79,22.76,13.77,8.2,0.632,0.507,0.589,73.2,67.6,935
2017,358732,11.14,15.57,38.99,12.07,5.71,5.42,23.32,8.55,33.72,27.52,7.53,4.57,0.023,0.072,0.626,26.0,77.5,982
2024,462383,30.84,3.82,54.08,2.32,4.38,2.57,21.62,16.57,34.2,29.95,28.6,2.73,0.255,0.652,0.904,16.0,78.1,339
2018,958439,29.21,6.56,53.04,9.72,7.5,5.46,35.99,16.44,38.71,10.46,3.75,6.86,0.712,0.845,0.393,47.2,84.5,497
2016,321795,11.78,1.81,34.81,16.23,1.14,6.09,38.57,5.12,11.76,11.81,25.97,9.03,0.928,0.899,0.109,18.0,80.0,232
2016,735364,4.06,8.4,29.23,2.62,8.84,6.31,30.41,10.01,18.49,28.46,17.04,3.55,0.346,0.226,0.478,2.0,17.3,501
2018,667277,25.19,2.26,31.05,7.3,10.75,5.29,36.38,17.94,14.49,32.69,7.41,6.08,0.17,0.655,0.999,51.3,87.3,701
2024,133822,17.04,6.89,26.07,3.33,4.73,2.35,23.66,9.6,21.69,18.38,32.04,2.06,0.545,0.012,0.747,76.8,49.4,643
2017,419946,20.27,11.89,46.69,11.63,7.84,0.16,55.28,10.3,35.23,35.36,34.97,0.34,0.258,0.644,0.632,68.8,55.2,921
2018,796473,43.4,12.25,40.49,19.62,1.64,0.3,37.01,0.68,19.54,25.98,11.66,4.76,0.717,0.769,0.536,27.4,14.5,337
2020,642368,12.46,16.09,34.83,6.03,7.7,2.29,25.08,8.4,20.75,28.13,20.95,1.95,0.079,0.484,0.17,26.7,57.3,970
2025,485438,12.0,15.9,45.51,3.2,7.02,0.96,55.45,2.04,36.43,21.56,24.26,5.58,0.218,0.736,0.216,63.1,81.1,567
2023,952639,28.22,14.2,35.08,4.66,8.56,1.65,49.41,14.66,20.31,26.21,26.23,3.9,0.592,0.218,0.242,77.3,23.3,111
2019,171422,41.92,6.89,50.49,2.02,6.95,1.02,47.96,17.63,1.27,14.8,27.28,1.45,0.17,0.294,0.533,87.6,88.7,42
2018,963653,32.86,1.55,5.72,5.05,9.4,0.41,6.79,2.04,32.78,33.88,3.5,6.94,0.256,0.858,0.513,33.7,13.3,732
2021,942976,50.05,8.29,32.05,8.99,1.74,7.78,19.4,8.83,17.21,34.84,22.35,8.35,0.676,0.069,0.298,37.1,44.4,748
2021,847020,41.94,8.24,43.16,3.91,11.75,2.6,29.97,4.99,29.06,39.13,18.51,3.89,0.478,0.7,0.556,18.3,45.9,507
2019,883959,25.41,2.47,46.6,1.13,3.95,4.0,9.08,14.31,30.23,36.33,13.69,7.75,0.322,0.765,0.496,89.8,76.5,121
2022,686616,21.29,1.21,28.43,11.13,7.91,2.61,3.79,10.95,13.54,11.42,14.35,7.67,0.074,0.377,0.924,52.1,67.3,357
2017,886632,48.98,8.84,18.66,6.54,3.21,3.18,18.47,3.9,36.6,13.47,21.21,7.2,0.718,0.515,0.757,50.6,44.3,636
2025,331179,54.32,16.39,16.15,16.76,7.28,0.15,30.79,7.37,27.86,5.0,9.55,5.09,0.756,0.648,0.134,60.1,83.2,631
2018,796718,35.9,10.26,23.59,10.89,7.57,7.17,25.15,15.69,7.42,28.67,6.96,5.67,0.082,0.105,0.988,72.4,86.8,814
2016,492709,39.55,6.26,50.67,9.91,8.39,2.95,56.23,15.5,3.6,30.88,7.45,8.74,0.107,0.735,0.531,76.7,69.6,553
2022,691583,25.73,7.07,32.45,17.76,7.52,5.43,50.8,16.07,7.72,24.2,32.06,2.21,0.385,0.442,0.947,86.2,94.4,604
2016,131858,33.86,17.33,41.41,6.57,6.14,3.38,52.06,13.27,23.93,19.76,17.56,6.0,0.279,0.816,0.936,9.5,71.4,436
2022,710253,37.12,17.92,26.38,11.28,5.42,3.6,12.1,4.96,6.67,41.96,11.52,9.25,0.928,0.316,0.967,95.3,79.1,132
2017,617188,54.72,17.3,40.01,10.25,8.34,3.73,56.38,6.02,17.99,41.27,4.45,2.85,0.821,0.269,0.534,12.2,44.4,759
2021,763817,21.89,17.15,53.54,2.38,8.13,0.88,63.63,15.98,8.48,22.52,33.43,3.49,0.426,0.722,0.782,34.2,76.7,468
2016,903218,33.57,11.51,33.87,7.62,4.75,5.07,28.17,4.89,1.37,15.7,35.92,8.14,0.76,0.687,0.883,23.4,46.7,41
2017,525973,4.01,7.34,52.85,14.01,8.71,3.84,34.53,4.47,16.41,18.61,28.71,3.22,0.306,0.73,0.856,30.6,10.2,500
2019,496167,49.96,4.46,46.01,19.46,7.37,3.07,28.99,16.04,9.85,44.58,32.2,8.92,0.938,0.318,0.721,12.9,17.0,616
2018,699371,53.96,16.37,16.91,12.45,8.92,6.46,15.26,5.53,17.96,4.51,7.11,8.57,0.23,0.966,0.901,2.0,83.8,510
2023,130927,33.6,9.94,16.46,1.71,8.14,1.79,14.72,11.88,21.99,24.71,13.46,0.24,0.84,0.308,0.586,59.5,27.6,196
2016,311992,23.81,13.15,49.1,9.88,5.84,1.81,22.58,2.57,16.84,37.68,5.97,4.4,0.434,0.283,0.477,23.6,18.0,345
2024,444896,45.22,8.59,17.38,4.68,8.67,7.34,24.52,5.77,14.21,6.39,18.4,2.98,0.315,0.377,0.349,6.1,43.6,754
2025,118126,6.33,1.64,16.58,9.23,9.25,0.72,8.11,12.8,15.17,6.26,14.95,2.46,0.746,0.041,0.346,67.3,63.6,966
2022,763129,34.24,13.47,24.33,18.79,11.84,7.62,8.91,15.81,5.11,32.81,26.17,2.72,0.026,0.424,0.149,10.8,67.9,75
2021,708765,21.51,13.62,38.74,18.18,7.48,5.51,41.21,0.75,23.98,36.54,23.14,4.15,0.911,0.093,0.771,86.8,91.9,316
2023,662726,13.11,15.69,19.37,7.73,7.77,5.93,41.14,4.76,9.01,33.75,31.39,2.66,0.499,0.241,0.688,92.9,4.0,247
2020,656394,10.05,16.06,41.21,18.2,2.91,0.43,12.94,17.17,16.54,37.2,30.05,3.02,0.598,0.273,0.066,50.4,53.8,76
2022,488166,41.97,4.0,13.75,1.99,7.0,7.87,17.5,9.29,27.35,15.04,9.54,7.69,0.319,0.185,0.657,5.3,23.0,804
2017,510604,30.77,16.63,50.65,17.93,8.61,3.59,35.28,13.37,25.97,4.82,21.36,6.95,0.844,0.666,0.668,67.1,31.3,802
2024,249441,50.93,16.32,17.46,14.32,5.5,0.51,44.08,15.96,38.86,22.57,9.46,0.43,0.22,0.686,0.139,92.8,5.4,862
2023,938157,32.17,11.32,17.27,18.58,7.93,4.6,61.55,1.55,29.46,11.42,28.44,4.16,0.197,0.394,0.793,1.3,66.5,333
2020,689502,9.2,1.93,19.38,8.1,1.98,2.98,59.48,5.34,7.64,33.38,4.83,3.75,0.851,0.115,0.731,42.8,96.2,219
2016,707689,21.85,17.3,47.39,11.93,4.0,5.53,21.31,13.02,1.19,5.43,33.68,3.94,0.927,0.812,0.335,9.2,12.0,101
2016,466722,20.64,13.13,9.99,17.17,8.74,1.63,20.51,1.03,2.03,34.27,11.76,2.03,0.727,0.844,0.388,3.7,9.1,604
2018,283012,26.88,3.02,26.33,12.21,11.17,0.11,25.96,8.86,0.75,35.16,17.6,8.5,0.174,0.986,0.612,96.7,74.7,20
2025,296771,25.13,14.28,44.4,5.33,6.34,0.49,57.39,2.97,30.79,39.88,28.27,8.92,0.089,0.897,0.509,68.0,94.7,773
2018,206386,7.81,9.67,6.8,14.0,1.82,3.19,14.93,13.56,21.01,44.52,26.09,7.76,0.836,0.575,0.329,2.5,40.8,48
2017,291920,28.15,16.03,31.18,4.55,4.97,1.61,49.8,17.33,19.53,3.56,19.31,5.4,0.362,0.355,0.687,12.4,42.9,275
2025,544848,37.45,3.62,6.0,5.12,11.97,6.63,20.33,1.67,24.18,18.33,36.16,6.81,0.804,0.815,0.814,21.4,91.3,444
2024,742154,3.94,9.73,31.09,3.76,3.29,1.46,34.87,10.3,7.76,27.16,26.62,1.85,0.528,0.57,0.167,43.6,34.8,435
2021,522395,4.45,15.95,43.75,3.22,9.72,1.05,30.98,3.38,10.19,22.83,2.41,2.29,0.421,0.938,0.86,24.0,94.5,863
2023,578128,35.09,11.89,39.18,7.46,7.07,2.09,48.27,13.59,38.55,9.03,13.16,3.9,0.597,0.714,0.79,34.0,32.7,659
2022,265726,32.91,7.71,7.28,14.99,11.19,7.11,44.47,14.01,5.81,39.55,25.43,4.8,0.492,0.258,0.195,34.0,6.4,259
2024,951021,37.55,5.37,14.3,14.79,6.76,5.51,35.18,17.05,4.02,36.43,28.05,6.87,0.84,0.349,0.116,87.5,71.7,459
2023,320623,38.87,13.4,10.57,11.32,9.82,1.87,38.93,3.56,34.58,42.56,11.07,1.58,0.25,0.816,0.253,54.5,88.4,555
2022,316249,46.83,7.68,25.86,18.26,7.63,3.37,41.11,2.75,37.5,26.86,5.05,6.84,0.017,0.977,0.912,28.9,13.0,591
2022,990965,25.78,12.25,31.77,6.3,1.97,1.43,53.98,9.45,1.71,4.87,15.62,9.02,0.002,0.479,0.103,42.7,34.5,181
2017,721475,41.7,7.82,20.27,6.06,6.49,0.39,20.31,10.51,30.18,21.03,15.74,5.96,0.837,0.435,0.808,61.1,8.0,143
2018,202936,11.59,9.21,38.33,15.32,6.14,0.69,29.63,17.07,17.03,2.81,19.68,1.14,0.694,0.178,0.785,0.8,9.2,566
2018,773592,3.13,2.76,6.59,14.59,10.24,3.3,41.71,8.86,8.93,35.54,13.39,8.52,0.025,0.64,0.642,43.4,23.0,632
2021,970504,12.12,15.75,10.61,7.27,11.34,0.47,63.17,17.9,2.58,24.1,19.74,2.98,0.828,0.058,0.119,7.7,9.8,842
2019,818579,40.77,14.16,9.33,18.41,8.69,2.47,50.38,6.77,13.27,27.7,23.78,8.57,0.811,0.474,0.682,44.4,98.4,502
2016,229038,49.69,17.53,34.7,16.48,5.35,4.9,51.12,10.88,30.91,26.01,4.57,3.33,0.427,0.579,0.213,70.1,10.1,672
2022,990544,8.26,10.32,6.88,6.05,3.34,5.07,12.02,5.61,33.42,41.36,13.51,8.01,0.394,0.218,0.559,99.7,74.4,87
2019,719363,26.17,13.53,17.5,9.67,3.91,1.51,46.48,4.63,27.19,41.52,29.75,7.76,0.026,0.472,0.907,89.9,46.5,453
2020,938831,32.77,2.73,54.31,5.97,2.85,6.96,8.13,11.43,8.23,25.48,24.1,2.74,0.925,0.721,0.101,38.6,98.1,886
2017,626239,49.25,6.87,20.1,5.64,2.28,1.07,4.88,13.23,15.71,14.56,5.98,4.85,0.363,0.62,0.756,0.1,16.6,711
2022,565171,14.31,4.38,17.43,18.32,1.49,6.09,29.99,6.85,6.03,11.45,16.04,0.28,0.925,0.224,0.986,83.0,29.7,820
2016,116024,37.1,5.09,32.66,12.74,7.18,6.43,50.87,2.56,2.09,21.54,32.57,6.15,0.761,0.142,0.575,25.1,18.9,633
2019,998348,46.44,3.91,5.31,3.71,11.92,1.33,49.99,9.33,7.23,14.49,16.93,2.23,0.678,0.717,0.845,60.5,16.2,66
2022,625836,6.45,7.65,12.26,3.08,8.12,4.98,14.67,7.12,18.96,28.62,2.26,5.83,0.203,0.546,0.337,29.5,46.6,494
2016,908228,14.28,5.93,45.47,8.32,11.38,7.0,16.78,6.69,16.25,11.95,20.37,6.96,0.674,0.223,0.204,50.5,69.9,403
2022,560369,10.04,9.27,16.33,7.62,6.31,1.63,54.87,15.24,13.15,8.02,8.02,1.82,0.187,0.323,0.485,24.6,24.2,116
2016,170833,39.91,15.92,12.48,19.06,8.0,0.71,46.86,9.34,15.33,36.08,30.38,0.57,0.211,0.74,0.798,85.9,63.1,534
2023,881853,18.06,3.17,9.23,16.46,2.68,1.72,46.74,13.17,16.49,36.33,29.65,3.43,0.815,0.226,0.652,91.8,91.4,560
2021,817320,6.59,4.91,27.36,19.72,0.63,6.49,12.57,5.11,37.25,40.71,20.81,5.03,0.027,0.608,0.624,98.8,57.5,193
2019,559274,7.85,12.76,50.05,18.71,1.57,2.41,59.88,4.08,19.29,22.45,29.54,8.38,0.502,0.366,0.209,58.4,53.1,54
2020,519124,38.63,3.69,18.35,15.58,4.66,6.18,58.03,3.04,14.92,6.02,9.67,8.01,0.3,0.17,0.755,10.2,14.5,19
2018,478632,33.2,6.42,31.65,12.26,11.72,2.84,23.52,7.75,1.31,38.32,27.43,9.0,0.282,0.031,0.446,23.4,27.2,64
2020,617669,20.3,6.3,43.18,8.43,5.09,6.82,44.73,11.41,38.42,15.64,31.33,9.19,0.256,0.601,0.488,39.3,43.5,525
2024,326069,50.54,17.52,10.0,16.52,1.24,3.14,57.08,12.92,6.41,24.0,36.21,1.18,0.552,0.52,0.628,72.9,69.0,229
2019,586108,4.36,7.47,37.02,4.94,2.78,5.68,50.12,2.52,6.5,12.37,8.76,1.88,0.342,0.706,0.426,13.7,37.0,823
2025,133061,15.11,16.81,8.63,16.13,6.35,5.56,34.84,3.11,34.99,28.39,14.65,0.81,0.247,0.268,0.218,41.0,53.0,69
2023,299379,31.56,5.67,17.56,8.34,7.56,0.22,12.2,11.68,17.15,43.05,24.54,8.65,0.398,0.592,0.771,31.7,74.2,637
2024,433386,52.4,3.3,43.38,15.44,10.91,1.65,15.34,16.42,12.02,24.33,28.09,8.68,0.548,0.026,0.427,95.6,17.0,167
2024,402461,48.98,10.99,14.17,10.0,9.78,0.0,18.62,13.6,11.94,37.25,5.88,0.36,0.664,0.869,0.673,64.8,27.2,745
2025,414001,40.89,14.68,55.0,9.58,5.18,6.93,13.12,15.36,11.13,19.06,36.85,7.71,0.137,0.647,0.947,29.6,37.7,560
2016,378530,27.95,11.3,27.02,18.19,8.52,7.3,46.14,4.21,12.22,37.3,3.24,2.95,0.082,0.664,0.713,26.4,71.8,239
2017,726521,25.67,6.06,21.35,4.44,5.45,2.4,15.04,16.25,12.23,13.72,32.01,1.14,0.877,0.394,0.465,95.5,69.9,393
2025,701663,39.89,14.9,26.01,2.51,7.33,2.17,13.46,6.79,20.35,12.78,18.0,8.58,0.32,0.732,0.593,64.5,92.7,529
2023,407320,38.25,15.37,9.12,10.32,8.85,2.48,25.47,10.62,11.71,20.37,19.57,2.47,0.409,0.189,0.316,61.4,55.1,607
2020,113487,23.55,9.0,11.13,3.33,1.96,0.16,5.6,15.92,11.73,28.43,27.54,4.74,0.901,0.295,0.624,12.0,53.1,948
2017,103821,48.69,16.61,23.88,9.19,4.14,2.71,51.25,3.89,11.45,21.45,9.43,2.85,0.594,0.124,0.406,25.3,18.8,103
2017,534943,45.16,16.69,43.27,1.24,4.52,3.56,52.2,17.41,14.57,13.89,20.84,6.44,0.953,0.646,0.629,7.9,66.8,905
2018,533648,54.23,11.96,5.1,11.98,4.22,0.68,44.04,15.76,27.49,23.62,12.15,9.41,0.871,0.299,0.596,21.5,43.3,748
2019,853215,23.56,5.19,12.67,11.54,10.22,0.92,2.28,1.27,37.52,20.48,8.92,1.22,0.486,0.324,0.487,4.1,74.3,220
2016,586711,14.0,14.3,11.02,2.28,11.8,2.63,12.47,13.46,36.89,21.8,18.9,0.44,0.778,0.541,0.968,99.4,38.4,212
2025,127832,13.52,15.95,27.85,9.95,3.94,3.19,62.62,15.09,22.07,36.98,5.41,0.48,0.132,0.815,0.837,4.9,80.3,820
2024,588230,36.39,6.51,25.92,7.3,0.83,6.6,40.17,11.1,12.16,40.92,18.96,2.12,0.429,0.928,0.34,38.5,60.7,780
2024,805494,13.42,3.28,36.11,16.94,9.17,6.76,26.93,9.73,22.37,4.1,26.9,5.52,0.452,0.822,0.225,41.8,8.4,412
2016,228732,41.45,8.54,21.33,8.84,5.43,6.53,43.75,12.8,18.13,38.78,5.63,3.48,0.132,0.543,0.927,56.9,82.7,666
2020,335296,52.28,10.76,13.82,5.68,6.41,5.09,6.06,3.8,28.1,26.34,30.92,0.52,0.505,0.939,0.147,7.8,43.8,537
2016,538007,4.42,9.29,37.25,4.06,5.7,7.66,43.22,13.43,16.66,14.47,23.87,7.13,0.934,0.452,0.272,38.0,6.3,829
2022,658165,48.57,17.88,39.0,16.84,1.85,3.43,64.04,13.87,25.2,40.87,3.1,2.87,0.179,0.323,0.995,54.7,63.2,402
2019,143941,14.92,14.87,34.06,4.35,9.3,5.69,12.48,15.81,27.32,12.21,30.53,9.46,0.62,0.279,0.475,28.7,25.9,727
2016,499468,31.69,17.45,36.46,18.05,10.84,5.56,28.08,13.98,32.23,23.5,4.65,5.78,0.631,0.274,0.904,95.7,79.7,271
2025,661924,16.88,4.1,24.59,7.97,6.38,0.59,22.46,5.38,26.74,41.22,35.91,8.16,0.67,0.98,0.579,56.3,64.4,70
2019,652290,18.86,5.03,12.21,8.08,6.31,6.15,15.25,7.21,33.22,3.61,10.68,9.32,0.191,0.822,0.582,25.6,70.2,58
2023,641734,45.85,1.3,51.89,13.92,2.72,4.14,34.67,17.09,28.59,32.43,6.89,7.97,0.078,0.154,0.125,37.8,91.1,794
2024,215502,18.14,13.97,9.79,1.38,10.6,5.89,62.13,17.53,33.39,15.19,11.37,4.62,0.51,0.687,0.029,100.0,26.1,165
2018,683789,46.45,12.97,44.84,6.7,8.49,4.98,34.63,10.12,17.01,18.28,20.54,5.02,0.229,0.251,0.217,77.8,15.7,673
2020,420981,19.55,7.51,28.4,14.67,8.83,4.96,3.35,8.99,31.3,23.19,29.4,8.92,0.023,0.179,0.681,24.6,75.7,48
2019,359049,15.04,8.09,31.21,17.84,5.49,7.38,51.35,6.07,36.4,27.01,33.43,7.08,0.242,0.589,0.955,73.9,88.1,669
2016,257695,42.47,7.89,17.69,12.34,11.38,4.32,48.32,11.5,3.48,11.05,19.6,4.05,0.448,0.284,0.861,50.2,78.3,233
2018,370298,18.5,3.33,46.49,2.53,10.2,1.9,48.75,8.31,23.95,30.81,27.61,1.46,0.491,0.81,0.166,21.0,0.7,511
2018,910704,4.28,8.89,46.21,17.83,2.95,0.18,63.1,15.24,4.09,14.98,32.38,9.45,0.418,0.062,0.519,10.8,28.7,877
2022,207959,15.39,14.65,38.98,17.74,8.36,2.9,57.07,6.32,21.78,12.89,16.51,7.66,0.217,0.497,0.77,44.4,92.5,650
2025,420024,45.25,8.3,19.94,16.18,8.1,2.66,32.92,16.42,3.91,27.55,22.18,8.68,0.584,0.762,0.461,87.9,94.7,204
2025,572744,35.22,5.91,20.46,8.8,9.47,7.04,32.4,17.68,26.26,16.56,13.2,7.59,0.321,0.519,0.198,8.7,52.0,669
2021,520626,23.91,10.25,39.7,10.56,2.3,0.95,5.63,17.8,14.03,15.18,35.57,0.83,0.435,0.835,0.562,19.2,53.4,578
2019,231094,30.29,5.14,6.08,7.27,6.67,0.6,42.6,14.65,5.38,23.42,8.49,8.51,0.859,0.114,0.965,35.2,49.8,843
2018,799483,12.8,3.65,54.85,5.81,6.08,1.28,25.18,10.73,30.32,43.22,17.43,2.22,0.47,0.229,0.355,35.0,18.4,40
2017,712315,16.72,10.08,7.44,12.52,2.15,3.32,48.71,2.46,14.47,34.26,24.2,1.3,0.179,0.013,0.63,94.2,15.4,258
2022,855066,7.39,11.5,28.69,7.57,9.41,3.0,38.59,9.49,17.13,7.21,14.73,0.76,0.885,0.859,0.637,16.1,80.4,534
2022,261707,17.52,2.54,46.85,3.06,0.85,6.23,29.84,17.68,16.03,21.05,3.71,4.11,0.668,0.308,0.368,27.5,7.0,846
2022,627469,16.53,7.42,34.48,1.33,1.42,7.55,38.4,9.41,16.43,30.65,21.59,6.59,0.016,0.805,0.618,85.6,67.6,393
2020,941786,25.71,13.82,27.22,12.42,8.7,0.57,19.87,13.38,14.73,27.02,25.26,4.62,0.773,0.138,0.83,71.9,83.8,542
2018,462347,36.53,14.88,22.95,12.33,11.06,1.88,27.7,2.16,37.57,21.4,19.26,4.23,0.152,0.427,0.296,23.8,81.2,341
2022,108565,32.44,6.07,15.55,3.28,1.37,4.88,21.56,17.3,25.7,44.71,5.39,8.49,0.846,0.31,0.482,7.0,95.7,803
