demo_popproj_projection_year,demo_popproj_geography_nuts_code,demo_popproj_nuts_level,demo_popproj_age_cohort_5yr,demo_popproj_sex,demo_popproj_citizenship_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_fertility_rate_assumption,demo_popproj_mortality_rate_assumption,demo_popproj_net_migration_assumption,demo_popproj_household_projection_total,demo_popproj_urban_rural_typology,demo_popproj_dependency_ratio_old_age,demo_popproj_median_age,demo_popproj_life_expectancy_at_birth,demo_popproj_eurostat_release_vintage,demo_popproj_methodology_code
2038,IE5,1,55-59,F,NON_EU,30956,34630,34382,34949,1.34,9.67,-2156,17224,RURAL,35.66,30.3,76.2,2026-09,REG_DEMO_MODEL_B
2041,SK75,2,80-84,T,EU,30475,25734,25438,26448,1.51,7.5,-1420,11248,INTERMEDIATE,38.72,40.5,84.4,2025-12,EUROPOP2024
2044,BE19,2,0-4,M,NATIONAL,31229,36123,35930,37378,1.29,14.19,4828,16220,URBAN,35.03,38.2,83.7,2025-03,REG_DEMO_MODEL_A
2047,LU6,1,25-29,F,UNKNOWN,31539,42164,40967,43312,2.07,9.38,5917,18038,RURAL,27.05,42.8,80.1,2024-06,EUROPOP2023
2050,LU26,2,50-54,T,NON_EU,31391,36819,36302,37651,1.88,7.1,-4653,15142,INTERMEDIATE,42.21,36.5,81.7,2023-09,NUTS_PROJ_V1
2022,LT94,2,75-79,M,EU,32025,31852,30666,32164,1.65,8.52,1156,14862,URBAN,19.02,49.4,80.3,2026-12,REG_DEMO_MODEL_B
2025,SE221,3,100+,F,NATIONAL,32468,33009,32702,33329,1.45,12.9,-4352,13959,RURAL,44.39,43.6,77.0,2026-03,EUROPOP2024
2028,HU68,2,20-24,T,UNKNOWN,31774,30987,30542,31513,1.33,7.41,5895,11511,INTERMEDIATE,39.64,44.6,76.3,2025-06,REG_DEMO_MODEL_A
2031,GR4,1,45-49,M,NON_EU,32893,33419,32458,34103,1.11,13.52,-3854,12527,URBAN,19.41,50.8,83.9,2024-09,EUROPOP2023
2034,NL780,3,70-74,F,EU,32378,29243,28679,30239,2.12,8.77,-3720,12723,RURAL,30.61,33.4,76.1,2023-12,NUTS_PROJ_V1
2037,BE3,1,95-99,T,NATIONAL,32934,30395,29444,30850,1.59,11.77,-546,11673,INTERMEDIATE,30.99,50.0,77.8,2023-03,REG_DEMO_MODEL_B
2040,RO88,2,15-19,M,UNKNOWN,33136,29995,29258,30675,1.91,12.7,2897,14894,URBAN,28.3,47.9,82.0,2026-06,EUROPOP2024
2043,CY62,2,40-44,F,NON_EU,33943,33176,32472,33983,1.29,9.85,11,14315,RURAL,28.13,42.7,74.8,2025-09,REG_DEMO_MODEL_A
2046,HU595,3,65-69,T,EU,33389,44886,43398,46549,1.1,13.46,6966,17898,INTERMEDIATE,31.27,49.4,83.9,2024-12,EUROPOP2023
2049,LT979,3,90-94,M,NATIONAL,34493,49121,47816,49895,2.19,7.53,-4364,18228,URBAN,21.36,49.6,75.7,2024-03,NUTS_PROJ_V1
2021,DE269,3,10-14,F,UNKNOWN,34531,34637,33560,35917,1.89,10.82,3005,14169,RURAL,27.94,31.2,78.0,2023-06,REG_DEMO_MODEL_B
2024,FR197,3,35-39,T,NON_EU,34434,36126,34987,36350,1.99,11.73,6082,17886,INTERMEDIATE,35.97,33.1,80.4,2026-09,EUROPOP2024
2027,FI409,3,60-64,M,EU,35216,37869,36691,38856,2.15,13.31,-4798,18191,URBAN,20.49,44.9,78.0,2025-12,REG_DEMO_MODEL_A
2030,PL723,3,85-89,F,NATIONAL,35223,37987,37665,38866,1.31,10.17,1993,17449,RURAL,26.16,50.3,80.9,2025-03,EUROPOP2023
2033,BE230,3,5-9,T,UNKNOWN,35141,38766,38211,39980,2.12,13.52,-3210,15853,INTERMEDIATE,38.97,37.2,75.5,2024-06,NUTS_PROJ_V1
2036,IT72,2,30-34,M,NON_EU,35766,33698,33232,34690,1.11,8.26,3056,16839,URBAN,19.89,44.6,79.5,2023-09,REG_DEMO_MODEL_B
2039,IE468,3,55-59,F,EU,35920,35009,34136,35400,1.31,8.01,2970,16456,RURAL,43.61,39.5,82.6,2026-12,EUROPOP2024
2042,SI802,3,80-84,T,NATIONAL,35690,32698,32248,33787,1.31,14.37,1697,14164,INTERMEDIATE,42.65,32.3,80.7,2026-03,REG_DEMO_MODEL_A
2045,LT9,1,0-4,M,UNKNOWN,35831,34765,33834,35275,1.48,11.39,2829,14859,URBAN,38.53,30.2,76.8,2025-06,EUROPOP2023
2048,DE886,3,25-29,F,NON_EU,36978,28079,27528,29189,1.21,10.92,-4882,12408,RURAL,32.04,50.2,76.8,2024-09,NUTS_PROJ_V1
2020,LU95,2,50-54,T,EU,36747,36747,35710,37483,1.51,13.68,164,14288,INTERMEDIATE,43.41,44.0,78.0,2023-12,REG_DEMO_MODEL_B
2023,PT597,3,75-79,M,NATIONAL,36558,38711,38345,39996,1.1,13.53,1583,15437,URBAN,41.98,32.9,80.3,2023-03,EUROPOP2024
2026,DK5,1,100+,F,UNKNOWN,37639,38995,38733,40215,1.37,10.39,6242,15843,RURAL,30.83,38.7,76.0,2026-06,REG_DEMO_MODEL_A
2029,LU44,2,20-24,T,NON_EU,37653,44495,43980,44743,1.5,7.34,7055,19972,INTERMEDIATE,30.0,42.7,78.2,2025-09,EUROPOP2023
2032,SI47,2,45-49,M,EU,37877,44658,43416,46349,2.14,10.57,5786,17176,URBAN,42.44,45.4,77.1,2024-12,NUTS_PROJ_V1
2035,DE68,2,70-74,F,NATIONAL,37699,44658,44231,46250,1.96,12.37,-4480,21372,RURAL,39.51,36.3,81.1,2024-03,REG_DEMO_MODEL_B
2038,ES541,3,95-99,T,UNKNOWN,38311,54348,53062,56324,2.15,10.62,3858,25060,INTERMEDIATE,23.71,45.8,80.9,2023-06,EUROPOP2024
2041,MT966,3,15-19,M,NON_EU,38091,32980,32807,33178,2.12,9.45,1283,13002,URBAN,23.95,35.4,79.0,2026-09,REG_DEMO_MODEL_A
2044,SE34,2,40-44,F,EU,39169,49873,49039,51733,1.8,10.69,6334,22334,RURAL,24.04,42.1,83.7,2025-12,EUROPOP2023
2047,IT573,3,65-69,T,NATIONAL,38566,49542,48214,51033,1.91,9.86,5520,19431,INTERMEDIATE,44.09,39.2,76.5,2025-03,NUTS_PROJ_V1
2050,DK584,3,90-94,M,UNKNOWN,39015,32054,30870,32314,1.91,14.03,7199,12053,URBAN,33.47,32.7,77.3,2024-06,REG_DEMO_MODEL_B
2022,CY4,1,10-14,F,NON_EU,39389,39966,38369,40252,1.69,13.35,1941,17972,RURAL,27.86,44.3,82.4,2023-09,EUROPOP2024
2025,EE401,3,35-39,T,EU,39782,41793,40985,42157,1.11,13.39,176,19889,INTERMEDIATE,43.46,47.6,79.2,2026-12,REG_DEMO_MODEL_A
2028,IE81,2,60-64,M,NATIONAL,39966,38217,37067,39407,2.03,13.21,-4438,15797,URBAN,26.34,50.8,75.3,2026-03,EUROPOP2023
2031,PT1,1,85-89,F,UNKNOWN,40618,45909,44841,47470,1.64,12.28,1171,22491,RURAL,39.88,33.2,81.5,2025-06,NUTS_PROJ_V1
2034,PL83,2,5-9,T,NON_EU,40868,48282,47720,49707,1.16,13.49,-2067,18571,INTERMEDIATE,37.64,36.3,82.6,2024-09,REG_DEMO_MODEL_B
2037,SI64,2,30-34,M,EU,41184,53452,53168,54744,1.47,12.08,706,21123,URBAN,28.56,41.1,77.0,2023-12,EUROPOP2024
2040,PL2,1,55-59,F,NATIONAL,41213,58527,57622,59942,1.21,9.43,7964,24322,RURAL,39.74,47.8,81.5,2023-03,REG_DEMO_MODEL_A
2043,PL480,3,80-84,T,UNKNOWN,41218,51393,50375,52444,1.63,13.73,-1564,23873,INTERMEDIATE,38.21,45.4,74.1,2026-06,EUROPOP2023
2046,CZ30,2,0-4,M,NON_EU,41743,62561,60281,64593,2.04,9.82,1997,25270,URBAN,22.54,31.2,77.7,2025-09,NUTS_PROJ_V1
2049,SE82,2,25-29,F,EU,41735,36499,35106,37933,1.82,11.45,-2566,14965,RURAL,28.91,30.7,76.5,2024-12,REG_DEMO_MODEL_B
2021,SK10,2,50-54,T,NATIONAL,42000,41961,41158,42424,1.92,12.82,5989,17050,INTERMEDIATE,39.0,48.2,80.8,2024-03,EUROPOP2024
2024,FR254,3,75-79,M,UNKNOWN,42031,43559,42495,43794,1.23,7.92,5508,17648,URBAN,31.76,30.5,80.0,2023-06,REG_DEMO_MODEL_A
2027,IT987,3,100+,F,NON_EU,42586,43910,43219,44274,1.75,9.88,5561,17620,RURAL,26.06,32.6,77.4,2026-09,EUROPOP2023
2030,CY843,3,20-24,T,EU,42980,51005,50384,51590,1.99,7.15,4110,19829,INTERMEDIATE,39.15,41.1,74.7,2025-12,NUTS_PROJ_V1
2033,CZ842,3,45-49,M,NATIONAL,43357,47805,47087,49365,1.24,12.65,5790,18188,URBAN,22.88,42.6,75.9,2025-03,REG_DEMO_MODEL_B
2036,AT649,3,70-74,F,UNKNOWN,43318,45747,44420,46038,1.73,11.89,-3562,19111,RURAL,40.99,30.7,84.3,2024-06,EUROPOP2024
2039,NL768,3,95-99,T,NON_EU,43518,42663,42399,43132,2.17,11.94,-932,19300,INTERMEDIATE,43.55,40.9,82.2,2023-09,REG_DEMO_MODEL_A
2042,DE7,1,15-19,M,EU,43924,50127,48367,51238,1.44,13.83,769,20676,URBAN,31.79,44.4,81.0,2026-12,EUROPOP2023
2045,CY63,2,40-44,F,NATIONAL,43545,40508,39154,41135,2.02,14.18,4865,16974,RURAL,33.98,35.8,81.7,2026-03,NUTS_PROJ_V1
2048,AT73,2,65-69,T,UNKNOWN,44182,35514,34410,36166,2.09,10.0,-3636,13344,INTERMEDIATE,36.27,49.7,75.5,2025-06,REG_DEMO_MODEL_B
2020,IT64,2,90-94,M,NON_EU,44208,44208,43573,45969,1.87,8.44,1097,18461,URBAN,35.49,40.7,75.7,2024-09,EUROPOP2024
2023,MT145,3,10-14,F,EU,45091,44365,44131,45260,1.13,11.53,-3730,20266,RURAL,32.35,44.4,78.3,2023-12,REG_DEMO_MODEL_A
2026,RO1,1,35-39,T,NATIONAL,44837,47371,46077,48160,1.4,13.52,-1302,21615,INTERMEDIATE,20.64,50.6,76.3,2023-03,EUROPOP2023
2029,PT514,3,60-64,M,UNKNOWN,45724,42981,42654,43460,1.9,9.3,3021,20795,URBAN,27.42,42.0,77.0,2026-06,NUTS_PROJ_V1
2032,GR432,3,85-89,F,NON_EU,45277,49953,49522,50501,2.14,9.92,655,19480,RURAL,36.3,46.6,79.8,2025-09,REG_DEMO_MODEL_B
2035,SK668,3,5-9,T,EU,46153,58120,56765,58670,1.11,10.85,-2453,23623,INTERMEDIATE,21.85,41.9,76.8,2024-12,EUROPOP2024
2038,LV439,3,30-34,M,NATIONAL,46440,57320,56982,59025,1.37,11.57,6579,24702,URBAN,29.85,37.4,78.9,2024-03,REG_DEMO_MODEL_A
2041,IT619,3,55-59,F,UNKNOWN,46043,44403,43291,46088,2.07,13.11,0,18161,RURAL,20.35,36.4,82.1,2023-06,EUROPOP2023
2044,HR9,1,80-84,T,NON_EU,46865,39312,37848,40512,2.14,8.24,-4060,19090,INTERMEDIATE,25.72,49.5,82.5,2026-09,NUTS_PROJ_V1
2047,LT23,2,0-4,M,EU,46260,76622,74694,78369,1.9,10.6,3437,30901,URBAN,36.27,41.2,75.3,2025-12,REG_DEMO_MODEL_B
2050,RO818,3,25-29,F,NATIONAL,46514,59939,59452,61803,1.89,12.27,7282,26740,RURAL,44.84,43.9,83.7,2025-03,EUROPOP2024
2022,CY779,3,50-54,T,UNKNOWN,47651,49415,48621,49735,1.59,8.26,7512,20881,INTERMEDIATE,24.08,31.6,82.8,2024-06,REG_DEMO_MODEL_A
2025,BE840,3,75-79,M,NON_EU,47526,47668,45846,48733,1.29,14.27,537,18057,URBAN,24.74,41.3,82.0,2023-09,EUROPOP2023
2028,HU13,2,100+,F,EU,47370,46880,45797,47548,1.1,11.73,1449,21782,RURAL,26.23,49.6,80.8,2026-12,NUTS_PROJ_V1
2031,MT1,1,20-24,T,NATIONAL,48345,58070,57648,60174,2.03,7.43,-4904,23888,INTERMEDIATE,26.87,37.4,74.1,2026-03,REG_DEMO_MODEL_B
2034,IE28,2,45-49,M,UNKNOWN,48661,57245,55760,57548,1.57,8.48,3668,24256,URBAN,22.15,32.6,79.1,2025-06,EUROPOP2024
2037,BE72,2,70-74,F,NON_EU,48159,60068,58191,61357,1.51,9.73,-2016,25286,RURAL,25.28,50.8,80.9,2024-09,REG_DEMO_MODEL_A
2040,SI7,1,95-99,T,EU,48699,43925,42711,44811,1.5,13.53,-1749,21143,INTERMEDIATE,25.69,32.8,78.4,2023-12,EUROPOP2023
2043,GR86,2,15-19,M,NATIONAL,48839,72018,69541,72879,1.63,11.99,-646,34571,URBAN,31.2,40.4,81.2,2023-03,NUTS_PROJ_V1
2046,HU9,1,40-44,F,UNKNOWN,48880,48559,47915,50300,1.65,13.93,1370,23211,RURAL,43.86,46.6,75.3,2026-06,REG_DEMO_MODEL_B
2049,CY612,3,65-69,T,NON_EU,49352,57032,56282,57789,1.85,9.57,4782,22665,INTERMEDIATE,29.73,36.1,79.1,2025-09,EUROPOP2024
2021,LU92,2,90-94,M,EU,50029,50172,49249,51703,1.31,9.11,-3116,19260,URBAN,44.84,35.2,82.6,2024-12,REG_DEMO_MODEL_A
2024,SK1,1,10-14,F,NATIONAL,49703,50546,49908,50981,1.9,11.58,-1909,18756,RURAL,33.96,43.3,76.4,2024-03,EUROPOP2023
2027,SI5,1,35-39,T,UNKNOWN,49885,50601,49061,51194,1.26,7.13,-1730,24520,INTERMEDIATE,19.38,38.6,77.2,2023-06,NUTS_PROJ_V1
2030,IT968,3,60-64,M,NON_EU,50648,61379,59400,62601,1.17,10.2,-4154,27735,URBAN,25.27,35.9,77.7,2026-09,REG_DEMO_MODEL_B
2033,IT34,2,85-89,F,EU,50678,48997,48572,49553,1.1,11.95,269,22806,RURAL,30.75,49.1,75.1,2025-12,EUROPOP2024
2036,DK206,3,5-9,T,NATIONAL,50689,48752,47640,49566,1.22,12.02,6189,20430,INTERMEDIATE,41.27,37.0,81.8,2025-03,REG_DEMO_MODEL_A
2039,DK2,1,30-34,M,UNKNOWN,51120,64471,63221,66157,1.36,9.07,4573,28415,URBAN,41.95,32.7,81.8,2024-06,EUROPOP2023
2042,NL8,1,55-59,F,NON_EU,51123,42117,41859,43630,2.0,8.45,2303,15906,RURAL,20.02,41.5,77.6,2023-09,NUTS_PROJ_V1
2045,NL130,3,80-84,T,EU,51992,57772,56999,59139,1.27,7.96,1851,24219,INTERMEDIATE,24.82,48.4,83.0,2026-12,REG_DEMO_MODEL_B
2048,HU48,2,0-4,M,NATIONAL,52428,63401,61635,64530,1.79,7.88,2145,30966,URBAN,29.31,49.6,79.3,2026-03,EUROPOP2024
2020,LT49,2,25-29,F,UNKNOWN,51772,51772,50197,53783,1.42,14.17,-4004,20254,RURAL,36.73,45.6,78.2,2025-06,REG_DEMO_MODEL_A
2023,DE634,3,50-54,T,NON_EU,52701,53651,52469,54060,1.58,10.82,4215,21076,INTERMEDIATE,28.82,35.7,75.9,2024-09,EUROPOP2023
2026,CY936,3,75-79,M,EU,52413,54704,53649,54994,2.12,10.85,3254,21921,URBAN,32.18,36.4,76.3,2023-12,NUTS_PROJ_V1
2029,FR18,2,100+,F,NATIONAL,53225,52300,50426,52971,1.69,9.19,5479,24860,RURAL,41.86,49.5,76.8,2023-03,REG_DEMO_MODEL_B
2032,MT368,3,20-24,T,UNKNOWN,53559,48370,48094,50287,1.33,7.87,5627,21562,INTERMEDIATE,34.34,37.8,74.9,2026-06,EUROPOP2024
2035,PL785,3,45-49,M,NON_EU,53722,68689,66576,69353,2.09,9.21,-4062,28172,URBAN,18.28,37.5,81.7,2025-09,REG_DEMO_MODEL_A
2038,RO72,2,70-74,F,EU,53536,49185,48890,50356,2.18,12.84,7787,20423,RURAL,37.51,44.5,83.9,2024-12,EUROPOP2023
2041,FR38,2,95-99,T,NATIONAL,53763,75189,73850,77014,2.0,8.65,-597,35090,INTERMEDIATE,35.0,48.0,78.2,2024-03,NUTS_PROJ_V1
2044,LV4,1,15-19,M,UNKNOWN,54206,50376,49641,51277,2.09,7.7,-2027,21699,URBAN,40.02,33.7,80.0,2023-06,REG_DEMO_MODEL_B
2047,FR370,3,40-44,F,NON_EU,54965,75617,74306,76050,1.28,8.33,1458,30476,RURAL,23.07,33.0,78.5,2026-09,EUROPOP2024
2050,LU78,2,65-69,T,EU,54715,91462,90909,92240,1.68,12.45,-4807,37758,INTERMEDIATE,28.2,30.4,82.7,2025-12,REG_DEMO_MODEL_A
2022,EE45,2,90-94,M,NATIONAL,55281,56942,56527,57490,1.95,9.01,5279,23532,URBAN,39.39,30.2,82.3,2025-03,EUROPOP2023
2025,PL8,1,10-14,F,UNKNOWN,55305,58728,57074,60475,1.32,10.6,4221,22375,RURAL,40.02,36.5,79.0,2024-06,NUTS_PROJ_V1
2028,GR9,1,35-39,T,NON_EU,55249,51675,50859,53068,1.24,13.19,-3316,21700,INTERMEDIATE,20.77,48.6,78.4,2023-09,REG_DEMO_MODEL_B
2031,FI11,2,60-64,M,EU,55251,66770,64155,68102,1.26,11.92,-1300,25242,URBAN,36.48,44.4,81.5,2026-12,EUROPOP2024
2034,DK937,3,85-89,F,NATIONAL,56423,51407,49655,51862,1.21,14.17,854,25035,RURAL,27.01,37.6,83.7,2026-03,REG_DEMO_MODEL_A
2037,DK50,2,5-9,T,UNKNOWN,55836,74200,72801,75033,1.68,11.5,6131,32293,INTERMEDIATE,42.11,44.4,80.6,2025-06,EUROPOP2023
2040,SK49,2,30-34,M,NON_EU,56293,56803,54737,58908,1.83,14.0,6654,22196,URBAN,39.3,48.1,84.3,2024-09,NUTS_PROJ_V1
2043,EE646,3,55-59,F,EU,57046,71188,69138,72517,1.89,12.89,2838,27696,RURAL,21.06,39.0,81.6,2023-12,REG_DEMO_MODEL_B
2046,IT644,3,80-84,T,NATIONAL,56648,46838,46595,47370,1.52,9.39,1944,20042,INTERMEDIATE,44.27,42.6,80.7,2023-03,EUROPOP2024
2049,GR871,3,0-4,M,UNKNOWN,56891,85298,83838,86458,1.56,10.73,3745,36377,URBAN,32.48,34.8,74.9,2026-06,REG_DEMO_MODEL_A
2021,ES853,3,25-29,F,NON_EU,57732,57885,56740,59579,1.92,12.27,-1147,25690,RURAL,23.49,47.9,77.8,2025-09,EUROPOP2023
2024,GR70,2,50-54,T,EU,57735,62183,61699,62623,1.48,13.37,7757,24164,INTERMEDIATE,25.96,33.0,83.0,2024-12,NUTS_PROJ_V1
2027,MT3,1,75-79,M,NATIONAL,58495,66248,64574,67067,1.35,12.6,-3080,24780,URBAN,37.01,37.9,74.3,2024-03,REG_DEMO_MODEL_B
2030,AT99,2,100+,F,UNKNOWN,58738,60368,58067,60893,1.74,10.58,4730,23135,RURAL,18.82,37.7,74.8,2023-06,EUROPOP2024
2033,MT742,3,20-24,T,NON_EU,58078,51215,50656,52217,1.94,10.52,-2705,20293,INTERMEDIATE,36.86,36.3,78.3,2026-09,REG_DEMO_MODEL_A
2036,DK46,2,45-49,M,EU,58595,61785,60708,62122,1.22,7.45,5525,30549,URBAN,38.28,40.6,74.1,2025-12,EUROPOP2023
2039,MT8,1,70-74,F,NATIONAL,59352,62482,62056,63787,1.88,8.94,4372,26573,RURAL,37.15,38.9,75.6,2025-03,NUTS_PROJ_V1
2042,LU647,3,95-99,T,UNKNOWN,59746,50917,49553,52866,1.92,10.0,-4083,23646,INTERMEDIATE,22.96,45.7,79.9,2024-06,REG_DEMO_MODEL_B
2045,SK872,3,15-19,M,NON_EU,59861,49362,48583,50433,1.82,10.04,1233,23334,URBAN,39.69,43.6,76.0,2023-09,EUROPOP2024
2048,SK828,3,40-44,F,EU,59361,48943,47606,50521,1.47,8.8,-2334,20572,RURAL,19.76,42.5,81.9,2026-12,REG_DEMO_MODEL_A
2020,PL9,1,65-69,T,NATIONAL,59816,59816,57845,62060,1.36,7.64,4340,24971,INTERMEDIATE,33.22,46.6,74.5,2026-03,EUROPOP2023
2023,BE1,1,90-94,M,UNKNOWN,60072,58783,57066,61094,1.93,14.19,3195,27514,URBAN,38.3,45.2,84.2,2025-06,NUTS_PROJ_V1
2026,CY412,3,10-14,F,NON_EU,60719,64546,62712,66894,1.65,10.77,7698,30661,RURAL,33.85,38.0,80.2,2024-09,REG_DEMO_MODEL_B
2029,AT9,1,35-39,T,EU,61122,56408,54469,58037,1.19,11.69,6771,26089,INTERMEDIATE,23.82,44.3,75.5,2023-12,EUROPOP2024
2032,IT19,2,60-64,M,NATIONAL,61235,57543,57182,58870,1.9,11.89,7593,25700,URBAN,39.2,37.1,77.8,2023-03,REG_DEMO_MODEL_A
2035,AT960,3,85-89,F,UNKNOWN,61626,80776,77658,83194,1.85,8.79,5000,33312,RURAL,43.87,41.9,84.4,2026-06,EUROPOP2023
2038,AT584,3,5-9,T,NON_EU,61099,78670,75915,81460,1.7,14.27,7803,29951,INTERMEDIATE,31.47,39.6,75.8,2025-09,NUTS_PROJ_V1
2041,AT721,3,30-34,M,EU,61552,55220,53552,56198,1.2,8.34,7647,23775,URBAN,44.63,50.5,82.0,2024-12,REG_DEMO_MODEL_B
2044,HR333,3,55-59,F,NATIONAL,61952,77749,75021,78475,1.73,7.3,-304,34090,RURAL,41.14,49.3,75.4,2024-03,EUROPOP2024
2047,NL554,3,80-84,T,UNKNOWN,62125,71798,70495,72945,1.19,10.1,2374,32874,INTERMEDIATE,41.64,44.3,80.5,2023-06,REG_DEMO_MODEL_A
2050,ES25,2,0-4,M,NON_EU,62659,48814,48212,50253,1.72,8.16,-3275,22153,URBAN,22.27,38.4,74.8,2026-09,EUROPOP2023
2022,HU43,2,25-29,F,EU,62647,64696,63623,65809,1.62,11.01,2616,31158,RURAL,22.87,32.3,84.1,2025-12,NUTS_PROJ_V1
2025,FR201,3,50-54,T,NATIONAL,62906,67117,64900,68224,1.45,14.47,2967,31233,INTERMEDIATE,38.01,32.4,78.8,2025-03,REG_DEMO_MODEL_B
2028,HU78,2,75-79,M,UNKNOWN,63308,60659,59230,62321,1.45,7.23,4848,23863,URBAN,19.68,47.0,82.3,2024-06,EUROPOP2024
2031,LV1,1,100+,F,NON_EU,63484,61016,59027,61370,1.93,10.17,-871,24955,RURAL,20.26,31.5,78.3,2023-09,REG_DEMO_MODEL_A
2034,RO2,1,20-24,T,EU,63555,79604,77677,81171,1.34,13.7,-1985,30837,INTERMEDIATE,20.5,48.9,77.6,2026-12,EUROPOP2023
2037,LV69,2,45-49,M,NATIONAL,64271,63087,61002,65482,1.63,11.02,7842,29863,URBAN,36.81,37.4,81.3,2026-03,NUTS_PROJ_V1
2040,HR133,3,70-74,F,UNKNOWN,64148,85872,84122,88987,1.32,12.42,4477,35315,RURAL,26.74,50.7,83.9,2025-06,REG_DEMO_MODEL_B
2043,RO840,3,95-99,T,NON_EU,64760,90705,89404,91203,2.09,14.0,3182,34819,INTERMEDIATE,21.07,50.4,78.3,2024-09,EUROPOP2024
2046,BG589,3,15-19,M,EU,64783,87590,87115,90919,2.04,11.76,5468,32699,URBAN,20.63,34.6,84.3,2023-12,REG_DEMO_MODEL_A
2049,DE4,1,40-44,F,NATIONAL,64930,88899,87752,91213,1.34,8.57,-1869,33168,RURAL,33.57,30.3,82.5,2023-03,EUROPOP2023
2021,BG39,2,65-69,T,UNKNOWN,64766,64705,62811,66883,1.24,10.74,2471,28257,INTERMEDIATE,27.5,47.4,78.5,2026-06,NUTS_PROJ_V1
2024,EE785,3,90-94,M,NON_EU,65997,69483,66979,70257,1.57,8.33,4746,32870,URBAN,29.77,36.0,80.9,2025-09,REG_DEMO_MODEL_B
2027,HU318,3,10-14,F,EU,65946,67402,65374,69202,2.12,13.43,-3565,26286,RURAL,20.8,43.6,80.5,2024-12,EUROPOP2024
2030,SK11,2,35-39,T,NATIONAL,65921,61517,60671,63167,1.7,11.75,3247,25558,INTERMEDIATE,18.88,36.1,78.4,2024-03,REG_DEMO_MODEL_A
2033,DE750,3,60-64,M,UNKNOWN,65978,78348,76726,79053,2.04,14.13,744,29263,URBAN,42.68,38.7,82.6,2023-06,EUROPOP2023
2036,PL87,2,85-89,F,NON_EU,66720,82737,80573,85871,1.96,10.81,-616,31630,RURAL,25.14,47.6,82.3,2026-09,NUTS_PROJ_V1
2039,EE96,2,5-9,T,EU,66674,80851,77628,83827,1.14,7.2,7951,35741,INTERMEDIATE,40.05,47.2,80.3,2025-12,REG_DEMO_MODEL_B
2042,BG531,3,30-34,M,NATIONAL,66843,60012,58813,61215,1.71,9.94,5096,24483,URBAN,40.37,46.8,80.1,2025-03,EUROPOP2024
2045,BG36,2,55-59,F,UNKNOWN,66881,104938,102174,108136,1.54,9.39,-2405,45502,RURAL,20.69,46.8,79.3,2024-06,REG_DEMO_MODEL_A
2048,RO365,3,80-84,T,NON_EU,67646,82944,80764,85571,2.11,13.28,-2395,31134,INTERMEDIATE,23.5,32.0,78.6,2023-09,EUROPOP2023
2020,GR2,1,0-4,M,EU,67893,67893,65540,69701,1.7,14.29,4368,29939,URBAN,38.04,32.7,78.8,2026-12,NUTS_PROJ_V1
2023,AT85,2,25-29,F,NATIONAL,68146,70907,68533,72880,1.34,8.45,-982,28267,RURAL,39.79,37.9,76.7,2026-03,REG_DEMO_MODEL_B
2026,BG7,1,50-54,T,UNKNOWN,67802,67092,66603,68900,1.8,11.35,-3306,32292,INTERMEDIATE,43.03,32.6,75.5,2025-06,EUROPOP2024
2029,IT986,3,75-79,M,NON_EU,68268,79338,76422,81107,1.5,13.29,1402,38318,URBAN,39.48,38.7,79.1,2024-09,REG_DEMO_MODEL_A
2032,HR2,1,100+,F,EU,68890,62779,61778,63917,1.44,13.81,-2361,29531,RURAL,18.27,33.8,80.0,2023-12,EUROPOP2023
2035,GR299,3,20-24,T,NATIONAL,69121,87243,84111,88725,1.48,14.46,4830,36617,INTERMEDIATE,22.28,45.6,83.7,2023-03,NUTS_PROJ_V1
2038,ES70,2,45-49,M,UNKNOWN,68947,79841,78145,81687,1.94,8.62,978,38378,URBAN,23.86,36.9,76.3,2026-06,REG_DEMO_MODEL_B
2041,FR71,2,70-74,F,NON_EU,69745,87300,84194,88572,1.32,7.69,6601,36587,RURAL,25.95,45.6,79.2,2025-09,EUROPOP2024
2044,SK498,3,95-99,T,EU,69774,108052,107218,109538,1.32,13.35,6753,49187,INTERMEDIATE,28.61,42.3,82.0,2024-12,REG_DEMO_MODEL_A
2047,CZ722,3,15-19,M,NATIONAL,69819,60931,58932,62775,1.58,10.35,4770,24150,URBAN,40.03,43.1,80.4,2024-03,EUROPOP2023
2050,FI57,2,40-44,F,UNKNOWN,70189,62221,60500,64487,2.0,10.37,-4447,23297,RURAL,24.83,38.6,80.3,2023-06,NUTS_PROJ_V1
2022,IE74,2,65-69,T,NON_EU,70898,72230,71780,73481,1.13,8.35,286,31396,INTERMEDIATE,23.02,35.2,76.3,2026-09,REG_DEMO_MODEL_B
2025,NL471,3,90-94,M,EU,70630,71040,70136,71699,1.45,7.08,388,33047,URBAN,33.32,36.8,76.4,2025-12,EUROPOP2024
2028,CY16,2,10-14,F,NATIONAL,70567,71456,70102,73131,1.21,9.09,4959,26839,RURAL,39.8,44.1,80.0,2025-03,REG_DEMO_MODEL_A
2031,DE757,3,35-39,T,UNKNOWN,71411,73522,72527,74707,1.45,8.48,3092,31298,INTERMEDIATE,44.74,38.8,75.3,2024-06,EUROPOP2023
