demo_migflow_move_year,demo_migflow_origin_lgd_code,demo_migflow_destination_lgd_code,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_km_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2019,27959298,43441836,INTERNATIONAL,15,1,Housing,Owned,Informal,2230,140,gt_10L,1L_3L,Higher_secondary,Foreign_National,N,2923,2353,3.672,W4
2017,26165865,25290231,INTRASTATE,63,9,Marriage,Rented,Informal,2752,150,1L_3L,lt_1L,Graduate,Other,N,2019,3129,2.885,W4
2023,14901205,49872877,INTERSTATE,10,7,Other,Other,Rented,2056,167,6L_10L,gt_10L,Postgraduate,OCI,Y,4685,1688,1.423,W5
2019,73560004,36340736,INTERNATIONAL,40,6,Marriage,Employer,Owned,944,133,lt_1L,lt_1L,No_schooling,Indian_Citizen,Y,1160,3570,1.532,W3
2023,92875035,27448261,INTRASTATE,78,5,Climate,Informal,Employer,1578,64,lt_1L,1L_3L,Postgraduate,Other,Y,3510,4294,4.234,W4
2025,61845455,27726600,INTERNATIONAL,27,5,Education,Rented,Employer,1718,36,3L_6L,lt_1L,No_schooling,Foreign_National,N,3132,3347,2.406,W5
2017,63978498,12945983,INTRASTATE,89,10,Employment,Other,Informal,1725,-31,3L_6L,lt_1L,Primary,Indian_Citizen,N,3028,23,3.927,W3
2018,82726295,42624616,INTERNATIONAL,53,5,Other,Rented,Owned,2693,112,1L_3L,lt_1L,Higher_secondary,OCI,N,2887,1232,4.994,W4
2016,73727570,11677954,INTRASTATE,5,9,Other,Owned,Rented,450,139,1L_3L,3L_6L,No_schooling,OCI,N,3813,2506,2.716,W1
2025,50529085,92351432,INTERNATIONAL,34,8,Other,Owned,Employer,430,-53,gt_10L,gt_10L,No_schooling,OCI,N,16,2825,1.867,W2
2020,72095674,68346714,INTERSTATE,25,5,Education,Employer,Employer,979,144,lt_1L,1L_3L,Primary,OCI,N,4458,1459,3.251,W4
2024,86584622,11059980,INTERSTATE,42,6,Marriage,Rented,Rented,2816,-7,3L_6L,lt_1L,Secondary,OCI,N,2973,1758,0.674,W2
2017,37863867,88999342,INTERSTATE,73,8,Family,Other,Owned,63,123,1L_3L,3L_6L,Graduate,Foreign_National,Y,3408,1389,4.602,W1
2021,42787997,39133468,INTRASTATE,41,10,Employment,Other,Rented,1395,13,6L_10L,lt_1L,No_schooling,Other,Y,3755,1882,0.231,W4
2016,19247699,12439330,INTERSTATE,54,7,Family,Informal,Rented,1150,29,1L_3L,3L_6L,Secondary,Other,Y,1516,177,3.99,W2
2024,73176011,29766754,INTERSTATE,9,6,Marriage,Rented,Employer,1210,90,gt_10L,gt_10L,Graduate,Indian_Citizen,Y,4108,4798,0.686,W1
2017,75911664,45212438,INTERNATIONAL,77,5,Marriage,Other,Informal,1589,144,1L_3L,6L_10L,No_schooling,Other,N,2918,4167,2.109,W4
2023,99598685,47911796,INTERNATIONAL,13,1,Other,Owned,Rented,172,82,gt_10L,1L_3L,Graduate,OCI,Y,4915,210,1.077,W3
2023,23604614,49525985,INTERNATIONAL,7,7,Employment,Informal,Rented,1507,82,6L_10L,6L_10L,Secondary,OCI,Y,3687,815,4.92,W1
2016,64684583,31937064,INTERSTATE,8,3,Education,Rented,Informal,1831,108,6L_10L,lt_1L,No_schooling,Foreign_National,Y,257,4039,4.842,W2
2023,98917022,11354356,INTERNATIONAL,60,1,Housing,Other,Owned,708,53,lt_1L,1L_3L,No_schooling,Indian_Citizen,Y,620,4113,1.241,W4
2016,54461417,92259646,INTRASTATE,32,4,Housing,Rented,Informal,2654,34,1L_3L,3L_6L,Graduate,OCI,N,3730,3560,0.937,W4
2025,37101652,36862440,INTERSTATE,48,6,Marriage,Owned,Other,1800,-26,6L_10L,6L_10L,Graduate,OCI,N,1260,617,0.553,W1
2020,37146716,79929516,INTERSTATE,50,10,Education,Informal,Rented,1153,-32,3L_6L,3L_6L,No_schooling,Other,N,383,2318,4.791,W4
2023,90088209,77406914,INTERSTATE,10,3,Employment,Rented,Informal,885,-8,1L_3L,1L_3L,No_schooling,Indian_Citizen,Y,2730,4345,3.683,W2
2021,74239336,48649199,INTERNATIONAL,7,3,Other,Informal,Other,2437,102,lt_1L,1L_3L,No_schooling,Indian_Citizen,N,2421,159,2.673,W3
2021,85654810,53319731,INTERSTATE,60,6,Housing,Other,Informal,2477,-41,3L_6L,1L_3L,Postgraduate,Other,Y,1481,2540,4.42,W3
2022,72345294,26775578,INTERSTATE,76,9,Education,Other,Informal,1952,156,gt_10L,1L_3L,Postgraduate,Foreign_National,N,2629,1170,1.303,W3
2022,99536589,36862440,INTRASTATE,38,8,Employment,Informal,Informal,1062,125,1L_3L,gt_10L,No_schooling,Foreign_National,Y,2971,2829,3.948,W5
2022,54967851,96765988,INTERNATIONAL,38,8,Housing,Rented,Owned,1872,88,6L_10L,3L_6L,Higher_secondary,Indian_Citizen,N,4608,2583,0.382,W5
2019,79958090,25608198,INTERSTATE,76,4,Other,Owned,Employer,2975,139,3L_6L,gt_10L,No_schooling,Indian_Citizen,N,703,3925,3.683,W3
2024,27822718,86439351,INTERNATIONAL,60,5,Housing,Rented,Rented,757,159,gt_10L,6L_10L,Higher_secondary,Indian_Citizen,Y,2298,3140,1.858,W5
2025,34818294,62912069,INTRASTATE,15,6,Employment,Employer,Employer,2703,9,1L_3L,3L_6L,Higher_secondary,Foreign_National,N,2868,287,0.972,W5
2017,22057726,36093091,INTERSTATE,7,2,Climate,Owned,Informal,2479,91,1L_3L,gt_10L,Secondary,OCI,N,1375,4920,1.39,W4
2025,40258189,79448640,INTRASTATE,32,9,Education,Owned,Rented,1991,171,1L_3L,lt_1L,No_schooling,Indian_Citizen,Y,1550,2668,3.007,W5
2021,71653111,48320088,INTRASTATE,3,10,Other,Rented,Rented,927,179,3L_6L,3L_6L,Secondary,Foreign_National,Y,1843,4924,2.639,W1
2025,91949275,25202394,INTERNATIONAL,57,6,Employment,Rented,Employer,2964,-1,gt_10L,lt_1L,Higher_secondary,Indian_Citizen,Y,643,2476,4.152,W2
2024,73766325,21972903,INTRASTATE,61,8,Housing,Informal,Employer,1380,-5,gt_10L,1L_3L,No_schooling,OCI,N,1805,564,1.53,W1
2018,46852056,59797611,INTERNATIONAL,30,10,Marriage,Other,Informal,2499,-33,6L_10L,lt_1L,Postgraduate,Foreign_National,Y,1994,2878,3.435,W3
2018,32237096,91848755,INTRASTATE,88,8,Other,Other,Owned,901,109,gt_10L,lt_1L,Higher_secondary,Foreign_National,Y,3883,645,4.52,W5
2017,18232028,93661474,INTRASTATE,24,6,Education,Other,Rented,155,128,gt_10L,1L_3L,Higher_secondary,Indian_Citizen,Y,1930,3852,3.142,W2
2025,62909232,56221009,INTERSTATE,37,3,Housing,Owned,Rented,644,144,3L_6L,6L_10L,Primary,OCI,N,1997,4467,4.05,W4
2021,36293702,16259967,INTERNATIONAL,12,4,Education,Informal,Rented,1029,153,1L_3L,6L_10L,Postgraduate,Other,Y,531,1878,1.187,W5
2024,93953649,60714053,INTERSTATE,56,3,Family,Owned,Other,1734,7,gt_10L,6L_10L,Secondary,OCI,Y,1293,792,4.464,W4
2021,58058439,81827654,INTERNATIONAL,17,3,Family,Rented,Rented,610,166,gt_10L,1L_3L,Secondary,Indian_Citizen,N,863,621,2.628,W2
2018,40268703,74797023,INTERNATIONAL,53,2,Family,Other,Other,2357,-54,gt_10L,6L_10L,No_schooling,Other,Y,3721,1668,2.064,W2
2021,50289917,16608450,INTERNATIONAL,71,7,Family,Informal,Owned,2926,14,gt_10L,gt_10L,Graduate,OCI,N,1844,2456,4.856,W4
2021,72803952,48401682,INTERNATIONAL,28,4,Marriage,Employer,Employer,679,71,6L_10L,gt_10L,Higher_secondary,Other,Y,4593,1705,2.807,W2
2020,88419955,57329010,INTRASTATE,78,5,Family,Other,Informal,909,137,gt_10L,3L_6L,Primary,Other,N,333,3383,4.113,W5
2025,98587922,81842271,INTERNATIONAL,88,1,Employment,Informal,Other,564,-18,gt_10L,gt_10L,Secondary,OCI,Y,3701,737,3.35,W2
2018,51811946,37771633,INTERSTATE,62,10,Family,Employer,Employer,223,47,gt_10L,3L_6L,Postgraduate,Indian_Citizen,N,2419,283,1.313,W3
2025,75468697,42759933,INTERNATIONAL,66,9,Family,Owned,Other,56,69,1L_3L,3L_6L,Graduate,Foreign_National,Y,2814,1535,1.694,W4
2018,21363682,63051968,INTRASTATE,68,8,Marriage,Rented,Informal,2607,100,3L_6L,3L_6L,Higher_secondary,Indian_Citizen,N,77,1424,2.497,W3
2017,59068627,11359818,INTRASTATE,56,7,Employment,Owned,Informal,1376,75,1L_3L,6L_10L,Higher_secondary,Foreign_National,Y,3971,1324,1.769,W1
2020,26823696,11091159,INTERSTATE,5,1,Other,Other,Other,2282,65,gt_10L,1L_3L,Primary,Indian_Citizen,N,1930,2067,1.237,W5
2025,54952651,23976939,INTERNATIONAL,34,5,Education,Informal,Informal,569,94,gt_10L,lt_1L,Secondary,Indian_Citizen,N,2977,4287,0.902,W5
2019,46054185,99423100,INTERSTATE,31,7,Education,Informal,Owned,1498,41,3L_6L,lt_1L,Higher_secondary,Foreign_National,N,2562,2327,2.524,W2
2018,44791048,25071153,INTRASTATE,42,3,Family,Employer,Owned,69,-56,3L_6L,gt_10L,No_schooling,Foreign_National,N,4807,2481,2.928,W1
2023,43243597,39736707,INTRASTATE,2,2,Family,Informal,Owned,2820,179,6L_10L,gt_10L,Secondary,Other,N,2812,3746,2.593,W1
2024,56251764,83294283,INTERSTATE,56,8,Housing,Owned,Employer,612,158,gt_10L,gt_10L,Secondary,OCI,N,4343,2314,4.466,W3
2020,22759816,23915208,INTERNATIONAL,56,3,Climate,Other,Informal,1491,-18,lt_1L,lt_1L,Higher_secondary,Foreign_National,Y,1073,2031,4.827,W3
2019,79838891,25326365,INTRASTATE,69,2,Marriage,Informal,Informal,578,-10,3L_6L,1L_3L,Secondary,Other,N,4743,1130,3.027,W4
2022,60193625,35772413,INTERSTATE,88,9,Marriage,Owned,Other,352,-9,1L_3L,lt_1L,Graduate,Other,Y,2070,4214,1.522,W5
2022,68960533,53518469,INTERSTATE,64,6,Climate,Informal,Informal,10,167,lt_1L,lt_1L,Postgraduate,Indian_Citizen,N,897,828,3.238,W1
2021,59346485,95556030,INTERSTATE,90,6,Other,Employer,Employer,2459,35,3L_6L,lt_1L,No_schooling,Indian_Citizen,N,662,1349,0.2,W5
2024,36278543,96792094,INTRASTATE,36,6,Family,Other,Employer,1421,104,6L_10L,1L_3L,Postgraduate,Indian_Citizen,N,517,3034,1.988,W2
2016,52082095,32552031,INTERSTATE,0,5,Other,Owned,Other,1618,87,3L_6L,3L_6L,Primary,Indian_Citizen,N,3879,2372,0.587,W2
2020,47766230,72829950,INTERSTATE,0,9,Education,Other,Owned,2832,79,1L_3L,gt_10L,No_schooling,Indian_Citizen,N,2565,4660,3.762,W3
2023,18661378,17531220,INTRASTATE,35,7,Other,Employer,Employer,1748,38,1L_3L,lt_1L,Secondary,Foreign_National,Y,3878,3938,1.542,W1
2017,50713381,56127591,INTERNATIONAL,41,4,Housing,Other,Owned,281,-55,6L_10L,1L_3L,Secondary,Other,Y,1679,3682,1.609,W1
2024,91060501,23351465,INTRASTATE,43,2,Education,Rented,Informal,2649,51,gt_10L,1L_3L,No_schooling,OCI,N,3320,713,3.749,W3
2025,88530670,36871491,INTERSTATE,54,6,Marriage,Other,Employer,1319,126,6L_10L,6L_10L,Postgraduate,Other,N,484,1369,1.136,W1
2020,56074756,35382111,INTERNATIONAL,28,7,Employment,Rented,Employer,166,-58,gt_10L,1L_3L,No_schooling,Other,N,3529,627,1.9,W5
2024,15194968,51917081,INTRASTATE,89,5,Education,Rented,Rented,1064,16,6L_10L,1L_3L,Primary,Other,Y,3403,3845,2.889,W3
2023,50373255,82591854,INTRASTATE,87,8,Climate,Owned,Employer,2857,35,3L_6L,1L_3L,Higher_secondary,OCI,N,85,1651,0.962,W3
2021,26366564,78706700,INTERSTATE,62,7,Marriage,Employer,Rented,228,-46,gt_10L,lt_1L,Graduate,Indian_Citizen,Y,3665,2544,2.057,W4
2020,31798932,12546470,INTERNATIONAL,20,4,Other,Owned,Informal,884,38,6L_10L,lt_1L,No_schooling,OCI,Y,1905,4736,2.811,W3
2019,25794551,47848261,INTERSTATE,10,5,Employment,Employer,Owned,138,-42,6L_10L,6L_10L,Primary,Foreign_National,N,303,3798,3.129,W3
2019,89978795,39465376,INTRASTATE,75,4,Education,Owned,Informal,424,39,1L_3L,6L_10L,Secondary,Foreign_National,N,2748,2478,3.954,W4
2018,77362503,88410692,INTERSTATE,24,3,Housing,Employer,Other,1584,-44,lt_1L,1L_3L,Graduate,Indian_Citizen,Y,3851,3262,1.843,W3
2025,18109656,17470651,INTERSTATE,22,7,Other,Rented,Employer,454,106,3L_6L,6L_10L,No_schooling,Indian_Citizen,N,2019,3381,4.395,W3
2016,60826325,94836467,INTERSTATE,13,4,Climate,Informal,Other,1377,37,3L_6L,gt_10L,Secondary,OCI,N,4557,1871,3.456,W5
2023,85409668,28269551,INTRASTATE,11,5,Family,Other,Owned,2098,126,6L_10L,lt_1L,Postgraduate,OCI,Y,2626,2340,3.165,W1
2020,30666977,59553653,INTERNATIONAL,27,5,Other,Other,Other,72,148,1L_3L,1L_3L,Higher_secondary,OCI,Y,897,4621,0.165,W5
2019,63115643,79267677,INTRASTATE,53,1,Climate,Other,Employer,2928,42,1L_3L,lt_1L,Postgraduate,Other,N,2632,2298,4.702,W5
2024,61846857,24324562,INTRASTATE,32,3,Employment,Owned,Informal,2130,121,gt_10L,gt_10L,Secondary,Foreign_National,N,1042,72,3.557,W5
2023,34012247,70679889,INTERNATIONAL,90,9,Climate,Employer,Rented,2462,30,lt_1L,lt_1L,No_schooling,OCI,Y,3836,493,2.786,W4
2018,22703272,96732370,INTERNATIONAL,27,7,Other,Rented,Informal,4,-8,gt_10L,lt_1L,Higher_secondary,Other,Y,1094,4188,0.895,W5
2025,51673365,18744734,INTERNATIONAL,62,2,Climate,Rented,Rented,58,109,lt_1L,lt_1L,Higher_secondary,OCI,N,3337,3329,4.191,W3
2019,15955465,23910865,INTERSTATE,30,5,Climate,Owned,Informal,1478,57,6L_10L,3L_6L,Primary,Indian_Citizen,Y,3756,2767,0.527,W3
2021,22488146,43784067,INTERNATIONAL,47,6,Housing,Informal,Employer,2213,-53,lt_1L,6L_10L,Primary,Foreign_National,N,4485,4194,4.892,W4
2024,31562373,89728835,INTRASTATE,64,3,Marriage,Informal,Informal,2549,146,1L_3L,6L_10L,Secondary,OCI,Y,1483,357,2.454,W1
2023,34150392,53980759,INTRASTATE,46,4,Climate,Employer,Other,2512,177,1L_3L,1L_3L,Higher_secondary,Other,Y,3729,102,2.273,W5
2018,36427694,40660573,INTERNATIONAL,50,1,Climate,Other,Rented,1668,172,gt_10L,3L_6L,No_schooling,Foreign_National,N,2777,3538,2.938,W5
2021,55818849,99805883,INTERNATIONAL,6,8,Housing,Employer,Rented,2869,130,1L_3L,6L_10L,Secondary,Foreign_National,Y,1755,4405,1.356,W4
2016,48421883,61906207,INTERNATIONAL,54,4,Employment,Employer,Employer,1043,67,gt_10L,lt_1L,Higher_secondary,Foreign_National,Y,2135,4696,2.55,W4
2017,84254441,15868136,INTRASTATE,86,9,Employment,Other,Informal,862,-16,6L_10L,gt_10L,Primary,Indian_Citizen,N,915,94,4.641,W1
2023,56038062,49314076,INTERSTATE,19,1,Education,Employer,Other,2290,-20,6L_10L,3L_6L,Secondary,OCI,Y,3063,3328,1.826,W5
2019,90374939,57065145,INTERSTATE,32,9,Education,Rented,Employer,2996,83,lt_1L,lt_1L,Higher_secondary,Indian_Citizen,N,2457,3341,3.114,W2
2025,77073065,29006932,INTERNATIONAL,34,3,Employment,Rented,Owned,1011,130,gt_10L,lt_1L,Higher_secondary,OCI,Y,4200,3495,4.388,W3
2025,97247746,18485084,INTERNATIONAL,32,9,Family,Other,Informal,230,-35,6L_10L,lt_1L,Graduate,Foreign_National,N,4191,4192,4.864,W4
2019,14163534,58497339,INTERNATIONAL,76,9,Education,Owned,Owned,2584,-21,gt_10L,1L_3L,No_schooling,Foreign_National,N,3151,118,4.584,W2
2018,55407534,38968515,INTERNATIONAL,74,1,Other,Owned,Owned,2576,27,gt_10L,lt_1L,Secondary,Foreign_National,N,2534,929,0.899,W3
2025,93950550,95556030,INTRASTATE,43,7,Employment,Informal,Informal,1291,65,lt_1L,1L_3L,No_schooling,OCI,Y,826,3393,2.375,W5
2016,14310377,33764147,INTRASTATE,0,4,Housing,Other,Employer,48,71,3L_6L,lt_1L,Higher_secondary,OCI,Y,1337,81,0.585,W3
2021,50077696,63045146,INTRASTATE,35,9,Family,Informal,Rented,896,-11,3L_6L,6L_10L,No_schooling,Other,N,3565,4459,2.259,W5
2021,19769128,75386373,INTERNATIONAL,2,8,Marriage,Employer,Other,935,-60,gt_10L,3L_6L,Graduate,Foreign_National,Y,1323,1116,4.93,W1
2020,28176409,79448509,INTERSTATE,24,1,Other,Rented,Other,2982,102,lt_1L,6L_10L,Higher_secondary,Indian_Citizen,Y,3789,2180,1.572,W3
2024,54066724,35840575,INTRASTATE,33,10,Family,Employer,Other,2377,17,lt_1L,1L_3L,Higher_secondary,Other,Y,4645,14,4.421,W3
2020,76259296,23693029,INTRASTATE,58,1,Climate,Other,Informal,1881,70,3L_6L,3L_6L,Primary,OCI,N,4521,1356,4.304,W1
2018,27743154,92525652,INTRASTATE,71,3,Family,Employer,Other,2873,4,1L_3L,3L_6L,Primary,Foreign_National,N,3487,1270,4.903,W2
2020,53608371,95556030,INTERNATIONAL,41,1,Housing,Informal,Informal,2072,-17,1L_3L,lt_1L,No_schooling,OCI,Y,4512,1039,0.332,W5
2021,74520981,50989785,INTERSTATE,62,9,Family,Other,Employer,2276,157,lt_1L,6L_10L,Secondary,Foreign_National,Y,4143,228,2.737,W5
2022,15222178,81805072,INTRASTATE,66,3,Employment,Employer,Other,738,153,3L_6L,3L_6L,Higher_secondary,Other,N,840,1505,1.247,W4
2020,71677460,26106096,INTERSTATE,52,4,Housing,Other,Owned,1273,34,lt_1L,lt_1L,Graduate,Other,Y,4695,2859,2.004,W3
2017,41947636,74367717,INTRASTATE,88,8,Housing,Informal,Rented,431,-31,1L_3L,gt_10L,Secondary,Indian_Citizen,Y,3071,1149,4.834,W3
2018,60858823,60854053,INTERSTATE,62,6,Climate,Employer,Rented,400,31,lt_1L,6L_10L,Postgraduate,Indian_Citizen,N,4753,2036,1.226,W3
2018,76903630,60930433,INTRASTATE,12,10,Employment,Owned,Employer,290,61,gt_10L,6L_10L,Secondary,Other,N,1497,1695,1.639,W3
2025,62745172,27141851,INTERNATIONAL,68,5,Employment,Other,Informal,2588,52,6L_10L,1L_3L,Postgraduate,Foreign_National,N,1462,4892,4.332,W5
2024,69179742,51940905,INTRASTATE,38,3,Employment,Informal,Employer,2087,82,gt_10L,gt_10L,No_schooling,Other,N,3575,4814,2.095,W5
2018,36602036,52580143,INTERNATIONAL,43,6,Climate,Employer,Informal,805,169,3L_6L,3L_6L,Secondary,OCI,Y,972,2901,0.241,W5
2022,50415085,64138351,INTERNATIONAL,11,3,Marriage,Other,Employer,1640,-39,1L_3L,3L_6L,Secondary,OCI,Y,3431,3528,4.597,W5
2021,52107894,43212181,INTERSTATE,59,8,Employment,Employer,Rented,2690,0,gt_10L,lt_1L,Graduate,Foreign_National,N,2637,2930,2.318,W5
2025,47177203,97196807,INTERNATIONAL,48,5,Housing,Owned,Employer,1991,123,1L_3L,gt_10L,Graduate,OCI,Y,2838,3138,2.863,W5
2022,99623595,59420351,INTRASTATE,31,3,Family,Employer,Owned,1151,176,1L_3L,gt_10L,No_schooling,Foreign_National,Y,92,210,1.817,W1
2017,76654365,65190436,INTERNATIONAL,8,9,Climate,Informal,Informal,152,57,lt_1L,lt_1L,No_schooling,Other,Y,4868,998,4.892,W1
2016,21927832,86464214,INTRASTATE,3,10,Marriage,Owned,Other,2600,21,lt_1L,gt_10L,Postgraduate,Indian_Citizen,N,345,1210,0.499,W3
2022,61190932,69036325,INTERNATIONAL,6,10,Marriage,Rented,Employer,1804,160,6L_10L,1L_3L,Primary,OCI,N,2418,2651,1.485,W3
2024,20419213,19456803,INTERSTATE,3,4,Other,Other,Owned,2533,-56,gt_10L,gt_10L,Higher_secondary,OCI,N,1383,4132,0.556,W5
2025,81245776,57376479,INTERNATIONAL,20,2,Employment,Informal,Owned,729,51,gt_10L,6L_10L,Primary,OCI,Y,1307,2064,1.863,W5
2024,76779195,95004281,INTERSTATE,50,6,Employment,Rented,Rented,1508,8,1L_3L,6L_10L,Graduate,Foreign_National,Y,1203,4819,4.479,W4
2020,25705872,59553653,INTRASTATE,61,6,Housing,Other,Other,347,147,3L_6L,lt_1L,Graduate,Other,Y,1333,4115,3.86,W3
2020,58413061,52031315,INTERNATIONAL,65,6,Marriage,Rented,Informal,1304,29,3L_6L,gt_10L,No_schooling,Indian_Citizen,Y,3636,3731,2.482,W4
2019,67070487,93668854,INTRASTATE,88,9,Other,Rented,Rented,1264,154,gt_10L,lt_1L,Secondary,OCI,N,1363,4612,2.204,W5
2018,41264904,74344059,INTERSTATE,60,7,Other,Informal,Other,2280,132,6L_10L,6L_10L,Secondary,Foreign_National,N,4488,2140,4.824,W1
2016,22679148,55559377,INTRASTATE,75,7,Climate,Employer,Informal,2959,63,lt_1L,gt_10L,Secondary,Foreign_National,Y,3826,2431,3.962,W4
2017,48809583,62009762,INTERSTATE,23,9,Climate,Informal,Informal,2419,64,lt_1L,gt_10L,Postgraduate,Foreign_National,N,44,4734,1.881,W4
2018,51081899,93988335,INTRASTATE,75,2,Employment,Employer,Employer,919,-22,3L_6L,3L_6L,No_schooling,Indian_Citizen,Y,627,4873,3.41,W1
2023,96955659,33764147,INTRASTATE,20,5,Other,Informal,Owned,1147,8,6L_10L,1L_3L,Secondary,OCI,N,80,4351,2.236,W4
2016,49807141,67010185,INTERNATIONAL,2,4,Family,Informal,Other,2191,158,gt_10L,lt_1L,Secondary,Other,Y,552,3011,1.995,W4
2025,73811583,30378602,INTERNATIONAL,53,1,Marriage,Informal,Informal,2399,12,1L_3L,lt_1L,Primary,OCI,Y,4487,3028,1.936,W5
2021,76232241,89088596,INTERNATIONAL,32,6,Housing,Employer,Rented,2280,54,6L_10L,lt_1L,Secondary,OCI,Y,585,3958,1.66,W5
2017,89484593,30007014,INTERNATIONAL,74,2,Family,Other,Owned,1022,30,3L_6L,1L_3L,Postgraduate,OCI,Y,4759,2018,2.946,W5
2016,46097905,26518532,INTERSTATE,56,2,Housing,Other,Other,2222,101,1L_3L,1L_3L,Higher_secondary,Foreign_National,Y,3140,2716,1.098,W3
2025,21329349,20998745,INTERSTATE,34,9,Other,Employer,Other,931,37,1L_3L,1L_3L,No_schooling,Indian_Citizen,N,4068,597,4.221,W4
2022,64054763,98258564,INTERNATIONAL,79,9,Marriage,Informal,Informal,705,160,lt_1L,gt_10L,No_schooling,Indian_Citizen,Y,4603,981,3.083,W4
2018,34646857,10710126,INTERNATIONAL,1,2,Employment,Other,Owned,666,159,6L_10L,6L_10L,Graduate,Foreign_National,N,2881,4599,4.346,W3
2018,32411188,93907959,INTRASTATE,90,10,Employment,Informal,Employer,2563,145,lt_1L,6L_10L,Primary,Foreign_National,N,3921,2163,2.792,W4
2022,46374323,91196124,INTRASTATE,47,7,Education,Informal,Owned,1752,-59,lt_1L,gt_10L,Higher_secondary,Indian_Citizen,N,3776,1631,4.711,W4
2018,74121063,97508786,INTERSTATE,77,3,Housing,Employer,Employer,1427,27,6L_10L,lt_1L,Secondary,OCI,N,2485,3052,4.089,W2
2022,13760139,24185854,INTERSTATE,41,5,Housing,Other,Employer,2120,163,gt_10L,3L_6L,Graduate,OCI,Y,1883,3408,4.482,W5
2025,57015640,50226407,INTERNATIONAL,67,6,Employment,Employer,Informal,2028,33,lt_1L,1L_3L,Secondary,Foreign_National,Y,2787,1914,1.058,W1
2018,72891099,79739227,INTERSTATE,35,2,Housing,Rented,Employer,935,30,gt_10L,lt_1L,Primary,Foreign_National,N,3402,224,4.795,W4
2023,24515206,22471896,INTERSTATE,61,8,Housing,Rented,Rented,532,-36,lt_1L,1L_3L,Primary,Other,Y,4717,541,1.53,W4
2022,78693519,77485103,INTRASTATE,16,5,Education,Rented,Rented,850,180,6L_10L,6L_10L,Graduate,Other,Y,4236,1106,3.195,W2
2024,78894266,29336156,INTERSTATE,65,2,Marriage,Informal,Owned,2221,170,lt_1L,gt_10L,No_schooling,Foreign_National,Y,4144,3541,4.769,W2
2024,94216913,57351313,INTRASTATE,87,10,Marriage,Informal,Informal,350,14,gt_10L,lt_1L,Postgraduate,Indian_Citizen,N,4836,2554,1.314,W1
2017,96220174,18040885,INTERSTATE,44,5,Climate,Other,Other,1874,176,gt_10L,lt_1L,No_schooling,Foreign_National,Y,4097,4103,0.722,W5
2018,10310881,76441597,INTERSTATE,35,6,Employment,Employer,Informal,1366,-33,gt_10L,6L_10L,Primary,Other,N,2109,385,2.334,W3
2018,94689976,86937294,INTERNATIONAL,62,3,Employment,Other,Rented,2111,156,6L_10L,3L_6L,Primary,OCI,Y,2613,3953,1.509,W4
2017,40835424,73936449,INTRASTATE,0,2,Climate,Employer,Informal,1373,-34,gt_10L,6L_10L,Postgraduate,Other,N,2392,4677,2.827,W3
2017,92191220,49536395,INTERNATIONAL,47,8,Housing,Other,Owned,369,-20,gt_10L,6L_10L,No_schooling,Foreign_National,N,585,1673,0.794,W3
2020,96913407,95342344,INTERSTATE,67,7,Marriage,Owned,Other,518,-7,lt_1L,1L_3L,Graduate,Indian_Citizen,N,312,3096,1.296,W4
2025,81908794,74182352,INTERNATIONAL,68,7,Other,Other,Other,562,-18,gt_10L,3L_6L,Higher_secondary,Foreign_National,N,299,2158,3.094,W4
2025,44638378,14458492,INTERNATIONAL,33,6,Housing,Owned,Informal,734,2,1L_3L,lt_1L,No_schooling,OCI,N,3534,3014,3.991,W4
2018,85156325,87540514,INTERSTATE,30,7,Climate,Other,Informal,2014,-33,1L_3L,1L_3L,Primary,Other,Y,1528,895,2.883,W5
2017,91022884,86396933,INTERNATIONAL,17,9,Other,Owned,Informal,1907,168,6L_10L,6L_10L,Higher_secondary,OCI,Y,4360,1622,1.475,W4
2016,21829095,47562514,INTERNATIONAL,15,2,Housing,Informal,Owned,629,29,lt_1L,1L_3L,Primary,Foreign_National,N,4571,4484,4.788,W3
2019,66867299,40830169,INTERNATIONAL,15,3,Other,Rented,Informal,722,-48,lt_1L,6L_10L,Primary,Indian_Citizen,N,4711,305,4.203,W3
2019,64531014,44743939,INTRASTATE,39,9,Marriage,Rented,Other,1973,43,gt_10L,3L_6L,Higher_secondary,OCI,Y,4902,3799,0.266,W3
2022,14784601,11052410,INTERSTATE,71,4,Employment,Rented,Rented,2198,42,6L_10L,3L_6L,Secondary,Other,Y,1458,4162,3.454,W5
2020,86473153,43307116,INTERNATIONAL,14,4,Housing,Rented,Other,691,81,gt_10L,lt_1L,No_schooling,Foreign_National,N,2416,1659,2.161,W3
2025,48081257,89652469,INTRASTATE,31,5,Climate,Rented,Employer,1138,-44,3L_6L,lt_1L,Higher_secondary,Other,N,2515,4509,4.573,W5
2023,79779565,36969166,INTERNATIONAL,10,10,Housing,Rented,Rented,532,158,1L_3L,6L_10L,No_schooling,OCI,N,194,4747,4.368,W4
