soc_poverty_reference_year,soc_poverty_country_iso2,soc_poverty_region_nuts_code,soc_poverty_age_group,soc_poverty_sex,soc_poverty_equivalised_disposable_income_eur,soc_poverty_median_income_eur,soc_poverty_at_risk_of_poverty_rate_pct,soc_poverty_severe_material_deprivation_rate_pct,soc_poverty_low_work_intensity_rate_pct,soc_poverty_arope_rate_pct,soc_poverty_gini_coefficient,soc_poverty_in_work_poverty_rate_pct,soc_poverty_housing_cost_overburden_rate_pct,soc_poverty_energy_poverty_rate_pct,soc_poverty_social_transfer_impact_pp,soc_poverty_minimum_income_adequacy_index,soc_poverty_eurostat_table_code,soc_poverty_survey_weight,soc_poverty_data_extract_date
2014,FR,SI17,25-49,M,9670.29,15224.87,9.82,2.31,9.12,11.4,20.62,14.73,5.33,6.21,10.55,0.5929,ilc_li02,3.2589,2024-11-01
2015,IT,CY74,65+,F,22021.37,18820.44,8.28,11.85,14.02,16.1,21.67,14.87,20.44,9.22,10.7,0.6808,ilc_lvho07,0.3242,2024-02-14
2016,NL,PL21,18-24,T,14609.79,20080.78,7.51,6.26,11.7,14.04,39.8,11.91,12.97,4.6,11.86,0.8947,ilc_di12,1.1847,2024-08-21
2017,SI,SI759,50-64,M,22083.48,26521.16,18.3,9.09,4.06,23.83,36.87,5.19,20.71,19.87,11.39,0.8907,ilc_lvhl11,1.6999,2024-04-13
2018,BG,ES629,0-17,F,26634.55,20474.58,28.82,5.16,14.73,36.52,24.51,5.9,3.32,16.33,7.85,0.7434,ilc_peps01n,2.2509,2024-04-05
2019,EE,CZ34,25-49,T,18843.9,14976.34,18.65,6.93,17.16,23.19,30.13,4.66,16.51,13.62,6.43,0.3231,ilc_li02,1.5464,2025-04-13
2020,HU,SK532,65+,M,18476.99,20621.72,19.79,5.87,11.71,24.38,30.55,7.17,20.08,12.26,4.51,0.9468,ilc_lvho07,0.9624,2025-10-31
2021,LU,PL68,18-24,F,11180.88,11192.92,28.26,10.49,7.86,35.99,35.8,4.71,15.8,4.31,7.79,0.8532,ilc_di12,3.0225,2024-09-20
2022,RO,MT316,50-64,T,9858.2,10758.5,16.94,4.19,3.47,18.99,22.95,13.39,12.0,7.48,10.55,0.648,ilc_lvhl11,3.1264,2024-07-22
2023,AT,ES3,0-17,M,13843.38,15085.59,15.28,5.12,14.84,21.35,35.86,9.53,11.48,4.94,16.14,0.7274,ilc_peps01n,3.0819,2025-11-25
2024,CZ,SI91,25-49,F,25478.12,19244.05,9.88,3.19,9.35,11.07,34.36,6.15,18.31,10.24,16.18,0.5445,ilc_li02,2.546,2026-01-03
2025,DE,CY369,65+,T,19299.75,19207.92,14.5,11.75,16.43,23.89,35.08,9.23,6.51,16.38,4.12,0.6199,ilc_lvho07,2.8576,2025-12-19
2026,LV,SK6,18-24,M,24040.58,29769.09,25.39,0.71,6.05,28.88,39.8,2.63,4.29,12.05,10.47,0.2994,ilc_di12,0.6431,2025-12-02
2010,PL,BE899,50-64,F,7719.15,9544.49,24.33,11.26,13.76,33.01,25.36,13.47,7.25,6.11,6.54,0.8988,ilc_lvhl11,1.713,2024-03-09
2011,ES,CZ6,0-17,T,16514.0,18211.98,27.24,1.7,16.76,30.79,21.02,8.69,6.45,20.07,3.58,0.4618,ilc_peps01n,0.6797,2024-07-27
2012,HR,BG122,25-49,M,29117.45,31286.64,26.98,7.1,9.13,29.77,28.29,2.75,7.49,19.14,7.4,0.5971,ilc_li02,3.4939,2024-10-21
2013,FI,DE59,65+,F,17785.55,14016.3,8.1,5.97,6.12,10.81,38.15,7.16,10.33,12.47,9.24,0.369,ilc_lvho07,1.6551,2026-02-08
2014,IE,BG741,18-24,T,16564.31,14120.42,20.28,6.2,4.84,21.33,31.29,15.64,7.77,23.72,10.69,0.933,ilc_di12,0.4711,2025-04-05
2015,MT,FR422,50-64,M,17400.33,15177.08,22.71,12.14,11.83,28.65,36.61,10.39,7.88,12.76,16.8,0.9271,ilc_lvhl11,0.7234,2024-02-14
2016,SK,AT6,0-17,F,13743.9,18875.73,6.92,7.99,15.46,13.46,36.68,4.73,11.63,2.76,14.45,0.7657,ilc_peps01n,2.9083,2025-02-01
2017,BE,DK1,25-49,T,32549.46,26433.92,13.48,0.93,3.58,14.42,24.26,2.98,10.98,20.35,6.94,0.4809,ilc_li02,3.4088,2025-10-27
2018,DK,CY190,65+,M,7377.78,10475.48,27.91,3.46,5.8,31.51,38.82,13.29,7.89,15.25,4.69,0.2418,ilc_lvho07,0.4104,2024-02-21
2019,GR,IT1,18-24,F,19591.79,14871.36,16.86,7.11,8.64,22.12,23.98,6.77,4.57,1.89,3.94,0.8387,ilc_di12,1.5449,2024-08-05
2020,LT,HU201,50-64,T,25658.05,28905.43,22.13,6.15,8.28,25.47,20.75,6.99,13.63,4.99,7.06,0.467,ilc_lvhl11,1.9317,2025-03-11
2021,PT,LV683,0-17,M,16802.93,23076.54,26.1,10.66,8.73,30.26,35.52,9.19,19.83,13.3,9.58,0.5807,ilc_peps01n,0.5337,2024-09-03
2022,SE,CZ24,25-49,F,23639.93,32540.73,18.71,3.72,2.0,18.14,33.27,12.96,17.12,23.48,6.45,0.2677,ilc_li02,2.2294,2024-10-13
2023,CY,RO28,65+,T,15004.29,12106.79,9.24,5.31,7.34,13.59,30.36,9.49,19.53,4.52,4.62,0.8631,ilc_lvho07,2.7952,2025-04-29
2024,FR,RO96,18-24,M,36613.85,27749.44,18.67,5.7,10.28,23.27,35.55,11.59,14.3,16.02,10.13,0.6141,ilc_di12,3.3,2024-08-14
2025,IT,NL212,50-64,F,28882.71,22476.61,13.56,3.21,14.59,18.3,34.77,7.65,20.95,22.38,16.62,0.6579,ilc_lvhl11,0.566,2025-01-04
2026,NL,CY120,0-17,T,23743.16,26060.28,24.35,11.01,9.29,32.71,34.15,12.21,19.63,3.47,17.19,0.1516,ilc_peps01n,1.1335,2025-01-23
2010,SI,PT726,25-49,M,15492.65,13816.33,15.76,4.45,2.42,16.01,30.2,3.51,11.53,13.1,8.8,0.4669,ilc_li02,2.4245,2024-12-18
2011,BG,MT8,65+,F,29685.65,24767.8,31.41,9.19,14.96,38.99,26.11,2.36,5.64,20.74,17.04,0.4426,ilc_lvho07,1.6213,2026-02-18
2012,EE,IE56,18-24,T,28802.97,23100.02,24.88,7.21,11.99,28.13,23.49,14.18,11.4,13.25,8.47,0.7838,ilc_di12,1.2945,2024-02-04
2013,HU,ES677,50-64,M,28489.61,21474.49,30.14,6.92,10.41,37.0,35.64,6.79,3.64,11.56,3.02,0.3633,ilc_lvhl11,1.2278,2025-04-02
2014,LU,LV53,0-17,F,10042.01,14402.46,22.38,8.49,4.9,25.96,25.12,5.85,5.58,18.37,9.57,0.5032,ilc_peps01n,0.3668,2024-07-08
2015,RO,LT72,25-49,T,40423.7,30292.66,31.9,10.08,9.47,36.35,36.0,10.57,13.54,19.79,16.53,0.5242,ilc_li02,1.416,2025-10-07
2016,AT,LU23,65+,M,6323.87,10021.62,29.78,9.83,6.53,35.66,24.49,4.04,12.58,16.71,5.37,0.5311,ilc_lvho07,3.2687,2025-11-03
2017,CZ,EE51,18-24,F,32953.27,31156.38,28.71,5.42,6.19,31.7,41.34,5.24,11.75,10.67,13.98,0.8515,ilc_di12,0.7335,2025-08-09
2018,DE,IT495,50-64,T,16080.98,16524.21,24.63,10.79,9.09,32.25,30.73,3.13,16.48,21.19,16.64,0.3784,ilc_lvhl11,0.7064,2025-08-09
2019,LV,RO20,0-17,M,42018.01,31595.15,27.24,7.12,6.99,29.37,33.2,4.81,6.76,6.04,14.81,0.3278,ilc_peps01n,2.7266,2024-02-20
2020,PL,GR38,25-49,F,26566.45,21915.68,27.23,10.02,12.59,34.2,21.98,6.38,5.03,21.92,17.69,0.8978,ilc_li02,0.6121,2025-08-20
2021,ES,MT35,65+,T,23474.62,23086.13,30.96,9.35,9.36,34.91,32.73,4.29,10.15,1.89,12.32,0.7766,ilc_lvho07,0.7502,2024-10-08
2022,HR,PT969,18-24,M,31524.13,30807.11,25.15,4.44,12.96,29.55,32.11,6.05,16.35,11.5,16.99,0.5225,ilc_di12,2.8927,2024-12-05
2023,FI,HU7,50-64,F,16384.29,27647.15,16.93,1.56,11.36,20.82,33.03,11.23,8.69,19.51,8.91,0.6958,ilc_lvhl11,1.151,2026-02-25
2024,IE,SE59,0-17,T,26908.63,33248.95,24.52,11.42,1.76,30.09,37.45,10.4,3.84,4.94,13.0,0.1986,ilc_peps01n,1.456,2025-02-08
2025,MT,IT786,25-49,M,24494.35,21757.95,10.3,6.42,6.28,13.77,24.21,11.3,16.67,15.61,15.91,0.8471,ilc_li02,1.0988,2024-09-14
2026,SK,EE730,65+,F,22942.84,20164.13,14.72,6.07,5.42,18.16,29.65,7.52,15.57,7.57,16.09,0.2262,ilc_lvho07,2.4207,2024-10-16
2010,BE,SI32,18-24,T,17122.05,26870.67,26.44,5.0,16.18,30.34,36.2,5.47,6.47,15.96,3.24,0.7117,ilc_di12,0.8197,2024-08-20
2011,DK,BG24,50-64,M,15573.29,14051.64,28.76,8.26,14.88,33.7,20.2,14.63,7.0,23.39,5.78,0.6374,ilc_lvhl11,2.8777,2025-03-19
2012,GR,LV292,0-17,F,33056.5,25722.01,12.85,1.29,1.9,12.15,20.11,11.39,9.39,22.96,16.94,0.4317,ilc_peps01n,3.2206,2026-01-16
2013,LT,RO4,25-49,T,31338.08,31349.83,30.64,1.34,2.98,31.77,29.7,12.1,16.56,23.08,3.84,0.2508,ilc_li02,0.8405,2025-02-16
2014,PT,DE3,65+,M,15518.06,28172.61,31.35,11.38,17.45,40.99,28.36,6.24,13.55,5.36,10.34,0.415,ilc_lvho07,1.5037,2026-02-01
2015,SE,LT44,18-24,F,13777.84,23015.95,24.7,7.93,15.13,32.77,22.92,4.11,9.89,2.89,8.83,0.3803,ilc_di12,0.8057,2024-09-30
2016,CY,NL46,50-64,T,23850.59,20299.19,7.99,12.1,9.7,13.12,35.66,5.42,15.49,15.28,5.55,0.5864,ilc_lvhl11,1.8071,2024-08-27
2017,FR,LV464,0-17,M,32905.22,24710.44,27.6,3.42,13.71,31.73,28.33,11.7,15.78,7.16,5.92,0.2961,ilc_peps01n,1.5087,2024-11-30
2018,IT,PT762,25-49,F,39775.62,29834.12,12.17,2.34,15.89,16.07,34.48,4.67,16.98,5.72,9.48,0.5207,ilc_li02,2.5909,2024-05-23
2019,NL,EE722,65+,T,10129.6,16878.5,23.71,1.91,10.66,25.9,24.13,5.83,14.05,5.31,3.57,0.7811,ilc_lvho07,2.8924,2024-05-22
2020,SI,RO253,18-24,M,14471.33,14161.21,20.32,6.11,2.35,22.47,33.0,6.13,17.95,12.14,9.29,0.4967,ilc_di12,2.0415,2024-09-13
2021,BG,PL3,50-64,F,12727.63,17706.56,21.28,7.65,13.4,26.04,23.12,10.34,12.11,19.7,8.18,0.2879,ilc_lvhl11,3.0237,2024-05-24
2022,EE,SK265,0-17,T,19655.74,25068.26,26.91,8.41,1.44,28.36,33.3,10.56,13.16,10.37,4.52,0.2895,ilc_peps01n,2.0886,2024-12-03
2023,HU,LT7,25-49,M,24568.19,18268.38,11.75,1.07,17.65,15.48,34.15,8.35,19.88,13.8,10.03,0.7629,ilc_li02,0.4648,2024-07-29
2024,LU,BG543,65+,F,41037.98,32371.91,12.18,11.77,10.7,19.14,37.13,14.36,5.76,21.57,8.78,0.3054,ilc_lvho07,2.4862,2025-11-27
2025,RO,MT3,18-24,T,12644.38,22722.46,6.41,0.96,5.05,5.93,32.97,12.25,19.11,15.28,3.52,0.3102,ilc_di12,1.434,2024-03-01
2026,AT,IE9,50-64,M,14621.01,15178.06,31.93,10.74,7.72,35.64,22.53,15.06,12.93,4.19,4.16,0.4749,ilc_lvhl11,1.5125,2024-04-24
2010,CZ,DK57,0-17,F,12122.3,20986.97,24.58,10.12,8.64,28.3,37.17,14.4,10.43,3.02,3.56,0.8099,ilc_peps01n,1.4693,2025-08-27
2011,DE,GR8,25-49,T,36588.48,28463.86,15.43,7.02,14.32,20.28,36.17,15.39,10.97,21.63,17.12,0.2315,ilc_li02,0.436,2025-03-30
2012,LV,LV99,65+,M,12727.86,16006.32,10.8,11.71,14.48,17.92,32.94,9.91,11.53,16.71,11.05,0.9151,ilc_lvho07,1.6158,2026-02-23
2013,PL,FI926,18-24,F,15606.45,15387.05,13.48,2.61,14.89,16.74,26.53,7.66,12.86,4.32,7.37,0.5055,ilc_di12,3.0158,2026-01-19
2014,ES,IT526,50-64,T,22453.22,21869.42,14.04,6.82,6.08,17.11,35.18,10.9,10.0,8.64,12.58,0.1649,ilc_lvhl11,0.3858,2025-10-16
2015,HR,PL2,0-17,M,22731.91,20759.02,9.83,3.96,17.52,16.0,20.33,11.38,5.17,18.63,4.64,0.4766,ilc_peps01n,3.4856,2025-01-24
2016,FI,DE7,25-49,F,29657.56,29702.84,25.24,9.43,4.43,29.76,28.65,13.31,20.14,5.9,14.4,0.3114,ilc_li02,1.3012,2024-12-03
2017,IE,HR916,65+,T,40396.02,31959.22,16.0,1.68,10.6,17.84,34.62,5.98,5.95,16.3,3.87,0.8353,ilc_lvho07,0.4215,2025-01-09
2018,MT,HR32,18-24,M,14553.8,20522.63,21.95,1.08,15.98,25.23,29.66,12.25,19.15,1.66,4.16,0.8023,ilc_di12,2.3585,2024-12-31
2019,SK,HR246,50-64,F,5924.19,9695.08,22.73,3.4,12.23,28.48,27.91,7.18,16.84,5.98,9.06,0.2496,ilc_lvhl11,1.2599,2024-12-12
2020,BE,RO71,0-17,T,15639.05,14431.53,24.67,9.81,6.86,29.78,38.76,5.9,18.22,14.05,4.0,0.9325,ilc_peps01n,2.8211,2025-11-20
2021,DK,BG1,25-49,M,24136.47,24107.89,16.29,9.5,12.19,21.4,33.88,10.54,8.14,21.53,4.39,0.2468,ilc_li02,1.5101,2025-02-15
2022,GR,IT6,65+,F,16456.93,19482.5,26.85,1.7,16.87,29.83,24.68,12.41,3.78,23.08,11.27,0.7769,ilc_lvho07,2.5556,2025-10-06
2023,LT,AT471,18-24,T,19699.08,32904.54,28.66,5.91,12.4,35.56,23.25,11.6,14.3,7.06,8.93,0.165,ilc_di12,3.1282,2026-01-01
2024,PT,LU98,50-64,M,30326.12,24239.52,29.25,4.31,10.64,32.04,34.67,9.0,3.09,6.17,17.49,0.7001,ilc_lvhl11,1.2439,2024-04-19
2025,SE,CZ25,0-17,F,9400.93,14010.5,13.67,6.65,9.26,20.21,36.52,9.79,15.43,10.82,5.91,0.1961,ilc_peps01n,1.1438,2024-05-27
2026,CY,CZ8,25-49,T,35172.6,33726.31,13.14,8.64,10.02,19.89,26.52,3.67,17.83,18.18,7.84,0.8457,ilc_li02,2.7092,2024-01-02
2010,FR,IE4,65+,M,36291.32,33717.27,15.54,1.62,14.9,20.23,31.89,11.86,17.31,14.55,6.11,0.4349,ilc_lvho07,2.8945,2024-07-05
2011,IT,DK8,18-24,F,26682.27,32710.75,11.64,7.04,12.48,16.4,26.54,12.64,20.91,16.53,14.85,0.6969,ilc_di12,1.0956,2024-06-07
2012,NL,SE359,50-64,T,30576.61,29428.44,11.12,5.09,5.85,15.16,33.13,14.86,8.27,6.38,14.66,0.7371,ilc_lvhl11,3.2175,2024-08-20
2013,SI,SK50,0-17,M,21293.77,27465.78,13.41,10.57,13.75,20.65,28.81,12.99,16.8,15.92,3.52,0.3797,ilc_peps01n,1.386,2024-10-30
2014,BG,FR67,25-49,F,17701.47,21920.75,10.94,12.43,6.21,16.07,25.49,2.25,13.15,14.49,14.29,0.4695,ilc_li02,2.2248,2025-06-28
2015,EE,GR7,65+,T,21579.0,27182.63,30.68,2.69,14.72,33.32,23.12,2.72,18.06,23.0,17.17,0.5379,ilc_lvho07,3.2698,2025-05-31
2016,HU,SI84,18-24,M,26209.86,20713.02,6.48,3.9,1.27,8.33,30.55,3.49,7.5,4.1,12.65,0.2305,ilc_di12,0.9426,2024-04-19
2017,LU,DK9,50-64,F,14912.83,17524.85,20.57,10.75,11.6,28.88,22.58,3.53,18.98,1.15,5.26,0.2722,ilc_lvhl11,0.6062,2024-01-22
2018,RO,IE753,0-17,T,25435.76,25067.72,14.31,6.26,11.37,21.39,38.92,11.74,12.57,19.16,17.04,0.6285,ilc_peps01n,2.4729,2025-11-20
2019,AT,PT25,25-49,M,32030.95,33474.03,28.48,8.05,8.52,35.28,24.67,10.83,17.43,18.87,14.94,0.5413,ilc_li02,0.7528,2025-05-05
2020,CZ,AT8,65+,F,10324.35,12726.64,9.75,7.86,1.58,12.26,20.15,13.21,11.98,5.32,5.95,0.9484,ilc_lvho07,1.1891,2024-03-28
2021,DE,MT181,18-24,T,16714.73,22406.51,24.08,4.21,6.12,28.96,28.49,4.64,20.23,21.3,6.28,0.8947,ilc_di12,1.075,2025-05-18
2022,LV,FR96,50-64,M,15572.24,14389.76,24.37,11.57,14.32,31.3,30.76,2.04,10.61,8.31,12.06,0.4019,ilc_lvhl11,3.5279,2025-12-28
2023,PL,FR3,0-17,F,26575.28,23779.98,21.33,2.58,15.7,26.2,37.5,5.55,13.1,7.28,3.17,0.3986,ilc_peps01n,0.4986,2024-03-04
2024,ES,RO467,25-49,T,18957.76,27934.19,12.99,5.83,7.28,17.9,27.91,15.65,17.69,2.3,5.54,0.5243,ilc_li02,1.8899,2025-06-12
2025,HR,FR746,65+,M,21484.45,22115.06,14.62,7.1,17.27,20.91,33.66,13.23,11.73,20.55,7.34,0.3328,ilc_lvho07,2.7105,2024-01-27
2026,FI,DE47,18-24,F,12665.33,16185.97,25.06,8.52,15.97,31.25,30.17,7.01,15.83,6.86,17.46,0.7118,ilc_di12,0.7041,2024-04-10
2010,IE,HR23,50-64,T,15491.95,12525.25,19.17,12.46,4.11,22.29,41.37,7.48,3.76,23.97,17.53,0.4844,ilc_lvhl11,1.6551,2024-07-08
2011,MT,HU18,0-17,M,17032.71,27036.43,7.36,1.82,2.05,9.03,29.82,14.08,16.65,18.94,13.57,0.6667,ilc_peps01n,3.4649,2024-06-23
2012,SK,LV404,25-49,F,27105.29,28900.69,23.78,5.04,12.13,28.16,25.18,5.48,5.19,21.52,11.3,0.3218,ilc_li02,1.7625,2025-06-21
2013,BE,CY821,65+,T,10627.68,13754.64,27.66,5.59,8.15,34.02,22.77,3.66,7.74,14.13,12.99,0.9243,ilc_lvho07,2.3025,2025-05-02
2014,DK,IE99,18-24,M,9414.6,10108.16,26.82,6.01,3.06,30.82,40.54,6.9,13.96,16.26,13.65,0.1665,ilc_di12,1.7234,2024-09-02
2015,GR,BG69,50-64,F,8724.89,12715.84,24.39,7.0,12.93,32.33,37.06,3.81,3.1,4.26,16.43,0.7411,ilc_lvhl11,0.3088,2024-03-14
2016,LT,FI820,0-17,T,8924.18,10836.19,14.98,1.84,14.63,18.0,40.51,5.1,14.09,23.72,10.15,0.4188,ilc_peps01n,1.1049,2025-05-10
2017,PT,FI19,25-49,M,10928.51,18955.99,15.11,7.02,4.89,18.74,25.68,13.4,6.32,23.49,5.82,0.5935,ilc_li02,2.761,2025-08-05
2018,SE,IT28,65+,F,29031.17,30824.15,6.16,3.59,13.51,8.62,35.7,2.28,4.74,11.12,6.13,0.8936,ilc_lvho07,1.4274,2024-10-02
2019,CY,NL14,18-24,T,8819.34,11528.36,25.94,7.85,1.27,31.34,29.66,10.03,12.05,14.09,6.35,0.6299,ilc_di12,2.6243,2025-10-13
2020,FR,FR7,50-64,M,19228.84,20456.6,26.41,0.89,10.32,30.36,29.17,2.64,3.04,17.8,15.01,0.7282,ilc_lvhl11,2.8968,2024-06-03
2021,IT,PL408,0-17,F,20201.95,15207.18,27.41,4.56,1.89,29.07,29.37,5.31,4.87,20.5,17.61,0.3004,ilc_peps01n,1.3427,2024-06-23
2022,NL,LV355,25-49,T,15017.44,15409.35,27.14,5.97,9.36,31.87,23.38,13.48,5.75,8.5,8.9,0.6307,ilc_li02,3.0003,2025-04-02
2023,SI,HR663,65+,M,18638.32,20147.94,20.97,8.34,5.27,27.65,39.63,6.13,6.33,2.83,8.84,0.8211,ilc_lvho07,3.5117,2025-06-13
2024,BG,MT26,18-24,F,30108.05,25001.23,28.8,2.44,13.47,34.08,29.76,4.58,5.73,9.98,6.74,0.2141,ilc_di12,3.3931,2024-06-25
2025,EE,LV36,50-64,T,15516.55,21780.02,14.5,10.24,6.36,18.59,36.64,4.36,3.57,4.38,17.27,0.6029,ilc_lvhl11,2.8249,2025-11-21
2026,HU,PL921,0-17,M,10785.69,11463.96,27.65,11.48,5.16,34.47,38.01,8.08,8.41,6.25,9.12,0.6525,ilc_peps01n,2.2892,2024-11-11
2010,LU,HR690,25-49,F,20119.26,16814.97,12.52,10.8,7.43,19.04,31.71,15.16,8.6,13.21,4.55,0.6627,ilc_li02,1.6545,2026-02-05
2011,RO,SE53,65+,T,15683.1,14241.56,9.95,12.47,15.13,19.82,28.93,7.55,19.88,9.57,15.23,0.3176,ilc_lvho07,2.8895,2025-12-14
2012,AT,ES62,18-24,M,16264.92,18424.56,12.43,12.42,14.24,22.64,21.98,2.93,20.24,13.8,16.86,0.6593,ilc_di12,2.4809,2024-03-01
2013,CZ,LV49,50-64,F,20089.64,17454.51,6.88,3.35,12.79,13.11,29.17,15.83,16.57,8.85,13.67,0.495,ilc_lvhl11,2.739,2025-11-02
2014,DE,PL22,0-17,T,13352.83,14509.43,26.6,5.03,1.14,26.88,30.71,6.0,11.79,2.18,13.02,0.6853,ilc_peps01n,0.9404,2024-12-18
2015,LV,CZ2,25-49,M,30403.28,22540.77,23.34,10.29,14.93,28.18,36.4,10.68,16.92,19.95,12.88,0.2511,ilc_li02,1.9702,2025-05-20
2016,PL,DK351,65+,F,31178.55,28830.64,24.85,9.08,15.59,31.51,22.95,3.6,7.4,15.54,11.87,0.4846,ilc_lvho07,0.9959,2024-04-03
2017,ES,SK12,18-24,T,20567.76,20535.88,9.5,11.76,7.44,14.18,26.95,3.65,14.64,8.69,3.99,0.7932,ilc_di12,0.3826,2024-09-14
2018,HR,ES338,50-64,M,28814.08,23170.64,6.35,8.15,14.44,11.66,24.85,9.66,6.15,9.96,9.68,0.8171,ilc_lvhl11,2.9538,2025-03-20
2019,FI,RO6,0-17,F,13607.59,17839.55,25.31,7.02,16.74,33.28,24.37,12.37,14.85,5.89,6.57,0.5054,ilc_peps01n,3.186,2024-04-25
2020,IE,HU643,25-49,T,8510.35,11648.59,18.61,1.17,14.8,25.0,27.67,12.67,16.73,9.28,13.33,0.3138,ilc_li02,2.8678,2025-09-01
2021,MT,RO860,65+,M,40562.17,32246.39,22.98,9.95,17.67,31.4,34.57,7.88,19.38,5.29,15.88,0.2137,ilc_lvho07,2.9228,2024-02-04
2022,SK,GR3,18-24,F,20079.16,31692.44,14.08,2.12,16.15,20.93,27.89,8.77,8.48,12.59,6.29,0.559,ilc_di12,3.5322,2024-09-16
2023,BE,HU73,50-64,T,28498.4,23504.39,16.06,3.06,1.37,15.33,23.67,14.32,12.33,10.15,9.56,0.1837,ilc_lvhl11,1.6115,2025-11-08
2024,DK,CZ85,0-17,M,20955.59,22760.72,23.62,9.82,15.4,31.13,25.15,15.61,16.39,9.47,5.83,0.8443,ilc_peps01n,1.6854,2024-04-03
2025,GR,HU107,25-49,F,18168.68,22785.96,22.94,5.75,11.49,28.85,21.23,9.38,17.48,17.06,7.34,0.2895,ilc_li02,3.2688,2025-05-20
2026,LT,LU641,65+,T,27982.73,29823.54,18.84,10.72,10.54,25.99,25.92,15.56,15.97,3.9,11.14,0.4923,ilc_lvho07,2.418,2025-03-25
2010,PT,LT943,18-24,M,32590.71,27142.2,29.22,7.16,15.94,34.54,20.69,14.48,8.63,22.46,10.74,0.725,ilc_di12,3.0684,2024-02-29
2011,SE,PT173,50-64,F,18606.77,15028.35,12.46,9.04,5.28,16.01,24.77,10.81,18.18,15.12,16.21,0.2377,ilc_lvhl11,1.4583,2024-01-10
2012,CY,IE7,0-17,T,33390.7,32322.33,26.85,11.2,6.38,30.07,27.92,11.11,5.78,19.75,5.59,0.4783,ilc_peps01n,2.5807,2025-09-21
2013,FR,BG469,25-49,M,28910.77,27008.06,30.06,1.0,4.23,32.7,31.05,5.52,13.32,2.89,8.89,0.1809,ilc_li02,0.4067,2025-02-23
2014,IT,AT65,65+,F,32118.44,24928.64,18.91,7.78,7.35,23.16,34.81,13.65,7.21,7.37,7.52,0.281,ilc_lvho07,0.671,2024-10-26
2015,NL,DE631,18-24,T,11480.72,9848.7,20.79,3.83,17.35,24.5,32.94,8.23,18.32,5.97,8.54,0.2835,ilc_di12,0.7109,2025-04-07
2016,SI,LT842,50-64,M,7790.37,10623.78,16.33,2.94,7.85,19.44,22.65,8.41,8.05,12.36,4.41,0.8861,ilc_lvhl11,3.1704,2024-07-12
2017,BG,LV176,0-17,F,19363.14,19108.53,11.37,10.82,14.36,20.88,37.21,10.08,12.89,21.59,15.18,0.7981,ilc_peps01n,1.4443,2024-01-08
2018,EE,IE310,25-49,T,28605.85,26194.58,23.42,1.3,3.09,26.76,38.4,4.66,11.36,18.83,6.18,0.7724,ilc_li02,1.981,2024-08-19
2019,HU,IE5,65+,M,21669.77,21507.02,11.3,4.5,11.63,16.2,24.73,13.01,7.05,1.23,10.06,0.3018,ilc_lvho07,2.7644,2025-06-27
2020,LU,RO73,18-24,F,20293.2,30354.71,18.19,9.71,9.95,24.64,39.7,7.54,3.98,23.11,4.64,0.802,ilc_di12,1.1775,2024-02-13
2021,RO,RO97,50-64,T,10762.11,18961.19,18.17,2.19,14.12,21.9,22.48,7.27,16.16,10.57,9.74,0.7155,ilc_lvhl11,2.5324,2024-02-15
2022,AT,BG7,0-17,M,22608.1,28327.54,27.18,8.47,2.05,32.41,21.08,4.52,9.21,11.99,3.65,0.4141,ilc_peps01n,3.1839,2024-03-15
2023,CZ,IE690,25-49,F,22105.49,32895.57,16.26,8.63,11.07,23.21,24.97,11.02,17.92,6.37,15.92,0.1814,ilc_li02,1.8827,2024-04-05
2024,DE,SK686,65+,T,23616.48,27941.43,25.31,5.58,15.04,31.56,31.15,14.26,19.09,6.74,10.81,0.7925,ilc_lvho07,1.7067,2025-04-05
2025,LV,PT62,18-24,M,29348.72,32894.2,29.31,10.15,6.74,35.17,25.7,6.09,3.43,18.24,17.75,0.4351,ilc_di12,3.0591,2024-03-03
2026,PL,HR26,50-64,F,27415.88,31893.67,8.96,3.82,4.04,13.36,40.92,3.35,11.74,5.86,11.53,0.8592,ilc_lvhl11,2.2832,2025-05-21
2010,ES,BG35,0-17,T,16404.9,28329.09,23.16,8.87,17.61,29.4,33.33,14.57,12.47,13.84,15.81,0.4097,ilc_peps01n,0.921,2025-01-05
2011,HR,IE3,25-49,M,17513.58,16507.6,8.11,2.27,9.48,11.25,34.73,9.25,3.62,22.14,9.15,0.7154,ilc_li02,2.7344,2025-09-19
2012,FI,SE771,65+,F,11052.07,19548.52,16.34,8.35,3.44,20.04,24.76,15.11,7.93,22.77,16.46,0.2354,ilc_lvho07,3.3216,2024-10-18
2013,IE,DE182,18-24,T,15896.62,25367.52,9.22,5.41,3.84,12.88,37.1,14.94,20.81,14.85,8.23,0.9043,ilc_di12,0.3018,2025-03-14
2014,MT,AT242,50-64,M,28170.81,28562.53,13.47,4.19,7.79,17.23,26.59,7.06,11.52,9.72,15.76,0.2815,ilc_lvhl11,3.0004,2025-06-11
2015,SK,LT48,0-17,F,10610.26,13501.94,20.19,10.16,3.96,27.1,33.5,9.57,19.4,23.34,8.2,0.1721,ilc_peps01n,3.1408,2024-03-24
2016,BE,MT706,25-49,T,19041.61,21356.73,31.32,6.68,10.37,34.17,24.6,14.89,18.71,23.62,14.64,0.681,ilc_li02,2.1547,2024-05-31
