health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_socioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2023,SA0000517,ARTHRITIS,44.29,974.5,265.07,180.34,4.81,5.11,41.76,6.53,76.92,15.1,73.36,28.22,621.5,0.7705,0.1344,2000_US_STD,2.492
2021,SA0000518,CKD,24.73,1575.81,1116.92,415.97,0.12,25.79,18.64,13.72,40.35,61.0,80.16,52.75,768.64,0.2662,0.8792,2000_US_STD,0.209
2011,SA0000519,ARTHRITIS,32.81,1024.82,608.32,497.96,2.94,19.62,30.64,5.68,73.38,79.9,83.48,30.45,37.25,0.667,0.0722,2000_US_STD,2.071
2021,SA0000520,CAD,28.42,40.73,644.49,758.35,6.47,22.44,26.38,7.73,57.12,61.8,64.22,81.84,208.79,0.4206,0.9903,2000_US_STD,1.029
2010,SA0000521,CANCER,6.93,1233.31,569.32,253.76,1.32,13.2,24.81,4.8,73.8,35.1,72.9,73.66,93.13,0.3897,0.2143,2010_US_STD,5.53
2020,SA0000522,CANCER,30.55,898.41,777.54,637.28,5.68,15.84,42.5,7.17,57.03,28.7,71.58,74.9,167.01,0.8078,0.2774,WHO_STD,1.012
2024,SA0000523,CAD,7.41,936.34,137.52,764.85,7.91,5.86,39.36,14.66,55.36,34.1,61.86,28.56,759.82,0.4454,0.0318,2000_US_STD,1.023
2015,SA0000524,ASTHMA,6.83,250.32,74.31,358.32,2.94,23.5,18.32,5.05,42.13,12.8,45.43,52.94,559.58,0.0387,0.4046,WHO_STD,2.591
2023,SA0000525,STROKE,29.48,1652.25,154.49,138.31,1.02,26.47,20.6,7.82,61.53,77.5,86.41,65.43,455.95,0.9089,0.3409,2000_US_STD,1.678
2018,SA0000526,COPD,42.83,225.43,297.43,355.55,6.97,24.49,31.06,8.83,31.02,36.2,62.72,42.27,470.38,0.1454,0.1386,2000_US_STD,4.95
2024,SA0000527,STROKE,38.41,1187.73,113.86,389.52,3.26,5.8,35.94,10.22,44.76,57.6,88.99,28.38,682.96,0.655,0.2909,WHO_STD,0.451
2021,SA0000528,CANCER,43.11,1315.92,1169.39,140.85,0.86,14.91,21.16,3.83,69.43,2.3,87.07,68.18,811.65,0.1158,0.0875,2010_US_STD,0.368
2021,SA0000529,STROKE,43.36,267.74,767.62,535.81,6.26,24.56,46.56,16.93,56.22,69.2,49.03,88.06,492.3,0.7366,0.6675,2000_US_STD,4.58
2014,SA0000530,ARTHRITIS,32.49,532.35,779.46,566.45,5.74,15.41,29.6,11.89,42.57,89.9,47.74,21.44,450.46,0.4081,0.0821,2000_US_STD,4.172
2018,SA0000531,COPD,15.92,530.15,797.6,471.39,0.84,18.23,31.87,12.86,48.69,29.1,84.35,53.16,242.62,0.4801,0.6451,2010_US_STD,4.457
2015,SA0000532,COPD,14.81,748.2,138.05,615.01,2.65,3.84,36.18,8.16,58.69,34.7,48.73,33.27,746.35,0.2468,0.0551,2000_US_STD,2.378
2018,SA0000533,COPD,30.05,1054.89,1152.48,813.83,6.39,27.06,29.82,8.83,75.53,77.4,58.69,83.19,426.56,0.5593,0.1572,2010_US_STD,4.068
2018,SA0000534,CAD,36.83,1339.9,375.54,436.12,1.94,14.77,26.09,12.73,49.47,55.0,79.32,83.77,534.4,0.3118,0.5053,2010_US_STD,3.661
2015,SA0000535,STROKE,33.73,365.48,754.21,755.39,0.16,18.71,26.96,14.53,76.76,89.7,51.93,49.49,741.93,0.3687,0.5701,2010_US_STD,3.699
2012,SA0000536,ASTHMA,8.9,1505.37,476.07,547.42,7.19,26.11,16.93,4.82,40.74,22.2,63.0,75.19,274.49,0.2941,0.9355,2000_US_STD,4.818
2017,SA0000537,CANCER,1.44,408.4,489.68,116.11,7.16,15.64,12.05,6.2,42.15,61.1,77.6,61.73,234.38,0.7788,0.6947,WHO_STD,4.042
2015,SA0000538,HTN,36.78,1206.41,883.69,813.1,7.95,4.25,24.28,6.09,52.13,23.7,93.15,59.76,557.08,0.8704,0.484,2000_US_STD,4.54
2022,SA0000539,CANCER,21.58,497.93,562.58,321.33,0.96,21.26,24.08,7.16,46.28,54.2,78.07,20.41,79.22,0.0624,0.6773,WHO_STD,0.197
2013,SA0000540,DM2,6.19,1749.06,504.59,526.54,2.38,9.88,13.82,14.93,64.31,47.4,93.58,26.56,629.51,0.0237,0.1501,2010_US_STD,0.236
2017,SA0000541,DM2,14.37,1249.11,523.18,617.23,3.13,21.38,39.46,13.09,67.5,5.2,85.82,45.13,469.79,0.1791,0.822,WHO_STD,0.675
2010,SA0000542,DM2,29.0,1079.17,622.45,713.56,7.57,11.5,34.38,16.42,41.61,7.9,79.64,24.57,495.7,0.0642,0.106,WHO_STD,1.808
2015,SA0000543,CAD,35.28,1725.2,675.74,407.05,5.43,27.7,25.81,3.2,49.59,56.0,94.17,84.92,682.24,0.2445,0.8011,2000_US_STD,3.787
2014,SA0000544,ARTHRITIS,11.05,663.01,937.17,121.48,2.7,27.92,19.82,11.36,42.21,91.8,73.74,75.55,839.52,0.0624,0.9571,2000_US_STD,5.863
2010,SA0000545,ASTHMA,11.31,837.21,646.4,231.51,3.9,17.03,26.62,2.1,75.9,81.1,80.48,25.51,826.48,0.1738,0.8521,2000_US_STD,5.146
2015,SA0000546,CAD,11.12,1620.15,469.87,455.01,7.18,24.74,34.47,2.78,68.31,92.6,58.26,65.48,473.49,0.0677,0.0545,WHO_STD,1.81
2024,SA0000547,DM2,34.08,300.34,278.47,831.1,1.31,4.37,30.79,3.39,71.16,74.0,74.89,34.99,434.68,0.2257,0.9171,WHO_STD,1.639
2019,SA0000548,CANCER,5.67,115.96,1100.86,105.97,1.54,18.53,34.29,14.09,31.93,93.1,57.48,86.86,830.82,0.3084,0.4138,WHO_STD,5.144
2016,SA0000549,DEMENTIA,36.93,220.95,229.22,794.9,5.87,13.23,17.09,10.93,40.16,44.0,53.91,42.57,866.53,0.3753,0.2652,2010_US_STD,5.468
2012,SA0000550,COPD,41.44,95.07,417.18,578.38,0.52,7.97,17.98,13.89,66.71,71.2,67.96,47.72,225.19,0.4717,0.1854,2010_US_STD,5.643
2022,SA0000551,COPD,25.28,475.21,562.14,501.34,5.5,13.95,14.61,7.51,51.68,39.4,82.91,71.65,761.33,0.668,0.0633,WHO_STD,5.769
2025,SA0000552,CKD,15.97,38.82,347.03,638.49,2.75,3.44,30.59,11.56,61.25,71.7,45.03,38.06,754.77,0.1855,0.6294,2010_US_STD,5.809
2018,SA0000553,ASTHMA,43.13,1476.67,201.8,461.57,4.57,5.05,40.76,15.94,70.74,7.7,56.76,81.41,267.03,0.064,0.6046,WHO_STD,1.924
2022,SA0000554,HTN,44.45,663.09,112.91,222.53,0.87,4.44,16.66,11.35,60.64,80.7,57.52,84.44,29.28,0.5209,0.7215,WHO_STD,4.834
2013,SA0000555,HTN,30.99,1059.57,540.15,290.6,0.28,19.34,28.58,11.25,51.74,78.4,80.34,25.23,478.62,0.6592,0.4266,2010_US_STD,0.078
2016,SA0000556,CKD,16.52,232.83,543.94,277.03,7.27,5.19,35.95,6.78,42.58,90.8,91.64,61.82,712.62,0.906,0.8595,2010_US_STD,4.364
2018,SA0000557,STROKE,11.42,153.94,1131.14,290.2,7.41,21.52,30.6,15.65,73.34,18.9,52.05,47.8,287.4,0.6502,0.4228,WHO_STD,5.418
2019,SA0000558,CAD,2.64,1412.11,701.59,704.22,5.88,21.52,28.8,16.11,44.84,78.2,85.17,45.21,714.71,0.2916,0.5298,WHO_STD,1.189
2019,SA0000559,HTN,43.64,60.83,505.17,87.24,0.66,25.37,14.29,5.53,45.03,50.1,84.75,80.68,489.58,0.4326,0.3388,2010_US_STD,0.292
2013,SA0000560,STROKE,14.16,1183.51,105.13,374.86,3.19,8.52,36.98,9.23,72.07,80.5,49.93,78.53,312.92,0.6268,0.6602,2000_US_STD,5.187
2025,SA0000561,ASTHMA,28.01,833.33,200.22,115.5,1.18,6.42,23.94,11.16,72.64,27.4,81.46,59.07,671.9,0.046,0.7884,2010_US_STD,3.153
2022,SA0000562,CKD,2.16,1093.81,174.94,372.73,4.73,3.02,36.46,5.04,53.91,60.9,71.29,64.78,637.33,0.2918,0.9805,WHO_STD,5.12
2010,SA0000563,COPD,14.09,256.27,1077.76,530.28,4.8,11.21,16.43,5.63,30.35,7.1,67.39,55.4,373.44,0.2533,0.601,2010_US_STD,0.547
2015,SA0000564,DEMENTIA,38.09,789.4,197.46,681.72,6.27,13.43,30.81,12.88,34.76,46.0,64.26,76.93,209.46,0.7605,0.9141,WHO_STD,1.96
2013,SA0000565,CAD,12.58,170.51,831.24,543.87,1.39,20.02,16.89,12.12,74.88,43.4,84.48,88.92,472.47,0.2374,0.1287,2010_US_STD,4.471
2022,SA0000566,DM2,20.86,688.05,534.6,494.69,3.98,10.08,41.05,8.52,41.59,83.1,53.1,89.7,284.19,0.0374,0.7304,WHO_STD,0.339
2025,SA0000567,DM2,4.98,135.26,138.37,488.12,7.04,13.81,41.13,9.18,74.82,93.3,93.76,67.24,858.09,0.4193,0.327,WHO_STD,0.518
2015,SA0000568,ARTHRITIS,36.09,1157.5,60.98,726.36,2.31,6.84,31.81,10.02,55.74,48.2,89.15,65.86,741.15,0.1526,0.2398,2010_US_STD,1.566
2017,SA0000569,STROKE,44.97,1120.91,883.76,121.01,4.15,14.17,42.03,13.81,42.22,55.2,49.27,26.71,286.44,0.0462,0.5597,2000_US_STD,0.726
2025,SA0000570,ASTHMA,41.52,74.33,1087.86,234.27,4.16,9.4,43.08,8.9,61.39,27.2,88.64,79.33,219.41,0.5144,0.4724,WHO_STD,3.775
2021,SA0000571,ARTHRITIS,5.72,1157.36,558.24,191.38,2.72,4.03,45.45,11.45,30.45,61.0,54.98,51.74,387.86,0.6935,0.1616,WHO_STD,4.325
2010,SA0000572,HTN,4.47,679.48,22.8,459.9,2.36,19.05,27.72,5.91,73.98,80.8,49.82,43.26,22.58,0.2791,0.1072,WHO_STD,5.892
2011,SA0000573,HTN,14.63,1138.21,1079.5,576.07,3.72,3.28,16.19,17.98,69.14,68.7,68.83,48.0,109.63,0.2646,0.1886,2000_US_STD,3.309
2017,SA0000574,DEMENTIA,8.49,204.51,234.69,863.7,5.36,20.14,39.17,2.93,34.1,77.8,74.87,25.87,524.4,0.6869,0.6874,2010_US_STD,3.369
2023,SA0000575,HTN,19.12,1406.72,165.15,534.28,6.12,23.95,35.28,3.56,52.14,62.6,49.38,70.47,605.82,0.0842,0.9237,2010_US_STD,0.093
2014,SA0000576,CANCER,14.38,1557.45,729.16,721.15,6.23,6.08,32.15,3.65,45.0,15.2,54.42,86.35,665.6,0.7123,0.3617,2010_US_STD,0.907
2023,SA0000577,CANCER,10.75,330.92,796.45,697.5,4.44,16.78,14.15,4.36,40.28,80.7,77.63,41.46,508.54,0.6811,0.2911,2000_US_STD,1.016
2015,SA0000578,ASTHMA,25.85,234.7,332.85,898.12,7.59,16.91,41.75,5.54,31.51,43.9,90.79,66.16,109.43,0.9561,0.9124,2000_US_STD,1.908
2019,SA0000579,ASTHMA,36.52,1741.7,74.28,887.21,2.49,7.72,14.95,7.75,31.62,0.5,48.29,76.95,19.94,0.6099,0.0387,2010_US_STD,3.488
2023,SA0000580,DM2,40.56,299.01,595.59,205.51,3.95,5.34,20.22,10.95,30.23,99.0,49.97,35.58,114.14,0.6807,0.3624,WHO_STD,1.549
2018,SA0000581,CKD,3.92,80.75,1099.23,890.68,3.2,26.7,47.18,7.62,64.44,43.3,71.94,81.97,387.2,0.365,0.9695,2000_US_STD,5.714
2020,SA0000582,CANCER,26.73,654.61,591.49,650.93,6.79,3.92,25.51,14.25,42.55,54.5,69.99,55.04,603.81,0.9434,0.1113,2010_US_STD,2.226
2012,SA0000583,STROKE,10.78,1519.34,233.53,470.79,1.84,24.8,17.0,2.76,45.84,49.9,79.37,52.81,341.72,0.2782,0.8852,2010_US_STD,3.825
2023,SA0000584,STROKE,27.7,1509.55,56.11,172.39,2.9,15.56,41.19,5.16,65.83,99.9,93.06,25.58,377.52,0.8017,0.7151,WHO_STD,0.501
2012,SA0000585,STROKE,13.61,1165.77,1058.13,510.21,5.65,18.05,18.29,16.34,68.79,36.1,71.71,71.92,466.98,0.0025,0.9197,2000_US_STD,1.066
2010,SA0000586,STROKE,5.42,1333.39,744.98,261.41,6.43,6.14,32.09,2.1,34.14,38.5,71.43,76.55,617.14,0.9263,0.0264,2010_US_STD,3.984
2017,SA0000587,COPD,32.77,327.28,165.84,746.43,6.07,17.27,18.81,7.92,51.86,30.1,50.2,55.98,486.79,0.7509,0.9799,2010_US_STD,1.232
2017,SA0000588,CANCER,26.1,107.35,629.44,638.97,1.96,24.34,18.99,10.62,70.89,49.4,82.86,68.09,550.52,0.6662,0.9613,WHO_STD,0.899
2012,SA0000589,COPD,18.15,1213.32,130.46,368.47,6.84,24.23,42.09,4.73,32.48,9.2,75.42,34.06,375.16,0.7428,0.1873,WHO_STD,4.457
2022,SA0000590,CANCER,21.66,1206.72,836.43,379.53,1.41,19.95,31.59,14.89,59.69,15.1,67.07,55.14,123.09,0.6815,0.6011,WHO_STD,5.515
2011,SA0000591,HTN,26.39,874.93,1158.81,176.96,6.44,21.49,14.2,3.14,73.2,55.5,92.53,23.77,236.93,0.7448,0.2033,2010_US_STD,4.72
2011,SA0000592,ARTHRITIS,21.54,102.35,37.53,374.92,2.81,4.28,37.8,11.91,75.7,22.7,92.6,85.85,383.04,0.5031,0.0922,WHO_STD,4.142
2011,SA0000593,CKD,40.49,284.09,663.71,154.09,2.67,24.09,26.02,13.4,49.19,26.6,64.81,25.07,334.0,0.3762,0.2735,WHO_STD,0.822
2019,SA0000594,CANCER,18.79,1239.13,294.61,470.12,6.1,3.15,34.6,14.5,54.72,89.0,85.02,77.32,850.64,0.0312,0.6233,WHO_STD,0.501
2023,SA0000595,HTN,10.13,544.88,485.32,389.86,4.42,13.58,35.77,10.35,58.18,85.9,80.54,26.18,293.41,0.9166,0.6365,2010_US_STD,3.933
2017,SA0000596,HTN,36.58,535.21,964.28,567.34,6.1,21.23,35.27,7.08,50.88,25.1,82.7,21.44,478.45,0.5787,0.5252,2010_US_STD,4.728
2016,SA0000597,CAD,44.67,1618.37,145.08,355.06,6.88,7.49,19.32,15.41,40.26,12.9,53.31,34.61,61.33,0.0808,0.4675,2010_US_STD,4.933
2016,SA0000598,DM2,42.81,961.51,676.87,353.3,4.27,24.37,15.53,15.86,75.79,49.8,49.81,88.57,752.1,0.3339,0.4977,WHO_STD,5.558
2024,SA0000599,DM2,8.84,736.8,99.38,408.41,4.73,17.51,14.47,13.91,42.31,7.4,55.8,31.11,822.26,0.9003,0.4049,2000_US_STD,3.569
2021,SA0000600,ARTHRITIS,18.01,637.32,296.21,30.7,0.61,22.29,32.11,7.29,75.69,50.7,45.85,61.43,799.35,0.687,0.9032,WHO_STD,2.726
2023,SA0000601,CKD,16.23,109.89,297.27,153.45,3.46,21.31,14.95,10.29,36.89,1.2,55.57,27.89,59.58,0.6253,0.0922,2000_US_STD,2.117
2020,SA0000602,CAD,14.01,153.52,76.63,359.72,2.02,5.64,40.08,11.71,36.27,92.3,66.14,25.7,118.47,0.1972,0.3687,2000_US_STD,1.119
2013,SA0000603,ASTHMA,18.03,312.34,469.87,819.28,7.5,16.52,37.11,17.61,43.71,67.5,78.87,78.72,161.09,0.0494,0.1758,2010_US_STD,3.634
2018,SA0000604,HTN,2.77,305.15,864.03,564.8,2.67,22.71,31.11,10.52,36.27,23.8,58.24,86.06,343.92,0.635,0.6627,WHO_STD,4.794
2016,SA0000605,CKD,36.41,557.84,46.64,68.71,4.21,15.16,22.48,9.19,57.69,87.8,48.72,70.55,272.32,0.8659,0.5697,WHO_STD,3.072
2011,SA0000606,COPD,18.49,935.9,37.53,604.45,5.62,22.52,21.8,15.43,40.23,27.5,61.16,85.93,215.78,0.1728,0.2442,WHO_STD,4.953
2024,SA0000607,DM2,6.86,1428.24,647.27,876.65,2.03,15.27,16.59,16.4,35.37,58.7,90.15,84.01,730.95,0.3221,0.0062,2000_US_STD,2.038
2024,SA0000608,DEMENTIA,36.32,374.83,445.08,46.62,7.57,26.98,43.8,11.2,30.56,1.9,85.7,67.92,467.72,0.3068,0.0786,2000_US_STD,4.36
2025,SA0000609,ARTHRITIS,19.5,309.8,1175.26,145.73,2.86,26.73,18.68,7.73,46.71,75.0,61.22,65.76,540.9,0.4847,0.9829,2000_US_STD,5.665
2010,SA0000610,STROKE,31.4,265.86,930.88,645.47,3.59,16.95,18.84,14.6,47.01,23.4,67.74,50.12,416.58,0.6231,0.9115,2000_US_STD,1.255
2011,SA0000611,ARTHRITIS,39.77,70.62,631.97,421.65,0.35,8.52,31.75,10.39,72.59,21.3,56.2,24.89,815.04,0.8832,0.3059,2010_US_STD,3.704
2011,SA0000612,CAD,12.1,398.77,557.29,278.09,0.11,23.7,34.88,10.66,49.73,91.0,81.5,69.2,84.83,0.7655,0.3722,2000_US_STD,3.399
2025,SA0000613,ASTHMA,21.59,611.63,355.01,864.22,1.97,5.29,35.21,13.11,30.19,34.4,45.52,78.26,47.21,0.2627,0.6513,2000_US_STD,3.588
2016,SA0000614,DM2,27.17,90.31,778.34,153.89,2.59,24.58,21.15,12.7,37.75,88.7,78.66,71.51,204.41,0.0021,0.891,2000_US_STD,4.333
2011,SA0000615,CKD,32.31,1620.75,583.19,428.39,4.3,11.17,41.62,6.27,61.63,77.0,57.22,77.91,303.37,0.0815,0.3646,2010_US_STD,4.549
2016,SA0000616,CANCER,40.45,461.09,395.8,804.76,0.0,14.51,46.31,13.52,63.6,15.1,78.15,78.03,816.72,0.4087,0.5608,WHO_STD,2.654
2012,SA0000617,CAD,36.39,1792.6,279.19,441.83,7.91,17.22,19.83,13.28,36.11,84.1,72.72,49.56,546.78,0.4779,0.3839,2000_US_STD,2.266
2025,SA0000618,COPD,39.49,974.01,115.34,130.76,4.07,26.27,34.58,17.64,65.13,75.8,91.98,51.66,145.44,0.6699,0.1418,2010_US_STD,2.781
2025,SA0000619,DM2,24.62,1380.72,548.87,205.98,2.21,11.07,31.2,6.87,51.9,89.6,64.04,75.56,289.34,0.6805,0.3189,2010_US_STD,1.217
2010,SA0000620,DM2,42.24,134.12,1154.99,750.33,2.03,18.04,26.1,15.19,59.14,11.3,69.68,86.98,555.25,0.2369,0.1314,2000_US_STD,2.308
2014,SA0000621,CAD,22.89,1325.97,995.83,592.17,3.56,26.73,14.15,6.13,31.12,52.9,59.66,42.79,471.45,0.8494,0.4031,WHO_STD,3.062
2012,SA0000622,DEMENTIA,33.0,1753.85,849.33,883.76,4.56,8.68,32.6,15.01,74.98,77.3,92.5,81.79,346.74,0.6283,0.5695,WHO_STD,5.317
2021,SA0000623,COPD,27.67,1748.87,283.42,646.24,3.46,26.78,14.03,10.69,61.41,40.2,75.46,69.56,409.48,0.1513,0.5734,WHO_STD,4.852
2018,SA0000624,ASTHMA,41.97,579.15,655.19,641.22,0.94,23.63,42.7,3.49,66.02,64.9,82.83,53.65,100.91,0.9451,0.4096,WHO_STD,5.761
2017,SA0000625,CANCER,42.42,401.17,855.23,860.81,6.45,18.65,25.91,12.41,48.72,40.2,55.95,74.91,610.64,0.0566,0.3968,2000_US_STD,4.219
2025,SA0000626,CANCER,32.57,476.39,429.25,711.7,4.75,8.88,18.91,8.88,46.57,3.4,57.32,50.36,656.25,0.0661,0.9624,2000_US_STD,3.474
2016,SA0000627,ASTHMA,11.48,220.41,681.96,274.32,1.1,8.58,20.28,10.47,37.1,53.7,52.82,54.14,476.69,0.7216,0.4114,2010_US_STD,3.969
2018,SA0000628,DM2,21.61,628.29,87.99,802.4,4.96,21.74,17.49,2.19,44.29,44.7,55.81,46.42,680.37,0.2464,0.514,2010_US_STD,5.691
2023,SA0000629,CAD,22.77,880.53,1072.68,692.09,1.13,27.94,29.17,12.32,70.26,41.0,60.12,54.07,230.65,0.3629,0.3009,2000_US_STD,5.449
2012,SA0000630,ASTHMA,13.84,1411.02,759.41,772.44,3.09,14.84,46.81,14.04,56.25,60.2,75.61,83.48,824.11,0.8599,0.0111,WHO_STD,5.893
2012,SA0000631,CAD,15.85,855.27,588.99,864.35,6.96,26.54,12.28,17.63,61.28,16.6,83.65,62.85,519.46,0.9663,0.7416,WHO_STD,0.936
2012,SA0000632,COPD,36.83,844.63,291.34,15.94,0.62,22.92,16.98,2.71,62.81,84.5,54.08,25.24,836.06,0.3074,0.9543,2010_US_STD,2.393
2022,SA0000633,ARTHRITIS,15.47,522.88,1134.01,483.69,5.74,19.67,16.05,4.83,36.67,4.7,65.0,29.28,86.42,0.5906,0.9686,WHO_STD,4.491
2010,SA0000634,HTN,20.03,230.92,1019.07,384.45,4.31,18.6,19.19,14.36,30.34,8.9,78.42,85.04,250.9,0.0234,0.5533,WHO_STD,1.802
2019,SA0000635,DEMENTIA,9.3,319.43,818.34,380.19,5.98,18.43,26.77,2.09,74.51,28.9,82.79,39.25,252.16,0.1644,0.8246,WHO_STD,2.456
2011,SA0000636,CAD,21.18,1382.48,915.95,521.56,7.13,27.22,22.29,8.57,74.26,67.9,81.08,65.66,193.35,0.2968,0.8929,2010_US_STD,0.56
2022,SA0000637,DM2,2.21,166.34,758.45,174.94,6.83,13.96,21.19,6.07,48.64,12.5,74.53,40.68,45.33,0.4403,0.8864,2010_US_STD,1.153
2014,SA0000638,COPD,24.16,891.09,696.02,827.06,4.48,21.11,45.97,17.41,30.18,86.4,48.07,21.75,274.88,0.7954,0.2135,2000_US_STD,1.478
2023,SA0000639,COPD,26.13,1351.79,299.74,664.04,5.83,4.4,21.38,16.51,59.61,41.7,84.89,86.17,381.18,0.3092,0.7919,2010_US_STD,0.948
2020,SA0000640,STROKE,21.98,906.3,1143.5,39.36,6.03,19.36,28.11,6.49,69.29,98.2,82.4,71.83,809.3,0.4076,0.5687,2010_US_STD,5.149
2025,SA0000641,CANCER,32.35,63.09,227.6,292.87,2.42,13.24,31.9,4.2,66.2,12.3,90.24,53.45,509.46,0.4207,0.659,WHO_STD,3.814
2014,SA0000642,ARTHRITIS,29.77,1163.83,1067.04,508.73,2.41,17.78,17.33,14.29,52.5,88.1,71.01,79.89,764.99,0.3736,0.1261,2000_US_STD,4.011
2017,SA0000643,CKD,43.96,1588.93,832.17,352.17,0.21,4.75,47.36,8.08,72.1,9.6,86.7,75.94,470.48,0.524,0.847,2010_US_STD,2.613
2017,SA0000644,ASTHMA,34.97,1504.94,166.55,878.76,7.81,14.18,25.49,13.7,75.46,38.6,87.17,33.46,55.92,0.4819,0.2952,2000_US_STD,4.134
2023,SA0000645,DEMENTIA,29.95,1447.37,1145.56,330.57,5.84,6.28,29.48,16.6,38.25,58.6,60.84,88.69,538.46,0.7304,0.8914,2000_US_STD,2.019
2020,SA0000646,ASTHMA,6.23,1401.93,431.05,472.9,0.66,23.25,26.02,4.97,66.32,19.6,49.46,29.67,670.36,0.6413,0.4861,2010_US_STD,1.732
2018,SA0000647,ARTHRITIS,9.17,1432.8,1099.83,165.66,4.92,21.15,23.72,9.62,65.54,13.1,51.98,21.29,401.92,0.7774,0.3709,WHO_STD,1.68
2013,SA0000648,DM2,44.84,1274.38,1006.48,781.68,5.77,5.78,42.7,6.92,39.73,35.2,57.26,65.02,875.55,0.3683,0.2445,WHO_STD,2.978
2015,SA0000649,COPD,13.78,1632.13,566.24,893.5,1.85,15.65,14.01,16.49,49.94,36.7,55.8,57.81,689.95,0.6648,0.592,2010_US_STD,5.754
2014,SA0000650,STROKE,10.34,397.46,1143.15,70.95,0.72,20.61,23.16,6.57,46.77,68.1,74.15,53.78,34.4,0.3083,0.3474,WHO_STD,3.645
2020,SA0000651,CKD,40.77,1337.21,689.54,512.5,5.31,22.7,29.52,16.92,68.84,83.2,60.13,46.1,381.19,0.9804,0.5936,WHO_STD,2.458
2011,SA0000652,ASTHMA,42.46,695.78,438.14,406.9,3.45,25.91,15.23,11.21,76.69,3.0,70.12,87.58,222.27,0.4876,0.6023,2010_US_STD,0.431
2010,SA0000653,ASTHMA,34.79,761.38,779.79,432.64,4.23,22.18,44.04,2.74,44.94,35.4,78.45,22.05,162.23,0.7398,0.7145,2000_US_STD,1.408
2015,SA0000654,DM2,4.96,397.08,882.46,254.67,6.46,24.76,25.77,9.94,59.55,21.7,45.1,57.12,262.6,0.0842,0.1051,2010_US_STD,4.115
2016,SA0000655,STROKE,20.3,1088.36,1150.22,12.82,1.2,7.78,32.89,11.65,64.85,16.2,46.18,80.23,450.2,0.0349,0.1709,2000_US_STD,0.386
2018,SA0000656,HTN,27.17,1153.39,551.12,834.28,2.51,7.75,17.63,2.87,34.51,31.8,94.87,42.56,429.31,0.5546,0.5622,2010_US_STD,0.988
2015,SA0000657,CAD,26.03,642.35,1005.06,598.38,2.85,26.73,40.47,17.88,42.28,94.9,61.4,79.63,891.53,0.0029,0.8507,2010_US_STD,0.322
2022,SA0000658,CAD,30.5,1144.89,117.9,400.13,0.01,15.94,12.29,6.43,50.54,2.5,56.63,24.03,677.59,0.3346,0.4575,2010_US_STD,2.615
2010,SA0000659,DM2,44.9,896.49,673.73,266.36,2.4,10.24,40.13,14.13,54.75,53.9,88.16,70.11,889.6,0.1615,0.2125,WHO_STD,5.22
2011,SA0000660,COPD,28.22,1719.18,372.36,177.36,4.55,23.94,25.54,11.64,47.42,13.1,50.4,52.33,613.2,0.0499,0.5254,2010_US_STD,4.565
2025,SA0000661,CANCER,40.79,814.87,757.87,375.19,0.66,26.86,45.87,12.21,71.06,13.4,58.48,85.34,138.87,0.5701,0.584,WHO_STD,5.286
2016,SA0000662,ASTHMA,8.09,1485.68,952.05,664.85,4.23,8.6,26.47,6.78,44.07,7.8,94.04,75.19,708.58,0.2288,0.9096,2000_US_STD,2.101
2024,SA0000663,ARTHRITIS,16.0,898.4,1090.39,390.93,6.88,21.91,33.67,17.46,70.21,71.7,90.94,21.83,750.67,0.0255,0.4411,WHO_STD,4.977
2025,SA0000664,COPD,13.09,876.87,937.46,270.39,0.84,6.65,42.1,15.61,53.32,69.7,89.25,26.93,829.39,0.881,0.2824,2010_US_STD,5.635
2021,SA0000665,ARTHRITIS,36.02,203.79,729.36,265.97,1.19,13.42,44.6,6.0,41.36,40.3,87.57,56.97,443.49,0.456,0.1865,2010_US_STD,0.435
2017,SA0000666,ASTHMA,35.67,249.61,661.88,508.94,6.19,5.23,17.59,6.86,61.07,52.3,76.33,23.32,701.56,0.1548,0.0734,2000_US_STD,4.684
2012,SA0000667,DEMENTIA,37.49,622.38,151.88,589.22,7.67,5.33,38.05,10.71,34.67,91.0,45.74,68.96,96.01,0.2652,0.6309,2000_US_STD,1.183
2010,SA0000668,ARTHRITIS,24.13,1110.73,674.38,522.32,1.1,3.51,37.52,14.91,69.73,95.1,50.83,27.55,809.47,0.0767,0.5355,2010_US_STD,5.136
2010,SA0000669,COPD,14.48,246.32,361.4,16.94,6.45,4.78,23.73,2.28,54.54,31.8,87.73,58.35,56.03,0.9252,0.7802,2010_US_STD,4.958
2024,SA0000670,STROKE,16.67,852.19,1144.59,640.71,4.02,8.27,29.91,10.88,44.65,67.6,45.0,61.26,499.7,0.0847,0.6419,2000_US_STD,3.234
