health_pharma_reference_year,health_pharma_country_iso2,health_pharma_atc_code,health_pharma_medicine_type_code,health_pharma_authorisation_type_code,health_pharma_price_eur_pack_median,health_pharma_reimbursement_rate_pct,health_pharma_volume_units_sold,health_pharma_generic_share_pct,health_pharma_biosimilar_share_pct,health_pharma_shortage_reports_count,health_pharma_shortage_duration_days_median,health_pharma_htA_decision_code,health_pharma_time_to_market_days_median,health_pharma_parallel_trade_flag,health_pharma_joint_procurement_flag,health_pharma_clinical_trials_count,health_pharma_data_source_ema_flag,health_pharma_revision_round,health_pharma_data_extract_date
2018,IT,E24CA44,BIOSIMILAR,CENTRALISED_EMA,250.23,86.3,26927862,28.06,52.0,35,110.92,NOT_REQUIRED,907.45,0,0,38,1,FLASH,2025-08-18
2019,NL,F31NN61,GENERIC,NATIONAL_MA,17.55,27.84,11571543,14.94,0.75,40,69.44,CONDITIONAL,781.08,0,0,262,0,BENCHMARK,2025-03-19
2020,SI,G38YA78,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,74.09,73.91,16773730,77.82,6.83,264,158.12,PENDING,670.06,0,0,624,0,SECOND,2025-06-24
2021,BG,H45JN95,ORPHAN,DECENTRALISED,210.16,57.38,1612399,32.84,19.31,541,104.56,POSITIVE,264.27,1,0,421,0,FIRST,2024-01-03
2022,EE,J52UA12,OTC,CENTRALISED_EMA,19.79,21.51,10502125,86.6,15.57,226,168.18,NEGATIVE,332.97,0,0,89,1,FLASH,2025-01-29
2023,HU,L59FN29,VACCINE,NATIONAL_MA,148.27,32.03,2552689,45.6,9.26,281,197.34,NOT_REQUIRED,45.79,0,0,647,0,BENCHMARK,2024-06-09
2024,LU,M66QA46,BIOSIMILAR,MUTUAL_RECOGNITION,242.11,64.26,6205998,34.14,45.61,308,113.72,CONDITIONAL,529.05,0,0,45,0,SECOND,2024-07-28
2025,RO,N73BN63,GENERIC,DECENTRALISED,175.16,47.51,18204903,49.49,17.3,291,178.64,PENDING,99.26,0,0,14,0,FIRST,2026-02-04
2006,AT,P80MA80,BRANDED_ORIGINATOR,CENTRALISED_EMA,12.06,62.42,13023356,20.98,19.17,408,81.8,POSITIVE,808.35,0,0,7,1,FLASH,2024-08-26
2007,CZ,R87XN97,ORPHAN,NATIONAL_MA,339.99,31.37,12935871,17.04,3.37,68,130.07,NEGATIVE,543.84,1,0,38,0,BENCHMARK,2025-10-20
2008,DE,S94IA14,OTC,MUTUAL_RECOGNITION,251.49,26.92,38108251,16.35,5.01,128,183.82,NOT_REQUIRED,102.99,0,0,126,0,SECOND,2025-05-13
2009,LV,V01TN31,VACCINE,DECENTRALISED,96.55,104.62,19583458,59.57,3.35,426,184.32,CONDITIONAL,83.86,0,0,155,0,FIRST,2025-02-07
2010,PL,A08EA48,BIOSIMILAR,CENTRALISED_EMA,82.4,39.67,15735226,79.9,29.92,316,85.52,PENDING,750.52,1,0,198,1,FLASH,2025-05-30
2011,ES,B15PN65,GENERIC,NATIONAL_MA,162.74,21.16,41037814,12.13,19.8,446,94.9,POSITIVE,445.56,0,0,163,0,BENCHMARK,2025-04-11
2012,HR,C22AA82,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,301.18,19.84,17874209,24.24,1.0,5,60.9,NEGATIVE,714.03,0,0,332,0,SECOND,2025-05-31
2013,FI,D29LN99,ORPHAN,DECENTRALISED,364.36,17.12,12955436,19.25,3.84,123,14.42,NOT_REQUIRED,424.55,0,0,583,0,FIRST,2025-02-16
2014,IE,E36WA16,OTC,CENTRALISED_EMA,89.78,68.25,38827280,80.44,2.45,376,54.9,CONDITIONAL,55.02,0,0,122,1,FLASH,2024-09-07
2015,MT,F43HN33,VACCINE,NATIONAL_MA,7.64,89.88,13602985,43.87,21.13,392,167.4,PENDING,240.23,0,0,104,0,BENCHMARK,2026-02-03
2016,SK,G50SA50,BIOSIMILAR,MUTUAL_RECOGNITION,180.83,82.21,21401382,36.74,27.42,200,42.86,POSITIVE,345.39,0,0,79,0,SECOND,2025-01-09
2017,BE,H57DN67,GENERIC,DECENTRALISED,23.13,75.78,14196720,37.3,4.56,432,32.94,NEGATIVE,132.19,0,0,227,0,FIRST,2025-11-23
2018,DK,J64OA84,BRANDED_ORIGINATOR,CENTRALISED_EMA,375.94,71.94,8284836,76.56,14.13,363,145.6,NOT_REQUIRED,256.97,1,0,440,1,FLASH,2025-04-25
2019,GR,L71ZN01,ORPHAN,NATIONAL_MA,289.17,51.19,20697293,70.08,16.72,223,35.1,CONDITIONAL,335.33,1,0,14,0,BENCHMARK,2026-02-01
2020,LT,M78KA18,OTC,MUTUAL_RECOGNITION,69.05,35.46,6224563,25.81,10.67,139,184.45,PENDING,446.21,0,1,210,0,SECOND,2025-05-17
2021,PT,N85VN35,VACCINE,DECENTRALISED,62.35,105.12,22080603,34.91,2.07,504,51.6,POSITIVE,316.58,0,1,466,0,FIRST,2025-08-11
2022,SE,P92GA52,BIOSIMILAR,CENTRALISED_EMA,201.91,89.44,19760136,77.44,21.89,202,5.98,NEGATIVE,392.79,0,0,214,1,FLASH,2025-08-12
2023,CY,R99RN69,GENERIC,NATIONAL_MA,140.01,42.38,35171425,66.82,15.77,371,93.15,NOT_REQUIRED,174.38,0,0,149,0,BENCHMARK,2025-01-07
2024,FR,S06CA86,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,31.28,91.88,15331490,15.86,17.38,579,187.11,CONDITIONAL,600.48,1,0,162,0,SECOND,2026-02-09
2025,IT,V13NN03,ORPHAN,DECENTRALISED,342.08,91.66,7271166,82.78,1.66,338,155.39,PENDING,764.58,1,0,237,0,FIRST,2024-12-30
2006,NL,A20YA20,OTC,CENTRALISED_EMA,210.14,52.99,12584580,82.55,23.04,80,99.08,POSITIVE,318.28,1,0,80,1,FLASH,2024-08-11
2007,SI,B27JN37,VACCINE,NATIONAL_MA,137.06,37.23,5455955,50.68,7.79,26,101.45,NEGATIVE,211.21,0,0,462,0,BENCHMARK,2024-11-24
2008,BG,C34UA54,BIOSIMILAR,MUTUAL_RECOGNITION,219.39,96.91,15162732,27.88,29.01,277,128.63,NOT_REQUIRED,83.72,1,0,147,0,SECOND,2024-12-04
2009,EE,D41FN71,GENERIC,DECENTRALISED,130.77,39.28,23937442,10.99,2.53,159,47.79,CONDITIONAL,699.63,0,0,172,0,FIRST,2025-12-25
2010,HU,E48QA88,BRANDED_ORIGINATOR,CENTRALISED_EMA,67.39,50.16,2189016,43.52,22.0,162,131.43,PENDING,835.26,1,0,29,1,FLASH,2025-04-03
2011,LU,F55BN05,ORPHAN,NATIONAL_MA,458.85,84.84,4854189,52.52,1.96,70,43.56,POSITIVE,545.67,0,0,75,0,BENCHMARK,2025-03-22
2012,RO,G62MA22,OTC,MUTUAL_RECOGNITION,258.78,54.43,8196283,54.91,0.96,451,32.96,NEGATIVE,387.98,0,1,165,0,SECOND,2024-06-24
2013,AT,H69XN39,VACCINE,DECENTRALISED,161.4,100.65,26271776,46.16,15.68,363,91.36,NOT_REQUIRED,680.61,0,0,229,0,FIRST,2025-10-28
2014,CZ,J76IA56,BIOSIMILAR,CENTRALISED_EMA,9.28,59.25,8932116,30.54,3.91,20,53.16,CONDITIONAL,399.93,1,0,204,1,FLASH,2025-02-18
2015,DE,L83TN73,GENERIC,NATIONAL_MA,198.28,65.71,7852034,70.89,10.25,380,175.98,PENDING,781.94,0,0,56,0,BENCHMARK,2025-02-14
2016,LV,M90EA90,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,359.52,75.07,3161942,24.09,5.21,87,73.15,POSITIVE,227.38,0,0,19,0,SECOND,2025-08-31
2017,PL,N97PN07,ORPHAN,DECENTRALISED,218.48,17.75,11020129,77.49,12.05,339,175.1,NEGATIVE,336.15,0,0,569,0,FIRST,2024-03-19
2018,ES,P04AA24,OTC,CENTRALISED_EMA,154.3,49.71,42727172,53.92,0.31,180,94.41,NOT_REQUIRED,337.76,0,0,242,1,FLASH,2025-04-01
2019,HR,R11LN41,VACCINE,NATIONAL_MA,264.02,92.54,6365705,23.0,12.89,275,158.39,CONDITIONAL,637.87,0,0,404,0,BENCHMARK,2026-02-23
2020,FI,S18WA58,BIOSIMILAR,MUTUAL_RECOGNITION,189.07,32.43,24603606,19.17,18.07,88,19.06,PENDING,112.02,0,1,178,0,SECOND,2024-07-20
2021,IE,V25HN75,GENERIC,DECENTRALISED,37.73,63.47,34725387,37.79,12.55,197,161.77,POSITIVE,364.84,0,0,142,0,FIRST,2025-01-12
2022,MT,A32SA92,BRANDED_ORIGINATOR,CENTRALISED_EMA,114.22,26.47,11816236,50.46,3.91,358,98.12,NEGATIVE,733.32,0,0,486,1,FLASH,2024-02-27
2023,SK,B39DN09,ORPHAN,NATIONAL_MA,244.39,62.79,9299583,8.95,5.07,694,135.61,NOT_REQUIRED,259.36,0,0,525,0,BENCHMARK,2024-02-07
2024,BE,C46OA26,OTC,MUTUAL_RECOGNITION,172.13,60.99,25390836,25.29,6.07,129,80.74,CONDITIONAL,223.36,1,0,124,0,SECOND,2026-01-18
2025,DK,D53ZN43,VACCINE,DECENTRALISED,114.16,80.32,31118,61.04,5.04,67,60.65,PENDING,496.79,0,1,560,0,FIRST,2024-11-08
2006,GR,E60KA60,BIOSIMILAR,CENTRALISED_EMA,69.65,17.86,1610404,69.72,17.58,348,68.24,POSITIVE,955.11,0,0,43,1,FLASH,2025-06-25
2007,LT,F67VN77,GENERIC,NATIONAL_MA,87.19,40.87,18239320,54.35,8.02,77,128.3,NEGATIVE,602.62,0,0,191,0,BENCHMARK,2025-08-03
2008,PT,G74GA94,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,17.59,56.84,23542342,38.7,0.47,27,93.01,NOT_REQUIRED,282.87,0,0,497,0,SECOND,2025-12-07
2009,SE,H81RN11,ORPHAN,DECENTRALISED,341.45,56.55,27338331,82.14,18.93,387,204.66,CONDITIONAL,100.66,1,0,177,0,FIRST,2025-12-28
2010,CY,J88CA28,OTC,CENTRALISED_EMA,235.7,34.35,31191614,63.17,0.83,77,136.16,PENDING,243.15,1,0,177,1,FLASH,2025-05-15
2011,FR,L95NN45,VACCINE,NATIONAL_MA,201.93,81.73,24424733,23.41,22.06,110,85.41,POSITIVE,651.77,0,0,565,0,BENCHMARK,2024-07-22
2012,IT,M02YA62,BIOSIMILAR,MUTUAL_RECOGNITION,128.59,105.84,7783679,30.98,35.92,430,168.73,NEGATIVE,657.38,1,0,259,0,SECOND,2024-08-02
2013,NL,N09JN79,GENERIC,DECENTRALISED,273.53,56.71,12799318,19.63,4.56,463,58.32,NOT_REQUIRED,750.19,0,0,56,0,FIRST,2025-10-16
2014,SI,P16UA96,BRANDED_ORIGINATOR,CENTRALISED_EMA,132.81,91.32,142849,70.2,12.83,282,77.26,CONDITIONAL,355.38,0,0,116,1,FLASH,2025-08-09
2015,BG,R23FN13,ORPHAN,NATIONAL_MA,163.94,42.58,26742320,53.81,5.57,440,138.05,PENDING,102.96,0,0,103,0,BENCHMARK,2025-01-08
2016,EE,S30QA30,OTC,MUTUAL_RECOGNITION,116.87,72.52,4887112,82.44,23.07,151,108.22,POSITIVE,265.62,1,0,55,0,SECOND,2025-01-09
2017,HU,V37BN47,VACCINE,DECENTRALISED,32.9,93.02,21298959,40.1,12.57,167,35.38,NEGATIVE,515.96,0,0,142,0,FIRST,2025-12-13
2018,LU,A44MA64,BIOSIMILAR,CENTRALISED_EMA,255.6,28.42,22145765,28.79,45.99,346,31.83,NOT_REQUIRED,204.37,1,1,52,1,FLASH,2024-11-29
2019,RO,B51XN81,GENERIC,NATIONAL_MA,329.47,36.34,3603882,22.85,2.52,100,112.67,CONDITIONAL,49.38,0,0,116,0,BENCHMARK,2026-01-29
2020,AT,C58IA98,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,238.81,35.93,26538058,66.21,6.28,547,7.74,PENDING,69.48,0,0,313,0,SECOND,2025-05-19
2021,CZ,D65TN15,ORPHAN,DECENTRALISED,129.02,21.72,24126828,55.15,6.07,401,138.09,POSITIVE,722.34,0,0,449,0,FIRST,2024-12-02
2022,DE,E72EA32,OTC,CENTRALISED_EMA,52.92,51.89,46841596,60.48,8.33,457,126.3,NEGATIVE,925.27,0,0,45,1,FLASH,2024-11-17
2023,LV,F79PN49,VACCINE,NATIONAL_MA,93.4,91.04,15249667,14.72,4.36,505,137.54,NOT_REQUIRED,806.6,0,0,334,0,BENCHMARK,2024-07-01
2024,PL,G86AA66,BIOSIMILAR,MUTUAL_RECOGNITION,124.46,35.48,2223804,16.61,17.77,693,19.95,CONDITIONAL,156.24,0,0,275,0,SECOND,2024-12-14
2025,ES,H93LN83,GENERIC,DECENTRALISED,45.28,21.67,35348411,17.94,0.83,219,188.75,PENDING,660.02,0,0,171,0,FIRST,2024-06-24
2006,HR,J00WA00,BRANDED_ORIGINATOR,CENTRALISED_EMA,305.0,93.03,8255903,56.6,15.16,90,74.18,POSITIVE,356.13,1,0,308,1,FLASH,2025-05-23
2007,FI,L07HN17,ORPHAN,NATIONAL_MA,430.41,78.39,24100252,37.42,10.27,188,41.68,NEGATIVE,786.17,0,0,229,0,BENCHMARK,2025-08-12
2008,IE,M14SA34,OTC,MUTUAL_RECOGNITION,251.41,48.21,28917080,39.46,12.17,461,68.07,NOT_REQUIRED,308.64,0,0,179,0,SECOND,2025-11-18
2009,MT,N21DN51,VACCINE,DECENTRALISED,226.06,107.22,402996,26.31,13.75,396,90.25,CONDITIONAL,41.71,1,0,444,0,FIRST,2024-07-30
2010,SK,P28OA68,BIOSIMILAR,CENTRALISED_EMA,179.15,107.14,24889315,18.81,44.45,71,17.16,PENDING,277.69,0,0,272,1,FLASH,2025-02-01
2011,BE,R35ZN85,GENERIC,NATIONAL_MA,82.24,20.33,41684580,25.83,22.78,356,88.02,POSITIVE,312.26,0,0,28,0,BENCHMARK,2025-05-02
2012,DK,S42KA02,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,377.92,33.8,21895099,52.23,19.35,9,92.97,NEGATIVE,231.69,0,0,489,0,SECOND,2025-04-03
2013,GR,V49VN19,ORPHAN,DECENTRALISED,319.54,32.76,27313587,43.73,2.06,31,114.19,NOT_REQUIRED,643.23,1,0,193,0,FIRST,2025-11-09
2014,LT,A56GA36,OTC,CENTRALISED_EMA,205.23,32.92,6908314,79.58,20.07,416,100.62,CONDITIONAL,736.99,0,0,155,1,FLASH,2025-05-27
2015,PT,B63RN53,VACCINE,NATIONAL_MA,183.25,73.8,10662931,5.72,7.02,113,69.55,PENDING,132.11,0,0,569,0,BENCHMARK,2025-08-12
2016,SE,C70CA70,BIOSIMILAR,MUTUAL_RECOGNITION,34.64,70.71,4953117,24.62,33.08,75,122.0,POSITIVE,246.01,0,0,183,0,SECOND,2025-04-30
2017,CY,D77NN87,GENERIC,DECENTRALISED,216.91,63.96,33794027,31.08,2.61,126,193.17,NEGATIVE,279.62,0,0,56,0,FIRST,2024-02-12
2018,FR,E84YA04,BRANDED_ORIGINATOR,CENTRALISED_EMA,342.53,76.72,3588934,38.72,5.19,378,126.29,NOT_REQUIRED,657.01,0,0,582,1,FLASH,2025-08-27
2019,IT,F91JN21,ORPHAN,NATIONAL_MA,243.17,30.2,12831888,63.98,19.03,52,94.69,CONDITIONAL,456.63,0,0,387,0,BENCHMARK,2025-01-18
2020,NL,G98UA38,OTC,MUTUAL_RECOGNITION,14.25,18.63,435967,13.71,16.82,10,90.16,PENDING,565.71,0,0,109,0,SECOND,2024-08-17
2021,SI,H05FN55,VACCINE,DECENTRALISED,6.9,26.7,10930884,49.98,16.84,566,190.95,POSITIVE,751.96,0,1,158,0,FIRST,2025-10-31
2022,BG,J12QA72,BIOSIMILAR,CENTRALISED_EMA,109.1,76.62,26882171,6.75,11.64,684,151.42,NEGATIVE,659.96,1,0,217,1,FLASH,2024-02-14
2023,EE,L19BN89,GENERIC,NATIONAL_MA,247.92,101.71,35769146,44.71,17.48,539,147.46,NOT_REQUIRED,359.78,0,0,152,0,BENCHMARK,2025-04-11
2024,HU,M26MA06,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,305.22,60.27,27992666,85.96,3.0,638,77.71,CONDITIONAL,142.6,1,1,293,0,SECOND,2024-01-28
2025,LU,N33XN23,ORPHAN,DECENTRALISED,291.62,56.69,21338081,21.37,16.3,313,160.27,PENDING,369.92,1,0,314,0,FIRST,2024-08-07
2006,RO,P40IA40,OTC,CENTRALISED_EMA,112.33,63.54,7176756,57.6,14.08,162,5.32,POSITIVE,31.76,0,0,146,1,FLASH,2024-06-09
2007,AT,R47TN57,VACCINE,NATIONAL_MA,138.49,24.48,7479789,27.65,16.81,278,46.49,NEGATIVE,262.3,1,1,416,0,BENCHMARK,2024-02-15
2008,CZ,S54EA74,BIOSIMILAR,MUTUAL_RECOGNITION,145.14,80.72,533164,72.1,4.13,328,47.21,NOT_REQUIRED,223.9,0,1,118,0,SECOND,2024-05-06
2009,DE,V61PN91,GENERIC,DECENTRALISED,114.41,37.71,18192222,55.92,4.75,153,189.27,CONDITIONAL,751.91,0,0,116,0,FIRST,2025-05-07
2010,LV,A68AA08,BRANDED_ORIGINATOR,CENTRALISED_EMA,25.37,50.44,19823080,66.1,14.32,298,55.42,PENDING,464.68,0,0,399,1,FLASH,2024-08-16
2011,PL,B75LN25,ORPHAN,NATIONAL_MA,325.99,14.8,13287350,66.98,18.36,416,30.11,POSITIVE,50.01,0,0,234,0,BENCHMARK,2024-01-05
2012,ES,C82WA42,OTC,MUTUAL_RECOGNITION,27.51,66.92,27994049,41.41,7.03,193,137.51,NEGATIVE,593.93,1,0,83,0,SECOND,2025-02-10
2013,HR,D89HN59,VACCINE,DECENTRALISED,188.75,67.79,14906912,26.49,15.38,232,47.86,NOT_REQUIRED,735.7,0,0,611,0,FIRST,2024-05-12
2014,FI,E96SA76,BIOSIMILAR,CENTRALISED_EMA,60.97,31.46,11603671,67.0,0.55,321,49.87,CONDITIONAL,1002.22,1,0,267,1,FLASH,2025-11-22
2015,IE,F03DN93,GENERIC,NATIONAL_MA,236.17,77.36,11142463,83.67,14.18,207,82.66,PENDING,526.34,0,0,241,0,BENCHMARK,2025-04-22
2016,MT,G10OA10,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,100.55,30.05,26820903,37.91,13.83,309,205.29,POSITIVE,123.99,0,0,559,0,SECOND,2024-07-30
2017,SK,H17ZN27,ORPHAN,DECENTRALISED,190.35,33.18,5729519,10.84,7.35,76,124.3,NEGATIVE,544.58,0,0,354,0,FIRST,2026-02-07
2018,BE,J24KA44,OTC,CENTRALISED_EMA,5.48,54.53,40674416,23.15,1.05,355,72.65,NOT_REQUIRED,192.16,0,0,156,1,FLASH,2024-09-07
2019,DK,L31VN61,VACCINE,NATIONAL_MA,65.11,101.05,17456058,67.52,3.5,399,165.06,CONDITIONAL,591.57,0,0,631,0,BENCHMARK,2024-08-20
2020,GR,M38GA78,BIOSIMILAR,MUTUAL_RECOGNITION,174.18,36.38,662363,62.92,13.37,279,205.81,PENDING,687.38,0,0,281,0,SECOND,2025-01-19
2021,LT,N45RN95,GENERIC,DECENTRALISED,174.97,60.01,30623157,70.14,0.09,121,40.16,POSITIVE,462.37,1,0,2,0,FIRST,2024-11-17
2022,PT,P52CA12,BRANDED_ORIGINATOR,CENTRALISED_EMA,161.25,62.09,13006732,42.32,17.75,671,70.12,NEGATIVE,658.32,0,0,562,1,FLASH,2024-05-26
2023,SE,R59NN29,ORPHAN,NATIONAL_MA,73.49,74.31,5316613,50.31,17.04,532,131.73,NOT_REQUIRED,519.08,1,0,334,0,BENCHMARK,2025-04-20
2024,CY,S66YA46,OTC,MUTUAL_RECOGNITION,86.0,58.49,37790610,77.4,8.67,774,194.85,CONDITIONAL,446.26,1,0,19,0,SECOND,2024-06-22
2025,FR,V73JN63,VACCINE,DECENTRALISED,71.76,18.34,20940849,63.58,7.31,581,177.89,PENDING,315.1,0,1,374,0,FIRST,2026-01-02
2006,IT,A80UA80,BIOSIMILAR,CENTRALISED_EMA,64.07,77.15,13607730,46.45,28.88,351,145.24,POSITIVE,339.32,0,0,171,1,FLASH,2025-01-29
2007,NL,B87FN97,GENERIC,NATIONAL_MA,79.34,80.29,40855554,59.51,16.25,40,6.72,NEGATIVE,66.39,1,0,245,0,BENCHMARK,2026-01-08
2008,SI,C94QA14,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,194.58,64.26,20546829,40.03,11.69,109,75.15,NOT_REQUIRED,272.87,1,0,255,0,SECOND,2024-12-13
2009,BG,D01BN31,ORPHAN,DECENTRALISED,231.58,89.69,18939653,63.01,6.25,171,50.16,CONDITIONAL,314.59,1,0,324,0,FIRST,2025-12-14
2010,EE,E08MA48,OTC,CENTRALISED_EMA,70.61,14.45,42517383,24.15,17.92,281,177.48,PENDING,533.56,0,0,266,1,FLASH,2025-03-10
2011,HU,F15XN65,VACCINE,NATIONAL_MA,105.19,47.08,9576861,67.56,9.94,264,54.01,POSITIVE,440.0,1,0,501,0,BENCHMARK,2025-09-23
2012,LU,G22IA82,BIOSIMILAR,MUTUAL_RECOGNITION,75.58,45.56,7665363,33.38,30.11,22,119.89,NEGATIVE,366.52,0,1,25,0,SECOND,2024-05-11
2013,RO,H29TN99,GENERIC,DECENTRALISED,88.95,98.96,36851572,58.85,13.66,306,191.58,NOT_REQUIRED,375.26,1,0,74,0,FIRST,2026-01-12
2014,AT,J36EA16,BRANDED_ORIGINATOR,CENTRALISED_EMA,215.51,61.48,6463100,87.38,20.33,115,54.83,CONDITIONAL,382.9,0,0,159,1,FLASH,2025-04-25
2015,CZ,L43PN33,ORPHAN,NATIONAL_MA,445.79,58.61,7988639,54.63,10.79,282,124.74,PENDING,716.09,0,0,95,0,BENCHMARK,2024-09-12
2016,DE,M50AA50,OTC,MUTUAL_RECOGNITION,65.46,73.76,18917555,23.06,2.01,167,193.91,POSITIVE,580.09,0,0,146,0,SECOND,2024-07-14
2017,LV,N57LN67,VACCINE,DECENTRALISED,239.77,85.25,20276034,39.83,22.78,185,44.94,NEGATIVE,191.52,1,0,292,0,FIRST,2026-01-16
2018,PL,P64WA84,BIOSIMILAR,CENTRALISED_EMA,138.85,29.92,17254331,81.34,13.17,66,92.01,NOT_REQUIRED,916.25,0,0,196,1,FLASH,2025-06-18
2019,ES,R71HN01,GENERIC,NATIONAL_MA,213.8,83.35,9054902,46.72,20.92,219,49.84,CONDITIONAL,702.86,0,0,133,0,BENCHMARK,2025-04-13
2020,HR,S78SA18,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,7.38,25.94,20203038,61.63,1.22,205,164.91,PENDING,216.56,0,1,381,0,SECOND,2024-12-08
2021,FI,V85DN35,ORPHAN,DECENTRALISED,301.14,30.73,14614180,45.65,13.35,8,77.23,POSITIVE,29.22,0,0,54,0,FIRST,2025-02-07
2022,IE,A92OA52,OTC,CENTRALISED_EMA,64.38,78.76,30267692,29.66,18.19,667,178.35,NEGATIVE,395.51,0,0,155,1,FLASH,2024-11-10
2023,MT,B99ZN69,VACCINE,NATIONAL_MA,64.74,94.46,4052968,35.54,0.75,558,130.35,NOT_REQUIRED,785.48,0,1,289,0,BENCHMARK,2025-06-16
2024,SK,C06KA86,BIOSIMILAR,MUTUAL_RECOGNITION,121.49,87.47,19970170,48.81,46.01,717,124.67,CONDITIONAL,237.52,1,0,250,0,SECOND,2024-09-04
2025,BE,D13VN03,GENERIC,DECENTRALISED,176.48,71.45,11471371,70.44,18.71,152,88.72,PENDING,128.09,0,0,67,0,FIRST,2024-03-31
2006,DK,E20GA20,BRANDED_ORIGINATOR,CENTRALISED_EMA,271.04,71.47,16461798,80.9,4.22,88,56.31,POSITIVE,687.94,0,0,455,1,FLASH,2025-03-10
2007,GR,F27RN37,ORPHAN,NATIONAL_MA,288.33,60.05,16545201,63.03,5.87,119,97.72,NEGATIVE,388.77,0,0,190,0,BENCHMARK,2024-06-17
2008,LT,G34CA54,OTC,MUTUAL_RECOGNITION,148.6,47.81,44250807,53.0,17.23,212,37.63,NOT_REQUIRED,191.72,1,0,86,0,SECOND,2024-06-15
2009,PT,H41NN71,VACCINE,DECENTRALISED,245.46,17.3,24803009,87.77,12.28,102,140.58,CONDITIONAL,688.03,1,0,129,0,FIRST,2025-06-05
2010,SE,J48YA88,BIOSIMILAR,CENTRALISED_EMA,166.75,16.52,4192853,74.0,38.09,44,95.86,PENDING,835.77,1,1,43,1,FLASH,2025-03-02
2011,CY,L55JN05,GENERIC,NATIONAL_MA,41.97,42.11,6541143,30.03,16.9,107,127.64,POSITIVE,734.25,1,1,231,0,BENCHMARK,2024-05-19
2012,FR,M62UA22,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,236.92,80.47,25733546,67.07,10.77,48,106.18,NEGATIVE,397.21,0,0,406,0,SECOND,2024-03-30
2013,IT,N69FN39,ORPHAN,DECENTRALISED,385.96,42.49,24702881,19.07,13.28,245,172.64,NOT_REQUIRED,134.78,1,0,240,0,FIRST,2025-12-24
2014,NL,P76QA56,OTC,CENTRALISED_EMA,168.85,31.15,9142116,12.2,6.9,247,138.86,CONDITIONAL,81.36,1,0,215,1,FLASH,2024-05-07
2015,SI,R83BN73,VACCINE,NATIONAL_MA,232.64,100.22,6986327,80.61,19.68,131,136.3,PENDING,477.48,0,0,545,0,BENCHMARK,2025-12-22
2016,BG,S90MA90,BIOSIMILAR,MUTUAL_RECOGNITION,125.62,22.73,13774443,45.69,4.02,458,3.76,POSITIVE,123.74,1,0,269,0,SECOND,2025-08-30
2017,EE,V97XN07,GENERIC,DECENTRALISED,20.37,79.43,14661604,79.17,0.42,79,97.63,NEGATIVE,256.51,0,0,69,0,FIRST,2024-02-23
2018,HU,A04IA24,BRANDED_ORIGINATOR,CENTRALISED_EMA,424.2,46.39,22685439,73.36,1.99,197,144.02,NOT_REQUIRED,1010.65,0,0,634,1,FLASH,2024-06-26
2019,LU,B11TN41,ORPHAN,NATIONAL_MA,267.6,55.85,5453252,15.08,22.9,146,95.42,CONDITIONAL,694.14,0,0,144,0,BENCHMARK,2025-11-26
2020,RO,C18EA58,OTC,MUTUAL_RECOGNITION,29.33,56.42,31947444,53.72,21.05,176,140.82,PENDING,628.22,0,0,157,0,SECOND,2025-01-15
2021,AT,D25PN75,VACCINE,DECENTRALISED,304.42,72.33,13019556,15.95,3.06,403,83.15,POSITIVE,790.28,1,1,25,0,FIRST,2025-10-04
2022,CZ,E32AA92,BIOSIMILAR,CENTRALISED_EMA,54.99,96.76,6366752,46.44,50.61,630,35.1,NEGATIVE,646.84,0,0,96,1,FLASH,2025-08-31
2023,DE,F39LN09,GENERIC,NATIONAL_MA,210.33,52.71,16076632,62.87,20.79,726,20.51,NOT_REQUIRED,327.94,1,0,215,0,BENCHMARK,2024-02-10
2024,LV,G46WA26,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,77.71,68.25,5451737,24.35,12.32,110,61.26,CONDITIONAL,446.89,1,0,420,0,SECOND,2024-11-10
2025,PL,H53HN43,ORPHAN,DECENTRALISED,107.37,76.15,23905822,70.85,14.54,222,140.95,PENDING,196.85,0,0,17,0,FIRST,2024-02-11
2006,ES,J60SA60,OTC,CENTRALISED_EMA,40.9,66.11,13467504,57.23,5.05,75,27.9,POSITIVE,134.01,0,0,243,1,FLASH,2025-01-26
2007,HR,L67DN77,VACCINE,NATIONAL_MA,163.5,79.48,1868263,81.56,1.38,237,191.53,NEGATIVE,35.42,0,0,322,0,BENCHMARK,2025-05-31
2008,FI,M74OA94,BIOSIMILAR,MUTUAL_RECOGNITION,164.35,79.87,18773753,19.31,50.65,218,78.58,NOT_REQUIRED,499.09,0,0,166,0,SECOND,2025-09-12
