energy_prices_reference_month,energy_prices_country_iso2,energy_prices_consumer_type_code,energy_prices_band_consumption_code,energy_prices_price_eur_kwh,energy_prices_energy_component_eur_kwh,energy_prices_network_component_eur_kwh,energy_prices_tax_levy_component_eur_kwh,energy_prices_vat_rate_pct,energy_prices_retail_market_concentration_hhi,energy_prices_supplier_switching_rate_pct,energy_prices_price_cap_regulation_flag,energy_prices_renewable_levy_flag,energy_prices_energy_poverty_rate_pct,energy_prices_bill_arrears_rate_pct,energy_prices_smart_meter_penetration_pct,energy_prices_time_of_use_tariff_flag,energy_prices_eurostat_table_code,energy_prices_methodology_version,energy_prices_data_extract_date
2018-01,PT,HOUSEHOLD,BAND_1_LOW,0.1347,0.0628,0.0462,0.0257,7.1,1193,6.27,0,1,10.19,13.42,48.02,0,nrg_pc_204,EUROSTAT_METH_V1,2025-12-12
2018-02,SE,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2542,0.1184,0.0341,0.1017,9.5,2846,5.17,0,1,5.42,9.49,52.86,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-12-14
2018-03,CY,SME,BAND_3_HIGH,0.2291,0.1065,0.0647,0.0579,15.85,2040,6.52,0,1,10.21,4.64,83.24,1,nrg_pc_206,EUROSTAT_METH_V2,2026-01-23
2018-04,FR,HOUSEHOLD,BAND_2_MEDIUM,0.1179,0.0724,0.0291,0.0164,9.03,1617,8.33,0,1,5.71,4.32,13.82,0,nrg_pc_204,EUROSTAT_METH_V1,2025-01-20
2018-05,IT,NON_HOUSEHOLD,BAND_1_LOW,0.3135,0.212,0.0835,0.018,23.13,2452,8.47,0,1,2.19,9.93,22.33,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-16
2018-06,NL,SME,BAND_4_VERY_HIGH,0.1444,0.1046,0.0436,0.0,13.43,4840,5.33,1,1,11.82,6.42,89.0,0,nrg_pc_206,EUROSTAT_METH_V2,2024-12-01
2018-07,SI,HOUSEHOLD,BAND_3_HIGH,0.2815,0.1374,0.0459,0.0982,16.29,1672,16.9,1,1,8.92,0.44,87.81,1,nrg_pc_204,EUROSTAT_METH_V1,2024-12-24
2018-08,BG,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2508,0.1654,0.037,0.0484,5.21,2930,6.74,0,1,10.04,6.81,85.71,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-02-12
2018-09,EE,SME,BAND_1_LOW,0.2334,0.1468,0.0753,0.0113,21.59,5160,4.27,1,1,14.67,1.96,57.32,0,nrg_pc_206,EUROSTAT_METH_V2,2025-05-04
2018-10,HU,HOUSEHOLD,BAND_4_VERY_HIGH,0.2114,0.102,0.0417,0.0677,25.71,2457,6.03,0,1,5.28,7.95,91.66,1,nrg_pc_204,EUROSTAT_METH_V1,2025-01-23
2018-11,LU,NON_HOUSEHOLD,BAND_3_HIGH,0.2337,0.1529,0.0709,0.0099,8.03,4279,16.51,0,1,18.15,14.74,56.45,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-10-15
2018-12,RO,SME,BAND_2_MEDIUM,0.1269,0.0943,0.0187,0.0139,18.81,2516,7.55,0,1,3.91,0.69,84.51,0,nrg_pc_206,EUROSTAT_METH_V2,2026-02-18
2019-01,AT,HOUSEHOLD,BAND_1_LOW,0.2299,0.1313,0.0771,0.0215,12.38,1546,5.03,0,1,13.33,8.69,21.62,0,nrg_pc_204,EUROSTAT_METH_V1,2024-07-11
2019-02,CZ,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.1304,0.075,0.0264,0.029,10.33,1984,8.53,1,1,14.32,12.49,76.71,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-10-02
2019-03,DE,SME,BAND_3_HIGH,0.2517,0.1162,0.0876,0.0479,14.26,3320,5.26,1,1,21.12,3.62,58.64,0,nrg_pc_206,EUROSTAT_METH_V2,2024-02-07
2019-04,LV,HOUSEHOLD,BAND_2_MEDIUM,0.1753,0.1312,0.0393,0.0048,8.69,5127,3.73,1,1,13.81,5.33,14.39,0,nrg_pc_204,EUROSTAT_METH_V1,2025-01-09
2019-05,PL,NON_HOUSEHOLD,BAND_1_LOW,0.3043,0.1976,0.0758,0.0309,22.49,1730,3.29,0,1,17.88,13.51,33.22,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-11-26
2019-06,ES,SME,BAND_4_VERY_HIGH,0.3178,0.2019,0.0425,0.0734,10.22,3800,15.33,1,0,2.83,5.67,22.71,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-02
2019-07,HR,HOUSEHOLD,BAND_3_HIGH,0.2072,0.1338,0.0645,0.0089,6.76,1807,17.26,1,1,17.36,9.45,76.35,0,nrg_pc_204,EUROSTAT_METH_V1,2024-09-27
2019-08,FI,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2446,0.1275,0.059,0.0581,5.04,4871,13.2,1,1,7.37,14.75,89.14,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-02-27
2019-09,IE,SME,BAND_1_LOW,0.1804,0.112,0.0408,0.0276,25.02,3960,12.2,0,0,4.47,9.36,38.77,0,nrg_pc_206,EUROSTAT_METH_V2,2025-01-18
2019-10,MT,HOUSEHOLD,BAND_4_VERY_HIGH,0.2327,0.1244,0.0411,0.0672,23.59,1918,5.64,0,1,4.79,1.99,20.29,0,nrg_pc_204,EUROSTAT_METH_V1,2025-04-30
2019-11,SK,NON_HOUSEHOLD,BAND_3_HIGH,0.1901,0.1421,0.0492,0.0,17.47,3021,10.94,0,1,21.09,2.15,71.94,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-05
2019-12,BE,SME,BAND_2_MEDIUM,0.2277,0.1432,0.0793,0.0052,11.96,2212,0.84,1,0,15.9,7.8,37.97,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-15
2020-01,DK,HOUSEHOLD,BAND_1_LOW,0.2996,0.2065,0.0836,0.0095,16.91,1677,12.98,0,0,14.72,10.51,70.77,1,nrg_pc_204,EUROSTAT_METH_V1,2024-11-23
2020-02,GR,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3363,0.2351,0.0753,0.0259,17.65,3237,9.57,0,1,5.87,2.29,60.95,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-04-03
2020-03,LT,SME,BAND_3_HIGH,0.1658,0.1005,0.0281,0.0372,21.42,4737,1.69,0,0,15.12,12.21,55.4,0,nrg_pc_206,EUROSTAT_METH_V2,2025-12-26
2020-04,PT,HOUSEHOLD,BAND_2_MEDIUM,0.2257,0.1663,0.0782,0.0,8.64,4516,4.93,0,0,20.93,9.95,30.04,0,nrg_pc_204,EUROSTAT_METH_V1,2025-05-12
2020-05,SE,NON_HOUSEHOLD,BAND_1_LOW,0.2824,0.1734,0.0415,0.0675,22.04,2050,14.69,0,1,13.99,4.1,42.44,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-08-17
2020-06,CY,SME,BAND_4_VERY_HIGH,0.3475,0.2142,0.118,0.0153,25.39,2708,4.43,0,1,11.72,0.85,39.12,0,nrg_pc_206,EUROSTAT_METH_V2,2024-04-05
2020-07,FR,HOUSEHOLD,BAND_3_HIGH,0.3069,0.2125,0.0425,0.0519,10.22,4548,9.38,0,0,16.6,15.71,38.45,0,nrg_pc_204,EUROSTAT_METH_V1,2026-01-15
2020-08,IT,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2535,0.1223,0.0652,0.066,22.71,3974,5.42,0,1,7.34,5.27,76.25,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-06-10
2020-09,NL,SME,BAND_1_LOW,0.2112,0.1456,0.0449,0.0207,18.93,2156,5.52,0,0,21.32,6.6,89.71,1,nrg_pc_206,EUROSTAT_METH_V2,2025-04-19
2020-10,SI,HOUSEHOLD,BAND_4_VERY_HIGH,0.132,0.0925,0.0255,0.014,26.04,4320,9.5,1,1,10.92,7.99,54.13,0,nrg_pc_204,EUROSTAT_METH_V1,2024-10-01
2020-11,BG,NON_HOUSEHOLD,BAND_3_HIGH,0.2299,0.1083,0.0432,0.0784,14.96,5016,3.07,1,1,8.44,4.72,12.26,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-05-25
2020-12,EE,SME,BAND_2_MEDIUM,0.2919,0.1923,0.078,0.0216,13.36,2375,17.98,1,1,1.35,7.81,51.26,0,nrg_pc_206,EUROSTAT_METH_V2,2024-06-18
2021-01,HU,HOUSEHOLD,BAND_1_LOW,0.2739,0.125,0.087,0.0619,8.35,2754,4.36,1,1,16.67,1.58,94.49,1,nrg_pc_204,EUROSTAT_METH_V1,2025-05-23
2021-02,LU,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3257,0.1664,0.0597,0.0996,7.5,4110,6.59,1,1,9.8,8.67,79.49,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-06-02
2021-03,RO,SME,BAND_3_HIGH,0.5454,0.4033,0.119,0.0231,15.99,3902,9.8,0,1,4.84,13.72,37.51,0,nrg_pc_206,EUROSTAT_METH_V2,2024-07-17
2021-04,AT,HOUSEHOLD,BAND_2_MEDIUM,0.1639,0.0792,0.0345,0.0502,25.61,2436,9.14,0,1,16.38,4.79,58.88,1,nrg_pc_204,EUROSTAT_METH_V1,2024-09-27
2021-05,CZ,NON_HOUSEHOLD,BAND_1_LOW,0.1755,0.117,0.0594,0.0,19.83,2015,16.57,0,0,2.79,10.71,21.51,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-15
2021-06,DE,SME,BAND_4_VERY_HIGH,0.4251,0.2451,0.1131,0.0669,25.84,4290,3.49,0,0,9.25,8.4,25.09,0,nrg_pc_206,EUROSTAT_METH_V2,2024-03-12
2021-07,LV,HOUSEHOLD,BAND_3_HIGH,0.4504,0.29,0.0608,0.0996,8.37,4347,6.84,0,1,7.08,5.86,73.99,0,nrg_pc_204,EUROSTAT_METH_V1,2025-11-09
2021-08,PL,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3936,0.2322,0.1152,0.0462,22.26,4671,11.02,1,0,10.21,8.04,26.27,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-03-19
2021-09,ES,SME,BAND_1_LOW,0.3151,0.2349,0.1017,0.0,23.66,1050,0.46,1,1,15.84,11.53,47.19,0,nrg_pc_206,EUROSTAT_METH_V2,2024-06-26
2021-10,HR,HOUSEHOLD,BAND_4_VERY_HIGH,0.5252,0.3792,0.1332,0.0128,11.18,1524,4.37,1,1,7.95,5.09,61.7,1,nrg_pc_204,EUROSTAT_METH_V1,2024-08-06
2021-11,FI,NON_HOUSEHOLD,BAND_3_HIGH,0.5852,0.2717,0.0882,0.2253,18.15,2809,12.92,0,0,13.57,12.5,69.84,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-02-17
2021-12,IE,SME,BAND_2_MEDIUM,0.4674,0.3042,0.1243,0.0389,11.9,4440,6.78,0,0,18.62,1.68,10.38,0,nrg_pc_206,EUROSTAT_METH_V2,2024-09-16
2022-01,MT,HOUSEHOLD,BAND_1_LOW,0.5849,0.356,0.1763,0.0526,20.8,1259,15.46,1,1,12.28,4.5,90.53,1,nrg_pc_204,EUROSTAT_METH_V1,2024-10-12
2022-02,SK,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.4554,0.2855,0.1486,0.0213,20.94,4375,13.17,1,0,14.51,1.55,53.1,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-03-28
2022-03,BE,SME,BAND_3_HIGH,0.43,0.2348,0.0996,0.0956,16.74,2098,9.55,0,1,19.79,13.64,69.46,1,nrg_pc_206,EUROSTAT_METH_V2,2024-11-13
2022-04,DK,HOUSEHOLD,BAND_2_MEDIUM,0.191,0.0903,0.0437,0.057,21.36,4301,1.38,1,0,19.44,12.03,95.24,1,nrg_pc_204,EUROSTAT_METH_V1,2026-02-06
2022-05,GR,NON_HOUSEHOLD,BAND_1_LOW,0.3896,0.2611,0.1183,0.0102,11.49,2473,12.4,1,1,1.79,10.54,86.83,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-02-10
2022-06,LT,SME,BAND_4_VERY_HIGH,0.2848,0.1758,0.0852,0.0238,26.22,3860,9.9,0,1,6.45,1.48,78.91,1,nrg_pc_206,EUROSTAT_METH_V2,2025-01-13
2022-07,PT,HOUSEHOLD,BAND_3_HIGH,0.2471,0.1611,0.0407,0.0453,10.22,958,15.33,0,0,1.6,4.79,13.25,0,nrg_pc_204,EUROSTAT_METH_V1,2024-11-15
2022-08,SE,NON_HOUSEHOLD,BAND_2_MEDIUM,0.5464,0.2653,0.1365,0.1446,25.17,2544,2.26,1,1,12.2,3.83,72.88,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-03-12
2022-09,CY,SME,BAND_1_LOW,0.3748,0.2104,0.1125,0.0519,16.4,3979,8.93,0,1,21.76,15.86,64.41,0,nrg_pc_206,EUROSTAT_METH_V2,2025-01-02
2022-10,FR,HOUSEHOLD,BAND_4_VERY_HIGH,0.2063,0.1227,0.0287,0.0549,19.64,2204,3.42,0,1,21.94,0.98,67.4,0,nrg_pc_204,EUROSTAT_METH_V1,2025-12-16
2022-11,IT,NON_HOUSEHOLD,BAND_3_HIGH,0.4263,0.2802,0.0709,0.0752,16.64,2321,6.99,1,1,1.7,14.53,49.07,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-05-18
2022-12,NL,SME,BAND_2_MEDIUM,0.4487,0.2942,0.1293,0.0252,18.95,2926,13.36,0,0,5.77,9.09,60.08,1,nrg_pc_206,EUROSTAT_METH_V2,2025-05-19
2023-01,SI,HOUSEHOLD,BAND_1_LOW,0.5319,0.3194,0.1045,0.108,8.66,3520,1.81,0,1,20.95,15.44,54.35,0,nrg_pc_204,EUROSTAT_METH_V1,2024-02-16
2023-02,BG,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.1844,0.0862,0.0267,0.0715,20.13,2376,5.68,0,0,18.3,1.34,62.89,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-08-17
2023-03,EE,SME,BAND_3_HIGH,0.6193,0.343,0.1153,0.161,24.34,2887,5.55,1,1,14.09,6.08,96.92,0,nrg_pc_206,EUROSTAT_METH_V2,2024-08-07
2023-04,HU,HOUSEHOLD,BAND_2_MEDIUM,0.2974,0.1596,0.0846,0.0532,16.88,4422,1.17,1,1,8.23,6.3,55.44,1,nrg_pc_204,EUROSTAT_METH_V1,2026-01-31
2023-05,LU,NON_HOUSEHOLD,BAND_1_LOW,0.4363,0.3257,0.1245,0.0,9.44,2243,8.49,0,0,13.18,1.45,58.92,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-06-22
2023-06,RO,SME,BAND_4_VERY_HIGH,0.518,0.2902,0.0769,0.1509,6.53,1815,4.07,0,1,16.85,6.34,58.83,0,nrg_pc_206,EUROSTAT_METH_V2,2025-04-12
2023-07,AT,HOUSEHOLD,BAND_3_HIGH,0.2084,0.1391,0.027,0.0423,10.02,3255,1.62,1,1,16.1,7.88,80.32,1,nrg_pc_204,EUROSTAT_METH_V1,2025-07-17
2023-08,CZ,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2223,0.1073,0.047,0.068,12.32,1056,11.58,1,1,6.9,13.78,22.98,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-08-19
2023-09,DE,SME,BAND_1_LOW,0.4482,0.2898,0.0539,0.1045,10.32,1763,17.37,0,1,13.82,10.66,18.52,0,nrg_pc_206,EUROSTAT_METH_V2,2025-11-24
2023-10,LV,HOUSEHOLD,BAND_4_VERY_HIGH,0.4619,0.2683,0.1012,0.0924,13.82,3402,1.79,0,1,1.05,9.48,63.42,0,nrg_pc_204,EUROSTAT_METH_V1,2025-03-31
2023-11,PL,NON_HOUSEHOLD,BAND_3_HIGH,0.4678,0.3304,0.1406,0.0,19.22,2611,15.98,0,0,6.86,12.21,81.7,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-03-25
2023-12,ES,SME,BAND_2_MEDIUM,0.4152,0.2247,0.0977,0.0928,18.08,1819,16.22,0,1,13.69,8.87,46.07,1,nrg_pc_206,EUROSTAT_METH_V2,2024-03-23
2024-01,HR,HOUSEHOLD,BAND_1_LOW,0.2114,0.1249,0.0427,0.0438,19.14,1624,4.04,0,0,8.74,0.91,81.99,0,nrg_pc_204,EUROSTAT_METH_V1,2025-03-05
2024-02,FI,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.5147,0.2561,0.1056,0.153,17.16,3268,11.94,0,1,20.08,11.68,74.79,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-01-23
2024-03,IE,SME,BAND_3_HIGH,0.4944,0.3533,0.0827,0.0584,12.72,3446,4.36,0,1,3.54,4.3,48.04,1,nrg_pc_206,EUROSTAT_METH_V2,2024-04-23
2024-04,MT,HOUSEHOLD,BAND_2_MEDIUM,0.4245,0.21,0.1028,0.1117,17.26,4712,12.06,0,0,19.58,11.84,81.21,1,nrg_pc_204,EUROSTAT_METH_V1,2025-08-15
2024-05,SK,NON_HOUSEHOLD,BAND_1_LOW,0.4213,0.2081,0.1295,0.0837,6.25,2722,3.44,0,1,10.95,1.92,58.61,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-09-27
2024-06,BE,SME,BAND_4_VERY_HIGH,0.3145,0.1994,0.0916,0.0235,21.08,1769,16.54,0,0,8.53,6.82,49.21,1,nrg_pc_206,EUROSTAT_METH_V2,2025-12-06
2024-07,DK,HOUSEHOLD,BAND_3_HIGH,0.3011,0.1395,0.0778,0.0838,10.7,934,15.62,1,0,6.91,8.47,39.11,0,nrg_pc_204,EUROSTAT_METH_V1,2026-02-05
2024-08,GR,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3826,0.2737,0.1267,0.0,16.55,3355,7.19,0,1,14.0,13.31,47.08,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-06-21
2024-09,LT,SME,BAND_1_LOW,0.5437,0.2757,0.1056,0.1624,16.54,2589,3.92,1,1,13.12,6.26,71.18,0,nrg_pc_206,EUROSTAT_METH_V2,2025-01-14
2024-10,PT,HOUSEHOLD,BAND_4_VERY_HIGH,0.515,0.3373,0.0973,0.0804,7.27,2783,0.71,0,1,19.89,9.42,46.45,0,nrg_pc_204,EUROSTAT_METH_V1,2026-01-13
2024-11,SE,NON_HOUSEHOLD,BAND_3_HIGH,0.1886,0.1262,0.046,0.0164,13.18,1282,0.38,1,1,13.48,9.13,24.49,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-05-10
2024-12,CY,SME,BAND_2_MEDIUM,0.1345,0.0765,0.0209,0.0371,23.97,3794,7.65,0,1,12.13,5.47,57.98,1,nrg_pc_206,EUROSTAT_METH_V2,2025-07-02
2025-01,FR,HOUSEHOLD,BAND_1_LOW,0.2131,0.1327,0.0469,0.0335,7.48,864,12.69,0,0,12.76,5.69,60.51,0,nrg_pc_204,EUROSTAT_METH_V1,2025-06-22
2025-02,IT,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3952,0.2709,0.1295,0.0,25.31,4881,7.99,0,1,14.85,15.25,50.4,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-08-28
2025-03,NL,SME,BAND_3_HIGH,0.3544,0.2586,0.1115,0.0,16.32,968,10.66,0,0,16.41,5.62,21.55,0,nrg_pc_206,EUROSTAT_METH_V2,2024-12-26
2025-04,SI,HOUSEHOLD,BAND_2_MEDIUM,0.2351,0.132,0.0623,0.0408,24.97,2743,8.15,1,0,14.54,0.23,75.36,1,nrg_pc_204,EUROSTAT_METH_V1,2025-05-19
2025-05,BG,NON_HOUSEHOLD,BAND_1_LOW,0.4169,0.2273,0.1447,0.0449,8.84,1843,8.91,0,0,12.81,15.85,64.19,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-01-16
2025-06,EE,SME,BAND_4_VERY_HIGH,0.3636,0.2491,0.1221,0.0,16.28,1822,3.98,0,0,10.91,10.05,88.08,0,nrg_pc_206,EUROSTAT_METH_V2,2026-01-14
2025-07,HU,HOUSEHOLD,BAND_3_HIGH,0.3783,0.2637,0.1155,0.0,26.33,3999,16.65,0,1,12.21,16.0,54.05,1,nrg_pc_204,EUROSTAT_METH_V1,2024-01-03
2025-08,LU,NON_HOUSEHOLD,BAND_2_MEDIUM,0.1826,0.0836,0.0358,0.0632,20.99,2008,7.6,1,0,6.19,5.69,84.83,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-19
2025-09,RO,SME,BAND_1_LOW,0.3546,0.2292,0.0951,0.0303,24.8,2322,7.99,0,1,6.57,3.98,67.89,0,nrg_pc_206,EUROSTAT_METH_V2,2025-11-11
2025-10,AT,HOUSEHOLD,BAND_4_VERY_HIGH,0.1766,0.1244,0.0335,0.0187,19.47,4677,3.73,0,0,11.98,12.52,62.12,1,nrg_pc_204,EUROSTAT_METH_V1,2024-01-22
2025-11,CZ,NON_HOUSEHOLD,BAND_3_HIGH,0.4175,0.2136,0.103,0.1009,13.26,3174,0.28,1,0,21.68,1.18,96.51,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-15
2025-12,DE,SME,BAND_2_MEDIUM,0.2154,0.1133,0.0323,0.0698,7.51,3001,6.77,1,1,15.44,8.21,54.94,1,nrg_pc_206,EUROSTAT_METH_V2,2025-06-05
2026-01,LV,HOUSEHOLD,BAND_1_LOW,0.3473,0.1792,0.0687,0.0994,17.45,2143,4.71,1,0,9.79,10.46,82.22,0,nrg_pc_204,EUROSTAT_METH_V1,2024-10-25
2026-02,PL,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3808,0.2052,0.1244,0.0512,20.93,3343,10.43,0,1,14.39,8.08,63.32,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-10-07
2026-03,ES,SME,BAND_3_HIGH,0.2472,0.1745,0.0445,0.0282,21.17,3862,11.73,0,1,14.55,12.15,96.3,1,nrg_pc_206,EUROSTAT_METH_V2,2024-09-02
2026-04,HR,HOUSEHOLD,BAND_2_MEDIUM,0.431,0.2298,0.1259,0.0753,10.66,975,9.91,0,0,9.18,10.54,30.44,0,nrg_pc_204,EUROSTAT_METH_V1,2025-07-02
2026-05,FI,NON_HOUSEHOLD,BAND_1_LOW,0.4057,0.2746,0.0556,0.0755,24.84,4653,5.66,1,1,14.17,7.42,52.48,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-09-15
2026-06,IE,SME,BAND_4_VERY_HIGH,0.1705,0.0893,0.0244,0.0568,26.22,1985,8.73,1,0,20.01,1.83,13.49,0,nrg_pc_206,EUROSTAT_METH_V2,2024-07-31
2026-07,MT,HOUSEHOLD,BAND_3_HIGH,0.2134,0.1063,0.0727,0.0344,16.41,4519,15.53,0,0,6.84,10.1,72.9,1,nrg_pc_204,EUROSTAT_METH_V1,2025-02-24
2026-08,SK,NON_HOUSEHOLD,BAND_2_MEDIUM,0.1286,0.0642,0.0305,0.0339,5.0,832,1.38,1,0,6.22,2.44,23.16,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-04-02
2026-09,BE,SME,BAND_1_LOW,0.4127,0.2933,0.0676,0.0518,17.32,4931,6.04,0,0,18.5,15.78,63.96,0,nrg_pc_206,EUROSTAT_METH_V2,2025-08-01
2026-10,DK,HOUSEHOLD,BAND_4_VERY_HIGH,0.2838,0.1825,0.0695,0.0318,9.32,1663,4.38,1,1,13.56,9.15,22.15,0,nrg_pc_204,EUROSTAT_METH_V1,2024-11-22
2026-11,GR,NON_HOUSEHOLD,BAND_3_HIGH,0.5054,0.3357,0.0926,0.0771,16.56,3862,10.18,0,0,18.16,15.79,28.82,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-03-22
2026-12,LT,SME,BAND_2_MEDIUM,0.1675,0.1115,0.0474,0.0086,17.71,2720,5.4,1,1,19.63,14.05,87.41,1,nrg_pc_206,EUROSTAT_METH_V2,2025-01-02
2016-01,PT,HOUSEHOLD,BAND_1_LOW,0.1769,0.1149,0.0402,0.0218,9.32,4084,17.05,0,0,21.37,8.83,70.87,0,nrg_pc_204,EUROSTAT_METH_V1,2025-12-12
2016-02,SE,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.1945,0.1046,0.0659,0.024,13.04,5187,0.48,0,0,2.1,9.9,84.28,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-01-05
2016-03,CY,SME,BAND_3_HIGH,0.2392,0.1502,0.0346,0.0544,15.23,1971,5.72,0,1,6.2,10.62,90.5,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-14
2016-04,FR,HOUSEHOLD,BAND_2_MEDIUM,0.3653,0.2354,0.0613,0.0686,21.69,1438,1.28,0,1,17.28,2.65,29.1,0,nrg_pc_204,EUROSTAT_METH_V1,2025-05-05
2016-05,IT,NON_HOUSEHOLD,BAND_1_LOW,0.1179,0.0784,0.0218,0.0177,16.51,4977,16.88,0,0,17.38,1.49,82.01,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-01
2016-06,NL,SME,BAND_4_VERY_HIGH,0.0971,0.0586,0.0299,0.0086,7.77,2033,4.31,0,0,4.1,8.82,17.18,0,nrg_pc_206,EUROSTAT_METH_V2,2025-01-07
2016-07,SI,HOUSEHOLD,BAND_3_HIGH,0.1166,0.0552,0.0342,0.0272,20.65,3055,16.69,0,1,12.77,8.43,38.92,0,nrg_pc_204,EUROSTAT_METH_V1,2024-08-07
2016-08,BG,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2767,0.1557,0.0359,0.0851,7.85,992,8.41,1,1,3.38,3.7,44.89,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-05-11
2016-09,EE,SME,BAND_1_LOW,0.1338,0.0977,0.0231,0.013,26.53,2764,7.74,0,1,21.05,6.09,43.7,0,nrg_pc_206,EUROSTAT_METH_V2,2025-03-25
2016-10,HU,HOUSEHOLD,BAND_4_VERY_HIGH,0.3198,0.2168,0.1073,0.0,26.84,4665,17.75,0,1,6.36,13.44,81.04,0,nrg_pc_204,EUROSTAT_METH_V1,2024-04-16
2016-11,LU,NON_HOUSEHOLD,BAND_3_HIGH,0.3501,0.2171,0.0723,0.0607,16.6,2470,4.9,0,0,8.99,2.84,66.97,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-12-16
2016-12,RO,SME,BAND_2_MEDIUM,0.3275,0.2444,0.043,0.0401,16.49,3874,11.67,0,0,13.15,6.85,39.41,0,nrg_pc_206,EUROSTAT_METH_V2,2025-04-11
2017-01,AT,HOUSEHOLD,BAND_1_LOW,0.1097,0.054,0.0172,0.0385,19.38,1215,8.74,0,0,17.44,1.46,48.76,1,nrg_pc_204,EUROSTAT_METH_V1,2024-10-13
2017-02,CZ,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2121,0.1465,0.0596,0.006,23.86,4427,3.17,1,1,2.55,3.81,33.18,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-05-29
2017-03,DE,SME,BAND_3_HIGH,0.3491,0.259,0.0913,0.0,5.24,2920,6.3,0,0,19.11,10.17,28.14,0,nrg_pc_206,EUROSTAT_METH_V2,2024-08-05
2017-04,LV,HOUSEHOLD,BAND_2_MEDIUM,0.2532,0.1851,0.0496,0.0185,11.0,1628,16.53,1,1,5.25,4.25,90.54,1,nrg_pc_204,EUROSTAT_METH_V1,2024-05-30
2017-05,PL,NON_HOUSEHOLD,BAND_1_LOW,0.1007,0.0566,0.0222,0.0219,5.87,2047,15.28,1,1,10.49,8.73,62.38,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-07-17
2017-06,ES,SME,BAND_4_VERY_HIGH,0.2947,0.169,0.0357,0.09,8.9,1221,8.69,0,1,17.57,9.02,76.65,1,nrg_pc_206,EUROSTAT_METH_V2,2024-07-11
