biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_nic_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2025,8aa617a04b566e6b,166c03f39bdadada,56,500-999,815424,5,4,20,20,120,36,20.36,98.82,36.62,0,0,producer_company,1119954.55,0
2016,bb448674f0af608c,82581d4fadd22710,67,1-4,606911,6,2,42,4,32,42,18.5,81.4,92.8,0,0,partnership,1530498.01,0
2010,d4b36de2259a03e0,6a9a2e84259e8c3c,41,20-49,142044,4,5,44,45,120,48,26.57,73.09,16.83,0,1,public_ltd,780079.69,0
2025,5d6cb33dc1479894,16efda550c265d17,62,20-49,209822,9,5,18,50,96,30,23.74,91.51,58.25,0,0,partnership,533737.62,1
2012,d9b34431b1412cdc,5b4da1f64510758d,18,250-499,635425,6,5,60,85,143,66,10.91,85.76,29.92,0,0,partnership,461891.04,0
2020,0b3aa3928bd16a17,410668d30d3a4254,35,5-9,580324,14,2,98,14,18,15,10.28,71.83,31.82,0,1,opc,257466.49,0
2022,0df6876dbbd73a04,71ecf361ff02f163,7,10-19,474116,4,3,28,24,9,32,5.62,74.67,31.86,0,0,public_ltd,340900.18,0
2016,32ccc0f8f4fa0844,0e022f58b083df5f,53,1-4,975137,8,2,24,6,140,20,26.16,77.78,40.76,1,0,sole_prop,203673.16,0
2014,ec5b00261f30c518,e5d59660f9bdfec9,6,100-249,913991,7,4,63,68,10,56,15.46,72.7,43.59,0,0,sole_prop,180704.75,0
2017,1ffedc54ce7bbafb,1220729310c90661,6,50-99,396306,11,1,121,14,40,5,29.05,82.76,94.51,0,0,cooperative,2562476.57,0
2022,cd0f033cc08e1018,d9fe8f2bdd9fed7f,72,100-249,405963,1,1,9,15,104,35,11.48,71.58,59.91,0,0,government,946327.12,0
2012,07bd91c962bba1a3,c03035571e64a1c0,79,10-19,890716,6,4,42,44,84,10,12.82,71.82,27.82,0,0,pvt_ltd,1121133.51,0
2025,ab8dd2384fdf8474,d354f7d90e5594b2,7,1000+,111817,2,3,26,9,84,36,23.59,89.17,43.61,1,0,government,161412.45,0
2016,d49b7ac2addbba9a,b5f77e7f45c532bf,24,10-19,593663,7,3,105,9,80,105,11.87,60.15,31.16,0,0,llp,637770.98,0
2023,36cd62ebff9b568a,ad58052311bf27ec,3,10-19,683439,4,3,16,45,90,42,25.25,80.11,32.98,0,0,partnership,821873.96,0
2018,963227d0ad353ab2,6fdf96a830576f0e,12,250-499,542850,3,0,15,0,9,72,20.02,85.79,31.57,0,0,pvt_ltd,304089.23,0
2011,b525b574447e0103,e1ce16f0047c3453,39,500-999,310743,5,6,10,12,88,28,0.0,83.69,40.65,0,1,llp,585056.48,0
2013,5c0fcadedf3b5480,8e346526619cc548,75,20-49,206360,12,3,132,9,90,52,12.46,89.09,32.51,0,1,opc,763176.97,0
2016,9d1792c3c760ab31,2eca0e63836465a3,26,50-99,820687,6,4,18,68,176,110,20.78,64.34,38.16,0,1,opc,372684.24,0
2020,b4f5138e9cdd5bc5,5dfa800859ddf698,79,50-99,302456,6,4,48,40,54,65,24.53,74.84,46.39,0,1,sole_prop,2284332.67,1
2023,3f340b4343237239,ceda8423f6f3e52f,37,500-999,994839,3,5,24,30,12,72,24.67,80.27,30.85,0,0,public_ltd,397711.13,0
2020,1b1d71a4b18ff1ab,d32c9d1dd7000cd9,18,1000+,991751,8,3,56,45,168,132,21.46,67.64,37.17,0,1,llp,1277815.55,1
2023,97ab10bdee989a94,5d18c39d3d44b9b7,35,5-9,791047,4,4,16,12,88,32,15.83,80.93,43.96,0,0,opc,204354.31,0
2018,61d0e88a9356d522,c161d8eb366e1d15,17,100-249,507766,5,4,75,44,36,5,34.24,71.28,36.21,0,0,public_ltd,1041591.92,0
2010,8269b53d5a319e84,d85590e50eb78034,75,250-499,321714,7,4,119,56,140,96,32.55,82.68,62.08,0,1,public_ltd,125724.11,0
2025,1fb3f7b2fb156ccd,29a7894104f4d3ec,46,500-999,190721,6,0,72,0,28,90,13.14,75.41,23.73,0,0,public_ltd,960284.99,0
2022,73e3bb9fa4104f9f,a7c9d530b366585c,25,20-49,143026,6,6,48,84,45,63,13.5,82.75,43.12,0,0,government,409212.54,1
2012,077ab6584bd4cc1f,03c31a3bef02bcd9,73,500-999,891706,10,5,30,25,9,20,2.36,68.82,66.3,0,0,partnership,680748.53,1
2024,020dc923d80a2b50,49a40d88000ae56e,24,20-49,554887,5,4,50,20,132,22,23.72,74.07,45.51,0,0,government,463701.39,0
2025,e9e29af4d39ccd21,1422d8df02032827,61,100-249,757767,10,8,130,80,30,84,26.41,86.92,53.71,0,0,public_ltd,2422808.96,0
2013,8e84cfb55008b206,b1decc5b56253ee8,62,50-99,980360,3,6,42,48,9,52,5.33,92.24,47.38,0,0,sole_prop,452589.69,0
2013,998c3b4e718bc80e,943574fd4b5d3a8f,55,250-499,556660,12,3,36,48,20,18,29.0,76.24,59.43,0,1,public_ltd,461744.03,0
2011,0a3e7025e94fd4e5,23f82e31f20f1b17,25,1-4,346635,9,2,153,26,30,40,8.27,75.54,34.74,0,1,sole_prop,166398.62,0
2014,6850a397bfac932f,b772b8afce1d852e,12,500-999,212178,11,4,165,48,48,35,29.6,66.78,34.1,0,0,public_ltd,348663.73,0
2012,1b9538d3befffb33,3d810d35f676ceb5,26,20-49,106732,4,3,8,18,28,25,10.52,92.3,59.41,0,1,cooperative,845103.8,0
2016,692751c310796bc6,c4e1b7c9a16fca85,1,20-49,159633,5,2,25,4,154,28,11.52,90.02,53.68,0,0,pvt_ltd,569635.19,0
2019,f32ad3c3e5184e56,46b023ea75c66e8c,21,50-99,841866,5,5,45,15,30,48,17.59,69.27,47.47,1,0,llp,1319109.99,0
2010,a9230e3a4b69df16,635780668a1226e9,28,5-9,560133,5,1,45,4,40,80,29.73,73.39,69.63,0,0,sole_prop,267314.99,0
2023,e91f5ee5448bbbf5,5a459d1606b5e557,25,50-99,709349,5,4,45,8,39,63,22.92,88.57,20.97,1,0,opc,445324.08,0
2021,311d531dee142321,a2957fa6e7a29306,31,1-4,538115,3,0,18,0,81,65,18.08,74.99,49.27,0,1,cooperative,361646.13,1
2014,0344f1a7b919ae01,6bcfd5c53c26d9d0,39,10-19,500607,6,4,78,16,66,24,30.26,74.77,37.81,0,0,partnership,407436.41,0
2024,2305f02f87d66262,38ae91754b58de80,73,50-99,492889,7,3,70,42,60,54,33.46,84.97,36.64,0,0,cooperative,381892.21,0
2021,eed9c0973c869c58,86ca6b1a5289ebdd,79,250-499,206334,7,7,84,105,70,77,19.0,63.66,42.72,0,0,llp,377366.52,0
2022,c6dbf874dbd54d2c,2fca8b0bd102051d,17,20-49,661023,7,7,91,98,48,48,15.7,67.29,50.2,0,0,llp,776144.86,0
2010,ceec9e282704961d,7639120f5fea7777,80,1000+,676035,7,6,21,60,91,55,39.13,78.62,66.23,0,0,cooperative,1085653.21,0
2011,89c84a4dc321fea1,19db8f18fc96364b,52,1000+,355604,3,5,27,50,84,8,24.48,78.59,51.98,0,0,producer_company,240355.04,0
2020,5a4670d1cf3d2e76,6b9136050d6efa1f,64,50-99,189694,5,4,75,64,80,77,26.93,74.01,20.32,0,1,llp,571201.89,0
2015,58489284cb2eb52d,8dc34f249be4d4d2,62,50-99,139906,5,4,15,12,112,45,20.55,72.44,43.46,0,0,opc,268317.21,0
2022,920cf92031bb8f30,ef337798beae2c1a,1,50-99,491301,3,6,12,96,169,90,27.48,70.56,67.03,0,0,cooperative,486182.39,1
2012,80a3fd3369ac76cf,45e6b7eeba446fb2,43,5-9,282097,2,6,14,48,52,25,15.02,97.6,46.92,1,0,opc,856119.45,0
2022,2a829783ec6ef019,0019ffafd141992e,34,5-9,439809,3,6,36,12,55,72,20.12,73.64,49.72,0,0,llp,1049819.12,0
2011,ec4f30becd44dab7,50e47d241cd14b2b,72,20-49,905849,4,1,56,3,21,45,25.27,79.7,42.1,0,1,government,1186630.29,0
2010,4c3dde80e6f5ad06,9909dcf618e71510,65,1000+,182901,11,3,165,51,187,12,10.25,86.51,45.83,1,0,cooperative,941533.79,0
2017,8109ecddff951bc1,f25b1f27624093bc,53,5-9,349336,4,1,8,7,30,14,15.9,85.24,54.87,0,0,government,366106.52,0
2015,77cb68a6b20e1ba2,775e350a18062056,73,1-4,172928,8,5,32,50,100,24,12.02,77.26,40.8,0,0,public_ltd,646238.72,0
2016,a7c946ccba217d79,7ca6e330682552f8,32,1000+,238498,2,9,10,63,112,143,26.1,85.67,28.98,0,1,partnership,358924.63,0
2021,7dd7e7707a1a6340,6b3553c40e5dad62,34,500-999,495881,7,5,98,80,42,25,27.89,73.37,26.05,1,1,cooperative,425240.02,0
2025,a3e592f3a04cf80a,5a315fab7a88d93c,51,50-99,317252,4,4,48,36,110,32,21.48,79.59,69.19,0,0,government,476724.03,0
2021,faaec471149a10c2,156c16fe93fdf557,79,100-249,777946,11,4,22,32,84,14,25.02,65.38,66.11,0,1,partnership,308381.84,0
2025,800fed9f82318f9b,b9459701b47eef4a,38,20-49,831980,10,3,20,9,91,88,19.44,77.42,22.9,0,0,opc,449243.57,0
2020,131428662bf71abb,61ccebd7c117f32e,47,1-4,140185,5,2,15,28,64,20,17.96,81.86,46.19,0,0,producer_company,976573.82,0
2010,3107eee2e39f46e0,e97814dd841f8e17,45,100-249,783297,5,3,60,24,24,35,12.66,78.33,50.38,0,0,pvt_ltd,2076754.56,0
2017,79b6b53106274320,b7f2f3571fc8e427,79,5-9,464561,11,3,88,18,98,12,7.68,85.35,28.58,0,0,opc,606305.12,0
2018,314d662e48dbfc7c,c973dbd95de9a1ea,57,50-99,669262,7,3,49,42,48,50,26.66,63.14,34.25,0,0,government,812091.86,0
2022,f442a4c67db196ef,d5c8961ac0d1a8b5,10,5-9,631427,2,3,10,30,140,40,9.53,56.19,46.7,1,0,llp,1041579.47,0
2016,614c754450a61572,ce2453abe4883508,28,1-4,406438,7,5,14,60,196,132,21.18,91.99,48.24,0,0,sole_prop,1328891.22,0
2019,710d43bc3df33883,af101aadec3fa5e0,36,50-99,555453,5,5,85,10,88,32,14.9,82.09,33.75,0,0,opc,1001355.5,0
2011,122ea38b32dfec27,085bc94e05cf2f86,24,5-9,729382,7,2,91,24,88,16,21.27,48.64,25.31,0,0,partnership,129163.38,0
2017,6403f72e71a0c68b,ff32ffd3f26abfb8,52,20-49,320595,2,5,4,10,80,24,4.7,72.03,52.78,0,0,producer_company,697402.93,0
2019,e8252717a6c258e5,c68e050a7ec5fe02,76,10-19,265211,9,3,72,51,32,49,15.95,78.97,65.13,0,0,government,276547.45,1
2019,0a5ac899bc8f4e38,25bb8050aeb7583f,77,500-999,583321,9,2,45,32,64,45,18.37,64.71,32.05,0,0,cooperative,187208.18,0
2012,191929294488db14,fa11ccfdb2752320,31,1000+,834707,9,2,135,32,42,24,23.19,92.61,51.28,0,0,government,517233.63,0
2022,0d333ae7ebce830b,ef760c1690e2adae,50,10-19,633473,4,3,16,36,50,27,17.01,83.35,58.0,0,0,government,714914.9,0
2011,f5810590b35ca412,0e6955d1ea980810,44,5-9,823911,8,2,104,22,72,24,15.66,58.11,59.04,0,1,opc,1285237.18,0
2025,bb5d02778fec8b73,775ebd9ec8d551bb,55,250-499,197143,5,4,30,12,180,70,0.0,64.68,24.62,0,0,public_ltd,228395.56,0
2022,f27ad7c2136fd855,671b2aad1bf36faf,69,1-4,713749,7,6,28,24,144,16,21.1,86.21,60.04,0,0,cooperative,1943710.06,0
2013,eef07adddfee93a0,77f2854147aa003d,6,20-49,677697,8,3,56,18,81,60,11.73,74.45,42.99,0,1,opc,593410.72,0
2011,cf7f450a0c1a6ba2,b3de7e59fc1e18b0,65,500-999,172372,7,4,56,56,8,70,17.63,80.74,46.66,0,0,pvt_ltd,212258.37,0
2024,70dc75cf4b759658,073829e3013039f5,34,100-249,310994,4,4,56,40,84,12,10.41,100.0,47.24,0,0,partnership,388371.85,0
2023,86a3cf7ef711fee5,44252782265b65c5,18,100-249,680615,4,4,32,24,72,48,25.63,83.21,49.93,0,0,producer_company,179615.01,0
2020,ae890b26e4d92d22,42a1c6c23b0f28c0,55,100-249,149217,7,6,84,48,63,50,6.29,56.04,50.47,0,0,sole_prop,1239903.65,0
2015,fddc1c7f5f53b5ea,d5fd676b2a42c7bf,26,250-499,316850,6,6,30,18,45,42,3.35,71.05,55.64,0,0,public_ltd,787826.58,0
2012,c2787e48835d5577,041bbdbc6fdd80da,20,20-49,626827,6,3,54,24,85,20,9.13,71.71,40.98,0,0,partnership,327283.85,0
2016,ee6b33ab726a0d5e,2ab07eef7cf6bbbf,8,500-999,936941,10,3,110,24,32,32,25.72,76.57,62.75,0,0,partnership,552994.01,0
2020,6b64379d785ed46c,f23c42992becde88,63,20-49,173180,6,0,60,0,63,18,8.96,65.1,49.05,0,0,sole_prop,816431.53,0
2023,33f5a989f3f9ab05,b2b7647cadc4736c,70,1-4,869155,4,3,28,9,99,8,14.3,86.1,52.56,0,0,cooperative,481221.27,0
2020,b3fcde9530d78a21,7c637d9a245d2a39,5,20-49,599597,8,6,112,72,54,88,10.92,63.75,54.77,0,1,llp,637986.23,0
2024,13ea72e367dd3023,8d1b5faef2c4bfba,67,20-49,260756,3,10,27,120,40,70,14.56,82.62,42.71,0,0,partnership,138350.75,0
2016,781ee3d93fd99b75,14ce5aa8c235f87c,6,1000+,790395,8,3,48,12,121,130,10.26,74.97,30.48,0,0,pvt_ltd,401962.09,0
2025,adbd45647f34b35d,8699cb316b9b8ed0,57,20-49,205747,4,3,36,24,26,26,12.18,65.8,38.57,0,0,pvt_ltd,1261855.09,0
2021,71907a8b214d1328,1ff36a9790a621c3,65,100-249,572159,0,4,0,28,156,36,23.24,79.9,29.2,0,0,llp,466172.08,0
2016,12ea86fabcd28b13,e6a8305bca217afc,42,1-4,980082,8,4,136,12,98,20,23.71,89.77,41.58,0,0,public_ltd,253365.06,0
2012,f8a430999e780159,2362adabdf79f371,59,10-19,727314,4,4,24,20,88,18,11.19,92.09,47.93,0,0,llp,212377.75,0
2015,dee52472a1804e51,ab209032d8d16150,63,1000+,604563,8,3,48,48,14,63,15.16,79.87,26.92,0,1,public_ltd,773497.15,0
2010,52d853d9dd409c3b,9f57f5fa3f7f78dc,21,10-19,315555,9,5,36,40,50,90,11.82,72.35,59.57,0,0,partnership,800984.23,0
2013,319b1d2e264d1838,a0752f9743aaf319,56,1-4,307588,6,5,90,85,63,120,20.35,93.25,71.96,0,0,llp,264654.88,0
2019,5b7a85894c79bc69,bb9aba62f4899c8a,69,1-4,367808,7,4,14,68,26,50,15.27,72.6,44.35,0,0,cooperative,1191977.8,0
2023,d7fd579c9e737c3c,8b40c2ead0f83ace,36,20-49,299944,9,2,117,26,196,14,0.0,72.85,58.81,0,0,cooperative,1529207.57,0
2025,d69549102cd0a07c,bc1b2707cc88b9e6,14,1-4,193789,8,7,120,98,32,25,13.57,79.78,66.01,0,1,llp,821738.81,0
2019,d387de85d5cf5540,0c244473360346ba,13,50-99,625148,6,5,78,40,117,28,16.04,78.99,10.72,0,0,sole_prop,188904.35,0
2018,285e7fff94c3178f,bbb63d0774d6e34b,25,10-19,196492,8,3,96,30,36,81,8.76,52.3,60.41,0,0,government,595630.64,1
2017,aee262efa0923cb2,bb68945195b27e94,36,1000+,846317,6,3,78,42,15,9,0.0,84.73,53.6,0,0,partnership,956481.89,0
2011,ed29b41b02dcb201,b30e1c9e2edb4804,21,5-9,624864,5,6,60,90,77,40,13.66,53.35,18.99,0,0,opc,755931.53,0
2013,00f90da91d2d21f6,cc11e894cea857d3,76,500-999,313446,11,9,77,72,80,12,25.18,63.73,66.61,0,1,cooperative,102490.79,0
2013,afedfa88f0d28a96,ee9695c37f7b4b40,73,1000+,642519,4,2,24,14,36,66,14.93,76.79,30.48,0,0,partnership,287885.59,0
2011,893d0224018a1952,700ff8a31a4d0243,24,500-999,686773,5,2,85,12,81,66,12.57,84.77,53.01,0,0,producer_company,1484315.61,0
2020,568337fce7a0900c,2f58a42fb1decc97,58,20-49,126505,5,4,10,20,32,70,23.24,61.93,48.87,0,0,sole_prop,605232.34,0
2014,b5049b56593c7fb3,d4957475e56d0ee1,13,1000+,754389,9,6,99,96,96,50,11.92,91.48,60.9,0,0,public_ltd,272585.01,0
2010,47e312f32f0047e2,a437e6fba6cf3928,59,500-999,878473,5,5,65,65,65,36,11.32,97.23,50.06,0,0,sole_prop,385953.71,0
2025,89c2ec5606696205,bc2247ecbc4a8abf,37,1-4,745047,6,1,30,3,36,66,19.18,78.19,46.5,0,0,opc,1781675.75,0
2010,9269901c6c126666,289fa3db750106d9,8,250-499,921660,5,3,40,15,126,33,31.88,83.18,34.6,0,0,government,544773.67,1
2023,cdfdb29965b66bbf,16c8ea18c0a12bf5,44,5-9,590021,7,3,42,48,63,77,24.74,70.19,32.95,0,0,opc,845458.02,0
2025,41e7507b8b01353c,57d09073ca8a433e,7,500-999,727499,9,4,90,64,35,32,6.91,65.83,49.42,0,0,partnership,313759.4,0
2013,53980fa6b672cee7,659965774415e721,10,5-9,942594,7,4,119,36,8,11,17.2,88.85,63.5,0,0,cooperative,1381679.45,0
2016,c3deefe41402b2e7,41f86639f3461261,16,10-19,473502,5,2,70,12,120,25,13.42,69.56,30.13,1,0,partnership,748313.73,0
2023,fbc6811b0e4c9f1c,4a1902a174e1afe5,65,10-19,291405,7,6,49,66,39,112,14.74,63.52,24.26,0,0,public_ltd,802893.69,0
2018,7bdc5ec77f3a5553,d3f38484c4809ace,50,1000+,673654,8,3,128,33,8,39,8.55,85.47,41.57,0,1,cooperative,304548.39,0
2018,0ee84da62de224bf,38988296b887c704,17,250-499,435823,2,5,8,75,80,45,11.36,97.66,48.71,0,0,producer_company,445840.65,0
2011,bf695f14dbdc5a9f,c46671906da83883,58,50-99,643489,4,5,44,25,65,90,18.62,100.0,51.3,0,1,opc,393183.86,0
2015,33ad937fff499915,2799f0c944dfa653,20,1000+,450417,2,2,24,24,130,99,25.41,60.34,15.01,0,0,government,698853.48,0
2025,bdb5626e4523f78c,8df65a6b93a7ef08,15,5-9,604679,5,9,50,63,112,100,18.11,99.21,64.28,1,1,partnership,1288019.71,0
2023,a3956cc9c2f92315,3800282909c275bc,38,1000+,663397,11,3,121,24,70,72,18.85,70.03,26.97,0,0,pvt_ltd,895917.1,0
2016,ef7f0cc0cb62914b,1ea0113d56e10a07,13,250-499,104258,5,2,75,12,85,6,19.03,81.07,46.25,0,0,opc,911093.29,0
2010,3919b94de4834292,e6b741dfb1990404,24,20-49,109821,4,4,8,24,66,75,12.38,100.0,53.62,1,0,government,489713.87,0
2012,d95ab7a79321545d,425127594ac4eefb,20,100-249,192085,4,2,8,16,112,54,7.27,63.81,46.37,0,0,opc,402352.69,0
2020,e2a44ad5eb917aae,4a80b2280c8f611e,41,250-499,426452,10,2,60,24,104,15,28.39,71.39,36.12,1,1,government,299469.13,0
2017,fbda68be1c91c91e,b6657d78381fbadd,24,5-9,975835,3,3,39,36,33,56,19.73,79.67,46.44,0,0,cooperative,137184.11,0
2015,5c8911d5dc36c193,b2d1d1d84fa6d1cc,65,250-499,478471,4,4,68,36,48,40,0.0,67.31,32.32,0,0,cooperative,663714.48,0
2015,281e4647fd4edd32,461549c2a02f9154,75,50-99,475876,6,7,48,77,60,72,10.4,71.31,26.98,0,0,cooperative,629570.85,0
2018,01cf872552f778a2,21113388333c7e3e,65,10-19,438322,9,0,36,0,84,54,27.32,91.54,55.54,1,0,opc,349767.04,0
2025,8a39b18a9f0934a3,ac076583df42874d,40,5-9,596837,8,6,16,30,35,36,7.77,78.4,32.35,0,1,partnership,739944.12,0
2025,d9badc69e774c5af,7696ba9aad32441c,53,5-9,267829,7,9,112,90,196,56,13.83,91.99,78.37,0,0,partnership,635938.58,0
2022,4b1aa5061a1f39c8,d9a6bf04af2c1cba,20,250-499,621908,4,4,24,60,18,12,28.07,63.3,37.6,0,0,partnership,413515.99,0
2020,af8ea9176ee752b6,e7102afc068bd9c8,63,100-249,588340,9,3,126,42,49,40,23.86,72.89,46.32,1,0,llp,1129541.97,0
2020,d9bf06b90ff0e385,c055403d5f378b3e,6,1000+,688194,7,6,91,90,48,42,27.71,85.85,33.1,0,0,sole_prop,270638.82,0
2011,56f59c3d46746443,5364e40ff5693c96,51,1000+,152684,8,2,136,10,12,56,20.78,100.0,45.59,0,0,producer_company,1040835.72,0
2012,6cbf7f8dac9ce2cc,a1dbeb5b296e9633,55,100-249,223793,5,7,60,14,99,30,18.18,90.29,21.29,0,0,partnership,507174.1,0
2025,beb30b0629e1c8e9,0687830981ae41d8,68,250-499,239006,5,6,70,84,10,77,24.61,77.53,27.84,0,0,cooperative,367680.17,0
2011,e0c9c84d535e25e2,f0cd38219b35105e,11,250-499,726466,3,9,9,63,12,110,20.97,78.85,42.32,0,0,sole_prop,702036.47,0
2016,65a19c00d5498fb2,dda0cc276f9d291b,20,50-99,156057,7,6,49,66,27,28,20.15,46.59,43.0,0,0,public_ltd,577587.23,1
2025,0c4b3a62ecc257c5,b3195b13a9a23403,70,100-249,241845,8,4,88,68,208,72,16.73,99.35,56.03,0,0,partnership,349393.89,0
2018,8e3b8b8a5d40f04d,fd1e643129e62f2e,60,1000+,250362,6,4,102,60,210,9,21.69,79.23,44.21,1,0,pvt_ltd,474551.97,0
2022,1611788eddb9fb87,9d5b209e35b4a367,78,10-19,910851,10,2,140,34,42,13,21.4,81.94,55.58,1,0,opc,996842.81,0
2014,744246463c4132ea,8372f7c709892fc1,41,20-49,305732,5,4,70,68,112,56,9.06,82.25,40.57,0,0,partnership,324509.67,0
2024,bd3ab24794c9696a,6f2527b36afaa15d,29,100-249,559758,4,3,8,6,110,88,11.07,70.41,33.07,0,0,producer_company,751491.38,0
2014,74a08b8893c32101,9a0aa35c242613b7,46,100-249,108903,3,6,15,24,9,54,27.76,71.24,39.72,0,1,partnership,1157742.25,0
2023,ef13a39d5c81d1cc,2fa3847525764bb6,27,50-99,546661,5,5,30,75,168,30,12.84,78.27,38.23,0,0,pvt_ltd,173634.98,0
2023,93d67280f89c56f9,c372057711305623,69,250-499,816747,11,6,121,42,130,21,10.64,84.55,37.88,0,0,producer_company,1011794.39,0
2020,3456d9efd103742d,458852af16d1deff,23,1000+,215737,8,0,40,0,63,99,24.66,76.47,18.59,0,0,sole_prop,601708.42,0
2022,aced691211f7c5d1,0e9377c0e9af29ce,23,50-99,631391,4,2,68,12,168,99,13.52,78.53,44.68,0,0,sole_prop,1071142.32,0
2012,57cc0ec7d25dbe93,2963fb4ea32c8a92,51,10-19,814177,7,3,112,6,120,55,5.49,80.25,29.38,0,0,public_ltd,338158.88,0
2016,8043cd8ff0e32525,e73f5e193f94c7b9,62,50-99,171352,8,5,112,15,120,24,7.41,81.9,43.97,0,0,cooperative,816175.85,0
2013,b7e2a99a09741f71,297196bdb2e5982f,28,100-249,857668,4,6,48,54,40,40,18.49,79.51,75.97,0,0,sole_prop,516760.14,0
2014,8284e0d90edb723f,44f48a2086e0dbc1,72,10-19,621777,9,9,108,135,42,88,15.32,86.33,35.02,0,0,llp,966995.31,0
2016,50fb0c9f317e5a5d,aed15dc9ea19608b,63,250-499,253972,2,2,34,30,154,56,16.65,81.9,52.69,0,0,partnership,1249899.27,0
2024,ce2b66927dcdb080,57d0cba5e4c93c57,52,10-19,859353,11,5,154,45,77,45,4.5,73.55,71.79,1,1,sole_prop,350635.27,0
2015,15891d75e87c6f55,5e8fcc928ca83d66,39,5-9,721504,3,12,15,120,100,54,35.95,78.73,63.12,1,0,producer_company,277132.78,0
2013,5ed5ee9934d9ae12,3253a58c8497fd30,33,20-49,132567,5,3,20,48,35,45,23.73,65.03,46.96,0,0,government,349597.74,0
2014,dd6230e59aa7ef62,4d09fcfec11df5ee,14,250-499,122970,8,5,80,40,165,99,23.84,76.21,48.03,0,0,opc,452065.25,0
2011,b02a114ed14878a5,cf47a81d7fa4fecb,21,100-249,338934,4,3,64,33,28,10,12.74,75.56,33.78,0,1,llp,444993.6,0
2022,c5dc6b2236591763,07a6c1c2ccb16790,51,100-249,997751,3,5,18,80,180,24,31.37,70.78,62.19,0,0,public_ltd,1368581.21,0
2014,266fc27622b0aaff,7a2db668d58144bd,60,100-249,338274,4,6,44,54,72,99,18.64,92.02,53.49,0,0,partnership,712844.29,0
2021,52411d1b274120c9,79c248373140cc4e,53,1-4,213742,6,2,18,26,8,55,14.35,73.88,44.46,0,1,llp,215633.06,0
2017,f989664779f8ef3c,7a2b239db236758a,43,10-19,983327,4,3,44,18,70,42,6.77,91.55,56.8,0,0,sole_prop,2176149.53,0
2019,c05ee174b0e1aa85,6d1c2905b3b87853,19,5-9,273548,11,5,121,75,56,45,4.23,68.18,38.54,0,0,public_ltd,1556160.79,0
2015,150b8b35f8cc3cd0,9696a29611cfbfe4,42,500-999,137713,4,3,40,33,70,64,15.94,87.5,33.12,0,0,government,357100.8,0
2022,6fa6cd07dc0e700f,df9cb6fa645150a5,57,500-999,425156,6,2,18,20,154,48,11.93,62.29,41.76,0,0,opc,1376600.6,0
2022,85f5dad9952e5a93,be919058ded0d867,32,250-499,662842,3,3,42,12,48,48,20.8,72.58,21.91,0,0,public_ltd,646421.57,0
2024,b027219ed3ac98d8,9e1d161369b7f77a,50,20-49,385177,6,5,30,55,77,8,24.54,82.89,15.51,0,0,producer_company,814527.27,0
2017,fba3b09df104f483,961126fe0cdecec5,36,5-9,921756,3,7,33,98,112,44,32.27,77.96,83.84,0,0,cooperative,660848.76,0
2014,57511cb8c854f1e6,091e92034fe23d74,76,250-499,125391,4,1,12,10,99,56,18.9,88.49,39.63,0,1,partnership,509588.42,0
2010,9d57c66414c8ac69,6fbcb0206965632e,10,50-99,399841,5,6,50,18,35,35,24.78,75.78,35.18,0,0,opc,213712.05,0
2018,a04e025d57479ced,9828b8a2faec21eb,6,1000+,131604,3,1,42,17,36,108,11.99,86.95,57.56,0,0,public_ltd,991188.09,0
2025,6e1ee38c459fcf20,6aaf7e2ebeda1f92,53,1-4,197196,9,4,18,68,70,30,19.64,74.27,39.74,0,0,pvt_ltd,427942.3,0
2018,4f0b8c827cf8e746,1a892eca5afc16fd,28,250-499,243165,3,2,39,20,7,36,15.09,73.49,45.62,0,0,sole_prop,3424372.0,0
2020,03e1d93946d92bee,931784345a3490bf,30,1-4,610707,6,4,18,68,11,27,10.01,80.14,54.74,0,0,pvt_ltd,577740.61,0
2017,1349894515d13ada,222ce6cfdce89d7f,8,50-99,272195,4,0,36,0,33,81,20.68,94.62,46.9,1,1,pvt_ltd,319667.61,0
2019,e033a981c4740b62,3e36b5a3cec4e4f7,63,10-19,713751,3,7,15,70,170,60,3.15,88.92,16.71,0,1,public_ltd,2197920.31,0
2024,bf59b95cbac61d03,0c7900628b716379,39,50-99,349750,4,4,48,12,11,18,24.45,78.9,44.88,0,0,cooperative,743696.6,0
2019,1ad649dc28b6ab96,674c724836ae8528,39,5-9,791057,8,2,40,26,50,55,21.28,74.23,37.87,0,0,sole_prop,917199.04,0
2016,7a5dc726653a8faf,73ecd2c9e336b634,14,500-999,473883,7,4,98,32,104,30,10.83,89.96,58.7,0,0,government,888994.66,0
2017,9490883d0931e87a,932e5d9b687c6d7b,11,10-19,929656,3,6,6,84,84,14,20.3,77.59,55.52,0,0,llp,311362.69,0
