tech_price_pricing_snapshot_date,tech_price_plan_id,tech_price_provider_brand,tech_price_service_area_id,tech_price_monthly_price_usd,tech_price_promo_price_usd,tech_price_promo_duration_months,tech_price_equipment_fee_usd,tech_price_installation_fee_usd,tech_price_early_termination_fee_usd,tech_price_contract_length_months,tech_price_auto_pay_discount_usd,tech_price_bundling_discount_usd,tech_price_income_based_discount_flag,tech_price_low_income_eligibility_program,tech_price_price_per_mbps_metric,tech_price_hidden_fees_estimate_usd,tech_price_price_increase_notice_days,tech_price_complaint_rate_per_1k,tech_price_regulatory_filing_id
2022-07-04,PLAN0000000550,BRAND_F,AREA000000550,112.09,50.21,6,9.78,237.27,194.05,24,8.4,19.21,0,LIFELINE,0.306,10.5,96,20.561,DOCKET0000000550
2022-07-05,PLAN0000000551,BRAND_D,AREA000000551,165.52,58.87,3,23.13,26.62,242.81,24,17.89,22.45,0,ACP,0.2155,27.45,14,11.391,DOCKET0000000551
2022-07-06,PLAN0000000552,BRAND_A,AREA000000552,27.02,16.92,6,13.75,78.53,358.37,12,0.02,17.35,0,LOCAL_VOUCHER,0.0157,14.28,45,18.34,DOCKET0000000552
2022-07-07,PLAN0000000553,BRAND_F,AREA000000553,102.79,90.58,12,8.1,24.22,330.89,12,16.84,10.55,1,NONE,0.0679,14.67,50,18.334,DOCKET0000000553
2022-07-08,PLAN0000000554,BRAND_B,AREA000000554,101.32,80.69,18,16.58,194.43,246.83,12,16.6,5.09,1,LOCAL_VOUCHER,0.1194,13.94,93,14.992,DOCKET0000000554
2022-07-09,PLAN0000000555,BRAND_E,AREA000000555,106.08,50.2,12,24.71,199.46,331.35,0,8.02,8.69,0,LOCAL_VOUCHER,0.1294,12.03,22,19.623,DOCKET0000000555
2022-07-10,PLAN0000000556,BRAND_D,AREA000000556,82.45,54.01,24,14.45,13.64,232.8,12,17.82,3.5,0,LIFELINE,0.0448,27.66,73,24.924,DOCKET0000000556
2022-07-11,PLAN0000000557,BRAND_B,AREA000000557,161.14,122.98,12,7.11,63.03,427.6,12,4.95,8.44,0,NONE,0.2175,24.5,48,13.096,DOCKET0000000557
2022-07-12,PLAN0000000558,BRAND_B,AREA000000558,101.6,54.02,18,14.09,35.87,105.12,12,10.41,2.57,1,ACP,0.2758,9.77,36,13.761,DOCKET0000000558
2022-07-13,PLAN0000000559,BRAND_F,AREA000000559,127.79,81.29,24,7.27,101.43,186.6,12,11.22,4.16,1,NONE,0.1334,30.52,3,2.311,DOCKET0000000559
2022-07-14,PLAN0000000560,BRAND_A,AREA000000560,67.66,40.09,9,4.25,111.08,188.37,12,9.15,10.73,0,LOCAL_VOUCHER,0.0683,20.17,61,16.912,DOCKET0000000560
2022-07-15,PLAN0000000561,BRAND_B,AREA000000561,84.51,50.11,12,16.45,8.39,339.03,12,6.43,29.84,0,NONE,1.3636,4.45,98,19.013,DOCKET0000000561
2022-07-16,PLAN0000000562,BRAND_D,AREA000000562,113.96,49.64,12,21.54,163.92,41.9,24,6.81,2.93,0,LOCAL_VOUCHER,0.075,23.21,87,10.641,DOCKET0000000562
2022-07-17,PLAN0000000563,BRAND_A,AREA000000563,41.53,28.86,0,16.72,243.61,52.49,24,19.23,13.2,1,LIFELINE,0.0686,31.71,113,30.129,DOCKET0000000563
2022-07-18,PLAN0000000564,BRAND_B,AREA000000564,29.43,13.8,9,0.88,1.68,394.62,36,5.31,26.09,0,LOCAL_VOUCHER,0.0164,1.08,118,18.608,DOCKET0000000564
2022-07-19,PLAN0000000565,BRAND_B,AREA000000565,176.25,81.75,18,0.33,150.47,210.67,36,16.66,21.83,0,NONE,0.5529,9.19,19,27.695,DOCKET0000000565
2022-07-20,PLAN0000000566,BRAND_E,AREA000000566,146.15,68.28,18,8.3,101.48,10.33,12,0.43,23.77,0,NONE,0.1038,19.15,30,34.745,DOCKET0000000566
2022-07-21,PLAN0000000567,BRAND_A,AREA000000567,56.19,22.57,0,20.86,85.11,229.2,12,2.95,14.7,0,TRIBAL,0.0713,28.27,40,0.724,DOCKET0000000567
2022-07-22,PLAN0000000568,BRAND_D,AREA000000568,86.22,81.24,12,13.93,202.58,297.0,24,0.08,8.11,1,LOCAL_VOUCHER,0.0704,13.23,114,9.926,DOCKET0000000568
2022-07-23,PLAN0000000569,BRAND_B,AREA000000569,184.57,111.21,3,15.55,55.01,279.89,12,14.66,13.23,0,NONE,0.9969,10.2,26,34.244,DOCKET0000000569
2022-07-24,PLAN0000000570,BRAND_A,AREA000000570,164.22,85.19,18,22.34,0.46,447.43,24,5.08,2.15,0,ACP,0.3291,28.94,27,17.179,DOCKET0000000570
2022-07-25,PLAN0000000571,BRAND_B,AREA000000571,125.48,109.12,3,22.82,156.06,272.02,1,14.02,22.26,1,LIFELINE,0.2822,0.31,71,28.073,DOCKET0000000571
2022-07-26,PLAN0000000572,BRAND_A,AREA000000572,113.35,51.0,0,7.08,97.25,37.53,24,1.37,20.18,1,LOCAL_VOUCHER,0.2323,7.67,75,32.058,DOCKET0000000572
2022-07-27,PLAN0000000573,BRAND_A,AREA000000573,162.2,77.57,24,17.23,104.71,443.21,24,12.74,8.17,1,ACP,0.3322,21.71,111,19.799,DOCKET0000000573
2022-07-28,PLAN0000000574,BRAND_A,AREA000000574,162.58,153.54,3,16.31,158.34,7.04,24,4.78,8.98,0,NONE,1.211,3.65,109,0.794,DOCKET0000000574
2022-07-29,PLAN0000000575,BRAND_D,AREA000000575,73.79,47.84,12,19.17,19.52,385.85,12,19.14,20.0,1,LOCAL_VOUCHER,0.1441,14.36,28,9.705,DOCKET0000000575
2022-07-30,PLAN0000000576,BRAND_A,AREA000000576,137.32,43.58,3,10.77,88.84,252.92,12,16.78,23.22,0,NONE,0.2558,23.76,23,29.708,DOCKET0000000576
2022-07-31,PLAN0000000577,BRAND_A,AREA000000577,204.99,98.2,12,20.06,129.26,47.58,24,18.3,12.79,0,NONE,0.3919,14.06,115,10.111,DOCKET0000000577
2022-08-01,PLAN0000000578,BRAND_D,AREA000000578,120.23,85.71,12,10.78,75.44,27.22,24,15.52,32.1,0,TRIBAL,0.1747,21.2,103,15.988,DOCKET0000000578
2022-08-02,PLAN0000000579,BRAND_E,AREA000000579,81.31,42.93,12,4.46,18.92,151.8,12,17.91,17.27,0,NONE,0.4225,13.43,82,31.235,DOCKET0000000579
2022-08-03,PLAN0000000580,BRAND_B,AREA000000580,80.08,47.68,0,12.7,205.82,171.53,24,3.95,19.76,0,LIFELINE,0.084,3.64,88,15.813,DOCKET0000000580
2022-08-04,PLAN0000000581,BRAND_C,AREA000000581,125.07,115.2,18,6.14,127.25,23.65,24,14.96,27.97,0,NONE,0.0868,20.5,73,30.227,DOCKET0000000581
2022-08-05,PLAN0000000582,BRAND_F,AREA000000582,215.43,140.03,18,10.67,137.99,299.6,24,12.76,7.46,0,LIFELINE,1.5171,12.19,15,30.788,DOCKET0000000582
2022-08-06,PLAN0000000583,BRAND_E,AREA000000583,54.01,34.41,18,14.42,125.16,138.85,12,5.13,24.39,0,TRIBAL,0.3558,28.21,57,20.889,DOCKET0000000583
2022-08-07,PLAN0000000584,BRAND_A,AREA000000584,213.12,157.75,0,22.31,6.73,372.35,0,0.62,25.98,1,ACP,0.1539,13.02,115,22.36,DOCKET0000000584
2022-08-08,PLAN0000000585,BRAND_A,AREA000000585,80.12,53.7,24,2.66,109.78,210.73,12,0.41,7.84,0,NONE,0.0793,13.18,74,14.293,DOCKET0000000585
2022-08-09,PLAN0000000586,BRAND_D,AREA000000586,61.39,53.43,9,2.38,118.34,288.01,24,7.94,22.64,0,ACP,0.0511,28.01,43,16.196,DOCKET0000000586
2022-08-10,PLAN0000000587,BRAND_D,AREA000000587,52.27,37.14,0,3.21,179.18,370.37,24,6.18,29.07,0,NONE,0.0855,15.37,60,1.353,DOCKET0000000587
2022-08-11,PLAN0000000588,BRAND_C,AREA000000588,190.51,166.15,12,8.15,0.06,190.17,12,4.09,16.34,0,NONE,0.7418,17.39,3,2.222,DOCKET0000000588
2022-08-12,PLAN0000000589,BRAND_E,AREA000000589,36.87,19.73,0,8.55,212.41,181.58,24,18.53,17.84,0,LOCAL_VOUCHER,0.0308,14.21,49,31.924,DOCKET0000000589
2022-08-13,PLAN0000000590,BRAND_B,AREA000000590,199.57,161.96,0,0.08,162.64,440.52,12,11.88,22.23,1,NONE,0.418,31.76,112,0.049,DOCKET0000000590
2022-08-14,PLAN0000000591,BRAND_A,AREA000000591,81.49,60.13,12,8.54,101.47,279.75,0,4.17,13.86,0,ACP,0.2145,18.1,93,21.561,DOCKET0000000591
2022-08-15,PLAN0000000592,BRAND_B,AREA000000592,120.4,74.55,6,7.5,109.95,328.1,1,6.32,12.82,1,NONE,0.0722,27.08,26,30.942,DOCKET0000000592
2022-08-16,PLAN0000000593,BRAND_B,AREA000000593,75.78,33.87,12,20.38,203.35,179.36,0,12.7,14.52,0,TRIBAL,0.4699,18.65,68,31.681,DOCKET0000000593
2022-08-17,PLAN0000000594,BRAND_F,AREA000000594,79.71,64.03,3,19.63,202.33,127.7,12,9.54,15.3,0,NONE,0.194,30.38,7,1.25,DOCKET0000000594
2022-08-18,PLAN0000000595,BRAND_C,AREA000000595,209.96,117.36,0,23.94,81.39,350.15,12,14.84,33.57,0,TRIBAL,0.2305,31.24,2,21.444,DOCKET0000000595
2022-08-19,PLAN0000000596,BRAND_A,AREA000000596,137.38,95.59,0,9.98,236.41,240.98,12,14.31,20.44,0,LIFELINE,0.1025,15.87,8,0.945,DOCKET0000000596
2022-08-20,PLAN0000000597,BRAND_F,AREA000000597,24.33,7.57,0,10.41,87.32,257.66,24,18.68,15.18,0,LIFELINE,0.0292,10.7,108,26.449,DOCKET0000000597
2022-08-21,PLAN0000000598,BRAND_A,AREA000000598,187.36,114.32,24,11.57,28.37,174.51,24,17.45,11.41,0,ACP,0.1899,12.87,94,1.87,DOCKET0000000598
2022-08-22,PLAN0000000599,BRAND_B,AREA000000599,147.4,136.55,9,20.64,3.69,434.66,24,13.03,10.06,0,TRIBAL,0.1112,7.55,60,29.834,DOCKET0000000599
2022-08-23,PLAN0000000600,BRAND_D,AREA000000600,120.81,95.65,12,11.93,177.4,305.01,12,3.57,7.17,1,ACP,0.0697,4.87,105,16.055,DOCKET0000000600
2022-08-24,PLAN0000000601,BRAND_C,AREA000000601,83.5,44.59,0,15.19,134.15,255.89,12,17.21,33.2,1,ACP,0.1355,22.07,77,26.992,DOCKET0000000601
2022-08-25,PLAN0000000602,BRAND_D,AREA000000602,210.38,143.29,12,16.93,206.02,379.22,0,19.52,27.44,1,NONE,0.1369,0.91,115,26.68,DOCKET0000000602
2022-08-26,PLAN0000000603,BRAND_C,AREA000000603,23.1,12.94,0,9.3,61.83,318.68,0,12.05,25.08,1,NONE,0.0602,13.61,99,23.506,DOCKET0000000603
2022-08-27,PLAN0000000604,BRAND_F,AREA000000604,110.81,44.91,0,5.8,14.11,212.86,12,12.33,23.33,0,ACP,0.0711,24.48,72,24.873,DOCKET0000000604
2022-08-28,PLAN0000000605,BRAND_E,AREA000000605,148.27,97.23,6,17.36,45.44,123.92,24,8.77,7.06,0,NONE,0.2193,19.86,6,17.685,DOCKET0000000605
2022-08-29,PLAN0000000606,BRAND_E,AREA000000606,123.41,116.81,0,22.16,90.04,155.62,24,4.93,7.77,0,LIFELINE,0.1164,0.38,88,0.475,DOCKET0000000606
2022-08-30,PLAN0000000607,BRAND_C,AREA000000607,88.91,79.27,6,21.8,176.64,361.17,12,15.64,5.9,0,NONE,0.0577,12.42,56,16.814,DOCKET0000000607
2022-08-31,PLAN0000000608,BRAND_B,AREA000000608,116.41,67.55,12,21.84,25.25,316.76,12,0.33,3.28,0,NONE,0.0986,32.96,112,10.177,DOCKET0000000608
2022-09-01,PLAN0000000609,BRAND_D,AREA000000609,26.66,23.69,6,16.16,134.2,39.88,12,10.68,26.39,0,NONE,0.0241,12.56,97,17.107,DOCKET0000000609
2022-09-02,PLAN0000000610,BRAND_F,AREA000000610,153.22,74.1,12,17.3,67.22,215.35,12,15.39,31.98,1,ACP,0.4224,26.33,79,10.739,DOCKET0000000610
2022-09-03,PLAN0000000611,BRAND_A,AREA000000611,67.07,35.99,6,4.78,128.75,37.04,12,7.06,17.51,0,NONE,0.097,24.97,64,34.291,DOCKET0000000611
2022-09-04,PLAN0000000612,BRAND_B,AREA000000612,127.28,91.4,18,9.32,190.25,117.31,24,8.98,16.96,0,LIFELINE,0.1215,19.69,61,34.914,DOCKET0000000612
2022-09-05,PLAN0000000613,BRAND_C,AREA000000613,209.58,163.32,3,0.27,14.68,376.91,12,3.32,3.03,0,ACP,0.2222,32.73,62,4.959,DOCKET0000000613
2022-09-06,PLAN0000000614,BRAND_A,AREA000000614,97.15,61.83,12,14.93,87.31,335.55,24,0.92,23.74,1,LIFELINE,0.0534,16.83,26,1.296,DOCKET0000000614
2022-09-07,PLAN0000000615,BRAND_A,AREA000000615,205.9,110.63,3,16.31,10.11,393.27,24,9.56,7.52,0,NONE,0.1124,18.22,97,12.917,DOCKET0000000615
2022-09-08,PLAN0000000616,BRAND_E,AREA000000616,155.35,132.96,3,18.95,167.63,346.28,12,7.01,21.13,0,NONE,1.2463,22.72,118,10.208,DOCKET0000000616
2022-09-09,PLAN0000000617,BRAND_D,AREA000000617,109.68,102.17,18,13.32,172.17,121.84,12,19.97,23.5,1,NONE,0.2845,34.32,70,15.093,DOCKET0000000617
2022-09-10,PLAN0000000618,BRAND_F,AREA000000618,70.95,66.53,18,6.06,51.17,221.86,12,17.0,34.68,0,NONE,0.0422,18.36,61,0.28,DOCKET0000000618
2022-09-11,PLAN0000000619,BRAND_B,AREA000000619,156.13,50.79,6,8.97,139.59,401.36,12,15.8,29.13,0,LIFELINE,0.1928,24.37,59,23.142,DOCKET0000000619
2022-09-12,PLAN0000000620,BRAND_C,AREA000000620,142.7,56.93,6,10.62,51.15,185.87,12,19.15,30.07,0,NONE,1.9,0.93,3,22.078,DOCKET0000000620
2022-09-13,PLAN0000000621,BRAND_C,AREA000000621,44.56,22.34,0,5.73,239.53,316.03,1,7.62,0.32,1,NONE,0.1113,9.01,95,0.227,DOCKET0000000621
2022-09-14,PLAN0000000622,BRAND_B,AREA000000622,31.4,14.47,0,22.01,45.83,354.35,1,7.36,17.33,0,ACP,0.0183,0.57,63,29.286,DOCKET0000000622
2022-09-15,PLAN0000000623,BRAND_E,AREA000000623,19.14,12.09,0,17.41,45.63,284.25,24,8.64,15.45,1,NONE,0.0175,15.91,56,9.745,DOCKET0000000623
2022-09-16,PLAN0000000624,BRAND_A,AREA000000624,153.01,138.21,9,0.77,100.73,127.21,24,15.16,9.67,1,ACP,0.7727,11.82,98,4.897,DOCKET0000000624
2022-09-17,PLAN0000000625,BRAND_C,AREA000000625,147.21,84.8,0,7.86,157.06,185.47,24,15.86,16.12,1,NONE,0.167,4.1,65,16.243,DOCKET0000000625
2022-09-18,PLAN0000000626,BRAND_A,AREA000000626,198.94,100.76,3,14.68,89.5,372.72,24,13.27,28.54,0,NONE,0.2443,13.23,98,33.819,DOCKET0000000626
2022-09-19,PLAN0000000627,BRAND_B,AREA000000627,104.72,73.98,12,23.56,84.1,251.87,1,3.25,7.59,1,ACP,0.0899,3.5,11,1.914,DOCKET0000000627
2022-09-20,PLAN0000000628,BRAND_A,AREA000000628,104.9,97.54,12,17.92,113.76,13.96,1,10.93,20.62,0,ACP,0.0928,12.07,52,16.855,DOCKET0000000628
2022-09-21,PLAN0000000629,BRAND_E,AREA000000629,55.81,32.86,24,7.24,196.96,298.76,24,3.47,27.88,0,TRIBAL,0.0302,24.98,117,2.789,DOCKET0000000629
2022-09-22,PLAN0000000630,BRAND_C,AREA000000630,113.83,49.26,18,0.44,101.52,214.35,12,11.62,3.72,1,NONE,0.2282,10.71,14,27.851,DOCKET0000000630
2022-09-23,PLAN0000000631,BRAND_F,AREA000000631,29.82,15.61,0,22.51,214.9,119.96,12,4.9,9.76,0,ACP,0.0853,4.38,66,21.147,DOCKET0000000631
2022-09-24,PLAN0000000632,BRAND_A,AREA000000632,196.79,137.59,0,21.21,10.94,97.22,24,0.6,22.28,0,NONE,0.103,6.79,86,5.85,DOCKET0000000632
2022-09-25,PLAN0000000633,BRAND_C,AREA000000633,23.53,22.2,0,8.3,1.45,63.95,36,13.3,9.64,0,NONE,0.0118,25.9,86,2.914,DOCKET0000000633
2022-09-26,PLAN0000000634,BRAND_E,AREA000000634,34.26,23.57,24,7.52,113.13,16.24,12,4.98,5.27,1,NONE,0.0243,11.32,102,30.862,DOCKET0000000634
2022-09-27,PLAN0000000635,BRAND_A,AREA000000635,207.08,144.92,24,18.02,164.41,447.26,36,19.64,15.94,0,LIFELINE,0.1491,13.06,28,2.022,DOCKET0000000635
2022-09-28,PLAN0000000636,BRAND_F,AREA000000636,27.45,19.37,6,20.76,190.06,115.18,24,7.66,29.57,0,LIFELINE,0.0472,10.41,110,10.087,DOCKET0000000636
2022-09-29,PLAN0000000637,BRAND_C,AREA000000637,110.7,57.1,18,4.23,198.93,318.17,12,1.55,5.64,0,ACP,0.0826,3.5,43,16.196,DOCKET0000000637
2022-09-30,PLAN0000000638,BRAND_A,AREA000000638,188.47,139.18,18,23.48,249.52,4.81,12,0.22,32.33,0,LIFELINE,0.1231,0.83,29,7.772,DOCKET0000000638
2022-10-01,PLAN0000000639,BRAND_E,AREA000000639,133.46,47.61,3,15.56,163.86,309.94,12,17.4,27.83,0,ACP,0.1501,4.66,106,31.216,DOCKET0000000639
2022-10-02,PLAN0000000640,BRAND_A,AREA000000640,203.1,151.67,9,9.08,149.62,111.6,24,2.45,0.02,0,LOCAL_VOUCHER,0.168,34.82,25,12.59,DOCKET0000000640
2022-10-03,PLAN0000000641,BRAND_A,AREA000000641,197.35,157.5,0,23.27,6.45,248.82,24,9.8,11.54,0,ACP,0.1115,1.72,11,7.745,DOCKET0000000641
2022-10-04,PLAN0000000642,BRAND_F,AREA000000642,185.16,68.42,3,21.17,93.95,261.9,12,13.23,30.23,0,NONE,1.0518,3.91,73,5.498,DOCKET0000000642
2022-10-05,PLAN0000000643,BRAND_F,AREA000000643,63.46,19.09,18,1.46,83.49,292.16,24,18.92,4.41,0,LOCAL_VOUCHER,0.0318,29.23,48,12.771,DOCKET0000000643
2022-10-06,PLAN0000000644,BRAND_F,AREA000000644,104.14,78.42,9,3.7,205.0,144.85,36,13.05,5.39,0,ACP,0.0625,22.59,44,27.845,DOCKET0000000644
2022-10-07,PLAN0000000645,BRAND_A,AREA000000645,51.23,47.89,24,5.93,198.4,438.41,12,18.78,17.73,0,ACP,0.0329,19.62,21,3.244,DOCKET0000000645
2022-10-08,PLAN0000000646,BRAND_A,AREA000000646,46.1,37.33,12,0.09,201.24,397.05,0,19.57,18.74,0,NONE,0.0381,3.2,116,17.847,DOCKET0000000646
2022-10-09,PLAN0000000647,BRAND_C,AREA000000647,103.06,65.05,0,15.79,153.14,347.64,12,1.87,27.59,0,NONE,0.063,18.82,115,27.851,DOCKET0000000647
2022-10-10,PLAN0000000648,BRAND_F,AREA000000648,64.82,29.32,9,5.04,115.84,303.63,12,16.77,3.33,1,NONE,0.0487,5.14,4,22.807,DOCKET0000000648
2022-10-11,PLAN0000000649,BRAND_E,AREA000000649,17.37,14.02,24,22.26,67.97,290.51,12,13.01,6.32,0,ACP,0.0089,20.8,96,13.659,DOCKET0000000649
2022-10-12,PLAN0000000650,BRAND_D,AREA000000650,96.36,40.27,18,23.92,103.14,173.64,12,13.38,21.07,0,ACP,0.0586,8.01,39,9.181,DOCKET0000000650
2022-10-13,PLAN0000000651,BRAND_C,AREA000000651,107.7,38.52,6,12.67,212.47,356.54,24,7.19,6.35,0,ACP,0.1239,6.62,67,30.031,DOCKET0000000651
2022-10-14,PLAN0000000652,BRAND_A,AREA000000652,93.0,69.32,9,8.92,74.95,369.63,36,15.87,31.8,0,ACP,0.0749,34.31,112,32.777,DOCKET0000000652
2022-10-15,PLAN0000000653,BRAND_F,AREA000000653,197.62,162.99,12,10.62,178.4,341.34,24,0.11,19.62,1,ACP,6.6156,13.17,107,30.234,DOCKET0000000653
2022-10-16,PLAN0000000654,BRAND_A,AREA000000654,50.68,29.51,0,20.81,75.99,293.96,24,5.88,20.44,1,NONE,0.0628,23.4,45,34.657,DOCKET0000000654
2022-10-17,PLAN0000000655,BRAND_C,AREA000000655,186.19,159.48,3,23.72,81.59,143.69,12,5.18,8.21,1,NONE,0.3306,0.81,50,26.387,DOCKET0000000655
2022-10-18,PLAN0000000656,BRAND_A,AREA000000656,54.73,46.1,0,15.35,144.92,320.16,24,11.73,26.68,0,LOCAL_VOUCHER,0.0517,28.41,0,33.285,DOCKET0000000656
2022-10-19,PLAN0000000657,BRAND_F,AREA000000657,156.04,124.96,6,22.22,114.37,427.74,24,18.7,13.28,0,NONE,0.3113,31.92,91,30.059,DOCKET0000000657
2022-10-20,PLAN0000000658,BRAND_C,AREA000000658,17.98,12.08,0,21.89,20.21,410.57,12,18.07,15.44,0,NONE,0.018,23.07,90,17.777,DOCKET0000000658
2022-10-21,PLAN0000000659,BRAND_A,AREA000000659,121.02,65.24,12,12.65,115.27,449.39,24,4.12,19.54,0,ACP,0.265,7.61,84,7.373,DOCKET0000000659
2022-10-22,PLAN0000000660,BRAND_D,AREA000000660,56.84,19.5,3,22.8,127.82,21.48,24,2.8,7.0,0,ACP,0.0525,13.46,65,7.416,DOCKET0000000660
2022-10-23,PLAN0000000661,BRAND_D,AREA000000661,196.24,77.4,6,8.65,105.04,273.11,12,18.21,26.76,0,ACP,0.528,32.13,19,5.087,DOCKET0000000661
2022-10-24,PLAN0000000662,BRAND_D,AREA000000662,23.5,15.84,24,23.69,156.39,236.8,12,5.59,15.36,0,ACP,0.0192,14.03,42,10.679,DOCKET0000000662
2022-10-25,PLAN0000000663,BRAND_A,AREA000000663,41.58,20.53,18,16.74,31.92,67.08,36,17.04,34.14,0,NONE,0.1856,0.91,104,24.662,DOCKET0000000663
2022-10-26,PLAN0000000664,BRAND_F,AREA000000664,33.52,27.59,18,22.59,211.24,247.16,12,1.41,17.04,1,TRIBAL,0.0258,32.98,44,24.583,DOCKET0000000664
2022-10-27,PLAN0000000665,BRAND_A,AREA000000665,54.46,41.19,24,4.88,175.66,71.7,24,8.76,13.77,1,ACP,0.1816,7.03,105,24.006,DOCKET0000000665
2022-10-28,PLAN0000000666,BRAND_F,AREA000000666,25.12,15.07,12,6.17,150.74,50.68,0,5.69,7.89,0,LIFELINE,0.0282,26.11,93,22.607,DOCKET0000000666
2022-10-29,PLAN0000000667,BRAND_A,AREA000000667,179.22,168.61,0,2.35,71.17,32.88,12,17.01,8.67,0,ACP,0.0957,10.55,55,11.053,DOCKET0000000667
2022-10-30,PLAN0000000668,BRAND_A,AREA000000668,16.67,14.58,18,12.69,64.56,357.67,24,15.57,11.68,0,ACP,0.0085,19.05,57,27.809,DOCKET0000000668
2022-10-31,PLAN0000000669,BRAND_D,AREA000000669,123.46,61.92,18,19.27,152.47,324.25,24,8.92,34.4,1,LIFELINE,0.0829,33.43,84,20.381,DOCKET0000000669
2022-11-01,PLAN0000000670,BRAND_A,AREA000000670,107.51,49.78,6,20.64,120.96,376.2,24,0.65,18.99,0,ACP,0.0813,30.46,53,8.588,DOCKET0000000670
2022-11-02,PLAN0000000671,BRAND_C,AREA000000671,151.63,71.86,18,4.18,167.28,424.87,1,18.34,2.1,1,TRIBAL,0.104,14.32,98,20.401,DOCKET0000000671
2022-11-03,PLAN0000000672,BRAND_B,AREA000000672,172.57,132.51,0,22.21,21.96,108.08,12,5.19,23.81,1,LIFELINE,0.3934,10.81,36,5.314,DOCKET0000000672
2022-11-04,PLAN0000000673,BRAND_F,AREA000000673,213.72,189.24,3,2.57,216.6,296.8,12,17.95,1.53,0,LIFELINE,0.1074,0.58,2,24.423,DOCKET0000000673
2022-11-05,PLAN0000000674,BRAND_E,AREA000000674,189.0,99.03,12,11.42,201.97,133.98,1,18.6,30.02,0,ACP,0.1893,29.26,21,17.955,DOCKET0000000674
2022-11-06,PLAN0000000675,BRAND_B,AREA000000675,109.14,101.15,18,5.25,67.25,269.12,24,1.18,10.22,1,ACP,0.5062,5.81,18,20.99,DOCKET0000000675
2022-11-07,PLAN0000000676,BRAND_F,AREA000000676,126.69,75.19,18,15.41,168.51,365.08,24,16.78,23.18,0,NONE,0.5802,31.34,14,4.77,DOCKET0000000676
2022-11-08,PLAN0000000677,BRAND_A,AREA000000677,17.42,6.0,6,18.23,198.73,177.61,12,19.72,33.99,1,ACP,0.0271,19.6,43,6.469,DOCKET0000000677
2022-11-09,PLAN0000000678,BRAND_D,AREA000000678,196.88,64.47,6,17.18,189.02,413.69,24,4.45,16.01,0,NONE,0.1414,17.18,13,3.065,DOCKET0000000678
2022-11-10,PLAN0000000679,BRAND_E,AREA000000679,156.84,147.37,12,7.09,223.38,155.26,24,7.05,23.88,0,NONE,0.6117,18.65,82,27.558,DOCKET0000000679
2022-11-11,PLAN0000000680,BRAND_A,AREA000000680,148.96,66.76,9,8.03,181.57,232.06,36,16.17,13.57,0,NONE,0.1286,27.29,71,15.174,DOCKET0000000680
2022-11-12,PLAN0000000681,BRAND_D,AREA000000681,87.16,28.54,6,8.84,20.8,187.74,24,6.24,9.29,0,LIFELINE,0.0585,8.8,91,4.2,DOCKET0000000681
2022-11-13,PLAN0000000682,BRAND_A,AREA000000682,162.96,148.44,18,2.07,38.69,110.48,12,19.12,7.23,1,LIFELINE,0.1114,20.36,113,27.779,DOCKET0000000682
2022-11-14,PLAN0000000683,BRAND_C,AREA000000683,177.75,65.73,9,16.7,163.88,93.65,24,10.61,31.54,0,NONE,0.0992,15.25,8,2.818,DOCKET0000000683
2022-11-15,PLAN0000000684,BRAND_A,AREA000000684,200.86,103.56,24,13.62,218.22,346.88,12,3.92,14.17,1,NONE,0.5009,22.58,31,2.47,DOCKET0000000684
2022-11-16,PLAN0000000685,BRAND_A,AREA000000685,138.9,58.08,0,6.71,135.2,57.86,24,0.18,20.49,1,NONE,0.2577,19.79,84,21.625,DOCKET0000000685
2022-11-17,PLAN0000000686,BRAND_D,AREA000000686,98.98,75.53,24,16.6,198.92,370.68,12,3.32,30.62,0,LIFELINE,0.0712,30.29,94,8.514,DOCKET0000000686
2022-11-18,PLAN0000000687,BRAND_B,AREA000000687,140.45,60.24,12,17.59,117.41,45.91,36,10.83,14.89,0,LOCAL_VOUCHER,0.1537,20.64,75,3.316,DOCKET0000000687
2022-11-19,PLAN0000000688,BRAND_E,AREA000000688,108.17,57.61,6,11.52,201.82,332.6,12,6.62,34.58,0,TRIBAL,0.1202,8.44,44,25.114,DOCKET0000000688
2022-11-20,PLAN0000000689,BRAND_C,AREA000000689,66.49,32.07,12,11.99,180.63,192.46,24,1.71,3.35,0,LIFELINE,0.0685,6.4,14,18.228,DOCKET0000000689
2022-11-21,PLAN0000000690,BRAND_D,AREA000000690,39.27,32.27,3,10.27,202.94,41.02,24,5.76,11.48,0,NONE,0.039,15.64,68,25.979,DOCKET0000000690
2022-11-22,PLAN0000000691,BRAND_C,AREA000000691,209.73,126.71,12,14.77,121.56,383.72,24,4.84,26.78,0,ACP,0.2066,32.27,112,31.122,DOCKET0000000691
2022-11-23,PLAN0000000692,BRAND_E,AREA000000692,119.23,77.24,12,16.38,108.36,308.84,24,4.73,4.31,0,NONE,0.0907,6.66,41,1.431,DOCKET0000000692
2022-11-24,PLAN0000000693,BRAND_C,AREA000000693,182.62,112.46,24,7.17,22.96,411.4,24,17.21,30.81,1,LIFELINE,0.286,22.17,35,20.626,DOCKET0000000693
2022-11-25,PLAN0000000694,BRAND_E,AREA000000694,174.2,144.8,18,12.15,113.89,145.63,12,18.55,0.91,0,NONE,0.1775,19.23,109,23.446,DOCKET0000000694
