edu_erasmus_project_year,edu_erasmus_programme_period_code,edu_erasmus_participant_id_hash,edu_erasmus_home_country_iso2,edu_erasmus_host_country_iso2,edu_erasmus_home_institution_id,edu_erasmus_host_institution_id,edu_erasmus_mobility_type_code,edu_erasmus_duration_days,edu_erasmus_grant_amount_eur,edu_erasmus_inclusion_support_flag,edu_erasmus_green_travel_flag,edu_erasmus_virtual_component_flag,edu_erasmus_recognition_ects_flag,edu_erasmus_language_preparation_flag,edu_erasmus_student_satisfaction_score,edu_erasmus_employability_outcome_flag,edu_erasmus_data_source,edu_erasmus_last_update_date,edu_erasmus_data_extract_date
2018,2014_2020,d1f6111138891f3330a320,LV,HU,HEI_LV_2460,HEI_HU_0428,STUDY,71,1734.15,1,0,0,1,1,4.94,0,ERASMUS_DASHBOARD,2024-10-06,2024-02-13
2019,2014_2020,b8a5682fb861a9fff27f47,RO,SK,HEI_RO_2465,HEI_SK_0437,YOUTH_EXCHANGE,164,5618.96,1,1,0,0,0,4.24,1,NATIONAL_AGENCY_EXPORT,2024-10-29,2025-02-01
2020,2014_2020,bcc4eea5947e0504059f5d,BG,EE,HEI_BG_2470,HEI_EE_0446,STAFF_TRAINING,8,86.56,0,0,0,0,0,4.03,0,INSTITUTION_REPORTING,2024-11-21,2024-03-13
2021,2021_2027,e0c72f1d8227e9211ba929,FR,MT,HEI_FR_2475,HEI_MT_0455,STAFF_TEACHING,177,1883.63,0,0,0,0,1,4.87,1,ERASMUS_DASHBOARD,2024-12-14,2025-10-28
2022,2021_2027,d9cb941d725809a9e735de,LT,BG,HEI_LT_2480,HEI_BG_0464,BLENDED_INTENSIVE,41,1044.41,0,0,0,1,1,4.75,1,NATIONAL_AGENCY_EXPORT,2025-01-06,2026-02-07
2023,2021_2027,9e4c92f27f9ecdd41facc0,SK,IE,HEI_SK_2485,HEI_IE_0473,TRAINEESHIP,299,5271.83,1,0,0,1,0,4.74,0,INSTITUTION_REPORTING,2025-01-29,2024-07-31
2024,2021_2027,9804cb43c451c7b0b800f9,HR,SI,HEI_HR_2490,HEI_SI_0482,STUDY,174,4804.47,1,1,0,0,0,3.13,1,ERASMUS_DASHBOARD,2025-02-21,2024-06-29
2025,2021_2027,ce3f532c82fd190a9f2416,DE,FI,HEI_DE_2495,HEI_FI_0491,YOUTH_EXCHANGE,82,2412.69,0,1,1,0,0,3.24,1,NATIONAL_AGENCY_EXPORT,2025-03-16,2025-07-19
2006,2014_2020,eac6859704c3fd8be55312,LU,NL,HEI_LU_2500,HEI_NL_0500,STAFF_TRAINING,190,2020.16,0,1,1,0,1,4.26,0,INSTITUTION_REPORTING,2025-04-08,2025-12-04
2007,2014_2020,e2f16c3dd77d2385ac0d3a,SI,HR,HEI_SI_2505,HEI_HR_0509,STAFF_TEACHING,17,290.66,1,0,0,0,0,3.6,1,ERASMUS_DASHBOARD,2025-05-01,2024-04-08
2008,2014_2020,39e46fc6bc7872265e2dad,CY,IT,HEI_CY_2510,HEI_IT_0518,BLENDED_INTENSIVE,138,2566.81,0,0,0,1,1,3.97,1,NATIONAL_AGENCY_EXPORT,2025-05-24,2024-10-19
2009,2014_2020,095f4cdfcab545bdb0dac9,GR,ES,HEI_GR_2515,HEI_ES_0527,TRAINEESHIP,205,7228.76,0,0,0,0,1,3.83,0,INSTITUTION_REPORTING,2025-06-16,2026-01-14
2010,2014_2020,d956e67167c4ddd9adaa16,MT,FR,HEI_MT_2520,HEI_FR_0536,STUDY,71,1519.28,0,0,0,1,1,3.43,0,ERASMUS_DASHBOARD,2025-07-09,2025-02-21
2011,2014_2020,d6121ff74734a73f25df55,ES,PL,HEI_ES_2525,HEI_PL_0545,YOUTH_EXCHANGE,59,1774.51,0,0,0,0,1,4.48,1,NATIONAL_AGENCY_EXPORT,2025-08-01,2024-01-25
2012,2014_2020,5ece3c2def0cc5bc6072dc,CZ,CY,HEI_CZ_2530,HEI_CY_0554,STAFF_TRAINING,27,696.95,1,0,0,0,1,4.83,1,INSTITUTION_REPORTING,2025-08-24,2024-08-29
2013,2014_2020,58ca39547781c4dfc8ed2e,HU,LV,HEI_HU_2535,HEI_LV_0563,STAFF_TEACHING,44,414.67,0,0,0,0,1,4.22,0,ERASMUS_DASHBOARD,2025-09-16,2024-08-17
2014,2014_2020,324a163bc6e663deb19590,NL,SE,HEI_NL_2540,HEI_SE_0572,BLENDED_INTENSIVE,101,3005.02,0,0,0,1,0,4.19,1,NATIONAL_AGENCY_EXPORT,2025-10-09,2024-08-30
2015,2014_2020,b0ca6fdc2c69c2ea3bd736,SE,DE,HEI_SE_2545,HEI_DE_0581,TRAINEESHIP,170,5084.37,1,0,0,0,0,4.73,0,INSTITUTION_REPORTING,2025-11-01,2024-08-12
2016,2014_2020,6a4f67c00612cabe61f02e,DK,PT,HEI_DK_2550,HEI_PT_0590,STUDY,272,9579.8,0,0,1,1,0,4.06,1,ERASMUS_DASHBOARD,2025-11-24,2024-11-06
2017,2014_2020,32a52db2bdb848db9d1fa9,IE,CZ,HEI_IE_2555,HEI_CZ_0599,YOUTH_EXCHANGE,179,2627.83,0,0,1,1,1,3.56,0,NATIONAL_AGENCY_EXPORT,2025-12-17,2024-05-19
2018,2014_2020,8d64349f1cc30b1fe30182,PL,LT,HEI_PL_2560,HEI_LT_0608,STAFF_TRAINING,178,2046.81,0,0,0,0,1,4.28,1,INSTITUTION_REPORTING,2026-01-09,2024-07-18
2019,2014_2020,c2fbe0f55963739f5cd026,AT,AT,HEI_AT_2565,HEI_AT_0617,STAFF_TEACHING,132,2589.9,0,0,0,0,0,4.44,0,ERASMUS_DASHBOARD,2026-02-01,2024-01-30
2020,2014_2020,5412f76b65ec0e429332bd,EE,GR,HEI_EE_2570,HEI_GR_0626,BLENDED_INTENSIVE,6,110.46,0,0,0,1,1,3.5,1,NATIONAL_AGENCY_EXPORT,2026-02-24,2024-03-08
2021,2021_2027,5a8ed3d5840a00ab9d4768,IT,RO,HEI_IT_2575,HEI_RO_0635,TRAINEESHIP,142,3249.22,1,1,0,0,0,4.56,1,INSTITUTION_REPORTING,2013-01-22,2024-05-30
2022,2021_2027,5c1d7d02e43c6757545c17,PT,DK,HEI_PT_2580,HEI_DK_0644,STUDY,370,4003.06,0,1,0,1,1,3.98,1,ERASMUS_DASHBOARD,2013-02-14,2024-09-28
2023,2021_2027,8d609bc36605467f8de06a,BE,LU,HEI_BE_2585,HEI_LU_0653,YOUTH_EXCHANGE,77,1259.77,1,0,0,0,1,3.9,0,NATIONAL_AGENCY_EXPORT,2013-03-09,2026-02-15
2024,2021_2027,ea79c9bff5b977d0624dfd,FI,BE,HEI_FI_2590,HEI_BE_0662,STAFF_TRAINING,124,1628.51,0,0,0,0,0,3.53,0,INSTITUTION_REPORTING,2013-04-01,2024-12-21
2025,2021_2027,5ff03dae8271b85977d544,LV,HU,HEI_LV_2595,HEI_HU_0671,STAFF_TEACHING,72,1924.62,0,0,0,0,1,4.21,0,ERASMUS_DASHBOARD,2013-04-24,2024-08-20
2006,2014_2020,9b26bf227aa5924eea0efc,RO,SK,HEI_RO_2600,HEI_SK_0680,BLENDED_INTENSIVE,50,1022.42,0,0,0,1,1,3.94,0,NATIONAL_AGENCY_EXPORT,2013-05-17,2024-02-25
2007,2014_2020,5ea59b82c9a74c20fcadcb,BG,EE,HEI_BG_2605,HEI_EE_0689,TRAINEESHIP,157,3734.2,0,1,0,0,1,4.16,1,INSTITUTION_REPORTING,2013-06-09,2025-08-04
2008,2014_2020,9d1be75558adc56617e1ab,FR,MT,HEI_FR_2610,HEI_MT_0698,STUDY,180,4632.28,0,0,0,1,1,5.0,0,ERASMUS_DASHBOARD,2013-07-02,2025-10-21
2009,2014_2020,1b962c36a9c8b11886c6a6,LT,BG,HEI_LT_2615,HEI_BG_0707,YOUTH_EXCHANGE,143,3624.3,0,0,0,0,0,3.68,1,NATIONAL_AGENCY_EXPORT,2013-07-25,2025-10-02
2010,2014_2020,ac68af5e18eb83dfee5792,SK,IE,HEI_SK_2620,HEI_IE_0716,STAFF_TRAINING,26,628.3,0,0,0,0,1,4.74,0,INSTITUTION_REPORTING,2013-08-17,2025-07-27
2011,2014_2020,47084ebc0df6bd2a939abb,HR,SI,HEI_HR_2625,HEI_SI_0725,STAFF_TEACHING,163,3979.97,1,0,0,0,1,4.9,0,ERASMUS_DASHBOARD,2013-09-09,2025-03-30
2012,2014_2020,aae73e2ae0f49273380b3a,DE,FI,HEI_DE_2630,HEI_FI_0734,BLENDED_INTENSIVE,106,2248.89,1,0,0,1,1,4.51,0,NATIONAL_AGENCY_EXPORT,2013-10-02,2024-05-18
2013,2014_2020,ec53e769dfb676bbf0dc20,LU,NL,HEI_LU_2635,HEI_NL_0743,TRAINEESHIP,60,712.37,1,0,0,0,1,4.47,0,INSTITUTION_REPORTING,2013-10-25,2024-11-21
2014,2014_2020,933a7c2cb191a813bf4d32,SI,HR,HEI_SI_2640,HEI_HR_0752,STUDY,45,499.07,0,1,1,0,0,3.59,1,ERASMUS_DASHBOARD,2013-11-17,2025-01-25
2015,2014_2020,4ad69a2d36a9da1d10cfb3,CY,IT,HEI_CY_2645,HEI_IT_0761,YOUTH_EXCHANGE,22,329.36,0,0,0,0,1,5.0,0,NATIONAL_AGENCY_EXPORT,2013-12-10,2024-03-28
2016,2014_2020,db55d08f432c1486f943fd,GR,ES,HEI_GR_2650,HEI_ES_0770,STAFF_TRAINING,56,1799.1,0,0,0,0,1,3.85,1,INSTITUTION_REPORTING,2014-01-02,2026-01-03
2017,2014_2020,6952549a45bfe9c95fb4f8,MT,FR,HEI_MT_2655,HEI_FR_0779,STAFF_TEACHING,162,2176.13,0,0,0,1,1,3.8,0,ERASMUS_DASHBOARD,2014-01-25,2024-12-06
2018,2014_2020,febf837640d65fa27c18e6,ES,PL,HEI_ES_2660,HEI_PL_0788,BLENDED_INTENSIVE,43,593.36,0,1,0,1,0,3.38,1,NATIONAL_AGENCY_EXPORT,2014-02-17,2026-01-04
2019,2014_2020,e8f3d054d42eccdd2a6de6,CZ,CY,HEI_CZ_2665,HEI_CY_0797,TRAINEESHIP,41,1400.92,0,0,0,1,1,3.34,0,INSTITUTION_REPORTING,2014-03-12,2025-05-04
2020,2014_2020,cba37ddb581177057290b2,HU,LV,HEI_HU_2670,HEI_LV_0806,STUDY,279,5567.49,0,0,0,1,1,5.0,1,ERASMUS_DASHBOARD,2014-04-04,2024-10-22
2021,2021_2027,6b19aee9240db02fee0d79,NL,SE,HEI_NL_2675,HEI_SE_0815,YOUTH_EXCHANGE,191,2295.86,0,0,0,0,1,4.79,1,NATIONAL_AGENCY_EXPORT,2014-04-27,2024-02-22
2022,2021_2027,6ce1453ee637d7fb3825fe,SE,DE,HEI_SE_2680,HEI_DE_0824,STAFF_TRAINING,187,5217.38,1,1,1,1,1,4.27,1,INSTITUTION_REPORTING,2014-05-20,2025-06-14
2023,2021_2027,42bf4304050e98536576cb,DK,PT,HEI_DK_2685,HEI_PT_0833,STAFF_TEACHING,51,643.75,1,1,1,0,0,4.47,1,ERASMUS_DASHBOARD,2014-06-12,2024-10-11
2024,2021_2027,e192829198587a8c6ca9bf,IE,CZ,HEI_IE_2690,HEI_CZ_0842,BLENDED_INTENSIVE,104,2325.37,0,1,0,0,1,3.9,1,NATIONAL_AGENCY_EXPORT,2014-07-05,2025-10-23
2025,2021_2027,d481a82d1b0b76c624c94f,PL,LT,HEI_PL_2695,HEI_LT_0851,TRAINEESHIP,285,3410.14,0,1,0,0,1,3.35,0,INSTITUTION_REPORTING,2014-07-28,2024-11-13
2006,2014_2020,5e04e3bacc88914bb0a6da,AT,AT,HEI_AT_2700,HEI_AT_0860,STUDY,345,5616.39,0,1,0,1,0,3.67,0,ERASMUS_DASHBOARD,2014-08-20,2024-09-21
2007,2014_2020,1f5a6b173c820c377c4fb1,EE,GR,HEI_EE_2705,HEI_GR_0869,YOUTH_EXCHANGE,186,2104.9,0,0,0,0,1,4.05,0,NATIONAL_AGENCY_EXPORT,2014-09-12,2024-10-30
2008,2014_2020,b4c58e4a850ba65a915787,IT,RO,HEI_IT_2710,HEI_RO_0878,STAFF_TRAINING,183,4638.5,1,0,0,0,0,4.47,1,INSTITUTION_REPORTING,2014-10-05,2026-01-28
2009,2014_2020,a539b6a1f4c563a6676b96,PT,DK,HEI_PT_2715,HEI_DK_0887,STAFF_TEACHING,57,2138.92,1,0,0,0,1,4.11,1,ERASMUS_DASHBOARD,2014-10-28,2024-05-29
2010,2014_2020,62fac88ea0990e0e6d7a7d,BE,LU,HEI_BE_2720,HEI_LU_0896,BLENDED_INTENSIVE,9,190.94,0,0,0,1,1,4.98,1,NATIONAL_AGENCY_EXPORT,2014-11-20,2025-06-11
2011,2014_2020,745c8c2db5c363730b2e10,FI,BE,HEI_FI_2725,HEI_BE_0905,TRAINEESHIP,221,7130.03,0,0,0,0,1,3.26,1,INSTITUTION_REPORTING,2014-12-13,2025-04-19
2012,2014_2020,22c4ceb4f6852dbf070689,LV,HU,HEI_LV_2730,HEI_HU_0914,STUDY,16,434.21,0,0,0,1,1,4.59,1,ERASMUS_DASHBOARD,2015-01-05,2025-03-27
2013,2014_2020,6a6055658e13bf027ad63b,RO,SK,HEI_RO_2735,HEI_SK_0923,YOUTH_EXCHANGE,114,2095.72,1,0,0,0,1,4.5,1,NATIONAL_AGENCY_EXPORT,2015-01-28,2025-01-17
2014,2014_2020,6190b3ecaa0483ef172ac0,BG,EE,HEI_BG_2740,HEI_EE_0932,STAFF_TRAINING,140,3915.9,1,0,0,0,1,4.91,1,INSTITUTION_REPORTING,2015-02-20,2025-04-04
2015,2014_2020,442883d980bf9646c567ca,FR,MT,HEI_FR_2745,HEI_MT_0941,STAFF_TEACHING,98,1046.03,0,0,0,0,0,3.4,1,ERASMUS_DASHBOARD,2015-03-15,2024-04-03
2016,2014_2020,3e6bcf2adc326cf37d0356,LT,BG,HEI_LT_2750,HEI_BG_0950,BLENDED_INTENSIVE,149,4799.37,0,0,0,1,1,4.85,1,NATIONAL_AGENCY_EXPORT,2015-04-07,2026-01-04
2017,2014_2020,340b39dae84297503c05b3,SK,IE,HEI_SK_2755,HEI_IE_0959,TRAINEESHIP,245,4741.56,1,0,0,0,0,3.89,1,INSTITUTION_REPORTING,2015-04-30,2024-01-05
2018,2014_2020,8c17e1267ab073a1904e77,HR,SI,HEI_HR_2760,HEI_SI_0968,STUDY,234,7111.65,0,0,0,1,0,3.08,0,ERASMUS_DASHBOARD,2015-05-23,2025-12-06
2019,2014_2020,03e9b7d2b730a1aed489af,DE,FI,HEI_DE_2765,HEI_FI_0977,YOUTH_EXCHANGE,37,811.22,0,0,0,0,0,3.07,0,NATIONAL_AGENCY_EXPORT,2015-06-15,2025-08-13
2020,2014_2020,8db2930b8d899d97e5cdc4,LU,NL,HEI_LU_2770,HEI_NL_0986,STAFF_TRAINING,129,5340.46,0,0,1,0,0,3.51,0,INSTITUTION_REPORTING,2015-07-08,2024-05-22
2021,2021_2027,42fa49bf4b3c4777b9c807,SI,HR,HEI_SI_2775,HEI_HR_0995,STAFF_TEACHING,43,1288.35,0,0,1,1,1,3.79,1,ERASMUS_DASHBOARD,2015-07-31,2026-02-16
2022,2021_2027,85001e84391ebbb7414d4e,CY,IT,HEI_CY_2780,HEI_IT_1004,BLENDED_INTENSIVE,114,1281.52,0,1,0,1,1,4.0,0,NATIONAL_AGENCY_EXPORT,2015-08-23,2024-07-27
2023,2021_2027,3bd14e4890bf94a1466e16,GR,ES,HEI_GR_2785,HEI_ES_1013,TRAINEESHIP,290,4313.45,1,0,0,0,1,3.32,1,INSTITUTION_REPORTING,2015-09-15,2024-04-11
2024,2021_2027,a6285443a1a740347556a8,MT,FR,HEI_MT_2790,HEI_FR_1022,STUDY,249,6084.99,0,1,1,1,1,4.62,1,ERASMUS_DASHBOARD,2015-10-08,2025-08-26
2025,2021_2027,be8b2a835efd2dbc2c170d,ES,PL,HEI_ES_2795,HEI_PL_1031,YOUTH_EXCHANGE,41,380.43,0,0,0,0,0,3.56,0,NATIONAL_AGENCY_EXPORT,2015-10-31,2025-04-01
2006,2014_2020,e42c9fc616eab747f7f8cc,CZ,CY,HEI_CZ_2800,HEI_CY_1040,STAFF_TRAINING,18,449.88,0,0,0,1,1,3.67,0,INSTITUTION_REPORTING,2015-11-23,2025-07-12
2007,2014_2020,96519695cff88dcfb876db,HU,LV,HEI_HU_2805,HEI_LV_1049,STAFF_TEACHING,79,1204.38,0,0,0,0,0,4.78,0,ERASMUS_DASHBOARD,2015-12-16,2024-12-01
2008,2014_2020,ed4c096320e7b9b5cfe145,NL,SE,HEI_NL_2810,HEI_SE_1058,BLENDED_INTENSIVE,185,7962.02,0,0,0,1,1,4.0,0,NATIONAL_AGENCY_EXPORT,2016-01-08,2024-02-24
2009,2014_2020,3a9cd8f5a3b40d78b9f825,SE,DE,HEI_SE_2815,HEI_DE_1067,TRAINEESHIP,151,3994.91,0,0,0,0,1,4.88,1,INSTITUTION_REPORTING,2016-01-31,2024-01-08
2010,2014_2020,ff58c3f972857e608b1df1,DK,PT,HEI_DK_2820,HEI_PT_1076,STUDY,274,3145.9,1,0,0,1,0,4.0,1,ERASMUS_DASHBOARD,2016-02-23,2025-08-14
2011,2014_2020,1e9f1e157ef4efc600edc3,IE,CZ,HEI_IE_2825,HEI_CZ_1085,YOUTH_EXCHANGE,185,5144.27,0,0,1,0,1,3.83,1,NATIONAL_AGENCY_EXPORT,2016-03-17,2024-11-04
2012,2014_2020,4daaf8db9f70dfb757b4dc,PL,LT,HEI_PL_2830,HEI_LT_1094,STAFF_TRAINING,69,627.78,0,0,0,0,1,3.5,0,INSTITUTION_REPORTING,2016-04-09,2024-09-08
2013,2014_2020,dac6cd76d94c64be19a7d1,AT,AT,HEI_AT_2835,HEI_AT_1103,STAFF_TEACHING,6,81.49,1,0,1,0,0,4.58,0,ERASMUS_DASHBOARD,2016-05-02,2025-07-21
2014,2014_2020,c8da322a741afa0c0b0826,EE,GR,HEI_EE_2840,HEI_GR_1112,BLENDED_INTENSIVE,89,2742.83,0,0,0,1,0,3.05,1,NATIONAL_AGENCY_EXPORT,2016-05-25,2025-11-05
2015,2014_2020,0585e5a838cf5426038be6,IT,RO,HEI_IT_2845,HEI_RO_1121,TRAINEESHIP,108,2832.38,1,0,0,0,1,5.0,1,INSTITUTION_REPORTING,2016-06-17,2025-12-28
2016,2014_2020,b3e4e175f5f2b63e95a011,PT,DK,HEI_PT_2850,HEI_DK_1130,STUDY,126,4344.39,0,0,0,1,1,3.76,0,ERASMUS_DASHBOARD,2016-07-10,2025-04-25
2017,2014_2020,d4e49de3278e7bcd24e571,BE,LU,HEI_BE_2855,HEI_LU_1139,YOUTH_EXCHANGE,168,2140.43,0,1,0,1,1,4.03,1,NATIONAL_AGENCY_EXPORT,2016-08-02,2025-04-02
2018,2014_2020,908225df6968168c737770,FI,BE,HEI_FI_2860,HEI_BE_1148,STAFF_TRAINING,101,2232.53,1,0,0,0,1,4.07,1,INSTITUTION_REPORTING,2016-08-25,2024-01-01
2019,2014_2020,2a7c2fdee0ebb1721ccb55,LV,HU,HEI_LV_2865,HEI_HU_1157,STAFF_TEACHING,123,4005.66,1,0,1,0,0,3.5,1,ERASMUS_DASHBOARD,2016-09-17,2025-01-17
2020,2014_2020,1d3488566162d056b2e845,RO,SK,HEI_RO_2870,HEI_SK_1166,BLENDED_INTENSIVE,145,1499.84,0,0,0,1,0,3.11,0,NATIONAL_AGENCY_EXPORT,2016-10-10,2026-02-12
2021,2021_2027,0c272d9b03b0b1ef123001,BG,EE,HEI_BG_2875,HEI_EE_1175,TRAINEESHIP,285,10058.21,0,0,1,0,1,4.39,1,INSTITUTION_REPORTING,2016-11-02,2024-01-29
2022,2021_2027,0cfe7ac3c9b3b0386f973f,FR,MT,HEI_FR_2880,HEI_MT_1184,STUDY,46,1054.36,0,0,0,1,0,3.77,0,ERASMUS_DASHBOARD,2016-11-25,2024-02-02
2023,2021_2027,5c67709ed01cdb9c585de2,LT,BG,HEI_LT_2885,HEI_BG_1193,YOUTH_EXCHANGE,51,1436.84,0,1,1,0,1,3.84,1,NATIONAL_AGENCY_EXPORT,2016-12-18,2025-07-17
2024,2021_2027,cc6067fa8112a82d1a9f4f,SK,IE,HEI_SK_2890,HEI_IE_1202,STAFF_TRAINING,61,894.46,0,0,0,0,0,4.54,1,INSTITUTION_REPORTING,2017-01-10,2025-08-15
2025,2021_2027,37b412d4e068b74a5da8fe,HR,SI,HEI_HR_2895,HEI_SI_1211,STAFF_TEACHING,28,728.02,0,0,0,0,1,4.85,1,ERASMUS_DASHBOARD,2017-02-02,2024-12-24
2006,2014_2020,9af7cb0f0add8d3867bbcd,DE,FI,HEI_DE_2900,HEI_FI_1220,BLENDED_INTENSIVE,103,2102.19,0,0,0,1,1,4.91,1,NATIONAL_AGENCY_EXPORT,2017-02-25,2026-01-29
2007,2014_2020,3c5c63df5ee1be7c9fc270,LU,NL,HEI_LU_2905,HEI_NL_1229,TRAINEESHIP,129,2823.16,0,0,0,0,1,3.63,1,INSTITUTION_REPORTING,2017-03-20,2025-07-11
2008,2014_2020,671c894ba588bade7c2e13,SI,HR,HEI_SI_2910,HEI_HR_1238,STUDY,252,3365.15,0,0,0,1,0,4.77,1,ERASMUS_DASHBOARD,2017-04-12,2025-03-21
2009,2014_2020,ad3b03f30450ee41cd83d9,CY,IT,HEI_CY_2915,HEI_IT_1247,YOUTH_EXCHANGE,9,105.02,0,0,0,0,0,3.24,1,NATIONAL_AGENCY_EXPORT,2017-05-05,2026-01-12
2010,2014_2020,001e3b57e3639a45ea314f,GR,ES,HEI_GR_2920,HEI_ES_1256,STAFF_TRAINING,158,4030.85,0,0,0,0,1,3.68,1,INSTITUTION_REPORTING,2017-05-28,2024-06-15
2011,2014_2020,fbaff5ac564b0a09043e05,MT,FR,HEI_MT_2925,HEI_FR_1265,STAFF_TEACHING,191,1702.07,0,0,0,0,1,5.0,1,ERASMUS_DASHBOARD,2017-06-20,2025-03-13
2012,2014_2020,8956342200e5ceff3698b7,ES,PL,HEI_ES_2930,HEI_PL_1274,BLENDED_INTENSIVE,68,2323.65,1,0,0,1,1,3.55,0,NATIONAL_AGENCY_EXPORT,2017-07-13,2026-02-19
2013,2014_2020,eaf0cb81a4020e050e2c1a,CZ,CY,HEI_CZ_2935,HEI_CY_1283,TRAINEESHIP,186,2451.94,1,0,0,0,1,3.6,1,INSTITUTION_REPORTING,2017-08-05,2025-12-21
2014,2014_2020,7d7d6be9f8d104278495e4,HU,LV,HEI_HU_2940,HEI_LV_1292,STUDY,332,11894.32,0,0,1,1,0,3.61,0,ERASMUS_DASHBOARD,2017-08-28,2025-03-10
2015,2014_2020,a703fa35f81599755fd41c,NL,SE,HEI_NL_2945,HEI_SE_1301,YOUTH_EXCHANGE,134,3941.39,0,0,1,0,1,3.58,1,NATIONAL_AGENCY_EXPORT,2017-09-20,2024-05-21
2016,2014_2020,07df9dd3b1b58bb7daad82,SE,DE,HEI_SE_2950,HEI_DE_1310,STAFF_TRAINING,171,2205.72,0,0,0,0,1,3.3,0,INSTITUTION_REPORTING,2017-10-13,2024-01-14
2017,2014_2020,b1d8c340c36458b513b109,DK,PT,HEI_DK_2955,HEI_PT_1319,STAFF_TEACHING,16,517.45,1,0,0,0,0,3.81,0,ERASMUS_DASHBOARD,2017-11-05,2024-01-28
2018,2014_2020,dac08564cc30c605538275,IE,CZ,HEI_IE_2960,HEI_CZ_1328,BLENDED_INTENSIVE,15,323.97,0,0,0,1,0,3.86,1,NATIONAL_AGENCY_EXPORT,2017-11-28,2024-03-03
2019,2014_2020,23ebc3f9f8847f8cbc62b3,PL,LT,HEI_PL_2965,HEI_LT_1337,TRAINEESHIP,81,1035.85,1,0,0,0,1,3.87,1,INSTITUTION_REPORTING,2017-12-21,2024-01-02
2020,2014_2020,7d0ceb602054310aa52dda,AT,AT,HEI_AT_2970,HEI_AT_1346,STUDY,199,3001.9,0,0,1,1,0,3.98,1,ERASMUS_DASHBOARD,2018-01-13,2025-10-25
2021,2021_2027,8a91d5b36fc428e8e44025,EE,GR,HEI_EE_2975,HEI_GR_1355,YOUTH_EXCHANGE,103,1347.27,0,0,0,0,1,4.93,1,NATIONAL_AGENCY_EXPORT,2018-02-05,2024-07-11
2022,2021_2027,4aeb32c69a00743ab4b8d7,IT,RO,HEI_IT_2980,HEI_RO_1364,STAFF_TRAINING,30,820.94,1,0,0,1,0,3.76,1,INSTITUTION_REPORTING,2018-02-28,2026-01-15
2023,2021_2027,e87af622d3a0097ad88892,PT,DK,HEI_PT_2985,HEI_DK_1373,STAFF_TEACHING,28,528.15,0,1,0,0,0,4.61,1,ERASMUS_DASHBOARD,2018-03-23,2024-09-06
2024,2021_2027,942726f37f36c9cc9ef13d,BE,LU,HEI_BE_2990,HEI_LU_1382,BLENDED_INTENSIVE,61,1471.24,0,0,0,1,1,4.27,1,NATIONAL_AGENCY_EXPORT,2018-04-15,2025-05-31
2025,2021_2027,0fc995677ebfd92310a1e9,FI,BE,HEI_FI_2995,HEI_BE_1391,TRAINEESHIP,54,1703.9,1,0,0,0,0,3.8,0,INSTITUTION_REPORTING,2018-05-08,2025-11-03
2006,2014_2020,3cc73cb29c57d32da2d67d,LV,HU,HEI_LV_3000,HEI_HU_1400,STUDY,285,5151.34,1,0,0,1,1,3.45,1,ERASMUS_DASHBOARD,2018-05-31,2024-03-20
2007,2014_2020,07aaff416ce5f41c0fa6b0,RO,SK,HEI_RO_3005,HEI_SK_1409,YOUTH_EXCHANGE,196,5052.32,0,0,1,1,1,4.06,1,NATIONAL_AGENCY_EXPORT,2018-06-23,2025-06-09
2008,2014_2020,327090638efde7eb4e1671,BG,EE,HEI_BG_3010,HEI_EE_1418,STAFF_TRAINING,149,3612.45,0,0,1,1,1,4.3,0,INSTITUTION_REPORTING,2018-07-16,2024-07-18
2009,2014_2020,0d9a42484369d47ae954f2,FR,MT,HEI_FR_3015,HEI_MT_1427,STAFF_TEACHING,103,2258.38,0,0,0,0,1,4.33,0,ERASMUS_DASHBOARD,2018-08-08,2025-05-31
2010,2014_2020,e1549a5e52c3bd2f09c5f1,LT,BG,HEI_LT_3020,HEI_BG_1436,BLENDED_INTENSIVE,8,210.2,1,0,0,1,0,3.06,0,NATIONAL_AGENCY_EXPORT,2018-08-31,2025-09-26
2011,2014_2020,29aa2974b9cf64be7c9cde,SK,IE,HEI_SK_3025,HEI_IE_1445,TRAINEESHIP,78,1841.35,0,0,0,1,0,3.57,1,INSTITUTION_REPORTING,2018-09-23,2025-04-28
2012,2014_2020,28ce2a82e94fef09255816,HR,SI,HEI_HR_3030,HEI_SI_1454,STUDY,262,3765.1,1,0,0,1,0,3.21,0,ERASMUS_DASHBOARD,2018-10-16,2025-07-21
2013,2014_2020,4849006902412e173bddaf,DE,FI,HEI_DE_3035,HEI_FI_1463,YOUTH_EXCHANGE,12,131.48,1,0,0,0,1,5.0,0,NATIONAL_AGENCY_EXPORT,2018-11-08,2025-09-07
2014,2014_2020,2e98c1078d8a03d190e6eb,LU,NL,HEI_LU_3040,HEI_NL_1472,STAFF_TRAINING,71,2796.07,0,0,1,0,0,3.98,0,INSTITUTION_REPORTING,2018-12-01,2025-01-11
2015,2014_2020,979ca0fbbde93b6928c9ee,SI,HR,HEI_SI_3045,HEI_HR_1481,STAFF_TEACHING,113,3275.2,0,0,1,0,1,4.55,0,ERASMUS_DASHBOARD,2018-12-24,2025-01-30
2016,2014_2020,e4c72d5f8631dd02b218ec,CY,IT,HEI_CY_3050,HEI_IT_1490,BLENDED_INTENSIVE,164,2335.41,0,0,0,1,1,4.96,1,NATIONAL_AGENCY_EXPORT,2019-01-16,2025-02-09
