travel_dom_travel_month,travel_dom_destination_dma_code,travel_dom_origin_dma_code,travel_dom_trip_purpose_code,travel_dom_party_size_avg,travel_dom_nights_stayed_avg,travel_dom_lodging_type_code,travel_dom_spend_total_inr,travel_dom_spend_lodging_inr,travel_dom_spend_food_inr,travel_dom_spend_transport_inr,travel_dom_attraction_ticket_spend_inr,travel_dom_booking_channel_code,travel_dom_lead_time_days,travel_dom_cancellation_rate_pct,travel_dom_occupancy_rate_pct,travel_dom_adr_average_daily_rate,travel_dom_revpar_inr,travel_dom_seasonality_cluster,travel_dom_event_driven_demand_flag
2019-10,DMA0708,DMA0315,VFR,1.9,11.1,HOMESTAY,128666,112095,55915,42138,6358,CORPORATE,101,10.19,95.11,26393,20754,MONSOON,0
2023-03,DMA0315,DMA0516,BUSINESS,5.2,1.8,RESORT,335458,63610,13846,37534,31421,OTA,163,2.35,81.76,7699,24484,MONSOON,0
2024-10,DMA0635,DMA0220,LEISURE,4.2,12.2,DHARAMSHALA,251631,87634,2135,71219,48009,AGENT,69,41.72,85.51,16671,8698,MONSOON,1
2022-08,DMA0097,DMA0697,BUSINESS,4.0,7.1,RESORT,127818,61885,18004,25062,17598,CORPORATE,97,14.04,53.66,34698,15150,FESTIVE,1
2021-02,DMA0440,DMA0497,BUSINESS,5.0,3.8,SERVICED_APT,268387,126082,91706,14313,3071,CORPORATE,128,8.46,26.25,21226,16460,MONSOON,0
2025-03,DMA0365,DMA0188,BUSINESS,2.5,4.9,HOTEL,137465,168954,56993,39147,1302,OTA,21,41.37,31.61,23276,19516,SUMMER,0
2025-07,DMA0578,DMA0291,BUSINESS,1.4,12.7,DHARAMSHALA,47407,68317,42995,134691,37809,OTA,41,39.72,92.05,15606,8456,SHOULDER,1
2025-12,DMA0371,DMA0675,VFR,3.8,1.1,HOMESTAY,159249,91884,85201,91680,14407,OTA,83,2.39,49.99,23226,2877,MONSOON,0
2025-06,DMA0780,DMA0364,MEDICAL,2.7,11.4,RESORT,32475,102952,99763,141782,39427,AGENT,31,9.34,78.94,19893,12158,SUMMER,0
2020-09,DMA0790,DMA0424,BUSINESS,2.4,13.0,HOMESTAY,147600,25225,44689,25013,46919,CORPORATE,31,36.57,73.83,26976,12958,MONSOON,1
2021-06,DMA0446,DMA0613,EDUCATION,6.5,4.3,HOSTEL,133305,133978,60513,80026,36215,OTA,5,12.02,56.96,19796,15584,SHOULDER,0
2024-11,DMA0410,DMA0155,LEISURE,2.1,11.7,RESORT,120287,81480,22936,145202,150,AGENT,133,30.08,87.13,32011,18335,SUMMER,1
2020-03,DMA0654,DMA0175,VFR,2.3,3.1,HOSTEL,63239,183176,26444,119452,54305,AGENT,107,1.8,71.05,25927,22905,SHOULDER,1
2025-08,DMA0777,DMA0781,VFR,2.8,1.2,SERVICED_APT,88633,49997,1789,39785,53045,GOV_PORTAL,138,37.87,77.71,7226,18592,WINTER,0
2023-11,DMA0714,DMA0310,BUSINESS,3.7,8.9,HOTEL,327514,114153,11947,4505,20960,OTA,156,19.0,85.28,7923,20991,SHOULDER,1
2025-12,DMA0263,DMA0262,BUSINESS,5.8,9.4,HOTEL,166100,10045,33588,2637,30989,OTA,160,21.15,37.37,3148,6515,FESTIVE,0
2025-12,DMA0431,DMA0599,LEISURE,2.0,3.0,HOMESTAY,276434,70476,6965,119468,18900,OTA,128,36.37,42.88,15061,8485,SHOULDER,0
2024-10,DMA0698,DMA0161,MEDICAL,4.4,7.7,HOTEL,175193,14257,78350,23775,10755,GOV_PORTAL,90,20.44,78.93,20380,8018,WINTER,0
2020-08,DMA0788,DMA0649,VFR,3.0,6.0,SERVICED_APT,243259,75815,84599,57282,14809,OTA,76,4.69,84.68,14555,18002,MONSOON,1
2024-09,DMA0591,DMA0504,BUSINESS,5.4,2.0,SERVICED_APT,285031,88131,48322,8652,34641,OTA,164,22.7,66.61,11664,7774,FESTIVE,0
2023-05,DMA0509,DMA0186,PILGRIMAGE,4.3,7.6,RESORT,158176,95448,53868,115000,48173,AGENT,164,20.55,97.48,9567,21971,WINTER,1
2025-03,DMA0427,DMA0493,PILGRIMAGE,5.4,8.6,HOMESTAY,178845,168631,18702,89957,38436,OTA,105,20.25,88.49,18077,2479,SHOULDER,0
2019-02,DMA0370,DMA0038,BUSINESS,5.7,3.8,HOSTEL,67926,111856,82269,134875,1728,CORPORATE,114,8.67,82.44,5583,15647,WINTER,0
2021-06,DMA0180,DMA0752,PILGRIMAGE,6.0,10.6,GUESTHOUSE,335521,176623,77521,78600,47293,DIRECT,92,7.38,39.14,34407,3275,MONSOON,0
2019-08,DMA0115,DMA0544,LEISURE,6.5,1.9,HOTEL,168006,148485,62746,4695,3650,OTA,153,35.0,45.98,33040,21293,FESTIVE,1
2022-04,DMA0728,DMA0738,MEDICAL,4.4,8.2,RESORT,107590,164376,67377,128657,11866,AGENT,168,27.86,48.14,7009,22384,SUMMER,1
2019-08,DMA0706,DMA0618,PILGRIMAGE,4.5,4.9,HOSTEL,29733,21566,33175,7376,28474,GOV_PORTAL,89,0.29,27.24,8796,20276,WINTER,1
2020-05,DMA0532,DMA0059,LEISURE,1.8,6.7,GUESTHOUSE,17195,24000,35198,98666,57935,GOV_PORTAL,103,37.59,77.05,21394,10263,WINTER,0
2021-06,DMA0793,DMA0612,PILGRIMAGE,1.6,12.6,HOMESTAY,317838,120569,51719,76456,23094,DIRECT,95,5.46,52.15,9332,10158,SHOULDER,1
2019-01,DMA0121,DMA0174,EDUCATION,3.7,9.7,RESORT,239555,37396,48139,29881,15779,AGENT,169,33.2,68.44,10202,23413,FESTIVE,0
2024-09,DMA0036,DMA0653,LEISURE,4.8,2.9,GUESTHOUSE,158827,65928,77133,65349,7702,OTA,59,4.32,75.34,16033,16914,SUMMER,0
2024-04,DMA0003,DMA0305,LEISURE,2.4,12.5,RESORT,178699,84050,77005,66300,49695,GOV_PORTAL,87,43.71,20.65,9391,17635,WINTER,1
2025-08,DMA0047,DMA0347,BUSINESS,2.8,5.8,HOSTEL,147842,143991,35962,109689,5837,GOV_PORTAL,130,40.52,23.73,28727,6676,SUMMER,0
2021-12,DMA0140,DMA0759,VFR,4.9,5.4,SERVICED_APT,342872,54987,29913,10116,18351,CORPORATE,12,8.24,46.14,34859,6077,SUMMER,0
2025-07,DMA0700,DMA0069,LEISURE,2.2,7.5,HOSTEL,270315,155582,76266,115885,59514,DIRECT,138,0.38,71.13,29282,6202,MONSOON,1
2023-01,DMA0225,DMA0490,PILGRIMAGE,3.9,3.7,HOTEL,314351,153291,82671,45987,57382,CORPORATE,56,2.68,57.3,28101,27604,SHOULDER,1
2025-09,DMA0796,DMA0490,BUSINESS,4.0,12.9,HOSTEL,221398,70527,85304,5171,13813,GOV_PORTAL,118,36.39,93.23,9340,3409,SUMMER,0
2025-05,DMA0587,DMA0576,VFR,6.0,7.1,HOMESTAY,122774,79025,87650,39770,14218,OTA,31,3.46,40.04,10729,19778,SHOULDER,0
2020-12,DMA0593,DMA0154,MEDICAL,3.2,6.1,HOMESTAY,273329,56466,43236,91892,42300,OTA,12,35.02,28.1,17491,14953,MONSOON,1
2019-04,DMA0744,DMA0561,LEISURE,2.2,3.2,SERVICED_APT,184032,65207,72628,70177,6786,CORPORATE,16,36.89,28.92,24095,7199,SUMMER,0
2025-05,DMA0031,DMA0723,LEISURE,2.0,11.4,RESORT,103069,130907,51582,56928,26766,OTA,65,13.81,37.55,20154,2189,SHOULDER,1
2024-02,DMA0249,DMA0502,VFR,2.6,13.4,HOMESTAY,283266,2335,55171,14723,44921,DIRECT,148,33.08,38.43,9248,2871,FESTIVE,0
2019-09,DMA0197,DMA0236,BUSINESS,2.5,12.3,HOSTEL,200199,169735,30467,146504,43015,CORPORATE,69,36.91,49.56,28344,15372,SHOULDER,0
2021-02,DMA0111,DMA0220,MEDICAL,5.1,3.1,GUESTHOUSE,59707,183289,92443,83834,41724,AGENT,93,35.13,64.0,31634,10048,FESTIVE,0
2022-11,DMA0706,DMA0194,VFR,4.3,10.8,HOMESTAY,112980,11040,35415,12471,45145,OTA,142,8.62,39.44,6353,14831,MONSOON,0
2020-04,DMA0316,DMA0259,MEDICAL,4.8,3.7,HOSTEL,232473,84152,39007,8613,50515,OTA,142,20.22,60.2,30003,1400,MONSOON,0
2022-01,DMA0077,DMA0495,VFR,4.5,1.5,DHARAMSHALA,335398,16964,85396,68363,44972,AGENT,108,3.07,57.27,34858,13546,FESTIVE,0
2024-10,DMA0532,DMA0484,EDUCATION,3.6,7.3,HOSTEL,297205,21086,52071,48509,9777,DIRECT,110,23.64,44.11,23944,25083,WINTER,1
2019-11,DMA0523,DMA0149,BUSINESS,6.1,9.7,RESORT,102926,125775,94322,131890,8257,CORPORATE,8,19.9,53.86,2150,17596,SUMMER,1
2019-02,DMA0362,DMA0430,PILGRIMAGE,5.5,2.6,RESORT,214074,181165,17167,125452,21280,CORPORATE,75,40.62,49.9,29656,13534,SUMMER,1
2025-11,DMA0644,DMA0365,VFR,2.2,8.9,HOMESTAY,47313,86556,68027,84235,49328,DIRECT,70,0.81,94.1,30490,678,FESTIVE,1
2020-11,DMA0692,DMA0167,PILGRIMAGE,3.3,12.0,HOMESTAY,227509,82199,78802,110435,27024,CORPORATE,87,23.86,25.37,26291,27493,SUMMER,1
2022-11,DMA0559,DMA0550,VFR,2.6,3.7,HOSTEL,140682,132517,2620,37406,20776,OTA,20,32.95,79.82,20881,8547,MONSOON,1
2024-02,DMA0634,DMA0028,LEISURE,5.1,6.6,HOMESTAY,179980,189782,60090,26047,57874,DIRECT,136,20.88,44.13,14060,19984,WINTER,0
2025-04,DMA0651,DMA0453,BUSINESS,2.9,7.5,DHARAMSHALA,152358,184768,39652,2569,15590,OTA,65,10.71,34.46,26517,15368,FESTIVE,1
2022-03,DMA0562,DMA0614,LEISURE,4.5,11.8,GUESTHOUSE,146609,129416,84068,101283,9675,OTA,70,27.44,87.91,23333,27186,MONSOON,0
2019-06,DMA0217,DMA0062,MEDICAL,2.6,11.0,SERVICED_APT,258801,113648,44416,148657,55306,OTA,1,44.42,56.62,32104,492,MONSOON,1
2021-12,DMA0407,DMA0509,PILGRIMAGE,1.9,11.0,DHARAMSHALA,124231,50850,38249,87077,8251,AGENT,55,1.85,59.79,28541,24194,FESTIVE,1
2024-02,DMA0721,DMA0785,MEDICAL,1.1,9.8,HOTEL,270737,108772,55386,135492,28692,DIRECT,11,8.82,52.43,6877,16805,FESTIVE,1
2023-12,DMA0446,DMA0168,EDUCATION,6.5,9.0,HOTEL,344357,79463,5655,113840,21931,OTA,116,22.08,51.55,30120,20396,SHOULDER,1
2025-07,DMA0053,DMA0231,PILGRIMAGE,2.2,7.6,HOSTEL,252176,109511,60273,148120,42842,DIRECT,55,26.89,74.04,8517,17997,MONSOON,0
2021-12,DMA0351,DMA0622,PILGRIMAGE,5.6,5.8,SERVICED_APT,301044,188563,83686,61919,40086,GOV_PORTAL,98,28.09,79.23,31392,2586,SUMMER,0
2025-05,DMA0654,DMA0035,BUSINESS,5.5,7.7,DHARAMSHALA,251458,94826,30898,7597,32334,OTA,178,2.71,81.55,13986,11779,WINTER,1
2024-12,DMA0303,DMA0722,MEDICAL,2.3,12.1,HOTEL,192873,73849,79714,25131,47078,CORPORATE,70,5.53,60.97,10384,9188,SHOULDER,0
2021-07,DMA0530,DMA0697,LEISURE,3.3,8.4,HOSTEL,191691,9281,49730,74017,29180,GOV_PORTAL,10,42.51,74.76,16835,10244,MONSOON,0
2022-04,DMA0323,DMA0213,LEISURE,5.6,13.8,HOSTEL,158337,189077,80890,100012,41557,CORPORATE,130,3.39,80.65,4672,11516,FESTIVE,0
2023-12,DMA0109,DMA0281,PILGRIMAGE,4.8,2.9,DHARAMSHALA,185408,88471,91000,127258,8716,GOV_PORTAL,161,18.86,73.3,25163,11482,WINTER,1
2020-01,DMA0739,DMA0511,PILGRIMAGE,3.0,6.7,SERVICED_APT,250847,91327,82206,148284,685,AGENT,84,25.98,35.1,31023,962,WINTER,1
2022-01,DMA0253,DMA0479,PILGRIMAGE,6.2,3.6,GUESTHOUSE,100216,127509,77622,73816,43316,AGENT,146,14.14,75.52,14413,25210,MONSOON,0
2024-01,DMA0615,DMA0271,MEDICAL,2.9,5.7,RESORT,168101,8095,91811,17070,22200,GOV_PORTAL,134,11.51,70.56,15579,18712,SUMMER,1
2020-06,DMA0095,DMA0761,MEDICAL,2.2,11.3,HOMESTAY,210172,101142,73005,111031,18102,GOV_PORTAL,106,13.06,27.51,21788,22806,WINTER,1
2020-06,DMA0444,DMA0659,VFR,1.8,11.7,GUESTHOUSE,16994,145838,24081,100468,5130,DIRECT,138,12.72,70.4,2005,17811,MONSOON,1
2021-10,DMA0187,DMA0179,LEISURE,4.9,1.4,RESORT,322768,3294,10014,138447,42576,AGENT,62,17.07,88.26,25256,23602,WINTER,0
2023-06,DMA0344,DMA0141,PILGRIMAGE,1.2,13.4,HOSTEL,304172,67373,86318,11973,55438,DIRECT,102,5.22,52.23,20945,14875,SUMMER,0
2021-07,DMA0562,DMA0096,MEDICAL,5.7,12.3,DHARAMSHALA,259295,97769,46873,120071,22525,CORPORATE,170,38.41,30.42,8846,7286,SHOULDER,0
2025-07,DMA0189,DMA0351,VFR,2.7,12.8,DHARAMSHALA,299941,152846,40636,26817,58535,AGENT,44,34.17,67.63,29084,3178,MONSOON,1
2022-01,DMA0657,DMA0718,PILGRIMAGE,3.0,5.9,GUESTHOUSE,73541,163228,59008,63495,1633,DIRECT,127,1.53,38.64,13524,24820,MONSOON,0
2025-12,DMA0124,DMA0025,LEISURE,5.4,7.5,HOSTEL,190255,188945,65490,25144,654,OTA,160,34.26,62.51,27972,5612,SHOULDER,0
2024-08,DMA0566,DMA0768,EDUCATION,5.5,3.2,HOTEL,137122,67476,16367,20929,53486,CORPORATE,27,37.26,72.2,8456,5407,FESTIVE,0
2024-12,DMA0777,DMA0723,MEDICAL,3.2,6.2,DHARAMSHALA,11492,72919,59476,67297,27916,AGENT,102,41.49,59.8,28214,24001,MONSOON,1
2023-10,DMA0160,DMA0151,PILGRIMAGE,4.0,2.6,HOSTEL,173051,19283,9312,4823,52124,OTA,115,27.58,44.07,22449,19781,FESTIVE,0
2025-10,DMA0462,DMA0723,BUSINESS,4.7,12.2,HOTEL,151287,9153,46279,10039,43684,GOV_PORTAL,56,38.38,86.85,12971,24578,MONSOON,0
2023-05,DMA0278,DMA0081,BUSINESS,4.8,8.6,HOSTEL,48823,20003,83762,108273,6510,OTA,51,34.16,30.6,13709,9942,WINTER,0
2024-02,DMA0296,DMA0492,LEISURE,3.9,2.8,DHARAMSHALA,21017,26971,80077,45800,47348,GOV_PORTAL,3,1.14,23.34,23972,15564,SUMMER,0
2025-07,DMA0334,DMA0479,VFR,5.6,12.4,HOSTEL,178263,172320,54000,140376,9146,GOV_PORTAL,144,36.5,84.64,5683,26221,WINTER,1
2019-07,DMA0357,DMA0307,VFR,5.6,2.0,DHARAMSHALA,275807,110407,67495,42059,9263,GOV_PORTAL,34,26.15,22.67,17889,26393,MONSOON,0
2021-07,DMA0248,DMA0373,EDUCATION,5.7,13.1,DHARAMSHALA,81624,141298,38044,2312,47545,GOV_PORTAL,41,29.28,58.0,5351,8756,FESTIVE,0
2022-04,DMA0308,DMA0621,BUSINESS,2.5,2.4,RESORT,114732,170281,94308,55989,55849,CORPORATE,153,39.82,61.95,7813,16694,FESTIVE,0
2025-06,DMA0462,DMA0138,EDUCATION,2.4,10.3,HOSTEL,53025,55758,49210,41467,38921,GOV_PORTAL,175,0.47,46.39,31206,7725,SHOULDER,0
2025-11,DMA0156,DMA0456,LEISURE,1.8,9.4,HOSTEL,188387,70898,84698,37192,10127,GOV_PORTAL,63,4.86,41.52,1863,8435,SHOULDER,0
2023-02,DMA0428,DMA0439,BUSINESS,5.5,11.2,HOSTEL,193929,69972,8707,50200,4199,GOV_PORTAL,144,25.82,77.74,33547,6973,SHOULDER,1
2025-08,DMA0737,DMA0378,PILGRIMAGE,1.3,8.3,SERVICED_APT,80986,94160,59812,24875,2641,AGENT,97,18.43,48.58,20822,1392,SUMMER,1
2019-09,DMA0304,DMA0281,MEDICAL,1.7,5.5,HOMESTAY,37206,196631,38953,98370,29283,DIRECT,134,18.81,29.65,8841,5584,SHOULDER,0
2024-05,DMA0022,DMA0186,VFR,6.1,4.6,SERVICED_APT,119995,77178,20556,60451,29621,OTA,64,14.05,56.13,32712,13693,FESTIVE,1
2021-01,DMA0229,DMA0603,MEDICAL,1.7,13.3,HOMESTAY,238688,143628,89869,12885,10999,OTA,127,36.83,76.66,3626,21414,WINTER,1
2019-08,DMA0675,DMA0064,LEISURE,1.7,6.7,GUESTHOUSE,156294,178302,5037,52084,45813,DIRECT,51,4.66,44.03,3303,4730,MONSOON,1
2022-03,DMA0284,DMA0684,EDUCATION,6.0,11.9,RESORT,284492,184566,67882,77149,7869,CORPORATE,168,23.98,30.3,8680,4904,SHOULDER,1
2021-08,DMA0067,DMA0664,LEISURE,2.7,10.4,DHARAMSHALA,229628,6328,81014,140779,24435,GOV_PORTAL,115,20.62,46.61,11964,8460,SUMMER,0
2019-08,DMA0598,DMA0754,BUSINESS,5.8,9.5,HOMESTAY,224656,137642,16240,139575,38849,AGENT,143,24.81,62.55,10029,18165,WINTER,0
2020-01,DMA0494,DMA0319,LEISURE,3.1,13.6,GUESTHOUSE,210426,28894,70984,80423,27608,OTA,85,2.28,27.93,23047,18719,FESTIVE,1
2024-07,DMA0550,DMA0664,MEDICAL,3.1,8.4,GUESTHOUSE,82036,27092,54551,106006,29272,DIRECT,121,30.32,38.29,20846,2994,SUMMER,1
2024-06,DMA0693,DMA0532,VFR,1.7,10.5,GUESTHOUSE,323426,27423,20768,76709,16987,GOV_PORTAL,26,0.61,95.72,29391,16591,MONSOON,1
2021-04,DMA0615,DMA0544,BUSINESS,6.1,12.0,RESORT,213442,87356,74991,85461,34422,OTA,17,23.75,35.92,13390,6984,SHOULDER,1
2019-04,DMA0599,DMA0674,LEISURE,5.2,1.6,DHARAMSHALA,244084,46755,42443,80085,57081,OTA,62,11.95,24.95,29802,15448,MONSOON,1
2020-11,DMA0006,DMA0052,PILGRIMAGE,2.2,14.0,HOTEL,194168,52286,12395,126488,50020,OTA,79,14.09,53.71,9860,23744,MONSOON,1
2021-10,DMA0654,DMA0255,LEISURE,5.0,4.4,RESORT,225958,60780,31612,54501,57514,GOV_PORTAL,114,33.23,25.76,11664,1780,FESTIVE,1
2023-07,DMA0548,DMA0038,VFR,1.6,10.1,GUESTHOUSE,174832,139510,2130,66301,21806,CORPORATE,153,44.36,21.06,29850,14386,WINTER,1
2024-11,DMA0468,DMA0782,BUSINESS,3.9,13.4,SERVICED_APT,264723,47163,60417,51561,5906,DIRECT,149,21.39,21.21,1561,14406,SHOULDER,1
2023-10,DMA0307,DMA0152,VFR,2.4,10.9,DHARAMSHALA,285682,19941,68569,67756,33936,DIRECT,0,30.13,43.12,2894,4307,FESTIVE,1
2025-01,DMA0077,DMA0483,MEDICAL,5.7,4.0,HOSTEL,302305,127831,91454,13712,34901,OTA,173,11.18,25.76,30580,1684,WINTER,1
2020-07,DMA0556,DMA0200,MEDICAL,3.8,5.7,DHARAMSHALA,179393,59452,53689,49841,15091,CORPORATE,85,24.93,35.05,20965,24936,WINTER,0
2019-09,DMA0750,DMA0264,LEISURE,6.1,6.4,DHARAMSHALA,258226,197719,33246,22056,28057,CORPORATE,26,4.5,70.56,31915,7083,SUMMER,1
2020-11,DMA0045,DMA0134,PILGRIMAGE,4.2,8.6,GUESTHOUSE,197157,17364,52787,35874,42830,GOV_PORTAL,101,38.26,42.49,15723,26301,FESTIVE,0
2025-03,DMA0371,DMA0746,PILGRIMAGE,3.8,8.8,SERVICED_APT,46167,171722,15116,8510,13244,DIRECT,171,20.51,64.89,15296,7071,FESTIVE,0
2020-01,DMA0457,DMA0171,BUSINESS,4.8,11.2,HOSTEL,239062,187934,88494,34047,412,OTA,160,16.27,52.08,16614,7830,WINTER,0
2021-07,DMA0624,DMA0499,LEISURE,5.3,12.2,RESORT,217133,71795,90422,90796,58045,OTA,82,23.1,89.01,25130,14644,SHOULDER,1
2024-12,DMA0774,DMA0461,VFR,1.1,2.2,DHARAMSHALA,178474,91821,39192,34896,41798,CORPORATE,32,41.08,74.32,8997,9248,SUMMER,0
2020-07,DMA0110,DMA0411,LEISURE,3.9,4.6,HOTEL,95399,79788,88176,27329,58193,AGENT,124,34.94,86.5,11007,13454,SHOULDER,0
2019-05,DMA0348,DMA0792,PILGRIMAGE,5.3,5.5,HOMESTAY,91139,111965,61140,45767,56945,GOV_PORTAL,152,6.87,60.47,32888,14842,MONSOON,1
2022-03,DMA0391,DMA0579,VFR,3.2,1.2,DHARAMSHALA,6872,127212,65291,71960,21706,CORPORATE,5,34.56,80.93,8529,16032,WINTER,0
2020-02,DMA0211,DMA0006,EDUCATION,1.2,6.4,HOMESTAY,171959,145381,36737,133685,32631,GOV_PORTAL,175,17.68,68.02,18404,1669,MONSOON,1
2020-10,DMA0351,DMA0578,VFR,1.1,5.7,HOTEL,122302,65027,67250,59362,54407,CORPORATE,92,17.78,78.03,18795,19073,SHOULDER,0
2020-10,DMA0227,DMA0144,EDUCATION,5.4,7.8,HOSTEL,45154,108335,25509,122670,24061,CORPORATE,59,34.1,73.4,3598,15146,SUMMER,0
2019-05,DMA0349,DMA0441,PILGRIMAGE,2.1,2.3,HOSTEL,133997,47658,10357,54604,57079,CORPORATE,14,20.69,43.44,11231,23844,WINTER,0
2024-02,DMA0047,DMA0062,EDUCATION,2.0,6.4,HOTEL,337071,175675,75862,124090,3635,AGENT,37,3.26,29.78,5863,25137,WINTER,0
2023-04,DMA0492,DMA0745,BUSINESS,2.6,8.8,HOTEL,265922,73502,90895,56114,47738,DIRECT,142,11.1,82.9,30062,3529,SUMMER,0
2025-08,DMA0417,DMA0725,LEISURE,1.6,11.4,SERVICED_APT,50880,119326,8717,9197,1852,OTA,158,40.26,26.03,5680,5111,FESTIVE,1
2022-03,DMA0534,DMA0449,EDUCATION,1.3,11.0,GUESTHOUSE,191657,87627,95627,29169,28774,GOV_PORTAL,113,26.64,67.2,12901,21731,SHOULDER,0
2021-02,DMA0579,DMA0146,PILGRIMAGE,5.8,6.3,RESORT,162602,153552,38305,55199,23463,CORPORATE,147,38.8,97.12,28165,11897,WINTER,1
2025-08,DMA0753,DMA0251,LEISURE,2.7,6.1,GUESTHOUSE,104404,151008,76735,100889,29592,OTA,156,13.73,34.25,13133,17743,WINTER,0
2023-08,DMA0717,DMA0113,LEISURE,4.2,1.5,GUESTHOUSE,267581,141997,58400,15628,29517,CORPORATE,74,31.0,77.99,24912,13743,MONSOON,1
2019-12,DMA0104,DMA0592,BUSINESS,5.7,2.1,RESORT,154862,101813,97756,4235,22537,DIRECT,143,35.34,94.35,33765,20365,MONSOON,0
2025-08,DMA0525,DMA0422,VFR,6.4,12.3,HOMESTAY,317029,101780,38545,59357,56399,DIRECT,160,8.23,58.65,6329,1476,SUMMER,1
2023-01,DMA0488,DMA0658,PILGRIMAGE,4.8,11.5,SERVICED_APT,134397,7869,12927,109354,29174,DIRECT,18,1.05,64.69,21509,5557,SUMMER,0
2019-12,DMA0488,DMA0782,VFR,6.2,1.3,RESORT,341571,76739,44315,142645,48894,CORPORATE,88,28.55,48.68,25501,23717,FESTIVE,1
2019-05,DMA0312,DMA0497,MEDICAL,3.3,12.5,HOMESTAY,196289,40596,83227,60404,5427,OTA,49,25.96,54.46,25138,25793,WINTER,0
2023-03,DMA0077,DMA0666,EDUCATION,5.3,9.0,SERVICED_APT,184206,47202,92704,33613,48924,DIRECT,33,1.79,69.15,34391,26475,SHOULDER,1
2019-04,DMA0012,DMA0582,PILGRIMAGE,6.2,11.4,RESORT,151843,4736,7758,132875,24249,GOV_PORTAL,102,18.49,87.97,17915,17745,FESTIVE,1
2025-11,DMA0005,DMA0779,LEISURE,1.3,7.5,HOMESTAY,181148,182648,90574,86718,8626,AGENT,151,25.35,94.28,16450,15728,SHOULDER,1
2021-01,DMA0717,DMA0002,PILGRIMAGE,2.7,3.0,SERVICED_APT,42262,46843,19190,17960,11333,AGENT,112,9.54,62.37,25211,6580,SHOULDER,0
2020-12,DMA0439,DMA0281,VFR,5.1,5.6,HOSTEL,225138,52638,80037,108730,38629,AGENT,31,4.34,81.02,29842,8997,WINTER,1
2023-08,DMA0639,DMA0762,MEDICAL,2.7,6.9,HOSTEL,323546,149427,34659,67956,38535,AGENT,120,36.06,77.45,30333,27883,SUMMER,1
2020-07,DMA0499,DMA0451,BUSINESS,1.1,10.8,RESORT,20234,104802,76440,98729,21525,AGENT,130,41.63,39.27,21842,19161,SUMMER,0
2020-11,DMA0253,DMA0250,PILGRIMAGE,5.4,11.6,HOTEL,29317,65362,24034,85398,25515,AGENT,140,20.14,56.03,29588,6623,SUMMER,1
2025-11,DMA0527,DMA0445,EDUCATION,1.9,10.6,SERVICED_APT,78880,48364,44697,11291,21881,CORPORATE,86,6.03,73.31,16575,12353,SHOULDER,1
2025-05,DMA0578,DMA0680,BUSINESS,2.8,7.2,HOSTEL,161889,192491,68891,3457,25456,OTA,11,18.96,30.05,17184,13981,FESTIVE,1
2022-10,DMA0294,DMA0009,MEDICAL,6.0,9.6,RESORT,189386,39688,19017,120918,16932,GOV_PORTAL,61,12.56,88.95,6090,10946,SUMMER,1
2020-06,DMA0720,DMA0414,EDUCATION,2.1,4.8,DHARAMSHALA,185961,89898,90548,44177,12990,OTA,172,22.07,51.4,9014,10570,WINTER,0
2024-01,DMA0225,DMA0490,VFR,5.9,13.8,RESORT,186823,161760,60253,128657,40043,GOV_PORTAL,23,0.41,55.37,28624,14442,MONSOON,1
2024-11,DMA0098,DMA0405,MEDICAL,3.3,3.2,SERVICED_APT,76982,164286,53977,72450,47062,DIRECT,23,39.01,87.84,23209,16150,MONSOON,1
2022-09,DMA0055,DMA0301,PILGRIMAGE,6.0,10.4,HOSTEL,164050,78386,26127,108884,54658,GOV_PORTAL,14,2.61,33.44,13944,26167,FESTIVE,0
2022-10,DMA0729,DMA0140,LEISURE,5.8,3.0,DHARAMSHALA,66665,195915,94290,137494,39084,CORPORATE,177,19.34,22.77,3135,7226,MONSOON,1
2020-05,DMA0303,DMA0554,VFR,3.3,4.7,RESORT,258903,39247,72678,23801,51289,DIRECT,87,29.75,42.31,34290,2252,MONSOON,0
2020-03,DMA0730,DMA0124,EDUCATION,6.1,10.7,HOTEL,264621,149055,52806,2922,23400,AGENT,95,29.3,31.72,24496,14897,MONSOON,1
2025-01,DMA0752,DMA0693,EDUCATION,4.5,10.5,DHARAMSHALA,188073,189216,28290,52502,35580,CORPORATE,115,13.42,96.88,26768,14612,MONSOON,0
2021-10,DMA0616,DMA0670,PILGRIMAGE,3.6,2.6,HOMESTAY,324187,67634,62131,92502,35305,CORPORATE,172,22.48,64.16,5705,24566,MONSOON,0
2019-08,DMA0270,DMA0302,VFR,3.9,9.8,SERVICED_APT,146580,178592,98626,37331,36331,OTA,19,22.36,64.03,3985,18983,SUMMER,1
2023-02,DMA0490,DMA0582,VFR,1.3,3.6,RESORT,13009,54292,54303,140192,41509,OTA,20,5.91,81.94,9015,18025,SHOULDER,0
2019-11,DMA0655,DMA0347,PILGRIMAGE,5.4,13.6,DHARAMSHALA,56610,118018,7723,124229,32193,DIRECT,139,16.76,40.16,30552,9522,WINTER,1
2022-06,DMA0163,DMA0738,EDUCATION,2.6,8.8,HOSTEL,33079,34959,48187,146380,9043,CORPORATE,99,5.37,60.77,3954,19709,WINTER,1
2022-07,DMA0159,DMA0060,LEISURE,2.5,1.0,HOTEL,5856,137646,38635,63974,39035,DIRECT,107,2.57,31.09,33138,1125,WINTER,1
