civic_turnout_election_date,civic_turnout_election_type_code,civic_turnout_jurisdiction_polling_station_id,civic_turnout_registered_voters_count,civic_turnout_ballots_cast_count,civic_turnout_turnout_rate_pct,civic_turnout_early_vote_count,civic_turnout_mail_ballot_count,civic_turnout_election_day_vote_count,civic_turnout_provisional_ballot_count,civic_turnout_rejected_ballot_count,civic_turnout_cure_rate_pct,civic_turnout_same_day_registration_flag,civic_turnout_new_registrations_count,civic_turnout_inactive_to_active_reinstatements,civic_turnout_polling_place_wait_minutes_avg,civic_turnout_accessibility_compliance_flag,civic_turnout_language_assistance_provided,civic_turnout_voter_id_required_flag,civic_turnout_post_election_audit_type
2018-05-16,MUNICIPAL,CH-30-PS2503,1776,1331,74.94,5,0,1325,1,9,71.22,0,12,4,33.0,0,1,1,RANDOM_SAMPLE
2016-03-09,LOKSABHA,JK-17-PS3950,1204,688,57.14,20,25,643,0,5,79.18,0,21,4,12.1,1,0,1,NONE
2025-03-10,PANCHAYAT,TR-26-PS2209,869,454,52.24,4,16,429,5,3,89.63,0,28,7,32.2,1,1,1,RANDOM_SAMPLE
2017-01-07,MUNICIPAL,MP-74-PS4050,1157,690,59.64,0,12,674,4,1,61.99,0,13,2,22.4,1,1,1,FULL_RECOUNT
2019-08-22,PANCHAYAT,OD-28-PS2987,1000,642,64.2,19,20,601,2,0,75.12,0,5,3,51.6,1,1,1,FULL_RECOUNT
2017-04-24,BYE,AS-37-PS0134,920,454,49.35,7,8,439,0,0,70.29,0,23,15,29.8,1,1,1,FULL_RECOUNT
2022-12-09,LOKSABHA,ML-60-PS0302,1147,657,57.28,10,5,639,3,1,85.68,0,35,19,31.1,1,1,1,EVM_VVPAT_AUDIT
2025-09-19,BYE,MZ-24-PS0713,727,518,71.25,9,8,498,3,1,86.31,0,30,5,49.4,1,1,1,FULL_RECOUNT
2015-08-27,MUNICIPAL,DL-10-PS1586,1609,785,48.79,17,17,748,3,0,58.56,0,33,10,15.3,1,0,1,FULL_RECOUNT
2016-12-24,LOKSABHA,DL-34-PS2515,1836,1416,77.12,20,22,1371,3,11,85.73,0,29,0,36.3,1,0,1,FULL_RECOUNT
2022-03-23,MUNICIPAL,NL-55-PS1232,1263,1043,82.58,15,1,1022,5,0,61.19,0,28,4,30.1,1,0,1,RANDOM_SAMPLE
2017-08-01,BYE,CH-43-PS0387,1761,1391,78.99,11,13,1366,1,9,85.56,0,1,16,32.3,1,1,1,FULL_RECOUNT
2023-06-27,BYE,MZ-22-PS0110,1184,669,56.5,3,18,645,3,4,54.73,0,21,17,45.7,1,1,1,FULL_RECOUNT
2022-06-06,VIDHANSABHA,TR-80-PS0784,1496,1244,83.16,18,38,1183,5,4,51.69,0,21,7,6.8,1,1,1,EVM_VVPAT_AUDIT
2017-01-10,PANCHAYAT,TS-74-PS1528,636,440,69.18,1,12,423,4,2,71.21,0,18,8,32.2,1,1,1,FULL_RECOUNT
2016-04-12,LOKSABHA,MP-42-PS2441,1299,1002,77.14,4,34,964,0,5,74.88,0,22,11,25.8,1,1,1,FULL_RECOUNT
2022-12-07,VIDHANSABHA,HP-09-PS2108,1492,851,57.04,4,5,841,1,0,76.11,0,35,3,34.4,1,0,1,FULL_RECOUNT
2022-12-24,PANCHAYAT,HR-76-PS3024,1418,813,57.33,17,28,767,1,1,56.64,0,20,0,33.7,1,1,1,RANDOM_SAMPLE
2019-11-23,VIDHANSABHA,DL-34-PS4206,1144,786,68.71,9,28,744,5,3,69.13,0,15,14,17.1,1,0,1,EVM_VVPAT_AUDIT
2024-10-12,MUNICIPAL,CG-13-PS3723,1591,1034,64.99,16,30,988,0,7,66.02,0,4,5,4.8,0,1,1,EVM_VVPAT_AUDIT
2016-08-26,MUNICIPAL,DD-02-PS3365,1755,1194,68.03,2,24,1168,0,5,73.15,0,9,5,14.4,0,1,1,NONE
2022-02-07,VIDHANSABHA,GA-76-PS1781,1183,1006,85.04,14,12,976,4,7,94.89,0,18,14,7.6,1,0,1,RANDOM_SAMPLE
2019-04-24,BYE,GA-21-PS2890,1777,1193,67.14,30,45,1117,1,6,71.54,0,13,3,14.0,1,1,1,NONE
2020-12-31,LOKSABHA,OD-51-PS1862,1076,775,72.03,24,29,720,2,6,53.45,0,18,9,30.2,1,1,1,FULL_RECOUNT
2018-09-26,VIDHANSABHA,PY-16-PS0668,1280,622,48.59,1,20,599,2,0,72.96,0,39,4,42.7,1,0,1,FULL_RECOUNT
2019-03-06,PANCHAYAT,JH-10-PS2318,995,601,60.4,2,15,583,1,2,72.11,0,17,19,22.3,1,1,1,RANDOM_SAMPLE
2019-01-24,MUNICIPAL,SK-42-PS4282,1751,1187,67.79,18,24,1142,3,7,80.88,0,21,16,16.5,1,1,1,RANDOM_SAMPLE
2019-03-01,MUNICIPAL,WB-21-PS1300,890,649,72.92,10,13,623,3,3,93.72,0,29,11,47.9,1,1,1,NONE
2025-10-10,PANCHAYAT,LA-73-PS3588,1699,970,57.09,12,25,930,3,2,52.57,0,12,20,22.3,1,0,1,NONE
2024-06-05,BYE,TR-14-PS0893,1707,821,48.1,16,32,768,5,5,60.98,0,15,1,14.9,1,0,1,NONE
2018-07-19,VIDHANSABHA,HR-12-PS2225,662,405,61.18,2,16,382,5,0,96.51,1,17,13,49.8,1,1,1,RANDOM_SAMPLE
2025-03-07,MUNICIPAL,AS-46-PS3302,1541,967,62.75,28,10,924,5,8,66.97,0,18,1,29.0,1,1,1,NONE
2023-05-08,MUNICIPAL,UP-05-PS3127,660,431,65.3,5,15,407,4,3,88.51,0,2,5,10.5,1,1,1,EVM_VVPAT_AUDIT
2014-12-04,BYE,DN-67-PS0010,648,520,80.25,10,0,510,0,4,86.8,0,28,14,30.3,0,0,1,FULL_RECOUNT
2023-11-13,LOKSABHA,GA-37-PS1667,928,739,79.63,1,6,730,2,4,51.75,0,26,18,49.4,1,1,1,FULL_RECOUNT
2023-07-06,PANCHAYAT,TS-63-PS3123,1252,888,70.93,10,14,861,3,5,79.61,0,40,9,15.7,1,1,1,RANDOM_SAMPLE
2015-02-06,PANCHAYAT,CH-63-PS3924,1136,894,78.7,10,24,860,0,5,94.77,0,34,19,43.6,1,0,1,RANDOM_SAMPLE
2019-02-07,PANCHAYAT,MN-69-PS4485,1216,1033,84.95,8,22,998,5,1,92.62,0,0,15,2.8,1,1,1,EVM_VVPAT_AUDIT
2017-05-29,PANCHAYAT,AS-24-PS3471,671,446,66.47,2,9,435,0,3,70.76,0,28,0,5.1,1,1,1,NONE
2020-07-21,BYE,MP-64-PS1696,1318,854,64.8,27,1,824,2,7,78.33,0,21,14,4.0,1,1,1,RANDOM_SAMPLE
2022-06-16,PANCHAYAT,CH-44-PS1790,1588,744,46.85,6,5,733,0,5,50.44,0,9,19,18.6,1,1,1,FULL_RECOUNT
2023-10-08,VIDHANSABHA,AP-39-PS1182,1148,970,84.49,20,14,933,3,4,93.59,0,8,6,38.7,1,1,1,FULL_RECOUNT
2022-11-14,LOKSABHA,ML-44-PS4054,1041,505,48.51,15,0,485,5,0,72.98,0,17,6,50.3,1,1,1,RANDOM_SAMPLE
2017-06-11,VIDHANSABHA,AR-57-PS0365,1504,758,50.4,2,2,754,0,4,87.18,0,31,2,35.2,1,1,1,FULL_RECOUNT
2014-12-19,PANCHAYAT,DD-32-PS3029,717,576,80.33,13,14,547,2,2,65.29,0,8,4,41.1,0,1,1,NONE
2022-05-21,PANCHAYAT,AN-51-PS2016,1459,830,56.89,10,12,805,3,2,68.16,0,18,12,54.6,1,0,1,EVM_VVPAT_AUDIT
2016-07-13,LOKSABHA,KA-17-PS1604,1667,847,50.81,3,28,815,1,0,94.27,0,24,16,15.5,1,0,1,RANDOM_SAMPLE
2018-09-14,VIDHANSABHA,UP-01-PS0871,1498,1023,68.29,14,40,964,5,1,85.25,0,38,9,6.4,1,0,1,NONE
2017-07-08,LOKSABHA,LA-71-PS2259,886,559,63.09,1,6,552,0,4,74.44,0,35,10,7.7,0,0,1,RANDOM_SAMPLE
2022-07-16,MUNICIPAL,DN-79-PS3694,1636,829,50.67,21,25,780,3,4,91.25,0,17,10,2.5,1,0,1,EVM_VVPAT_AUDIT
2022-12-03,VIDHANSABHA,OD-31-PS2108,1498,1122,74.9,24,13,1084,1,7,87.42,0,35,17,38.9,1,0,1,NONE
2022-03-26,LOKSABHA,DN-79-PS1089,1115,911,81.7,10,0,900,1,5,93.39,0,16,3,54.1,1,1,1,NONE
2014-05-19,BYE,UK-75-PS4166,984,726,73.78,21,12,688,5,4,59.19,0,13,14,49.5,1,0,1,EVM_VVPAT_AUDIT
2022-03-05,BYE,WB-48-PS0714,1097,805,73.38,12,20,773,0,0,79.09,0,25,12,9.4,1,0,1,RANDOM_SAMPLE
2023-04-23,VIDHANSABHA,LA-49-PS4152,1176,702,59.69,5,23,674,0,0,73.65,0,2,16,36.6,1,1,1,NONE
2024-09-17,LOKSABHA,MN-56-PS3217,1019,622,61.04,11,16,592,3,3,62.32,0,3,16,3.7,1,1,1,RANDOM_SAMPLE
2014-09-04,BYE,OD-20-PS4326,1391,1218,87.56,29,15,1173,1,0,65.4,0,11,16,34.2,1,0,1,RANDOM_SAMPLE
2024-08-26,LOKSABHA,TR-27-PS4310,673,494,73.4,13,11,470,0,2,95.22,0,20,9,43.5,1,0,1,FULL_RECOUNT
2025-07-09,LOKSABHA,TR-36-PS4022,982,621,63.24,2,10,609,0,5,72.6,0,26,4,36.2,0,0,1,EVM_VVPAT_AUDIT
2022-02-17,PANCHAYAT,SK-19-PS4218,680,583,85.74,0,21,559,3,3,68.72,0,39,5,10.2,1,1,1,EVM_VVPAT_AUDIT
2016-06-30,PANCHAYAT,MP-02-PS2412,671,331,49.33,8,9,314,0,2,57.85,0,12,18,38.2,1,1,1,FULL_RECOUNT
2021-03-05,LOKSABHA,MN-02-PS2290,1826,1044,57.17,15,13,1014,2,0,66.73,0,30,15,44.9,1,0,1,EVM_VVPAT_AUDIT
2021-04-20,MUNICIPAL,JK-80-PS4219,733,547,74.62,17,8,522,0,3,77.48,0,4,10,13.5,1,1,1,EVM_VVPAT_AUDIT
2022-11-29,BYE,ML-57-PS0657,1534,970,63.23,0,11,955,4,2,73.29,0,2,16,6.6,1,0,1,RANDOM_SAMPLE
2019-02-04,LOKSABHA,MN-68-PS1075,1883,1274,67.66,2,43,1228,1,9,81.96,0,34,20,24.9,1,1,1,FULL_RECOUNT
2020-05-21,VIDHANSABHA,RJ-33-PS4285,1588,1151,72.48,13,3,1134,1,0,66.3,0,20,8,15.6,1,0,1,NONE
2025-10-18,VIDHANSABHA,DD-26-PS4137,1745,986,56.5,10,23,953,0,6,79.17,0,18,13,27.4,1,1,1,EVM_VVPAT_AUDIT
2025-08-10,PANCHAYAT,AR-77-PS1420,654,529,80.89,0,6,523,0,4,66.14,0,30,15,23.1,1,1,1,FULL_RECOUNT
2018-02-11,VIDHANSABHA,AR-77-PS1411,1163,592,50.9,12,18,558,4,0,92.13,0,2,6,7.8,1,0,1,RANDOM_SAMPLE
2024-11-29,LOKSABHA,MH-56-PS0775,1720,1403,81.57,7,27,1366,3,3,89.98,0,4,5,31.5,1,1,1,FULL_RECOUNT
2017-03-30,BYE,NL-33-PS1812,1127,990,87.84,22,25,942,1,3,76.36,0,8,2,19.2,1,1,1,NONE
2015-06-12,MUNICIPAL,AR-78-PS0893,986,750,76.06,23,17,710,0,4,70.52,0,20,18,46.3,1,1,1,RANDOM_SAMPLE
2018-01-11,MUNICIPAL,MN-39-PS2432,1067,859,80.51,24,8,827,0,0,52.94,0,40,9,53.0,1,0,1,EVM_VVPAT_AUDIT
2015-12-09,MUNICIPAL,KL-03-PS2135,906,631,69.65,3,23,605,0,4,71.58,0,3,13,37.2,0,1,1,EVM_VVPAT_AUDIT
2015-01-16,MUNICIPAL,PB-12-PS3083,943,762,80.81,5,24,730,3,5,54.51,1,13,0,41.6,0,0,1,NONE
2024-10-06,PANCHAYAT,MZ-43-PS3131,696,514,73.85,8,20,486,0,0,83.87,0,7,15,40.7,1,0,1,FULL_RECOUNT
2021-01-08,VIDHANSABHA,TN-59-PS0833,938,749,79.85,2,7,739,1,0,85.27,0,18,17,43.7,1,1,1,NONE
2016-08-10,MUNICIPAL,TR-16-PS3497,1346,777,57.73,24,15,733,5,5,61.77,0,15,11,41.5,1,1,1,FULL_RECOUNT
2024-09-16,LOKSABHA,PB-56-PS1797,867,449,51.79,0,2,447,0,1,81.23,0,40,17,49.8,1,1,1,EVM_VVPAT_AUDIT
2016-11-06,PANCHAYAT,GJ-56-PS2274,666,540,81.08,6,2,527,5,1,79.92,0,9,12,19.6,1,0,1,FULL_RECOUNT
2024-05-26,MUNICIPAL,CG-49-PS1972,857,673,78.53,20,17,634,2,5,77.33,0,0,16,12.1,0,1,1,EVM_VVPAT_AUDIT
2014-09-11,MUNICIPAL,LA-07-PS3543,1327,1078,81.24,16,4,1053,5,8,82.22,0,20,1,46.3,1,1,1,FULL_RECOUNT
2023-03-14,PANCHAYAT,PB-47-PS3272,1026,897,87.43,25,35,836,1,6,75.09,0,0,7,51.7,1,1,1,RANDOM_SAMPLE
2024-10-07,PANCHAYAT,MN-30-PS0359,1449,1118,77.16,0,37,1077,4,9,85.44,0,2,3,32.9,1,1,1,NONE
2017-10-20,LOKSABHA,MN-80-PS3236,1080,615,56.94,4,0,607,4,5,80.95,0,3,6,3.6,1,1,1,NONE
2024-05-22,MUNICIPAL,AS-09-PS1077,1700,1033,60.76,30,9,990,4,6,60.72,0,12,18,31.4,1,0,1,EVM_VVPAT_AUDIT
2024-10-26,PANCHAYAT,MP-66-PS1574,1671,1055,63.14,7,16,1027,5,3,96.06,0,1,15,48.4,1,1,1,RANDOM_SAMPLE
2016-12-31,LOKSABHA,DL-14-PS0024,1223,905,74.0,30,25,848,2,7,68.11,0,1,9,37.1,1,1,1,NONE
2024-06-13,LOKSABHA,DD-38-PS1441,769,594,77.24,17,21,551,5,1,59.43,0,7,12,22.8,1,1,1,EVM_VVPAT_AUDIT
2015-06-13,VIDHANSABHA,MP-50-PS3513,902,537,59.53,0,21,512,4,4,66.04,0,18,4,44.6,1,1,1,FULL_RECOUNT
2015-08-01,PANCHAYAT,WB-70-PS0228,880,638,72.5,7,14,612,5,2,90.92,0,20,0,22.8,1,1,1,EVM_VVPAT_AUDIT
2023-01-19,BYE,DL-03-PS3931,1338,687,51.35,22,5,660,0,3,58.96,0,23,4,54.3,1,0,1,NONE
2019-03-08,MUNICIPAL,MP-31-PS1884,1397,933,66.79,2,26,904,1,0,69.93,0,17,0,26.4,1,1,1,NONE
2016-06-16,LOKSABHA,WB-39-PS1259,1730,1248,72.14,16,17,1214,1,6,84.33,0,34,11,52.0,1,1,1,RANDOM_SAMPLE
2014-01-25,BYE,MP-48-PS4256,1195,750,62.76,21,3,721,5,4,57.6,0,36,16,27.0,1,0,1,NONE
2024-04-04,MUNICIPAL,KL-43-PS0898,1316,940,71.43,17,15,904,4,3,55.68,0,6,14,46.3,1,0,1,RANDOM_SAMPLE
2014-08-22,LOKSABHA,AP-55-PS2893,1855,944,50.89,15,30,898,1,4,77.59,0,27,11,12.3,1,1,1,RANDOM_SAMPLE
2014-05-15,PANCHAYAT,TR-08-PS2539,640,378,59.06,1,0,372,5,0,81.38,0,3,19,24.0,1,0,1,NONE
2017-01-20,BYE,DN-31-PS3574,1530,827,54.05,14,17,792,4,5,57.22,0,34,19,39.5,1,1,1,FULL_RECOUNT
2021-12-27,MUNICIPAL,PY-09-PS1996,1786,1247,69.82,22,18,1203,4,0,97.62,0,24,14,44.7,1,1,1,RANDOM_SAMPLE
2018-03-31,BYE,LA-01-PS0647,600,427,71.17,12,8,406,1,2,72.7,0,37,0,25.1,1,0,1,NONE
2024-11-02,VIDHANSABHA,DN-51-PS0081,635,459,72.28,10,17,428,4,2,54.56,0,35,4,19.2,1,0,1,RANDOM_SAMPLE
2015-11-04,LOKSABHA,PY-55-PS4223,804,564,70.15,14,5,544,1,0,60.06,0,29,11,40.6,1,0,1,RANDOM_SAMPLE
2021-06-16,PANCHAYAT,CH-19-PS4463,1149,959,83.46,1,15,940,3,6,57.21,0,6,3,18.7,1,1,1,FULL_RECOUNT
2019-01-10,MUNICIPAL,BR-05-PS4151,1109,515,46.44,4,18,491,2,2,62.44,0,6,16,50.9,1,1,1,FULL_RECOUNT
2018-01-01,MUNICIPAL,GA-69-PS2269,1594,1189,74.59,31,7,1148,3,9,65.51,0,7,8,38.4,1,1,1,RANDOM_SAMPLE
2024-04-19,MUNICIPAL,TS-41-PS2530,1819,1047,57.56,24,19,999,5,1,82.99,0,25,19,42.1,1,1,1,RANDOM_SAMPLE
2016-07-11,LOKSABHA,HR-02-PS1265,1339,730,54.52,22,21,686,1,5,79.65,0,20,9,28.4,1,1,1,RANDOM_SAMPLE
2017-10-16,VIDHANSABHA,TN-52-PS3955,761,613,80.55,6,7,595,5,2,66.97,0,28,20,7.2,1,1,1,EVM_VVPAT_AUDIT
2022-02-18,MUNICIPAL,UP-12-PS0762,1737,1445,83.19,32,50,1358,5,4,83.96,0,7,11,9.3,1,0,1,FULL_RECOUNT
2016-11-21,PANCHAYAT,UP-63-PS3084,600,362,60.33,3,7,348,4,0,65.73,0,3,19,25.0,1,1,1,RANDOM_SAMPLE
2023-08-16,BYE,CH-07-PS2576,744,402,54.03,10,1,390,1,0,85.17,0,22,8,15.2,1,1,1,EVM_VVPAT_AUDIT
2016-02-22,MUNICIPAL,NL-42-PS1117,1128,885,78.46,8,35,839,3,7,75.46,0,5,9,14.2,1,1,1,NONE
2017-05-29,BYE,OD-06-PS3037,1370,665,48.54,19,0,644,2,1,97.44,0,7,10,44.5,1,0,1,NONE
2014-08-16,BYE,BR-66-PS2866,1617,940,58.13,13,16,906,5,3,63.46,0,18,15,33.5,1,1,1,RANDOM_SAMPLE
2022-04-28,MUNICIPAL,BR-30-PS0429,1234,1051,85.17,33,35,983,0,1,76.94,0,21,4,18.5,1,1,1,NONE
2017-12-05,PANCHAYAT,TR-10-PS1661,906,422,46.58,4,16,401,1,1,64.58,0,24,18,37.6,1,1,1,FULL_RECOUNT
2017-10-31,VIDHANSABHA,UP-51-PS2740,1722,1302,75.61,5,35,1260,2,10,96.21,0,30,16,27.5,1,1,1,RANDOM_SAMPLE
2021-12-20,VIDHANSABHA,PB-19-PS2397,1042,746,71.59,17,27,701,1,2,64.33,0,5,0,14.5,1,0,1,EVM_VVPAT_AUDIT
2024-05-03,LOKSABHA,TR-10-PS1292,1231,682,55.4,9,25,645,3,5,68.96,0,25,16,20.6,1,1,1,RANDOM_SAMPLE
2023-07-20,MUNICIPAL,GA-80-PS3851,1079,574,53.2,0,2,571,1,4,68.11,0,16,0,5.1,1,0,1,RANDOM_SAMPLE
2021-09-23,MUNICIPAL,JH-56-PS1276,1635,1003,61.35,25,19,957,2,4,85.2,0,33,6,15.2,1,0,1,FULL_RECOUNT
2017-06-11,BYE,LA-59-PS4182,1362,920,67.55,23,14,879,4,6,88.25,0,31,20,39.2,1,1,1,EVM_VVPAT_AUDIT
2017-06-04,MUNICIPAL,HR-56-PS1346,1508,973,64.52,4,14,953,2,4,82.05,0,34,19,43.9,1,1,1,FULL_RECOUNT
2022-03-27,VIDHANSABHA,LD-26-PS3496,872,760,87.16,7,24,725,4,5,58.81,0,30,11,19.0,1,1,1,EVM_VVPAT_AUDIT
2023-05-22,BYE,GA-48-PS3956,1805,1445,80.06,6,10,1425,4,9,92.51,0,9,18,3.8,1,1,1,RANDOM_SAMPLE
2024-03-07,VIDHANSABHA,ML-16-PS2694,1225,971,79.27,12,11,945,3,4,96.53,0,27,4,29.6,1,1,1,EVM_VVPAT_AUDIT
2021-06-20,LOKSABHA,CH-54-PS3881,736,494,67.12,4,14,473,3,0,59.65,0,18,15,24.2,1,1,1,EVM_VVPAT_AUDIT
2024-01-14,BYE,KA-26-PS3898,745,638,85.64,2,22,614,0,2,58.25,0,38,7,30.8,1,0,1,RANDOM_SAMPLE
2023-08-10,BYE,OD-80-PS1516,639,415,64.95,4,5,401,5,0,70.73,0,3,7,11.0,1,1,1,EVM_VVPAT_AUDIT
2020-03-15,PANCHAYAT,UK-48-PS2512,846,385,45.51,5,0,377,3,3,72.46,0,13,15,4.6,1,1,1,FULL_RECOUNT
2021-09-28,MUNICIPAL,SK-70-PS2963,834,695,83.33,23,5,667,0,3,50.5,0,3,1,36.5,1,1,1,RANDOM_SAMPLE
2015-08-06,PANCHAYAT,LD-51-PS4404,1590,987,62.08,17,14,954,2,1,68.63,0,26,2,10.5,1,0,1,NONE
2021-06-29,LOKSABHA,AS-31-PS0092,1645,1430,86.93,24,12,1391,3,2,95.9,0,23,18,41.6,1,0,1,RANDOM_SAMPLE
2018-08-31,PANCHAYAT,OD-24-PS0304,1037,882,85.05,13,25,840,4,3,90.84,0,17,11,22.1,1,1,1,NONE
2015-12-28,PANCHAYAT,HP-60-PS2650,1875,1100,58.67,15,42,1043,0,2,68.16,0,31,14,24.2,1,0,1,FULL_RECOUNT
2019-03-30,BYE,DL-05-PS0589,1783,1471,82.5,10,12,1445,4,7,62.78,0,27,13,12.2,1,1,1,FULL_RECOUNT
2024-05-23,MUNICIPAL,MN-79-PS3390,1156,845,73.1,9,24,808,4,3,83.08,0,7,15,8.2,1,1,1,NONE
2017-11-07,VIDHANSABHA,MP-55-PS1481,1039,531,51.11,0,2,525,4,4,93.27,0,13,20,15.4,1,1,1,EVM_VVPAT_AUDIT
2014-04-25,MUNICIPAL,JK-06-PS4407,1592,732,45.98,11,15,703,3,4,93.58,0,29,0,43.4,1,1,1,NONE
2021-10-31,LOKSABHA,KL-77-PS3068,623,530,85.07,11,12,503,4,4,50.87,1,35,19,44.4,1,1,1,NONE
2025-08-21,VIDHANSABHA,DL-01-PS1780,1273,1117,87.75,32,20,1065,0,8,91.72,0,30,15,53.5,1,1,1,EVM_VVPAT_AUDIT
2016-07-13,LOKSABHA,LA-17-PS3445,1007,578,57.4,18,20,539,1,2,84.2,0,4,11,15.4,1,1,1,NONE
2023-11-08,BYE,OD-69-PS0844,1173,928,79.11,5,36,886,1,1,51.08,0,3,20,38.0,1,1,1,RANDOM_SAMPLE
2022-03-12,VIDHANSABHA,MH-43-PS0293,1808,932,51.55,28,27,872,5,3,95.88,0,32,19,37.7,1,1,1,FULL_RECOUNT
2022-06-06,VIDHANSABHA,GA-36-PS0976,1675,1332,79.52,11,22,1295,4,11,96.53,1,20,14,23.5,1,0,1,NONE
2018-09-28,BYE,RJ-27-PS0093,1216,636,52.3,20,8,608,0,3,73.29,0,3,4,18.7,1,1,1,NONE
2018-03-06,MUNICIPAL,TN-04-PS1279,1113,635,57.05,20,17,593,5,2,65.78,0,8,19,13.4,1,0,1,EVM_VVPAT_AUDIT
2021-04-13,LOKSABHA,NL-49-PS2111,1006,788,78.33,4,8,774,2,2,56.96,0,23,12,41.2,1,1,1,NONE
2023-02-20,VIDHANSABHA,HP-72-PS1241,919,663,72.14,8,26,629,0,1,92.12,0,0,1,7.6,1,1,1,FULL_RECOUNT
2020-09-23,LOKSABHA,AS-27-PS3101,870,632,72.64,10,0,619,3,0,97.33,0,33,6,24.8,1,0,1,FULL_RECOUNT
2021-06-18,PANCHAYAT,SK-35-PS2667,1751,1391,79.44,26,9,1354,2,9,89.7,0,36,3,16.0,1,1,1,FULL_RECOUNT
2014-10-20,BYE,AN-48-PS1735,1624,1233,75.92,20,11,1200,2,2,96.11,0,33,1,25.4,1,1,1,EVM_VVPAT_AUDIT
2020-11-26,PANCHAYAT,DD-16-PS3850,1732,1141,65.88,5,18,1116,2,4,73.9,0,9,2,39.5,1,0,1,FULL_RECOUNT
2019-09-25,MUNICIPAL,NL-28-PS0026,1889,1266,67.02,2,1,1262,1,2,84.08,0,36,19,54.9,1,1,1,FULL_RECOUNT
2016-08-07,LOKSABHA,NL-50-PS2076,1066,624,58.54,4,21,598,1,0,70.54,0,11,1,2.6,1,1,1,EVM_VVPAT_AUDIT
2023-12-30,BYE,UP-71-PS3820,1311,856,65.29,16,34,803,3,0,89.76,0,32,11,28.7,1,1,1,RANDOM_SAMPLE
2016-05-24,MUNICIPAL,UP-40-PS3810,963,553,57.42,2,15,535,1,2,90.57,0,27,4,49.7,1,1,1,FULL_RECOUNT
2022-01-24,LOKSABHA,MZ-31-PS1761,885,728,82.26,18,11,699,0,0,60.31,0,10,12,10.1,1,1,1,NONE
2018-12-17,BYE,KL-72-PS0841,1694,1112,65.64,7,1,1100,4,4,63.8,0,14,1,40.9,0,1,1,EVM_VVPAT_AUDIT
2021-09-09,VIDHANSABHA,CG-47-PS2899,1795,959,53.43,13,16,927,3,2,67.34,0,37,15,41.0,0,1,1,NONE
2024-10-30,MUNICIPAL,ML-26-PS0405,1880,867,46.12,13,20,834,0,0,93.57,0,21,11,30.4,1,0,1,FULL_RECOUNT
2017-07-08,VIDHANSABHA,HR-73-PS4328,869,518,59.61,12,9,493,4,2,71.71,0,34,20,8.0,1,1,1,NONE
2020-01-17,BYE,AR-52-PS3695,1833,925,50.46,28,28,867,2,3,62.4,0,7,19,24.0,1,0,1,EVM_VVPAT_AUDIT
2022-12-24,LOKSABHA,DD-45-PS3271,1191,581,48.78,13,13,552,3,0,64.13,0,35,6,32.6,1,0,1,FULL_RECOUNT
2018-10-16,PANCHAYAT,TR-70-PS1904,815,392,48.1,5,5,381,1,3,81.21,0,5,0,32.9,0,1,1,NONE
2022-11-12,VIDHANSABHA,TS-62-PS2413,1726,1006,58.29,29,12,961,4,0,66.91,0,35,1,3.0,1,1,1,RANDOM_SAMPLE
2025-11-28,MUNICIPAL,MH-32-PS1802,1660,1122,67.59,16,12,1094,0,7,73.13,0,36,18,34.2,0,1,1,RANDOM_SAMPLE
2016-02-02,PANCHAYAT,LD-26-PS3958,1157,881,76.15,7,20,852,2,3,81.16,0,34,12,13.9,0,1,1,FULL_RECOUNT
2023-02-04,BYE,TS-59-PS0715,838,497,59.31,13,12,472,0,4,71.26,0,14,15,20.9,0,0,1,NONE
2017-05-25,BYE,LD-15-PS2368,795,493,62.01,6,11,473,3,0,74.14,0,32,20,52.0,1,1,1,NONE
2018-11-22,LOKSABHA,MP-04-PS1458,970,658,67.84,7,13,635,3,0,57.09,0,39,13,44.7,0,1,1,FULL_RECOUNT
2021-08-08,LOKSABHA,OD-61-PS0480,1379,884,64.1,11,18,855,0,6,90.28,0,37,10,33.5,1,0,1,FULL_RECOUNT
2024-07-29,LOKSABHA,SK-60-PS1932,1764,966,54.76,5,33,923,5,1,80.89,0,7,7,21.4,1,1,1,FULL_RECOUNT
2015-04-28,BYE,WB-46-PS3094,942,547,58.07,4,18,521,4,3,76.73,0,28,1,31.9,1,0,1,RANDOM_SAMPLE
2015-08-21,LOKSABHA,SK-05-PS2903,1101,621,56.4,10,8,602,1,4,76.73,0,20,8,41.0,1,0,1,RANDOM_SAMPLE
2015-08-03,BYE,MZ-15-PS2369,1421,688,48.42,0,19,669,0,3,65.78,0,6,7,19.6,1,1,1,RANDOM_SAMPLE
2018-05-29,VIDHANSABHA,AR-11-PS3840,1635,1225,74.92,31,13,1180,1,4,78.21,0,3,15,7.1,1,1,1,EVM_VVPAT_AUDIT
2016-12-17,VIDHANSABHA,AP-37-PS2034,1059,807,76.2,1,14,787,5,0,75.54,0,8,4,32.7,1,1,1,NONE
2024-01-15,MUNICIPAL,OD-01-PS4365,1298,928,71.49,13,29,884,2,6,82.83,0,27,3,18.2,1,1,1,RANDOM_SAMPLE
2020-02-22,PANCHAYAT,HP-38-PS1287,711,450,63.29,3,17,429,1,1,67.47,0,19,9,40.1,0,1,1,NONE
2016-06-27,BYE,SK-12-PS1857,1525,894,58.62,17,21,855,1,7,71.89,0,25,20,32.3,1,1,1,EVM_VVPAT_AUDIT
