tax_cit_reference_year,tax_cit_country_iso2,tax_cit_nace_section,tax_cit_enterprise_size_class,tax_cit_statutory_rate_pct,tax_cit_effective_average_rate_pct,tax_cit_tax_base_eur,tax_cit_tax_liability_eur,tax_cit_loss_carryforward_eur,tax_cit_r_and_d_tax_credit_eur,tax_cit_interest_limitation_rule_flag,tax_cit_pillar2_minimum_tax_flag,tax_cit_cfc_rules_flag,tax_cit_hybrid_mismatch_rules_flag,tax_cit_transfer_pricing_adjustments_eur,tax_cit_country_by_country_reporting_flag,tax_cit_state_aid_tax_ruling_flag,tax_cit_audit_rate_pct,tax_cit_data_source,tax_cit_data_extract_date
2013,IT,N,MEDIUM,27.21,21.84,25672225166.26,5606813976.31,9535967722.72,874984545.84,1,0,1,1,-65674598.32,1,0,1.98,EU_TAX_OBSERVATORY,2024-01-26
2014,PT,S,SMALL,25.7,15.5,25698550691.27,3983275357.15,8920823185.43,719310906.79,0,0,0,1,5867141.8,1,0,4.34,ACADEMIC_TAXPANEL,2024-09-11
2015,BE,C,MICRO,15.24,8.57,25797189773.67,2210819163.6,5943254901.24,100742601.2,1,0,1,1,8796635.59,1,0,8.92,NATIONAL_CORPORATE_TAX_ADMIN,2025-06-21
2016,FI,H,LARGE,14.91,12.74,25906139038.77,3300442113.54,4804632792.1,116401725.69,1,0,0,0,108252396.82,0,0,1.24,OECD_CBC_SUMMARY,2024-04-12
2017,LV,M,MEDIUM,33.48,26.42,25944248060.65,6854470337.62,3468466104.5,1292917342.27,1,0,1,1,-59532221.94,0,0,8.65,EU_TAX_OBSERVATORY,2025-11-06
2018,RO,R,SMALL,12.64,8.41,26042588737.11,2190181712.79,8120718858.12,74850350.73,1,0,1,1,-205297.75,1,0,1.71,ACADEMIC_TAXPANEL,2025-10-06
2019,BG,B,MICRO,28.9,17.77,26092795402.07,4636689742.95,4578905629.29,339492780.88,1,0,1,0,86957516.15,1,0,11.79,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-11
2020,FR,G,LARGE,14.5,8.2,26200694410.45,2148456941.66,11391755540.99,107026735.39,1,0,1,1,-15595782.65,0,0,10.36,OECD_CBC_SUMMARY,2024-12-18
2021,LT,L,MEDIUM,12.42,8.13,26236193370.38,2133002521.01,5972570255.86,349519674.51,1,1,1,1,-28928148.15,1,0,8.42,EU_TAX_OBSERVATORY,2025-06-27
2022,SK,Q,SMALL,14.22,9.2,26314727794.1,2420954957.06,4185395873.67,169917603.96,1,0,0,0,-65651550.32,0,0,10.74,ACADEMIC_TAXPANEL,2024-03-07
2023,HR,A,MICRO,20.19,18.97,26374818240.77,5003303020.27,2943124914.16,954342033.93,1,1,0,0,3395657.96,0,0,2.57,NATIONAL_CORPORATE_TAX_ADMIN,2024-02-04
2024,DE,F,LARGE,11.69,9.82,26450044155.12,2597394336.03,11216071604.74,565915959.1,1,0,1,1,-35915522.47,0,0,4.06,OECD_CBC_SUMMARY,2025-05-15
2025,LU,K,MEDIUM,24.0,21.86,26523434881.03,5798022864.99,4673868138.15,1149858208.2,0,1,0,0,-77708166.66,0,1,0.89,EU_TAX_OBSERVATORY,2025-08-19
2026,SI,P,SMALL,31.4,29.14,26595541687.97,7749940847.87,10585950684.53,1410435050.51,1,0,1,1,14118013.6,1,0,0.44,ACADEMIC_TAXPANEL,2024-03-14
2010,CY,U,MICRO,20.03,16.77,26703134348.03,4478115630.16,9863604786.59,508821926.77,1,0,0,0,-78387104.27,1,0,10.31,NATIONAL_CORPORATE_TAX_ADMIN,2024-09-30
2011,GR,E,LARGE,10.97,7.65,26795267841.95,2049837989.91,7752958890.27,299087582.98,0,0,0,0,69504590.44,1,0,11.86,OECD_CBC_SUMMARY,2024-12-04
2012,MT,J,MEDIUM,31.93,23.63,26827556917.43,6339351699.59,2601177414.41,1128672916.77,0,0,1,0,-39515074.88,0,0,0.85,EU_TAX_OBSERVATORY,2024-01-16
2013,ES,O,SMALL,25.6,17.91,26930297445.04,4823216272.41,1470863889.27,980100015.23,1,0,1,1,39642375.32,1,0,1.57,ACADEMIC_TAXPANEL,2024-10-02
2014,CZ,T,MICRO,24.27,17.7,27012580257.54,4781226705.58,4312007765.91,609292731.23,0,0,1,1,71549890.56,1,0,10.06,NATIONAL_CORPORATE_TAX_ADMIN,2024-12-05
2015,HU,D,LARGE,25.5,22.37,27058516880.8,6052990226.23,7869239795.52,333461017.3,0,0,1,0,54406993.51,1,0,12.73,OECD_CBC_SUMMARY,2025-03-04
2016,NL,I,MEDIUM,9.29,7.25,27171533423.82,1969936173.23,5706068775.92,375974459.58,1,0,1,1,-60866917.95,0,0,12.13,EU_TAX_OBSERVATORY,2025-08-11
2017,SE,N,SMALL,17.77,12.23,27214406083.99,3328321864.07,2900742516.82,260076886.35,0,0,1,0,-15893265.05,1,0,2.48,ACADEMIC_TAXPANEL,2024-05-05
2018,DK,S,MICRO,14.17,9.11,27314428180.72,2488344407.26,2108814864.11,357466415.12,0,0,1,1,658811.01,1,0,3.46,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-22
2019,IE,C,LARGE,29.77,21.76,27386705390.6,5959347092.99,7142664466.94,1142363931.05,1,0,1,1,37119976.7,1,0,13.57,OECD_CBC_SUMMARY,2024-08-28
2020,PL,H,MEDIUM,21.99,20.72,27452273254.11,5688111018.25,3976354104.6,796443111.9,1,1,1,1,75131524.47,1,0,2.12,EU_TAX_OBSERVATORY,2024-01-29
2021,AT,M,SMALL,11.65,8.26,27550270542.39,2275652346.8,5441084311.54,83244882.86,0,1,1,1,3959294.46,0,0,2.43,ACADEMIC_TAXPANEL,2024-10-07
2022,EE,R,MICRO,25.39,19.85,27615377742.14,5481652481.81,1663638629.26,736799825.86,0,1,0,0,82850851.56,1,0,9.46,NATIONAL_CORPORATE_TAX_ADMIN,2025-03-04
2023,IT,B,LARGE,20.59,14.26,27681629335.84,3947400343.29,7326908656.05,312305569.68,1,1,1,0,-67499216.72,0,0,12.35,OECD_CBC_SUMMARY,2025-05-25
2024,PT,G,MEDIUM,19.95,12.76,27752651019.41,3541238270.08,1506695187.05,621054918.65,1,1,1,1,26360877.65,1,0,4.48,EU_TAX_OBSERVATORY,2024-03-12
2025,BE,L,SMALL,11.17,8.32,27850224088.26,2317138644.14,10606012052.63,477743134.54,1,1,1,0,-29928311.9,0,0,6.1,ACADEMIC_TAXPANEL,2024-04-08
2026,FI,Q,MICRO,31.61,27.79,27930366465.91,7761848840.88,8287603741.64,217312945.42,0,1,0,1,-793139.68,1,0,11.95,NATIONAL_CORPORATE_TAX_ADMIN,2025-11-18
2010,LV,A,LARGE,32.6,25.98,27985403595.71,7270607854.17,9004585285.16,204160870.36,1,1,0,1,-76400991.6,1,1,7.13,OECD_CBC_SUMMARY,2025-02-16
2011,RO,F,MEDIUM,29.94,18.54,28018014668.53,5194539919.55,7975760284.37,1065972981.54,1,0,1,0,-32981085.23,1,0,12.3,EU_TAX_OBSERVATORY,2025-12-07
2012,BG,K,SMALL,18.15,14.36,28135822040.35,4040304044.99,5700200193.14,515458040.58,1,0,0,1,88129764.52,0,0,0.47,ACADEMIC_TAXPANEL,2025-05-23
2013,FR,P,MICRO,32.21,23.22,28180235782.74,6543450748.75,2833746686.1,968952109.24,1,0,1,0,106085737.97,1,0,4.34,NATIONAL_CORPORATE_TAX_ADMIN,2025-12-15
2014,LT,U,LARGE,30.81,27.83,28262005796.11,7865316213.06,11490537739.53,1074739868.88,1,0,1,1,84782071.46,1,0,9.65,OECD_CBC_SUMMARY,2024-10-29
2015,SK,E,MEDIUM,32.3,19.98,28364356791.96,5667198487.03,10897017901.24,970712127.68,1,0,1,0,-75727890.65,1,0,8.58,EU_TAX_OBSERVATORY,2026-01-08
2016,HR,J,SMALL,12.11,10.86,28413092854.53,3085661884.0,3436837833.49,577334294.02,0,0,0,0,-79936808.85,1,0,3.61,ACADEMIC_TAXPANEL,2024-05-18
2017,DE,O,MICRO,16.8,15.51,28488793987.51,4418611947.46,2893897464.85,424347154.6,1,0,1,1,111013868.39,1,1,6.33,NATIONAL_CORPORATE_TAX_ADMIN,2024-04-30
2018,LU,T,LARGE,26.03,21.95,28561215577.34,6269186819.23,7528610981.42,1001787174.99,1,0,1,1,-1807454.89,0,0,2.96,OECD_CBC_SUMMARY,2024-12-25
2019,SI,D,MEDIUM,31.0,23.63,28644512200.73,6768698233.03,11253796456.58,463325928.88,0,0,1,1,95766308.8,0,0,2.91,EU_TAX_OBSERVATORY,2026-01-10
2020,CY,I,SMALL,11.09,10.09,28729844637.14,2898841323.89,2018318284.69,199305272.5,0,0,1,1,-2318566.25,0,0,7.81,ACADEMIC_TAXPANEL,2025-03-02
2021,GR,N,MICRO,10.76,8.9,28795398533.34,2562790469.47,1452647563.5,197398532.93,1,1,1,1,-23900140.14,0,0,10.16,NATIONAL_CORPORATE_TAX_ADMIN,2024-01-23
2022,MT,S,LARGE,23.05,14.93,28886066459.16,4312689722.35,10637581829.25,459685188.62,1,0,1,0,77274795.66,1,0,8.7,OECD_CBC_SUMMARY,2025-08-15
2023,ES,C,MEDIUM,15.46,13.74,28936400230.99,3975861391.74,11109369977.58,639031058.28,1,1,0,1,28107464.17,1,0,8.09,EU_TAX_OBSERVATORY,2025-11-26
2024,CZ,H,SMALL,9.92,5.78,29049260403.89,1679047251.34,6941464445.41,134652816.72,0,0,1,1,110993412.97,1,0,10.73,ACADEMIC_TAXPANEL,2026-01-11
2025,HU,M,MICRO,31.42,17.63,29124185343.59,5134593876.07,2591761317.19,1073313227.29,1,1,1,1,-22826565.16,0,0,12.01,NATIONAL_CORPORATE_TAX_ADMIN,2024-12-26
2026,NL,R,LARGE,28.05,24.71,29162215104.86,7205983352.41,2903280768.39,874445567.87,1,1,1,1,-62939708.1,0,0,5.53,OECD_CBC_SUMMARY,2024-08-27
2010,SE,B,MEDIUM,17.81,10.96,29270737255.46,3208072803.2,3236127642.03,154151556.29,1,1,0,1,11629519.63,1,0,2.08,EU_TAX_OBSERVATORY,2024-09-22
2011,DK,G,SMALL,26.17,16.45,29341746089.47,4826717231.72,9502975122.76,589074797.38,1,1,0,1,-55029935.71,0,0,12.6,ACADEMIC_TAXPANEL,2024-05-21
2012,IE,L,MICRO,31.07,24.59,29425022131.85,7235612942.22,11896769664.3,213889168.28,0,0,1,1,-6910157.5,0,0,0.75,NATIONAL_CORPORATE_TAX_ADMIN,2025-04-03
2013,PL,Q,LARGE,17.94,14.66,29482338723.02,4322110856.79,2317759952.27,262904491.51,1,0,1,1,87827689.86,0,0,12.2,OECD_CBC_SUMMARY,2024-01-20
2014,AT,A,MEDIUM,21.56,16.29,29540766318.24,4812190833.24,10395719078.56,783559445.2,1,0,1,1,-14563295.0,1,0,3.34,EU_TAX_OBSERVATORY,2024-11-28
2015,EE,F,SMALL,9.94,8.57,29631445069.93,2539414842.49,4889141271.83,456411180.59,1,0,1,0,-18350088.34,0,1,9.45,ACADEMIC_TAXPANEL,2024-07-30
2016,IT,K,MICRO,26.33,15.49,29680933723.99,4597576633.85,6343457403.9,699614135.18,1,0,1,1,43937895.79,1,0,7.86,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-11
2017,PT,P,LARGE,10.42,8.04,29789808994.89,2395100643.19,2391624835.52,451893366.37,0,0,0,0,6762319.3,1,0,4.57,OECD_CBC_SUMMARY,2025-04-06
2018,BE,U,MEDIUM,28.99,23.97,29865728536.17,7158815130.12,4093325610.68,1151607659.78,1,0,1,0,-12547367.46,0,0,13.5,EU_TAX_OBSERVATORY,2024-08-30
2019,FI,E,SMALL,16.87,14.16,29913227371.52,4235712995.81,11085407755.31,361293284.04,0,0,1,1,96472009.41,0,0,2.85,ACADEMIC_TAXPANEL,2024-06-09
2020,LV,J,MICRO,28.89,18.21,30021421404.53,5466900837.76,4280347181.56,746651111.49,1,0,0,1,90575136.24,1,0,5.25,NATIONAL_CORPORATE_TAX_ADMIN,2024-09-01
2021,RO,O,LARGE,16.09,9.2,30063315069.59,2765824986.4,7625464101.27,602758351.01,1,1,1,1,69558448.46,1,0,7.53,OECD_CBC_SUMMARY,2025-04-20
2022,BG,T,MEDIUM,17.48,14.84,30118288278.01,4469553980.46,4024035755.1,156281110.48,0,1,1,1,-25776222.14,1,0,10.9,EU_TAX_OBSERVATORY,2024-02-18
2023,FR,D,SMALL,27.11,16.34,30196035801.89,4934032250.03,5112298572.81,509300762.62,1,0,1,1,-37901600.32,0,0,5.76,ACADEMIC_TAXPANEL,2024-07-17
2024,LT,I,MICRO,23.63,19.92,30311856309.34,6038121776.82,7188159662.57,175450976.54,1,0,1,0,103423693.27,1,0,10.38,NATIONAL_CORPORATE_TAX_ADMIN,2024-04-02
2025,SK,N,LARGE,15.28,10.33,30391963754.73,3139489855.86,5921646853.74,547061382.76,1,1,1,1,62829317.01,0,0,13.43,OECD_CBC_SUMMARY,2025-08-07
2026,HR,S,MEDIUM,14.01,8.91,30466834224.63,2714594929.41,13215311243.66,276148862.85,1,1,1,1,94048138.9,0,0,8.46,EU_TAX_OBSERVATORY,2024-07-06
2010,DE,C,SMALL,14.61,9.45,30554285132.87,2887379945.06,10706183218.82,452501817.09,0,0,1,1,115554182.51,1,0,7.37,ACADEMIC_TAXPANEL,2024-11-27
2011,LU,H,MICRO,15.41,14.19,30616101548.54,4344424809.74,11335309140.37,577266232.11,0,0,0,1,84777118.93,1,0,0.96,NATIONAL_CORPORATE_TAX_ADMIN,2025-01-10
2012,SI,M,LARGE,24.94,13.95,30663358823.19,4277538555.84,7474798738.85,394748896.25,0,0,0,1,1744685.78,0,0,3.6,OECD_CBC_SUMMARY,2025-11-02
2013,CY,R,MEDIUM,17.37,9.67,30760912361.22,2974580225.33,6990517802.39,271743586.33,1,1,1,1,75394824.49,1,0,5.94,EU_TAX_OBSERVATORY,2024-12-01
2014,GR,B,SMALL,28.97,23.49,30810153703.89,7237305105.04,8927501159.29,1085655138.47,1,0,1,1,-63640723.61,0,0,2.35,ACADEMIC_TAXPANEL,2024-02-02
2015,MT,G,MICRO,19.0,12.86,30913797811.04,3975514398.5,10722222615.38,412015602.56,1,0,1,1,88295245.97,1,0,9.13,NATIONAL_CORPORATE_TAX_ADMIN,2025-12-29
2016,ES,L,LARGE,15.44,8.68,30985843705.15,2689571233.61,1587326133.91,578202711.45,1,1,1,0,79386736.78,0,0,5.21,OECD_CBC_SUMMARY,2025-03-03
2017,CZ,Q,MEDIUM,29.56,26.8,31063213947.12,8324941337.83,12760441565.03,396151378.64,0,0,1,0,-34872260.9,1,0,10.68,EU_TAX_OBSERVATORY,2025-01-02
2018,HU,A,SMALL,11.63,9.34,31140919139.5,2908561847.63,11458379708.4,176038081.41,1,0,1,1,77055516.4,0,0,1.62,ACADEMIC_TAXPANEL,2025-07-01
2019,NL,F,MICRO,29.66,22.43,31177422571.06,6993095882.69,11223638251.51,649778153.08,0,0,1,1,-44908334.04,0,0,1.93,NATIONAL_CORPORATE_TAX_ADMIN,2024-04-14
2020,SE,K,LARGE,27.79,19.24,31244945915.86,6011527594.21,8159664473.2,1287578691.87,1,0,1,1,61586862.2,1,0,3.84,OECD_CBC_SUMMARY,2025-09-14
2021,DK,P,MEDIUM,30.92,26.75,31375096808.84,8392838396.36,14023261967.46,1580630542.0,1,0,1,1,41324032.99,0,0,3.81,EU_TAX_OBSERVATORY,2025-11-27
2022,IE,U,SMALL,17.17,10.88,31411561618.37,3417577904.08,13357974863.1,218331732.4,0,1,0,0,-51792877.44,1,0,5.73,ACADEMIC_TAXPANEL,2025-04-26
2023,PL,E,MICRO,29.86,17.02,31524373717.76,5365448406.76,14073782498.52,1007796471.38,1,1,1,1,19163044.32,1,0,1.28,NATIONAL_CORPORATE_TAX_ADMIN,2024-02-23
2024,AT,J,LARGE,11.61,9.35,31591385410.51,2953794535.88,11562121758.54,502523471.56,0,1,1,0,109176314.02,0,1,13.67,OECD_CBC_SUMMARY,2024-03-03
2025,EE,O,MEDIUM,11.35,7.08,31677431281.61,2242762134.74,9852940066.41,257365112.67,1,1,1,1,68392288.12,1,0,10.28,EU_TAX_OBSERVATORY,2025-02-16
2026,IT,T,SMALL,12.71,10.77,31743655222.1,3418791667.42,14207866339.27,390359348.5,1,1,0,0,-75170005.79,1,0,8.93,ACADEMIC_TAXPANEL,2024-12-24
2010,PT,D,MICRO,28.06,19.61,31779371717.81,6231934793.86,13233604387.58,1260225700.07,1,0,1,1,65796265.71,1,0,1.25,NATIONAL_CORPORATE_TAX_ADMIN,2024-12-16
2011,BE,I,LARGE,11.29,9.48,31900008755.78,3024120830.05,6435311738.66,502573355.58,1,0,1,0,31322421.03,1,0,5.3,OECD_CBC_SUMMARY,2025-11-07
2012,FI,N,MEDIUM,29.07,17.67,31942060781.56,5644162140.1,10645740768.0,232699969.32,1,1,1,1,-42222953.22,1,0,11.54,EU_TAX_OBSERVATORY,2025-12-27
2013,LV,S,SMALL,21.07,17.61,32002043972.23,5635559943.51,7501658662.73,466136945.21,0,0,1,0,112945293.13,1,0,3.75,ACADEMIC_TAXPANEL,2025-10-19
2014,RO,C,MICRO,24.72,18.05,32119532283.28,5797575577.13,7344290737.79,341643495.16,1,0,1,0,-2239729.44,0,0,7.07,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-03
2015,BG,H,LARGE,23.65,20.76,32186296999.69,6681875257.14,14364544996.14,488633641.84,0,0,0,1,101463596.81,1,0,0.85,OECD_CBC_SUMMARY,2025-05-13
2016,FR,M,MEDIUM,32.45,19.68,32244888375.15,6345794032.23,8131662680.88,1085228659.01,1,0,1,0,-50986319.19,0,0,13.51,EU_TAX_OBSERVATORY,2024-12-31
2017,LT,R,SMALL,16.0,13.59,32355103655.04,4397058586.72,2118339781.87,365525911.89,0,0,1,1,-74165154.12,1,0,4.35,ACADEMIC_TAXPANEL,2025-06-29
2018,SK,B,MICRO,24.8,19.79,32392914674.65,6410557814.11,9981354389.48,946264913.33,1,1,1,1,-11452052.46,1,0,6.02,NATIONAL_CORPORATE_TAX_ADMIN,2024-05-09
2019,HR,G,LARGE,24.38,20.92,32479718522.45,6794757114.9,14511025723.08,247120260.4,1,0,1,1,6208833.05,1,1,9.82,OECD_CBC_SUMMARY,2024-06-30
2020,DE,L,MEDIUM,30.32,27.87,32543010616.0,9069737058.68,3819053802.89,1805587568.64,1,1,0,1,119191789.29,1,0,0.94,EU_TAX_OBSERVATORY,2024-03-19
2021,LU,Q,SMALL,32.54,26.64,32627003824.03,8691833818.72,4218917782.75,1907882304.65,0,0,0,1,92785877.21,1,0,10.97,ACADEMIC_TAXPANEL,2024-08-01
2022,SI,A,MICRO,20.13,15.3,32730944890.44,5007834568.24,8716430667.95,678332839.95,1,0,1,1,102383924.96,1,0,13.67,NATIONAL_CORPORATE_TAX_ADMIN,2025-04-01
2023,CY,F,LARGE,28.95,19.38,32772079659.12,6351229037.94,2354603498.54,630602739.56,1,1,1,1,-71047399.37,1,0,13.37,OECD_CBC_SUMMARY,2024-06-30
2024,GR,K,MEDIUM,21.47,20.27,32868136608.77,6662371290.6,11860969238.67,740519068.7,1,0,1,1,82626160.35,0,0,5.03,EU_TAX_OBSERVATORY,2026-02-19
2025,MT,P,SMALL,30.63,25.14,32955624219.02,8285043928.66,12928428724.09,1311060560.67,1,0,1,0,91986381.31,1,0,4.07,ACADEMIC_TAXPANEL,2024-05-21
2026,ES,U,MICRO,24.94,18.58,33009033161.11,6133078361.33,7990661610.88,598122506.79,1,1,1,0,35261681.94,1,0,6.74,NATIONAL_CORPORATE_TAX_ADMIN,2024-01-04
2010,CZ,E,LARGE,11.38,9.6,33054448592.28,3173227064.86,14024931858.56,626859094.17,1,0,1,0,-70952395.32,0,0,7.98,OECD_CBC_SUMMARY,2025-11-13
2011,HU,J,MEDIUM,16.32,11.88,33128987480.8,3935723712.72,7149447687.73,80068846.08,1,0,1,0,100657756.65,1,0,3.38,EU_TAX_OBSERVATORY,2025-05-20
2012,NL,O,SMALL,17.71,15.41,33219933625.82,5119191771.74,10479092747.31,1049927172.89,1,0,1,1,64699021.64,0,0,9.65,ACADEMIC_TAXPANEL,2024-05-28
2013,SE,T,MICRO,25.8,18.66,33302368821.59,6214222022.11,9133154377.94,774742825.58,1,0,0,0,-26528477.04,1,0,8.29,NATIONAL_CORPORATE_TAX_ADMIN,2025-03-19
2014,DK,D,LARGE,27.37,17.43,33386659513.5,5819294753.2,6512674631.65,443441666.71,1,0,0,1,72085014.44,1,0,11.26,OECD_CBC_SUMMARY,2024-12-16
2015,IE,I,MEDIUM,14.92,13.68,33451701386.91,4576192749.73,7525294908.28,712752473.55,1,0,1,1,83228408.65,0,0,11.91,EU_TAX_OBSERVATORY,2026-01-15
2016,PL,N,SMALL,15.0,12.0,33501340487.73,4020160858.53,4634686037.98,773850349.35,0,0,1,1,-62513380.02,1,0,13.8,ACADEMIC_TAXPANEL,2024-01-16
2017,AT,S,MICRO,17.66,16.53,33569036034.45,5548961656.49,4289129466.43,638301244.18,1,0,1,1,-43577686.91,1,0,7.73,NATIONAL_CORPORATE_TAX_ADMIN,2025-11-14
2018,EE,C,LARGE,31.39,22.93,33696078280.98,7726510749.83,13451019643.94,944873912.69,1,0,1,0,117570664.17,0,0,4.05,OECD_CBC_SUMMARY,2024-12-13
2019,IT,H,MEDIUM,26.8,21.77,33747637089.84,7346860594.46,1797229345.31,1167392379.72,1,1,1,1,3621309.14,0,1,12.95,EU_TAX_OBSERVATORY,2024-07-10
2020,PT,M,SMALL,13.74,9.27,33798128645.6,3133086525.45,8694599016.97,96848418.97,1,0,1,1,-54787686.11,1,0,5.41,ACADEMIC_TAXPANEL,2024-10-20
2021,BE,R,MICRO,28.83,22.8,33884880522.59,7725752759.15,13304084836.7,319530040.76,1,1,1,1,98952342.24,1,0,10.11,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-04
2022,FI,B,LARGE,19.4,14.72,33960751473.26,4999022616.86,5599625793.18,222803762.7,1,1,1,1,66014899.63,1,0,1.99,OECD_CBC_SUMMARY,2024-08-14
2023,LV,G,MEDIUM,27.28,25.51,34059398877.11,8688552653.55,14746647756.16,210987387.51,1,1,1,0,114793037.28,1,0,0.88,EU_TAX_OBSERVATORY,2024-01-18
2024,RO,L,SMALL,29.5,19.94,34144013669.36,6808316325.67,11014100692.91,1189001739.71,1,1,1,1,97115865.32,1,1,5.65,ACADEMIC_TAXPANEL,2025-05-19
2025,BG,Q,MICRO,26.84,21.5,34171589196.5,7346891677.25,5971256353.28,350027040.58,1,1,1,0,66787985.11,1,0,12.07,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-29
2026,FR,A,LARGE,28.08,23.89,34261699661.55,8185120049.14,6428944324.25,1548461394.8,1,1,1,0,-42839241.02,1,0,8.12,OECD_CBC_SUMMARY,2024-06-12
2010,LT,F,MEDIUM,10.98,8.85,34373850445.84,3042085764.46,7876567573.45,459945415.49,1,0,1,1,82501350.21,1,0,9.05,EU_TAX_OBSERVATORY,2025-05-18
2011,SK,K,SMALL,12.62,10.63,34450734569.54,3662113084.74,1882792373.68,546957669.44,0,0,1,1,17092067.19,1,0,2.99,ACADEMIC_TAXPANEL,2025-09-03
2012,HR,P,MICRO,31.96,26.33,34499512224.34,9083721568.67,9836728417.04,1589788500.06,1,0,1,1,3480341.65,1,0,9.61,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-17
2013,DE,U,LARGE,28.14,25.44,34563756370.47,8793019620.65,14081027648.75,656578221.44,1,1,1,1,-57216999.15,1,0,12.59,OECD_CBC_SUMMARY,2024-02-18
2014,LU,E,MEDIUM,33.23,19.93,34623283483.09,6900420398.18,2545365617.47,190950268.55,1,0,1,1,5899790.25,1,0,2.72,EU_TAX_OBSERVATORY,2024-01-20
2015,SI,J,SMALL,15.63,10.91,34727693706.92,3788791383.42,5041133785.25,268567802.61,1,0,1,0,97929675.51,1,1,3.24,ACADEMIC_TAXPANEL,2024-10-10
2016,CY,O,MICRO,20.53,15.43,34802656972.38,5370049970.84,8809315069.88,812319877.83,1,0,1,1,82590275.52,0,0,2.93,NATIONAL_CORPORATE_TAX_ADMIN,2025-04-28
2017,GR,T,LARGE,26.43,22.75,34899744829.46,7939691948.7,5552065662.94,1324718939.15,1,0,1,1,-8414005.4,1,0,12.86,OECD_CBC_SUMMARY,2025-07-19
2018,MT,D,MEDIUM,31.25,27.96,34958289901.61,9774337856.49,4124437412.97,2122391755.29,1,0,1,1,66380594.53,0,0,7.39,EU_TAX_OBSERVATORY,2024-11-24
2019,ES,I,SMALL,14.7,11.77,35042712018.25,4124527204.55,4085817603.81,274112893.85,1,1,1,1,88525867.8,1,0,12.52,ACADEMIC_TAXPANEL,2024-09-21
2020,CZ,N,MICRO,23.27,13.81,35081789170.35,4844795084.43,1824127829.8,451802408.11,1,0,1,1,65229452.98,0,0,12.75,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-15
2021,HU,S,LARGE,16.09,9.18,35185301157.64,3230010646.27,6541812335.25,286377925.32,1,1,1,1,19993331.43,0,0,1.5,OECD_CBC_SUMMARY,2025-09-30
2022,NL,C,MEDIUM,9.69,8.81,35232063329.57,3103944779.34,6893848995.04,350325623.39,0,0,1,0,95107620.88,1,0,12.66,EU_TAX_OBSERVATORY,2025-11-25
2023,SE,H,SMALL,31.54,26.05,35294034578.78,9194096007.77,4384076053.6,1547481097.4,1,1,1,1,19557274.72,1,0,1.77,ACADEMIC_TAXPANEL,2025-12-11
2024,DK,M,MICRO,10.14,7.79,35403017207.51,2757895040.47,11008166785.85,343685369.28,1,1,0,1,-34865073.82,1,0,5.13,NATIONAL_CORPORATE_TAX_ADMIN,2025-07-25
2025,IE,R,LARGE,21.99,13.92,35468868438.55,4937266486.65,4245474070.53,219123949.57,1,1,1,1,11826099.57,1,0,1.48,OECD_CBC_SUMMARY,2026-02-10
2026,PL,B,MEDIUM,13.66,10.44,35572654678.6,3713785148.45,4459976575.2,584525653.19,1,1,1,1,-4326705.02,1,0,1.75,EU_TAX_OBSERVATORY,2025-09-27
2010,AT,G,SMALL,9.01,6.74,35623653487.55,2401034245.06,14127651761.82,96890357.95,1,0,1,1,52399876.74,0,0,1.78,ACADEMIC_TAXPANEL,2024-11-07
2011,EE,L,MICRO,33.05,19.34,35707772825.3,6905883264.41,15471232121.71,862558503.96,1,1,0,1,64906442.73,1,1,0.62,NATIONAL_CORPORATE_TAX_ADMIN,2024-02-07
2012,IT,Q,LARGE,11.13,8.8,35762345989.94,3147086447.11,10955101646.79,161941412.85,0,0,0,1,72717994.6,1,0,13.9,OECD_CBC_SUMMARY,2026-02-15
2013,PT,A,MEDIUM,16.94,11.26,35865791777.65,4038488154.16,8612512397.82,514915407.7,1,0,1,0,-77423826.1,1,0,2.98,EU_TAX_OBSERVATORY,2025-01-19
2014,BE,F,SMALL,16.42,11.9,35945690818.04,4277537207.35,2855612740.6,509697806.48,0,1,1,1,-36674226.23,1,0,9.65,ACADEMIC_TAXPANEL,2024-09-20
2015,FI,K,MICRO,25.28,17.46,35974518699.28,6281150964.89,14235609430.12,615131214.71,0,0,1,1,103136267.87,0,0,6.78,NATIONAL_CORPORATE_TAX_ADMIN,2025-03-17
2016,LV,P,LARGE,29.6,17.97,36070611431.88,6481888874.31,8125053526.5,554307268.31,0,0,1,1,-64593346.8,0,0,12.31,OECD_CBC_SUMMARY,2025-10-07
2017,RO,U,MEDIUM,12.19,9.87,36133862935.05,3566412271.69,12527642171.16,688927450.33,1,0,1,0,1547801.19,1,0,1.83,EU_TAX_OBSERVATORY,2025-07-08
2018,BG,E,SMALL,22.05,14.1,36205041113.94,5104910797.07,13534170596.76,749323654.5,0,0,1,1,-69185850.19,1,0,13.1,ACADEMIC_TAXPANEL,2025-05-09
