civ_ep_elections_election_year,civ_ep_elections_member_state_iso2,civ_ep_elections_constituency_code,civ_ep_elections_party_id,civ_ep_elections_party_group_eu_parl,civ_ep_elections_candidate_id_hash,civ_ep_elections_list_type_code,civ_ep_elections_votes_count,civ_ep_elections_vote_share_pct,civ_ep_elections_seats_won_count,civ_ep_elections_turnout_pct,civ_ep_elections_eligible_voters_count,civ_ep_elections_postal_vote_share_pct,civ_ep_elections_early_vote_flag,civ_ep_elections_gender_of_candidate,civ_ep_elections_age_of_candidate,civ_ep_elections_mep_term_start_date,civ_ep_elections_mep_term_end_date,civ_ep_elections_data_source,civ_ep_elections_data_extract_date
2019,SI,SI_EP_10,SI_P06,GREENS_EFA,4383efddf65cabf5df378163,STV,15112,0.674,0,47.0,4773201,21.57,0,M,64,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-03-07
2024,BG,BG_EP_11,BG_P07,S&D,4d5b63e1b8ed8a7a093f5cf4,PREFERENTIAL,222404,13.202,3,35.06,4805151,43.82,0,F,68,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-09-20
2004,EE,EE_EP_12,EE_P08,OTHER,01541df35c89adac1ba4dadc,OPEN_LIST,87437,2.603,0,69.76,4815701,3.16,0,X,67,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-09-18
2009,HU,HU_EP_01,HU_P09,LEFT,e7f5c600ecad953e07892862,CLOSED_LIST,562676,14.908,2,76.29,4947223,22.83,0,M,68,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-06-05
2014,LU,LU_EP_02,LU_P10,ECR,24d603e3c1116e3daa6e9f7b,MIXED,468749,13.199,1,68.55,5180917,16.48,0,F,68,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-06-20
2019,RO,RO_EP_03,RO_P11,RENEW,d2143f125ed393e24c5a0f54,STV,311424,9.629,5,62.18,5201463,38.69,1,X,70,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-11-23
2024,AT,AT_EP_04,AT_P12,EPP,32a75ab75aef164e276ec770,PREFERENTIAL,112301,5.346,2,40.05,5245181,39.1,0,M,73,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-08-28
2004,CZ,CZ_EP_05,CZ_P13,NI,f884088a836725297ef9ce03,OPEN_LIST,356951,11.305,1,58.21,5424055,8.45,0,F,70,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2026-02-16
2009,DE,DE_EP_06,DE_P14,ID,7c05a952fc7aa1b989e01765,CLOSED_LIST,104715,3.18,1,60.41,5450199,6.34,0,X,72,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-06-03
2014,LV,LV_EP_07,LV_P15,GREENS_EFA,770ec9ff5f755cb3d28d889c,MIXED,394388,8.973,2,80.32,5472156,38.23,1,M,75,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2025-08-26
2019,PL,PL_EP_08,PL_P16,S&D,c7fe81a48cac1c8267dd7603,STV,55953,2.327,1,43.35,5547571,31.2,0,F,74,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-01-28
2024,ES,ES_EP_09,ES_P17,OTHER,70805932296cfb83da5394aa,PREFERENTIAL,194573,11.096,3,30.53,5743888,2.14,0,X,77,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-08-25
2004,HR,HR_EP_10,HR_P18,LEFT,bae79463db901335e9f9ee5d,OPEN_LIST,117681,5.312,3,38.62,5736598,21.38,0,M,75,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2024-10-25
2009,FI,FI_EP_11,FI_P19,ECR,84042025c2fdc41d02eac15f,CLOSED_LIST,288167,16.346,5,30.51,5778177,38.49,0,F,79,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2024-12-23
2014,IE,IE_EP_12,IE_P20,RENEW,a041d6402c13ac68bfe32793,MIXED,43355,2.123,1,33.86,6029921,25.56,0,X,78,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-04-20
2019,MT,MT_EP_01,MT_P21,EPP,91ec6eab3153ce2be778f614,STV,37788,1.575,0,39.24,6112642,10.9,1,M,80,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2026-01-12
2024,SK,SK_EP_02,SK_P22,NI,7ccd82efecf56136f5b3d6bc,PREFERENTIAL,512742,14.101,3,58.79,6184881,3.32,0,F,80,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-01-24
2004,BE,BE_EP_03,BE_P23,ID,0c7972156bc4aee28aa5d682,OPEN_LIST,161577,6.118,3,42.31,6241913,43.88,0,X,84,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-06-02
2009,DK,DK_EP_04,DK_P24,GREENS_EFA,105657e17e8e30608e725dfb,CLOSED_LIST,444303,11.401,3,63.44,6143143,8.86,1,M,81,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-03-11
2014,GR,GR_EP_05,GR_P25,S&D,f3708325a1588c0e7fd2b697,MIXED,180754,7.812,3,36.96,6260106,32.42,0,F,85,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-11-08
2019,LT,LT_EP_06,LT_P26,OTHER,015b84731b2af27301dbd0ee,STV,414152,15.835,3,40.75,6418364,42.85,0,X,86,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-10-16
2024,PT,PT_EP_07,PT_P27,LEFT,2c08163518fe5b752d9507e6,PREFERENTIAL,314718,16.524,3,29.39,6480330,20.07,0,M,85,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-10-12
2004,SE,SE_EP_08,SE_P28,ECR,6331b407c1c711e83be5eea0,OPEN_LIST,107752,2.937,1,56.09,6539981,4.83,1,F,85,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-11-12
2009,CY,CY_EP_09,CY_P01,RENEW,b1d7d4a3e085154e3225b7cb,CLOSED_LIST,402138,15.439,7,39.43,6605895,22.42,0,X,22,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-12-03
2014,FR,FR_EP_10,FR_P02,EPP,d3aba05b7049bf65a17461bf,MIXED,697874,16.242,3,63.83,6731319,44.23,0,M,22,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-01-15
2019,IT,IT_EP_11,IT_P03,NI,be3cb4b19a056a484c1fb7ff,STV,366917,17.494,6,30.49,6878878,24.58,0,F,24,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2025-01-04
2024,NL,NL_EP_12,NL_P04,ID,0927aab5da9da15edb34552f,PREFERENTIAL,320205,7.0,0,67.03,6824493,44.15,0,X,21,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-07-05
2004,SI,SI_EP_01,SI_P05,GREENS_EFA,62f77087782d7193ea2b860e,OPEN_LIST,644420,15.319,1,59.08,7120087,26.27,1,M,26,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-03-06
2009,BG,BG_EP_02,BG_P06,S&D,9f8b117b3a64daf44c8a779b,CLOSED_LIST,267612,5.944,3,62.64,7186965,39.47,0,F,24,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2024-04-17
2014,EE,EE_EP_03,EE_P07,OTHER,3d3af4039ce6a014799718e7,MIXED,205609,4.992,0,57.91,7112616,33.29,1,X,24,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-09-21
2019,HU,HU_EP_04,HU_P08,LEFT,5f32d5d7295628af2beef89d,STV,527687,11.275,1,63.82,7333475,14.0,1,M,29,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-11-29
2024,LU,LU_EP_05,LU_P09,ECR,6fef8b82fb8ffa1f4a15efd1,PREFERENTIAL,52743,1.054,0,68.48,7304353,43.94,0,F,30,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-06-15
2004,RO,RO_EP_06,RO_P10,RENEW,4b7892bd34d8094e87534e2b,OPEN_LIST,25649,0.497,0,68.55,7535430,30.49,0,X,30,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-27
2009,AT,AT_EP_07,AT_P11,EPP,b22073513b87a863eceb0b85,CLOSED_LIST,163669,4.494,2,48.15,7564155,13.33,1,M,31,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-07-16
2014,CZ,CZ_EP_08,CZ_P12,NI,006cb89f4864347da0d12245,MIXED,109654,3.311,0,42.95,7711072,29.6,1,F,30,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-03-14
2019,DE,DE_EP_09,DE_P13,ID,eb74ceac150b9fa34975189f,STV,319022,6.401,2,64.1,7775259,34.29,0,X,33,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-08-31
2024,LV,LV_EP_10,LV_P14,GREENS_EFA,64bbd9aed27d0bc47e3a967a,PREFERENTIAL,520919,13.616,7,49.7,7697805,15.44,0,M,34,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-01-02
2004,PL,PL_EP_11,PL_P15,S&D,654394ca818b334220b5ef21,OPEN_LIST,340080,5.549,0,76.66,7994939,10.85,0,F,34,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-11-24
2009,ES,ES_EP_12,ES_P16,OTHER,e2c19add114de967d0d514e4,CLOSED_LIST,238126,9.266,4,31.89,8058985,16.26,0,X,34,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-03-22
2014,HR,HR_EP_01,HR_P17,LEFT,a6eeae03b3500915431663f7,MIXED,429536,11.61,4,46.66,7928811,10.86,1,M,37,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2026-01-04
2019,FI,FI_EP_02,FI_P18,ECR,f6fddbdd670103449a34a074,STV,481593,11.039,5,53.2,8200834,39.41,0,F,38,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2025-02-01
2024,IE,IE_EP_03,IE_P19,RENEW,4d008a36d4b68451d5626f06,PREFERENTIAL,12074,0.366,0,39.94,8264586,4.18,0,X,40,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-09-02
2004,MT,MT_EP_04,MT_P20,EPP,931e792c35c75e4ec81d62c7,OPEN_LIST,266055,10.06,3,31.82,8311354,37.96,0,M,38,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-12-31
2009,SK,SK_EP_05,SK_P21,NI,138b6292803f1debd74ffeff,CLOSED_LIST,383253,13.323,7,34.16,8420787,5.83,1,F,38,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2026-01-26
2014,BE,BE_EP_06,BE_P22,ID,c7bc070fbee893d00bbc2799,MIXED,118777,2.154,0,65.03,8477669,43.9,1,X,41,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-10-14
2019,DK,DK_EP_07,DK_P23,GREENS_EFA,e03ec62510f652e1e335504d,STV,506570,12.033,5,48.52,8676659,25.01,0,M,41,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-11-28
2024,GR,GR_EP_08,GR_P24,S&D,2e10cfa9c308d23f84b7fcdc,PREFERENTIAL,175732,3.415,2,60.4,8518942,30.75,1,F,44,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-09-16
2004,LT,LT_EP_09,LT_P25,OTHER,6837e5f58ec13ac929a6c108,OPEN_LIST,240006,3.237,2,84.93,8731260,24.98,0,X,45,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-05-10
2009,PT,PT_EP_10,PT_P26,LEFT,eb81b27d54ce692678e200b3,CLOSED_LIST,880896,16.086,1,62.4,8776006,42.96,0,M,47,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-07-03
2014,SE,SE_EP_11,SE_P27,ECR,0da869201560aa733729d26a,MIXED,1070586,14.937,5,80.2,8936831,19.16,0,F,46,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-06-17
2019,CY,CY_EP_12,CY_P28,RENEW,d68f9c0a36f9d00680cc6f57,STV,800105,13.101,3,67.33,9070567,19.84,0,X,47,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-03-02
2024,FR,FR_EP_01,FR_P01,EPP,2a02080a72c6f85929e675ef,PREFERENTIAL,1000580,14.732,2,74.41,9127598,8.98,0,M,46,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2024-09-30
2004,IT,IT_EP_02,IT_P02,NI,adbc27b745e0bff7b8eee52e,OPEN_LIST,596872,11.069,4,59.3,9093285,18.82,0,F,51,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-05-26
2009,NL,NL_EP_03,NL_P03,ID,68a062e0ba295ecae9e587a4,CLOSED_LIST,274335,4.071,1,72.76,9262270,44.61,1,X,48,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-04-22
2014,SI,SI_EP_04,SI_P04,GREENS_EFA,e251ecf2203457d23b3ed66d,MIXED,313411,4.383,2,77.0,9286788,17.48,0,M,50,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-09-05
2019,BG,BG_EP_05,BG_P05,S&D,a153e1cb2656c482989cb07e,STV,215766,2.784,1,81.58,9501043,16.9,0,F,53,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2025-11-26
2024,EE,EE_EP_06,EE_P06,OTHER,c1f43ebd638e0dc3870c5429,PREFERENTIAL,457896,12.125,3,39.84,9479073,18.55,0,X,55,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-02-14
2004,HU,HU_EP_07,HU_P07,LEFT,d9d8e3c596595813c74703c4,OPEN_LIST,36309,1.272,0,30.14,9472994,31.69,0,M,52,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2024-05-26
2009,LU,LU_EP_08,LU_P08,ECR,efe70fb47b2ba3d3d4e6f64c,CLOSED_LIST,367682,6.358,0,59.74,9680982,32.82,0,F,55,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-05-05
2014,RO,RO_EP_09,RO_P09,RENEW,8a62dc050361e7d33ad2551f,MIXED,611836,8.033,0,78.14,9746847,14.48,0,X,56,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-16
2019,AT,AT_EP_10,AT_P10,EPP,04352da16b702d59aa8a2b6d,STV,974734,16.815,7,58.82,9855358,40.35,1,M,55,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-07-05
2024,CZ,CZ_EP_11,CZ_P11,NI,a55fcfc38ff2a968916b74c9,PREFERENTIAL,362219,9.375,1,38.52,10030427,27.86,0,F,59,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-02-09
2004,DE,DE_EP_12,DE_P12,ID,94a6dcd0a62b77c6872aafa0,OPEN_LIST,346881,9.151,4,38.05,9961753,11.2,0,X,57,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-11-15
2009,LV,LV_EP_01,LV_P13,GREENS_EFA,45ee3c32b4432472d491aef6,CLOSED_LIST,777092,17.721,7,43.55,10069495,12.05,1,M,62,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2026-02-07
2014,PL,PL_EP_02,PL_P14,S&D,8e30d16c36c88d49da9e2218,MIXED,466531,9.048,4,50.7,10169591,12.0,0,F,59,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-07-10
2019,ES,ES_EP_03,ES_P15,OTHER,bb6e957e645dfdb1c7a8c4e7,STV,1169448,13.927,4,82.35,10196391,42.49,0,X,63,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-08-13
2024,HR,HR_EP_04,HR_P16,LEFT,254200d1b1f8721f8acc4546,PREFERENTIAL,553463,8.704,4,61.44,10349082,35.51,0,M,63,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2026-02-18
2004,FI,FI_EP_05,FI_P17,ECR,1fe45088a12803f231c9a742,OPEN_LIST,584074,17.119,8,32.34,10549772,5.0,0,F,63,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-01-23
2009,IE,IE_EP_06,IE_P18,RENEW,cee5aaa626a45c5121b24a42,CLOSED_LIST,311627,9.749,5,30.43,10504296,28.03,0,X,63,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-10-24
2014,MT,MT_EP_07,MT_P19,EPP,81eb4fb5d94eea046bb460ed,MIXED,139255,3.403,1,38.91,10516188,16.03,0,M,68,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-12-11
2019,SK,SK_EP_08,SK_P20,NI,1986a9771969c414f8e1b658,STV,620428,15.614,4,36.87,10777115,1.38,0,F,66,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-03-14
2024,BE,BE_EP_09,BE_P21,ID,fa826089f14ad1fae2370c8b,PREFERENTIAL,419128,12.92,3,30.45,10653301,32.64,0,X,68,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-08-08
2004,DK,DK_EP_10,DK_P22,GREENS_EFA,58c4d6b7adb832d68d190501,OPEN_LIST,324514,4.552,0,65.72,10847548,14.11,0,M,67,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-11-23
2009,GR,GR_EP_11,GR_P23,S&D,46981ee4c4a18bda0bf4d643,CLOSED_LIST,970675,16.448,5,53.37,11057978,25.05,0,F,71,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2026-01-07
2014,LT,LT_EP_12,LT_P24,OTHER,96aa34c03454fdec86bc7134,MIXED,300794,8.036,4,34.17,10954083,42.32,0,X,71,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-07-08
2019,PT,PT_EP_01,PT_P25,LEFT,83830ae101a2da6f96bd7476,STV,877014,11.085,5,72.04,10982537,10.04,0,M,71,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-06-08
2024,SE,SE_EP_02,SE_P26,ECR,7408a5b3f477922bb3bc33df,PREFERENTIAL,499112,11.951,6,37.36,11178496,29.79,0,F,73,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-07-09
2004,CY,CY_EP_03,CY_P27,RENEW,7b980f152bb5994db8865a9b,OPEN_LIST,734173,11.643,0,55.56,11349748,6.53,1,X,76,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-04-05
2009,FR,FR_EP_04,FR_P28,EPP,dc312990bcd2899ba1efa41d,CLOSED_LIST,873148,15.327,4,49.8,11439649,26.93,0,M,74,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-01-10
2014,IT,IT_EP_05,IT_P01,NI,24a96b99099e61ed988486c8,MIXED,922033,12.199,0,65.76,11493945,36.59,0,F,77,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-07-26
2019,NL,NL_EP_06,NL_P02,ID,986e57eeb44ccd3b326bead7,STV,1301809,13.348,5,84.64,11522398,2.26,0,X,79,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-08-23
2024,SI,SI_EP_07,SI_P03,GREENS_EFA,33d5cca9b564519867cf4f26,PREFERENTIAL,224262,4.123,2,46.86,11608240,5.89,0,M,80,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-02-12
2004,BG,BG_EP_08,BG_P04,S&D,bf4f9c1f32dddc1b3cb08e08,OPEN_LIST,1207863,15.498,5,66.17,11778301,26.81,0,F,81,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-01-13
2009,EE,EE_EP_09,EE_P05,OTHER,db338f2f2b060857b3d0d642,CLOSED_LIST,322923,3.597,1,75.8,11843382,13.2,0,X,80,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-03-08
2014,HU,HU_EP_10,HU_P06,LEFT,fe2d4df2175e1c81bfc1f7e3,MIXED,197446,5.719,2,29.35,11763625,2.28,0,M,80,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2025-10-15
2019,LU,LU_EP_11,LU_P07,ECR,00ce470a0271c2f4efc97d64,STV,437766,7.708,2,47.62,11926608,5.7,0,F,82,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-08-19
2024,RO,RO_EP_12,RO_P08,RENEW,040e13c2be55833acf0c0788,PREFERENTIAL,254811,2.58,0,81.72,12083418,34.89,0,X,82,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-27
2004,AT,AT_EP_01,AT_P09,EPP,b89c5745d80fc42509769707,OPEN_LIST,829171,10.411,4,66.02,12063971,19.89,0,M,82,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2026-01-21
2009,CZ,CZ_EP_02,CZ_P10,NI,c67b482c4053820b59e64e42,CLOSED_LIST,541057,8.658,3,51.41,12156127,4.66,0,F,86,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2024-03-09
2014,DE,DE_EP_03,DE_P11,ID,34292a12844889afc701f74d,MIXED,899025,11.914,4,60.98,12374962,0.31,0,X,86,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-10-23
2019,LV,LV_EP_04,LV_P12,GREENS_EFA,e8a725457d2dfdbca1f07cc8,STV,202271,4.116,1,39.59,12413177,8.05,0,M,87,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-01-04
2024,PL,PL_EP_05,PL_P13,S&D,4e7a7aa7bd12db7e80a31490,PREFERENTIAL,831160,8.759,4,76.42,12417158,6.36,1,F,20,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2026-01-16
2004,ES,ES_EP_06,ES_P14,OTHER,ea25e37e742b59198a7b2603,OPEN_LIST,1682253,15.75,5,85.55,12485159,34.44,0,X,20,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-10-17
2009,HR,HR_EP_07,HR_P15,LEFT,ee53c3bddd23ca08e573fe8d,CLOSED_LIST,409222,5.845,3,55.07,12712594,38.1,1,M,21,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-01-24
2014,FI,FI_EP_08,FI_P16,ECR,8771bfad40de3b8b12cf91fe,MIXED,570058,5.757,1,78.12,12675070,6.62,0,F,23,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-08-17
2019,IE,IE_EP_09,IE_P17,RENEW,b22d350846c0e9ae2fa24993,STV,745388,6.851,1,85.61,12708720,22.39,1,X,23,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-02
2024,MT,MT_EP_10,MT_P18,EPP,8248ae8a54167cfdd58e6ca8,PREFERENTIAL,311682,3.409,1,70.29,13006320,39.24,1,M,24,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2026-01-09
2004,SK,SK_EP_11,SK_P19,NI,4f52a541416717da895b6281,OPEN_LIST,755471,12.12,1,48.44,12868185,14.1,0,F,24,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-12-14
2009,BE,BE_EP_12,BE_P20,ID,ef30277e36712e10eaa5f6a6,CLOSED_LIST,59397,0.868,0,52.14,13121914,11.9,0,X,25,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-01-08
2014,DK,DK_EP_01,DK_P21,GREENS_EFA,1273aa8ef550da0efbe13b09,MIXED,592035,6.178,3,72.91,13143202,41.03,0,M,27,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-01-22
2019,GR,GR_EP_02,GR_P22,S&D,769d412bc466090c0c618465,STV,689667,6.52,2,79.24,13348415,2.15,1,F,28,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-03-18
2024,LT,LT_EP_03,LT_P23,OTHER,d1a5c988010587440e6160df,PREFERENTIAL,1250496,12.484,4,74.88,13377415,34.89,0,X,28,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-01-17
2004,PT,PT_EP_04,PT_P24,LEFT,cf42e1861da408021172c286,OPEN_LIST,769176,7.558,2,76.4,13320157,9.97,0,M,32,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-07-17
2009,SE,SE_EP_05,SE_P25,ECR,fc17dd907e26a7a770c96ede,CLOSED_LIST,609691,12.088,1,37.66,13393434,31.91,1,F,30,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-10-08
2014,CY,CY_EP_06,CY_P26,RENEW,c95b2700bbb5250e52e957cb,MIXED,1349966,11.624,4,84.92,13676344,21.81,0,X,35,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-01
2019,FR,FR_EP_07,FR_P27,EPP,34f975703427ee5069d6ec1e,STV,386992,3.358,0,84.51,13635544,34.57,1,M,35,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-11-08
2024,IT,IT_EP_08,IT_P28,NI,6f825b205a9dbaeeea530175,PREFERENTIAL,429057,3.702,2,85.11,13618242,27.63,0,F,33,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-07-01
2004,NL,NL_EP_09,NL_P01,ID,df7f687b02fdb1463da23fbe,OPEN_LIST,361622,5.409,2,48.12,13892956,26.11,0,X,38,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-04-15
2009,SI,SI_EP_10,SI_P02,GREENS_EFA,e04639b0095c23dfb176d94a,CLOSED_LIST,613168,5.888,0,74.35,14007335,5.1,0,M,39,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-08-13
2014,BG,BG_EP_11,BG_P03,S&D,9273fcc2d2864e1ff1c71852,MIXED,505502,10.243,4,35.43,13928965,5.66,0,F,40,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-04-16
2019,EE,EE_EP_12,EE_P04,OTHER,3feb73348466966ff1ead8fd,STV,1364649,12.213,3,79.46,14062225,36.49,0,X,37,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-06
2024,HU,HU_EP_01,HU_P05,LEFT,b380bd28701a24d9f390a167,PREFERENTIAL,377830,6.436,2,41.72,14071654,15.6,0,M,42,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-01-13
2004,LU,LU_EP_02,LU_P06,ECR,046ed3850020a4c60461c5e5,OPEN_LIST,612561,12.762,6,33.46,14345201,21.91,1,F,43,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-10-11
2009,RO,RO_EP_03,RO_P07,RENEW,80c40a3cecb9d6925ddb598f,CLOSED_LIST,1184790,10.862,6,76.57,14245068,39.81,0,X,40,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-07-02
2014,AT,AT_EP_04,AT_P08,EPP,4fb471431578b468d83a01d1,MIXED,1162911,16.772,4,48.13,14406412,18.98,0,M,44,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2025-01-08
2019,CZ,CZ_EP_05,CZ_P09,NI,bf667c6c2878f1cf686f1a96,STV,765505,16.74,0,31.3,14609735,26.73,0,F,46,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2026-01-17
