biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_inr,biz_output_new_orders_value_inr,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_inr,biz_output_r_and_d_spend_inr,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2020Q4,CL7901,27157110673.57,7018823234.55,85.13,85.87,22.19,19.25,69.8,93.03,41.86,31146321945.5,4714447745.85,53.85,0.6612,29.13,0.2768,235265.3,0.2003,export_oriented
2023Q2,CL9088,101464326686.96,24176326076.76,73.07,107.77,27.49,21.17,69.03,85.19,59.03,31730303092.85,2608142654.11,60.26,0.2997,19.03,0.4112,30084.79,0.1321,national
2020Q3,CL4631,18030817159.1,5988497297.8,95.63,110.42,0.68,22.0,100.0,118.2,43.61,3065553441.13,2625665991.47,31.01,0.2617,67.19,0.3194,59025.05,0.2365,domestic_focused
2019Q4,CL6384,222579269566.09,60538625773.46,58.71,114.33,33.88,32.28,60.22,110.0,70.79,16799225530.13,1844783771.59,40.52,0.5313,24.44,0.1461,61614.24,0.3718,domestic_focused
2015Q3,CL6320,103846209676.69,17712688238.77,64.32,90.13,15.7,2.13,80.06,95.63,62.7,25180955273.87,3878653477.17,27.18,0.2538,45.86,0.2131,31657.14,0.3956,tier2_cities
2018Q4,CL1966,45995533312.55,2299776665.63,64.21,96.21,12.26,16.25,82.01,82.68,46.52,7522619304.29,6255175713.26,47.16,0.3772,39.77,0.1103,139649.76,0.6946,domestic_focused
2021Q4,CL2900,13966231736.44,4064213977.46,63.03,119.71,44.13,20.56,60.24,88.0,50.92,16049834087.33,712558776.65,25.59,0.2313,28.6,0.1865,10009.51,0.0838,east
2025Q4,CL9298,45705132877.94,12380793943.11,76.4,100.88,46.8,25.74,46.56,101.02,21.7,8948494858.98,4009231709.32,29.36,0.4524,33.64,0.4791,59186.47,0.1993,national
2024Q2,CL3056,200048484716.33,50922030438.01,66.11,91.68,35.09,18.96,63.4,106.98,27.17,15929109484.61,1142299809.98,0.0,0.3597,44.37,0.3532,16306.35,0.2687,export_oriented
2019Q2,CL9128,103162807003.8,33684863844.1,76.21,123.47,40.76,20.14,61.97,104.74,36.21,13690524836.28,4031983487.5,13.36,0.1754,18.5,0.4577,18492.75,0.3963,west
2024Q1,CL7162,179273049945.76,35617419111.87,76.7,112.91,31.11,23.41,68.3,127.13,40.35,9622501387.68,1276768883.77,24.91,0.2235,54.11,0.3215,9725.97,0.6211,export_oriented
2026Q3,CL7121,20561600108.87,6194984001.33,76.2,104.29,31.32,21.18,69.39,124.24,64.24,32385887608.96,4861525423.02,50.62,0.4287,33.99,0.2012,149492.53,0.6918,export_oriented
2020Q2,CL7658,48148634292.6,8260691558.44,76.46,112.85,20.42,6.22,85.22,102.0,18.94,7934787356.21,3456931945.67,45.39,0.362,31.8,0.3974,14350.23,0.1683,rural
2017Q3,CL6144,42850370802.11,10911651411.21,59.56,93.53,20.51,21.25,87.0,85.69,28.86,10601560254.93,2753165810.7,50.59,0.5978,41.06,0.7156,224097.66,0.3277,south
2026Q3,CL1108,27934008389.72,3123517581.31,77.53,99.1,19.46,7.01,79.03,107.2,64.71,16305950907.54,19339827180.4,38.17,0.3569,59.0,0.2768,81900.37,0.4667,tier1_metros
2020Q2,CL9539,11899775815.87,1047471081.36,66.46,88.79,15.6,0.0,89.44,91.01,36.89,20238461481.89,4167426591.71,60.95,0.2365,46.82,0.5263,7122.58,1.1319,tier2_cities
2018Q4,CL1396,32263657341.39,4658729285.47,67.55,94.51,26.76,24.14,77.5,84.6,63.04,17219826432.38,4233071414.96,41.22,0.3442,58.03,0.3363,44815.11,0.3769,east
2020Q3,CL8851,72762512822.74,14644646431.4,70.85,108.81,33.24,18.62,62.9,103.15,44.22,16567328751.75,176776802.7,39.51,0.4358,56.76,0.4236,36595.58,0.1748,domestic_focused
2023Q4,CL2580,43694389830.04,10638785981.97,83.24,120.62,41.53,14.05,50.7,96.3,55.79,16991160564.99,446534386.54,25.59,0.6288,41.1,0.2458,18165.38,0.2072,west
2023Q4,CL8955,9366429515.18,1936995522.13,97.12,105.81,20.08,13.98,79.67,122.91,79.64,48144759314.45,1521004545.04,49.62,0.212,33.78,0.2325,63614.77,0.4972,south
2016Q4,CL1457,34643608754.33,7613365194.81,82.69,93.66,31.7,25.29,59.3,133.04,44.76,6319800422.71,3259953004.93,53.6,0.0461,48.45,0.1445,10162.87,0.078,rural
2021Q3,CL7083,74034662142.11,15553672260.88,75.85,73.81,21.46,30.82,83.09,90.34,23.31,24151431683.4,1328972745.58,50.23,0.414,78.13,0.1918,47561.17,0.2916,export_oriented
2017Q4,CL6903,49539955223.66,16049365552.21,44.18,118.73,30.76,25.35,75.31,92.56,75.68,11381051484.27,3008316182.42,0.0,0.1437,32.51,0.5225,55735.72,0.435,export_oriented
2023Q2,CL3009,95697677730.34,24569822507.23,78.15,112.42,31.73,33.45,69.12,86.85,71.11,5489037685.33,5574267734.45,30.7,0.2923,62.93,0.278,254305.7,0.3722,north
2019Q4,CL5839,11368780182.16,1296989528.23,62.6,105.56,22.72,35.4,68.06,101.18,58.95,57690196528.0,1454893945.03,55.88,0.0977,51.55,0.6408,55389.0,0.1741,tier2_cities
2022Q1,CL1203,46434822699.98,11986735589.8,81.62,92.39,11.83,11.89,90.4,95.05,29.28,4814082477.42,3607822756.83,54.54,0.1121,42.68,0.5083,19646.75,0.44,tier1_metros
2017Q1,CL4359,74893155802.5,8251491796.12,66.34,84.05,16.19,29.9,89.83,101.85,53.75,10243851082.39,1757589838.37,46.64,0.7741,40.66,0.7274,120349.79,0.2369,export_oriented
2015Q1,CL8998,53670060920.71,15340496391.31,74.82,112.67,21.1,24.64,80.23,81.11,50.12,13496510414.95,2358372887.49,25.08,0.3147,59.3,0.3182,50007.43,0.2639,national
2022Q4,CL4500,40864388723.42,11557949972.63,85.4,89.91,26.28,14.48,81.96,124.05,62.75,10665509121.92,5157341191.33,28.25,0.4036,24.42,0.4038,32663.01,0.4775,east
2019Q3,CL7717,30532069062.96,8792063107.31,57.8,108.33,17.25,24.5,84.03,125.95,24.06,15874705859.51,1170914545.07,19.8,0.2665,58.4,0.1893,16415.62,1.6741,domestic_focused
2017Q3,CL8743,189991381742.01,16032524733.72,61.85,117.34,43.68,34.75,49.62,103.55,46.2,8781972653.14,2326217996.89,28.87,0.192,26.27,0.1559,106164.53,0.2009,south
2023Q1,CL2968,38150741193.21,1907537059.66,75.51,82.23,12.53,6.26,88.39,88.29,38.5,4762988738.16,1796303886.17,59.62,0.073,39.2,0.2992,7566.12,0.1524,export_oriented
2023Q2,CL5839,66060011701.87,9633511333.25,62.18,93.99,44.46,6.6,46.36,123.89,33.47,34070625846.71,7095957017.75,38.25,0.2317,84.89,0.3234,50081.49,0.7547,south
2022Q2,CL8592,24809296699.5,5915823358.6,83.22,89.32,28.69,18.48,72.15,94.79,59.3,58587785095.35,992280195.64,70.85,0.3948,41.94,0.4256,70972.39,0.2002,rural
2021Q3,CL6538,29052839620.18,1508550603.72,68.88,127.53,58.47,12.29,34.29,108.71,66.24,6118407799.41,1402742090.43,21.75,0.0887,69.74,0.4623,25454.91,0.3025,south
2025Q3,CL7462,40934459502.95,6661137662.62,66.54,105.37,19.05,12.81,88.9,90.15,10.64,41194965020.48,2204328400.34,23.49,0.3303,41.65,0.1867,36025.83,0.4151,south
2024Q2,CL7541,64929789367.87,3246489468.39,83.91,105.83,20.61,5.11,71.84,79.51,56.74,3764907786.91,4700449593.99,65.43,0.1681,23.56,0.362,14829.3,0.0643,domestic_focused
2022Q3,CL1177,17453078034.48,2458380939.91,71.25,117.84,25.55,15.18,71.2,103.18,46.52,34953759280.53,3807333218.18,52.54,0.1347,44.51,0.17,38380.81,0.1932,domestic_focused
2019Q1,CL9603,10863211639.26,1296769521.53,69.27,107.87,5.17,26.25,100.0,102.65,69.86,4576916822.9,1267468034.76,30.48,0.2682,60.24,0.378,192611.75,0.3777,south
2020Q4,CL6882,38377621110.33,8034977571.97,61.31,96.47,9.32,10.64,87.55,95.43,51.89,15180414274.29,578520535.51,40.14,0.1339,63.79,0.2298,28431.2,0.2567,rural
2024Q2,CL7506,34722524771.21,7267250535.29,68.17,79.67,35.9,34.7,58.66,115.91,48.0,60906978723.24,75768942.67,57.78,0.1211,51.99,0.2829,78759.42,0.0842,tier1_metros
2023Q4,CL8871,9786402597.45,2626121651.14,89.43,94.65,18.38,33.49,83.37,142.39,61.64,9998479207.4,1203656871.31,34.66,0.3567,59.88,0.2613,20306.51,0.1782,national
2026Q2,CL9907,58344164010.02,9785405951.48,83.93,98.28,21.16,22.67,75.32,95.29,38.63,13394508435.05,6996225103.13,24.35,0.276,59.59,0.1123,22006.38,0.0942,east
2018Q3,CL9633,42066764915.42,11440360356.07,70.63,94.11,0.0,23.23,100.0,93.14,42.83,42339548585.24,1899992675.32,49.97,0.2068,2.13,0.1428,6289.17,0.2844,rural
2015Q1,CL1702,22516688323.05,2716362699.57,82.17,79.86,25.0,28.51,72.92,89.24,30.34,7109910520.36,6216696347.62,41.79,0.3133,11.06,0.4421,27122.71,0.186,east
2022Q3,CL9284,60021644814.69,7156611616.18,66.83,107.41,9.55,23.12,80.77,88.52,38.43,36139879353.93,1786598659.29,57.82,0.3589,29.71,0.1033,51132.2,0.1796,north
2026Q2,CL8817,54467801341.76,5789920687.83,70.09,99.86,2.81,16.1,94.21,70.66,52.2,4408256083.65,790261382.37,45.74,0.1302,62.48,0.3413,52992.57,0.2524,west
2022Q1,CL9147,21117811955.95,4900477843.6,68.61,112.78,27.65,12.52,76.84,105.52,60.41,7207279407.66,6724909087.33,44.57,0.3122,19.97,0.2607,111518.84,0.5751,tier1_metros
2017Q2,CL3296,15901841002.16,5930515203.06,68.91,92.21,20.94,19.88,76.35,88.38,72.36,6150674908.32,4012967001.25,37.54,0.4265,55.25,0.2042,39579.3,0.2882,east
2026Q1,CL1954,86810130786.3,11488788031.85,83.06,105.7,0.0,37.48,100.0,99.97,51.43,14139775357.26,2049651793.94,39.68,0.0859,21.18,0.3095,28358.33,0.5452,national
2023Q1,CL8873,70204602915.87,12781716989.88,80.96,79.3,20.42,31.39,67.2,129.01,52.14,11248940349.2,4405027527.86,15.41,0.4474,49.44,0.2772,30924.06,0.566,east
2016Q1,CL7772,44848680888.9,5636925607.66,71.75,121.08,1.26,22.25,86.48,103.0,49.33,8874073574.39,1265406721.68,48.79,0.4637,29.84,0.1673,19562.87,0.805,export_oriented
2016Q3,CL2641,52032771803.46,13157229379.27,69.16,99.5,20.26,30.24,87.27,85.63,44.97,26318221625.6,533539419.4,45.52,0.5041,60.71,0.2284,53296.11,0.0819,tier1_metros
2020Q1,CL5916,88432914260.48,19586172799.29,62.31,114.55,49.59,28.45,53.71,107.81,37.96,17263213372.04,1138042591.82,66.78,0.0712,14.71,0.0227,135281.78,0.3884,tier2_cities
2026Q1,CL6113,12407553496.83,4686769287.08,72.18,97.94,21.21,26.11,75.13,112.43,67.6,18870272453.79,9268416769.78,47.93,0.2508,25.51,0.0916,25246.23,0.5657,rural
2022Q3,CL8696,50796112356.52,12899995073.48,57.47,108.42,35.15,24.17,65.39,100.58,41.99,76648909067.54,1090935759.62,51.41,0.2484,54.29,0.4728,35098.18,0.087,rural
2019Q2,CL6728,116914067874.9,5845703393.75,63.07,86.15,31.5,22.49,62.12,89.55,24.32,7192686468.51,465273987.5,3.7,0.2475,40.02,0.1947,13153.81,0.3508,national
2022Q1,CL6378,76872191501.89,21621388273.75,75.89,111.51,18.5,14.12,71.38,94.4,48.05,11269887634.85,3113406155.17,44.74,0.1612,42.28,0.098,57923.54,0.3959,national
2016Q4,CL3910,53780081791.52,16748160563.48,78.03,112.83,18.86,29.46,77.04,122.49,53.11,2259499872.32,327179922.92,16.89,0.4848,74.59,0.5308,32034.8,0.044,tier1_metros
2019Q4,CL8956,41458530421.86,4720234163.74,86.33,107.3,18.76,39.95,83.93,109.16,45.29,45658693219.82,9296652557.0,35.72,0.7008,13.4,0.3833,17668.12,0.5184,north
2026Q2,CL5850,33270887475.61,9431958851.59,68.56,126.81,33.31,13.63,58.32,91.92,72.68,17897742565.15,3629443711.93,34.94,0.4183,69.96,0.3385,20578.99,0.1472,export_oriented
2016Q1,CL5793,170372200523.3,31645268718.9,67.48,122.25,37.31,5.85,55.41,123.78,69.7,5501993583.13,336964332.25,29.9,0.2342,77.56,0.5353,15409.88,0.3969,west
2024Q4,CL1826,97235372128.08,35519598932.39,64.48,96.31,23.88,25.87,75.02,108.65,75.1,9224285091.06,1051986291.89,26.53,0.3021,36.21,0.4582,28534.05,0.4951,west
2017Q1,CL8767,72743091065.03,11482073412.72,75.53,117.04,11.2,22.6,88.77,94.09,66.68,108893854605.58,5670462537.24,57.89,0.3199,0.0,0.1632,46546.04,0.1158,domestic_focused
2022Q1,CL6328,134395805050.24,49504916761.19,71.62,105.03,45.68,29.33,47.63,86.46,61.43,30231615562.09,2242578035.58,16.35,0.5676,28.07,0.2973,21890.17,0.0698,export_oriented
2018Q4,CL2742,126949847881.78,31454355264.83,74.66,102.58,53.16,13.86,49.6,111.44,89.88,10973041665.09,4101081993.14,9.0,0.0478,28.7,0.2682,47273.6,0.8191,domestic_focused
2023Q4,CL7596,36547810164.71,7685898393.47,75.03,93.0,1.13,35.71,95.14,115.3,34.72,32228096649.77,759584845.9,48.2,0.092,73.76,0.0716,20336.82,0.4284,south
2019Q4,CL8518,17314496521.58,2512888443.05,74.89,110.48,25.53,29.45,67.43,104.76,50.66,6406900753.07,10279878153.47,46.03,0.0624,7.57,0.261,125279.41,0.1744,tier2_cities
2017Q2,CL1360,105411102041.21,31300815739.29,87.22,83.18,17.25,27.57,83.62,87.13,50.68,6377929391.8,940969847.39,8.98,0.5419,49.73,0.2927,69807.71,0.1896,tier2_cities
2021Q3,CL8948,118052382381.47,27301456184.88,79.48,93.88,33.8,26.62,73.26,99.64,35.02,8488491107.28,792087419.58,40.32,0.3775,14.93,0.0717,23919.95,1.0725,tier1_metros
2024Q4,CL5236,74639543499.69,17452879106.65,54.54,101.37,9.84,23.6,98.32,89.13,36.09,6675818221.39,3713239562.95,26.76,0.3734,56.01,0.1553,19756.18,0.1086,domestic_focused
2024Q4,CL8696,22025804153.72,2984780678.18,82.95,99.55,0.0,3.37,98.54,80.28,15.49,54451462320.75,1530152041.46,76.37,0.43,36.54,0.3295,62323.85,0.1701,north
2023Q1,CL1340,37341874259.27,6454839251.5,70.62,109.03,45.27,30.23,51.84,88.08,62.03,30716781897.46,2656526373.44,24.34,0.2407,50.08,0.2289,30337.86,0.5408,export_oriented
2022Q3,CL4110,26970399752.03,5901563075.09,93.26,103.95,47.14,5.33,48.43,97.88,58.62,16398756610.2,414908856.39,35.33,0.4863,75.54,0.1605,7499.38,0.1834,west
2017Q3,CL5802,238915032335.39,66121260828.0,85.26,103.44,14.04,9.58,89.8,89.9,38.76,24569142046.37,4077463110.37,21.58,0.3836,31.78,0.4788,34175.59,0.5683,tier2_cities
2016Q3,CL7388,12053082938.82,2462685324.67,72.17,101.93,6.96,1.71,84.98,105.14,20.76,39043203717.5,3923510592.25,76.72,0.2105,45.2,0.3484,22954.47,0.3073,east
2024Q3,CL2743,46650104484.86,14225965030.11,59.05,94.74,47.89,23.78,54.6,97.12,50.41,10879168250.8,12407573471.64,42.58,0.6646,0.0,0.4929,100362.28,0.2322,export_oriented
2019Q4,CL1809,50423087898.98,18333588377.2,84.86,126.36,21.65,49.66,82.61,79.62,45.46,4464869307.03,1640069961.88,44.08,0.4366,48.14,0.2293,280951.23,0.5011,tier2_cities
2020Q4,CL3877,87171830195.53,13621054117.32,81.45,94.63,23.58,1.28,74.66,115.82,66.75,41747015987.5,2864479944.11,27.3,0.1729,58.62,0.3483,88171.28,0.0816,tier1_metros
2022Q3,CL5664,32722445807.26,3261325189.66,75.51,101.68,25.74,10.66,68.84,84.62,45.74,3998973432.8,668084482.08,45.26,0.0964,41.72,0.2206,52969.41,0.4273,tier1_metros
2025Q1,CL7588,14682496917.42,4896987353.79,79.03,127.3,32.27,8.72,73.99,110.05,8.88,74808739819.57,329489198.33,25.04,0.2088,34.0,0.713,71013.4,0.1215,rural
2025Q2,CL7165,31909973645.06,2289293203.62,84.7,109.45,31.64,28.4,70.32,127.44,49.78,10139470929.49,2969344810.97,40.92,0.0521,34.3,0.4159,41531.65,0.3913,rural
2018Q3,CL1934,70706227735.16,18899603970.44,75.5,98.45,0.0,16.57,90.03,89.65,47.47,8231665257.69,10989047760.66,33.59,0.6411,29.89,0.0939,113772.79,0.3695,domestic_focused
2023Q4,CL8255,58107920644.71,15804971724.7,97.51,94.67,0.56,19.5,94.59,101.96,49.5,4898725572.23,901521706.14,22.29,0.3471,71.17,0.3992,33107.19,0.2918,national
2024Q4,CL7535,38068426989.98,8447678945.36,62.29,86.06,18.8,31.22,74.93,109.84,26.03,34967142154.44,1140684588.1,9.7,0.3779,33.58,0.6526,36872.01,0.1791,export_oriented
2026Q1,CL7629,47789947096.31,8976898261.12,86.15,94.24,18.87,23.56,74.2,122.89,39.96,26922960092.4,1407548246.24,31.1,0.1687,29.82,0.4527,22798.15,0.2531,south
2023Q3,CL2871,80552850458.54,5721697908.24,65.72,100.59,10.86,2.51,86.39,125.21,58.36,33059159232.65,22796933227.95,20.17,0.5179,29.46,0.4432,11037.68,0.2788,rural
2017Q2,CL8943,7392941884.22,1466230710.85,67.7,98.83,26.48,17.62,74.37,75.69,14.35,29871521288.57,3160994273.28,38.85,0.0474,43.47,0.2417,51521.25,0.2907,south
2022Q3,CL3351,32843708917.46,4805356740.05,68.52,143.35,28.24,6.35,67.15,94.29,59.0,38258937722.59,1818848724.02,32.63,0.3118,25.34,0.3046,14912.85,0.3733,east
2024Q4,CL3269,104257267721.21,32120006231.27,68.74,95.03,21.04,30.03,82.16,96.2,60.74,29333063771.89,1336783005.18,3.54,0.3355,28.86,0.3212,38037.15,0.0997,north
2026Q1,CL3970,26737588093.2,6031798808.17,58.01,117.11,21.37,16.56,82.65,113.82,40.17,48041526048.43,830751288.3,38.66,0.5365,0.0,0.3522,40186.79,0.6149,export_oriented
2024Q1,CL1102,70732202396.14,16264510998.01,82.48,101.97,15.12,15.84,84.47,95.39,64.57,14122107742.46,502033809.5,33.43,0.1769,37.49,0.1269,78796.47,0.3783,west
2018Q3,CL2007,37726111818.86,9854522081.47,79.25,97.86,21.61,11.63,76.56,98.71,100.0,26824535066.44,2561423651.33,78.1,0.252,54.1,0.2829,49970.18,0.6651,east
2026Q1,CL3427,31578423813.31,9055163371.21,69.44,103.82,32.69,30.73,64.81,106.97,65.59,10907445841.14,590699758.22,42.78,0.2729,48.19,0.544,29480.1,0.4721,south
2025Q3,CL5658,24751659588.98,7609257527.15,71.51,100.85,10.65,23.59,86.62,94.26,65.21,64521397078.48,8474373020.65,67.03,0.3517,39.68,0.5397,15292.68,0.1284,south
2015Q1,CL5934,45880841358.19,10391523499.98,73.14,127.39,38.07,7.04,63.95,83.27,55.53,26703717833.47,1605253347.67,37.55,0.4949,47.19,0.0833,25458.65,0.5906,south
2024Q1,CL2286,52512594110.64,4739177203.72,62.94,98.7,14.18,33.1,81.49,98.72,29.31,30098035376.5,2067998270.77,49.14,0.1611,71.2,0.1593,34886.58,0.2376,tier1_metros
2021Q4,CL1842,74654250621.1,25036268285.85,69.93,99.26,28.01,5.11,66.15,108.4,25.16,3991031836.39,357547910.96,48.8,0.1509,10.86,0.4829,110429.16,0.6091,domestic_focused
2026Q4,CL6926,12862572201.0,3562316351.91,69.79,88.64,6.04,17.35,92.39,92.6,39.69,70195502685.27,3640467927.46,61.36,0.4274,60.56,0.406,7922.46,0.4105,north
2026Q3,CL3756,118844773879.81,32544193710.16,61.5,114.31,21.47,2.67,85.48,114.65,27.7,2850618545.25,2293004525.75,36.76,0.5267,77.3,0.0414,101334.5,0.2554,east
2026Q3,CL6379,69820443274.31,8989054507.66,64.99,93.66,18.18,16.16,91.53,120.95,60.05,10661939466.48,1457101821.68,23.97,0.1404,65.37,0.3668,13130.75,0.4779,tier2_cities
2022Q4,CL3899,63389673463.11,14787577973.19,60.22,96.75,11.07,17.27,97.19,75.76,56.66,18570678953.61,346894607.74,9.22,0.0848,35.36,0.3577,46992.82,0.3239,tier1_metros
2020Q3,CL7259,16554712573.71,6794592913.74,68.35,104.64,14.85,11.55,98.29,148.51,30.62,6234407066.94,2138743768.9,54.1,0.4259,51.17,0.3882,68189.95,0.6523,north
2026Q2,CL5738,34774461703.57,9133319649.71,74.28,114.14,23.23,20.73,71.16,105.11,68.71,16824363865.97,1583746069.11,73.13,0.2656,50.65,0.1995,18586.93,0.5538,rural
2015Q4,CL4255,48447342986.32,7069218008.6,65.57,87.44,7.1,10.88,100.0,129.45,27.99,21077063070.08,1742773321.23,23.94,0.5111,25.67,0.5162,14706.1,0.3931,rural
2016Q3,CL9154,109111912384.87,30894621371.41,67.12,104.99,24.7,12.96,68.71,98.42,44.49,9171320033.25,2545057154.53,51.99,0.2464,46.83,0.1904,70851.73,0.5776,rural
2023Q2,CL2311,43332144429.16,10103455826.52,63.29,105.65,20.53,4.51,82.03,102.8,64.32,14346668946.98,863538717.71,30.43,0.272,53.95,0.4675,49277.72,0.2335,east
2021Q1,CL8385,70321017636.05,11727633355.2,98.0,105.85,35.58,20.59,67.28,111.85,45.5,4475290332.71,1400634889.52,51.34,0.7222,29.74,0.434,108321.94,0.1498,domestic_focused
2018Q4,CL4246,31295644248.14,6344022851.19,80.84,86.51,11.22,21.98,100.0,105.98,47.17,10354306705.57,1908605987.42,38.3,0.1141,29.13,0.4588,43931.0,0.1506,south
2021Q3,CL3797,25122756425.23,6567013362.85,64.71,101.82,31.61,14.19,72.56,90.17,25.41,18808198560.13,2188423525.98,34.88,0.2306,37.85,0.3762,14473.39,0.6662,tier2_cities
2018Q2,CL3823,16926181179.94,4106901864.4,84.48,106.51,11.62,10.37,90.77,89.69,80.45,12038874484.53,3194273871.59,7.05,0.3265,60.8,0.6369,97658.17,0.4879,national
2021Q3,CL3886,25243201296.33,5944090677.99,73.67,92.14,27.96,0.0,81.73,82.59,15.94,15173298985.53,614611591.29,31.61,0.1015,34.88,0.2699,64241.01,0.2303,east
2024Q1,CL8729,35013220774.25,8166979689.43,65.04,103.39,13.9,21.74,85.74,131.6,71.92,18235199060.92,8793120773.96,37.6,0.0687,15.67,0.3769,125712.37,0.5094,national
2022Q2,CL5178,20900950598.69,4166425024.86,68.74,77.27,25.17,13.22,69.38,96.91,15.37,6305464381.78,4126011350.6,60.62,0.3029,33.3,0.4052,43292.39,0.3019,south
2019Q1,CL6771,23518435489.79,4863320447.91,77.73,118.55,28.65,25.08,81.06,81.35,51.59,4657509633.41,2145784990.69,22.06,0.0964,66.19,0.5625,16394.6,0.3245,domestic_focused
2024Q2,CL7341,26062503647.85,4469366717.96,66.94,102.39,16.34,33.04,83.28,96.46,47.01,18608963485.73,967945252.51,78.77,0.2364,34.9,0.1134,30820.19,0.1279,domestic_focused
2025Q2,CL5198,18181446569.51,7502126622.91,70.78,96.81,21.03,30.06,80.47,103.94,82.7,2991202798.65,13931403244.96,63.17,0.1213,29.66,0.2435,89498.83,0.1667,south
2022Q2,CL6893,19398574834.73,5055554224.21,74.08,92.06,42.89,18.19,61.84,98.65,46.63,8294067872.5,3411740403.69,28.02,0.1159,43.39,0.3733,35279.44,0.1347,south
2026Q2,CL7481,24407515234.94,1619181811.61,47.31,109.39,22.51,29.26,80.78,120.82,53.81,50152845704.12,5966361013.48,52.35,0.0492,28.9,0.0608,54388.63,0.4103,export_oriented
2023Q2,CL3241,33689440481.58,9275880035.46,66.24,86.12,6.15,0.0,93.6,129.95,7.5,12649532717.64,255210446.39,10.82,0.4429,16.74,0.6166,30998.88,0.3913,national
2015Q3,CL4484,85866441275.77,30639921988.31,56.17,118.74,31.85,28.01,76.33,80.44,35.23,84526022189.18,3145996815.54,19.38,0.4721,17.3,0.3068,27512.5,1.9528,domestic_focused
2018Q1,CL3859,72747924691.91,18918609127.09,86.96,138.22,18.71,8.77,77.72,85.98,69.46,14928585388.4,1514910789.51,0.0,0.0912,44.95,0.1594,7665.64,0.3528,south
2022Q1,CL7636,137872459562.7,34336560028.96,71.63,118.77,22.05,14.16,84.09,115.82,64.55,33271010630.42,2086768827.61,57.26,0.4337,14.09,0.3111,42706.27,0.3052,national
2016Q3,CL8973,31512816724.32,5358149185.29,71.76,114.64,37.19,22.04,65.35,134.02,93.45,12445499739.29,3343995243.51,64.16,0.1495,63.98,0.4705,21556.23,1.4634,south
2015Q4,CL6561,52900601712.79,12193448153.21,64.59,107.14,15.57,18.32,83.51,93.97,47.06,16050859806.52,5623990231.53,48.32,0.5322,40.64,0.3026,59871.89,0.1323,west
2025Q4,CL5796,7796073272.89,1906042053.87,71.82,109.81,27.28,0.0,67.19,75.02,37.16,35978213870.77,4715358417.97,57.26,0.1476,42.9,0.2758,32879.56,0.3437,south
2020Q1,CL8196,97166397858.66,31154985071.14,73.46,114.7,41.73,22.94,50.01,119.69,70.86,71295175389.1,476404317.95,57.91,0.2562,23.73,0.5143,42435.16,0.4819,export_oriented
2023Q1,CL9035,125697163456.2,36852633998.7,82.89,96.32,24.53,21.12,73.47,113.87,45.81,9287665682.27,1387210546.75,17.48,0.0827,18.28,0.31,28536.82,0.4642,tier2_cities
2024Q2,CL5176,136037030919.05,35650135676.01,76.8,101.45,11.99,18.94,89.57,100.8,56.84,5968469616.05,2333855480.26,18.96,0.3224,44.67,0.3064,14929.08,0.1218,domestic_focused
2018Q1,CL6753,27081418342.87,8671789688.2,67.21,101.74,34.74,24.18,71.99,108.3,37.01,9181002402.21,3321812818.2,1.78,0.1926,56.94,0.2041,11046.89,0.2973,domestic_focused
2020Q4,CL6481,41540691109.48,4062417044.09,74.27,106.94,20.03,24.61,78.98,91.08,60.82,26281768990.17,1109482962.38,59.09,0.5496,50.21,0.0846,43478.61,0.4542,national
2019Q4,CL5424,95952438936.14,21655818048.66,80.45,105.76,16.66,20.9,81.25,104.09,45.31,39458367129.46,1502491453.98,45.33,0.2878,35.09,0.2289,12623.49,0.2265,west
2018Q3,CL7192,69541358740.44,11058112026.73,77.04,96.67,37.55,7.45,60.72,87.24,30.88,5293630016.45,2189923644.89,50.65,0.2496,15.13,0.4421,11423.93,0.2351,north
2017Q3,CL3211,126316244995.61,27560102737.1,81.73,110.93,0.0,23.9,100.0,90.46,36.76,2744265402.75,1876958851.79,44.27,0.1833,56.46,0.4031,37515.91,0.1747,east
2025Q3,CL1578,124162916288.32,22547341493.77,72.61,88.69,44.17,19.98,50.32,88.16,15.29,54815134225.53,751615125.97,41.01,0.0285,30.4,0.5417,47546.79,0.1094,rural
2024Q4,CL1202,52636236706.72,13164868609.48,65.68,99.6,4.95,29.38,100.0,83.03,38.41,48103407345.85,2582997565.83,73.58,0.4626,18.06,0.2171,13841.07,0.3895,domestic_focused
2018Q2,CL7220,76853755998.28,23987374713.83,91.32,97.05,22.68,0.11,63.71,103.26,30.04,8519356989.1,1601250255.81,32.74,0.5724,28.31,0.1748,69744.84,0.5681,rural
2020Q2,CL4407,47846788089.17,15148237482.43,73.64,98.75,12.7,20.96,91.86,107.91,50.4,8015718242.31,4615919300.85,44.28,0.3067,38.54,0.1806,30996.63,0.1068,rural
