demo_nativity_estimate_year,demo_nativity_puma_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2018,10508,NATURALIZED_CITIZEN,PHILIPPINES,1984,NATURALIZED,NATIVE,TAGALOG,OTHER,POLISH,OTHER,101,819,3405,0.515,STUDENT,1,0,1,0.2643
2024,10509,FOREIGN_BORN,INDIA,1988,NONCITIZEN,VERY_WELL,FRENCH,HINDI,IRISH,ITALIAN,25,13070,3037,0.479,NA,1,0,0,0.7602
2019,10510,NATIVE,KOREA,1993,NATURALIZED,NATIVE,FRENCH,ENGLISH,GERMAN,NONE,142,5048,5896,0.105,EMPLOYMENT,1,1,0,0.419
2018,10511,NATURALIZED_CITIZEN,VIETNAM,2023,NONCITIZEN,NATIVE,KOREAN,OTHER,GERMAN,CHINESE,195,1123,5335,0.535,EMPLOYMENT,1,1,0,0.0228
2024,10512,NATIVE,VIETNAM,2018,NONCITIZEN,NOT_AT_ALL,RUSSIAN,ARABIC,OTHER,NONE,75,7139,5120,0.649,TEMP_WORK,0,0,0,0.5645
2017,10513,NATURALIZED_CITIZEN,CHINA,1987,BORN_US,NOT_WELL,KOREAN,MANDARIN,INDIAN,OTHER,68,11130,2963,0.819,FAMILY,0,0,0,0.639
2018,10514,FOREIGN_BORN,MEXICO,1989,NONCITIZEN,VERY_WELL,MANDARIN,FRENCH,OTHER,OTHER,17,16533,285,0.941,REFUGEE,0,1,1,0.1714
2020,10515,FOREIGN_BORN,EL_SALVADOR,2006,BORN_US,NOT_WELL,MANDARIN,KOREAN,ENGLISH,ITALIAN,67,14574,5179,0.303,OTHER,1,1,0,0.5093
2024,10516,NATURALIZED_CITIZEN,EL_SALVADOR,1993,NATURALIZED,NATIVE,VIETNAMESE,MANDARIN,CHINESE,GERMAN,130,4343,4735,0.839,TEMP_WORK,1,0,1,0.7656
2021,10517,FOREIGN_BORN,INDIA,2022,BORN_US,NOT_WELL,KOREAN,FRENCH,OTHER,ENGLISH,144,13940,2026,0.196,DIVERSITY,1,0,1,0.0651
2017,10518,NATIVE,CANADA,1986,NONCITIZEN,VERY_WELL,SPANISH,KOREAN,NIGERIAN,ITALIAN,88,6913,5486,0.723,NA,1,1,0,0.8561
2025,10519,FOREIGN_BORN,INDIA,1984,NATURALIZED,NOT_WELL,OTHER,VIETNAMESE,OTHER,POLISH,115,8712,1400,0.706,DIVERSITY,0,0,1,0.3518
2022,10520,NATURALIZED_CITIZEN,KOREA,2013,NONCITIZEN,VERY_WELL,RUSSIAN,SPANISH,ITALIAN,CHINESE,72,12523,4205,0.113,FAMILY,1,1,0,0.9672
2018,10521,NATURALIZED_CITIZEN,EL_SALVADOR,2011,NATURALIZED,VERY_WELL,MANDARIN,VIETNAMESE,INDIAN,IRISH,104,5147,739,0.493,DIVERSITY,1,0,0,0.8227
2023,10522,NATIVE,MEXICO,2011,BORN_US,NOT_AT_ALL,MANDARIN,MANDARIN,MEXICAN,CHINESE,181,6984,439,0.649,STUDENT,0,1,0,0.758
2017,10523,NATIVE,VIETNAM,2009,BORN_US,NOT_AT_ALL,ARABIC,ARABIC,GERMAN,IRISH,131,13729,3417,0.825,REFUGEE,0,1,0,0.1581
2017,10524,FOREIGN_BORN,KOREA,1998,BORN_US,NOT_WELL,RUSSIAN,TAGALOG,CHINESE,GERMAN,85,15168,1485,0.844,EMPLOYMENT,0,0,0,0.5014
2025,10525,NATURALIZED_CITIZEN,CANADA,1991,BORN_US,NOT_WELL,MANDARIN,ARABIC,CHINESE,POLISH,183,1277,755,0.341,DIVERSITY,0,0,0,0.3424
2019,10526,NATIVE,KOREA,1996,NONCITIZEN,WELL,MANDARIN,FRENCH,MEXICAN,ITALIAN,102,16554,2021,0.611,TEMP_WORK,0,1,1,0.7963
2024,10527,NATURALIZED_CITIZEN,INDIA,1990,NONCITIZEN,NOT_AT_ALL,MANDARIN,MANDARIN,NIGERIAN,MEXICAN,28,8009,463,0.772,TEMP_WORK,1,0,0,0.331
2021,10528,NATURALIZED_CITIZEN,OTHER,2006,BORN_US,NOT_AT_ALL,MANDARIN,VIETNAMESE,CHINESE,IRISH,122,16492,2903,0.822,FAMILY,0,0,1,0.6815
2018,10529,FOREIGN_BORN,CHINA,2001,BORN_US,NOT_WELL,TAGALOG,ARABIC,ENGLISH,CHINESE,177,3252,4994,0.449,DIVERSITY,0,1,0,0.4486
2018,10530,FOREIGN_BORN,OTHER,2004,BORN_US,NOT_AT_ALL,KOREAN,ENGLISH,MEXICAN,NONE,124,15739,2559,0.473,EMPLOYMENT,0,1,0,0.7674
2021,10531,NATIVE,MEXICO,2024,NATURALIZED,VERY_WELL,TAGALOG,MANDARIN,POLISH,IRISH,62,17040,1870,0.643,STUDENT,0,0,1,0.1634
2018,10532,FOREIGN_BORN,DOMINICAN_REP,2016,NONCITIZEN,NOT_AT_ALL,MANDARIN,ARABIC,POLISH,ITALIAN,139,8770,298,0.287,NA,1,0,0,0.3062
2019,10533,NATURALIZED_CITIZEN,KOREA,1990,BORN_US,NOT_AT_ALL,RUSSIAN,ENGLISH,CHINESE,OTHER,173,16443,5600,0.597,DIVERSITY,1,1,0,0.1395
2025,10534,NATIVE,INDIA,2023,NATURALIZED,VERY_WELL,SPANISH,TAGALOG,MEXICAN,IRISH,143,9297,344,0.686,OTHER,0,0,0,0.5728
2022,10535,FOREIGN_BORN,EL_SALVADOR,2015,NONCITIZEN,VERY_WELL,HINDI,ENGLISH,OTHER,IRISH,29,6159,4519,0.154,OTHER,1,1,0,0.3622
2025,10536,NATIVE,PHILIPPINES,2003,NONCITIZEN,NOT_AT_ALL,VIETNAMESE,MANDARIN,MEXICAN,CHINESE,172,13167,3383,0.626,REFUGEE,0,1,0,0.7849
2023,10537,NATURALIZED_CITIZEN,OTHER,2016,NATURALIZED,WELL,ENGLISH,MANDARIN,NIGERIAN,OTHER,170,6732,1093,0.885,REFUGEE,1,0,1,0.2787
2017,10538,FOREIGN_BORN,VIETNAM,2021,NATURALIZED,NOT_WELL,FRENCH,MANDARIN,INDIAN,NIGERIAN,148,1227,5146,0.523,FAMILY,0,0,1,0.6049
2018,10539,FOREIGN_BORN,EL_SALVADOR,1998,NONCITIZEN,VERY_WELL,FRENCH,ENGLISH,ENGLISH,CHINESE,85,13887,4188,0.707,REFUGEE,1,0,0,0.5405
2025,10540,FOREIGN_BORN,PHILIPPINES,2006,NATURALIZED,NOT_AT_ALL,FRENCH,ENGLISH,OTHER,POLISH,111,4893,3985,0.714,TEMP_WORK,0,0,0,0.7138
2019,10541,NATIVE,OTHER,2022,NONCITIZEN,NATIVE,VIETNAMESE,ENGLISH,MEXICAN,MEXICAN,152,609,4805,0.796,EMPLOYMENT,0,1,0,0.7302
2024,10542,NATIVE,CANADA,1981,NONCITIZEN,WELL,HINDI,VIETNAMESE,NIGERIAN,CHINESE,93,13975,1824,0.492,DIVERSITY,1,0,1,0.9121
2023,10543,FOREIGN_BORN,KOREA,1997,BORN_US,NOT_WELL,SPANISH,NONE,NIGERIAN,OTHER,197,3104,48,0.713,TEMP_WORK,0,0,0,0.5903
2022,10544,NATURALIZED_CITIZEN,CUBA,2012,NONCITIZEN,WELL,VIETNAMESE,MANDARIN,INDIAN,POLISH,120,13929,5571,0.172,DIVERSITY,0,0,0,0.7074
2024,10545,FOREIGN_BORN,CHINA,1981,BORN_US,VERY_WELL,SPANISH,KOREAN,NIGERIAN,POLISH,44,2369,1820,0.535,FAMILY,1,1,1,0.9644
2024,10546,NATIVE,CANADA,2009,NATURALIZED,VERY_WELL,KOREAN,VIETNAMESE,MEXICAN,NIGERIAN,56,16112,2630,0.852,EMPLOYMENT,0,1,0,0.7137
2024,10547,NATURALIZED_CITIZEN,CHINA,1989,NONCITIZEN,NOT_WELL,KOREAN,TAGALOG,GERMAN,NONE,28,6819,1353,0.844,EMPLOYMENT,0,0,0,0.9879
2017,10548,FOREIGN_BORN,EL_SALVADOR,2012,NONCITIZEN,NOT_AT_ALL,SPANISH,SPANISH,CHINESE,NONE,134,19313,511,0.528,TEMP_WORK,0,0,0,0.5857
2023,10549,NATIVE,VIETNAM,1984,NATURALIZED,VERY_WELL,TAGALOG,ARABIC,INDIAN,IRISH,28,820,3859,0.877,REFUGEE,0,1,0,0.9868
2024,10550,NATIVE,KOREA,2025,NONCITIZEN,NATIVE,OTHER,OTHER,OTHER,CHINESE,110,19333,3445,0.232,FAMILY,0,1,1,0.1811
2018,10551,NATURALIZED_CITIZEN,KOREA,2020,BORN_US,NATIVE,ENGLISH,NONE,INDIAN,INDIAN,58,9889,4917,0.841,REFUGEE,0,1,0,0.6199
2020,10552,FOREIGN_BORN,CANADA,2014,NONCITIZEN,NOT_AT_ALL,FRENCH,MANDARIN,IRISH,NIGERIAN,114,3993,5920,0.136,NA,1,0,0,0.3562
2022,10553,FOREIGN_BORN,CANADA,2003,NONCITIZEN,NATIVE,KOREAN,OTHER,OTHER,IRISH,8,5472,393,0.203,OTHER,0,0,0,0.6028
2020,10554,FOREIGN_BORN,PHILIPPINES,1997,NATURALIZED,NATIVE,HINDI,TAGALOG,IRISH,ENGLISH,49,6992,1149,0.168,STUDENT,1,0,1,0.0539
2018,10555,FOREIGN_BORN,CUBA,1991,NONCITIZEN,WELL,TAGALOG,TAGALOG,INDIAN,MEXICAN,20,18554,2547,0.764,EMPLOYMENT,0,1,1,0.3166
2018,10556,FOREIGN_BORN,PHILIPPINES,1987,NATURALIZED,WELL,RUSSIAN,OTHER,ITALIAN,IRISH,20,6235,1546,0.746,NA,1,1,1,0.0198
2018,10557,NATIVE,DOMINICAN_REP,1980,NONCITIZEN,NATIVE,TAGALOG,MANDARIN,INDIAN,CHINESE,122,12857,4258,0.612,OTHER,1,1,0,0.4872
2018,10558,NATIVE,CHINA,2010,NATURALIZED,NATIVE,RUSSIAN,KOREAN,OTHER,ITALIAN,45,16341,485,0.881,OTHER,1,0,0,0.5162
2023,10559,NATIVE,INDIA,2005,NATURALIZED,NATIVE,ENGLISH,HINDI,POLISH,OTHER,144,18152,1979,0.863,DIVERSITY,0,1,0,0.4952
2025,10560,FOREIGN_BORN,CHINA,2014,NATURALIZED,NATIVE,SPANISH,ENGLISH,ENGLISH,CHINESE,146,14291,3362,0.35,NA,0,1,1,0.9119
2025,10561,FOREIGN_BORN,CHINA,1996,NONCITIZEN,VERY_WELL,SPANISH,ENGLISH,NIGERIAN,NONE,88,8850,1562,0.433,EMPLOYMENT,1,1,0,0.429
2022,10562,NATURALIZED_CITIZEN,CANADA,2008,NONCITIZEN,NOT_AT_ALL,KOREAN,FRENCH,ITALIAN,CHINESE,96,3346,781,0.977,FAMILY,1,0,1,0.2107
2019,10563,NATIVE,EL_SALVADOR,2006,BORN_US,VERY_WELL,ARABIC,TAGALOG,NIGERIAN,ITALIAN,28,6253,1730,0.665,DIVERSITY,1,1,1,0.8438
2023,10564,FOREIGN_BORN,CHINA,1999,BORN_US,NOT_WELL,SPANISH,KOREAN,GERMAN,ENGLISH,180,14250,2488,0.382,OTHER,0,0,0,0.9311
2024,10565,NATURALIZED_CITIZEN,CUBA,2019,NONCITIZEN,NOT_WELL,VIETNAMESE,TAGALOG,NIGERIAN,MEXICAN,175,3590,2803,0.942,FAMILY,0,1,0,0.2088
2025,10566,NATURALIZED_CITIZEN,DOMINICAN_REP,2007,NATURALIZED,NOT_AT_ALL,RUSSIAN,MANDARIN,MEXICAN,MEXICAN,93,3468,5687,0.46,EMPLOYMENT,1,1,0,0.2331
2020,10567,NATURALIZED_CITIZEN,CUBA,2022,BORN_US,NOT_AT_ALL,RUSSIAN,MANDARIN,INDIAN,ENGLISH,6,10699,1448,0.273,EMPLOYMENT,1,0,0,0.1414
2021,10568,FOREIGN_BORN,OTHER,2025,NONCITIZEN,NATIVE,HINDI,ARABIC,CHINESE,CHINESE,33,11337,2426,0.374,DIVERSITY,1,0,1,0.7726
2017,10569,NATIVE,PHILIPPINES,1991,BORN_US,NOT_AT_ALL,HINDI,NONE,IRISH,IRISH,156,4592,498,0.537,NA,0,1,1,0.8927
2021,10570,FOREIGN_BORN,INDIA,1993,NATURALIZED,NATIVE,RUSSIAN,HINDI,INDIAN,ENGLISH,168,5967,4184,0.613,REFUGEE,0,1,1,0.8061
2023,10571,FOREIGN_BORN,CUBA,1984,NATURALIZED,VERY_WELL,ENGLISH,TAGALOG,ENGLISH,OTHER,136,16462,3958,0.233,NA,1,0,0,0.3972
2018,10572,NATIVE,OTHER,2003,NATURALIZED,NOT_WELL,KOREAN,HINDI,MEXICAN,GERMAN,48,16806,1793,0.629,REFUGEE,0,1,1,0.1688
2021,10573,NATIVE,KOREA,2010,BORN_US,WELL,MANDARIN,KOREAN,INDIAN,NIGERIAN,96,15517,5978,0.505,STUDENT,0,1,1,0.9504
2025,10574,NATURALIZED_CITIZEN,MEXICO,2011,NONCITIZEN,VERY_WELL,VIETNAMESE,HINDI,POLISH,POLISH,177,15208,52,0.741,REFUGEE,0,0,0,0.2967
2019,10575,FOREIGN_BORN,EL_SALVADOR,1996,BORN_US,NOT_WELL,OTHER,ENGLISH,ENGLISH,POLISH,4,6432,3987,0.136,FAMILY,1,0,0,0.9159
2018,10576,NATIVE,CANADA,2004,NONCITIZEN,WELL,ENGLISH,VIETNAMESE,ITALIAN,ITALIAN,164,4564,3146,0.967,TEMP_WORK,0,1,1,0.7178
2021,10577,NATIVE,KOREA,1987,NATURALIZED,WELL,TAGALOG,OTHER,CHINESE,MEXICAN,78,3773,688,0.216,DIVERSITY,0,1,0,0.9194
2025,10578,NATURALIZED_CITIZEN,DOMINICAN_REP,2024,BORN_US,NOT_AT_ALL,SPANISH,NONE,SCOTTISH,POLISH,98,1206,3243,0.829,REFUGEE,1,1,0,0.6763
2020,10579,FOREIGN_BORN,CUBA,2022,NATURALIZED,VERY_WELL,ARABIC,HINDI,OTHER,MEXICAN,95,17121,4857,0.772,EMPLOYMENT,0,1,0,0.1748
2017,10580,NATIVE,VIETNAM,2001,NATURALIZED,NOT_AT_ALL,FRENCH,TAGALOG,INDIAN,ITALIAN,160,12865,2199,0.834,OTHER,1,1,0,0.4577
2022,10581,FOREIGN_BORN,CUBA,1982,BORN_US,WELL,OTHER,KOREAN,OTHER,OTHER,14,7314,1421,0.314,STUDENT,0,0,1,0.1455
2025,10582,NATIVE,INDIA,2022,BORN_US,VERY_WELL,RUSSIAN,NONE,CHINESE,OTHER,21,7209,1610,0.823,OTHER,1,1,0,0.2206
2020,10583,FOREIGN_BORN,CHINA,2010,NATURALIZED,WELL,RUSSIAN,KOREAN,POLISH,NIGERIAN,64,2749,112,0.297,NA,0,0,1,0.3491
2025,10584,NATURALIZED_CITIZEN,VIETNAM,2017,BORN_US,NOT_WELL,TAGALOG,VIETNAMESE,INDIAN,INDIAN,51,12314,5480,0.491,REFUGEE,1,1,0,0.1483
2023,10585,NATURALIZED_CITIZEN,MEXICO,2012,NONCITIZEN,WELL,KOREAN,NONE,INDIAN,NONE,48,6592,5987,0.876,TEMP_WORK,1,1,0,0.3055
2017,10586,NATIVE,OTHER,2023,NONCITIZEN,WELL,VIETNAMESE,MANDARIN,CHINESE,CHINESE,33,15759,2160,0.934,EMPLOYMENT,0,1,0,0.0953
2022,10587,NATIVE,INDIA,1992,NONCITIZEN,NATIVE,MANDARIN,TAGALOG,IRISH,GERMAN,164,666,4722,0.472,NA,0,0,1,0.0482
2018,10588,FOREIGN_BORN,MEXICO,2012,NATURALIZED,NOT_WELL,MANDARIN,SPANISH,IRISH,NIGERIAN,195,16432,4018,0.611,STUDENT,1,1,0,0.1509
2024,10589,NATIVE,CANADA,2008,BORN_US,NOT_WELL,HINDI,TAGALOG,MEXICAN,POLISH,16,7953,3243,0.415,TEMP_WORK,1,1,0,0.2129
2023,10590,NATURALIZED_CITIZEN,PHILIPPINES,1989,NATURALIZED,NOT_WELL,ARABIC,SPANISH,IRISH,POLISH,51,8512,2028,0.372,EMPLOYMENT,0,1,1,0.2765
2023,10591,NATURALIZED_CITIZEN,EL_SALVADOR,1990,NATURALIZED,NOT_AT_ALL,VIETNAMESE,FRENCH,IRISH,ITALIAN,194,3000,4950,0.593,FAMILY,0,1,1,0.6102
2020,10592,NATIVE,EL_SALVADOR,1981,NONCITIZEN,NOT_AT_ALL,HINDI,NONE,SCOTTISH,CHINESE,122,11391,2581,0.152,REFUGEE,0,0,0,0.2095
2017,10593,NATIVE,KOREA,1992,NONCITIZEN,WELL,VIETNAMESE,KOREAN,IRISH,ITALIAN,107,6336,5548,0.636,REFUGEE,1,1,1,0.8808
2023,10594,NATURALIZED_CITIZEN,VIETNAM,1994,BORN_US,NOT_WELL,MANDARIN,MANDARIN,IRISH,GERMAN,59,1995,5706,0.786,NA,1,1,0,0.078
2021,10595,NATIVE,MEXICO,2025,NATURALIZED,NATIVE,KOREAN,ENGLISH,NIGERIAN,MEXICAN,56,9515,5678,0.247,OTHER,1,1,0,0.7783
2021,10596,FOREIGN_BORN,DOMINICAN_REP,2021,NONCITIZEN,WELL,OTHER,KOREAN,ITALIAN,INDIAN,49,19466,395,0.25,TEMP_WORK,1,1,1,0.7963
2025,10597,NATURALIZED_CITIZEN,CUBA,1988,NONCITIZEN,NOT_WELL,FRENCH,MANDARIN,ITALIAN,NIGERIAN,182,3013,3943,0.5,STUDENT,0,1,0,0.3651
2019,10598,NATURALIZED_CITIZEN,VIETNAM,2023,BORN_US,NOT_WELL,ENGLISH,HINDI,CHINESE,NIGERIAN,128,13226,2659,0.589,FAMILY,1,0,1,0.6283
2021,10599,NATIVE,CHINA,1998,NATURALIZED,NOT_AT_ALL,VIETNAMESE,MANDARIN,ITALIAN,IRISH,52,12269,643,0.422,EMPLOYMENT,1,0,0,0.5944
2018,10600,NATIVE,VIETNAM,2015,NONCITIZEN,NOT_WELL,SPANISH,ARABIC,CHINESE,GERMAN,114,1738,3532,0.336,REFUGEE,1,0,1,0.9033
2021,10601,NATIVE,CANADA,2017,NONCITIZEN,NATIVE,OTHER,ARABIC,IRISH,NONE,196,6708,1893,0.624,FAMILY,1,0,1,0.9761
2021,10602,NATURALIZED_CITIZEN,OTHER,1987,BORN_US,NOT_WELL,SPANISH,ENGLISH,MEXICAN,NONE,173,2987,850,0.251,NA,0,1,0,0.3203
2018,10603,NATURALIZED_CITIZEN,DOMINICAN_REP,2007,NATURALIZED,NATIVE,RUSSIAN,ARABIC,POLISH,NIGERIAN,56,19438,5547,0.89,DIVERSITY,0,0,1,0.5127
2025,10604,NATIVE,CANADA,2015,BORN_US,WELL,ARABIC,KOREAN,CHINESE,POLISH,53,5865,4845,0.723,TEMP_WORK,0,1,1,0.1337
2019,10605,FOREIGN_BORN,CHINA,1997,NONCITIZEN,NOT_AT_ALL,MANDARIN,KOREAN,OTHER,IRISH,102,17203,420,0.326,STUDENT,0,1,1,0.7531
2017,10606,NATIVE,PHILIPPINES,2013,BORN_US,NOT_WELL,ENGLISH,OTHER,SCOTTISH,NIGERIAN,10,8286,3497,0.744,EMPLOYMENT,1,1,0,0.9309
2020,10607,FOREIGN_BORN,CANADA,1997,NATURALIZED,WELL,OTHER,FRENCH,ITALIAN,NONE,23,15181,2725,0.598,OTHER,0,1,1,0.1144
2020,10608,FOREIGN_BORN,PHILIPPINES,1996,NATURALIZED,NOT_WELL,RUSSIAN,TAGALOG,ITALIAN,ITALIAN,73,2220,1679,0.945,TEMP_WORK,1,1,0,0.7533
2021,10609,NATIVE,INDIA,1987,NONCITIZEN,NOT_WELL,KOREAN,MANDARIN,POLISH,NONE,100,2678,213,0.235,DIVERSITY,1,1,0,0.5006
2019,10610,FOREIGN_BORN,DOMINICAN_REP,1998,NATURALIZED,VERY_WELL,OTHER,NONE,INDIAN,CHINESE,122,17312,126,0.72,TEMP_WORK,1,1,1,0.9677
2024,10611,NATURALIZED_CITIZEN,CANADA,2013,NATURALIZED,VERY_WELL,VIETNAMESE,ENGLISH,MEXICAN,ENGLISH,122,9208,4941,0.499,STUDENT,0,0,1,0.0864
2023,10612,NATIVE,MEXICO,1991,NONCITIZEN,NOT_AT_ALL,ENGLISH,FRENCH,ENGLISH,NONE,8,961,265,0.224,OTHER,0,1,0,0.8789
2017,10613,NATIVE,CUBA,2023,BORN_US,NOT_AT_ALL,KOREAN,OTHER,GERMAN,NIGERIAN,87,19470,1359,0.251,DIVERSITY,1,0,1,0.5754
2017,10614,FOREIGN_BORN,DOMINICAN_REP,2002,NONCITIZEN,WELL,MANDARIN,SPANISH,OTHER,ITALIAN,100,17739,985,0.318,DIVERSITY,1,1,1,0.5899
2024,10615,NATIVE,KOREA,2005,NATURALIZED,WELL,KOREAN,NONE,CHINESE,CHINESE,9,2567,929,0.626,FAMILY,0,1,0,0.1002
2021,10616,FOREIGN_BORN,KOREA,2016,BORN_US,VERY_WELL,SPANISH,KOREAN,MEXICAN,POLISH,22,7013,2985,0.639,OTHER,1,0,0,0.2859
2018,10617,NATURALIZED_CITIZEN,DOMINICAN_REP,1987,NATURALIZED,NATIVE,ENGLISH,TAGALOG,INDIAN,OTHER,61,3995,420,0.521,REFUGEE,1,0,1,0.3019
2024,10618,NATURALIZED_CITIZEN,OTHER,1980,BORN_US,NATIVE,ARABIC,TAGALOG,ENGLISH,CHINESE,66,16514,1698,0.589,EMPLOYMENT,1,0,0,0.1808
2024,10619,NATIVE,MEXICO,2018,NONCITIZEN,NATIVE,RUSSIAN,NONE,IRISH,MEXICAN,109,861,5216,0.954,REFUGEE,1,0,1,0.2974
2023,10620,NATIVE,DOMINICAN_REP,2022,NATURALIZED,VERY_WELL,SPANISH,MANDARIN,OTHER,NIGERIAN,129,19123,3850,0.633,FAMILY,0,1,0,0.2085
2023,10621,NATURALIZED_CITIZEN,DOMINICAN_REP,2023,BORN_US,NOT_AT_ALL,MANDARIN,SPANISH,GERMAN,NONE,25,4476,3452,0.409,NA,1,0,1,0.5442
2018,10622,FOREIGN_BORN,EL_SALVADOR,1989,NATURALIZED,NATIVE,ARABIC,MANDARIN,CHINESE,POLISH,113,19569,3410,0.835,REFUGEE,0,0,0,0.3449
2020,10623,NATIVE,CHINA,1982,BORN_US,NATIVE,ENGLISH,ENGLISH,MEXICAN,POLISH,52,14391,4421,0.329,STUDENT,1,0,0,0.4544
2025,10624,NATIVE,VIETNAM,2002,BORN_US,NOT_AT_ALL,FRENCH,TAGALOG,ITALIAN,MEXICAN,196,10186,1872,0.95,FAMILY,1,0,0,0.4014
2025,10625,NATIVE,DOMINICAN_REP,2004,NATURALIZED,WELL,ARABIC,HINDI,GERMAN,NONE,182,13535,1127,0.482,STUDENT,1,0,1,0.3731
2018,10626,NATIVE,PHILIPPINES,2012,BORN_US,NOT_WELL,MANDARIN,VIETNAMESE,SCOTTISH,ITALIAN,39,16742,164,0.42,TEMP_WORK,0,1,0,0.0197
2018,10627,FOREIGN_BORN,MEXICO,2017,NATURALIZED,NOT_WELL,TAGALOG,VIETNAMESE,CHINESE,ITALIAN,84,17693,5552,0.491,NA,0,0,1,0.6335
2018,10628,NATURALIZED_CITIZEN,INDIA,2006,BORN_US,NOT_AT_ALL,OTHER,KOREAN,POLISH,IRISH,181,7921,5544,0.793,FAMILY,0,0,0,0.6664
2021,10629,FOREIGN_BORN,CHINA,1987,BORN_US,WELL,SPANISH,VIETNAMESE,INDIAN,MEXICAN,102,5025,5391,0.123,STUDENT,0,1,0,0.7038
2024,10630,NATURALIZED_CITIZEN,KOREA,2002,BORN_US,NOT_AT_ALL,SPANISH,VIETNAMESE,INDIAN,IRISH,43,6442,1798,0.934,STUDENT,0,1,0,0.7505
2019,10631,NATURALIZED_CITIZEN,INDIA,2019,NATURALIZED,VERY_WELL,KOREAN,HINDI,IRISH,ENGLISH,70,2093,2093,0.404,EMPLOYMENT,0,1,1,0.6947
2025,10632,NATURALIZED_CITIZEN,EL_SALVADOR,2005,NONCITIZEN,NATIVE,RUSSIAN,SPANISH,IRISH,ITALIAN,142,18030,5621,0.83,DIVERSITY,1,1,1,0.4426
2017,10633,NATURALIZED_CITIZEN,CHINA,1986,NONCITIZEN,NOT_WELL,SPANISH,OTHER,IRISH,NIGERIAN,75,6876,3266,0.743,FAMILY,1,0,0,0.255
2021,10634,FOREIGN_BORN,CANADA,2002,NONCITIZEN,WELL,KOREAN,TAGALOG,POLISH,MEXICAN,88,11011,2168,0.123,EMPLOYMENT,1,0,0,0.5226
2024,10635,FOREIGN_BORN,EL_SALVADOR,2020,BORN_US,NATIVE,OTHER,ARABIC,IRISH,ENGLISH,145,19577,5218,0.742,EMPLOYMENT,1,0,0,0.9932
2018,10636,NATURALIZED_CITIZEN,INDIA,2016,BORN_US,NOT_AT_ALL,TAGALOG,ENGLISH,ENGLISH,INDIAN,70,9815,1868,0.459,DIVERSITY,0,0,1,0.2664
2022,10637,FOREIGN_BORN,CHINA,1981,BORN_US,VERY_WELL,ENGLISH,NONE,ITALIAN,CHINESE,194,17564,296,0.808,STUDENT,1,0,1,0.5047
2019,10638,FOREIGN_BORN,CUBA,1983,NONCITIZEN,NOT_WELL,HINDI,VIETNAMESE,ITALIAN,CHINESE,17,11692,4675,0.481,DIVERSITY,0,1,1,0.3082
2025,10639,NATURALIZED_CITIZEN,VIETNAM,2021,NONCITIZEN,NOT_AT_ALL,RUSSIAN,HINDI,IRISH,ENGLISH,28,2214,4350,0.643,TEMP_WORK,1,0,1,0.3749
2023,10640,NATIVE,EL_SALVADOR,1980,NATURALIZED,WELL,HINDI,NONE,CHINESE,NIGERIAN,166,656,1961,0.532,FAMILY,0,0,0,0.4828
2025,10641,NATURALIZED_CITIZEN,EL_SALVADOR,2001,NATURALIZED,NOT_AT_ALL,KOREAN,SPANISH,ITALIAN,GERMAN,53,16678,5833,0.768,EMPLOYMENT,0,0,0,0.7209
2022,10642,FOREIGN_BORN,EL_SALVADOR,1996,NONCITIZEN,VERY_WELL,MANDARIN,HINDI,SCOTTISH,CHINESE,56,18740,2811,0.6,NA,0,1,0,0.7792
2025,10643,NATIVE,EL_SALVADOR,1984,NONCITIZEN,VERY_WELL,RUSSIAN,KOREAN,CHINESE,NIGERIAN,12,3529,4253,0.139,TEMP_WORK,1,1,1,0.1641
2018,10644,NATIVE,INDIA,2002,BORN_US,VERY_WELL,FRENCH,KOREAN,CHINESE,NONE,196,12657,1628,0.894,NA,0,1,1,0.7512
2018,10645,FOREIGN_BORN,EL_SALVADOR,2005,NATURALIZED,VERY_WELL,OTHER,ARABIC,OTHER,ITALIAN,150,2201,2476,0.774,STUDENT,1,1,1,0.6783
2020,10646,FOREIGN_BORN,EL_SALVADOR,2016,NATURALIZED,NOT_AT_ALL,RUSSIAN,ENGLISH,ITALIAN,NIGERIAN,133,5607,5473,0.199,OTHER,1,0,0,0.7015
2021,10647,NATURALIZED_CITIZEN,PHILIPPINES,1984,NATURALIZED,NATIVE,SPANISH,OTHER,ENGLISH,POLISH,24,7246,5182,0.899,FAMILY,0,1,0,0.5554
2025,10648,NATURALIZED_CITIZEN,DOMINICAN_REP,2025,NATURALIZED,NOT_WELL,MANDARIN,MANDARIN,SCOTTISH,NIGERIAN,77,12043,3416,0.312,FAMILY,1,0,0,0.2612
