gov_gfs_reference_year,gov_gfs_country_iso2,gov_gfs_gov_subsector_code,gov_gfs_revenue_total_eur,gov_gfs_expenditure_total_eur,gov_gfs_compensation_employees_eur,gov_gfs_social_benefits_eur,gov_gfs_interest_payments_eur,gov_gfs_gross_fixed_capital_formation_eur,gov_gfs_taxes_on_production_imports_eur,gov_gfs_current_taxes_on_income_wealth_eur,gov_gfs_social_contributions_eur,gov_gfs_capital_taxes_eur,gov_gfs_property_income_eur,gov_gfs_subsidies_eur,gov_gfs_net_lending_borrowing_eur,gov_gfs_function_cofog_code,gov_gfs_eurostat_table_code,gov_gfs_revision_round,gov_gfs_data_extract_date
2023,LT,S1311_CENTRAL,396513542222.22,388398281057.72,132753446242.39,96196095017.23,17057868456.87,22490659176.42,109598833287.18,107416929184.9,34963142534.72,3476445372.46,16575504801.45,10364427317.2,8115261164.5,GF09_EDUCATION,gov_10a_main,FLASH,2024-12-26
2024,PT,S1314_SOCIAL_SECURITY,742940277092.73,766152914923.06,270288618429.75,274682490226.14,36304201331.76,40882142392.1,135167785911.03,191139960542.53,163204213551.43,4233162443.63,26335725962.2,14312028184.87,-23212637830.32,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-03-01
2025,SE,S1313_LOCAL,57805017922.85,60359326708.05,11622896805.14,15915177136.52,1376870884.79,3767204491.46,16376992639.69,10089449234.77,13371601631.97,1171145238.47,1171024008.72,3568843476.3,-2554308785.2,GF01_GENERAL,gov_10a_rev,SECOND,2024-03-29
2026,CY,S1312_STATE,796865466371.75,965954754051.44,219361150809.47,265716957220.3,27516182666.03,40364683665.57,120928925549.2,215044590501.79,203718180991.97,20674555761.83,38414338851.97,55362100158.67,-169089287679.69,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-06-19
2010,FR,S1311_CENTRAL,1186153526063.89,1142116209711.29,301903463946.68,349560083712.96,38627836477.82,57080214317.35,307933468573.16,325334408966.06,209542694195.28,11041663865.25,23597505456.36,36961248916.36,44037316352.6,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-12-05
2011,IT,S1314_SOCIAL_SECURITY,224579829775.13,230885472242.56,44549743485.09,90094662172.71,2551618184.92,18863991090.06,41938223472.62,32670786533.03,50763158882.88,6509382785.77,15571476107.71,2837526952.13,-6305642467.43,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-09-18
2012,NL,S1313_LOCAL,455779720188.14,503763753742.97,119635730103.25,212240969160.48,25217345563.36,18304875591.87,136561477682.22,99609907118.16,116012403667.4,12683838078.61,9347126587.95,20763550621.91,-47984033554.83,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-05-03
2013,SI,S1312_STATE,279715310095.31,333304426117.92,56721046384.57,83408233824.5,11941986738.45,32052348021.73,56889651069.41,58224716302.62,54438688560.06,4217529117.88,6136955797.59,9267837043.26,-53589116022.61,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-03-13
2014,BG,S1311_CENTRAL,633957250590.36,649468723316.27,191471636772.14,188900082932.11,28281269405.73,28606593589.95,116931282222.92,131789344552.48,60642527482.98,10938565203.45,19455774492.71,23373902964.47,-15511472725.91,GF07_HEALTH,gov_10a_main,FLASH,2026-01-14
2015,EE,S1314_SOCIAL_SECURITY,1282028736394.76,1375311644796.63,467317333523.46,604149961331.31,57131568204.5,87947658038.27,322443947124.49,202123807489.37,245825923855.56,24285892042.62,65922747816.87,34482823131.65,-93282908401.87,GF08_RECREATION,gov_10a_exp,FIRST,2025-10-09
2016,HU,S1313_LOCAL,1060598943402.75,1125663577154.34,369631317748.83,514675420412.25,55882589059.27,34545475586.6,246033195381.2,286985777964.68,103088693331.78,28977865084.42,24537810149.56,35161331345.19,-65064633751.59,GF09_EDUCATION,gov_10a_rev,SECOND,2024-04-08
2017,LU,S1312_STATE,1394722010838.96,1285522252313.8,438866336973.04,576097409823.71,45274671853.49,121925366829.7,425359874705.66,264009444498.1,326483185252.88,15722524519.78,64317123434.14,38386957899.83,109199758525.16,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-12-28
2018,RO,S1311_CENTRAL,862602441583.91,997372181089.61,170246750581.22,474321144442.14,55920436057.67,90165778599.35,175495916837.14,132028317856.0,85230066593.39,15343431897.73,29211838987.25,18673711823.58,-134769739505.7,GF01_GENERAL,gov_10a_main,FLASH,2025-07-01
2019,AT,S1314_SOCIAL_SECURITY,1188696094171.2,1122367243863.63,405166788527.68,385290973155.71,57878646960.76,99261516481.58,294646861294.08,179305225709.2,269925195986.22,26397192824.43,59017450750.36,50193177185.9,66328850307.57,GF02_DEFENCE,gov_10a_exp,FIRST,2025-06-29
2020,CZ,S1313_LOCAL,139884684102.99,131811056477.32,29659164439.35,44426584638.58,4498313369.73,10451744527.45,23447095769.62,44734492420.96,35695670899.19,1564640610.58,3805642560.35,7222444620.75,8073627625.67,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-02-16
2021,DE,S1312_STATE,355165744433.2,357686280820.16,94673682976.14,168628061223.84,7962140640.9,13193393855.68,68818701823.2,51903973808.42,93379806189.41,8220680995.92,25881443234.71,9568390134.09,-2520536386.95,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2025-02-25
2022,LV,S1311_CENTRAL,521853650447.92,560407616479.48,144163826267.55,193312010076.24,8575419258.79,48955928985.68,152259483147.63,125510794274.7,113432635586.59,10934527284.65,11826386112.95,16892598246.14,-38553966031.56,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-09-27
2023,PL,S1314_SOCIAL_SECURITY,1064965313993.92,1289015690070.61,399321651965.76,529053521655.97,86314654027.01,41836670954.43,279275692708.13,304127361491.21,130399091087.85,4365823116.99,66567923381.29,59937153536.76,-224050376076.69,GF06_HOUSING,gov_10a_exp,FIRST,2024-04-10
2024,ES,S1313_LOCAL,1553105039054.4,1556618828105.89,468528482576.89,514206366080.83,39648916773.0,106639059372.92,240670194655.95,435987345450.4,300797103582.78,27350228240.17,61535793926.84,72124435499.87,-3513789051.49,GF07_HEALTH,gov_10a_rev,SECOND,2025-01-27
2025,HR,S1312_STATE,88297168521.9,95514196088.71,31276107650.65,31630564037.27,3231159494.31,8320151082.79,26408140073.06,17886156527.08,20091074252.85,1678333513.17,4022551672.9,1431025588.95,-7217027566.81,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-11-09
2026,FI,S1311_CENTRAL,218998539400.22,226205840368.23,75616768683.51,89048907550.98,6503101204.82,19259628704.3,68725018379.28,71227040124.04,36030569595.62,4899834275.85,4538246691.22,4340435386.51,-7207300968.01,GF09_EDUCATION,gov_10a_main,FLASH,2026-01-15
2010,IE,S1314_SOCIAL_SECURITY,732203747573.89,705621000110.78,196656643753.29,274526018249.34,15202040480.23,50942342452.45,195856725822.13,104995127858.43,203862695885.57,3524494886.29,39059920173.41,23638886372.33,26582747463.11,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-04-04
2011,MT,S1313_LOCAL,214478828575.68,251929402331.12,51110020188.43,95477360575.63,5301673719.03,20149864966.57,35445682284.65,34996068651.47,32804367996.46,6100176773.02,14307127205.25,4457370674.29,-37450573755.44,GF01_GENERAL,gov_10a_rev,SECOND,2025-12-24
2012,SK,S1312_STATE,839222643859.16,830497484997.69,247358668181.26,265239144560.08,47522653179.9,37722567788.65,199390374787.89,278501913403.25,194384464018.4,22893349172.89,58684116605.25,8522091582.54,8725158861.48,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-07-28
2013,BE,S1311_CENTRAL,1028800978164.88,1094176328401.29,196159999126.98,381006184447.35,68185020356.96,87977083606.64,314738574250.96,204666696689.92,105053102458.0,607318000.66,19938632451.34,46963022782.8,-65375350236.41,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-09-28
2014,DK,S1314_SOCIAL_SECURITY,219984078173.04,237544838307.63,70917909658.51,61121691661.57,9387586456.82,16326321613.64,69000200674.3,57704260528.33,56736460832.12,5532731450.19,13430356866.81,11005501737.62,-17560760134.59,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-11-14
2015,GR,S1313_LOCAL,554004491604.32,588078293967.53,149320133773.35,263105696405.4,38555973725.54,34040962928.1,84596856307.14,161016281307.59,119100704705.0,4916262314.85,12906499017.56,32749761744.97,-34073802363.21,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2024-05-30
2016,LT,S1312_STATE,1629782203771.51,1615910357449.12,418015981822.55,425403145757.47,69426759993.94,61318792031.11,466998801826.6,552614280656.18,426198123669.9,6471409558.91,68730052883.38,26279619073.77,13871846322.39,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-01-15
2017,PT,S1311_CENTRAL,328080095625.46,391278230022.65,119590241713.71,138743626020.33,12930591160.17,20130003138.52,93475964749.02,105130059506.6,34063782146.43,3689048142.31,25382033035.79,17199811023.45,-63198134397.19,GF07_HEALTH,gov_10a_main,FLASH,2024-08-31
2018,SE,S1314_SOCIAL_SECURITY,283299352970.0,334017769821.24,63114286365.35,121447065519.07,5495934158.06,27151576025.39,45059469277.08,85749126938.54,43976709390.59,759528464.01,20270005333.05,9173824145.14,-50718416851.24,GF08_RECREATION,gov_10a_exp,FIRST,2025-11-10
2019,CY,S1313_LOCAL,197716793401.15,188001601803.64,47898489383.67,57311709842.18,8484045732.33,16862823116.95,30211157244.77,63183205066.51,23387407518.16,1049222163.92,6613967145.93,8642908863.5,9715191597.51,GF09_EDUCATION,gov_10a_rev,SECOND,2025-12-05
2020,FR,S1312_STATE,621172592406.48,730421838933.56,212587824985.36,293912915870.38,28558933659.47,63579882729.41,134904620137.87,191873177456.2,172622068283.85,777767167.26,28128761086.12,39655772744.04,-109249246527.08,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-06-24
2021,IT,S1311_CENTRAL,554537334210.52,578912048571.87,169430417268.89,276098850503.21,36844422067.06,37535727534.03,107949129249.22,146182973840.13,137343607872.86,7225209106.28,36261039885.65,26068703450.88,-24374714361.35,GF01_GENERAL,gov_10a_main,FLASH,2024-08-29
2022,NL,S1314_SOCIAL_SECURITY,959249028218.22,1044609413885.41,223002934965.58,246084386713.53,14344671026.96,58718820534.9,262952594966.62,262029580681.78,162037676353.31,23671124397.35,58364061318.03,13509365861.34,-85360385667.18,GF02_DEFENCE,gov_10a_exp,FIRST,2025-12-22
2023,SI,S1313_LOCAL,828817731991.18,977427528603.9,239236592149.88,286390026098.97,64381957029.73,92490805195.29,242625964870.79,188432986996.78,184987926523.8,13101616411.97,42411194177.92,16100985206.59,-148609796612.72,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-12-25
2024,BG,S1312_STATE,174725519925.78,189530676093.66,38579513601.51,63418498341.06,4806583309.54,6721207750.38,41434208607.07,25191047428.67,43931143831.23,5223869647.56,12939267813.44,9957918468.52,-14805156167.88,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2025-04-10
2025,EE,S1311_CENTRAL,81494723206.79,78419317387.09,20993688407.94,21742493760.89,789806025.81,3439221236.09,17235373680.73,17314595889.09,11848050258.09,2137187298.32,5530420207.37,2177381624.34,3075405819.71,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-09-13
2026,HU,S1314_SOCIAL_SECURITY,1287786071574.3,1345257935434.55,374529777524.6,475474331969.74,49025817423.16,98707079057.58,357637920885.56,405552164649.78,122903982336.22,26707646378.4,55155662679.48,21924743509.73,-57471863860.25,GF06_HOUSING,gov_10a_exp,FIRST,2025-02-03
2010,LU,S1313_LOCAL,721646529238.39,684782074029.61,250703136900.87,251304464194.69,14094713125.84,25135740071.24,138873082620.39,149178696548.89,115820429292.6,14898964663.77,44071979027.26,11889133358.11,36864455208.78,GF07_HEALTH,gov_10a_rev,SECOND,2024-01-05
2011,RO,S1312_STATE,953826943842.88,1138517689157.63,357750335064.78,344993371510.14,60671373435.88,73349732389.38,275906229981.81,201525560217.7,189146493303.99,265318251.28,69020933033.39,45639593166.75,-184690745314.76,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-02-05
2012,AT,S1311_CENTRAL,269228108062.17,319193195810.01,88991191366.02,127054271368.26,3658565139.37,12086549880.66,76307181939.62,50542449127.91,25177642898.61,478947963.57,5318790372.88,15469543947.33,-49965087747.84,GF09_EDUCATION,gov_10a_main,FLASH,2024-07-04
2013,CZ,S1314_SOCIAL_SECURITY,461441880994.88,454968092025.6,114459453683.55,217793322309.85,26380747627.95,29512386237.92,80250178603.32,90979124397.47,77016745792.75,7948199216.41,5650940143.5,18598381043.18,6473788969.29,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-09-14
2014,DE,S1313_LOCAL,414149474878.67,438667498612.52,105712127413.37,100290988969.94,10685747819.45,32546798785.21,103149773409.3,119986268029.06,66681976897.73,2226529114.17,19511186490.52,21982365945.36,-24518023733.84,GF01_GENERAL,gov_10a_rev,SECOND,2024-01-19
2015,LV,S1312_STATE,1096472993544.25,1210461023404.43,198598833848.17,507537550895.84,14859210773.35,83517286415.82,302609358512.72,265939838118.09,137080747048.9,8747656078.12,78074078819.6,58361944131.31,-113988029860.18,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-07-08
2016,PL,S1311_CENTRAL,57803454376.26,61640003559.37,21808361475.28,22200971405.17,1146343401.02,5824624949.4,10059663242.02,13499878395.55,10683095464.65,408097820.65,2922845664.48,3025584816.65,-3836549183.11,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-02-07
2017,ES,S1314_SOCIAL_SECURITY,1398201319445.83,1623480310344.11,383240990361.51,771820911277.11,21125262899.07,57765761019.61,214439533706.26,337299339228.73,175384467799.37,22647720495.29,33331654706.59,56913406299.05,-225278990898.27,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-11-07
2018,HR,S1313_LOCAL,970431696729.45,1019561557198.52,267704326560.94,237760431780.82,15847463350.39,55949045208.03,303894842282.53,239227055123.6,110484136875.02,18787365169.22,64484649945.26,59682316959.44,-49129860469.07,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-05-06
2019,FI,S1312_STATE,1141559337410.52,1370807701811.64,397814867460.12,343688910894.76,36107345234.12,115300614608.46,177148415178.13,204000371293.45,263360936899.3,2257050025.94,83775065903.71,15431624563.14,-229248364401.12,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-03-20
2020,IE,S1311_CENTRAL,893896799377.98,1067954568544.29,331644617888.87,413305176868.09,24149072504.77,106554780103.0,232534004373.93,273262530310.53,86125300526.52,2117573471.04,57887924498.06,63139842706.71,-174057769166.32,GF07_HEALTH,gov_10a_main,FLASH,2024-11-25
2021,MT,S1314_SOCIAL_SECURITY,439665578935.1,477857588645.99,109432276270.77,181138529633.78,22655395655.3,22529820819.14,134941728780.0,80377495570.75,40075769771.77,221909956.59,11486890450.71,22914650660.4,-38192009710.9,GF08_RECREATION,gov_10a_exp,FIRST,2025-11-03
2022,SK,S1313_LOCAL,346005408431.28,326820702454.16,86927760908.86,132746329677.07,17267823679.54,31634293154.06,95292891528.0,107191453231.19,64329737331.05,1167968274.17,24995444099.48,15300609981.22,19184705977.12,GF09_EDUCATION,gov_10a_rev,SECOND,2024-02-25
2023,BE,S1312_STATE,1340908731040.47,1501262927078.0,406339343221.69,682308803735.59,100816559140.63,47323001661.2,329312465456.45,305001208215.37,175648518043.83,13464727091.33,71866075431.6,75499384287.58,-160354196037.53,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-12-02
2024,DK,S1311_CENTRAL,1575013842281.0,1719090002111.99,308482382048.24,670066352295.83,110109863139.73,149773293237.1,246705330919.23,504988740792.39,255987515005.87,3588134247.96,37757153611.31,78135673571.69,-144076159830.99,GF01_GENERAL,gov_10a_main,FLASH,2024-04-30
2025,GR,S1314_SOCIAL_SECURITY,179038334217.39,207946544002.14,39656135721.33,98839654504.37,5638953139.15,7661626488.31,39922188701.2,27032288535.07,15633364600.72,5105855745.07,3193372544.54,10530802378.82,-28908209784.75,GF02_DEFENCE,gov_10a_exp,FIRST,2024-11-06
2026,LT,S1313_LOCAL,1799948560983.66,2006145859486.95,520816829065.89,910247194990.86,137743768145.81,145137859961.57,374997482032.56,390683860854.81,487443837647.9,2196771882.55,97706508739.41,88915799833.85,-206197298503.29,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2026-01-31
2010,PT,S1312_STATE,685870247067.9,833271383142.23,177923314385.33,280261010486.06,25774748685.72,36009793747.72,216349179176.88,122142547258.7,79388644543.59,3041755094.02,42367738690.88,13084281483.55,-147401136074.33,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2025-03-23
2011,SE,S1311_CENTRAL,513799944905.56,588378436665.18,185983058800.05,168247422867.13,30658795141.12,50410838368.61,156392897259.85,168418418942.23,82796836129.74,11263771211.72,31549516564.95,6423385275.54,-74578491759.61,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-11-22
2012,CY,S1314_SOCIAL_SECURITY,768734848495.01,859207164123.99,194625714381.02,370197933799.53,28512634236.95,54725378635.94,132813393673.48,229013857022.43,80868308466.26,14947468831.88,60690189157.12,28892767783.5,-90472315628.98,GF06_HOUSING,gov_10a_exp,FIRST,2024-09-27
2013,FR,S1313_LOCAL,92995715384.14,90253304589.66,21821878838.83,31971788834.51,2083578467.22,5467071417.81,19056463824.35,15664860086.89,15682812949.45,191855039.28,7280739421.82,4275869288.95,2742410794.48,GF07_HEALTH,gov_10a_rev,SECOND,2024-10-18
2014,IT,S1312_STATE,917689752501.04,880615016375.66,285102245179.11,404076057138.24,39330682795.22,77723708409.01,280719960598.29,140324138092.47,112171163060.87,20403217315.27,23561177223.18,31590762167.08,37074736125.38,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-01-16
2015,NL,S1311_CENTRAL,42155827886.72,45013478887.24,8474925981.26,17702732915.51,1260228622.5,3281460068.6,8952472562.14,9513375631.03,7338822119.88,716852149.65,2152026062.93,1840191670.55,-2857651000.52,GF09_EDUCATION,gov_10a_main,FLASH,2025-11-17
2016,SI,S1314_SOCIAL_SECURITY,127318788713.6,146412039418.47,30000486456.1,32281570676.88,3019886752.94,8353491369.62,29427139846.57,22639916305.35,19127481901.22,335879001.03,3358867917.12,3202540199.56,-19093250704.86,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2024-10-19
2017,BG,S1313_LOCAL,408922137771.8,473858652090.61,80462618774.05,120758994658.36,13473290996.67,26145564553.19,106779423905.02,57672604458.65,111955143240.09,962692228.88,32664576902.3,23118515380.28,-64936514318.8,GF01_GENERAL,gov_10a_rev,SECOND,2024-11-04
2018,EE,S1312_STATE,514442674004.1,593183486960.59,192110161329.49,216738841339.52,22064373200.57,46273043520.55,126315821438.48,151260518238.29,49098271353.16,2499897030.93,7112111665.67,13733231220.8,-78740812956.49,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-10-04
2019,HU,S1311_CENTRAL,1064220411206.27,1294214003230.7,212248120191.88,346801769127.25,71540035844.78,128510536665.26,288955497955.04,276018605299.2,200684344722.27,7066097174.4,77921028592.28,51673592045.86,-229993592024.43,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-09-08
2020,LU,S1314_SOCIAL_SECURITY,911265468758.9,1022212960166.06,171568735156.33,490517714407.98,39548810688.97,81895804643.26,229288344754.75,230436168606.43,139769806584.21,5188308527.34,28658193085.46,24952839410.35,-110947491407.16,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-03-20
2021,RO,S1313_LOCAL,62712986896.26,64937295735.73,19803798868.05,17355377077.35,1663511852.64,3581863527.29,19287366381.39,13710343350.9,13250153455.37,1763442126.34,1113378592.0,1859532321.35,-2224308839.46,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2024-09-17
2022,AT,S1312_STATE,935309068194.82,1052763146538.89,213685534932.93,321268689847.98,67537311413.12,68350570523.76,247035706350.46,315865311769.59,128955688699.14,25793740064.48,67960683736.96,43107603592.94,-117454078344.07,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-07-10
2023,CZ,S1311_CENTRAL,1437548835007.15,1369166770077.63,418200547263.9,566841646426.5,82196818853.4,54857770122.99,413528379547.03,439552826618.46,249772549148.8,31893244040.24,54239537785.6,33641642175.61,68382064929.52,GF07_HEALTH,gov_10a_main,FLASH,2024-11-21
2024,DE,S1314_SOCIAL_SECURITY,275677695470.9,300850027357.17,93008213783.69,143124245761.97,13483350632.51,12360736227.32,47355392807.28,67800671089.82,66051252201.57,1066482642.12,6286049917.67,12842151743.56,-25172331886.27,GF08_RECREATION,gov_10a_exp,FIRST,2024-07-28
2025,LV,S1313_LOCAL,1032543030528.32,1241424037598.11,219694789202.52,281791646567.38,27308039695.17,86701934481.34,203144137293.01,253116233494.33,138719155437.98,27686013634.49,26695025188.33,60437537638.7,-208881007069.79,GF09_EDUCATION,gov_10a_rev,SECOND,2024-10-16
2026,PL,S1312_STATE,283642811284.17,329583148744.26,95695667674.06,123422974913.96,3299438689.74,27433195271.13,59607201498.6,71488552215.68,72404496027.73,5058996567.88,9661947013.46,15240867662.16,-45940337460.09,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-04-20
2010,ES,S1311_CENTRAL,1037051403155.57,1259723855653.51,309614486484.1,295394692231.44,18771597001.16,86674328619.02,294092929273.04,279046940595.3,215156436150.75,16076910401.34,50503305545.12,65000128393.11,-222672452497.94,GF01_GENERAL,gov_10a_main,FLASH,2025-12-08
2011,HR,S1314_SOCIAL_SECURITY,688268875203.16,837540621356.19,159394046910.65,327109356035.92,34981828984.23,58698068102.32,208637687879.23,193241905191.26,171935093220.68,11404103793.25,13706103328.15,31762093177.18,-149271746153.03,GF02_DEFENCE,gov_10a_exp,FIRST,2024-02-04
2012,FI,S1313_LOCAL,777397216455.97,878646774626.65,220656427136.41,293418994311.95,24969132007.55,65732021083.27,135866466856.48,165247714270.88,163227092028.89,14090715474.59,40964954402.52,27753829465.55,-101249558170.68,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-03-07
2013,IE,S1312_STATE,588316559770.9,596709237669.83,151890918668.52,224678871625.71,35621041938.71,19081767582.13,177424816173.81,179306080068.34,87659533305.47,3382419785.75,6510975912.17,29695550795.9,-8392677898.93,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2026-01-04
2014,MT,S1311_CENTRAL,453235439027.14,432778037207.78,148040524929.91,182105937173.51,29316726677.67,23659611461.47,142918337881.05,110614567263.76,56497899744.52,3205262550.39,15574908805.53,20857340503.86,20457401819.37,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-09-24
2015,SK,S1314_SOCIAL_SECURITY,1060503613088.79,1144027000385.64,261778052549.62,509617247289.4,17012083858.61,58430588397.44,335170257142.33,173367983727.15,120711028617.93,20515795281.0,14932279778.96,66196324930.24,-83523387296.85,GF06_HOUSING,gov_10a_exp,FIRST,2025-02-25
2016,BE,S1313_LOCAL,913547480544.37,858755432718.52,316517068521.85,253991625691.41,47463665455.0,73080701584.26,160606598943.39,133001468910.68,214424008271.32,17267467420.07,47816884587.68,50634837508.81,54792047825.86,GF07_HEALTH,gov_10a_rev,SECOND,2024-06-06
2017,DK,S1312_STATE,306118406693.81,342297883251.68,90843988924.34,140651012352.86,18095477347.22,23701267052.46,71672065934.05,84751467927.33,41905268992.02,5569461132.48,3164199163.29,12243938223.41,-36179476557.87,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-07-04
2018,GR,S1311_CENTRAL,1097267684377.41,1318753498955.49,351376565534.74,387018239943.41,64588694880.19,65047073092.66,190676985871.44,363883383971.91,278182327581.23,799202902.57,44913130472.39,20517754620.88,-221485814578.08,GF09_EDUCATION,gov_10a_main,FLASH,2024-08-24
2019,LT,S1314_SOCIAL_SECURITY,110341517906.72,107293679153.69,31926548168.03,29290517018.31,1686860185.88,5149661447.19,24136488402.96,17532522686.08,13423917344.57,315507577.71,7774252695.63,2702951609.37,3047838753.03,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2024-01-31
2020,PT,S1313_LOCAL,524941596152.75,561708737272.16,147697993894.92,140409894053.98,14548676786.36,28443929690.33,122106045005.47,150942491073.39,64758199799.05,15440582460.06,28749509804.04,32158358630.45,-36767141119.41,GF01_GENERAL,gov_10a_rev,SECOND,2024-06-23
2021,SE,S1312_STATE,577514777406.75,679406985953.39,130593582173.62,253166895983.45,28015115708.07,60053728204.72,90982790406.48,115221091180.27,157648832426.73,12403091104.01,41675676738.2,22818062848.58,-101892208546.64,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-12-16
2022,CY,S1311_CENTRAL,1504450707362.34,1725941736717.74,490209291062.09,611969405023.31,120059893902.96,121089299430.57,310662510053.46,341719221043.4,239672561021.25,28222643362.67,17206932318.82,75487502414.21,-221491029355.4,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-04-30
2023,FR,S1314_SOCIAL_SECURITY,404369065334.06,395360383306.03,125790915782.62,131807076324.01,21818730921.64,15102109378.82,99722727546.99,70843336469.0,70132349989.51,1984615101.99,22981919218.35,15745443551.35,9008682028.03,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-07-25
2024,IT,S1313_LOCAL,1161716676512.05,1221076471879.46,313812731286.94,534651116270.01,60985914606.7,47160774186.81,178776040602.2,355350054595.59,199416330731.84,1270922632.85,42966144606.31,12858233352.58,-59359795367.4,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-06-16
2025,NL,S1312_STATE,571664993429.67,646090359836.31,118656056473.4,265658409163.53,8145347137.58,35425309594.46,143533383499.71,168830534417.66,97953242626.86,1404448862.94,27304341650.85,16198227115.75,-74425366406.63,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-07-04
2026,SI,S1311_CENTRAL,379426168712.29,434625650714.86,75676417662.75,96790198767.15,14559486480.23,25137442063.33,95092930915.21,125996198786.07,57778547655.0,3597749313.39,16485466099.4,12537645877.53,-55199482002.57,GF07_HEALTH,gov_10a_main,FLASH,2025-12-02
2010,BG,S1314_SOCIAL_SECURITY,311002477389.75,349759998296.8,84256378622.07,96695994245.7,15423447289.43,15243319424.68,62017365125.54,46111410580.92,65738708430.51,9171862432.81,15918345283.16,4268462435.63,-38757520907.05,GF08_RECREATION,gov_10a_exp,FIRST,2025-07-15
2011,EE,S1313_LOCAL,1093811413831.95,1301154416090.88,215060300968.17,484598613963.33,22262815567.84,94789322221.74,225822320178.71,228715663126.9,104604832979.11,22039098013.57,75706969413.38,22614230629.04,-207343002258.93,GF09_EDUCATION,gov_10a_rev,SECOND,2024-12-30
2012,HU,S1312_STATE,861600106430.77,941866847821.56,299017477619.6,381683292856.13,16204142756.84,45048915534.41,199562142698.75,231547812391.44,224999393813.7,24149969616.17,54337322896.38,49506169594.22,-80266741390.79,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-02-20
2013,LU,S1311_CENTRAL,755063205850.19,755586892900.32,181267738776.93,262903430210.56,46048967271.36,41402641784.37,171313869543.16,136013337275.77,206547603323.43,4589581893.63,32763088849.43,13271547372.28,-523687050.13,GF01_GENERAL,gov_10a_main,FLASH,2025-01-12
2014,RO,S1314_SOCIAL_SECURITY,1307307311637.55,1304524926036.94,409249678045.8,440120057869.68,77007990744.57,123246838110.73,366642018279.26,222352053958.2,176192820335.63,475014436.12,96413337598.14,54329238549.17,2782385600.61,GF02_DEFENCE,gov_10a_exp,FIRST,2025-11-06
2015,AT,S1313_LOCAL,1415017200849.28,1523318519133.99,313381848878.38,621491415344.39,82383782102.01,98530968755.28,393056855769.68,439788090972.95,279515053571.2,6679694307.86,42068805376.58,37082695450.83,-108301318284.72,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-05-25
