trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_miles_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_miles_traveled,trans_transit_farebox_revenue_usd,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2020-05-20,GTFS00147,R0000506,BUS,282,239,67.7,7.81,219457,226658,0.334,21957.48,5077.51,20130.9,30297.87,3.31,50,78.84,13.3,4584
2020-05-21,GTFS00148,R0000507,SUBWAY,1336,1211,71.85,29.56,129964,194450,1.063,12459.54,1005.19,9187.87,6909320.23,10.69,280,76.07,6.99,5881
2020-05-22,GTFS00149,R0000508,RAIL,388,394,96.81,35.56,142108,219193,1.672,15150.01,16827.63,12925.59,4806132.25,7.02,459,98.57,4.76,3519
2020-05-23,GTFS00150,R0000509,BUS,146,117,75.39,20.05,209400,227299,1.345,3555.64,1837.51,3184.4,6661546.36,11.24,24,75.12,1.07,2253
2020-05-24,GTFS00151,R0000510,RAIL,144,139,61.51,39.45,71258,197686,1.212,2449.43,10095.92,2280.73,4819128.17,14.83,293,87.37,16.9,6336
2020-05-25,GTFS00152,R0000511,BUS,391,313,81.7,17.28,195224,245071,1.401,268.51,7475.17,259.46,3669847.54,8.87,202,95.7,7.92,947
2020-05-26,GTFS00153,R0000512,BUS,307,271,82.54,10.82,22457,208946,0.824,558.93,4169.03,469.19,1892157.84,7.22,383,95.66,14.56,3787
2020-05-27,GTFS00154,R0000513,RAIL,1279,1218,92.36,19.49,44235,185715,0.737,1709.16,7073.65,1062.29,3638092.18,17.41,266,74.66,15.56,2420
2020-05-28,GTFS00155,R0000514,FERRY,972,732,59.65,21.49,72329,158291,1.021,14313.75,15009.14,11744.59,3855118.49,14.57,242,76.76,2.05,2166
2020-05-29,GTFS00156,R0000515,SUBWAY,1276,1093,78.16,26.42,23525,53136,1.72,6943.44,15860.75,5523.85,1101867.48,14.6,416,95.68,11.74,1941
2020-05-30,GTFS00157,R0000516,BUS,1234,1215,68.62,29.63,244431,36993,0.117,2862.6,3646.7,1909.65,6704092.29,14.01,232,82.9,8.28,1227
2020-05-31,GTFS00158,R0000517,BUS,317,246,62.22,16.3,113716,238543,0.181,12604.2,5728.79,10096.52,6226138.24,3.55,133,87.43,14.48,6452
2020-06-01,GTFS00159,R0000518,RAIL,690,561,56.71,24.45,183663,103283,0.221,13492.97,15642.75,12422.35,4726497.55,1.74,335,77.95,17.27,3483
2020-06-02,GTFS00160,R0000519,BUS,467,369,70.35,26.94,27056,27239,0.481,4160.34,16430.1,3311.6,1131954.28,7.4,237,71.71,3.83,1279
2020-06-03,GTFS00161,R0000520,SUBWAY,111,105,73.35,6.62,176452,129129,0.76,1749.47,10904.28,1494.04,511478.58,15.59,221,84.13,14.23,3729
2020-06-04,GTFS00162,R0000521,BUS,1357,1224,83.7,39.92,155161,247685,0.325,7100.68,17323.03,5167.17,5167570.69,6.24,478,84.11,5.89,1478
2020-06-05,GTFS00163,R0000522,BUS,869,867,95.44,18.54,211273,155172,0.268,12941.29,8062.56,8705.03,3120336.05,6.82,295,82.86,8.08,2588
2020-06-06,GTFS00164,R0000523,FERRY,781,777,89.76,25.84,37229,61863,1.606,9976.93,999.06,6332.3,6708515.56,11.88,244,82.84,5.82,1384
2020-06-07,GTFS00165,R0000524,BUS,497,435,69.95,24.93,92345,36606,1.023,8183.58,7485.12,6511.2,4423799.93,2.78,469,95.47,5.41,2743
2020-06-08,GTFS00166,R0000525,BUS,175,168,93.18,32.86,200124,65182,0.588,14475.58,4863.66,10505.13,5549922.45,10.05,332,81.33,13.13,4864
2020-06-09,GTFS00167,R0000526,BUS,415,407,96.9,26.62,224237,135015,1.171,16686.83,3778.31,11197.12,5518081.4,8.85,439,70.14,15.72,2732
2020-06-10,GTFS00168,R0000527,BUS,114,94,81.44,30.44,201968,235496,1.619,20186.28,9230.36,18612.68,5253845.63,15.29,466,86.45,3.16,4944
2020-06-11,GTFS00169,R0000528,BUS,296,245,84.17,29.95,57201,53169,1.218,3997.3,8480.19,3897.11,2240830.45,1.96,364,70.42,5.82,5795
2020-06-12,GTFS00170,R0000529,RAIL,775,669,90.07,23.0,30498,55484,0.412,16324.23,17708.5,15761.83,3135929.4,10.33,34,98.26,0.02,1866
2020-06-13,GTFS00171,R0000530,BUS,1423,1128,56.4,33.17,5254,232486,0.43,16303.22,14116.85,13962.58,3822709.21,2.34,29,95.59,7.04,3598
2020-06-14,GTFS00172,R0000531,RAIL,1356,1318,88.16,11.11,174337,61253,1.691,17001.28,1617.43,13791.08,2041484.98,12.18,477,94.33,17.63,2120
2020-06-15,GTFS00173,R0000532,RAIL,63,53,73.2,19.75,68012,60385,1.119,12625.36,16915.03,9905.95,2887558.63,15.91,395,77.56,17.76,3311
2020-06-16,GTFS00174,R0000533,RAIL,533,509,94.12,24.35,195379,247249,1.212,9826.17,7609.58,8292.49,5584154.4,1.94,39,96.11,11.49,6438
2020-06-17,GTFS00175,R0000534,BUS,1149,1085,74.63,35.01,23516,39664,0.802,4218.85,9453.57,3634.48,920837.37,5.75,276,90.19,10.62,4389
2020-06-18,GTFS00176,R0000535,BUS,871,853,68.55,35.55,101419,116597,1.309,4668.23,12953.09,3842.91,1787443.42,4.71,198,76.08,10.25,5276
2020-06-19,GTFS00177,R0000536,BUS,1444,1338,69.8,8.59,30586,76511,0.381,8696.35,17435.09,8572.81,5975958.33,3.65,120,85.31,7.71,2361
2020-06-20,GTFS00178,R0000537,BUS,399,337,59.56,28.97,75413,180085,1.769,17037.38,3132.15,13837.04,5312211.19,16.41,67,93.01,6.04,47
2020-06-21,GTFS00179,R0000538,RAIL,140,125,77.76,13.0,53944,110056,1.485,18597.11,1148.9,12114.08,3650357.22,15.42,210,95.07,14.06,1961
2020-06-22,GTFS00180,R0000539,SUBWAY,491,447,90.99,35.53,158812,119964,1.034,9640.03,15953.57,9157.31,2503246.3,16.46,9,97.95,14.87,2899
2020-06-23,GTFS00001,R0000540,GONDOLA,911,872,82.91,21.77,24903,148964,1.538,17.39,5108.08,14.07,2316523.4,9.14,381,70.23,10.47,4874
2020-06-24,GTFS00002,R0000541,BUS,503,458,83.01,24.04,21277,245605,1.049,5538.52,5910.75,4321.95,4028586.58,2.49,305,93.33,6.68,638
2020-06-25,GTFS00003,R0000542,BUS,696,558,80.89,34.91,130535,207454,0.928,16402.51,8278.73,14336.0,1746378.68,14.29,267,75.65,17.38,1896
2020-06-26,GTFS00004,R0000543,BUS,570,444,95.87,4.59,67709,21208,1.367,1260.24,16840.44,1237.84,2642087.09,17.52,127,94.19,16.44,3303
2020-06-27,GTFS00005,R0000544,GONDOLA,265,239,89.71,21.55,188937,247900,0.928,9491.07,9804.68,5919.31,3189133.23,9.81,345,81.05,1.31,2467
2020-06-28,GTFS00006,R0000545,BUS,1035,1034,76.31,28.31,146748,99537,0.999,13810.19,2053.58,8740.34,511462.21,14.91,274,75.8,17.36,595
2020-06-29,GTFS00007,R0000546,BUS,1391,1359,95.6,13.38,29512,56545,1.61,639.45,14148.18,477.24,2094804.07,4.9,80,93.15,11.51,375
2020-06-30,GTFS00008,R0000547,FERRY,1184,909,80.84,8.39,164348,246547,1.379,18080.03,6873.7,11267.21,1214759.19,13.12,191,74.09,8.86,470
2020-07-01,GTFS00009,R0000548,RAIL,837,837,93.54,7.92,224038,245777,0.445,13468.4,3174.81,11733.22,6145270.62,8.42,59,88.13,16.72,989
2020-07-02,GTFS00010,R0000549,FERRY,213,196,83.94,24.84,100571,235805,1.347,6156.64,11266.3,4671.93,4448011.32,9.87,436,98.35,13.21,5231
2020-07-03,GTFS00011,R0000550,FERRY,1111,1037,62.23,4.97,204759,78207,1.325,4659.92,8658.22,3222.11,163450.27,9.39,128,82.19,1.14,957
2020-07-04,GTFS00012,R0000551,BUS,1153,1020,98.01,7.5,183386,29576,0.539,5749.36,5115.67,4681.64,2071408.69,16.74,359,95.94,12.61,282
2020-07-05,GTFS00013,R0000552,BUS,162,135,76.0,9.37,77084,31438,1.394,20389.21,4287.4,17392.51,5943772.28,3.69,297,82.28,15.09,4884
2020-07-06,GTFS00014,R0000553,BUS,878,705,98.56,6.42,79087,127546,1.165,11952.03,2163.64,9499.71,4663660.27,6.19,57,97.46,9.08,1304
2020-07-07,GTFS00015,R0000554,RAIL,1497,1251,68.51,29.78,152453,16015,1.24,8365.21,9528.24,5926.02,5131833.29,9.04,380,92.03,13.17,5757
2020-07-08,GTFS00016,R0000555,BUS,812,826,93.91,35.62,22758,217547,1.573,11173.13,11212.36,7081.43,5398369.73,9.49,361,85.92,0.34,2264
2020-07-09,GTFS00017,R0000556,BUS,659,560,98.48,38.5,2828,83638,1.096,12149.85,11949.91,9852.8,607185.17,4.82,472,91.6,10.07,3141
2020-07-10,GTFS00018,R0000557,BUS,360,318,98.44,10.79,210205,85792,1.585,14504.93,14357.88,10662.08,1359045.1,7.43,65,78.38,10.05,3244
2020-07-11,GTFS00019,R0000558,BUS,1389,1051,74.97,36.13,224899,77247,1.339,758.83,13475.27,724.91,5873329.3,8.4,397,74.32,14.69,6271
2020-07-12,GTFS00020,R0000559,BUS,240,242,72.66,10.41,241064,24759,0.351,13967.87,5657.23,9769.76,4302136.15,1.05,435,85.99,10.34,5466
2020-07-13,GTFS00021,R0000560,RAIL,699,525,72.89,25.16,143100,131388,1.461,15575.91,6666.4,9567.3,5098140.82,16.94,17,76.15,11.43,1540
2020-07-14,GTFS00022,R0000561,BUS,640,538,67.73,19.89,190589,111421,1.299,3706.21,6849.92,3254.82,6249786.96,11.42,442,73.79,1.65,6426
2020-07-15,GTFS00023,R0000562,BUS,1164,1124,72.52,5.04,115589,33217,1.501,1339.92,9463.54,947.55,2256399.27,8.11,457,84.84,15.1,5114
2020-07-16,GTFS00024,R0000563,BUS,50,44,86.26,30.41,213082,152901,1.615,664.56,603.85,553.87,171814.51,15.11,309,86.88,7.44,5414
2020-07-17,GTFS00025,R0000564,BUS,579,487,97.36,31.22,17924,203508,0.608,4203.17,1848.11,3310.66,1406400.75,2.74,60,73.53,1.31,4236
2020-07-18,GTFS00026,R0000565,BUS,1426,1089,79.07,32.58,113069,81876,1.433,14682.76,9370.16,11671.11,2122593.64,6.86,132,70.37,4.68,1801
2020-07-19,GTFS00027,R0000566,TRAM,1159,950,78.04,35.15,56296,65457,1.781,11295.79,269.25,9623.68,3606254.64,0.27,175,72.9,8.26,2978
2020-07-20,GTFS00028,R0000567,BUS,392,323,87.39,37.91,224445,148334,1.629,5079.2,3105.28,5011.12,7015440.28,4.56,439,86.61,3.78,1057
2020-07-21,GTFS00029,R0000568,BUS,368,312,61.02,23.68,67854,87959,0.989,11794.1,1681.03,7618.65,3454426.56,17.19,386,75.18,14.23,3897
2020-07-22,GTFS00030,R0000569,BUS,802,628,65.11,11.63,103931,167987,0.752,17788.22,11432.74,11146.83,4772801.13,17.96,362,88.94,7.32,3824
2020-07-23,GTFS00031,R0000570,BUS,1350,1244,97.46,8.66,47723,73297,1.705,19300.76,5649.83,13446.09,2425438.01,0.45,238,73.72,2.6,5682
2020-07-24,GTFS00032,R0000571,TRAM,1199,1197,72.66,26.25,132483,72948,0.375,15401.71,16391.54,10638.38,5839057.94,17.47,378,85.22,6.63,6152
2020-07-25,GTFS00033,R0000572,TRAM,1108,840,61.45,28.41,20369,95831,1.078,21381.83,7899.46,17729.67,2050148.64,5.49,243,97.5,13.63,820
2020-07-26,GTFS00034,R0000573,BUS,276,219,73.43,32.42,124155,150531,1.455,11363.51,1615.3,8018.0,3468174.16,17.03,78,94.06,17.73,3486
2020-07-27,GTFS00035,R0000574,BUS,699,702,71.27,35.39,64606,5771,0.387,5921.2,17785.45,4930.39,2293962.69,7.75,217,85.3,9.92,156
2020-07-28,GTFS00036,R0000575,BUS,994,840,60.41,9.37,105982,209672,1.779,7714.67,7505.92,5659.69,7188579.78,0.62,191,90.96,1.02,2934
2020-07-29,GTFS00037,R0000576,SUBWAY,1343,1068,91.17,15.78,180906,10667,0.763,2061.58,13872.95,1829.68,4748936.48,15.46,362,78.78,8.98,1914
2020-07-30,GTFS00038,R0000577,BUS,879,856,61.89,34.46,242613,45663,0.682,12993.81,152.48,12990.95,3446120.77,14.78,246,91.64,15.13,4171
2020-07-31,GTFS00039,R0000578,RAIL,523,503,62.24,24.41,109720,40316,0.949,19233.9,7873.49,15278.58,6498268.36,10.19,282,84.77,9.97,5675
2020-08-01,GTFS00040,R0000579,TRAM,889,717,80.73,35.51,237830,10417,1.564,18699.19,2498.35,15340.89,5025517.36,4.87,162,93.15,10.47,6347
2020-08-02,GTFS00041,R0000580,SUBWAY,555,439,63.89,6.3,237020,211879,1.013,9939.51,13018.51,7477.03,6011795.67,9.87,124,83.3,6.6,6364
2020-08-03,GTFS00042,R0000581,BUS,407,372,98.34,27.89,92529,83381,1.683,9607.03,16915.39,6316.96,1064380.52,13.06,310,95.05,8.26,4059
2020-08-04,GTFS00043,R0000582,RAIL,494,500,86.94,22.82,245884,7278,1.409,20681.71,16981.68,12653.21,2742224.83,8.11,471,86.97,16.31,2014
2020-08-05,GTFS00044,R0000583,BUS,740,638,95.61,35.81,56465,111624,1.553,6956.3,7395.79,4395.79,6591838.72,3.88,295,83.05,2.19,3517
2020-08-06,GTFS00045,R0000584,RAIL,430,326,74.19,11.01,86988,205581,1.271,11588.51,10348.42,10756.24,829524.04,1.36,235,71.38,17.45,5603
2020-08-07,GTFS00046,R0000585,SUBWAY,415,395,93.94,25.35,243244,193625,0.299,11286.35,1933.69,8210.94,280697.13,14.03,305,89.71,8.87,1617
2020-08-08,GTFS00047,R0000586,BUS,1470,1128,86.43,37.27,100858,107907,0.709,11487.97,13174.54,11047.27,2044820.48,7.93,20,87.98,16.79,5988
2020-08-09,GTFS00048,R0000587,BUS,1039,976,82.82,8.23,208473,89126,1.438,21666.1,5085.19,20756.74,4804775.44,2.61,304,72.0,10.07,6422
2020-08-10,GTFS00049,R0000588,RAIL,1311,1140,76.41,17.72,80081,62643,0.988,9267.09,16050.44,8486.68,1104231.3,5.05,125,83.41,10.03,2394
2020-08-11,GTFS00050,R0000589,BUS,990,764,92.4,14.4,170381,10191,0.244,15257.8,401.46,11033.92,4184292.45,12.53,257,81.31,4.18,5776
2020-08-12,GTFS00051,R0000590,BUS,769,767,66.61,16.01,3793,35293,1.29,9200.63,7410.32,5908.8,2252332.97,3.68,0,84.77,15.23,1875
2020-08-13,GTFS00052,R0000591,BUS,288,275,69.16,22.96,143217,220895,0.541,7071.74,9963.97,5096.01,3115849.34,14.55,282,73.52,7.32,6140
2020-08-14,GTFS00053,R0000592,BUS,1108,866,76.3,12.48,12686,227454,1.346,10964.3,13704.88,7748.77,6177315.43,11.86,401,92.72,3.89,5675
2020-08-15,GTFS00054,R0000593,RAIL,644,525,70.98,35.72,75273,113375,1.652,11608.44,17642.74,8453.21,5209599.69,15.82,458,72.93,0.33,5683
2020-08-16,GTFS00055,R0000594,BUS,141,127,60.41,7.41,190924,212553,1.287,10967.77,4740.14,8235.8,4905645.69,6.69,469,91.87,3.49,3925
2020-08-17,GTFS00056,R0000595,BUS,292,238,93.74,25.5,126417,62707,0.633,8444.85,4084.98,6366.81,2700050.22,4.04,326,96.76,13.83,1034
2020-08-18,GTFS00057,R0000596,BUS,72,67,85.46,24.32,22510,193386,0.238,14450.21,14568.29,11424.48,4772267.28,6.62,315,99.42,14.14,880
2020-08-19,GTFS00058,R0000597,SUBWAY,1098,983,89.54,14.47,50791,239219,0.782,18147.12,11567.01,15674.46,2289453.65,11.41,340,84.57,1.98,1673
2020-08-20,GTFS00059,R0000598,BUS,1211,1204,59.76,37.54,130454,198465,0.269,10093.63,9153.6,9545.87,5794572.58,14.62,129,91.05,10.89,3869
2020-08-21,GTFS00060,R0000599,BUS,442,407,71.51,6.62,190169,189778,0.496,2530.28,16729.4,1782.97,1305063.84,13.94,141,92.26,8.03,4570
2020-08-22,GTFS00061,R0000600,BUS,1370,1395,63.35,13.95,216265,1971,0.864,9746.97,13018.02,6883.63,4210143.12,17.06,444,79.9,0.27,2355
2020-08-23,GTFS00062,R0000601,SUBWAY,581,584,66.65,22.58,35512,128585,1.591,17614.3,11432.11,12146.99,1512950.44,11.71,189,91.27,5.2,2248
2020-08-24,GTFS00063,R0000602,BUS,1399,1372,80.25,37.11,125559,99170,1.739,9632.78,132.79,5935.5,6670822.45,3.0,433,82.56,15.32,3231
2020-08-25,GTFS00064,R0000603,RAIL,798,661,72.13,18.44,158455,195360,0.808,8501.24,7204.03,7634.12,3066977.46,1.65,104,78.66,2.64,3862
2020-08-26,GTFS00065,R0000604,BUS,683,659,66.07,32.25,16753,61831,0.956,16211.35,11386.5,14882.9,1499291.04,0.67,162,93.67,1.43,1787
2020-08-27,GTFS00066,R0000605,BUS,1132,900,97.18,15.15,187005,79474,0.891,3841.62,14075.5,3112.95,2151827.22,3.43,43,96.57,0.55,5626
2020-08-28,GTFS00067,R0000606,TRAM,273,258,75.02,39.68,246950,159133,0.962,4272.54,13415.86,3661.38,1484830.46,4.29,167,94.01,11.02,3197
2020-08-29,GTFS00068,R0000607,BUS,158,159,95.07,37.73,79215,106635,1.259,530.56,3686.0,329.11,2118504.44,6.6,477,80.79,3.94,205
2020-08-30,GTFS00069,R0000608,BUS,1465,1387,94.77,25.14,191156,72562,0.406,5616.06,10506.25,4581.75,602559.7,11.85,287,76.23,14.54,462
2020-08-31,GTFS00070,R0000609,BUS,88,75,77.2,11.4,165161,112577,1.151,19368.13,5878.35,16341.19,6904768.41,1.78,207,79.46,17.37,2200
2020-09-01,GTFS00071,R0000610,BUS,561,430,72.57,8.73,9803,98765,1.472,21507.61,3078.64,16812.04,596908.8,14.6,267,91.84,6.4,319
2020-09-02,GTFS00072,R0000611,BUS,1248,1126,83.54,10.89,206606,149656,0.974,13722.76,17358.21,12854.29,423084.91,0.77,432,93.49,15.29,5010
2020-09-03,GTFS00073,R0000612,BUS,485,407,73.14,26.9,146168,103190,0.951,18246.15,1662.23,12294.8,2110085.67,5.29,271,74.82,2.55,2436
2020-09-04,GTFS00074,R0000613,CABLE,1232,1082,55.73,9.09,221258,239674,0.264,18597.24,14351.92,17497.98,4494089.66,4.28,68,86.07,10.54,5162
2020-09-05,GTFS00075,R0000614,RAIL,1281,1259,56.76,13.83,59306,214725,1.359,7307.45,4323.57,5269.74,974748.15,12.89,109,86.39,7.45,574
2020-09-06,GTFS00076,R0000615,BUS,260,244,72.12,23.48,48566,216278,0.394,21506.03,7752.81,14030.74,1670801.34,14.13,373,80.95,4.08,4881
2020-09-07,GTFS00077,R0000616,SUBWAY,942,796,90.83,22.86,209674,89845,0.648,7897.47,9721.42,5169.25,1697682.46,11.63,102,76.41,17.9,3591
2020-09-08,GTFS00078,R0000617,RAIL,1342,1241,96.64,25.56,147288,69399,0.244,9869.73,14470.72,7075.1,4876204.84,16.63,221,75.31,11.75,3607
2020-09-09,GTFS00079,R0000618,BUS,258,246,68.24,37.41,4259,177979,1.024,15175.16,2899.51,9962.11,298604.24,16.63,298,78.51,17.37,788
2020-09-10,GTFS00080,R0000619,RAIL,826,693,69.91,24.73,143577,156546,0.803,8191.04,1812.04,6117.96,324446.95,3.12,0,71.39,7.4,2711
2020-09-11,GTFS00081,R0000620,RAIL,1091,918,75.59,8.44,80619,15685,1.311,1524.38,8091.21,1420.72,669932.33,17.45,208,88.14,2.34,4543
2020-09-12,GTFS00082,R0000621,BUS,1325,1041,68.45,16.7,132138,107064,1.014,17436.06,12766.75,13775.67,6704473.15,11.2,386,70.9,8.02,5421
2020-09-13,GTFS00083,R0000622,BUS,555,530,66.08,39.41,152468,132069,1.492,4062.38,10231.2,3606.69,5944002.47,10.72,119,88.18,16.18,3488
2020-09-14,GTFS00084,R0000623,SUBWAY,660,533,59.01,29.86,53156,163177,0.477,6244.39,15886.85,5353.48,5529066.87,3.94,323,97.39,5.74,5510
2020-09-15,GTFS00085,R0000624,SUBWAY,101,92,75.16,29.24,246701,43652,0.18,13015.25,13757.88,10847.2,33800.9,15.82,435,87.58,14.03,5148
2020-09-16,GTFS00086,R0000625,RAIL,352,355,66.23,31.84,117028,106868,1.0,3383.42,13642.22,2232.35,5379709.63,0.59,70,81.23,15.43,2499
2020-09-17,GTFS00087,R0000626,BUS,598,544,55.99,36.08,100774,165473,1.401,12485.92,11455.26,8191.83,579462.59,9.58,319,84.45,7.37,1252
2020-09-18,GTFS00088,R0000627,BUS,923,906,72.28,19.54,7154,148396,0.442,12576.41,5439.93,11125.37,2738344.11,17.76,436,98.75,13.69,3271
2020-09-19,GTFS00089,R0000628,BUS,1384,1252,61.82,36.35,173453,201753,0.765,11336.63,15111.76,8412.92,5297442.55,5.87,109,81.8,13.77,5304
2020-09-20,GTFS00090,R0000629,RAIL,1449,1339,59.3,17.27,249559,67092,0.143,5037.83,14081.09,4804.02,7129615.39,17.5,90,72.04,9.22,21
2020-09-21,GTFS00091,R0000630,BUS,1300,1103,94.22,13.65,218613,184234,0.331,15373.7,5496.09,12694.03,2289858.7,5.51,241,72.22,15.98,618
2020-09-22,GTFS00092,R0000631,BUS,822,619,58.91,26.72,179050,229004,0.204,17343.9,10582.35,16884.94,1429806.54,10.57,207,73.03,8.64,3575
2020-09-23,GTFS00093,R0000632,BUS,1474,1263,77.93,25.24,70981,143382,0.755,19253.1,8471.62,12220.77,3431979.97,5.94,324,84.85,11.9,3493
2020-09-24,GTFS00094,R0000633,RAIL,1377,1134,59.08,18.64,128602,82687,1.353,8929.72,2182.93,8844.73,4861717.44,13.44,242,78.91,16.09,4729
2020-09-25,GTFS00095,R0000634,RAIL,1176,960,77.19,10.97,79973,44168,0.453,16926.36,8573.56,11782.96,1341605.47,6.91,433,70.47,10.5,2103
2020-09-26,GTFS00096,R0000635,BUS,370,372,73.36,31.85,38390,199051,0.261,4665.53,14544.69,3351.95,7444280.28,10.57,447,71.51,12.66,124
2020-09-27,GTFS00097,R0000636,BUS,441,378,63.86,8.79,37284,78677,0.596,4066.93,4795.56,3703.27,1180718.09,17.51,301,99.59,5.75,5974
2020-09-28,GTFS00098,R0000637,SUBWAY,306,309,56.22,39.89,206975,173595,1.679,12934.14,15784.59,8827.64,441960.32,3.52,267,97.81,4.65,5483
2020-09-29,GTFS00099,R0000638,BUS,1036,779,68.37,5.0,7562,100613,1.579,15333.74,15072.14,15021.25,6090439.18,16.56,319,93.44,13.27,1604
2020-09-30,GTFS00100,R0000639,RAIL,512,498,99.22,5.64,84761,191417,1.518,2936.72,16867.04,2700.58,1768090.27,1.75,223,83.92,15.46,5824
2020-10-01,GTFS00101,R0000640,SUBWAY,1226,1187,89.71,38.01,141331,45510,0.924,4428.23,11612.73,3792.35,6688749.77,16.2,377,82.76,4.98,1872
2020-10-02,GTFS00102,R0000641,BUS,540,469,86.1,9.59,186451,33812,0.107,6153.36,4418.49,4963.07,4656069.66,12.45,294,91.24,4.15,5723
2020-10-03,GTFS00103,R0000642,BUS,753,673,74.88,25.58,182092,142095,0.902,3555.82,6853.76,2313.67,1500867.55,0.79,40,75.17,6.77,2231
2020-10-04,GTFS00104,R0000643,TRAM,242,224,69.29,35.99,212409,149253,0.626,14444.26,2706.71,9866.09,3444811.59,9.04,471,72.31,0.48,6300
2020-10-05,GTFS00105,R0000644,BUS,670,559,91.22,33.51,224987,75739,0.981,14017.73,3274.26,8912.01,3840312.44,4.04,464,80.12,4.34,2588
2020-10-06,GTFS00106,R0000645,BUS,268,236,63.74,32.21,54755,209558,1.685,3752.17,3578.88,3670.22,2324424.34,7.56,100,95.19,17.33,3446
2020-10-07,GTFS00107,R0000646,SUBWAY,426,406,88.29,19.88,122801,46034,1.352,11568.91,71.77,7649.28,2408391.41,1.12,95,76.29,11.56,1563
2020-10-08,GTFS00108,R0000647,BUS,432,419,71.98,20.71,100696,52372,0.638,287.59,11393.93,257.62,6765421.79,8.99,302,91.74,11.06,267
2020-10-09,GTFS00109,R0000648,BUS,937,926,72.98,16.35,96285,224276,0.338,11215.95,1498.12,11145.08,1258658.12,17.53,379,74.19,6.95,4781
2020-10-10,GTFS00110,R0000649,SUBWAY,1290,1031,98.79,20.94,2812,187506,1.617,18737.4,8483.8,12245.14,6759743.08,1.85,93,88.94,12.77,1351
2020-10-11,GTFS00111,R0000650,BUS,106,86,57.4,37.23,19544,75048,0.543,5852.23,6846.07,4129.75,4139570.1,12.73,113,76.17,17.6,3966
2020-10-12,GTFS00112,R0000651,BUS,835,743,65.96,30.53,198126,202705,0.889,14395.24,10301.27,13402.31,3664262.8,14.77,14,80.26,16.85,1330
2020-10-13,GTFS00113,R0000652,BUS,1472,1211,65.49,6.96,149991,217386,0.912,8346.16,8257.7,8305.42,1846385.93,9.29,350,87.48,1.1,740
2020-10-14,GTFS00114,R0000653,BUS,246,230,75.03,16.89,55096,167577,1.244,21657.29,973.56,14631.83,5624052.98,2.26,11,94.81,14.03,2724
2020-10-15,GTFS00115,R0000654,BUS,949,929,55.02,33.65,77386,96423,1.159,20886.88,2043.72,15927.09,870016.25,7.41,432,77.33,15.26,4946
2020-10-16,GTFS00116,R0000655,RAIL,794,796,83.22,17.08,163826,118078,0.366,9958.01,1636.63,7253.8,302585.62,13.23,230,85.06,7.05,4889
2020-10-17,GTFS00117,R0000656,BUS,1312,1035,84.89,11.69,211444,177185,1.02,13341.6,2420.34,12327.29,6172127.49,2.52,477,96.53,9.65,6158
2020-10-18,GTFS00118,R0000657,TRAM,1065,876,98.67,28.33,186807,164028,0.145,6153.94,10004.21,5977.09,1798138.92,16.56,61,82.09,15.55,2656
2020-10-19,GTFS00119,R0000658,RAIL,319,265,68.94,25.27,174014,214578,0.284,13942.07,6446.44,12777.26,4781236.85,9.9,227,97.57,15.63,5411
2020-10-20,GTFS00120,R0000659,GONDOLA,1422,1264,55.56,15.66,106946,198687,0.318,7701.69,5783.13,6647.65,2269068.33,2.94,21,97.83,0.31,907
2020-10-21,GTFS00121,R0000660,SUBWAY,1053,809,92.27,17.12,121471,71596,0.857,19531.85,10172.07,19490.98,218720.88,15.87,131,89.08,3.11,3400
2020-10-22,GTFS00122,R0000661,BUS,1057,969,77.76,27.66,36718,128175,0.395,11619.39,9205.84,11345.29,4587597.21,17.36,421,81.96,2.91,719
2020-10-23,GTFS00123,R0000662,BUS,1308,1080,78.86,21.56,186886,94330,1.382,15199.56,1167.27,14885.56,1388926.58,14.51,239,92.87,6.73,3211
2020-10-24,GTFS00124,R0000663,BUS,818,682,73.54,7.33,125309,183837,0.179,21860.06,8735.32,14346.31,3578862.41,1.61,120,95.74,14.0,4129
2020-10-25,GTFS00125,R0000664,BUS,1050,927,87.07,21.94,15597,145401,0.354,3102.76,5705.72,2658.27,104247.01,14.71,161,88.31,7.16,1018
2020-10-26,GTFS00126,R0000665,BUS,871,807,72.6,11.35,12077,105664,0.896,15045.55,11054.26,10769.18,1831501.65,10.54,267,97.14,17.97,3170
2020-10-27,GTFS00127,R0000666,CABLE,928,774,87.01,30.06,173700,248347,0.455,5714.49,7471.53,3553.37,3067175.17,12.57,389,91.72,2.06,1203
2020-10-28,GTFS00128,R0000667,BUS,136,133,57.84,5.8,225394,75238,1.723,17536.09,17952.64,13029.54,4014348.58,3.68,454,99.88,1.71,4554
2020-10-29,GTFS00129,R0000668,BUS,472,444,83.04,35.59,17400,133218,0.902,20002.44,895.86,15979.91,2251318.9,3.86,28,81.64,9.8,2993
