qol_reg_reference_year,qol_reg_country_iso2,qol_reg_region_nuts_code,qol_reg_gdp_per_capita_pps,qol_reg_employment_rate_pct,qol_reg_r_and_d_intensity_pct_gdp,qol_reg_broadband_coverage_pct,qol_reg_accessibility_index,qol_reg_health_outcomes_index,qol_reg_education_attainment_index,qol_reg_poverty_rate_pct,qol_reg_income_inequality_gini,qol_reg_air_quality_index,qol_reg_green_space_access_pct,qol_reg_public_services_quality_score,qol_reg_institutional_quality_index,qol_reg_cohesion_funds_per_capita_eur,qol_reg_just_transition_exposure_index,qol_reg_data_source,qol_reg_data_extract_date
2022,GR,LU61,101.83,67.3,0.99,70.79,42.33,84.3,51.8,28.0,26.58,72.47,57.29,5.01,83.65,556.58,16.28,EUROSTAT_REGIO,2024-07-17
2023,MT,NL323,108.44,73.63,1.99,96.17,63.47,53.64,62.97,29.76,31.39,85.65,69.38,6.45,61.02,841.69,43.2,NATIONAL_STAT_EXPORT,2024-03-11
2024,ES,BE82,94.11,60.0,1.51,91.7,76.46,70.06,45.14,31.46,38.23,50.53,69.31,7.87,74.08,1979.29,36.21,COHESION_POLICY_DASHBOARD,2024-06-19
2025,CZ,IT3,76.46,70.49,0.61,81.24,69.42,49.31,77.59,26.65,26.44,38.88,75.07,5.46,73.68,1682.12,67.26,JRC_COMPOSITE,2025-06-07
2006,HU,FI692,95.12,70.44,2.27,82.35,42.62,67.45,91.57,10.62,33.43,81.69,61.21,5.14,34.32,380.61,7.79,EUROSTAT_REGIO,2025-10-18
2007,NL,MT305,88.84,79.94,1.56,75.0,45.15,69.99,78.52,15.7,25.76,70.12,51.49,5.9,73.15,601.29,38.65,NATIONAL_STAT_EXPORT,2024-10-07
2008,SE,IT858,182.32,75.05,0.46,63.59,72.15,87.24,86.06,17.48,22.37,80.64,57.79,8.98,81.73,34.05,38.69,COHESION_POLICY_DASHBOARD,2025-12-01
2009,DK,IE84,116.65,70.02,2.49,91.55,48.39,68.92,64.53,19.13,33.18,63.19,68.15,6.9,82.76,76.19,36.14,JRC_COMPOSITE,2025-09-30
2010,IE,PL757,141.22,69.31,0.49,79.01,83.78,96.66,66.86,16.77,38.51,63.1,73.91,7.9,70.41,393.96,48.06,EUROSTAT_REGIO,2024-06-20
2011,PL,ES9,89.29,64.38,0.34,63.24,36.27,59.58,62.44,22.1,34.28,43.75,40.31,5.88,35.8,1879.97,35.87,NATIONAL_STAT_EXPORT,2025-09-18
2012,AT,DK81,131.63,70.63,1.95,78.42,84.23,68.87,41.11,12.29,36.98,43.08,63.43,8.0,77.86,83.82,43.15,COHESION_POLICY_DASHBOARD,2025-08-12
2013,EE,CY489,60.43,56.45,2.56,58.17,82.17,80.87,46.59,10.43,33.72,45.53,70.35,7.7,32.28,1029.05,51.11,JRC_COMPOSITE,2024-08-15
2014,IT,DK205,90.71,66.09,0.99,86.51,65.76,65.9,39.83,12.02,28.89,49.98,52.44,7.69,73.64,490.09,17.62,EUROSTAT_REGIO,2025-12-19
2015,PT,BE46,163.34,68.84,1.03,71.49,74.62,80.65,53.65,17.12,30.02,53.68,76.63,5.05,37.89,1287.73,49.69,NATIONAL_STAT_EXPORT,2024-03-05
2016,BE,SE5,140.3,84.72,1.81,76.77,36.21,85.02,76.1,16.29,23.56,55.62,24.55,8.24,75.68,689.4,5.95,COHESION_POLICY_DASHBOARD,2024-12-05
2017,FI,IE380,163.96,66.72,1.08,83.06,57.0,87.56,53.42,10.7,31.83,94.62,93.41,7.57,91.41,641.75,14.37,JRC_COMPOSITE,2024-11-04
2018,LV,EE62,79.59,55.99,0.41,74.3,53.79,83.16,52.26,13.24,30.83,47.55,24.45,7.82,60.88,1738.15,50.61,EUROSTAT_REGIO,2025-01-27
2019,RO,SI58,64.79,70.94,2.57,86.55,73.18,77.18,90.34,10.98,31.1,42.19,63.71,4.59,75.31,2079.14,29.92,NATIONAL_STAT_EXPORT,2024-08-07
2020,BG,FI585,126.83,67.9,0.78,92.33,44.28,75.19,54.96,14.96,25.36,59.83,74.32,6.86,67.75,93.71,49.8,COHESION_POLICY_DASHBOARD,2025-01-20
2021,FR,LU386,140.52,81.18,1.5,78.66,75.12,49.54,46.11,18.75,37.59,57.72,60.59,5.18,73.74,304.75,51.17,JRC_COMPOSITE,2025-11-30
2022,LT,BE90,92.61,59.44,0.37,90.76,71.29,52.68,47.02,26.03,28.4,51.52,28.46,8.13,45.09,2249.43,43.48,EUROSTAT_REGIO,2024-12-04
2023,SK,BG551,116.67,67.74,1.22,77.83,72.52,48.63,55.27,30.67,27.72,52.93,69.68,7.28,33.53,641.95,48.85,NATIONAL_STAT_EXPORT,2024-07-22
2024,HR,CY920,130.98,63.62,0.75,66.43,84.13,77.03,77.42,23.47,35.31,67.16,63.05,7.76,78.68,2019.74,43.22,COHESION_POLICY_DASHBOARD,2024-11-26
2025,DE,BG78,106.54,73.76,4.17,100.0,56.08,91.97,58.53,17.87,37.95,66.02,38.58,7.58,52.58,466.53,5.77,JRC_COMPOSITE,2025-04-17
2006,LU,ES316,114.95,74.64,0.53,76.69,84.1,94.95,52.68,23.45,33.14,57.66,33.05,7.74,71.11,779.72,48.37,EUROSTAT_REGIO,2024-04-08
2007,SI,SI380,78.42,71.14,0.92,65.63,75.54,77.0,56.18,15.74,33.68,33.6,84.56,8.18,64.64,1262.31,41.13,NATIONAL_STAT_EXPORT,2026-01-18
2008,CY,RO9,123.9,66.58,2.38,74.14,79.7,49.46,50.1,17.04,37.83,35.55,39.11,8.29,43.79,1451.75,43.75,COHESION_POLICY_DASHBOARD,2025-02-17
2009,GR,CY8,144.21,72.28,1.68,66.21,44.22,59.97,77.41,29.36,36.19,60.97,37.7,6.23,64.71,1636.09,47.59,JRC_COMPOSITE,2025-10-07
2010,MT,SI415,65.82,73.71,1.99,85.66,85.75,51.24,41.9,19.13,23.48,44.8,25.13,5.18,52.87,707.19,49.91,EUROSTAT_REGIO,2024-04-02
2011,ES,SK30,142.35,60.42,0.98,77.89,74.17,84.45,68.07,21.15,33.76,78.01,68.39,6.77,48.85,1072.02,22.64,NATIONAL_STAT_EXPORT,2025-12-02
2012,CZ,LV30,107.44,73.42,2.47,65.37,42.3,52.24,87.86,26.26,37.4,59.57,52.49,5.27,44.32,2048.21,52.92,COHESION_POLICY_DASHBOARD,2025-08-31
2013,HU,IT317,61.22,74.87,0.5,76.42,68.19,74.83,52.99,17.48,35.42,86.61,90.95,5.16,41.79,1776.81,6.92,JRC_COMPOSITE,2025-12-23
2014,NL,CZ520,186.24,77.11,2.11,89.56,73.61,85.02,60.59,7.64,30.99,86.84,78.72,5.58,60.66,134.37,34.64,EUROSTAT_REGIO,2025-02-26
2015,SE,LU332,206.71,79.6,2.97,92.77,46.21,53.34,64.15,23.17,22.79,86.17,73.92,8.19,80.76,713.9,52.64,NATIONAL_STAT_EXPORT,2025-05-21
2016,DK,BE25,78.81,69.39,3.35,88.89,44.62,55.53,48.83,16.95,34.55,60.69,75.35,5.68,76.81,995.25,50.81,COHESION_POLICY_DASHBOARD,2024-12-18
2017,IE,BE342,175.59,71.03,0.41,80.01,57.75,93.38,55.24,19.76,37.55,76.9,57.89,6.91,35.97,562.78,7.78,JRC_COMPOSITE,2025-11-21
2018,PL,CY42,117.2,67.8,1.26,69.25,51.01,74.65,75.88,15.02,23.76,82.71,70.8,8.01,64.3,1847.32,18.09,EUROSTAT_REGIO,2025-10-27
2019,AT,LT8,98.97,79.11,1.85,89.79,70.52,64.11,60.67,18.37,26.04,77.72,35.89,5.99,83.8,904.49,63.14,NATIONAL_STAT_EXPORT,2024-01-15
2020,EE,IT72,63.51,57.73,2.68,69.05,83.23,63.77,72.73,19.46,32.22,69.61,70.99,4.63,72.95,2011.11,52.91,COHESION_POLICY_DASHBOARD,2024-01-14
2021,IT,IT665,90.14,59.27,1.24,71.2,37.18,84.9,46.26,15.84,23.63,76.88,70.88,7.99,59.56,1083.05,12.28,JRC_COMPOSITE,2024-07-22
2022,PT,LV980,122.53,62.34,0.44,74.38,84.43,77.54,80.37,10.69,35.75,39.18,68.4,6.54,46.16,215.9,61.83,EUROSTAT_REGIO,2026-02-15
2023,BE,BG96,206.03,64.14,1.72,90.24,56.58,74.87,70.99,16.37,33.23,51.77,63.52,8.89,71.71,1032.15,35.36,NATIONAL_STAT_EXPORT,2024-08-08
2024,FI,GR22,155.03,73.82,2.93,93.92,59.74,93.75,47.22,8.72,29.44,66.33,50.71,7.47,66.75,809.22,23.12,COHESION_POLICY_DASHBOARD,2024-06-23
2025,LV,IE424,167.2,64.85,2.44,85.44,80.63,77.37,77.1,14.05,25.88,47.68,48.3,7.42,78.35,1968.28,24.19,JRC_COMPOSITE,2025-07-04
2006,RO,CZ49,134.71,61.18,1.91,84.79,33.59,73.67,70.62,11.44,36.35,86.28,70.52,7.85,44.53,479.87,42.3,EUROSTAT_REGIO,2025-01-08
2007,BG,FI66,81.91,67.25,0.66,70.26,58.7,48.02,67.82,14.24,27.67,77.02,49.09,6.0,81.63,1849.72,41.92,NATIONAL_STAT_EXPORT,2025-04-16
2008,FR,SI43,78.33,66.54,0.29,65.27,79.2,70.24,42.54,19.5,35.68,62.85,27.87,7.36,71.01,694.19,8.46,COHESION_POLICY_DASHBOARD,2025-03-01
2009,LT,SE488,125.35,72.69,0.36,86.04,84.61,84.33,85.35,19.85,36.68,41.91,74.14,8.18,48.38,1280.84,45.01,JRC_COMPOSITE,2024-08-29
2010,SK,LT11,127.24,61.96,0.97,66.44,39.96,57.16,54.77,24.98,26.87,40.91,36.53,6.9,61.53,744.54,51.95,EUROSTAT_REGIO,2026-01-28
2011,HR,AT127,58.47,66.69,0.56,79.29,54.92,50.34,48.78,31.62,31.39,78.32,58.85,7.64,32.52,888.57,51.1,NATIONAL_STAT_EXPORT,2024-11-02
2012,DE,SE826,120.23,76.74,4.18,92.08,35.77,51.77,65.49,21.97,24.71,43.82,28.71,7.64,66.37,763.07,18.68,COHESION_POLICY_DASHBOARD,2024-06-25
2013,LU,PT355,147.28,79.21,1.67,64.9,79.67,82.56,80.47,20.85,38.54,81.41,44.24,5.73,62.48,261.05,41.8,JRC_COMPOSITE,2026-01-10
2014,SI,AT86,107.09,74.22,1.83,73.67,51.73,50.2,85.22,27.06,35.52,77.74,66.88,6.67,58.69,1493.5,4.33,EUROSTAT_REGIO,2024-01-26
2015,CY,LU70,59.01,75.57,2.38,74.93,83.59,43.95,53.52,22.98,36.68,49.86,28.82,5.41,40.38,69.46,34.21,NATIONAL_STAT_EXPORT,2025-06-06
2016,GR,LU66,97.55,59.32,2.67,83.51,67.2,74.55,76.57,24.63,29.82,58.92,75.86,4.89,46.41,992.76,10.3,COHESION_POLICY_DASHBOARD,2025-10-07
2017,MT,ES41,146.77,65.87,0.53,71.32,79.63,76.54,73.77,26.68,28.44,57.84,70.53,5.5,41.86,1412.92,21.24,JRC_COMPOSITE,2024-08-11
2018,ES,HR882,110.47,62.69,0.79,65.72,51.21,57.04,42.73,25.2,34.01,57.97,32.16,8.33,59.63,130.9,24.85,EUROSTAT_REGIO,2024-08-18
2019,CZ,FR592,104.64,61.36,2.69,70.86,43.02,48.51,78.2,11.21,37.51,35.12,83.74,6.89,53.49,1969.27,80.51,NATIONAL_STAT_EXPORT,2024-08-19
2020,HU,CY12,104.77,61.23,2.68,68.98,87.51,57.9,58.11,26.74,27.78,71.66,67.1,6.71,42.85,844.34,32.23,COHESION_POLICY_DASHBOARD,2026-02-25
2021,NL,LT5,88.99,78.6,2.42,94.6,83.86,88.71,82.88,15.02,27.75,71.66,36.36,6.37,71.13,256.08,12.81,JRC_COMPOSITE,2024-10-10
2022,SE,PL54,160.41,74.91,3.95,95.54,37.45,51.28,77.79,20.8,21.88,68.56,78.39,7.88,55.5,413.82,11.01,EUROSTAT_REGIO,2026-02-20
2023,DK,FI6,170.1,77.62,3.83,100.0,77.99,51.11,88.41,20.56,33.95,91.26,68.72,6.51,63.04,411.76,9.26,NATIONAL_STAT_EXPORT,2025-11-21
2024,IE,IT769,145.31,64.69,0.55,100.0,80.15,85.63,59.2,23.3,26.16,73.09,58.57,5.21,78.09,318.48,32.94,COHESION_POLICY_DASHBOARD,2026-01-03
2025,PL,HR717,101.53,71.79,1.66,65.63,59.5,51.48,77.81,17.17,29.28,46.56,76.63,8.03,65.42,406.56,13.24,JRC_COMPOSITE,2025-11-28
2006,AT,CZ118,73.23,77.57,2.56,90.08,54.46,83.54,46.3,22.01,34.88,66.77,37.11,8.78,36.24,441.23,24.01,EUROSTAT_REGIO,2025-09-08
2007,EE,BG638,85.68,71.98,0.48,66.36,49.37,68.14,47.47,28.44,35.6,86.42,33.12,6.78,77.44,217.36,20.64,NATIONAL_STAT_EXPORT,2025-05-05
2008,IT,SK55,67.16,72.78,0.59,82.01,86.99,81.01,46.85,14.34,30.54,42.03,33.48,5.03,70.46,1601.03,26.5,COHESION_POLICY_DASHBOARD,2024-12-05
2009,PT,SI377,88.03,70.87,1.14,66.15,58.92,77.09,73.47,18.69,36.36,75.87,58.75,4.91,82.15,286.32,11.47,JRC_COMPOSITE,2025-11-12
2010,BE,IT546,170.58,82.3,1.7,64.15,38.79,87.78,67.08,11.49,24.5,75.56,61.91,7.8,37.93,454.43,8.09,EUROSTAT_REGIO,2025-06-29
2011,FI,LU47,173.55,85.24,4.13,90.99,78.8,60.69,84.73,9.21,22.06,84.97,64.5,7.85,64.03,224.73,4.53,NATIONAL_STAT_EXPORT,2025-10-13
2012,LV,CZ17,110.82,65.3,2.41,61.81,82.56,54.93,63.54,24.16,37.38,83.04,75.89,8.32,63.85,1368.6,28.39,COHESION_POLICY_DASHBOARD,2025-12-14
2013,RO,GR354,54.75,72.55,0.52,70.07,83.34,63.02,56.06,24.09,33.43,53.79,27.98,7.69,75.26,1314.73,45.76,JRC_COMPOSITE,2025-02-10
2014,BG,GR8,128.55,71.09,2.07,74.5,48.23,55.27,51.45,19.69,25.02,50.36,30.03,7.44,47.2,1302.39,42.43,EUROSTAT_REGIO,2024-02-03
2015,FR,FR71,170.45,82.92,0.35,64.57,92.21,61.51,70.99,22.6,24.05,74.63,63.33,9.25,43.59,354.64,32.0,NATIONAL_STAT_EXPORT,2024-08-19
2016,LT,CY742,145.57,62.43,2.68,77.79,61.99,76.18,94.03,31.53,34.4,52.93,59.34,6.11,71.0,757.55,31.43,COHESION_POLICY_DASHBOARD,2024-04-22
2017,SK,GR73,92.78,65.7,0.72,78.38,75.34,84.63,68.23,28.71,31.62,35.34,45.21,6.84,62.21,233.39,35.57,JRC_COMPOSITE,2025-10-12
2018,HR,AT4,62.35,64.0,2.37,88.46,38.42,75.96,70.75,27.95,26.86,38.35,69.59,5.17,56.17,1116.95,61.18,EUROSTAT_REGIO,2024-12-18
2019,DE,HR312,135.2,73.64,2.4,100.0,53.75,90.37,59.82,9.53,30.67,69.82,70.35,5.82,41.17,193.66,21.07,NATIONAL_STAT_EXPORT,2025-05-01
2020,LU,SE61,230.0,65.06,1.01,80.33,52.75,51.54,83.09,6.95,26.77,69.95,24.04,6.26,44.21,91.39,29.96,COHESION_POLICY_DASHBOARD,2025-05-13
2021,SI,HU75,119.85,72.06,0.9,94.28,70.1,81.45,60.04,28.44,37.29,76.5,43.6,6.86,53.13,2187.17,52.61,JRC_COMPOSITE,2024-11-26
2022,CY,BG50,145.42,64.26,0.91,83.27,76.74,76.3,59.1,22.06,25.98,86.13,69.13,5.59,62.51,1841.8,6.35,EUROSTAT_REGIO,2025-03-08
2023,GR,HR406,150.18,74.5,1.85,80.97,35.15,78.78,63.8,13.14,25.76,81.54,69.42,5.38,49.0,1900.05,46.5,NATIONAL_STAT_EXPORT,2024-12-09
2024,MT,CY993,199.25,61.57,1.78,81.7,52.37,85.63,55.24,16.29,26.6,63.26,47.73,7.27,80.21,1964.42,33.27,COHESION_POLICY_DASHBOARD,2025-03-29
2025,ES,EE264,131.08,67.47,1.15,73.36,83.35,81.56,79.56,23.47,37.85,57.04,73.84,7.29,44.49,472.94,25.8,JRC_COMPOSITE,2025-12-07
2006,CZ,FI81,90.66,70.98,1.05,67.03,80.41,71.2,76.23,19.49,24.65,60.6,30.9,6.65,59.87,772.65,10.38,EUROSTAT_REGIO,2025-02-24
2007,HU,IE612,78.79,60.29,2.14,69.23,50.46,49.48,51.3,30.51,28.63,58.26,41.35,7.34,37.57,2043.39,29.05,NATIONAL_STAT_EXPORT,2025-08-25
2008,NL,NL2,132.27,68.32,1.65,71.13,42.33,94.98,45.54,19.54,24.78,45.93,63.94,7.92,41.33,922.52,41.44,COHESION_POLICY_DASHBOARD,2024-06-27
2009,SE,MT93,173.44,70.4,1.74,73.66,56.75,55.79,40.21,17.16,29.41,91.77,92.4,5.84,47.69,153.22,10.59,JRC_COMPOSITE,2024-03-30
2010,DK,IT558,132.91,62.75,4.19,71.63,65.0,73.28,57.21,19.2,34.34,72.37,86.88,7.62,64.44,383.72,24.61,EUROSTAT_REGIO,2024-10-16
2011,IE,SI512,90.22,83.26,0.62,83.26,44.79,93.19,74.79,21.64,33.01,50.45,37.97,7.94,76.34,775.32,44.32,NATIONAL_STAT_EXPORT,2025-07-02
2012,PL,SK38,111.14,75.97,0.79,66.38,33.77,57.29,57.69,9.41,25.43,74.08,69.75,7.94,37.62,824.6,44.53,COHESION_POLICY_DASHBOARD,2026-01-31
2013,AT,MT369,204.43,64.92,1.18,71.57,45.88,65.09,58.26,19.18,28.43,55.49,62.89,5.69,57.39,565.2,40.18,JRC_COMPOSITE,2024-09-30
2014,EE,SE881,167.43,62.68,0.69,76.05,48.04,51.91,61.09,26.28,27.61,46.12,24.64,8.43,63.46,2185.4,50.86,EUROSTAT_REGIO,2025-08-06
2015,IT,RO8,118.89,61.03,1.39,83.74,42.8,44.16,41.09,27.73,37.12,46.5,52.65,5.49,73.21,1196.47,33.95,NATIONAL_STAT_EXPORT,2025-12-01
2016,PT,FI431,126.77,62.97,0.38,69.03,71.4,56.24,82.91,32.11,24.63,44.04,60.28,7.46,51.09,102.27,15.81,COHESION_POLICY_DASHBOARD,2025-06-28
2017,BE,RO966,195.63,79.47,0.76,100.0,64.46,94.91,74.16,11.21,25.93,58.41,38.36,8.01,50.26,698.54,29.3,JRC_COMPOSITE,2026-01-05
2018,FI,DE933,135.93,68.51,1.05,97.15,53.4,82.85,74.43,7.48,23.06,49.17,81.82,7.61,100.0,850.72,45.49,EUROSTAT_REGIO,2024-04-20
2019,LV,FR736,152.3,64.73,0.57,74.17,81.46,50.15,65.24,14.26,37.73,65.48,37.93,6.97,75.6,110.3,40.12,NATIONAL_STAT_EXPORT,2025-06-14
2020,RO,HR336,78.43,59.49,2.39,79.48,76.25,56.04,86.7,31.04,35.56,46.99,35.02,5.34,40.11,1538.41,34.7,COHESION_POLICY_DASHBOARD,2024-07-12
2021,BG,SE73,113.74,58.35,1.87,68.23,55.96,86.52,64.42,13.23,24.48,85.35,84.07,7.67,47.09,434.06,58.13,JRC_COMPOSITE,2024-10-26
2022,FR,DE8,185.41,76.13,0.85,89.34,66.94,53.59,44.24,14.43,28.17,64.9,49.82,8.78,75.95,801.4,20.42,EUROSTAT_REGIO,2025-06-06
2023,LT,SI8,79.98,65.19,2.25,87.34,68.49,49.61,90.33,21.58,24.93,51.88,81.66,5.11,47.71,522.71,29.54,NATIONAL_STAT_EXPORT,2025-11-17
2024,SK,HR666,91.2,60.49,0.5,90.61,63.43,74.41,74.55,17.53,38.71,35.1,31.04,8.0,76.25,593.98,17.26,COHESION_POLICY_DASHBOARD,2025-08-14
2025,HR,HR642,120.75,68.05,0.74,85.59,48.72,54.29,63.86,17.95,38.42,33.39,83.6,7.44,62.11,1963.37,35.41,JRC_COMPOSITE,2025-12-26
2006,DE,HU80,94.24,63.24,3.02,88.08,47.25,81.61,50.54,23.35,26.76,35.22,43.84,8.38,60.59,683.86,33.95,EUROSTAT_REGIO,2025-04-02
2007,LU,EE245,128.23,82.27,0.78,81.27,40.28,91.7,50.93,12.83,33.74,86.16,40.05,8.55,44.4,385.35,50.86,NATIONAL_STAT_EXPORT,2024-12-20
2008,SI,RO605,109.23,62.87,2.71,64.19,84.32,62.84,71.52,13.99,35.33,65.28,54.85,6.8,32.22,439.06,35.01,COHESION_POLICY_DASHBOARD,2025-07-07
2009,CY,EE701,70.13,56.33,1.86,76.44,94.35,68.03,56.75,23.79,29.82,51.47,34.35,4.91,62.89,1102.67,21.34,JRC_COMPOSITE,2024-02-21
2010,GR,HU3,64.19,56.44,2.22,85.45,62.52,55.31,59.8,10.7,28.77,57.17,41.45,8.27,68.48,1072.4,10.78,EUROSTAT_REGIO,2025-10-04
2011,MT,MT17,139.94,71.39,1.46,72.71,39.9,49.45,45.77,28.38,35.02,49.02,38.82,7.69,35.97,1248.28,17.28,NATIONAL_STAT_EXPORT,2024-12-15
2012,ES,HU5,143.3,73.36,2.3,71.83,52.93,64.84,93.6,27.35,28.33,37.68,60.4,5.13,65.99,851.89,47.77,COHESION_POLICY_DASHBOARD,2024-03-23
2013,CZ,BG54,134.09,57.59,0.8,62.76,67.9,74.88,58.98,31.61,38.07,78.5,78.01,5.01,33.82,1840.99,32.46,JRC_COMPOSITE,2024-12-07
2014,HU,EE41,137.56,70.64,0.58,85.57,76.22,77.88,39.25,21.71,34.42,84.08,34.16,6.98,40.39,1793.15,29.91,EUROSTAT_REGIO,2025-07-23
2015,NL,RO20,168.24,85.11,2.82,81.05,51.6,73.56,72.23,14.59,26.66,36.2,70.9,6.89,84.96,910.73,19.46,NATIONAL_STAT_EXPORT,2024-09-04
2016,SE,DE390,151.23,75.01,3.35,97.24,82.68,66.47,61.05,20.42,33.48,36.83,63.69,6.17,79.33,870.98,33.49,COHESION_POLICY_DASHBOARD,2025-02-11
2017,DK,SE9,226.5,78.35,3.47,95.93,61.03,65.8,86.32,13.93,29.73,62.05,53.62,7.08,71.98,497.17,25.53,JRC_COMPOSITE,2024-03-27
2018,IE,IE909,224.98,69.56,2.39,95.11,73.02,67.8,88.88,10.71,33.89,79.96,36.8,5.51,54.62,81.47,20.37,EUROSTAT_REGIO,2024-11-08
2019,PL,EE4,135.84,68.47,1.38,66.38,51.57,73.22,52.93,9.82,34.52,84.01,48.98,5.75,77.78,745.24,67.62,NATIONAL_STAT_EXPORT,2024-10-16
2020,AT,CZ782,120.01,73.78,1.75,92.45,66.34,69.53,85.98,7.48,36.38,57.72,59.46,5.54,42.91,264.65,10.93,COHESION_POLICY_DASHBOARD,2025-01-04
2021,EE,BG24,169.77,67.02,2.43,94.8,37.2,73.17,51.34,15.48,35.12,75.0,75.78,7.63,62.87,1676.68,46.09,JRC_COMPOSITE,2024-01-11
2022,IT,PL2,137.33,59.05,0.75,77.7,57.57,48.23,64.72,25.27,24.71,50.4,49.35,5.49,62.38,976.21,8.41,EUROSTAT_REGIO,2024-12-28
2023,PT,FI96,152.23,61.81,1.02,92.67,35.8,55.22,60.69,9.23,26.68,60.65,51.42,5.18,51.33,1556.87,19.79,NATIONAL_STAT_EXPORT,2026-01-30
2024,BE,HR548,170.48,73.75,2.31,97.95,76.68,88.03,54.96,20.35,34.2,43.49,38.54,6.52,61.25,197.06,10.92,COHESION_POLICY_DASHBOARD,2025-04-10
2025,FI,SI317,123.38,65.85,3.79,99.87,61.04,66.45,88.59,21.73,35.59,46.94,52.61,7.98,48.07,673.05,54.43,JRC_COMPOSITE,2025-10-01
2006,LV,SK232,114.61,75.96,1.93,77.26,87.6,61.64,59.59,11.8,27.31,47.68,30.58,4.85,71.85,729.82,44.48,EUROSTAT_REGIO,2024-01-10
2007,RO,AT535,99.34,55.98,1.01,73.05,33.57,85.37,73.53,23.91,33.72,61.46,42.3,6.91,78.97,202.54,70.12,NATIONAL_STAT_EXPORT,2025-01-31
2008,BG,IE175,90.79,70.57,2.14,60.95,60.69,81.21,72.03,15.81,30.08,53.93,67.32,8.41,55.94,1829.0,6.83,COHESION_POLICY_DASHBOARD,2025-11-09
2009,FR,ES6,138.84,82.1,1.81,64.6,73.52,81.76,76.36,20.77,30.55,71.76,91.66,7.12,36.83,516.23,29.41,JRC_COMPOSITE,2025-06-25
2010,LT,CY300,116.63,63.43,2.38,64.01,70.38,45.81,82.73,30.24,26.53,81.37,32.84,4.71,57.29,678.6,41.24,EUROSTAT_REGIO,2024-03-11
2011,SK,HU1,133.92,69.11,0.64,72.89,75.91,48.29,69.7,15.43,29.72,79.03,75.72,6.45,79.14,1641.3,23.41,NATIONAL_STAT_EXPORT,2024-10-02
2012,HR,GR9,66.9,63.51,1.6,82.92,63.35,81.27,65.16,27.99,36.2,70.73,39.39,7.45,41.06,1977.06,7.31,COHESION_POLICY_DASHBOARD,2025-02-09
2013,DE,LV4,180.27,68.96,2.61,87.27,60.08,62.07,92.52,6.81,31.24,64.83,78.15,5.3,50.75,243.22,19.74,JRC_COMPOSITE,2024-11-02
2014,LU,LU8,84.09,82.78,2.62,94.5,35.38,84.11,68.9,9.49,27.49,47.2,62.56,6.17,81.44,97.78,42.91,EUROSTAT_REGIO,2024-10-03
2015,SI,BE7,126.05,69.4,1.62,76.46,55.5,70.63,84.1,20.05,28.16,54.75,79.97,6.97,74.71,979.09,27.65,NATIONAL_STAT_EXPORT,2025-12-26
2016,CY,LT7,94.78,75.35,1.6,84.45,63.04,42.86,73.27,17.4,26.68,84.24,50.8,6.95,46.83,2039.22,45.19,COHESION_POLICY_DASHBOARD,2024-12-28
2017,GR,DE63,145.61,75.09,0.69,66.71,79.73,46.75,81.4,9.33,25.96,57.11,32.42,8.23,36.62,392.76,18.69,JRC_COMPOSITE,2025-11-11
2018,MT,HR75,141.18,56.5,0.56,88.98,65.52,79.22,77.13,20.17,26.97,70.32,78.25,7.28,62.85,748.32,41.42,EUROSTAT_REGIO,2025-01-16
2019,ES,DE5,73.01,74.71,1.9,87.11,41.78,86.84,45.38,17.83,28.57,55.69,72.27,8.19,34.32,1202.76,27.97,NATIONAL_STAT_EXPORT,2025-03-29
2020,CZ,RO699,105.96,75.45,1.26,91.58,65.61,44.76,56.96,27.0,27.65,69.79,67.5,5.47,36.41,1148.99,33.47,COHESION_POLICY_DASHBOARD,2024-07-26
2021,HU,BE106,87.86,67.24,0.5,97.27,64.11,54.38,85.61,29.32,35.98,49.92,66.49,7.89,44.51,1547.52,52.09,JRC_COMPOSITE,2025-06-13
2022,NL,CY80,92.84,67.28,3.24,72.82,56.48,87.74,57.4,13.89,26.37,45.36,73.98,5.19,96.3,1038.41,56.67,EUROSTAT_REGIO,2024-03-20
2023,SE,AT5,129.04,78.29,0.83,80.58,35.83,50.39,60.72,17.91,29.91,76.12,69.4,7.19,83.83,194.5,59.16,NATIONAL_STAT_EXPORT,2024-05-03
2024,DK,HU483,118.08,76.64,2.35,72.36,96.08,96.83,91.35,14.02,24.0,77.69,52.18,5.13,80.84,904.8,38.39,COHESION_POLICY_DASHBOARD,2024-03-24
2025,IE,SE14,124.03,69.17,0.62,96.73,56.1,67.36,85.75,22.59,23.96,33.84,60.37,7.81,59.53,378.57,37.11,JRC_COMPOSITE,2024-09-10
2006,PL,PT7,143.77,64.46,0.31,73.05,35.07,84.12,74.1,24.58,23.67,53.63,53.98,7.05,47.79,207.74,54.87,EUROSTAT_REGIO,2024-09-26
2007,AT,HR480,106.58,81.6,1.19,78.75,87.74,87.57,72.95,7.97,32.18,62.11,41.57,6.08,37.57,475.85,46.29,NATIONAL_STAT_EXPORT,2025-10-08
2008,EE,IE964,79.95,64.47,1.13,82.4,40.24,78.47,74.05,25.59,24.82,59.99,49.61,5.13,63.8,949.16,47.87,COHESION_POLICY_DASHBOARD,2025-11-06
2009,IT,NL82,74.23,56.15,2.39,66.73,92.84,68.35,75.07,13.58,25.91,74.03,73.7,5.04,81.95,1023.65,16.57,JRC_COMPOSITE,2025-12-06
