ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_usd,ag_econ_operating_expenses_usd,ag_econ_net_farm_income_usd,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_usd,ag_econ_land_rent_paid_usd,ag_econ_machinery_depreciation_usd,ag_econ_labor_hired_cost_usd,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_usd,ag_econ_crop_insurance_indemnities_usd,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2005,COOPERATIVE,194589597.17,175990156.66,18650286.4,0.8217,2054984.05,5076406.09,4417931.54,5689681.06,147.92,72.08,206.2,226.09,21921943.21,12326328.9,4.734,15.026,38.61,1
2015,FAMILY,10705405.73,8453539.68,2100446.27,0.8841,5365345.84,3852493.99,3282850.54,832093.38,202.41,147.59,203.53,142.22,12656207.34,3330878.27,2.056,-0.731,48.93,0
2015,FAMILY,119692642.82,84704547.65,34798728.61,1.7843,7601141.21,3467996.33,1415262.57,5713701.57,105.8,72.05,139.13,113.7,14369386.67,11866515.02,2.171,6.789,6.14,0
2004,FAMILY,23478364.09,16137773.17,7148925.0,0.3065,4482156.85,2795269.65,4421632.5,9819156.5,64.02,129.52,184.77,181.96,22306562.99,4452776.81,5.19,32.608,0.35,0
2005,FAMILY,53538419.65,32690410.99,20709310.06,0.5222,2570044.12,2926600.27,595088.72,4601238.41,77.86,168.71,195.97,240.31,17799565.26,7201338.6,5.874,34.213,16.73,1
2023,FAMILY,3363459.54,3193825.36,201809.69,1.5381,5162388.73,1195700.38,2293294.8,8506502.48,203.59,220.42,74.77,68.97,21571559.83,9065795.49,1.093,-0.536,31.25,0
2010,FAMILY,47681208.1,38873327.73,8799366.17,0.9586,4023805.78,1371339.29,4912409.21,747377.85,148.75,221.67,131.27,198.93,22395763.09,4842221.11,2.661,-7.518,23.23,0
2013,FAMILY,88147446.29,70718491.55,17315107.36,0.3561,6703140.6,862912.84,2006976.57,11891777.1,215.2,88.16,159.76,133.66,18340675.56,15993011.64,5.165,7.087,60.62,1
2008,FAMILY,121443503.19,69606904.17,51734083.55,0.9506,2389987.0,599924.66,3687103.91,4123427.47,66.0,248.36,123.78,153.17,17485929.08,16546416.17,3.404,10.602,18.97,0
2017,FAMILY,194449219.02,164207004.59,30423129.35,1.6109,5069247.45,4255145.83,857349.03,6394666.64,104.6,146.45,178.34,80.4,21513240.85,4204470.5,0.99,16.403,3.3,0
2014,OTHER,121266830.89,76212938.49,45105028.75,1.5384,6070402.4,2650637.36,824892.98,8110458.34,146.29,73.96,190.24,68.26,8693710.58,11538089.82,0.357,0.841,37.15,0
2012,CORPORATE,50173643.91,43426655.29,6557209.47,0.5078,3801691.86,3209016.69,4301494.5,218347.23,154.63,245.47,179.17,89.92,2980382.9,7065447.89,4.196,0.377,44.31,1
2022,FAMILY,29635809.02,29035669.49,718071.63,1.7341,1422581.04,3995434.89,2680339.85,8501554.87,171.34,76.77,201.93,63.49,19496796.86,6740595.11,5.509,-23.774,67.45,1
2010,FAMILY,163238068.21,105087954.39,58259629.87,0.7045,2980620.49,3326378.32,3608668.82,8603338.99,120.29,238.4,91.35,211.35,4465137.7,16679404.97,5.19,23.572,62.1,1
2007,FAMILY,155060532.86,96468441.83,58650551.4,1.1904,2949094.1,2301072.65,1571262.24,1310288.81,166.56,173.07,118.98,94.28,23263289.88,14147164.18,1.216,25.948,71.15,0
2008,FAMILY,180900283.76,167742806.0,13069839.34,1.7851,5264005.14,4918366.8,2681439.38,8651705.23,156.92,171.96,180.88,226.27,21332671.12,3631582.99,0.861,-17.944,43.36,0
2020,FAMILY,172470598.54,156698428.6,15601823.11,1.0629,1022307.07,1019744.47,4291378.22,7492480.19,99.44,188.36,183.12,210.39,6335755.51,4892763.55,3.37,-22.802,70.36,0
2011,FAMILY,39821654.99,24013964.61,15933139.22,0.1427,2922693.31,3931442.63,3991259.21,3045207.95,138.15,66.15,73.94,95.76,2316776.93,14858611.13,1.202,4.987,83.01,0
2021,FAMILY,232291971.84,147779264.28,84536419.4,0.2871,888641.62,5135960.35,414566.33,9619282.94,117.15,230.88,88.86,172.73,12771495.28,17097064.21,2.297,-6.275,88.97,1
2023,FAMILY,20204193.22,17320195.68,3034015.75,0.2451,623828.85,3297880.28,4285208.52,1959395.49,157.15,133.47,117.89,60.22,17643515.2,3330061.79,3.795,4.671,63.05,0
2024,FAMILY,32405191.71,26183406.78,6446491.57,0.6174,3606408.53,289689.4,2494001.59,2532904.8,95.8,164.84,200.45,189.69,3286811.58,39458.44,5.852,30.308,59.13,1
2011,FAMILY,153490379.9,139225964.34,14350662.76,0.5959,3914348.72,968304.05,1144968.96,9422401.21,145.17,135.92,92.41,153.27,12408690.78,8242972.52,2.607,20.125,28.16,1
2025,CORPORATE,105629071.44,75219458.15,30633124.2,0.7257,1396416.99,1487846.81,219964.44,2640624.09,163.63,116.81,79.22,232.67,7074760.91,10000259.15,1.762,31.885,54.04,1
2025,FAMILY,194527550.09,166140515.2,28413163.7,0.0908,3612720.08,2546190.37,4102521.22,945756.84,149.07,133.2,177.45,172.43,11022666.67,15691373.12,2.366,9.42,95.57,1
2020,CORPORATE,44048254.89,40275087.83,3915083.23,1.1092,7849250.89,891188.7,1259142.53,1820884.84,118.16,187.11,161.98,214.4,1982297.38,4430038.04,3.5,-17.058,11.5,0
2023,PARTNERSHIP,145281896.56,92720440.99,52804241.41,0.8596,4763380.92,2749322.05,2337763.72,8106244.48,203.01,95.23,110.65,91.3,8172429.33,6783893.06,1.637,19.229,26.61,1
2019,FAMILY,45604070.7,32354727.17,13466096.93,0.347,7299718.56,1697200.87,2352136.77,11403204.1,146.35,202.08,80.05,132.39,21960717.64,2020458.37,2.394,-2.136,11.0,0
2012,CORPORATE,72360718.55,57340776.2,15243040.18,0.1438,1497262.66,5299757.25,681677.72,7711853.71,159.33,211.49,121.2,95.23,11908465.24,17741133.9,3.106,-15.738,43.09,0
2010,FAMILY,26995594.3,22620377.79,4168789.61,0.563,107754.76,323016.14,874442.71,3507427.2,91.65,135.84,90.36,161.18,3136835.87,2502085.27,4.939,28.864,68.08,1
2007,CORPORATE,40490925.71,24646624.55,15881218.31,1.2278,6597105.04,4858814.77,2359557.64,2962369.67,91.47,77.6,80.45,235.33,22545644.16,1617649.95,0.394,11.253,91.49,1
2015,FAMILY,108948005.86,75636186.52,33109885.43,1.0046,5508017.7,731719.1,2066085.74,5752093.89,90.92,185.04,176.6,206.56,8468060.11,8835461.1,3.511,-8.015,12.21,1
2007,CORPORATE,150785543.62,132165003.31,18785962.03,1.7795,7091940.63,3586218.78,642527.5,5781409.24,127.4,140.16,127.96,135.67,13172316.03,16230666.9,2.882,-8.471,43.52,1
2012,FAMILY,118579576.48,107014085.38,11319980.64,1.2116,1437398.52,3147005.98,1929691.33,3980976.77,176.1,188.88,175.31,205.51,17351824.03,2207557.45,4.778,-6.711,52.31,1
2005,CORPORATE,111950323.19,72773373.23,39058217.51,1.2157,2898377.74,1716358.21,1185137.05,3272406.35,124.61,233.91,145.65,81.11,15521414.62,7041615.09,0.463,3.295,69.31,1
2005,FAMILY,67781364.98,39897663.47,28016493.44,0.0007,5770727.37,5303548.81,4172136.49,986897.42,105.08,238.75,108.88,171.28,23826059.28,12382799.0,4.789,30.403,11.82,0
2016,PARTNERSHIP,240521413.91,217006228.42,23726018.85,0.2048,7294229.99,2910045.55,4221368.64,10110371.48,136.29,152.9,140.11,77.3,7064956.53,1258220.37,2.0,-16.542,58.85,1
2009,FAMILY,64157001.12,40645572.0,23741090.2,1.1717,6934225.73,897593.04,4310985.93,10062364.01,192.08,242.68,130.25,228.59,16819781.43,2807208.39,2.007,28.945,46.59,0
2013,FAMILY,37239514.98,35648315.02,1365087.57,1.2444,1088134.92,1701001.6,604604.14,6502728.16,157.22,111.75,158.82,99.13,9587369.58,4544450.39,1.119,19.489,52.32,0
2023,COOPERATIVE,81308231.72,61374840.83,19896639.3,1.3262,4578147.92,5413019.28,3650983.12,2352418.98,150.49,154.95,102.18,186.07,12347319.3,13492675.9,3.779,17.86,72.17,1
2008,COOPERATIVE,64109830.56,40288149.64,23824580.27,1.0289,1674053.04,368546.58,3482778.41,2790491.54,115.42,64.73,125.12,143.76,10882067.09,16917138.81,2.104,-3.329,63.85,0
2013,CORPORATE,36668070.47,33666921.52,2902083.46,1.5246,3213010.55,2525830.83,2856364.79,3505172.43,177.36,132.01,209.62,120.46,11865532.34,1581700.15,0.312,33.04,74.19,0
2023,FAMILY,60302481.11,35098725.72,25367105.91,1.4595,2485669.24,5064051.08,4231281.43,1453693.16,63.98,254.6,208.6,242.68,20808010.28,12202156.96,3.371,-7.061,94.04,0
2025,FAMILY,73094034.95,61395679.18,11655183.57,0.9885,4645641.76,5392622.03,1198777.38,857471.05,91.04,125.75,205.08,237.92,5755008.02,17939666.39,5.617,-23.573,9.46,1
2022,FAMILY,38023726.77,28230454.16,10042804.6,0.0584,2489930.64,1201882.41,1528230.65,311344.39,98.21,125.12,87.99,223.4,13026778.49,14972857.28,1.742,27.798,24.94,0
2007,FAMILY,12547051.92,11974752.87,776948.73,0.9039,4363475.17,23080.65,2249925.97,3509488.37,209.07,147.39,90.83,172.11,14712685.41,15576778.19,0.509,20.0,31.02,1
2013,FAMILY,239715483.52,190290456.02,49570730.46,1.0606,696122.03,449152.23,3296526.78,833492.28,217.15,239.19,116.64,245.14,10791987.36,12954096.45,3.734,-23.149,65.9,0
2010,CORPORATE,181914266.76,123091472.4,58811127.55,0.0338,776776.66,4738432.19,3430898.6,8663159.76,218.57,122.8,93.31,134.31,15185617.77,7661023.22,3.883,21.539,56.78,0
2022,FAMILY,246692010.23,166043446.1,80700247.45,0.8559,7597161.19,4497533.77,2322783.27,10796323.14,143.56,188.16,110.28,158.98,18401111.53,3115381.92,1.972,-20.808,49.36,1
2023,FAMILY,158332042.6,145144169.37,13364084.79,0.8414,5154315.17,4259353.96,3390231.26,2394246.14,153.63,192.38,116.21,119.76,6854114.39,6976679.74,2.595,-7.018,92.21,1
2007,CORPORATE,189275190.8,124161809.95,65056219.98,1.7291,3622904.95,2249474.72,3299464.94,1707013.7,181.32,241.12,126.69,97.79,20505947.88,2992731.58,0.632,30.16,41.55,1
2025,FAMILY,185317767.75,174553930.6,10902081.21,1.6307,7377261.03,1370192.34,622637.22,10950404.99,215.16,213.08,184.91,75.88,4063641.21,2196881.17,1.396,-19.043,26.68,0
2023,FAMILY,170391596.8,118714291.89,51732379.38,1.6028,54616.51,369493.52,4485616.65,1896334.41,134.16,258.58,92.67,163.35,6762193.1,13878695.01,4.695,-17.774,97.63,0
2024,COOPERATIVE,120306913.82,77164497.91,43221442.62,0.2958,2778158.35,272191.93,1452601.06,5541277.05,172.45,231.73,138.05,68.68,5486683.25,8974294.64,4.456,26.755,37.71,0
2010,PARTNERSHIP,84781594.1,55239376.99,29700524.97,1.3694,871493.44,621401.81,1298318.92,8245198.21,88.13,60.43,85.56,205.5,21260459.19,9476511.96,2.693,27.128,50.28,0
2020,FAMILY,67288067.6,44795291.02,22296332.68,1.7149,3412801.44,3646049.98,2198642.25,5681008.28,129.54,90.62,206.8,95.19,7917614.96,1606671.72,4.807,-22.215,52.14,1
2024,FAMILY,56497585.47,44732597.22,11683507.69,1.5024,7323307.17,3839238.31,1586364.66,8317809.37,109.71,186.28,73.05,158.59,7073694.27,11427552.79,4.838,18.441,5.62,0
2016,FAMILY,43081869.62,23879617.45,19077501.7,0.8388,5669396.57,4486888.61,3764697.31,5149513.51,129.75,248.49,130.43,102.28,23278969.92,4558015.63,1.443,3.978,96.73,0
2023,CORPORATE,244421615.02,221680218.76,22882337.73,0.1458,7700954.11,1248863.0,2042126.87,10233113.07,74.76,187.83,92.21,196.83,14847289.92,15027454.45,3.353,9.469,91.03,0
2021,FAMILY,97076060.82,76815332.78,20122701.35,1.1357,3956043.7,4458638.18,3097236.06,5041723.36,84.07,159.88,112.79,207.28,15872908.11,14362470.15,1.633,30.72,79.71,1
2011,FAMILY,144019467.66,95041256.71,49077828.51,1.305,4380210.22,5238688.07,133611.45,6600127.12,110.03,128.3,112.18,165.55,11228707.54,16193188.35,4.912,21.829,43.45,0
2007,FAMILY,131222249.3,88294937.96,42754228.69,1.0887,2756029.64,3662592.27,326697.72,1897722.3,138.68,209.35,142.75,237.74,10239500.4,15049949.19,2.56,16.028,42.66,1
2023,CORPORATE,151809438.53,91994255.15,59728686.21,1.0624,935005.41,3584312.98,3214387.83,7300756.1,167.87,195.38,132.82,193.97,19915147.26,3041817.01,2.283,6.805,95.63,0
2008,OTHER,176638896.26,135211412.74,41335260.53,1.2228,6648316.32,3959225.24,1781494.18,7329375.08,203.38,69.97,208.96,102.31,22294637.76,17659386.45,5.349,2.445,80.91,1
2019,CORPORATE,164969103.98,133745312.96,31347623.39,0.7351,2312321.85,5705242.14,3794773.8,4946140.14,209.76,247.45,201.29,95.16,12919346.76,4824636.25,0.285,18.815,22.21,0
2015,FAMILY,9023296.78,5096274.46,3696701.6,0.2538,4539363.98,3742115.56,4163580.56,4602647.14,150.93,81.78,174.29,241.3,13439497.44,16009507.62,1.513,-0.357,26.43,1
2004,COOPERATIVE,94778579.4,68043531.28,26656070.17,1.3217,7515718.67,1943463.08,1795088.21,687002.31,174.03,120.88,157.04,208.97,740252.09,8271241.18,5.788,12.225,30.29,1
2004,CORPORATE,143137661.27,132703095.19,10631316.18,0.3588,7856690.92,907435.75,2136045.37,11302635.05,154.04,253.54,150.13,228.91,16573081.22,12408813.71,5.187,-8.83,47.6,0
2023,FAMILY,137867735.02,125424578.95,12603481.01,1.2206,6056328.36,3875233.55,4204318.12,8979735.35,119.43,144.92,95.32,169.9,4017675.67,3251032.36,1.837,12.128,84.29,1
2012,TRUST,135730613.13,102746507.13,32923602.82,1.0977,7431925.45,2919346.63,666006.38,6803074.17,202.71,206.75,199.08,215.93,4804348.0,5947731.35,0.552,26.447,81.38,0
2017,FAMILY,234907902.07,181864469.29,53203146.74,1.77,5733788.72,2845930.93,2355207.33,4819516.14,172.07,109.09,209.43,174.9,9729867.11,15006099.4,1.079,13.23,2.52,1
2011,FAMILY,107507067.83,95104604.04,12414215.02,0.3471,6832948.62,2617868.47,3089713.07,1262473.36,83.09,243.37,81.13,249.32,24815654.07,2803356.61,5.397,29.686,43.33,0
2017,FAMILY,111634377.61,82983504.86,28519036.2,0.7909,3144597.19,5202897.77,2402108.16,9384323.84,200.48,105.67,133.78,112.14,4934583.9,16282181.42,4.46,11.57,12.9,0
2021,COOPERATIVE,111163867.55,87268654.97,23966584.21,0.6459,7383646.62,2146885.2,4302467.43,7064591.44,129.49,131.67,122.31,189.25,4989453.65,14767145.46,3.417,15.528,38.52,0
2011,FAMILY,112107893.51,73437728.04,38752354.82,1.3059,5816840.86,943742.08,1801646.39,7860921.44,61.88,227.33,98.75,222.78,14915256.11,7411492.36,4.586,-13.347,82.35,1
2023,CORPORATE,199014505.97,172479664.25,26575913.05,0.2498,2666467.56,4261802.2,4583033.45,150459.96,177.31,96.33,182.05,142.56,20377804.93,3529587.34,4.639,17.469,97.48,0
2004,CORPORATE,41956075.78,38705273.75,3413341.33,0.6774,3868506.21,3157244.12,852454.04,11398676.61,96.09,238.37,181.14,247.46,12919590.77,10540303.72,5.71,26.756,59.25,1
2010,TRUST,172097220.01,104671634.5,67222512.75,0.7543,2429485.89,4129872.2,3461127.28,2070665.19,123.12,158.54,147.13,186.47,7165649.48,3142693.75,3.649,-11.309,68.55,1
2020,PARTNERSHIP,237953710.55,199737323.4,38191519.5,0.2747,3094279.57,1707170.41,3980165.79,8177483.56,67.39,168.1,136.58,115.71,11775140.03,16262591.15,2.049,-20.435,35.8,0
2025,CORPORATE,41474194.9,29683705.74,11816959.61,1.4029,7128093.08,1662494.66,3947971.85,5496321.43,67.42,136.2,71.29,81.71,9730851.3,8269839.06,4.965,21.317,65.3,1
2007,FAMILY,22782901.27,20411111.36,2538225.61,1.2324,6987070.86,383556.87,2305864.51,6149854.95,99.98,142.98,159.04,87.27,21629311.95,11232192.65,4.27,9.039,49.8,1
2007,FAMILY,122795631.39,113213357.14,9716017.06,1.4557,6347463.07,3321753.12,744904.68,9860417.88,155.37,114.98,122.08,158.13,18114772.12,12614448.36,5.615,-7.306,8.2,0
2016,PARTNERSHIP,99201913.42,60321883.19,38959764.74,0.6973,3271181.41,2867485.32,3111390.17,6433801.12,189.75,81.8,111.9,226.04,14609292.41,6361701.64,2.901,-8.05,37.0,1
2018,FAMILY,65944543.86,62704630.18,3369893.41,0.9699,5666562.88,2837228.95,3013607.6,4028953.31,180.73,243.92,93.73,206.01,188544.0,7467317.98,5.919,-0.595,25.92,1
2009,TRUST,171125613.35,108598721.15,62388941.39,1.7263,5190086.6,259240.68,1281645.47,699301.83,150.88,228.84,169.0,87.61,17210046.75,2973507.32,0.905,-15.974,37.18,1
2023,FAMILY,243814737.13,193667943.35,50176974.13,1.0865,749983.22,2385322.77,4234137.79,4562581.42,144.85,110.49,72.45,202.55,290892.04,1828372.18,5.652,1.458,56.29,0
2004,PARTNERSHIP,116932423.64,93517822.03,23642076.92,0.5927,1574395.28,3910100.21,3161605.37,11578413.59,112.08,132.12,191.42,247.72,4469377.1,2987323.58,1.439,-19.545,49.38,0
2010,CORPORATE,95668342.63,92236186.59,3579597.57,0.078,5584050.26,3692345.89,1233833.13,6197115.88,135.44,234.8,185.1,224.4,20890681.71,3700388.27,3.865,34.595,7.05,0
2023,FAMILY,52680416.77,29198211.58,23245669.49,0.5887,7334353.41,5423154.29,3578039.42,4270928.02,196.32,154.6,183.95,161.57,9703235.97,14071053.76,2.411,-5.139,71.86,1
2016,FAMILY,52850988.96,36320801.83,16291511.08,0.3901,6928551.08,1927203.63,1567781.25,3914607.28,74.27,137.54,97.4,215.98,4658287.94,8997650.82,1.888,18.541,79.41,0
2023,FAMILY,176178371.76,106252970.89,69911298.79,1.5115,5915567.83,301686.47,4714926.13,4116774.66,111.17,164.24,206.1,142.56,24590151.96,17914589.86,1.671,32.939,79.17,0
2004,FAMILY,40301197.01,30843597.61,9603311.57,0.9876,1487797.03,5540659.08,2223209.29,6786888.42,215.79,130.37,153.06,138.21,6330609.91,2508998.86,2.704,-6.699,59.36,0
2011,OTHER,156418081.8,91061258.59,65478631.13,1.2611,3763319.49,1263914.48,2346239.84,1390053.5,110.85,216.87,131.5,228.45,23788733.38,12541821.66,1.463,-19.427,83.7,0
2007,FAMILY,47824759.59,28511264.37,19513141.0,0.3303,4513293.55,1914609.14,3635314.0,9002544.83,80.66,139.75,123.67,135.53,562767.96,12844114.97,5.988,-21.231,51.35,0
2020,FAMILY,155933864.15,109685781.57,46476051.02,1.6157,7556076.97,490887.83,2429612.99,9860009.59,197.6,106.02,208.37,197.43,20619330.74,15747023.04,1.602,15.614,30.5,1
2008,PARTNERSHIP,236553617.33,204710423.2,32001951.34,0.3869,1570711.85,3591147.37,1289484.32,6411406.14,210.3,157.93,107.07,204.37,17238392.57,15360828.54,2.013,24.07,2.22,0
2016,COOPERATIVE,12407507.64,10298553.92,2088358.76,0.2901,2770707.05,1093810.23,4243930.33,4687977.13,174.39,144.48,119.93,216.28,10887546.04,12817733.44,0.466,-17.663,64.78,0
2023,COOPERATIVE,83227568.11,75985258.01,7299862.38,0.08,7271562.24,5192805.21,690231.85,9186016.39,100.12,199.43,98.32,186.28,6933842.73,13983154.32,3.764,-3.942,98.9,0
2020,CORPORATE,207144190.08,140163020.31,66980098.93,1.665,7920690.32,1171351.59,4998275.7,1653796.27,202.48,233.61,189.72,178.63,15995174.08,4298729.17,4.981,-15.574,35.65,0
2007,FAMILY,173978372.83,163545673.7,10531090.91,0.6313,4962390.15,2313976.91,1132081.66,4484305.98,70.88,195.48,120.84,248.07,14794823.37,8829616.4,4.928,-16.783,28.01,0
2019,FAMILY,241388628.02,226996380.19,14525252.9,0.5171,4236624.61,4812428.56,1127649.42,10432370.98,205.93,190.17,129.09,119.87,11732178.71,15847519.35,2.286,10.651,65.72,1
2015,PARTNERSHIP,145721482.36,95336091.15,50504521.99,1.4137,810935.02,527648.25,1505250.52,7329753.92,164.28,177.81,183.24,174.09,13330890.38,10896591.08,3.98,28.674,3.12,1
2007,PARTNERSHIP,146998152.01,111969018.43,35123593.84,0.7532,5381578.14,4422036.37,3523410.54,6974454.87,168.25,245.05,172.42,94.09,7614887.68,3992752.95,1.467,-19.186,70.29,0
2018,PARTNERSHIP,76704211.62,47219390.93,29565846.76,0.3642,543808.43,3861568.98,4095073.16,9214103.35,161.42,222.12,205.42,140.26,24435050.53,4274158.43,4.174,32.511,48.74,0
2025,CORPORATE,218260153.69,213875885.6,4557168.68,0.3734,5806160.95,5174975.77,4139481.26,7451309.31,196.19,83.49,149.22,215.71,22305400.9,5444848.68,1.235,-15.97,38.4,0
2019,FAMILY,162119425.89,131769945.47,30431273.75,0.46,3070933.71,4232008.34,896297.91,7109026.21,93.96,202.29,202.37,63.61,5273797.38,17568727.22,0.811,-9.924,38.33,1
2014,PARTNERSHIP,241530589.0,148563942.11,92922165.1,0.5474,733272.78,5801256.7,1205767.75,146661.39,107.71,189.31,85.56,243.77,1949296.08,15284557.8,3.379,23.764,64.86,1
2005,CORPORATE,195312244.7,180277616.95,15000448.76,1.7864,3816647.19,1318323.6,3172210.58,4491083.98,91.91,213.13,76.93,159.3,8555221.91,464040.62,5.177,30.755,80.96,1
2019,FAMILY,174921263.92,97774485.31,77309542.74,0.7938,4401508.04,3827565.01,1589461.36,3028183.53,212.3,68.02,190.6,143.07,9827247.42,397112.13,2.727,-15.756,46.51,0
2016,FAMILY,116507277.46,74900903.69,41366495.0,1.273,1167169.95,5898482.85,1736604.56,9514431.15,111.45,183.0,200.11,201.87,11643430.75,5512106.21,5.298,7.634,29.79,1
2011,CORPORATE,57369956.65,36607633.54,20643864.28,0.3197,2574641.75,3505989.95,2796445.82,774657.89,155.94,102.88,192.04,163.49,12970747.52,16254911.21,2.599,-6.334,68.97,1
2015,FAMILY,249947670.16,204656380.57,45401759.5,0.7946,1654866.4,2260747.02,2017295.61,6964965.79,177.42,207.58,81.65,163.35,18035408.55,16611286.4,3.573,29.547,74.15,0
2020,CORPORATE,124694176.11,81732554.9,43193139.8,1.3542,3358374.2,5003758.56,2376223.22,6603531.17,211.18,74.15,131.17,120.0,1208066.96,6487005.39,3.456,13.909,51.14,0
2009,FAMILY,77732899.04,74066489.69,3756436.32,0.4235,4727112.42,4927402.05,1204046.7,11182749.63,94.83,81.69,166.03,64.96,10347855.73,11978001.5,1.617,26.91,95.28,0
2020,FAMILY,52725001.75,30272925.64,22364571.72,1.2865,2420926.77,3626974.32,3503215.44,8270185.52,162.26,117.02,109.75,87.08,11170017.2,13855760.13,4.023,8.77,56.37,0
2024,FAMILY,59594793.08,35412098.48,24042656.01,1.4804,5882872.41,4522214.16,4858989.4,4648596.49,175.95,143.76,209.73,110.46,5091425.65,6410467.53,4.937,4.496,92.57,1
2025,FAMILY,8239686.48,5810252.35,2582939.97,0.9485,5147950.72,1374434.29,4188169.0,10216724.19,212.7,70.89,135.01,240.9,19213412.05,13493386.54,3.318,-19.192,99.29,1
2018,TRUST,167529559.45,135793072.23,31652444.53,0.5072,7351624.88,1201632.8,4699246.4,2314051.03,101.09,186.83,153.11,162.23,21733823.94,9684375.61,2.792,28.311,23.3,1
2023,CORPORATE,77307997.02,70793834.64,6300103.88,1.027,1900447.86,232316.04,3011392.43,3894495.05,99.73,66.06,184.21,242.31,3911683.69,9055364.22,5.286,26.905,69.5,1
2019,FAMILY,173180776.41,120829027.44,52518722.1,0.7526,223058.8,2032261.52,2325788.62,7739724.82,193.55,217.48,120.78,70.58,14105755.22,5827538.74,4.536,27.248,42.5,1
2023,PARTNERSHIP,84309061.5,53703490.47,30821825.57,1.2905,5547625.38,3523819.85,1198298.28,5661226.89,157.02,148.16,192.43,121.46,21600272.08,7209318.08,1.161,31.126,49.34,0
2022,CORPORATE,56138905.6,53767946.76,2526513.75,0.7147,931482.32,5299636.88,2443868.38,3230795.68,120.28,147.57,165.47,87.02,1016777.5,7985661.67,0.524,33.568,49.29,0
2013,OTHER,248584550.34,162489281.33,86049658.87,0.7623,2122290.65,3076967.03,293748.63,5142057.23,168.77,243.46,208.23,103.89,11004038.28,11235723.46,3.99,10.162,3.17,1
2016,FAMILY,140552950.38,81509360.65,58993479.38,0.7392,3515613.96,3989217.05,4718453.15,10941192.39,76.89,80.49,165.39,66.17,20840558.33,5426056.55,0.208,-23.734,86.58,0
2015,PARTNERSHIP,8103376.73,5869440.54,2396484.09,0.9859,6954384.85,746918.31,2401577.35,5734621.97,187.3,212.91,126.06,229.31,2779914.87,11853964.99,2.158,-2.537,7.57,0
2017,FAMILY,38969823.35,27959590.2,10821983.93,1.0159,2442610.97,3251204.01,2819036.2,8934255.7,119.36,94.35,162.35,139.96,24221873.05,15973240.62,0.563,-23.88,75.87,0
2013,FAMILY,62596862.79,37571700.14,24879599.57,1.4386,1103183.15,5390492.08,3229424.7,8952858.07,60.17,209.62,154.36,131.79,11850020.26,3487074.27,0.446,19.923,77.39,1
2014,FAMILY,48043501.25,46584314.02,1302462.34,0.0439,4524148.95,5419495.94,2170369.63,11044269.81,89.24,224.73,182.54,187.51,10874150.4,13874088.17,0.74,-7.578,82.62,0
2008,FAMILY,219751208.52,208320657.92,11422843.71,0.8392,7782348.95,1343357.5,1104244.46,8979755.24,195.94,193.42,115.59,134.39,22628839.4,13209957.93,1.031,-6.151,69.22,0
2005,FAMILY,720809.22,493064.78,201283.64,1.0545,3531260.21,4346417.87,4520899.03,4929322.52,62.99,96.78,199.85,208.82,2086670.84,15195035.3,3.042,-14.613,31.28,1
2004,FAMILY,149620666.63,113624384.75,35964531.21,1.1014,6255657.3,4032494.17,4480356.6,9742200.14,157.97,257.5,113.92,201.83,1408958.64,16013124.1,4.835,3.481,56.02,1
2011,FAMILY,77224658.69,50368795.39,26652551.7,0.8967,4968285.57,3685124.99,1481940.51,1337453.14,126.78,141.22,116.68,181.1,5482239.45,12053894.91,2.452,-7.352,90.25,0
2013,FAMILY,129016372.28,80058988.45,48844669.81,1.6951,457831.4,5309732.06,1940226.09,11247884.73,89.39,204.69,161.21,175.78,16893057.72,1250434.74,3.656,20.147,22.38,1
2010,OTHER,211695203.15,197883780.79,13931470.66,1.4303,3670301.16,5409007.38,4169699.28,4984834.68,98.32,90.23,182.89,134.4,12895114.5,13724813.23,3.148,-17.218,40.42,1
2005,PARTNERSHIP,133217411.12,79022939.2,54276500.46,0.3109,370382.74,5116036.31,2638993.04,3842338.31,76.07,186.09,156.75,71.05,9001700.03,2231574.22,5.066,-4.847,59.16,0
2020,FAMILY,20469409.45,14779583.81,5689066.22,1.1269,6791060.32,4424634.36,1054300.25,4854951.7,218.53,66.41,177.4,171.31,3067442.31,12029132.76,1.928,19.62,59.86,0
2004,PARTNERSHIP,30627571.26,23200504.26,7286964.66,0.7406,3193003.04,2458034.45,4108438.77,356012.04,154.48,239.66,196.69,188.66,1670608.87,1096665.41,0.447,9.419,0.55,1
2008,CORPORATE,7982225.63,6783230.16,954966.96,0.7987,6684753.2,5241968.48,187539.7,5022396.07,114.68,190.36,85.84,120.48,11445374.93,15706743.5,3.223,5.267,68.3,0
2025,FAMILY,116118411.78,76930605.05,39326934.33,1.5117,7535564.91,3751532.57,2445105.67,11981831.57,112.73,133.45,125.59,61.62,24122537.18,7742246.54,2.382,31.909,96.33,1
