mig_asylum_reference_month,mig_asylum_host_country_iso2,mig_asylum_applicant_country_of_origin_iso2,mig_asylum_applicant_age_group,mig_asylum_applicant_sex,mig_asylum_application_type,mig_asylum_dublin_transfer_flag,mig_asylum_first_instance_decision_code,mig_asylum_first_instance_decision_count,mig_asylum_final_decision_code,mig_asylum_final_decision_count,mig_asylum_time_to_decision_days_median,mig_asylum_relocation_mechanism_flag,mig_asylum_resettlement_flag,mig_asylum_temporary_protection_flag,mig_asylum_reception_capacity_beds,mig_asylum_recognition_rate_pct,mig_asylum_eu_agency_support_flag,mig_asylum_eurostat_table_code,mig_asylum_data_extract_date
2022-11,BE,TR,0-13,M,FAMILY_UNIT,1,REFUGEE_STATUS,553,REFUGEE_STATUS,334,255,0,1,0,1655,73.45,0,migr_asyappctzm,2025-05-09
2022-12,FI,GB,0-13,M,APPEAL_RELATED,0,REJECTED,527,OTHER,423,289,0,0,0,1752,32.47,1,migr_asyappctza,2025-08-09
2023-01,LV,ME,0-13,M,FIRST_TIME,0,OTHER,515,WITHDRAWN,470,259,0,0,0,1593,53.09,0,migr_asydec1,2024-08-08
2023-02,RO,US,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,525,REJECTED,421,273,0,0,0,1616,66.89,1,migr_asytpsm,2024-11-18
2023-03,BG,GH,0-13,M,FAMILY_UNIT,1,WITHDRAWN,504,SUBSIDIARY_PROTECTION,309,268,0,0,0,1645,61.88,0,migr_asydec2,2025-02-07
2023-04,FR,NG,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,545,REFUGEE_STATUS,287,289,0,0,0,1650,53.69,0,migr_asyappctzm,2024-01-27
2023-05,LT,AL,0-13,M,FIRST_TIME,1,REJECTED,523,OTHER,483,283,0,1,0,1691,12.04,0,migr_asyappctza,2024-04-28
2023-06,SK,IQ,0-13,M,SUBSEQUENT,0,OTHER,530,WITHDRAWN,249,264,1,0,0,1645,67.87,1,migr_asydec1,2024-11-28
2023-07,HR,PK,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,546,REJECTED,515,290,0,0,1,1831,23.36,0,migr_asytpsm,2025-02-20
2023-08,DE,BY,0-13,M,APPEAL_RELATED,1,WITHDRAWN,539,SUBSIDIARY_PROTECTION,412,276,0,0,0,1771,53.55,1,migr_asydec2,2025-12-06
2023-09,LU,IS,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,11,REFUGEE_STATUS,9,288,0,0,0,1606,21.56,0,migr_asyappctzm,2024-09-04
2023-10,SI,RU,0-13,M,SUBSEQUENT,0,REJECTED,45,OTHER,18,293,1,0,0,1825,70.3,0,migr_asyappctza,2024-07-24
2023-11,CY,CN,0-13,M,FAMILY_UNIT,0,OTHER,66,WITHDRAWN,50,298,0,1,0,1847,15.43,1,migr_asydec1,2024-02-14
2023-12,GR,KE,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,44,REJECTED,37,279,0,0,0,1722,37.24,0,migr_asytpsm,2025-10-28
2024-01,MT,TN,0-13,M,FIRST_TIME,0,WITHDRAWN,31,SUBSIDIARY_PROTECTION,28,292,0,0,0,1720,27.93,0,migr_asydec2,2024-04-19
2024-02,ES,EG,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,47,REFUGEE_STATUS,28,267,0,0,0,1818,33.01,0,migr_asyappctzm,2025-04-23
2024-03,CZ,MD,0-13,M,FAMILY_UNIT,0,REJECTED,37,OTHER,15,285,0,0,0,1790,74.73,1,migr_asyappctza,2025-11-30
2024-04,HU,UA,0-13,M,APPEAL_RELATED,0,OTHER,53,WITHDRAWN,45,284,0,0,0,1720,83.97,0,migr_asydec1,2024-10-23
2024-05,NL,GE,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,46,REJECTED,40,282,0,0,0,1779,22.65,0,migr_asytpsm,2025-03-22
2024-06,SE,MK,0-13,M,SUBSEQUENT,0,WITHDRAWN,57,SUBSIDIARY_PROTECTION,52,272,0,1,0,1821,74.52,0,migr_asydec2,2026-01-27
2024-07,DK,VN,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,25,REFUGEE_STATUS,20,309,1,0,0,1711,37.1,1,migr_asyappctzm,2024-10-07
2024-08,IE,IN,0-13,M,APPEAL_RELATED,0,REJECTED,76,OTHER,72,272,0,0,0,1636,82.64,1,migr_asyappctza,2025-08-18
2024-09,PL,NO,0-13,M,FIRST_TIME,1,OTHER,61,WITHDRAWN,25,281,0,1,0,1636,77.94,0,migr_asydec1,2025-07-07
2024-10,AT,BA,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,50,REJECTED,31,289,0,0,0,1868,14.25,0,migr_asytpsm,2024-02-08
2024-11,EE,IR,0-13,M,FAMILY_UNIT,0,WITHDRAWN,58,SUBSIDIARY_PROTECTION,27,303,0,0,0,1686,66.93,1,migr_asydec2,2025-03-01
2024-12,IT,RS,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,73,REFUGEE_STATUS,50,276,0,0,0,1869,53.97,0,migr_asyappctzm,2026-02-18
2025-01,PT,CH,0-13,M,FIRST_TIME,0,REJECTED,79,OTHER,38,282,0,0,0,1651,63.94,1,migr_asyappctza,2025-04-23
2025-02,BE,JP,0-13,M,SUBSEQUENT,0,OTHER,34,WITHDRAWN,17,300,0,0,0,1804,68.81,0,migr_asydec1,2024-10-26
2025-03,FI,SY,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,69,REJECTED,38,290,0,0,1,1888,74.38,1,migr_asytpsm,2025-09-07
2025-04,LV,DZ,0-13,M,APPEAL_RELATED,0,WITHDRAWN,72,SUBSIDIARY_PROTECTION,65,281,1,0,0,1768,43.76,0,migr_asydec2,2024-06-05
2025-05,RO,MA,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,75,REFUGEE_STATUS,51,53,0,1,0,1838,47.98,0,migr_asyappctzm,2025-04-19
2025-06,BG,TR,0-13,M,SUBSEQUENT,1,REJECTED,27,OTHER,14,37,0,0,1,1853,23.11,1,migr_asyappctza,2025-04-05
2025-07,FR,GB,0-13,M,FAMILY_UNIT,0,OTHER,37,WITHDRAWN,30,35,0,0,0,1901,55.11,0,migr_asydec1,2024-11-11
2025-08,LT,ME,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,80,REJECTED,55,38,0,0,0,1764,14.52,1,migr_asytpsm,2025-12-29
2025-09,SK,US,0-13,M,FIRST_TIME,0,WITHDRAWN,70,SUBSIDIARY_PROTECTION,33,29,0,0,0,1826,26.26,1,migr_asydec2,2025-03-22
2025-10,HR,GH,0-13,M,SUBSEQUENT,1,REFUGEE_STATUS,67,REFUGEE_STATUS,45,54,0,0,1,1725,73.24,0,migr_asyappctzm,2025-09-21
2025-11,DE,NG,0-13,M,FAMILY_UNIT,1,REJECTED,46,OTHER,29,56,0,1,0,1897,55.66,0,migr_asyappctza,2025-05-18
2025-12,LU,AL,0-13,M,APPEAL_RELATED,0,OTHER,54,WITHDRAWN,54,39,1,1,0,1917,35.21,1,migr_asydec1,2024-05-26
2026-01,SI,IQ,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,77,REJECTED,42,46,0,0,0,1884,10.78,0,migr_asytpsm,2024-01-04
2026-02,CY,PK,0-13,M,SUBSEQUENT,0,WITHDRAWN,79,SUBSIDIARY_PROTECTION,37,29,0,0,0,1687,79.65,0,migr_asydec2,2025-04-21
2026-03,GR,BY,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,81,REFUGEE_STATUS,43,66,0,0,0,1805,47.94,0,migr_asyappctzm,2024-01-14
2026-04,MT,IS,0-13,M,APPEAL_RELATED,0,REJECTED,65,OTHER,37,37,0,0,0,1873,8.41,1,migr_asyappctza,2025-03-05
2026-05,ES,RU,0-13,M,FIRST_TIME,0,OTHER,63,WITHDRAWN,37,49,0,0,0,1861,56.75,0,migr_asydec1,2024-09-10
2026-06,CZ,CN,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,75,REJECTED,40,40,0,0,0,1709,53.03,1,migr_asytpsm,2024-04-30
2026-07,HU,KE,0-13,M,FAMILY_UNIT,0,WITHDRAWN,81,SUBSIDIARY_PROTECTION,61,42,0,0,0,1708,6.75,1,migr_asydec2,2026-01-22
2026-08,NL,TN,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,48,REFUGEE_STATUS,32,55,0,0,0,1923,42.77,0,migr_asyappctzm,2024-03-30
2026-09,SE,EG,0-13,M,FIRST_TIME,0,REJECTED,46,OTHER,28,37,0,0,0,1901,21.69,1,migr_asyappctza,2024-10-27
2026-10,DK,MD,0-13,M,SUBSEQUENT,0,OTHER,78,WITHDRAWN,69,70,0,0,0,1878,70.09,0,migr_asydec1,2024-05-28
2026-11,IE,UA,0-13,M,FAMILY_UNIT,1,SUBSIDIARY_PROTECTION,51,REJECTED,34,67,0,0,1,1859,51.3,0,migr_asytpsm,2025-11-02
2026-12,PL,GE,0-13,M,APPEAL_RELATED,0,WITHDRAWN,71,SUBSIDIARY_PROTECTION,68,62,0,0,0,1818,10.84,1,migr_asydec2,2024-12-18
2018-01,AT,MK,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,48,REFUGEE_STATUS,26,68,0,0,0,1747,16.45,1,migr_asyappctzm,2025-04-16
2018-02,EE,VN,0-13,M,SUBSEQUENT,0,REJECTED,93,OTHER,92,59,0,0,0,1907,39.01,0,migr_asyappctza,2024-08-29
2018-03,IT,IN,0-13,M,FAMILY_UNIT,1,OTHER,59,WITHDRAWN,56,72,0,0,0,1823,79.08,0,migr_asydec1,2024-06-20
2018-04,PT,NO,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,77,REJECTED,46,56,0,0,0,1754,83.64,0,migr_asytpsm,2025-05-24
2018-05,BE,BA,0-13,M,FIRST_TIME,0,WITHDRAWN,86,SUBSIDIARY_PROTECTION,55,79,1,0,0,1803,66.81,0,migr_asydec2,2026-01-02
2018-06,FI,IR,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,74,REFUGEE_STATUS,65,49,0,0,0,1814,46.91,0,migr_asyappctzm,2025-01-24
2018-07,LV,RS,0-13,M,FAMILY_UNIT,0,REJECTED,80,OTHER,44,82,0,0,0,1800,64.41,0,migr_asyappctza,2025-11-19
2018-08,RO,CH,0-13,M,APPEAL_RELATED,1,OTHER,78,WITHDRAWN,60,68,0,0,0,1823,30.88,0,migr_asydec1,2024-02-28
2018-09,BG,JP,0-13,M,FIRST_TIME,1,SUBSIDIARY_PROTECTION,108,REJECTED,81,50,0,0,1,1835,55.38,0,migr_asytpsm,2025-07-20
2018-10,FR,SY,0-13,M,SUBSEQUENT,0,WITHDRAWN,59,SUBSIDIARY_PROTECTION,41,66,1,0,0,1874,18.52,0,migr_asydec2,2025-12-12
2018-11,LT,DZ,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,85,REFUGEE_STATUS,53,87,0,0,0,1901,63.16,0,migr_asyappctzm,2024-05-08
2018-12,SK,MA,0-13,M,APPEAL_RELATED,0,REJECTED,105,OTHER,64,67,1,0,0,1981,5.23,1,migr_asyappctza,2026-01-22
2019-01,HR,TR,0-13,M,FIRST_TIME,0,OTHER,105,WITHDRAWN,95,73,1,0,0,1818,45.26,1,migr_asydec1,2025-07-26
2019-02,DE,GB,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,85,REJECTED,73,77,0,0,0,1839,39.31,0,migr_asytpsm,2026-02-23
2019-03,LU,ME,0-13,M,FAMILY_UNIT,1,WITHDRAWN,115,SUBSIDIARY_PROTECTION,97,87,0,0,0,2000,5.47,0,migr_asydec2,2024-06-12
2019-04,SI,US,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,103,REFUGEE_STATUS,77,84,0,0,0,1886,74.84,1,migr_asyappctzm,2025-01-06
2019-05,CY,GH,0-13,M,FIRST_TIME,1,REJECTED,82,OTHER,49,82,0,0,0,1942,57.58,0,migr_asyappctza,2025-06-30
2019-06,GR,NG,0-13,M,SUBSEQUENT,0,OTHER,104,WITHDRAWN,95,68,0,0,0,2013,72.1,0,migr_asydec1,2024-03-14
2019-07,MT,AL,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,93,REJECTED,89,83,0,0,0,1840,58.03,1,migr_asytpsm,2025-06-23
2019-08,ES,IQ,0-13,M,APPEAL_RELATED,0,WITHDRAWN,117,SUBSIDIARY_PROTECTION,98,80,0,1,0,1910,75.39,1,migr_asydec2,2026-02-11
2019-09,CZ,PK,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,71,REFUGEE_STATUS,56,89,0,1,0,1947,42.51,0,migr_asyappctzm,2024-04-12
2019-10,HU,BY,0-13,M,SUBSEQUENT,0,REJECTED,126,OTHER,79,77,1,0,0,1858,20.83,0,migr_asyappctza,2024-10-19
2019-11,NL,IS,0-13,M,FAMILY_UNIT,0,OTHER,70,WITHDRAWN,35,85,0,0,0,1967,66.56,1,migr_asydec1,2025-03-21
2019-12,SE,RU,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,122,REJECTED,63,82,1,0,0,1973,27.14,0,migr_asytpsm,2025-07-25
2020-01,DK,CN,0-13,M,FIRST_TIME,0,WITHDRAWN,92,SUBSIDIARY_PROTECTION,45,96,1,0,0,1987,75.41,1,migr_asydec2,2025-09-18
2020-02,IE,KE,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,74,REFUGEE_STATUS,49,65,0,0,0,1820,25.66,0,migr_asyappctzm,2024-04-11
2020-03,PL,TN,0-13,M,FAMILY_UNIT,1,REJECTED,78,OTHER,75,86,0,0,0,1846,44.92,0,migr_asyappctza,2024-11-03
2020-04,AT,EG,0-13,M,APPEAL_RELATED,0,OTHER,87,WITHDRAWN,69,80,0,0,0,1992,54.89,0,migr_asydec1,2025-02-17
2020-05,EE,MD,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,101,REJECTED,96,106,0,0,0,1869,42.88,1,migr_asytpsm,2024-10-13
2020-06,IT,UA,0-13,M,SUBSEQUENT,0,WITHDRAWN,74,SUBSIDIARY_PROTECTION,67,89,0,1,1,2027,70.69,0,migr_asydec2,2025-03-25
2020-07,PT,GE,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,119,REFUGEE_STATUS,71,79,0,0,0,1930,19.44,1,migr_asyappctzm,2025-06-13
2020-08,BE,MK,0-13,M,APPEAL_RELATED,0,REJECTED,110,OTHER,52,88,0,0,0,1835,63.52,0,migr_asyappctza,2024-01-15
2020-09,FI,VN,0-13,M,FIRST_TIME,0,OTHER,108,WITHDRAWN,83,98,0,0,0,1819,19.17,0,migr_asydec1,2024-02-13
2020-10,LV,IN,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,111,REJECTED,70,105,1,0,0,1893,54.26,0,migr_asytpsm,2026-01-28
2020-11,RO,NO,0-13,M,FAMILY_UNIT,0,WITHDRAWN,98,SUBSIDIARY_PROTECTION,90,98,0,0,0,2013,60.17,0,migr_asydec2,2024-02-21
2020-12,BG,BA,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,125,REFUGEE_STATUS,72,97,0,0,0,1958,84.96,1,migr_asyappctzm,2024-09-13
2021-01,FR,IR,0-13,M,FIRST_TIME,0,REJECTED,98,OTHER,82,111,0,0,0,2017,15.51,1,migr_asyappctza,2026-02-13
2021-02,LT,RS,0-13,M,SUBSEQUENT,0,OTHER,90,WITHDRAWN,52,90,0,0,0,1982,45.73,0,migr_asydec1,2024-11-20
2021-03,SK,CH,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,133,REJECTED,103,115,0,0,0,1950,23.9,0,migr_asytpsm,2024-02-13
2021-04,HR,JP,0-13,M,APPEAL_RELATED,0,WITHDRAWN,122,SUBSIDIARY_PROTECTION,120,110,0,0,0,2036,55.15,0,migr_asydec2,2024-03-06
2021-05,DE,SY,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,124,REFUGEE_STATUS,59,101,0,0,1,1915,6.06,0,migr_asyappctzm,2024-08-08
2021-06,LU,DZ,0-13,M,SUBSEQUENT,0,REJECTED,134,OTHER,70,109,0,0,0,2034,40.57,0,migr_asyappctza,2024-07-14
2021-07,SI,MA,0-13,M,FAMILY_UNIT,0,OTHER,107,WITHDRAWN,106,121,1,0,0,1904,45.11,1,migr_asydec1,2025-12-03
2021-08,CY,TR,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,97,REJECTED,67,123,0,0,0,1934,23.98,1,migr_asytpsm,2026-01-29
2021-09,GR,GB,0-13,M,FIRST_TIME,0,WITHDRAWN,123,SUBSIDIARY_PROTECTION,87,123,0,0,0,2089,36.5,0,migr_asydec2,2025-03-18
2021-10,MT,ME,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,129,REFUGEE_STATUS,104,120,0,0,0,2048,8.66,1,migr_asyappctzm,2026-01-24
2021-11,ES,US,0-13,M,FAMILY_UNIT,0,REJECTED,146,OTHER,80,114,0,0,0,1861,18.05,1,migr_asyappctza,2025-09-30
2021-12,CZ,GH,0-13,M,APPEAL_RELATED,0,OTHER,135,WITHDRAWN,65,106,0,0,0,1889,70.03,0,migr_asydec1,2025-01-24
2022-01,HU,NG,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,144,REJECTED,65,105,0,1,0,1941,43.45,0,migr_asytpsm,2025-04-17
2022-02,NL,AL,0-13,M,SUBSEQUENT,0,WITHDRAWN,134,SUBSIDIARY_PROTECTION,126,108,0,0,0,1912,40.21,0,migr_asydec2,2025-01-09
2022-03,SE,IQ,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,96,REFUGEE_STATUS,47,129,0,0,1,1877,14.07,1,migr_asyappctzm,2025-04-17
2022-04,DK,PK,0-13,M,APPEAL_RELATED,1,REJECTED,143,OTHER,127,99,0,0,0,2039,83.9,0,migr_asyappctza,2024-06-15
2022-05,IE,BY,0-13,M,FIRST_TIME,1,OTHER,150,WITHDRAWN,144,96,0,0,0,2115,45.97,1,migr_asydec1,2025-02-15
2022-06,PL,IS,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,124,REJECTED,95,124,0,1,0,1999,19.36,0,migr_asytpsm,2025-07-13
2022-07,AT,RU,0-13,M,FAMILY_UNIT,0,WITHDRAWN,152,SUBSIDIARY_PROTECTION,68,112,0,1,0,2123,77.35,1,migr_asydec2,2025-04-01
2022-08,EE,CN,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,145,REFUGEE_STATUS,72,116,0,0,0,1953,32.46,0,migr_asyappctzm,2025-05-10
2022-09,IT,KE,0-13,M,FIRST_TIME,0,REJECTED,131,OTHER,113,107,0,0,0,1954,12.89,0,migr_asyappctza,2026-02-18
2022-10,PT,TN,0-13,M,SUBSEQUENT,0,OTHER,119,WITHDRAWN,94,113,0,0,0,2018,43.77,0,migr_asydec1,2026-01-07
2022-11,BE,EG,0-13,M,FAMILY_UNIT,1,SUBSIDIARY_PROTECTION,160,REJECTED,102,120,1,0,0,1924,44.18,0,migr_asytpsm,2025-03-16
2022-12,FI,MD,0-13,M,APPEAL_RELATED,0,WITHDRAWN,163,SUBSIDIARY_PROTECTION,76,119,1,0,0,1922,17.4,0,migr_asydec2,2024-05-04
2023-01,LV,UA,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,150,REFUGEE_STATUS,70,109,0,0,1,2049,6.84,0,migr_asyappctzm,2025-09-26
2023-02,RO,GE,0-13,M,SUBSEQUENT,0,REJECTED,117,OTHER,58,125,0,0,0,2083,67.31,1,migr_asyappctza,2025-01-13
2023-03,BG,MK,0-13,M,FAMILY_UNIT,0,OTHER,123,WITHDRAWN,114,116,0,0,0,1955,20.95,0,migr_asydec1,2024-07-15
2023-04,FR,VN,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,162,REJECTED,138,127,0,0,0,2071,9.2,0,migr_asytpsm,2025-01-08
2023-05,LT,IN,0-13,M,FIRST_TIME,0,WITHDRAWN,134,SUBSIDIARY_PROTECTION,63,138,0,0,0,1926,6.49,1,migr_asydec2,2024-03-04
2023-06,SK,NO,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,170,REFUGEE_STATUS,97,132,0,0,0,1982,15.29,0,migr_asyappctzm,2024-05-16
2023-07,HR,BA,0-13,M,FAMILY_UNIT,0,REJECTED,168,OTHER,96,108,0,0,0,2008,26.38,0,migr_asyappctza,2025-03-18
2023-08,DE,IR,0-13,M,APPEAL_RELATED,0,OTHER,115,WITHDRAWN,54,108,0,0,0,2034,75.09,1,migr_asydec1,2025-01-11
2023-09,LU,RS,0-13,M,FIRST_TIME,1,SUBSIDIARY_PROTECTION,151,REJECTED,74,126,0,0,0,2102,70.25,0,migr_asytpsm,2024-02-20
2023-10,SI,CH,0-13,M,SUBSEQUENT,0,WITHDRAWN,121,SUBSIDIARY_PROTECTION,66,145,0,0,0,1972,21.98,0,migr_asydec2,2025-06-01
2023-11,CY,JP,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,116,REFUGEE_STATUS,48,116,0,0,0,2051,36.4,0,migr_asyappctzm,2024-11-16
2023-12,GR,SY,0-13,M,APPEAL_RELATED,0,REJECTED,144,OTHER,142,147,0,0,1,2088,54.83,0,migr_asyappctza,2024-06-07
2024-01,MT,DZ,0-13,M,FIRST_TIME,0,OTHER,154,WITHDRAWN,146,120,0,0,0,2170,8.28,0,migr_asydec1,2025-10-19
2024-02,ES,MA,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,172,REJECTED,154,127,0,1,0,2091,23.12,0,migr_asytpsm,2025-12-24
2024-03,CZ,TR,0-13,M,FAMILY_UNIT,0,WITHDRAWN,161,SUBSIDIARY_PROTECTION,147,131,0,0,0,2099,72.93,1,migr_asydec2,2024-01-23
2024-04,HU,GB,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,170,REFUGEE_STATUS,81,134,0,0,0,1946,71.75,1,migr_asyappctzm,2025-03-15
2024-05,NL,ME,0-13,M,FIRST_TIME,0,REJECTED,163,OTHER,68,128,1,1,0,1950,71.99,0,migr_asyappctza,2025-01-24
2024-06,SE,US,0-13,M,SUBSEQUENT,0,OTHER,142,WITHDRAWN,122,118,0,0,0,1975,80.08,1,migr_asydec1,2024-08-28
2024-07,DK,GH,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,149,REJECTED,102,152,0,0,0,2145,72.24,0,migr_asytpsm,2024-12-01
2024-08,IE,NG,0-13,M,APPEAL_RELATED,0,WITHDRAWN,178,SUBSIDIARY_PROTECTION,116,152,0,0,0,2108,18.31,0,migr_asydec2,2025-08-24
2024-09,PL,AL,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,166,REFUGEE_STATUS,162,131,0,0,0,2046,84.52,0,migr_asyappctzm,2025-03-26
2024-10,AT,IQ,0-13,M,SUBSEQUENT,0,REJECTED,151,OTHER,147,132,0,0,0,1994,75.8,0,migr_asyappctza,2024-08-11
2024-11,EE,PK,0-13,M,FAMILY_UNIT,0,OTHER,156,WITHDRAWN,89,160,0,0,0,2079,59.47,0,migr_asydec1,2025-10-12
2024-12,IT,BY,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,132,REJECTED,104,135,0,0,0,2182,67.4,0,migr_asytpsm,2024-04-01
2025-01,PT,IS,0-13,M,FIRST_TIME,0,WITHDRAWN,148,SUBSIDIARY_PROTECTION,139,151,0,0,0,2155,38.34,0,migr_asydec2,2024-02-28
2025-02,BE,RU,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,188,REFUGEE_STATUS,105,148,1,0,0,1998,36.25,1,migr_asyappctzm,2024-11-29
2025-03,FI,CN,0-13,M,FAMILY_UNIT,0,REJECTED,160,OTHER,126,144,0,0,0,2196,66.17,0,migr_asyappctza,2024-06-03
2025-04,LV,KE,0-13,M,APPEAL_RELATED,0,OTHER,170,WITHDRAWN,70,164,0,0,0,2113,77.89,0,migr_asydec1,2024-08-12
2025-05,RO,TN,0-13,M,FIRST_TIME,1,SUBSIDIARY_PROTECTION,172,REJECTED,150,159,0,0,0,2129,15.97,0,migr_asytpsm,2025-10-27
2025-06,BG,EG,0-13,M,SUBSEQUENT,0,WITHDRAWN,154,SUBSIDIARY_PROTECTION,151,164,0,0,0,2105,50.61,0,migr_asydec2,2024-02-28
2025-07,FR,MD,0-13,M,FAMILY_UNIT,1,REFUGEE_STATUS,162,REFUGEE_STATUS,69,166,1,1,0,2120,37.49,0,migr_asyappctzm,2024-01-12
2025-08,LT,UA,0-13,M,APPEAL_RELATED,0,REJECTED,167,OTHER,74,153,0,0,0,2049,15.65,1,migr_asyappctza,2025-03-30
2025-09,SK,GE,0-13,M,FIRST_TIME,0,OTHER,165,WITHDRAWN,104,147,0,0,0,2127,26.71,0,migr_asydec1,2025-09-20
2025-10,HR,MK,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,144,REJECTED,110,163,0,0,0,2189,73.34,1,migr_asytpsm,2024-05-11
2025-11,DE,VN,0-13,M,FAMILY_UNIT,0,WITHDRAWN,188,SUBSIDIARY_PROTECTION,124,150,1,0,0,2155,6.92,0,migr_asydec2,2024-04-03
2025-12,LU,IN,0-13,M,APPEAL_RELATED,1,REFUGEE_STATUS,144,REFUGEE_STATUS,109,162,0,0,0,2023,45.87,1,migr_asyappctzm,2025-10-10
2026-01,SI,NO,0-13,M,FIRST_TIME,0,REJECTED,157,OTHER,73,168,0,0,0,2044,63.41,1,migr_asyappctza,2024-11-15
2026-02,CY,BA,0-13,M,SUBSEQUENT,0,OTHER,186,WITHDRAWN,180,156,0,0,0,2183,30.64,1,migr_asydec1,2024-02-06
2026-03,GR,IR,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,179,REJECTED,164,152,1,0,0,2079,39.91,0,migr_asytpsm,2026-02-05
2026-04,MT,RS,0-13,M,APPEAL_RELATED,0,WITHDRAWN,203,SUBSIDIARY_PROTECTION,168,179,0,0,0,2089,10.71,0,migr_asydec2,2026-01-23
2026-05,ES,CH,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,186,REFUGEE_STATUS,186,166,0,0,0,2070,42.36,1,migr_asyappctzm,2025-07-04
2026-06,CZ,JP,0-13,M,SUBSEQUENT,0,REJECTED,146,OTHER,140,146,0,0,0,2066,57.85,0,migr_asyappctza,2025-06-27
2026-07,HU,SY,0-13,M,FAMILY_UNIT,0,OTHER,171,WITHDRAWN,141,143,1,0,0,2056,22.19,0,migr_asydec1,2025-04-10
2026-08,NL,DZ,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,182,REJECTED,138,180,0,0,0,2138,44.83,0,migr_asytpsm,2024-06-14
2026-09,SE,MA,0-13,M,FIRST_TIME,0,WITHDRAWN,181,SUBSIDIARY_PROTECTION,144,171,0,0,0,2036,17.2,0,migr_asydec2,2025-01-31
2026-10,DK,TR,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,160,REFUGEE_STATUS,69,174,0,0,1,2063,61.67,0,migr_asyappctzm,2025-10-22
2026-11,IE,GB,0-13,M,FAMILY_UNIT,1,REJECTED,153,OTHER,102,153,0,0,0,2188,75.4,1,migr_asyappctza,2024-08-29
2026-12,PL,ME,0-13,M,APPEAL_RELATED,0,OTHER,156,WITHDRAWN,152,164,0,0,0,2265,64.31,1,migr_asydec1,2025-09-30
2018-01,AT,US,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,202,REJECTED,190,164,0,0,0,2278,35.26,0,migr_asytpsm,2025-11-10
