ag_crops_crop_year,ag_crops_county_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_usd_unit,ag_crops_revenue_per_acre_usd,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2009,FSA0000443,RICE,1329.86,1292.22,66.9,86449.52,24.74,V1,2016-04-08,2016-08-18,2898.3,0.7741,117.52,10.366,49.86,7.1,487.99,29.71,1
2006,FSA0000444,WHEAT,10397.04,8009.23,90.54,725155.68,12.54,V5,2007-11-07,2008-05-25,3652.3,0.4353,217.32,9.983,84.0,3.535,342.74,54.2,1
2019,FSA0000445,COTTON,22479.0,18701.84,68.53,1281637.1,75.75,V1,2014-10-09,2015-01-19,1682.2,0.8832,276.6,11.175,87.91,8.762,601.2,4.15,0
2008,FSA0000446,CORN,7895.68,7115.81,33.15,235889.1,73.14,V2,2015-06-30,2015-10-12,961.0,0.1592,82.03,6.617,45.38,7.725,227.28,28.15,1
2008,FSA0000447,SORGHUM,15006.3,12330.7,121.94,1503605.56,75.91,V4,2021-01-03,2021-06-09,2473.5,0.9144,90.04,14.022,56.7,4.779,637.92,6.09,1
2019,FSA0000448,COTTON,21304.01,18653.75,226.47,4224514.76,51.97,V7,2020-10-21,2021-01-25,1238.5,0.0202,190.02,7.324,1.87,15.961,3089.72,18.2,0
2006,FSA0000449,PEANUT,24847.72,19431.87,67.58,1313205.77,97.31,V8,2012-12-11,2013-06-26,1729.3,0.9079,241.75,8.352,1.24,8.496,592.08,11.92,1
2025,FSA0000450,WHEAT,10111.99,8792.08,64.71,568935.5,59.67,V7,2014-04-06,2014-07-29,1846.3,0.0725,266.24,18.533,45.43,3.961,205.21,14.15,1
2007,FSA0000451,WHEAT,11810.85,10503.94,118.52,1244926.97,22.45,V5,2016-12-31,2017-05-26,1400.1,0.8857,202.47,3.654,73.7,6.152,666.05,41.45,0
2021,FSA0000452,BARLEY,6092.79,4807.35,218.69,1051319.37,91.84,V8,2007-01-03,2007-04-09,3671.1,0.0988,120.87,18.067,43.76,17.589,3287.61,13.83,0
2015,FSA0000453,SOYBEAN,13810.78,13272.27,31.49,417943.78,46.79,V3,2005-05-12,2005-09-06,1422.2,0.1612,61.93,18.578,29.51,7.257,215.57,52.52,0
2011,FSA0000454,SOYBEAN,14876.65,10908.58,238.08,2597114.73,20.68,V5,2020-08-13,2020-12-23,3429.0,0.7204,281.4,17.478,89.4,9.626,2436.97,12.73,0
2024,FSA0000455,WHEAT,22223.76,16301.84,142.77,2327413.7,83.03,V4,2022-04-23,2022-10-15,4357.9,0.4648,129.81,22.243,96.08,3.581,518.36,23.07,0
2023,FSA0000456,SOYBEAN,14177.68,14051.84,207.56,2916599.91,92.26,V4,2005-07-11,2005-11-24,2795.7,0.5389,139.33,4.275,53.64,12.137,2504.68,24.64,0
2006,FSA0000457,SOYBEAN,4418.67,4108.7,66.73,274173.55,9.07,V4,2017-02-07,2017-06-30,1139.5,0.3422,222.97,16.929,36.94,4.078,233.7,21.9,0
2009,FSA0000458,RICE,21982.92,17719.2,200.9,3559787.28,56.34,V2,2016-09-04,2017-01-26,2937.7,0.3283,156.77,21.262,79.79,12.813,2047.17,32.29,1
2017,FSA0000459,RICE,953.93,725.27,139.94,101494.28,25.03,V2,2008-12-06,2009-05-28,2629.2,0.6713,172.26,9.264,19.48,11.764,1379.32,50.88,0
2009,FSA0000460,CORN,5350.88,4057.63,78.54,318686.26,53.06,V3,2022-10-18,2023-03-17,3201.0,0.7437,162.82,16.641,10.48,15.079,1143.74,31.33,1
2022,FSA0000461,SORGHUM,19083.13,18360.05,196.88,3614726.64,86.9,V6,2008-04-30,2008-09-05,3416.8,0.064,208.17,19.248,29.69,8.253,1385.0,12.69,1
2017,FSA0000462,POTATO,14673.23,10488.54,41.58,436113.49,94.27,V7,2012-01-10,2012-07-05,4390.3,0.2926,231.97,16.476,5.6,7.232,276.32,11.43,0
2022,FSA0000463,BARLEY,2465.51,2098.94,248.08,520705.04,2.04,V4,2010-06-07,2011-01-05,3742.7,0.7005,148.31,20.751,96.78,14.431,3520.45,12.71,0
2005,FSA0000464,CORN,11965.07,9226.56,127.08,1172511.24,13.9,V1,2011-06-22,2011-12-15,2744.7,0.7828,100.59,1.983,36.56,2.21,235.87,23.41,0
2007,FSA0000465,WHEAT,8384.9,8338.59,40.68,339213.84,23.46,V7,2016-02-11,2016-07-04,2498.7,0.4116,97.13,9.626,38.48,4.197,178.77,7.86,1
2021,FSA0000466,SOYBEAN,1343.61,1194.55,24.51,29278.42,49.77,V7,2016-12-26,2017-07-07,1197.1,0.5717,178.25,17.424,19.15,14.054,313.29,51.53,1
2018,FSA0000467,SORGHUM,2430.32,2115.11,238.17,503755.75,71.89,V5,2019-05-04,2019-08-17,1599.6,0.6034,6.32,1.675,54.37,9.944,2505.02,37.61,1
2011,FSA0000468,BARLEY,14385.98,10815.44,28.72,310619.44,45.0,V8,2020-05-17,2020-09-27,3659.8,0.9538,38.29,2.812,51.85,2.234,51.92,33.26,1
2016,FSA0000469,BARLEY,24156.33,17125.65,168.19,2880363.07,41.01,V1,2007-10-15,2008-03-22,1097.6,0.8864,165.13,18.276,18.0,13.483,2445.91,37.7,1
2006,FSA0000470,CORN,60.3,48.84,102.17,4989.98,64.03,V8,2011-12-28,2012-04-15,1108.3,0.1013,303.93,0.578,22.75,6.321,579.17,17.58,1
2018,FSA0000471,CORN,15716.62,11548.16,109.75,1267410.56,62.88,V6,2006-10-01,2006-12-30,4027.0,0.1326,127.02,21.537,93.95,13.293,1534.13,4.51,0
2016,FSA0000472,SOYBEAN,6046.67,5171.75,89.55,463130.21,56.22,V5,2006-07-11,2007-02-08,924.3,0.0217,4.63,15.046,93.12,9.837,920.44,9.94,1
2013,FSA0000473,WHEAT,689.89,539.61,74.46,40179.36,88.98,V5,2005-11-18,2006-04-09,3866.5,0.9216,318.65,6.346,19.33,8.566,514.59,49.62,1
2009,FSA0000474,SOYBEAN,1323.69,1079.25,213.21,230106.89,90.76,V3,2016-05-20,2016-10-08,3278.3,0.85,90.54,10.124,45.7,11.208,2022.0,59.49,1
2010,FSA0000475,CORN,12933.09,9197.88,131.66,1210992.88,47.74,V3,2017-01-31,2017-08-19,2789.8,0.4209,9.01,2.772,71.94,12.585,1775.45,53.3,0
2011,FSA0000476,BARLEY,21562.39,17475.2,119.83,2094053.22,2.71,V2,2017-04-05,2017-08-13,4115.7,0.2186,245.02,3.916,20.93,11.045,1225.16,12.19,1
2012,FSA0000477,WHEAT,14966.49,13148.48,47.24,621134.2,12.31,V7,2008-02-27,2008-09-23,3758.3,0.5643,269.62,6.381,53.62,9.143,364.39,14.18,0
2025,FSA0000478,BARLEY,22932.27,22446.22,78.94,1771904.61,0.75,V8,2021-04-11,2021-10-12,4442.8,0.9324,265.24,23.319,26.74,7.467,624.09,50.99,0
2015,FSA0000479,WHEAT,23031.71,18439.01,38.83,715986.76,73.69,V1,2005-03-08,2005-06-26,1800.6,0.6545,267.58,6.102,71.38,6.524,221.69,52.8,1
2025,FSA0000480,COTTON,11829.95,9287.15,166.53,1546589.09,62.25,V6,2024-01-04,2024-04-14,2984.3,0.5781,43.6,12.323,13.23,17.316,2270.59,37.8,1
2020,FSA0000481,WHEAT,11250.91,9024.71,76.84,693458.72,77.04,V6,2006-02-01,2006-08-15,3848.4,0.0449,186.29,19.653,9.98,4.455,330.6,35.69,1
2011,FSA0000482,SOYBEAN,16421.89,13788.41,168.9,2328862.45,94.21,V3,2007-06-17,2007-11-29,903.6,0.9673,21.27,21.686,30.8,15.065,2571.85,41.1,0
2023,FSA0000483,SOYBEAN,7467.19,6896.91,192.44,1327241.36,82.33,V7,2015-07-18,2015-12-30,2243.1,0.6423,30.6,10.129,22.76,3.522,738.42,13.29,0
2019,FSA0000484,WHEAT,208.13,186.94,130.67,24427.45,71.09,V8,2008-10-01,2009-01-22,2630.2,0.0903,99.39,20.622,55.73,6.917,824.2,29.27,1
2025,FSA0000485,CORN,18397.77,17567.33,84.43,1483209.67,53.76,V8,2024-01-27,2024-07-16,2135.0,0.492,50.61,22.809,21.92,11.093,985.26,13.36,1
2022,FSA0000486,CORN,24863.59,21143.69,63.73,1347487.36,16.44,V4,2020-12-15,2021-05-24,3061.3,0.1966,6.36,22.349,53.67,17.495,979.36,45.18,1
2025,FSA0000487,SOYBEAN,10993.41,8824.13,21.73,191748.34,45.6,V8,2005-06-28,2005-10-04,2324.9,0.9518,194.09,18.995,44.97,10.523,201.16,0.29,1
2023,FSA0000488,CORN,20473.72,19946.51,50.35,1004306.78,75.71,V2,2009-01-21,2009-05-04,2612.5,0.3838,296.4,9.523,39.84,12.453,624.41,42.77,1
2016,FSA0000489,SOYBEAN,12112.46,8638.41,71.73,619633.15,1.2,V6,2010-02-14,2010-08-05,4304.9,0.5955,198.27,24.463,3.19,10.046,656.69,2.79,1
2017,FSA0000490,CORN,7244.4,5825.65,139.13,810522.68,24.11,V6,2009-11-29,2010-05-08,3662.5,0.7828,203.94,14.048,94.45,12.775,1419.21,2.39,1
2023,FSA0000491,CORN,23618.98,23044.17,170.58,3930874.52,62.56,V7,2010-05-19,2010-12-12,877.8,0.745,104.52,10.859,28.02,10.622,1614.29,54.34,1
2025,FSA0000492,RICE,15698.58,12370.82,179.03,2214747.9,5.26,V1,2005-03-07,2005-06-27,1020.4,0.8525,265.73,20.793,65.79,8.101,1562.28,9.82,0
2006,FSA0000493,CORN,22017.86,20540.33,13.37,274624.21,90.67,V3,2023-03-21,2023-09-21,863.6,0.1351,105.96,19.141,26.89,13.056,135.86,24.76,0
2010,FSA0000494,CORN,15155.14,11865.89,66.59,790149.62,96.51,V2,2021-07-21,2021-12-28,1026.5,0.9028,88.29,15.952,90.27,13.046,955.47,51.96,1
2016,FSA0000495,SOYBEAN,16435.98,13442.72,141.6,1903489.15,32.39,V8,2019-02-22,2019-08-29,2409.7,0.9012,142.88,19.202,29.25,13.86,1479.66,23.09,1
2013,FSA0000496,SOYBEAN,17049.86,13609.88,163.66,2227392.96,26.11,V6,2011-02-12,2011-07-16,4392.6,0.884,243.58,14.997,91.65,9.919,1528.9,53.63,1
2011,FSA0000497,SORGHUM,22501.58,22253.39,183.41,4081494.26,25.97,V5,2006-12-25,2007-06-20,3896.4,0.0194,83.36,23.914,98.94,9.616,1884.82,55.67,0
2018,FSA0000498,SOYBEAN,14010.32,12028.65,73.17,880136.32,71.8,V6,2009-07-08,2010-01-06,3110.4,0.9931,178.29,10.904,44.24,9.262,597.13,18.88,1
2019,FSA0000499,SOYBEAN,4669.75,4602.37,45.26,208303.27,37.86,V6,2007-04-27,2007-09-04,3453.9,0.8593,77.63,10.428,97.32,3.036,148.84,55.08,0
2011,FSA0000500,BARLEY,11343.54,9263.73,56.79,526087.23,60.39,V5,2006-08-21,2006-12-20,2290.1,0.7209,233.74,16.163,56.55,13.837,852.89,47.59,1
2016,FSA0000501,SOYBEAN,18593.62,17875.01,192.21,3435755.67,21.81,V5,2010-02-20,2010-06-12,4316.3,0.8068,318.51,17.041,81.57,2.329,448.33,27.58,0
2020,FSA0000502,CORN,18973.29,14356.8,26.41,379163.09,48.62,V5,2015-09-29,2016-01-13,846.2,0.7472,153.49,24.282,49.59,15.64,404.58,17.78,1
2016,FSA0000503,CORN,14600.79,14055.86,112.7,1584095.42,65.1,V5,2005-05-17,2005-08-31,4478.9,0.1255,237.07,19.698,11.04,9.746,985.91,9.82,1
2020,FSA0000504,WHEAT,21723.59,21131.62,58.05,1226690.54,10.54,V3,2016-03-06,2016-08-24,4061.2,0.6936,273.1,11.276,63.02,17.034,960.0,8.28,1
2006,FSA0000505,WHEAT,10984.48,8304.52,232.74,1932793.98,79.0,V1,2018-12-08,2019-05-20,3404.1,0.1417,310.41,5.994,74.73,7.242,1557.56,12.82,0
2008,FSA0000506,SOYBEAN,24268.34,24267.45,113.72,2759694.41,32.38,V1,2022-07-29,2022-11-29,3760.2,0.7818,298.85,7.26,88.9,5.08,503.12,24.56,0
2010,FSA0000507,SOYBEAN,15748.31,13073.24,93.61,1223786.0,66.55,V7,2010-10-07,2011-01-30,3353.4,0.441,141.1,6.784,33.61,8.413,763.3,20.54,1
2017,FSA0000508,CORN,5075.98,3736.17,170.63,637502.69,17.11,V4,2012-03-03,2012-06-23,2138.0,0.7385,51.1,22.492,92.47,5.337,894.06,11.48,0
2023,FSA0000509,CORN,3976.43,2914.94,117.85,343525.68,88.04,V3,2018-01-05,2018-04-09,2550.4,0.5178,168.18,14.038,48.62,13.133,1651.1,54.33,1
2014,FSA0000510,SOYBEAN,14108.64,11791.32,165.08,1946511.11,89.7,V1,2006-04-30,2006-10-21,4059.6,0.8379,151.37,22.596,64.21,12.971,2148.89,54.81,0
2009,FSA0000511,CORN,4145.52,3922.93,135.58,531870.85,54.96,V2,2010-01-30,2010-07-28,3738.1,0.3891,243.5,14.627,18.78,13.978,1442.85,43.62,1
2020,FSA0000512,CORN,22550.57,17442.41,199.2,3474528.07,47.89,V1,2019-03-29,2019-07-26,2884.5,0.6686,129.58,1.118,28.48,13.61,2527.29,35.53,1
2012,FSA0000513,WHEAT,3250.48,3133.74,129.22,404941.88,67.8,V2,2023-10-19,2024-03-12,2099.1,0.5067,181.35,4.16,36.1,14.956,1984.67,36.96,0
2009,FSA0000514,SOYBEAN,23308.68,22434.58,56.0,1256336.48,94.06,V3,2006-05-07,2006-09-14,3163.1,0.9475,37.76,4.929,23.33,6.857,320.22,20.72,0
2022,FSA0000515,COTTON,8128.86,6693.14,233.17,1560639.45,37.97,V4,2024-08-04,2024-12-31,3777.1,0.8322,86.93,20.727,29.7,3.463,881.2,36.83,1
2021,FSA0000516,OAT,11652.31,10213.67,150.38,1535931.69,43.92,V2,2023-09-09,2024-01-08,1429.5,0.4428,27.84,6.262,41.56,10.772,1555.98,33.72,1
2010,FSA0000517,CORN,16240.12,14933.32,43.46,649002.09,88.13,V4,2016-05-11,2016-09-03,3697.5,0.8909,31.64,9.751,62.69,14.242,636.46,22.78,1
2005,FSA0000518,CORN,8452.41,6332.51,128.14,811447.83,98.54,V4,2024-08-17,2025-02-10,3167.9,0.4308,156.33,7.746,3.89,8.62,973.0,38.09,1
2024,FSA0000519,BARLEY,19661.17,14575.97,140.63,2049818.66,99.25,V6,2017-06-16,2017-12-23,2589.9,0.4255,0.1,3.52,64.41,17.914,2054.41,4.51,1
2025,FSA0000520,WHEAT,22586.15,22349.01,13.09,292548.54,85.68,V6,2015-05-26,2015-09-15,2222.7,0.0095,109.27,14.627,92.25,16.781,210.49,36.6,1
2007,FSA0000521,COTTON,16747.17,16650.34,68.82,1145876.4,35.8,V3,2008-08-01,2008-12-10,2263.4,0.2244,104.32,16.694,48.86,10.913,570.8,43.79,1
2021,FSA0000522,SOYBEAN,1083.8,904.37,227.91,206114.97,27.14,V5,2022-05-21,2022-11-29,2234.6,0.8316,185.35,18.727,12.13,10.578,2137.36,41.31,1
2016,FSA0000523,SOYBEAN,14168.61,11359.2,22.22,252401.42,21.51,V2,2009-10-02,2010-03-16,3113.9,0.3533,38.11,0.298,72.99,3.723,84.09,18.99,1
2009,FSA0000524,SOYBEAN,8077.71,7853.31,172.5,1354695.98,87.86,V1,2014-02-03,2014-05-05,2228.9,0.9309,232.3,12.062,58.34,16.027,2509.29,40.57,1
2005,FSA0000525,RICE,4932.12,3832.41,92.68,355187.76,9.72,V4,2005-05-23,2005-11-18,3331.1,0.1499,72.6,23.32,31.82,2.945,240.72,50.97,1
2025,FSA0000526,WHEAT,23891.9,22468.04,145.3,3264606.21,84.54,V4,2018-06-21,2018-11-25,855.8,0.1772,60.27,17.74,7.39,3.726,480.82,43.56,0
2012,FSA0000527,SOYBEAN,6691.91,5008.53,236.25,1183265.21,46.31,V7,2024-07-06,2024-11-19,1254.2,0.5466,0.25,15.187,50.01,7.821,1642.51,6.48,0
2012,FSA0000528,WHEAT,21885.68,21604.41,44.16,954050.75,67.36,V8,2007-08-25,2008-02-15,1441.8,0.6522,235.15,3.546,93.77,8.959,324.79,10.42,0
2008,FSA0000529,SOYBEAN,8843.98,8813.63,244.75,2157135.94,35.42,V4,2019-01-10,2019-05-14,1911.6,0.0218,107.79,7.055,96.89,16.471,4387.29,37.7,1
2021,FSA0000530,SOYBEAN,12970.36,10913.65,25.74,280917.35,84.83,V5,2012-07-14,2012-10-27,900.1,0.6481,67.36,16.028,84.67,3.871,87.16,9.25,1
2018,FSA0000531,OAT,4418.16,3814.36,143.57,547627.67,69.44,V5,2019-10-08,2020-02-25,3233.6,0.2649,269.02,8.188,17.47,5.252,812.93,18.47,0
2019,FSA0000532,SOYBEAN,15595.05,13237.74,226.62,2999936.64,57.7,V7,2008-05-15,2008-11-08,1092.4,0.0147,102.41,12.915,69.99,17.881,3262.85,57.68,1
2020,FSA0000533,CORN,24104.23,17730.74,105.27,1866515.0,62.11,V6,2024-02-18,2024-09-22,2934.5,0.1341,238.91,9.178,9.78,15.998,1608.13,45.2,0
2022,FSA0000534,COTTON,24344.23,20761.41,72.55,1506240.3,64.05,V2,2005-09-30,2006-03-19,2246.7,0.8942,43.12,22.168,92.13,10.523,825.38,58.12,0
2021,FSA0000535,WHEAT,3254.02,2717.81,156.27,424712.17,88.41,V4,2012-03-03,2012-07-09,2955.7,0.7215,63.16,12.928,49.55,5.366,730.35,32.45,1
2006,FSA0000536,CORN,18041.49,14241.85,202.45,2883262.53,50.72,V2,2016-09-02,2017-03-19,4119.0,0.2464,164.11,9.339,37.81,10.118,1917.49,30.97,0
2022,FSA0000537,RICE,11834.87,10662.86,21.54,229678.0,54.71,V7,2019-10-20,2020-05-24,3590.7,0.0501,89.01,21.842,0.65,16.266,295.12,21.09,0
2024,FSA0000538,SOYBEAN,6533.69,4615.38,194.0,895383.72,62.15,V7,2009-12-10,2010-06-06,3519.2,0.9772,148.43,12.349,27.7,5.025,739.68,50.41,1
2017,FSA0000539,CORN,7347.17,6346.82,249.76,1585181.76,0.23,V6,2023-05-15,2023-12-13,3646.2,0.0388,192.47,1.158,52.95,14.232,2973.3,58.49,1
2024,FSA0000540,WHEAT,12536.17,12092.72,239.81,2899955.18,96.04,V6,2019-02-20,2019-06-06,2901.4,0.7214,7.61,4.265,7.06,14.653,2867.43,28.1,1
2024,FSA0000541,CORN,15616.29,14744.82,17.17,253168.56,31.15,V2,2009-10-01,2010-05-01,2303.7,0.5924,113.15,24.109,23.9,16.866,220.73,38.14,0
2017,FSA0000542,WHEAT,10634.1,10470.88,226.34,2369978.98,10.69,V6,2012-06-30,2012-10-24,1101.4,0.8593,317.56,13.76,76.62,5.414,1162.09,10.42,0
2005,FSA0000543,CORN,4460.83,4332.24,203.65,882260.68,7.62,V8,2012-04-20,2012-09-20,1275.3,0.0339,145.79,2.022,92.5,11.494,2447.46,58.18,1
2024,FSA0000544,CORN,17321.79,14761.51,180.95,2671095.23,5.29,V5,2024-05-25,2024-11-25,1593.0,0.9845,29.19,19.441,72.33,15.311,2337.53,53.35,0
2006,FSA0000545,SORGHUM,12656.42,9654.21,249.56,2409304.65,6.33,V5,2018-08-29,2018-12-22,2558.3,0.7327,103.86,6.226,98.35,16.515,4229.97,31.05,1
2023,FSA0000546,WHEAT,23264.22,20179.05,199.43,4024307.94,54.92,V4,2016-02-10,2016-08-15,1410.8,0.869,222.08,12.626,74.98,6.696,1042.13,7.77,0
2012,FSA0000547,CORN,11397.46,11388.94,45.51,518310.66,91.43,V7,2010-12-07,2011-05-10,1447.3,0.0496,309.14,3.556,76.54,2.567,120.04,38.3,1
2010,FSA0000548,WHEAT,9098.14,8698.16,58.23,506493.86,62.83,V5,2017-02-19,2017-08-25,1699.9,0.4093,20.45,20.251,16.34,15.92,750.34,20.04,1
2005,FSA0000549,POTATO,2746.49,2326.63,56.0,130291.28,44.47,V5,2017-01-25,2017-08-27,3640.7,0.6034,173.35,6.135,67.13,10.838,640.49,59.52,0
2018,FSA0000550,SOYBEAN,13604.0,12935.76,33.9,438522.26,41.06,V5,2011-10-17,2012-04-17,2751.0,0.9321,254.45,3.365,37.99,9.714,335.71,38.83,1
2008,FSA0000551,SOYBEAN,1956.18,1796.9,210.75,378696.68,81.03,V1,2005-08-25,2006-02-28,4431.8,0.1318,287.86,18.393,31.53,5.732,1098.76,39.48,0
2023,FSA0000552,WHEAT,8010.86,7866.71,61.06,480341.31,65.08,V5,2013-08-14,2013-12-03,2626.4,0.4986,61.41,12.746,15.02,15.677,1001.97,48.29,0
2023,FSA0000553,CORN,13299.15,12084.57,25.16,304047.78,56.57,V8,2008-01-01,2008-07-31,2925.5,0.1806,32.09,4.922,51.39,11.11,279.98,19.15,1
2006,FSA0000554,CORN,11792.27,9978.61,149.02,1487012.46,95.58,V2,2008-10-28,2009-03-06,2165.1,0.1924,89.35,5.432,82.91,2.205,312.75,23.99,1
2022,FSA0000555,CORN,8804.7,8669.89,179.5,1556245.26,54.33,V3,2011-06-25,2011-12-04,882.7,0.066,144.41,1.159,56.37,10.482,1511.36,1.33,0
2022,FSA0000556,CORN,18265.91,16233.0,127.81,2074739.73,86.32,V5,2009-06-24,2010-01-26,2115.2,0.9255,268.07,12.278,17.76,3.297,427.63,52.48,0
2010,FSA0000557,WHEAT,24598.56,19993.22,209.67,4191978.44,77.38,V4,2017-08-31,2017-11-29,4071.2,0.3886,299.03,13.911,44.57,12.242,2320.21,0.86,0
2019,FSA0000558,OAT,8195.73,7952.05,53.24,423367.14,53.43,V7,2012-04-17,2012-10-06,2538.6,0.9651,287.29,3.849,93.88,7.584,378.9,56.21,1
2018,FSA0000559,SORGHUM,1239.12,1192.12,194.03,231307.04,23.14,V5,2011-12-17,2012-06-30,1764.0,0.8344,127.11,24.087,89.66,13.751,2614.37,53.03,0
2022,FSA0000560,BARLEY,21407.11,19205.0,16.41,315154.05,68.57,V8,2009-10-30,2010-05-11,2826.3,0.3366,154.69,16.219,60.06,9.9,136.94,29.37,0
2005,FSA0000561,WHEAT,10644.59,9577.65,22.49,215401.35,74.31,V4,2015-12-27,2016-04-08,1919.8,0.6724,234.1,8.231,16.87,11.021,262.42,40.24,0
2009,FSA0000562,CORN,17219.34,13817.48,189.15,2613576.34,84.64,V1,2024-03-10,2024-08-25,2690.2,0.6772,32.18,11.083,63.82,4.423,877.63,27.55,0
2011,FSA0000563,WHEAT,1587.82,1302.82,17.84,23242.31,64.49,V5,2010-01-02,2010-07-09,1956.9,0.9599,220.51,12.156,46.5,3.777,61.57,9.58,1
2006,FSA0000564,WHEAT,5015.26,4441.32,30.12,133772.56,38.05,V4,2023-02-28,2023-09-02,3924.7,0.1668,230.51,8.612,92.2,3.646,97.19,1.52,0
2008,FSA0000565,SOYBEAN,13012.46,12244.3,208.25,2549875.47,16.25,V8,2019-11-30,2020-05-30,1977.8,0.3943,18.97,12.88,80.63,16.518,3356.83,16.98,0
2021,FSA0000566,WHEAT,19910.98,18012.91,105.4,1898560.71,51.0,V4,2014-02-22,2014-08-14,3945.1,0.3023,295.5,2.35,97.8,5.257,445.4,23.81,1
2025,FSA0000567,RICE,3199.51,2256.65,227.64,513703.81,80.95,V7,2020-07-30,2021-02-14,3189.8,0.8339,202.81,23.805,58.82,15.756,3325.95,51.54,0
2014,FSA0000568,WHEAT,17344.09,12991.09,128.94,1675071.14,71.52,V1,2015-04-06,2015-09-09,2522.0,0.3381,8.38,17.012,52.7,5.268,649.57,16.78,1
2025,FSA0000569,WHEAT,16508.66,13153.66,13.55,178232.09,46.65,V2,2005-08-12,2006-03-18,2905.2,0.6737,319.58,16.344,52.74,6.407,93.03,23.82,1
2017,FSA0000570,OAT,20319.2,19527.24,236.87,4625417.34,51.86,V6,2017-08-16,2018-03-14,1997.8,0.0608,24.94,4.051,55.49,4.407,1058.27,56.48,0
2023,FSA0000571,SOYBEAN,15035.16,13517.84,220.85,2985414.96,93.06,V7,2012-04-09,2012-10-08,3318.2,0.4339,298.87,23.405,16.35,11.675,2805.11,6.69,0
2009,FSA0000572,WHEAT,1542.58,1258.48,48.18,60633.57,59.71,V3,2014-01-06,2014-04-06,3679.8,0.8157,274.33,8.08,76.34,15.59,806.95,15.26,1
2005,FSA0000573,COTTON,13233.82,11075.04,240.16,2659781.61,79.71,V8,2015-01-22,2015-08-07,4444.3,0.5295,144.01,7.43,2.11,13.801,2749.06,41.61,0
2021,FSA0000574,CORN,9896.32,8951.03,158.25,1416500.5,91.79,V6,2014-07-19,2014-11-07,3298.7,0.7718,219.06,4.722,7.84,17.57,2961.57,58.57,0
2007,FSA0000575,SOYBEAN,24117.7,23942.22,13.73,328726.68,20.01,V4,2025-02-02,2025-05-27,2382.8,0.1693,84.26,10.782,73.8,15.529,213.18,26.5,1
2016,FSA0000576,CORN,20056.29,14223.65,157.85,2245203.15,78.73,V3,2009-11-21,2010-03-14,3852.9,0.8039,8.02,7.063,87.66,5.939,779.78,42.6,0
2013,FSA0000577,SOYBEAN,17472.35,15556.4,229.74,3573927.34,84.9,V7,2021-06-11,2021-09-24,927.2,0.4176,319.87,23.007,51.44,14.206,3281.26,57.22,1
2009,FSA0000578,SOYBEAN,2606.45,2361.08,232.02,547817.78,47.62,V8,2013-02-13,2013-08-21,1945.9,0.7477,123.53,11.149,55.3,14.822,2603.32,5.25,0
2016,FSA0000579,SOYBEAN,21975.55,21569.65,177.22,3822573.37,99.71,V6,2008-03-03,2008-08-30,1165.6,0.7374,152.13,7.478,12.05,5.984,970.38,48.44,1
2006,FSA0000580,CORN,12762.4,11521.24,15.42,177657.52,23.39,V6,2012-03-23,2012-07-31,1799.8,0.4331,222.14,19.367,87.68,11.139,158.27,17.44,0
2014,FSA0000581,SOYBEAN,14699.41,11856.19,220.93,2619388.06,19.04,V4,2011-08-11,2012-02-16,3703.5,0.7312,75.51,7.276,76.86,15.296,3272.85,33.48,1
2012,FSA0000582,SOYBEAN,6732.66,6160.79,98.84,608932.48,79.99,V7,2013-02-24,2013-06-24,4347.1,0.8434,72.69,10.469,44.26,3.627,392.63,24.94,1
2012,FSA0000583,WHEAT,7338.39,6141.05,110.95,681349.5,79.21,V1,2018-05-06,2018-10-10,1594.3,0.6438,268.49,20.895,65.1,14.854,1699.85,58.37,1
2005,FSA0000584,SOYBEAN,21818.45,21586.98,171.44,3700871.85,51.41,V7,2009-02-02,2009-08-02,3702.2,0.6822,267.88,12.753,32.69,2.716,478.17,25.87,0
2024,FSA0000585,RICE,15756.94,11149.3,20.47,228226.17,37.37,V2,2010-05-23,2010-11-27,1612.0,0.8341,93.54,22.427,90.04,12.685,247.68,52.01,1
2016,FSA0000586,RICE,23426.65,20386.88,145.13,2958747.89,9.39,V8,2015-06-30,2015-12-04,1940.5,0.5191,284.06,3.253,76.14,9.341,1431.66,46.49,1
2025,FSA0000587,SOYBEAN,8125.52,7359.38,236.75,1742333.22,46.37,V6,2006-01-20,2006-05-18,971.6,0.7552,249.44,9.306,83.93,16.848,3642.99,58.42,0
2009,FSA0000588,BARLEY,11823.2,9562.01,50.84,486132.59,16.48,V7,2021-05-20,2021-09-22,3483.2,0.124,89.5,16.743,54.07,15.414,794.25,10.51,0
2009,FSA0000589,WHEAT,18227.88,16853.27,93.75,1579994.06,65.49,V2,2018-09-30,2019-02-25,1542.6,0.3383,221.99,21.903,6.45,10.01,976.11,51.49,1
