trans_commute_acs_year,trans_commute_commuting_zone_id,trans_commute_mode_to_work_code,trans_commute_mean_travel_time_minutes,trans_commute_median_travel_time_minutes,trans_commute_percentile_90_travel_time,trans_commute_telework_share_pct,trans_commute_carpool_share_pct,trans_commute_transit_share_pct,trans_commute_walk_share_pct,trans_commute_bike_share_pct,trans_commute_leave_home_time_peak,trans_commute_arrival_time_peak,trans_commute_distance_to_work_miles,trans_commute_toll_usage_share_pct,trans_commute_vehicle_occupancy_avg,trans_commute_commute_cost_estimate_inr,trans_commute_time_reliability_index,trans_commute_access_to_jobs_45min,trans_commute_jobs_housing_balance_ratio
2022,949475,CARPOOL,84.1,80.9,93.3,21.82,8.92,3.32,5.54,11.18,08:52,10:08,11.69,21.32,3.06,5747,2.317,439109,1.848
2024,371799,WALK,66.0,64.4,97.5,32.63,11.62,0.61,1.43,3.7,07:37,08:42,23.14,17.23,2.49,6549,2.098,1093948,3.371
2021,322661,TRANSIT,49.6,43.1,67.8,6.12,12.87,32.31,5.03,0.47,10:20,11:20,19.1,19.3,1.68,5843,2.277,755891,1.06
2023,880429,AUTO,61.9,61.8,85.6,1.16,15.66,5.79,12.35,6.79,08:26,09:24,17.95,24.24,2.1,6506,1.732,566229,2.827
2022,167594,TRANSIT,90.2,84.4,130.1,1.01,12.63,18.57,12.6,5.83,07:58,09:23,22.88,12.76,2.61,6558,1.552,2158264,3.037
2019,618471,WALK,79.9,68.1,100.3,6.03,11.97,6.99,14.24,11.15,08:55,10:18,37.66,19.02,2.89,8000,2.053,686779,1.783
2023,985789,TRANSIT,36.7,35.0,60.3,17.38,2.82,4.1,9.52,2.75,09:16,09:50,16.93,5.05,1.39,4061,1.757,1823745,0.782
2016,692208,MIXED,76.7,68.3,109.4,28.72,13.75,33.5,9.75,4.01,06:47,08:02,6.78,9.64,1.86,4235,1.451,57444,3.366
2025,629704,AUTO,87.2,75.8,98.9,9.81,15.57,16.25,12.43,3.73,09:48,11:20,10.02,0.25,1.87,3710,1.714,1921659,3.383
2020,424463,CARPOOL,81.2,77.6,116.9,24.49,16.67,17.26,13.11,0.51,09:05,10:33,14.37,6.37,2.36,4456,0.817,405065,2.16
2024,778996,TRANSIT,26.7,19.5,33.6,34.64,1.67,32.95,13.73,8.82,07:10,07:15,8.77,19.28,2.03,3825,1.725,1222401,1.739
2023,850873,TRANSIT,34.0,32.2,46.1,1.62,3.79,6.59,15.99,2.43,06:38,07:14,40.88,2.44,1.25,6734,1.459,1945442,4.027
2017,732753,WALK,63.8,60.2,76.8,14.09,16.12,6.23,0.85,5.26,06:21,07:47,38.51,18.29,2.26,8000,0.896,2473512,2.929
2020,253204,OTHER,63.2,53.0,80.1,4.08,3.99,34.37,4.91,2.92,06:58,08:03,33.87,16.69,1.27,6704,1.272,2258866,0.252
2025,468292,AUTO,84.7,76.2,122.2,2.54,14.25,24.35,2.06,2.41,08:04,09:50,27.98,10.71,1.67,7044,1.336,570011,1.969
2021,542371,OTHER,34.5,34.3,61.3,4.7,14.85,18.91,12.41,2.27,10:15,10:43,11.01,14.08,2.54,3390,2.063,795687,3.968
2018,351486,MIXED,62.5,62.1,94.5,27.3,13.3,5.8,15.02,5.41,07:40,08:51,32.67,12.71,2.33,7062,1.901,988710,0.216
2018,979956,WALK,25.2,24.2,56.5,27.14,10.99,1.72,17.77,4.74,08:30,08:59,29.53,12.09,2.38,5900,2.051,2172756,1.467
2017,983128,TELEWORK,24.8,20.7,51.1,30.31,5.81,34.25,17.89,5.7,10:18,10:48,43.82,20.71,1.0,7627,2.143,1819547,1.103
2020,155708,BIKE,34.4,23.2,50.3,22.83,14.78,23.98,3.54,0.21,10:33,11:00,15.48,6.46,3.08,3079,1.469,128754,2.248
2025,693548,CARPOOL,56.5,54.5,92.8,24.96,19.3,1.23,4.43,3.55,09:00,09:52,37.32,19.2,3.04,8000,1.606,1106515,3.929
2025,181814,MIXED,63.2,57.4,89.0,26.54,13.24,0.25,9.63,3.9,08:34,09:26,11.48,22.04,1.98,4914,1.257,494328,3.277
2023,255967,OTHER,29.8,26.9,57.3,9.93,13.86,4.72,11.98,1.71,09:18,09:41,24.75,1.98,2.85,4599,0.764,1213801,2.023
2023,465229,MIXED,30.8,19.4,37.0,23.42,6.39,9.81,2.01,4.31,08:39,09:07,37.54,16.41,2.59,6974,1.525,2250148,1.823
2019,429558,TRANSIT,64.8,61.4,90.9,8.99,0.94,17.03,13.74,0.69,08:45,09:51,42.38,19.14,1.08,8000,1.332,1168313,0.342
2025,552442,OTHER,45.0,35.9,69.9,28.36,16.85,32.63,10.99,6.17,08:40,09:31,35.74,7.98,1.07,6059,0.868,894497,2.885
2016,672267,AUTO,45.0,41.4,56.5,28.93,7.36,17.76,7.47,11.57,06:33,07:01,38.66,19.98,2.4,7532,1.366,891230,2.197
2025,714543,AUTO,59.4,55.1,70.2,10.34,19.2,30.4,10.29,1.8,09:06,10:03,4.43,14.52,2.46,3333,1.887,1600096,0.531
2020,800056,CARPOOL,49.9,41.1,79.2,15.01,12.79,4.33,14.98,4.02,06:36,07:22,31.34,16.05,1.73,6779,1.584,811668,2.619
2019,616114,WALK,19.4,11.6,32.2,7.06,8.16,26.71,16.26,3.78,10:24,10:44,6.58,19.72,2.02,2977,0.931,852895,3.458
2025,584758,OTHER,30.6,27.0,43.1,12.98,11.19,17.85,4.81,8.48,07:06,07:30,37.02,23.74,1.46,7244,2.344,461147,0.27
2021,991268,WALK,23.0,13.9,33.2,29.11,4.74,11.48,5.94,11.97,08:40,08:49,27.94,11.74,1.53,5255,1.045,2214515,0.549
2021,935820,CARPOOL,24.0,15.4,31.1,6.67,5.1,17.31,10.62,2.47,08:52,09:23,39.21,22.72,2.25,8000,1.863,461997,1.289
2018,530418,CARPOOL,26.7,22.0,37.8,6.28,19.1,21.77,14.14,3.4,06:43,07:09,35.03,9.34,1.01,6344,2.079,96969,2.336
2020,109609,AUTO,61.5,61.3,96.7,3.99,6.0,32.77,11.75,0.39,07:45,08:58,42.45,6.57,2.18,7151,1.967,2378424,1.894
2019,367460,MIXED,25.3,19.3,52.3,8.48,7.91,26.27,15.81,6.64,08:42,09:00,36.9,16.33,1.24,6562,1.647,642524,3.684
2023,729367,CARPOOL,59.2,52.1,78.0,9.01,17.24,15.28,3.91,0.41,08:28,09:24,27.29,0.56,1.09,5613,2.04,2439444,4.457
2025,843909,TELEWORK,13.2,3.0,29.3,13.91,5.61,34.42,7.31,0.23,10:06,10:23,31.32,15.44,2.2,5725,1.192,815507,1.504
2025,677499,MIXED,82.1,80.0,94.2,12.45,9.3,12.53,12.69,6.97,07:55,09:11,40.53,4.08,2.23,7264,2.158,2186048,3.386
2023,468200,TRANSIT,52.2,43.2,68.7,16.45,8.32,17.4,9.34,7.52,07:20,08:18,34.9,10.7,2.64,6190,1.65,2474245,1.085
2018,876165,WALK,69.8,66.0,78.8,34.55,14.34,11.22,3.32,8.1,07:31,08:35,10.28,20.59,1.38,5269,1.831,1464866,1.39
2019,670599,BIKE,56.7,47.5,68.3,27.72,11.58,9.52,12.89,7.22,10:55,11:45,7.77,11.75,1.86,3400,1.808,1653899,0.772
2021,961754,AUTO,11.1,7.0,26.5,7.32,8.68,15.94,12.55,5.03,08:55,09:07,15.42,13.22,1.12,3819,1.871,127844,3.768
2020,104772,BIKE,62.9,60.8,86.5,26.61,6.71,6.88,15.15,2.0,09:47,10:47,14.4,5.59,1.27,4002,0.994,1098055,2.668
2025,269237,CARPOOL,93.6,87.5,106.8,21.28,1.34,7.72,15.41,4.38,10:45,12:20,8.01,7.31,1.88,4341,1.054,2213574,1.249
2023,889037,MIXED,38.2,28.0,61.8,31.93,4.66,16.86,10.83,8.94,06:08,06:26,32.12,11.84,3.08,5568,1.674,1441233,4.023
2022,417822,MIXED,70.6,67.5,80.9,15.52,8.42,22.3,1.11,11.21,06:41,07:58,8.0,19.49,2.58,4531,1.937,1037629,1.469
2025,715679,TELEWORK,80.0,78.5,118.5,12.31,6.2,22.01,15.25,7.41,07:25,08:46,5.82,10.97,1.11,3439,1.047,1317676,3.213
2025,437216,CARPOOL,23.5,16.0,48.9,18.77,17.0,19.58,9.77,11.06,07:32,08:04,31.23,14.79,1.55,6209,1.897,220789,3.486
2020,594869,AUTO,72.4,64.6,79.4,26.44,8.56,13.15,4.85,0.22,06:37,07:44,0.76,24.29,2.14,3934,1.286,2487871,1.56
2020,703318,TRANSIT,19.2,18.3,47.5,8.76,15.62,6.33,16.1,8.64,09:54,10:04,41.74,20.44,1.36,7435,1.882,922402,4.381
2024,349855,TELEWORK,38.5,33.5,49.0,25.93,1.61,28.55,5.52,9.92,07:48,08:24,40.18,5.3,3.03,6476,1.806,1920908,0.495
2023,726184,MIXED,23.0,17.1,45.5,5.28,12.47,12.87,1.93,5.08,10:26,10:56,29.34,3.48,1.18,5442,1.368,609574,2.443
2020,269689,TELEWORK,87.1,76.1,122.1,6.61,13.67,12.14,17.43,6.07,07:31,08:54,3.11,3.8,1.07,3266,2.177,995554,3.323
2018,534255,TELEWORK,11.6,8.4,37.0,27.83,2.3,20.37,12.72,10.43,06:28,06:43,35.19,11.6,1.71,6247,0.898,510292,1.407
2024,419485,WALK,91.7,82.0,97.8,27.26,9.31,14.26,14.67,5.83,08:52,10:27,4.22,0.4,2.27,3160,1.341,2282249,2.414
2025,698422,CARPOOL,53.9,49.1,78.2,15.95,8.68,14.31,1.71,9.48,07:45,08:35,27.51,7.2,1.9,5525,1.131,312645,3.842
2024,704286,CARPOOL,33.6,32.6,49.7,30.34,10.13,30.06,4.82,9.73,06:13,06:51,43.97,18.32,1.01,7943,0.769,574722,1.605
2024,280618,CARPOOL,64.2,63.0,90.8,25.16,8.77,3.43,6.17,5.71,10:41,11:46,6.6,0.37,2.93,2817,1.572,42695,4.269
2019,436983,TRANSIT,70.2,58.3,83.2,21.39,2.61,13.35,5.31,3.86,10:07,11:15,3.89,22.32,1.82,4152,1.118,1455224,1.032
2023,747826,TELEWORK,94.2,83.6,99.9,20.58,18.18,29.99,13.82,0.7,06:45,08:10,9.8,4.97,2.42,4255,0.799,1481760,0.203
2024,542153,BIKE,58.6,56.2,70.0,17.24,2.94,25.41,14.99,10.38,06:54,07:47,37.58,7.52,3.02,7326,1.514,2480940,0.976
2020,951523,CARPOOL,83.1,82.8,107.3,20.54,11.33,1.77,17.8,5.72,07:45,09:17,31.67,16.0,2.03,7628,1.954,290412,0.402
2022,261951,OTHER,65.3,64.9,94.5,20.78,2.15,30.08,8.32,7.45,08:56,10:10,37.85,4.84,2.94,6310,1.701,1124421,2.886
2021,972019,AUTO,10.1,3.0,32.7,8.32,8.35,3.91,1.73,10.59,09:15,09:29,15.26,14.71,1.02,3767,1.82,1214417,0.806
2018,800015,MIXED,61.5,59.9,80.4,1.6,17.77,19.19,4.02,4.93,10:32,11:35,5.28,3.33,1.56,2832,1.532,2270793,3.274
2022,824128,BIKE,68.7,65.5,104.2,4.48,0.0,25.82,6.16,1.83,09:18,10:29,40.54,3.59,2.06,7080,2.14,1209087,3.543
2019,436258,OTHER,70.3,68.0,83.4,21.46,0.11,21.41,1.29,6.85,09:26,10:52,44.37,12.01,2.81,8000,1.653,582652,1.166
2019,221190,AUTO,42.2,38.3,81.7,29.58,0.25,24.43,15.34,9.09,09:40,10:14,36.23,0.16,1.25,6278,1.646,767990,0.246
2024,351509,TRANSIT,58.6,54.1,73.9,10.45,19.39,31.49,7.42,0.82,09:45,10:59,32.38,7.46,3.05,6602,1.023,271270,4.368
2025,235067,TRANSIT,89.0,87.0,117.9,7.6,9.22,19.97,12.82,7.92,08:23,10:00,23.86,17.39,1.01,6070,1.314,1674108,2.938
2024,726156,TRANSIT,69.0,62.3,76.1,20.32,10.75,33.1,9.76,5.85,07:20,08:26,20.3,0.33,2.83,4186,1.505,2124969,1.668
2020,305681,CARPOOL,44.7,44.3,79.5,3.84,3.45,23.09,16.48,8.42,08:00,08:52,5.61,10.95,2.48,2864,0.974,1377382,3.643
2023,286945,WALK,93.9,92.2,125.6,10.7,14.71,11.56,15.05,2.58,10:11,11:45,25.52,23.17,2.18,7341,2.189,1284614,2.966
2020,369252,TELEWORK,18.4,12.1,39.2,20.85,8.97,32.13,8.18,1.31,09:01,09:20,24.34,7.7,1.16,4740,1.149,1902631,0.89
2018,929569,CARPOOL,68.3,56.5,100.4,17.95,10.13,1.89,2.01,10.7,09:54,11:07,11.46,9.01,1.63,4050,1.189,2007730,0.988
2024,380727,WALK,43.5,35.4,55.1,12.56,2.89,20.58,17.09,6.96,07:11,07:53,37.17,23.76,3.17,7779,0.772,229263,4.286
2020,596721,WALK,91.6,90.4,98.7,1.26,3.7,20.23,4.47,6.14,09:17,10:44,37.25,10.3,2.47,8000,2.001,1970177,3.173
2020,954354,TELEWORK,70.3,59.9,96.5,12.49,2.15,18.95,15.74,11.85,10:21,11:33,10.69,24.93,3.1,5578,1.778,1271221,0.333
2017,786653,WALK,77.6,74.1,86.0,6.3,8.34,15.9,9.71,6.09,10:36,11:42,33.78,18.54,1.62,7393,2.121,1711065,0.267
2023,368079,TRANSIT,31.4,28.5,46.2,34.6,3.12,27.47,12.16,9.68,09:10,09:50,0.5,22.73,2.85,3219,0.76,87705,0.696
2023,943895,WALK,19.1,9.5,51.3,11.01,10.11,26.9,4.0,4.28,07:35,08:06,39.25,5.36,2.56,6701,1.171,1983072,0.62
2025,472414,TELEWORK,20.0,8.8,46.3,22.25,13.51,2.47,3.48,1.69,08:44,08:58,27.97,20.06,2.54,5471,1.617,1291926,2.478
2023,388250,CARPOOL,25.5,25.4,52.5,20.54,6.65,31.64,1.69,5.02,06:15,06:40,0.84,15.32,2.47,2825,0.806,552446,2.823
2019,535179,TELEWORK,29.4,19.2,38.5,6.46,7.1,2.13,5.98,9.55,08:49,09:26,40.33,6.51,2.91,6383,0.983,114471,0.279
2022,241127,CARPOOL,23.5,14.0,43.5,31.33,5.01,28.43,1.18,7.77,10:34,10:54,22.78,11.48,1.99,5079,2.236,379642,0.315
2024,670831,WALK,25.9,19.1,62.3,5.25,11.94,22.63,4.16,8.05,10:19,11:00,6.71,7.26,2.5,2784,1.236,1101461,1.967
2021,384050,WALK,32.9,23.0,66.9,18.5,2.02,25.35,3.79,4.28,08:25,08:54,8.81,15.2,3.17,3847,2.077,2004550,2.882
2025,355870,TRANSIT,62.9,60.1,97.5,12.61,19.21,13.03,4.68,9.85,09:44,10:46,13.54,21.72,2.76,4644,1.595,694396,3.565
2024,299573,CARPOOL,78.2,76.5,98.7,25.71,4.32,21.49,1.07,10.53,10:56,12:23,41.1,15.37,1.64,8000,1.529,1283586,1.778
2023,939580,WALK,83.5,73.7,105.0,17.96,18.86,15.03,17.83,7.62,07:34,09:04,6.95,16.86,1.9,3889,1.275,1466575,0.864
2024,666811,TELEWORK,8.3,8.0,44.2,27.64,2.45,16.72,12.86,10.21,09:10,09:19,40.26,1.35,3.18,6161,2.076,2315754,4.109
2016,251215,OTHER,36.7,32.5,62.5,5.55,4.75,24.28,5.74,5.14,07:51,08:23,19.67,23.74,1.26,6097,2.336,2351645,4.122
2020,685578,TRANSIT,69.6,60.3,102.2,25.43,14.5,5.61,17.47,11.58,08:45,09:45,16.62,12.66,1.38,4673,2.386,1221004,3.047
2022,483409,WALK,32.2,26.3,38.3,20.17,19.08,10.13,11.5,11.13,07:06,07:49,32.74,12.47,3.01,5585,2.198,118700,3.321
2022,817387,OTHER,85.9,82.4,122.8,9.29,12.39,12.57,7.47,7.89,09:27,10:58,40.14,11.3,2.73,7675,2.399,1564588,1.435
2016,337407,TRANSIT,46.1,37.2,56.2,4.91,16.32,18.87,1.77,1.73,08:44,09:28,15.1,7.46,2.49,3820,1.656,2213040,3.219
2025,466251,CARPOOL,92.4,91.0,121.4,32.61,7.49,12.56,6.64,0.39,07:19,08:55,9.25,24.59,1.01,4990,0.88,366381,0.422
2024,976520,WALK,29.5,22.8,34.8,15.08,10.37,23.54,13.56,9.7,06:23,07:05,19.33,16.42,1.01,4774,2.085,946091,2.281
2023,682665,CARPOOL,94.6,85.5,104.4,13.54,9.06,6.39,6.76,11.26,09:17,10:52,38.14,20.11,1.32,8000,1.802,2302317,0.26
2020,934940,OTHER,10.4,4.0,21.2,25.31,2.95,18.83,1.53,2.89,09:14,09:19,20.66,20.01,2.29,4483,2.128,2402391,1.646
2024,625691,MIXED,92.4,82.9,103.9,8.45,13.82,1.89,12.25,4.69,07:38,09:17,9.59,8.93,2.67,4269,1.185,1569413,2.034
2025,420800,WALK,84.9,76.9,96.1,12.7,17.08,33.41,9.24,1.9,08:16,09:39,1.39,18.64,1.82,3695,1.161,481845,2.394
2024,889528,MIXED,20.2,17.3,32.4,18.71,1.44,9.36,0.86,5.31,10:40,11:01,6.46,2.1,2.21,1760,2.22,597688,0.178
2019,241898,AUTO,85.6,75.0,114.9,14.87,2.97,5.96,11.69,4.28,09:23,10:37,43.1,5.34,1.44,8000,2.196,961008,0.501
2023,466275,WALK,63.5,60.8,83.3,17.84,2.49,32.26,11.37,5.18,06:47,07:48,16.8,22.79,2.48,6138,2.34,446409,4.48
2025,552916,OTHER,68.5,68.4,92.0,15.55,0.76,10.82,4.67,7.24,09:30,10:52,2.89,13.42,2.43,3381,2.298,1056804,3.373
2023,244944,TRANSIT,83.6,79.5,97.9,4.31,5.6,18.65,15.85,8.47,09:27,10:46,6.72,1.57,2.44,3135,2.397,1689714,4.133
2020,430173,BIKE,81.6,70.4,106.9,8.4,13.42,15.95,3.78,0.69,10:35,12:00,34.96,8.41,3.07,7335,2.327,132933,1.982
2019,793378,CARPOOL,80.7,73.0,114.2,9.57,2.49,33.16,17.4,11.95,07:40,08:51,14.1,15.1,1.63,5663,1.77,2482738,2.01
2024,574659,TELEWORK,31.1,21.3,62.3,5.52,10.5,14.2,0.25,0.15,10:05,10:22,9.07,9.14,2.56,2754,1.45,2399822,2.196
2025,767277,CARPOOL,89.0,81.7,110.0,10.07,10.56,27.5,2.91,6.1,08:58,10:16,29.41,3.52,2.45,5703,1.932,429413,3.703
2020,814231,AUTO,34.4,30.2,61.3,7.79,2.72,11.89,16.33,3.42,08:24,09:11,27.25,4.26,1.75,5191,1.847,1887700,2.448
2024,961784,CARPOOL,34.0,26.0,63.1,14.47,10.65,1.38,2.87,5.17,10:14,10:51,30.37,2.92,2.83,5211,0.937,1206252,4.215
2025,985821,CARPOOL,72.9,70.8,102.8,24.52,17.55,33.07,10.29,9.56,07:59,09:07,36.43,6.71,2.11,7254,2.065,1936480,3.106
2020,167321,CARPOOL,29.8,20.9,66.6,13.85,12.49,23.18,10.18,5.07,08:13,08:58,0.69,11.99,2.36,2787,1.342,1820810,2.106
2018,773743,OTHER,83.4,79.6,103.4,5.09,13.07,22.95,12.72,11.29,10:24,11:58,7.3,0.46,2.31,3628,1.653,1833249,3.081
2018,588404,CARPOOL,44.5,40.0,71.2,20.53,5.9,34.27,12.44,5.75,10:04,10:45,18.36,12.09,1.17,4423,1.331,666829,1.038
2022,431471,WALK,23.2,13.7,45.8,30.82,16.29,31.01,6.59,3.83,08:26,08:48,12.31,15.84,2.66,3761,1.614,1097110,0.175
2024,626040,BIKE,84.6,79.2,99.2,11.56,6.6,8.15,15.62,6.99,10:19,11:28,22.42,8.38,1.03,5853,2.174,1425460,0.957
2024,912707,BIKE,73.7,69.0,112.7,0.54,14.7,33.76,9.81,4.4,06:02,07:16,10.53,11.48,1.06,4530,1.17,2069049,1.082
2024,539471,WALK,87.4,78.7,112.1,18.38,19.98,32.83,3.85,6.12,07:54,09:26,16.28,10.15,1.28,5132,2.399,49172,4.275
2023,728945,CARPOOL,45.3,45.1,60.7,29.73,1.3,6.7,5.5,2.34,07:41,08:37,34.8,7.95,1.54,6053,1.811,1670010,4.463
2022,393735,CARPOOL,64.7,57.5,96.8,24.61,15.49,4.76,2.77,1.47,08:44,09:46,14.24,14.46,2.81,5064,1.531,691068,2.96
2022,551137,OTHER,28.4,24.4,53.9,3.25,7.29,28.22,15.01,4.26,09:45,10:13,15.85,17.03,1.03,4657,1.777,1067263,1.126
2017,123522,MIXED,91.2,89.4,97.6,4.8,7.26,28.83,4.35,8.53,07:24,09:02,10.08,16.78,2.33,4569,1.394,505227,3.787
2019,692795,TRANSIT,43.4,32.9,70.4,21.36,3.53,16.65,15.26,2.21,10:53,11:27,2.71,24.09,2.36,3641,1.347,1613266,2.967
2023,437647,WALK,83.9,72.8,118.0,34.34,4.65,18.22,1.43,3.92,10:55,12:10,33.28,22.5,2.49,8000,1.971,932789,3.311
2024,329230,OTHER,40.8,29.6,57.4,11.77,13.62,21.67,4.31,5.15,07:34,08:13,33.69,8.35,2.47,6349,1.19,555548,3.665
2025,932956,BIKE,23.7,14.7,45.9,28.07,17.98,2.79,12.75,9.17,08:24,08:41,38.33,6.71,2.81,5919,2.051,52656,0.261
2016,783840,CARPOOL,30.1,21.5,65.8,3.57,6.86,25.82,12.35,9.13,08:57,09:22,33.25,23.16,1.36,7030,1.47,1801107,2.495
2020,885962,OTHER,11.3,6.7,49.7,12.77,0.59,6.4,3.63,1.74,09:40,09:59,35.31,4.64,1.68,4982,2.171,358022,0.42
2023,380233,BIKE,71.9,63.2,87.7,9.4,17.09,26.47,12.54,6.9,08:53,10:00,28.54,11.49,1.62,5892,0.831,129771,1.279
2018,208363,MIXED,14.6,11.9,29.4,28.65,9.13,14.48,4.51,3.7,09:32,10:02,17.53,15.6,2.47,4635,1.526,1928912,0.311
2016,392735,WALK,68.3,60.1,78.6,11.53,17.12,1.94,0.9,2.0,07:55,09:10,4.29,9.55,2.49,3714,0.828,2093318,3.559
2022,850174,TRANSIT,61.9,54.5,94.6,4.35,7.97,2.32,11.93,11.6,09:14,10:17,44.9,22.0,1.08,8000,2.116,2231636,3.67
2021,548472,WALK,30.9,28.0,62.7,27.53,14.59,28.04,14.49,10.34,06:17,06:57,25.0,19.39,2.51,5204,2.283,1514781,2.158
2020,707713,CARPOOL,59.5,53.9,65.1,1.41,17.83,5.37,12.74,2.28,07:53,08:38,3.44,2.92,1.63,2042,1.101,1253637,4.001
2017,909316,TRANSIT,23.3,20.5,40.7,31.32,14.4,5.06,17.41,2.15,07:18,07:39,6.14,13.7,2.02,3388,0.996,67718,3.563
2017,188357,TELEWORK,71.0,69.3,88.3,3.62,11.42,1.58,4.22,10.33,09:17,10:29,43.64,0.9,2.32,7674,0.941,850238,0.843
2025,638302,BIKE,8.7,3.0,21.0,27.25,9.87,1.52,0.79,6.4,08:48,08:53,1.22,0.25,1.3,1069,1.647,996952,3.847
2022,828259,AUTO,19.7,9.6,37.2,26.47,0.56,30.47,7.8,7.0,08:02,08:19,6.35,14.45,2.38,3173,2.183,1890846,4.352
2022,104073,TELEWORK,38.6,36.8,65.0,20.22,19.91,11.27,14.15,1.37,06:06,06:53,4.91,5.58,2.3,2193,2.284,392681,1.483
2025,865730,TELEWORK,25.0,23.8,39.2,34.81,0.76,4.32,11.84,11.72,10:34,11:16,40.73,13.17,1.17,7540,2.396,607683,4.431
2017,380827,WALK,14.9,10.9,23.9,3.74,1.15,11.14,14.05,9.32,06:38,06:56,25.51,22.19,2.37,5641,0.8,1124090,0.443
2019,570058,OTHER,54.6,48.2,92.3,17.0,14.87,7.49,8.83,5.57,09:36,10:21,8.68,15.88,1.98,4362,1.889,265464,0.787
2017,615626,AUTO,57.7,56.0,80.3,0.88,12.8,13.47,3.3,10.47,06:35,07:23,1.02,17.93,3.12,3817,1.003,723329,3.719
2022,977266,AUTO,67.3,64.1,96.4,9.18,7.69,1.3,3.78,1.37,10:22,11:26,18.03,7.52,1.68,4954,1.14,924268,3.024
2025,804556,TELEWORK,46.7,41.3,64.3,14.62,16.3,19.44,12.07,11.92,07:53,08:40,23.16,9.23,2.63,5093,1.528,810544,1.576
2017,736677,MIXED,80.2,69.6,93.6,12.0,11.99,6.99,13.3,5.03,10:57,12:17,40.47,18.55,2.12,8000,0.752,1850231,3.884
2023,753276,BIKE,60.1,48.9,74.9,32.12,15.09,6.16,10.86,11.14,06:06,07:12,9.02,5.92,2.0,3087,2.057,1406716,2.578
2021,193145,WALK,36.7,24.8,45.4,16.64,4.85,1.12,5.86,1.95,09:38,10:26,33.26,9.69,2.02,6552,1.928,699221,3.909
2019,818030,CARPOOL,16.5,11.9,36.6,29.65,6.87,0.08,8.26,10.92,07:19,07:33,28.59,6.87,1.67,4414,0.756,205596,2.596
2020,127135,OTHER,37.5,28.9,69.7,12.57,8.58,24.67,11.69,4.38,10:20,11:14,19.57,2.41,3.1,3766,1.968,52064,0.319
2019,605304,AUTO,86.7,77.0,97.4,23.8,16.26,20.59,1.22,2.6,09:33,11:09,9.91,19.22,1.18,4781,1.167,1364170,4.308
2016,548938,CARPOOL,71.1,59.7,108.0,33.81,0.37,24.12,10.22,2.51,09:03,10:19,28.91,11.37,1.45,5912,1.275,74023,3.98
2016,768501,MIXED,57.5,51.0,86.5,20.69,10.28,26.53,11.33,7.54,09:09,10:28,21.41,10.36,1.78,5230,1.302,2498841,3.863
2018,709917,TRANSIT,62.5,54.9,85.8,14.62,18.66,5.62,5.42,3.9,07:28,08:24,35.14,12.69,2.43,7184,2.334,1901514,3.236
2020,102168,OTHER,15.5,12.4,29.4,34.17,3.39,16.88,3.07,8.43,08:38,09:02,21.04,14.0,1.08,4708,1.374,1380389,3.085
2019,718987,BIKE,65.9,56.2,94.8,29.6,14.76,23.36,5.49,4.35,07:49,08:55,39.52,19.53,3.05,8000,1.987,1066291,3.503
2019,151660,TRANSIT,72.9,67.3,105.6,12.3,14.47,19.43,8.58,6.5,10:58,12:07,2.93,8.72,3.14,3437,1.613,1110356,3.534
2019,214489,CARPOOL,84.3,79.1,116.0,8.38,10.35,29.66,13.9,8.37,09:08,10:24,41.87,14.34,1.74,8000,1.654,571924,2.559
2017,783604,BIKE,92.6,86.5,108.2,34.07,6.79,14.45,3.61,6.85,06:22,07:42,14.79,9.43,1.61,5484,1.191,1901480,1.507
2025,220766,WALK,90.7,89.5,102.0,11.13,15.93,19.79,0.53,8.46,09:03,10:36,20.23,14.25,2.88,6191,1.285,1365822,1.28
2021,144323,OTHER,90.1,88.5,95.1,23.96,19.56,15.51,5.08,8.51,09:49,11:35,39.02,24.45,1.3,8000,0.897,1562845,0.62
2019,609782,CARPOOL,49.9,39.8,59.1,33.55,16.37,21.77,1.67,5.61,10:49,11:34,33.53,4.31,1.36,5520,1.093,988967,2.234
2018,120798,BIKE,24.9,16.6,60.1,12.34,2.04,19.47,12.16,8.49,09:22,09:53,16.11,6.46,1.94,3854,1.803,1776121,1.229
2020,990709,TELEWORK,75.8,70.5,89.2,24.8,3.42,27.72,1.96,11.1,08:41,10:00,31.37,19.6,2.38,7349,1.383,281732,1.01
2017,606618,TRANSIT,70.5,68.1,92.2,0.76,9.01,7.22,13.59,8.56,06:43,07:53,7.62,10.45,2.16,3714,1.669,484025,0.929
2024,669257,WALK,92.0,90.9,107.5,4.47,10.23,25.93,3.32,3.93,07:52,09:23,10.38,4.47,3.2,3509,0.837,1852962,0.732
2018,336046,CARPOOL,58.6,56.2,87.7,15.34,16.72,30.54,6.38,9.44,09:35,10:31,22.49,20.67,1.72,5541,2.048,788638,4.373
2024,147005,TRANSIT,89.3,86.8,104.0,21.57,14.92,21.41,16.62,1.13,09:44,11:06,17.68,8.87,2.42,5106,1.952,2333380,3.932
2019,354213,OTHER,51.0,41.2,76.8,21.23,4.32,33.18,5.41,0.63,09:10,10:02,17.64,7.09,2.48,4349,1.194,1305444,3.368
2018,597521,MIXED,57.3,54.7,84.2,0.01,8.01,14.79,16.2,7.37,06:52,07:53,44.14,9.6,1.89,7533,1.239,1696252,0.832
