qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_social_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2015,REG000000492,0.3701,1.204,2.898,9.625,9.194,7.105,7.254,3.815,7.646,3.233,0.5704,0.0886,0.6556,7.212,6.555,5.647,5.878,5.385
2016,REG000000493,0.7462,5.285,9.576,5.553,9.543,2.853,0.381,5.71,6.163,1.329,0.6053,0.5171,0.5595,9.326,2.826,9.146,1.379,3.736
2021,REG000000494,0.6663,7.531,2.433,4.12,5.973,5.97,3.139,0.456,8.552,6.885,0.6502,0.4244,0.6649,6.483,9.487,0.783,1.601,4.618
2019,REG000000495,10.0024,9.816,7.676,0.36,9.598,7.215,7.07,0.305,8.059,1.624,0.2106,0.492,0.6323,7.725,7.736,0.136,6.496,6.503
2024,REG000000496,7.3205,3.723,7.254,2.003,3.257,5.756,3.522,3.474,0.412,8.58,0.1411,0.8816,0.2134,6.084,1.414,8.058,3.133,4.138
2019,REG000000497,6.6936,4.122,7.894,1.755,5.811,7.604,7.784,6.337,3.231,2.541,0.8856,0.4065,0.168,8.703,7.878,2.141,1.654,5.216
2014,REG000000498,7.5627,4.257,1.611,0.524,7.596,9.338,6.639,4.686,3.904,8.248,0.7249,0.0688,0.8697,8.981,9.503,8.822,8.505,6.225
2015,REG000000499,2.5138,5.762,0.666,7.546,2.29,0.441,6.479,3.75,1.18,5.0,0.5754,0.6366,0.8041,7.125,1.74,3.197,8.092,4.269
2014,REG000000500,1.2989,6.391,9.362,9.37,3.87,6.312,4.496,5.507,5.675,2.215,0.5781,0.5811,0.5727,5.603,1.32,4.387,1.773,4.489
2024,REG000000501,1.658,0.007,2.521,7.576,4.331,7.983,8.566,9.841,7.621,0.192,0.9326,0.8617,0.7629,2.681,5.97,7.119,4.566,5.378
2023,REG000000502,4.0241,0.299,0.494,4.134,1.365,0.176,3.908,5.719,1.716,3.06,0.3271,0.41,0.5329,1.051,6.583,5.417,6.165,3.313
2012,REG000000503,3.2472,0.464,7.043,8.288,2.026,6.226,0.292,3.987,7.763,7.431,0.2219,0.1964,0.3115,4.762,3.326,2.665,8.92,3.708
2025,REG000000504,7.4153,2.021,4.685,6.113,1.801,0.647,4.075,2.571,4.552,6.418,0.8749,0.536,0.4063,1.363,7.309,1.939,1.02,4.019
2023,REG000000505,4.4374,3.882,0.006,5.544,3.349,0.032,0.026,2.351,6.334,8.753,0.7946,0.5856,0.8184,7.896,4.793,7.012,0.333,3.961
2017,REG000000506,5.8725,0.952,9.939,0.146,7.183,6.086,6.032,1.687,5.286,2.586,0.1501,0.0308,0.3479,9.365,1.911,7.673,4.704,3.882
2021,REG000000507,0.1126,1.239,3.319,1.542,4.109,2.141,8.471,8.732,4.629,8.503,0.351,0.2258,0.9089,4.437,5.293,6.836,6.972,3.726
2022,REG000000508,4.0397,5.817,1.826,4.829,9.802,3.899,4.067,4.689,7.825,7.432,0.6617,0.9116,0.1586,2.976,2.787,4.952,0.269,5.76
2015,REG000000509,7.1348,4.701,6.549,0.459,4.318,8.348,6.63,0.234,9.948,0.842,0.5457,0.4246,0.7546,9.578,5.207,2.459,2.482,5.046
2023,REG000000510,4.4559,6.851,3.293,4.437,6.727,2.159,7.378,5.122,5.111,0.008,0.0287,0.8405,0.4731,4.859,5.219,8.606,5.804,5.25
2012,REG000000511,9.683,5.0,5.768,4.851,8.893,6.648,0.403,6.793,2.099,6.546,0.8884,0.4082,0.4116,3.661,0.572,0.073,0.535,5.948
2013,REG000000512,4.9341,0.552,9.991,1.967,3.287,5.827,1.844,6.507,6.495,4.09,0.2834,0.6422,0.1351,7.96,9.816,6.589,0.303,3.413
2010,REG000000513,1.6432,3.339,8.281,4.367,2.464,1.301,1.774,2.245,8.222,5.843,0.3091,0.7866,0.9127,6.279,3.131,0.47,2.974,2.715
2010,REG000000514,1.9553,8.758,2.422,1.462,0.758,1.078,6.008,1.241,7.851,7.707,0.4003,0.676,0.8251,1.433,7.493,1.047,2.978,3.843
2016,REG000000515,2.0974,2.053,6.492,9.573,9.053,7.821,6.88,4.096,7.669,6.892,0.8817,0.7908,0.9079,1.563,7.388,2.177,6.476,5.561
2018,REG000000516,9.2915,4.443,6.005,0.39,9.553,6.106,8.986,9.47,0.273,1.799,0.0688,0.8708,0.8517,8.817,4.438,5.889,8.965,6.222
2018,REG000000517,0.8926,5.004,6.692,9.226,4.301,8.499,3.194,1.996,3.603,0.849,0.4666,0.7617,0.746,4.588,2.604,5.417,5.253,4.254
2011,REG000000518,6.7097,6.448,0.679,8.854,2.286,0.386,6.568,7.778,3.612,4.901,0.2,0.6552,0.0496,8.971,6.88,1.455,9.038,5.704
2011,REG000000519,1.1308,9.351,0.49,9.797,4.746,8.726,0.148,4.991,2.722,7.246,0.6908,0.1097,0.7001,5.732,7.216,0.906,9.339,5.586
2017,REG000000520,9.0389,7.481,3.624,4.936,6.559,9.05,0.629,6.132,2.076,0.856,0.9766,0.0493,0.541,9.715,5.972,8.388,4.521,6.215
2009,REG000000521,5.616,3.634,0.685,9.529,2.603,7.092,8.041,5.558,8.326,5.513,0.1051,0.8399,0.7635,5.006,8.177,5.15,0.624,6.344
2025,REG000000522,6.2681,3.935,9.497,2.845,3.434,1.856,3.181,7.275,2.349,3.74,0.5926,0.6461,0.4336,3.671,7.12,3.176,1.092,3.677
2025,REG000000523,9.6102,1.049,3.389,0.513,4.514,7.634,4.981,6.062,2.199,2.441,0.2255,0.3032,0.136,6.455,1.928,2.106,1.093,5.18
2024,REG000000524,5.1233,0.282,9.583,9.504,7.16,4.351,7.441,8.03,1.585,1.903,0.7913,0.1775,0.7767,0.065,6.691,0.588,1.336,4.84
2021,REG000000525,4.9834,6.992,2.798,3.688,8.174,4.86,6.467,4.248,0.71,9.109,0.2463,0.947,0.4292,9.492,1.988,8.255,5.6,5.591
2013,REG000000526,7.2495,8.08,6.051,5.997,7.212,1.687,5.584,6.108,6.412,0.932,0.3256,0.1175,0.836,0.11,1.643,2.788,6.012,5.778
2025,REG000000527,6.7126,3.429,4.551,3.597,4.185,2.561,9.418,4.95,6.551,1.189,0.4988,0.3248,0.6055,7.811,3.649,7.747,7.608,5.079
2018,REG000000528,2.4777,1.283,9.194,7.579,7.15,3.449,2.467,8.79,6.818,0.364,0.5214,0.373,0.5544,6.865,8.067,4.651,8.774,4.067
2013,REG000000529,4.0698,7.769,5.201,3.897,3.28,6.57,3.787,2.235,8.551,7.537,0.0721,0.6731,0.6104,8.272,3.221,2.007,8.628,4.928
2012,REG000000530,7.9529,0.997,2.184,6.863,9.632,7.953,8.546,8.792,4.816,4.58,0.9056,0.2043,0.8003,0.575,8.694,7.341,6.289,7.058
2022,REG000000531,0.902,9.877,8.158,6.735,4.894,4.001,3.637,3.733,1.952,1.639,0.0953,0.5969,0.4019,7.638,7.751,8.122,4.761,4.075
2025,REG000000532,3.6671,5.033,4.849,6.102,9.801,6.175,1.557,9.37,3.901,6.554,0.4716,0.0875,0.8058,7.531,6.341,0.275,9.369,5.567
2022,REG000000533,0.2152,6.167,7.003,5.444,7.723,2.451,9.365,4.183,2.871,3.087,0.851,0.0358,0.328,2.812,1.029,6.228,5.613,4.339
2020,REG000000534,8.3283,1.004,5.048,2.719,4.264,5.104,7.05,3.424,7.923,0.706,0.8688,0.2652,0.6811,9.994,9.365,1.471,3.302,4.97
2014,REG000000535,7.0884,6.212,6.315,8.43,1.439,1.292,2.723,4.715,4.192,7.625,0.6827,0.8417,0.7182,9.432,3.44,0.576,3.935,4.604
2021,REG000000536,1.3835,3.978,9.22,8.575,2.177,0.056,6.172,2.427,2.075,4.239,0.1504,0.7958,0.892,6.487,9.455,9.883,7.847,2.941
2019,REG000000537,0.9916,7.161,2.664,5.09,7.328,8.284,8.857,5.398,0.528,4.892,0.5923,0.7912,0.1837,1.862,5.29,1.607,4.4,5.591
2008,REG000000538,0.0647,9.055,9.345,5.778,4.818,9.687,7.445,8.714,2.553,5.164,0.8708,0.9246,0.9781,3.807,2.638,9.673,1.513,5.171
2025,REG000000539,5.9778,3.924,6.687,2.842,7.511,9.547,7.344,9.615,8.18,6.653,0.0981,0.3075,0.054,4.872,5.562,1.884,7.777,6.327
2023,REG000000540,7.9489,6.91,2.362,2.051,8.437,1.713,8.897,8.125,4.339,5.313,0.3808,0.4238,0.346,8.006,5.524,0.197,1.872,6.344
2022,REG000000541,6.81,1.117,7.473,1.352,3.088,8.147,8.196,3.441,7.193,5.831,0.4501,0.9555,0.7381,6.841,6.5,1.52,4.846,4.729
2014,REG000000542,5.3601,3.559,0.932,0.205,5.076,9.33,4.007,8.433,7.09,8.894,0.9568,0.2752,0.809,2.538,2.954,9.322,6.537,5.717
2008,REG000000543,8.1492,6.715,7.463,0.404,3.194,6.503,4.382,6.277,2.954,0.584,0.4986,0.1603,0.7018,1.307,6.214,3.047,7.398,4.85
2023,REG000000544,6.4943,9.722,7.259,9.938,6.698,2.979,1.832,2.318,8.477,3.164,0.8735,0.3536,0.3586,7.107,6.216,5.062,6.068,5.696
2019,REG000000545,8.1394,5.844,9.896,7.511,6.776,9.635,4.106,1.539,2.701,5.228,0.7487,0.6419,0.5496,5.74,5.438,1.067,4.403,5.688
2012,REG000000546,4.6745,6.423,1.141,0.962,3.935,6.124,9.636,6.921,3.786,8.005,0.2477,0.6661,0.1128,7.397,4.266,9.211,4.732,5.696
2017,REG000000547,2.8076,5.119,8.457,2.651,5.597,7.358,5.84,5.106,4.436,4.667,0.3137,0.2327,0.5401,4.946,0.235,4.643,4.574,4.436
2015,REG000000548,3.8127,7.376,1.113,9.296,5.466,3.605,4.779,2.721,1.398,2.344,0.1558,0.8931,0.2707,3.96,9.725,4.672,9.171,5.295
2020,REG000000549,3.6538,8.149,1.054,6.429,3.344,1.056,4.246,9.813,6.62,2.65,0.442,0.6207,0.7828,9.366,2.076,9.447,8.662,5.351
2014,REG000000550,1.1909,4.32,5.008,8.006,0.941,0.0,8.331,9.712,6.421,1.787,0.0087,0.4964,0.5587,0.217,4.835,4.442,2.427,4.167
2018,REG000000551,2.395,9.105,0.039,3.407,3.132,4.154,4.576,3.381,1.825,0.525,0.0114,0.1643,0.8387,3.732,7.267,4.859,8.186,4.573
2025,REG000000552,5.0241,6.364,3.304,8.097,7.077,0.169,4.93,5.864,2.56,4.635,0.7792,0.0661,0.4618,4.347,7.606,0.452,1.701,5.215
2010,REG000000553,2.0872,9.902,8.235,4.486,9.254,9.936,4.456,1.61,1.302,7.007,0.6638,0.3691,0.0399,0.512,1.367,4.896,2.853,5.275
2009,REG000000554,3.6183,6.45,9.771,5.764,0.242,3.857,6.341,6.171,9.477,8.528,0.0716,0.0732,0.3301,0.444,8.998,7.245,3.776,4.373
2018,REG000000555,4.8174,1.19,3.225,3.219,0.023,5.619,7.152,0.13,6.015,6.423,0.7114,0.9975,0.0381,0.012,6.987,5.684,2.523,3.891
2017,REG000000556,8.5755,2.015,3.369,2.126,7.979,3.843,0.482,6.415,6.223,1.232,0.3673,0.5415,0.008,1.601,8.872,5.575,4.868,5.029
2022,REG000000557,3.7216,7.877,8.476,7.19,1.858,8.312,3.652,1.837,5.582,0.639,0.0968,0.1568,0.1729,3.346,2.408,7.026,5.471,4.557
2023,REG000000558,7.7677,6.579,0.257,1.745,4.703,5.919,8.551,7.739,1.2,1.918,0.6489,0.9332,0.2375,8.824,3.989,1.3,9.207,6.186
2016,REG000000559,7.7638,3.744,6.638,8.391,6.722,6.84,5.298,8.965,7.786,5.065,0.3691,0.0734,0.6586,9.262,0.575,6.236,9.415,6.455
2014,REG000000560,3.3959,7.643,7.885,2.882,7.479,0.695,4.75,3.943,1.132,3.877,0.0437,0.2385,0.4823,8.29,1.271,9.459,8.657,3.935
2023,REG000000561,5.123,4.856,1.861,4.39,8.818,6.375,4.71,9.236,2.506,3.746,0.8973,0.2915,0.5823,2.338,6.424,2.725,2.495,6.006
2010,REG000000562,4.9371,9.511,2.561,5.291,3.963,8.651,2.764,5.92,2.47,7.376,0.9715,0.6599,0.291,4.404,3.589,0.792,1.726,5.852
2021,REG000000563,6.5822,2.16,2.286,0.929,7.125,1.668,3.717,8.027,1.091,6.737,0.73,0.866,0.6395,8.18,9.256,0.798,6.711,4.567
2010,REG000000564,4.9033,1.728,5.83,1.313,2.303,4.058,9.974,6.077,0.621,0.048,0.7664,0.6279,0.8627,4.3,8.346,6.539,4.74,3.913
2008,REG000000565,5.9554,2.32,2.626,1.449,8.127,8.211,3.603,6.829,5.684,2.719,0.0112,0.9875,0.0428,0.962,5.567,6.703,3.127,5.485
2012,REG000000566,5.8885,3.908,1.269,8.722,8.517,0.17,6.694,2.444,6.928,5.907,0.0637,0.9214,0.7344,8.334,7.182,3.749,3.478,5.705
2009,REG000000567,3.4176,3.176,8.412,3.98,6.315,8.557,1.28,1.273,1.302,7.535,0.3345,0.2848,0.044,5.559,2.658,5.954,2.737,3.786
2012,REG000000568,8.0377,3.329,8.648,7.179,3.422,7.032,4.898,0.546,4.911,2.58,0.9345,0.9441,0.376,3.486,1.872,7.176,2.167,4.823
2019,REG000000569,4.5028,8.86,4.023,6.607,6.101,0.267,3.088,4.408,4.154,3.635,0.9356,0.4035,0.3223,4.775,3.496,6.349,4.338,4.869
2023,REG000000570,9.3369,9.289,4.917,2.016,6.196,8.98,6.36,8.921,8.658,9.441,0.2402,0.5135,0.1231,6.351,5.322,8.682,4.275,7.374
2021,REG000000571,6.14,9.886,6.396,5.751,9.292,4.985,3.547,4.111,6.478,7.742,0.2363,0.7036,0.2846,3.13,6.669,9.42,4.825,6.157
2010,REG000000572,9.9551,2.879,2.127,3.023,6.746,3.107,4.176,9.322,2.453,6.014,0.6373,0.2015,0.812,3.672,3.599,7.088,7.899,5.83
2013,REG000000573,3.8512,5.598,5.766,7.975,7.141,5.916,4.3,9.736,5.25,3.775,0.2503,0.7959,0.2096,5.152,2.726,2.042,2.521,5.742
2014,REG000000574,3.3473,9.444,7.861,4.674,5.964,5.301,1.904,8.984,4.075,7.58,0.9268,0.201,0.2166,3.657,2.705,9.204,6.2,5.064
2025,REG000000575,8.7854,6.378,8.455,6.843,4.591,0.977,2.455,7.418,8.572,8.355,0.7908,0.8347,0.5123,7.329,6.473,5.144,6.265,5.364
2016,REG000000576,3.3865,7.183,7.886,7.508,8.92,3.163,1.516,9.658,4.815,5.882,0.7908,0.0345,0.3226,5.036,4.072,4.243,7.361,5.204
2022,REG000000577,7.0656,0.384,6.091,0.425,9.029,2.995,4.367,3.511,9.71,2.395,0.9628,0.6806,0.4007,2.469,2.343,3.342,1.071,4.532
2014,REG000000578,9.8747,3.586,7.578,7.871,9.603,0.978,8.41,8.462,0.557,7.85,0.9184,0.649,0.2819,6.135,5.688,3.573,1.493,6.205
2022,REG000000579,9.0898,7.876,2.166,3.841,9.245,5.405,3.831,2.938,8.718,2.744,0.4156,0.3037,0.5792,4.785,9.078,3.503,0.043,6.692
2021,REG000000580,0.0659,7.08,7.326,6.454,0.121,7.574,0.431,7.575,8.988,1.838,0.0287,0.2908,0.3267,2.992,1.833,3.486,7.257,3.912
2012,REG000000581,0.344,8.467,4.094,9.399,8.335,6.45,9.028,8.318,6.182,8.239,0.7047,0.5603,0.7722,2.657,9.906,4.0,4.625,6.476
2021,REG000000582,9.1121,9.354,5.532,8.232,9.662,2.532,8.207,7.011,5.653,9.007,0.3638,0.3889,0.793,7.601,6.457,0.017,4.913,7.386
2014,REG000000583,5.3222,1.043,5.616,9.285,6.661,6.742,7.369,2.719,3.296,8.54,0.9501,0.1984,0.0804,2.493,2.441,2.585,8.461,5.371
2011,REG000000584,7.6343,9.571,8.304,5.218,3.619,9.398,5.045,5.866,9.489,2.184,0.4927,0.4939,0.2979,5.485,3.987,4.576,1.199,6.352
2018,REG000000585,5.0944,5.966,7.673,8.152,9.941,3.219,3.848,2.441,7.322,8.198,0.5598,0.0206,0.645,0.844,0.52,4.063,7.485,5.433
2015,REG000000586,2.9635,6.842,8.099,9.751,0.371,4.609,3.006,3.983,8.842,4.222,0.8433,0.2863,0.9507,7.848,3.663,1.586,3.519,4.341
2013,REG000000587,7.1486,6.294,3.934,1.846,1.697,6.122,6.4,5.742,6.185,2.308,0.7846,0.8579,0.5998,9.309,2.111,8.418,0.96,5.278
2020,REG000000588,2.1237,7.294,1.309,8.571,0.131,8.711,4.93,7.836,7.398,0.976,0.9437,0.8974,0.4155,2.419,7.242,4.502,2.789,5.618
2010,REG000000589,0.4288,3.319,1.371,4.989,9.851,8.809,4.931,3.411,8.539,6.927,0.7782,0.6643,0.0635,7.391,7.605,4.024,8.357,5.483
2012,REG000000590,6.8159,5.399,8.667,3.295,9.135,8.688,8.016,8.568,0.613,5.231,0.4482,0.6284,0.2535,2.182,4.333,2.918,4.804,6.094
2022,REG000000591,3.732,8.161,4.756,1.908,5.402,8.427,4.463,9.698,8.389,5.999,0.1479,0.5671,0.0693,3.498,6.009,5.231,8.305,5.861
2016,REG000000592,1.6161,6.07,8.697,5.421,7.634,3.411,0.945,6.161,2.522,0.194,0.7736,0.8195,0.5217,0.318,2.499,9.557,4.111,3.749
2020,REG000000593,8.9722,6.195,9.688,6.096,3.651,7.584,2.247,6.222,0.031,7.951,0.6049,0.4072,0.2108,1.112,1.752,3.967,5.192,5.22
2021,REG000000594,1.9583,2.929,6.942,9.258,3.732,4.093,5.596,3.985,7.819,1.301,0.471,0.3822,0.3456,8.419,0.734,3.613,3.437,4.237
2010,REG000000595,6.8244,9.908,9.226,8.374,9.385,0.288,1.466,5.764,9.864,3.686,0.4548,0.8089,0.143,3.447,7.89,1.351,1.876,5.756
2011,REG000000596,8.2195,5.161,1.912,3.992,8.933,2.542,8.26,0.666,5.736,8.196,0.4709,0.0234,0.8543,1.255,3.767,9.708,6.626,6.06
2013,REG000000597,0.7046,5.217,5.018,9.845,5.319,6.315,9.0,7.614,0.5,1.829,0.144,0.7886,0.6927,1.855,0.935,4.393,1.592,5.197
2015,REG000000598,4.2627,3.888,8.838,6.223,8.062,2.345,2.127,7.182,2.033,6.541,0.0299,0.1342,0.6155,1.549,3.515,6.94,1.859,4.25
2008,REG000000599,2.0378,3.472,8.149,1.369,9.328,3.587,4.722,8.79,6.804,7.423,0.9992,0.2138,0.5801,4.09,8.663,8.106,2.888,4.377
2024,REG000000600,7.8849,5.379,9.332,1.165,8.229,0.129,6.058,2.79,5.217,7.525,0.8944,0.6601,0.2779,3.329,1.179,4.582,6.252,4.533
2012,REG000000601,4.326,9.937,9.288,0.596,8.693,9.419,7.97,8.255,1.896,1.642,0.5062,0.7569,0.6213,2.011,6.816,5.364,8.643,5.869
2009,REG000000602,0.5711,2.798,0.994,5.607,5.384,7.204,3.029,7.813,2.16,2.656,0.5143,0.1559,0.8682,9.821,0.956,2.665,5.481,4.51
2025,REG000000603,4.7192,2.348,1.45,5.964,6.091,9.85,8.303,2.752,5.107,8.208,0.8696,0.1199,0.2198,3.696,3.273,4.585,9.289,6.006
2013,REG000000604,9.2593,1.003,3.042,0.444,7.659,2.765,8.121,6.02,9.277,4.025,0.4259,0.336,0.2871,9.348,6.505,8.552,1.063,5.698
2024,REG000000605,6.4424,6.843,2.728,0.503,1.941,5.718,4.473,1.743,5.517,4.975,0.1578,0.1144,0.9926,5.389,4.827,9.912,6.23,4.684
2013,REG000000606,3.9825,6.903,0.305,0.305,5.679,6.202,1.643,9.427,7.073,2.073,0.0827,0.299,0.9267,4.633,2.554,4.229,8.935,5.344
2009,REG000000607,4.6896,8.891,7.984,3.204,5.206,7.079,1.007,8.362,4.338,7.809,0.4278,0.9748,0.2965,6.284,6.897,0.346,1.039,5.082
2025,REG000000608,5.2867,3.315,4.745,5.915,2.602,0.57,0.995,1.087,9.939,0.149,0.7365,0.3453,0.6514,0.903,7.443,2.612,3.28,3.622
2009,REG000000609,1.8768,7.093,8.853,6.462,1.568,1.382,8.619,9.132,5.537,6.906,0.4149,0.1703,0.6738,7.719,8.725,7.758,5.929,4.356
2012,REG000000610,7.7729,8.021,8.602,6.625,1.711,6.105,6.351,4.147,9.245,7.321,0.6546,0.6253,0.2345,3.328,9.26,0.568,5.845,5.759
2016,REG000000611,3.832,6.148,3.731,6.789,3.878,8.418,4.606,9.255,1.747,4.202,0.2089,0.5654,0.9328,4.334,7.735,2.916,7.749,5.588
2022,REG000000612,2.6361,1.634,2.11,4.647,4.566,7.598,5.202,1.615,0.6,6.506,0.3034,0.5559,0.4724,6.434,9.616,1.863,4.642,4.188
2012,REG000000613,7.0652,8.369,3.157,6.157,0.684,2.577,9.031,6.402,1.424,3.193,0.7747,0.7594,0.4233,5.189,1.738,3.841,3.462,5.521
2023,REG000000614,8.5683,4.532,8.735,5.661,4.081,9.898,7.547,5.26,4.895,9.385,0.8011,0.0772,0.5435,1.404,2.583,6.68,8.317,6.102
2014,REG000000615,5.5384,4.991,8.77,3.113,3.906,4.125,2.176,5.25,3.364,3.737,0.7264,0.6415,0.8453,4.874,5.575,6.101,0.202,3.897
2016,REG000000616,2.0185,5.978,5.759,2.889,3.563,9.584,2.428,5.787,6.4,9.665,0.2187,0.2131,0.0085,7.142,9.857,0.907,0.991,4.643
2018,REG000000617,9.5086,1.643,8.285,2.975,1.229,7.348,3.149,1.913,4.658,3.484,0.9413,0.9254,0.0825,9.102,5.425,5.54,0.496,4.213
2020,REG000000618,9.8217,1.245,0.206,9.264,5.077,5.289,1.585,7.511,1.407,2.003,0.2053,0.1498,0.8535,3.142,8.54,3.036,8.47,5.94
2012,REG000000619,8.4548,6.093,4.304,0.481,2.479,6.15,8.753,8.431,7.026,3.291,0.6663,0.0147,0.5237,0.986,4.291,7.969,9.906,5.932
2015,REG000000620,3.8519,2.905,2.253,5.86,6.291,9.934,9.237,4.394,5.492,0.614,0.2638,0.3595,0.5647,7.29,8.742,1.293,4.462,5.956
2020,REG000000621,0.796,2.739,5.424,6.116,2.766,4.318,3.329,4.458,1.806,0.437,0.9738,0.0933,0.7794,7.673,0.352,7.449,2.756,3.187
2020,REG000000622,4.7421,2.315,3.713,1.485,1.684,4.401,8.308,4.765,3.48,5.488,0.5357,0.3676,0.5573,8.667,6.682,6.995,9.983,4.158
2018,REG000000623,4.5252,6.612,2.13,9.957,6.598,6.927,6.217,4.341,1.239,2.129,0.7357,0.1394,0.1192,2.12,2.629,2.274,2.922,6.088
2018,REG000000624,5.6523,5.496,2.114,9.983,6.552,2.942,9.647,2.205,2.472,0.347,0.1828,0.5008,0.7914,1.678,9.985,6.798,3.373,5.888
2021,REG000000625,5.9834,8.744,6.29,7.692,3.422,6.985,3.053,7.551,9.566,0.874,0.161,0.6967,0.0074,9.962,8.908,6.839,7.33,6.005
2023,REG000000626,4.6645,4.037,0.811,4.631,0.546,9.092,8.184,8.24,5.977,1.953,0.8292,0.1191,0.7477,2.435,2.886,8.112,5.021,5.727
2018,REG000000627,2.7096,5.252,2.738,4.498,2.534,1.167,4.843,2.854,6.703,9.217,0.1195,0.1183,0.5462,7.568,9.581,9.993,9.823,4.026
2011,REG000000628,3.8137,5.77,6.375,6.571,1.705,3.563,2.37,4.903,1.068,1.058,0.5626,0.8621,0.148,3.937,1.922,1.363,8.833,3.734
2008,REG000000629,1.8208,7.539,3.484,7.373,5.362,4.664,5.799,7.26,4.244,2.809,0.1324,0.0945,0.6073,9.957,7.981,8.321,2.464,5.285
2021,REG000000630,8.8709,5.185,1.506,0.905,4.165,9.706,7.814,0.456,0.805,0.616,0.5187,0.1502,0.7346,5.758,3.427,2.407,6.378,5.691
2011,REG000000631,8.715,7.249,7.918,6.21,9.269,4.972,9.71,8.821,4.463,1.396,0.0458,0.002,0.09,0.42,9.803,1.133,8.408,6.938
2013,REG000000632,6.9861,2.676,4.013,5.606,8.777,0.231,4.086,7.737,4.896,0.221,0.0015,0.9964,0.3697,2.316,0.498,5.024,6.228,5.133
2022,REG000000633,6.7312,8.337,6.254,0.264,3.41,1.92,5.082,7.115,1.272,9.165,0.824,0.5949,0.3568,7.78,8.282,5.127,0.45,4.578
2022,REG000000634,5.1833,0.836,6.903,1.571,5.982,1.426,9.105,5.779,8.214,7.322,0.2703,0.9903,0.1769,7.492,3.189,9.429,1.091,4.39
2017,REG000000635,7.9894,8.484,0.935,8.257,0.902,1.288,5.97,7.858,9.344,6.659,0.9197,0.7174,0.1512,2.62,7.858,7.129,9.314,6.359
2019,REG000000636,7.4525,2.607,4.766,9.729,6.059,7.494,6.419,8.42,8.69,8.288,0.8168,0.8312,0.268,4.78,6.496,3.488,3.756,6.768
2016,REG000000637,0.6696,8.309,6.209,4.63,3.929,2.37,9.006,3.73,5.454,0.751,0.4174,0.8447,0.0181,2.919,1.016,0.211,5.249,4.245
2025,REG000000638,6.5557,6.229,2.078,3.008,9.075,6.903,3.282,7.234,0.314,9.579,0.4927,0.7672,0.9285,6.18,4.77,2.802,9.142,6.044
2013,REG000000639,4.9838,2.13,9.289,6.874,8.355,4.893,1.144,6.842,2.22,3.246,0.7984,0.4339,0.3308,7.321,8.546,3.873,6.21,4.349
2025,REG000000640,6.6089,4.322,7.161,9.307,6.061,1.391,7.388,3.015,0.377,6.274,0.1162,0.1083,0.7727,6.405,2.762,0.07,8.389,4.934
2016,REG000000641,6.88,4.71,8.339,1.247,4.96,3.268,3.059,6.347,1.366,8.481,0.7585,0.6276,0.1996,4.895,4.706,9.125,4.875,4.135
2011,REG000000642,5.0651,3.14,8.627,4.065,0.34,6.844,5.375,8.984,4.862,1.889,0.2552,0.3539,0.1931,3.415,6.858,7.559,2.799,4.269
2014,REG000000643,4.6472,2.733,1.009,9.974,5.469,2.263,4.081,3.219,8.97,3.632,0.5392,0.9152,0.7504,1.452,6.337,7.129,7.89,5.254
2023,REG000000644,1.8093,0.908,9.678,9.103,0.891,9.848,5.952,2.888,5.417,9.131,0.8599,0.647,0.9887,2.673,5.046,8.762,2.831,3.988
2010,REG000000645,0.4134,6.768,1.115,7.495,9.954,8.667,7.156,1.245,5.179,8.531,0.7381,0.506,0.7309,3.712,1.595,2.899,2.563,6.044
2016,REG000000646,0.7135,2.272,5.04,5.757,9.515,7.726,9.347,7.85,0.924,3.134,0.7877,0.5139,0.908,2.431,1.955,8.176,3.443,5.211
2011,REG000000647,3.3356,1.325,3.206,1.417,5.245,2.559,4.545,3.287,9.229,8.81,0.8312,0.5043,0.7745,0.058,4.529,2.104,4.384,3.953
2015,REG000000648,8.7417,1.059,9.643,4.665,0.828,6.399,2.675,3.648,6.009,1.279,0.4396,0.5385,0.0271,0.217,1.742,0.808,2.664,4.004
2014,REG000000649,6.4588,9.639,7.311,5.244,5.3,7.631,2.87,5.644,5.133,9.646,0.8749,0.9479,0.1514,6.861,4.197,9.742,4.782,5.892
2015,REG000000650,9.4079,1.24,0.689,8.475,6.375,4.145,2.084,2.955,7.91,0.522,0.4063,0.5705,0.902,5.477,5.345,4.306,3.871,5.801
2016,REG000000651,0.612,4.039,0.063,8.391,1.934,2.465,7.267,0.705,7.147,4.853,0.438,0.6932,0.4577,6.169,3.703,8.363,7.717,4.253
2013,REG000000652,6.9451,7.761,9.816,6.14,7.413,0.161,0.531,0.432,2.766,9.523,0.9387,0.4849,0.8242,1.631,0.21,5.004,3.134,4.155
2021,REG000000653,6.9342,1.223,0.675,9.097,4.04,1.601,8.937,3.279,0.815,6.53,0.9974,0.8731,0.879,6.794,9.353,8.119,3.445,5.238
