mig_border_crossing_date,mig_border_border_section_id,mig_border_border_type_code,mig_border_host_country_iso2,mig_border_neighbor_country_iso2,mig_border_crossing_point_code,mig_border_transport_mode_code,mig_border_direction_code,mig_border_entry_exit_system_flag,mig_border_etias_flag,mig_border_visa_required_flag,mig_border_refusal_of_entry_count,mig_border_refusal_reason_code,mig_border_irregular_crossing_count,mig_border_apprehension_count,mig_border_returns_decision_count,mig_border_returns_effected_count,mig_border_frontex_operation_code,mig_border_data_source,mig_border_data_extract_date
2019-09-19,AT-US-LAND-00513,LAND,AT,US,ATUS28,RAIL,OUT,1,1,1,38,PUBLIC_HEALTH,49,26,21,19,MINERVA,PORT_AUTHORITY,2025-07-04
2019-09-26,CZ-GR-LAND-00514,LAND,CZ,GR,CZGR29,FOOT,IN,0,1,0,44,OVERSTAY_RISK,50,20,15,8,TRITON,NATIONAL_BORDER_GUARD,2024-09-10
2019-10-03,DE-HU-LAND-00515,LAND,DE,HU,DEHU30,ROAD,OUT,1,0,0,35,SECURITY_ALERT,44,37,24,15,JOINT_OPS_OTHER,FRONTEX,2025-07-14
2019-10-10,LV-NL-LAND-00516,LAND,LV,NL,LVNL31,AIR,IN,1,0,0,42,DOCS_INVALID,44,18,17,14,POSEIDON,AIRPORT_AUTHORITY,2025-12-24
2019-10-17,PL-SE-LAND-00517,LAND,PL,SE,PLSE32,SEA,OUT,1,0,0,45,OTHER,42,28,26,23,INDALO,EU_LISA,2025-10-02
2019-10-24,ES-EG-LAND-00518,LAND,ES,EG,ESEG33,RAIL,IN,1,0,0,41,NO_VISA,44,22,24,21,THEMIS,PORT_AUTHORITY,2025-06-22
2019-10-31,HR-IS-LAND-00519,LAND,HR,IS,HRIS34,FOOT,OUT,0,1,1,40,PUBLIC_HEALTH,57,32,25,17,MINERVA,NATIONAL_BORDER_GUARD,2025-03-10
2019-11-07,FI-NG-LAND-00520,LAND,FI,NG,FING35,ROAD,IN,1,0,0,52,OVERSTAY_RISK,6,2,27,16,TRITON,FRONTEX,2026-02-21
2019-11-14,IE-TR-LAND-00521,LAND,IE,TR,IETR36,AIR,OUT,0,0,1,43,SECURITY_ALERT,12,4,30,13,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2026-02-20
2019-11-21,MT-HR-LAND-00522,LAND,MT,HR,MTHR37,SEA,IN,1,1,0,51,DOCS_INVALID,13,5,26,18,POSEIDON,EU_LISA,2025-11-02
2019-11-28,SK-DE-LAND-00523,LAND,SK,DE,SKDE38,RAIL,OUT,0,0,0,44,OTHER,18,13,35,18,INDALO,PORT_AUTHORITY,2025-10-10
2019-12-05,BE-LU-LAND-00524,LAND,BE,LU,BELU39,FOOT,IN,0,1,0,57,NO_VISA,6,4,32,29,THEMIS,NATIONAL_BORDER_GUARD,2025-04-10
2019-12-12,DK-SI-LAND-00525,LAND,DK,SI,DKSI40,ROAD,OUT,0,0,0,53,PUBLIC_HEALTH,13,10,33,17,MINERVA,FRONTEX,2026-02-01
2019-12-19,GR-CN-LAND-00526,LAND,GR,CN,GRCN41,AIR,IN,0,0,1,52,OVERSTAY_RISK,7,7,30,26,TRITON,AIRPORT_AUTHORITY,2026-01-17
2019-12-26,LT-IQ-LAND-00527,LAND,LT,IQ,LTIQ42,SEA,OUT,0,1,0,60,SECURITY_ALERT,15,8,34,33,JOINT_OPS_OTHER,EU_LISA,2026-01-09
2020-01-02,PT-ME-LAND-00528,LAND,PT,ME,PTME43,RAIL,IN,1,0,0,56,DOCS_INVALID,8,7,35,21,POSEIDON,PORT_AUTHORITY,2024-01-03
2020-01-09,SE-SY-LAND-00529,LAND,SE,SY,SESY44,FOOT,OUT,0,0,1,63,OTHER,11,10,36,34,INDALO,NATIONAL_BORDER_GUARD,2025-08-02
2020-01-16,CY-BE-LAND-00530,LAND,CY,BE,CYBE45,ROAD,IN,0,0,0,50,NO_VISA,24,15,34,23,THEMIS,FRONTEX,2024-10-07
2020-01-23,FR-FI-LAND-00531,LAND,FR,FI,FRFI46,AIR,OUT,1,1,0,54,PUBLIC_HEALTH,14,10,41,32,MINERVA,AIRPORT_AUTHORITY,2024-10-31
2020-01-30,IT-LV-LAND-00532,LAND,IT,LV,ITLV47,SEA,IN,0,1,0,67,OVERSTAY_RISK,12,5,32,24,TRITON,EU_LISA,2025-08-06
2020-02-06,NL-RO-LAND-00533,LAND,NL,RO,NLRO48,RAIL,OUT,0,1,0,55,SECURITY_ALERT,20,7,45,45,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-08-16
2020-02-13,SI-BY-LAND-00534,LAND,SI,BY,SIBY49,FOOT,IN,1,1,1,65,DOCS_INVALID,17,15,42,20,POSEIDON,NATIONAL_BORDER_GUARD,2024-02-17
2020-02-20,BG-GH-LAND-00535,LAND,BG,GH,BGGH50,ROAD,OUT,1,0,1,69,OTHER,28,23,42,29,INDALO,FRONTEX,2024-11-30
2020-02-27,EE-MA-LAND-00536,LAND,EE,MA,EEMA51,AIR,IN,1,0,1,69,NO_VISA,34,17,42,33,THEMIS,AIRPORT_AUTHORITY,2024-04-15
2020-03-05,HU-RS-LAND-00537,LAND,HU,RS,HURS52,SEA,OUT,1,0,0,61,PUBLIC_HEALTH,31,30,39,27,MINERVA,EU_LISA,2025-11-28
2020-03-12,LU-VN-LAND-00538,LAND,LU,VN,LUVN53,RAIL,IN,1,0,0,63,OVERSTAY_RISK,24,10,47,23,TRITON,PORT_AUTHORITY,2025-12-15
2020-03-19,RO-DK-LAND-00539,LAND,RO,DK,RODK54,FOOT,OUT,0,0,0,62,SECURITY_ALERT,21,9,49,31,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2025-03-31
2020-03-26,AT-IE-LAND-00540,LAND,AT,IE,ATIE55,ROAD,IN,0,1,0,13,DOCS_INVALID,27,11,46,22,POSEIDON,FRONTEX,2024-07-13
2020-04-02,CZ-PL-LAND-00541,LAND,CZ,PL,CZPL56,AIR,OUT,0,1,0,8,OTHER,25,12,47,23,INDALO,AIRPORT_AUTHORITY,2025-02-25
2020-04-09,DE-AL-LAND-00542,LAND,DE,AL,DEAL57,SEA,IN,0,0,1,3,NO_VISA,25,24,51,26,THEMIS,EU_LISA,2024-09-08
2020-04-16,LV-GB-LAND-00543,LAND,LV,GB,LVGB58,RAIL,OUT,0,0,1,9,PUBLIC_HEALTH,39,30,48,22,MINERVA,PORT_AUTHORITY,2025-06-24
2020-04-23,PL-JP-LAND-00544,LAND,PL,JP,PLJP59,FOOT,IN,0,1,1,9,OVERSTAY_RISK,35,24,46,39,TRITON,NATIONAL_BORDER_GUARD,2025-03-05
2020-04-30,ES-NO-LAND-00545,LAND,ES,NO,ESNO60,ROAD,OUT,0,1,0,14,SECURITY_ALERT,29,21,53,46,JOINT_OPS_OTHER,FRONTEX,2025-07-26
2020-05-07,HR-UA-LAND-00546,LAND,HR,UA,HRUA61,AIR,IN,0,1,1,17,DOCS_INVALID,34,32,47,46,POSEIDON,AIRPORT_AUTHORITY,2024-02-22
2020-05-14,FI-CY-LAND-00547,LAND,FI,CY,FICY62,SEA,OUT,0,1,0,11,OTHER,30,17,54,29,INDALO,EU_LISA,2026-02-01
2020-05-21,IE-GR-LAND-00548,LAND,IE,GR,IEGR63,RAIL,IN,0,0,0,23,NO_VISA,33,22,55,44,THEMIS,PORT_AUTHORITY,2024-08-18
2020-05-28,MT-SI-LAND-00549,LAND,MT,SI,MTSI64,FOOT,OUT,0,0,0,15,PUBLIC_HEALTH,31,18,60,56,MINERVA,NATIONAL_BORDER_GUARD,2025-11-07
2020-06-04,SK-ES-LAND-00550,LAND,SK,ES,SKES65,ROAD,IN,1,0,0,25,OVERSTAY_RISK,35,28,3,2,TRITON,FRONTEX,2025-06-19
2020-06-11,BE-DZ-LAND-00551,LAND,BE,DZ,BEDZ66,AIR,OUT,0,1,0,23,SECURITY_ALERT,46,30,2,2,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2024-07-15
2020-06-18,DK-IR-LAND-00552,LAND,DK,IR,DKIR67,SEA,IN,1,0,1,26,DOCS_INVALID,42,22,10,4,POSEIDON,EU_LISA,2025-04-24
2020-06-25,GR-MK-LAND-00553,LAND,GR,MK,GRMK68,RAIL,OUT,0,0,1,21,OTHER,41,26,14,6,INDALO,PORT_AUTHORITY,2024-12-12
2020-07-02,LT-TN-LAND-00554,LAND,LT,TN,LTTN69,FOOT,IN,1,0,0,16,NO_VISA,43,37,11,7,THEMIS,NATIONAL_BORDER_GUARD,2024-11-02
2020-07-09,PT-BG-LAND-00555,LAND,PT,BG,PTBG70,ROAD,OUT,0,1,0,18,PUBLIC_HEALTH,41,28,17,7,MINERVA,FRONTEX,2024-03-20
2020-07-16,SE-FR-LAND-00556,LAND,SE,FR,SEFR71,AIR,IN,1,0,0,16,OVERSTAY_RISK,52,35,10,4,TRITON,AIRPORT_AUTHORITY,2024-03-07
2020-07-23,CY-LT-LAND-00557,LAND,CY,LT,CYLT72,SEA,OUT,1,1,0,31,SECURITY_ALERT,50,33,11,8,JOINT_OPS_OTHER,EU_LISA,2025-10-05
2020-07-30,FR-SK-LAND-00558,LAND,FR,SK,FRSK73,RAIL,IN,1,1,0,25,DOCS_INVALID,52,27,8,7,POSEIDON,PORT_AUTHORITY,2025-10-22
2020-08-06,IT-CH-LAND-00559,LAND,IT,CH,ITCH74,FOOT,OUT,0,1,0,24,OTHER,43,18,12,7,INDALO,NATIONAL_BORDER_GUARD,2025-09-04
2020-08-13,NL-IN-LAND-00560,LAND,NL,IN,NLIN75,ROAD,IN,1,0,1,28,NO_VISA,17,6,20,18,THEMIS,FRONTEX,2025-02-12
2020-08-20,SI-MD-LAND-00561,LAND,SI,MD,SIMD76,AIR,OUT,0,0,1,33,PUBLIC_HEALTH,12,11,11,10,MINERVA,AIRPORT_AUTHORITY,2025-12-09
2020-08-27,BG-RU-LAND-00562,LAND,BG,RU,BGRU77,SEA,IN,0,0,1,26,OVERSTAY_RISK,20,13,18,16,TRITON,EU_LISA,2024-01-22
2020-09-03,EE-AT-LAND-00563,LAND,EE,AT,EEAT78,RAIL,OUT,1,0,0,24,SECURITY_ALERT,18,14,25,12,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-11-30
2020-09-10,HU-EE-LAND-00564,LAND,HU,EE,HUEE79,FOOT,IN,1,0,0,29,DOCS_INVALID,18,10,26,25,POSEIDON,NATIONAL_BORDER_GUARD,2025-09-05
2020-09-17,LU-IT-LAND-00565,LAND,LU,IT,LUIT80,ROAD,OUT,1,1,0,33,OTHER,12,11,21,12,INDALO,FRONTEX,2024-07-16
2020-09-24,RO-PT-LAND-00566,LAND,RO,PT,ROPT81,AIR,IN,0,0,0,40,NO_VISA,8,6,21,17,THEMIS,AIRPORT_AUTHORITY,2024-09-17
2020-10-01,AT-BA-LAND-00567,LAND,AT,BA,ATBA82,SEA,OUT,1,0,1,40,PUBLIC_HEALTH,11,5,24,15,MINERVA,EU_LISA,2024-02-24
2020-10-08,CZ-GE-LAND-00568,LAND,CZ,GE,CZGE83,RAIL,IN,0,0,0,36,OVERSTAY_RISK,16,12,18,11,TRITON,PORT_AUTHORITY,2024-06-05
2020-10-15,DE-KE-LAND-00569,LAND,DE,KE,DEKE84,FOOT,OUT,1,1,1,42,SECURITY_ALERT,10,10,21,17,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2024-03-06
2020-10-22,LV-PK-LAND-00570,LAND,LV,PK,LVPK85,ROAD,IN,1,0,1,30,DOCS_INVALID,11,8,28,26,POSEIDON,FRONTEX,2025-04-24
2020-10-29,PL-US-LAND-00571,LAND,PL,US,PLUS86,AIR,OUT,0,1,1,45,OTHER,18,16,22,12,INDALO,AIRPORT_AUTHORITY,2025-10-07
2020-11-05,ES-CZ-LAND-00572,LAND,ES,CZ,ESCZ87,SEA,IN,0,1,0,44,NO_VISA,15,9,25,12,THEMIS,EU_LISA,2024-12-04
2020-11-12,HR-HU-LAND-00573,LAND,HR,HU,HRHU88,RAIL,OUT,1,0,0,33,PUBLIC_HEALTH,31,20,32,27,MINERVA,PORT_AUTHORITY,2025-02-10
2020-11-19,FI-NL-LAND-00574,LAND,FI,NL,FINL89,FOOT,IN,0,1,0,45,OVERSTAY_RISK,30,26,31,31,TRITON,NATIONAL_BORDER_GUARD,2024-04-26
2020-11-26,IE-SE-LAND-00575,LAND,IE,SE,IESE90,ROAD,OUT,1,0,0,37,SECURITY_ALERT,31,16,27,13,JOINT_OPS_OTHER,FRONTEX,2025-02-22
2020-12-03,MT-EG-LAND-00576,LAND,MT,EG,MTEG91,AIR,IN,1,0,0,38,DOCS_INVALID,16,15,28,20,POSEIDON,AIRPORT_AUTHORITY,2024-07-28
2020-12-10,SK-IS-LAND-00577,LAND,SK,IS,SKIS92,SEA,OUT,1,1,0,45,OTHER,32,15,35,27,INDALO,EU_LISA,2024-11-05
2020-12-17,BE-NG-LAND-00578,LAND,BE,NG,BENG93,RAIL,IN,1,1,1,48,NO_VISA,36,23,29,29,THEMIS,PORT_AUTHORITY,2025-10-14
2020-12-24,DK-TR-LAND-00579,LAND,DK,TR,DKTR94,FOOT,OUT,1,0,1,52,PUBLIC_HEALTH,23,14,30,17,MINERVA,NATIONAL_BORDER_GUARD,2025-12-26
2020-12-31,GR-HR-LAND-00580,LAND,GR,HR,GRHR95,ROAD,IN,0,0,0,46,OVERSTAY_RISK,24,21,41,27,TRITON,FRONTEX,2025-02-26
2021-01-07,LT-DE-LAND-00581,LAND,LT,DE,LTDE96,AIR,OUT,1,0,0,45,SECURITY_ALERT,35,24,31,18,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-10-23
2021-01-14,PT-LU-LAND-00582,LAND,PT,LU,PTLU00,SEA,IN,0,0,0,42,DOCS_INVALID,26,13,36,23,POSEIDON,EU_LISA,2024-08-28
2021-01-21,SE-SI-LAND-00583,LAND,SE,SI,SESI01,RAIL,OUT,0,0,0,56,OTHER,35,11,37,31,INDALO,PORT_AUTHORITY,2026-02-05
2021-01-28,CY-CN-LAND-00584,LAND,CY,CN,CYCN02,FOOT,IN,1,0,1,44,NO_VISA,37,15,45,40,THEMIS,NATIONAL_BORDER_GUARD,2024-08-26
2021-02-04,FR-IQ-LAND-00585,LAND,FR,IQ,FRIQ03,ROAD,OUT,1,1,0,51,PUBLIC_HEALTH,38,35,47,27,MINERVA,FRONTEX,2026-01-23
2021-02-11,IT-ME-LAND-00586,LAND,IT,ME,ITME04,AIR,IN,0,1,1,58,OVERSTAY_RISK,39,17,42,28,TRITON,AIRPORT_AUTHORITY,2026-01-24
2021-02-18,NL-SY-LAND-00587,LAND,NL,SY,NLSY05,SEA,OUT,1,0,1,56,SECURITY_ALERT,33,29,43,22,JOINT_OPS_OTHER,EU_LISA,2024-07-30
2021-02-25,SI-BE-LAND-00588,LAND,SI,BE,SIBE06,RAIL,IN,0,0,0,61,DOCS_INVALID,39,15,49,44,POSEIDON,PORT_AUTHORITY,2024-12-06
2021-03-04,BG-FI-LAND-00589,LAND,BG,FI,BGFI07,FOOT,OUT,0,1,0,50,OTHER,30,13,49,25,INDALO,NATIONAL_BORDER_GUARD,2025-07-20
2021-03-11,EE-LV-LAND-00590,LAND,EE,LV,EELV08,ROAD,IN,1,0,0,64,NO_VISA,36,15,51,32,THEMIS,FRONTEX,2024-05-07
2021-03-18,HU-RO-LAND-00591,LAND,HU,RO,HURO09,AIR,OUT,0,0,0,58,PUBLIC_HEALTH,46,19,50,27,MINERVA,AIRPORT_AUTHORITY,2025-07-23
2021-03-25,LU-BY-LAND-00592,LAND,LU,BY,LUBY10,SEA,IN,1,1,0,60,OVERSTAY_RISK,44,32,44,33,TRITON,EU_LISA,2025-04-21
2021-04-01,RO-GH-LAND-00593,LAND,RO,GH,ROGH11,RAIL,OUT,0,0,1,63,SECURITY_ALERT,34,34,45,40,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-04-05
2021-04-08,AT-MA-LAND-00594,LAND,AT,MA,ATMA12,FOOT,IN,0,0,0,65,DOCS_INVALID,37,21,51,29,POSEIDON,NATIONAL_BORDER_GUARD,2024-10-12
2021-04-15,CZ-RS-LAND-00595,LAND,CZ,RS,CZRS13,ROAD,OUT,0,0,1,55,OTHER,38,17,45,28,INDALO,FRONTEX,2025-01-29
2021-04-22,DE-VN-LAND-00596,LAND,DE,VN,DEVN14,AIR,IN,0,1,1,65,NO_VISA,49,44,48,45,THEMIS,AIRPORT_AUTHORITY,2024-03-18
2021-04-29,LV-DK-LAND-00597,LAND,LV,DK,LVDK15,SEA,OUT,0,1,0,71,PUBLIC_HEALTH,46,38,48,48,MINERVA,EU_LISA,2025-04-26
2021-05-06,PL-IE-LAND-00598,LAND,PL,IE,PLIE16,RAIL,IN,0,0,0,65,OVERSTAY_RISK,54,25,58,56,TRITON,PORT_AUTHORITY,2024-11-27
2021-05-13,ES-PL-LAND-00599,LAND,ES,PL,ESPL17,FOOT,OUT,0,1,0,62,SECURITY_ALERT,46,41,53,31,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2025-01-31
2021-05-20,HR-AL-LAND-00600,LAND,HR,AL,HRAL18,ROAD,IN,1,1,1,9,DOCS_INVALID,6,6,12,9,POSEIDON,FRONTEX,2026-01-17
2021-05-27,FI-GB-LAND-00601,LAND,FI,GB,FIGB19,AIR,OUT,0,1,0,8,OTHER,8,4,3,2,INDALO,AIRPORT_AUTHORITY,2024-06-10
2021-06-03,IE-JP-LAND-00602,LAND,IE,JP,IEJP20,SEA,IN,0,0,0,6,NO_VISA,7,5,11,6,THEMIS,EU_LISA,2025-02-25
2021-06-10,MT-NO-LAND-00603,LAND,MT,NO,MTNO21,RAIL,OUT,0,0,1,5,PUBLIC_HEALTH,6,3,6,4,MINERVA,PORT_AUTHORITY,2025-05-28
2021-06-17,SK-UA-LAND-00604,LAND,SK,UA,SKUA22,FOOT,IN,1,0,0,17,OVERSTAY_RISK,16,5,9,8,TRITON,NATIONAL_BORDER_GUARD,2025-03-09
2021-06-24,BE-CY-LAND-00605,LAND,BE,CY,BECY23,ROAD,OUT,0,0,0,14,SECURITY_ALERT,8,7,5,3,JOINT_OPS_OTHER,FRONTEX,2025-04-21
2021-07-01,DK-GR-LAND-00606,LAND,DK,GR,DKGR24,AIR,IN,1,0,0,10,DOCS_INVALID,19,13,13,13,POSEIDON,AIRPORT_AUTHORITY,2024-08-25
2021-07-08,GR-MT-LAND-00607,LAND,GR,MT,GRMT25,SEA,OUT,1,0,0,8,OTHER,8,6,15,9,INDALO,EU_LISA,2024-05-01
2021-07-15,LT-ES-LAND-00608,LAND,LT,ES,LTES26,RAIL,IN,1,0,0,10,NO_VISA,26,9,17,13,THEMIS,PORT_AUTHORITY,2026-01-15
2021-07-22,PT-DZ-LAND-00609,LAND,PT,DZ,PTDZ27,FOOT,OUT,1,0,1,17,PUBLIC_HEALTH,12,6,16,7,MINERVA,NATIONAL_BORDER_GUARD,2024-04-18
2021-07-29,SE-IR-LAND-00610,LAND,SE,IR,SEIR28,ROAD,IN,0,0,1,17,OVERSTAY_RISK,11,7,11,6,TRITON,FRONTEX,2024-04-08
2021-08-05,CY-MK-LAND-00611,LAND,CY,MK,CYMK29,AIR,OUT,1,1,0,17,SECURITY_ALERT,22,17,20,17,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2024-07-05
2021-08-12,FR-TN-LAND-00612,LAND,FR,TN,FRTN30,SEA,IN,1,0,0,15,DOCS_INVALID,30,26,14,9,POSEIDON,EU_LISA,2024-12-13
2021-08-19,IT-BG-LAND-00613,LAND,IT,BG,ITBG31,RAIL,OUT,1,1,0,25,OTHER,14,12,13,8,INDALO,PORT_AUTHORITY,2024-09-10
2021-08-26,NL-FR-LAND-00614,LAND,NL,FR,NLFR32,FOOT,IN,1,0,0,19,NO_VISA,25,16,18,13,THEMIS,NATIONAL_BORDER_GUARD,2024-02-25
2021-09-02,SI-LT-LAND-00615,LAND,SI,LT,SILT33,ROAD,OUT,0,1,0,21,PUBLIC_HEALTH,26,18,20,8,MINERVA,FRONTEX,2025-11-29
2021-09-09,BG-SK-LAND-00616,LAND,BG,SK,BGSK34,AIR,IN,0,1,0,23,OVERSTAY_RISK,31,19,16,8,TRITON,AIRPORT_AUTHORITY,2024-09-08
2021-09-16,EE-CH-LAND-00617,LAND,EE,CH,EECH35,SEA,OUT,1,0,1,23,SECURITY_ALERT,29,27,28,15,JOINT_OPS_OTHER,EU_LISA,2024-01-13
2021-09-23,HU-IN-LAND-00618,LAND,HU,IN,HUIN36,RAIL,IN,1,1,1,31,DOCS_INVALID,27,20,24,11,POSEIDON,PORT_AUTHORITY,2025-12-04
2021-09-30,LU-MD-LAND-00619,LAND,LU,MD,LUMD37,FOOT,OUT,1,1,1,24,OTHER,28,17,23,19,INDALO,NATIONAL_BORDER_GUARD,2024-06-12
2021-10-07,RO-RU-LAND-00620,LAND,RO,RU,RORU38,ROAD,IN,1,1,1,24,NO_VISA,38,36,22,11,THEMIS,FRONTEX,2026-01-31
2021-10-14,AT-DK-LAND-00621,LAND,AT,DK,ATDK39,AIR,OUT,0,1,0,28,PUBLIC_HEALTH,27,10,24,15,MINERVA,AIRPORT_AUTHORITY,2026-01-26
2021-10-21,CZ-EE-LAND-00622,LAND,CZ,EE,CZEE40,SEA,IN,1,1,0,27,OVERSTAY_RISK,33,22,32,20,TRITON,EU_LISA,2024-06-07
2021-10-28,DE-IT-LAND-00623,LAND,DE,IT,DEIT41,RAIL,OUT,1,1,0,34,SECURITY_ALERT,29,18,33,24,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-04-12
2021-11-04,LV-PT-LAND-00624,LAND,LV,PT,LVPT42,FOOT,IN,0,0,0,28,DOCS_INVALID,36,18,33,19,POSEIDON,NATIONAL_BORDER_GUARD,2025-03-29
2021-11-11,PL-BA-LAND-00625,LAND,PL,BA,PLBA43,ROAD,OUT,0,0,0,40,OTHER,26,16,35,28,INDALO,FRONTEX,2025-04-21
2021-11-18,ES-GE-LAND-00626,LAND,ES,GE,ESGE44,AIR,IN,0,1,1,36,NO_VISA,43,30,35,31,THEMIS,AIRPORT_AUTHORITY,2025-05-29
2021-11-25,HR-KE-LAND-00627,LAND,HR,KE,HRKE45,SEA,OUT,1,1,0,30,PUBLIC_HEALTH,40,35,29,22,MINERVA,EU_LISA,2025-08-16
2021-12-02,FI-PK-LAND-00628,LAND,FI,PK,FIPK46,RAIL,IN,0,1,0,41,OVERSTAY_RISK,43,31,35,23,TRITON,PORT_AUTHORITY,2024-05-14
2021-12-09,IE-US-LAND-00629,LAND,IE,US,IEUS47,FOOT,OUT,1,1,1,37,SECURITY_ALERT,45,20,33,15,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2024-06-08
2021-12-16,MT-CZ-LAND-00630,LAND,MT,CZ,MTCZ48,ROAD,IN,0,0,0,37,DOCS_INVALID,37,14,34,34,POSEIDON,FRONTEX,2024-04-08
2021-12-23,SK-HU-LAND-00631,LAND,SK,HU,SKHU49,AIR,OUT,0,0,0,41,OTHER,37,23,40,17,INDALO,AIRPORT_AUTHORITY,2025-03-26
2021-12-30,BE-NL-LAND-00632,LAND,BE,NL,BENL50,SEA,IN,0,1,0,34,NO_VISA,50,17,40,31,THEMIS,EU_LISA,2024-05-27
2022-01-06,DK-SE-LAND-00633,LAND,DK,SE,DKSE51,RAIL,OUT,0,1,0,41,PUBLIC_HEALTH,48,29,42,33,MINERVA,PORT_AUTHORITY,2025-12-29
2022-01-13,GR-EG-LAND-00634,LAND,GR,EG,GREG52,FOOT,IN,1,1,1,38,OVERSTAY_RISK,52,33,42,24,TRITON,NATIONAL_BORDER_GUARD,2024-02-17
2022-01-20,LT-IS-LAND-00635,LAND,LT,IS,LTIS53,ROAD,OUT,1,0,1,46,SECURITY_ALERT,46,15,37,28,JOINT_OPS_OTHER,FRONTEX,2025-02-23
2022-01-27,PT-NG-LAND-00636,LAND,PT,NG,PTNG54,AIR,IN,0,1,1,44,DOCS_INVALID,40,40,36,27,POSEIDON,AIRPORT_AUTHORITY,2025-11-04
2022-02-03,SE-TR-LAND-00637,LAND,SE,TR,SETR55,SEA,OUT,0,0,0,39,OTHER,38,17,49,31,INDALO,EU_LISA,2025-05-23
2022-02-10,CY-HR-LAND-00638,LAND,CY,HR,CYHR56,RAIL,IN,1,1,0,41,NO_VISA,46,19,50,38,THEMIS,PORT_AUTHORITY,2025-09-11
2022-02-17,FR-DE-LAND-00639,LAND,FR,DE,FRDE57,FOOT,OUT,1,1,0,42,PUBLIC_HEALTH,49,21,51,45,MINERVA,NATIONAL_BORDER_GUARD,2026-02-04
2022-02-24,IT-LU-LAND-00640,LAND,IT,LU,ITLU58,ROAD,IN,1,0,0,43,OVERSTAY_RISK,3,2,48,43,TRITON,FRONTEX,2025-01-03
2022-03-03,NL-SI-LAND-00641,LAND,NL,SI,NLSI59,AIR,OUT,1,1,0,49,SECURITY_ALERT,3,1,52,45,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-04-14
2022-03-10,SI-CN-LAND-00642,LAND,SI,CN,SICN60,SEA,IN,0,1,1,53,DOCS_INVALID,8,7,51,27,POSEIDON,EU_LISA,2024-09-28
2022-03-17,BG-IQ-LAND-00643,LAND,BG,IQ,BGIQ61,RAIL,OUT,0,0,0,55,OTHER,10,9,49,44,INDALO,PORT_AUTHORITY,2025-06-23
2022-03-24,EE-ME-LAND-00644,LAND,EE,ME,EEME62,FOOT,IN,0,1,0,45,NO_VISA,14,6,48,28,THEMIS,NATIONAL_BORDER_GUARD,2024-02-01
2022-03-31,HU-SY-LAND-00645,LAND,HU,SY,HUSY63,ROAD,OUT,1,1,0,46,PUBLIC_HEALTH,13,9,50,38,MINERVA,FRONTEX,2025-09-03
2022-04-07,LU-BE-LAND-00646,LAND,LU,BE,LUBE64,AIR,IN,0,0,0,47,OVERSTAY_RISK,24,17,58,40,TRITON,AIRPORT_AUTHORITY,2024-09-22
2022-04-14,RO-FI-LAND-00647,LAND,RO,FI,ROFI65,SEA,OUT,0,0,0,61,SECURITY_ALERT,18,12,59,43,JOINT_OPS_OTHER,EU_LISA,2024-11-10
2022-04-21,AT-LV-LAND-00648,LAND,AT,LV,ATLV66,RAIL,IN,1,0,0,60,DOCS_INVALID,9,9,60,29,POSEIDON,PORT_AUTHORITY,2026-02-16
2022-04-28,CZ-RO-LAND-00649,LAND,CZ,RO,CZRO67,FOOT,OUT,1,1,0,50,OTHER,23,11,61,30,INDALO,NATIONAL_BORDER_GUARD,2025-05-18
2022-05-05,DE-BY-LAND-00650,LAND,DE,BY,DEBY68,ROAD,IN,1,1,1,60,NO_VISA,11,5,9,8,THEMIS,FRONTEX,2024-12-02
2022-05-12,LV-GH-LAND-00651,LAND,LV,GH,LVGH69,AIR,OUT,1,1,1,60,PUBLIC_HEALTH,23,14,11,7,MINERVA,AIRPORT_AUTHORITY,2025-01-09
2022-05-19,PL-MA-LAND-00652,LAND,PL,MA,PLMA70,SEA,IN,1,0,1,57,OVERSTAY_RISK,12,9,8,4,TRITON,EU_LISA,2024-08-31
2022-05-26,ES-RS-LAND-00653,LAND,ES,RS,ESRS71,RAIL,OUT,1,0,1,58,SECURITY_ALERT,15,14,3,2,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-12-13
2022-06-02,HR-VN-LAND-00654,LAND,HR,VN,HRVN72,FOOT,IN,1,0,1,69,DOCS_INVALID,18,6,14,14,POSEIDON,NATIONAL_BORDER_GUARD,2024-10-06
2022-06-09,FI-DK-LAND-00655,LAND,FI,DK,FIDK73,ROAD,OUT,1,0,0,65,OTHER,21,8,7,7,INDALO,FRONTEX,2024-07-02
