tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_naics,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_usd,tax_incent_credits_claimed_usd,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_usd,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2010,INC000000473,REBATE,334111,TRAINING,1962,724,1700273383.94,210981428.54,239934,118477,20318,4866867985.01,3955888244.62,1,44224352.66,48.75,10383.97,1,2030-12-25
2021,INC000000474,GRANT,454110,EXPORT,1185,398,1713173660.55,498254654.29,58946,107283,25544,20899781107.84,8273279258.49,0,43245129.49,42.76,19505.74,0,2026-06-01
2014,INC000000475,LOAN,423450,R_AND_D,72,67,1050555128.77,995944110.58,164773,70109,42755,12228660438.47,8336562901.01,0,56585492.96,29.5,23294.21,0,2031-09-19
2018,INC000000476,OTHER,311811,INNOVATION,946,428,1153664441.65,203104334.14,140445,74048,28478,2258099753.97,1185337392.16,0,50568583.04,4.83,7131.97,0,2035-09-19
2016,INC000000477,LOAN,423450,INNOVATION,54,25,171303884.28,175219352.44,204498,94394,85177,12302764734.76,7246410508.36,0,19105437.83,0.02,2057.12,0,2030-07-31
2013,INC000000478,REBATE,512110,TRAINING,2454,809,617514022.84,314535210.32,203826,67903,53859,800825665.17,574088574.2,0,54607784.5,85.69,5839.97,0,2031-05-31
2021,INC000000479,CREDIT,512110,HIRING,444,391,1602478965.55,176624782.2,204762,82063,67433,11027956299.28,6538575924.37,0,67223258.35,24.81,2619.26,0,2031-07-14
2022,INC000000480,CREDIT,454110,LOCATION,269,231,192369162.03,197005709.21,227723,93020,12628,11379068374.56,6319423755.64,1,23841199.48,91.01,15600.71,0,2034-10-31
2014,INC000000481,CREDIT,621111,CLEAN_ENERGY,173,68,1312953744.12,1330114932.82,209300,59763,17480,7501365427.1,5025387030.85,0,178659466.78,98.18,76093.53,0,2028-12-23
2015,INC000000482,OTHER,236220,R_AND_D,2480,2173,1634706021.74,164967139.44,215804,89288,82388,18144717339.37,14557629866.46,0,210502131.2,45.81,2002.32,1,2029-10-16
2014,INC000000483,ABATEMENT,423450,HIRING,1015,758,466054249.71,305327709.1,171175,115974,44220,876954624.33,191767499.38,0,24666099.81,47.73,6904.74,0,2031-07-29
2013,INC000000484,ABATEMENT,311811,LOCATION,1027,589,1301768261.06,609687895.96,122652,74782,50958,10360220094.85,8679039392.53,0,171317994.15,54.94,11964.52,0,2026-08-24
2024,INC000000485,EXEMPTION,512110,CAPEX,1127,682,1610581230.22,1530724591.19,158123,17249,6080,21911445683.97,11373506763.89,0,160969409.55,24.91,251763.91,0,2027-07-07
2016,INC000000486,CREDIT,311811,EXPORT,793,667,1667636560.55,657646696.58,240056,71376,46251,23309912601.65,16335784106.15,0,59930229.08,93.74,14219.08,0,2028-10-19
2011,INC000000487,ABATEMENT,454110,HIRING,960,284,1867048688.19,1244453146.75,6361,25481,4786,23341656348.04,20244637866.6,0,276261680.54,89.01,260019.46,0,2032-12-22
2021,INC000000488,LOAN,445110,TRAINING,828,305,8003691.05,5303310.61,15869,51573,48383,20650602689.88,17806998570.61,0,105081.03,15.25,109.61,0,2027-09-10
2013,INC000000489,LOAN,541511,R_AND_D,2362,1733,1646810995.27,1327075703.82,154123,91509,37109,4440565181.03,2076656323.96,0,236281468.84,49.65,35761.56,0,2027-08-02
2016,INC000000490,OTHER,512110,BROWNFIELD,894,526,1469293922.93,930487330.26,175291,32863,8294,15192469798.33,1794803631.01,1,21612309.61,91.01,112188.01,0,2029-08-12
2019,INC000000491,REBATE,311811,CAPEX,1740,493,1807738968.61,1210316388.77,138421,17397,4767,20488110813.18,4402782170.68,0,101961406.05,51.59,253894.77,0,2031-08-15
2020,INC000000492,CREDIT,236220,HIRING,262,203,1064524167.54,816995197.31,103663,71447,55142,11177811081.43,2216273243.61,0,67068172.51,25.51,14816.21,1,2026-08-09
2011,INC000000493,REBATE,334111,INNOVATION,2455,1890,1762066301.28,904868397.44,123931,9451,8976,18147945071.59,10546258006.23,0,126685177.99,87.1,100809.76,0,2029-06-07
2018,INC000000494,CREDIT,512110,TRAINING,1691,914,355630508.6,83184083.23,146777,105563,45641,12916205065.22,12818731335.63,0,36131953.51,81.9,1822.57,1,2034-01-11
2022,INC000000495,ABATEMENT,311811,BROWNFIELD,420,299,1862796194.38,1285932955.02,29173,51266,36488,20765911257.82,2185191578.12,0,214941097.12,40.62,35242.63,1,2029-01-14
2024,INC000000496,REBATE,237310,BROWNFIELD,1998,1845,646913808.95,535306278.02,113490,46855,26776,17153431144.29,5293991378.88,0,73407298.46,82.6,19992.02,1,2027-11-20
2024,INC000000497,GRANT,311811,TRAINING,1874,1091,704911110.28,729507058.69,104540,40302,9375,10915141024.6,1806489791.31,0,53905744.17,99.57,77814.09,1,2032-05-07
2015,INC000000498,CREDIT,512110,CLEAN_ENERGY,1442,1045,1461595754.7,1355914680.06,63469,35623,6298,6346457029.53,4003766610.8,0,92253467.26,29.18,215292.9,0,2034-06-07
2021,INC000000499,OTHER,423450,CLEAN_ENERGY,2244,2013,1519064127.18,676542465.28,178422,103608,29136,3916324746.5,2610783002.26,0,139574108.13,60.83,23220.16,0,2032-08-05
2018,INC000000500,REBATE,311811,LOCATION,2367,1515,1992446258.76,433241861.27,154585,83500,12475,11689348988.78,6842656800.88,0,288873050.1,66.62,34728.81,0,2032-05-18
2014,INC000000501,EXEMPTION,621111,CAPEX,432,128,151944181.12,63583974.18,191651,7707,7102,15814408625.83,3960016703.93,0,9695433.58,17.34,8952.97,0,2033-03-21
2015,INC000000502,GRANT,311811,INNOVATION,2243,1712,1271837738.5,1110752842.2,141163,75206,64360,1068723361.7,240465077.37,0,71337421.54,55.43,17258.43,0,2032-06-22
2014,INC000000503,CREDIT,454110,TRAINING,1491,505,1458625607.2,578492924.45,16196,86122,86122,21697373373.02,5572811801.43,1,200706578.96,5.22,6717.13,0,2033-03-29
2015,INC000000504,CREDIT,512110,EXPORT,2076,1936,535201734.28,315799639.22,34895,55621,35094,21643958366.09,20193388326.71,1,80121847.85,14.44,8998.68,1,2029-10-21
2017,INC000000505,EXEMPTION,512110,EXPORT,1124,500,296308131.56,60250396.73,138861,92782,11470,8714213568.09,3774275826.13,0,13351489.95,60.86,5252.87,0,2033-11-03
2019,INC000000506,ABATEMENT,325412,INNOVATION,1786,1435,1593626166.5,855767440.01,130914,59470,14333,14754104081.79,4209604835.81,0,46909082.7,41.46,59706.09,0,2027-04-19
2007,INC000000507,LOAN,423450,R_AND_D,141,71,1300000857.73,529461007.45,112579,49210,48867,15930633210.07,11731727424.19,0,193663523.35,92.55,10834.74,1,2033-11-22
2013,INC000000508,ABATEMENT,236220,TRAINING,1306,1082,536668926.9,111054685.63,191540,13192,13001,9590688551.63,4727502713.21,0,52275378.21,33.62,8542.01,0,2027-02-07
2015,INC000000509,ABATEMENT,445110,CAPEX,1464,832,1313816075.23,986812562.85,185075,17000,6159,7506545729.87,4330960767.22,1,193445737.26,1.97,160222.85,1,2034-08-15
2011,INC000000510,LOAN,325412,LOCATION,1615,818,1399938254.11,1413837676.0,34443,109667,108054,10912116093.55,3450289126.51,0,128170449.07,70.59,13084.55,0,2031-12-27
2017,INC000000511,CREDIT,541511,LOCATION,346,161,142026519.97,127313047.87,166471,56616,39134,11476718437.37,813697238.93,0,4318883.13,65.61,3253.26,0,2035-03-14
2018,INC000000512,ABATEMENT,541511,BROWNFIELD,1045,309,759146265.21,449746235.88,227048,119727,71074,7297597749.49,4102842506.8,0,32236859.64,98.95,6327.86,1,2026-12-02
2021,INC000000513,EXEMPTION,237310,CLEAN_ENERGY,134,115,1015242829.97,1053465830.23,107409,47675,47675,18882012433.86,4342505424.69,0,10746828.85,3.01,22096.82,0,2034-01-06
2012,INC000000514,GRANT,334111,LOCATION,1731,1335,1054470288.16,394814409.24,178575,29397,22053,11863206872.48,3043542725.05,1,56500189.4,60.37,17902.98,0,2032-07-04
2016,INC000000515,CREDIT,621111,BROWNFIELD,1559,747,1011682379.61,649333388.16,125013,44917,26815,23543160338.2,10238036601.76,0,96514779.58,65.41,24215.3,1,2032-05-11
2010,INC000000516,EXEMPTION,621111,TRAINING,1757,1485,1423842717.21,878408372.52,4036,27060,11746,3864016919.79,3877380138.52,0,175528341.94,41.51,74783.62,1,2026-09-11
2016,INC000000517,OTHER,311811,TRAINING,2057,1868,994488588.72,467942910.25,164644,66177,26731,2604400995.67,1101969870.38,0,109161605.13,0.17,17505.63,0,2033-12-26
2013,INC000000518,CREDIT,325412,CAPEX,1797,804,1233976703.29,178823620.97,200556,50777,43007,23923657325.45,14523511844.18,0,42472724.41,61.87,4158.01,0,2029-07-11
2011,INC000000519,EXEMPTION,621111,CLEAN_ENERGY,1934,637,318984171.44,208424230.65,35564,59,27,12766812528.82,1784617149.36,0,31709443.5,88.17,7719415.95,0,2034-07-27
2014,INC000000520,CREDIT,621111,EXPORT,356,171,1340583781.29,387601805.94,90680,77314,17136,16699442155.93,6681928239.17,0,156611816.7,92.3,22619.15,0,2027-08-17
2013,INC000000521,ABATEMENT,237310,HIRING,1335,886,1947718554.85,1572235048.82,246939,37120,11375,23137800211.97,2628172613.84,0,66886770.56,93.76,138218.47,1,2034-01-07
2014,INC000000522,EXEMPTION,423450,EXPORT,2409,1607,380693225.96,267754940.77,159987,57556,49352,19911703466.52,7660796164.0,0,40607126.15,62.48,5425.41,0,2030-12-06
2022,INC000000523,CREDIT,237310,EXPORT,816,361,1968387783.25,1721568666.88,46713,61401,46413,12663793766.09,6065075873.51,0,246576351.32,71.29,37092.38,1,2031-02-24
2020,INC000000524,ABATEMENT,541511,R_AND_D,2124,1694,538054286.84,217102372.54,52098,91385,37550,18649449024.48,10819646543.22,0,31346121.04,38.46,5781.69,0,2026-09-26
2008,INC000000525,REBATE,236220,EXPORT,605,572,40402630.53,8482670.92,116295,119901,76986,10264434037.12,4860433692.02,0,3680717.43,11.12,110.18,0,2030-05-16
2014,INC000000526,REBATE,311811,INNOVATION,391,178,1884881128.0,388958947.26,166143,83415,82482,13659564663.58,7602251760.35,0,142235178.6,46.77,4715.68,1,2033-02-01
2012,INC000000527,CREDIT,325412,CAPEX,2076,1316,1566589780.46,1142229512.22,123166,1900,1675,12910968664.36,11099809954.77,0,216097269.91,62.86,681928.07,1,2035-08-29
2016,INC000000528,CREDIT,325412,CAPEX,759,604,149293424.68,73692052.09,159023,103780,59614,14869731734.7,858436168.62,0,338447.31,52.27,1236.15,1,2029-07-19
2023,INC000000529,CREDIT,236220,INNOVATION,2276,1157,1077732895.72,644371718.69,83984,96409,69977,16135420011.1,7597038331.67,0,41911415.26,20.96,9208.34,0,2026-07-17
2016,INC000000530,LOAN,236220,BROWNFIELD,1238,1004,199559527.19,55184108.0,249,97437,68767,8936950565.24,7470780282.68,0,23226325.36,92.89,802.48,0,2031-08-20
2018,INC000000531,EXEMPTION,237310,HIRING,316,178,1656163198.23,742215420.77,189536,77247,77247,5532517144.25,4888856943.73,0,205939388.52,90.53,9608.34,1,2035-10-23
2016,INC000000532,REBATE,325412,BROWNFIELD,24,22,810538288.82,156098050.44,202583,54656,19469,8059425176.84,6209642554.56,0,120107557.17,70.81,8017.77,1,2026-08-23
2024,INC000000533,ABATEMENT,325412,BROWNFIELD,580,343,606852176.55,504285942.16,140268,19336,9118,13148431483.09,11555725143.66,0,41814138.78,61.03,55306.64,1,2033-03-04
2015,INC000000534,ABATEMENT,454110,CAPEX,881,415,254909222.37,106992880.9,220842,118749,79187,3271214617.8,2355800967.87,0,6447880.57,84.64,1351.14,0,2035-04-04
2007,INC000000535,EXEMPTION,454110,INNOVATION,2,2,191413359.99,66528716.26,126158,23922,10583,8932060583.34,8490548647.78,0,22081323.89,78.73,6286.38,0,2029-12-06
2008,INC000000536,ABATEMENT,334111,CAPEX,1391,636,742463526.97,157320604.02,136545,37328,24352,23427742906.5,4528855203.57,0,23100022.8,43.3,6460.27,0,2026-09-11
2012,INC000000537,ABATEMENT,236220,CLEAN_ENERGY,1366,621,281114952.16,88186069.15,12092,63658,21796,18942357161.73,7712796656.81,1,11852729.13,63.58,4045.97,0,2029-04-05
2017,INC000000538,REBATE,236220,EXPORT,2219,1462,158062880.42,117980926.32,136056,102490,32999,9672270077.97,3271117257.84,0,20259297.18,84.7,3575.29,1,2028-04-09
2011,INC000000539,GRANT,512110,CAPEX,483,191,1930901732.92,1876787486.71,208989,42195,9459,6406589117.95,4387538916.16,0,115376974.24,53.81,198412.89,1,2032-01-14
2008,INC000000540,EXEMPTION,445110,LOCATION,1208,338,317152595.74,319289846.35,84109,119211,13535,11740367376.88,4565983144.34,0,23683412.81,68.46,23589.94,1,2033-06-10
2020,INC000000541,REBATE,423450,CAPEX,777,541,1476730052.6,1435756250.81,57507,53273,7484,17609007132.34,15238305419.55,0,174097225.52,92.06,191843.43,1,2031-07-12
2007,INC000000542,LOAN,445110,CAPEX,960,776,1053032104.76,580055194.92,125160,72977,63206,19399715750.88,12205678926.92,0,17558902.91,39.5,9177.22,0,2027-04-20
2007,INC000000543,CREDIT,311811,INNOVATION,13,11,1930578053.08,1162189865.3,166826,106502,32386,728504716.94,320830353.84,0,242990694.49,17.77,35885.56,1,2029-01-03
2014,INC000000544,CREDIT,423450,BROWNFIELD,2166,1607,323929904.28,60852838.63,129764,42484,17778,19240906144.0,10199589005.78,0,6162115.41,61.45,3422.93,0,2030-06-23
2013,INC000000545,GRANT,325412,CAPEX,1243,485,1192373236.1,539366665.8,182169,3177,1561,3132745507.15,1893285367.48,0,175271505.43,24.82,345526.37,0,2028-03-25
2010,INC000000546,CREDIT,311811,R_AND_D,1342,1012,1204937473.65,1088719481.85,29725,72885,14291,1322625280.63,1330807205.87,1,87298547.88,86.16,76182.18,0,2027-12-01
2015,INC000000547,GRANT,454110,INNOVATION,2133,1773,1336188667.06,1321165917.44,75445,68550,62259,13566485587.07,11379149775.07,0,18136657.57,30.36,21220.48,1,2032-07-15
2017,INC000000548,GRANT,512110,CLEAN_ENERGY,1839,1533,1781882759.16,961247121.85,43139,25729,22616,6322062426.81,5995714637.64,0,240025903.82,34.41,42502.97,1,2031-08-23
2010,INC000000549,LOAN,423450,TRAINING,1059,944,970700201.46,739245431.59,104183,53338,51183,5217304394.0,4196670447.58,0,60992447.8,64.09,14443.18,0,2032-10-04
2019,INC000000550,EXEMPTION,512110,BROWNFIELD,1018,953,1554690503.24,280482411.82,77551,67285,42663,22999496854.59,13543259386.1,0,145552352.79,8.6,6574.37,0,2035-04-23
2016,INC000000551,GRANT,334111,CAPEX,1367,367,1510227391.35,851500214.25,90316,66753,19068,7416243049.72,2444072512.17,0,176976279.79,5.14,44655.98,1,2031-04-26
2017,INC000000552,EXEMPTION,423450,BROWNFIELD,988,424,136510655.19,16895004.1,48041,42689,12427,22517249189.17,9317997162.66,0,8974213.09,53.8,1359.54,0,2028-03-16
2015,INC000000553,LOAN,454110,INNOVATION,1921,845,1042067349.34,557121577.33,127275,116477,58815,10148917256.18,1150207183.86,0,91774301.2,13.94,9472.44,1,2027-04-26
2015,INC000000554,GRANT,325412,TRAINING,1070,433,145750703.78,148899121.17,83527,6514,5815,18179828695.2,7763439569.63,0,7240.56,23.12,25606.04,0,2031-10-09
2024,INC000000555,LOAN,445110,BROWNFIELD,579,323,1205919638.37,1229872529.69,20889,81243,11238,22341274200.57,22279981144.16,0,165188276.85,21.72,109438.74,1,2026-03-28
2010,INC000000556,CREDIT,512110,INNOVATION,875,795,1345772562.41,777991578.73,4178,76423,34338,17618164122.08,10697268001.02,0,9061969.54,9.04,22656.87,1,2028-01-11
2011,INC000000557,LOAN,423450,TRAINING,2229,1225,1157585107.9,950129411.86,14176,28260,11229,8672476126.93,8442073471.02,0,147700896.71,69.71,84613.89,1,2026-07-19
2024,INC000000558,REBATE,454110,HIRING,1029,973,1793726781.72,1412931569.5,56390,23335,7615,12041520978.01,782372452.05,0,266553030.0,64.51,185545.84,0,2034-09-06
2013,INC000000559,EXEMPTION,445110,TRAINING,1071,542,1313112885.14,458094396.3,235551,7224,6856,17032088079.8,16140377156.18,0,170396781.75,17.59,66816.57,1,2032-01-05
2009,INC000000560,GRANT,237310,LOCATION,119,56,716483082.79,738864602.04,212839,12822,11596,15689498593.29,15615976297.43,0,24994428.19,16.94,63717.2,1,2035-07-15
2020,INC000000561,OTHER,445110,CLEAN_ENERGY,1016,352,646027096.53,479675640.73,37058,109832,109339,18681844785.22,7658487595.49,0,66700101.17,17.24,4387.05,0,2028-08-17
2007,INC000000562,GRANT,512110,CLEAN_ENERGY,2270,1742,882864955.95,505745492.01,216331,14224,14224,17997311129.32,13571910766.78,0,22829614.31,37.35,35555.79,0,2031-01-29
2025,INC000000563,CREDIT,236220,LOCATION,1536,819,1444584906.58,896646131.28,119275,108606,67733,13035305087.52,8884821715.09,0,133770402.76,86.31,13237.95,0,2032-04-16
2009,INC000000564,REBATE,334111,CAPEX,646,539,1910870545.6,1246589487.06,228133,97870,97618,17727938762.89,16250857834.33,0,183639448.1,35.22,12770.08,0,2028-02-16
2020,INC000000565,REBATE,541511,HIRING,2346,1455,1849613754.64,1614690514.06,206873,13753,5366,8383412942.01,5496601843.99,0,158969400.09,60.58,300911.39,0,2032-05-03
2024,INC000000566,CREDIT,325412,R_AND_D,915,364,996710177.52,947009400.08,210650,70816,31911,8337049471.56,4621361222.66,1,38375960.52,73.54,29676.58,1,2031-06-27
2020,INC000000567,ABATEMENT,512110,LOCATION,111,69,1453488787.49,1351976438.79,88870,61838,39280,12524377263.16,6388183754.87,0,7461955.36,44.63,34418.95,1,2031-02-02
2025,INC000000568,REBATE,325412,BROWNFIELD,749,695,1314034458.97,672602228.07,119947,14088,8016,21239525059.61,9902905907.82,0,174817767.94,79.65,83907.46,0,2031-11-23
2009,INC000000569,ABATEMENT,237310,CAPEX,1312,742,1394682909.33,1155545110.45,212115,95277,83366,17440350435.82,1398310857.71,1,13047617.17,9.12,13861.11,0,2033-11-11
2013,INC000000570,OTHER,621111,LOCATION,173,111,1186273037.88,439397674.53,77777,18143,17706,15065484043.34,2850640942.2,0,161390445.82,48.21,24816.32,0,2033-06-26
2025,INC000000571,CREDIT,445110,R_AND_D,1205,1024,1187780966.54,127755105.79,66131,1424,591,7510312234.67,7171663927.36,0,28782856.39,57.43,216167.69,0,2028-03-16
2024,INC000000572,CREDIT,512110,CLEAN_ENERGY,1964,1108,1079013936.39,219086475.2,205439,115625,39826,15265956589.59,14722173882.37,0,21207443.76,19.38,5501.09,1,2030-09-23
2014,INC000000573,CREDIT,454110,INNOVATION,47,40,1803322280.26,1542347009.22,135125,13628,13628,16281916486.32,9120466446.05,0,233490249.26,37.79,113174.86,0,2030-01-13
2011,INC000000574,GRANT,237310,CAPEX,372,133,488167267.35,166283193.32,192150,4212,3378,11514656687.15,8803734620.55,0,8036007.21,20.56,49225.34,1,2028-09-18
2007,INC000000575,ABATEMENT,445110,INNOVATION,1583,1083,263971722.46,67595112.73,44686,90975,90975,10008441038.32,4156272957.46,0,26373839.32,96.83,743.01,0,2033-01-06
2016,INC000000576,CREDIT,454110,R_AND_D,1033,953,522519260.86,512031719.91,98731,85211,78335,16851403155.57,5731113977.17,0,76821468.74,88.47,6536.44,0,2033-05-15
2018,INC000000577,ABATEMENT,237310,BROWNFIELD,2344,1658,1191751161.68,991440388.57,93340,13538,12595,3111189322.83,1002538157.38,0,28678699.11,48.62,78716.98,1,2031-12-11
2013,INC000000578,OTHER,445110,HIRING,550,249,985540434.23,526899923.5,127906,108199,84717,19900431044.81,18649579956.5,0,47044944.78,40.22,6219.53,1,2027-10-11
2017,INC000000579,CREDIT,621111,HIRING,1955,1158,493752072.38,415227955.64,180048,94631,91616,24143983960.26,10107529655.92,1,10182711.17,49.97,4532.26,0,2027-03-14
2017,INC000000580,EXEMPTION,237310,CAPEX,1687,1161,1906169570.0,1694919907.79,224180,5765,2022,11584203126.01,11811810265.53,0,209643519.72,38.52,838239.32,1,2028-06-22
2018,INC000000581,ABATEMENT,541511,CAPEX,1592,1137,523971697.01,400653945.64,21909,98155,62325,2612104494.97,1135325136.38,0,71054868.95,93.81,6428.46,0,2030-08-21
2010,INC000000582,ABATEMENT,454110,CAPEX,1142,359,1273019008.36,357593055.97,118437,4618,1561,17073407510.84,11498300659.87,0,170853232.08,10.87,229079.47,0,2029-01-20
2014,INC000000583,OTHER,423450,EXPORT,1441,1222,621390419.96,359536005.63,132586,61327,30335,19963640846.24,12474330761.65,0,5933592.19,7.95,11852.18,0,2028-06-08
2010,INC000000584,CREDIT,445110,BROWNFIELD,286,83,1087621658.19,725573134.16,162174,25617,17302,1419849626.15,80438018.49,0,53369831.55,84.77,41935.8,0,2030-04-29
2011,INC000000585,ABATEMENT,236220,CLEAN_ENERGY,1428,859,1575298472.49,1108908613.31,200616,92144,35297,9062373628.45,8157814309.54,0,192845644.1,44.12,31416.51,0,2035-02-19
2020,INC000000586,CREDIT,325412,CLEAN_ENERGY,2007,848,1304953997.17,1346301388.23,112782,26582,11901,20548771562.65,7054400612.08,0,80113299.58,53.35,113125.06,0,2030-05-01
2020,INC000000587,REBATE,237310,TRAINING,2449,1449,570800608.79,270780148.51,120479,68561,9663,9596747779.2,3578893926.92,0,12031147.45,73.27,28022.37,0,2031-09-17
2013,INC000000588,ABATEMENT,423450,CLEAN_ENERGY,1553,1439,1871298263.23,572050253.03,107842,16276,6788,1721824716.71,501527945.57,0,239751986.13,38.39,84273.76,1,2031-10-21
2016,INC000000589,LOAN,334111,EXPORT,2003,1509,7312899.31,5365821.04,136392,9138,3337,2441513234.59,753041400.38,0,787318.61,82.27,1607.98,0,2030-01-12
2019,INC000000590,REBATE,311811,HIRING,782,485,1750294477.87,1521158778.61,10900,19574,4311,3653535049.01,2587520509.23,0,138121782.74,36.42,352855.2,0,2033-01-16
2013,INC000000591,LOAN,325412,HIRING,835,500,644276448.79,305123469.07,18655,70439,19178,14903314224.62,12188243191.16,0,71896142.08,34.82,15910.08,1,2028-09-19
2012,INC000000592,ABATEMENT,334111,TRAINING,1806,853,1793133025.0,1034713980.37,131088,65094,31776,9924045862.26,4015957772.57,0,17536941.06,8.51,32562.75,1,2029-09-02
2018,INC000000593,CREDIT,237310,EXPORT,2403,1703,1618813599.6,1585554099.09,63182,63427,50961,3291057443.16,1416401576.39,0,137307326.2,16.49,31113.09,1,2028-01-25
2007,INC000000594,ABATEMENT,325412,HIRING,2027,1288,1046384617.87,456223647.96,8506,91740,89286,17148934493.22,16126924879.38,0,84009160.13,56.03,5109.69,1,2030-01-28
2023,INC000000595,EXEMPTION,423450,EXPORT,1815,466,185293016.77,67190331.47,203929,8470,1201,1757927533.36,227035189.54,0,2228620.7,80.97,55945.32,1,2026-07-01
2023,INC000000596,GRANT,512110,TRAINING,1233,897,1894537835.05,494829643.32,127444,9068,8931,19784861256.07,18939711245.99,0,100659976.62,2.52,55405.85,1,2028-02-21
2021,INC000000597,CREDIT,237310,CAPEX,1734,557,1685872105.64,1756304447.39,189921,49684,25523,2395659135.32,414957752.68,0,204114592.98,12.69,68812.62,0,2035-04-12
2017,INC000000598,LOAN,512110,INNOVATION,1893,1257,224882121.42,223348590.57,72410,111005,25141,12766253501.09,7660439923.14,0,26601395.39,74.74,8883.84,0,2034-08-20
2008,INC000000599,CREDIT,454110,TRAINING,1251,628,1596965271.79,1548109341.35,27735,63475,18781,24194282301.84,6704073283.15,0,213520958.24,27.89,82429.55,0,2028-01-26
2017,INC000000600,REBATE,454110,LOCATION,2437,1980,840026173.5,790130324.61,211822,14572,5356,14248481866.07,1038147082.57,1,74473529.92,24.39,147522.47,1,2034-02-01
2011,INC000000601,ABATEMENT,334111,R_AND_D,328,221,955399743.83,964022318.05,46231,117854,105314,17129645422.48,13262069631.83,0,114388973.42,29.44,9153.79,0,2032-12-14
2014,INC000000602,CREDIT,423450,BROWNFIELD,274,114,1173376505.91,739684993.15,79688,95659,24685,10682766813.75,3971917205.4,0,61649274.6,47.57,29964.96,0,2029-10-07
2013,INC000000603,EXEMPTION,311811,TRAINING,1555,1149,223008581.98,229899533.19,117887,43006,43006,8073800077.39,570545106.04,0,19415861.28,63.93,5345.75,0,2035-08-06
2017,INC000000604,REBATE,621111,CLEAN_ENERGY,2438,1118,1555870655.9,461387031.36,165984,69666,48635,7372154748.39,7370599452.84,0,183104024.98,47.8,9486.73,1,2030-12-09
2010,INC000000605,GRANT,512110,BROWNFIELD,961,564,939880553.86,487766516.42,85106,22850,17862,9562271717.68,5128769097.68,1,111572888.85,75.35,27307.5,0,2033-06-21
2021,INC000000606,REBATE,445110,BROWNFIELD,956,293,768302316.71,318062132.7,137123,73558,71444,23857167817.35,7614624779.32,0,97363362.5,3.25,4451.91,1,2030-12-07
2022,INC000000607,EXEMPTION,334111,EXPORT,941,455,1760007124.89,1016942739.79,172481,78958,11022,13213565975.51,1753527662.11,0,39197775.51,69.5,92264.81,0,2031-01-26
2025,INC000000608,CREDIT,454110,CAPEX,278,167,613396110.53,319241918.49,161822,72683,56606,15418494065.88,15071800513.09,0,45647389.83,95.72,5639.72,0,2033-03-08
2025,INC000000609,CREDIT,325412,LOCATION,171,131,717432820.02,526975735.8,201718,37212,14568,20817134183.6,3406805150.39,0,40795612.3,28.09,36173.51,0,2035-11-03
2010,INC000000610,GRANT,311811,CAPEX,824,305,935598293.9,334562900.15,126707,68394,66258,7374057214.1,4015611016.8,1,52214968.51,50.03,5049.4,0,2031-05-02
2025,INC000000611,CREDIT,423450,INNOVATION,2341,1660,1332118462.08,292650769.15,228819,39069,33505,21896270127.15,19478789911.15,1,50780043.93,83.8,8734.54,0,2028-12-09
2025,INC000000612,REBATE,237310,TRAINING,719,669,1434116111.72,1248227425.07,129930,71467,66499,10549020582.11,2150038626.67,0,49590272.39,51.93,18770.62,1,2035-06-21
2008,INC000000613,GRANT,236220,R_AND_D,971,456,1883924859.4,413850803.83,129876,48420,48420,18545144330.49,18814239053.61,0,64189768.11,84.06,8547.1,1,2035-08-30
2018,INC000000614,GRANT,325412,EXPORT,217,68,276082657.67,246060520.79,39251,44451,31318,4414911942.86,965471155.38,0,1692855.17,14.27,7856.84,0,2029-03-21
2025,INC000000615,EXEMPTION,541511,EXPORT,2151,582,1229776181.24,316176680.65,12185,43919,28374,13650090798.51,1347775044.53,0,126548714.71,2.97,11143.18,0,2030-01-13
2018,INC000000616,EXEMPTION,454110,LOCATION,745,458,1798258839.66,1690813330.9,181948,28277,11353,4713987075.82,789800921.73,1,268326210.6,78.19,148930.97,0,2026-10-09
2017,INC000000617,CREDIT,541511,BROWNFIELD,2038,790,1468202113.32,1144214981.19,26197,30095,17630,8920800385.44,6093245498.79,0,127570921.05,93.22,64901.59,0,2032-06-19
2009,INC000000618,CREDIT,621111,EXPORT,322,265,1947906120.07,1761969670.79,93352,21946,5759,24367977241.27,11232990723.37,0,218576192.95,66.52,305950.63,0,2030-01-28
2022,INC000000619,LOAN,454110,EXPORT,1039,358,503938060.7,228274859.54,176621,29540,4901,17652100490.66,6763366271.86,0,32102701.62,3.39,46577.2,1,2033-09-06
2023,INC000000620,LOAN,621111,R_AND_D,1724,700,1705534438.07,1061012739.85,86470,96866,36303,14798624309.26,1416106099.05,0,122675161.9,41.16,29226.59,0,2027-12-28
2016,INC000000621,ABATEMENT,237310,CLEAN_ENERGY,1027,426,977331822.23,210374287.14,229795,73605,66243,3395060498.24,939358079.84,0,14878310.51,56.86,3175.8,0,2034-01-04
