qol_green_reference_year,qol_green_city_id,qol_green_country_iso2,qol_green_population_city,qol_green_green_space_m2_per_capita,qol_green_tree_canopy_cover_pct,qol_green_park_access_10min_walk_pct,qol_green_active_mobility_infrastructure_index,qol_green_air_quality_index,qol_green_noise_exposure_index,qol_green_heat_island_index,qol_green_flood_risk_exposure_pct,qol_green_waste_recycling_rate_pct,qol_green_water_leakage_rate_pct,qol_green_public_transport_accessibility_index,qol_green_housing_energy_efficiency_index,qol_green_climate_neutral_city_mission_flag,qol_green_data_source,qol_green_last_update_date,qol_green_data_extract_date
2021,CITY_BG_2758,BG,4289318,43.75,13.81,66.6,32.89,49.76,71.67,58.14,12.8,48.27,13.13,89.61,42.78,1,EEA_CITY_ENV_EXPORT,2012-01-26,2024-05-15
2022,CITY_EE_2795,EE,4300377,23.96,23.74,59.26,38.1,47.97,86.53,59.79,9.67,26.64,23.25,68.31,73.44,0,URBAN_AUDIT,2012-03-03,2024-02-09
2023,CITY_HU_2832,HU,75262,50.72,34.08,96.45,37.78,36.46,63.78,35.09,17.73,40.75,25.1,77.0,49.56,1,COPERNICUS_URBAN_ATLAS,2012-04-09,2024-12-11
2024,CITY_LU_2869,LU,2502303,10.97,21.04,87.08,49.34,78.09,54.12,30.71,2.25,33.58,14.55,98.64,72.39,0,CITY_ADMIN_DATA,2012-05-16,2024-11-09
2025,CITY_RO_2906,RO,1829203,9.68,15.09,42.94,28.08,80.51,24.19,15.33,10.73,40.82,28.77,44.42,83.05,0,EEA_CITY_ENV_EXPORT,2012-06-22,2024-05-31
2006,CITY_AT_2943,AT,2134623,19.86,17.95,72.1,27.88,82.99,67.26,19.75,13.51,51.58,21.42,66.6,60.59,0,URBAN_AUDIT,2012-07-29,2025-08-02
2007,CITY_CZ_2980,CZ,2126719,41.26,13.75,79.35,36.75,58.42,71.16,75.06,9.57,36.78,21.58,98.08,35.71,0,COPERNICUS_URBAN_ATLAS,2012-09-04,2025-01-11
2008,CITY_DE_3017,DE,4470885,17.82,17.13,48.82,75.92,81.36,47.01,29.45,7.51,24.86,20.98,75.82,87.17,0,CITY_ADMIN_DATA,2012-10-11,2025-04-26
2009,CITY_LV_3054,LV,3066235,19.29,12.87,79.19,45.84,35.14,79.63,20.52,13.29,49.09,25.75,82.2,50.76,0,EEA_CITY_ENV_EXPORT,2012-11-17,2026-01-03
2010,CITY_PL_3091,PL,3250955,55.04,17.73,61.45,54.91,56.62,57.77,17.38,16.03,19.63,12.96,94.55,34.62,0,URBAN_AUDIT,2012-12-24,2026-02-21
2011,CITY_ES_3128,ES,7447766,30.68,28.09,62.28,26.71,52.33,35.45,72.04,16.06,32.07,14.88,100.0,66.96,0,COPERNICUS_URBAN_ATLAS,2013-01-30,2024-05-16
2012,CITY_HR_3165,HR,1821505,45.57,10.68,60.13,67.39,67.76,72.4,17.93,1.95,52.51,21.95,78.92,38.28,0,CITY_ADMIN_DATA,2013-03-08,2025-01-24
2013,CITY_FI_3202,FI,1720569,50.99,30.31,84.12,51.18,43.77,84.36,64.47,17.18,54.0,8.83,80.36,40.28,0,EEA_CITY_ENV_EXPORT,2013-04-14,2025-10-26
2014,CITY_IE_3239,IE,4491384,26.21,17.04,53.97,36.08,49.98,52.21,70.9,14.6,29.05,9.2,46.89,65.0,0,URBAN_AUDIT,2013-05-21,2024-03-08
2015,CITY_MT_3276,MT,670630,29.45,15.94,83.46,57.72,76.86,24.92,77.2,15.38,39.14,15.28,79.34,46.83,0,COPERNICUS_URBAN_ATLAS,2013-06-27,2025-02-12
2016,CITY_SK_3313,SK,4703394,57.36,33.86,77.37,60.79,55.68,35.82,26.81,3.05,46.32,10.09,50.6,45.56,0,CITY_ADMIN_DATA,2013-08-03,2025-02-27
2017,CITY_BE_3350,BE,3199015,22.47,17.9,62.89,45.42,35.01,85.16,46.75,15.04,54.83,12.74,84.98,69.93,0,EEA_CITY_ENV_EXPORT,2013-09-09,2024-12-26
2018,CITY_DK_3387,DK,5940597,62.59,31.54,93.41,32.17,75.85,49.21,38.14,18.52,28.03,23.8,88.0,59.94,0,URBAN_AUDIT,2013-10-16,2025-01-22
2019,CITY_GR_3424,GR,5124767,30.3,15.51,69.89,51.95,56.98,23.55,47.23,1.4,43.48,18.89,64.24,68.49,0,COPERNICUS_URBAN_ATLAS,2013-11-22,2024-11-27
2020,CITY_LT_3461,LT,989515,20.07,29.31,84.28,72.84,73.14,23.03,37.68,10.07,38.73,11.21,93.58,45.41,0,CITY_ADMIN_DATA,2013-12-29,2025-07-14
2021,CITY_PT_3498,PT,1317939,49.55,11.19,57.17,72.92,47.39,82.87,69.65,12.33,39.79,11.78,52.39,40.4,0,EEA_CITY_ENV_EXPORT,2014-02-04,2025-08-01
2022,CITY_SE_3535,SE,90689,69.01,20.86,51.35,29.95,97.12,69.49,15.89,5.93,26.35,10.47,62.45,67.12,1,URBAN_AUDIT,2014-03-13,2026-02-11
2023,CITY_CY_3572,CY,2860156,50.58,27.26,83.74,34.87,58.98,74.38,35.01,7.14,17.07,7.52,99.96,58.13,0,COPERNICUS_URBAN_ATLAS,2014-04-19,2025-07-01
2024,CITY_FR_3609,FR,4641541,41.15,20.58,89.05,43.34,79.78,68.64,51.08,12.85,38.23,15.16,94.4,64.72,0,CITY_ADMIN_DATA,2014-05-26,2024-06-30
2025,CITY_IT_3646,IT,7235282,41.09,14.95,46.98,59.21,56.8,23.22,50.86,1.41,47.3,9.99,91.4,63.44,0,EEA_CITY_ENV_EXPORT,2014-07-02,2025-01-03
2006,CITY_NL_3683,NL,5200858,52.29,21.4,53.14,92.14,62.76,59.91,19.78,20.26,59.48,9.85,63.6,48.48,0,URBAN_AUDIT,2014-08-08,2024-04-13
2007,CITY_SI_3720,SI,5226093,13.9,31.78,49.54,75.78,75.94,71.23,51.94,1.13,57.07,18.24,100.0,61.2,0,COPERNICUS_URBAN_ATLAS,2014-09-14,2025-05-25
2008,CITY_BG_3757,BG,5441248,11.95,11.5,43.03,31.57,84.18,76.83,25.68,8.22,19.17,28.95,84.83,65.89,0,CITY_ADMIN_DATA,2014-10-21,2024-02-22
2009,CITY_EE_3794,EE,1816344,31.18,17.36,60.15,33.05,59.78,47.76,19.53,13.76,44.5,7.41,62.39,65.16,0,EEA_CITY_ENV_EXPORT,2014-11-27,2026-01-19
2010,CITY_HU_3831,HU,2004682,21.22,16.29,72.82,23.02,78.59,31.26,64.78,16.24,43.63,15.16,100.0,51.56,0,URBAN_AUDIT,2015-01-03,2024-03-13
2011,CITY_LU_3868,LU,285625,38.26,20.31,93.31,68.74,79.91,58.87,35.02,4.09,56.74,8.1,57.37,72.42,0,COPERNICUS_URBAN_ATLAS,2015-02-09,2024-08-13
2012,CITY_RO_3905,RO,2978748,27.49,13.44,79.12,36.71,45.59,46.08,75.57,17.61,48.16,15.61,67.46,75.57,0,CITY_ADMIN_DATA,2015-03-18,2024-03-22
2013,CITY_AT_3942,AT,2297470,49.26,16.04,80.07,37.86,39.71,67.12,63.79,18.2,35.12,23.09,42.57,66.37,0,EEA_CITY_ENV_EXPORT,2015-04-24,2024-05-05
2014,CITY_CZ_3979,CZ,4935709,22.47,16.51,79.37,38.06,42.11,84.74,61.11,1.93,28.32,19.61,94.41,60.08,0,URBAN_AUDIT,2015-05-31,2024-06-30
2015,CITY_DE_4016,DE,1669824,13.65,10.13,45.81,37.74,45.46,44.66,17.82,11.62,60.99,16.25,65.83,56.78,0,COPERNICUS_URBAN_ATLAS,2015-07-07,2025-09-28
2016,CITY_LV_4053,LV,516451,27.33,19.66,82.54,50.3,43.35,44.61,13.33,17.91,45.97,21.61,54.02,34.33,0,CITY_ADMIN_DATA,2015-08-13,2025-04-09
2017,CITY_PL_4090,PL,6933814,51.27,36.7,95.81,43.22,65.42,37.49,46.76,16.05,25.55,16.21,43.94,43.54,0,EEA_CITY_ENV_EXPORT,2015-09-19,2024-12-30
2018,CITY_ES_4127,ES,7512474,24.22,16.34,69.63,53.57,74.87,72.0,46.16,1.24,47.75,25.96,100.0,37.45,0,URBAN_AUDIT,2015-10-26,2024-06-10
2019,CITY_HR_4164,HR,2476200,27.91,27.07,91.11,72.78,49.54,34.48,44.74,5.86,29.45,21.68,81.11,85.83,0,COPERNICUS_URBAN_ATLAS,2015-12-02,2025-10-05
2020,CITY_FI_4201,FI,4850915,9.8,15.32,57.37,44.75,89.67,36.42,53.04,4.05,53.78,15.16,85.82,69.61,0,CITY_ADMIN_DATA,2016-01-08,2024-02-09
2021,CITY_IE_4238,IE,2217760,39.27,22.3,82.46,72.0,42.25,63.93,18.11,18.13,27.1,13.98,55.79,79.64,0,EEA_CITY_ENV_EXPORT,2016-02-14,2024-09-21
2022,CITY_MT_4275,MT,336186,47.67,15.01,45.56,72.1,48.42,31.6,58.93,1.5,31.34,5.96,35.41,54.48,0,URBAN_AUDIT,2016-03-22,2025-09-17
2023,CITY_SK_4312,SK,5499627,16.82,19.34,65.41,75.01,44.82,58.14,18.66,9.86,37.44,9.61,43.63,72.55,0,COPERNICUS_URBAN_ATLAS,2016-04-28,2024-06-10
2024,CITY_BE_4349,BE,2832742,34.3,23.62,52.7,76.11,85.41,50.14,58.36,3.92,43.49,14.5,87.4,85.4,0,CITY_ADMIN_DATA,2016-06-04,2026-01-19
2025,CITY_DK_4386,DK,3186751,58.18,12.37,64.75,44.44,96.77,34.56,71.1,14.29,37.35,13.81,82.6,98.01,0,EEA_CITY_ENV_EXPORT,2016-07-11,2024-11-21
2006,CITY_GR_4423,GR,2511460,42.04,31.27,49.71,76.37,34.67,62.7,43.56,15.98,25.4,24.79,64.07,51.53,0,URBAN_AUDIT,2016-08-17,2025-10-26
2007,CITY_LT_4460,LT,4619277,20.0,26.1,86.6,29.15,62.09,72.68,35.33,11.31,30.52,13.51,52.79,73.11,0,COPERNICUS_URBAN_ATLAS,2016-09-23,2024-09-24
2008,CITY_PT_4497,PT,1494068,58.5,13.91,48.34,49.23,74.98,39.56,63.18,12.67,30.66,13.43,59.05,60.0,0,CITY_ADMIN_DATA,2016-10-30,2024-11-10
2009,CITY_SE_4534,SE,472375,58.81,8.89,67.15,50.72,59.63,67.95,30.18,5.63,52.11,25.85,50.76,74.97,0,EEA_CITY_ENV_EXPORT,2016-12-06,2025-04-07
2010,CITY_CY_4571,CY,3908142,44.4,35.09,50.15,60.05,83.84,71.84,25.54,16.19,44.51,26.45,100.0,39.13,0,URBAN_AUDIT,2017-01-12,2024-06-17
2011,CITY_FR_4608,FR,4545927,53.64,14.32,44.84,27.2,48.46,72.69,15.56,5.98,18.16,6.02,88.99,47.11,0,COPERNICUS_URBAN_ATLAS,2017-02-18,2024-10-01
2012,CITY_IT_4645,IT,4893579,49.43,23.98,89.27,67.5,54.85,62.79,33.81,12.87,57.4,5.74,81.7,58.66,0,CITY_ADMIN_DATA,2017-03-27,2026-01-12
2013,CITY_NL_4682,NL,2210406,40.81,11.86,76.48,53.76,84.09,23.51,32.47,15.23,33.51,11.46,83.43,81.14,0,EEA_CITY_ENV_EXPORT,2017-05-03,2026-01-04
2014,CITY_SI_4719,SI,2050392,28.49,15.49,83.66,45.77,84.36,29.02,22.72,9.94,36.21,22.44,43.35,38.27,0,URBAN_AUDIT,2017-06-09,2024-01-07
2015,CITY_BG_4756,BG,2025597,53.52,29.97,65.97,79.62,76.2,64.5,44.89,12.72,52.4,23.88,60.04,74.11,0,COPERNICUS_URBAN_ATLAS,2017-07-16,2024-03-23
2016,CITY_EE_4793,EE,2442853,28.88,31.52,95.1,63.97,64.62,67.73,39.84,12.86,35.45,17.16,50.19,65.17,0,CITY_ADMIN_DATA,2017-08-22,2024-11-26
2017,CITY_HU_4830,HU,343973,8.5,17.12,59.3,78.13,39.61,32.08,56.25,5.38,58.35,19.99,58.01,73.69,0,EEA_CITY_ENV_EXPORT,2017-09-28,2025-11-27
2018,CITY_LU_4867,LU,2817002,17.52,31.66,71.43,47.27,61.17,31.79,57.61,15.67,23.48,14.59,54.89,44.35,0,URBAN_AUDIT,2017-11-04,2024-12-22
2019,CITY_RO_4904,RO,5148869,25.9,14.43,44.47,69.9,39.46,24.66,67.65,13.37,43.8,23.86,94.47,55.55,0,COPERNICUS_URBAN_ATLAS,2017-12-11,2026-01-08
2020,CITY_AT_4941,AT,4552808,40.39,9.78,51.45,32.53,51.38,78.33,19.7,13.44,72.19,10.34,54.46,71.55,0,CITY_ADMIN_DATA,2018-01-17,2024-02-10
2021,CITY_CZ_4978,CZ,2034352,55.12,34.11,54.87,47.55,41.42,37.1,42.63,5.3,42.32,16.25,90.56,43.43,0,EEA_CITY_ENV_EXPORT,2018-02-23,2025-12-20
2022,CITY_DE_5015,DE,980477,22.94,17.6,59.75,52.86,49.38,27.18,68.66,3.22,56.69,21.85,68.45,57.06,0,URBAN_AUDIT,2018-04-01,2024-10-28
2023,CITY_LV_5052,LV,4965288,59.31,12.01,80.52,46.55,44.86,64.06,52.03,4.98,54.91,26.29,64.67,57.89,1,COPERNICUS_URBAN_ATLAS,2018-05-08,2026-01-07
2024,CITY_PL_5089,PL,5704330,12.96,13.72,56.04,31.01,58.99,23.17,16.07,16.5,42.45,20.31,84.43,53.54,0,CITY_ADMIN_DATA,2018-06-14,2024-05-02
2025,CITY_ES_5126,ES,1466645,39.12,23.9,59.08,31.32,79.03,45.61,20.77,13.44,57.7,19.77,87.12,40.53,0,EEA_CITY_ENV_EXPORT,2018-07-21,2025-04-11
2006,CITY_HR_5163,HR,3196092,44.72,28.35,65.86,62.72,87.04,84.85,61.55,6.24,45.7,13.83,45.84,51.75,0,URBAN_AUDIT,2018-08-27,2024-09-10
2007,CITY_FI_5200,FI,4844546,53.9,37.55,79.22,56.13,56.22,73.75,49.89,15.51,26.81,17.04,76.02,42.36,0,COPERNICUS_URBAN_ATLAS,2018-10-03,2024-01-16
2008,CITY_IE_5237,IE,1572132,57.54,18.45,61.23,63.83,82.98,55.05,50.69,15.94,44.49,13.75,67.39,37.49,0,CITY_ADMIN_DATA,2018-11-09,2024-05-16
2009,CITY_MT_5274,MT,2436585,22.11,29.57,96.14,40.15,43.69,32.27,51.09,2.83,49.75,13.33,92.17,72.92,0,EEA_CITY_ENV_EXPORT,2018-12-16,2025-07-27
2010,CITY_SK_5311,SK,1037554,45.07,17.22,66.74,71.22,78.77,34.68,73.36,3.37,27.63,6.11,38.64,52.87,0,URBAN_AUDIT,2019-01-22,2026-01-26
2011,CITY_BE_5348,BE,2795511,46.03,28.25,50.4,65.55,49.61,50.19,67.52,3.83,58.86,14.87,86.04,37.33,0,COPERNICUS_URBAN_ATLAS,2019-02-28,2025-11-18
2012,CITY_DK_5385,DK,678898,64.01,23.31,87.05,61.28,59.63,27.59,29.44,6.11,43.83,24.68,38.91,87.23,0,CITY_ADMIN_DATA,2019-04-06,2026-02-11
2013,CITY_GR_5422,GR,1952306,58.47,19.54,93.6,23.11,86.84,44.3,63.3,13.11,19.49,26.39,79.43,31.67,0,EEA_CITY_ENV_EXPORT,2019-05-13,2024-09-19
2014,CITY_LT_5459,LT,162656,57.81,18.27,97.44,64.71,86.13,53.04,33.63,6.71,22.53,25.16,69.68,62.39,0,URBAN_AUDIT,2019-06-19,2025-04-05
2015,CITY_PT_5496,PT,1462792,10.32,27.21,79.64,56.81,56.08,45.07,87.95,4.84,51.38,8.24,86.5,47.9,0,COPERNICUS_URBAN_ATLAS,2019-07-26,2026-01-26
2016,CITY_SE_5533,SE,3474923,50.0,35.32,82.82,82.72,91.59,35.86,51.13,11.65,36.09,15.03,70.26,61.01,0,CITY_ADMIN_DATA,2019-09-01,2025-08-06
2017,CITY_CY_5570,CY,604354,17.06,19.35,93.88,53.67,70.19,52.65,71.57,11.12,26.08,16.59,57.02,51.77,0,EEA_CITY_ENV_EXPORT,2019-10-08,2025-12-23
2018,CITY_FR_5607,FR,1688866,26.25,9.55,61.22,71.08,73.28,23.77,53.0,10.47,21.01,10.6,45.4,80.33,0,URBAN_AUDIT,2019-11-14,2025-12-14
2019,CITY_IT_5644,IT,2249761,14.05,9.06,81.76,60.58,39.79,28.49,82.39,4.63,56.57,9.53,54.24,61.93,0,COPERNICUS_URBAN_ATLAS,2019-12-21,2024-10-01
2020,CITY_NL_5681,NL,4607607,64.71,22.6,90.71,59.49,70.6,77.69,71.98,18.2,24.06,17.28,83.89,46.56,0,CITY_ADMIN_DATA,2020-01-27,2025-09-10
2021,CITY_SI_5718,SI,2226675,26.61,23.17,97.24,41.79,62.19,71.51,72.95,5.51,46.72,10.08,86.77,52.78,0,EEA_CITY_ENV_EXPORT,2020-03-04,2026-01-20
2022,CITY_BG_5755,BG,689106,58.19,18.11,80.87,23.36,35.3,49.58,15.9,10.61,38.71,9.36,47.82,88.65,0,URBAN_AUDIT,2020-04-10,2024-10-14
2023,CITY_EE_5792,EE,3149690,44.74,22.4,72.06,74.29,81.83,34.6,44.33,14.76,34.06,13.74,39.47,56.98,0,COPERNICUS_URBAN_ATLAS,2020-05-17,2025-04-13
2024,CITY_HU_5829,HU,469874,39.59,32.21,83.1,58.92,71.36,48.77,47.95,3.32,33.44,22.31,34.35,58.32,0,CITY_ADMIN_DATA,2020-06-23,2025-09-01
2025,CITY_LU_5866,LU,1103400,47.49,37.93,73.37,49.97,50.84,87.1,26.07,8.65,32.34,9.01,74.76,41.31,1,EEA_CITY_ENV_EXPORT,2020-07-30,2025-10-24
2006,CITY_RO_5903,RO,3096100,21.38,16.07,51.69,57.54,33.51,51.93,30.28,15.13,45.45,7.78,64.9,51.52,0,URBAN_AUDIT,2020-09-05,2024-01-14
2007,CITY_AT_5940,AT,5630526,25.3,21.59,57.55,26.55,82.88,30.81,57.41,1.53,51.39,11.7,84.98,82.89,0,COPERNICUS_URBAN_ATLAS,2020-10-12,2024-08-26
2008,CITY_CZ_5977,CZ,1938096,19.42,13.21,67.3,28.73,35.6,81.19,68.76,16.19,50.0,19.68,46.62,75.17,0,CITY_ADMIN_DATA,2020-11-18,2024-06-27
2009,CITY_DE_0014,DE,6689433,41.21,26.28,85.92,74.35,85.67,83.92,67.18,7.53,63.79,26.49,48.07,57.74,0,EEA_CITY_ENV_EXPORT,2020-12-25,2025-08-05
2010,CITY_LV_0051,LV,4022850,52.48,12.71,54.36,75.11,57.85,60.17,67.88,6.0,23.58,16.55,57.5,70.63,0,URBAN_AUDIT,2021-01-31,2025-04-09
2011,CITY_PL_0088,PL,2477614,52.93,27.32,48.86,55.32,51.15,23.83,62.39,7.59,24.51,13.2,88.35,32.34,0,COPERNICUS_URBAN_ATLAS,2021-03-09,2024-09-28
2012,CITY_ES_0125,ES,3135857,16.26,24.53,73.42,59.11,42.61,25.03,70.17,3.4,25.26,25.76,74.85,41.55,0,CITY_ADMIN_DATA,2021-04-15,2024-11-16
2013,CITY_HR_0162,HR,704017,48.57,22.91,79.4,38.26,75.46,80.05,30.87,16.32,17.04,27.23,56.17,52.23,0,EEA_CITY_ENV_EXPORT,2021-05-22,2024-04-08
2014,CITY_FI_0199,FI,4969601,26.24,23.64,55.77,75.43,84.4,63.81,28.4,2.55,41.16,19.39,38.96,70.76,0,URBAN_AUDIT,2021-06-28,2024-06-10
2015,CITY_IE_0236,IE,70343,48.22,19.01,51.27,56.11,62.74,29.43,64.67,7.75,19.32,18.08,56.84,52.43,0,COPERNICUS_URBAN_ATLAS,2021-08-04,2024-04-06
2016,CITY_MT_0273,MT,481028,54.62,11.02,66.24,49.32,35.73,31.42,28.41,13.47,19.32,11.19,70.1,65.33,0,CITY_ADMIN_DATA,2021-09-10,2025-06-01
2017,CITY_SK_0310,SK,1529784,55.88,16.64,75.84,76.7,35.26,26.36,72.95,5.61,23.54,8.86,91.32,55.47,0,EEA_CITY_ENV_EXPORT,2021-10-17,2025-11-07
2018,CITY_BE_0347,BE,2864155,27.11,15.62,48.54,49.03,35.0,49.39,62.98,17.16,63.23,18.9,85.76,50.18,0,URBAN_AUDIT,2021-11-23,2024-05-01
2019,CITY_DK_0384,DK,3122065,60.51,22.96,89.6,44.72,43.04,84.28,30.27,4.4,31.99,12.46,64.37,93.31,0,COPERNICUS_URBAN_ATLAS,2021-12-30,2024-08-26
2020,CITY_GR_0421,GR,450724,44.77,25.08,89.86,65.96,73.02,50.88,68.91,12.29,30.86,19.6,71.01,51.96,0,CITY_ADMIN_DATA,2022-02-05,2025-02-22
2021,CITY_LT_0458,LT,2775307,54.61,24.72,54.38,67.66,78.55,31.68,29.8,12.32,36.01,22.59,91.13,81.13,0,EEA_CITY_ENV_EXPORT,2022-03-14,2025-06-12
2022,CITY_PT_0495,PT,240769,18.68,13.85,73.78,74.95,74.12,32.12,61.82,16.02,44.61,24.87,57.72,81.49,0,URBAN_AUDIT,2022-04-20,2025-05-15
2023,CITY_SE_0532,SE,2567901,38.03,32.58,86.93,35.7,48.27,48.98,42.1,16.29,30.78,18.43,63.09,45.14,0,COPERNICUS_URBAN_ATLAS,2022-05-27,2024-03-24
2024,CITY_CY_0569,CY,6097075,28.42,14.33,75.13,25.93,49.79,76.62,95.35,5.25,27.86,10.8,46.27,73.26,0,CITY_ADMIN_DATA,2022-07-03,2025-07-09
2025,CITY_FR_0606,FR,162218,25.33,22.32,97.02,78.05,85.47,48.65,17.29,15.3,37.22,6.65,38.99,45.66,1,EEA_CITY_ENV_EXPORT,2022-08-09,2025-05-26
2006,CITY_IT_0643,IT,4408712,29.5,23.17,55.72,49.19,35.3,33.22,57.3,5.7,51.1,7.33,78.71,75.9,0,URBAN_AUDIT,2022-09-15,2024-02-28
2007,CITY_NL_0680,NL,414290,23.28,20.22,50.77,96.02,62.22,43.77,48.67,20.66,60.69,13.88,44.63,48.0,0,COPERNICUS_URBAN_ATLAS,2022-10-22,2025-05-31
2008,CITY_SI_0717,SI,5731474,41.92,23.84,59.33,23.07,54.01,29.8,17.09,12.94,18.21,19.14,85.57,39.72,0,CITY_ADMIN_DATA,2022-11-28,2025-05-29
2009,CITY_BG_0754,BG,5781423,25.53,26.12,87.95,51.44,71.61,43.69,33.47,5.64,51.15,19.73,76.26,48.47,0,EEA_CITY_ENV_EXPORT,2023-01-04,2025-08-28
2010,CITY_EE_0791,EE,4183894,49.66,17.11,75.29,52.51,68.48,63.32,34.06,5.17,25.82,16.04,83.42,58.43,0,URBAN_AUDIT,2023-02-10,2026-02-11
2011,CITY_HU_0828,HU,4337312,57.51,19.59,80.36,77.43,60.04,32.55,20.3,10.92,29.38,12.45,41.94,32.7,0,COPERNICUS_URBAN_ATLAS,2023-03-19,2025-05-15
2012,CITY_LU_0865,LU,5604245,16.98,12.52,53.45,72.58,69.91,40.29,66.53,17.49,37.69,5.97,60.37,49.84,0,CITY_ADMIN_DATA,2023-04-25,2025-11-14
2013,CITY_RO_0902,RO,5959921,28.64,29.74,79.87,60.18,74.86,53.39,25.33,14.38,48.94,15.06,55.62,73.65,0,EEA_CITY_ENV_EXPORT,2023-06-01,2025-10-20
2014,CITY_AT_0939,AT,2502762,39.27,35.45,81.3,79.52,33.69,55.23,53.56,12.9,33.24,26.23,65.19,76.03,0,URBAN_AUDIT,2023-07-08,2024-03-19
2015,CITY_CZ_0976,CZ,2520492,24.2,7.49,56.0,72.84,71.73,24.04,20.55,1.78,26.61,22.93,74.67,72.62,0,COPERNICUS_URBAN_ATLAS,2023-08-14,2024-06-17
2016,CITY_DE_1013,DE,4373964,20.14,11.23,85.94,49.11,64.76,79.77,45.01,0.95,67.88,13.1,88.87,72.57,0,CITY_ADMIN_DATA,2023-09-20,2024-02-19
2017,CITY_LV_1050,LV,947031,58.98,36.14,59.94,51.05,34.49,44.9,42.53,14.17,37.39,9.82,39.12,70.19,0,EEA_CITY_ENV_EXPORT,2023-10-27,2025-07-15
2018,CITY_PL_1087,PL,5524187,35.67,27.88,58.22,79.04,40.71,30.5,20.1,8.51,37.89,13.94,97.95,83.87,0,URBAN_AUDIT,2023-12-03,2025-02-24
2019,CITY_ES_1124,ES,1325319,8.24,19.66,55.24,27.35,52.86,35.41,57.81,17.7,54.71,18.83,94.07,44.98,0,COPERNICUS_URBAN_ATLAS,2024-01-09,2024-07-07
2020,CITY_HR_1161,HR,5134855,33.66,13.3,65.69,45.86,46.52,83.66,69.97,18.53,28.35,16.72,77.38,57.01,0,CITY_ADMIN_DATA,2024-02-15,2025-05-29
2021,CITY_FI_1198,FI,2976027,21.67,18.13,76.29,48.42,79.72,39.36,64.14,10.54,17.33,19.27,87.05,59.51,0,EEA_CITY_ENV_EXPORT,2024-03-23,2025-09-01
2022,CITY_IE_1235,IE,5382828,12.97,16.81,57.6,76.44,83.31,51.28,68.86,3.01,35.15,8.01,80.58,61.21,0,URBAN_AUDIT,2024-04-29,2026-02-23
2023,CITY_MT_1272,MT,321664,48.53,12.1,52.45,50.46,83.49,38.38,66.51,12.36,46.04,16.08,60.37,66.49,1,COPERNICUS_URBAN_ATLAS,2024-06-05,2024-06-24
2024,CITY_SK_1309,SK,5134000,16.12,8.67,72.5,37.12,50.98,82.22,61.78,14.36,17.19,18.05,42.74,86.54,0,CITY_ADMIN_DATA,2024-07-12,2026-02-24
2025,CITY_BE_1346,BE,735423,20.07,22.72,49.01,60.78,83.71,24.69,41.86,18.58,32.08,10.15,78.18,38.36,0,EEA_CITY_ENV_EXPORT,2024-08-18,2024-03-21
2006,CITY_DK_1383,DK,4416531,49.42,10.94,54.53,47.14,70.89,65.71,61.97,1.82,36.77,14.11,63.62,79.38,0,URBAN_AUDIT,2024-09-24,2025-12-18
2007,CITY_GR_1420,GR,5563896,55.19,13.76,86.09,48.15,72.05,23.08,45.69,10.07,23.16,16.49,59.7,34.97,0,COPERNICUS_URBAN_ATLAS,2024-10-31,2024-09-19
2008,CITY_LT_1457,LT,6080343,50.15,22.46,71.59,61.93,64.31,83.57,42.62,15.93,34.47,21.5,62.68,68.16,0,CITY_ADMIN_DATA,2024-12-07,2024-05-27
2009,CITY_PT_1494,PT,3085010,17.4,24.58,64.04,54.55,42.85,56.55,86.62,15.76,17.4,24.07,75.96,57.97,0,EEA_CITY_ENV_EXPORT,2025-01-13,2025-12-27
2010,CITY_SE_1531,SE,4379856,38.43,20.28,89.19,78.18,91.7,30.63,68.2,5.94,26.12,21.8,88.2,82.65,0,URBAN_AUDIT,2025-02-19,2026-01-02
2011,CITY_CY_1568,CY,2032881,55.28,12.7,69.27,60.29,68.18,34.31,61.68,14.44,38.3,14.21,58.82,52.62,0,COPERNICUS_URBAN_ATLAS,2025-03-28,2025-10-01
2012,CITY_FR_1605,FR,2312106,42.74,16.36,45.16,26.31,65.44,45.6,37.56,18.51,31.88,22.2,40.27,77.99,0,CITY_ADMIN_DATA,2025-05-04,2025-05-01
2013,CITY_IT_1642,IT,3491191,53.39,32.2,80.7,65.61,45.38,47.25,76.93,11.63,21.88,8.81,39.45,65.72,0,EEA_CITY_ENV_EXPORT,2025-06-10,2024-04-26
2014,CITY_NL_1679,NL,2914829,44.44,20.36,74.28,64.65,64.24,82.26,48.23,7.38,72.56,12.88,92.38,72.14,0,URBAN_AUDIT,2025-07-17,2025-10-03
2015,CITY_SI_1716,SI,2431586,24.71,22.83,95.29,72.58,40.05,52.39,40.75,6.26,26.05,21.15,51.61,57.38,0,COPERNICUS_URBAN_ATLAS,2025-08-23,2024-02-07
2016,CITY_BG_1753,BG,1383793,56.12,30.79,95.05,23.31,46.76,82.45,74.95,12.63,38.37,28.04,72.74,35.67,0,CITY_ADMIN_DATA,2025-09-29,2024-05-18
2017,CITY_EE_1790,EE,6041750,34.99,11.83,85.82,41.75,79.01,70.43,57.95,7.66,23.38,8.35,96.23,50.73,0,EEA_CITY_ENV_EXPORT,2025-11-05,2024-01-21
